-0.022907-0.019097i,-0.032211-0.033566i,-0.022444-0.019551i,-0.032556-0.020224i,-0.024049+0.0042747i,-0.028634-0.017618i,-0.057808-0.044151i,-0.040253-0.041261i,-0.032607-0.019067i,0.0055716+0.0054801i,-0.003506+0.005985i,-0.010667+0.010979i,0.0031636+0.0069739i,-0.0041858-0.0022521i,0.0028589+0.0017883i,0.004277+0.028i,0.025562+0.019529i,-0.00016446+0.00010357i,-0.0030973-0.0027431i,0.0078594+0.0043261i,0.0019586+0.0004822i,-0.00043202+0.0023308i,-0.00050692+0.00043263i,-0.030334-0.00040976i,-0.0037627-0.004788i,6.0593e-05+0.0024141i,0.0044121-0.00067967i,0.00080031-0.00018198i,-0.0004945-0.00057571i,-0.0012683-0.0017745i,-0.0022388-0.00030591i,-0.0038632-0.004602i,-0.0033693-0.0048102i,0.00052014-0.0011384i,0.00051452-0.002763i,-0.0054207+0.026304i,0.0020866-0.0031014i,0.002199-0.0037538i,0.0041719-0.0023958i,-0.0085317-0.0021514i,0.00067465+0.0011298i,0.012994-0.004053i,-0.0026363+0.00028503i,-0.0030995+0.0013119i,-0.009299-0.0031324i,-0.019503+0.022039i,-0.0076533-0.086047i,-0.0022167-0.060921i,-0.021399-0.053685i,-0.010891-0.045876i,0.054712-0.026178i,0.024304-0.067606i,0.040547-0.053315i,0.019143-0.038649i,0.025872-0.019846i,0.012244+0.012045i,0.026308-0.02995i,-0.0099089+7.2169e-05i,-0.00085323-0.0012883i,-0.0076404-0.0020491i,-0.0050933-0.028772i,-0.021416+0.026643i,0.0078-0.0092309i,-0.010137-0.0038242i,-0.0025481-0.0018279i,-0.00066466-0.014937i,-0.008123+0.0050217i,0.0051175+0.010688i,-0.010973+0.032819i,0.0064748+0.0076147i,-0.0038942-0.0016374i,-0.0022755-0.0015929i,-0.012424-0.0062639i,0.00045896-0.0040188i,-0.033772+0.0023748i,0.0032842-0.0084415i,-0.0076092-0.0023004i,-0.0050902-0.0027936i,0.0068136+0.0015877i,-0.010101+0.00037434i,0.0024868-0.00046242i,0.0066615+0.0077769i,0.0053541+0.0011398i,-0.0080499-0.010337i,0.0025629+0.0076477i,-0.01937+0.0095359i,0.0028553+0.005663i,-0.021178-0.0086007i,-0.02701-0.0052434i,0.01037-0.062671i,0.018469-0.014759i,-0.051675-0.028466i,-0.023361+0.0026027i,0.018807+0.010163i,-0.027067+0.012139i,-0.01255-0.0077042i
-0.011713+0.013671i,-0.02137+0.041987i,0.0020461+0.040408i,-0.010505+0.024775i,-0.00013176+0.021057i,0.0019231+0.023335i,-0.024782+0.015378i,-0.02571+0.03246i,4.3144e-05+0.016981i,-0.0011194-0.0011629i,-0.00090772+0.0016994i,0.0043119+0.0034329i,0.003133+0.0048159i,-0.0032035+0.0019194i,-0.0030366+0.003798i,0.00096611-0.0073061i,-0.0093537+0.0002112i,-0.0017197+0.00040607i,0.00016804-0.0013755i,-0.00097983-0.00047293i,0.00071561-0.0036193i,0.0012341-0.0025484i,0.00097466-0.0015093i,-0.0097152-0.0078891i,-0.00021345-0.00040344i,-0.0014571+0.00031471i,-0.0023048+1.6465e-05i,-0.0027118+0.00015139i,-0.00083524-0.00090257i,0.0010731-0.00074393i,-0.0015174+0.00010769i,0.0017068-0.00044261i,0.0016097-0.00035242i,0.00066108+0.0003749i,-0.00045983+0.0018455i,-0.00025165-0.0069699i,-0.0012275+0.0010109i,0.0017577+0.00027898i,0.0014821+0.0028334i,0.004733+0.0053604i,0.0017054-0.0017757i,-0.0013294-0.00094663i,-0.0014063-0.0021923i,0.0029087+0.0062391i,-0.0074523+0.0078749i,0.020737-0.057807i,-0.073808+0.014457i,-0.027068-0.018566i,-0.061004-0.047787i,-0.052875-0.017662i,-0.085797+0.0038447i,-0.07258+0.0023669i,-0.047138-0.032768i,-0.0082975-0.043952i,-0.036844-0.024576i,-0.0065699+0.00029731i,-0.03113+0.010292i,0.0074548+0.01119i,0.0098669+0.0068318i,0.002561-0.0071105i,0.010934+0.0034679i,-0.0099844-0.0023532i,0.0028466+0.011545i,0.001879+0.0069924i,-0.00020228-0.0014258i,0.0055316+0.0018609i,0.0039638+0.00022101i,-0.0051113+0.020046i,0.00034921+0.008502i,0.00081535-0.0042839i,0.007978-0.0060818i,0.0011728+0.0041415i,-0.0085162-0.007893i,-0.0027355-0.0010564i,0.021473-0.03052i,0.0051488+0.0087897i,0.0018783+0.0027079i,-0.002285+0.0043473i,0.0028232-0.0043921i,0.020143+0.00315i,0.0016325-0.0018346i,-0.0025311-0.0058855i,-0.00070083-0.0023779i,0.011773+0.0030123i,0.0061308-0.00076754i,0.0035652-0.0083197i,0.0043831+0.005005i,-0.0060662+0.0033141i,0.013512+0.0071435i,-0.043383-0.039224i,-0.014017+0.0073556i,-0.0019084-0.0013797i,-0.00038463+0.0029376i,-0.041714+0.01201i,-0.0068377+0.0084851i,-0.013112+0.0028872i
-0.0089251+0.014588i,-0.014189+0.042618i,0.010834+0.033768i,-0.0054795+0.025584i,0.0027524+0.018717i,0.0063367+0.021788i,-0.023616+0.019157i,-0.018755+0.034346i,0.0038963+0.012171i,-0.0015527-0.00041705i,-0.00010825+0.0029261i,0.0049022+0.0010801i,0.0041286+0.0032748i,-0.0015363+0.0028865i,-0.0021208+0.0047629i,-0.0034754-0.0057469i,-0.009179+0.0053514i,-0.0015584+0.0009561i,0.00092222-0.00083375i,-0.0004729-3.998e-05i,-0.00018018-0.0032259i,0.0011424-0.0021488i,0.00078079-0.0013396i,-0.011027-0.0045506i,4.6152e-06-0.00028675i,-0.0014462+0.00074931i,-0.0015678+0.00072251i,-0.002142+0.00071145i,-0.0010007-0.00083023i,0.00096966-0.00088326i,-0.001402+0.00078642i,0.0011823-0.00069546i,0.0011543-0.0012257i,0.00018688+0.00045746i,-0.00093181+0.0015433i,-0.00021036-0.0057524i,-0.00064876+0.0011629i,0.00094689-0.00037447i,0.0014785+0.0025073i,0.0058668+0.0028461i,0.00087764-0.0023242i,-0.001932-0.00094177i,-0.0025149-0.0012786i,0.0043978+0.0053927i,-0.0053352+0.0059718i,0.0024297-0.067455i,-0.064927+0.028176i,-0.034273-0.021427i,-0.073772-0.038968i,-0.053657-0.0060087i,-0.076743+0.020604i,-0.069932+0.016137i,-0.040199-0.030773i,-0.013455-0.042461i,-0.043581-0.011642i,-0.0072928+0.00066658i,-0.024432+0.023293i,0.0095271+0.0060199i,0.011674+0.00067102i,-0.0025442-0.012368i,0.0078632+0.0025464i,-0.009702+0.0027482i,0.0076846+0.010026i,0.0041239+0.0074106i,-0.00076311-0.0011046i,0.0063428+0.0020991i,0.004766+0.00013964i,0.0042904+0.017483i,0.0047416+0.0049663i,-0.0036015-0.0059965i,0.001883-0.006647i,0.0029187+0.0050049i,-0.011201-0.00045704i,-0.0022679+0.0018191i,0.0040147-0.032533i,0.0083042+0.0078634i,0.0039521+0.0022124i,0.0016658+0.0035839i,-0.00051927-0.0020012i,0.017926-0.0062182i,-0.00013916-0.0024362i,-0.0057424-0.0041694i,-0.0033646-0.0010778i,0.010184-0.00048582i,0.0044991-0.00056117i,0.000577-0.0065068i,0.0061595+0.0032393i,-0.0057927+0.0054739i,0.013718+0.0021354i,-0.050721-0.032729i,-0.0076844-0.0054146i,-0.0027901-0.0021582i,0.0013943+0.0016615i,-0.034659+0.024993i,-0.0046447+0.0093551i,-0.011888+0.0049856i
-0.0056399+0.014723i,-0.0074469+0.043137i,0.015391+0.026205i,-0.00065914+0.024408i,0.0063254+0.017519i,0.010172+0.019278i,-0.020658+0.023231i,-0.012438+0.034417i,0.0036271+0.0078592i,-0.0016892+0.00061707i,0.0016922+0.0032982i,0.0023442-0.00027975i,0.0045597+0.0018485i,-0.00075633+0.0029669i,-0.0008159+0.0056259i,-0.0066892-0.0017126i,-0.0066217+0.0086983i,-0.00066881+0.0015353i,0.0014446-0.0015787i,0.0001917-0.0004231i,-0.001073-0.0031368i,0.00099197-0.0028067i,0.00086134-0.0015427i,-0.011816-0.0014729i,-4.776e-05-0.00031308i,-0.00090785+0.0014362i,-0.00098505+0.00056432i,-0.0014364+0.0015977i,-0.0012712-0.0006648i,0.00050778-0.001406i,-0.000864+0.0014136i,0.00076023-0.00083595i,0.00014599-0.001291i,0.00054224+0.00022845i,-0.0005641+0.0024476i,0.00025793-0.0061216i,-0.00049955+0.0011524i,0.00033302-0.00062647i,0.0031378+0.00054096i,0.005716+0.00056001i,0.00014413-0.002388i,-0.001618+0.00015333i,-0.0035373+5.1288e-05i,0.0054871+0.0035988i,-0.004641+0.0045666i,-0.019857-0.068516i,-0.051194+0.03751i,-0.042931-0.018396i,-0.081962-0.024239i,-0.04905+0.002984i,-0.062426+0.0315i,-0.057261+0.028696i,-0.042524-0.03379i,-0.018184-0.042165i,-0.043585+0.0033518i,-0.0073116+0.0017504i,-0.012557+0.029336i,0.010464+0.0014552i,0.0081748-0.0048229i,-0.01357-0.012106i,0.0076684+0.00058844i,-0.0063742+0.0056297i,0.011022+0.0045236i,0.0057874+0.0061307i,-0.0030831+0.00040405i,0.0062906-0.0013478i,0.0059131-0.0023401i,0.0082789+0.011114i,0.0041264+0.00089714i,-0.0084643-0.0024156i,-0.00031683-0.0046765i,0.0059712+0.0039697i,-0.0069156+0.0077999i,0.00035109+0.0031482i,-0.0075899-0.030709i,0.012368+0.0036366i,0.0043042+0.00024677i,0.0031624-0.00030237i,0.00035996+0.00010191i,0.011528-0.010877i,-0.0022883+0.00027661i,-0.0067435-0.00074287i,-0.0036793+0.0025963i,0.0069202-0.0027584i,0.0070995-0.0014728i,0.00023495-0.0058634i,0.0089089+0.00093176i,-0.002689+0.0070288i,0.012225-0.0024234i,-0.055623-0.021659i,-0.013933-0.012497i,-0.0016321-0.004152i,0.003837-0.0017462i,-0.02339+0.03057i,-0.0038201+0.0053797i,-0.008297+0.0013793i
-0.0026165+0.01366i,-0.00033153+0.042828i,0.017543+0.019116i,0.0041239+0.023227i,0.010372+0.01398i,0.013418+0.015922i,-0.016206+0.026655i,-0.0067032+0.033142i,0.0030665+0.0062948i,-0.0010409+0.0015869i,0.0028997+0.0021766i,0.0011563+0.0014044i,0.0042285+0.00056414i,-0.0006393+0.0037049i,0.00065487+0.0057823i,-0.0067473+0.0037504i,-0.0022864+0.01126i,0.00012501+0.0013096i,0.00075223-0.0023375i,-0.00012282-0.00104i,-0.0018764-0.0026082i,0.00035145-0.0030713i,0.00063407-0.0021472i,-0.011599+0.0023432i,-5.993e-05-0.00046145i,0.00010234+0.0010823i,-0.00097205+0.0004029i,-0.00031596+0.0015275i,-0.0015327+0.00013331i,-0.00027141-0.0012934i,-5.9705e-05+0.0016018i,0.00023969-0.00088474i,-0.00036426-0.00089392i,0.00046639+1.5544e-05i,0.00083424+0.0021781i,-0.00045791-0.0081152i,0.00010764+0.0016509i,-0.00024259-0.00041688i,0.0019373-0.00048833i,0.0048362-0.0012105i,-0.00047814-0.0025362i,-0.00090985+0.00029694i,-0.0033627+0.0019157i,0.0048693+0.001098i,-0.0046623+0.0040391i,-0.039705-0.057345i,-0.037659+0.040173i,-0.0496-0.011312i,-0.085902-0.0086189i,-0.04285+0.0084032i,-0.049819+0.035434i,-0.044184+0.030637i,-0.047221-0.029713i,-0.023931-0.038735i,-0.039414+0.014714i,-0.0073073+0.0031489i,-0.001137+0.029633i,0.0095073-0.0030034i,0.0028599-0.0064441i,-0.021258-0.0033085i,0.004742-0.00033649i,-0.0031657+0.0061583i,0.0090793-0.0017443i,0.0079842+0.005327i,-0.0028215+0.0031852i,0.0032954-0.0024351i,0.0051311-0.0061492i,0.0078981+0.005692i,0.0011551-0.00044864i,-0.00819+0.0016263i,-0.0017262-0.0033927i,0.0071364+0.0014642i,0.001139+0.0095155i,0.0019393+0.0018222i,-0.012151-0.02536i,0.012568-0.001419i,0.0034426-0.001678i,0.0031512+0.0013217i,0.00073239-8.2835e-05i,0.0061925-0.011277i,-9.3657e-05+0.0025355i,-0.005885+0.0024711i,-0.00093676+0.0045438i,0.0049024-0.0024318i,0.0068875-0.0057846i,-0.0020034-0.0052884i,0.0085831-0.0045907i,-0.00018781+0.0057446i,0.010239-0.0067005i,-0.053554-0.0087118i,-0.024211-0.013798i,-0.002627-0.0081823i,0.0032654-0.0067456i,-0.014114+0.02992i,-0.0070155+0.0047665i,-0.011124+0.00048758i
-0.00069904+0.012325i,0.0062161+0.041097i,0.016804+0.013511i,0.008675+0.020535i,0.012723+0.00944i,0.015197+0.012054i,-0.010722+0.028594i,-0.0023313+0.031324i,0.0035033+0.0054918i,0.00013687+0.001945i,0.003146+0.0012834i,0.0020041+0.0023567i,0.0039742-0.00043041i,0.00099982+0.0045416i,0.0022288+0.0054929i,-0.0039621+0.0074057i,0.0028101+0.011061i,0.00053666+0.0011106i,0.00025092-0.002301i,-0.00065105-0.0011508i,-0.0027159-0.0018653i,-0.00048084-0.0028981i,-0.00026745-0.0024624i,-0.0091+0.0052822i,-0.00048954-0.00057863i,0.00013899+0.00029642i,-0.0008999+0.00030849i,0.00026171+0.00087521i,-0.0011881+0.00085654i,-0.00039349-0.00076531i,0.00040135+0.0014358i,-0.00010215-0.001114i,-0.00047136-0.00041262i,0.00030987-0.00010549i,0.0011566+0.0013829i,-0.0032886-0.0095332i,0.00018097+0.0016618i,-0.00022129+0.00021392i,0.00076819-0.00087455i,0.0038853-0.0016432i,-0.0012757-0.0022543i,-0.00072908+0.00022886i,-0.0018134+0.00297i,0.0033786+0.0012571i,-0.0042906+0.004443i,-0.047292-0.039906i,-0.027505+0.038085i,-0.054851-0.0018333i,-0.087187+0.0084595i,-0.038363+0.009268i,-0.039037+0.036619i,-0.035375+0.0303i,-0.049916-0.025229i,-0.026681-0.034936i,-0.0319+0.024796i,-0.0067415+0.0046172i,0.011636+0.025587i,0.006989-0.0056604i,-0.0016916-0.0052285i,-0.022132+0.0068203i,0.0035438+0.00029258i,-0.00063076+0.0063643i,0.0041723-0.0033159i,0.010451+0.0027052i,-0.0014467+0.0047844i,0.0013952-0.0012049i,0.0023611-0.0088461i,0.0038342+0.0019823i,-0.00076678+0.0011212i,-0.0083046+0.0068086i,-0.0027623-0.0012492i,0.0072322-0.0015052i,0.0057763+0.0061985i,0.0024289+0.00073217i,-0.013647-0.022952i,0.010211-0.006119i,0.0023649-0.0022051i,0.0062016-0.0002307i,0.00082183+0.00020394i,0.003086-0.0098422i,0.0020567+0.0016244i,-0.0030141+0.0054848i,0.0021308+0.0044871i,0.0043795-0.0023207i,0.0028665-0.010101i,-0.0026204-0.0037257i,0.0041009-0.0077749i,3.465e-05+0.0043471i,0.0053918-0.01045i,-0.047467-0.0027034i,-0.03285-0.0056786i,-0.0061239-0.0097403i,-0.00010233-0.011017i,-0.008095+0.029294i,-0.0099018+0.0072096i,-0.011996+0.002976i
0.00081351+0.01118i,0.011998+0.038707i,0.016001+0.010805i,0.01194+0.016535i,0.012859+0.0046633i,0.016405+0.0087578i,-0.0047391+0.028565i,0.00037606+0.029634i,0.0041398+0.0033077i,0.00071798+0.0013009i,0.0027171+0.00048177i,0.0029961+0.002346i,0.0033591-0.0012817i,0.0027463+0.00362i,0.0034492+0.0046242i,-0.00030371+0.00896i,0.0071916+0.0085419i,0.0010387+0.00091668i,-0.00037049-0.0024528i,-0.0012521-0.00097004i,-0.0026995-0.00050884i,-0.00092574-0.0026686i,-0.0009944-0.0020755i,-0.0070988+0.0060819i,-0.001019-0.00073514i,-0.00019531+3.3856e-05i,-0.00097384+0.00011028i,0.00039984+0.00012746i,-0.00041033+0.0011458i,-0.0003309-0.00060745i,0.0009296+0.0011335i,-0.00076197-0.0011093i,-0.00052117+6.3362e-05i,5.3706e-05-0.00028874i,0.0013237+0.0013048i,-0.0058682-0.0089884i,0.00017779+0.00099216i,0.00017106+0.00025423i,0.00011619-0.00077213i,0.0030417-0.0022162i,-0.0015649-0.0013237i,-0.00077465+0.00027826i,-0.00051808+0.0028266i,0.0037828+0.0018031i,-0.0034067+0.00512i,-0.045443-0.027342i,-0.020932+0.035988i,-0.055582+0.011785i,-0.082015+0.028698i,-0.039031+0.010046i,-0.030588+0.035704i,-0.027631+0.029327i,-0.051225-0.018899i,-0.029982-0.032016i,-0.022869+0.029478i,-0.0063389+0.0065318i,0.018534+0.011691i,0.0047499-0.0081945i,-0.0046304-0.0018405i,-0.017496+0.016113i,0.0035078-0.00046756i,0.0019976+0.0057069i,0.0015594-0.0015364i,0.011638-0.0021808i,0.00062436+0.0065512i,0.0011037-0.00020085i,-0.0028739-0.010076i,0.0025934+0.0043197i,-0.00062754+0.0035841i,-0.0027569+0.012153i,-0.001561+0.00075239i,0.0060405-0.0033246i,0.0078814+0.0021416i,0.0030659-0.0007561i,-0.020967-0.021283i,0.005998-0.0086764i,0.0010139-0.0025038i,0.0039692-0.0021764i,0.001157+0.0010189i,0.0021059-0.0079585i,0.0025875-4.2722e-06i,-4.9593e-05+0.0058973i,0.0039013+0.0017149i,0.0036578-0.0031574i,-0.0033975-0.009914i,-0.0032222-0.0034876i,0.00026209-0.0077778i,0.00083564+0.0033278i,-0.00078224-0.010572i,-0.044788+0.0018404i,-0.031366+0.0079531i,-0.0096555-0.0094406i,-0.0051789-0.01227i,-0.003768+0.027535i,-0.0083843+0.012418i,-0.0091091+0.0044793i
0.0020943+0.010034i,0.017621+0.035928i,0.016159+0.0087491i,0.013496+0.012157i,0.0114+0.0013272i,0.017376+0.00533i,0.00053479+0.027205i,0.0026001+0.029355i,0.0038787+0.0016984i,0.00069832+0.0010172i,0.0023007+0.0004475i,0.0044346+0.0022118i,0.0024403-0.0017243i,0.0035618+0.0019097i,0.0041602+0.0036587i,0.0030992+0.0087819i,0.0093549+0.004391i,0.0013662+0.00058566i,-0.0010859-0.0024625i,-0.0015773-0.00036544i,-0.0021191+0.00035114i,-0.0015401-0.0025088i,-0.0013838-0.0015972i,-0.0058494+0.007545i,-0.0010377-7.4516e-05i,-0.00053606+0.00031817i,-0.00049101+0.00069798i,-0.0001445-0.00028644i,-5.6184e-05+0.00084026i,-0.00041261-0.00064149i,0.001157+0.00065711i,-0.0009202-0.00041665i,-0.00027521+0.00023684i,-0.00012376-0.00021125i,0.0018242+0.00044957i,-0.0077302-0.0076808i,0.00027361+0.00056602i,0.00012769-7.0407e-05i,-0.00036108-0.00070225i,0.0020597-0.0024967i,-0.001528-0.00086537i,-0.00040566+0.0005065i,0.00014253+0.0022906i,0.0045066+0.00098426i,-0.0019611+0.0051448i,-0.043695-0.022828i,-0.015559+0.03501i,-0.049878+0.024074i,-0.070117+0.045367i,-0.039385+0.01555i,-0.023949+0.035163i,-0.02234+0.027035i,-0.051731-0.013696i,-0.032591-0.027305i,-0.015096+0.031886i,-0.0037788+0.0072874i,0.013588-0.001369i,0.0012028-0.011047i,-0.004687+0.0012337i,-0.010316+0.019617i,0.0023439-0.001617i,0.0033239+0.0041269i,0.0021-0.00046516i,0.0096291-0.0056639i,0.0049625+0.0062249i,0.0012075+0.0013558i,-0.0077972-0.0051225i,0.0041416+0.005514i,0.0011076+0.0053477i,0.0049855+0.011169i,-0.00082346+0.0010255i,0.0046314-0.0047314i,0.0087806-0.0033037i,0.0013246-0.0015544i,-0.026725-0.012275i,0.0026295-0.0090978i,-7.851e-05-0.0017364i,0.0044714-0.00096247i,0.0018785+0.00061952i,0.0023711-0.0089733i,0.002062-0.0013668i,0.001984+0.004547i,0.00328+0.00069976i,0.0032333-0.0027789i,-0.0062282-0.0064021i,-0.0050557-0.0030565i,-0.0033463-0.0060122i,0.00068631+0.0020908i,-0.0046295-0.0075278i,-0.041105+0.0067138i,-0.024253+0.010683i,-0.0096726-0.0084836i,-0.0087304-0.011007i,0.001201+0.024782i,-0.0061814+0.013199i,-0.0079279+0.0039225i
0.0031253+0.0087426i,0.0233+0.032784i,0.016962+0.0069576i,0.013752+0.0085859i,0.0094511-0.0006289i,0.017585+0.0018126i,0.0052283+0.024883i,0.0071441+0.030029i,0.0034993+0.00029743i,0.00083592+0.00093169i,0.0026753+0.00054237i,0.005816+0.00039364i,0.0016189-0.0017826i,0.0029587+0.00081654i,0.0048357+0.0027291i,0.0060509+0.0068668i,0.009501+0.0011658i,0.0017766-0.00018914i,-0.0017542-0.0022254i,-0.0014364+0.00053017i,-0.0014073+0.00090217i,-0.0020413-0.0017332i,-0.0015986-0.0011711i,-0.0029802+0.0089366i,-0.0010347+0.00031043i,-0.00026037+0.00067653i,-0.0006316+0.0012774i,-0.00087975-7.5706e-05i,5.9705e-05+0.00071771i,-0.00052923-0.00059569i,0.0012508+0.00058927i,-0.0004568-0.0002934i,-0.00036766+0.00029953i,-0.00025699-9.1643e-05i,0.0015845-0.00042887i,-0.010374-0.0053419i,0.00041959+0.00014838i,-6.5381e-05-5.4419e-05i,-0.0010272-0.00043719i,0.0014782-0.0022154i,-0.0011834-0.00071324i,-2.1863e-05+0.00040298i,0.00043681+0.0018671i,0.0043885+0.00021144i,-0.00084427+0.0041944i,-0.046149-0.019728i,-0.011008+0.033295i,-0.042413+0.033389i,-0.054809+0.055314i,-0.038169+0.021107i,-0.016959+0.033663i,-0.018423+0.026066i,-0.051781-0.0078453i,-0.033932-0.021607i,-0.0073106+0.033509i,-0.001819+0.006889i,0.0061353-0.0041526i,-0.0037484-0.011036i,-0.0032513+0.0044853i,-0.003021+0.018886i,0.00036747-0.0022741i,0.0045127+0.0025188i,0.0015901-0.00022486i,0.006863-0.0087745i,0.0079357+0.0035668i,0.0026882+0.0017903i,-0.0084338-0.0013203i,0.0060884+0.0057581i,0.0035888+0.0058793i,0.0087242+0.007661i,-0.00031327+0.0017037i,0.0036142-0.0054042i,0.0070711-0.0094408i,0.00059956-0.00039054i,-0.029674-0.0029601i,7.0998e-05-0.01036i,-0.00036027-0.00049899i,0.0050042-0.0010521i,0.0022291+6.8799e-05i,0.0008815-0.01138i,0.00042192-0.0016718i,0.0032788+0.0039082i,0.0034801-0.00020797i,0.0042866-0.0034289i,-0.0079811-0.0036741i,-0.0066003-0.00011816i,-0.0064924-0.0035208i,0.00049593+0.00088822i,-0.0059861-0.0045374i,-0.037393+0.0098452i,-0.021847+0.011402i,-0.0092432-0.010222i,-0.010998-0.0090165i,0.0021834+0.022424i,-0.0057602+0.012988i,-0.0065492+0.0035749i
0.0041567+0.0076135i,0.029483+0.027907i,0.018724+0.0045354i,0.013404+0.0059155i,0.0082323-0.0010869i,0.017174-0.0014418i,0.0090531+0.021398i,0.012984+0.028431i,0.002898-0.00095197i,0.00092447+0.0007136i,0.0030286-0.00017811i,0.0054058-0.0023281i,0.0010686-0.0016019i,0.0027361+0.00028354i,0.0054497+0.0015141i,0.0071967+0.0039512i,0.0083448-0.0014864i,0.0012785-0.0010093i,-0.0026125-0.001417i,-0.00074873+0.00094771i,-0.00045353+0.00085384i,-0.0020317-0.001268i,-0.0018047-0.00070322i,0.00032475+0.0086339i,-0.00077082+0.00061155i,5.7428e-05+0.00065187i,-4.6189e-05+0.0015069i,-0.0011542+0.0005956i,0.00029209+0.0003557i,-0.00063407-0.00053955i,0.001369-0.00018046i,-0.00077169-0.00018961i,-0.00044474+0.00040407i,-0.00032453+4.0507e-05i,0.00095259-0.00087662i,-0.01101-0.0013582i,0.00028028-4.3969e-05i,-8.0815e-05+1.0809e-05i,-0.0013583+0.00022364i,0.0012058-0.0022543i,-0.0015463-0.0018304i,6.1687e-05+4.8301e-05i,0.00055304+0.0016081i,0.0044409-0.00056582i,-0.00044637+0.0033809i,-0.051155-0.013101i,-0.0067725+0.031132i,-0.03147+0.039315i,-0.040208+0.06171i,-0.036106+0.029076i,-0.01051+0.03i,-0.012019+0.02459i,-0.050493-0.0016949i,-0.032897-0.015703i,0.00073456+0.0333i,-0.00099547+0.0061138i,0.001053-0.0050143i,-0.0083116-0.0095345i,0.00071247+0.0055725i,0.00198+0.016839i,-0.002491-0.0016603i,0.0051993-0.0058048i,0.0027047+0.0017007i,0.0023955-0.010594i,0.0091826-0.0011997i,0.0039101+0.0010599i,-0.0085903+0.0031152i,0.0095674+0.0047632i,0.0072333+0.0041484i,0.01202+0.0032216i,0.00076111+0.0021421i,0.0020617-0.0061332i,-0.0019984-0.0090651i,0.0017034+0.00091128i,-0.029845+0.0087248i,0.00071681-0.0072577i,0.000375+0.00063464i,0.0056884-0.0045771i,0.0028176-0.00036765i,-0.0037734-0.012756i,-0.00052213-0.00082774i,0.0042276+0.0026432i,0.0033036-0.00084534i,0.0036634-0.0046658i,-0.0083049+0.00079452i,-0.0059144+0.0032831i,-0.0073704-0.00044614i,-0.0009521-8.4144e-05i,-0.0061369-0.0021679i,-0.034818+0.012456i,-0.020211+0.016098i,-0.011442-0.014063i,-0.0104-0.0067535i,0.0040781+0.021641i,-0.0060955+0.015443i,-0.0048264+0.0017603i
0.0050359+0.0061976i,0.033873+0.021285i,0.020134+0.00036929i,0.013122+0.003728i,0.0079137-0.0013822i,0.016585-0.0043509i,0.011346+0.017535i,0.017791+0.024734i,0.0021094-0.0018524i,0.00082316+0.00069858i,0.0027843-0.0010089i,0.0033985-0.0038301i,0.00062759-0.0014004i,0.0023546-7.5242e-05i,0.0054888+0.00010438i,0.0067402+0.0016868i,0.0072351-0.0033588i,0.00074167-0.0012893i,-0.0026098-0.00041752i,-6.085e-05+0.00097456i,0.0002612+0.00038451i,-0.0019742-0.00091427i,-0.0016904-0.00025331i,0.0029116+0.0079397i,-0.00042167+0.00064302i,0.00017036+0.00062141i,0.00059267+0.0012674i,-0.00069598+0.00080812i,0.00020955-5.4761e-05i,-0.00091428-0.00040863i,0.0011132-0.0007052i,-0.00091467+0.0001409i,-0.00020057+0.00066359i,-0.0003242+0.00021539i,0.00035666-0.0010773i,-0.0098103+0.00085668i,0.00040432+0.00045374i,-0.00016723-3.8396e-05i,-0.0013337+0.0010156i,0.00058523-0.0026459i,-0.00086518-8.8418e-05i,-4.7408e-05-0.00030303i,0.00074546+0.0015293i,0.0043075-0.0015307i,-6.1349e-05+0.0029658i,-0.053769-0.0021208i,-0.0046892+0.029287i,-0.021585+0.040586i,-0.023981+0.065693i,-0.029307+0.038111i,-0.0068074+0.024875i,-0.0079553+0.019325i,-0.046561+0.0031004i,-0.029983-0.010346i,0.0086443+0.03027i,-0.00070644+0.0062332i,-0.0048979-0.003291i,-0.011976-0.0060924i,0.0035216+0.0031885i,0.0058792+0.01527i,-0.0054215+0.00082293i,-0.00082162-0.0071804i,0.0049312+0.00061925i,-0.0027812-0.0096575i,0.0069456-0.0046498i,0.0048152-0.00065216i,-0.0070287+0.0069604i,0.012197+0.00025731i,0.0086129-0.00066849i,0.011425-0.0042898i,0.0022451+0.0017249i,-3.585e-05-0.0063513i,-0.004888-0.0053747i,0.0032663-0.00033835i,-0.022733+0.01421i,-0.0025341-0.0066689i,0.0018377+0.00083724i,0.0022156-0.0065021i,0.003007-0.00087226i,-0.0091724-0.010474i,0.00017461+0.00068836i,0.0049314+0.00074557i,0.0026574-0.0015455i,0.0025314-0.0053317i,-0.0064326+0.0041943i,-0.0037164+0.0052509i,-0.007468+0.0042899i,-0.0028687+0.00033261i,-0.0058408-0.00062615i,-0.03078+0.017293i,-0.01211+0.019351i,-0.017881-0.015361i,-0.009468-0.0072448i,0.0054849+0.02075i,-0.0033949+0.018749i,-0.0049364-0.0015506i
