-0.024353-0.0046806i,-0.021269-0.0073689i,-0.012188-0.013211i,-0.034998-0.0075043i,-0.027067+0.0018536i,-0.035477-0.0026512i,-0.066472-0.038703i,-0.032346-0.014739i,-0.021477+0.0025157i,0.0059509+0.006323i,-0.0049744+0.0074215i,-0.0086292+0.017713i,0.0058094+0.0080751i,-0.0011627+0.0030492i,0.0041736+0.0037076i,0.0043838+0.025796i,0.022031+0.019881i,0.0012148-0.00064502i,0.0012752-0.0044543i,0.0087498+9.1906e-05i,0.0050822-0.00048617i,0.002096+0.0014113i,0.0012932-0.00064803i,-0.024218-0.002198i,-0.0048055-0.0040626i,-0.0003019+0.0032115i,0.004445-0.0044585i,-0.0019785-0.00056116i,-0.00030689+0.0010789i,-0.0019053-0.0013672i,-0.0036692-0.00031041i,-0.0069089-0.008591i,-0.0048415-0.0073847i,-0.00062294+0.0001638i,-0.00023616-0.002169i,0.00054885+0.021864i,0.0027501-0.0039749i,0.00078643-0.004408i,0.0029012-0.0019749i,-0.0030986-0.0032039i,0.0010068-0.00013204i,0.0080578-0.0020218i,0.0030437-0.002304i,7.754e-05+0.0025948i,-0.013198+0.015491i,-0.026781+0.054333i,-0.0050793-0.037262i,-0.014825-0.018625i,-0.039889-0.016493i,-0.026972-0.012573i,0.037337-0.011572i,0.0065447-0.030039i,0.012977-0.038065i,-0.0078416-0.029584i,0.02538-0.022887i,0.013268+0.0073248i,0.028131-0.036011i,-0.0018034-0.0044789i,0.0062223-0.0090861i,-0.0011661-0.0058703i,-4.3093e-05-0.035871i,-0.014221+0.029721i,0.0086733-0.011395i,-0.0088611-0.0048716i,-0.0025446-0.0022197i,3.7058e-05-0.015734i,-0.007487+0.0060381i,0.0041182+0.0063191i,-0.0018064+0.029125i,0.0022968+0.0010563i,-0.0072283-0.0043875i,-0.0038583-0.0064844i,-0.014546-0.010017i,-0.0023005-0.0057167i,-0.03459+0.0061713i,-0.0048115-0.0085505i,-0.012934-0.0012122i,-0.010291-0.0057642i,0.0019623-0.0017454i,-0.013985+0.0024512i,-0.001793-0.00072952i,0.0056379+0.0062991i,0.0039288-0.0052187i,-0.013999-0.013956i,0.0076873+0.0083277i,-0.016435+0.0051291i,0.004869+3.9952e-05i,-0.01889-0.0032713i,-0.016744-0.0046892i,-0.014349-0.035533i,0.019844-0.0097291i,-0.039612-0.024758i,-0.01051+0.0047189i,0.017582+0.015589i,-0.022633+0.016997i,-0.004214-0.003873i
0.0039723+0.013934i,-0.0029515+0.015014i,-0.0021528+0.026133i,0.0022433+0.02414i,-1.5666e-05+0.028577i,0.011137+0.021943i,-0.0087375+0.025751i,-0.0052617+0.021264i,0.011455+0.0043677i,0.0022442-0.005033i,0.0020754+0.00036885i,0.0062363-0.0027611i,0.00064955-0.0016721i,0.00029477-0.003448i,0.00016373-0.0017884i,0.0063847-0.0061773i,-0.0030929-0.0043717i,-0.0013148+0.0023433i,0.00051361+0.00052235i,-1.8688e-05+0.0018144i,-0.0023652-8.5702e-05i,0.00017922-4.0653e-05i,0.0014144+0.00027688i,-0.0079247-0.0043769i,-0.0005873-0.00061187i,-0.0022157+0.00060184i,-0.0037766+0.00024745i,-0.0016887+0.00030277i,-0.0018432+0.00045833i,-0.00024982-0.00035555i,-0.0031175+0.000506i,0.0015891-0.0020447i,0.00089084-0.0028327i,-0.00026254-0.0010421i,-0.0015419+0.00071513i,-0.00094571-0.0042922i,-0.0020597+0.0015165i,0.0020512-0.00017037i,-0.00042799+0.002373i,0.0025074+0.0062227i,0.00020755+0.00092641i,-0.0012177+0.00037387i,-0.0013147-0.0014692i,0.0032938+0.004446i,0.014315+0.0069655i,0.04526-0.054741i,-0.027116+0.0054775i,0.01875-0.027977i,-0.022041-0.033849i,-0.011839+0.0024276i,-0.032587+0.034011i,-0.019549+0.0049847i,-0.016208+0.0084308i,-0.0022405-0.017684i,-0.040599-0.021322i,-0.0086958+0.0020831i,-0.028457+0.012047i,0.0027173+0.014185i,0.0010858+0.0047251i,-0.0039634-0.0047646i,0.00030378+0.0023492i,-0.013543-0.0043167i,0.0047638+0.013462i,-0.0013654+0.0078388i,-0.0020037+0.0038508i,0.00084638+0.0057956i,0.0026752+0.0028634i,-0.0015697+0.018781i,0.0041706+0.015165i,0.0047257-0.0050854i,0.011659-0.0053042i,0.0086656+0.0025959i,-0.0038285-0.0066654i,-0.00011359-0.0020165i,0.019154-0.031838i,0.0092195+0.0045489i,0.0079625-0.001506i,0.0025788-0.00049602i,0.0061075-0.0086348i,0.021985+0.00052808i,0.0058358-0.0032328i,0.0016784-0.0073204i,0.0049616-0.003494i,0.017384+0.003088i,0.0066457+0.0030607i,0.0034985-0.0036223i,0.009282+0.0093972i,-0.0017002+0.0048365i,0.0084+0.009935i,-0.01389-0.014952i,-0.0094221+0.0024706i,-0.0088491-0.013685i,-0.008266-0.004582i,-0.039074+0.0069649i,-0.0053909+0.0040154i,-0.012392+0.00042535i
0.0064468+0.012782i,-0.0010237+0.012485i,0.0044338+0.021676i,0.0057072+0.021649i,0.0040465+0.0268i,0.014238+0.019538i,-0.0054628+0.026378i,-0.0011945+0.021207i,0.011116+0.00043421i,0.00053962-0.0052266i,0.0025103+0.00076915i,0.0050494-0.0052749i,5.9991e-05-0.0023472i,0.00044256-0.0032189i,-0.00046883-0.0016669i,0.0028273-0.0061253i,-0.0052825-0.0023072i,-0.00030535+0.0025249i,0.0016028+0.00025888i,0.0011883+0.0014922i,-0.0017296+0.001321i,0.0006745+0.00033979i,0.0016058-0.00030079i,-0.007606-0.0017807i,-0.0004504-0.00031063i,-0.001823+0.0014231i,-0.002848+0.0019241i,-0.0011652+0.0007979i,-0.0013746+0.00084774i,-3.5716e-05-7.5039e-05i,-0.0025322+0.0018461i,1.9021e-06-0.0017284i,-0.00082185-0.0028404i,-0.0012985-0.00090881i,-0.0020577+0.0011038i,-4.5599e-05-0.0033066i,-0.0010365+0.0020566i,0.001132-0.0010354i,0.0001317+0.0026234i,0.0041125+0.0040807i,0.00065606+0.00082866i,-0.0013137+0.0006229i,-0.0018937-0.0011047i,0.0044827+0.0033079i,0.015161+0.0025493i,0.024751-0.065188i,-0.021191+0.013491i,0.0080035-0.035893i,-0.03381-0.026188i,-0.0094089+0.0055225i,-0.020977+0.039508i,-0.01587+0.010639i,-0.0053782+0.0034005i,-0.0042541-0.016489i,-0.045343-0.0052806i,-0.0083961+0.0025387i,-0.023361+0.023819i,0.0061726+0.0098748i,0.0018288+0.0032786i,-0.0087567-0.0065479i,-0.002155+0.0050697i,-0.013487+0.0038908i,0.010499+0.0098244i,0.0011092+0.0097869i,-0.00037925+0.0038659i,0.0031382+0.0066346i,0.0040051+0.0026384i,0.0064284+0.015155i,0.009179+0.0084572i,-0.0012208-0.0076425i,0.0058582-0.0067433i,0.0078962+0.0010357i,-0.0068167-0.00010527i,-0.00089286+0.00044771i,0.0048747-0.032217i,0.011109+0.0017734i,0.0081656-0.0046075i,0.0043044-0.0020822i,0.00086536-0.0058238i,0.020651-0.0094113i,0.0029347-0.0047775i,-0.0017838-0.0060018i,0.0011613-0.0033942i,0.01518-0.003088i,0.007292+0.0016494i,0.0025354-0.002189i,0.011769+0.0057192i,-0.00041833+0.0055756i,0.010052+0.0057003i,-0.019359-0.013125i,-0.0049275-0.012072i,-0.0079661-0.011498i,-0.0080218-0.0029942i,-0.033416+0.020378i,-0.0035588+0.0049265i,-0.010731+0.0025056i
0.0095602+0.011085i,-5.987e-05+0.010975i,0.0073575+0.015932i,0.008208+0.019142i,0.008805+0.02513i,0.017133+0.016536i,-0.0012426+0.026797i,0.0028929+0.020171i,0.0092806-0.002356i,-0.0009985-0.004694i,0.0035984+0.00040583i,0.0012959-0.0061178i,-0.00066298-0.0024382i,-0.00037162-0.0033339i,-0.00097963-0.0014008i,-0.00045447-0.0043903i,-0.0059084+0.00050076i,0.00083089+0.0024585i,0.0019126-0.0012564i,0.002247+0.00024413i,-0.00053793+0.0017395i,0.0014413-0.00015957i,0.0015139-0.00094177i,-0.0076334-0.00047655i,-0.00032411+1.5793e-06i,-0.00075934+0.002278i,-0.0013195+0.0022511i,-0.00041937+0.0010879i,-0.00083046+0.0010655i,-6.7907e-05-0.00028802i,-0.001444+0.0025878i,-0.00065647-0.0011918i,-0.001941-0.0016908i,-0.0018757-0.00019401i,-0.0015481+0.0021147i,0.0010432-0.0039627i,-0.00035722+0.00183i,0.00026337-0.0013798i,0.0018382+0.0021656i,0.0044534+0.002213i,0.001104+0.00070272i,-0.00037645+0.0013115i,-0.0023351-0.00071272i,0.0049328+0.0012669i,0.014629-0.0012872i,0.0026769-0.065159i,-0.010763+0.017192i,-0.0042669-0.037562i,-0.037327-0.017201i,-0.0041222+0.0068217i,-0.0069343+0.039984i,-0.0048295+0.011825i,-0.0042275-0.0037929i,-0.0060554-0.015452i,-0.041841+0.0095089i,-0.007491+0.0041382i,-0.010906+0.030322i,0.0069074+0.0057475i,-0.00042601+0.00082876i,-0.016513-0.0030806i,-0.0010508+0.0063455i,-0.0089749+0.0087193i,0.012253+0.0032349i,0.0044842+0.0097308i,-0.001478+0.0044074i,0.0045749+0.0046355i,0.0053185+0.00037762i,0.0088071+0.0085234i,0.0085144+0.0028397i,-0.0067607-0.0031765i,0.0036937-0.005923i,0.0090086-0.00037722i,-0.0027214+0.0074049i,0.0018449+0.002146i,-0.005013-0.027805i,0.012097-0.0032766i,0.0055631-0.0071561i,0.0025647-0.0040056i,0.00050245-0.004256i,0.013309-0.016332i,9.3284e-05-0.0017306i,-0.0041575-0.0034063i,-0.00030602-0.00056069i,0.010934-0.007126i,0.0097551-0.0016212i,0.0034856-0.0032197i,0.014642+0.00037534i,0.0030488+0.0049461i,0.0097726+0.0018293i,-0.023055-0.0056949i,-0.01559-0.019892i,-0.0065484-0.013526i,-0.006184-0.0033579i,-0.023184+0.026386i,-0.0036109-6.9524e-05i,-0.0084605-0.00082635i
0.012384+0.007764i,0.0015599+0.010299i,0.0078548+0.010791i,0.010548+0.017157i,0.01308+0.021606i,0.019554+0.012768i,0.0037711+0.026369i,0.0067011+0.018096i,0.0074316-0.0034516i,-0.0023035-0.0037272i,0.0040753-0.0014638i,-0.0012994-0.0042786i,-0.0015803-0.0023501i,-0.0015683-0.0026129i,-0.0016239-0.0010529i,-0.0014944-0.0015077i,-0.0046653+0.0032002i,0.0016941+0.0016867i,0.0011045-0.0017781i,0.0019441-0.0013479i,0.0003441+0.0015603i,0.0016344-0.0009505i,0.0011556-0.0016646i,-0.0078257+0.0016694i,-3.6095e-05-0.00016449i,0.00088295+0.0015201i,-0.00010439+0.0019896i,0.0002955+0.00075043i,-0.00013548+0.0013205i,-0.00013291-7.9096e-05i,-0.00033516+0.0026781i,-0.0014336-0.00081119i,-0.0026718-0.00043009i,-0.0018688+0.00087247i,-0.00054467+0.0024478i,0.00082621-0.0061083i,0.00055068+0.0019249i,-0.00058726-0.0011115i,0.002263+0.00058331i,0.0044445+0.00081274i,0.001592+0.00015214i,0.00054193+0.00098851i,-0.0025421+3.2164e-05i,0.0034805-0.0015147i,0.013495-0.0042853i,-0.015405-0.054045i,-0.0015314+0.014113i,-0.015048-0.034489i,-0.041089-0.0082553i,0.00082388+0.0046766i,0.0046267+0.034869i,0.0032149+0.0044277i,-0.0046602-0.0051613i,-0.0064309-0.012837i,-0.034892+0.018845i,-0.006322+0.0055904i,0.0010326+0.029012i,0.0070076+0.0027574i,-0.0036739+0.0020838i,-0.019467+0.0065094i,-0.00080583+0.0082372i,-0.0043358+0.0094302i,0.0096324-0.0028824i,0.0080013+0.0084866i,-0.00023963+0.0070546i,0.0041267+0.0042831i,0.0053018-0.0029787i,0.0071654+0.0030897i,0.0054469+0.00019081i,-0.0052863+0.00099365i,0.0017543-0.0056245i,0.008575-0.0029091i,0.0058254+0.0079094i,0.0034688+0.00049261i,-0.010256-0.021862i,0.0094482-0.0072504i,0.0028244-0.0083216i,0.0015503-0.0028887i,-0.00039808-0.0046201i,0.0055463-0.017616i,0.0026035-0.00083588i,-0.0046353-0.00025187i,0.0018383+0.0016538i,0.0073245-0.007373i,0.0085871-0.0064463i,0.0015055-0.0036882i,0.011634-0.007341i,0.0040182+0.0017264i,0.0094108-0.0023119i,-0.019142+0.0024465i,-0.026325-0.017335i,-0.010324-0.018143i,-0.0061286-0.0055419i,-0.014784+0.027002i,-0.0088062-0.00010711i,-0.011979-9.4534e-05i
0.013471+0.0039462i,0.002158+0.0085369i,0.0064459+0.0071236i,0.012949+0.014646i,0.016056+0.017481i,0.020888+0.0087254i,0.008889+0.024167i,0.0096637+0.015269i,0.0063638-0.0039166i,-0.0026922-0.0026678i,0.0029696-0.0027898i,-0.0021093-0.0024286i,-0.0024176-0.0018654i,-0.0017737-0.0016855i,-0.001954-0.00035891i,-0.00086477+0.00057902i,-0.0025183+0.0048781i,0.0019172+0.00083131i,0.00077475-0.0017171i,0.00086709-0.0021875i,0.00062588+0.0010673i,0.0012615-0.0015965i,0.00030415-0.0020093i,-0.0060596+0.0034768i,-0.00020577-0.00058388i,0.001069+4.8037e-06i,0.00085645+0.0010892i,0.00056036+0.00030698i,0.00065125+0.001039i,0.00028277-4.7121e-05i,0.00045148+0.0024755i,-0.0016621-0.00025134i,-0.0026265+0.0011656i,-0.0014019+0.0017131i,0.0002014+0.0024345i,-0.0012695-0.008075i,0.0010689+0.0012981i,-0.00083647-0.00031427i,0.0018797-0.00026003i,0.0039333-0.00011425i,0.0014639-0.00067751i,0.00076151+0.00033539i,-0.0022315+0.00069717i,0.001095-0.0010116i,0.012055-0.0064371i,-0.019945-0.039581i,0.0034127+0.0086162i,-0.024112-0.027431i,-0.042359+0.0034414i,0.0031783-6.8262e-05i,0.012801+0.02726i,0.0054431-0.0031195i,-0.0039726-0.007317i,-0.0051265-0.012889i,-0.028234+0.026064i,-0.0046006+0.0063334i,0.011988+0.023771i,0.0064997+0.00032005i,-0.0047389+0.0058001i,-0.016695+0.014388i,0.0018195+0.0095677i,0.00039706+0.010447i,0.0040601-0.00419i,0.010772+0.0056168i,0.0029933+0.0080466i,0.0048735+0.0045982i,0.0039547-0.0056097i,0.0038967+0.002956i,0.002773+0.0010689i,-0.0042968+0.0030884i,0.00029495-0.0044538i,0.0071035-0.0052623i,0.0096681+0.0026449i,0.0035641-0.0015361i,-0.013281-0.019388i,0.005713-0.0095068i,-0.00066524-0.0085695i,0.0028562-0.0025611i,-0.0016213-0.0033997i,0.00030978-0.016023i,0.0035324-0.0029261i,-0.0025845+0.0024809i,0.0046265+0.00064104i,0.005413-0.0080843i,0.0042184-0.011049i,0.0014049-0.0034808i,0.005434-0.010898i,0.0024157+0.00038267i,0.0055095-0.0063612i,-0.012706+0.0038542i,-0.035741-0.0078044i,-0.016427-0.017999i,-0.0077428-0.007376i,-0.0086854+0.026005i,-0.012654+0.0033599i,-0.011472+0.0040206i
0.013551+0.00047025i,0.0023595+0.007875i,0.0047694+0.0057235i,0.014854+0.011685i,0.017609+0.013137i,0.021796+0.0048885i,0.01358+0.020429i,0.011737+0.012017i,0.00594-0.0046118i,-0.0030925-0.0022358i,0.0012045-0.0032489i,-0.0023137-0.00078097i,-0.0032458-0.0010172i,-0.0017737-0.0013135i,-0.0020639+0.00033287i,0.00035783+0.0015248i,0.00019042+0.0052738i,0.0018768+0.00022122i,0.00021414-0.0020321i,-0.00029542-0.0023513i,0.0011112+0.00080831i,0.00082672-0.0020649i,-0.00037496-0.0017973i,-0.0048873+0.0036734i,-0.00056969-0.00045132i,0.00028608-0.00082047i,0.00092832-6.0702e-05i,0.00076636-0.0002439i,0.0011154+0.00031532i,0.00038827-0.00053732i,0.0012409+0.0021783i,-0.0016205+0.00015328i,-0.001627+0.0023145i,-0.0005201+0.0021305i,0.0007929+0.0022119i,-0.0044498-0.0087905i,0.0012279+0.00034339i,-0.00053583+3.0264e-05i,0.0015462-0.00088509i,0.0034422-0.00054584i,0.0010285-0.00093488i,0.00067857+0.00015295i,-0.0017625+0.00093831i,0.00049969+0.00056366i,0.010586-0.0077841i,-0.018391-0.032477i,0.0050647+0.0039968i,-0.028069-0.016606i,-0.037038+0.017172i,0.00030711-0.0044134i,0.016647+0.019288i,0.0053563-0.0094681i,-0.0044153-0.0083663i,-0.0067076-0.013441i,-0.019692+0.031076i,-0.003808+0.0072126i,0.017577+0.011597i,0.005763-0.0019304i,-0.0029355+0.0090883i,-0.010053+0.020555i,0.0047598+0.0083368i,0.0055084+0.0072415i,0.0015681-0.0022807i,0.012909+0.00090167i,0.0058147+0.00729i,0.0060718+0.003836i,-0.0010324-0.008137i,0.0037781+0.0051082i,0.0033517+0.0028169i,-0.001587+0.0062289i,0.00045104-0.0036964i,0.0054091-0.0064006i,0.01021-0.0026124i,0.0028317-0.0035089i,-0.019366-0.01723i,0.0017834-0.010086i,-0.0042971-0.0071899i,0.0015938-0.0042075i,-0.0016232-0.0017376i,-0.0025919-0.013148i,0.002084-0.004783i,-7.9356e-05+0.0027513i,0.0048318-0.0031776i,0.002648-0.0090855i,-0.0028555-0.011274i,0.00053236-0.004861i,0.00057718-0.0095994i,0.0022867-0.00030068i,0.00029181-0.0059591i,-0.0098425+0.0036866i,-0.033674+0.0085605i,-0.02234-0.01518i,-0.010048-0.0072809i,-0.0051811+0.025827i,-0.011524+0.0093173i,-0.0068758+0.0055409i
0.01288-0.002773i,0.003024+0.0078691i,0.0038168+0.0055175i,0.016077+0.0082963i,0.018234+0.009459i,0.02224+0.00061137i,0.017034+0.015644i,0.012919+0.0087675i,0.0055125-0.0053361i,-0.0037237-0.0013205i,-0.00029128-0.0025541i,-0.0013139+0.00061242i,-0.0036692+0.00016204i,-0.0022304-0.0013293i,-0.0020254+0.0010526i,0.0012899+0.0017967i,0.0024278+0.0044385i,0.001678-0.00016507i,-0.0002104-0.0020137i,-0.0012149-0.0017472i,0.0015125+0.00031226i,0.00010411-0.0023915i,-0.00083539-0.0014109i,-0.004339+0.0048651i,-0.00072768-0.00043852i,-0.00058655-0.00084021i,0.00067589-0.00068911i,0.00044423-0.00099761i,0.0010398-0.00059531i,-3.3357e-05-0.0010648i,0.0019208+0.0015116i,-0.0012928+0.0010693i,-3.1892e-06+0.0023981i,0.00043227+0.0020228i,0.0014295+0.0015675i,-0.0080458-0.0080754i,0.0011082-0.0002768i,-0.00043933-0.00015556i,0.00092498-0.0015513i,0.0031007-0.00098284i,0.00070786-0.0011026i,0.00090419-0.00013248i,-0.0015095+0.00088144i,0.001009+0.0011976i,0.0098399-0.0095182i,-0.018694-0.031218i,0.0060954+0.00069457i,-0.025677-0.0077104i,-0.025881+0.026756i,-0.0020488-0.0044875i,0.019068+0.01278i,0.0025548-0.014796i,-0.0045132-0.0094447i,-0.0075507-0.01115i,-0.010874+0.033451i,-0.0011477+0.0073893i,0.012323+0.0002377i,0.0037071-0.0043912i,0.00017861+0.010435i,-0.0023795+0.021756i,0.005929+0.0060365i,0.0066044+0.0021844i,0.0019059-0.0011105i,0.012305-0.0035768i,0.0098522+0.0053081i,0.0072139+0.0033665i,-0.005357-0.0034539i,0.0059826+0.0055016i,0.0048975+0.0032208i,0.0020896+0.0063419i,-0.00031714-0.0039421i,0.0035573-0.0077302i,0.0084182-0.00919i,-0.00019193-0.0042794i,-0.025452-0.010316i,-0.0015591-0.0093954i,-0.0063299-0.003837i,0.0011634-0.0025759i,-0.0014742-0.0015349i,-0.0043024-0.012659i,-0.00034549-0.0058673i,0.0011254+0.0010037i,0.0023319-0.0045558i,0.00025031-0.0086486i,-0.0065828-0.0069168i,-0.0019571-0.0052087i,-0.0033658-0.0079906i,0.00082374-0.0013031i,-0.0018253-0.003216i,-0.0068276+0.0039511i,-0.025875+0.011025i,-0.023283-0.010901i,-0.01197-0.0065098i,0.00021591+0.023754i,-0.0094237+0.011509i,-0.0049531+0.0041338i
0.011511-0.005554i,0.0046973+0.0079521i,0.0037311+0.0060445i,0.016486+0.0050724i,0.018238+0.0062486i,0.021584-0.003608i,0.019288+0.01032i,0.01347+0.0058114i,0.0049756-0.0064149i,-0.0039942-0.00023446i,-0.00066415-0.0014058i,-0.00017952+0.00050721i,-0.0036877+0.0015386i,-0.003116-0.00041062i,-0.0015901+0.0018539i,0.0022944+0.001198i,0.0038749+0.002955i,0.0016614-0.00049598i,-0.00067974-0.001839i,-0.0014647-0.00071813i,0.0016403-0.00039212i,-0.00061445-0.0020506i,-0.0010246-0.0009694i,-0.0022493+0.0058519i,-0.0011517-0.00029222i,-0.001032-0.00050597i,-3.7664e-05-0.0012814i,-0.00035676-0.0013961i,0.00046435-0.0013457i,-0.00065345-0.0010922i,0.0021112+0.0006956i,-0.00042825+0.00094052i,0.00064942+0.0016479i,0.0010141+0.0015338i,0.0015715+0.00091256i,-0.011237-0.0053592i,0.0006782-0.00092711i,-0.00070364-3.5659e-05i,-0.00013798-0.0020971i,0.0028897-0.00124i,0.00044075-0.0012215i,0.00086106-0.00044427i,-0.0015458+0.00082485i,0.0015281+0.0012854i,0.0082854-0.011803i,-0.02327-0.029692i,0.0054845-0.0031544i,-0.02329-0.0017774i,-0.013436+0.029413i,-0.0044655-0.0043762i,0.020757+0.0057882i,-0.00088444-0.016907i,-0.0056634-0.010216i,-0.0067052-0.0084669i,-0.0016714+0.033541i,0.0010211+0.0062498i,0.0065917-0.00084122i,0.00077975-0.005347i,0.0046268+0.011098i,0.0043866+0.019539i,0.0060633+0.0036725i,0.0053835-0.0017118i,0.0013103-0.0005135i,0.0095244-0.008132i,0.012356+0.00096491i,0.0087193+0.0018624i,-0.005123+3.8497e-05i,0.0083479+0.0048071i,0.0067761+0.0027565i,0.0060362+0.0043337i,-0.0011915-0.0035076i,0.0019161-0.0088357i,0.0026687-0.012519i,-0.0015793-0.0021471i,-0.028274-0.00061713i,-0.0037907-0.0082802i,-0.0064306-0.00022847i,0.0016736-0.0020607i,-0.0020032-0.0010322i,-0.0075268-0.012343i,-0.0030532-0.0053567i,0.0017496+8.5482e-05i,0.00044484-0.0049362i,-0.00065117-0.0079671i,-0.0081326-0.0038469i,-0.0044151-0.0032405i,-0.0065282-0.0053147i,8.1201e-05-0.0018697i,-0.0016909-0.0016755i,-0.0039394+0.0035075i,-0.023957+0.012358i,-0.02272-0.008492i,-0.014077-0.00489i,0.002156+0.022313i,-0.0078581+0.012182i,-0.0036948+0.0031531i
0.0098024-0.0076466i,0.0071265+0.0069326i,0.0050823+0.0062699i,0.016444+0.0019774i,0.018428+0.0035928i,0.020092-0.0074543i,0.019879+0.0042502i,0.013573+0.0029903i,0.0039724-0.0075525i,-0.0040035+0.00075601i,-0.00050375-0.00094695i,-0.00011115-0.0002804i,-0.0030726+0.0029237i,-0.0029754+0.00085243i,-0.00081763+0.0023652i,0.0023631+0.00018776i,0.0043358+0.0011719i,0.0013152-0.0010422i,-0.0012139-0.0012964i,-0.0010836-0.00010484i,0.001603-0.0011093i,-0.00086098-0.0016074i,-0.00098766-0.00058609i,-5.8422e-05+0.0055263i,-0.001458+0.0001223i,-0.0014773-6.928e-05i,-0.0013015-0.0014347i,-0.0012202-0.0012387i,-0.00047982-0.0017523i,-0.0012218-0.00081581i,0.0020292+5.2449e-06i,-0.00044808+0.00085428i,0.00082784+0.0011624i,0.0013625+0.00096854i,0.001576+0.00037872i,-0.01278-0.0013228i,-0.00026391-0.0012032i,-0.00067245+0.00020852i,-0.0013014-0.0020032i,0.0027344-0.0016713i,7.2431e-05-0.0011968i,0.00078455-0.00071325i,-0.0016479+0.00097706i,0.0019642+0.0011816i,0.0055767-0.01319i,-0.028982-0.023403i,0.0039008-0.0060644i,-0.017033+0.0033785i,-0.0023789+0.029475i,-0.0060055-0.0011394i,0.020614-0.0018858i,-0.0017353-0.019412i,-0.0058885-0.0094631i,-0.003847-0.0057558i,0.0064007+0.031439i,0.0018203+0.0042553i,0.0035191-0.0012012i,-0.0027702-0.0051226i,0.009877+0.0082205i,0.0082954+0.015929i,0.0046046+0.0019959i,0.0032787-0.0048163i,0.0025445+0.0020271i,0.0046267-0.010528i,0.01225-0.0053051i,0.0094508-0.000746i,-0.0046706+0.0028356i,0.011463+0.0026836i,0.0091278-6.9012e-05i,0.0075775-0.0002592i,-0.0016862-0.0029138i,-0.00081092-0.0091385i,-0.0046885-0.012117i,-0.00088822-0.00027282i,-0.027233+0.0098777i,-0.0058429-0.0072323i,-0.0047229+0.0025918i,0.0021143-0.0046389i,-0.0018825+0.00069116i,-0.01182-0.0098061i,-0.0053097-0.0027895i,0.0013956-0.0014098i,-0.0015229-0.0044723i,-0.0026011-0.0077044i,-0.0082018+0.0010331i,-0.0047149-0.00034359i,-0.008085-0.0015519i,-0.0014623-0.0027716i,-0.0012686-0.001486i,-0.0016321+0.0028972i,-0.02332+0.018661i,-0.023377-0.0088301i,-0.013665-0.0021641i,0.0061608+0.021434i,-0.0070024+0.014304i,-0.0020779+0.00069311i
0.0080489-0.0091687i,0.0091922+0.0049592i,0.0066479+0.0051424i,0.015751-0.0010596i,0.018443+0.00080303i,0.0181-0.010609i,0.018415-0.0011218i,0.013179+0.0003641i,0.0027504-0.0083871i,-0.0038785+0.0019722i,-0.00068973-0.00070354i,-0.00075587-0.00036084i,-0.0019442+0.0037545i,-0.0023721+0.0018913i,-9.7752e-05+0.0024939i,0.0015619-0.00038345i,0.0039349-0.00037205i,0.00093751-0.0012052i,-0.0011317-0.00069043i,-0.00056033+0.00012896i,0.0015117-0.0018136i,-0.00090498-0.001436i,-0.00075703-0.00039179i,0.0015659+0.0049349i,-0.0015256+0.00052763i,-0.001689+0.00067622i,-0.0023873-0.0007357i,-0.0017481-0.00064559i,-0.0015751-0.0015811i,-0.0017514-0.00030971i,0.001772-0.00054674i,-0.00024702+0.0011226i,0.0010702+0.00070624i,0.0015385+0.00032707i,0.0013805-8.162e-05i,-0.012639+0.0028545i,-0.0010959-0.00093419i,-0.00073261+0.00016785i,-0.0023433-0.0012983i,0.0023703-0.0023805i,-7.4841e-05-0.0010335i,0.00069453-0.0010363i,-0.0017195+0.0013933i,0.00233+0.00081677i,0.0032575-0.013442i,-0.029176-0.014082i,0.00062567-0.0075578i,-0.010834+0.003103i,0.0084335+0.026717i,-0.0046065+0.0030654i,0.017355-0.0085455i,-0.0051822-0.02416i,-0.0042722-0.0093025i,0.0012084-0.0046794i,0.014493+0.026057i,0.0016913+0.0031608i,0.00095064-0.00065414i,-0.0051044-0.0028225i,0.012019+0.002306i,0.011398+0.013003i,0.0025202+0.0023981i,-0.00038094-0.0074318i,0.0060256+0.00046368i,-0.0005343-0.009918i,0.0078062-0.009673i,0.0090865-0.0040324i,-0.0039854+0.0049043i,0.012972-0.0027305i,0.008516-0.0053268i,0.0061825-0.0047402i,-0.0020792-0.0024345i,-0.0037525-0.0084429i,-0.0094013-0.0068386i,0.00054226-0.00046426i,-0.02122+0.020914i,-0.008016-0.0053489i,-0.0021323+0.0038025i,-0.0011262-0.0057462i,-0.00079156+0.0010791i,-0.015135-0.0050685i,-0.0047733+0.00058364i,1.0861e-05-0.002433i,-0.0034619-0.0032137i,-0.0046561-0.0058659i,-0.0053904+0.0041818i,-0.0033267+0.0016009i,-0.007776+0.0030247i,-0.0040376-0.0023481i,-0.0018834-0.0013809i,0.0024024+0.0027171i,-0.01323+0.024821i,-0.027273-0.0073026i,-0.012119-0.001675i,0.0084938+0.019316i,-0.0039148+0.016763i,-0.0029478-0.0029032i
