-0.0089164-0.039617i,-0.013685-0.042741i,0.00081794-0.045836i,-0.026322-0.027853i,-0.020397+0.014217i,-0.032881-0.030549i,-0.05977-0.058804i,-0.022821-0.070188i,-0.034175-0.057567i,0.0025078+0.015199i,-0.0072587+0.010104i,-0.014334+0.01359i,0.0014347+0.016666i,-0.0035772-0.0032523i,0.00080442+0.0064677i,-0.00012275+0.036813i,0.021707+0.057612i,0.0008578-0.0002905i,-0.0053499-0.0082379i,0.0081176+0.0053184i,0.0016683+0.00097946i,-0.0016912+0.0040326i,-6.1543e-06-0.0011542i,-0.033446-0.0095847i,-0.0029165-0.007802i,-0.00022913+0.0044673i,0.0031741-0.0023392i,-0.00013244+0.00081533i,-0.00016729-0.00079439i,2.0289e-06-0.0030288i,-0.0012306-0.0052526i,-0.0023473-0.0038842i,-0.0013287-0.0077117i,0.0033053-0.00093885i,0.0029127-0.0026536i,-0.0027882+0.033132i,0.0063976-0.0047081i,0.0034456-0.0018i,0.0046077-0.0005726i,-0.017929+0.010652i,-0.00020194+0.00010979i,0.0079092+0.00012355i,0.0061001-4.1787e-05i,-0.0033521+0.0035332i,0.0022932+0.0014583i,-0.00324+0.0072277i,0.012821-0.087993i,-0.0074541-0.048744i,-0.025004-0.040631i,-0.020203-0.041554i,0.06188-0.017959i,0.02626-0.061193i,0.038275-0.045682i,0.0286-0.058298i,0.019372-0.015888i,0.0084126+0.0099343i,0.023825-0.031455i,-0.0077214-0.0050686i,0.0022056-0.0027146i,-0.0049679-0.0066424i,0.00069162-0.031852i,-0.024031+0.031025i,0.0079036-0.010716i,-0.010671-0.00097667i,-0.0050826-0.0011582i,-0.00086921-0.014006i,-0.010048+0.0042353i,0.0037668+0.0080991i,-0.01047+0.029099i,0.0053172+0.0068889i,-0.005444-0.001503i,-0.0020014-0.002396i,-0.011608-0.007212i,0.000662-0.0035761i,-0.038105+0.0070055i,0.0022008-0.012727i,-0.0095085-0.0014919i,-0.0062432-0.0029572i,0.0066967+0.001466i,-0.0088952+0.0015567i,0.0011304+0.00079298i,0.0060978+0.0085711i,0.0046845+0.00049208i,-0.0093676-0.0098299i,0.0026577+0.008874i,-0.019+0.0077574i,0.0059335+0.0026525i,-0.029386-0.0080283i,-0.033577+0.003596i,0.023535-0.079671i,0.012277-0.010681i,-0.042661-0.026257i,-0.023343-0.0032715i,0.018722+0.01244i,-0.025568+0.01186i,-0.012017-0.008228i
-0.032874+0.0018048i,-0.046535+0.018445i,-0.04887+0.042637i,-0.027649+0.0068619i,-0.0048051+0.013983i,-0.0075513+0.03099i,-0.027979+0.018445i,-0.05529+0.023739i,-0.021602+0.022033i,-0.00042492-0.0096832i,0.0015611-0.0013051i,0.0033976+0.00040018i,0.0032744+0.0084804i,-0.0038535+0.0015885i,0.0015007+0.002242i,0.00192-0.0090405i,-0.01322-0.0089704i,-0.0042262+0.00082384i,0.0038323-0.0023351i,0.0013318-0.0015743i,0.0021466-0.0040551i,0.0019798-0.0043601i,0.0020114-0.0033607i,-0.010151-0.011285i,-0.0026878-0.00038852i,-0.0036602-6.845e-05i,-0.0035498-0.0011439i,-0.0048005-0.0018523i,-0.0012007-0.001997i,0.0012977-0.0017821i,-0.0041843+0.0043745i,0.0012975+0.0016053i,0.0020214+0.0018042i,0.001446+0.00033106i,-0.0013372+0.003102i,-0.0033631-0.007796i,-0.0032843+0.00072389i,0.0012054-5.4933e-05i,-2.907e-05+0.0034322i,0.01172+0.006184i,0.0002219-0.0023305i,0.0010192-9.0794e-05i,-0.0054782-0.0038919i,0.001821+0.0039889i,-0.020336-0.016777i,-0.0025579-0.062825i,-0.089224-0.0089705i,-0.023026-0.020706i,-0.047725-0.040936i,-0.043362-0.0061035i,-0.092766+0.015183i,-0.061878+0.0014947i,-0.037302-0.02737i,-0.030156-0.05433i,-0.038154-0.026051i,-0.00035382+0.002002i,-0.024794+0.014005i,0.0047155+0.016473i,0.0041431+0.007415i,-0.00027304-0.0066187i,0.0093381+0.0040313i,-0.0098584-0.0040408i,0.0026677+0.010675i,-0.0013312+0.0069144i,-0.00097008-0.0024475i,0.0054805+0.0025994i,0.0035451-0.0013654i,-0.003951+0.019839i,0.00021454+0.013488i,0.0015344-0.0044811i,0.0098509-0.0079935i,0.0032096+0.0033637i,-0.0086006-0.007792i,-0.0017998-0.0016434i,0.032416-0.039545i,0.008488+0.0080481i,0.0041246+0.002137i,-0.0019375+0.0027795i,0.0034763-0.0040511i,0.020886+0.0024259i,0.001176-0.0019217i,-0.0010299-0.0068426i,0.001085-0.0026191i,0.010992+0.0040135i,0.0051897+0.00050975i,0.0030175-0.0061418i,0.0035244+0.0077791i,0.0039689+0.0028215i,0.017315+0.00080987i,-0.066443-0.042777i,-0.0098355+0.010959i,-0.0065715-0.0046918i,-0.0063109+0.0039455i,-0.036159+0.01141i,-0.0055412+0.0076801i,-0.014684+0.0041642i
-0.030554+0.0055465i,-0.042651+0.022956i,-0.03579+0.045266i,-0.0261+0.012397i,-0.00336+0.011447i,-0.0021346+0.030917i,-0.025805+0.022378i,-0.047913+0.030886i,-0.016452+0.019138i,-0.0035098-0.0068505i,0.0012565-0.00080945i,0.0033188-0.001368i,0.005621+0.0054988i,-0.0021748+0.0034728i,0.0017837+0.0023436i,-0.0035112-0.0067939i,-0.018836-0.0014054i,-0.0033816+0.0022193i,0.0038355-0.0029534i,0.0012086-0.0020948i,0.00096233-0.004112i,0.0016148-0.0032913i,0.0016954-0.0033567i,-0.011768-0.0065346i,-0.0022027+3.1096e-05i,-0.0039612+0.0011766i,-0.0030934+0.00030536i,-0.004598-0.00021i,-0.0018493-0.0018463i,0.00083897-0.0017314i,-0.002307+0.0061062i,0.0015002+0.0013936i,0.007455-0.00099157i,2.242e-05+0.00019984i,-0.0019091+0.0025596i,-0.0031129-0.0065281i,-0.0026897+0.0013689i,-0.00013795-0.00074252i,-0.00030908+0.0037501i,0.011725-0.00062276i,-0.00041872-0.003688i,0.00034457-0.00072763i,-0.0068634-0.0024996i,0.0029118+0.003475i,-0.021593-0.018145i,-0.021476-0.068354i,-0.083864+0.0077112i,-0.03004-0.022277i,-0.059924-0.033835i,-0.040946+0.0035471i,-0.081182+0.03521i,-0.058837+0.014504i,-0.02852-0.026958i,-0.036792-0.050181i,-0.032239-0.004749i,-0.00078432+6.0551e-05i,-0.017421+0.023805i,0.0086026+0.011255i,0.0061557+0.0029433i,-0.0054399-0.012017i,0.0050161+0.0031806i,-0.010035+0.0030534i,0.0068588+0.0083773i,0.0012604+0.0082783i,-0.0016601-0.0019994i,0.0065469+0.0034372i,0.0031956-0.0011303i,0.0057198+0.016095i,0.0063067+0.0086051i,-0.0033331-0.006023i,0.0023797-0.0081028i,0.0040544+0.0036095i,-0.011952+0.00058319i,-0.0020407+0.00081149i,0.01544-0.036722i,0.010825+0.0059477i,0.0068588-0.00030304i,0.0010449+0.0018749i,0.00011604-0.0021712i,0.017891-0.0069069i,-0.00045486-0.0024329i,-0.0037894-0.0056334i,-0.0024175-0.0020222i,0.010838+0.0001305i,0.0049396+0.00031393i,0.0010662-0.003661i,0.0066402+0.0066041i,0.0034479+0.002462i,0.015691-0.0047524i,-0.072435-0.033636i,-0.0029128+3.3747e-05i,-0.0072293-0.0039329i,-0.0055125+0.0032796i,-0.030925+0.021566i,-0.0034085+0.0084381i,-0.016574+0.0046984i
-0.027534+0.0081983i,-0.039758+0.02736i,-0.027467+0.04382i,-0.022721+0.015555i,-0.0009858+0.011293i,0.0034457+0.029604i,-0.022305+0.026519i,-0.040234+0.034977i,-0.016325+0.016504i,-0.0038332-0.0046521i,0.0016244-0.0006932i,-0.00031344-0.0025124i,0.0061635+0.0033702i,-0.0014881+0.0036494i,0.0025535+0.0024874i,-0.0071063-0.0017548i,-0.018013+0.0086847i,-0.001357+0.0035488i,0.0038965-0.0048372i,0.0011772-0.0030238i,-0.00030975-0.0043695i,0.0019807-0.0041872i,0.0012624-0.0039726i,-0.012381-0.0032046i,-0.0023849+0.00044912i,-0.0032092+0.003206i,-0.0024033+0.00068674i,-0.0031296+0.0018401i,-0.002258-0.0016598i,2.0733e-05-0.0025473i,0.00038517+0.0062657i,0.0017631+0.00099171i,0.0028554-0.00078836i,0.00059231+0.00029632i,-0.00118+0.0042308i,-0.0030654-0.0065114i,-0.0028197+0.0028698i,-0.00095674-0.00050235i,0.0028982+0.0034273i,0.0084381-0.0043226i,-0.0013593-0.0017182i,0.00058287-8.5983e-05i,-0.0087892-0.0007411i,0.0037915+0.0015892i,-0.025465-0.018468i,-0.043116-0.063692i,-0.073489+0.019874i,-0.036928-0.01891i,-0.066877-0.021562i,-0.034278+0.010017i,-0.061409+0.048441i,-0.04461+0.02713i,-0.030052-0.031859i,-0.042686-0.047025i,-0.032648+0.00010738i,-0.0015744-0.0006076i,-0.0063442+0.026711i,0.0094872+0.0067858i,0.0034066-0.0016472i,-0.018857-0.011838i,0.0040626+0.0022514i,-0.0058987+0.0070579i,0.0090897+0.0038228i,0.0043736+0.0078228i,-0.0042282+0.00014297i,0.0074463-0.0013325i,0.0036955-0.0024904i,0.0090916+0.0090241i,0.0061821+0.0031484i,-0.0081941-0.0026281i,0.00030795-0.0057763i,0.0065491+0.0025493i,-0.0075348+0.0093877i,-9.9086e-05+0.0024878i,0.00020213-0.030468i,0.013546+0.00072334i,0.0047696-0.003473i,0.00055703+0.00041873i,0.00076774-0.00013382i,0.011171-0.011487i,-0.0030318+0.00086813i,-0.0054562-0.0025007i,-0.0036848+0.0016984i,0.007877-0.0031845i,0.0077386-0.0013293i,0.0017667-0.0035806i,0.0097625+0.0027276i,0.005545+0.0014621i,0.011972-0.0092246i,-0.076872-0.020615i,-0.0083145-0.010479i,-0.0057999-0.0039135i,-0.004965+0.0022869i,-0.020648+0.025285i,-0.002426+0.003505i,-0.0098397+0.0037012i
-0.02454+0.0092082i,-0.035857+0.032741i,-0.021012+0.042577i,-0.018606+0.018919i,0.002821+0.0085302i,0.0082626+0.02711i,-0.017123+0.029894i,-0.03389+0.036873i,-0.017209+0.017892i,-0.004387-0.0033488i,0.0016572-0.002054i,-0.0025555+0.00084999i,0.0054177+0.0014661i,-0.0013495+0.005082i,0.0031001+0.0018628i,-0.006312+0.004281i,-0.011452+0.016489i,0.00074242+0.0028164i,0.001859-0.0062386i,-0.00017972-0.0041938i,-0.0016021-0.0038341i,0.001207-0.0048445i,0.00016954-0.0049415i,-0.012312+0.00044961i,-0.0021613+0.00079525i,-0.00064265+0.0032985i,-0.0023049+0.0010147i,-0.0010118+0.001632i,-0.0030162-0.00045294i,-0.0015087-0.002217i,0.0022826+0.0055182i,0.0015538+0.00028401i,0.0013488-0.00082188i,0.00064077+0.00010227i,0.0013527+0.0042783i,-0.0039979-0.0074088i,-0.0013666+0.0038612i,-0.0014313+0.00016469i,0.0031287+0.00045184i,0.0058668-0.0050926i,-0.0010301-0.0020475i,0.0010935-0.00045822i,-0.0099877+0.0025997i,0.0021571-0.0011163i,-0.0314-0.016521i,-0.059745-0.047915i,-0.062171+0.024951i,-0.042798-0.013229i,-0.070514-0.008707i,-0.026436+0.011915i,-0.042794+0.05124i,-0.029033+0.026431i,-0.033775-0.029819i,-0.04995-0.040835i,-0.031959+0.009113i,-0.0030217-0.00062705i,0.0028836+0.024878i,0.0096497+0.0012717i,-0.0012377-0.0018688i,-0.027043+0.00067435i,0.0010798+0.002768i,-0.0014876+0.0071904i,0.0075377-0.0011523i,0.0074469+0.0071352i,-0.0036443+0.0035634i,0.0035035-0.0028305i,0.0029373-0.0050493i,0.0083004+0.0023521i,0.003381+0.00088318i,-0.0081871+0.0014091i,-0.0014305-0.0044536i,0.0074284+0.00014124i,0.0019113+0.011014i,0.001444+0.0015612i,-0.008348-0.023093i,0.012211-0.0039075i,0.0044917-0.0031579i,0.0013484+0.0016716i,0.0014748-0.00059044i,0.0055145-0.011721i,-2.8389e-05+0.0036213i,-0.0059516+0.00062549i,-0.0012452+0.0042859i,0.0052223-0.0030561i,0.0069018-0.0057077i,0.00020839-0.0036719i,0.0085825-0.0032323i,0.0056018-0.0016749i,0.0077119-0.012613i,-0.074315-0.0068555i,-0.017523-0.011914i,-0.006426-0.0073117i,-0.0048926+0.001073i,-0.014646+0.02548i,-0.0065045+0.0029003i,-0.012204+0.0029016i
-0.022964+0.0097861i,-0.031275+0.037372i,-0.017617+0.041649i,-0.013367+0.021088i,0.0047228+0.0042393i,0.011705+0.024392i,-0.011087+0.031452i,-0.028622+0.038542i,-0.014767+0.02157i,-0.0044111-0.0020004i,0.0007385-0.0023204i,-0.0015174+0.003854i,0.0046309+0.00029917i,0.0011775+0.0066015i,0.0035664+0.0014312i,-0.0027797+0.0076858i,-0.0030671+0.019551i,0.0014497+0.0015068i,0.00024321-0.0060946i,-0.0022771-0.004213i,-0.0027355-0.0031218i,0.00034309-0.0049314i,-0.0020279-0.0048943i,-0.0099453+0.0033911i,-0.0025062+0.00081342i,-0.0002405+0.0020005i,-0.0020017+0.0020193i,-0.00029696+0.00069348i,-0.0027468+0.0010494i,-0.0018754-0.00091544i,0.0037718+0.0040976i,0.0012705-0.00027506i,0.00052548-0.00089928i,0.00030427-3.403e-05i,0.0023537+0.0029259i,-0.0063488-0.0074178i,-0.0002232+0.004055i,-0.0012528+0.0013295i,0.0016441-0.00054707i,0.003559-0.0050456i,-0.0013792-0.0021759i,0.0010326-0.0010915i,-0.020561+0.0013987i,-8.2071e-05-0.0001418i,-0.035671-0.010718i,-0.063106-0.028483i,-0.055456+0.026094i,-0.047744-0.0051961i,-0.071812+0.0058922i,-0.021927+0.0091128i,-0.027589+0.049704i,-0.019577+0.022496i,-0.036056-0.028316i,-0.053455-0.032891i,-0.026552+0.01742i,-0.0038689+0.00014698i,0.01296+0.019926i,0.0091605-0.00070647i,-0.0044309+0.00073922i,-0.0285+0.012408i,0.0007861+0.0045761i,0.0018825+0.006822i,0.0032534-0.002305i,0.010413+0.0040927i,-0.0015018+0.0055218i,0.0013252-0.0011452i,0.0010307-0.00672i,0.0031856+0.0010393i,0.00096444+0.0020186i,-0.0080091+0.0068659i,-0.0027283-0.0019147i,0.0067985-0.0024977i,0.006627+0.0070402i,0.001912+0.00054501i,-0.012992-0.022263i,0.0093163-0.0078029i,0.0029431-0.0050846i,0.0046136+0.0016441i,0.0013419-0.00060997i,0.0026344-0.010623i,0.0025585+0.0029743i,-0.0041968+0.004535i,0.0024107+0.0043502i,0.0048225-0.0026192i,0.0032493-0.010518i,-0.0001361-0.0030566i,0.0041446-0.0057835i,0.0035382-0.0037434i,0.0015236-0.014907i,-0.069369+0.0011047i,-0.026747-0.0063408i,-0.00939-0.0086128i,-0.0053099-0.00012261i,-0.0094173+0.025167i,-0.0095297+0.0057856i,-0.013386+0.0059796i
-0.022004+0.010928i,-0.025876+0.041616i,-0.014622+0.044154i,-0.0072731+0.020432i,0.0036024-0.00052257i,0.015237+0.021869i,-0.0049026+0.031283i,-0.023792+0.040541i,-0.010514+0.022512i,-0.0051832-0.001186i,-0.0010507-0.0019802i,0.00081414+0.005283i,0.0037055-7.5964e-05i,0.0038979+0.0055152i,0.0037507+0.00065423i,0.0011638+0.0086492i,0.0054325+0.018817i,0.0016524+0.0011183i,-0.0015282-0.005834i,-0.0039263-0.0029582i,-0.0031434-0.0017125i,-0.00053388-0.0052554i,-0.0033132-0.0035487i,-0.0082288+0.0041552i,-0.0028789+0.0020215i,-0.00037758+0.0018878i,-0.0020066+0.00027005i,-3.265e-05-0.00036584i,-0.0015059+0.0018126i,-0.0016153-0.00035105i,0.004795+0.0023966i,0.00096166-0.00057699i,-0.00041147-0.0011787i,3.6483e-05-0.00024701i,0.0028028+0.0022636i,-0.0088174-0.0061402i,0.00078029+0.0035802i,-0.00046162+0.001769i,0.00073761-0.001004i,0.0020993-0.0044624i,-0.0020446-0.0018776i,0.00046545-0.0014395i,-0.0046129+0.005944i,-0.00028296+0.0015816i,-0.037865-0.0034636i,-0.058676-0.015448i,-0.051552+0.028522i,-0.048632+0.0064941i,-0.067899+0.023068i,-0.023428+0.0070314i,-0.01607+0.044871i,-0.012839+0.017669i,-0.038699-0.024815i,-0.057042-0.026381i,-0.019827+0.022373i,-0.0047994+0.0016519i,0.016828+0.0073379i,0.0088917-0.0041683i,-0.0057338+0.0047877i,-0.021099+0.024706i,0.0025254+0.0048715i,0.0053451+0.0050448i,0.0012273-0.00032948i,0.011546-0.00073272i,0.00012251+0.0069466i,0.0011692+5.6568e-05i,-0.0030971-0.0079661i,0.0017653+0.0039506i,0.0012403+0.0041887i,-0.0038501+0.011774i,-0.0013968+0.00038936i,0.0052781-0.0037396i,0.0096214+0.0028589i,0.002383-0.0007885i,-0.020642-0.022151i,0.0048116-0.0096824i,0.0002234-0.0055222i,0.0043383-0.0019254i,0.0010008+3.7407e-05i,0.0013734-0.0088904i,0.0035526+0.00087762i,-0.00085144+0.0055173i,0.0037678+0.0014228i,0.0040817-0.0040036i,-0.0034074-0.010478i,-0.0006888-0.0032857i,0.00059803-0.006263i,0.0023181-0.00529i,-0.0056264-0.013305i,-0.066656+0.0083039i,-0.026654+0.0068017i,-0.013277-0.0089473i,-0.006949-0.00011369i,-0.0051953+0.025374i,-0.008476+0.010452i,-0.0088036+0.0086157i
-0.021114+0.012569i,-0.01952+0.045645i,-0.0093818+0.047542i,-0.0038229+0.018343i,-8.0686e-05-0.002786i,0.018766+0.018526i,0.00096938+0.029863i,-0.018801+0.042703i,-0.0069905+0.023565i,-0.0064489+0.00020702i,-0.0017517+0.00013771i,0.0037703+0.0054862i,0.0031034+8.5135e-05i,0.0050977+0.003184i,0.0034764+7.893e-05i,0.0045855+0.007846i,0.012596+0.014315i,0.0020174+0.00077836i,-0.0026227-0.005124i,-0.0047075-0.0010334i,-0.0025692-0.00052681i,-0.0018904-0.0054554i,-0.0038211-0.0021981i,-0.0082718+0.0051427i,-0.0022455+0.0031129i,-6.9848e-05+0.0023448i,-0.001173+0.0018094i,-0.0012052-0.0011664i,-0.0011981+0.0015495i,-0.001473-0.0001095i,0.0048336+0.00081168i,0.00095909-0.00088444i,0.00073821-0.0041257i,-8.2229e-05-9.3857e-06i,0.0037625+0.00050334i,-0.011016-0.0033608i,0.0017567+0.0034297i,0.00016679+0.0014437i,-2.7433e-05-0.0011957i,0.00090784-0.0041643i,-0.0022689-0.0011022i,0.00017638-0.0015499i,-0.0032143+0.0062942i,0.0003594+0.002153i,-0.037187+0.0031887i,-0.055807-0.010099i,-0.047582+0.032862i,-0.044158+0.016578i,-0.057396+0.037394i,-0.024493+0.010009i,-0.0079995+0.040782i,-0.010113+0.01241i,-0.04062-0.020757i,-0.059118-0.017723i,-0.013161+0.025256i,-0.0035341+0.0023375i,0.010689-0.0028994i,0.0057591-0.0083864i,-0.0041413+0.0080711i,-0.010653+0.028942i,0.0027818+0.0035607i,0.0072822+0.00075979i,0.0023547+0.00065188i,0.0096451-0.0040475i,0.0053035+0.0069153i,0.0013963+0.0017629i,-0.0072183-0.0032214i,0.0035506+0.0058495i,0.0028032+0.0056041i,0.0037201+0.014941i,-0.0004559+0.00041259i,0.0041466-0.0050837i,0.0098089-0.004405i,0.00060715-0.0014792i,-0.028316-0.014889i,0.0015637-0.0094481i,-0.001513-0.0037258i,0.0054398-0.0014092i,0.0010588-0.00018682i,0.0014241-0.009849i,0.0032082-0.00098406i,0.0013537+0.0038247i,0.003683+0.00062007i,0.0032751-0.0037951i,-0.0073685-0.0064387i,-0.0021701-0.0035535i,-0.0021395-0.0039549i,3.4634e-05-0.0065078i,-0.0095464-0.0087726i,-0.062279+0.015861i,-0.021775+0.0088754i,-0.013372-0.0068989i,-0.0078257+0.00093239i,0.00010179+0.022969i,-0.0071775+0.011815i,-0.0064439+0.0074026i
-0.019843+0.01416i,-0.01198+0.048563i,-0.0015877+0.050536i,-0.0032843+0.016592i,-0.003867-0.0023331i,0.021387+0.014587i,0.0060055+0.027328i,-0.012739+0.045639i,-0.0029411+0.023533i,-0.006597+0.0012604i,-0.00056144+0.0017009i,0.006913+0.0032958i,0.0030701+0.00023636i,0.0046611+0.0016065i,0.0035905-0.00017728i,0.0074078+0.0053477i,0.015781+0.0084842i,0.0023133-0.00053529i,-0.0037233-0.0045413i,-0.0042293+0.00093656i,-0.0017866+0.00019815i,-0.0033847-0.0045161i,-0.0037514-0.0011885i,-0.0067816+0.0078201i,-0.0013285+0.0042918i,0.0010906+0.0023219i,-0.00062579+0.0022264i,-0.0029529-0.00068349i,-0.00094821+0.0016714i,-0.0014198+0.00034681i,0.0046971-0.00082221i,0.0007511-0.0014712i,0.00040824-0.0018658i,-5.114e-05+0.00021364i,0.0030072-0.0011759i,-0.011935+0.0001747i,0.0027429+0.0028903i,0.00063106+0.0012385i,-0.0010146-0.0011947i,0.00039933-0.003286i,-0.0020219-0.00082493i,-0.00026609-0.0017183i,-0.0021116+0.0068507i,0.0010028+0.0025299i,-0.035849+0.0081678i,-0.056852-0.0053023i,-0.043237+0.037118i,-0.038986+0.023951i,-0.043735+0.045586i,-0.024924+0.013316i,-0.00040173+0.035607i,-0.0091243+0.010114i,-0.041619-0.015919i,-0.05941-0.0082205i,-0.0075019+0.025783i,-0.0025691+0.0025367i,0.003984-0.0038714i,0.00074712-0.010336i,-0.00050254+0.011046i,0.0010468+0.029085i,0.0019902+0.0022874i,0.0061722-0.0041235i,0.0020014+0.00056259i,0.0071572-0.0071194i,0.0087568+0.0037089i,0.0030595+0.0024597i,-0.0071145+0.00039876i,0.0058621+0.0063822i,0.0053377+0.0060641i,0.0073106+0.010863i,-0.0001016+0.00087159i,0.0033392-0.0060032i,0.019427-0.020289i,-8.332e-05+0.00017607i,-0.033428-0.0045182i,-0.00062511-0.0087372i,-0.0021612-0.0021879i,0.0057885-0.0029196i,0.0010194-0.00014751i,-0.00025607-0.011905i,0.0016646-0.0018253i,0.0029066+0.0031778i,0.0043256-0.00069785i,0.0037877-0.0044446i,-0.0088864-0.0028383i,-0.0039501-0.0017429i,-0.0037942-0.0016508i,-0.0023862-0.0068538i,-0.010763-0.0046918i,-0.057797+0.021745i,-0.020093+0.0098378i,-0.013034-0.0078134i,-0.0080028+0.0024739i,0.0015697+0.021763i,-0.0066502+0.012559i,-0.0052008+0.0067859i
-0.018154+0.01603i,-0.0030749+0.049655i,0.0082347+0.051569i,-0.0029509+0.015827i,-0.0057937+0.00074001i,0.023411+0.010531i,0.010108+0.023678i,-0.0044161+0.047342i,0.0011611+0.022685i,-0.006363+0.0027246i,0.00062898+0.0014069i,0.0072236-0.00085106i,0.0036746+3.2875e-05i,0.0046167+0.00057958i,0.0037578-0.00074138i,0.007816+0.0020563i,0.016529+0.0026226i,0.00084475-0.0016328i,-0.0053527-0.0030892i,-0.0031401+0.0019429i,-0.00086492+6.7119e-05i,-0.0040007-0.0034841i,-0.0036518-0.00025612i,-0.0037061+0.0096588i,0.0005671+0.0046765i,0.001686+0.0014637i,0.00018969+0.0024991i,-0.0035407+0.0010924i,-0.00033692+0.0016127i,-0.0011087+0.00060199i,0.0038642-0.0024853i,0.00012182-0.0015657i,-0.00042368-0.0016702i,-3.4603e-05+0.000147i,0.0017105-0.0019364i,-0.011498+0.0038335i,0.0031933+0.0017918i,0.001034+0.00089836i,-0.0019797-0.00051418i,8.7329e-05-0.0027265i,-0.0022819-0.00051679i,-0.0004996-0.0019841i,-0.00097345+0.0074086i,0.001917+0.0025718i,-0.034441+0.013674i,-0.060009+0.0030952i,-0.037211+0.040659i,-0.031199+0.029414i,-0.030729+0.050408i,-0.024091+0.020047i,0.0068046+0.028896i,-0.0047341+0.00763i,-0.041429-0.010666i,-0.056954+0.0016697i,-0.0015457+0.026457i,-0.0023777+0.0022596i,-1.0217e-05-0.0033046i,-0.0049151-0.0098299i,0.0051875+0.010517i,0.0096518+0.022523i,0.00016362+0.0019012i,0.0036626-0.0078648i,0.0031077+0.0020604i,0.0028856-0.0089438i,0.009728-0.0014555i,0.0049758+0.0017242i,-0.0069066+0.0041632i,0.0095304+0.0060027i,0.009331+0.0037642i,0.01172+0.0045592i,0.00088908+0.0013878i,0.0015856-0.0070813i,0.00041334-0.0094262i,0.0013028+0.0017343i,-0.03656+0.0042089i,-0.0031103-0.0083032i,-0.0017343-0.00037794i,0.0045012-0.0048934i,0.0017032+0.00017152i,-0.0050467-0.012943i,0.00056789-0.0014376i,0.0040495+0.0015391i,0.0041423-0.0018158i,0.0028861-0.0057433i,-0.0083205+0.0017712i,-0.0039555+0.00094945i,-0.0047265+0.00015378i,-0.0050599-0.0067299i,-0.01063-0.00093456i,-0.054115+0.02746i,-0.020256+0.015192i,-0.014932-0.010497i,-0.0051536+0.0037924i,0.0045665+0.021515i,-0.0064955+0.014978i,-0.0032115+0.005054i
-0.015967+0.017369i,0.0054614+0.048329i,0.018372+0.048047i,-0.0023258+0.016255i,-0.0051134+0.0041791i,0.025108+0.0060662i,0.012796+0.019612i,0.0041518+0.046319i,0.0043236+0.020947i,-0.0056262+0.0047028i,0.0007374+0.0011625i,0.0051785-0.0033824i,0.0038759-0.0010875i,0.0040913-0.0003237i,0.0035212-0.001478i,0.0064524-1.3609e-05i,0.015836-0.0021628i,-0.00010244-0.0011232i,-0.0056144-0.0011174i,-0.0019442+0.0033536i,-0.00021174-0.00039903i,-0.0045639-0.0027648i,-0.0031024+0.00047963i,-5.4727e-05+0.010243i,0.0025257+0.0037922i,0.0018619+0.00096803i,0.0012458+0.002275i,-0.0026397+0.0026373i,-3.1874e-05+0.0013171i,-0.0010479+0.00093223i,0.0022498-0.0033575i,-0.00051595-0.001518i,-0.0013083-0.00038114i,-0.00019238+5.2255e-05i,0.00051317-0.0021893i,-0.0095592+0.0070743i,0.0031904+0.00073028i,0.0011382+0.00035185i,-0.0021239+0.00075567i,-0.00025861-0.0026711i,-0.002399+3.3205e-05i,-0.0010111-0.0024764i,0.00056915+0.0078217i,0.0029166+0.0021043i,-0.031475+0.019437i,-0.059271+0.015631i,-0.03297+0.042979i,-0.023925+0.03184i,-0.016628+0.052807i,-0.018071+0.027865i,0.008195+0.020234i,-0.0024414+0.0010833i,-0.038505-0.0062109i,-0.051788+0.011438i,0.0054539+0.024119i,-0.0024543+0.0028523i,-0.0037041-0.0012385i,-0.0089901-0.0068795i,0.0086967+0.0067888i,0.0097691+0.016573i,-0.0024655+0.0034737i,-0.00044983-0.01081i,0.0051532+0.00044775i,-0.0015739-0.0077482i,0.0073417-0.0051779i,0.0062195-0.00062799i,-0.0050466+0.007043i,0.013234+0.0016276i,0.010802-0.0017801i,0.011256-0.0039437i,0.0026104+0.0008625i,-0.00093955-0.0071955i,-0.003939-0.0059631i,0.0034425+0.0005719i,-0.027278+0.023619i,-0.0049621-0.0086102i,-0.0002993+0.00068608i,0.0020062-0.0064019i,0.002355-2.8605e-05i,-0.010803-0.010288i,0.00081265-0.00074298i,0.0045472-0.0011461i,0.003012-0.0028606i,0.0014364-0.0063202i,-0.0056791+0.0053284i,-0.0025813+0.0028844i,-0.0042003+0.0034681i,-0.0083334-0.0054077i,-0.0096621+0.0015427i,-0.048221+0.035266i,-0.012197+0.021233i,-0.019749-0.011091i,-0.0026456+0.0021967i,0.0068711+0.020181i,-0.0039911+0.018131i,-0.0025913+0.0017235i
