-0.023235-0.019612i,-0.031737-0.034356i,-0.022717-0.019907i,-0.032184-0.021065i,-0.02425+0.0038093i,-0.029129-0.018408i,-0.05556-0.048089i,-0.041624-0.044352i,-0.030407-0.024538i,0.0051631+0.0055414i,-0.0031781+0.0066401i,-0.01055+0.011449i,0.0038937+0.006841i,-0.0036671-0.0027135i,0.0028586+0.0018378i,0.0014109+0.028979i,0.025059+0.03219i,-0.00010423+0.00051951i,-0.0028542-0.0028747i,0.0076291+0.0038188i,0.0017617+0.00057042i,-0.00014495+0.0025544i,-0.00065189+0.00024421i,-0.031825-0.0019672i,-0.0032876-0.0049911i,7.4121e-05+0.0025037i,0.0037483-0.0011947i,0.00097089-0.00030736i,-0.00079836-0.00043614i,-0.00096559-0.0020168i,-0.0022933-0.00060419i,-0.0039848-0.0038228i,-0.0027772-0.0051964i,0.00043277-0.0014302i,0.00061694-0.0033514i,-0.001519+0.025812i,0.0021335-0.0030734i,0.0023417-0.0040083i,0.0045361-0.0021619i,-0.0059039-0.0018092i,0.00074715+0.0013971i,0.010102-0.00026572i,-0.0015236-0.00032337i,-0.003217+0.0013659i,-0.0080277-0.0028655i,-0.018165+0.022089i,-0.0084197-0.087297i,-0.0028024-0.061696i,-0.02089-0.054541i,-0.011568-0.045743i,0.052915-0.027342i,0.02382-0.067205i,0.040472-0.054736i,0.018346-0.039705i,0.025923-0.020146i,0.01231+0.012119i,0.024991-0.028904i,-0.011238-0.00089907i,-0.0013261-0.00023095i,-0.0084065-0.0014706i,-0.0053177-0.029831i,-0.021342+0.026691i,0.0071292-0.0097702i,-0.010738-0.003302i,-0.0026251-0.0018963i,-0.0006203-0.014744i,-0.0083211+0.0056526i,0.0060969+0.010302i,-0.010894+0.029955i,0.0065305+0.0072596i,-0.0036588-0.0017436i,-0.0022867-0.0016039i,-0.012613-0.0060431i,0.00036149-0.0044884i,-0.033312+0.003384i,0.002765-0.0091328i,-0.0075268-0.0020901i,-0.0050874-0.0033405i,0.007141+0.0018938i,-0.010131+0.00062888i,0.0023826-0.00054089i,0.0059812+0.0079395i,0.0057017+0.0011289i,-0.0076604-0.0095518i,0.003157+0.0079184i,-0.019697+0.0074848i,0.0028833+0.0054266i,-0.021298-0.0090929i,-0.027052-0.0053614i,0.0094809-0.061084i,0.018735-0.01561i,-0.050331-0.028459i,-0.021951+0.00084903i,0.019333+0.010363i,-0.026715+0.011456i,-0.012359-0.0083237i
-0.011867+0.013959i,-0.022703+0.042053i,0.0013322+0.041136i,-0.010273+0.025626i,-0.00036247+0.021522i,0.001368+0.023746i,-0.026649+0.01513i,-0.027176+0.033264i,0.0007738+0.016733i,-0.0016734-0.0013439i,-0.0008379+0.00137i,0.0040845+0.0037813i,0.0032975+0.0050552i,-0.0032273+0.0017282i,-0.0030825+0.0036556i,0.00091669-0.0072757i,-0.0081166-0.0013976i,-0.0019599+0.00035013i,1.4031e-05-0.001259i,-0.0010938-0.00037791i,0.00082555-0.0033222i,0.0011728-0.0027289i,0.0011053-0.001502i,-0.009791-0.0097023i,-0.00014941-0.00041754i,-0.0013621+0.00034839i,-0.0023594-3.0627e-05i,-0.0029081-0.00010075i,-0.00091842-0.00090366i,0.001106-0.00061474i,-0.0017973+0.00024091i,0.0013284-0.00016527i,0.0017551-0.00074158i,0.00071234+0.00056645i,-0.00035177+0.0018351i,-0.00078045-0.0073882i,-0.0014917+0.00092736i,0.0017665-7.1042e-05i,0.00059945+0.0027049i,0.0044009+0.0058818i,0.0011854-0.0014507i,-0.0017825-0.0010341i,-0.0015775-0.0025988i,0.0030417+0.0057276i,-0.0079379+0.007173i,0.019281-0.058781i,-0.074724+0.015496i,-0.028282-0.018406i,-0.061511-0.047229i,-0.053233-0.016935i,-0.086778+0.0040278i,-0.074308+0.0020897i,-0.046685-0.034111i,-0.0089074-0.045532i,-0.038151-0.025628i,-0.0059642+0.00056294i,-0.031266+0.010296i,0.0079101+0.011234i,0.0098939+0.0069758i,0.001132-0.0069747i,0.010851+0.0031833i,-0.011495-0.0032299i,0.0028386+0.012256i,0.0018155+0.006639i,-0.00011779-0.0014757i,0.0056287+0.0017537i,0.0038696+0.00044089i,-0.004547+0.018843i,-0.00036302+0.0096971i,8.8412e-05-0.0033487i,0.0084274-0.0058467i,0.001263+0.0039651i,-0.0081225-0.0070912i,-0.0021955-0.0013313i,0.020747-0.030778i,0.0051215+0.0089729i,0.0017484+0.0027738i,-0.001829+0.0042934i,0.0029809-0.0039402i,0.0191+0.0026101i,0.0013524-0.0018237i,-0.0030485-0.0065304i,-0.00035613-0.0015921i,0.011463+0.0051143i,0.0052621-0.00069967i,0.0032573-0.0079615i,0.004781+0.0049587i,-0.0052957+0.0032017i,0.013479+0.0065178i,-0.04316-0.038695i,-0.012462+0.0054222i,-0.0023781-0.0017292i,-0.00099836+0.0026451i,-0.040022+0.011591i,-0.0065348+0.0084554i,-0.013427+0.0043613i
-0.0089381+0.014809i,-0.015521+0.042884i,0.01049+0.034955i,-0.0053434+0.026174i,0.0026035+0.019116i,0.0058581+0.022398i,-0.025431+0.019645i,-0.019473+0.035532i,0.0040335+0.011214i,-0.0018784-0.00034283i,-0.00019779+0.0025927i,0.0048264+0.001273i,0.0041476+0.0032136i,-0.001562+0.002989i,-0.0023462+0.0046869i,-0.0035644-0.0055461i,-0.0092784+0.0029991i,-0.0015988+0.001044i,0.00076286-0.00077433i,-0.00050832+8.7793e-05i,-1.2034e-05-0.0031665i,0.0010248-0.0021855i,0.00085391-0.0014868i,-0.0119-0.0061424i,9.5859e-05-0.00030486i,-0.001311+0.00064605i,-0.0016853+0.0011122i,-0.0023458+0.00068783i,-0.0012025-0.00073679i,0.0011339-0.00081782i,-0.0015978+0.0011328i,0.00097195-0.00047416i,0.0010855-0.001357i,0.00025714+0.00029991i,-0.0009619+0.0013664i,-0.00082656-0.0057096i,-0.00092231+0.0010052i,0.00072935-0.00062111i,0.00071703+0.0028007i,0.0055043+0.0031197i,0.00071782-0.0020335i,-0.0026623-0.0006533i,-0.0029077-0.0015268i,0.0045566+0.0049515i,-0.0059681+0.0049097i,0.00084047-0.068277i,-0.065812+0.029875i,-0.035582-0.021165i,-0.074273-0.038372i,-0.053545-0.005537i,-0.077774+0.021565i,-0.07135+0.017206i,-0.040736-0.032515i,-0.014503-0.043737i,-0.044601-0.010828i,-0.0069155+0.00027876i,-0.024627+0.023049i,0.010194+0.0056568i,0.011726+0.0010036i,-0.0037874-0.01134i,0.007291+0.0024317i,-0.010881+0.0030326i,0.007996+0.0098796i,0.0038241+0.0076035i,-0.00089443-0.00096023i,0.0063673+0.0022339i,0.0049716+0.0005583i,0.0041045+0.015858i,0.0041513+0.0058107i,-0.003548-0.0046956i,0.0021257-0.0069361i,0.0031163+0.0047668i,-0.010561-2.0764e-05i,-0.0021862+0.0016379i,0.0066231-0.031498i,0.0082856+0.0076378i,0.0040632+0.0021784i,0.0018199+0.0033101i,-0.00048192-0.0020243i,0.01729-0.0059662i,-0.00010975-0.0023259i,-0.0061963-0.0042296i,-0.0026307-0.00072344i,0.010167+0.00051207i,0.0045852-0.00039238i,0.00026066-0.0061586i,0.006614+0.0032731i,-0.0055598+0.0049665i,0.013529+0.0017406i,-0.050381-0.032214i,-0.0071274-0.0053492i,-0.0033223-0.0023175i,0.00063525+0.0013439i,-0.033523+0.023332i,-0.0044859+0.010177i,-0.010687+0.0062628i
-0.0056673+0.014749i,-0.0089265+0.043548i,0.015468+0.027274i,-0.00043035+0.024809i,0.0062018+0.01799i,0.0098802+0.019948i,-0.022084+0.024327i,-0.012385+0.035339i,0.0029138+0.006932i,-0.0018611+0.00080949i,0.0013942+0.0030667i,0.0023618-0.00018604i,0.004404+0.0018948i,-0.00059355+0.0029168i,-0.00099673+0.0056487i,-0.006707-0.001415i,-0.0076372+0.0076903i,-0.00071506+0.0015771i,0.0014688-0.0016819i,0.00017046-0.00030396i,-0.00097857-0.003037i,0.00093188-0.0028917i,0.00070874-0.0016085i,-0.013349-0.0024679i,-2.3991e-06-0.00037263i,-0.0008934+0.0012377i,-0.00071949+0.0008902i,-0.0014695+0.0016227i,-0.00127-0.00059632i,0.00070154-0.0015687i,-0.00086243+0.0016876i,0.00056507-0.00067883i,0.00033858-0.0013199i,0.00042462+0.00016334i,-0.0005271+0.0023977i,-3.5477e-05-0.0057787i,-0.00085139+0.00087395i,0.00016212-0.00070863i,0.0024851+0.0014712i,0.0052166+0.0010317i,4.6698e-06-0.0022432i,-0.0018902+0.00052906i,-0.0037206-0.00026888i,0.0056563+0.0032355i,-0.005849+0.003445i,-0.02159-0.068513i,-0.051931+0.039084i,-0.044335-0.017646i,-0.082353-0.023587i,-0.04886+0.0031939i,-0.062956+0.032712i,-0.058289+0.029679i,-0.043926-0.034492i,-0.019474-0.042684i,-0.043631+0.0044374i,-0.0073047+0.001525i,-0.012607+0.028813i,0.010646+0.0010247i,0.0084067-0.005035i,-0.013863-0.010878i,0.0071118+0.00063476i,-0.0077666+0.0064087i,0.010134+0.004452i,0.0059935+0.0066234i,-0.0027457+0.00049912i,0.0068523-0.0016173i,0.006422-0.0022514i,0.0076881+0.01006i,0.0042085+0.0019487i,-0.0079113-0.0012045i,-0.00040284-0.0048539i,0.0059044+0.0036969i,-0.006394+0.0089132i,0.00042224+0.0030998i,-0.0035532-0.027968i,0.011575+0.0035079i,0.0041061+0.00016979i,0.0022854+0.0011856i,0.00044972+0.00010125i,0.011011-0.011248i,-0.0020456+0.00037188i,-0.0073921-0.00068437i,-0.0032697+0.0024033i,0.0068853-0.0022091i,0.0071627-0.0018147i,0.00027681-0.0058009i,0.0089836+0.00014726i,-0.0028009+0.0062222i,0.011932-0.0024172i,-0.055435-0.021058i,-0.013645-0.013494i,-0.0021217-0.0028199i,0.0028157-0.00048884i,-0.023139+0.028991i,-0.0024146+0.0055311i,-0.0071285+0.0024814i
-0.0028355+0.013554i,-0.0016337+0.043823i,0.017559+0.020124i,0.0042213+0.023381i,0.01044+0.014581i,0.013417+0.016498i,-0.01714+0.02787i,-0.0069147+0.033248i,0.0018313+0.0058614i,-0.0011176+0.0018276i,0.0026271+0.0020264i,0.0010843+0.0015448i,0.0042626+0.00074188i,-0.00067025+0.0035636i,0.00053874+0.0058278i,-0.0065374+0.0039106i,-0.003113+0.010866i,0.00015873+0.0013482i,0.00064337-0.0021838i,-3.2238e-05-0.0010361i,-0.0017454-0.002483i,0.00022875-0.0031917i,0.00049425-0.0021084i,-0.013198+0.0021727i,-4.813e-05-0.00053823i,5.5716e-05+0.0009335i,-0.00069498+0.00045429i,-0.00025052+0.0015467i,-0.0015807+4.596e-05i,-0.0002413-0.0014499i,-4.8729e-05+0.0017485i,0.0001749-0.00074852i,-0.00049066-0.001036i,0.00042353+0.00011637i,0.00087176+0.0021875i,-0.000732-0.0076572i,-0.00043004+0.0012172i,-0.00044419-0.00049808i,0.0019783-0.00064888i,0.0048201-0.00044817i,-0.00064063-0.0021595i,-0.0010888+0.00045182i,-0.0037802+0.0014914i,0.0050086+0.00079286i,-0.0064071+0.0033287i,-0.041299-0.056955i,-0.038186+0.041324i,-0.051037-0.009712i,-0.086329-0.0078819i,-0.043135+0.0084001i,-0.049827+0.036544i,-0.044689+0.032236i,-0.048418-0.029422i,-0.024609-0.038789i,-0.038559+0.015479i,-0.0074985+0.0030759i,-0.0011308+0.028929i,0.0092915-0.0033895i,0.00299-0.0068057i,-0.020872-0.0021342i,0.0045132-0.00026431i,-0.0041815+0.007562i,0.0093286-0.0010538i,0.0082172+0.0050051i,-0.0026671+0.0032377i,0.0034585-0.0028228i,0.0054279-0.0063191i,0.007408+0.0039974i,0.0017211+4.0173e-05i,-0.0074996+0.0022761i,-0.001756-0.0035814i,0.0070275+0.0013726i,0.0028484+0.0099878i,0.0018817+0.0019923i,-0.0096676-0.022235i,0.011878-0.0010263i,0.0036814-0.0012269i,0.0026593+0.0014245i,0.00091858-0.00037815i,0.0055249-0.0111i,0.00030721+0.0022559i,-0.0067281+0.0026394i,-0.00081406+0.0045258i,0.0049221-0.0021236i,0.0069898-0.0057749i,-0.0019313-0.0052888i,0.0079848-0.0049707i,-0.0011865+0.0056685i,0.010185-0.0067197i,-0.054408-0.0079777i,-0.023152-0.013644i,-0.0025074-0.0069131i,0.0036375-0.0054348i,-0.015131+0.029209i,-0.0066776+0.0037968i,-0.010044+0.00027641i
-0.0010829+0.012273i,0.0053231+0.04227i,0.017072+0.014495i,0.0086333+0.020726i,0.012844+0.0098899i,0.015406+0.012584i,-0.01114+0.029658i,-0.0028755+0.031262i,0.0021973+0.0056952i,0.00021816+0.0022782i,0.002897+0.0012157i,0.0020327+0.0026429i,0.0039894-0.00032878i,0.00089465+0.0045417i,0.0021399+0.0055551i,-0.0037017+0.0073112i,0.0017043+0.011367i,0.00056975+0.0010561i,0.00048212-0.0020627i,-0.00064767-0.0011693i,-0.0025742-0.0018564i,-0.00060176-0.0029564i,-0.00031858-0.0024085i,-0.0104+0.005556i,-0.00040085-0.00087603i,3.0295e-05+0.0001875i,-0.00077308+0.00042324i,0.00033386+0.00088631i,-0.0013303+0.00077762i,-0.00032003-0.00082389i,0.00049148+0.0016154i,1.1646e-06-0.00098469i,-0.00090114-0.00034661i,0.00029118-8.466e-06i,0.0011017+0.0014482i,-0.0032212-0.0086923i,-6.1156e-05+0.0011569i,-0.00050664+0.00022318i,0.00059594-0.0010989i,0.0040893-0.0011483i,-0.0011913-0.0019484i,-0.00081382+0.00041239i,-0.0025616+0.0029398i,0.0036471+0.00088276i,-0.0062361+0.0044095i,-0.048518-0.039348i,-0.02799+0.039137i,-0.055214+0.00060912i,-0.087519+0.0092257i,-0.038728+0.0097937i,-0.038638+0.037457i,-0.034965+0.031752i,-0.050163-0.024585i,-0.02736-0.035194i,-0.031489+0.025487i,-0.0067441+0.0045582i,0.011688+0.024715i,0.0068947-0.0057181i,-0.001773-0.0055087i,-0.021165+0.0070239i,0.0033132+0.00013592i,-0.00047758+0.0088593i,0.0045602-0.0034617i,0.0099233+0.0024789i,-0.0010428+0.0050522i,0.0014511-0.0015604i,0.0025222-0.0091856i,0.003758+0.0024939i,-0.00063448+0.0010081i,-0.0068678+0.0062246i,-0.00288-0.0013542i,0.0070183-0.0012449i,0.0071312+0.0054021i,0.0026312+0.00092455i,-0.012497-0.01936i,0.009932-0.0055981i,0.0026845-0.0023662i,0.0048058+0.00042124i,0.00086141-0.00030843i,0.0028692-0.0096872i,0.0020464+0.0015669i,-0.0041222+0.0057153i,0.0019698+0.0041862i,0.0044045-0.002067i,0.003722-0.010842i,-0.0026727-0.0036822i,0.0038238-0.007966i,-0.00056114+0.004606i,0.005509-0.010513i,-0.047555-0.0014836i,-0.032222-0.0054082i,-0.0053138-0.008787i,0.0010087-0.010611i,-0.0086222+0.029081i,-0.010191+0.0066897i,-0.011183+0.0024759i
0.00048302+0.011311i,0.011442+0.039974i,0.016324+0.011632i,0.011883+0.016897i,0.012915+0.005221i,0.016687+0.00915i,-0.0048075+0.029324i,0.0002227+0.029685i,0.0030498+0.0040712i,0.00094153+0.0015531i,0.0026051+0.00056201i,0.0031545+0.0026909i,0.0034126-0.0012496i,0.0027618+0.0036739i,0.0033477+0.0047832i,-0.00020584+0.0087316i,0.0064052+0.0095827i,0.00091349+0.00078217i,-8.4005e-06-0.0026176i,-0.0012418-0.0010441i,-0.0027696-0.0005601i,-0.00099125-0.0027424i,-0.0010251-0.0020819i,-0.0081565+0.0066844i,-0.00099856-0.00048646i,-0.00032447+9.1558e-05i,-0.00099525+0.00056866i,0.00044814+0.00022163i,-0.0006292+0.0011619i,-0.00031609-0.00074474i,0.001111+0.0013672i,-0.0005093-0.0011246i,-0.00083063+0.00012431i,1.8808e-05-0.00018878i,0.0012938+0.0014937i,-0.0063956-0.0084458i,0.00013427+0.00086609i,-7.4673e-06+0.00039062i,-0.00012858-0.00089015i,0.0034358-0.0017518i,-0.0015908-0.0011916i,-0.00075104+0.0004843i,-0.00091694+0.0033149i,0.003736+0.0014889i,-0.0050834+0.0057164i,-0.04664-0.027088i,-0.020953+0.037005i,-0.055238+0.013821i,-0.082269+0.029537i,-0.039272+0.010473i,-0.030118+0.036012i,-0.026822+0.030345i,-0.050831-0.018706i,-0.031213-0.03213i,-0.022238+0.030107i,-0.0066012+0.0064537i,0.018269+0.010587i,0.004725-0.0081622i,-0.0047474-0.0019866i,-0.0166+0.015486i,0.0032757-0.0005275i,0.0041338+0.0066397i,0.0018749-0.0015172i,0.011477-0.0019583i,0.0010215+0.0062858i,0.00097791-0.00034339i,-0.0030038-0.010642i,0.0023222+0.0045157i,-0.00069463+0.0033956i,-0.0025194+0.010954i,-0.0018489+0.0007591i,0.0059145-0.0030925i,0.0080935+0.0014052i,0.0033918-0.00087665i,-0.018452-0.017932i,0.0063846-0.0077872i,0.00093005-0.0028411i,0.0039362-0.0017136i,0.00079345+0.00077705i,0.0020664-0.0079494i,0.0026552+0.00010907i,-0.00079548+0.0066679i,0.0032308+0.0019592i,0.0032388-0.0031264i,-0.003087-0.011121i,-0.0031426-0.0034701i,-0.00030042-0.0073573i,0.00041808+0.0036405i,-0.00071133-0.010431i,-0.044633+0.0023373i,-0.029509+0.0085261i,-0.0083532-0.009206i,-0.0039843-0.012468i,-0.0037608+0.027541i,-0.0088656+0.012106i,-0.0083725+0.0034681i
0.0018579+0.010202i,0.01724+0.037441i,0.016664+0.0094163i,0.013686+0.012677i,0.011602+0.0019424i,0.017679+0.0056639i,0.00060117+0.027717i,0.0031075+0.028844i,0.0034518+0.0027453i,0.0010379+0.0011221i,0.0023638+0.00070669i,0.0047266+0.0023836i,0.0024884-0.001772i,0.0034912+0.0019038i,0.0041886+0.003844i,0.0030795+0.0084925i,0.0095369+0.005999i,0.0012551+0.00054527i,-0.00094077-0.0027835i,-0.0016642-0.00046391i,-0.0021986+0.00038352i,-0.0016025-0.002565i,-0.0014208-0.0015726i,-0.0067089+0.0085978i,-0.0010797-4.9675e-05i,-0.00061143+0.00039113i,-0.00094774+0.0010109i,-0.00017047-0.00023354i,-0.00020584+0.0009134i,-0.00049087-0.0007536i,0.0016155+0.00083431i,-0.00072464-0.0004252i,-0.00045095+8.8025e-05i,-0.00014225-4.7415e-06i,0.0018574+0.00069831i,-0.0094626-0.0070809i,0.0003188+0.00078758i,6.4248e-05-3.2927e-05i,-0.00069333-0.00064815i,0.0027379-0.002299i,-0.0015271-0.0005033i,-0.00038607+0.00051976i,1.0274e-06+0.0025294i,0.0042844+0.00095204i,-0.0031279+0.0061578i,-0.045004-0.022238i,-0.015556+0.035422i,-0.049366+0.025712i,-0.070344+0.045923i,-0.039478+0.016152i,-0.023563+0.035137i,-0.021745+0.027517i,-0.050782-0.014205i,-0.033572-0.027102i,-0.014198+0.032344i,-0.0038838+0.0074213i,0.012775-0.0019095i,0.00084806-0.010335i,-0.0049148+0.0010812i,-0.010121+0.019099i,0.0019665-0.0015893i,0.0054323+0.002481i,0.002223-0.00022409i,0.0095479-0.0056101i,0.0049467+0.0060664i,0.0012167+0.0012725i,-0.0080647-0.0053205i,0.0040432+0.0059945i,0.0010786+0.0051987i,0.0034522+0.010912i,-0.00085836+0.0010664i,0.0044753-0.0045336i,0.0081158-0.0039949i,0.0015211-0.0022035i,-0.025188-0.011317i,0.0032101-0.0083507i,-0.00045298-0.0017858i,0.0041135-0.00091926i,0.0017599+0.00063635i,0.0024611-0.0092964i,0.0020245-0.0013553i,0.0020806+0.0052204i,0.0031979+0.0011721i,0.002895-0.0022786i,-0.0067941-0.0072477i,-0.0047426-0.0026148i,-0.0035907-0.0057499i,0.00056583+0.0022575i,-0.0045081-0.0074303i,-0.041384+0.0074116i,-0.023349+0.010434i,-0.0088893-0.0090244i,-0.008005-0.011553i,0.0014755+0.024744i,-0.0063631+0.013266i,-0.0078924+0.0029498i
0.0028557+0.0089603i,0.023056+0.034193i,0.017645+0.007472i,0.014215+0.0090777i,0.0097476-8.335e-05i,0.017923+0.0021612i,0.0052011+0.025225i,0.0065793+0.028148i,0.0036492+0.00094207i,0.0011613+0.00095788i,0.0028804+0.00073882i,0.0060722+0.00037728i,0.001624-0.0018102i,0.0029383+0.00092439i,0.0049011+0.0029517i,0.0058647+0.0064156i,0.01069+0.0022781i,0.0016043-0.0001276i,-0.0018644-0.0024476i,-0.0015476+0.00053963i,-0.0014552+0.00090802i,-0.0020988-0.0017238i,-0.0015644-0.0011715i,-0.0031077+0.0099233i,-0.00093574+0.00034241i,-0.00036705+0.00083916i,-0.00072873+0.0013912i,-0.0009283+5.5757e-05i,-2.7699e-05+0.00078075i,-0.0006703-0.0005207i,0.0017087+0.00011217i,-0.00030801-0.00042799i,-0.00062482+0.00012275i,-0.00018191+0.00010498i,0.0015539-0.00014224i,-0.011958-0.0038967i,0.00032801+0.00067848i,-0.00013944-8.7314e-05i,-0.0011487-0.00029005i,0.0021426-0.0025156i,-0.0011448-0.00018696i,-0.00023791+0.00033011i,8.9784e-05+0.002052i,0.0045091+0.00029304i,-0.0015693+0.0051423i,-0.047393-0.018455i,-0.011221+0.03353i,-0.041541+0.034788i,-0.05512+0.056093i,-0.038317+0.021825i,-0.016923+0.033302i,-0.017956+0.026464i,-0.051526-0.0098367i,-0.034833-0.021406i,-0.0059526+0.033006i,-0.0018927+0.0069206i,0.0053421-0.0040579i,-0.003616-0.010433i,-0.0032267+0.0044951i,-0.0034712+0.019204i,-0.00011603-0.0020686i,0.0047666-0.0010711i,0.0018891-0.00014334i,0.006779-0.0087666i,0.0077947+0.0034143i,0.0024974+0.0017252i,-0.0088673-0.0011697i,0.0063999+0.006256i,0.0035152+0.0055582i,0.0084202+0.0081885i,-0.00027867+0.0015369i,0.0036474-0.0053719i,0.0049345-0.0078965i,0.00029977-0.00072903i,-0.028813-0.0014743i,0.0009947-0.0083189i,-0.00053897-0.00040972i,0.0047863-0.0011197i,0.0021943+4.0004e-05i,0.00092825-0.011627i,0.00040798-0.0014701i,0.0038809+0.0039085i,0.0035084-7.2512e-05i,0.0043572-0.003156i,-0.0084007-0.0041654i,-0.0063405+0.000227i,-0.0062312-0.0033724i,0.00033349+0.0010718i,-0.0058597-0.0044916i,-0.037563+0.010809i,-0.020729+0.011157i,-0.0091386-0.010512i,-0.011188-0.0098224i,0.0021658+0.022283i,-0.0056319+0.013264i,-0.0069764+0.0030283i
0.0038906+0.0079375i,0.029184+0.029577i,0.019534+0.0048188i,0.01407+0.0061411i,0.0085848-0.00061216i,0.017577-0.001079i,0.0087996+0.021695i,0.010945+0.02682i,0.0030537-0.00083914i,0.0012147+0.00061974i,0.0032555-0.00013183i,0.0054901-0.0024609i,0.0010651-0.0015818i,0.0028202+0.00045645i,0.0055817+0.0017108i,0.006804+0.0036783i,0.010045-0.0014482i,0.0011186-0.00089552i,-0.0026943-0.0016119i,-0.00078229+0.0010388i,-0.00053508+0.00089904i,-0.0019672-0.0011146i,-0.0017548-0.00075088i,0.00041976+0.0094747i,-0.00064009+0.00052484i,-1.1612e-05+0.0008114i,-0.00019258+0.0016158i,-0.00096237+0.00075308i,0.00028028+0.00043882i,-0.00069919-0.0004077i,0.0014497-0.00052414i,-0.00067763-0.00045848i,-0.00058939+0.00047748i,-0.00022651+0.00010968i,0.001066-0.00059872i,-0.012552+0.00045016i,0.00033502+0.00063447i,-0.00012742-1.9608e-05i,-0.0013365+0.00032029i,0.0015352-0.0027451i,-0.0011007-0.00010302i,-0.00011581+0.00013496i,9.8013e-05+0.0019035i,0.004513-0.00053025i,-0.0010879+0.0042253i,-0.051932-0.011348i,-0.0072769+0.031705i,-0.030599+0.040222i,-0.040062+0.062571i,-0.035722+0.029934i,-0.010776+0.029965i,-0.01185+0.024743i,-0.05164-0.0039249i,-0.033826-0.015412i,0.00093337+0.032362i,-0.0011536+0.0060664i,0.00086821-0.0044374i,-0.0082418-0.0094616i,0.00072999+0.0053479i,0.00076005+0.017584i,-0.0028174-0.001278i,0.002919-0.0041543i,0.0023487+0.001251i,0.0020956-0.010597i,0.0088541-0.0011129i,0.0038075+0.0011955i,-0.0084656+0.0033836i,0.010046+0.005121i,0.0070931+0.0040126i,0.011619+0.00348i,0.00074055+0.0020759i,0.0020066-0.0063201i,-0.00096566-0.0086474i,0.0013826+0.0008865i,-0.028606+0.0094645i,-0.0015316-0.0079772i,0.00029893+0.00083398i,0.0053933-0.0046374i,0.0025604-0.00036575i,-0.0039498-0.013233i,-0.00054495-0.0004433i,0.0047241+0.0019138i,0.0031892-0.00062674i,0.0037394-0.0048791i,-0.0085581+0.00035063i,-0.005637+0.0036373i,-0.0076139-0.00039532i,-0.00087285-0.00047873i,-0.0062049-0.002249i,-0.034403+0.013382i,-0.019378+0.014939i,-0.011301-0.01419i,-0.011264-0.0068943i,0.0043744+0.021852i,-0.0057029+0.015455i,-0.0052216+0.0016079i
0.0049514+0.0065217i,0.033922+0.023247i,0.020842+0.00050019i,0.013816+0.0037949i,0.0083308-0.00093773i,0.017009-0.0040429i,0.01098+0.018039i,0.014899+0.024198i,0.0018413-0.0019203i,0.0010098+0.00048563i,0.0029176-0.00094767i,0.0033544-0.0039287i,0.00069628-0.0014349i,0.0024658-4.0209e-06i,0.005666+0.00024102i,0.0062809+0.0017645i,0.0082449-0.0041396i,0.00068242-0.001109i,-0.0029006-0.00063866i,-5.3321e-05+0.00097467i,0.0003255+0.00055337i,-0.0019235-0.00091854i,-0.0016955-0.00032996i,0.0032176+0.0086695i,-0.00040848+0.00057959i,0.00018287+0.00077521i,0.0004285+0.001417i,-0.00051812+0.0012001i,0.00020516+2.3056e-05i,-0.00091303-0.00028364i,0.0010361-0.00094449i,-0.00097477-5.0394e-05i,-0.00025922+0.00068462i,-0.00026453+0.000262i,0.00060379-0.00095977i,-0.011431+0.0040943i,0.00043747+0.00043955i,-0.00018268-9.3189e-05i,-0.0011301+0.0010332i,0.00074442-0.0030967i,-0.0009922+0.00022119i,-0.00020341-0.00022878i,0.00034886+0.0020195i,0.004588-0.0013801i,-0.000594+0.0038857i,-0.053405-7.1781e-05i,-0.0049001+0.030096i,-0.020952+0.041168i,-0.023433+0.06644i,-0.029026+0.038563i,-0.0072624+0.025005i,-0.0080427+0.019356i,-0.048932+0.0018659i,-0.03097-0.0096883i,0.0090543+0.029739i,-0.00081512+0.0060979i,-0.004686-0.0032515i,-0.011783-0.0060653i,0.003404+0.0029993i,0.004253+0.0162i,-0.0056396+0.0012815i,-0.00054651-0.0064884i,0.004453+0.00053774i,-0.0029876-0.0095294i,0.0065775-0.0045638i,0.0048795-0.00057449i,-0.0069888+0.0070763i,0.012932+0.0003549i,0.0086532-0.00051683i,0.011573-0.0033277i,0.0022902+0.0016273i,-7.6721e-05-0.0064755i,-0.0044086-0.0051879i,0.0029979-0.00018385i,-0.023319+0.021709i,-0.0034193-0.0062499i,0.0018569+0.0010194i,0.0023122-0.0065028i,0.0026214-0.00070142i,-0.0096665-0.011091i,0.00024391+0.00090963i,0.0048274-2.5076e-05i,0.0029221-0.0014721i,0.0023177-0.0056106i,-0.0066326+0.0042597i,-0.0031067+0.0057288i,-0.0075966+0.0037586i,-0.0031628-0.00057204i,-0.0060728-0.00061365i,-0.030667+0.017966i,-0.01227+0.018472i,-0.017505-0.015317i,-0.0099889-0.00648i,0.0056875+0.02067i,-0.0032039+0.018743i,-0.0052473-0.0016465i
