-0.022629-0.03742i,-0.012252-0.050029i,-0.01839-0.044107i,-0.030751-0.035414i,-0.030316-0.015564i,-0.049931-0.026931i,-0.057241-0.02593i,-0.044856-0.036526i,-0.028431-0.032425i,0.0073953+0.012085i,-0.0052629+0.015682i,-0.0046408+0.01401i,0.012325+0.021722i,0.00059044+0.0039413i,0.0031657+0.0035306i,0.0066433+0.018191i,0.023338+0.043194i,-0.0020163-0.0015686i,-0.004766-0.006029i,0.0065102+0.0011051i,-3.4112e-05-0.00094305i,-0.0008426+0.00094275i,-5.8077e-05-0.00045199i,-0.028558-0.0031316i,-0.0028014-0.0059031i,0.0016149+0.0044231i,0.0028095-0.000209i,-0.00050538+0.00053671i,0.00061731-0.00039145i,-0.00078284-0.0026342i,-0.0013554-0.0060966i,-0.0048074-0.0043637i,-0.0021724-0.0038199i,0.0023766-0.00057503i,0.0017703-0.0028929i,0.001213+0.024999i,0.0015995-0.0034243i,0.0027051+0.00084475i,0.0051978+0.0014498i,-0.010723-0.0039016i,-0.0034154+0.00013884i,0.0055334-0.0014651i,0.0066177-0.0002429i,-0.002819+0.0049856i,0.00092766-0.0094584i,-0.011257+0.017558i,0.035442-0.091291i,0.011858-0.070211i,-0.016193-0.059453i,-0.016852-0.055194i,0.038729-0.045474i,0.01658-0.061501i,0.033911-0.05489i,0.03042-0.059928i,0.016988-0.01373i,0.0047758+0.016498i,0.016038-0.025729i,-0.011331+0.0051212i,-0.00048338+0.0059836i,-0.005146-0.0013775i,-0.001409-0.029199i,-0.023809+0.031438i,0.010127-0.012712i,-0.011978-0.0027509i,-0.00015495-0.0050591i,-0.0015834-0.015999i,-0.0072489+0.0044466i,0.005523+0.006525i,-0.0081652+0.031043i,0.0053038+0.0061787i,-0.0050594-0.00063636i,-0.0033104-0.000812i,-0.012965-0.007353i,-0.0010571-0.0045773i,-0.043642-0.024418i,-0.00031524-0.0099812i,-0.0092756-0.0023801i,-0.0066744-0.0024098i,0.0069485+0.0027903i,-0.0079427+0.00075023i,6.7527e-05+0.00022691i,0.006793+0.010459i,0.004115+0.0020707i,-0.0093929-0.009241i,0.0027522+0.0079332i,-0.020838+0.0056589i,0.0080102+0.0008814i,-0.028008-0.0038239i,-0.04422+0.0036874i,0.019177-0.099243i,-0.00073802-0.012898i,-0.052524-0.021571i,-0.021816-0.0017825i,0.017869+0.010247i,-0.026119+0.012924i,-0.018023-0.013413i
-0.031884+0.018865i,-0.050327+0.020738i,-0.031745+0.045522i,-0.029596+0.02513i,-0.026583+0.039453i,0.006485+0.045377i,-0.0022698+0.022925i,-0.015614+0.038493i,-0.011702+0.021627i,-0.004406-0.0039314i,-0.004185-0.0027398i,-0.00181-0.0032307i,-0.0037862-0.00057642i,-0.0068001-0.0037101i,-0.0016456+0.0041273i,-0.003094-0.0010985i,-0.0099325-0.0050523i,-0.0011418-0.00058411i,0.003218-0.0014634i,0.0019829-0.000754i,0.002496-0.0035703i,0.0023423-0.0038369i,0.0014431-0.0025021i,-0.0089121-0.0083533i,-0.001597+0.00090597i,-0.003294+0.0013965i,-0.0018726-0.00033489i,-0.0033651-0.00097348i,-0.0010324-0.0015396i,0.0013466-0.0019032i,-0.0023618+0.0066279i,0.0014371+0.00011402i,0.0025793-0.00022288i,0.0010832+0.0019008i,-0.00099561+0.0030867i,-0.0015099-0.0059286i,-0.0017524+0.00033868i,0.00031244-0.00018094i,-0.0010197+0.0041994i,0.0066808+0.0044777i,0.0012052-0.0034586i,0.0020482-0.0050381i,-0.0034651+0.0024429i,-0.00033913+0.0029818i,-0.031404-0.004463i,0.010039-0.078827i,-0.093271-0.029615i,-0.052026-0.036209i,-0.075389-0.049558i,-0.057729-0.0054809i,-0.094148+0.019257i,-0.05886+0.010523i,-0.049173-0.023983i,-0.030592-0.056956i,-0.030197-0.026499i,0.002432+0.005225i,-0.018394+0.011091i,0.0094166+0.0038871i,0.010478+0.0047664i,-0.00061994-0.0068029i,0.0077469+0.0015755i,-0.0082054-0.0040102i,0.0030064+0.014686i,-0.00032037+0.0094055i,0.00078556+0.0014119i,0.0047905+0.0042071i,0.0018365-0.00083802i,-0.0005227+0.01462i,-0.00038797+0.011969i,0.0022164-0.0046241i,0.010075-0.0075374i,0.002101+0.0023726i,-0.0076018-0.0057961i,-0.0023257-0.0036691i,0.018525-0.029363i,0.0062646+0.0045184i,0.0038083+0.0043712i,-0.0028605+0.0025452i,0.0024081-0.0034649i,0.021728+0.0017112i,0.0022599-0.002492i,-0.0010625-0.0092882i,0.00077115-0.0026732i,0.013368+0.0056527i,0.0045256-0.00012068i,0.0050182-0.0063557i,0.0035353+0.0081259i,0.0052666-0.0010729i,0.022437+0.0046459i,-0.081623-0.035175i,-0.0055801+0.018026i,0.0074985-0.0036066i,-0.0036697+0.0028838i,-0.036635+0.011084i,-0.0069891+0.0069155i,-0.015939+0.013309i
-0.027233+0.022723i,-0.046566+0.025359i,-0.020735+0.044419i,-0.025567+0.028488i,-0.020144+0.040584i,0.014984+0.042459i,0.00084304+0.022437i,-0.0080404+0.039611i,-0.007653+0.018577i,-0.0055901-0.0014138i,-0.0042188-0.00059741i,-0.0027087-0.0034632i,-0.0044286-0.0001493i,-0.0067956-0.0011493i,-0.0005873+0.0049731i,-0.0050422+0.00098228i,-0.012606-0.00052372i,-0.0010919+0.00034773i,0.0034259-0.0021561i,0.0019214-0.0016614i,0.0016023-0.0039026i,0.001408-0.0038298i,0.00097724-0.0026948i,-0.0099493-0.0052168i,-0.00099416+0.00083676i,-0.0028442+0.0022774i,-0.0015287+0.00041475i,-0.0033334-5.2377e-05i,-0.0020209-0.0010332i,0.00075637-0.0017286i,-3.9386e-05+0.0070884i,0.0011767-0.00027387i,0.0022026-0.001147i,0.00099139+0.0013187i,-0.00088474+0.0026906i,-0.0013558-0.0046307i,-0.00053972+0.00068552i,-0.00060061-0.00043566i,-0.00013674+0.0048327i,0.0070127+0.0010375i,0.00014673-0.0033682i,-0.00017779-0.0058038i,-0.0026156+0.0030831i,0.00041163+0.0033147i,-0.032089-0.0039805i,-0.015193-0.089237i,-0.090162-0.010833i,-0.061502-0.033895i,-0.087547-0.038226i,-0.057129+0.0044802i,-0.083291+0.036847i,-0.055004+0.023601i,-0.040761-0.02221i,-0.038308-0.053186i,-0.035231-0.012415i,0.0039324+0.0026809i,-0.011423+0.019153i,0.0093358-0.00044348i,0.011988-0.0013271i,-0.0052605-0.010266i,0.0039057+0.00077444i,-0.0073674+0.0014407i,0.0081448+0.012647i,0.0035156+0.010456i,0.00089657+0.0012946i,0.0075687+0.0043141i,0.0025136+0.00020071i,0.0053928+0.01071i,0.0051811+0.0085967i,-0.0018886-0.0059344i,0.0032064-0.0082096i,0.0032569+0.002884i,-0.010213+0.0013232i,-0.0030932-0.00060214i,0.0071929-0.029303i,0.0074113+0.0031777i,0.0075105+0.0019669i,-0.00036417+0.0021845i,-0.00050212-0.0013885i,0.01872-0.0072977i,9.778e-05-0.0031914i,-0.0049735-0.0082138i,-0.0024224-0.0020277i,0.011491-0.0014324i,0.0038048+1.9899e-05i,0.00211-0.0051508i,0.0056858+0.0065758i,0.003762-0.0023624i,0.022511-0.0019555i,-0.085078-0.025591i,0.0029175+0.0072894i,0.0065934-0.0058443i,-0.0016527+0.002172i,-0.030001+0.022347i,-0.0049043+0.0078416i,-0.013382+0.015329i
-0.021629+0.025175i,-0.043425+0.030175i,-0.013592+0.040689i,-0.021262+0.030631i,-0.012888+0.042313i,0.022217+0.037389i,0.0041682+0.021979i,-0.00052315+0.038875i,-0.0072171+0.016156i,-0.0055125+0.0010565i,-0.0032529+0.0011303i,-0.0057285-0.0029677i,-0.0047411+0.0016895i,-0.0068008+0.00074656i,0.0012864+0.0055153i,-0.0055559+0.0042326i,-0.012149+0.005756i,0.00010679+0.00094222i,0.0031583-0.003775i,0.0017306-0.0027578i,0.00012587-0.0043668i,0.00053422-0.0046155i,0.0004575-0.0028473i,-0.011036-0.0024779i,-0.00089306+0.0009012i,-0.0020994+0.0033786i,-0.0010768+0.00043349i,-0.0027022+0.0016358i,-0.0021511-0.00060574i,-0.00016907-0.0025725i,0.0029338+0.0061288i,0.00078191-0.00039814i,0.0017591-0.0015085i,0.001334+0.00069948i,0.00012173+0.0033783i,-0.00067291-0.0048197i,-0.00085445+0.00055679i,-0.0010108-0.00019269i,0.0035982+0.0040749i,0.0057074-0.0010584i,-0.00066457-0.0028545i,-0.00017093-0.0031876i,-0.0018148+0.004074i,0.0013416+0.0024735i,-0.03435-0.0015345i,-0.04375-0.086218i,-0.080112+0.0026066i,-0.071224-0.026144i,-0.094825-0.022736i,-0.052674+0.012973i,-0.068091+0.048579i,-0.040323+0.033875i,-0.042159-0.024757i,-0.045743-0.04984i,-0.033673-0.0015773i,0.0044342-0.0006551i,-0.0021566+0.020812i,0.0084355-0.0030735i,0.0083265-0.0070394i,-0.015946-0.0077179i,0.0028694-0.00030692i,-0.0049434+0.0042854i,0.011947+0.0075794i,0.00448+0.01032i,4.7794e-05+0.0017575i,0.0080273-0.00092794i,0.0045689-0.0013105i,0.0065568+0.0054881i,0.0059548+0.0034616i,-0.0066007-0.0033014i,0.00048471-0.0062116i,0.0052331+0.0017019i,-0.005108+0.0082968i,-0.0015725+0.0015313i,-0.0025025-0.025144i,0.0089605+1.6412e-06i,0.0069956-0.0010656i,2.4704e-05+0.002295i,0.00076363+0.00060704i,0.012236-0.012505i,-0.0023187-0.00045948i,-0.0083775-0.004572i,-0.0034851+0.00093613i,0.0070014-0.0048851i,0.0059966-0.0013706i,0.0028725-0.0049303i,0.0089741+0.0037847i,0.0043136-0.0038514i,0.02068-0.0085779i,-0.088696-0.012193i,-0.0012286-0.0030153i,0.0087098-0.013123i,-0.00043314+1.8756e-05i,-0.020169+0.026801i,-0.0039118+0.0030766i,-0.0091849+0.0134i
-0.016196+0.02517i,-0.03939+0.036104i,-0.009607+0.037321i,-0.016611+0.033423i,-0.0044887+0.041271i,0.027952+0.031145i,0.008375+0.021108i,0.0061426+0.036288i,-0.007154+0.016445i,-0.0040778+0.0029498i,-0.0026692+0.001483i,-0.007538+0.00076001i,-0.0043097+0.0034065i,-0.0068556+0.0030963i,0.0030645+0.0047466i,-0.0040948+0.0075795i,-0.0086768+0.010759i,0.00082222+0.00013724i,0.0015624-0.0046223i,0.00015238-0.0039436i,-0.0013639-0.0040471i,-0.00070032-0.0045094i,-0.00011-0.0033464i,-0.010866+0.0011853i,-0.00038346+0.00054066i,-0.00015581+0.0031207i,-0.0010502+0.00044342i,-0.001335+0.001829i,-0.0023967+0.00038435i,-0.001674-0.0019906i,0.0043842+0.0033301i,0.00058796-0.00033943i,0.00070356-0.0018016i,0.0015321+0.00018746i,0.0017516+0.0027684i,-0.0015878-0.0068959i,-0.00071566+0.00097667i,-0.0014077+0.00043103i,0.0045419-0.00038608i,0.0041621-0.0022302i,-0.0012435-0.0025535i,0.00020004-0.0024008i,-0.019172+0.0084329i,-6.3563e-05-0.00010271i,-0.036301+0.0030679i,-0.067043-0.070072i,-0.069766+0.0084296i,-0.078876-0.014543i,-0.099051-0.0061502i,-0.046669+0.018544i,-0.053486+0.054125i,-0.025651+0.03323i,-0.04594-0.020542i,-0.053044-0.042303i,-0.032376+0.0060011i,0.0025686-0.0032357i,0.0059945+0.019344i,0.0069155-0.0058353i,0.0025458-0.0087447i,-0.01859+0.0031481i,0.00011394+0.0007891i,-0.0021112+0.0052551i,0.011688+0.00092331i,0.0093501+0.010325i,0.00037849+0.0029406i,0.0044886-0.0026223i,0.0041188-0.005154i,0.0051959+0.0016259i,0.0033382+0.00083371i,-0.0071586+0.00096973i,-0.0012753-0.0048731i,0.0058212-0.00028229i,0.0027785+0.0074297i,-0.00022851+0.0012964i,-0.0074545-0.019431i,0.0077797-0.0031318i,0.0065495-0.0029537i,0.0018483+0.0026453i,0.001752+0.00021634i,0.0069072-0.012777i,-0.00038176+0.0018015i,-0.0096039+7.4119e-05i,-0.0017851+0.003527i,0.0042467-0.0039236i,0.005607-0.0041432i,0.00044079-0.0054244i,0.0087617-0.0013278i,0.0018326-0.0064304i,0.017058-0.014975i,-0.085921+0.0029532i,-0.0088421-0.0052566i,0.0029802-0.012411i,-0.0002409-0.0032603i,-0.012971+0.026695i,-0.0083469+0.0017037i,-0.0092918+0.011341i
-0.012706+0.024684i,-0.034285+0.041058i,-0.0079441+0.035563i,-0.010503+0.035351i,0.0023305+0.03823i,0.031859+0.024066i,0.012813+0.018724i,0.011884+0.033096i,-0.0056224+0.018194i,-0.0025596+0.0039097i,-0.0026862+0.00242i,-0.006695+0.0042927i,-0.0034216+0.0047575i,-0.0051607+0.0057377i,0.0044526+0.003664i,-0.00099797+0.0096525i,-0.0032313+0.013285i,0.00077545-0.00050599i,0.00031139-0.0046127i,-0.0017026-0.0038093i,-0.002698-0.0032445i,-0.001966-0.0040542i,-0.0013654-0.0034657i,-0.0082014+0.0036604i,-0.00089761+0.00014803i,0.00016826+0.0017745i,-0.0011953+0.00054553i,-0.00061143+0.0015908i,-0.0018131+0.0015466i,-0.0018277-0.0006976i,0.0048568+0.0009059i,0.00046536-0.00066847i,-0.000159-0.0014995i,0.0013022-0.00037307i,0.0021121+0.0015395i,-0.0042098-0.0072808i,-0.00052521+0.0013027i,-0.0012698+0.0016174i,0.0011221-0.0015936i,0.0030262-0.0023092i,-0.0015567-0.0019742i,-0.00026016-0.0025398i,-0.0023489+0.004639i,-0.0027631+0.0014744i,-0.036255+0.0095692i,-0.075964-0.04713i,-0.064225+0.0097174i,-0.083218-0.00022333i,-0.099789+0.012662i,-0.042276+0.021285i,-0.039701+0.056748i,-0.016094+0.029884i,-0.047058-0.015875i,-0.057268-0.034329i,-0.029301+0.01482i,0.00055613-0.0045227i,0.01434+0.01401i,0.0048755-0.0074047i,-0.0025948-0.0073023i,-0.017587+0.011088i,-0.00011865+0.0027315i,0.0013188+0.0063215i,0.0071625-0.0017645i,0.014042+0.0062822i,0.0014569+0.0035184i,0.0026355-0.0015979i,0.0014539-0.0071477i,0.0027216+0.0015825i,0.0010588+0.0013844i,-0.0057266+0.005231i,-0.0029664-0.0025805i,0.0053522-0.0022849i,0.0053815+0.0034872i,0.0005381+0.0013257i,-0.0095603-0.019082i,0.0060814-0.0054644i,0.0047431-0.0054645i,0.0044823+0.0018124i,0.0018051-0.0002909i,0.0033504-0.011862i,0.0015568+0.0014196i,-0.0082725+0.0055314i,0.00082067+0.0038013i,0.0037711-0.0034725i,0.0039707-0.0082328i,-0.00024405-0.0042864i,0.0056541-0.0044478i,-0.0015518-0.0069868i,0.0096718-0.020481i,-0.079097+0.012465i,-0.015784-0.00075316i,-0.00071365-0.016147i,-0.0019604-0.006407i,-0.0073507+0.025907i,-0.012271+0.0048756i,-0.0084665+0.012588i
-0.009838+0.024837i,-0.028664+0.045711i,-0.0064742+0.036804i,-0.004245+0.035073i,0.0066773+0.034018i,0.034526+0.017348i,0.01668+0.014826i,0.016816+0.029163i,-0.002923+0.018591i,-0.0010724+0.0037872i,-0.002783+0.0037356i,-0.0050359+0.0066853i,-0.00179+0.0061996i,-0.002734+0.0066651i,0.005087+0.0021857i,0.0025022+0.0099218i,0.0025357+0.013172i,0.00073466-0.00059403i,-0.0011404-0.004745i,-0.0029553-0.0026771i,-0.0032365-0.0018867i,-0.0026247-0.0032315i,-0.002377-0.0026799i,-0.0071334+0.0040651i,-0.001331+0.00092946i,-0.00020735+0.001682i,-0.0014839+0.000934i,-2.306e-05+0.001183i,-0.0008291+0.0020979i,-0.0015186-3.7468e-05i,0.00499-0.00056136i,9.3934e-05-0.00080974i,-0.00063459-0.0011585i,0.00091479-0.00093271i,0.0021309+0.00103i,-0.0063953-0.0064765i,-0.000271+0.0013275i,-8.9838e-05+0.002253i,0.00023758-0.0013497i,0.002392-0.0020364i,-0.0019003-0.001325i,-0.00081386-0.0026181i,0.00052971+0.0050706i,-0.0032374+0.0044105i,-0.034164+0.016473i,-0.07385-0.0307i,-0.061814+0.012619i,-0.082546+0.017016i,-0.094114+0.033048i,-0.040406+0.024048i,-0.028353+0.055904i,-0.0082651+0.025287i,-0.046818-0.010286i,-0.061459-0.026045i,-0.022422+0.017942i,-0.002925-0.0048409i,0.017179+0.002263i,0.0028734-0.0093592i,-0.0057638-0.0035423i,-0.01158+0.017842i,0.0012358+0.0031168i,0.0051803+0.0046869i,0.0054665-0.00059437i,0.016275+2.6731e-05i,0.0029101+0.0036135i,0.0020876-0.0008512i,-0.0026227-0.0089795i,0.0013733+0.0027613i,0.00086326+0.0034365i,-0.0015717+0.0088033i,-0.0018328+9.096e-06i,0.0039205-0.0033631i,0.007062-0.00048836i,0.0018697+0.00042821i,-0.012148-0.016734i,0.0032759-0.007077i,0.0015873-0.006178i,0.0036209-0.00070844i,0.001742+5.1425e-05i,0.0016831-0.010011i,0.0022935+5.4957e-05i,-0.0035413+0.0097142i,0.0022407+0.0023421i,0.0023315-0.0039648i,-0.0017458-0.0099552i,-0.0011135-0.0048686i,0.0033244-0.0049862i,-0.0039022-0.0065163i,0.00018238-0.02145i,-0.074808+0.020056i,-0.013981+0.0095617i,-0.0053894-0.016714i,-0.0054816-0.0074157i,-0.0037173+0.025116i,-0.012227+0.010291i,-0.0039781+0.012583i
-0.0066916+0.025155i,-0.021524+0.05044i,-0.0027237+0.039026i,0.00073385+0.03363i,0.0088753+0.031222i,0.036243+0.010406i,0.019204+0.010247i,0.020511+0.024771i,1.3359e-05+0.019015i,-0.00052505+0.0038181i,-0.0015228+0.0058109i,-0.002154+0.0085388i,0.00021846+0.0068166i,-0.00048569+0.0065783i,0.0051524+0.00076095i,0.0058011+0.0089105i,0.0072044+0.010867i,0.00088466-0.00062886i,-0.002466-0.004156i,-0.0035423-0.0011697i,-0.0030759-0.00069171i,-0.0034425-0.0025365i,-0.0028385-0.0016568i,-0.0072319+0.0057356i,-0.0010484+0.0016306i,-7.9447e-05+0.0022198i,-0.001297+0.0016002i,-4.0476e-05+0.00083815i,-0.00011848+0.0018454i,-0.0012971+0.00031565i,0.004665-0.002056i,2.9924e-05-0.00046011i,-0.00063103-0.00099082i,0.00041792-0.0011274i,0.0023877-0.00010793i,-0.0091341-0.005383i,0.00025194+0.0013303i,0.00064298+0.0017546i,-0.00072042-0.001344i,0.0020533-0.0020833i,-0.0019749-0.00049246i,-0.001418-0.0023982i,0.0021487+0.0039253i,-0.0021516+0.0061666i,-0.029553+0.021593i,-0.07312-0.023553i,-0.060181+0.016729i,-0.075786+0.031517i,-0.082315+0.05047i,-0.037734+0.029759i,-0.01934+0.054877i,-0.0039515+0.019743i,-0.045466-0.0056776i,-0.06408-0.016197i,-0.017591+0.018381i,-0.0045751-0.0047097i,0.01108-0.0076938i,-0.00078709-0.01106i,-0.0064022-0.00011694i,-0.0043826+0.018702i,0.001546+0.0024595i,0.0073574+0.00082705i,0.0061619-0.0005798i,0.014562-0.0047159i,0.0051827+0.0028336i,0.0022163+0.00052527i,-0.0073736-0.0039974i,0.0024836+0.0047415i,0.0023598+0.0048536i,0.0026921+0.010346i,-0.0009998+0.00031793i,0.0026555-0.0040311i,0.0071448-0.0068385i,0.00076424-0.00078031i,-0.017844-0.010235i,0.00098987-0.0070028i,-0.00080624-0.0043689i,0.004251-0.00041022i,0.0017984-0.00030239i,0.00070609-0.010679i,0.0019639-0.0011465i,0.0016041+0.0084471i,0.0027474+0.0014633i,0.0020258-0.0027703i,-0.0058069-0.0059658i,-0.0037693-0.0051044i,0.0001302-0.0054873i,-0.0060609-0.0052392i,-0.0066009-0.018618i,-0.069657+0.027994i,-0.0080653+0.0087776i,-0.0068745-0.015828i,-0.0076084-0.0069736i,2.4829e-05+0.022308i,-0.010706+0.013291i,-0.0021869+0.010442i
-0.0035137+0.025167i,-0.012836+0.053735i,0.0031037+0.041198i,0.0050166+0.032109i,0.011032+0.029783i,0.036276+0.0035257i,0.020863+0.0052401i,0.023736+0.020286i,0.003499+0.018854i,0.00025668+0.0040491i,0.0012809+0.0067003i,0.0015364+0.0083748i,0.0021467+0.0067484i,0.00095568+0.0063167i,0.0050087-0.00041722i,0.0083336+0.00641i,0.0096606+0.0075891i,0.0011231-0.0014121i,-0.0034222-0.0031956i,-0.0032785+0.00053398i,-0.0025179+0.00026281i,-0.0039254-0.00095872i,-0.0028798-0.00087356i,-0.0045785+0.0081844i,-0.00050778+0.0023231i,0.00099695+0.0024273i,-0.00064061+0.0019685i,-0.00037043+0.0009802i,0.00020141+0.0017723i,-0.00097472+0.00080635i,0.0030957-0.0044135i,0.00035245-0.00072031i,-0.0010861-0.0010216i,-0.00015879-0.0010648i,0.0017745-0.0010162i,-0.01136-0.0025233i,0.00055561+0.0011725i,0.0010186+0.0014143i,-0.0015682-0.00081309i,0.0019558-0.0021733i,-0.0014793-5.4395e-05i,-0.0018621-0.0014779i,0.0027132+0.0024237i,-1.613e-05+0.007668i,-0.024974+0.024308i,-0.077909-0.017069i,-0.058918+0.022473i,-0.067451+0.043037i,-0.066208+0.061754i,-0.033773+0.034765i,-0.010062+0.052934i,-0.0018245+0.015965i,-0.044627-0.0015178i,-0.063543-0.0051112i,-0.014027+0.020093i,-0.006347-0.0032206i,0.0033176-0.0093242i,-0.0048875-0.010871i,-0.0052172+0.0038575i,0.00090953+0.016013i,0.00098509+0.0021509i,0.0067167-0.0040909i,0.0053599-0.0019896i,0.011473-0.010042i,0.00667+0.00050056i,0.0034249+0.00086958i,-0.0079885-0.00056423i,0.0046441+0.0054176i,0.0047894+0.0053968i,0.0076239+0.0070862i,-0.00056965+0.0010652i,0.0019958-0.0041901i,0.011918-0.0024785i,-6.1376e-06+0.00047822i,-0.020756-0.0019497i,-0.00039635-0.0067476i,-0.0017714-0.0025465i,0.0046542-0.0014871i,0.0019915-0.00042413i,-0.0019024-0.012133i,0.00084505-0.0015143i,0.0051129+0.0066665i,0.0033632+0.00022291i,0.0029465-0.0028317i,-0.0072492-0.0031057i,-0.0072736-0.0016727i,-0.0031127-0.0040403i,-0.0070464-0.0036834i,-0.011528-0.014586i,-0.064357+0.034983i,-0.0069403+0.0070933i,-0.008078-0.018111i,-0.0093262-0.0059683i,0.00046648+0.020863i,-0.0094167+0.015206i,-0.00048304+0.0087984i
0.0004644+0.025114i,-0.003206+0.055056i,0.010775+0.041262i,0.0090098+0.030608i,0.014375+0.029462i,0.035364-0.0027341i,0.021019-0.00034238i,0.02644+0.015657i,0.007118+0.017203i,0.0010179+0.0040086i,0.0037575+0.005427i,0.00377+0.0062662i,0.0040172+0.0061454i,0.0027341+0.0059299i,0.004619-0.0015431i,0.0092126+0.0033142i,0.011647+0.0044663i,0.00012462-0.0020737i,-0.004361-0.0018345i,-0.0020477+0.0014918i,-0.0016103+0.00054401i,-0.0033484+0.0001346i,-0.0029345+3.6479e-05i,-0.001382+0.0085008i,0.00040475+0.0024392i,0.00185+0.0017788i,0.00020126+0.0020751i,-5.4925e-05+0.0014716i,0.0009231+0.0012949i,-0.0005969+0.00080232i,0.0012377-0.0047978i,-0.00020386-0.00098921i,-0.0013935-0.00050015i,-0.00075614-0.00096072i,0.0010109-0.0013709i,-0.011983+0.001892i,0.00076395+0.00093769i,0.0016449+0.0010216i,-0.0019748+4.9884e-05i,0.0017676-0.0025429i,-0.0012823+9.1962e-06i,-0.0020092-0.00087029i,0.0023948+0.0013217i,0.0026112+0.008383i,-0.021343+0.026762i,-0.085759-0.0041386i,-0.054662+0.028103i,-0.056318+0.051537i,-0.050656+0.068828i,-0.028873+0.041136i,-0.0015027+0.048236i,0.0029154+0.012465i,-0.043437+0.003461i,-0.060262+0.0053078i,-0.010231+0.022302i,-0.0078226-0.0020276i,-0.0022953-0.0090086i,-0.008961-0.0097241i,-0.0012329+0.0052343i,0.0026593+0.013124i,-0.00021068+0.0023691i,0.0041255-0.0087467i,0.0054301-0.0012852i,0.0047451-0.01321i,0.0067539-0.0031545i,0.0046333+0.0001091i,-0.0079157+0.003677i,0.0079347+0.004617i,0.0080719+0.0033781i,0.0099556+0.002383i,0.00054732+0.0016414i,0.00098718-0.0045596i,0.00041466-0.0084562i,0.0012207+0.0019932i,-0.01876+0.0084857i,-0.0022291-0.0062824i,-0.001327-0.00056606i,0.0048617-0.0039125i,0.002114-0.00080103i,-0.0071332-0.011882i,-1.7488e-05-0.0013715i,0.0069884+0.0032294i,0.0034629-0.00041708i,0.0026017-0.0039046i,-0.0074335+0.0013499i,-0.0066817+0.0027138i,-0.0050593-0.0013617i,-0.0081086-0.0026618i,-0.014759-0.0097852i,-0.059549+0.041585i,-0.0070671+0.0094057i,-0.012527-0.021756i,-0.009233-0.004359i,0.0026172+0.020606i,-0.0085085+0.018611i,0.0014565+0.006327i
0.0046508+0.023767i,0.0061818+0.054046i,0.018474+0.03845i,0.01303+0.028682i,0.019004+0.02833i,0.033974-0.0086001i,0.019504-0.0054441i,0.028062+0.010224i,0.0097586+0.014725i,0.0016343+0.0039698i,0.0046364+0.0038018i,0.0043206+0.0044896i,0.0056223+0.0046538i,0.004159+0.0046837i,0.0038438-0.0026063i,0.0086452+0.00067889i,0.012186+0.00088572i,-0.00083256-0.0018561i,-0.0042816-0.00022262i,-0.00098368+0.0015146i,-0.00086681+0.00031249i,-0.0029006+0.0007399i,-0.0024197+0.00079115i,0.00092775+0.0085877i,0.0012966+0.0019484i,0.0022614+0.0010108i,0.00099479+0.001752i,0.00056984+0.0015472i,0.0008961+0.00051359i,-0.00049326+0.0009271i,-0.00046758-0.0044302i,-0.00083-0.00076753i,-0.0013894+0.00017133i,-0.0010852-0.00052053i,0.00042161-0.0015614i,-0.010517+0.0051677i,0.00098326+0.00059765i,0.0017537+0.00017798i,-0.0019417+0.0013036i,0.0011108-0.003274i,-0.00134+6.0961e-05i,-0.0018474-0.0007311i,0.0020096+0.00084452i,0.005218+0.0079011i,-0.017576+0.029093i,-0.087853+0.015732i,-0.051906+0.031848i,-0.045891+0.056361i,-0.033826+0.073312i,-0.020437+0.047336i,0.0049081+0.04231i,0.0050529+0.0047932i,-0.039769+0.0083807i,-0.053698+0.01494i,-0.0036913+0.024213i,-0.009247+0.00040031i,-0.0077906-0.0059912i,-0.012024-0.0064245i,0.0016092+0.0036046i,0.0041526+0.011863i,-0.0021367+0.0039826i,-0.00042119-0.011384i,0.0064342-0.0031268i,-0.0019945-0.01208i,0.0046965-0.0052186i,0.005187-0.0021387i,-0.0060254+0.0068306i,0.010522+0.00074823i,0.0089994-0.0020384i,0.0085179-0.0042173i,0.0023393+0.0012206i,-0.00024594-0.004596i,-0.0040558-0.0048137i,0.0033184+0.00099283i,-0.0031243+0.020318i,-0.0029756-0.0056351i,0.0001648+0.00038912i,0.0027829-0.0055023i,0.0021829-0.0011181i,-0.012084-0.0081785i,-0.00016555-0.00016344i,0.0073574-0.0001877i,0.0029141-0.0015026i,0.0016715-0.00456i,-0.0049458+0.0047653i,-0.0039522+0.0056586i,-0.0049679+0.002376i,-0.009968-0.00085572i,-0.015488-0.0056044i,-0.052565+0.050717i,-0.0009982+0.011583i,-0.020733-0.021031i,-0.0073544-0.0040928i,0.0047737+0.020651i,-0.0051636+0.021313i,0.0020589+0.002673i
