-0.023643-0.037965i,-0.011271-0.050655i,-0.018194-0.044881i,-0.031079-0.035854i,-0.029999-0.016375i,-0.0506-0.027973i,-0.058376-0.025982i,-0.044738-0.037959i,-0.027143-0.031575i,0.0085544+0.011564i,-0.0065382+0.015545i,-0.0044563+0.014521i,0.010643+0.020741i,0.00045364+0.0044129i,0.0035306+0.0034821i,0.0065462+0.01811i,0.026945+0.041115i,-0.00266-0.0015892i,-0.0051198-0.0057617i,0.0067669+0.0045326i,-0.00028818-0.00073291i,-0.0011387+0.0018561i,0.00010808-0.0003062i,-0.029269-0.0021614i,-0.0021075-0.0059058i,0.001349+0.0049186i,0.003373-0.00077098i,-0.00030913+0.0004949i,0.00060355-0.00040222i,-0.00085705-0.0027323i,-0.0018123-0.0058223i,-0.0045878-0.004573i,-0.002038-0.0047743i,0.0025071-0.00034221i,0.0020162-0.0029039i,-0.00098064+0.028549i,0.001436-0.0031505i,0.002858+0.00086937i,0.0055151+0.00082717i,-0.010303-0.0026931i,-0.0037804-2.3965e-05i,0.0050785-0.00054014i,0.0053427+0.0001398i,-0.0039089+0.0059223i,0.0021982-0.0096369i,-0.011876+0.017571i,0.034952-0.091045i,0.012456-0.070737i,-0.015747-0.059873i,-0.016799-0.055718i,0.038871-0.046717i,0.016489-0.062985i,0.034088-0.056071i,0.031231-0.060145i,0.01569-0.013735i,0.0041574+0.016754i,0.015816-0.026513i,-0.011692+0.0057429i,-0.00040403+0.0054704i,-0.0054293-0.0010717i,-0.0022691-0.02862i,-0.023991+0.031075i,0.010443-0.011259i,-0.01328-0.0023937i,-0.0001564-0.0050834i,-0.001588-0.015652i,-0.0082188+0.0046272i,0.0051347+0.0061529i,-0.0085313+0.031947i,0.0051575+0.0061387i,-0.0049422-0.00088246i,-0.0032699-0.00021285i,-0.012722-0.0067744i,-0.00058367-0.0043866i,-0.038912+0.0089405i,-0.00020445-0.0098232i,-0.0095934-0.0017163i,-0.0064972-0.0029417i,0.0069699+0.0027704i,-0.0077526+0.0010267i,3.2653e-05+0.00043868i,0.0064635+0.010215i,0.0038339+0.001682i,-0.0091786-0.0091121i,0.0031517+0.008003i,-0.02086+0.006934i,0.0085465+0.00055646i,-0.029342-0.0029618i,-0.043153+0.0025703i,0.018195-0.097413i,-0.0019318-0.012224i,-0.053558-0.022138i,-0.023236+0.0010297i,0.017911+0.010475i,-0.025573+0.012857i,-0.018382-0.012786i
-0.032462+0.018383i,-0.051713+0.020557i,-0.032434+0.046169i,-0.030394+0.025088i,-0.027739+0.039738i,0.0056128+0.04655i,-0.0026411+0.023778i,-0.016222+0.039584i,-0.013799+0.021563i,-0.0040269-0.004515i,-0.0043866-0.002982i,-0.0016937-0.003358i,-0.0037907-0.00082387i,-0.006778-0.0042987i,-0.0019279+0.0042791i,-0.0030946-0.001574i,-0.0099334-0.0058672i,-0.0014011-0.00064614i,0.0025902-0.0014617i,0.0019656-0.00077814i,0.002613-0.0035883i,0.0024357-0.0037605i,0.0012813-0.002625i,-0.0090364-0.0087091i,-0.0018883+0.00043753i,-0.0038031+0.0014834i,-0.0018162-0.00022825i,-0.0035285-0.00098022i,-0.0012956-0.0013276i,0.0013682-0.0018453i,-0.0024822+0.0068524i,0.0014055-0.00014348i,0.0025422+0.00030584i,0.0010271+0.0016691i,-0.0013448+0.0032985i,-0.00064264-0.006235i,-0.0011013+0.00023847i,0.00026887-0.0002827i,-0.00028997+0.0040048i,0.0077894+0.0043366i,0.0016114-0.0032572i,0.0027026-0.0041107i,-0.0025295+0.0017705i,8.2094e-05+0.0031998i,-0.032549-0.0059358i,0.0094433-0.078215i,-0.094588-0.029058i,-0.051979-0.035997i,-0.076138-0.049684i,-0.058363-0.0050903i,-0.093951+0.019186i,-0.058346+0.011422i,-0.049394-0.025092i,-0.032605-0.057741i,-0.028815-0.031153i,0.0026804+0.004691i,-0.018038+0.011823i,0.0090599+0.0035313i,0.010975+0.004406i,0.00063109-0.0070453i,0.0084929+0.00026276i,-0.0070282-0.0033122i,0.0023441+0.013844i,-0.001173+0.0089918i,0.0008032+0.0016387i,0.0048064+0.0034502i,0.0021548-0.00072565i,-0.0010263+0.015155i,3.9465e-05+0.011098i,0.0031344-0.005694i,0.01041-0.0069501i,0.0023381+0.0024788i,-0.0077179-0.0062832i,-0.0020266-0.002842i,0.016582-0.030108i,0.0057795+0.0044278i,0.0033899+0.0040344i,-0.0033395+0.0025655i,0.0023715-0.0037444i,0.021531+0.0011095i,0.0019834-0.0023646i,-0.0010946-0.0088649i,0.00078335-0.0029165i,0.011976+0.0040637i,0.0043441+0.00013859i,0.0047075-0.0071425i,0.003225+0.0088946i,0.0046906-0.00046127i,0.024521+0.0047982i,-0.082219-0.036762i,-0.0047601+0.018244i,0.0075662-0.0035459i,-0.0018327+0.0028095i,-0.033608+0.012484i,-0.0074661+0.0067908i,-0.017374+0.014077i
-0.028073+0.022526i,-0.047734+0.025303i,-0.021133+0.044838i,-0.026304+0.02887i,-0.021121+0.041057i,0.014187+0.043847i,0.00062108+0.023274i,-0.0082474+0.040751i,-0.0095068+0.018977i,-0.0055065-0.0024187i,-0.0044018-0.00054124i,-0.0027446-0.0036485i,-0.0044895-0.00027984i,-0.0070099-0.0015395i,-0.00072203+0.0050716i,-0.0053743+0.0005912i,-0.013594-0.00086014i,-0.0012922+0.00039036i,0.0027402-0.0018987i,0.0019469-0.0017596i,0.0014059-0.0040634i,0.0016453-0.0038308i,0.00086983-0.0026621i,-0.010495-0.00542i,-0.0012425+0.00093344i,-0.0036733+0.0025316i,-0.0012162+0.00044596i,-0.0034784+0.00024442i,-0.0018217-0.00099831i,0.00074355-0.0020166i,0.00086194+0.0077356i,0.0010005-0.00042921i,0.0021879-0.0007068i,0.00095125+0.0013568i,-0.0012405+0.002814i,-0.0009135-0.0055241i,-0.00054048+0.00083282i,-0.00069319-0.00049108i,-0.00030227+0.0047449i,0.0076568+0.00048458i,0.00058403-0.0034664i,0.00060641-0.0044871i,-0.0025798+0.0024637i,0.0009874+0.0030029i,-0.032906-0.0052476i,-0.014386-0.088743i,-0.090959-0.010566i,-0.061296-0.034207i,-0.088052-0.037981i,-0.057221+0.0049749i,-0.083935+0.036298i,-0.054457+0.023343i,-0.041857-0.024502i,-0.039745-0.052944i,-0.03912-0.019167i,0.0036387+0.0017462i,-0.011525+0.020056i,0.0090583-0.0002859i,0.012071-0.002049i,-0.0050983-0.011309i,0.0037909+0.00032606i,-0.0068178+0.0019812i,0.0073757+0.01201i,0.0011331+0.011182i,0.0010257+0.0013303i,0.0075741+0.0034885i,0.0024138+0.00029113i,0.0055666+0.011425i,0.0049377+0.0069141i,-0.0026922-0.0071661i,0.0031388-0.0076727i,0.0032983+0.0029087i,-0.010152+0.00050279i,-0.0027003-2.6621e-05i,0.004906-0.029725i,0.00716+0.0032253i,0.00666+0.0022036i,-0.00057636+0.0025763i,-0.00037266-0.0012527i,0.018102-0.0075235i,0.00025108-0.0029635i,-0.0050682-0.00836i,-0.002754-0.0015947i,0.011227-0.00079598i,0.004074+0.00050037i,0.0022958-0.0048096i,0.0062146+0.0073137i,0.0036932-0.0011869i,0.023909-0.0030911i,-0.087024-0.02667i,0.0030056+0.0081796i,0.007057-0.0058724i,-0.00064805+0.00085625i,-0.027406+0.020117i,-0.0053599+0.0078529i,-0.013839+0.016595i
-0.022469+0.025204i,-0.044764+0.030273i,-0.014049+0.041096i,-0.021804+0.030704i,-0.01373+0.042982i,0.021956+0.038897i,0.0040251+0.022808i,-0.00023842+0.039683i,-0.0086713+0.016952i,-0.0059125-6.1867e-05i,-0.0033575+0.0011105i,-0.0060849-0.0031961i,-0.0047834+0.0017557i,-0.0071395+0.00030624i,0.001157+0.0055541i,-0.0060035+0.0040436i,-0.013459+0.0069159i,0.00011135+0.0010682i,0.0028721-0.0033352i,0.0015513-0.0028883i,0.00019188-0.0045967i,0.00058925-0.004514i,0.00050033-0.0028473i,-0.011541-0.0025795i,-0.0010218+0.0012677i,-0.0020991+0.0040537i,-0.00089458+0.00034418i,-0.0026892+0.001623i,-0.0021785-0.00058049i,-0.00039143-0.002767i,0.0040888+0.0056847i,0.00067921-0.00053375i,0.0014612-0.0013387i,0.0014255+0.00093766i,-0.00013392+0.0037679i,-0.00082603-0.0056264i,-0.00091055+0.00064685i,-0.0011012-2.7764e-05i,0.0034213+0.0038757i,0.0057285-0.0021566i,-0.00039685-0.0033469i,0.00011251-0.0022815i,-0.0023163+0.0032261i,0.0017429+0.0017934i,-0.035246-0.002894i,-0.04344-0.087068i,-0.08085+0.0032101i,-0.07143-0.026953i,-0.094838-0.022246i,-0.052763+0.01346i,-0.06872+0.048266i,-0.040706+0.033432i,-0.045268-0.025753i,-0.046398-0.049371i,-0.040074-0.0041774i,0.0037656-0.00076684i,-0.0021633+0.021868i,0.0081682-0.0030896i,0.0079873-0.0074997i,-0.015477-0.0090535i,0.0027157-0.00010308i,-0.004076+0.005512i,0.011321+0.0073648i,0.0044208+0.011782i,0.00011706+0.0018789i,0.0078088-0.00099818i,0.0041811-0.0012801i,0.0073328+0.0065608i,0.0049474+0.0024873i,-0.0072221-0.0032798i,0.00071273-0.0059327i,0.0054705+0.0019314i,-0.0053511+0.0091488i,-0.00097283+0.0013772i,-0.0016131-0.025736i,0.0089945+8.8363e-05i,0.006626-0.00095274i,0.00011956+0.0022145i,0.00092981+0.00065054i,0.012281-0.012378i,-0.0022935-0.00030494i,-0.0077557-0.0050402i,-0.0032643+0.0021305i,0.0071155-0.0045304i,0.0070731-0.0010353i,0.0028448-0.0047243i,0.0097655+0.0038652i,0.0047181-0.0029191i,0.02081-0.0098898i,-0.090523-0.012351i,0.00085076-0.0018964i,0.006569-0.0088672i,-0.00058188-0.0015104i,-0.020622+0.025289i,-0.0052245+0.003384i,-0.0054428+0.0098096i
-0.016943+0.025524i,-0.040503+0.036247i,-0.010071+0.037614i,-0.017212+0.033639i,-0.0051519+0.04206i,0.028182+0.032576i,0.0081623+0.022016i,0.0067181+0.036586i,-0.0083486+0.0175i,-0.0052304+0.0023735i,-0.0026864+0.0013342i,-0.0079083+0.00077413i,-0.0043887+0.0034339i,-0.0071507+0.0027965i,0.0029726+0.0050129i,-0.0044817+0.0076433i,-0.0088451+0.012774i,0.0010788+0.00012846i,0.0014282-0.0043523i,6.6428e-05-0.0039032i,-0.0015086-0.0043714i,-0.00055266-0.0044388i,-5.6316e-05-0.0033971i,-0.011708+0.0014179i,-0.00048849+0.00098745i,0.00032123+0.0032262i,-0.0010302+0.00026846i,-0.0014997+0.0019037i,-0.0025377+0.00041523i,-0.001881-0.0019315i,0.0049705+0.0028327i,0.00028224-0.00045588i,0.00070189-0.0017081i,0.0016132+0.0002674i,0.0018501+0.0032547i,-0.002066-0.0068386i,-0.00066573+0.0011252i,-0.0012903+0.0005137i,0.0040653-2.1264e-05i,0.0039178-0.0027371i,-0.001227-0.0029742i,-0.00023243-0.0013194i,-0.0048066+0.0092355i,-0.00023698-0.00049484i,-0.037621+0.001386i,-0.067449-0.071055i,-0.070372+0.0089139i,-0.079513-0.01519i,-0.09865-0.0061862i,-0.046682+0.018977i,-0.054555+0.054207i,-0.026423+0.03303i,-0.048219-0.020605i,-0.053327-0.042026i,-0.035608+0.0058534i,0.0023465-0.0031148i,0.0062624+0.019921i,0.0067005-0.0058769i,0.0024003-0.0087196i,-0.021763-1.5461e-05i,-0.00032744+0.00078931i,-0.00040968+0.005553i,0.011266+0.0012897i,0.0093826+0.01097i,0.00068805+0.0030463i,0.0047798-0.0024957i,0.0040003-0.0047499i,0.0064523+0.0018764i,0.0025342+0.00060299i,-0.0072742+0.0007049i,-0.0014228-0.0047519i,0.0059819-0.00036736i,0.0034598+0.0068812i,-0.00022313+0.0007921i,-0.0073826-0.017622i,0.0080751-0.0031585i,0.0062556-0.0029978i,0.0016207+0.0034131i,0.0015899+8.9828e-05i,0.0065478-0.013005i,-2.7507e-05+0.0017902i,-0.0095644-0.0010324i,-0.00063159+0.0037437i,0.0041312-0.0040561i,0.0061872-0.0048624i,0.00067191-0.0049769i,0.0092988-0.0017583i,0.0028932-0.006081i,0.016666-0.015876i,-0.087291+0.0032797i,-0.0069343-0.0057517i,0.0033002-0.013906i,-0.0012157-0.0039431i,-0.012781+0.026363i,-0.0089314+0.0029264i,-0.0076239+0.011525i
-0.013025+0.025157i,-0.035567+0.041588i,-0.0085428+0.035759i,-0.011146+0.035779i,0.0018556+0.039024i,0.03223+0.025463i,0.012642+0.019676i,0.012033+0.033181i,-0.0064095+0.019089i,-0.0032865+0.00411i,-0.0028666+0.0021919i,-0.0070766+0.004439i,-0.0035259+0.0047865i,-0.0055068+0.0056804i,0.0045396+0.0038548i,-0.001233+0.0097809i,-0.002558+0.014969i,0.00093437-0.00058437i,0.00034988-0.0042765i,-0.0018653-0.0037293i,-0.0029954-0.0034059i,-0.0018492-0.0040316i,-0.001366-0.0034354i,-0.0094551+0.0044812i,-0.00093149+0.00040519i,0.00043679+0.0016837i,-0.0011651+0.0003076i,-0.00071234+0.0018591i,-0.0020991+0.001621i,-0.0019688-0.00057473i,0.0061106+0.00031459i,0.0002733-0.00043131i,-6.8038e-05-0.0016157i,0.0012767-0.00034987i,0.0024255+0.0018589i,-0.0047618-0.0073313i,-0.00042887+0.0013451i,-0.0010759+0.0014701i,0.0014063-0.0017261i,0.0027538-0.0024247i,-0.0018757-0.0025129i,-0.00070361-0.0014307i,-0.0013913+0.0055515i,-0.0029086+0.0013088i,-0.038795+0.0078896i,-0.077225-0.047543i,-0.064234+0.010062i,-0.084323-0.00048058i,-0.099516+0.012154i,-0.042265+0.021638i,-0.040963+0.057219i,-0.017027+0.029838i,-0.049719-0.015333i,-0.057395-0.034189i,-0.029471+0.013587i,0.00045094-0.0045472i,0.015381+0.014179i,0.0046651-0.0074253i,-0.0026358-0.0071826i,-0.020538+0.01044i,-0.00054971+0.0031718i,0.002182+0.0054335i,0.0071119-0.0014812i,0.013621+0.0071722i,0.0017014+0.0033156i,0.0027589-0.0015735i,0.0016163-0.0072319i,0.0032816+0.0012321i,0.00039937+0.0015588i,-0.0065491+0.0050346i,-0.0028327-0.0023544i,0.0051047-0.0025506i,0.0065155+0.002443i,0.000182+0.00069905i,-0.0099822-0.016131i,0.0059417-0.0056471i,0.0044882-0.0048717i,0.0046555+0.0024041i,0.0019293-0.00012622i,0.0033567-0.012099i,0.0017264+0.0012954i,-0.0072511+0.0053649i,0.0014485+0.0033428i,0.0035519-0.0033696i,0.003247-0.0084139i,0.0001488-0.0042377i,0.0057775-0.0046293i,-0.00061512-0.0071473i,0.0091618-0.021762i,-0.0807+0.01269i,-0.015354-0.0021538i,-0.0014321-0.016121i,-0.0025761-0.0065517i,-0.0066543+0.025076i,-0.012425+0.0053281i,-0.0067996+0.012297i
-0.010024+0.025052i,-0.029423+0.046479i,-0.0071744+0.037128i,-0.0048244+0.035571i,0.0062848+0.034884i,0.0352+0.018526i,0.016688+0.015913i,0.016594+0.029444i,-0.0035686+0.019441i,-0.0016163+0.0041034i,-0.0029939+0.0036769i,-0.005062+0.0069995i,-0.0021102+0.0062101i,-0.0029927+0.0068469i,0.0051945+0.0022234i,0.0023463+0.010225i,0.0040605+0.014225i,0.00085816-0.0007048i,-0.00092977-0.0043641i,-0.0031522-0.0026196i,-0.0033377-0.0018547i,-0.0028134-0.0032745i,-0.0022712-0.0026897i,-0.0072846+0.00545i,-0.0015445+0.0011479i,-8.2953e-05+0.0015505i,-0.0015739+0.00071232i,1.2005e-05+0.0014643i,-0.0010314+0.0020562i,-0.0016611+0.00010782i,0.0046683-0.0023051i,0.00017281-0.00055187i,-0.00055986-0.0013246i,0.00079222-0.00086149i,0.0024264+0.0012928i,-0.0069529-0.0065871i,-0.00022354+0.0012955i,-3.2857e-05+0.0020611i,0.00024018-0.0012854i,0.0021172-0.0021222i,-0.0024027-0.0016797i,-0.00086036-0.0014046i,0.00086981+0.0051714i,-0.0028285+0.0044248i,-0.03748+0.01538i,-0.075203-0.029772i,-0.061796+0.011926i,-0.083592+0.017115i,-0.094051+0.032707i,-0.040739+0.024419i,-0.029221+0.0563i,-0.0096113+0.025937i,-0.048755-0.0086857i,-0.061131-0.026572i,-0.024858+0.017257i,-0.002921-0.0045601i,0.017765+0.0015678i,0.0028173-0.0094152i,-0.0059511-0.003413i,-0.013559+0.018389i,0.0008613+0.0038082i,0.0054518+0.0038896i,0.0050818-0.00034235i,0.0167+0.00045438i,0.0026578+0.0035942i,0.0021865-0.00089068i,-0.0027868-0.0084559i,0.0019364+0.0026263i,0.00061748+0.0037122i,-0.0023799+0.0084686i,-0.0018284-0.00010502i,0.0036498-0.0033901i,0.0085427-0.00049708i,0.0010894-7.7342e-05i,-0.015665-0.015856i,0.0032934-0.0067283i,0.0015483-0.0057926i,0.0041734-0.00024438i,0.0019264+0.00014896i,0.0018001-0.010605i,0.0023125+4.6127e-05i,-0.0023289+0.0077138i,0.0024627+0.0018836i,0.002485-0.0040121i,-0.0024151-0.0094279i,-0.00077892-0.0049607i,0.0032742-0.004988i,-0.0028548-0.0070052i,-0.0013176-0.022274i,-0.077459+0.021165i,-0.013739+0.0086202i,-0.005979-0.016381i,-0.0057951-0.0077189i,-0.0039139+0.024229i,-0.011822+0.010518i,-0.0024353+0.012167i
-0.0068024+0.025294i,-0.022261+0.050674i,-0.0032589+0.039685i,0.00027394+0.034159i,0.0086477+0.032154i,0.037178+0.011347i,0.019428+0.01132i,0.020219+0.025597i,-0.00074106+0.019985i,-0.00076875+0.0041782i,-0.0016774+0.0058376i,-0.0020343+0.0086192i,-0.00015744+0.0070124i,-0.0006496+0.0068011i,0.0052034+0.0007925i,0.0056977+0.0090927i,0.0089422+0.01127i,0.00084178-0.00075082i,-0.0021729-0.0039287i,-0.0036135-0.00099953i,-0.0030622-0.00067461i,-0.0035394-0.0024075i,-0.0028276-0.0018044i,-0.0064267+0.0069668i,-0.0011288+0.0018331i,9.7165e-06+0.0020389i,-0.0015564+0.0018675i,-8.3716e-05+0.00085929i,-0.00035649+0.0017857i,-0.0013603+0.00053033i,0.0028482-0.0016136i,0.00016206-0.00034059i,-0.00059366-0.001154i,0.00037499-0.0010956i,0.0027639+5.9054e-05i,-0.00933-0.0049764i,0.00014533+0.001473i,0.00076396+0.0016315i,-0.00057348-0.0012339i,0.0018385-0.0022814i,-0.0022961-0.00070483i,-0.0011012-0.0012746i,0.0022865+0.0039504i,-0.0014448+0.0059233i,-0.033227+0.021613i,-0.073785-0.022578i,-0.061199+0.016361i,-0.076625+0.032246i,-0.082139+0.05006i,-0.038185+0.03027i,-0.019757+0.055922i,-0.0051564+0.021063i,-0.047029-0.0039274i,-0.063733-0.017629i,-0.019348+0.019635i,-0.0040436-0.0045029i,0.011042-0.0085855i,-0.00054537-0.011325i,-0.0064704-2.3357e-05i,-0.0064525+0.020336i,0.001277+0.0032568i,0.00731-0.00039518i,0.0061011-0.00060769i,0.015016-0.0054935i,0.0051513+0.002862i,0.0023539+0.00051977i,-0.0072143-0.0041i,0.0030342+0.0041023i,0.0021157+0.0047936i,0.0032182+0.0074978i,-0.0012616-2.5684e-05i,0.0025641-0.0040573i,0.0081941-0.0055948i,1.9311e-05-0.00070802i,-0.020782-0.010148i,0.0011233-0.0067186i,-0.00070682-0.0044038i,0.0049867+0.0004908i,0.0017775-0.00039219i,0.00087402-0.011533i,0.0020196-0.0012909i,0.00042518+0.0066105i,0.0028633+0.0012805i,0.0018624-0.0033368i,-0.0060577-0.0058822i,-0.0035027-0.0051289i,0.00024516-0.0053115i,-0.0054603-0.0062849i,-0.0081662-0.018516i,-0.071541+0.030502i,-0.0081807+0.0073368i,-0.0067679-0.015269i,-0.00823-0.0067434i,-0.0004185+0.022926i,-0.010407+0.01275i,-0.00086663+0.0096845i
-0.003567+0.025036i,-0.014+0.053854i,0.0026338+0.041903i,0.0047039+0.032941i,0.010927+0.030676i,0.037481+0.0043427i,0.02118+0.0063244i,0.023689+0.02148i,0.002721+0.020033i,7.7313e-05+0.004478i,0.0011666+0.0067818i,0.0014453+0.0084778i,0.0019929+0.0068948i,0.00083594+0.0066184i,0.0050904-0.00038622i,0.0085111+0.0069518i,0.011646+0.0073329i,0.00097185-0.0016107i,-0.0031541-0.0030598i,-0.0031664+0.00068961i,-0.0025514+0.00025898i,-0.0039308-0.0010367i,-0.003075-0.00097396i,-0.0036758+0.0082628i,-0.00059995+0.0024213i,0.00095885+0.0022326i,-0.00050217+0.0021889i,-0.00054014+0.001028i,0.0001188+0.0017774i,-0.00099109+0.00082437i,0.0033841-0.0031824i,0.00038499-0.00069293i,-0.0011267-0.0010195i,-0.00013336-0.0011445i,0.0020538-0.0010994i,-0.010754-0.0016107i,0.00055781+0.0014379i,0.0011296+0.0013126i,-0.0016188-0.00078554i,0.0016615-0.0022916i,-0.0017795-0.0002086i,-0.0015382-0.00097352i,0.0029371+0.0026113i,0.00034449+0.0070438i,-0.028674+0.025102i,-0.078495-0.016124i,-0.06011+0.02245i,-0.067813+0.043939i,-0.066543+0.061099i,-0.034023+0.035319i,-0.010093+0.053973i,-0.0024019+0.01771i,-0.045482+0.00053219i,-0.064162-0.0072842i,-0.014972+0.021641i,-0.005612-0.0035125i,0.0030749-0.0099191i,-0.0046952-0.01149i,-0.0051929+0.0038692i,0.00081042+0.018971i,0.00075907+0.0026132i,0.0060149-0.0048205i,0.0052411-0.0020248i,0.011206-0.010819i,0.0067599+0.00062376i,0.0035211+0.00064603i,-0.0078045-0.00051152i,0.0048773+0.0047099i,0.004701+0.0053056i,0.0077413+0.0049555i,-0.0010627+0.00096767i,0.0019758-0.0041531i,0.00521-0.0078332i,-0.00039377+0.00082382i,-0.023173-0.002179i,-0.00034477-0.0064997i,-0.0017055-0.0025023i,0.0058453-0.0011649i,0.0017042-0.00057836i,-0.0021648-0.013278i,0.00086382-0.0016597i,0.0037491+0.0066842i,0.003265+0.00026345i,0.0027648-0.0035072i,-0.0077442-0.0027458i,-0.0065421-0.0024864i,-0.0029074-0.0040099i,-0.0072266-0.0047734i,-0.012607-0.01382i,-0.064702+0.037494i,-0.0082367+0.0058563i,-0.007623-0.017564i,-0.0096379-0.0053801i,0.0003878+0.022081i,-0.0096296+0.014825i,0.00011225+0.0079928i
-1.6327e-05+0.02489i,-0.0045621+0.05544i,0.010496+0.04215i,0.0089387+0.031608i,0.014422+0.030305i,0.036774-0.0021761i,0.021646+0.00071698i,0.026775+0.016734i,0.0063682+0.018948i,0.00093653+0.0043201i,0.0035305+0.0053944i,0.0038259+0.0065235i,0.0039767+0.0061667i,0.0026312+0.0062445i,0.0047009-0.001638i,0.0096634+0.0037727i,0.013097+0.002842i,-0.00018676-0.0022982i,-0.0041691-0.0016385i,-0.0019443+0.0015108i,-0.0016045+0.0005748i,-0.0035249+2.6541e-05i,-0.0031145+3.3548e-05i,-0.00073189+0.0085037i,0.00039922+0.0025347i,0.0016984+0.001675i,0.00032331+0.0020548i,-0.00025099+0.0017033i,0.00076873+0.0012794i,-0.00057102+0.00086189i,0.0013128-0.0040042i,-6.048e-05-0.0010116i,-0.0015739-0.00026946i,-0.0006828-0.00097928i,0.0010672-0.0017148i,-0.010804+0.001479i,0.00089828+0.0011738i,0.0014799+0.00082233i,-0.0021835+7.6951e-05i,0.0013382-0.0026595i,-0.0014976+4.3426e-07i,-0.0016372-0.00067674i,0.0026766+0.001508i,0.0026903+0.0076583i,-0.024531+0.028742i,-0.086815-0.0030115i,-0.055727+0.028466i,-0.056344+0.052051i,-0.051295+0.068488i,-0.029105+0.041656i,-0.00072612+0.050033i,0.0027618+0.014163i,-0.043223+0.0057379i,-0.061754+0.0034481i,-0.01077+0.023674i,-0.0074777-0.0023623i,-0.0027376-0.0093303i,-0.008853-0.0099597i,-0.0012587+0.0052808i,0.005407+0.013748i,-0.00036186+0.0027159i,0.0035329-0.0081486i,0.0055023-0.0015488i,0.0048811-0.013369i,0.0067487-0.0029087i,0.0045398-0.00028174i,-0.0080742+0.0037857i,0.0077359+0.0041692i,0.0083003+0.0028276i,0.010506+0.00077765i,0.00030507+0.0016706i,0.0011457-0.004448i,-0.0010945-0.0085951i,0.0011403+0.0021746i,-0.021718+0.0069377i,-0.0018816-0.0063855i,-0.0013859-0.00058128i,0.0056439-0.0044756i,0.0019772-0.0005119i,-0.0079523-0.012698i,-5.5216e-05-0.0013216i,0.0069641+0.003777i,0.0031179-0.00010058i,0.0024552-0.0044556i,-0.007159+0.0016096i,-0.0069974+0.0020619i,-0.0046815-0.0018602i,-0.0089444-0.0032712i,-0.014605-0.0087969i,-0.05921+0.043363i,-0.008411+0.0087899i,-0.011523-0.021243i,-0.0086405-0.0040696i,0.003575+0.021914i,-0.0088733+0.018551i,0.0015462+0.0059567i
0.0038771+0.023939i,0.0048846+0.054663i,0.018292+0.039432i,0.013382+0.029688i,0.019123+0.029182i,0.035362-0.0083431i,0.020428-0.0045721i,0.028852+0.011239i,0.009445+0.016988i,0.0017202+0.0042954i,0.0043589+0.0039164i,0.0044731+0.0046753i,0.0056265+0.0047567i,0.004099+0.0050087i,0.0039228-0.0026087i,0.0093201+0.00062083i,0.012756-0.00097619i,-0.0011304-0.0018189i,-0.0041015-0.00020628i,-0.00086369+0.0015903i,-0.00085907+0.00028955i,-0.0030208+0.0005767i,-0.0025203+0.00086457i,0.0014899+0.0082019i,0.0014321+0.0020185i,0.0020748+0.0010429i,0.0011583+0.0017115i,0.00048072+0.0018171i,0.00098569+0.00040241i,-0.00061081+0.00086882i,-0.00069901-0.0036832i,-0.00073295-0.0008986i,-0.0014888+0.00049887i,-0.0010644-0.00060094i,0.00024074-0.0017873i,-0.0091726+0.0038523i,0.0011873+0.00075276i,0.0016191+0.00012242i,-0.0020922+0.0012528i,0.00086621-0.003287i,-0.0013421+0.00026889i,-0.0017279-0.00066305i,0.0023844+0.00091898i,0.0052945+0.0069872i,-0.019429+0.031935i,-0.088385+0.017309i,-0.052793+0.032452i,-0.045895+0.056491i,-0.034375+0.073096i,-0.020559+0.0479i,0.0062373+0.043281i,0.0055094+0.006587i,-0.038869+0.0091949i,-0.055879+0.013752i,-0.004438+0.024685i,-0.009164+0.00019335i,-0.00825-0.0059256i,-0.012044-0.0067552i,0.0016804+0.0035581i,0.0060286+0.010986i,-0.0020791+0.004153i,-0.00013617-0.010814i,0.0065089-0.0035531i,-0.001378-0.01181i,0.0045472-0.0052048i,0.005023-0.0024245i,-0.0062622+0.0073167i,0.010089+0.00046167i,0.0088576-0.0021085i,0.0086666-0.0052054i,0.0021369+0.001305i,4.566e-05-0.0044844i,-0.0046935-0.0049717i,0.0030434+0.0011594i,-0.0074042+0.010722i,-0.0022701-0.0070933i,5.2462e-05+0.00041893i,0.0031744-0.0061063i,0.0019597-0.00088656i,-0.013061-0.0084272i,5.2644e-05-0.00027758i,0.0072724-0.00017759i,0.0030207-0.00084166i,0.0013061-0.0047961i,-0.0046468+0.0048992i,-0.0048352+0.0053181i,-0.0048995+0.0018497i,-0.010919-0.00090077i,-0.014974-0.0048149i,-0.052042+0.05239i,-0.0019965+0.011465i,-0.018794-0.021127i,-0.0069863-0.0052982i,0.0055547+0.020989i,-0.0047643+0.022223i,0.0025157+0.0025304i
