-0.0085676-0.039433i,-0.010764-0.044138i,0.0030944-0.04617i,-0.026911-0.027292i,-0.020551+0.014109i,-0.032566-0.033282i,-0.060986-0.062474i,-0.022022-0.072308i,-0.042215-0.065692i,0.00056218+0.016417i,-0.0066893+0.010326i,-0.015035+0.013978i,0.00052103+0.016509i,-0.0040764-0.0031871i,0.00019981+0.007003i,0.00067055+0.039602i,0.017536+0.057297i,0.0009184-0.00052357i,-0.0050867-0.0085669i,0.009386+0.0076759i,0.0015277+0.00044223i,-0.0016039+0.0039853i,-5.6155e-05-0.0013853i,-0.034999-0.0088082i,-0.0019168-0.0071618i,-6.6075e-05+0.0049777i,0.0042094-0.00069022i,2.0695e-05+0.0011214i,-2.8868e-05-0.00090111i,-0.00017329-0.002912i,-0.001201-0.0058645i,-0.0024403-0.0043798i,-0.000762-0.0079365i,0.0032098-0.0010092i,0.0031524-0.0026223i,-0.0031311+0.034464i,0.0065053-0.0041699i,0.0039014-0.002461i,0.0052392+0.0002722i,-0.034801-0.0207i,-2.5528e-05+0.00015489i,0.01353-0.00073659i,0.0062104-0.00059962i,-0.0034104+0.0038214i,0.0027868+0.0018295i,-0.0038816+0.0093715i,0.016371-0.087661i,-0.005507-0.048453i,-0.024145-0.039032i,-0.018767-0.041473i,0.064625-0.014566i,0.028225-0.060738i,0.039217-0.044434i,0.029902-0.05514i,0.019528-0.015169i,0.0082662+0.010022i,0.026688-0.034615i,-0.0074068-0.0054062i,0.0020455-0.0027196i,-0.0044327-0.006251i,0.0014787-0.031984i,-0.024454+0.030775i,0.0078449-0.010391i,-0.010974-0.0021113i,-0.0053496-0.0013519i,-0.00072924-0.014053i,-0.0098883+0.0041504i,0.0034136+0.007846i,-0.012154+0.031183i,0.0059992+0.0077327i,-0.0055401-0.0018533i,-0.0017629-0.0020767i,-0.01115-0.0086437i,0.00052475-0.0034239i,-0.037215+0.0034897i,0.0024363-0.012344i,-0.0096164-0.0024397i,-0.0064518-0.0032197i,0.0062707+0.0017907i,-0.0093602+0.0015311i,0.001127+0.00081938i,0.0052418+0.0093475i,0.0046147+0.00075653i,-0.0087035-0.010419i,0.0027062+0.0082762i,-0.019954+0.0070915i,0.0067909+0.0034022i,-0.028308-0.0086021i,-0.034523+0.0025405i,0.024564-0.075773i,0.012346-0.0094601i,-0.043342-0.028192i,-0.022987-0.0040904i,0.01794+0.012514i,-0.026717+0.011741i,-0.012371-0.008885i
-0.033266+0.00097121i,-0.0487+0.016404i,-0.048094+0.043372i,-0.028325+0.0053459i,-0.0059892+0.01457i,-0.0099796+0.031364i,-0.030754+0.017424i,-0.059509+0.022016i,-0.020778+0.021919i,0.0015818-0.0097403i,0.0017219-0.0014749i,0.0039902+0.00025213i,0.0031481+0.0087848i,-0.0037725+0.00097289i,0.0019137+0.0024149i,0.0023558-0.0093456i,-0.011626-0.008548i,-0.0042611+0.00052549i,0.0038519-0.0026538i,0.001566-0.0012058i,0.0023117-0.0043074i,0.0017708-0.0041596i,0.0021148-0.0035173i,-0.010674-0.011222i,-0.0023724-0.00017296i,-0.0039673-0.0001034i,-0.0034645-0.00126i,-0.004975-0.0010494i,-0.0013644-0.0022437i,0.0014564-0.0018764i,-0.0039434+0.003964i,0.0012144+0.0019994i,0.0023348+0.0013653i,0.0017666+0.00093799i,-0.0012357+0.003048i,-0.0038139-0.0083515i,-0.003098+0.00073697i,0.0013508+3.6383e-05i,-0.00021254+0.0045487i,0.011865+0.0079116i,-0.0010161-0.0025049i,0.00064938+5.3747e-05i,-0.0055539-0.0045443i,0.0019498+0.0040461i,-0.018446-0.017264i,0.002247-0.064164i,-0.088993-0.013245i,-0.022293-0.021702i,-0.046075-0.041469i,-0.043188-0.0080229i,-0.09362+0.012351i,-0.061832-0.00069211i,-0.036919-0.027967i,-0.028137-0.05596i,-0.03307-0.029227i,-0.0005979+0.0022244i,-0.026345+0.013591i,0.0042839+0.01687i,0.0042322+0.0078529i,6.318e-05-0.0064751i,0.0081705+0.0046728i,-0.0097455-0.0058627i,0.0021328+0.01162i,-0.0020081+0.0073379i,-0.0013941-0.002692i,0.006418+0.0023778i,0.0037099-0.0013112i,-0.0046298+0.020145i,-0.00039384+0.013263i,0.0014948-0.0040626i,0.010862-0.007593i,0.0033315+0.0036108i,-0.0069877-0.0085472i,-0.0022492-0.0017836i,0.024457-0.036105i,0.0081518+0.0086775i,0.0042505+0.0030195i,-0.0016997+0.0029108i,0.0035421-0.0039323i,0.020227+0.0019291i,0.0015092-0.0017888i,-0.0010661-0.0070954i,0.0011574-0.0029099i,0.012926+0.0041697i,0.0057648+0.00075801i,0.0036028-0.0062707i,0.0034606+0.0072822i,0.0041426+0.0027174i,0.018046+0.0015106i,-0.06602-0.04322i,-0.010208+0.0087872i,-0.0062846-0.0045913i,-0.0072016+0.0044975i,-0.037301+0.0089981i,-0.0059131+0.0078939i,-0.015566+0.0036289i
-0.031076+0.0049617i,-0.045038+0.021186i,-0.035249+0.04471i,-0.027268+0.011599i,-0.0045443+0.012093i,-0.0042936+0.031585i,-0.028654+0.022091i,-0.052418+0.029616i,-0.015559+0.018007i,-0.0016851-0.0088167i,0.0013536-0.00087137i,0.0036041-0.0017579i,0.0050206+0.0058424i,-0.00236+0.0030861i,0.0020657+0.0024854i,-0.0034049-0.0069889i,-0.016643-0.0019594i,-0.0035388+0.0020982i,0.0041046-0.0031579i,0.0016045-0.0017995i,0.00099263-0.0040994i,0.0016872-0.003325i,0.0017046-0.0036289i,-0.012346-0.0067239i,-0.002026+9.3206e-06i,-0.0043207+0.0012549i,-0.0030182+2.3151e-05i,-0.0040033+0.00022039i,-0.0018623-0.0017689i,0.00092662-0.0019726i,-0.0018873+0.005495i,0.0013041+0.0016451i,0.0015668+0.00012959i,0.00055375+0.00043305i,-0.0017559+0.0027457i,-0.0038575-0.0066242i,-0.0021806+0.0015106i,0.00018257-0.0006687i,0.00045049+0.0048824i,0.011944+0.001128i,-0.00078924-0.0058236i,5.6885e-05-0.00047286i,-0.0075666-0.0032114i,0.0032114+0.0035035i,-0.020011-0.019211i,-0.016686-0.071089i,-0.084376+0.0043301i,-0.029208-0.023561i,-0.057816-0.034121i,-0.041373+0.0016797i,-0.081993+0.032585i,-0.059404+0.012733i,-0.028207-0.027142i,-0.035324-0.052032i,-0.04929-0.0078516i,-0.00098814+0.00017363i,-0.018489+0.024492i,0.0087413+0.011601i,0.0063243+0.0030386i,-0.0053867-0.012276i,0.0045894+0.0037021i,-0.012316+0.0015021i,0.0067079+0.0088588i,0.0011308+0.0093i,-0.0022356-0.0018692i,0.0070058+0.002674i,0.0032761-0.0010824i,0.0053782+0.01657i,0.0063865+0.0088542i,-0.0027991-0.0056002i,0.0030962-0.0086571i,0.0042249+0.0036554i,-0.0107-0.00055451i,-0.0021637+0.00090143i,0.01305-0.039821i,0.011164+0.0069743i,0.0069427+0.0014054i,0.0014925+0.0021879i,0.00014457-0.0019973i,0.017807-0.0067575i,-0.0001572-0.002369i,-0.0044247-0.0048695i,-0.0023568-0.0023455i,0.011438-0.00011537i,0.005406+0.00085702i,0.0012903-0.0040265i,0.0058858+0.0063131i,0.0036554+0.0021862i,0.016327-0.0041869i,-0.071685-0.034257i,-0.0032287-0.0010765i,-0.0067059-0.0036498i,-0.0056241+0.0041247i,-0.031246+0.019682i,-0.0037483+0.0089783i,-0.012992+0.0039351i
-0.027955+0.0077479i,-0.042076+0.02588i,-0.027797+0.042714i,-0.023655+0.015434i,-0.002076+0.012183i,0.0012826+0.030817i,-0.024724+0.026426i,-0.044954+0.035665i,-0.01636+0.014942i,-0.0036033-0.0059833i,0.0018997-0.00060222i,-0.000464-0.0027646i,0.0059029+0.0039621i,-0.0017059+0.0037295i,0.0027626+0.0025001i,-0.0069416-0.001681i,-0.016316+0.0070603i,-0.0013672+0.0033311i,0.0043943-0.0053486i,0.0016022-0.0029755i,-0.00023122-0.0044006i,0.0020929-0.0041772i,0.0012445-0.0042226i,-0.012989-0.0032459i,-0.0022103+0.00071068i,-0.0036215+0.0035956i,-0.0024491+0.00056539i,-0.0028652+0.0016685i,-0.00224-0.001696i,4.8074e-05-0.0028408i,0.00024362+0.0056168i,0.0017158+0.0011111i,0.0012143+0.00020742i,0.00079091+3.4741e-05i,-0.001103+0.0044488i,-0.0034673-0.0061179i,-0.0025125+0.0024709i,-0.00065445-0.00067109i,0.0035516+0.0035528i,0.009237-0.002925i,-0.00076101-0.0001634i,0.00043213+0.00021481i,-0.0098727-0.0012867i,0.0042792+0.0016452i,-0.024027-0.019887i,-0.039247-0.06826i,-0.073772+0.016142i,-0.036449-0.020535i,-0.06466-0.022177i,-0.034921+0.0083196i,-0.062548+0.046231i,-0.045099+0.025416i,-0.029058-0.032143i,-0.042019-0.048493i,-0.042651+0.0061497i,-0.0016248-0.00043926i,-0.0067681+0.028074i,0.010381+0.0062779i,0.0033175-0.0013941i,-0.017952-0.012156i,0.0041749+0.0026823i,-0.0076519+0.0075849i,0.0086091+0.0043149i,0.0044128+0.0089647i,-0.0045323+0.00028853i,0.0076702-0.001161i,0.0036425-0.0026037i,0.0090305+0.0094754i,0.0064792+0.0029659i,-0.0074581-0.0021844i,0.00022377-0.0062947i,0.0067145+0.0028939i,-0.0074487+0.0088831i,-0.00028707+0.0024139i,0.0014618-0.034643i,0.014208+0.0016226i,0.0066039-0.0024972i,0.0012696+0.00074782i,0.00073999-0.00035021i,0.011563-0.011583i,-0.0029556+0.00085882i,-0.0067427-0.0021052i,-0.00377+0.0014655i,0.0083653-0.0028437i,0.0086348-0.0014892i,0.0019613-0.0037703i,0.0093816+0.0026986i,0.00539+0.001382i,0.012959-0.0091313i,-0.075963-0.021529i,-0.008191-0.011137i,-0.0051115-0.0039348i,-0.0045495+0.002619i,-0.022898+0.026963i,-0.0023836+0.003853i,-0.011244+0.0028684i
-0.024934+0.0088328i,-0.038526+0.031563i,-0.022493+0.041094i,-0.019372+0.019691i,0.0019623+0.0094196i,0.0062599+0.028336i,-0.019547+0.030206i,-0.036531+0.038156i,-0.017938+0.016441i,-0.004347-0.0043767i,0.0018954-0.0020284i,-0.0027142+0.00069677i,0.0056722+0.0018429i,-0.0012709+0.0053437i,0.003297+0.0020239i,-0.0059665+0.0046136i,-0.01156+0.01442i,0.00036613+0.0026428i,0.0018601-0.0067403i,0.00029495-0.0045094i,-0.0014704-0.0039616i,0.0014074-0.0048199i,7.1474e-05-0.0053292i,-0.012668+0.00030812i,-0.0017887+0.00091739i,-0.00069546+0.0036279i,-0.0022881+0.00072345i,-0.0010564+0.0016682i,-0.0029697-0.00059409i,-0.0015039-0.0024763i,0.0021892+0.0050552i,0.0018136+0.00014998i,0.0012688+0.00068692i,0.00038431-7.7243e-05i,0.0015182+0.0046161i,-0.0044266-0.0068996i,-0.0016748+0.0039464i,-0.001367-9.1593e-05i,0.003474-0.00017462i,0.006723-0.004902i,-0.0013102-0.0016403i,0.0012118-0.00023035i,-0.011317+0.0022415i,0.0023934-0.0014582i,-0.029767-0.018587i,-0.057638-0.053318i,-0.064005+0.021342i,-0.042191-0.014936i,-0.068529-0.010197i,-0.027275+0.010561i,-0.044064+0.049691i,-0.029498+0.024861i,-0.032514-0.030524i,-0.048817-0.042124i,-0.033733+0.015249i,-0.002889-0.00052799i,0.0033592+0.025725i,0.010527+0.0021244i,-0.0013583-0.0018368i,-0.027736-0.0010909i,0.0016188+0.0029199i,-0.0027616+0.0076027i,0.0071182-0.00058283i,0.0077224+0.0081404i,-0.0039421+0.0037281i,0.0039433-0.0026958i,0.0029113-0.0048481i,0.007732+0.002083i,0.0036337+0.00097325i,-0.0076251+0.0015644i,-0.0016745-0.0047124i,0.0075859+0.00053029i,0.0029662+0.010298i,0.0012983+0.0016473i,-0.0087784-0.028833i,0.01299-0.0034633i,0.0048668-0.0039925i,0.0018581+0.0014231i,0.001297-0.00065437i,0.0061947-0.012041i,-0.00013255+0.0035009i,-0.0066234+0.001148i,-0.0012175+0.0043756i,0.005763-0.0031403i,0.0070901-0.0059755i,7.6527e-05-0.0038839i,0.0088508-0.0030341i,0.0054301-0.0016314i,0.0086947-0.012708i,-0.073909-0.0078982i,-0.018047-0.014254i,-0.0059545-0.0075603i,-0.0043355+0.00047936i,-0.013919+0.027715i,-0.0064974+0.0027031i,-0.013709+0.0030724i
-0.023442+0.009434i,-0.034069+0.036424i,-0.01974+0.04163i,-0.01395+0.021875i,0.0040895+0.0049591i,0.0097807+0.025964i,-0.013509+0.032171i,-0.030418+0.039272i,-0.016182+0.020729i,-0.0043084-0.0026034i,0.00079916-0.0025166i,-0.0014434+0.003832i,0.0047883+0.00071825i,0.0012553+0.006839i,0.0038354+0.0014852i,-0.002103+0.0080666i,-0.0041746+0.018382i,0.0010668+0.001645i,0.00014826-0.0062285i,-0.0019974-0.0045821i,-0.0026716-0.0033428i,0.00047763-0.0050872i,-0.002209-0.0052446i,-0.010535+0.0033577i,-0.0022972+0.0007527i,-0.00020053+0.0021355i,-0.0018772+0.0010848i,-0.00025036+0.0008305i,-0.0028057+0.00092032i,-0.0019035-0.0010973i,0.0034801+0.0039545i,0.0012493-0.00087656i,-0.0001872+0.0013604i,6.0371e-05-0.00015491i,0.0027205+0.0030831i,-0.0067826-0.0071179i,-0.00057139+0.0041696i,-0.0011282+0.0010971i,0.0016349-0.0010132i,0.0041403-0.005137i,-0.0015608-0.0019094i,0.0011313-0.0010217i,-0.011827-0.0027136i,-0.00028966-0.00037069i,-0.035129-0.013214i,-0.063053-0.033416i,-0.057595+0.023584i,-0.047214-0.0075764i,-0.070602+0.0039671i,-0.022836+0.0078249i,-0.028564+0.048453i,-0.020229+0.020522i,-0.034906-0.029187i,-0.053113-0.03518i,-0.028503+0.021452i,-0.0036206+0.00022235i,0.013588+0.021044i,0.0093848-0.00059646i,-0.0047822+0.00062291i,-0.028138+0.012197i,0.0013547+0.00469i,0.0011561+0.0087374i,0.0030389-0.0018756i,0.010853+0.0052555i,-0.0019698+0.0055597i,0.0015021-0.0011609i,0.0013642-0.0063241i,0.0029585+0.0014149i,0.0011827+0.0021328i,-0.0073364+0.0067327i,-0.0028275-0.0020621i,0.0072353-0.0021607i,0.0068643+0.0061787i,0.0018778+0.0006842i,-0.012112-0.025031i,0.0099485-0.0077094i,0.0029744-0.0053052i,0.0043309+0.0014475i,0.0011977-0.00051237i,0.0030772-0.010647i,0.0026524+0.0029964i,-0.0044707+0.004867i,0.0025547+0.0041608i,0.005461-0.0031232i,0.0031328-0.010099i,4.7362e-05-0.002873i,0.0042646-0.0062164i,0.0031659-0.0034626i,0.002351-0.015378i,-0.06874+0.00063986i,-0.02933-0.0068545i,-0.0091943-0.009777i,-0.0054526-0.001185i,-0.0079957+0.026526i,-0.0098184+0.0054859i,-0.014525+0.0064502i
-0.022441+0.010447i,-0.029324+0.041445i,-0.01661+0.043891i,-0.0089033+0.022261i,0.0030449-3.7475e-05i,0.013878+0.023835i,-0.0071208+0.032177i,-0.025782+0.041106i,-0.011954+0.022353i,-0.0049336-0.0015183i,-0.0009621-0.0021767i,0.00094341+0.0052821i,0.0040347+0.00026588i,0.0041154+0.0056198i,0.0039592+0.00071333i,0.0020881+0.008728i,0.0046482+0.018369i,0.0014471+0.0013019i,-0.0015871-0.0059431i,-0.0038379-0.0034557i,-0.0032769-0.0018555i,-0.00045472-0.0053273i,-0.0034289-0.0038152i,-0.0090081+0.0039599i,-0.002982+0.001728i,-0.00026715+0.0018823i,-0.0014883+0.00051686i,9.7698e-05-0.00040093i,-0.0014938+0.0015764i,-0.0018269-0.00045548i,0.0045699+0.0028726i,0.00028432-0.0013446i,-7.8853e-05-0.00032913i,-0.00032411-0.0003736i,0.0031293+0.0021689i,-0.0090958-0.0055663i,0.00038209+0.0036248i,-0.00038267+0.0015258i,0.00068227-0.0010315i,0.0021607-0.0046601i,-0.0020193-0.0015146i,0.00066861-0.0013772i,-0.0037356+0.0057083i,-0.000503+0.001808i,-0.03797-0.00539i,-0.05933-0.019961i,-0.053811+0.02684i,-0.048989+0.0036188i,-0.066602+0.020669i,-0.024736+0.00585i,-0.017309+0.043839i,-0.013646+0.015936i,-0.03715-0.02547i,-0.057195-0.028391i,-0.020369+0.024609i,-0.0047303+0.0018429i,0.017872+0.0078922i,0.0088242-0.0040917i,-0.0062174+0.0047691i,-0.021423+0.02355i,0.0032003+0.0047388i,0.0064734+0.0058852i,0.0011251+4.2734e-05i,0.012802-0.00045726i,0.00025972+0.0075711i,0.0011327+8.984e-05i,-0.0029849-0.0078834i,0.0011337+0.0041601i,0.0014511+0.0042695i,-0.0017846+0.010513i,-0.0016729+0.00028263i,0.0056757-0.0037211i,0.008843+0.0025721i,0.0027821-0.00077033i,-0.020162-0.024501i,0.0054865-0.0094497i,-7.0267e-05-0.00599i,0.0043032-0.00098203i,0.00096561+0.00021596i,0.0018746-0.0091408i,0.0036827+0.00071756i,-0.00091876+0.0059248i,0.0042464+0.0014375i,0.0043593-0.0041877i,-0.0030716-0.010155i,-0.00027934-0.0036916i,0.001617-0.0046665i,0.0022507-0.0049321i,-0.0049638-0.013887i,-0.066109+0.0075433i,-0.028049+0.0077434i,-0.012763-0.0097955i,-0.0077094-0.00074582i,-0.0048942+0.025813i,-0.0086105+0.010362i,-0.009977+0.0089322i
-0.021423+0.012178i,-0.022942+0.046624i,-0.011607+0.047127i,-0.0069394+0.018461i,-0.00072766-0.0022415i,0.017961+0.020545i,-0.0013477+0.031035i,-0.02076+0.043919i,-0.0079997+0.023441i,-0.0059835+0.0001564i,-0.0017988-5.3141e-05i,0.0040277+0.0056482i,0.0033827+0.00043379i,0.0053601+0.0031442i,0.0037228+6.9092e-05i,0.0056594+0.0076601i,0.011477+0.01465i,0.001774+0.00095534i,-0.0028409-0.0052551i,-0.0047471-0.0015398i,-0.0027317-0.00053104i,-0.0018821-0.0054567i,-0.0038661-0.0024436i,-0.0090189+0.0059516i,-0.0024241+0.0031179i,-2.3777e-05+0.0021709i,-0.0013598+0.0015502i,-0.0010582-0.0013047i,-0.0012316+0.0011849i,-0.0017312-5.6961e-05i,0.0053484+0.0011302i,0.00054435-0.00061718i,8.5382e-05-0.00082519i,-0.00050088-5.3018e-06i,0.0039126+0.00019517i,-0.010704-0.0036207i,0.0014163+0.0034237i,0.0001463+0.0011385i,-1.4265e-05-0.0010162i,0.00085561-0.0041021i,-0.0020221-0.00099729i,0.00031733-0.0015644i,-0.0027742+0.0060346i,0.00036974+0.0024266i,-0.037769+0.0013679i,-0.05704-0.014563i,-0.049803+0.031687i,-0.045059+0.014008i,-0.05754+0.034825i,-0.025956+0.0092603i,-0.0092948+0.040124i,-0.011079+0.010612i,-0.038888-0.021712i,-0.059565-0.020001i,-0.014295+0.026534i,-0.0033637+0.0025298i,0.011742-0.0033199i,0.0055328-0.008457i,-0.0046779+0.0080392i,-0.011454+0.027904i,0.0035468+0.0033077i,0.0081493+0.00022529i,0.0024257+0.00085448i,0.010433-0.0045866i,0.0053167+0.0073514i,0.0013823+0.0019478i,-0.0075564-0.0028077i,0.0027918+0.0063153i,0.0029654+0.0060265i,0.0037574+0.0094999i,-0.00067666+0.00054541i,0.0044126-0.0051473i,0.0099986-0.0028226i,0.0007173-0.0015687i,-0.030233-0.017134i,0.0019625-0.0093865i,-0.0020494-0.0037124i,0.0047633+0.00019549i,0.0012865-0.00020877i,0.0015335-0.010175i,0.0031971-0.0010891i,0.0018339+0.0041585i,0.0039094+0.00058093i,0.0035858-0.0037531i,-0.0068978-0.0061672i,-0.0023574-0.0041514i,-0.00084374-0.0043924i,8.4994e-05-0.0059752i,-0.0092391-0.0097245i,-0.06185+0.015357i,-0.021882+0.0098991i,-0.013489-0.0079367i,-0.0086759+0.0008015i,6.144e-05+0.024399i,-0.007139+0.011509i,-0.0075958+0.0080602i
-0.020055+0.013852i,-0.014805+0.050171i,-0.0048774+0.051066i,-0.0046327+0.016143i,-0.0045884-0.0017024i,0.020797+0.01664i,0.0038719+0.028964i,-0.014431+0.047172i,-0.0038557+0.023017i,-0.0064159+0.0015731i,-0.00067784+0.0016023i,0.0074794+0.003268i,0.0033819+0.00058951i,0.0048425+0.0015015i,0.0037978-0.00020517i,0.0082047+0.0048084i,0.015623+0.0095374i,0.0021675-0.00013242i,-0.0041305-0.0046643i,-0.0044347+0.00051219i,-0.0018641+0.0002055i,-0.0032204-0.0046726i,-0.0038968-0.0013933i,-0.0068244+0.0089343i,-0.0015737+0.0041534i,0.00093588+0.0022463i,-0.00083282+0.0022434i,-0.0029656-0.00090745i,-0.0011787+0.0015815i,-0.001567+0.0004635i,0.0050121-0.00093527i,0.00051658-0.0010946i,-8.0306e-05-0.0010797i,-0.00029708+0.00033416i,0.0029754-0.0014322i,-0.011902-4.1943e-05i,0.0022265+0.003072i,0.00063332+0.0011912i,-0.00093834-0.0010217i,0.00042038-0.0032854i,-0.0019472-0.00094463i,-5.8769e-05-0.0019004i,-0.0021757+0.0066396i,0.0011686+0.0027905i,-0.036803+0.0067984i,-0.059143-0.0097732i,-0.045018+0.036273i,-0.040254+0.021685i,-0.044664+0.043378i,-0.02666+0.012866i,-0.0011399+0.035174i,-0.01014+0.0082712i,-0.040327-0.017466i,-0.060268-0.010373i,-0.0078105+0.027203i,-0.0025519+0.0028103i,0.0044971-0.0044986i,0.00077288-0.010335i,-0.0011818+0.011101i,-0.0017053+0.027635i,0.0027449+0.0018456i,0.0067164-0.0050195i,0.0021539+0.00055825i,0.0073405-0.0078791i,0.0093076+0.0043474i,0.0030534+0.0027066i,-0.0069792+0.00088044i,0.0055865+0.0071501i,0.0054045+0.0068202i,0.0092081+0.0075242i,-0.00020374+0.00097703i,0.0037611-0.0060748i,0.0027-0.0088133i,0.00015088+0.00018422i,-0.033625-0.001829i,-0.00020908-0.0087689i,-0.0025891-0.0020001i,0.0065772-0.00085417i,0.0011884-0.00015263i,-0.00030061-0.011999i,0.0018629-0.0016781i,0.0036109+0.0032086i,0.004192-0.0007352i,0.0043287-0.0043789i,-0.0084733-0.0027631i,-0.0044471-0.0019618i,-0.0038867-0.0034407i,-0.001842-0.0065674i,-0.011124-0.005142i,-0.057302+0.021234i,-0.020662+0.011143i,-0.013139-0.0086231i,-0.0088843+0.0026868i,0.0011004+0.02233i,-0.0065477+0.012412i,-0.0055671+0.0076437i
-0.01835+0.01571i,-0.0052266+0.051612i,0.0050663+0.05391i,-0.0036401+0.015561i,-0.0066322+0.0015509i,0.02341+0.012717i,0.0081724+0.025446i,-0.0061924+0.048892i,-0.00050524+0.022274i,-0.0058939+0.0030474i,0.00057601+0.001446i,0.0076212-0.00093651i,0.0040738+0.00021031i,0.0045548+0.00053334i,0.0039822-0.00083216i,0.0083099+0.0012016i,0.017105+0.003396i,0.0011084-0.0013476i,-0.0057039-0.0029787i,-0.0035186+0.0018111i,-0.00086373+0.00013854i,-0.0039996-0.0037861i,-0.003804-0.00032955i,-0.003462+0.010601i,0.0001781+0.0046109i,0.0017214+0.0015566i,0.00019821+0.0025998i,-0.003667+0.00095145i,-0.00052307+0.0015712i,-0.0012705+0.00072553i,0.0041522-0.0025457i,4.005e-05-0.001278i,-0.00022391-0.0011635i,-0.00014432+0.0002327i,0.0016934-0.0022524i,-0.011341+0.0039454i,0.0030221+0.001965i,0.00108+0.00098844i,-0.0017287-0.00041537i,0.00013704-0.0029059i,-0.0023188-0.00048611i,-0.0004629-0.0020264i,-0.0011695+0.0073483i,0.002213+0.0028179i,-0.035587+0.012752i,-0.06315-0.00060302i,-0.039107+0.039674i,-0.032731+0.027446i,-0.032005+0.04891i,-0.026007+0.019967i,0.0061889+0.027918i,-0.0059873+0.0062696i,-0.040948-0.012306i,-0.058122+9.9862e-05i,-0.0021571+0.028038i,-0.0023204+0.0026686i,-0.00011906-0.0038734i,-0.0047009-0.01005i,0.0047684+0.01088i,0.0066619+0.023795i,0.00057517+0.0014012i,0.0037206-0.0086014i,0.0031257+0.0018647i,0.00285-0.0095198i,0.01084-0.0013666i,0.004999+0.0020346i,-0.0065693+0.0043469i,0.0099591+0.0065954i,0.0097897+0.0051705i,0.01251+0.0032223i,0.00085825+0.0014581i,0.0018548-0.007117i,-0.00042784-0.0096199i,0.0015317+0.0017322i,-0.027278+0.013175i,-0.0021588-0.0086433i,-0.0019606-0.000239i,0.0066306-0.006065i,0.0016416+0.00018519i,-0.0053113-0.012919i,0.00095092-0.0013003i,0.0045794+0.0012666i,0.0036118-0.001398i,0.0033199-0.0060576i,-0.0081419+0.0017812i,-0.0040937+0.00087401i,-0.0058937-9.6879e-05i,-0.0047768-0.0067494i,-0.010885-0.0012387i,-0.053682+0.026899i,-0.019343+0.016644i,-0.015219-0.010984i,-0.0058052+0.0047712i,0.003693+0.021871i,-0.0065746+0.015188i,-0.0031566+0.0053775i
-0.0162+0.01703i,0.0037879+0.050575i,0.016712+0.051609i,-0.0024575+0.016393i,-0.0058377+0.0052727i,0.025798+0.0081582i,0.011069+0.02156i,0.002274+0.04831i,0.0025705+0.021038i,-0.0048198+0.0045272i,0.00081618+0.0011705i,0.0054881-0.0035926i,0.0041833-0.0012942i,0.0040854-0.00019221i,0.0036844-0.0016378i,0.0066322-0.000869i,0.016228-0.0019793i,9.156e-05-0.0012403i,-0.0057677-0.00090234i,-0.0020185+0.0040979i,-0.00014626-0.00024668i,-0.0044397-0.0029908i,-0.0032452+0.00048554i,0.00029569+0.010894i,0.0020041+0.0038425i,0.001933+0.00095244i,0.001124+0.0023513i,-0.002723+0.0026823i,-0.00016606+0.00133i,-0.001281+0.0010177i,0.0025708-0.0035241i,-0.00036274-0.0011932i,-0.00077011-0.00093367i,-0.00023147+0.0001086i,0.00047191-0.0024688i,-0.0094027+0.0074396i,0.0031502+0.00070473i,0.0011092+0.00040143i,-0.0018352+0.00086569i,-0.00034124-0.0028647i,-0.0022673+0.00013512i,-0.00071712-0.0020705i,0.00023844+0.0081521i,0.003325+0.0022i,-0.032701+0.018479i,-0.063219+0.012399i,-0.034761+0.042107i,-0.025696+0.030213i,-0.01784+0.051455i,-0.020056+0.028086i,0.0078946+0.018841i,-0.003897-1.2178e-05i,-0.038425-0.0076003i,-0.052402+0.010364i,0.0055559+0.026049i,-0.0025472+0.0033683i,-0.004328-0.0015653i,-0.0089371-0.0071323i,0.0086263+0.0070668i,0.0097956+0.01893i,-0.002245+0.0028518i,-0.00063516-0.011267i,0.0050355+0.00031251i,-0.0018346-0.0085897i,0.0080143-0.005419i,0.0063891-0.00048298i,-0.0047289+0.0072168i,0.013611+0.0014532i,0.011524-0.00098641i,0.011929-0.0039561i,0.002622+0.00097105i,-0.00057773-0.0073163i,-0.0040852-0.0060828i,0.0036992+0.00047656i,-0.026498+0.011051i,-0.0044797-0.0073641i,-0.00054064+0.00081318i,0.0024764-0.0075655i,0.0022711-0.00015104i,-0.010759-0.010452i,0.00091815-0.00075882i,0.0048172-0.0012564i,0.0027058-0.0021713i,0.0016002-0.0062554i,-0.0055185+0.0054965i,-0.0026859+0.0025882i,-0.0054019+0.0037723i,-0.0081712-0.0056729i,-0.010019+0.0013993i,-0.047879+0.034077i,-0.011576+0.020761i,-0.020146-0.0095921i,-0.0024603+0.0029831i,0.0056671+0.020904i,-0.003734+0.018397i,-0.0025898+0.0017119i
