-0.026222-0.0042852i,-0.021447-0.0082562i,-0.015451-0.015685i,-0.037075-0.010778i,-0.027325+0.00096966i,-0.036933-0.002907i,-0.068714-0.03624i,-0.034747-0.014471i,-0.024478+0.0039224i,0.0073809+0.0062288i,-0.0051884+0.0075605i,-0.0079559+0.019223i,0.0068017+0.0075294i,-0.0010679+0.0039101i,0.0043043+0.0044375i,0.0050476+0.026087i,0.021155+0.021096i,0.0010409-0.0007171i,0.00042007-0.0055459i,0.0090367+0.00017065i,0.0056222-0.0012167i,0.0026561+0.0019227i,0.0010929-0.00034819i,-0.022304-8.1599e-05i,-0.0061479-0.0036962i,-0.0011582+0.003293i,0.0030482-0.0032893i,-0.0020019+5.3865e-05i,-0.00086465+0.0010036i,-0.0026863-0.0016255i,-0.0040186-0.00020145i,-0.0063838-0.0085343i,-0.0065994-0.0035697i,-0.00069502-0.0001805i,-0.00057564-0.0023324i,-0.0022305+0.018656i,0.0027975-0.0041143i,0.0013461-0.0045557i,0.0027758-0.0021813i,-0.0012942-0.0038276i,0.001046-0.00024386i,0.0085103+6.9285e-05i,0.0046093-0.0031424i,0.00040708+0.002233i,-0.014625+0.016003i,-0.024331+0.052233i,-0.0098031-0.036446i,-0.016985-0.01917i,-0.040658-0.016144i,-0.028642-0.011174i,0.029825-0.012637i,0.0039376-0.029555i,0.010681-0.038142i,-0.011042-0.029494i,0.024862-0.023627i,0.013836+0.0065006i,0.028481-0.038331i,-0.0013447-0.003931i,0.0054166-0.008742i,-0.00057557-0.0055741i,-0.0015377-0.034445i,-0.010906+0.028713i,0.0083913-0.01228i,-0.0079571-0.0046032i,-0.0026367-0.0022919i,-0.00091057-0.015357i,-0.0074069+0.0065299i,0.0040093+0.005841i,0.0013398+0.02643i,0.0022537-0.0001067i,-0.007104-0.0037956i,-0.0045547-0.0063493i,-0.014664-0.010211i,-0.0030464-0.0056976i,-0.033136+0.0055565i,-0.0057594-0.0081232i,-0.013398-0.00038723i,-0.009267-0.0065205i,0.0011622-0.0018292i,-0.014108+0.0032404i,-0.0016642-0.00066929i,0.0054273+0.0055162i,0.0029238-0.0056174i,-0.010328-0.011721i,0.0080376+0.0079378i,-0.016022+0.005362i,0.0052286-0.00083133i,-0.018642-0.0017942i,-0.015325-0.0031878i,-0.019001-0.034532i,0.019892-0.011044i,-0.040668-0.021674i,-0.0090255+0.0047916i,0.018332+0.015015i,-0.019898+0.017984i,-0.0046998-0.0020239i
0.0041402+0.015148i,-0.0029479+0.016972i,-0.00090669+0.029626i,4.3391e-05+0.027656i,-0.00059822+0.030503i,0.011093+0.023525i,-0.009661+0.027474i,-0.0047982+0.021957i,0.013006+0.0063876i,0.0013373-0.0039321i,0.0025814+0.00034678i,0.0065159-0.0027298i,0.00080929-0.0017098i,0.00035591-0.0038251i,-2.347e-05-0.0019324i,0.0064083-0.0076016i,-0.0026971-0.0047683i,-0.0015417+0.00063532i,0.00091181+6.8062e-05i,7.0744e-08+0.001677i,-0.00082381+0.001777i,-0.00029259-0.00010006i,0.0013322+0.00027554i,-0.0076878-0.0034298i,-0.0005192-0.00064171i,-0.0024898+0.00052205i,-0.0041594+0.00028753i,-0.0016971+0.0003378i,-0.001495+0.0012405i,-8.8384e-05-0.00053678i,-0.0029867+0.00095386i,0.0014546-0.0018528i,0.00066301-0.0030881i,0.0001681-0.0016078i,-0.0012113+0.00066133i,-0.00061859-0.0032258i,-0.0017137+0.0016891i,0.0020545+7.404e-05i,0.00087292+0.0039003i,0.0022646+0.0045729i,-0.0004581+0.0011675i,-0.0012011+0.00084531i,-0.0016377-0.0012807i,0.0032084+0.0045648i,0.014992+0.0075889i,0.037918-0.048409i,-0.026533+0.0084912i,0.016617-0.0252i,-0.023268-0.030242i,-0.010572+0.0040596i,-0.028643+0.034425i,-0.018553+0.0067097i,-0.016506+0.0089892i,-0.0031581-0.015675i,-0.038379-0.017927i,-0.0086723+0.00169i,-0.027931+0.01351i,0.0033928+0.012105i,0.00046888+0.0046704i,-0.0061498-0.0037644i,-0.00027724+0.0014633i,-0.015818-0.0033933i,0.0054109+0.012759i,-0.00062501+0.007646i,-0.0014242+0.0046648i,0.0012273+0.0062129i,0.0019011+0.0030881i,-0.00015594+0.018972i,0.0047374+0.01635i,0.0051379-0.0049799i,0.011552-0.0050182i,0.0082802+0.0023111i,-0.0024322-0.0077645i,-0.00027074-0.0018488i,0.019192-0.030161i,0.0097586+0.0031399i,0.0074509-0.0013714i,0.0029156-0.0013288i,0.0059374-0.0090021i,0.021733-0.00017686i,0.0060754-0.0027661i,0.0017196-0.0063119i,0.0049609-0.0035905i,0.017774+0.002651i,0.0061501+0.004263i,0.0030997-0.0031495i,0.0091798+0.009156i,-0.0016645+0.0042825i,0.0079409+0.0079071i,-0.013176-0.011123i,-0.008303+0.0013892i,-0.0081321-0.013662i,-0.0074285-0.0043701i,-0.039889+0.0059668i,-0.0059338+0.0037637i,-0.010568+0.00028081i
0.0066292+0.01379i,-0.00069346+0.014469i,0.0057545+0.024502i,0.0043095+0.025401i,0.0036939+0.028555i,0.014604+0.021085i,-0.0058918+0.028314i,-0.00037257+0.021756i,0.012968+0.0021337i,0.00019067-0.0039848i,0.0029701+0.00056348i,0.0050791-0.0053829i,0.00015394-0.0026137i,0.00046254-0.0034052i,-0.00068572-0.0017239i,0.0025406-0.0071009i,-0.0051638-0.0028687i,-0.00054221+0.0026687i,0.0019109-0.00013413i,0.0011818+0.0013633i,-0.0027027+0.0023749i,0.00024748+0.00053797i,0.0016149-0.00036563i,-0.0070653-0.00081341i,-0.00041228-0.00025611i,-0.0020252+0.0014211i,-0.0031804+0.0020601i,-0.0011268+0.0008434i,3.2997e-06+0.00078019i,5.2435e-05-0.00026964i,-0.0019382+0.0024767i,0.00029105-0.0016047i,-0.0011398-0.0031904i,-0.0012401-0.001365i,-0.0018326+0.00095268i,0.00050396-0.0024786i,-0.00047262+0.0021072i,0.0014047-0.00072611i,0.002542+0.0047772i,0.0033716+0.0025737i,0.00012114+0.0014766i,-0.0011532+0.0010932i,-0.0021576-0.00073739i,0.0044942+0.0035355i,0.015755+0.0032048i,0.020036-0.056543i,-0.020096+0.015926i,0.0064195-0.032547i,-0.033108-0.022396i,-0.0079908+0.0069105i,-0.017461+0.039101i,-0.014044+0.011997i,-0.0058615+0.003987i,-0.0047706-0.014157i,-0.043177-0.0046385i,-0.0084929+0.002695i,-0.02206+0.024593i,0.0051644+0.0078612i,0.0011945+0.0031923i,-0.0088725-0.005343i,-0.0025378+0.0044749i,-0.01441+0.0055973i,0.01056+0.0085347i,0.0015966+0.0092344i,0.00016844+0.0043539i,0.0032659+0.0066749i,0.0036262+0.0031048i,0.0075186+0.014809i,0.0096414+0.0092556i,-0.0012968-0.0073114i,0.0058313-0.0063404i,0.0075192+0.00046811i,-0.0017511+0.0011162i,-0.00057653+0.0007249i,0.0060471-0.031181i,0.010864+0.00020675i,0.007673-0.0043192i,0.0044857-0.0026681i,0.0011282-0.0062907i,0.02073-0.0096852i,0.0034479-0.0043374i,-0.00095275-0.0053498i,0.0010565-0.0029902i,0.015044-0.002983i,0.0077546+0.0030008i,0.0023145-0.0018965i,0.011943+0.0055592i,-0.00063743+0.0049449i,0.0088323+0.0042099i,-0.017901-0.009185i,-0.0049247-0.013078i,-0.0072816-0.011791i,-0.0072953-0.0029126i,-0.032898+0.019903i,-0.0039107+0.0046885i,-0.0084541+0.0021587i
0.0098178+0.012096i,0.00090555+0.012829i,0.0084651+0.018487i,0.0077196+0.023009i,0.0085722+0.026925i,0.017745+0.018021i,-0.0011032+0.028645i,0.0039211+0.02037i,0.011443-0.0010258i,-0.00096549-0.003583i,0.0040023+1.276e-06i,0.0011337-0.0062174i,-0.00071756-0.0027274i,-0.0001849-0.0036271i,-0.0011394-0.0013355i,-0.00076867-0.0050641i,-0.0059407+4.9469e-06i,0.0011301+0.002728i,0.0022934-0.0014671i,0.0021484+0.00021773i,-0.00096498+0.0024471i,0.0011485+0.00024426i,0.0015281-0.0010614i,-0.0066232+0.0004024i,-0.00029772+3.5535e-05i,-0.00081179+0.0025261i,-0.0015836+0.0025385i,-0.0003725+0.0010548i,-0.00029487+0.00086247i,-1.5017e-05-0.00041054i,-0.00065573+0.0032375i,-0.00034008-0.0011266i,-0.0023586-0.0018469i,-0.0019696-0.00064875i,-0.0014071+0.0020366i,0.0017327-0.0032139i,0.00027648+0.0019122i,0.00062233-0.0012143i,0.0063138+0.0043917i,0.0034225+0.0014169i,0.00069273+0.0014127i,-0.00020855+0.0016831i,-0.0025243-0.00012376i,0.0050023+0.0013621i,0.015276-0.0005755i,8.2536e-05-0.055811i,-0.009792+0.018926i,-0.00468-0.033931i,-0.036018-0.013884i,-0.0026547+0.0078201i,-0.0037333+0.03832i,-0.0046462+0.011851i,-0.0051951-0.0030659i,-0.0062545-0.013026i,-0.040555+0.0090749i,-0.0074209+0.004411i,-0.009119+0.030895i,0.0036593+0.0049999i,-0.00075084+0.0010901i,-0.015722-0.0016084i,-0.0014058+0.0059298i,-0.0094893+0.0099882i,0.011459+0.0022911i,0.0049408+0.009007i,-0.00053951+0.0049536i,0.0044598+0.0049504i,0.0053331+0.00084268i,0.0097591+0.0083011i,0.0087546+0.0034937i,-0.006325-0.0022004i,0.0038421-0.0055717i,0.0085525-0.00092333i,-0.001314+0.0064782i,0.0023949+0.0019397i,-0.001089-0.032112i,0.01136-0.0045932i,0.005401-0.0068476i,0.0028672-0.004524i,0.00075476-0.0045335i,0.013245-0.01691i,0.0006496-0.0016382i,-0.0069842+0.0055249i,3.4162e-05+0.00031106i,0.011559-0.0057258i,0.010845-0.0013134i,0.0030868-0.0029236i,0.014377-0.00010484i,0.0029683+0.0042593i,0.0083183+0.00097079i,-0.020779-0.0020802i,-0.01639-0.019693i,-0.006294-0.01377i,-0.0054769-0.0036913i,-0.021067+0.026265i,-0.0042875+5.2478e-05i,-0.0071851-0.0015042i
0.012675+0.0089292i,0.0029176+0.011719i,0.0090779+0.013284i,0.010867+0.02089i,0.013085+0.023283i,0.020466+0.014207i,0.0043043+0.028135i,0.0076136+0.017675i,0.0098718-0.0025638i,-0.0019911-0.0028172i,0.0042931-0.0019052i,-0.0015237-0.0042815i,-0.0017183-0.0026465i,-0.0014919-0.002938i,-0.001619-0.00092187i,-0.0018355-0.0019633i,-0.0048248+0.0029649i,0.0021592+0.0018058i,0.0014392-0.0020194i,0.0019396-0.0014479i,0.000145+0.0020441i,0.0016417-0.00052765i,0.0011365-0.0018076i,-0.0062778+0.0019706i,8.1337e-05-5.2367e-05i,0.0011107+0.0015939i,-0.00038213+0.0022056i,0.00021633+0.00072459i,0.00077784-6.2978e-05i,-1.5746e-05-0.00017788i,0.00019558+0.0030724i,-0.00098662-0.00076249i,-0.0031685-0.00055049i,-0.0020762+0.0005724i,-0.00050752+0.0023979i,0.0016807-0.0050101i,0.0015127+0.0017235i,-0.00015841-0.0010376i,-0.0073597-0.0016954i,0.0037003+0.00035298i,0.0012205+0.0007567i,0.00073149+0.0012319i,-0.0025506+0.00079199i,0.0033788-0.0013835i,0.014223-0.003622i,-0.014956-0.044146i,-0.0008482+0.015925i,-0.014435-0.030887i,-0.03778-0.004869i,0.0020636+0.0054906i,0.0076447+0.032554i,0.0028687+0.0060741i,-0.0055698-0.0041127i,-0.0061357-0.010265i,-0.034059+0.018319i,-0.0062193+0.0058271i,0.0025272+0.029356i,0.005793+0.0035285i,-0.0036483+0.002319i,-0.017953+0.0066898i,-0.00074542+0.0079542i,-0.0052861+0.010765i,0.0087661-0.0028304i,0.0077728+0.0077191i,0.00076866+0.0068501i,0.0046183+0.0046673i,0.005398-0.0026416i,0.0083052+0.0027503i,0.0056157+0.0010103i,-0.0043385+0.0017243i,0.0020778-0.0055368i,0.008175-0.00316i,0.0060548+0.0064825i,0.0039259+0.00012257i,-0.013632-0.019905i,0.0083474-0.0078988i,0.0025094-0.0090242i,0.0015696-0.0035094i,-3.6463e-05-0.0048437i,0.0048197-0.018202i,0.0030748-0.00052416i,-0.003635+0.00068521i,0.002976+0.0019181i,0.0084523-0.005943i,0.0090082-0.0068944i,0.001305-0.0033157i,0.011263-0.0074134i,0.0034687+0.00091209i,0.0076629-0.0026396i,-0.016524+0.0054488i,-0.026812-0.016804i,-0.010591-0.018081i,-0.0061896-0.0060146i,-0.013245+0.026141i,-0.0090468-1.2539e-05i,-0.010186-0.00037296i
0.013837+0.0053617i,0.0037899+0.0095683i,0.0078163+0.0095966i,0.013939+0.018168i,0.016187+0.019059i,0.022002+0.0099758i,0.0096775+0.025858i,0.0099713+0.014571i,0.0088386-0.003569i,-0.0022212-0.0019539i,0.0028172-0.0032488i,-0.0022914-0.0023587i,-0.0026199-0.002181i,-0.0018244-0.0018868i,-0.0018987-2.1664e-05i,-0.0012592+0.0003359i,-0.0027391+0.0050264i,0.0024318+0.00080315i,0.0010492-0.0020207i,0.00078069-0.0023008i,0.00070244+0.0014899i,0.0014272-0.0012856i,0.00022296-0.0021946i,-0.0045255+0.0029662i,0.00012149-0.0005075i,0.0011935-5.6014e-05i,0.00077422+0.0014637i,0.00043526+0.00033739i,5.0013e-06+0.0013797i,0.00041056-0.0001848i,0.00097105+0.0027104i,-0.0012814-0.00042631i,-0.0030845+0.0011694i,-0.0016391+0.0015448i,0.00016007+0.0024358i,0.00036492-0.0066241i,0.0023109+0.00049193i,-0.00039295-0.00043168i,0.0011459-0.0011498i,0.0033503-0.00072969i,0.0012219+3.2693e-05i,0.00099219+0.0005337i,-0.0013226+0.0021811i,0.0010572-0.00048132i,0.012878-0.005793i,-0.01733-0.030624i,0.0040209+0.010688i,-0.022663-0.02468i,-0.037604+0.0068401i,0.0043416+0.00083912i,0.016063+0.026061i,0.0059911-0.00074154i,-0.0048565-0.0058058i,-0.0045921-0.010425i,-0.027048+0.025171i,-0.0045416+0.0067014i,0.012857+0.023301i,0.0059067+0.00091859i,-0.0044456+0.0058124i,-0.015369+0.014107i,0.0019324+0.0090119i,0.00033612+0.012876i,0.0041578-0.0034594i,0.01018+0.0050189i,0.0033947+0.0074054i,0.0058301+0.0044258i,0.0042323-0.0049002i,0.0050906+0.0019948i,0.0035346+0.0018134i,-0.0031029+0.0032418i,0.00074374-0.0046633i,0.0068953-0.0054139i,0.0093544+0.0013704i,0.0039627-0.0021499i,-0.014534-0.017084i,0.0046213-0.0097016i,-0.001986-0.0084362i,0.0027641-0.0033i,-0.001492-0.0037955i,-0.00080331-0.0162i,0.0036371-0.0025349i,-0.0015066+0.0022625i,0.0056613+0.00013821i,0.0064722-0.0071537i,0.0043794-0.011084i,0.0011125-0.0031453i,0.0046075-0.0107i,0.0016622-0.00020522i,0.0036803-0.0059222i,-0.0097963+0.0062373i,-0.036388-0.0065262i,-0.01715-0.017637i,-0.0080779-0.0074578i,-0.0069642+0.025371i,-0.012395+0.0036325i,-0.0097155+0.0029213i
0.014256+0.0020594i,0.0041287+0.0085759i,0.006519+0.0081385i,0.016416+0.014866i,0.017857+0.01475i,0.023026+0.0059106i,0.01479+0.02203i,0.011509+0.01159i,0.0082999-0.0048255i,-0.0025889-0.0015473i,0.00074681-0.0036686i,-0.0024426-0.0007036i,-0.0036071-0.001292i,-0.0018488-0.0014744i,-0.0022055+0.00065214i,-7.3795e-05+0.0015109i,0.00032992+0.0058409i,0.0024263-7.5121e-05i,0.00034068-0.002316i,-0.00037025-0.0023734i,0.0014087+0.0010907i,0.0010158-0.0018386i,-0.00059695-0.0019661i,-0.0037531+0.0026487i,-0.00016628-0.00046394i,0.00048455-0.00099767i,0.00093564+0.0002367i,0.00061046-0.00017003i,0.0010872+0.00068356i,0.00047088-0.0007379i,0.0021255+0.0020601i,-0.0014271-0.00013069i,-0.0020783+0.002507i,-0.00079432+0.0019976i,0.00078046+0.0022792i,-0.0017067-0.0072206i,0.0013967-0.001411i,-0.00019818-0.0002292i,0.00090851-0.0016394i,0.0026136-0.0011198i,0.00097716-0.00026376i,0.00095451+0.0001975i,-0.001+0.00032293i,0.00066285+0.001175i,0.011597-0.0072373i,-0.015261-0.024294i,0.0061527+0.0064141i,-0.02657-0.014792i,-0.031946+0.021287i,0.001839-0.0034069i,0.018726+0.01902i,0.0066457-0.0073604i,-0.0046609-0.006388i,-0.0055671-0.010448i,-0.018802+0.029858i,-0.003578+0.0075526i,0.017949+0.011195i,0.0052441-0.0015711i,-0.0025754+0.0090274i,-0.0089625+0.019307i,0.0047812+0.0076847i,0.0057302+0.0093759i,0.0021335-0.0018266i,0.0118+0.00073688i,0.005874+0.0067677i,0.0068214+0.0032764i,-3.5681e-05-0.0076308i,0.00475+0.0035646i,0.004391+0.0031324i,-0.0001658+0.0056743i,0.00062774-0.0042608i,0.0051998-0.0065511i,0.0093051-0.0039142i,0.0030202-0.0042047i,-0.019469-0.01467i,0.00083014-0.0098382i,-0.0053205-0.0068043i,0.0009134-0.0045913i,-0.0017121-0.0022493i,-0.003663-0.013292i,0.0020958-0.0042669i,0.00061894+0.0017976i,0.0055574-0.0041953i,0.0036962-0.0085619i,-0.0028272-0.010741i,0.00040635-0.0044884i,-0.00053404-0.0088442i,0.0013952-0.00090676i,-0.00086202-0.0048979i,-0.0066676+0.0054178i,-0.032936+0.0095789i,-0.022771-0.014433i,-0.011081-0.0073715i,-0.0032358+0.024806i,-0.010948+0.0086959i,-0.0060363+0.0036788i
0.014337-0.0015143i,0.0048946+0.0082195i,0.0060072+0.0076554i,0.018146+0.011042i,0.018686+0.011113i,0.023503+0.0014406i,0.01868+0.016861i,0.012428+0.0087393i,0.0076877-0.0061498i,-0.0030822-0.00062786i,-0.0008657-0.0027649i,-0.0014024+0.0007424i,-0.0041507+0.00018875i,-0.0023389-0.0014805i,-0.0021383+0.0012779i,0.00099019+0.0018965i,0.0034597+0.0050012i,0.0020873-0.00075832i,-0.00015836-0.0022737i,-0.001213-0.0017139i,0.0019297+0.00035555i,0.00035997-0.0022568i,-0.0011354-0.0014823i,-0.0037092+0.0032449i,-0.00034837-0.00055289i,-0.00041589-0.0011733i,0.00069904-0.0004903i,0.00034482-0.00087545i,0.0012071-0.00038427i,-1.0501e-05-0.0012997i,0.0027033+0.0010427i,-0.0012493+0.00071817i,-0.00027413+0.0027255i,1.8706e-05+0.0020432i,0.0014336+0.0015716i,-0.0046672-0.0072149i,0.00076523-0.00078645i,-0.00028367-0.00041378i,0.00057112-0.0018414i,0.0021375-0.0013757i,0.00095124-0.00062539i,0.0011908-0.00014048i,-0.001125+0.00053992i,0.0013412+0.0016769i,0.010822-0.009187i,-0.015868-0.023268i,0.0074063+0.0031686i,-0.024315-0.0061723i,-0.021276+0.028372i,-0.00026263-0.0037313i,0.020828+0.01284i,0.003754-0.013155i,-0.0043365-0.007515i,-0.0055333-0.0086367i,-0.011113+0.032075i,-0.00088792+0.0074612i,0.012284+0.00026347i,0.0031716-0.0039216i,0.0006266+0.010264i,-0.0020096+0.020102i,0.0060525+0.0052594i,0.005842+0.0052002i,0.0024412-0.00090302i,0.011331-0.0031143i,0.0095163+0.0047916i,0.0079158+0.0025217i,-0.0042869-0.0037623i,0.0063169+0.0035776i,0.005699+0.0031281i,0.0033809+0.004674i,-0.00039606-0.0045738i,0.0032871-0.0078127i,0.0068084-0.0097042i,-0.00029984-0.0047384i,-0.025299-0.008312i,-0.0021195-0.009044i,-0.0070768-0.0026536i,0.00039824-0.0027872i,-0.0018679-0.0019233i,-0.0053714-0.012733i,-0.00039421-0.0047202i,0.0013384+0.00011306i,0.0023252-0.005681i,0.0012367-0.0085177i,-0.0063295-0.0062794i,-0.0020382-0.0050043i,-0.003349-0.0066774i,6.4984e-05-0.001482i,-0.0022938-0.0023201i,-0.0036366+0.005235i,-0.025064+0.011399i,-0.022972-0.010017i,-0.013223-0.0054667i,0.0015955+0.022614i,-0.0089138+0.010716i,-0.0047975+0.0024902i
0.013144-0.0048105i,0.0064609+0.0079235i,0.0063316+0.0077306i,0.01896+0.0073147i,0.019015+0.0078743i,0.022891-0.0030414i,0.02119+0.011272i,0.012993+0.0062305i,0.0067176-0.0076744i,-0.002794+0.00041954i,-0.0013631-0.0014763i,-0.00020398+0.00069635i,-0.0040725+0.0018188i,-0.0033449-0.00062911i,-0.0017427+0.0020744i,0.0020308+0.0014399i,0.0052801+0.0024706i,0.0018406-0.0012054i,-0.00070983-0.002167i,-0.0014051-0.000721i,0.0020274-0.00053488i,-0.00035908-0.0020714i,-0.0013743-0.00093604i,-0.002529+0.0041621i,-0.00077994-0.0005665i,-0.00092251-0.00090616i,0.00010567-0.0011047i,-0.00043976-0.0012785i,0.00066254-0.0012512i,-0.00076394-0.0014052i,0.0029726-0.00064873i,-0.00055157+0.00049525i,0.00055819+0.0019281i,0.00058281+0.0018516i,0.001541+0.00081496i,-0.007527-0.0046242i,0.00041799-0.0012286i,-0.00065091-0.00029162i,-0.00039287-0.0024333i,0.0019898-0.0014209i,0.00079096-0.00094629i,0.0011781-0.00053744i,-0.0012693+0.00052577i,0.0020075+0.001625i,0.0092342-0.011619i,-0.019659-0.021207i,0.0072642-0.00053161i,-0.021886-0.00033702i,-0.010368+0.029881i,-0.002423-0.0038222i,0.022162+0.0059721i,0.00041744-0.015523i,-0.0048922-0.0085338i,-0.0040361-0.0065937i,-0.002566+0.033646i,0.0010987+0.0061068i,0.0068103-0.00072259i,0.0005343-0.0047111i,0.0050838+0.010642i,0.0041847+0.017933i,0.0063498+0.0026451i,0.0056897+0.00081028i,0.001795-0.00054397i,0.0088628-0.0073625i,0.011741+0.00057823i,0.0091347+0.00094746i,-0.0043923-0.00066972i,0.0078212+0.0027324i,0.0075241+0.0025528i,0.0060391+0.0020179i,-0.001574-0.0041147i,0.0015035-0.0087256i,0.0012346-0.012595i,-0.0017352-0.0025793i,-0.027691+0.0014149i,-0.0042978-0.0080508i,-0.0057659+0.0005922i,0.00084239-0.0022793i,-0.0025023-0.0012029i,-0.0090118-0.011954i,-0.0027162-0.0047206i,0.0014619-0.00065718i,-0.00018537-0.0058147i,-0.00035183-0.0080078i,-0.0075261-0.0030802i,-0.0043362-0.0030686i,-0.0061853-0.0037659i,-0.00033041-0.0015863i,-0.00197-0.00073494i,-0.00057541+0.0041448i,-0.023005+0.012417i,-0.022346-0.0076917i,-0.01475-0.002502i,0.0027753+0.021148i,-0.0074505+0.011498i,-0.0039292+0.0017642i
0.011464-0.0073433i,0.0087861+0.0065641i,0.0079265+0.0073803i,0.019163+0.0036845i,0.019514+0.0050705i,0.021384-0.0071856i,0.021994+0.004728i,0.013314+0.0037595i,0.0052255-0.008946i,-0.0024979+0.0010087i,0.0023981-0.00079575i,-8.8856e-05-5.9941e-05i,-0.003238+0.0033377i,-0.0032849+0.0007166i,-0.0008782+0.0025633i,0.002263+0.00046077i,0.0050745-7.7178e-05i,0.001245-0.0016965i,-0.0013289-0.0016868i,-0.0010353-0.00010045i,0.001917-0.0014352i,-0.0006836-0.001704i,-0.001278-0.00041961i,-0.00097639+0.0043621i,-0.0012516-0.00032262i,-0.0015613-0.0003838i,-0.00097939-0.0013687i,-0.0012517-0.0010573i,-0.00024169-0.001767i,-0.0015089-0.0010918i,0.001843-0.0013648i,-0.00076719+0.00060226i,0.00079554+0.0014962i,0.0010793+0.0014559i,0.0014541+0.00029806i,-0.0090742-0.0011941i,-0.00050761-0.0012101i,-0.00073527-3.6956e-05i,-0.0016242-0.0022212i,0.0017639-0.0015589i,0.00049225-0.0011068i,0.0010189-0.0008158i,-0.001409+0.00075658i,0.0025612+0.0013677i,0.0065153-0.013121i,-0.023458-0.016477i,0.0062017-0.0036878i,-0.015883+0.0047485i,4.7883e-05+0.030103i,-0.0036559-0.0012119i,0.022062-0.0012324i,-0.00045587-0.018369i,-0.0055019-0.0082274i,-0.0013462-0.0043959i,0.0070493+0.032102i,0.0016657+0.0038895i,0.0038568-0.0014407i,-0.0026399-0.0045033i,0.0099975+0.00757i,0.0076515+0.014593i,0.0050499+0.0013663i,0.0037342-0.0031842i,0.002797+0.0015211i,0.0044735-0.0095662i,0.011423-0.0054357i,0.0092877-0.0015728i,-0.0045739+0.0021217i,0.0099565+0.00099426i,0.0097854-3.6548e-05i,0.0059929-0.0021435i,-0.0023158-0.0033392i,-0.0012802-0.0088787i,-0.0070751-0.010199i,-0.0011297-0.00086983i,-0.025949+0.011509i,-0.006318-0.0069084i,-0.0041937+0.0023052i,0.00093888-0.005022i,-0.0022995+0.00042221i,-0.012913-0.008503i,-0.0052845-0.0026328i,0.00095638-0.0017842i,-0.0024401-0.0046881i,-0.0025122-0.0076741i,-0.0074149+0.0012569i,-0.0045016-0.00021624i,-0.0065762-0.0011097i,-0.0014642-0.0029143i,-0.0013274-0.0005555i,0.0015385+0.0030394i,-0.022051+0.018426i,-0.0225-0.0080928i,-0.010744+0.00064922i,0.0062646+0.020201i,-0.0064054+0.013567i,-0.0029136-0.00029425i
0.0096917-0.0092376i,0.010626+0.0042078i,0.0096317+0.005642i,0.018615+8.8407e-05i,0.019821+0.0020962i,0.019367-0.010539i,0.020628-0.0012002i,0.013279+0.0013375i,0.0037094-0.0098264i,-0.0022163+0.0018906i,-0.00063954-0.00096228i,-0.00069971-0.00014747i,-0.002002+0.0042385i,-0.0027228+0.001785i,-3.497e-05+0.0026678i,0.0015902-0.00018426i,0.003923-0.0016424i,0.00065891-0.0017789i,-0.0013375-0.00116i,-0.00050625+9.9942e-05i,0.0015125-0.0022259i,-0.00076206-0.0015857i,-0.00092599-0.00017323i,0.00037646+0.0043326i,-0.0016181+8.5838e-05i,-0.0018809+0.00054187i,-0.0020768-0.00090777i,-0.0017109-0.00048651i,-0.0014074-0.0017084i,-0.0021736-0.00046371i,0.0011895-0.0014791i,-0.00059363+0.001138i,0.0011578+0.0010817i,0.0014988+0.00096784i,0.0011899-0.00011447i,-0.0096795+0.002556i,-0.0009787-0.00096472i,-0.0008889-1.8882e-05i,-0.0025439-0.0013508i,0.0015002-0.001764i,0.00028146-0.0011444i,0.00093356-0.001119i,-0.0015075+0.0011373i,0.0029467+0.00086701i,0.0041274-0.013493i,-0.022924-0.0095962i,0.00348-0.0055893i,-0.0093711+0.0049432i,0.0094513+0.027354i,-0.0023626+0.0021404i,0.019287-0.0074873i,-0.0041154-0.022778i,-0.003754-0.0074371i,0.0029037-0.0041656i,0.015054+0.025776i,0.0007519+0.0019795i,0.00086098-0.0009373i,-0.0046423-0.0022954i,0.011746+0.0018103i,0.010289+0.011922i,0.0028296+0.0022056i,0.00042747-0.0057929i,0.0056633+0.00013456i,-0.0002829-0.0090078i,0.0074702-0.0093359i,0.0085387-0.0043094i,-0.0041482+0.0043171i,0.010875-0.0036561i,0.0089343-0.0050151i,0.0043027-0.0051406i,-0.0029686-0.0025448i,-0.0041528-0.0079359i,-0.0066348-0.0052417i,-0.00011759-0.0010693i,-0.019973+0.022263i,-0.0082541-0.00508i,-0.0021198+0.0033166i,-0.0030312-0.0057428i,-0.0011574+0.00090578i,-0.015408-0.0034389i,-0.0045964+0.00018502i,-0.00044878-0.0025079i,-0.0042024-0.0030182i,-0.0047928-0.0058704i,-0.0051245+0.0040014i,-0.0028332+0.0014794i,-0.0067133+0.0027534i,-0.0045635-0.0026159i,-0.0015438-0.00060116i,0.0054122+0.0019121i,-0.011229+0.02361i,-0.02592-0.0070793i,-0.009646-0.002316i,0.0082396+0.01767i,-0.0036559+0.01559i,-0.0038494-0.0032623i
