-0.030374-0.04139i,-0.021689-0.020239i,-0.012791-0.036862i,-0.030094-0.021079i,-0.022457-0.001078i,-0.014469-0.0067728i,-0.056096-0.061946i,-0.047898-0.018952i,-0.038231-0.014759i,0.011218+0.013034i,-0.0077408+0.0053913i,-0.020413+0.019344i,0.0024875+0.011971i,-0.0060763-0.0034817i,0.00021692+0.0013518i,-0.0018351+0.031332i,0.028459+0.028828i,0.0027134-0.0020953i,-0.0019536-0.006836i,0.0082685+0.0027163i,0.0028249+0.0011525i,8.4773e-05+0.0039866i,-0.00029037+0.00020049i,-0.037762-0.012205i,0.00029576-0.0079479i,0.0015145+0.0023433i,0.0066466+0.001682i,0.0020561+0.00054674i,0.0013493-0.00057716i,-0.00031563-0.00271i,0.001638-0.0026088i,-0.0026447-0.0060066i,-0.00063274-0.005045i,0.0030474-0.0007782i,0.00482-0.0027433i,0.0021347+0.031815i,0.0044778-0.0036657i,0.0032917-0.0017321i,0.0085286-0.0011395i,-0.0051746-0.0022833i,-0.00010504+0.0010148i,0.009766+0.00021348i,0.0043624-0.0022302i,-0.0018917+0.0096204i,-0.018026-0.0070747i,-0.018236+0.015869i,-0.0014465-0.062479i,-0.0045095-0.0272i,-0.025827-0.033128i,-0.010865-0.027036i,0.056589-0.018844i,0.018341-0.042882i,0.023271-0.048801i,0.0063411-0.055025i,0.026899-0.020756i,0.0084087+0.0062803i,0.025724-0.033623i,-0.0081015-0.0069334i,0.0035452-0.0047203i,-0.0044235-0.0073446i,-0.0016129-0.03396i,-0.018465+0.029829i,0.0086797-0.011758i,-0.0095111-0.0041496i,-0.0041652-0.0019259i,0.0010522-0.013352i,-0.011162+0.0040895i,0.0026594+0.010158i,-0.0051973+0.027554i,0.0044712+0.0025826i,-0.0054605-0.0017259i,-0.0018716-0.0024598i,-0.012337-0.0078327i,-0.00037942-0.0045619i,-0.036352+0.00048825i,0.0012886-0.010511i,-0.0084969-8.3009e-05i,-0.006952-0.0023819i,0.0053461+0.0013548i,-0.0083109-0.00061443i,0.002491+5.877e-05i,0.0035772+0.0074641i,0.0043639+0.00059041i,-0.0076013-0.013454i,0.0023478+0.0094842i,-0.015553+0.0046151i,0.0071727-0.00036354i,-0.02236-2.2547e-05i,-0.017988+0.0059356i,-0.0073874-0.066618i,0.0083353-0.012575i,-0.048572-0.023835i,-0.021489+0.00032791i,0.017621+0.01188i,-0.023529+0.014616i,-0.019232-0.0055462i
-0.042535+0.032532i,-0.016999+0.018884i,-0.02225+0.04262i,-0.027663+0.013559i,-0.0055641+0.021946i,-0.0013031+0.0082054i,-0.032661+0.016858i,-0.0047742+0.030576i,0.0082023+0.018429i,-0.0056572-0.0071985i,0.0025821+0.0030716i,0.0079322-0.00021013i,0.0054982+0.00043122i,-0.00075506+0.003757i,0.00076713+0.0022097i,0.0065034-0.0051003i,-0.0066515-0.0010048i,-0.0033938-0.00091964i,0.004503-0.0013589i,-3.4494e-05-0.00086249i,0.0032275-0.0055865i,0.0019186-0.0029008i,0.0014607-0.002514i,-0.010041-0.011609i,-0.00099449+0.0024484i,-0.0016315+9.5423e-05i,-0.004406-0.0016463i,-0.0030158-0.00011866i,-0.00081847-0.0015447i,-0.00018227-0.00067287i,-0.0011356+0.0041101i,0.00054832+0.00080972i,0.0015811+0.00083192i,-0.00052837+0.00069095i,-0.0032209+0.0029454i,-0.0015247-0.0078345i,-0.0027573+0.0010232i,0.00082318-0.00058352i,-0.0021239+0.0033286i,0.0041476+0.0027869i,-0.00045294-0.0017409i,-0.00071871-0.0032514i,-0.0036215-0.00054583i,0.0048048-0.00024597i,-0.016266+0.024479i,0.007845-0.0385i,-0.055467+0.0032703i,0.0082907-0.032086i,-0.030264-0.049432i,-0.0291-0.020705i,-0.063873+0.019558i,-0.038312+0.00015632i,-0.034622-0.0067647i,-0.029673-0.022502i,-0.03962-0.02379i,-0.0055204+0.0032508i,-0.02834+0.0095329i,0.0061426+0.019337i,0.0027596+0.0085553i,-0.0030752-0.0056073i,0.001986+0.0018587i,-0.011311-0.003461i,0.0055821+0.012113i,-0.00047328+0.0059689i,-0.0017339-0.0014454i,0.0012412+0.0018415i,0.0036705-0.0013964i,-0.0038437+0.018272i,0.0026197+0.015137i,0.0041305+0.00043792i,0.010105-0.0065839i,0.004664+0.0034059i,-0.0089117-0.0076357i,-0.00081422-0.0029379i,0.02714-0.034264i,0.0081491+0.010658i,0.0053459+0.0024244i,-0.0025362+0.0030431i,0.0038384-0.0055518i,0.020735+0.0088718i,0.0036583+0.0029138i,0.00026099-0.0066611i,0.0014128-0.0031026i,0.014482+0.0080008i,0.0052319+0.0019797i,0.0028521-0.0050642i,0.004077+0.0085626i,-0.00053701+0.0014702i,0.009111+0.0028669i,-0.044007-0.014342i,-0.0066945+0.011469i,-0.0024314-0.0045581i,-0.0066401+0.0057878i,-0.037562+0.011859i,-0.0057663+0.007436i,-0.0097199+0.013679i
-0.036774+0.038775i,-0.013765+0.018545i,-0.011498+0.038554i,-0.025012+0.016706i,-0.0025827+0.020188i,8.8316e-05+0.0081836i,-0.031437+0.022427i,0.0012165+0.029806i,0.01037+0.012792i,-0.0071425-0.004124i,0.0036867+0.00353i,0.0070651-0.0028266i,0.0050041-0.0015969i,0.0013548+0.0042974i,0.0010719+0.002227i,0.0022871-0.0044706i,-0.0080277+0.0029416i,-0.0032082+0.00030674i,0.0046318-0.0025019i,0.00026538-0.000914i,0.0013259-0.0058236i,0.0015616-0.0024923i,0.00080947-0.0026638i,-0.011953-0.0081491i,0.00034272+0.0018793i,-0.0016758+0.00051938i,-0.004024+0.00030119i,-0.0023+0.00071514i,-0.0012934-0.0013912i,-6.156e-05-0.0005942i,0.00057548+0.0042663i,0.00013722+0.00079015i,0.0013393-0.00015553i,-0.00075418+0.00096597i,-0.0030179+0.0034051i,-0.0017373-0.0068373i,-0.0022824+0.0015588i,-0.00029453-0.0011988i,-0.0012894+0.004086i,0.0038242+0.00030297i,-0.00082805-0.0015491i,-0.0024624-0.0030169i,-0.0037985+0.0007053i,0.0049671-0.0015802i,-0.012262+0.023662i,-0.0060515-0.044281i,-0.048974+0.01412i,-0.0012719-0.039791i,-0.044555-0.043998i,-0.030056-0.014187i,-0.052445+0.032012i,-0.035586+0.0089426i,-0.025088-0.0091348i,-0.031544-0.018203i,-0.045467-0.0082324i,-0.004643+0.0029883i,-0.02367+0.021708i,0.011483+0.013417i,0.0053932+0.0049929i,-0.008304-0.0084512i,-0.0012595+0.0036803i,-0.011092+0.0033808i,0.010461+0.0086768i,0.00066621+0.0075941i,-0.0021008+6.9088e-05i,0.0020192+0.0031095i,0.0038495-0.0015831i,0.0048504+0.014993i,0.008454+0.0093573i,0.00030388-0.0029433i,0.0035357-0.0081164i,0.0050312+0.0027859i,-0.011866+0.00076868i,-0.0024253-0.00089797i,0.010351-0.037831i,0.012294+0.0080087i,0.0073106-0.00017645i,0.0011139+0.0028982i,-8.6847e-05-0.0033187i,0.022316-0.0011799i,0.0038104+0.0012724i,-0.0033357-0.0053202i,-0.0024416-0.0020174i,0.014047+0.0016818i,0.0053514+0.0019378i,0.00080392-0.00361i,0.0067888+0.0070107i,-0.00041825+0.002698i,0.0095896-0.00033075i,-0.046942-0.0099436i,-0.0012643-0.002475i,-0.0013189-0.0042175i,-0.0045053+0.0054251i,-0.031255+0.02355i,-0.0032745+0.0083352i,-0.005682+0.014509i
-0.029523+0.043725i,-0.011647+0.018531i,-0.0062831+0.032252i,-0.022274+0.019704i,0.0010329+0.019337i,0.001826+0.0076373i,-0.02758+0.02856i,0.0067685+0.027637i,0.0096281+0.0087369i,-0.0074251-0.00095585i,0.0056406+0.0030251i,0.0029044-0.0039158i,0.0038739-0.0028417i,0.0021895+0.0037078i,0.0016018+0.0021423i,-0.001257-0.0018499i,-0.0067862+0.0074271i,-0.0021776+0.0010845i,0.0041556-0.0045574i,0.00059327-0.0016181i,-0.00050067-0.0053865i,0.0016449-0.0029475i,0.00029692-0.0026493i,-0.013972-0.0049716i,0.00084698+0.001437i,-0.0011646+0.0012543i,-0.0028646+0.00072023i,-0.0011324+0.0012458i,-0.0015446-0.0012505i,-0.00037466-0.00090642i,0.0021166+0.0035035i,0.00018725+0.0010819i,0.00091226-0.00054341i,-0.00047441+0.00093429i,-0.0012971+0.0046838i,-0.0013051-0.0070119i,-0.0020437+0.0018679i,-0.0012316-0.0011157i,0.0017593+0.0029351i,0.0027505-0.00086883i,-0.001162-0.0011351i,-0.0021097-0.0013447i,-0.0035568+0.0017653i,0.0041793-0.0037208i,-0.009607+0.023307i,-0.022899-0.042641i,-0.038945+0.020609i,-0.013423-0.041693i,-0.052931-0.03495i,-0.026885-0.0084404i,-0.036568+0.038635i,-0.024097+0.014729i,-0.027028-0.013003i,-0.032436-0.014286i,-0.042922+0.006833i,-0.0038062+0.0032009i,-0.012171+0.028953i,0.013485+0.0072938i,0.0034732-0.00030927i,-0.017936-0.0061475i,-0.00042791+0.0049665i,-0.0067961+0.0071525i,0.012454+0.002631i,0.003442+0.007703i,-0.0037391+0.0017118i,0.0023357+0.0012574i,0.0038593-0.0030586i,0.0076791+0.0082065i,0.0086066+0.0037004i,-0.0042522-0.00032648i,0.00037087-0.0063606i,0.006791+0.0016716i,-0.0073653+0.009729i,-0.00045317+0.0012629i,-0.0028582-0.034123i,0.01623+0.0017468i,0.0061637-0.0028735i,0.0014519+0.0012879i,-0.00019656-0.0014064i,0.017771-0.0092604i,0.0020565+0.0027241i,-0.0053191-0.0026962i,-0.0032316+0.0019646i,0.010828-0.0026262i,0.009064-0.00035747i,0.00088163-0.0035227i,0.010137+0.00336i,0.0028462+0.0026158i,0.0084929-0.0037227i,-0.050031-0.00076747i,-0.010041-0.010973i,0.0011044-0.0070554i,-0.0031467+0.0038566i,-0.020734+0.028357i,-0.0033909+0.0035002i,-0.0026092+0.0099973i
-0.021477+0.046779i,-0.009079+0.019609i,-0.0048153+0.027305i,-0.018154+0.022707i,0.0043815+0.016369i,0.0035001+0.0060899i,-0.021081+0.033569i,0.011614+0.02382i,0.0088587+0.0072269i,-0.0066046+0.0018236i,0.0066608+0.00055228i,0.00059203-0.0013363i,0.0024292-0.0033019i,0.0022386+0.0038242i,0.0019677+0.0017167i,-0.0016766+0.0022762i,-0.0026654+0.010747i,-0.0014532+0.00107i,0.002343-0.0055094i,-0.00020274-0.0023452i,-0.0018332-0.0043435i,0.0011918-0.0033972i,-0.00028692-0.0028456i,-0.015331-9.3187e-05i,0.0012431+0.00025998i,-0.0002801+0.00082366i,-0.0024471+0.00073115i,1.3186e-05+0.00068119i,-0.0018048-0.0005765i,-0.00081497-0.00048104i,0.003077+0.0021542i,0.00056952+0.0011101i,0.00015372-0.00084291i,-0.0002877+0.00097824i,0.001025+0.003956i,-0.0026017-0.0089287i,-0.0012827+0.0026891i,-0.0018369-0.00047287i,0.001655+0.0001717i,0.0019051-0.0012579i,-0.0012063-0.00068779i,-0.0016627-0.0012095i,-0.0026726+0.0027383i,0.0011856-0.005945i,-0.006879+0.024257i,-0.036051-0.030564i,-0.029382+0.021505i,-0.024851-0.038429i,-0.061179-0.024345i,-0.022043-0.006452i,-0.022253+0.037812i,-0.013824+0.01079i,-0.028188-0.010065i,-0.032751-0.0092088i,-0.036413+0.017135i,-0.003437+0.0034284i,9.8652e-05+0.028854i,0.013781+0.0017956i,-0.0014477-0.0011312i,-0.023453+0.0045707i,-0.00049168+0.0066154i,-0.0026776+0.0068444i,0.0098033-0.0037745i,0.0061511+0.0066524i,-0.0031306+0.0047909i,0.00024235+0.0017289i,0.0030749-0.0058056i,0.0058411+0.0022068i,0.0059845+0.0005655i,-0.0031249+0.00266i,-0.001515-0.0046577i,0.0069649-0.00057842i,0.0024708+0.01169i,0.00051167+0.00067311i,-0.010331-0.0274i,0.014059-0.0048026i,0.0046692-0.0045424i,0.0021519+0.0022912i,-0.00010607-0.0012374i,0.011906-0.012655i,0.0052886+0.0034717i,-0.005906+0.00034323i,-0.00079289+0.00419i,0.0083284-0.0032702i,0.0083837-0.0060652i,-0.00070943-0.0030759i,0.0092169-0.0027892i,0.002952-0.00067552i,0.0069157-0.007203i,-0.046082+0.011169i,-0.019831-0.0096452i,-0.0015913-0.012795i,-0.002304+0.0014579i,-0.012661+0.027986i,-0.0070258+0.0033005i,-0.0033222+0.0090071i
-0.013814+0.048535i,-0.0067132+0.019626i,-0.0054959+0.025018i,-0.013439+0.024346i,0.0060697+0.013104i,0.0038413+0.0043117i,-0.013226+0.035934i,0.014772+0.01921i,0.0095202+0.0062098i,-0.004543+0.0036896i,0.0057726-0.0012538i,0.0010376+0.00087498i,0.0013938-0.0033826i,0.0038273+0.0042187i,0.0022817+0.0012404i,0.00024299+0.0051484i,0.0025812+0.011597i,-0.0012025+0.0010763i,0.00084489-0.0057709i,-0.0012395-0.0022843i,-0.0028787-0.0033603i,0.00032171-0.0036255i,-0.0012128-0.0027162i,-0.013056+0.0046588i,0.00037476-0.0011348i,-0.00041498+8.9059e-05i,-0.002039+0.00099427i,0.00023857-0.00035865i,-0.001727+3.0712e-06i,-0.00058368-6.1662e-05i,0.003265+0.00071558i,0.0012548+0.00050175i,-0.00054908-0.00047414i,-0.00037164+0.00098049i,0.0014862+0.0029567i,-0.0059115-0.0098611i,-0.00038954+0.0028007i,-0.0019023+0.00067302i,5.1781e-05-0.00031721i,0.0011111-0.0010173i,-0.0011234-0.0003452i,-0.0019472-0.0011826i,-0.0013713+0.0031831i,-0.0019492-0.0044047i,-0.0028718+0.025381i,-0.037282-0.015113i,-0.023037+0.019701i,-0.034226-0.031421i,-0.067078-0.0093414i,-0.019182-0.0085795i,-0.010817+0.033498i,-0.0094189+0.0054081i,-0.027863-0.0083413i,-0.031592-0.0058318i,-0.029444+0.025046i,-0.0027186+0.0034035i,0.012332+0.024144i,0.01276-0.0028971i,-0.0048998+0.0015277i,-0.021453+0.014628i,0.0015124+0.0079163i,-6.575e-05+0.0071666i,0.0034846-0.0050405i,0.0081815+0.0047053i,-0.00095665+0.0065735i,8.3996e-05+0.0039565i,0.0010634-0.0070757i,0.0014532+0.0024862i,0.0033689+0.00071274i,-0.0022029+0.0038962i,-0.0025898-0.0024382i,0.0061566-0.0029059i,0.0078767+0.0070627i,0.00066138+6.342e-05i,-0.014519-0.02474i,0.010052-0.0087463i,0.002466-0.0056085i,0.0051226+0.0020277i,-0.00046416-0.00057801i,0.007674-0.013383i,0.0076296+0.0006683i,-0.0042579+0.003636i,0.0020418+0.0040472i,0.0077121-0.0040164i,0.0036607-0.010691i,-0.00077713-0.0021718i,0.0052211-0.0058747i,0.0008965-0.0017949i,0.0028712-0.0101i,-0.038096+0.016183i,-0.027294-0.0021572i,-0.0065465-0.014398i,-0.0031572-0.0012495i,-0.0076307+0.026749i,-0.0099454+0.0059898i,-0.0018937+0.0094979i
-0.0061173+0.049336i,-0.0046651+0.020103i,-0.0056894+0.025991i,-0.0087833+0.024477i,0.006239+0.010077i,0.0039906+0.0032544i,-0.0048334+0.035547i,0.016484+0.014619i,0.010599+0.0040939i,-0.0027132+0.0037557i,0.004029-0.00215i,0.0022226+0.0019383i,0.00025024-0.0033016i,0.0056119+0.0028869i,0.0022872+0.00067341i,0.0031366+0.006149i,0.0078155+0.0096702i,-0.00084995+0.0013212i,-0.0011445-0.0057927i,-0.002078-0.0017485i,-0.0030231-0.0019623i,-0.00036238-0.0037035i,-0.0018482-0.0021252i,-0.010974+0.0062305i,-0.0010013-0.00095907i,-0.0009757+4.3504e-06i,-0.0017138+0.0013101i,-0.00020734-0.0012637i,-0.0014103+0.00049333i,-0.0003978-0.00017976i,0.002988-0.0004969i,0.0012423-0.00044565i,-0.00069522-0.00010853i,-0.00024438+0.0010517i,0.0016594+0.0024275i,-0.0095124-0.0087282i,0.00023858+0.002458i,-0.0012792+0.001342i,-0.00074155+0.0004695i,0.00076083-0.00051879i,-0.00093395+4.2112e-06i,-0.0021737-0.00040754i,-0.00029396+0.0028346i,-0.0031011-0.0017856i,0.0015475+0.02606i,-0.031841-0.0065634i,-0.019315+0.018287i,-0.039735-0.020575i,-0.064993+0.0097414i,-0.022658-0.011526i,-0.0038012+0.026964i,-0.0071062+0.00089749i,-0.027204-0.0054457i,-0.031835-0.0023454i,-0.021137+0.029577i,-0.0031068+0.0035719i,0.018762+0.010878i,0.010566-0.0075337i,-0.0058384+0.0056081i,-0.014139+0.022917i,0.0040619+0.006923i,0.0039156+0.0053012i,0.00071074-0.0020679i,0.0099604+0.0011269i,0.0016101+0.0075789i,0.001636+0.0050785i,-0.0036845-0.0089458i,0.00090585+0.0060172i,0.0033654+0.0020933i,0.00021314+0.0067307i,-0.0017371-0.0005542i,0.0045837-0.0038315i,0.0097574+0.0019978i,0.0011237-0.0008454i,-0.022786-0.02279i,0.0056802-0.010485i,-9.5588e-05-0.0056586i,0.0050219-0.00081473i,-0.00011249+0.0005424i,0.0052434-0.012961i,0.007302-0.0027727i,-0.0013141+0.0049723i,0.0034864+0.0019446i,0.0061891-0.0059291i,-0.0032844-0.010321i,-0.0011982-0.0024528i,0.0018891-0.0053689i,0.00062075-0.0022521i,-0.0020774-0.0096124i,-0.033372+0.018639i,-0.025013+0.011203i,-0.011145-0.014106i,-0.0054856-0.001958i,-0.0039836+0.026255i,-0.0093975+0.010559i,0.0016606+0.0082891i
0.0017676+0.048901i,-0.0020939+0.020947i,-0.003935+0.028233i,-0.0054019+0.023464i,0.0054443+0.0084306i,0.004216+0.002095i,0.002436+0.032824i,0.017073+0.010603i,0.011343+0.0019892i,-0.0016563+0.0038528i,0.0027915-0.0016501i,0.0045646+0.0022119i,-0.00078106-0.0028243i,0.0059607-3.3769e-05i,0.0020994+0.00030146i,0.0056323+0.0055159i,0.011252+0.0055987i,-0.00036892+0.0015758i,-0.0025876-0.00507i,-0.0024965-0.00074094i,-0.0026232-0.00079347i,-0.0013468-0.0036734i,-0.0022435-0.0014561i,-0.00968+0.0093921i,-0.0016609-0.00031882i,-0.0013749+0.00056975i,-0.0012625+0.0015978i,-0.0014063-0.0016188i,-0.0011323+0.00049009i,-0.00057112-0.00034096i,0.0023692-0.0014354i,0.0010959-0.00059055i,-0.00027151+1.9603e-05i,6.849e-05+0.0010326i,0.0022554+0.0013837i,-0.012859-0.0064334i,0.0009197+0.0022602i,-0.00076797+0.0014097i,-0.0008369+0.001143i,0.00075267-0.00027879i,-0.00065647+0.00022303i,-0.0016892+0.00013518i,0.00025392+0.0021844i,-0.0028474-6.341e-05i,0.0069266+0.024938i,-0.028205-0.0048782i,-0.016447+0.017663i,-0.039428-0.010542i,-0.055507+0.025454i,-0.026069-0.0089566i,0.00075094+0.021893i,-0.0074952-0.0034212i,-0.025501-0.003639i,-0.030461+0.0026281i,-0.01298+0.032565i,-0.0021251+0.0037983i,0.013345-0.0013984i,0.0059701-0.011371i,-0.004231+0.0090001i,-0.0049935+0.024846i,0.0050518+0.0046393i,0.0048031+0.0014459i,0.0016241-0.0007924i,0.0093487-0.0020437i,0.0063744+0.0067184i,0.0033771+0.0060814i,-0.0080963-0.0035221i,0.0038129+0.007663i,0.0046176+0.0023407i,0.0040121+0.0063766i,-0.0011962+7.8715e-05i,0.0035543-0.0046455i,0.0097205-0.0045107i,-0.00075419-0.0012055i,-0.031494-0.01363i,0.0016212-0.010408i,-0.0022004-0.0042071i,0.0051564-0.00065367i,0.00060662+0.00057049i,0.0035088-0.01516i,0.0055275-0.0056068i,0.0011506+0.004052i,0.0035776+0.0010711i,0.0047359-0.0067934i,-0.0067708-0.006109i,-0.0024909-0.0023085i,-0.00069149-0.0049781i,-0.0010098-0.0029504i,-0.0050788-0.0073882i,-0.02761+0.021165i,-0.018251+0.011978i,-0.012092-0.012818i,-0.0070325-0.0011469i,0.00073986+0.024632i,-0.007608+0.012468i,0.0023426+0.0058149i
0.0092078+0.047255i,0.0013115+0.021641i,-3.4262e-05+0.030825i,-0.0025411+0.023222i,0.0047018+0.0080632i,0.0039523+0.0011824i,0.0083025+0.028865i,0.017175+0.0073286i,0.01173-0.00083252i,-0.00067648+0.0038476i,0.0028702-0.0010441i,0.0066737-6.1289e-05i,-0.0015572-0.0019368i,0.0041196-0.0014464i,0.0020662+0.00018224i,0.0077229+0.0035073i,0.01224+0.0010916i,0.00039895+0.00134i,-0.0038166-0.0040305i,-0.0022035+0.00049713i,-0.0018462-0.00027828i,-0.0021901-0.0027706i,-0.0024651-0.00080503i,-0.0053764+0.011559i,-0.0019615+0.00057396i,-0.0010907+0.0013019i,-0.00080594+0.0020752i,-0.0027308-0.0010207i,-0.0010213+0.00057496i,-0.00075394-0.00026043i,0.0013685-0.0020395i,0.0012857-0.0016151i,-0.00045281-5.1255e-05i,0.00020859+0.0008419i,0.0020061+0.00023i,-0.015322-0.0021341i,0.0014394+0.0017854i,-0.00039417+0.001678i,-0.0010478+0.0013003i,0.0010554-5.3559e-05i,-0.00024224+0.00022282i,-0.0012745+0.00030139i,0.00029168+0.0015595i,-0.0020151+0.0010515i,0.01127+0.022075i,-0.028746-0.0036683i,-0.01454+0.016722i,-0.038685-0.0025501i,-0.04216+0.034079i,-0.029287-0.0057966i,0.0049719+0.016056i,-0.0087178-0.0049343i,-0.024657-0.0023653i,-0.027932+0.0077011i,-0.0040659+0.033404i,-0.0011619+0.0038224i,0.0062073-0.0031674i,0.00057682-0.012669i,-0.00017058+0.01221i,0.0034162+0.022745i,0.0046545+0.0025978i,0.0035743-0.0018357i,0.00085824-0.00075282i,0.0075552-0.0054424i,0.0096418+0.0032223i,0.0060311+0.0058635i,-0.0079713+0.00065339i,0.0069583+0.0076886i,0.0060839+0.0020519i,0.0079862+0.0042314i,-0.00068703+0.00073566i,0.0029477-0.0054766i,0.0056451-0.0085897i,-0.001069+0.00084784i,-0.035272-0.00089155i,-0.0010775-0.0095854i,-0.0031155-0.0021763i,0.0058479-0.0016499i,0.00089176+0.00027844i,-0.00087078-0.017744i,0.002777-0.006959i,0.002812+0.0032663i,0.0040083+2.1941e-06i,0.0041955-0.0077455i,-0.0086736-0.0032031i,-0.0038042-0.00057683i,-0.0032454-0.0033937i,-0.0021909-0.0028146i,-0.0064955-0.0049694i,-0.022564+0.021563i,-0.016461+0.011911i,-0.013121-0.013717i,-0.0078595+0.00039846i,0.0028023+0.023639i,-0.0063607+0.013094i,0.0029052+0.0042879i
0.016712+0.044612i,0.0057337+0.021434i,0.006341+0.031752i,0.00070438+0.022867i,0.0052624+0.0086872i,0.0038081+0.00075692i,0.012458+0.023588i,0.017253+0.0043097i,0.010985-0.0038789i,5.3073e-05+0.0036009i,0.003147-0.0015954i,0.0061127-0.0034847i,-0.0018588-0.00091073i,0.0032643-0.0016644i,0.0021333-4.7307e-05i,0.0081568+0.00072552i,0.011203-0.0030446i,0.00033955+0.00077124i,-0.0049384-0.0024477i,-0.0012295+0.0010451i,-0.001022-0.00051772i,-0.0023583-0.0019983i,-0.0024628-4.5278e-05i,-0.00093089+0.011407i,-0.0017298+0.0013576i,-0.0005278+0.0016797i,4.7989e-05+0.0021503i,-0.0032986+0.00039606i,-0.000824+0.00054981i,-0.00088517-0.00010079i,0.00032153-0.0021627i,-1.5165e-05-0.0023836i,-0.00055978+0.00020393i,0.00026017+0.00069324i,0.0013946-0.00038393i,-0.015343+0.0031357i,0.0015718+0.001177i,0.00027798+0.0016836i,-0.0008989+0.0016974i,0.0013696-0.00017231i,-7.9137e-05-3.2364e-05i,-0.00078363+0.00027088i,6.8828e-05+0.0012486i,-0.0011325+0.0015493i,0.014072+0.019129i,-0.031488+0.00083958i,-0.012923+0.016101i,-0.033829+0.0056552i,-0.029393+0.038872i,-0.031931+0.0013579i,0.00742+0.008758i,-0.0069854-0.0068722i,-0.023518+7.5202e-06i,-0.023479+0.012697i,0.0038072+0.031986i,-0.00065415+0.0030404i,0.0020977-0.0030687i,-0.0051737-0.012193i,0.0063294+0.011735i,0.0083097+0.0178i,0.0028145+0.0011443i,0.0017884-0.0041569i,0.0014771+0.001927i,0.0037499-0.0074835i,0.010774-0.0023885i,0.0084984+0.0038999i,-0.0072734+0.0045493i,0.011315+0.0063282i,0.0080823-0.00030133i,0.0097806-0.00061487i,0.00023573+0.001284i,0.0014714-0.0061896i,-0.00027323-0.0093522i,0.00073834+0.0023996i,-0.033827+0.012681i,-0.0031245-0.0087253i,-0.0027509-0.00011097i,0.0060432-0.00556i,0.0014307+0.00060426i,-0.0076775-0.017239i,-0.00028318-0.0065332i,0.0039644+0.0016131i,0.003839-0.00068142i,0.0021334-0.009192i,-0.0093187+0.0023495i,-0.0034181+0.0017438i,-0.0046994-0.0011225i,-0.0037353-0.0026731i,-0.0067423-0.0026306i,-0.020108+0.02182i,-0.015956+0.016078i,-0.016177-0.015931i,-0.0058544+0.002115i,0.0068901+0.023533i,-0.0058994+0.015117i,0.0040326+0.0012771i
0.023547+0.040527i,0.0099614+0.019713i,0.012821+0.029456i,0.0040625+0.021783i,0.0068484+0.0087723i,0.0041965+0.00042607i,0.014595+0.018353i,0.01696+0.0013299i,0.009583-0.0061027i,0.00043246+0.0035493i,0.0027618-0.0021956i,0.0035949-0.0052677i,-0.0018526-9.0127e-05i,0.0022675-0.0017423i,0.0021029-0.00035243i,0.0070515-0.0015516i,0.0086886-0.0059092i,0.00023273+0.00065476i,-0.0050549-0.00055001i,-0.00040027+0.00092948i,-0.00037045-0.0010208i,-0.002388-0.001647i,-0.0021031+0.00057802i,0.0024364+0.010489i,-0.0012616+0.0017871i,3.441e-05+0.0018645i,0.00074525+0.0015428i,-0.0028406+0.0018497i,-0.00079235+0.0003505i,-0.0011403+9.8666e-05i,-0.0006005-0.0018369i,-0.001463-0.0020153i,-0.00033504+0.0004197i,0.0004382+0.00069006i,0.00066818-0.00070161i,-0.01317+0.0076444i,0.0016669+0.00062883i,0.00067149+0.0012636i,-0.00037688+0.0021919i,0.0014183-0.00073361i,-8.0784e-05-0.00021638i,-0.0005387-0.00021122i,-0.00016424+0.001337i,-0.00034879+0.0017161i,0.016563+0.016873i,-0.030862+0.0087541i,-0.012843+0.015658i,-0.027628+0.0092772i,-0.016203+0.040477i,-0.03006+0.010687i,0.0060218+0.0014076i,-0.0073132-0.012161i,-0.020091+0.0019228i,-0.016319+0.016853i,0.012434+0.027952i,-0.00089141+0.0028664i,-0.001743-0.0017005i,-0.010015-0.0089231i,0.010795+0.0071448i,0.010936+0.014037i,-5.5142e-05+0.0018412i,-0.00046661-0.0061283i,0.0049486+0.0011342i,-0.00037864-0.0070252i,0.0075967-0.0063782i,0.010024+0.00043643i,-0.0057085+0.0071867i,0.014466+0.00040177i,0.0078605-0.0050255i,0.0084723-0.0055769i,0.001557+0.0011956i,-0.00054487-0.0065072i,-0.0041367-0.0059752i,0.0028256+0.0014679i,-0.026056+0.026977i,-0.0052408-0.0074974i,-0.0014399+0.0011191i,0.0019442-0.0074832i,0.0022817+0.00041199i,-0.014031-0.013492i,-0.0016004-0.0046324i,0.0041381-0.00065021i,0.0033652-0.0013703i,-0.00068775-0.0091967i,-0.0057776+0.006633i,-0.0018205+0.0032084i,-0.005108+0.0022862i,-0.0059401-0.0017822i,-0.0064724-0.0012936i,-0.015835+0.025086i,-0.0081467+0.020691i,-0.022309-0.015489i,-0.0030491+0.00066344i,0.01039+0.021381i,-0.0033437+0.017958i,0.002862-0.0022867i
