-0.0077973-0.039679i,-0.013003-0.043353i,0.00071713-0.046035i,-0.027854-0.026996i,-0.02054+0.014035i,-0.033152-0.030721i,-0.06039-0.059476i,-0.022735-0.071702i,-0.034532-0.050574i,0.0017638+0.015172i,-0.0069281+0.010674i,-0.014451+0.013461i,0.002013+0.015749i,-0.0037729-0.0034678i,0.00085523+0.0062155i,0.0015824+0.037545i,0.020123+0.057657i,0.00099316-0.00025967i,-0.004697-0.0081467i,0.00805+0.0044907i,0.0016527+0.0009397i,-0.00097063+0.0034758i,5.6025e-05-0.0013435i,-0.035899-0.0089459i,-0.0023659-0.0072242i,-7.8584e-05+0.0045061i,0.004976+9.8157e-05i,0.00020842+0.00076344i,-0.00011723-0.0011349i,8.1211e-05-0.0027682i,-0.0012022-0.0057577i,-0.0024143-0.0039847i,-0.00055308-0.0074291i,0.0033637-0.0010553i,0.0030579-0.0025531i,-0.00090415+0.034032i,0.0062762-0.0042894i,0.0033687-0.0022327i,0.0047662-0.00021519i,-0.013433-0.0044011i,6.1182e-05+0.00043095i,0.010023-0.00091841i,0.0061297-9.4726e-05i,-0.0036288+0.0039026i,0.0036433+0.0018093i,-0.0026391+0.0071123i,0.012744-0.087881i,-0.0075368-0.048679i,-0.025464-0.039281i,-0.020601-0.041698i,0.062011-0.018933i,0.0264-0.062095i,0.03795-0.045742i,0.029317-0.05732i,0.018837-0.01568i,0.0085715+0.0096938i,0.023626-0.032642i,-0.0074934-0.0045088i,0.002317-0.0029842i,-0.0047911-0.0061512i,0.00070482-0.031468i,-0.023348+0.03149i,0.0077336-0.010554i,-0.011115-0.0014319i,-0.005362-0.0010677i,-0.0013989-0.013767i,-0.010177+0.0043475i,0.0039094+0.0080437i,-0.01053+0.030706i,0.0056913+0.0076169i,-0.0052185-0.0013103i,-0.001821-0.0017809i,-0.011271-0.007329i,0.00060417-0.003554i,-0.034983+0.0052832i,0.0022034-0.012576i,-0.0089322-0.001862i,-0.0064979-0.0027136i,0.0066195+0.0013402i,-0.0094792+0.00174i,0.0011814+0.00077108i,0.005433+0.0087259i,0.0043056+0.00029403i,-0.0089248-0.009788i,0.0028585+0.0084115i,-0.019111+0.0065605i,0.0065744+0.0025023i,-0.029176-0.0083111i,-0.033872+0.0032779i,0.024574-0.079251i,0.012154-0.010425i,-0.043593-0.026629i,-0.023556-0.0035843i,0.018197+0.012577i,-0.026434+0.012472i,-0.012079-0.0086152i
-0.015923-0.038674i,-0.018997-0.036903i,-0.0062701-0.049522i,-0.030174-0.023363i,-0.010822+0.011863i,-0.040632-0.02332i,-0.068463-0.04569i,-0.032246-0.069388i,-0.040216-0.039917i,0.0031242+0.013679i,-0.0060634+0.0086575i,-0.006921+0.019469i,0.009969+0.011798i,-0.0082907-0.00033339i,0.0018942+0.0054518i,0.010215+0.030832i,0.033749+0.042233i,0.0022467+0.002139i,-0.0078235-0.0032276i,0.0084505+0.00041519i,0.00046555+0.0016134i,-0.0010263+0.0041032i,-0.00056167-0.00016611i,-0.024465+0.011525i,-0.0046776-0.0049359i,0.0032869+0.0027127i,0.0035066-0.00017984i,0.00065422+0.0026545i,0.00097814-0.0014392i,-0.0015027-0.0029375i,-0.0015214-0.0047037i,-0.0029078-0.0032238i,-0.0025916-0.0070125i,0.0023925-0.0030394i,0.0018443-0.001824i,0.010381+0.030181i,0.0052625-0.0064415i,0.0018167-0.0030888i,0.0066813-0.0015479i,-0.0088566-0.00062908i,0.00018996+0.0017357i,0.0079873-0.0028983i,0.0045569+0.00011226i,-0.004677+0.0055402i,0.010832+0.00023401i,0.0088302+0.0095432i,-0.002522-0.089786i,-0.021657-0.050202i,-0.019339-0.032718i,-0.0206-0.028079i,0.064344-0.047077i,0.024128-0.082165i,0.040705-0.046546i,0.019841-0.0662i,0.008766-0.0095003i,0.0078941+0.00037364i,0.010069-0.035193i,-0.0065283+0.001149i,-0.00016309-0.011237i,-0.006026-0.006413i,-0.022521-0.032022i,-0.00863+0.029944i,0.0017314-0.012941i,-0.011638+0.0018987i,-0.0041902+0.00057835i,-0.0073717-0.01261i,-0.010661+0.008913i,0.0076932+0.0086441i,0.0081214+0.028804i,0.0073258+0.0019237i,-0.0041057+0.0015061i,-0.004157-0.0018793i,-0.015806+0.0020446i,0.00033504-0.0030527i,-0.037655+0.01289i,-0.0045193-0.010207i,-0.0092589+0.0023542i,-0.0080202+0.00078723i,0.0041186-0.0043455i,-0.0081089+0.0048244i,0.0023708-0.00076452i,0.0047565+0.0033463i,0.0031255-0.0006214i,-0.013364-0.0015122i,0.0039636+0.005119i,-0.013383+0.013267i,0.0058599-0.0011067i,-0.029284+0.0025474i,-0.03259+0.012736i,0.010308-0.081058i,0.0078996-0.016324i,-0.050132-0.013415i,-0.017024-0.0057565i,0.019054+0.0059318i,-0.020232+0.01909i,-0.018349-0.01356i
-0.021554-0.034548i,-0.021005-0.035716i,-0.014347-0.052788i,-0.032624-0.018333i,-0.0044578+0.0053937i,-0.04579-0.014557i,-0.078584-0.029595i,-0.047248-0.065336i,-0.044212-0.033003i,0.005272+0.012455i,-0.0061292+0.011823i,0.0025078+0.018239i,0.012904+0.0037907i,-0.0088476+0.004121i,0.0030192+0.0051454i,0.015705+0.023049i,0.043381+0.028708i,0.0053661+0.0018764i,-0.0071003+0.0015253i,0.0076509-0.0021422i,-1.0493e-05+0.0022951i,0.00069027+0.0062372i,-0.00024582+0.00049357i,-0.011408+0.018779i,-0.0044515-0.0023295i,0.0044785-0.0002606i,0.0030329-0.001319i,0.0030848+0.0030276i,-0.00057128-0.002074i,-0.0020894-0.0025025i,-0.0023935-0.0044494i,-0.0037685-0.0023017i,-0.0046718-0.0057593i,0.0010759-0.0043348i,0.0037975-0.0042894i,0.01951+0.021872i,0.0025717-0.0074356i,0.0008175-0.0033417i,0.006533-0.0061122i,-0.0086847+0.00057981i,0.0010381+0.0022942i,0.0062713-0.0048692i,0.005739+0.00013559i,-0.0029142+0.0076164i,0.015196-0.008047i,0.019667+0.0047258i,-0.01746-0.088513i,-0.033654-0.041785i,-0.012072-0.036555i,-0.013477-0.026977i,0.056975-0.072674i,0.0044104-0.1011i,0.046845-0.054432i,0.0071902-0.067749i,0.007807-0.0070597i,0.0052056-0.0031568i,-0.00075795-0.037113i,0.0028547+0.00022229i,-0.0097015-0.012872i,-0.0057686-0.0086614i,-0.040191-0.020441i,-0.00020234+0.027996i,-0.0044437-0.011995i,-0.009341+0.0050015i,-0.0052649+0.0014244i,-0.014225-0.009918i,-0.0053171+0.015045i,0.013606+0.0035889i,0.020117+0.017619i,0.0066431-0.00048424i,-0.0036228+0.0011278i,-0.0051142-9.6356e-05i,-0.012033+0.010793i,-0.0026428-0.002859i,-0.032216+0.024101i,-0.0068702-0.0055993i,-0.007487+0.0070714i,-0.0081771+0.0069401i,-0.00083021-0.0050306i,-0.0058337+0.0065059i,0.0014808-0.0018822i,0.0025901+0.0021442i,0.002529-0.0021139i,-0.0086933+0.0063441i,0.003536+0.0023285i,-0.0080142+0.015416i,0.0032016-0.0043076i,-0.025021+0.011094i,-0.026184+0.021506i,0.00031375-0.080576i,0.00091382-0.017492i,-0.049489-0.0008795i,-0.021677-0.01171i,0.017815-0.0024486i,-0.0096898+0.019917i,-0.022029-0.010257i
-0.02523-0.030107i,-0.025643-0.036565i,-0.024733-0.055554i,-0.031445-0.012414i,-0.0029775-0.0035841i,-0.047227-0.003944i,-0.081215-0.0024637i,-0.061962-0.050849i,-0.049752-0.022831i,0.0074413+0.011089i,-0.0015266+0.014717i,0.0068798+0.013041i,0.011528-0.0038397i,-0.0069431+0.0096631i,0.0032967+0.0036133i,0.016784+0.013481i,0.050584+0.00765i,0.006857-0.001342i,-0.0059219+0.0051701i,0.0054384-0.0041972i,0.0016736+0.0038171i,0.004064+0.0067311i,-0.00010144+0.00098077i,0.00070911+0.024307i,-0.0036935-0.0012965i,0.003374-0.0025653i,0.0029181-0.0018439i,0.0040447-1.4423e-05i,-0.00096058-0.00064234i,-0.0035455-0.0020087i,-0.0031997-0.0037098i,-0.0040014-0.0012138i,-0.0064822-0.0036469i,-0.00091314-0.0048653i,-2.0992e-05-0.0069593i,0.021289+0.012166i,-0.00029275-0.0078277i,-0.00022226-0.0036698i,0.0026253-0.0088677i,-0.0055538+0.0044658i,0.0021435+0.0019604i,0.0029893-0.0064331i,0.0055617-0.0020209i,-0.00015983+0.0073513i,0.017475-0.01524i,0.028146-0.0046467i,-0.03136-0.083048i,-0.037494-0.030321i,-0.013158-0.040917i,-0.012204-0.029423i,0.039259-0.10035i,-0.024674-0.10446i,0.045709-0.074614i,-0.0024803-0.066901i,0.0071349-0.0057099i,0.00085688-0.0061891i,-0.014161-0.033047i,0.0026729-0.0090664i,-0.013661-0.0076846i,-0.011672-0.011739i,-0.047675+0.00019241i,0.010943+0.02244i,-0.0086369-0.0093347i,-0.0061966+0.0058484i,-0.0043787+0.0039482i,-0.019495-0.0026976i,0.0032258+0.013855i,0.016112-0.0034471i,0.023998+0.00639i,0.0071848-0.0030019i,-0.0043386+0.0010308i,-0.0056892+0.002635i,-0.006943+0.016649i,-0.0046779+0.00035114i,-0.026503+0.032779i,-0.0073773-0.002817i,-0.0022233+0.0094674i,-0.0024419+0.011817i,-0.0051984-0.0025865i,-0.002085+0.005754i,0.00086175-0.0022838i,0.0016232+0.002389i,3.2678e-05-0.0038389i,-0.0026977+0.0054567i,0.0004201-0.00065816i,-0.0039266+0.01755i,-0.0012612-0.0040035i,-0.0178+0.017414i,-0.017344+0.02474i,-0.0085699-0.080924i,0.0015021-0.014485i,-0.045676+0.013004i,-0.029234-0.0085492i,0.014251-0.0084137i,-0.0010621+0.015888i,-0.022162-0.0053825i
-0.027704-0.025379i,-0.033309-0.034597i,-0.039017-0.055235i,-0.029297-0.0093136i,-0.008687-0.01162i,-0.045978+0.0060329i,-0.064572+0.016917i,-0.064248-0.03442i,-0.045929-0.012518i,0.0095836+0.0092543i,0.0041266+0.012891i,0.0089004+0.0093881i,0.005984-0.0089129i,-0.00079458+0.012159i,0.0028445+0.0020722i,0.014071+0.0093627i,0.040673-0.016618i,0.0056275-0.0042682i,-0.0017631+0.010051i,0.0031022-0.0048068i,0.0032213+0.004277i,0.0062167+0.0040431i,9.1763e-05+0.0020103i,0.01879+0.018398i,-0.004059+0.00022355i,0.0019821-0.0036292i,0.0017643-0.0027056i,0.0035936-0.00032753i,-9.5989e-05-9.9178e-05i,-0.0046171+0.00043074i,-0.0039088-0.0024652i,-0.0039553+0.00012566i,-0.0064073-0.00064403i,-0.0035376-0.0042141i,-0.0028555-0.0056365i,0.022318+0.0067703i,-0.0028115-0.0070258i,-0.0021783-0.0034898i,-0.0010934-0.0081939i,-0.0017885+0.0010436i,0.0023447+0.0010554i,-0.00043703-0.0048986i,0.0054091-0.0026481i,0.00077206+0.0059826i,0.015887-0.028183i,0.03309-0.019575i,-0.03989-0.074264i,-0.036337-0.020636i,-0.016333-0.044786i,-0.012585-0.030115i,0.0046774-0.11937i,-0.04976-0.09605i,0.027748-0.091378i,-0.014383-0.061685i,0.007655-0.0037285i,-0.0036485-0.0061194i,-0.023538-0.023114i,-0.0044866-0.013264i,-0.015672-0.0043863i,-0.021173-0.0069966i,-0.043986+0.018659i,0.014909+0.011123i,-0.012372-0.0048866i,-0.0042178+0.0059206i,-0.0031552+0.0064778i,-0.019673+0.0079227i,0.0045712+0.0088635i,0.015057-0.010853i,0.025319-0.0063325i,0.0054367-0.0074173i,-0.0063518+0.0033225i,-0.0037204+0.0061623i,0.0011876+0.018685i,-0.0045004+0.0042201i,-0.018822+0.042863i,-0.0089424-0.0013215i,0.0012446+0.0071187i,0.004175+0.011153i,-0.0069279+0.0014744i,-0.002547+0.0028963i,-0.001222-0.0033064i,0.0011637+0.0041997i,-0.0040033-0.0033395i,-0.0022721+0.0022101i,-0.0031261+0.0016004i,0.0030446+0.018874i,-0.003676-0.0020966i,-0.0091525+0.019967i,-0.011321+0.025793i,-0.020211-0.078505i,0.005487-0.020372i,-0.036909+0.026941i,-0.032745+0.0011789i,0.0090638-0.013243i,0.00091939+0.0079509i,-0.021556-0.0043721i
-0.02837-0.021862i,-0.037915-0.030999i,-0.054942-0.048227i,-0.029357-0.0081367i,-0.020115-0.013073i,-0.040812+0.014879i,-0.047937+0.022425i,-0.062678-0.02339i,-0.043013-0.0088924i,0.010404+0.0069336i,0.0059418+0.010074i,0.010699+0.0046007i,-0.0007761-0.010691i,0.0052387+0.0099789i,0.0020989+0.0014836i,0.012907+0.0074257i,0.022089-0.025699i,0.0048775-0.0055963i,0.0045199+0.0097582i,0.00093619-0.0043608i,0.0056837+0.002481i,0.0060954+0.0014918i,0.0020723+0.0027593i,0.025695+0.00293i,-0.0019664+0.0021564i,0.00036487-0.0038052i,-9.5348e-05-0.00104i,0.0046545-0.0019097i,-4.5304e-05-0.000974i,-0.0028992+0.003478i,-0.0035291-0.0014645i,-0.00399+0.0011975i,-0.0064043+0.0015859i,-0.0053527-0.0010642i,-0.0034453-0.0036059i,0.023794-0.00066503i,-0.00532-0.0054209i,-0.0043507-0.0030679i,-0.0038211-0.0077729i,-0.0043973-0.0019843i,0.0028898+0.00044324i,-0.0021923-0.0023764i,0.0040901-0.0044557i,0.0012885+0.005447i,0.0058489-0.037212i,0.022508-0.038333i,-0.042054-0.06716i,-0.034809-0.013716i,-0.021544-0.045104i,-0.012416-0.034264i,-0.034153-0.11489i,-0.07099-0.079463i,0.0081154-0.0963i,-0.017328-0.047861i,0.014163+0.00048024i,-0.0063821-0.003687i,-0.024662-0.0098737i,-0.010477-0.01274i,-0.01989+0.00026466i,-0.020336+0.0020932i,-0.034596+0.03515i,0.012951+0.0037595i,-0.010034+0.0025044i,-0.0048224+0.0060535i,0.0019909+0.0088317i,-0.012947+0.015233i,0.0060466+0.0096185i,0.010434-0.022008i,0.014594-0.021015i,-0.0019623-0.01113i,-0.0066142+0.0079239i,-0.0015803+0.0068332i,0.0088111+0.016375i,-0.0012885+0.0067071i,-0.0011506+0.055346i,-0.011135+0.0018472i,0.0016964+0.0062522i,0.0081906+0.0060826i,-0.0051495+0.0076176i,-0.0033584+0.004447i,-0.0046535-0.0025123i,0.0042479+0.0049807i,-0.0050074+0.0031927i,-0.0048933+0.0022146i,-0.00090986+0.0069485i,0.0091484+0.015058i,-0.0049394-0.00097063i,-0.002937+0.017325i,-0.0035226+0.027247i,-0.025782-0.070491i,-0.0026082-0.033815i,-0.01629+0.031993i,-0.029269+0.0089996i,0.0071777-0.019473i,0.00051045+0.0019926i,-0.0213+0.00073569i
-0.029085-0.019279i,-0.046348-0.02848i,-0.068659-0.034658i,-0.028379-0.003617i,-0.029045-0.0050332i,-0.034508+0.020118i,-0.036563+0.021191i,-0.061216-0.016078i,-0.045771-0.0050171i,0.012822+0.0033443i,0.0090958+0.0091668i,0.008152-0.0011658i,-0.0083717-0.0075719i,0.0086738+0.0035515i,0.0017995+0.001126i,0.012649+0.0064205i,0.0065534-0.024116i,0.0024592-0.0078163i,0.0075264+0.005067i,-0.00030784-0.0027262i,0.0060142-0.00097725i,0.0073424+0.00091057i,0.0038439+0.0015203i,0.021714-0.0099913i,0.0013286+0.001212i,-0.00036319-0.003074i,0.0011224-0.0020423i,0.0044389-0.0047275i,-0.00033831-0.00061535i,-0.00015166+0.0036393i,-0.0038527-0.00099787i,-0.0031919+0.0023752i,-0.0043755+0.0039717i,-0.0041072+0.0015517i,-0.0042397-0.0038205i,0.020834-0.0087788i,-0.0063484-0.0023081i,-0.0052339-0.00078788i,-0.0073703-0.0052428i,-0.0096307+0.00089479i,0.0025641-0.00057581i,-0.00090662-0.001685i,0.0024221-0.0055658i,0.002205+0.0032297i,-0.0069294-0.039782i,0.0052656-0.04082i,-0.049043-0.066745i,-0.027309-0.0081054i,-0.025405-0.043512i,-0.020768-0.040702i,-0.061104-0.099556i,-0.079224-0.053898i,-0.01542-0.098048i,-0.01139-0.043649i,0.020942-0.013511i,-0.0074164-0.00020443i,-0.020983-0.0056472i,-0.019549-0.0091617i,-0.017986+0.0098577i,-0.017942+0.0063704i,-0.014536+0.044115i,0.011578-0.00074239i,-0.008209+0.002483i,-0.0014063+0.0058199i,0.0044789+0.0054395i,-0.0057356+0.019189i,0.011+0.0071701i,-0.0052621-0.027192i,-0.0037184-0.022598i,-0.005661-0.0045131i,-0.0026708+0.011777i,0.0021253+0.0059091i,0.015223+0.0083995i,0.0026484+0.0053236i,0.024879+0.051555i,-0.0075607+0.0071345i,0.0027673+0.004758i,0.0083195+0.0012774i,0.001101+0.0097035i,-0.0051285+0.0060347i,-0.0062287+0.0023051i,0.0073227+0.0043931i,-0.0021037+0.0060607i,-0.0062166+0.004539i,0.003271+0.007212i,0.011576+0.0098822i,-0.004664+0.0016242i,0.0022866+0.014369i,0.0052679+0.024407i,-0.030734-0.069522i,-0.021341-0.034806i,-0.0020528+0.023416i,-0.026176+0.013759i,-0.0025684-0.026403i,-0.0030097-0.0018489i,-0.014394+0.0024485i
-0.031078-0.017013i,-0.054565-0.018528i,-0.076797-0.016725i,-0.025994-0.0022134i,-0.028992+0.006151i,-0.02965+0.023624i,-0.030512+0.018444i,-0.060362-0.0097338i,-0.045627+0.004877i,0.013082-0.00099406i,0.012686+0.0031999i,0.0026967-0.0016828i,-0.011309-0.00064648i,0.005625-0.00087215i,0.0011198+0.00053086i,0.015087+0.0035556i,-0.0027639-0.017378i,-0.0018062-0.0079982i,0.0066155+0.0015742i,-0.0005238-0.0017426i,0.003423-0.002527i,0.0067698-0.0021771i,0.0038756-0.00015497i,0.013451-0.017348i,0.0010105-0.0010179i,-0.00060412-0.0029934i,0.00065988-0.002957i,0.0016139-0.0057374i,0.0014794-0.00010323i,0.00071751+0.002596i,-0.0041931-0.00042953i,-0.0018896+0.0029849i,-0.0023183+0.0050845i,-0.0025867+0.0016338i,-0.0061335-0.00056856i,0.015255-0.014521i,-0.0051605-0.00023497i,-0.004011+0.0016622i,-0.0068671-0.002154i,-0.0087041+0.0066454i,0.0020377-0.00068315i,-0.00056897-0.0015619i,0.00018883-0.005589i,0.00085069+0.0015599i,-0.017556-0.034575i,-0.0012132-0.031569i,-0.059038-0.063942i,-0.02073-0.0097673i,-0.029195-0.042067i,-0.031856-0.037242i,-0.084031-0.082108i,-0.074529-0.034069i,-0.042713-0.086178i,-0.0090932-0.047424i,0.016521-0.025537i,-0.0057698+0.0020361i,-0.019534+0.0001695i,-0.025843+0.001533i,-0.010651+0.016254i,-0.014043+0.012585i,0.0067108+0.039436i,0.0088385-0.0062913i,-0.0086598+0.0041573i,-0.0014158+0.0040329i,0.0063734+0.0037375i,0.0028357+0.016745i,0.012579-0.00074561i,-0.020023-0.017899i,-0.015042-0.012434i,-0.0044513-0.00036909i,0.0040782+0.011646i,0.0033848+0.0039454i,0.017129+0.0014528i,0.005384+0.0045863i,0.043765+0.035638i,-0.0038185+0.0069107i,0.0025599+0.0042776i,0.0065302-0.0031417i,0.0061705+0.0063454i,-0.0041616+0.012159i,-0.0033184+0.00746i,0.0099706+0.00020019i,0.0026784+0.0061505i,-0.0055909+0.0075441i,0.005768+0.0041884i,0.012479+0.0053037i,-0.0045164+0.0021414i,0.0048733+0.0099553i,0.010079+0.018608i,-0.037698-0.066752i,-0.032516-0.021744i,0.00456+0.01151i,-0.014789+0.020327i,-0.014671-0.026419i,-0.010486-0.0021918i,-0.014144-0.003217i
-0.033379-0.013326i,-0.056583-0.0061107i,-0.077305+0.0032925i,-0.025535-0.0010042i,-0.023998+0.013251i,-0.024396+0.027088i,-0.027331+0.015298i,-0.061362-0.0042563i,-0.038821+0.013578i,0.011282-0.0051796i,0.009445-0.0027276i,0.0015369+0.0011819i,-0.0099945+0.0054443i,0.0029431-0.0026698i,0.00015706+0.0010497i,0.01538-0.0019302i,-0.0040491-0.009741i,-0.0048488-0.0054951i,0.0054413+0.00053384i,-0.00031742-0.00094185i,0.0025593-0.0013027i,0.0050992-0.0038018i,0.0037076-0.0010763i,0.0051546-0.018584i,-0.00045711-0.0020342i,-0.0014686-0.0037166i,-0.00040499-0.0032285i,-0.00054318-0.0054834i,0.0013675-0.0016227i,0.0016961+0.0022214i,-0.0042763+0.00014184i,-0.00053518+0.0031004i,-7.1869e-05+0.0042631i,-0.0021415+0.0028915i,-0.0042179+0.00093771i,0.0078154-0.01758i,-0.003574+0.00057429i,-0.0021451+0.0028661i,-0.0081652-0.00018606i,-0.0051606+0.0098497i,0.0021826-0.00079576i,-0.0014669-0.0013775i,-0.00074415-0.0045163i,-0.001714+0.0021193i,-0.023801-0.027226i,0.0044847-0.026253i,-0.071329-0.057226i,-0.018659-0.013631i,-0.032855-0.039408i,-0.037865-0.029446i,-0.10118-0.0549i,-0.070705-0.025008i,-0.052686-0.060106i,-0.011912-0.050285i,0.0061526-0.03464i,-0.00453+0.0024936i,-0.01594+0.0012093i,-0.021535+0.014536i,-0.003017+0.016003i,-0.0029381+0.013677i,0.015926+0.026275i,0.0039255-0.0086131i,-0.0076876+0.0070358i,-0.0019929+0.00394i,0.0061972-0.00062035i,0.0074574+0.012814i,0.0067804-0.0040073i,-0.025632-0.0038285i,-0.016932-0.0022874i,-0.0016262+0.00075542i,0.0068308+0.0096732i,0.00271+0.0026484i,0.01425-0.0093082i,0.0067375+6.7979e-05i,0.053115+0.013681i,-0.0036484+0.0083147i,0.0041902+0.0033042i,0.0021047-0.0052838i,0.0067987+0.0027016i,0.0019876+0.015669i,0.003855+0.0061012i,0.0073572-0.0042117i,0.0058705+0.0024508i,-0.0025147+0.011449i,0.0043538+0.0033552i,0.011268+0.0018092i,-0.005584+0.0034938i,0.0027297+0.0069995i,0.011839+0.014479i,-0.044734-0.062906i,-0.032835-0.0080517i,0.0026623+0.0018687i,-0.004169+0.014857i,-0.025587-0.020823i,-0.013846+0.0071306i,-0.018987-0.0013594i
-0.034872-0.008595i,-0.054864+0.003691i,-0.072008+0.020777i,-0.026851+0.0001107i,-0.017529+0.017298i,-0.018565+0.029637i,-0.027675+0.013122i,-0.063206+0.0043257i,-0.032115+0.016564i,0.0080524-0.0078436i,0.0048845-0.0038805i,0.0022712+0.0020674i,-0.0053159+0.0089024i,0.00015931-0.0032134i,0.00069333+0.002209i,0.011382-0.0072074i,-0.0023179-0.008198i,-0.0051935-0.0018682i,0.0056725-0.0007954i,0.00045693-0.00044591i,0.0036317-0.0015582i,0.0031706-0.0037635i,0.0035677-0.001816i,-0.0018879-0.017377i,-0.0014006-0.0015264i,-0.0031665-0.0028665i,-0.0014702-0.0032233i,-0.002161-0.0049087i,0.0007706-0.0023312i,0.0027383+0.00076307i,-0.004628+0.0012074i,0.000721+0.0026021i,0.0011337+0.0034086i,-0.00044211+0.0031711i,-0.0042238+0.0018541i,0.00050244-0.015526i,-0.0032991+4.4825e-05i,-0.00025701+0.0026899i,-0.0067035+0.0043938i,-0.00093369+0.011923i,0.0021082-0.0013422i,-0.0009403+9.422e-05i,-0.0012042-0.0046056i,-0.001181+0.0054586i,-0.024343-0.019608i,0.013418-0.033718i,-0.083166-0.044345i,-0.020317-0.015821i,-0.03452-0.036723i,-0.0421-0.022446i,-0.10301-0.025832i,-0.068584-0.013786i,-0.047563-0.044147i,-0.015283-0.054106i,-0.0075382-0.037236i,-0.0031348+0.0028686i,-0.016891+0.00022412i,-0.011665+0.020288i,0.0016582+0.012285i,0.0034417+0.0055349i,0.016339+0.013619i,-0.0011392-0.0089399i,-0.0051226+0.0095339i,-0.0024907+0.0048641i,0.0036631-0.0032692i,0.0096162+0.007196i,0.0045056-0.0024121i,-0.022731+0.0098398i,-0.01407+0.0065535i,-0.00063054+0.0010359i,0.010875+0.0070227i,0.0025201+0.0021302i,0.0052362-0.013706i,0.0038722-0.0028748i,0.050375-0.0077887i,-0.00044685+0.010301i,0.0034288+0.001439i,-0.0012472-0.0037694i,0.0062084+0.0010093i,0.0099506+0.015548i,0.0046744+0.0018165i,0.0049474-0.0056041i,0.004768-0.00051269i,0.0039081+0.012635i,0.0048779+0.0025168i,0.011001-0.0017226i,-0.0037763+0.0079079i,0.0034631+0.0066272i,0.013792+0.011355i,-0.052215-0.05904i,-0.028769-0.00016016i,-0.00017735-0.0020068i,-0.0025856+0.0068808i,-0.033331-0.011139i,-0.0084223+0.010224i,-0.018237+0.0021407i
-0.034923-0.0037051i,-0.051091+0.011834i,-0.061495+0.035069i,-0.027097+0.0036356i,-0.0098211+0.017704i,-0.012896+0.030649i,-0.02881+0.014485i,-0.062185+0.014645i,-0.027426+0.01863i,0.0047454-0.0091261i,0.0022485-0.0028682i,0.0040962+0.001567i,-0.0013048+0.0097967i,-0.0027525-0.0017004i,0.0011424+0.0021955i,0.0062252-0.008738i,-0.0048646-0.0102i,-0.0045501-0.00039421i,0.0047866-0.0023269i,0.00098883-0.0007376i,0.003671-0.0031238i,0.0030727-0.0033152i,0.0032161-0.0027175i,-0.0074903-0.014577i,-0.0021317-0.00084336i,-0.0037704-0.0013535i,-0.0028828-0.0024857i,-0.003708-0.0035905i,0.00015858-0.0027697i,0.002207-0.0011768i,-0.0045894+0.0029617i,0.0010746+0.0020714i,0.0019181+0.0025499i,0.0017147+0.0021704i,-0.0031522+0.0029105i,-0.0029459-0.0113i,-0.0034101+0.00045466i,0.0010803+0.0014808i,-0.0027198+0.0053899i,0.0053562+0.01146i,0.0018434-0.0018388i,0.0001337+0.00028318i,-0.0025451-0.0048281i,0.0014997+0.0051735i,-0.022014-0.016761i,0.010983-0.049887i,-0.089533-0.026825i,-0.021001-0.016942i,-0.036942-0.038545i,-0.043934-0.01397i,-0.098757-0.004959i,-0.063988-0.0053118i,-0.043205-0.035064i,-0.022575-0.05651i,-0.021795-0.0348i,-0.0023177+0.0024124i,-0.022226+0.0026731i,-0.0027109+0.019268i,0.0037076+0.0082667i,0.0026659-0.0016738i,0.012539+0.00703i,-0.0058042-0.0083647i,-0.001405+0.010499i,-0.0016418+0.0060306i,0.00064666-0.0036963i,0.0075111+0.0026209i,0.0038836-0.0015096i,-0.013792+0.017159i,-0.0076855+0.011992i,0.0014396-0.00015162i,0.013669+0.000588i,0.0022456+0.002399i,-0.0024556-0.012024i,0.0010508-0.0031147i,0.040268-0.023569i,0.0042064+0.010729i,0.00251+0.0017255i,-0.0035002-0.0013001i,0.0061371-0.0021807i,0.016933+0.010732i,0.0034901-0.0012786i,0.0021255-0.0070902i,0.0031154-0.0023389i,0.0091979+0.0096804i,0.0052733+0.0023954i,0.0073147-0.0055008i,0.00062456+0.0088294i,0.0045956+0.0047718i,0.016612+0.0072337i,-0.060923-0.051844i,-0.023436+0.0068735i,-0.0029315-0.0046273i,-0.0047916+0.003744i,-0.036667-0.00022065i,-0.0055659+0.0090296i,-0.016195+0.0043604i
