-0.023992-0.037634i,-0.012329-0.049933i,-0.018562-0.04401i,-0.030726-0.035212i,-0.030122-0.015845i,-0.050612-0.026949i,-0.056946-0.026725i,-0.045466-0.036258i,-0.029089-0.034554i,0.0080667+0.011129i,-0.0058613+0.015585i,-0.0045413+0.014123i,0.0094139+0.02089i,0.00086353+0.0042857i,0.0031943+0.0036866i,0.005784+0.018461i,0.022612+0.036161i,-0.0026992-0.0017174i,-0.0047767-0.0054443i,0.0070838+0.0012498i,-0.00032632-0.00088832i,-0.0010232+0.0020229i,-2.5897e-05-0.00045083i,-0.029034-0.0031135i,-0.0022-0.0060169i,0.0010626+0.0043168i,0.0035425-0.00075618i,-0.00049442+0.00046726i,0.00055912-0.00041897i,-0.0008991-0.0028589i,-0.0018269-0.006068i,-0.0046924-0.0042753i,-0.0019556-0.0041529i,0.002369-0.00079292i,0.0018275-0.0030659i,-0.00017373+0.024198i,0.0012931-0.0033625i,0.0026207+0.00067364i,0.0058534+0.00093211i,-0.009361-0.0029648i,-0.0037879+0.00010666i,0.0051236-0.00036575i,0.0064827-0.00086849i,-0.003407+0.0048116i,0.00083123-0.0097827i,-0.011375+0.017678i,0.035692-0.091121i,0.011846-0.069832i,-0.01537-0.059994i,-0.015878-0.055046i,0.038124-0.045515i,0.017306-0.061906i,0.034211-0.05546i,0.029532-0.060143i,0.016395-0.013712i,0.0046481+0.016326i,0.016832-0.02558i,-0.011449+0.0061886i,-0.00047299+0.0059974i,-0.0048714-0.0012553i,-0.0021961-0.028549i,-0.025216+0.03175i,0.010557-0.011388i,-0.01289-0.0030268i,-0.00020536-0.0050044i,-0.0006687-0.016225i,-0.0070732+0.0048096i,0.004995+0.0062791i,-0.0096384+0.030988i,0.0045492+0.006381i,-0.0051194-0.00064906i,-0.0029915-0.00054923i,-0.011947-0.0075427i,-0.0012295-0.0047734i,-0.071113-0.10082i,0.00023501-0.010116i,-0.0091163-0.0013559i,-0.0066519-0.0028344i,0.0073412+0.0025118i,-0.0081467+0.0010299i,5.3709e-05+1.1483e-05i,0.0063547+0.010722i,0.0042415+0.0016967i,-0.0096063-0.0095852i,0.003177+0.0080505i,-0.020405+0.0042957i,0.0084898+0.00035939i,-0.029544-0.0037704i,-0.041827+0.0027842i,0.019136-0.098854i,-0.0019024-0.012602i,-0.051951-0.020861i,-0.023126-0.0020491i,0.018176+0.010281i,-0.02572+0.012094i,-0.018385-0.012423i
-0.031448+0.018368i,-0.0507+0.021187i,-0.031667+0.045897i,-0.029619+0.024768i,-0.026856+0.039406i,0.0058452+0.045891i,-0.0019447+0.02328i,-0.015024+0.038926i,-0.013566+0.021259i,-0.0039837-0.004322i,-0.0043988-0.0028584i,-0.0019224-0.0030556i,-0.0040562-0.00067735i,-0.0067795-0.0042913i,-0.001966+0.0041734i,-0.002721-0.00086232i,-0.0097817-0.0057934i,-0.0015513-0.00080371i,0.0026854-0.0012464i,0.0020317-0.00069523i,0.0024599-0.0034121i,0.0024058-0.0038941i,0.0015063-0.0027655i,-0.0088973-0.0083442i,-0.0020567+0.0005411i,-0.0035011+0.0012904i,-0.0019403-0.00012094i,-0.0032584-0.00088601i,-0.0010146-0.0013746i,0.0012122-0.0018127i,-0.0025595+0.0063796i,0.0015849+1.1071e-05i,0.0027621-0.00012556i,0.00091357+0.0015869i,-0.0011248+0.0030903i,-0.0010755-0.0064068i,-0.0024339-0.0009585i,0.00023594-0.00019677i,-0.0002891+0.0032494i,0.00662+0.0046462i,0.001002-0.0028753i,0.0013102-0.0047486i,-0.0040122+0.0017474i,-0.00027254+0.0030729i,-0.032394-0.004551i,0.0095711-0.07815i,-0.093108-0.029105i,-0.051177-0.036183i,-0.075244-0.050121i,-0.057985-0.0055033i,-0.093327+0.019188i,-0.058964+0.011357i,-0.0502-0.023785i,-0.031367-0.057207i,-0.028042-0.030048i,0.0027235+0.0051429i,-0.018828+0.011046i,0.0094927+0.00399i,0.010659+0.004699i,9.522e-05-0.0061761i,0.0081309+0.0013792i,-0.00683-0.0029149i,0.0030573+0.014758i,-0.00040381+0.0082108i,0.00069408+0.0015047i,0.0055261+0.0038094i,0.0019682-0.0010105i,-0.00093943+0.014279i,0.00032383+0.011002i,0.0028389-0.005296i,0.010218-0.007181i,0.0023229+0.0023917i,-0.0073362-0.0062609i,-0.002122-0.0032242i,0.019635-0.02987i,0.0065404+0.0042651i,0.0033647+0.0039001i,-0.0034522+0.0023384i,0.0023133-0.0037741i,0.022419+0.0020877i,0.0018657-0.0023679i,-0.00078427-0.0092737i,0.00060246-0.0026021i,0.01371+0.0048719i,0.0061714+0.0001106i,0.0040627-0.0058299i,0.0037357+0.0091828i,0.004926-0.00096822i,0.024384+0.0051331i,-0.080929-0.037137i,-0.0060073+0.019698i,0.007011-0.0033543i,-0.0039261+0.0035162i,-0.03429+0.012371i,-0.0072981+0.0060734i,-0.016962+0.014256i
-0.027121+0.022382i,-0.046543+0.025741i,-0.020154+0.044378i,-0.025868+0.028425i,-0.020241+0.040718i,0.014407+0.043087i,0.001133+0.022618i,-0.0069962+0.03931i,-0.0090401+0.019263i,-0.0051023-0.0019855i,-0.0043544-0.00051275i,-0.0027341-0.0032922i,-0.0046594-0.00013432i,-0.0069932-0.0014399i,-0.00063665+0.0050852i,-0.0044509+0.00094913i,-0.013262-0.0011513i,-0.001361+0.00026974i,0.0030708-0.0016682i,0.0019972-0.0016341i,0.0014591-0.0037934i,0.0014126-0.0040605i,0.00096217-0.0028105i,-0.010264-0.0049844i,-0.0012618+0.00099796i,-0.0031373+0.0021286i,-0.0014546+0.00058153i,-0.0032304+5.4911e-05i,-0.0016811-0.0012055i,0.00074587-0.0017812i,0.0003098+0.0075576i,0.0010858-0.00026651i,0.0022337-0.001088i,0.00078935+0.0013374i,-0.00099172+0.0027251i,-0.0012039-0.0055306i,-0.00053635+0.0003604i,-0.00069679-0.00042018i,-0.00030924+0.0039741i,0.0068402+0.0011187i,0.00010109-0.0029337i,-0.0015159-0.0055993i,-0.003732+0.0027383i,0.000652+0.0032889i,-0.03299-0.0041415i,-0.014578-0.08825i,-0.090019-0.010449i,-0.060825-0.034398i,-0.087692-0.038858i,-0.056942+0.0042596i,-0.083287+0.036846i,-0.053205+0.023658i,-0.04164-0.021653i,-0.038607-0.052689i,-0.035503-0.017764i,0.003875+0.0021664i,-0.012048+0.019691i,0.0095583-0.00023177i,0.011971-0.0018223i,-0.0045966-0.011396i,0.0037768+0.0010913i,-0.0072522+0.0019573i,0.0088912+0.012772i,0.00099693+0.0092916i,0.00085998+0.0012785i,0.008239+0.0030365i,0.0025263+0.00010767i,0.0050103+0.011405i,0.0054301+0.0066871i,-0.0023756-0.0066566i,0.0030579-0.0077256i,0.0034519+0.0028631i,-0.0089005+0.00035217i,-0.0028934-0.00042702i,0.0065025-0.028128i,0.0072582+0.0034009i,0.0069636+0.0025267i,-0.00064048+0.0025162i,-0.00043718-0.0014479i,0.018236-0.0076089i,0.00033303-0.00307i,-0.0054906-0.0081788i,-0.00252-0.0018191i,0.012311-0.00099487i,0.0063232-0.00031853i,0.0013824-0.0042444i,0.0062672+0.0073022i,0.003451-0.0016073i,0.023944-0.0030416i,-0.085924-0.027268i,0.0023582+0.009005i,0.0053005-0.0062179i,-0.0018524+0.0028415i,-0.029352+0.021213i,-0.005566+0.007347i,-0.012533+0.018246i
-0.021787+0.025093i,-0.043421+0.030483i,-0.013379+0.040457i,-0.021616+0.03059i,-0.012804+0.042304i,0.02191+0.03804i,0.0045361+0.021914i,0.00034589+0.037964i,-0.0080486+0.017248i,-0.0051149+0.00043719i,-0.0033878+0.0010909i,-0.0057401-0.0028063i,-0.0048297+0.0016803i,-0.0069442+0.00071712i,0.0013976+0.005678i,-0.0049364+0.0038165i,-0.013626+0.0056521i,-2.0344e-05+0.0010376i,0.0031651-0.0032862i,0.0017033-0.0028267i,0.00020312-0.0043712i,0.00049878-0.004699i,0.00045084-0.0029944i,-0.01123-0.0020394i,-0.00085356+0.0012132i,-0.0019329+0.0035437i,-0.0010335+0.00041712i,-0.0026187+0.0015428i,-0.0019923-0.0006434i,-0.00035533-0.002725i,0.0040132+0.0060251i,0.00076238-0.00035823i,0.0014131-0.0013149i,0.0014299+0.00095408i,9.8348e-05+0.0033763i,-0.00097445-0.0054539i,-0.00086116+0.00036926i,-0.0010314-0.00014297i,0.003128+0.0034364i,0.0052047-0.0009364i,-0.00049227-0.002542i,-0.00060861-0.0038183i,-0.0036515+0.0034473i,0.0014993+0.0018929i,-0.035104-0.0016136i,-0.043175-0.086653i,-0.07998+0.0034074i,-0.070901-0.027067i,-0.094832-0.023347i,-0.052499+0.012719i,-0.067741+0.04862i,-0.039652+0.032997i,-0.042667-0.024543i,-0.045267-0.048906i,-0.037773-0.0059931i,0.0038775-0.00096425i,-0.0024383+0.021307i,0.0085217-0.0032404i,0.0080026-0.0074521i,-0.015361-0.010115i,0.0031591+9.1372e-05i,-0.0046963+0.0057277i,0.01221+0.0065777i,0.0031375+0.011638i,-7.2352e-06+0.0017471i,0.0077942-0.0015961i,0.0044303-0.0015482i,0.0072902+0.0066945i,0.0056667+0.002068i,-0.007193-0.0025451i,0.00093113-0.0059462i,0.0053914+0.0017224i,-0.0028416+0.0094955i,-0.001274+0.00136i,-0.0028908-0.022104i,0.0091108+0.00025707i,0.0065609-0.00047229i,-6.2181e-06+0.0014563i,0.00089877+0.00048539i,0.011545-0.012234i,-0.0023131-0.00042142i,-0.0086986-0.0042678i,-0.0033962+0.0013669i,0.0079113-0.004251i,0.0068166-0.0029318i,0.002242-0.0043552i,0.0096248+0.0043599i,0.0044538-0.0025437i,0.020652-0.010078i,-0.089352-0.012947i,-9.4147e-05-0.0021124i,0.0044417-0.0077175i,0.00077667+0.00030201i,-0.021273+0.027109i,-0.0044818+0.0030835i,-0.0076109+0.0089667i
-0.016427+0.025546i,-0.039225+0.036328i,-0.0096682+0.037067i,-0.016782+0.033456i,-0.0045909+0.041201i,0.028052+0.031692i,0.008492+0.02075i,0.0066788+0.035359i,-0.0075616+0.017667i,-0.0042956+0.0021656i,-0.0026659+0.0013668i,-0.0075765+0.00078689i,-0.0043402+0.0032887i,-0.0068307+0.0031753i,0.0031574+0.0050059i,-0.0038178+0.0070378i,-0.0095706+0.011628i,0.00096158+0.00012567i,0.0016523-0.0043219i,0.00010806-0.0038897i,-0.0013858-0.0041967i,-0.00072535-0.0046467i,-0.00030741-0.0033528i,-0.010812+0.0013515i,-0.00032167+0.00090634i,0.00016669+0.0029578i,-0.0010936+0.00027954i,-0.0013902+0.0018842i,-0.0021986+0.00032818i,-0.0018966-0.0019745i,0.0064467+0.0044319i,0.00037128-0.00040512i,0.00076893-0.0016197i,0.0015944+0.00026397i,0.0017542+0.0028002i,-0.0015978-0.0071974i,-0.00079855+0.00095558i,-0.0013815+0.00040007i,0.0029378+0.00029653i,0.0042339-0.0019119i,-0.00083963-0.0022611i,0.00068279-0.0027544i,-0.0017465+0.0021949i,-0.0004668-0.00046929i,-0.037022+0.0030267i,-0.067342-0.070337i,-0.069383+0.0089208i,-0.078805-0.015039i,-0.098905-0.0066598i,-0.046653+0.01829i,-0.053606+0.054019i,-0.025963+0.032214i,-0.04681-0.020475i,-0.052273-0.041751i,-0.034715+0.0039694i,0.0020699-0.0030909i,0.0054243+0.019705i,0.006605-0.0060017i,0.0022355-0.008868i,-0.019403+0.010866i,9.1897e-05+0.00072093i,-0.00060257+0.0055228i,0.011177+0.00081151i,0.0092751+0.011597i,0.00036828+0.0030112i,0.0044855-0.0026318i,0.0039864-0.0049766i,0.0062341+0.0017017i,0.0030336+0.00029369i,-0.0070144+0.0013963i,-0.0013652-0.005044i,0.0058099-0.00031006i,0.007617+0.0073301i,-8.5429e-05+0.0010248i,-0.0077845-0.019166i,0.0082761-0.0029194i,0.0064986-0.0025337i,0.0017771+0.003325i,0.0012011-4.0874e-05i,0.0059756-0.012847i,-0.00016111+0.001856i,-0.010683+0.0009652i,-0.0015683+0.0033735i,0.0046832-0.0038494i,0.0045374-0.0058194i,1.275e-05-0.0050278i,0.0093797-0.0013856i,0.0031442-0.0055806i,0.016599-0.0164i,-0.08656+0.0021929i,-0.0070967-0.0058953i,0.0022028-0.013323i,0.00078719-0.003977i,-0.013014+0.026659i,-0.0086697+0.0023373i,-0.0074539+0.010224i
-0.012542+0.025162i,-0.034075+0.041285i,-0.007951+0.035413i,-0.010857+0.035306i,0.0023052+0.038184i,0.032052+0.024662i,0.012645+0.018446i,0.012279+0.031985i,-0.0056494+0.019284i,-0.0029857+0.0037073i,-0.0026791+0.0022437i,-0.0068241+0.0041917i,-0.0033639+0.0046891i,-0.0052236+0.0057394i,0.0045674+0.0038169i,-0.0011676+0.0091593i,-0.0039555+0.01449i,0.00083703-0.00070105i,0.00053163-0.0043398i,-0.0017161-0.0035848i,-0.0029085-0.0033811i,-0.0020524-0.0040868i,-0.001551-0.0032523i,-0.0086011+0.0035712i,-0.00080361+0.00045936i,0.00028185+0.0016156i,-0.0011485+0.00038894i,-0.00061165+0.001748i,-0.0017907+0.0011914i,-0.0019377-0.00050325i,0.0059413+0.0020735i,0.00025512-0.00054828i,-5.9461e-05-0.0014613i,0.0013683-0.00034864i,0.0022504+0.0015374i,-0.0042818-0.0076185i,-0.00052167+0.0012646i,-0.0013161+0.0015637i,0.001795-0.0011601i,0.0031201-0.0021193i,-0.0013884-0.0022856i,0.00036971-0.0021331i,-0.00039684+0.0046431i,-0.0030619+0.0015788i,-0.037092+0.0092415i,-0.076894-0.047109i,-0.063404+0.0096502i,-0.083191-0.00034819i,-0.099477+0.011536i,-0.042282+0.021055i,-0.040224+0.056646i,-0.016348+0.029055i,-0.047843-0.015953i,-0.056467-0.034261i,-0.029862+0.011215i,0.00029365-0.0045605i,0.014439+0.014284i,0.004657-0.0071408i,-0.0027276-0.0073341i,-0.017802+0.0099367i,-0.00043804+0.0027687i,0.0018577+0.0053953i,0.0069309-0.0013435i,0.013874+0.0076349i,0.0017107+0.003505i,0.0025216-0.0014664i,0.0015359-0.0071113i,0.0029969+0.0011021i,0.00067775+0.0013188i,-0.0061145+0.0055266i,-0.0028843-0.0024202i,0.005193-0.0023012i,0.011218+0.0018756i,0.00045135+0.0007079i,-0.0096687-0.017413i,0.0061434-0.0056729i,0.0044119-0.0047299i,0.0061975+0.0025115i,0.0013557-1.4197e-06i,0.0027231-0.01191i,0.0017288+0.0013797i,-0.0080519+0.0070878i,0.0011383+0.0040161i,0.0037918-0.0032345i,0.00038238-0.0073094i,-0.00066582-0.0042018i,0.0059446-0.0050961i,-0.00040871-0.0067098i,0.0087235-0.022509i,-0.079983+0.012115i,-0.015202-0.0020592i,-0.0021034-0.015442i,-0.0014379-0.0078821i,-0.007872+0.026366i,-0.011994+0.0052753i,-0.0069283+0.011945i
-0.0093796+0.025088i,-0.02849+0.046027i,-0.006419+0.03658i,-0.0047504+0.034955i,0.006625+0.033915i,0.034785+0.017804i,0.016442+0.014901i,0.016493+0.028135i,-0.0026276+0.019417i,-0.0014254+0.0039865i,-0.0028106+0.0036296i,-0.0050401+0.006737i,-0.0018436+0.006192i,-0.0028194+0.0067963i,0.0051399+0.0021723i,0.0018927+0.010035i,0.0025032+0.014444i,0.00066569-0.0006446i,-0.00082701-0.0045572i,-0.0029573-0.0026701i,-0.0033493-0.0018226i,-0.002758-0.0031272i,-0.0023307-0.0023995i,-0.0074115+0.0040689i,-0.0011657+0.0010948i,-2.4785e-05+0.0014728i,-0.0014112+0.00066172i,4.6562e-05+0.0013397i,-0.0010217+0.0017443i,-0.0015414+8.1197e-05i,0.0054092-0.00036358i,3.8556e-05-0.00071676i,-0.0006086-0.0011052i,0.00091117-0.00091573i,0.0022058+0.0010114i,-0.0074226-0.0066497i,-0.00021886+0.0012233i,-0.0002685+0.0025725i,0.00048008-0.0012362i,0.0023317-0.0021718i,-0.0018986-0.0015216i,-0.00059381-0.0027474i,0.0013371+0.0044849i,-0.0031165+0.0046044i,-0.035405+0.016119i,-0.074748-0.030093i,-0.060874+0.011816i,-0.082532+0.016669i,-0.094495+0.03235i,-0.040672+0.023719i,-0.028872+0.055999i,-0.0089177+0.024705i,-0.047895-0.0097326i,-0.060598-0.026955i,-0.023728+0.015888i,-0.0033092-0.004808i,0.017602+0.0020835i,0.0032023-0.0088657i,-0.0059122-0.0034652i,-0.012852+0.016152i,0.00070145+0.0035134i,0.0054377+0.0036749i,0.0051616+4.7496e-05i,0.016455+0.0012889i,0.0030946+0.0033974i,0.0020809-0.0006411i,-0.0025943-0.0082844i,0.0015336+0.0029104i,0.00061282+0.003446i,-0.0021209+0.0083517i,-0.0018273-1.0703e-05i,0.0038522-0.003165i,0.009085-0.00042502i,0.0013296-6.7992e-05i,-0.015272-0.016575i,0.0032208-0.0065907i,0.0017874-0.0056963i,0.0050318-0.0014454i,0.0014877+0.0002269i,0.0011029-0.010411i,0.0023136+9.4837e-05i,-0.0023791+0.0097119i,0.0026399+0.0022242i,0.0025864-0.00372i,-0.0022488-0.0057282i,-0.0015644-0.0052119i,0.0023642-0.0053527i,-0.0028391-0.0063844i,-0.0014917-0.02282i,-0.076205+0.020761i,-0.013916+0.008803i,-0.0058518-0.016722i,-0.0055047-0.0089892i,-0.004087+0.024919i,-0.011883+0.010864i,-0.0027569+0.011525i
-0.0061962+0.025163i,-0.02136+0.05054i,-0.0028272+0.038837i,0.00041074+0.033602i,0.0087591+0.031236i,0.036355+0.010741i,0.019131+0.010415i,0.019958+0.024382i,0.00026258+0.019503i,-0.00062993+0.0040658i,-0.001554+0.0057091i,-0.0021356+0.0085795i,9.0495e-05+0.0067648i,-0.00044592+0.0067204i,0.0051475+0.000736i,0.0051685+0.0093545i,0.0078987+0.011762i,0.00080172-0.00063362i,-0.002151-0.0041668i,-0.0035258-0.0010611i,-0.0031067-0.00061221i,-0.003303-0.0023181i,-0.0027095-0.0016017i,-0.0071369+0.0059517i,-0.0008389+0.0016332i,2.4995e-05+0.0020174i,-0.0012343+0.0014332i,-5.6854e-05+0.00087371i,-0.00028639+0.0017128i,-0.0013108+0.00033337i,0.0053165-0.0025412i,7.3141e-05-0.00032296i,-0.00072682-0.00090794i,0.00039585-0.001199i,0.0024766-1.5995e-05i,-0.009592-0.0050159i,0.00020214+0.0012718i,0.0007276+0.0020531i,-0.00053354-0.0013569i,0.0018656-0.00208i,-0.0019945-0.00071358i,-0.0019081-0.0021599i,0.0022437+0.0033581i,-0.0014233+0.0061276i,-0.031159+0.021895i,-0.073478-0.023134i,-0.060061+0.016015i,-0.075786+0.031348i,-0.082535+0.050074i,-0.03802+0.029528i,-0.019376+0.055349i,-0.0049614+0.019678i,-0.046728-0.0048075i,-0.063097-0.017729i,-0.018818+0.019261i,-0.0042264-0.0043291i,0.011063-0.0079638i,-0.00066735-0.011173i,-0.0062631-9.8285e-05i,-0.0062382+0.01751i,0.0012175+0.0030734i,0.007529-0.00033313i,0.0064469-0.00058923i,0.014837-0.0039782i,0.0051319+0.0025667i,0.0022434+0.00073923i,-0.0070504-0.0041799i,0.0028756+0.0045575i,0.0018936+0.0048895i,0.0022092+0.0079548i,-0.0011851+0.00014978i,0.0025941-0.0038935i,0.0070331-0.0066361i,0.00011482-0.00079504i,-0.019858-0.012317i,0.0011864-0.0062501i,-0.00083142-0.0043339i,0.0049261-0.00075356i,0.0017837-0.00022673i,0.00042269-0.011577i,0.0018491-0.0012691i,0.0017664+0.0073358i,0.0030458+0.001402i,0.0021568-0.0027881i,-0.0041699-0.0040006i,-0.0044335-0.005218i,-6.8543e-05-0.0045111i,-0.0051583-0.0055033i,-0.0083053-0.018454i,-0.070571+0.029905i,-0.0084934+0.007585i,-0.0072675-0.015696i,-0.0086186-0.0077734i,0.00067982+0.022995i,-0.010325+0.013111i,-0.0015839+0.0098234i
-0.0028876+0.02496i,-0.012801+0.053547i,0.00293+0.040982i,0.0048752+0.032322i,0.01089+0.029778i,0.036603+0.0038588i,0.020693+0.005586i,0.023062+0.02061i,0.0036212+0.018973i,0.00021499+0.0041877i,0.0013273+0.0066756i,0.0014181+0.0084169i,0.0020551+0.0066577i,0.0010328+0.0064031i,0.0049859-0.00045881i,0.0079487+0.0070834i,0.011477+0.0083034i,0.00095653-0.0015169i,-0.0032059-0.003302i,-0.0031095+0.00063193i,-0.0026048+0.00026636i,-0.0037346-0.0010195i,-0.0028579-0.00084302i,-0.0044038+0.0079591i,-0.00040356+0.0021635i,0.0010141+0.0022168i,-0.0004176+0.0020126i,-0.0005559+0.00097355i,0.00014726+0.0015252i,-0.0010091+0.0007551i,0.003135-0.0044445i,0.00039322-0.00066021i,-0.0011115-0.00072616i,-0.00017644-0.0011766i,0.0019183-0.0009702i,-0.011114-0.0020349i,0.00055386+0.0012668i,0.00073575+0.0015135i,-0.0018923-0.00059197i,0.0018955-0.0021675i,-0.0016247-0.00018954i,-0.0019925-0.0012973i,0.0027101+0.0021411i,0.00041488+0.0073055i,-0.026721+0.025259i,-0.07824-0.016541i,-0.058969+0.021777i,-0.06731+0.043115i,-0.066652+0.061166i,-0.034149+0.034539i,-0.0097377+0.052787i,-0.0024525+0.016553i,-0.045727-0.00046683i,-0.063386-0.0068131i,-0.014262+0.021495i,-0.0055288-0.0034461i,0.0030725-0.0093249i,-0.0050716-0.011106i,-0.0049728+0.0037747i,-0.00072005+0.018038i,0.00076044+0.0026654i,0.0062054-0.005556i,0.0054765-0.0021513i,0.011644-0.0097423i,0.0064549+0.0003588i,0.0034505+0.00085329i,-0.007771-0.00052994i,0.0048817+0.0051752i,0.0044911+0.0054529i,0.0074163+0.0042407i,-0.00087656+0.00098067i,0.0021668-0.0041096i,0.0074407-0.010511i,-0.00031876+0.00072904i,-0.02438-0.0018286i,-9.4912e-05-0.0060701i,-0.0017788-0.0025241i,0.0060846-0.0005792i,0.0016715-0.00071048i,-0.0026255-0.01309i,0.00076693-0.0014876i,0.004754+0.0060918i,0.0037303+0.00040949i,0.0030283-0.0030957i,-0.0056876-0.0019735i,-0.0074226-0.0018018i,-0.0024407-0.0035846i,-0.0064543-0.0041761i,-0.012473-0.014034i,-0.064012+0.036853i,-0.0077899+0.0061634i,-0.0080237-0.01774i,-0.010454-0.0054712i,0.001491+0.021234i,-0.0094154+0.014696i,-0.00017926+0.0087373i
0.00078561+0.024618i,-0.003399+0.054795i,0.010431+0.041053i,0.0091153+0.030853i,0.014229+0.029475i,0.035905-0.002495i,0.021023+0.00015104i,0.026182+0.01604i,0.0068868+0.01758i,0.0011219+0.0041279i,0.0036507+0.0053047i,0.0036726+0.0063845i,0.0039437+0.0062236i,0.0027976+0.0058475i,0.0046152-0.0016374i,0.0092925+0.003866i,0.01308+0.0037173i,-0.00016544-0.0021574i,-0.0042621-0.0018883i,-0.0019298+0.0014923i,-0.0016365+0.00055208i,-0.0034254+0.0001245i,-0.0028984-5.9698e-05i,-0.0013245+0.008363i,0.00052833+0.0022208i,0.0017855+0.0016465i,0.00032954+0.0020869i,-0.00020782+0.0015424i,0.00062801+0.0011829i,-0.00053637+0.00077977i,0.00090014-0.004515i,-6.9932e-05-0.0010504i,-0.001501-0.00019286i,-0.00074092-0.00099562i,0.0010648-0.0014365i,-0.010767+0.0018764i,0.00084099+0.0010691i,0.0013484+0.0011864i,-0.0020353+0.00043894i,0.0017251-0.0025777i,-0.001365-2.2975e-05i,-0.0018536-0.00083589i,0.0024766+0.001159i,0.00254+0.0078982i,-0.022795+0.028322i,-0.08617-0.0033982i,-0.055099+0.027464i,-0.055939+0.051091i,-0.051605+0.068545i,-0.02911+0.041016i,-0.00068764+0.048726i,0.0026846+0.013106i,-0.043846+0.0048723i,-0.060498+0.0037161i,-0.010088+0.023746i,-0.0071307-0.0023834i,-0.0024362-0.0089541i,-0.009003-0.0095496i,-0.0010097+0.0051786i,0.005165+0.01496i,-0.00056319+0.0028302i,0.0029682-0.0084883i,0.0053089-0.0016919i,0.0049511-0.013001i,0.0067949-0.002945i,0.0046243-0.00015951i,-0.0080205+0.0035337i,0.0079726+0.0046662i,0.008063+0.0027087i,0.0094731+0.00021819i,0.00055902+0.0017336i,0.0013112-0.0045019i,-0.0015115-0.0091716i,0.0010129+0.0020802i,-0.023072+0.0080352i,-0.0017593-0.0060014i,-0.0013302-0.00046775i,0.0059084-0.004214i,0.0018818-0.00083163i,-0.0077914-0.012485i,-9.7632e-05-0.0012609i,0.0065031+0.0023471i,0.0036249-0.00036709i,0.0027232-0.0041964i,-0.0056424+0.0012699i,-0.0068961+0.0026205i,-0.003945-0.0019153i,-0.008322-0.0032121i,-0.01488-0.0089275i,-0.058618+0.043235i,-0.0081322+0.0085499i,-0.012448-0.021404i,-0.0091238-0.0037585i,0.0038183+0.02123i,-0.0085101+0.017899i,0.0017052+0.0063957i
0.0047705+0.023345i,0.0057161+0.053904i,0.017822+0.038422i,0.013372+0.028984i,0.018837+0.028285i,0.034425-0.0083641i,0.019753-0.0051046i,0.028034+0.010765i,0.0096318+0.015531i,0.0017743+0.003968i,0.0045021+0.0037847i,0.0042171+0.0045672i,0.0057056+0.0047495i,0.0041316+0.0046956i,0.0038162-0.0025974i,0.0090001+0.001074i,0.012982-0.00069793i,-0.00098222-0.0017601i,-0.0042969-0.00041619i,-0.00082205+0.0015291i,-0.00090028+0.00032822i,-0.0028395+0.00075132i,-0.0025039+0.00070872i,0.0012415+0.0083784i,0.0013897+0.0016562i,0.0021555+0.0011968i,0.0010913+0.0017237i,0.00052431+0.0016814i,0.00085292+0.00062262i,-0.00043852+0.00082818i,-0.00083868-0.0039848i,-0.00072786-0.00092099i,-0.0013685+0.00052107i,-0.00109-0.00062231i,0.00024107-0.0015582i,-0.0095564+0.0049959i,0.0010989+0.00066277i,0.0016498+0.00035097i,-0.001902+0.00158i,0.0013049-0.0033294i,-0.0011608+0.00024304i,-0.001859-0.00086198i,0.0021113+0.00072599i,0.0051522+0.0074467i,-0.018263+0.031123i,-0.087595+0.016724i,-0.052552+0.031554i,-0.0459+0.055337i,-0.034524+0.073436i,-0.020635+0.047164i,0.0067642+0.042512i,0.0054084+0.0054219i,-0.039562+0.0093045i,-0.054363+0.01399i,-0.0034034+0.024969i,-0.0086544+0.00020735i,-0.0079839-0.0061151i,-0.011468-0.0068782i,0.0020005+0.0035112i,0.0060453+0.010586i,-0.0025172+0.0044323i,-0.0009629-0.010879i,0.0062786-0.0036649i,-0.0015423-0.011726i,0.0044709-0.0051988i,0.0050821-0.0025248i,-0.0065219+0.0071698i,0.010653+0.00068908i,0.0085433-0.0018619i,0.008822-0.004816i,0.0025018+0.00098391i,9.013e-05-0.0045332i,-0.0049191-0.0047224i,0.0029562+0.001217i,-0.018978+0.015833i,-0.0039557-0.0049785i,0.00018267+0.00052061i,0.0025552-0.0055659i,0.0019539-0.0010609i,-0.012763-0.0086014i,-0.00014473-0.00013241i,0.0062094-0.00071765i,0.0031898-0.0013947i,0.0016614-0.0045786i,-0.0037448+0.0038911i,-0.0046403+0.0054322i,-0.0046676+0.0014407i,-0.010455-0.0011864i,-0.014973-0.0047281i,-0.051129+0.051771i,-0.0023586+0.011192i,-0.019599-0.02126i,-0.007736-0.004547i,0.0055425+0.020241i,-0.0051048+0.021449i,0.0020337+0.002471i
