-0.005871-0.039489i,-0.0092604-0.043976i,0.0040394-0.045479i,-0.027404-0.028586i,-0.02192+0.012559i,-0.03142-0.035621i,-0.059422-0.066238i,-0.02056-0.073044i,-0.039846-0.054093i,0.00037883+0.015905i,-0.0078519+0.0112i,-0.016638+0.014489i,0.0012369+0.015803i,-0.0042062-0.0034775i,1.6255e-05+0.0072898i,-0.0019548+0.041528i,0.026765+0.038125i,0.00069097-0.00056765i,-0.0047913-0.0092787i,0.0088579+0.0073369i,0.0013905+0.00079451i,-0.0021465+0.0035088i,0.00010376-0.001432i,-0.038131-0.011743i,-0.0031233-0.0074696i,-0.00036507+0.0049627i,0.0053908-0.0028568i,2.4411e-05+0.0010894i,-0.00026162-0.00065375i,-5.5324e-05-0.0028379i,-0.00085838-0.0060323i,-0.0020044-0.0044254i,-0.00093266-0.0093732i,0.003228-0.00059404i,0.0027254-0.0030479i,-0.005176+0.034013i,0.0069843-0.0036508i,0.0041459-0.0017737i,0.005185-0.0001648i,-0.012112-0.029745i,0.00027175+0.00034174i,0.007015+0.0016985i,0.010514+0.0021048i,-0.0034214+0.0030925i,0.0027352+0.0024544i,-0.003705+0.010534i,0.018799-0.086367i,-0.0043588-0.0494i,-0.023636-0.040958i,-0.017775-0.042839i,0.066198-0.014824i,0.029947-0.060315i,0.039358-0.044475i,0.030948-0.055528i,0.019016-0.015858i,0.0083185+0.010395i,0.027327-0.030176i,-0.00732-0.0044565i,0.0028426-0.0020703i,-0.0047669-0.0061533i,0.0022293-0.032566i,-0.026447+0.030716i,0.0080521-0.010496i,-0.011039-0.0013859i,-0.0054465-0.0015927i,-0.00078962-0.014735i,-0.0099887+0.0039425i,0.0033133+0.0085488i,-0.012392+0.029897i,0.004977+0.0085449i,-0.0053582-0.0021936i,-0.0021236-0.0021484i,-0.011097-0.0074262i,0.00076934-0.0040429i,-0.036955-0.00171i,0.0028886-0.0128i,-0.0088732-0.0022332i,-0.0068321-0.0030232i,0.00649+0.0017318i,-0.0091635+0.0014046i,0.0011899+0.0008555i,0.0061873+0.0090114i,0.0049285+0.00075518i,-0.0086224-0.0093537i,0.0026217+0.0088873i,-0.01992+0.0051871i,0.0068592+0.0037105i,-0.02865-0.0090243i,-0.036245+0.0010237i,0.028614-0.080391i,0.013601-0.010326i,-0.041043-0.027958i,-0.023032-0.0043654i,0.018271+0.012743i,-0.02731+0.01068i,-0.010552-0.0087179i
-0.033545-0.00065621i,-0.050136+0.015338i,-0.050543+0.041953i,-0.029509+0.0047685i,-0.007265+0.014862i,-0.011759+0.031684i,-0.033072+0.015479i,-0.058203+0.017498i,-0.020963+0.022493i,0.00084816-0.010222i,0.0020647-0.0011602i,0.0039995-0.00023171i,0.0028026+0.0084553i,-0.0040516+0.0012855i,0.0019033+0.0025771i,0.0026827-0.0101i,-0.0074667-0.0073105i,-0.0043398+0.00095515i,0.004487-0.00133i,0.0015008-0.0014087i,0.0021909-0.0048877i,0.0019784-0.0041376i,0.0024609-0.0036531i,-0.011074-0.012484i,-0.0029253-0.0002796i,-0.0039013+3.3179e-05i,-0.0037802-0.0012319i,-0.0049105-0.0019035i,-0.0014867-0.0019679i,0.001566-0.0019768i,-0.0052569+0.0043856i,0.0011249+0.0015001i,0.0020983+0.00088885i,0.0018116+0.0019411i,-0.0015937+0.0028464i,-0.0022824-0.0086185i,-0.0022072+0.00083578i,0.0018093+0.00055519i,-0.0018309+0.0026652i,0.013478+0.0076809i,-0.0045452-0.0061666i,0.00024162-0.00019596i,-0.0091956-0.0047163i,0.0021859+0.0041135i,-0.019882-0.018201i,0.0034916-0.066748i,-0.087729-0.014117i,-0.022351-0.024124i,-0.04727-0.044989i,-0.043517-0.0095482i,-0.093966+0.0092511i,-0.061551-0.002078i,-0.03689-0.027938i,-0.028148-0.055962i,-0.026204-0.02496i,-0.00030624+0.0026438i,-0.026892+0.0122i,0.0030704+0.018166i,0.0037802+0.0077538i,-0.00080418-0.007095i,0.0088964+0.0060097i,-0.010238-0.0039089i,0.0019663+0.011403i,-0.0021201+0.0068232i,-0.0012434-0.0024242i,0.0061236+0.00327i,0.0034931-0.001318i,-0.0047243+0.02059i,0.00056114+0.013065i,0.00094917-0.0042626i,0.011387-0.0074295i,0.0035463+0.0036384i,-0.0083688-0.0071162i,-0.0020443-0.0017893i,0.017223-0.037605i,0.0079868+0.0089534i,0.0038292+0.0029199i,-0.0021901+0.0030658i,0.0030686-0.0040238i,0.020032+0.0024008i,0.0017063-0.0018184i,-0.00059701-0.0077619i,0.0011788-0.0025935i,0.011222+0.0052779i,0.005217+0.00074668i,0.0035357-0.0060655i,0.0037533+0.0071688i,0.0040412+0.0036237i,0.018316+0.0019064i,-0.064826-0.045659i,-0.010724+0.010041i,-0.0066009-0.0052148i,-0.0078658+0.0040259i,-0.036607+0.0065745i,-0.0056611+0.0084425i,-0.015484+0.0041373i
-0.031527+0.0035267i,-0.046576+0.020584i,-0.038238+0.044475i,-0.028487+0.010488i,-0.0056467+0.012485i,-0.0060985+0.032456i,-0.031431+0.020525i,-0.050658+0.024958i,-0.015999+0.018592i,-0.0021357-0.0083407i,0.0017104-0.00084133i,0.0034296-0.0020333i,0.005331+0.0058575i,-0.0026009+0.0030954i,0.0022636+0.0026841i,-0.0032654-0.0078741i,-0.013043-0.0029632i,-0.0035176+0.0023939i,0.0048779-0.0023712i,0.0015264-0.0021283i,0.00065156-0.0048664i,0.0018171-0.0031471i,0.0020206-0.0038169i,-0.01304-0.008175i,-0.0021973+2.4946e-05i,-0.0039155+0.0012364i,-0.0034321+0.00038492i,-0.00459+9.8435e-05i,-0.0019621-0.0016188i,0.0010513-0.0019451i,-0.0030269+0.0065027i,0.001197+0.0012372i,0.0010701+0.00013143i,0.0013876+0.00078808i,-0.0018344+0.0023586i,-0.002057-0.0075463i,2.9022e-05+0.0021509i,0.00059817-0.00062493i,-0.0023436+0.0033507i,0.012963-0.00017216i,0.00393-0.0072744i,-0.00039731-0.00044164i,-0.010075-0.0025602i,0.0033269+0.0034904i,-0.021666-0.020109i,-0.016077-0.073404i,-0.083174+0.00178i,-0.030024-0.025956i,-0.060093-0.037728i,-0.041882+0.00031278i,-0.083376+0.029965i,-0.059923+0.011484i,-0.027417-0.02716i,-0.035042-0.052241i,-0.037955-0.029615i,-0.00070326+0.0005131i,-0.019846+0.022689i,0.0083365+0.013261i,0.00632+0.0029925i,-0.0054794-0.012643i,0.0051773+0.0039618i,-0.010572+0.0027402i,0.0065344+0.0095595i,-0.00023033+0.0091149i,-0.0022011-0.0017204i,0.0073288+0.0027258i,0.0032577-0.00094471i,0.0058049+0.016622i,0.0056562+0.0081029i,-0.0035682-0.0054933i,0.0037469-0.0085788i,0.0045829+0.0037563i,-0.010777+0.00011589i,-0.0022052+0.00088151i,0.0060577-0.033549i,0.011168+0.0071326i,0.0058818+0.00083127i,0.0011402+0.0024925i,-9.4784e-05-0.0019146i,0.017666-0.0063256i,6.9136e-05-0.0027532i,-0.0041548-0.0053104i,-0.0023284-0.0024276i,0.010483+0.00042636i,0.0053451+0.00072641i,0.0011937-0.0038288i,0.0060853+0.0057302i,0.0039055+0.003119i,0.016729-0.0038878i,-0.071628-0.036498i,-0.0034535-0.0014939i,-0.0073293-0.0040828i,-0.0066849+0.0043288i,-0.032235+0.019111i,-0.003419+0.009029i,-0.011374+0.0086709i
-0.028541+0.0065324i,-0.043945+0.025494i,-0.029436+0.043309i,-0.026018+0.014432i,-0.0029745+0.012625i,-0.0003219+0.031911i,-0.027945+0.025685i,-0.044773+0.029044i,-0.016635+0.01589i,-0.0038743-0.0064985i,0.0022523-0.00065713i,-0.00083393-0.0028781i,0.0058865+0.0037239i,-0.0022595+0.0037982i,0.0030566+0.0027558i,-0.0076009-0.0020919i,-0.014417+0.0055172i,-0.0012743+0.0035132i,0.005037-0.0045613i,0.0016441-0.0032235i,-0.00070875-0.0047196i,0.0023144-0.0040358i,0.0014111-0.0045304i,-0.014486-0.0046757i,-0.0024518+0.00050191i,-0.0033777+0.0027546i,-0.0024748+0.0010114i,-0.0030308+0.0018264i,-0.0023214-0.0017082i,0.0002846-0.0029789i,-0.00019116+0.0065054i,0.001435+0.0012152i,0.00095105-6.0754e-05i,0.0012304-0.00042532i,-0.0013134+0.0038365i,-0.0021735-0.0073777i,-0.0010167+0.0034425i,-0.00061864-0.00085937i,0.0016912+0.0046676i,0.0098127-0.0041256i,0.0021549+0.0014065i,8.01e-05+0.00053577i,-0.011542-0.00099704i,0.00447+0.0016063i,-0.026166-0.02022i,-0.03865-0.070362i,-0.073979+0.013533i,-0.03758-0.022463i,-0.068478-0.025256i,-0.03564+0.0069844i,-0.064098+0.04435i,-0.045611+0.024225i,-0.028454-0.032622i,-0.041847-0.049505i,-0.049702-0.0018367i,-0.0012464-0.00027364i,-0.008358+0.027406i,0.010609+0.0071928i,0.0034145-0.0013642i,-0.018996-0.012879i,0.00447+0.0029103i,-0.0066049+0.0071864i,0.0091008+0.0047661i,0.0044749+0.0089684i,-0.0043346+0.00030952i,0.0072748-0.0014118i,0.003906-0.0024925i,0.0095032+0.0089313i,0.0062058+0.0033143i,-0.0083557-0.0017022i,0.0006813-0.0065006i,0.0066954+0.0026753i,-0.0073612+0.0088866i,-0.00034035+0.0023869i,-0.0043548-0.031383i,0.014383+0.0018266i,0.0056165-0.0014118i,0.0013468+0.00098347i,0.00076914-0.0002058i,0.011689-0.010732i,-0.0036645+0.0001968i,-0.0063591-0.0019925i,-0.0038522+0.0014073i,0.0076718-0.0025097i,0.0083552-0.0015258i,0.0019307-0.0037392i,0.0096445+0.0021903i,0.0059057+0.0017035i,0.013258-0.0087427i,-0.075854-0.023222i,-0.008307-0.01166i,-0.0062467-0.0041224i,-0.0050065+0.0033606i,-0.024728+0.024187i,-0.0020979+0.0044036i,-0.010846+0.0024195i
-0.025579+0.0079141i,-0.040033+0.030888i,-0.024132+0.041628i,-0.022107+0.0188i,0.0013126+0.0099827i,0.0049245+0.029822i,-0.022901+0.030242i,-0.03905+0.031353i,-0.017777+0.017507i,-0.0049908-0.0047566i,0.002207-0.001854i,-0.0030164+0.0011449i,0.0054719+0.002005i,-0.0018985+0.0058281i,0.0035423+0.0018714i,-0.0067445+0.0048777i,-0.0098375+0.012433i,0.00054917+0.0026723i,0.002751-0.0066735i,2.8014e-05-0.0047392i,-0.001802-0.0041693i,0.0018426-0.004708i,0.00021381-0.0056792i,-0.01514-0.00019653i,-0.0019642+0.0007954i,-0.001066+0.003207i,-0.0020109+0.0010615i,-0.0011417+0.0019608i,-0.0031632-0.00045328i,-0.0014638-0.0025656i,0.0019188+0.0059434i,0.0013773+0.00085624i,0.0010705+0.00046401i,0.00029235-0.0004329i,0.0010282+0.0041462i,-0.0035817-0.0082902i,-0.0009032+0.0039717i,-0.0015473-0.00018919i,0.0031663+0.001645i,0.0077136-0.0058921i,-0.0010222-0.00024917i,0.0012195-5.3828e-05i,-0.013128+0.0014722i,0.0028082-0.0015492i,-0.032499-0.017696i,-0.057079-0.056221i,-0.063745+0.01915i,-0.043719-0.016866i,-0.072844-0.011611i,-0.028226+0.0095518i,-0.045618+0.048446i,-0.030389+0.023587i,-0.032669-0.031564i,-0.049598-0.041979i,-0.038874+0.012686i,-0.0027286-0.00050152i,0.0021537+0.026262i,0.01114+0.003424i,-0.0013517-0.0018317i,-0.029944-1.7944e-05i,0.0017663+0.0029069i,-0.002344+0.0073805i,0.0079025-0.00023267i,0.008111+0.007832i,-0.0038212+0.0036191i,0.0038776-0.0024029i,0.0033193-0.0051045i,0.0077197+0.0016976i,0.0033057+0.00074718i,-0.0075083+0.0031999i,-0.0012855-0.0049373i,0.0074294+0.00022452i,0.0019232+0.011581i,0.0010808+0.0016248i,-0.0087039-0.024293i,0.012995-0.0036937i,0.0053285-0.0033028i,0.001948+0.001932i,0.0012272-0.00051264i,0.0067896-0.01171i,-0.00083997+0.0039974i,-0.0068762+0.0012838i,-0.0012592+0.004336i,0.0057879-0.0024381i,0.0075586-0.0067776i,-1.1839e-05-0.0038713i,0.008633-0.0034882i,0.0057875-0.0016604i,0.0090175-0.012638i,-0.073578-0.010009i,-0.019364-0.013007i,-0.0065018-0.0067946i,-0.0044879+0.0013929i,-0.014993+0.026975i,-0.0059858+0.0031152i,-0.014285+0.0028105i
-0.023947+0.0086848i,-0.036292+0.035656i,-0.021172+0.041281i,-0.016096+0.021404i,0.0035894+0.0057376i,0.0086221+0.027499i,-0.016312+0.032749i,-0.035007+0.03352i,-0.015384+0.021286i,-0.0051188-0.0028475i,0.0008402-0.0024923i,-0.0016801+0.0040901i,0.0049146+0.00077393i,0.0010741+0.0073651i,0.0041434+0.0013439i,-0.0025365+0.0085976i,-0.0035535+0.015756i,0.0011099+0.0016538i,0.00042706-0.0065267i,-0.0021248-0.0047385i,-0.0028612-0.00343i,0.0009196-0.0052445i,-0.0022312-0.0056515i,-0.013035+0.0038075i,-0.002296+0.00069523i,-0.00043559+0.0020946i,-0.0020393+0.0012182i,-0.00013814+0.0010626i,-0.0026441+0.0013422i,-0.001932-0.0012573i,0.0030287+0.0042226i,0.0012512+0.00036245i,-0.00034919+0.00079946i,-4.9466e-05-0.00021191i,0.0022544+0.0029344i,-0.0063008-0.0087594i,-0.00022081+0.0042079i,-0.0016286+0.001108i,0.0023509-0.00049426i,0.0044705-0.0063171i,-0.0014256-0.00088463i,0.001164-0.0010757i,-0.017995-0.0056594i,-0.0002133-0.00072731i,-0.037275-0.011264i,-0.063533-0.036653i,-0.057444+0.02071i,-0.049149-0.0089897i,-0.07457+0.0023581i,-0.023547+0.0071495i,-0.030307+0.047492i,-0.021307+0.019707i,-0.035701-0.029744i,-0.052741-0.034644i,-0.029437+0.021498i,-0.0036822+6.9699e-05i,0.012709+0.020916i,0.010026+0.00025704i,-0.0048194+0.00069789i,-0.02979+0.011986i,0.0017082+0.0045178i,0.00088103+0.0086883i,0.0036971-0.0019815i,0.01093+0.0048873i,-0.001653+0.00559i,0.0016956-0.0011093i,0.0015499-0.0072468i,0.0029924+0.0010825i,0.00095104+0.0019486i,-0.0063781+0.0077904i,-0.0028741-0.0022834i,0.0070813-0.0024387i,0.0073392+0.0073554i,0.0018093+0.00081927i,-0.012584-0.023074i,0.0099785-0.0077589i,0.0039158-0.005189i,0.0045701+0.0020839i,0.001204-0.00049559i,0.0034601-0.010674i,0.0024107+0.0034825i,-0.0045358+0.0046087i,0.0023226+0.0043079i,0.0056801-0.0027489i,0.0028638-0.012389i,-0.00016893-0.0027523i,0.0046864-0.0060119i,0.0034843-0.0038308i,0.0025306-0.015135i,-0.068799-0.0019199i,-0.029882-0.0068178i,-0.0083651-0.0084332i,-0.0053207-0.00030638i,-0.0082776+0.026867i,-0.0093955+0.004892i,-0.014467+0.0068567i
-0.023014+0.0098059i,-0.031772+0.040992i,-0.018373+0.043766i,-0.008364+0.020037i,0.0027602+0.00070754i,0.012821+0.025646i,-0.0095595+0.032951i,-0.031654+0.036692i,-0.01122+0.022471i,-0.0052713-0.002272i,-0.0010959-0.0021006i,0.0005017+0.005718i,0.0040492+0.00030141i,0.0042527+0.0059926i,0.0042325+0.00056268i,0.0020192+0.0093136i,0.0039726+0.015471i,0.001505+0.0011923i,-0.0013058-0.0062183i,-0.0040716-0.003703i,-0.0032114-0.0018743i,-5.0798e-05-0.0056811i,-0.0038116-0.004035i,-0.011859+0.0049625i,-0.0028303+0.0016962i,-0.00059279+0.0020345i,-0.0015952+0.00069369i,0.00028071-0.00029889i,-0.0010877+0.0018063i,-0.0018531-0.00065608i,0.0041676+0.0030362i,0.0010689+2.9984e-07i,-2.5409e-05-0.00029764i,-0.00045509-0.00045805i,0.0025151+0.0021681i,-0.0090586-0.0076215i,0.00071952+0.0039354i,-0.00080714+0.0015638i,0.0011574-0.0011352i,0.0023189-0.005564i,-0.0018587-0.000575i,0.00057585-0.001539i,-0.0013568+0.0035019i,-0.0010175+0.0013814i,-0.038986-0.0028777i,-0.060568-0.022712i,-0.054585+0.023271i,-0.051268+0.0031368i,-0.072102+0.020539i,-0.025192+0.0050239i,-0.018166+0.042998i,-0.014645+0.015308i,-0.038399-0.026028i,-0.056431-0.028252i,-0.020114+0.024617i,-0.0050588+0.001503i,0.018233+0.008529i,0.0096569-0.0041931i,-0.0061031+0.0047723i,-0.022309+0.024549i,0.0030946+0.0045116i,0.0061035+0.0067214i,0.0014296+5.9697e-05i,0.01261-7.1846e-05i,0.00060661+0.0063358i,0.0013243+6.9385e-05i,-0.003098-0.0085207i,0.00090781+0.0039062i,0.0012328+0.0039776i,-0.0015582+0.013263i,-0.0015465+0.00027353i,0.0057696-0.0040505i,0.0093708+0.0021687i,0.0027199-0.00051468i,-0.019142-0.024754i,0.0054341-0.010134i,0.00098926-0.0058373i,0.0046068-0.0014892i,0.0010742+0.00025981i,0.0024862-0.0088154i,0.003722+0.0011534i,-0.0010271+0.005778i,0.0040989+0.0015289i,0.0042507-0.0040797i,-0.0043017-0.011745i,-0.00022767-0.0033946i,0.0023319-0.0059125i,0.0021539-0.0051661i,-0.0046279-0.014066i,-0.066429+0.0052434i,-0.027769+0.0084027i,-0.012146-0.0092978i,-0.0072227-0.00059224i,-0.0035793+0.025772i,-0.0095064+0.0096756i,-0.0097095+0.0090687i
-0.022187+0.011609i,-0.02551+0.046221i,-0.013072+0.047936i,-0.0032462+0.022331i,-0.00094773-0.00161i,0.017198+0.022505i,-0.00361+0.032254i,-0.027692+0.040821i,-0.007494+0.023267i,-0.0059695-0.00065i,-0.0018163-4.3475e-05i,0.0039672+0.006193i,0.003438+0.00036317i,0.0057031+0.0033461i,0.0038648-3.4389e-05i,0.0059832+0.0082706i,0.0091744+0.01209i,0.0018271+0.00082947i,-0.0026739-0.0057192i,-0.0050145-0.0014062i,-0.0026991-0.00064314i,-0.0016794-0.0059665i,-0.0041663-0.0025205i,-0.012822+0.0089051i,-0.0023624+0.00296i,-0.00021873+0.0025351i,-0.0014464+0.0018156i,-0.00083745-0.0013679i,-0.00076823+0.0013339i,-0.001839-0.00035394i,0.0053375+0.0015372i,0.0014219-0.00064178i,0.00035822-0.00049082i,-0.00061594+7.0004e-05i,0.0031009+0.00073563i,-0.011703-0.0054509i,0.0021966+0.0037966i,-1.2981e-05+0.0012506i,0.00034558-0.0014474i,0.00075908-0.0046191i,-0.0016478-3.9281e-05i,0.0003289-0.0015673i,-0.0012866+0.004798i,-0.00027695+0.0022322i,-0.037701+0.0041366i,-0.058264-0.016862i,-0.051891+0.028663i,-0.046981+0.014126i,-0.061971+0.035979i,-0.026542+0.008259i,-0.010468+0.038942i,-0.011853+0.010356i,-0.040149-0.022238i,-0.058802-0.020115i,-0.013678+0.0264i,-0.0038098+0.0024168i,0.012224-0.0025719i,0.0062009-0.0090477i,-0.0045941+0.0079499i,-0.010484+0.029441i,0.0034004+0.0029983i,0.0088083+0.0016229i,0.0026614+0.0010764i,0.011067-0.0041322i,0.0046773+0.0077327i,0.0016453+0.0017255i,-0.0077673-0.003761i,0.0024749+0.0064258i,0.0028995+0.0055697i,0.0056503+0.014375i,-0.00064154+0.00049676i,0.0044513-0.0052699i,0.0088807-0.004605i,0.0011007-0.0014553i,-0.028578-0.017528i,0.0017583-0.0099486i,-0.0012846-0.0043743i,0.0049494-0.00049799i,0.0013408-0.00028164i,0.0022128-0.010025i,0.0033281-0.00071053i,0.001558+0.0042697i,0.003624+0.00053289i,0.0038473-0.0036676i,-0.0079206-0.0067725i,-0.0018991-0.0040971i,-0.0018297-0.0054327i,6.9535e-05-0.0061408i,-0.0089885-0.0099077i,-0.062689+0.012945i,-0.020864+0.010154i,-0.013141-0.0074691i,-0.008381+0.00036512i,-8.9151e-06+0.022929i,-0.0083364+0.011788i,-0.0073595+0.008116i
-0.020814+0.013284i,-0.017446+0.050559i,-0.005825+0.051332i,-0.0049004+0.019128i,-0.0048123-0.00098839i,0.020561+0.018658i,0.0019248+0.030423i,-0.021879+0.045723i,-0.0035685+0.023063i,-0.0067917+0.0014321i,-0.00061752+0.0016069i,0.0073507+0.0039929i,0.0035439+0.00046942i,0.0051563+0.0016852i,0.0039652-0.00029141i,0.0089162+0.0050935i,0.012066+0.0084757i,0.0021652-0.00022165i,-0.0040832-0.0052075i,-0.0046517+0.00078826i,-0.0019465+8.5231e-05i,-0.0033997-0.0049963i,-0.0041764-0.0013834i,-0.0079372+0.013925i,-0.0013427+0.0042991i,0.00090175+0.0025679i,-0.0010116+0.0023919i,-0.0027076-0.001099i,-0.00070667+0.0014432i,-0.0017949+0.00027742i,0.0053014-0.00086045i,0.0010876-0.0014236i,0.00044855-0.00097149i,-0.00037001+0.00051561i,0.0024324-0.00058503i,-0.013757-0.0019476i,0.0031403+0.0029482i,0.00041338+0.0012547i,-0.00086681-0.0014575i,0.00039947-0.003612i,-0.0013649-0.00014521i,-4.4848e-05-0.001902i,-0.0011244+0.005588i,0.00044764+0.0026672i,-0.035914+0.0093326i,-0.060471-0.01206i,-0.047181+0.034114i,-0.04208+0.021937i,-0.04806+0.045293i,-0.027263+0.012033i,-0.0022666+0.034131i,-0.010824+0.0080282i,-0.041244-0.01775i,-0.059952-0.010908i,-0.0069061+0.02707i,-0.0030234+0.0027148i,0.0047169-0.004135i,0.00077635-0.011171i,-0.0014064+0.011142i,0.0017021+0.028992i,0.002522+0.0015367i,0.007467-0.0037661i,0.0026073+0.00040272i,0.0079633-0.0080388i,0.0088229+0.0043881i,0.0034306+0.0023655i,-0.0076524+0.00027116i,0.0052757+0.0077861i,0.0059733+0.0059486i,0.010143+0.0092894i,-6.6521e-05+0.0010831i,0.0038156-0.0061336i,0.0093014-0.0073006i,0.00031652+5.431e-05i,-0.034867-0.0053739i,-0.00072653-0.0093053i,-0.0023301-0.0027256i,0.0061779-0.0015171i,0.0012433-0.00028074i,0.00022121-0.012236i,0.0020992-0.0015585i,0.0033547+0.0033862i,0.0043221-0.00047917i,0.0046026-0.0046933i,-0.0093593-0.0041249i,-0.0043802-0.0021237i,-0.003922-0.0035056i,-0.0019456-0.0064811i,-0.010946-0.0058044i,-0.058526+0.019244i,-0.019367+0.010304i,-0.01289-0.0082806i,-0.0091314+0.0021546i,0.00098919+0.022115i,-0.0076122+0.012644i,-0.0054754+0.0074259i
-0.019131+0.015103i,-0.0076754+0.052881i,0.0038965+0.053488i,-0.0043916+0.01839i,-0.0067581+0.0023555i,0.023474+0.014764i,0.0067371+0.026971i,-0.013342+0.04917i,0.0002053+0.022322i,-0.0065572+0.004188i,0.00048997+0.0013403i,0.0079416-0.00035799i,0.0043378+0.0001728i,0.0047928+0.00058553i,0.0042372-0.00095333i,0.0089617+0.00095471i,0.013982+0.0041678i,0.0010019-0.0014097i,-0.0059567-0.0035541i,-0.0030464+0.0022744i,-0.00094863+7.6613e-05i,-0.0043172-0.0039876i,-0.0040617-0.00017631i,-0.0014879+0.015291i,0.00053486+0.0047091i,0.0016422+0.0018454i,7.8263e-05+0.0027193i,-0.0033504+0.0005934i,-0.00020249+0.0012264i,-0.0014376+0.00058578i,0.0041993-0.0026159i,0.00043682-0.0016227i,0.00032085-0.0013589i,1.6866e-05+0.00037402i,0.0014843-0.0013193i,-0.013413+0.0022056i,0.0036233+0.0020914i,0.0009968+0.0010858i,-0.0019056-0.00078367i,0.00026397-0.0030412i,-0.0016815-0.00011371i,-0.00069139-0.0023084i,-0.00056486+0.0063511i,0.0013516+0.0029556i,-0.033791+0.015198i,-0.065224-0.0027168i,-0.040696+0.037517i,-0.034749+0.027979i,-0.034551+0.051019i,-0.026709+0.019029i,0.0040232+0.026725i,-0.006443+0.0060852i,-0.041432-0.012651i,-0.058385-0.00068319i,-0.0015593+0.026513i,-0.0031707+0.0026525i,5.2707e-05-0.0036855i,-0.0050807-0.010619i,0.0045966+0.011368i,0.010248+0.019282i,0.00037914+0.0012333i,0.0048069-0.00793i,0.0033062+0.0014077i,0.0032482-0.0097574i,0.010093-0.001195i,0.005361+0.0020021i,-0.007142+0.0041744i,0.009864+0.0074195i,0.0097621+0.0036655i,0.012091+0.0028009i,0.001029+0.0014836i,0.0019276-0.0072924i,-0.00058841-0.0097887i,0.0015641+0.0015912i,-0.031509+0.004822i,-0.0031029-0.0081772i,-0.0020994-0.00059254i,0.0065214-0.0065722i,0.0017092+0.00011948i,-0.0048284-0.013321i,0.0010733-0.0016376i,0.0045746+0.0014378i,0.0039401-0.0013715i,0.0035286-0.0063976i,-0.0094579+0.001384i,-0.0043243+0.00093404i,-0.006265-0.00097754i,-0.0047722-0.0065775i,-0.01119-0.001916i,-0.054749+0.025377i,-0.020094+0.015417i,-0.015031-0.011028i,-0.0064915+0.0041602i,0.003515+0.022069i,-0.0071158+0.015463i,-0.0029763+0.0052734i
-0.017107+0.016494i,0.0020956+0.052006i,0.015335+0.052385i,-0.0031339+0.018724i,-0.0057094+0.0061658i,0.026113+0.010257i,0.0097033+0.02312i,-0.0039543+0.050104i,0.0035704+0.02086i,-0.0041504+0.0066183i,0.00065674+0.0010927i,0.0059376-0.0032997i,0.0045831-0.0012669i,0.0042838-0.00018857i,0.0038838-0.0018744i,0.0070457-0.0012067i,0.014394-0.00048919i,4.4038e-05-0.0011373i,-0.0060951-0.0011013i,-0.0017127+0.002646i,-0.00025722-0.00033718i,-0.0049364-0.0030497i,-0.0033533+0.00068575i,0.004428+0.013524i,0.0023448+0.0038i,0.0019672+0.0011834i,0.0010221+0.00241i,-0.0026125+0.0023161i,-0.00012556+0.00098271i,-0.0014383+0.001082i,0.0029131-0.0034722i,-0.00034867-0.0013482i,-0.00043637-0.0022886i,-9.8494e-05+0.00010588i,0.00052217-0.001623i,-0.011951+0.0058827i,0.0038234+0.00080381i,0.0011442+0.00032627i,-0.0023184+0.00038939i,-0.00011731-0.0031379i,-0.0018058+0.00023953i,-0.0019268-0.0028743i,0.00081336+0.0071393i,0.002481+0.0026773i,-0.029775+0.020355i,-0.065206+0.011223i,-0.036962+0.039734i,-0.027621+0.031268i,-0.019531+0.054125i,-0.021335+0.027567i,0.0071854+0.019134i,-0.0042164-0.00070667i,-0.038708-0.0082696i,-0.053047+0.0098417i,0.0055663+0.025517i,-0.0032014+0.0032267i,-0.0039614-0.0015375i,-0.0093946-0.0076206i,0.0088094+0.007237i,0.0095379+0.016442i,-0.0026815+0.0029275i,0.00025483-0.011519i,0.0052859+3.5139e-05i,-0.0013488-0.0088165i,0.0076193-0.0053995i,0.0070117-0.00052899i,-0.005446+0.0070357i,0.014003+0.0021343i,0.011327-0.0013412i,0.010974-0.0039498i,0.0028615+0.00084873i,-0.00087575-0.007827i,-0.0041076-0.0060694i,0.0037076+0.00054609i,-0.033378+0.011912i,-0.0057168-0.0065069i,-0.00072186+0.00085989i,0.0019477-0.0084556i,0.0021728-0.00017892i,-0.010441-0.010535i,0.00084953-0.00083485i,0.0047532-0.001111i,0.0030577-0.0024228i,0.0017604-0.0066366i,-0.0061557+0.0056869i,-0.0026022+0.0029768i,-0.0056597+0.0035558i,-0.0080852-0.005423i,-0.010338+0.00086343i,-0.049212+0.033046i,-0.012477+0.020824i,-0.021045-0.010588i,-0.0029698+0.0029521i,0.0058838+0.020838i,-0.0044253+0.019053i,-0.0027614+0.00159i
