-0.0235-0.018653i,-0.03247-0.033063i,-0.022329-0.019672i,-0.032567-0.020265i,-0.024+0.0041253i,-0.028923-0.017607i,-0.057693-0.043971i,-0.040743-0.041834i,-0.030682-0.023183i,0.0055199+0.005614i,-0.0034025+0.0066416i,-0.010736+0.010976i,0.0039037+0.0068516i,-0.0037079-0.0027487i,0.002891+0.0015821i,0.0040965+0.027752i,0.026591+0.032209i,-8.4395e-05+0.00016308i,-0.002976-0.0027317i,0.0076232+0.0038199i,0.0021625+0.00054709i,-0.0001575+0.0025532i,-0.00051013+0.00032106i,-0.032159-7.6201e-05i,-0.0032267-0.0048566i,0.00011111+0.0025899i,0.0034089-0.0011609i,0.00087588-0.00022853i,-0.00051767-0.00063891i,-0.0010139-0.0018986i,-0.0021063-0.00064187i,-0.0042402-0.0035376i,-0.0028802-0.0055094i,0.00034383-0.0011592i,0.00064548-0.0029997i,-0.0013335+0.025568i,0.0024179-0.0029102i,0.0022386-0.0039083i,0.004333-0.0022569i,-0.0064046-0.0015068i,0.00081857+0.0013222i,0.010388-0.00048989i,-0.0018438+0.00038009i,-0.003064+0.0016341i,-0.0092138-0.0022115i,-0.019894+0.022343i,-0.0073296-0.08625i,-0.0022205-0.061009i,-0.021345-0.053676i,-0.010824-0.046004i,0.054358-0.026163i,0.024314-0.067741i,0.041404-0.053919i,0.01848-0.038527i,0.02592-0.019568i,0.012312+0.012054i,0.025633-0.029348i,-0.011546-0.0011395i,-0.00085154-0.001086i,-0.0074336-0.0018072i,-0.0049888-0.029184i,-0.020293+0.026576i,0.0076983-0.0090906i,-0.010479-0.0033751i,-0.0024373-0.0019092i,-0.00078024-0.014447i,-0.0084326+0.0049189i,0.0053719+0.010745i,-0.0099513+0.030951i,0.0065851+0.0076801i,-0.0036519-0.0018682i,-0.0024394-0.0015865i,-0.01263-0.0056397i,0.00060585-0.0040071i,-0.032662+0.002875i,0.003275-0.0083713i,-0.0070933-0.0020919i,-0.0054255-0.0031104i,0.0067651+0.0016253i,-0.010176+0.00057385i,0.0025125-0.00047106i,0.0060656+0.0078803i,0.0057551+0.0010252i,-0.007984-0.0097947i,0.0025609+0.0082774i,-0.01951+0.0076345i,0.0034499+0.0055442i,-0.021186-0.0093336i,-0.027302-0.004907i,0.010188-0.061193i,0.018401-0.014792i,-0.050956-0.028877i,-0.023159+0.0030518i,0.018882+0.0099944i,-0.027204+0.011903i,-0.012643-0.0079527i
-0.010943+0.013817i,-0.021312+0.041508i,0.0015452+0.04041i,-0.010326+0.024857i,-0.00013348+0.021076i,0.0018993+0.023194i,-0.02488+0.015536i,-0.02572+0.033154i,0.00032461+0.017563i,-0.0012812-0.0014999i,-0.00080525+0.0015944i,0.0042348+0.0034727i,0.0033161+0.0048895i,-0.003176+0.0017977i,-0.0030677+0.0037561i,0.00093172-0.007346i,-0.0087345-0.0016658i,-0.0018749-3.758e-07i,0.00010222-0.0012214i,-0.0010218-0.00046184i,0.00084515-0.0033353i,0.0012206-0.0027548i,0.00098535-0.0014849i,-0.0096503-0.0080152i,-0.00026543-0.00046108i,-0.0014429+0.00040735i,-0.0022677+0.00015035i,-0.0028161-9.1884e-05i,-0.00095986-0.00086441i,0.0010358-0.0006942i,-0.0018623+0.00028417i,0.0013523-0.00018594i,0.0018131-0.0006678i,0.00059918+0.00035145i,-0.00059896+0.0017508i,-0.00026877-0.0065331i,-0.0013803+0.0010192i,0.00176+3.9591e-05i,0.00066212+0.0025638i,0.0043798+0.0058795i,0.00099826-0.0015969i,-0.0018793-0.0010997i,-0.0017068-0.0020482i,0.0034869+0.0052065i,-0.0077691+0.0073044i,0.020372-0.058155i,-0.074058+0.01422i,-0.027029-0.018698i,-0.060811-0.048251i,-0.052943-0.017352i,-0.085503+0.0038452i,-0.073192+0.002007i,-0.046241-0.032719i,-0.0086005-0.045755i,-0.038192-0.026171i,-0.0062652+0.00032997i,-0.031489+0.0099392i,0.0078174+0.011114i,0.0096125+0.0070721i,0.0022853-0.0069196i,0.010843+0.0040275i,-0.01152-0.0033799i,0.0026947+0.011832i,0.0015291+0.0067103i,-0.00023887-0.0014996i,0.0055958+0.0016734i,0.0039415+0.00020121i,-0.0047321+0.019033i,0.00022697+0.009665i,0.00020143-0.004259i,0.0082419-0.0056553i,0.0012764+0.0040951i,-0.0084207-0.0072683i,-0.0028181-0.0011804i,0.021453-0.030982i,0.0050813+0.0089201i,0.0018626+0.0028231i,-0.0018549+0.0042258i,0.00326-0.004485i,0.019567+0.0026127i,0.0015689-0.00172i,-0.0031314-0.0068422i,-0.00063791-0.0020949i,0.01158+0.0049352i,0.0056216-0.00081968i,0.0035231-0.0077234i,0.004717+0.0052223i,-0.0051615+0.0032263i,0.013619+0.00652i,-0.042245-0.037049i,-0.012374+0.0050892i,-0.0021194-0.0017895i,0.00018345+0.0029228i,-0.04137+0.011309i,-0.0068043+0.0086808i,-0.013404+0.0026123i
-0.0080919+0.014515i,-0.014232+0.042002i,0.010564+0.034143i,-0.0053031+0.025489i,0.0027957+0.018735i,0.0062209+0.021774i,-0.02357+0.019282i,-0.0182+0.035264i,0.0042263+0.012447i,-0.0017847-0.00052377i,-0.00013422+0.0027451i,0.0048584+0.0011613i,0.0041314+0.0030727i,-0.0016525+0.002893i,-0.0022252+0.0047293i,-0.0036412-0.0056636i,-0.0099086+0.0029836i,-0.001658+0.00064703i,0.00082329-0.0007733i,-0.00050594-6.4733e-05i,-7.2169e-05-0.0032121i,0.001072-0.0022186i,0.00082083-0.0013439i,-0.011014-0.0048397i,-1.7599e-05-0.00030072i,-0.001357+0.0007736i,-0.0015264+0.00078532i,-0.0023448+0.00063849i,-0.0010517-0.00071469i,0.00098832-0.00083872i,-0.0016383+0.0011851i,0.00097636-0.00038883i,0.0010091-0.0013942i,0.00017098+0.00044227i,-0.0010833+0.0015496i,-7.5302e-05-0.0055438i,-0.00088006+0.0011537i,0.00080877-0.00058292i,0.00076083+0.0026068i,0.0056074+0.0031434i,0.00051093-0.0020374i,-0.002525-0.00070913i,-0.0027389-0.00097983i,0.0047944+0.0042966i,-0.0057344+0.0055427i,0.0019511-0.067564i,-0.064947+0.028527i,-0.034091-0.021769i,-0.074091-0.03921i,-0.053318-0.0059375i,-0.076984+0.020583i,-0.0705+0.016328i,-0.039475-0.031019i,-0.014406-0.043901i,-0.044958-0.01156i,-0.0070949+0.00057503i,-0.025026+0.022784i,0.01+0.0058604i,0.011408+0.00091501i,-0.002697-0.012045i,0.0077191+0.0028098i,-0.011393+0.0030067i,0.0076671+0.0098835i,0.0035998+0.0075552i,-0.00083413-0.0010729i,0.0064227+0.002008i,0.0047408+0.00011502i,0.0042317+0.016278i,0.0048049+0.0055556i,-0.0040173-0.0055389i,0.0023297-0.0067005i,0.002979+0.0048501i,-0.010741+0.00015687i,-0.0024497+0.0017823i,0.0069008-0.032264i,0.0081524+0.0077981i,0.0041113+0.0022051i,0.0018073+0.00305i,-0.00028126-0.0023594i,0.017013-0.0062765i,-0.00032756-0.0023207i,-0.0062764-0.004264i,-0.0031967-0.0010489i,0.010496+0.00028084i,0.0045176-0.00066902i,0.00049746-0.0060861i,0.0065476+0.0035652i,-0.0051281+0.005011i,0.013345+0.0016361i,-0.048654-0.031329i,-0.006615-0.0058529i,-0.0028407-0.0030062i,0.0017207+0.001242i,-0.034718+0.023897i,-0.0044999+0.0095858i,-0.011075+0.0049586i
-0.0048215+0.014358i,-0.0079718+0.042534i,0.015471+0.02648i,-0.00061943+0.024268i,0.0063915+0.017476i,0.010142+0.019265i,-0.020668+0.023366i,-0.011039+0.034796i,0.0039946+0.0080148i,-0.0018262+0.00057179i,0.0016187+0.0032992i,0.00237-0.00028069i,0.0043247+0.0017763i,-0.0008022+0.0030728i,-0.00085015+0.0055718i,-0.0068718-0.0015871i,-0.0080793+0.0077712i,-0.00096084+0.0013295i,0.0015628-0.0017119i,0.00017554-0.00039578i,-0.0010531-0.0030719i,0.00096406-0.0028601i,0.00082696-0.0015699i,-0.011992-0.0019176i,-0.00013429-0.00031068i,-0.00087343+0.0013965i,-0.00092488+0.00061176i,-0.0015605+0.0015842i,-0.0013002-0.00059802i,0.00056596-0.0014247i,-0.00081813+0.0017619i,0.00070485-0.00059941i,0.00022679-0.0013767i,0.00053593+0.00016659i,-0.00064865+0.002447i,0.000281-0.0060585i,-0.00072639+0.0010463i,0.00018926-0.00074836i,0.0023883+0.0013903i,0.0053975+0.00097762i,-0.00022732-0.002043i,-0.0019254+0.00039484i,-0.0034447+0.00016094i,0.005706+0.0023862i,-0.0051621+0.0041338i,-0.019758-0.068062i,-0.051222+0.037838i,-0.042896-0.018673i,-0.082051-0.024155i,-0.048954+0.00278i,-0.062564+0.031708i,-0.057611+0.028865i,-0.042109-0.034042i,-0.019459-0.043108i,-0.044232+0.0033295i,-0.0072323+0.0018083i,-0.01301+0.029112i,0.010489+0.0013373i,0.0081653-0.0048253i,-0.013344-0.012187i,0.0074792+0.00057588i,-0.0078531+0.0066972i,0.010639+0.0049394i,0.0060262+0.0066606i,-0.0028968+0.00043187i,0.0065208-0.0015725i,0.0057688-0.0022234i,0.0079348+0.010163i,0.0042697+0.0014009i,-0.0086057-0.0018204i,-0.00018162-0.0048755i,0.0058293+0.003774i,-0.0065538+0.0089317i,4.8718e-05+0.0030045i,-0.0036285-0.028409i,0.011999+0.0036361i,0.0042647+0.00020248i,0.0023862+0.0010589i,0.00047379-0.00010841i,0.01102-0.010673i,-0.0024424+0.0005743i,-0.0073239-0.00058078i,-0.0036489+0.0023119i,0.0067166-0.0024476i,0.0071119-0.0019474i,0.00016762-0.0057299i,0.0090739+0.00059317i,-0.002333+0.0060899i,0.01182-0.0026391i,-0.053698-0.02128i,-0.013147-0.01459i,-0.0019179-0.0039186i,0.0036447-0.0020125i,-0.023632+0.029923i,-0.0037723+0.0054898i,-0.0082616+0.00092677i
-0.0020812+0.012983i,-0.00070335+0.042717i,0.017468+0.019353i,0.0040616+0.023066i,0.010465+0.013977i,0.013396+0.015804i,-0.016216+0.026836i,-0.0057347+0.032473i,0.003378+0.0062226i,-0.0012634+0.0016011i,0.0028948+0.0020089i,0.0011667+0.0014354i,0.0041054+0.00069878i,-0.00060136+0.0037607i,0.00067095+0.0057077i,-0.0068576+0.0039194i,-0.0034128+0.010952i,-0.00011381+0.0012863i,0.00067688-0.0023845i,-8.8017e-05-0.0010573i,-0.0018412-0.0024255i,0.00035597-0.0031145i,0.00058589-0.0021504i,-0.011877+0.0020641i,-1.7218e-05-0.00041684i,0.00016711+0.0010551i,-0.00092489+0.00041714i,-0.00040921+0.0015419i,-0.0015725+8.0281e-05i,-0.00033962-0.0012889i,2.3351e-05+0.0017318i,0.0002764-0.00072909i,-0.0005397-0.0010855i,0.0003954-3.6501e-06i,0.00068199+0.0022625i,-0.00070567-0.0079578i,-0.00029808+0.0013744i,-0.00043643-0.00049448i,0.0019166-0.0006548i,0.0049286-0.0005622i,-0.00078938-0.0017881i,-0.0011978+0.00047916i,-0.0034691+0.0017645i,0.0046971+3.2599e-05i,-0.0053833+0.0038688i,-0.038986-0.057147i,-0.037549+0.040205i,-0.04976-0.011339i,-0.085976-0.0086357i,-0.042848+0.0082592i,-0.049899+0.035516i,-0.044252+0.031056i,-0.047052-0.030479i,-0.025327-0.038712i,-0.039892+0.015011i,-0.0073087+0.0032046i,-0.0010573+0.029384i,0.0094305-0.0031019i,0.0029802-0.0064432i,-0.021439-0.0035752i,0.0044678-0.00025044i,-0.0038681+0.0079293i,0.0092957-0.0012467i,0.0083328+0.0053393i,-0.0027993+0.0030981i,0.0033168-0.0025223i,0.0050952-0.0059348i,0.0076796+0.003935i,0.0014524-0.00021643i,-0.0080682+0.002284i,-0.0017572-0.0034866i,0.0071166+0.0014326i,0.0026475+0.0098512i,0.0015548+0.001973i,-0.0095415-0.022122i,0.012009-0.0011457i,0.0038632-0.001297i,0.0029311+0.00089893i,0.00083601-0.00011583i,0.0057953-0.010954i,8.0707e-06+0.0028649i,-0.0066327+0.0028528i,-0.00094059+0.0044267i,0.0046221-0.0018533i,0.0064691-0.0061926i,-0.0021168-0.0051377i,0.0080804-0.0045941i,-0.00030432+0.0048372i,0.0097713-0.0067187i,-0.05228-0.0090736i,-0.023528-0.014917i,-0.0029738-0.0079903i,0.0028083-0.0067435i,-0.014946+0.030252i,-0.0067927+0.0047972i,-0.011525-0.00013924i
-0.00044901+0.011607i,0.0059285+0.04115i,0.016856+0.013799i,0.0085867+0.020347i,0.012802+0.0094265i,0.015192+0.011978i,-0.010669+0.028686i,-0.0020145+0.030374i,0.0037383+0.0053156i,-8.5394e-06+0.0020293i,0.0030134+0.0010388i,0.0020367+0.0024592i,0.0038703-0.00028926i,0.0011088+0.0046221i,0.0022048+0.0054315i,-0.0040077+0.0076472i,0.0016814+0.011241i,0.00039416+0.0011216i,0.00028484-0.0022792i,-0.00066313-0.0012004i,-0.0025951-0.0017362i,-0.00050976-0.0029947i,-0.00030259-0.0024172i,-0.0094644+0.0051491i,-0.00036505-0.00077301i,0.00014926+0.00022129i,-0.00082558+0.00039422i,0.00017477+0.00091708i,-0.0012886+0.00084093i,-0.00043467-0.00073165i,0.00053324+0.0014704i,5.2063e-05-0.00093432i,-0.00094632-0.00051604i,0.00020705-5.4242e-05i,0.0010688+0.0014867i,-0.0034449-0.0089175i,8.9062e-05+0.0012888i,-0.00038495+0.00026425i,0.00052303-0.00098834i,0.0040346-0.0013783i,-0.0011607-0.0016186i,-0.00093445+0.0003836i,-0.002275+0.003002i,0.0032695+0.00037818i,-0.0049973+0.0045534i,-0.046438-0.04018i,-0.027441+0.038262i,-0.054716-0.0017156i,-0.087333+0.0084833i,-0.038459+0.00926i,-0.039136+0.036776i,-0.0351+0.030578i,-0.050177-0.026153i,-0.027752-0.034608i,-0.032597+0.025222i,-0.0067196+0.0046556i,0.011907+0.025048i,0.0071389-0.0056846i,-0.0016076-0.0052221i,-0.022948+0.0065155i,0.0032867+0.00027452i,-1.6169e-05+0.0086258i,0.004236-0.0030882i,0.010276+0.0025309i,-0.00129+0.004863i,0.0014707-0.0011824i,0.0024171-0.0086775i,0.0040979+0.0025694i,-0.0006318+0.0010825i,-0.0077224+0.007132i,-0.0028084-0.0012028i,0.007131-0.0013488i,0.0070802+0.0055374i,0.0022191+0.0010264i,-0.012194-0.019535i,0.0098133-0.0057431i,0.0027198-0.0024085i,0.0046952+0.00016126i,0.0010692+0.00012821i,0.0031375-0.0094929i,0.0022102+0.0018669i,-0.0037791+0.0060598i,0.0024737+0.0040072i,0.0045408-0.0017384i,0.0029297-0.010521i,-0.0027759-0.0033705i,0.0042908-0.0076107i,-0.00026476+0.0034125i,0.0050891-0.010218i,-0.046507-0.0032466i,-0.0333-0.0063841i,-0.0061226-0.0096356i,-0.00047495-0.0104i,-0.0084833+0.029597i,-0.0097049+0.0072092i,-0.012645+0.0028293i
0.0008653+0.010459i,0.012076+0.03896i,0.016068+0.010949i,0.011773+0.016406i,0.012903+0.0046636i,0.016431+0.0086871i,-0.0046936+0.028652i,0.00080199+0.028886i,0.0041971+0.0031679i,0.00072738+0.0013908i,0.0024943+0.00030627i,0.0030549+0.0025182i,0.003318-0.0011809i,0.0028239+0.0036605i,0.0034133+0.0046174i,-0.00014517+0.009213i,0.0062222+0.0092257i,0.00084715+0.00091708i,-0.00027582-0.0025021i,-0.001287-0.0010016i,-0.0026499-0.00047541i,-0.00098917-0.0026987i,-0.0010083-0.0020292i,-0.0074272+0.0060867i,-0.00082541-0.00049059i,-0.00026103-1.4668e-06i,-0.00083196+0.00040338i,0.00033339+0.00023774i,-0.00052374+0.0011601i,-0.00037993-0.00056856i,0.0010273+0.0012422i,-0.00053989-0.00090304i,-0.001007-2.2817e-05i,-1.0013e-05-0.00017487i,0.00129+0.0013845i,-0.0065795-0.0083339i,0.00020495+0.0008345i,9.1204e-05+0.00038817i,-0.00011901-0.00075929i,0.0032455-0.0019109i,-0.0015196-0.00097718i,-0.00088819+0.00041552i,-0.00071897+0.0032878i,0.0033507+0.001063i,-0.0040157+0.0053978i,-0.044879-0.027972i,-0.020418+0.035962i,-0.055489+0.011911i,-0.082144+0.0285i,-0.039129+0.010071i,-0.030533+0.035821i,-0.027321+0.029494i,-0.051915-0.019528i,-0.03086-0.031393i,-0.023235+0.030283i,-0.0064181+0.0064867i,0.018737+0.011299i,0.0049353-0.0080364i,-0.0046509-0.0018057i,-0.018235+0.0163i,0.0033379-0.00030883i,0.0043187+0.0063849i,0.0016425-0.001462i,0.011508-0.0020637i,0.000731+0.0061557i,0.0011888-0.00021225i,-0.0028318-0.0102i,0.0027336+0.0043953i,-0.00065821+0.0033703i,-0.0023556+0.012068i,-0.0015659+0.00078873i,0.0060166-0.0031839i,0.0082774+0.0014443i,0.0030651-0.00051972i,-0.018244-0.018097i,0.0060617-0.0080228i,0.0010127-0.0028819i,0.0038734-0.0018113i,0.0012022+0.00089092i,0.0023332-0.0079823i,0.0028905+0.00017526i,-0.00015142+0.0066825i,0.0037165+0.0013041i,0.0038261-0.0029008i,-0.0034966-0.010521i,-0.0031589-0.0031299i,0.00013457-0.0079654i,2.0457e-05+0.0027753i,-0.0011516-0.010259i,-0.044348+0.00078061i,-0.031139+0.0083453i,-0.0097995-0.0099937i,-0.0049789-0.011469i,-0.003488+0.02817i,-0.0083645+0.012053i,-0.0094078+0.004599i
0.0018875+0.0093157i,0.018057+0.036241i,0.016217+0.0087419i,0.013267+0.012136i,0.011425+0.0013588i,0.017394+0.0052131i,0.00055546+0.027262i,0.0035606+0.028157i,0.0039243+0.0017098i,0.00082587+0.0010748i,0.002102+0.00048286i,0.0045175+0.0022185i,0.0024319-0.0016768i,0.0035647+0.0019295i,0.0041743+0.0036616i,0.0033483+0.0089159i,0.0090744+0.0056974i,0.0012619+0.00066281i,-0.00095177-0.0025177i,-0.0016383-0.00033879i,-0.0021031+0.00038217i,-0.0015457-0.002486i,-0.0013952-0.0015489i,-0.0062719+0.0077504i,-0.00097083-0.00015024i,-0.0005872+0.00029873i,-0.00087029+0.00081792i,-0.0001502-0.00016162i,-0.0001673+0.00081792i,-0.00049222-0.00060777i,0.0014918+0.000735i,-0.00052583-0.00031628i,-0.00062902+0.000219i,-0.00014673-9.4056e-05i,0.0018002+0.00052332i,-0.0094764-0.0068669i,0.00027801+0.00064198i,0.00013077-2.5708e-05i,-0.00054268-0.0005459i,0.0024027-0.0023098i,-0.0013842-0.00035209i,-0.00051495+0.00056478i,0.00022966+0.0025449i,0.0037776+0.0005752i,-0.0023717+0.005565i,-0.043409-0.023592i,-0.015247+0.034345i,-0.049726+0.024469i,-0.070601+0.045154i,-0.039391+0.015657i,-0.023801+0.035266i,-0.022174+0.027103i,-0.052224-0.013818i,-0.033105-0.026663i,-0.015005+0.03307i,-0.0038433+0.0071222i,0.013655-0.0016457i,0.0011925-0.010591i,-0.0048568+0.0012147i,-0.010603+0.020392i,0.0022755-0.0013545i,0.0057717+0.0025579i,0.0021273-0.00038812i,0.0096947-0.0054922i,0.0046853+0.0061589i,0.0013278+0.0013428i,-0.0077527-0.0052696i,0.0042319+0.0055471i,0.00084267+0.0051137i,0.0039577+0.011548i,-0.00066881+0.001132i,0.0047232-0.0046898i,0.0083096-0.0040164i,0.0014796-0.0014676i,-0.024845-0.011408i,0.0030448-0.0084645i,-0.00032716-0.0018437i,0.0042683-0.00077798i,0.0018854+0.00064715i,0.0026315-0.0090828i,0.0022647-0.0013102i,0.0022415+0.0049796i,0.0032108+0.00044659i,0.0032542-0.002411i,-0.006942-0.0067123i,-0.0045132-0.0025195i,-0.0036722-0.0064686i,-0.00024831+0.001894i,-0.004769-0.0072184i,-0.041392+0.0060224i,-0.024661+0.01087i,-0.0096789-0.0086009i,-0.0083456-0.010328i,0.0015137+0.024852i,-0.0063216+0.013075i,-0.0082047+0.0040309i
0.0026912+0.008182i,0.023675+0.032586i,0.017063+0.0068782i,0.013577+0.0086958i,0.0094837-0.00061543i,0.017553+0.0017811i,0.0053482+0.024928i,0.0069569+0.027659i,0.003648+0.0002241i,0.00090146+0.00088871i,0.0025775+0.00061491i,0.0058558+0.00034419i,0.0016256-0.0017181i,0.0029748+0.00081756i,0.00485+0.0027666i,0.0063483+0.0068585i,0.0099158+0.002187i,0.0017084-4.563e-05i,-0.0017499-0.0023071i,-0.0014985+0.00055979i,-0.0013264+0.00090987i,-0.0020741-0.0017271i,-0.0015674-0.0011215i,-0.003266+0.0092729i,-0.001015+0.00030032i,-0.00038977+0.00069481i,-0.00057419+0.0012321i,-0.00083112+6.4613e-05i,-8.6375e-05+0.00074585i,-0.00061049-0.00052042i,0.0015493+6.172e-05i,-0.00014943-0.00033946i,-0.00069857+0.00033534i,-0.00021992+3.0771e-05i,0.0015656-0.00026039i,-0.011815-0.003679i,0.00025981+0.00060875i,-5.8151e-05-2.7523e-05i,-0.001031-0.00026448i,0.0018148-0.0024089i,-0.00097487-0.0001603i,-0.0001559+0.00047639i,0.00047093+0.0019888i,0.0038699-3.3815e-05i,-0.0010363+0.0046638i,-0.046418-0.020249i,-0.011192+0.032524i,-0.042243+0.033502i,-0.055205+0.055489i,-0.038159+0.021276i,-0.0169+0.033519i,-0.018325+0.026189i,-0.052045-0.0080897i,-0.034405-0.020997i,-0.0065751+0.034286i,-0.0020387+0.0068033i,0.0060781-0.0043251i,-0.0033896-0.010884i,-0.003179+0.0045565i,-0.0033069+0.020313i,0.00035454-0.0020151i,0.005018-0.00099909i,0.0015969-0.00028138i,0.0069521-0.008713i,0.0078927+0.0035299i,0.0026917+0.0017353i,-0.008474-0.0014221i,0.0063297+0.0058973i,0.0033738+0.0058435i,0.0089294+0.0085268i,-0.00013129+0.0015509i,0.0037993-0.0055516i,0.0051597-0.0080454i,0.00078761-0.00043138i,-0.028604-0.0019224i,0.00088871-0.0082858i,-0.0004927-0.0005669i,0.004924-0.0010935i,0.0021823+0.00011295i,0.0010463-0.011626i,0.00060434-0.0017413i,0.0037004+0.0037439i,0.0034252-0.0002476i,0.0044698-0.003009i,-0.0082924-0.0037071i,-0.0061097-9.4224e-05i,-0.0065934-0.0037992i,-0.00022332+0.00094695i,-0.0061421-0.0041329i,-0.037458+0.0096257i,-0.021942+0.012022i,-0.0089413-0.010287i,-0.010675-0.0086106i,0.0019759+0.022241i,-0.0057013+0.013153i,-0.006796+0.0036435i
0.0036349+0.0072461i,0.029402+0.027667i,0.018766+0.0043303i,0.013389+0.0060121i,0.0082466-0.0010808i,0.017201-0.0014125i,0.0091444+0.021347i,0.011408+0.026388i,0.0029907-0.0011411i,0.0010054+0.00065801i,0.0029283-6.8313e-05i,0.0053249-0.0024118i,0.0011177-0.0015757i,0.0027274+0.00028836i,0.0054509+0.0015156i,0.0074767+0.0038925i,0.0092872-0.0011161i,0.0012112-0.00087353i,-0.0026107-0.0015883i,-0.00074865+0.001039i,-0.00046075+0.00079561i,-0.0021322-0.001158i,-0.0017586-0.00067765i,0.00012579+0.0091041i,-0.00072624+0.00061463i,-6.8414e-05+0.00072503i,5.2216e-05+0.0014724i,-0.00093253+0.00071927i,0.00024599+0.00047467i,-0.00064675-0.0004369i,0.0012905-0.00049726i,-0.00049934-0.00040372i,-0.00057322+0.00058507i,-0.00028179+0.00011299i,0.0010322-0.0007421i,-0.012356+0.00051948i,0.00026079+0.00049689i,-3.4432e-05+2.1811e-05i,-0.0012747+0.00032225i,0.001199-0.0024819i,-0.00092823-0.0001264i,6.9646e-05+0.00019572i,0.00049786+0.0016641i,0.0038497-0.00066332i,-0.00049892+0.0037484i,-0.051354-0.013119i,-0.007244+0.030691i,-0.03142+0.039429i,-0.040349+0.061917i,-0.035967+0.029172i,-0.010473+0.030109i,-0.011971+0.024609i,-0.050699-0.001875i,-0.033224-0.015149i,0.00099938+0.033635i,-0.0012293+0.0061014i,0.000856-0.0050749i,-0.0082047-0.0097115i,0.00075317+0.0053844i,0.0016976+0.018381i,-0.0022142-0.0013705i,0.0032658-0.0041147i,0.0025705+0.0016521i,0.0022505-0.010613i,0.0090357-0.00097114i,0.0039086+0.0010372i,-0.0087343+0.0032104i,0.0097941+0.0048969i,0.0072035+0.0043323i,0.012072+0.0033243i,0.00076541+0.0019695i,0.0020753-0.0064741i,-0.00079696-0.008649i,0.0018645+0.00073607i,-0.02875+0.0088615i,-0.0011864-0.0080721i,0.00019994+0.00065487i,0.005501-0.0045879i,0.0027601-0.00030454i,-0.0037934-0.013048i,-0.00051015-0.00092577i,0.0044716+0.0019729i,0.0033054-0.00054295i,0.0039778-0.0047195i,-0.0081599+0.00074409i,-0.0056575+0.0033198i,-0.00787-0.00037822i,-0.0014056-0.0001804i,-0.006256-0.001634i,-0.034726+0.012153i,-0.020148+0.016391i,-0.011342-0.014201i,-0.010115-0.0065961i,0.0039295+0.021643i,-0.006+0.0155i,-0.0049087+0.0017981i
0.0044714+0.0060372i,0.03375+0.021131i,0.019948+0.0001295i,0.013159+0.0037623i,0.0079424-0.0013555i,0.016614-0.0043376i,0.011439+0.0175i,0.015447+0.023682i,0.0020173-0.002116i,0.00087873+0.00059956i,0.0027609-0.00081002i,0.0032209-0.0038409i,0.00069856-0.0014461i,0.0022782-7.3941e-05i,0.0055054+9.821e-05i,0.0069394+0.0015833i,0.0078646-0.0034425i,0.00070637-0.0011018i,-0.0027136-0.00061346i,-2.6094e-05+0.001015i,0.00025347+0.00038077i,-0.0020049-0.0007549i,-0.0016634-0.00025529i,0.0028858+0.0084526i,-0.00043033+0.00065844i,0.00012441+0.00073167i,0.00053615+0.0012525i,-0.0004893+0.0012055i,0.00018355+5.5135e-06i,-0.00092158-0.00032469i,0.00090346-0.00084942i,-0.00083829-7.2937e-05i,-0.00028131+0.00077245i,-0.00028582+0.0002844i,0.00042909-0.00099092i,-0.011168+0.0040104i,0.00030504+0.00031725i,-0.00016573-8.87e-05i,-0.0010569+0.0010358i,0.00060486-0.0027299i,-0.00084458+0.00019442i,2.2282e-05-0.00029342i,0.00069784+0.0016641i,0.0038499-0.0014226i,-9.9568e-05+0.0032763i,-0.053409-0.0021124i,-0.0050935+0.029095i,-0.021603+0.04085i,-0.023901+0.065814i,-0.029381+0.038124i,-0.0066688+0.024941i,-0.0079245+0.019263i,-0.047122+0.0030819i,-0.030066-0.0097196i,0.0094432+0.030774i,-0.00080126+0.006055i,-0.0050228-0.0032781i,-0.011911-0.00623i,0.003506+0.0031175i,0.0056034+0.016003i,-0.005084+0.00088532i,-0.00046167-0.0063727i,0.0052442+0.00039435i,-0.0027432-0.0095083i,0.0069146-0.004445i,0.0048251-0.00069843i,-0.0070819+0.0070674i,0.012444+0.00022375i,0.0088309-0.00039368i,0.011792-0.0040555i,0.0021446+0.0015124i,-5.9285e-05-0.0065846i,-0.0043137-0.0052722i,0.0033945-0.0005023i,-0.02363+0.021661i,-0.0030414-0.0066598i,0.0017039+0.00094081i,0.0023704-0.0066452i,0.0028223-0.00089397i,-0.0095789-0.010892i,2.0125e-05+0.00062955i,0.0046903+4.2393e-05i,0.0027748-0.0011797i,0.0026342-0.0056842i,-0.0062753+0.0040343i,-0.003219+0.0052773i,-0.0076701+0.0036579i,-0.0034286+0.00034899i,-0.0057047-0.00030415i,-0.030915+0.016853i,-0.012002+0.019701i,-0.017702-0.015048i,-0.0089426-0.0070768i,0.0053346+0.020649i,-0.0033157+0.018885i,-0.0051785-0.001631i
