-0.023964-0.038712i,-0.010457-0.049961i,-0.017363-0.045582i,-0.030489-0.035289i,-0.029867-0.01695i,-0.050647-0.028649i,-0.058132-0.026511i,-0.044047-0.038252i,-0.024043-0.029293i,0.0078995+0.012853i,-0.005784+0.015749i,-0.0049461+0.014712i,0.0094018+0.020952i,0.00032363+0.0045972i,0.0035405+0.0034895i,0.0063588+0.018043i,0.024693+0.034046i,-0.0027869-0.0011156i,-0.0048936-0.0062901i,0.0066367+0.0028419i,-0.0002172-0.00086076i,-0.0012737+0.0016044i,0.00020486-0.00043853i,-0.029081-0.0025958i,-0.0014578-0.0057288i,0.0018809+0.0045774i,0.0032028-0.00039225i,-0.00023971+0.00076645i,0.00059591-0.00032936i,-0.00084252-0.0027118i,-0.0018885-0.0058331i,-0.0043552-0.0048093i,-0.0023872-0.0043012i,0.0024709-0.00042296i,0.0021828-0.0028564i,-0.0028299+0.025713i,0.001293-0.003463i,0.0028101+0.00088622i,0.0057975+0.0011967i,-0.011215-0.0018866i,-0.0039222+1.6434e-05i,0.0057005+0.00040457i,0.0063851+0.00054648i,-0.0035438+0.004851i,0.0021346-0.0095513i,-0.011651+0.017751i,0.035488-0.090124i,0.0125-0.07013i,-0.015465-0.059759i,-0.015024-0.056701i,0.039388-0.046336i,0.016708-0.062739i,0.034613-0.056011i,0.030881-0.060115i,0.015302-0.013265i,0.0044803+0.01736i,0.017579-0.026331i,-0.011769+0.0059675i,-0.00082882+0.0053253i,-0.0054047-0.0010397i,-0.0019038-0.028766i,-0.023538+0.031827i,0.010183-0.011269i,-0.012909-0.002944i,-0.00036033-0.0050201i,-0.0012263-0.016346i,-0.0079235+0.0044895i,0.0053661+0.0061025i,-0.008499+0.029639i,0.0052747+0.0057303i,-0.0052829-0.00071039i,-0.0031499-0.00026497i,-0.011532-0.0085353i,-0.00082483-0.0041978i,-0.033615+0.027974i,0.00029263-0.0098952i,-0.0089966-0.002303i,-0.0064712-0.0030117i,0.0063881+0.0032009i,-0.0074439+0.001592i,-8.8321e-06+0.0004513i,0.0062975+0.011715i,0.0036153+0.0012069i,-0.0092746-0.01008i,0.0032766+0.0081045i,-0.022664+0.0045032i,0.0080164-0.00011648i,-0.028907-0.003767i,-0.042036+0.0043115i,0.021135-0.098272i,-0.0016874-0.012387i,-0.052837-0.022214i,-0.02281+0.00063067i,0.018116+0.010954i,-0.024509+0.012968i,-0.019632-0.012028i
-0.032298+0.01783i,-0.052371+0.019763i,-0.031973+0.045965i,-0.031347+0.024288i,-0.02837+0.039445i,0.0046497+0.047022i,-0.0029237+0.023699i,-0.01723+0.039065i,-0.013619+0.020696i,-0.0037952-0.0039488i,-0.0040556-0.0034137i,-0.0015984-0.003196i,-0.0038817-0.00094025i,-0.0068445-0.0043198i,-0.0019551+0.00401i,-0.0031126-0.0016859i,-0.010762-0.0046712i,-0.0014399-0.00037689i,0.0025738-0.0010799i,0.0020768-0.00078292i,0.0027069-0.0035472i,0.0023152-0.0036896i,0.0013199-0.0026657i,-0.0088985-0.0087939i,-0.0018158+0.00060312i,-0.0033322+0.0012627i,-0.0019452-0.00032902i,-0.0038058-0.0007922i,-0.001236-0.0013858i,0.0014716-0.0018327i,-0.0024398+0.0060853i,0.0016331-2.393e-05i,0.0026631-0.00013776i,0.00084534+0.001668i,-0.0013204+0.0032569i,-0.00092052-0.006878i,-0.0017399-0.00012406i,0.00021227-0.00027822i,-0.00061391+0.0047809i,0.0073303+0.0042176i,0.0012837-0.003336i,0.0031983-0.0041923i,-0.0032882+0.0020829i,-0.00033347+0.0029196i,-0.032979-0.005941i,0.010599-0.077797i,-0.092182-0.030232i,-0.052423-0.035909i,-0.075688-0.050563i,-0.058507-0.0057324i,-0.094169+0.018391i,-0.058567+0.011349i,-0.048889-0.025482i,-0.032869-0.056321i,-0.024362-0.029633i,0.0030581+0.0052743i,-0.01931+0.010531i,0.0092673+0.0034359i,0.011259+0.0045238i,0.000736-0.0067483i,0.0081995+0.00065595i,-0.0070743-0.0044264i,0.0036043+0.014916i,-0.0014123+0.0078635i,0.0008718+0.0016575i,0.0060769+0.0034464i,0.0020158-0.00066024i,-0.0011458+0.015275i,-0.00032187+0.011597i,0.0033592-0.0053839i,0.01029-0.0073329i,0.002286+0.0025902i,-0.0080403-0.0077138i,-0.0021425-0.0027304i,0.01786-0.024186i,0.0063912+0.0038486i,0.0033101+0.0048104i,-0.003406+0.0027027i,0.0022281-0.0037415i,0.021477+0.0028765i,0.0020827-0.0028059i,-0.00078679-0.0091573i,0.00078028-0.0023602i,0.012997+0.0031237i,0.0047137+0.0002152i,0.0040448-0.0068572i,0.0024959+0.0088442i,0.0045074-0.0007718i,0.02486+0.0049369i,-0.081581-0.036237i,-0.0064708+0.020134i,0.006991-0.0027637i,-0.0015598+0.002982i,-0.036641+0.012602i,-0.0071174+0.0067465i,-0.017018+0.013435i
-0.027992+0.021675i,-0.048171+0.024897i,-0.020928+0.044299i,-0.027321+0.028521i,-0.021815+0.040863i,0.013566+0.044365i,0.00024553+0.023279i,-0.0090795+0.040701i,-0.00947+0.018107i,-0.0049751-0.00175i,-0.0044733-0.0010149i,-0.0025674-0.0034586i,-0.0045954-0.00045937i,-0.0069749-0.0016018i,-0.00077419+0.0050231i,-0.0053839+0.00039244i,-0.012447+0.00064848i,-0.0011004+0.00037148i,0.002938-0.0017006i,0.0021147-0.0017213i,0.0014238-0.0039726i,0.0015908-0.0038581i,0.00089045-0.0027013i,-0.010412-0.0054386i,-0.001097+0.00088756i,-0.003357+0.0025642i,-0.0013951+0.00033751i,-0.0033969+0.000325i,-0.0017642-0.0011517i,0.00082982-0.0018968i,0.00066293+0.0065999i,0.0012083-0.0003866i,0.0018921-0.0010534i,0.00080691+0.0016704i,-0.0011012+0.0027579i,-0.0011083-0.0061879i,-0.00046715+0.00057587i,-0.00066607-0.00044964i,1.2327e-05+0.0057791i,0.0071689+0.00060466i,0.00033656-0.0035177i,0.0014052-0.0056845i,-0.0034416+0.0031185i,0.00031041+0.0030731i,-0.033282-0.0051608i,-0.013445-0.088581i,-0.089347-0.012085i,-0.061175-0.033909i,-0.087414-0.039225i,-0.057613+0.0044445i,-0.084132+0.035972i,-0.054408+0.023358i,-0.041349-0.02469i,-0.039957-0.051525i,-0.030983-0.018523i,0.0043908+0.0018577i,-0.012871+0.019692i,0.0092124-0.0005679i,0.012285-0.0019176i,-0.0039228-0.011039i,0.0036958+0.0002487i,-0.0087854+0.0011159i,0.0092971+0.012018i,0.00043362+0.0098741i,0.00099703+0.001277i,0.0071348+0.0030119i,0.0027008+0.00043639i,0.0051854+0.011619i,0.0061094+0.0080142i,-0.0019139-0.0071817i,0.0030624-0.0082335i,0.003244+0.0028892i,-0.010511-0.00049331i,-0.0027476+1.6761e-05i,0.0066595-0.026741i,0.0073249+0.0028942i,0.0073279+0.0036482i,-0.0012139+0.0032017i,-0.00040638-0.001187i,0.019369-0.0073757i,0.00029544-0.0033279i,-0.0056555-0.0070629i,-0.0026853-0.0015523i,0.011307-0.0016502i,0.0041133+0.0010418i,0.001571-0.0047948i,0.0051624+0.0076536i,0.003335-0.0012863i,0.024568-0.0028093i,-0.085784-0.026496i,0.00273+0.0089486i,0.0061259-0.0032583i,-0.0005285+0.00084051i,-0.029062+0.022442i,-0.0054394+0.0074634i,-0.013414+0.01605i
-0.022865+0.024287i,-0.044853+0.029913i,-0.014448+0.040187i,-0.022692+0.030868i,-0.014429+0.042855i,0.021351+0.039518i,0.0037331+0.022894i,-0.00099944+0.039666i,-0.0087704+0.016256i,-0.0053342+0.00057813i,-0.0034816+0.00082351i,-0.0058153-0.0029421i,-0.0049911+0.0016245i,-0.0071191+0.00035232i,0.001172+0.0055306i,-0.0060752+0.0039277i,-0.011812+0.0059141i,8.1973e-05+0.0010121i,0.0031204-0.0032891i,0.0017665-0.0029432i,0.00011451-0.0044557i,0.00069154-0.0045965i,0.00051707-0.0028978i,-0.011435-0.0025296i,-0.000875+0.0010899i,-0.0017308+0.0039303i,-0.00096469+0.00028497i,-0.0025488+0.0015947i,-0.0021595-0.0006666i,-0.00018651-0.0026962i,0.002998+0.0053546i,0.00073162-0.00057135i,0.0013488-0.0013303i,0.0015794+0.0010453i,-6.4253e-05+0.0036118i,-0.001251-0.0061546i,-0.00072337+0.0004711i,-0.0011113-0.00014831i,0.0047094+0.0038062i,0.0055537-0.0016405i,-0.00075528-0.0029436i,0.0011176-0.0027128i,-0.0032543+0.0047817i,0.0011558+0.0020149i,-0.035384-0.0024075i,-0.042528-0.087279i,-0.079734+0.0013535i,-0.070868-0.026535i,-0.094815-0.023996i,-0.053+0.013041i,-0.068698+0.047695i,-0.040567+0.033345i,-0.044909-0.02592i,-0.046257-0.047707i,-0.031023-0.0056605i,0.0044982-0.0013509i,-0.0028423+0.02244i,0.0081866-0.003359i,0.0082046-0.007365i,-0.014078-0.010718i,0.0024845-0.00026992i,-0.0048944+0.0055033i,0.012165+0.0063326i,0.0036024+0.012212i,8.9586e-05+0.0017658i,0.0077691-0.00084497i,0.0044399-0.0014359i,0.006978+0.0064355i,0.0054421+0.0022751i,-0.0069978-0.0036305i,0.00057183-0.0061849i,0.0053234+0.0017259i,-0.005765+0.0082967i,-0.00092611+0.0015679i,-0.0043931-0.024837i,0.0092008-0.00020503i,0.0070983-0.00025913i,0.0010531+0.0015928i,0.00082207+0.00073917i,0.012573-0.012876i,-0.002241-0.00056619i,-0.0085305-0.0033983i,-0.0033904+0.002048i,0.0075695-0.0044813i,0.0074926-0.00082359i,0.0022955-0.0050094i,0.0088499+0.0046898i,0.0043791-0.0027891i,0.021372-0.010356i,-0.089534-0.012666i,0.00065277-0.0015735i,0.0059078-0.0090212i,-0.0005901-0.0017315i,-0.01941+0.02652i,-0.0055663+0.0032981i,-0.005873+0.013042i
-0.017591+0.024806i,-0.040437+0.035596i,-0.010861+0.037095i,-0.017645+0.033977i,-0.0059191+0.042089i,0.02765+0.033294i,0.0079905+0.022028i,0.0058296+0.036688i,-0.0086544+0.016889i,-0.0042139+0.0028131i,-0.0028617+0.0010548i,-0.0077852+0.00074949i,-0.0044504+0.0033594i,-0.0071138+0.0029502i,0.0029121+0.0049089i,-0.0044401+0.007733i,-0.0082432+0.010937i,0.0010983+0.00010768i,0.0016649-0.0044993i,0.00013354-0.0041978i,-0.0013986-0.0041844i,-0.00053097-0.004646i,-5.9014e-05-0.0034351i,-0.01176+0.0010367i,-0.00040424+0.00077852i,0.00028297+0.0034772i,-0.0010371+0.00020056i,-0.0014556+0.0018829i,-0.0024516+0.00036819i,-0.0017826-0.0021052i,0.003938+0.0034018i,0.0003199-0.0005321i,0.00064641-0.0016411i,0.0016631+0.00030176i,0.0017988+0.0031576i,-0.0022611-0.0072625i,-0.00067328+0.0009435i,-0.001333+0.00040695i,0.0045692-0.0013513i,0.0039261-0.0025528i,-0.0010563-0.0024627i,0.00037089-0.0010661i,-0.0074648-0.0011417i,-0.00057402-0.00026371i,-0.037112+0.0020036i,-0.067513-0.07102i,-0.070207+0.0069154i,-0.078177-0.01508i,-0.099161-0.0076983i,-0.046949+0.018552i,-0.054847+0.053523i,-0.026298+0.032862i,-0.047905-0.020293i,-0.0527-0.040385i,-0.028806+0.0019018i,0.0023635-0.0040399i,0.005834+0.020207i,0.0067875-0.0060598i,0.0025235-0.0087812i,-0.023785+0.0041258i,-0.00039684+0.00082831i,-0.00082326+0.0055317i,0.010832+0.00038246i,0.0088502+0.011488i,0.00066933+0.0029646i,0.0048444-0.0025038i,0.0042018-0.0046898i,0.0059161+0.0018204i,0.0027244+0.00061986i,-0.0069269+0.00067271i,-0.0014118-0.0049384i,0.0058719-0.00048472i,0.0041844+0.0081262i,4.5599e-06+0.0009197i,-0.0091338-0.019895i,0.008128-0.0033499i,0.005849-0.0031069i,0.0020867+0.0022289i,0.0018645+0.00019005i,0.0068754-0.013356i,-3.087e-05+0.0017286i,-0.0093563+0.00098586i,-0.00082199+0.0038665i,0.0047629-0.0042118i,0.0068505-0.0048735i,0.00017034-0.0052459i,0.0094027-0.00067094i,0.0027877-0.0057724i,0.016651-0.01687i,-0.086674+0.0024306i,-0.0062066-0.0055364i,0.0039494-0.013741i,-0.0014682-0.004016i,-0.01249+0.025578i,-0.0093062+0.0034208i,-0.0074075+0.013157i
-0.013768+0.024778i,-0.035561+0.040778i,-0.0095091+0.035561i,-0.01134+0.03591i,0.0011077+0.039167i,0.032028+0.026245i,0.012368+0.019707i,0.011241+0.033216i,-0.0067369+0.018673i,-0.0025647+0.0039215i,-0.0030534+0.0019459i,-0.007025+0.0044484i,-0.0035244+0.0048066i,-0.0054403+0.0056544i,0.0044282+0.0038142i,-0.0011358+0.009883i,-0.0028247+0.013338i,0.0010115-0.00055309i,0.00038055-0.004451i,-0.0018919-0.0038964i,-0.0028137-0.0033925i,-0.0019596-0.0041203i,-0.0013749-0.0034735i,-0.0095771+0.0039533i,-0.00089003+0.00025184i,0.00051763+0.0019099i,-0.0011828+0.00030616i,-0.00067813+0.0017991i,-0.0020138+0.0014951i,-0.0019318-0.00064413i,0.0057068+0.0017024i,0.00020704-0.00054094i,-7.829e-05-0.0014093i,0.0013387-0.00036079i,0.0022726+0.0018233i,-0.0045359-0.0076115i,-0.00040581+0.0013044i,-0.00092463+0.0012725i,0.00062397-0.0018796i,0.0027952-0.0024514i,-0.0015947-0.0021439i,-0.00021032-0.0012576i,-0.0019534+0.0048726i,-0.0031734+0.0013864i,-0.037379+0.0083859i,-0.077138-0.046902i,-0.064758+0.0084865i,-0.082895-0.0012916i,-0.10044+0.010716i,-0.042308+0.021223i,-0.041197+0.056645i,-0.016981+0.029701i,-0.049066-0.01503i,-0.056136-0.032923i,-0.027314+0.0098828i,-0.00011781-0.0051826i,0.014665+0.015163i,0.0044979-0.0076229i,-0.0025769-0.0074182i,-0.019777+0.01187i,-0.00071412+0.0033219i,0.0018681+0.0057963i,0.0066253-0.0015026i,0.013946+0.0085687i,0.0018161+0.0031225i,0.0027848-0.0016629i,0.0022556-0.007047i,0.0029967+0.0014334i,0.00065124+0.0017354i,-0.0067421+0.0049463i,-0.0028958-0.0024953i,0.0052023-0.0025796i,0.0073026+0.004523i,0.00043441+0.00063758i,-0.010015-0.01574i,0.0061787-0.0056188i,0.0040151-0.0051149i,0.0044322+0.0016769i,0.0021453-0.00025658i,0.0034859-0.012398i,0.0016559+0.001427i,-0.0068256+0.0060525i,0.0015794+0.0035223i,0.0037131-0.0034615i,0.0034326-0.0086052i,7.8036e-06-0.0043758i,0.006058-0.0046998i,-0.00077512-0.0067253i,0.0087742-0.022315i,-0.08048+0.012414i,-0.01477-0.0022995i,-0.0011477-0.016566i,-0.0026152-0.0065277i,-0.0079531+0.024848i,-0.01231+0.0063725i,-0.0063506+0.013162i
-0.010725+0.024863i,-0.029917+0.045546i,-0.0080537+0.037136i,-0.0050273+0.03554i,0.0055994+0.035093i,0.035083+0.019285i,0.016516+0.015949i,0.015982+0.029447i,-0.0040541+0.019099i,-0.001293+0.0038204i,-0.0033142+0.0035225i,-0.0049514+0.0068813i,-0.0019797+0.0063054i,-0.0030016+0.0067109i,0.0051535+0.0022803i,0.0024392+0.010305i,0.0029743+0.012826i,0.00093159-0.00066558i,-0.00099705-0.0046085i,-0.0031494-0.002691i,-0.0033542-0.0018971i,-0.0027666-0.0033061i,-0.0022949-0.0027066i,-0.0077571+0.0049231i,-0.0015647+0.00090662i,3.2038e-05+0.0016958i,-0.0014112+0.00077856i,-3.62e-05+0.0014081i,-0.0010451+0.0019114i,-0.0016277+0.00010582i,0.0059616-0.0011049i,1.5217e-05-0.00062568i,-0.00061376-0.0011053i,0.00087619-0.00090828i,0.0022665+0.0012649i,-0.0074471-0.0064399i,-0.00025648+0.0012526i,-2.7647e-05+0.0015766i,-5.5399e-05-0.0013437i,0.0021239-0.0021618i,-0.0019437-0.0014624i,-0.00055048-0.0016449i,0.00061585+0.0051771i,-0.0034725+0.004429i,-0.035843+0.01556i,-0.074973-0.029835i,-0.062294+0.011357i,-0.083008+0.015763i,-0.09502+0.031582i,-0.040643+0.02391i,-0.029518+0.055941i,-0.0096686+0.025608i,-0.048121-0.0086335i,-0.059901-0.025771i,-0.023105+0.014771i,-0.0035991-0.0047885i,0.018083+0.0025595i,0.0025492-0.009351i,-0.0060053-0.0036949i,-0.013307+0.018948i,0.00069595+0.0040188i,0.0054589+0.0039578i,0.0049393-0.00024775i,0.018289+0.00089383i,0.0026292+0.0032252i,0.0023158-0.00089992i,-0.0028421-0.0091206i,0.0019509+0.0027549i,0.00078181+0.0039135i,-0.0021105+0.0095301i,-0.001809-0.00030435i,0.0036765-0.0035239i,0.0087731+0.00051279i,0.0011657-9.8232e-05i,-0.014749-0.015808i,0.0034571-0.0066042i,0.0014138-0.0062753i,0.0037317-0.0002532i,0.0020107+1.9565e-05i,0.0017271-0.01112i,0.0022754+0.00012641i,-0.0023162+0.0086506i,0.0025198+0.0015443i,0.0027775-0.003962i,-0.0020573-0.0088938i,-0.00080998-0.0054489i,0.0030768-0.005063i,-0.0029574-0.0066021i,-0.0010265-0.022731i,-0.076755+0.020961i,-0.013331+0.0081422i,-0.0064392-0.016605i,-0.0058745-0.0076874i,-0.0055368+0.024323i,-0.011114+0.011214i,-0.0022134+0.012603i
-0.0074114+0.025305i,-0.023199+0.05004i,-0.0041482+0.039729i,-2.4844e-05+0.034064i,0.0080595+0.032518i,0.036941+0.012152i,0.019342+0.011359i,0.019602+0.025462i,-0.0012665+0.019812i,-0.00062951+0.0038352i,-0.0019873+0.0059079i,-0.0019097+0.0085112i,3.6225e-05+0.0070101i,-0.00083604+0.006693i,0.0052432+0.0007887i,0.0057969+0.0092562i,0.0071683+0.010332i,0.00085405-0.00069141i,-0.002454-0.0040367i,-0.0037267-0.0010478i,-0.0031019-0.00068998i,-0.0034881-0.0024273i,-0.0027933-0.0018269i,-0.0071348+0.0065i,-0.0012924+0.0018287i,5.2241e-05+0.0021224i,-0.0010951+0.0018133i,-0.00013994+0.00084893i,-0.00040742+0.0017118i,-0.0012475+0.00045066i,0.0044691-0.0022033i,3.8773e-05-0.00036441i,-0.00059631-0.00089862i,0.00043435-0.0011695i,0.002608+0.00012561i,-0.0095175-0.0045983i,0.00013981+0.0013684i,0.00067288+0.0014666i,-0.00059984-0.0011367i,0.0018353-0.0022447i,-0.0018929-0.00070175i,-0.0010707-0.0016807i,0.0021245+0.0040428i,-0.0020034+0.0060331i,-0.031717+0.021118i,-0.073636-0.022621i,-0.061369+0.016055i,-0.076396+0.030839i,-0.083392+0.049114i,-0.038257+0.029616i,-0.019909+0.055156i,-0.0055165+0.020667i,-0.046546-0.0038522i,-0.062313-0.016757i,-0.019671+0.01777i,-0.0046769-0.0042217i,0.01157-0.0082133i,-0.0005996-0.011172i,-0.0065318-8.2714e-05i,-0.0053231+0.020352i,0.0012162+0.0034289i,0.0067547-0.00041048i,0.0060022-0.00056495i,0.016149-0.0057425i,0.0047706+0.0028633i,0.0024545+0.00047707i,-0.0075341-0.0041478i,0.0029451+0.0040769i,0.0023763+0.0050331i,0.0042251+0.0078457i,-0.0011875-9.0006e-05i,0.0024983-0.0038848i,0.0078738-0.0044497i,6.4667e-05-0.00081954i,-0.021433-0.010237i,0.0013932-0.0064836i,-0.0010268-0.0043294i,0.0042816+0.00058871i,0.0018894-0.00054771i,0.00054151-0.012394i,0.0019648-0.00109i,0.001488+0.0065311i,0.0026247+0.0011785i,0.002252-0.0033981i,-0.0054391-0.005429i,-0.0041735-0.0055076i,0.00029791-0.005253i,-0.005463-0.006207i,-0.0084354-0.019149i,-0.070923+0.03022i,-0.0083921+0.007067i,-0.0073996-0.015307i,-0.0079954-0.0071544i,-0.0014827+0.023037i,-0.0097834+0.013026i,-0.00032818+0.0095978i
-0.0039075+0.025169i,-0.015019+0.053619i,0.0016767+0.042033i,0.0042844+0.032881i,0.01044+0.031156i,0.037313+0.0051289i,0.021097+0.0063342i,0.022933+0.021444i,0.0021416+0.019844i,0.00018484+0.0040948i,0.00095911+0.0070165i,0.0015387+0.0083097i,0.0020977+0.0068637i,0.00062027+0.0065776i,0.0051106-0.00043241i,0.0085259+0.006831i,0.0097132+0.0072973i,0.0010845-0.0015547i,-0.0034006-0.0030869i,-0.0032546+0.00065115i,-0.0025968+0.00024779i,-0.0038797-0.0009682i,-0.0030437-0.00095997i,-0.004475+0.0085634i,-0.00063846+0.0025978i,0.00094756+0.0022863i,-0.00030258+0.0019891i,-0.00054535+0.00099756i,0.00013675+0.0016626i,-0.0010195+0.00076688i,0.0030773-0.0040219i,0.00037111-0.00079459i,-0.0010068-0.00087931i,-0.00015337-0.0012035i,0.001944-0.0010123i,-0.011243-0.0010239i,0.00045003+0.0012608i,0.0010773+0.0013762i,-0.0015687-0.00071477i,0.0017483-0.0021286i,-0.0016167-0.00028644i,-0.0016252-0.0011522i,0.0028851+0.0027944i,-0.00016646+0.0074336i,-0.027545+0.024215i,-0.078424-0.016181i,-0.059911+0.022204i,-0.068308+0.042565i,-0.067931+0.060462i,-0.034127+0.034715i,-0.010649+0.053213i,-0.0027987+0.017638i,-0.044898+0.00057561i,-0.062485-0.0064999i,-0.015594+0.020997i,-0.0061421-0.003201i,0.0033653-0.0098614i,-0.0047028-0.011305i,-0.0051344+0.0037519i,0.0016953+0.01762i,0.00082504+0.0028564i,0.0052989-0.0047959i,0.0051983-0.0018149i,0.011613-0.011347i,0.0063951+0.00068058i,0.0035198+0.00067972i,-0.0079048-0.00051966i,0.0049355+0.0047412i,0.0046648+0.0054935i,0.0085693+0.0053536i,-0.0010011+0.00088583i,0.0019695-0.0039448i,0.0041913-0.0084221i,-0.00047654+0.0007312i,-0.022862-0.0015175i,-0.00012161-0.0066708i,-0.0016562-0.0024216i,0.0055214-0.00060186i,0.0016888-0.00088477i,-0.0025945-0.013871i,0.00083096-0.0016641i,0.0038144+0.0058022i,0.003312+0.00030877i,0.0031227-0.0035675i,-0.0072028-0.0027377i,-0.0075683-0.0019159i,-0.002757-0.0039433i,-0.0071746-0.005071i,-0.013115-0.013661i,-0.064483+0.036773i,-0.0081675+0.0056937i,-0.0080464-0.017807i,-0.0095761-0.0058779i,-9.9439e-05+0.022213i,-0.0088865+0.015055i,0.00037074+0.0081664i
-0.00024114+0.025069i,-0.0052318+0.055557i,0.0094836+0.042518i,0.0084079+0.031669i,0.014014+0.030873i,0.036767-0.0015323i,0.021491+0.00082719i,0.026052+0.017057i,0.0059689+0.018727i,0.00097487+0.0038855i,0.003459+0.0057296i,0.0038145+0.0063459i,0.0040401+0.0062131i,0.0024547+0.0061728i,0.0047473-0.0016593i,0.0097051+0.0035454i,0.010961+0.0038804i,-6.519e-05-0.0022787i,-0.0042061-0.0017778i,-0.0019842+0.0015435i,-0.0016737+0.00051853i,-0.0034507+0.00010941i,-0.0031395+3.1351e-05i,-0.0012665+0.0090049i,0.00038252+0.0027927i,0.0017094+0.0016816i,0.0003789+0.0020485i,-0.00025232+0.0015491i,0.00085525+0.0011605i,-0.00066274+0.00084631i,0.0012697-0.0045633i,-0.00017016-0.0011074i,-0.0015058-0.00031048i,-0.0006937-0.00096373i,0.0010801-0.0016026i,-0.010796+0.0030892i,0.00066976+0.001138i,0.0015318+0.0009017i,-0.0020633+6.935e-05i,0.0014862-0.0025843i,-0.0014812-6.6106e-05i,-0.0015383-0.00083805i,0.0027857+0.0016268i,0.0021945+0.008171i,-0.023594+0.027717i,-0.086407-0.0033121i,-0.05551+0.028039i,-0.057256+0.051115i,-0.052701+0.068199i,-0.029118+0.04094i,-0.0012423+0.048785i,0.0024576+0.014162i,-0.042619+0.0053383i,-0.059831+0.0038643i,-0.011256+0.024296i,-0.0079408-0.0018996i,-0.0024467-0.009168i,-0.0090782-0.0099315i,-0.0013434+0.0051308i,0.0047857+0.013076i,-0.00027209+0.0028247i,0.0027001-0.0078541i,0.0055697-0.001022i,0.0047196-0.013838i,0.0065733-0.0028077i,0.0047307-0.00018336i,-0.0080356+0.0038459i,0.0079224+0.0040415i,0.0079272+0.0034515i,0.0098127+0.0019461i,0.00029193+0.001718i,0.0011405-0.0041359i,-0.00070248-0.0083067i,0.0011372+0.002162i,-0.020097+0.0067546i,-0.0015445-0.0062531i,-0.0013085-0.00054493i,0.0068376-0.0048752i,0.0016565-0.0006644i,-0.0085027-0.013086i,-0.00014231-0.001323i,0.0061372+0.0034228i,0.0033433-0.00020793i,0.0024957-0.0046614i,-0.0070257+0.0018047i,-0.0073784+0.0028818i,-0.0046937-0.0018098i,-0.0090078-0.0036979i,-0.014651-0.0083739i,-0.059071+0.04274i,-0.0087842+0.0087379i,-0.012493-0.021796i,-0.0085647-0.0047219i,0.0031192+0.022158i,-0.0079629+0.018231i,0.0019255+0.00587i
0.0037648+0.023982i,0.0044914+0.054709i,0.017503+0.040177i,0.012759+0.02986i,0.018817+0.029806i,0.035424-0.0077996i,0.020319-0.0043524i,0.028186+0.011889i,0.0091501+0.016778i,0.0015942+0.0039343i,0.0044558+0.0042387i,0.0044606+0.0044734i,0.0055488+0.0046627i,0.0039332+0.0050781i,0.0039544-0.0026218i,0.0092982+0.00057833i,0.010884+0.0010705i,-0.0010631-0.0019672i,-0.0039811-0.00033885i,-0.00083609+0.0015733i,-0.00095023+0.00023777i,-0.0028849+0.000639i,-0.0025917+0.00085296i,0.0013835+0.0088545i,0.0014567+0.0023009i,0.0021204+0.00099932i,0.0011466+0.0016925i,0.00050473+0.0017119i,0.00087801+0.00050421i,-0.00061147+0.00090868i,-0.0007418-0.0040117i,-0.00082456-0.00096504i,-0.0014202+0.00038805i,-0.0010564-0.00050186i,0.0003522-0.0017107i,-0.0089635+0.006017i,0.00092941+0.00080599i,0.00166+0.00017104i,-0.0019015+0.0011959i,0.0010298-0.0033702i,-0.0013444+0.00012471i,-0.0015755-0.00085711i,0.0025806+0.000923i,0.0049545+0.0076983i,-0.019039+0.030553i,-0.08801+0.016572i,-0.052644+0.032035i,-0.046738+0.056161i,-0.03545+0.073021i,-0.020963+0.047039i,0.0056716+0.040994i,0.0052392+0.0066751i,-0.038344+0.0088464i,-0.054226+0.013692i,-0.0038407+0.025338i,-0.0091557+0.00071652i,-0.008144-0.006287i,-0.012551-0.0063321i,0.0015403+0.003422i,0.005498+0.010846i,-0.0020479+0.0041675i,-0.000951-0.01049i,0.0068133-0.0032111i,-0.0019058-0.012322i,0.0044417-0.0050212i,0.0052345-0.0024453i,-0.0060809+0.0072073i,0.010354+0.00038683i,0.0088242-0.0017225i,0.0089196-0.0038768i,0.0023055+0.0012844i,0.00011306-0.0043975i,-0.0041093-0.0048306i,0.0032278+0.0010619i,-0.015593-7.1354e-05i,-0.0029878-0.0044948i,5.8298e-05+0.00056302i,0.0029862-0.0066303i,0.0018299-0.00068666i,-0.013471-0.0087776i,1.1564e-05-0.00035304i,0.0065763+2.0571e-05i,0.0030109-0.0011856i,0.0013208-0.0048202i,-0.0043101+0.0050307i,-0.0049276+0.0058173i,-0.0048779+0.0017495i,-0.010885-0.0013833i,-0.014895-0.0045053i,-0.051995+0.051192i,-0.0023336+0.011731i,-0.019746-0.021552i,-0.0078778-0.0058912i,0.0057177+0.021163i,-0.0043797+0.021139i,0.0024942+0.0022619i
