-0.024402-0.0046875i,-0.02125-0.0072964i,-0.012953-0.013597i,-0.035778-0.0080605i,-0.026833+0.0016189i,-0.035446-0.0024227i,-0.065869-0.037745i,-0.033281-0.014556i,-0.021755+0.0030285i,0.0062267+0.0051226i,-0.0053184+0.0073088i,-0.0082511+0.017927i,0.0054766+0.0073234i,-0.00090834+0.0035853i,0.0040849+0.0040486i,0.0040657+0.025891i,0.019834+0.019978i,0.0012043-0.00084387i,0.00025157-0.005098i,0.0082677+0.00045381i,0.0051516-0.0016388i,0.0023184+0.0021156i,0.0010543-0.0004522i,-0.023335-0.0019315i,-0.0060072-0.0030472i,-0.0011382+0.0030223i,0.0032357-0.0036123i,-0.0019929+5.4907e-05i,-0.00061664+0.0010052i,-0.0025593-0.0016625i,-0.0038968-0.00040571i,-0.0067138-0.0087849i,-0.0053536-0.0058547i,-0.00069419+3.3654e-05i,-0.00084757-0.0024034i,-0.00073268+0.020873i,0.0024384-0.0041019i,0.0011385-0.0043155i,0.0025692-0.0022386i,-0.0024743-0.0030873i,0.0010931-0.00015811i,0.0076124+0.00026214i,0.0033272-0.0028127i,0.00018491+0.0023694i,-0.013951+0.015269i,-0.027212+0.052677i,-0.0062616-0.037175i,-0.015325-0.018462i,-0.040237-0.016632i,-0.027425-0.012319i,0.036074-0.012122i,0.0058247-0.029854i,0.013562-0.038114i,-0.0088393-0.030156i,0.024877-0.023762i,0.013206+0.00738i,0.030199-0.034454i,-0.0019698-0.0045151i,0.005789-0.0091332i,-0.00067566-0.0059365i,0.00028883-0.035417i,-0.014208+0.029056i,0.0083605-0.011883i,-0.0086988-0.0048553i,-0.0025268-0.0021638i,-0.00045839-0.015858i,-0.0078861+0.005884i,0.0044124+0.0065063i,9.9659e-05+0.027859i,0.0023887+0.00050378i,-0.0072469-0.0042424i,-0.0042073-0.0063492i,-0.01467-0.0096844i,-0.002305-0.005974i,-0.043804+0.00025135i,-0.0048348-0.0087679i,-0.013096-0.0005608i,-0.010482-0.0064559i,0.0017473-0.0016025i,-0.013343+0.0021034i,-0.0015617-0.00043492i,0.0060832+0.0059142i,0.0036925-0.0053411i,-0.012653-0.013959i,0.0075122+0.0086039i,-0.014709+0.0075499i,0.0051071+0.00031897i,-0.019853-0.0024368i,-0.015712-0.003831i,-0.015971-0.034796i,0.019468-0.0099162i,-0.040036-0.024974i,-0.0098193+0.004808i,0.018054+0.015678i,-0.022413+0.017453i,-0.0040832-0.0036936i
0.0036407+0.014157i,-0.0028153+0.016341i,-0.0014762+0.026192i,0.0019306+0.024541i,0.00029686+0.028839i,0.011139+0.022357i,-0.0094611+0.025377i,-0.0035614+0.021514i,0.011684+0.0051719i,0.0015018-0.0046185i,0.0023514+0.00035382i,0.0065179-0.0026919i,0.00071479-0.0016183i,0.00033841-0.0035652i,2.4039e-05-0.0017714i,0.0069865-0.006735i,-0.0023247-0.0048983i,-0.0002761+0.0014472i,0.00051618+0.00041729i,-8.4849e-05+0.0017884i,0.003583-0.00045682i,-9.8029e-05-4.8194e-05i,0.001286+0.00031385i,-0.0075172-0.0034185i,-0.00036461-0.00061994i,-0.0021657+0.00079431i,-0.0040387+0.00018531i,-0.0016997+0.00018694i,-0.0016264+0.0010512i,-9.2865e-05-0.00051088i,-0.003276+0.0010861i,0.0013559-0.001811i,0.00084209-0.0031296i,2.8829e-05-0.0013124i,-0.0012835+0.00063986i,-0.00045353-0.0036782i,-0.0016432+0.0018503i,0.0019542+0.00010125i,-0.00041204+0.0039575i,0.0027507+0.0045507i,-0.00028085+0.0010101i,-0.0012311+0.00065168i,-0.0016076-0.0010904i,0.0031026+0.0049211i,0.014296+0.0067904i,0.042917-0.052391i,-0.027186+0.0058088i,0.018933-0.027219i,-0.021498-0.032886i,-0.012053+0.0030896i,-0.031881+0.033907i,-0.018674+0.004667i,-0.016897+0.008451i,-0.0023127-0.018235i,-0.038993-0.020378i,-0.0086227+0.0018502i,-0.028398+0.012446i,0.0020964+0.013299i,0.00064416+0.0050177i,-0.005134-0.0046246i,-0.00021457+0.002252i,-0.01435-0.0036767i,0.0045517+0.012594i,-0.0011209+0.0078264i,-0.0020249+0.003971i,0.00061209+0.0062848i,0.0025121+0.002606i,-0.00085931+0.018966i,0.0041971+0.015826i,0.0045966-0.0052868i,0.011782-0.004813i,0.0085784+0.0027834i,-0.0033997-0.0074266i,-0.0002145-0.0018789i,0.020867-0.032741i,0.0090335+0.0046735i,0.0080249-0.0013436i,0.0025208-0.00066184i,0.0059658-0.0085481i,0.021854-0.00062717i,0.0054676-0.0030304i,0.0018392-0.0069038i,0.0045977-0.003321i,0.018733+0.0039344i,0.0064382+0.0034337i,0.0030955-0.0035998i,0.0091191+0.0095534i,-0.0022368+0.0047541i,0.0082264+0.0086164i,-0.014013-0.014295i,-0.0085793+0.0017792i,-0.0084952-0.01464i,-0.0086711-0.0041964i,-0.039946+0.0062089i,-0.0058024+0.0037759i,-0.012429+0.000895i
0.0057987+0.013067i,-0.00046313+0.013846i,0.0048676+0.021474i,0.005397+0.02215i,0.0043854+0.026855i,0.014422+0.019931i,-0.0063195+0.026336i,0.00057063+0.02105i,0.011546+0.0011951i,9.2763e-05-0.004337i,0.0028685+0.00066988i,0.0052046-0.0052606i,0.00024411-0.0023924i,0.00041187-0.0032755i,-0.00059491-0.0016119i,0.0032008-0.0066118i,-0.0049852-0.003246i,7.7856e-05+0.0023453i,0.0017593+0.0001727i,0.0011097+0.001522i,-0.0015661+0.002123i,0.00038525+0.00045991i,0.0015922-0.00023396i,-0.0069403-0.00078381i,-0.0002592-0.00028441i,-0.0017969+0.0015906i,-0.0029348+0.0022306i,-0.001207+0.00070935i,0.00032564+0.0010303i,8.8743e-05-0.00022451i,-0.0028551+0.0027963i,9.4865e-06-0.0014837i,-0.00063459-0.0031911i,-0.0013279-0.0011917i,-0.0019148+0.00095165i,0.00035194-0.002633i,-0.00030697+0.002289i,0.001251-0.00067213i,0.0010685+0.0054315i,0.0037512+0.0026002i,0.00016528+0.001195i,-0.0012184+0.00094379i,-0.0020519-0.00062468i,0.0044643+0.0038238i,0.014956+0.0024727i,0.022888-0.061844i,-0.020976+0.013911i,0.0083187-0.035509i,-0.033893-0.025962i,-0.0091542+0.0061183i,-0.020727+0.039387i,-0.014605+0.0088606i,-0.0060423+0.0036449i,-0.00473-0.016477i,-0.043643-0.0052193i,-0.008427+0.0023945i,-0.02308+0.024087i,0.005998+0.0097169i,0.0014491+0.0033713i,-0.0092646-0.0062053i,-0.0025462+0.0049956i,-0.015261+0.0042051i,0.0097079+0.009798i,0.0012959+0.0098539i,-0.00035169+0.0041498i,0.0031442+0.0066066i,0.0039287+0.0027148i,0.0071602+0.014855i,0.0092792+0.0089777i,-0.0018088-0.0074411i,0.0061676-0.0063645i,0.0077214+0.0011298i,-0.0071985+0.0001403i,-0.00068145+0.00065249i,0.0059963-0.033728i,0.011244+0.0015896i,0.0079982-0.004886i,0.0044489-0.0020696i,0.00079985-0.005756i,0.020205-0.0098993i,0.0029198-0.0046619i,-0.0020549-0.005451i,0.00079405-0.0028134i,0.01576-0.0027597i,0.0074943+0.0024474i,0.0022561-0.0023706i,0.011943+0.0056415i,-0.00050363+0.005613i,0.0094076+0.0046212i,-0.019259-0.012318i,-0.0047822-0.012914i,-0.0078977-0.012571i,-0.0077096-0.0029313i,-0.032894+0.020661i,-0.003941+0.005008i,-0.0092249+0.0025762i
0.008672+0.011742i,0.00080448+0.012145i,0.0075066+0.015862i,0.0081148+0.01982i,0.0090075+0.025084i,0.017396+0.016799i,-0.0018979+0.027128i,0.0045955+0.019503i,0.010006-0.0016977i,-0.0010856-0.0037913i,0.0038567+0.00027074i,0.0012762-0.0063338i,-0.00060371-0.0025525i,-0.00034655-0.0034663i,-0.0010318-0.0012838i,-0.00026457-0.0049801i,-0.0058295-0.00023683i,0.001314+0.0022119i,0.0021665-0.0014078i,0.0021846+0.00025535i,-0.00049726+0.0020948i,0.0012897+0.00010321i,0.001574-0.0009365i,-0.0064873+0.00034232i,-0.00013624+1.7077e-05i,-0.00055001+0.002542i,-0.0013131+0.0025875i,-0.00044561+0.00098989i,-0.00023615+0.00092912i,-2.7892e-08-0.00043235i,-0.0016038+0.0043099i,-0.00053513-0.00088565i,-0.0022074-0.0021812i,-0.0019833-0.00053163i,-0.0014182+0.0019882i,0.0015299-0.0027807i,0.0005535+0.0020176i,0.00050971-0.0010932i,0.0046179+0.011587i,0.0039669+0.001266i,0.00073592+0.00096981i,-0.00025519+0.0016154i,-0.0025446-9.6474e-05i,0.0049637+0.001618i,0.014298-0.0010871i,0.0017714-0.061025i,-0.010783+0.017562i,-0.0040358-0.037604i,-0.038184-0.016942i,-0.0036817+0.006991i,-0.0062603+0.039376i,-0.0062196+0.012074i,-0.0048034-0.0037477i,-0.006188-0.015161i,-0.040618+0.0082946i,-0.007593+0.0042116i,-0.010841+0.03023i,0.0049983+0.0054617i,-0.00056504+0.0010622i,-0.016678-0.0021999i,-0.0015731+0.0064817i,-0.01066+0.010072i,0.011361+0.0037566i,0.0047791+0.0097536i,-0.0011017+0.0048782i,0.0047719+0.0046785i,0.0052484+0.0006499i,0.0094401+0.0082938i,0.0085358+0.0036397i,-0.0069902-0.002661i,0.0040781-0.0058211i,0.0087637-0.00032164i,-0.00242+0.0074299i,0.0021504+0.002303i,-0.0045891-0.035624i,0.012042-0.0038i,0.0051937-0.0069636i,0.0026511-0.0039963i,0.00080519-0.0042803i,0.01304-0.016499i,0.00015345-0.0016275i,-0.0040181-0.0046038i,-0.00024124+6.6382e-05i,0.011269-0.0061543i,0.010679-0.001217i,0.0030538-0.003321i,0.014133-0.00056099i,0.0032759+0.004913i,0.0089959+0.0011288i,-0.022788-0.0051641i,-0.015382-0.021387i,-0.0067385-0.01428i,-0.0060262-0.0033445i,-0.023612+0.025246i,-0.0038545+0.00035086i,-0.0076741-0.0010868i
0.011504+0.008879i,0.0028775+0.011283i,0.0079454+0.010782i,0.010751+0.017768i,0.013114+0.021582i,0.019923+0.012915i,0.0032957+0.026991i,0.0081044+0.016742i,0.0083463-0.0030572i,-0.0021305-0.0028431i,0.0043113-0.0013934i,-0.0016051-0.0044745i,-0.0016328-0.0024909i,-0.0015486-0.0026612i,-0.0015676-0.00091399i,-0.0016111-0.0020297i,-0.0049414+0.002643i,0.0019642+0.0013104i,0.0013029-0.0019333i,0.0019086-0.0013646i,0.00039591+0.0017996i,0.0016088-0.00068893i,0.0012396-0.001695i,-0.0062802+0.0018986i,0.00024187-0.00018606i,0.0010839+0.0015514i,7.5808e-05+0.0023742i,0.00017508+0.00068442i,0.00088737+0.00051477i,-3.0807e-05-0.00022972i,0.00039375+0.0038532i,-0.0011107-0.00059002i,-0.0031688-0.00078422i,-0.0021534+0.00058369i,-0.00055645+0.0023684i,0.0018132-0.0045526i,0.0018297+0.0016646i,-0.00016441-0.00091879i,2.3159e-05-0.0025359i,0.0041747-7.4155e-06i,0.0010621+0.00033704i,0.00067225+0.0012394i,-0.0026543+0.00082609i,0.0034052-0.0011022i,0.013163-0.0039332i,-0.01497-0.049577i,-0.0016593+0.014684i,-0.015476-0.034458i,-0.040631-0.0081787i,0.0011311+0.0047291i,0.0064244+0.032849i,0.0027956+0.0055102i,-0.0052471-0.0047879i,-0.006366-0.012833i,-0.035825+0.017142i,-0.0062776+0.0057702i,0.0013404+0.0289i,0.0068591+0.003427i,-0.0037795+0.0022269i,-0.019197+0.0069259i,-0.0007461+0.0084767i,-0.0049891+0.010515i,0.0092986-0.0016826i,0.0082877+0.0083178i,0.00018057+0.007009i,0.0044438+0.0043672i,0.0053427-0.0027231i,0.0077824+0.0024489i,0.0053769+0.0010179i,-0.0048826+0.0016421i,0.0021148-0.0057449i,0.0085042-0.0028347i,0.0062359+0.0070665i,0.0037061+0.00063706i,-0.012658-0.019262i,0.0092482-0.0076443i,0.0026674-0.0079559i,0.0018532-0.0029185i,-0.00034416-0.0048307i,0.0051176-0.01756i,0.0030352-0.00034233i,-0.0041349+0.00027012i,0.0023547+0.0020624i,0.0080052-0.0064066i,0.0088342-0.0061455i,0.0011127-0.003978i,0.010321-0.0080051i,0.0040045+0.0015577i,0.0086211-0.0026809i,-0.018736+0.0029421i,-0.027516-0.018489i,-0.010699-0.018309i,-0.0061735-0.0056911i,-0.015229+0.028238i,-0.0085709-0.00021107i,-0.010971-0.0007469i
0.012589+0.0057507i,0.0037159+0.0091903i,0.0063883+0.0071471i,0.013295+0.015208i,0.016094+0.017544i,0.021225+0.0087219i,0.0086832+0.024946i,0.010335+0.01362i,0.0072702-0.0037728i,-0.0022186-0.0019535i,0.0032076-0.0027318i,-0.0024743-0.002394i,-0.0026879-0.0019808i,-0.0016667-0.0017395i,-0.0018956-5.4972e-05i,-0.001211+0.00028494i,-0.0030617+0.0047385i,0.0019835+0.00056603i,0.0010106-0.001916i,0.00066134-0.0021622i,0.00072688+0.0012623i,0.0013514-0.0013255i,0.00038503-0.0021389i,-0.0045087+0.0029913i,0.00025992-0.00062103i,0.0013118-0.00019948i,0.00093214+0.0013106i,0.00042933+0.00034096i,-3.9239e-05+0.00085798i,0.00039819-0.00021245i,0.0016551+0.0028331i,-0.0012973-0.00031896i,-0.0032322+0.0011328i,-0.0017085+0.0014934i,0.00014143+0.0024996i,0.00075266-0.0061858i,0.0025328+0.00027929i,-0.00034799-0.00039485i,0.0014251-0.0015217i,0.0036555-0.00091906i,0.00097524-0.00024521i,0.00094645+0.0005725i,-0.0018628+0.0018673i,0.0011442-0.00048076i,0.011801-0.0060086i,-0.018792-0.034482i,0.0031438+0.0093648i,-0.024521-0.026906i,-0.04094+0.0045032i,0.0034468+2.6829e-05i,0.015001+0.027049i,0.005885-0.002486i,-0.0043708-0.0067877i,-0.0054957-0.012875i,-0.030037+0.026509i,-0.0045075+0.0064914i,0.012634+0.023701i,0.0066412+0.0007383i,-0.0047893+0.0058336i,-0.016174+0.014649i,0.0022844+0.0091832i,-0.0016668+0.011473i,0.0046411-0.0031744i,0.010908+0.0055754i,0.0031322+0.0076533i,0.005239+0.0046641i,0.0039902-0.0049428i,0.0040976+0.0022116i,0.0030229+0.0019972i,-0.003658+0.0034106i,0.00051863-0.0045542i,0.007111-0.005341i,0.0092725+0.0014833i,0.0038544-0.0014353i,-0.013915-0.016936i,0.0057111-0.0098355i,-0.0011175-0.0079603i,0.0033566-0.0027286i,-0.0016227-0.0036078i,-0.00021137-0.015542i,0.0040708-0.0021998i,-0.0020233+0.0027397i,0.0053007+0.00033577i,0.0066824-0.0070925i,0.0051049-0.011203i,0.00075615-0.0035132i,0.00276-0.01081i,0.0023912+6.8002e-05i,0.0045885-0.0065571i,-0.012155+0.0047132i,-0.03674-0.0078489i,-0.017068-0.017902i,-0.0078135-0.0075897i,-0.008717+0.027031i,-0.012563+0.0033053i,-0.01102+0.0032769i
0.013305+0.0028875i,0.0040926+0.0081916i,0.0046486+0.0058911i,0.015329+0.012122i,0.017637+0.013263i,0.022048+0.0047593i,0.013763+0.021239i,0.011727+0.010546i,0.0067793-0.0047353i,-0.0024869-0.0015931i,0.0014155-0.0033597i,-0.0025133-0.00067937i,-0.0034826-0.00079116i,-0.0016701-0.0014465i,-0.0021442+0.00067798i,-9.4284e-05+0.001482i,-0.00027643+0.0056954i,0.0020989-9.1138e-05i,0.0004032-0.0022092i,-0.00043966-0.0021307i,0.0013658+0.0010244i,0.00091982-0.0018385i,-0.00046034-0.0019885i,-0.0038055+0.002662i,-9.4376e-05-0.00051243i,0.000281-0.00125i,0.0010292+0.0002764i,0.00060433-0.00013722i,0.00082874+0.00038626i,0.00044338-0.00076511i,0.0022952+0.0016867i,-0.0014703-0.00011612i,-0.0021759+0.0026225i,-0.00091287+0.0019933i,0.0007943+0.0023298i,-0.0015461-0.0066523i,0.0014617-0.001732i,-0.00020095-0.00023161i,0.00078237-0.0022952i,0.0028537-0.0013966i,0.00085676-0.00044748i,0.00092408+0.00026819i,-0.0011154+0.00088585i,0.00068869+0.001076i,0.010498-0.0073235i,-0.017118-0.026683i,0.0051786+0.0051743i,-0.02807-0.015935i,-0.035786+0.01754i,0.00055406-0.0043571i,0.018111+0.01944i,0.0058-0.009305i,-0.0046296-0.0077287i,-0.0068989-0.012598i,-0.020947+0.03224i,-0.0038007+0.0071681i,0.018227+0.011251i,0.0058868-0.0019357i,-0.0030306+0.0091878i,-0.0094543+0.020472i,0.0051579+0.0076803i,0.0043783+0.0098935i,0.0023749-0.0017599i,0.012788+0.00064557i,0.00563+0.0072145i,0.0064758+0.003873i,-0.00054703-0.0077569i,0.0039278+0.0046118i,0.0040086+0.0036236i,-0.00071203+0.0062944i,0.00064463-0.0039265i,0.0054056-0.0062947i,0.009285-0.0032329i,0.0031421-0.003583i,-0.020386-0.014996i,0.0019793-0.010505i,-0.0042504-0.0065469i,0.001802-0.0050737i,-0.0015603-0.0019994i,-0.0028752-0.012452i,0.0027026-0.0039643i,0.00040517+0.0026694i,0.0049974-0.0036603i,0.0039316-0.0082925i,-0.0022789-0.012079i,0.00011965-0.0047249i,-0.0019902-0.0077235i,0.0019628-0.00078629i,-0.00043087-0.0055576i,-0.009138+0.0042639i,-0.033901+0.0086722i,-0.022743-0.014929i,-0.010781-0.0070858i,-0.004523+0.026592i,-0.01144+0.0090077i,-0.0066689+0.0044684i
0.013684-0.00058406i,0.0049012+0.0077198i,0.0037754+0.0057795i,0.016592+0.0086009i,0.01829+0.009632i,0.022361+0.00047474i,0.017674+0.016336i,0.012382+0.0076629i,0.006274-0.0056425i,-0.0029404-0.00075126i,-0.00018891-0.0026429i,-0.001458+0.0007114i,-0.0036918+0.00050961i,-0.0021494-0.0014634i,-0.001989+0.0013175i,0.00088145+0.0019527i,0.0026743+0.0052752i,0.0018166-0.00067902i,-9.6501e-05-0.0022767i,-0.0011718-0.0015067i,0.0018596+0.00037787i,0.00025301-0.0021798i,-0.00098894-0.0015261i,-0.0036544+0.0034742i,-0.00036089-0.00058096i,-0.00076094-0.0014323i,0.00071311-0.00046214i,0.00037244-0.00085266i,0.00087299-0.00043613i,-8.199e-05-0.0013011i,0.0028872+0.0010315i,-0.0012634+0.00077933i,-0.0002905+0.0028081i,-3.7125e-05+0.0020787i,0.0014931+0.0016429i,-0.0047592-0.0059484i,0.00048494-0.0011554i,-0.00027722-0.00040919i,-0.00017257-0.0020531i,0.0022695-0.0017199i,0.00077415-0.00074579i,0.0011127+4.0582e-07i,-0.0010707+0.00087542i,0.001279+0.0016062i,0.0098841-0.0090707i,-0.017544-0.026283i,0.006518+0.0017762i,-0.025505-0.0070978i,-0.026798+0.026489i,-0.0018929-0.0043638i,0.020138+0.01282i,0.0027898-0.014913i,-0.004698-0.0085341i,-0.0072898-0.010561i,-0.011387+0.035545i,-0.0012868+0.0071555i,0.013076+0.00026977i,0.00351-0.0043909i,0.00016805+0.010577i,-0.0020251+0.021156i,0.0065376+0.0058329i,0.0063892+0.0063618i,0.002527-0.00051827i,0.012091-0.0035238i,0.0096212+0.005265i,0.0077198+0.002849i,-0.0048588-0.0036548i,0.0060686+0.0049727i,0.0058356+0.003519i,0.003165+0.0055905i,-0.00024849-0.0042822i,0.0035181-0.0075196i,0.0069206-0.0095782i,0.00013714-0.004381i,-0.027574-0.0068064i,-0.0015338-0.0097977i,-0.0055301-0.0031492i,0.00076523-0.0032383i,-0.0015677-0.0018012i,-0.0044247-0.012119i,0.00045985-0.0047699i,0.0013813+0.00088871i,0.0022985-0.0048472i,0.0018983-0.0082939i,-0.0066674-0.007287i,-0.0024117-0.0049168i,-0.0034831-0.0051245i,0.00042215-0.0014059i,-0.0022583-0.0026846i,-0.0061267+0.0043256i,-0.026259+0.01114i,-0.023204-0.010327i,-0.012378-0.005298i,0.00088218+0.023907i,-0.0093198+0.011345i,-0.0051268+0.0033291i
0.012858-0.0036824i,0.0064183+0.007166i,0.0037958+0.0063298i,0.01707+0.0052081i,0.018363+0.0064111i,0.02157-0.0037517i,0.020132+0.010775i,0.012789+0.0052193i,0.0055783-0.0068625i,-0.0029235+0.00034929i,-0.00046619-0.0013933i,-0.00023445+0.00066996i,-0.0036216+0.0018151i,-0.0031062-0.00057028i,-0.0015717+0.0021049i,0.0019578+0.0015123i,0.0045712+0.0033775i,0.0015304-0.00094397i,-0.00068053-0.0021767i,-0.0013193-0.00063665i,0.0018812-0.00044709i,-0.00039258-0.0019336i,-0.0012315-0.0010257i,-0.0023384+0.0043829i,-0.00082199-0.00056844i,-0.0013137-0.0010436i,6.6837e-05-0.0010242i,-0.00038425-0.0012699i,0.00038076-0.0010863i,-0.00081652-0.0013251i,0.0033357-0.0010823i,-0.00056342+0.0005871i,0.00052882+0.0020173i,0.00063279+0.0018228i,0.001589+0.00091633i,-0.0072012-0.003735i,4.1528e-05-0.0013363i,-0.00065039-0.00027207i,-0.00096487-0.0021247i,0.0018646-0.0018155i,0.00055567-0.00091578i,0.001141-0.00035605i,-0.001066+0.00081602i,0.0018995+0.0017665i,0.0084515-0.011396i,-0.022747-0.025505i,0.0061271-0.0020896i,-0.022879-0.0010651i,-0.014399+0.030255i,-0.0041925-0.0040963i,0.021535+0.0055861i,-0.0007054-0.017123i,-0.0053232-0.0091988i,-0.0059684-0.0076996i,-0.0012364+0.035386i,0.00078448+0.0062696i,0.0068482-0.0010346i,0.00060019-0.0052923i,0.004745+0.011232i,0.0042795+0.018956i,0.0070586+0.0032176i,0.0067641+0.00025795i,0.0022583-0.00011523i,0.0095493-0.0080047i,0.012248+0.00089804i,0.0086599+0.0010276i,-0.0050267-0.00035756i,0.0081683+0.0038859i,0.0074637+0.0030624i,0.0061334+0.0031622i,-0.0013225-0.0038678i,0.0019985-0.0086899i,-7.2372e-05-0.012012i,-0.0012788-0.0024488i,-0.028836+0.0036872i,-0.0038533-0.0087526i,-0.0055581-0.0007145i,0.0012529-0.002728i,-0.0020225-0.0011676i,-0.0079705-0.011716i,-0.0018307-0.0048416i,0.0018862-0.00019234i,0.00025857-0.0050684i,0.00013335-0.0082643i,-0.0081814-0.0038422i,-0.004626-0.0029355i,-0.0038885-0.0034607i,4.045e-05-0.0016984i,-0.0020697-0.0011179i,-0.0032924+0.0038514i,-0.024323+0.012867i,-0.022496-0.0078619i,-0.013693-0.0034919i,0.0030703+0.0222i,-0.0078616+0.011969i,-0.0040475+0.0025202i
0.011478-0.0062844i,0.0083249+0.0057136i,0.0053002+0.0065876i,0.016917+0.0019768i,0.018628+0.0037016i,0.019915-0.0075935i,0.020788+0.0044019i,0.012951+0.0027879i,0.0044485-0.0080194i,-0.0021756+0.0009612i,-0.001247-0.0023353i,-7.0748e-05-9.9991e-05i,-0.0028903+0.0032277i,-0.0029601+0.00065483i,-0.00066863+0.0026177i,0.0021658+0.00059748i,0.0050317+0.0010139i,0.0011178-0.0013863i,-0.0013683-0.0016148i,-0.00093734-6.5547e-05i,0.0017786-0.0012636i,-0.00059634-0.0016273i,-0.001176-0.00056437i,-0.00068801+0.0044729i,-0.0012502-0.00025268i,-0.0017625-0.00033435i,-0.0010204-0.0013734i,-0.0011738-0.0010911i,-0.00037502-0.0014315i,-0.0015337-0.0009826i,0.0014821-0.0016119i,-0.00073627+0.00073913i,0.00078663+0.0016078i,0.0011524+0.0014012i,0.0015495+0.00038796i,-0.0089956+0.0002381i,-0.0007647-0.0010903i,-0.00072549+1.6989e-05i,-0.0018592-0.0017231i,0.0014567-0.0020236i,0.00034982-0.0009976i,0.0010418-0.00065582i,-0.0011821+0.00089727i,0.0025671+0.001553i,0.0057601-0.012846i,-0.027546-0.019847i,0.0046964-0.0051575i,-0.016432+0.0039443i,-0.0026652+0.030386i,-0.0055848-0.0011132i,0.021065-0.0019212i,-0.0017399-0.019609i,-0.0050261-0.0087727i,-0.003031-0.0051922i,0.0083296+0.03287i,0.0019253+0.0043516i,0.0036737-0.0013661i,-0.0028234-0.0051399i,0.010192+0.0081533i,0.0079174+0.014993i,0.005508+0.0018169i,0.0040017-0.0039807i,0.0032508+0.0018095i,0.0044517-0.010326i,0.012153-0.0054745i,0.0093793-0.0014992i,-0.0047664+0.0025216i,0.010641+0.0019022i,0.0099171+0.00053758i,0.0071208-0.00063752i,-0.0019683-0.0032061i,-0.00078614-0.0090587i,-0.0073413-0.007308i,-0.00083163-0.0007148i,-0.027452+0.013128i,-0.0063529-0.0076126i,-0.0044677+0.0021018i,0.00098471-0.0061067i,-0.0018139+0.00040652i,-0.011969-0.0088866i,-0.0040891-0.0027372i,0.0013262-0.0018141i,-0.0016556-0.0044923i,-0.0021319-0.0075541i,-0.0083658+0.00088923i,-0.0045903+0.00010071i,-0.0077328-0.002925i,-0.0011068-0.0029434i,-0.0014898-0.00086255i,-0.00096799+0.0033562i,-0.023262+0.018993i,-0.02293-0.0083958i,-0.012477-0.00027958i,0.0064+0.020794i,-0.007077+0.014345i,-0.0025664+0.00031527i
0.0098801-0.0083773i,0.0098647+0.0036335i,0.0070845+0.0053909i,0.016116-0.0011001i,0.018639+0.00089438i,0.017847-0.010603i,0.019338-0.0012682i,0.012699+0.00049577i,0.0031776-0.0088777i,-0.0020056+0.0013168i,-0.0012289-0.0010377i,-0.00064083-0.00020899i,-0.0016623+0.0039133i,-0.0024822+0.0016765i,0.00032491+0.0027053i,0.0015333+7.5606e-06i,0.0043929-0.00078373i,0.00064853-0.0014567i,-0.0014343-0.0010186i,-0.00041597+9.734e-05i,0.001532-0.0020346i,-0.00068546-0.0015546i,-0.0008932-0.00032601i,0.00070109+0.0042705i,-0.001528+0.00014538i,-0.0020304+0.00058822i,-0.0021807-0.0008855i,-0.0016366-0.0005335i,-0.0013485-0.0013164i,-0.0021174-0.00032828i,0.00092229-0.0014161i,-0.00052382+0.0012091i,0.0011845+0.0011615i,0.0015542+0.00091831i,0.0012929-8.3726e-05i,-0.0091212+0.0040023i,-0.0011988-0.00076922i,-0.00085397+9.4472e-05i,-0.0024925-0.0008179i,0.00098471-0.0021813i,0.00017087-0.00098121i,0.00098518-0.00092351i,-0.0012753+0.0011596i,0.0030764+0.00097293i,0.0034407-0.013105i,-0.02766-0.012052i,0.0015438-0.0069645i,-0.010112+0.0033973i,0.0082163+0.028154i,-0.0041406+0.0028999i,0.017927-0.008305i,-0.0055097-0.024099i,-0.003499-0.0091009i,0.0011599-0.004079i,0.016812+0.025214i,0.0025662+0.0035237i,0.00089234-0.00085073i,-0.0051197-0.0028293i,0.012281+0.0022185i,0.0098884+0.012671i,0.0030237+0.0023905i,0.00058523-0.0067112i,0.0063061+0.00020656i,-0.0004945-0.0096445i,0.0078137-0.0097684i,0.0083392-0.0045054i,-0.0043157+0.0047521i,0.011963-0.0030992i,0.0099615-0.0049291i,0.0057593-0.004615i,-0.0024468-0.0026303i,-0.003843-0.0082378i,-0.0043065-0.0073943i,0.00020445-0.00093552i,-0.021687+0.023976i,-0.0086783-0.0054688i,-0.002142+0.00327i,-0.0031632-0.0076347i,-0.00056779+0.00083739i,-0.014745-0.0041956i,-0.0040834+0.00026641i,-0.00024526-0.0027525i,-0.003488-0.0030922i,-0.004228-0.0058997i,-0.0056162+0.0042298i,-0.0030275+0.0018048i,-0.007946+0.0024997i,-0.0041337-0.0027359i,-0.0017315-0.00091985i,0.0032331+0.002895i,-0.012692+0.024708i,-0.026615-0.0071228i,-0.010266-0.0013435i,0.0084885+0.018727i,-0.0038378+0.016599i,-0.0034916-0.003246i
