-0.025237-0.0048678i,-0.021141-0.0072122i,-0.0128-0.013245i,-0.035153-0.0075815i,-0.027103+0.0016591i,-0.035526-0.002634i,-0.066426-0.039095i,-0.03268-0.014931i,-0.021611+0.0027961i,0.0062809+0.006331i,-0.0048761+0.0072366i,-0.0084479+0.017961i,0.005848+0.0081774i,-0.00099656+0.0032525i,0.0043244+0.0035806i,0.0046126+0.025703i,0.022199+0.019795i,0.0012742-0.00057281i,0.0010536-0.0045422i,0.0088037+3.1213e-05i,0.0050311-0.00032664i,0.0021968+0.0014266i,0.0013623-0.00064823i,-0.023967-0.0018846i,-0.0048113-0.0040712i,-0.00028869+0.0032068i,0.0043395-0.0041515i,-0.0018917-0.00044421i,-0.00028017+0.0011246i,-0.0020588-0.00144i,-0.0037639-0.00016089i,-0.0069555-0.0086677i,-0.0049591-0.0072531i,-0.00069712+0.00023751i,-0.00025753-0.0022333i,0.00070145+0.021806i,0.0026368-0.0040912i,0.00066586-0.0043706i,0.00291-0.002014i,-0.003079-0.0031557i,0.00093485-9.0527e-05i,0.0079942-0.0022006i,0.0031742-0.002265i,0.00031182+0.002359i,-0.013595+0.015642i,-0.026139+0.053382i,-0.0058251-0.037362i,-0.015211-0.01834i,-0.040228-0.016451i,-0.027383-0.012401i,0.036002-0.012442i,0.0059758-0.029962i,0.012801-0.038306i,-0.0084636-0.029876i,0.025381-0.02308i,0.013448+0.007054i,0.028195-0.035703i,-0.0016056-0.0044834i,0.0060145-0.0093659i,-0.00081084-0.0059498i,-0.00025595-0.035908i,-0.013439+0.029344i,0.00873-0.011778i,-0.008844-0.0048503i,-0.0025384-0.0021223i,-0.0001252-0.015927i,-0.0078193+0.00612i,0.0042389+0.0064445i,-0.0010567+0.029007i,0.0023024+0.00062747i,-0.0072029-0.0043217i,-0.0041256-0.0062051i,-0.014718-0.010066i,-0.002421-0.0057826i,-0.034559+0.0062598i,-0.0050077-0.008729i,-0.012935-0.0013202i,-0.01041-0.0056077i,0.0017766-0.001572i,-0.013931+0.0022271i,-0.0018374-0.00091534i,0.0056498+0.0055923i,0.0037048-0.0055174i,-0.014672-0.014094i,0.0077563+0.0079747i,-0.016219+0.0052515i,0.0048153-0.00049505i,-0.019025-0.0030042i,-0.016198-0.0040903i,-0.015299-0.035582i,0.020325-0.0097975i,-0.038923-0.024243i,-0.0096724+0.0047389i,0.018356+0.015526i,-0.022512+0.017069i,-0.0042076-0.0036485i
0.0043556+0.01422i,-0.0027231+0.015391i,-0.0020838+0.026365i,0.0020741+0.024714i,1.0038e-05+0.028876i,0.011154+0.021997i,-0.0090881+0.025931i,-0.0054278+0.021867i,0.011559+0.004486i,0.0021075-0.005058i,0.0023716+3.6548e-05i,0.0059932-0.0028528i,0.00069077-0.0016458i,0.00035369-0.0035744i,0.00018614-0.0018593i,0.006413-0.0061819i,-0.0033189-0.0043826i,-0.0012245+0.0023725i,0.00025713+0.00015205i,-0.00015664+0.001916i,-0.0025638-8.2702e-06i,0.00014239+3.0363e-05i,0.0013696+0.00031632i,-0.0078199-0.0039156i,-0.00058753-0.00078859i,-0.0023554+0.00047094i,-0.0038879+0.00011415i,-0.0017554+0.00026717i,-0.0019289+0.00038592i,-0.00029713-0.00039495i,-0.0031612+0.00037785i,0.0014567-0.002332i,0.0008576-0.0028846i,-0.00025339-0.0010679i,-0.0015477+0.00056618i,-0.00080971-0.0042632i,-0.0020626+0.0014001i,0.0020106-0.00028303i,-0.00042322+0.0023253i,0.0024526+0.0061852i,0.00013731+0.00095794i,-0.0012387+0.00043212i,-0.0012856-0.001701i,0.0030494+0.0040086i,0.014534+0.007042i,0.044328-0.054038i,-0.026676+0.0057216i,0.018346-0.02732i,-0.022675-0.03394i,-0.011828+0.0026688i,-0.032374+0.033966i,-0.019352+0.0051482i,-0.016206+0.0081235i,-0.0020413-0.01756i,-0.040308-0.020716i,-0.0084213+0.001708i,-0.028094+0.011855i,0.002384+0.014203i,0.00085465+0.0048035i,-0.0040371-0.0052109i,6.5453e-05+0.0023318i,-0.01345-0.0043624i,0.0050184+0.013272i,-0.0011841+0.007958i,-0.0018157+0.0036619i,0.00068604+0.0059989i,0.002704+0.0028384i,-0.0013736+0.018663i,0.0042269+0.01493i,0.005081-0.0052821i,0.011662-0.005194i,0.0087588+0.0026403i,-0.003816-0.006685i,-2.2886e-06-0.0019779i,0.018834-0.031744i,0.0092638+0.0039988i,0.0078846-0.0013951i,0.002539-0.00059845i,0.0061529-0.0086449i,0.021967+0.00023431i,0.0058085-0.0030922i,0.0018544-0.0069237i,0.0047051-0.0032313i,0.017812+0.0031828i,0.0067045+0.0030802i,0.0034011-0.0035842i,0.0087686+0.0097608i,-0.0015929+0.0048287i,0.0084802+0.0096955i,-0.014279-0.014458i,-0.0093556+0.0022027i,-0.008288-0.01397i,-0.0085105-0.0042842i,-0.039653+0.0068211i,-0.0058903+0.0036987i,-0.011949+0.00061305i
0.0068732+0.012998i,-0.00082737+0.012804i,0.0043913+0.021901i,0.0057311+0.022166i,0.0040515+0.027005i,0.014286+0.019633i,-0.0057718+0.026743i,-0.0012145+0.021804i,0.011215+0.00059835i,0.00043557-0.0052667i,0.0026508+0.00032153i,0.0048426-0.0051921i,0.00011684-0.0023445i,0.00043393-0.0033138i,-0.00048685-0.001758i,0.0029548-0.0062366i,-0.005395-0.0022808i,-0.00022039+0.0026004i,0.0012625+0.00010945i,0.0010991+0.0016444i,-0.0018115+0.0015674i,0.0005423+0.00034525i,0.0016366-0.00028119i,-0.0074487-0.001417i,-0.00052197-0.00041882i,-0.0020405+0.0013959i,-0.0030514+0.0018951i,-0.0012155+0.00081865i,-0.0014629+0.00086861i,-0.00011887-7.5954e-05i,-0.0026196+0.0017678i,-6.6268e-05-0.0019878i,-0.00088881-0.0029479i,-0.0012548-0.00099826i,-0.0021384+0.001027i,6.3583e-05-0.0033608i,-0.0010357+0.0020257i,0.0010072-0.0010846i,0.00013823+0.0025251i,0.0040494+0.0040462i,0.00062374+0.00085596i,-0.0013743+0.00068103i,-0.0019655-0.0013673i,0.0041628+0.0029836i,0.015331+0.0026335i,0.024118-0.064164i,-0.020797+0.013464i,0.0075648-0.034992i,-0.034395-0.025621i,-0.0094316+0.0060051i,-0.020942+0.039519i,-0.015658+0.010652i,-0.0054207+0.0030453i,-0.0043565-0.016285i,-0.04497-0.0048431i,-0.0082059+0.0023475i,-0.023267+0.023101i,0.0059248+0.010011i,0.0016307+0.0032315i,-0.0091338-0.0070511i,-0.0022943+0.0050139i,-0.013557+0.0036254i,0.010602+0.0094781i,0.00092422+0.010025i,-0.00041848+0.0039937i,0.0030236+0.0067635i,0.0040419+0.002494i,0.0063271+0.015013i,0.0090502+0.0083173i,-0.0013792-0.0078106i,0.0059003-0.0065468i,0.0080119+0.0009706i,-0.006704-0.00011087i,-0.00068926+0.00067826i,0.0048066-0.031812i,0.010948+0.0014124i,0.0081008-0.0047662i,0.0042656-0.0023869i,0.001125-0.0058154i,0.020588-0.0096412i,0.0030859-0.0047708i,-0.0016741-0.0056332i,0.00071235-0.0029701i,0.015088-0.0033537i,0.0077735+0.0017156i,0.0025105-0.002223i,0.011997+0.0059344i,-0.00035582+0.0058359i,0.010015+0.0052707i,-0.019568-0.012302i,-0.0049102-0.012376i,-0.0076326-0.01231i,-0.0076212-0.0027065i,-0.033922+0.020359i,-0.0037693+0.0049948i,-0.010079+0.0023912i
0.0098868+0.011246i,0.00013602+0.011276i,0.0073125+0.016251i,0.0083314+0.019686i,0.0087774+0.025422i,0.017199+0.016678i,-0.0013928+0.02725i,0.0030788+0.020772i,0.0094274-0.0021429i,-0.0011694-0.0046744i,0.0035353-2.8655e-05i,0.00116-0.0059781i,-0.00064839-0.0024846i,-0.00037762-0.0034069i,-0.0010546-0.0014856i,-0.0003723-0.0045913i,-0.0058873+0.0005807i,0.0009614+0.0024557i,0.0015892-0.0012818i,0.002185+0.00041802i,-0.00052815+0.001937i,0.0013642-2.6762e-05i,0.0015251-0.0009972i,-0.0073759-0.00023316i,-0.00047015-6.7923e-05i,-0.00087063+0.0024299i,-0.0014464+0.0024145i,-0.00047905+0.0011362i,-0.00088546+0.0011264i,-0.00010975-0.00025077i,-0.0015484+0.0025526i,-0.000859-0.0014046i,-0.0021435-0.0017475i,-0.0020313-0.00029219i,-0.0016059+0.0021091i,0.0010396-0.0040073i,-0.00029869+0.0017352i,0.00016272-0.001398i,0.0017462+0.0020757i,0.0043935+0.0022161i,0.0010728+0.0006628i,-0.00037236+0.0014188i,-0.0025285-0.00087267i,0.0046223+0.0010002i,0.014816-0.0011408i,0.0022881-0.063799i,-0.010679+0.017098i,-0.0044625-0.036787i,-0.037657-0.016522i,-0.0038897+0.00724i,-0.0069344+0.040099i,-0.0046634+0.011776i,-0.004611-0.0043177i,-0.0060764-0.015015i,-0.041435+0.0093612i,-0.0074102+0.0039928i,-0.0113+0.029724i,0.0068313+0.0060034i,-0.00052917+0.00082883i,-0.016972-0.0033875i,-0.0012691+0.0064097i,-0.0092048+0.0086499i,0.011762+0.0027771i,0.0044564+0.009943i,-0.0012977+0.0048286i,0.0045824+0.0047967i,0.0052759+0.00032685i,0.0087082+0.0085933i,0.0086122+0.0028679i,-0.0068452-0.0032021i,0.0038183-0.005846i,0.0090059-0.00045372i,-0.002545+0.0073323i,0.0020888+0.0022231i,-0.0048819-0.027415i,0.011805-0.0036063i,0.0053703-0.0073025i,0.0023267-0.0040101i,0.0010128-0.0043082i,0.013221-0.016302i,0.00021515-0.001995i,-0.003964-0.0032146i,-0.00033687+8.4631e-06i,0.01086-0.0069808i,0.010365-0.0019555i,0.0034077-0.0031128i,0.014716+0.00016797i,0.0036917+0.0051103i,0.0097876+0.0015313i,-0.022813-0.004866i,-0.015429-0.02028i,-0.0065066-0.014262i,-0.0057697-0.0035772i,-0.023427+0.026535i,-0.0037718+0.00023526i,-0.0081484-0.00086917i
0.012626+0.0078838i,0.00188+0.010652i,0.0079204+0.011065i,0.010867+0.017604i,0.013157+0.021905i,0.01971+0.012985i,0.0037654+0.026898i,0.0070769+0.018583i,0.0076068-0.0032563i,-0.0024018-0.0036428i,0.0038622-0.0017059i,-0.0013522-0.0041993i,-0.0016307-0.0023756i,-0.001568-0.0027108i,-0.0017085-0.0010559i,-0.0015562-0.0017203i,-0.0046599+0.0032574i,0.0017676+0.0015836i,0.00084913-0.0016345i,0.0019215-0.0011687i,0.00036932+0.0017567i,0.0016709-0.0008438i,0.0011328-0.0016745i,-0.0074315+0.0016474i,-0.00021453-0.0001199i,0.00085271+0.0016794i,-0.00021475+0.0020474i,0.00025518+0.00085938i,-0.00014138+0.0014095i,-0.00015654-4.7133e-05i,-0.00045471+0.0026834i,-0.0016847-0.00080934i,-0.0028403-0.00041539i,-0.0021063+0.0009159i,-0.00062187+0.0024958i,0.0008277-0.0061293i,0.00053459+0.0017877i,-0.00067023-0.0010969i,0.0021753+0.0005551i,0.0043964+0.0008405i,0.0015147+5.7117e-05i,0.00052975+0.00095419i,-0.0027809-3.3534e-05i,0.0030805-0.0014514i,0.013628-0.0042092i,-0.01547-0.052856i,-0.0015299+0.014226i,-0.01495-0.033818i,-0.041101-0.0073044i,0.0010747+0.0048066i,0.0045527+0.035089i,0.0030808+0.0044408i,-0.0052291-0.0056037i,-0.0063307-0.012546i,-0.035034+0.018578i,-0.0064202+0.0055461i,0.00064313+0.029179i,0.0070569+0.0030169i,-0.0037745+0.0020749i,-0.019982+0.006585i,-0.00088581+0.0083216i,-0.0040079+0.0095191i,0.0088278-0.0028255i,0.0079271+0.0085241i,1.1654e-06+0.0072367i,0.0040918+0.0044193i,0.0053084-0.0030397i,0.007027+0.003182i,0.0054318+0.00012118i,-0.0050945+0.00098198i,0.0018158-0.0056669i,0.0086155-0.002918i,0.0061366+0.0076798i,0.0035115+0.00041426i,-0.0099289-0.02172i,0.0090935-0.0072777i,0.0025509-0.0084325i,0.0016139-0.0028626i,-7.5313e-05-0.0049412i,0.0053625-0.017709i,0.002703-0.00099835i,-0.0043784-0.00031069i,0.0023051+0.001934i,0.0074946-0.0074647i,0.008536-0.0069433i,0.001497-0.0037574i,0.011791-0.0076302i,0.0042105+0.0015264i,0.0094323-0.0025584i,-0.01861+0.0029558i,-0.026713-0.018158i,-0.010564-0.0183i,-0.0059848-0.0058119i,-0.014986+0.027237i,-0.0088465-0.00014349i,-0.011396-0.00035745i
0.013749+0.0041515i,0.002478+0.0086948i,0.006465+0.007447i,0.013295+0.01501i,0.016234+0.01775i,0.021128+0.0089089i,0.0090749+0.02475i,0.010066+0.015524i,0.0065481-0.0037056i,-0.0027674-0.0026029i,0.0026569-0.0028228i,-0.0021486-0.0023835i,-0.0024477-0.0018898i,-0.0018412-0.0017287i,-0.0020194-0.00033996i,-0.0010405+0.00047472i,-0.0024699+0.0049404i,0.0019115+0.00073084i,0.00068952-0.0014822i,0.00092728-0.0021091i,0.00072488+0.0011806i,0.0013184-0.0015192i,0.00029261-0.001996i,-0.0057482+0.003242i,-0.0003317-0.00049847i,0.0010554+0.00015052i,0.00081912+0.0012545i,0.00053924+0.00044395i,0.00067684+0.0011177i,0.00028897+3.8042e-05i,0.00032323+0.002558i,-0.0018008-0.00015338i,-0.0027484+0.0012307i,-0.0015513+0.0018591i,0.00015675+0.0025051i,-0.0012866-0.0080634i,0.0010368+0.0012002i,-0.00085665-0.00026405i,0.0017825-0.00024237i,0.0038857-9.8483e-05i,0.0014012-0.00073864i,0.00069641+0.00035856i,-0.0024848+0.00073372i,0.00093852-0.00077324i,0.012121-0.0063392i,-0.02-0.037938i,0.0031395+0.0087579i,-0.023822-0.027066i,-0.04186+0.0042605i,0.0034014-2.9805e-05i,0.012828+0.027601i,0.0051957-0.0028001i,-0.0046583-0.0075314i,-0.0053915-0.012647i,-0.027995+0.026245i,-0.0047402+0.0066069i,0.012134+0.024052i,0.0066639+0.00053492i,-0.0047615+0.0057532i,-0.016835+0.014684i,0.001883+0.0095423i,0.00053222+0.0097569i,0.0036398-0.0040808i,0.010767+0.0055517i,0.0029695+0.0080216i,0.0049383+0.0046887i,0.0039625-0.0055263i,0.0038658+0.0031593i,0.0028108+0.0011155i,-0.0042218+0.0028654i,0.00034196-0.0044866i,0.0071531-0.0053912i,0.0098888+0.002367i,0.0033497-0.0016007i,-0.013098-0.019371i,0.0055562-0.0094349i,-0.00089694-0.0085699i,0.0028229-0.0027676i,-0.0015175-0.0037727i,-4.5725e-05-0.016036i,0.0034454-0.0030534i,-0.0025278+0.0022514i,0.0049446+0.00034725i,0.0054647-0.0084184i,0.0041647-0.011073i,0.0012019-0.0035674i,0.005217-0.01078i,0.002561+0.00023877i,0.0054946-0.0065745i,-0.012095+0.0046576i,-0.036781-0.0076412i,-0.01664-0.018171i,-0.007725-0.0076096i,-0.0086416+0.026663i,-0.012726+0.0033682i,-0.01104+0.0035433i
0.013912+0.00064089i,0.0025111+0.0079879i,0.0049156+0.0061288i,0.015249+0.011906i,0.017819+0.013318i,0.022106+0.0050172i,0.013946+0.02094i,0.012115+0.012176i,0.0061402-0.0044219i,-0.0031123-0.0022016i,0.0008983-0.0031923i,-0.0023361-0.0007919i,-0.0032773-0.0010317i,-0.0018057-0.0012567i,-0.0021246+0.00037925i,0.00021269+0.0015389i,0.00031247+0.0052847i,0.0018605+0.0001328i,0.00023758-0.0018534i,-0.00025216-0.0022522i,0.0013133+0.00091678i,0.00088545-0.0020126i,-0.00038997-0.001782i,-0.0047463+0.0034571i,-0.00069926-0.00033404i,0.000311-0.00065437i,0.0010053+0.00013494i,0.00077411-7.721e-05i,0.0011837+0.00039886i,0.00043014-0.00050108i,0.001171+0.0023185i,-0.0016883+0.00025224i,-0.0017201+0.002441i,-0.00060438+0.0022939i,0.00077477+0.0023351i,-0.0044687-0.0086984i,0.0011941+0.00029515i,-0.00054627+1.91e-05i,0.0014453-0.00091267i,0.0033987-0.00050546i,0.0009319-0.00095077i,0.00072247+0.00016568i,-0.0019643+0.0010457i,0.0004181+0.00070912i,0.01069-0.0076651i,-0.017502-0.031179i,0.0049783+0.0043793i,-0.027911-0.016669i,-0.036041+0.017498i,0.0005076-0.0043566i,0.016783+0.019605i,0.0051697-0.0090753i,-0.0049334-0.0082443i,-0.0069975-0.012619i,-0.019618+0.030597i,-0.0039086+0.0074436i,0.017749+0.011669i,0.0059259-0.0020765i,-0.0029387+0.0091435i,-0.0099374+0.020742i,0.004678+0.0083726i,0.0052729+0.0066454i,0.0014361-0.0021893i,0.012662+0.00082363i,0.0057529+0.0076048i,0.006145+0.0038072i,-0.0010822-0.0080992i,0.0039801+0.0052706i,0.0035012+0.0028608i,-0.0017454+0.0061595i,0.00046902-0.003832i,0.0053104-0.0064431i,0.010286-0.0027628i,0.0026209-0.0033761i,-0.019253-0.017113i,0.0017025-0.009927i,-0.0044713-0.0072445i,0.0015152-0.0042777i,-0.0017755-0.0021885i,-0.0028262-0.012979i,0.0020183-0.004886i,-0.00013999+0.0025121i,0.0048466-0.0036028i,0.0022547-0.009108i,-0.0026925-0.011226i,0.00044349-0.0048719i,0.00088859-0.0097264i,0.0023239-0.00081567i,0.00026539-0.0059029i,-0.0088865+0.0042389i,-0.033757+0.0091318i,-0.022672-0.015117i,-0.010252-0.0074507i,-0.0044646+0.026043i,-0.011666+0.0092112i,-0.0065922+0.0048137i
0.013292-0.0026596i,0.0034077+0.0080365i,0.0040936+0.0058645i,0.016443+0.0084879i,0.018445+0.0096285i,0.022588+0.00062363i,0.017472+0.016073i,0.013296+0.0088927i,0.0057516-0.0051864i,-0.0037583-0.0013079i,-0.0005259-0.0024043i,-0.0013595+0.00059024i,-0.0037082+0.00014707i,-0.0022344-0.0011993i,-0.0020419+0.0011157i,0.0012608+0.0018212i,0.0025155+0.0043765i,0.0016344-0.00025003i,-0.00027207-0.001904i,-0.0010982-0.0016941i,0.0017179+0.00030998i,0.00018146-0.0023795i,-0.00085509-0.0013715i,-0.0042994+0.0046021i,-0.00076926-0.00029525i,-0.00049506-0.00071247i,0.00082515-0.00060177i,0.00049888-0.00085973i,0.0011569-0.00056353i,1.9703e-05-0.0010302i,0.0019239+0.0016704i,-0.0013937+0.001086i,2.9217e-06+0.0026069i,0.00040017+0.0022297i,0.0014382+0.0017056i,-0.0079881-0.0079413i,0.001065-0.0003834i,-0.00049039-0.00014269i,0.00084596-0.0015114i,0.0030953-0.00095731i,0.00062558-0.0010601i,0.00099669-0.00016762i,-0.0016759+0.0010336i,0.00091757+0.0012492i,0.0099744-0.0093714i,-0.017681-0.030342i,0.0061681+0.0012641i,-0.025549-0.0077271i,-0.025203+0.026595i,-0.0018134-0.0045637i,0.019344+0.013034i,0.0024584-0.014261i,-0.0050344-0.0091359i,-0.0073641-0.010409i,-0.011353+0.033114i,-0.0010867+0.0074767i,0.012585+0.00060332i,0.0036657-0.0045968i,0.00031212+0.010483i,-0.002106+0.021867i,0.0058959+0.0061428i,0.0065518+0.0021366i,0.0017773-0.00083173i,0.011933-0.0034396i,0.010006+0.0053964i,0.007219+0.0032394i,-0.0053276-0.0032951i,0.0064688+0.0054957i,0.0049582+0.0030034i,0.0021003+0.0062209i,-0.00040492-0.0041095i,0.0034971-0.0075635i,0.0083476-0.0093019i,-0.00028177-0.0039918i,-0.025438-0.010334i,-0.0015842-0.0091629i,-0.0065198-0.0037772i,0.00084574-0.0025005i,-0.0019025-0.0017878i,-0.0044033-0.012652i,-0.00050923-0.0061713i,0.0010328+0.00083214i,0.002297-0.0050216i,0.00016237-0.0085872i,-0.0066182-0.0068088i,-0.0021452-0.0051582i,-0.0033644-0.0082523i,0.00090795-0.0017315i,-0.0016893-0.0031016i,-0.005822+0.0042635i,-0.025787+0.011677i,-0.023294-0.01042i,-0.012205-0.0061602i,0.00075186+0.02363i,-0.009372+0.011527i,-0.0049263+0.0034917i
0.011921-0.005493i,0.0050086+0.0079827i,0.0040757+0.006281i,0.016945+0.0051317i,0.018515+0.0063684i,0.021868-0.0037075i,0.019765+0.010677i,0.013816+0.0058991i,0.0052599-0.0063495i,-0.00402-0.00021446i,-0.00085073-0.0012433i,-0.00024102+0.00051939i,-0.0037069+0.001547i,-0.0030903-0.00034049i,-0.0015643+0.0019241i,0.0022789+0.0012611i,0.0039037+0.0028923i,0.001595-0.00053175i,-0.00067772-0.0016545i,-0.0013702-0.00076433i,0.0018199-0.00040669i,-0.00053707-0.0020253i,-0.0010199-0.00092606i,-0.0023629+0.0056911i,-0.0011046-0.00019574i,-0.00094568-0.00044736i,9.9244e-05-0.0012676i,-0.00024978-0.0012865i,0.00055986-0.0013578i,-0.00059748-0.0010893i,0.0021659+0.00079666i,-0.000512+0.0010795i,0.00076378+0.0017739i,0.0011004+0.0017584i,0.0016226+0.0010035i,-0.011112-0.0053019i,0.00053929-0.00095542i,-0.00074075-1.7555e-05i,-0.00013089-0.0020408i,0.0029068-0.0012662i,0.00035479-0.0011203i,0.00089909-0.00052935i,-0.0016103+0.0010053i,0.0013993+0.0013664i,0.0084878-0.011652i,-0.022249-0.029104i,0.0057288-0.0025444i,-0.023099-0.0016007i,-0.013036+0.029151i,-0.0043084-0.0044537i,0.021093+0.0058666i,-0.0008309-0.016399i,-0.0058757-0.0096444i,-0.0063436-0.008049i,-0.0020398+0.033856i,0.0011259+0.0062536i,0.0068865-0.00065645i,0.00060469-0.0054521i,0.0049325+0.011104i,0.0047706+0.01951i,0.0061368+0.0037362i,0.0054107-0.0020681i,0.0015074-4.6353e-05i,0.0092972-0.0079377i,0.012457+0.00081832i,0.0086166+0.0016754i,-0.0049594+0.0001073i,0.0087282+0.0043734i,0.0065897+0.002624i,0.0059544+0.0040874i,-0.001328-0.0036005i,0.0020038-0.0087569i,0.002528-0.012434i,-0.0015779-0.0019631i,-0.028129-0.00048017i,-0.0038592-0.0080595i,-0.0064983-0.00023252i,0.0015521-0.0020105i,-0.0023153-0.00095914i,-0.0077618-0.012117i,-0.0034387-0.0054339i,0.0015678+4.9602e-05i,4.5617e-05-0.0054019i,-0.0010321-0.0081213i,-0.0080529-0.0035629i,-0.0044945-0.0031749i,-0.0064773-0.0055205i,6.3299e-05-0.0020776i,-0.0016788-0.0016816i,-0.0029839+0.0034283i,-0.023726+0.013291i,-0.022479-0.0077112i,-0.013774-0.0044634i,0.0026313+0.021963i,-0.0077424+0.012269i,-0.0039232+0.0026332i
0.010214-0.0076297i,0.007454+0.0068782i,0.0054191+0.0064512i,0.016778+0.0019343i,0.018699+0.003608i,0.02028-0.0076439i,0.020383+0.0044471i,0.013927+0.0030618i,0.0042932-0.0075408i,-0.0039759+0.00079774i,-0.00066385-0.0007107i,-0.00012996-0.00016723i,-0.0030585+0.0029266i,-0.0029132+0.00091717i,-0.00075199+0.002366i,0.0023811+0.00023079i,0.0043349+0.0011265i,0.001281-0.0010375i,-0.001145-0.0011574i,-0.0010047-0.00014501i,0.0017754-0.0012359i,-0.00079532-0.0016511i,-0.00095689-0.0005685i,-0.00020597+0.0055223i,-0.0013839+0.00013832i,-0.0013688-2.3136e-05i,-0.0011385-0.0013579i,-0.0010851-0.0012104i,-0.00039358-0.001789i,-0.0011886-0.00086602i,0.0021014+6.4701e-05i,-0.00039879+0.0010644i,0.00094123+0.0012747i,0.0015254+0.0010656i,0.0016225+0.00044204i,-0.01268-0.0013256i,-0.00040813-0.001127i,-0.00067128+0.0002258i,-0.0012764-0.0019512i,0.0027013-0.0017382i,3.811e-05-0.0010991i,0.00081587-0.00072745i,-0.0016341+0.0011962i,0.0018871+0.0013082i,0.0058382-0.01303i,-0.027644-0.022589i,0.0042191-0.0053872i,-0.016676+0.0037319i,-0.002147+0.029128i,-0.0058419-0.0013003i,0.020849-0.0018983i,-0.0014306-0.01898i,-0.0056953-0.0088637i,-0.0034516-0.0056234i,0.0066319+0.031527i,0.0019484+0.0041928i,0.0039325-0.0014307i,-0.0029098-0.0051406i,0.010103+0.0080117i,0.0087483+0.015588i,0.0046216+0.001968i,0.0028866-0.0050257i,0.0030473+0.0022945i,0.0045535-0.01041i,0.012142-0.0054898i,0.009366-0.00089731i,-0.0045867+0.0028766i,0.011474+0.0021521i,0.0090406+7.7405e-05i,0.0072584-0.0003963i,-0.0017341-0.0029848i,-0.00084283-0.0092427i,-0.004792-0.011758i,-0.00081351-0.00027102i,-0.026899+0.0099502i,-0.0058774-0.0069988i,-0.0047336+0.0026i,0.0018392-0.0047947i,-0.0020282+0.00082811i,-0.011889-0.0093292i,-0.0057159-0.00281i,0.0012603-0.0013361i,-0.0018849-0.0045661i,-0.0031676-0.0077516i,-0.0079745+0.0011716i,-0.0046978-0.00033288i,-0.0081165-0.001771i,-0.00129-0.002909i,-0.0013157-0.0012983i,-0.00098701+0.0028763i,-0.02252+0.019754i,-0.022779-0.0086049i,-0.013049-0.0021047i,0.0062882+0.020984i,-0.0069222+0.0143i,-0.0023899+0.00056922i
0.0084483-0.0091675i,0.0095114+0.0048213i,0.0071023+0.0052816i,0.016013-0.0010825i,0.018655+0.00077199i,0.018217-0.010782i,0.018915-0.00099476i,0.01362+0.00041215i,0.0031221-0.0084436i,-0.0038353+0.0019728i,-0.00074181-0.00048435i,-0.00073294-0.000244i,-0.0019672+0.0037504i,-0.0022971+0.0018812i,-5.33e-05+0.0024651i,0.001591-0.00041664i,0.0039663-0.00039168i,0.00089477-0.0011806i,-0.0010475-0.00063415i,-0.0004993+7.3764e-05i,0.0015682-0.0019759i,-0.00091661-0.0014903i,-0.00073517-0.00039255i,0.0014747+0.0049903i,-0.00145+0.00054299i,-0.0015659+0.00068036i,-0.0022494-0.00072698i,-0.0016522-0.00069387i,-0.001514-0.0016372i,-0.0017688-0.00036345i,0.0018455-0.00052651i,-0.00018869+0.0012741i,0.0012172+0.00084022i,0.0016714+0.00034929i,0.0013838-2.6706e-05i,-0.012516+0.002833i,-0.0012079-0.00078751i,-0.00075923+0.00015594i,-0.0023123-0.0012445i,0.0023367-0.0023836i,-0.00010221-0.00090817i,0.000732-0.0010566i,-0.0016296+0.001599i,0.0022996+0.00099365i,0.0035939-0.013287i,-0.027521-0.013869i,0.0010376-0.0070464i,-0.010401+0.0033485i,0.0084428+0.026379i,-0.0045099+0.0028753i,0.017583-0.0085359i,-0.0047371-0.02381i,-0.0039978-0.0087773i,0.0015748-0.0046558i,0.014597+0.025938i,0.0017385+0.0030436i,0.00091831-0.0012106i,-0.0052045-0.0028855i,0.012134+0.0022365i,0.011709+0.012484i,0.0024404+0.0023702i,-0.00054729-0.0073235i,0.0063626+0.00058908i,-0.0005112-0.0097626i,0.0079134-0.0097484i,0.0089602-0.0042232i,-0.0038208+0.004799i,0.012749-0.003229i,0.0085948-0.0050866i,0.0057019-0.0045751i,-0.0021178-0.0025232i,-0.0038839-0.0084688i,-0.0092714-0.006569i,0.00041063-0.00054806i,-0.020869+0.020791i,-0.0079829-0.0051016i,-0.002086+0.003774i,-0.0013885-0.0054816i,-0.00068404+0.001251i,-0.014926-0.0045631i,-0.005121+0.00059551i,-2.8614e-05-0.0023823i,-0.0037745-0.0031654i,-0.0052222-0.0058199i,-0.0052543+0.0044355i,-0.0033617+0.0015011i,-0.007785+0.0028699i,-0.0038767-0.0024461i,-0.001707-0.0012457i,0.002811+0.002449i,-0.01187+0.02505i,-0.026853-0.0071214i,-0.011619-0.0020074i,0.0084853+0.018733i,-0.0038319+0.016596i,-0.0030657-0.0028127i
