-0.02294-0.018495i,-0.032616-0.032953i,-0.022311-0.019375i,-0.032835-0.020696i,-0.02369+0.0042154i,-0.028761-0.017449i,-0.058237-0.044174i,-0.040788-0.040877i,-0.030608-0.020082i,0.0049159+0.0048424i,-0.0039918+0.0064697i,-0.010937+0.011063i,0.0040787+0.0068198i,-0.0038916-0.0027266i,0.0027117+0.0017181i,0.0044995+0.028771i,0.021313+0.027311i,-0.00020663+0.00016856i,-0.0033223-0.0027048i,0.0073715+0.0041696i,0.0020185+0.00051922i,-0.00059841+0.0024626i,-0.00053556+0.00048178i,-0.030618-0.00079325i,-0.0036589-0.0050343i,-0.00025624+0.0026352i,0.0043837-0.002024i,0.00058586-0.00028433i,-0.00042378-0.00056054i,-0.0012454-0.0017464i,-0.0022686-0.00059428i,-0.0038116-0.003591i,-0.0028553-0.0052884i,0.00041099-0.0012023i,0.00044681-0.0028785i,-0.0034781+0.02552i,0.0019416-0.0031608i,0.0023371-0.0037986i,0.0040865-0.0024867i,-0.008471-0.0014704i,0.00057586+0.0011268i,0.0062774-0.0083908i,-0.0025463-5.1995e-05i,-0.0032633+0.00099446i,-0.0093902-0.0033842i,-0.019058+0.022036i,-0.0079455-0.086324i,-0.0024462-0.06114i,-0.021435-0.053343i,-0.010952-0.045707i,0.05428-0.025572i,0.024766-0.066689i,0.040761-0.053312i,0.019197-0.039938i,0.025819-0.020482i,0.012043+0.01183i,0.025904-0.029967i,-0.0096636-0.0035487i,-0.0010209-0.0008876i,-0.0071202-0.001663i,-0.0057096-0.029189i,-0.02213+0.027266i,0.0072894-0.0095236i,-0.0097983-0.0028419i,-0.0026011-0.0020267i,-0.00074085-0.014586i,-0.0082851+0.004971i,0.0048925+0.010287i,-0.011725+0.031057i,0.0064972+0.007905i,-0.003628-0.0017334i,-0.0025266-0.0015907i,-0.012797-0.0058648i,0.00026529-0.0039203i,-0.036644+0.0042175i,0.0029232-0.0087516i,-0.0073371-0.0016017i,-0.0049269-0.0031108i,0.0070212+0.0017875i,-0.010578+0.00053642i,0.0022813-7.798e-05i,0.0061827+0.0077029i,0.005846+0.0009589i,-0.0076323-0.0097558i,0.0026812+0.008003i,-0.020331+0.0069695i,0.0029865+0.0056709i,-0.021653-0.008795i,-0.026795-0.0050788i,0.0096158-0.059524i,0.018449-0.014852i,-0.051612-0.029711i,-0.024102+0.0006044i,0.018539+0.010533i,-0.027028+0.013i,-0.012795-0.007705i
-0.011521+0.013479i,-0.02126+0.04178i,0.0015954+0.040582i,-0.010101+0.02435i,-0.00019227+0.020945i,0.0018033+0.023245i,-0.024986+0.0159i,-0.025444+0.033653i,-0.00019419+0.01751i,-0.0013047-0.0012551i,-0.00094468+0.001625i,0.0042558+0.0034404i,0.0033608+0.004826i,-0.003146+0.0018064i,-0.0030276+0.0036766i,0.0010117-0.0069492i,-0.0088407-0.0016316i,-0.0022298+0.00027215i,8.306e-05-0.0011234i,-0.0010282-0.0004068i,0.00078023-0.0031956i,0.0011783-0.0028031i,0.00096493-0.0014788i,-0.0098051-0.0081928i,-0.0001218-0.00037492i,-0.0015133+0.00040719i,-0.0023272-8.8342e-05i,-0.0024318+6.7741e-05i,-0.00093652-0.0011045i,0.001028-0.00071949i,-0.0017015+0.00012194i,0.0016605-0.00010942i,0.0018607-0.00064719i,0.00080907+0.00057067i,-0.00042275+0.0017494i,-0.00079271-0.0064402i,-0.0014377+0.00095266i,0.0016224+0.0002177i,0.0014628+0.0031337i,0.0045987+0.0056695i,0.00099634-0.0014378i,-0.0020058-0.0011943i,-0.0015845-0.0018671i,0.0029216+0.0061335i,-0.0074496+0.0075189i,0.019637-0.058845i,-0.074572+0.01524i,-0.027468-0.018396i,-0.060561-0.048584i,-0.052883-0.017145i,-0.085783+0.0044084i,-0.073227+0.0019758i,-0.046901-0.033691i,-0.0091863-0.045958i,-0.039387-0.025568i,-0.0061783+6.4125e-05i,-0.030102+0.010432i,0.0076297+0.011303i,0.0099116+0.007555i,0.0019623-0.0064069i,0.010618+0.0041008i,-0.011096-0.002392i,0.0029452+0.011832i,0.0014668+0.0059005i,-0.00027995-0.0015838i,0.0054487+0.0020557i,0.0042874+0.00027076i,-0.0050518+0.019381i,0.00088187+0.0097213i,0.00059453-0.004603i,0.0081765-0.006176i,0.0012922+0.0041456i,-0.0083656-0.0062884i,-0.0026856-0.0012104i,0.024037-0.034759i,0.0046011+0.0090208i,0.0017871+0.0028682i,-0.0017826+0.004098i,0.0034102-0.0040359i,0.020111+0.0021947i,0.0012589-0.0019995i,-0.0021549-0.0064093i,-0.00068536-0.0020986i,0.0095045+0.0050938i,0.0054808-0.00033395i,0.0033946-0.0071822i,0.00461+0.0050334i,-0.006226+0.0034058i,0.013575+0.0067666i,-0.04191-0.038773i,-0.012507+0.0074956i,-0.0020455-0.0014997i,-0.0012429+0.0032749i,-0.040846+0.011492i,-0.0065293+0.008385i,-0.013931+0.0043043i
-0.0088379+0.014324i,-0.014028+0.042294i,0.010728+0.034226i,-0.0053353+0.025025i,0.0027343+0.018652i,0.0061381+0.021883i,-0.023514+0.019718i,-0.017715+0.03569i,0.0037101+0.012527i,-0.0016128-0.00038835i,-7.9632e-05+0.0028598i,0.0049016+0.0011557i,0.0042521+0.0030235i,-0.0015353+0.002828i,-0.0022861+0.0046868i,-0.0033102-0.00525i,-0.010143+0.00318i,-0.0015816+0.0014493i,0.0007511-0.00055001i,-0.00054634+9.6363e-06i,-1.889e-06-0.0031587i,0.0010195-0.0023289i,0.00081551-0.0012993i,-0.011095-0.0044099i,0.00012881-0.00019029i,-0.001451+0.00077719i,-0.0015432+0.00084108i,-0.0023145+0.00068303i,-0.0010241-0.0007052i,0.0010253-0.00082252i,-0.0016562+0.0010049i,0.001129-0.00049221i,0.0011639-0.0015814i,0.00022426+0.00048091i,-0.00090606+0.0014625i,-0.00050264-0.0050677i,-0.00089209+0.0012609i,0.0010103-0.00036635i,0.0033056+0.0022892i,0.005677+0.0028686i,0.00067018-0.0020483i,-0.0025514-0.00053807i,-0.0025022-0.00087584i,0.0043921+0.0055162i,-0.005431+0.0057149i,0.00098097-0.068126i,-0.064814+0.029461i,-0.034611-0.021229i,-0.074201-0.039191i,-0.052913-0.0058348i,-0.076793+0.021401i,-0.070574+0.016535i,-0.040932-0.031362i,-0.014988-0.043573i,-0.044084-0.011373i,-0.0071873+0.00039072i,-0.02347+0.022691i,0.010003+0.0059465i,0.011832+0.00093221i,-0.0028284-0.011495i,0.0078638+0.0032009i,-0.011298+0.0031705i,0.0074947+0.0098978i,0.0019297+0.006796i,-0.00092945-0.0010334i,0.00635+0.0019774i,0.0050733+1.3475e-05i,0.0042502+0.017182i,0.0049549+0.0048458i,-0.0039247-0.0055867i,0.0023795-0.0067584i,0.0030851+0.0047623i,-0.01171+0.00064013i,-0.0021062+0.0015871i,0.0086286-0.034499i,0.0084745+0.0078583i,0.0041925+0.0018917i,0.0016967+0.003032i,-0.00011273-0.0019355i,0.017106-0.0068276i,-0.00032271-0.0025705i,-0.0054498-0.0041654i,-0.0030298-0.00097812i,0.0099826+0.00072934i,0.0045986-0.00026874i,0.00088502-0.0056834i,0.0066661+0.003283i,-0.0059394+0.0055512i,0.013581+0.0017661i,-0.049269-0.033104i,-0.0063382-0.0043093i,-0.0028287-0.0029318i,0.00091745+0.0021156i,-0.033734+0.023554i,-0.0045402+0.0092369i,-0.010306+0.0067629i
-0.0056401+0.014506i,-0.0074738+0.042719i,0.015549+0.02655i,-0.00083859+0.023957i,0.0063012+0.017466i,0.010123+0.01929i,-0.020408+0.023716i,-0.010437+0.034618i,0.003432+0.0083338i,-0.0016111+0.00065345i,0.0017272+0.0034279i,0.0022978-0.00031783i,0.0044378+0.0016637i,-0.0008096+0.0028945i,-0.0009275+0.005559i,-0.0063607-0.0013156i,-0.0080882+0.0086931i,-0.00071685+0.0015885i,0.0015833-0.0016938i,0.00014819-0.00034174i,-0.0010091-0.0030726i,0.00085728-0.0028886i,0.00084349-0.0014985i,-0.011658-0.0012995i,-7.4678e-06-0.0002179i,-0.00094286+0.0012914i,-0.00097934+0.00066795i,-0.0014936+0.0017316i,-0.0011477-0.00057479i,0.00067229-0.0014393i,-0.00079004+0.0017032i,0.00069459-0.00067681i,0.00019542-0.0013656i,0.00049197+0.00028139i,-0.00055649+0.0023295i,0.00011787-0.0056507i,-0.0006103+0.0011977i,0.00046886-0.00074938i,0.0051216+0.00028263i,0.0052654+0.0006607i,0.00025084-0.0022603i,-0.00156+0.00064272i,-0.0031518+0.00011144i,0.0054951+0.0035518i,-0.0047542+0.0043257i,-0.021221-0.067944i,-0.050849+0.038759i,-0.043172-0.018032i,-0.082041-0.023905i,-0.048512+0.002666i,-0.06201+0.032217i,-0.057702+0.029178i,-0.043102-0.033598i,-0.019789-0.0423i,-0.042416+0.0030367i,-0.0073213+0.0015936i,-0.01224+0.028553i,0.010514+0.001383i,0.0080898-0.0049481i,-0.013335-0.011281i,0.0080205+0.0010584i,-0.0076575+0.0074288i,0.010458+0.0046867i,0.0055863+0.0067703i,-0.0029455+0.00044641i,0.0066298-0.0018786i,0.005995-0.0024206i,0.0083695+0.010561i,0.0040959+0.0013737i,-0.0082695-0.0021986i,-5.9152e-05-0.0048743i,0.0059744+0.0036078i,-0.0065245+0.009512i,4.5656e-05+0.0029151i,-0.0010032-0.028475i,0.012139+0.0038785i,0.0036242-4.3163e-05i,0.0027119+0.0012808i,0.0006475+3.0732e-05i,0.010641-0.011256i,-0.0025179+0.00045845i,-0.0071415-0.00098897i,-0.0035894+0.002273i,0.0071566-0.0022602i,0.0072219-0.001774i,0.00057789-0.0055279i,0.0094437+0.00027976i,-0.0028124+0.0069459i,0.011935-0.002491i,-0.05515-0.022202i,-0.011835-0.012822i,-0.0012676-0.0040529i,0.0036357-0.00087922i,-0.024909+0.030166i,-0.0035936+0.0051829i,-0.0067929+0.0014736i
-0.0027119+0.013387i,7.3747e-05+0.042616i,0.01765+0.019247i,0.0037427+0.022823i,0.010406+0.013977i,0.013346+0.015859i,-0.015697+0.027158i,-0.0055903+0.032294i,0.0030605+0.0067614i,-0.0010828+0.0015127i,0.0031497+0.0021986i,0.0011526+0.0013897i,0.0041234+0.00057189i,-0.00063413+0.0036398i,0.00066058+0.0057409i,-0.0062848+0.003786i,-0.0025979+0.011466i,0.00014164+0.0014208i,0.0006953-0.0022559i,-7.0721e-05-0.00097361i,-0.0018358-0.002516i,0.00028193-0.0030804i,0.00064484-0.0020809i,-0.011418+0.0022536i,6.3416e-05-0.00036832i,0.00011604+0.0011002i,-0.0008764+0.00037376i,-0.00020854+0.0015238i,-0.0014613+7.4586e-05i,-0.00018115-0.00141i,0.00041155+0.0016649i,0.00034088-0.00071154i,-0.00052416-0.00097076i,0.00045622+6.8109e-05i,0.00071632+0.0022805i,-0.0012218-0.0078886i,1.2798e-05+0.0013662i,-0.00026568-0.00063172i,0.0021429-0.0017669i,0.0046527-0.00056975i,-5.2541e-05-0.0024041i,-0.00079301+0.00050313i,-0.0031439+0.001838i,0.004637+0.00076819i,-0.0048827+0.0039712i,-0.040063-0.056379i,-0.036821+0.040845i,-0.049714-0.010917i,-0.0858-0.0082867i,-0.042626+0.0078882i,-0.049117+0.035661i,-0.044002+0.031545i,-0.047385-0.029602i,-0.025232-0.038457i,-0.038746+0.013175i,-0.0075943+0.0031067i,-0.00075279+0.029228i,0.0093652-0.0031944i,0.0028249-0.0064415i,-0.021012-0.0026371i,0.0051043-0.00021021i,-0.0033601+0.0076973i,0.0092473-0.0011027i,0.0082006+0.0055265i,-0.0030284+0.0031797i,0.003299-0.0029249i,0.0050381-0.0064259i,0.0081406+0.004667i,0.0013775-0.00021967i,-0.0084898+0.0014069i,-0.001654-0.0035685i,0.0071606+0.0011007i,0.0030159+0.010447i,0.0017067+0.0018993i,-0.0092052-0.021629i,0.012389-0.0011032i,0.0034438-0.0007406i,0.0040458+0.0015637i,0.00070597-0.00030635i,0.0055818-0.010856i,6.4849e-05+0.0027253i,-0.0067169+0.0026444i,-0.0011121+0.0045455i,0.0050934-0.0020466i,0.006732-0.0063356i,-0.0017753-0.0053162i,0.0082671-0.0052099i,-0.00045496+0.0060548i,0.010009-0.0064741i,-0.05361-0.009143i,-0.022566-0.015404i,-0.0020556-0.0080693i,0.0031244-0.0059252i,-0.015208+0.031206i,-0.0070475+0.0042339i,-0.010357-0.00074361i
-0.00097027+0.012126i,0.0065429+0.040527i,0.016997+0.013598i,0.0081753+0.020321i,0.012697+0.0093717i,0.015113+0.012008i,-0.010037+0.028737i,-0.0019989+0.030308i,0.0036912+0.0058759i,-1.3511e-05+0.0019791i,0.0033341+0.0010921i,0.0019663+0.0024311i,0.0038569-0.0002988i,0.0010856+0.0044888i,0.0022192+0.0054719i,-0.0035927+0.0071586i,0.0024009+0.011292i,0.00068233+0.0010816i,0.00035678-0.002172i,-0.00060218-0.0011337i,-0.0026041-0.001823i,-0.00054122-0.0028742i,-0.00023066-0.0024153i,-0.0091698+0.0050591i,-0.0002773-0.00094324i,0.0001288+0.00025427i,-0.00092178+0.00034916i,0.0002623+0.00078819i,-0.0011839+0.00087844i,-0.00038023-0.00087482i,0.00076361+0.0012855i,0.00012949-0.0010548i,-0.00088734-0.00024234i,0.00031946-2.2751e-05i,0.0012242+0.0015444i,-0.0036702-0.0082521i,0.00018852+0.0017026i,-0.00034413+0.00010541i,0.00057366-0.0012852i,0.0040017-0.0011542i,-0.00077608-0.002824i,-0.00054434+0.00037768i,-0.0019266+0.0027452i,0.0035054+0.00084889i,-0.0044398+0.0044826i,-0.046863-0.039074i,-0.026904+0.038547i,-0.054379-0.0015484i,-0.086826+0.0087344i,-0.038429+0.008856i,-0.038488+0.036572i,-0.034581+0.030924i,-0.04991-0.025463i,-0.027685-0.034694i,-0.032454+0.02377i,-0.007013+0.0048261i,0.012015+0.024655i,0.0067509-0.0057272i,-0.0016157-0.0052633i,-0.021249+0.0069036i,0.0039132+0.00011195i,0.00054023+0.0084071i,0.0043024-0.0033012i,0.010072+0.0026911i,-0.0012224+0.0055111i,0.001188-0.0015077i,0.0018336-0.0088317i,0.0042571+0.0022381i,-0.00074622+0.0011397i,-0.0087261+0.0069141i,-0.0027967-0.0012321i,0.0070142-0.0015862i,0.00736+0.0053087i,0.0024413+0.00098759i,-0.011527-0.018207i,0.010529-0.0060749i,0.002696-0.002128i,0.0068023-0.0011708i,0.00057047-7.2059e-06i,0.002854-0.0094i,0.0023189+0.0017673i,-0.004124+0.0058514i,0.0019946+0.0044634i,0.0045361-0.002112i,0.002954-0.010716i,-0.0025639-0.0036271i,0.0037977-0.0081497i,-1.1319e-05+0.0043916i,0.0054257-0.01018i,-0.047596-0.0028468i,-0.032981-0.0073601i,-0.0054745-0.01011i,0.00052109-0.0097784i,-0.0081253+0.030285i,-0.010206+0.006861i,-0.012419+0.0021821i
0.0005584+0.011144i,0.012289+0.03833i,0.01609+0.010808i,0.011438+0.016369i,0.0128+0.0046694i,0.016318+0.0087261i,-0.0041412+0.028302i,0.00095891+0.02878i,0.0044161+0.0036401i,0.00066053+0.0013674i,0.002778+0.00025287i,0.0030052+0.0024557i,0.0032634-0.0011416i,0.0028203+0.0036265i,0.0034398+0.0046532i,-9.7765e-05+0.008568i,0.0070742+0.009011i,0.0010712+0.00078377i,-0.00026927-0.0023833i,-0.0012377-0.00093922i,-0.0027033-0.00062914i,-0.00093916-0.0026164i,-0.00096827-0.0020816i,-0.0071721+0.0060156i,-0.00098257-0.00032044i,-0.00023636+2.785e-05i,-0.0011287+0.000247i,0.00036567+0.00013319i,-0.00035434+0.0011843i,-0.00034214-0.00067098i,0.0011717+0.0011775i,-0.00045552-0.0011139i,-0.0010673+0.00017484i,4.6141e-05-0.0002094i,0.0014126+0.0013951i,-0.0062939-0.0076722i,-8.3172e-05+0.0012134i,0.0001043+0.00023419i,6.8364e-06-0.00099089i,0.0033483-0.0017486i,-0.0016143-0.0018103i,-0.00054356+0.00038551i,-0.00066648+0.0030104i,0.0038039+0.001417i,-0.0033403+0.0051172i,-0.044896-0.027346i,-0.019882+0.036096i,-0.055397+0.011857i,-0.081415+0.028569i,-0.039406+0.0097048i,-0.030086+0.035312i,-0.026666+0.029563i,-0.051524-0.019546i,-0.030943-0.031345i,-0.023845+0.029122i,-0.0063556+0.0068525i,0.018131+0.010591i,0.0048519-0.0081115i,-0.0046658-0.0017835i,-0.017097+0.015506i,0.0036587-0.00067879i,0.0050665+0.0055864i,0.0013622-0.0015054i,0.011343-0.0018944i,0.001432+0.0062216i,0.00088197-0.00027327i,-0.0030041-0.0099023i,0.0025575+0.0044414i,-0.00055483+0.0035219i,-0.0023598+0.012006i,-0.0015918+0.00081584i,0.0056872-0.0032213i,0.008105+0.0010795i,0.0032717-0.00066162i,-0.017715-0.016926i,0.0064418-0.0085237i,0.0010581-0.0027683i,0.0037836-0.0028965i,0.00074806+0.0011347i,0.0020599-0.0075484i,0.0028186+3.6139e-05i,-0.0010201+0.0068811i,0.0035772+0.0019874i,0.0035934-0.0030992i,-0.0035543-0.010617i,-0.0029855-0.003429i,0.00033188-0.0084824i,0.00058503+0.0033966i,-0.0007715-0.010228i,-0.045033+0.0017755i,-0.030614+0.0072239i,-0.0093884-0.010265i,-0.0037377-0.011471i,-0.0034165+0.028754i,-0.0087763+0.012041i,-0.0093902+0.0042334i
0.0018629+0.010024i,0.018028+0.035658i,0.016266+0.0086843i,0.012959+0.012203i,0.011365+0.0013584i,0.017302+0.0052764i,0.00097231+0.026687i,0.0036861+0.027728i,0.0043697+0.0018493i,0.00067955+0.0010889i,0.0022952+0.00040009i,0.0045326+0.0022162i,0.0023766-0.0016004i,0.003626+0.0019581i,0.0042427+0.0036563i,0.0031273+0.0082503i,0.0098129+0.0048433i,0.0014348+0.00043672i,-0.00088047-0.0024256i,-0.0015458-0.00030787i,-0.002262+0.00027963i,-0.0015342-0.0024908i,-0.001407-0.0015941i,-0.0061489+0.0075864i,-0.0010657-4.9045e-05i,-0.00052522+0.00027039i,-0.00051356+0.00074131i,-0.00021994-0.00031713i,-9.2181e-05+0.00076635i,-0.00048443-0.00066459i,0.0015237+0.00063198i,-0.00058239-0.0004453i,-0.00046156+0.00028776i,-8.8592e-05-0.00016744i,0.0018755+0.00050397i,-0.0089183-0.0063943i,-0.00019962+0.00035838i,7.5672e-05-0.00011068i,-0.00043485-0.00067627i,0.0024798-0.0023069i,-0.0015517-0.0013045i,-0.00025823+0.00040988i,0.00015567+0.0023618i,0.0041927+0.00069026i,-0.001846+0.0050542i,-0.043719-0.023073i,-0.01477+0.034392i,-0.049588+0.024431i,-0.070345+0.044341i,-0.039831+0.015484i,-0.023585+0.034568i,-0.02166+0.026759i,-0.051573-0.014273i,-0.03344-0.026815i,-0.015968+0.032487i,-0.0035138+0.0074072i,0.012853-0.0016438i,0.0010051-0.010626i,-0.0047992+0.0012573i,-0.010166+0.018533i,0.0021431-0.0018517i,0.0052034+0.00082488i,0.0018388-4.8713e-05i,0.0095534-0.0051439i,0.0046529+0.006027i,0.0011715+0.0014743i,-0.00784-0.005036i,0.0039276+0.0057878i,0.0010602+0.0051549i,0.0037782+0.011253i,-0.00076231+0.0011052i,0.0043189-0.0045103i,0.0080485-0.0042074i,0.0013981-0.0016856i,-0.026706-0.01038i,0.0029121-0.0084904i,-0.00022719-0.001748i,0.0043301-0.0014878i,0.0017478+0.00082487i,0.0023804-0.008766i,0.0019923-0.0013232i,0.0021192+0.0055416i,0.0032974+0.00095201i,0.0031351-0.0025157i,-0.0068096-0.0066951i,-0.0045933-0.0027303i,-0.004311-0.0054943i,0.00044644+0.0023745i,-0.0044533-0.0073047i,-0.04144+0.0072561i,-0.025498+0.0098549i,-0.0096798-0.0085178i,-0.0072493-0.010913i,0.0019856+0.025001i,-0.0066504+0.013023i,-0.008287+0.0038751i
0.0029272+0.0088679i,0.02338+0.032266i,0.017138+0.0067825i,0.013336+0.0088783i,0.0094568-0.00064854i,0.017518+0.0019082i,0.0054007+0.024286i,0.0063491+0.02787i,0.0038943-7.4591e-05i,0.000748+0.00097939i,0.002689+0.00045124i,0.0058702+0.00034913i,0.0016111-0.0016851i,0.0030353+0.00092922i,0.0049096+0.0027501i,0.0057758+0.0062662i,0.009745+0.00090562i,0.0017436-0.0002753i,-0.0015833-0.0022302i,-0.0013996+0.00049487i,-0.0014825+0.00091471i,-0.0020645-0.0017413i,-0.0015768-0.0011724i,-0.0032475+0.0090168i,-0.00093215+0.00042346i,-0.00034786+0.00065297i,-0.00049469+0.0013178i,-0.00097476-3.3911e-05i,-2.2384e-05+0.00067068i,-0.00062333-0.00056705i,0.0014566+0.00021849i,-0.0002522-0.00049474i,-0.00042879+0.00026169i,-0.00023037-9.3927e-05i,0.0017203-0.00034313i,-0.011055-0.0037608i,0.00039736+0.00038788i,-0.00013963-4.1985e-05i,-0.0009745-0.0004532i,0.0019089-0.0023085i,-0.0017098-0.0013089i,-4.6709e-05+0.00027061i,0.0003774+0.001852i,0.0041165+5.6059e-05i,-0.00078583+0.0040128i,-0.046539-0.01956i,-0.010849+0.032422i,-0.041863+0.033675i,-0.055333+0.054819i,-0.038679+0.021321i,-0.016847+0.032951i,-0.018145+0.025558i,-0.052066-0.009295i,-0.034744-0.021093i,-0.0075486+0.033971i,-0.0018355+0.0065394i,0.005408-0.00421i,-0.0031676-0.010821i,-0.0032127+0.0045772i,-0.0038349+0.019512i,-0.00010189-0.0022785i,0.0024781-0.0016357i,0.001541+0.00031347i,0.0070694-0.0085462i,0.007597+0.0036631i,0.0027442+0.0017395i,-0.0084253-0.0012724i,0.0061428+0.0062857i,0.0035086+0.005926i,0.0085668+0.0090344i,-0.00027616+0.0015513i,0.0035536-0.005379i,0.0039158-0.0066168i,0.00064026-0.00045757i,-0.030045-0.0012148i,0.00084775-0.0080343i,-0.00035897-0.0005509i,0.004763-0.0012284i,0.0022033+0.00016646i,0.00070435-0.011199i,0.0005084-0.0016283i,0.0040787+0.0042308i,0.0035678+3.7301e-05i,0.004384-0.0033481i,-0.008394-0.003501i,-0.0060946-0.00018934i,-0.0061897-0.0027027i,0.00052126+0.0012627i,-0.0057424-0.0044671i,-0.037221+0.010659i,-0.022761+0.011985i,-0.0089868-0.010201i,-0.0097076-0.0094579i,0.0026995+0.021963i,-0.0061185+0.013076i,-0.0071627+0.0038922i
0.0040792+0.007821i,0.029138+0.027687i,0.018812+0.0042376i,0.013356+0.0062517i,0.0081942-0.001118i,0.017177-0.0013301i,0.0088229+0.020887i,0.01087+0.027385i,0.0028469-0.0015842i,0.00084037+0.00079228i,0.003007-0.00030427i,0.0053978-0.0023582i,0.0010744-0.0015596i,0.0028204+0.00042982i,0.0054653+0.0015168i,0.006695+0.0036822i,0.0084913-0.0019155i,0.0012278-0.001065i,-0.0024332-0.0015894i,-0.00066629+0.00091035i,-0.00059353+0.00084773i,-0.0020866-0.001222i,-0.0017821-0.00073466i,0.00011101+0.0089526i,-0.00061543+0.00059318i,-4.9615e-05+0.00070928i,3.3856e-05+0.0014529i,-0.0012152+0.00066638i,0.00025998+0.00035099i,-0.00069274-0.00042346i,0.0013199-0.00035796i,-0.00064151-0.00050077i,-0.00045527+0.00040055i,-0.0003411+6.5398e-05i,0.0011356-0.0009282i,-0.011634-0.0013301i,0.00020272+0.00037542i,-4.5483e-05+5.3162e-05i,-0.0012986+0.00019861i,0.0014523-0.002478i,0.0011317-0.0029039i,6.9755e-05+6.0779e-05i,0.00039401+0.0015429i,0.0041838-0.00053973i,-0.0005698+0.0031326i,-0.051397-0.012583i,-0.00699+0.030777i,-0.030732+0.039034i,-0.040833+0.061546i,-0.036249+0.02956i,-0.010721+0.029574i,-0.012211+0.024006i,-0.051712-0.0028098i,-0.033419-0.014846i,0.001014+0.033413i,-0.0016139+0.0056178i,0.00031948-0.0047512i,-0.0079437-0.0097364i,0.00070526+0.0053679i,0.0004236+0.017738i,-0.0028455-0.0012499i,0.0061821-0.0044835i,0.002688+0.0019517i,0.0023833-0.010633i,0.0088151-0.0010084i,0.0039193+0.0010729i,-0.0085523+0.0033599i,0.0098698+0.0053426i,0.0074897+0.0044018i,0.011786+0.003909i,0.00070221+0.0021007i,0.0021111-0.0063664i,-3.7265e-05-0.0086141i,0.0016293+0.00082576i,-0.031056+0.0078098i,-0.00050159-0.0087784i,0.00044106+0.00065252i,0.0052928-0.0041982i,0.0027779-0.00022806i,-0.00383-0.012603i,-0.00048614-0.00084942i,0.0049511+0.0022487i,0.003415-0.00067846i,0.0038036-0.0050009i,-0.0081904+0.00085505i,-0.005642+0.0031228i,-0.0075581-0.00047401i,-0.00082548-0.00014253i,-0.0058784-0.0022424i,-0.034241+0.013024i,-0.020717+0.016602i,-0.011541-0.013878i,-0.0091593-0.0085681i,0.0042464+0.021117i,-0.006367+0.01586i,-0.005013+0.0025338i
0.0050951+0.0063697i,0.033614+0.021386i,0.019812-5.8111e-05i,0.013267+0.0039615i,0.0078989-0.0013501i,0.016621-0.0042299i,0.010948+0.017297i,0.015208+0.024668i,0.0015755-0.002463i,0.00077299+0.00077984i,0.0027024-0.0010762i,0.0033469-0.0038722i,0.00066372-0.0013973i,0.0024018-9.8077e-06i,0.0055446+0.00010059i,0.0063188+0.0017672i,0.0070223-0.0037834i,0.00062464-0.0012029i,-0.0026609-0.00069044i,8.6667e-05+0.00084164i,0.0001703+0.00048347i,-0.0019614-0.00094589i,-0.001683-0.0002964i,0.0029471+0.0084026i,-0.00039488+0.00054101i,0.00015248+0.0007286i,0.00053212+0.0011143i,-0.0010426+0.0011355i,0.00018222-0.00010945i,-0.00089783-0.00028287i,0.0010158-0.00074077i,-0.00097065-6.0351e-05i,-0.00018881+0.00066982i,-0.00036071+0.00025311i,0.00035186-0.0011629i,-0.010654+0.00033325i,0.000597+0.00025263i,-0.00011542-7.35e-05i,-0.00099631+0.0010377i,0.00086685-0.0028063i,-0.00043375+0.00036451i,-6.3921e-05-0.00025648i,0.00050195+0.0015046i,0.0040627-0.0011644i,-0.00035225+0.0027053i,-0.053541-0.001129i,-0.0048463+0.02908i,-0.02137+0.040165i,-0.024586+0.065835i,-0.02957+0.038615i,-0.0068332+0.024434i,-0.0086752+0.01876i,-0.048004+0.0032484i,-0.030288-0.0095112i,0.0093197+0.030253i,-0.00095458+0.0058043i,-0.0049753-0.0027458i,-0.011525-0.0060334i,0.0033965+0.0033186i,0.0044654+0.016142i,-0.00559+0.0013404i,-0.0001018-0.0078952i,0.0051977+0.00068715i,-0.002633-0.0094901i,0.0068181-0.0047842i,0.0049476-0.00060713i,-0.0068813+0.0069936i,0.012978+0.00027386i,0.0089145-0.00070488i,0.011895-0.0037043i,0.0021818+0.0016675i,-8.1568e-05-0.0064906i,-0.0039634-0.0053441i,0.0031967-0.00040123i,-0.021949+0.02236i,-0.0030979-0.0069769i,0.0019319+0.00082041i,0.0022902-0.0060272i,0.0031171-0.00067822i,-0.0091506-0.010335i,-0.00014251+0.00064118i,0.0051292+8.471e-05i,0.0026054-0.0015897i,0.0024685-0.0055579i,-0.0065129+0.0044767i,-0.0032381+0.0052631i,-0.0071022+0.003765i,-0.0029815+0.00023212i,-0.0056094-0.00079182i,-0.030227+0.017379i,-0.011926+0.020077i,-0.017525-0.014459i,-0.011313-0.0087964i,0.0052741+0.020374i,-0.0032901+0.019334i,-0.0044549-0.0013454i
