-0.029629-0.041131i,-0.022542-0.01926i,-0.013496-0.03587i,-0.03008-0.019998i,-0.022687-0.00029642i,-0.014135-0.0057353i,-0.056016-0.059185i,-0.047724-0.017302i,-0.038664-0.014228i,0.010533+0.011859i,-0.0074504+0.0053296i,-0.019387+0.018853i,0.0025759+0.011539i,-0.0060248-0.0031535i,0.0002914+0.0012872i,-0.00090603+0.030173i,0.028019+0.027765i,0.0024231-0.0023271i,-0.0020906-0.0067093i,0.007782+0.0025067i,0.0029087+0.00081885i,0.00016347+0.0037488i,-0.00038779+0.00026021i,-0.037336-0.011738i,-0.00017513-0.0078138i,0.0014634+0.0022223i,0.0060334+0.0016381i,0.0018822+0.00065985i,0.0011911-0.00056799i,-0.00055007-0.0026044i,0.0015652-0.0027218i,-0.0026904-0.0058801i,-0.00041309-0.0048228i,0.0029477-0.00087015i,0.0045248-0.0029332i,0.0025469+0.030223i,0.0039313-0.0034963i,0.0030612-0.001743i,0.0079921-0.0013315i,-0.0054103-0.0023525i,-0.00032648+0.0011235i,0.0094309-0.00017211i,0.0042118-0.0026778i,-0.0012887+0.0091182i,-0.017783-0.0074362i,-0.018393+0.014466i,-0.0035859-0.061459i,-0.0054506-0.027172i,-0.026699-0.032319i,-0.011237-0.027106i,0.054454-0.021225i,0.016121-0.043114i,0.022208-0.049195i,0.0055214-0.056031i,0.026143-0.021076i,0.0083949+0.0061009i,0.024798-0.034262i,-0.0080601-0.0062929i,0.003796-0.0047226i,-0.0044223-0.0073881i,-0.002361-0.032777i,-0.018267+0.029869i,0.0080712-0.011739i,-0.0090078-0.0039243i,-0.004325-0.001329i,0.0008568-0.012805i,-0.011181+0.0044157i,0.0024933+0.0098706i,-0.0046465+0.026713i,0.0053638+0.0025491i,-0.0053876-0.0020208i,-0.0020852-0.0020069i,-0.012214-0.0073182i,-0.00070805-0.0040859i,-0.03608+0.0018819i,0.0012234-0.010789i,-0.0084388+1.1951e-05i,-0.0066289-0.0022569i,0.005211+0.0011089i,-0.0083322-0.0003522i,0.0018134-0.00039401i,0.0037848+0.0068459i,0.0039527+0.00050554i,-0.0086523-0.013205i,0.0024267+0.0089622i,-0.015557+0.0047649i,0.0065635-0.00021547i,-0.022369+0.0002969i,-0.017162+0.0054278i,-0.0090454-0.065047i,0.0078108-0.012781i,-0.050164-0.02281i,-0.021798+0.0012374i,0.01744+0.011749i,-0.022744+0.014472i,-0.019666-0.0048363i
-0.043741+0.032714i,-0.015428+0.018496i,-0.020739+0.042411i,-0.026748+0.013782i,-0.0042803+0.021424i,-0.00060266+0.007937i,-0.030332+0.017647i,-0.0036815+0.030243i,0.008688+0.018279i,-0.0046916-0.0062443i,0.0024647+0.0031647i,0.0077846-5.3432e-05i,0.0053395+6.9297e-05i,-0.00048349+0.0034074i,0.00073015+0.002123i,0.0062908-0.004936i,-0.0067089-0.00076275i,-0.0030987-0.00075063i,0.0039909-0.0015259i,-3.6367e-05-0.00083639i,0.0027273-0.0052293i,0.0016588-0.0027111i,0.0013998-0.0024914i,-0.01021-0.010738i,-0.00055268+0.0018373i,-0.0017453+2.2816e-05i,-0.0041555-0.0013392i,-0.0029756-0.00012898i,-0.00072894-0.0016004i,-0.0002069-0.00074528i,-0.00088253+0.003655i,0.00075513+0.00067682i,0.0016823+0.00083651i,-0.00051815+0.00073724i,-0.0028486+0.0026754i,-0.0011453-0.0076417i,-0.002577+0.0010627i,0.00081445-0.00036432i,-0.001502+0.0037606i,0.0037506+0.0027717i,-0.00062033-0.0016667i,-0.00023274-0.0029337i,-0.0033557-0.00027488i,0.003537-5.0681e-05i,-0.017208+0.025181i,0.0077681-0.036832i,-0.054122+0.0048572i,0.006877-0.031078i,-0.03142-0.048206i,-0.029657-0.019917i,-0.062224+0.02155i,-0.038072+0.0015287i,-0.034325-0.0060463i,-0.030068-0.021628i,-0.038803-0.023137i,-0.0050998+0.0028872i,-0.027599+0.0096405i,0.0062067+0.018484i,0.0028018+0.008011i,-0.0027419-0.0051278i,0.001941+0.0013279i,-0.010522-0.0037709i,0.006059+0.011094i,-0.00062307+0.0060376i,-0.0017467-0.0016418i,0.00099146+0.0017487i,0.0036524-0.0013521i,-0.0032631+0.018206i,0.0035918+0.013854i,0.0043409-0.00092444i,0.0094982-0.0065077i,0.004505+0.0031522i,-0.0088028-0.0073474i,-0.0010222-0.0032713i,0.026406-0.034619i,0.0081212+0.0096288i,0.0052244+0.0022534i,-0.0026772+0.0027525i,0.0036521-0.0052722i,0.021753+0.007634i,0.0038877+0.0019375i,0.00012036-0.0065651i,0.001111-0.0027594i,0.014447+0.0071814i,0.0050523+0.0011576i,0.0027192-0.0048246i,0.0041277+0.0084367i,-0.00084415+0.00028709i,0.0091801+0.0025652i,-0.041018-0.016325i,-0.0058511+0.012041i,-0.0019142-0.004317i,-0.0065265+0.0060395i,-0.036915+0.012344i,-0.0056197+0.0073775i,-0.0089272+0.01408i
-0.037842+0.039398i,-0.01242+0.017983i,-0.010187+0.038134i,-0.023912+0.01672i,-0.0014166+0.019548i,0.00077007+0.0078021i,-0.028983+0.022586i,0.0021819+0.029247i,0.010744+0.012651i,-0.0058821-0.0036792i,0.0035478+0.0035631i,0.0069841-0.0027308i,0.0047787-0.0018509i,0.0017504+0.0039284i,0.0010285+0.0020937i,0.0020345-0.0043702i,-0.0077904+0.0030664i,-0.0028367+0.00034423i,0.0039963-0.0024897i,0.00032097-0.00089693i,0.00094698-0.0053034i,0.0013561-0.0024506i,0.00072712-0.002576i,-0.011968-0.0072018i,0.00031786+0.0012232i,-0.0018101+0.00055459i,-0.0036551+0.00044531i,-0.0021708+0.00062448i,-0.001309-0.0014998i,-0.00016111-0.00062057i,0.00061759+0.0037021i,0.00030842+0.00052569i,0.0014163-0.00019593i,-0.00068335+0.0008918i,-0.0028098+0.003041i,-0.0012625-0.006701i,-0.0021086+0.0015403i,-0.00023454-0.0010076i,-0.00071182+0.004123i,0.0036008+0.00044955i,-0.00087334-0.0014243i,-0.0019463-0.0027365i,-0.0034192+0.00089458i,0.0038453-0.00097277i,-0.013135+0.02437i,-0.0060757-0.042674i,-0.047379+0.015213i,-0.0022592-0.038153i,-0.045602-0.042128i,-0.030307-0.013041i,-0.050606+0.03312i,-0.035182+0.01024i,-0.025331-0.0083756i,-0.031734-0.017067i,-0.044185-0.0080144i,-0.0043075+0.0026868i,-0.022988+0.021204i,0.011128+0.012756i,0.0052024+0.0046977i,-0.0079582-0.0080866i,-0.0013087+0.0032258i,-0.01032+0.0030554i,0.010278+0.0076149i,0.00041191+0.0077101i,-0.0020656-0.00044729i,0.0018389+0.003076i,0.0037768-0.0016087i,0.0053029+0.014809i,0.0087173+0.0077196i,-0.0003724-0.0046522i,0.0032136-0.0077809i,0.004881+0.0025585i,-0.011538+0.0008639i,-0.0025468-0.00097981i,0.0094708-0.037715i,0.011767+0.0071261i,0.0069045-0.0003048i,0.00059885+0.0023399i,-0.0002103-0.0032002i,0.022518-0.0025067i,0.0033561+0.00019408i,-0.0031779-0.005166i,-0.0026485-0.0015171i,0.013875+0.0009004i,0.0051964+0.0013031i,0.00078741-0.003391i,0.0068876+0.00659i,-0.00076801+0.0016872i,0.0091833-0.00093827i,-0.044887-0.012415i,-0.00040015-0.0023254i,-0.00092946-0.0040501i,-0.004236+0.005678i,-0.030361+0.023548i,-0.0033448+0.0081701i,-0.0047433+0.01486i
-0.030392+0.044794i,-0.010533+0.017889i,-0.0052108+0.031782i,-0.021001+0.019477i,0.0019909+0.018625i,0.002379+0.0072091i,-0.025079+0.028109i,0.007654+0.026878i,0.0099266+0.0086559i,-0.0061261-0.0010574i,0.0054802+0.003051i,0.00297-0.0038189i,0.0035825-0.0030391i,0.0025222+0.0033288i,0.0015155+0.0020143i,-0.0011413-0.0017086i,-0.006465+0.0073437i,-0.0018389+0.00094519i,0.0035629-0.0042159i,0.00058322-0.0015873i,-0.00071159-0.0050625i,0.0014275-0.0030385i,0.00023362-0.0025445i,-0.013745-0.0043445i,0.00052788+0.00082668i,-0.0012759+0.0013943i,-0.0025589+0.00095164i,-0.00095154+0.0011682i,-0.0016078-0.0012103i,-0.00046142-0.0007757i,0.0019452+0.0029587i,0.00023781+0.00082111i,0.00095052-0.0005584i,-0.0004482+0.00089852i,-0.0012149+0.0043704i,-0.0011225-0.0068519i,-0.0019706+0.001803i,-0.0011789-0.00089618i,0.0018595+0.0028791i,0.0027039-0.00062517i,-0.001113-0.001096i,-0.0015869-0.0012372i,-0.0030784+0.0018001i,0.0033193-0.0026748i,-0.010437+0.024375i,-0.022506-0.040772i,-0.037523+0.021328i,-0.013658-0.03981i,-0.053672-0.03249i,-0.026957-0.0072336i,-0.034868+0.039173i,-0.023616+0.015724i,-0.027478-0.012185i,-0.032379-0.013292i,-0.041894+0.0061916i,-0.0037143+0.0028853i,-0.01204+0.028331i,0.012855+0.00699i,0.0032216-0.00023642i,-0.017368-0.0055676i,-0.00068222+0.0046868i,-0.0060633+0.0068736i,0.011571+0.0018059i,0.0032706+0.0079244i,-0.0036447+0.0013429i,0.0021303+0.001417i,0.0037905-0.0031961i,0.0078805+0.0078959i,0.0082667+0.0022079i,-0.0054004-0.0015187i,0.0001477-0.0060308i,0.0064963+0.0014635i,-0.007214+0.0097294i,-0.00052699+0.0010855i,-0.0037133-0.033818i,0.015121+0.0011188i,0.0058026-0.0027018i,0.00091612+0.00121i,-0.00011392-0.0014416i,0.017337-0.010503i,0.0014951+0.0019966i,-0.0050466-0.0026569i,-0.0032692+0.0026365i,0.010391-0.0032193i,0.0090492-0.001162i,0.00083328-0.0033394i,0.010287+0.0031232i,0.0024011+0.0017949i,0.0079427-0.0041297i,-0.048494-0.0036481i,-0.0087016-0.011002i,0.0012284-0.0072271i,-0.0026048+0.0038089i,-0.02013+0.028349i,-0.003663+0.0032419i,-0.0015491+0.0099886i
-0.021989+0.048069i,-0.0080703+0.018748i,-0.0036496+0.026726i,-0.016936+0.022171i,0.0051938+0.015666i,0.0038254+0.0056473i,-0.018796+0.032507i,0.012201+0.022976i,0.0091867+0.007035i,-0.0053905+0.0013224i,0.0063784+0.00065754i,0.00070733-0.0014228i,0.0021126-0.0033981i,0.0023723+0.0033054i,0.0018476+0.0016071i,-0.0014753+0.0022977i,-0.0024617+0.010585i,-0.0013024+0.00079045i,0.0019181-0.0048856i,-0.00013821-0.0022876i,-0.0017552-0.0040491i,0.0010296-0.0033712i,-0.00031091-0.0027527i,-0.014928+0.00030919i,0.00067023-8.6042e-05i,-0.0002761+0.001036i,-0.0022151+0.00085286i,0.00015051+0.0005666i,-0.0017777-0.00051118i,-0.00082761-0.00038568i,0.0027418+0.0017596i,0.00040544+0.00104i,0.00025193-0.00081124i,-0.0002003+0.00095644i,0.00086501+0.0037604i,-0.0023981-0.0086892i,-0.0011902+0.0026405i,-0.0017162-0.00028819i,0.0016724+8.5935e-05i,0.0019738-0.00098089i,-0.0011788-0.00067881i,-0.0012405-0.0013763i,-0.0022786+0.0027679i,0.00074732-0.0045583i,-0.0077084+0.025306i,-0.035484-0.028781i,-0.028211+0.022053i,-0.024422-0.036506i,-0.061104-0.021629i,-0.021978-0.0052651i,-0.021056+0.038238i,-0.013482+0.011718i,-0.028644-0.0092525i,-0.032904-0.008366i,-0.036021+0.016329i,-0.0033596+0.003101i,-0.00010634+0.028619i,0.013176+0.0017695i,-0.0015036-0.00091769i,-0.022592+0.0050424i,-0.00072932+0.0064984i,-0.0019759+0.0065072i,0.0083787-0.0041667i,0.0060679+0.0069473i,-0.0027291+0.0045102i,0.00011111+0.0018859i,0.0027908-0.0057628i,0.0059944+0.0022368i,0.0051127-0.00036262i,-0.0043398+0.0020581i,-0.0016406-0.0044262i,0.0067052-0.00077596i,0.0027754+0.011508i,0.00038595+0.00046285i,-0.011052-0.026878i,0.013324-0.0047324i,0.0043565-0.004261i,0.0019915+0.0025947i,0.00012172-0.0013591i,0.011104-0.01356i,0.0046478+0.002992i,-0.0056644+0.00033038i,-0.00059559+0.004546i,0.0077379-0.0038239i,0.0080613-0.0065774i,-0.00068321-0.0029314i,0.0094877-0.0029328i,0.0021871-0.0010459i,0.0063574-0.0073474i,-0.045472+0.0076156i,-0.018708-0.010272i,-0.0014996-0.013079i,-0.0018942+0.0012877i,-0.011898+0.02815i,-0.0074651+0.0032305i,-0.0021853+0.0086704i
-0.013886+0.049983i,-0.0060142+0.01865i,-0.0045571+0.024309i,-0.012239+0.023569i,0.0068701+0.012382i,0.0040649+0.0038973i,-0.011291+0.03449i,0.015226+0.018346i,0.0097233+0.0059879i,-0.0034792+0.0027879i,0.0055454-0.00098806i,0.0011663+0.00050162i,0.0010793-0.0033968i,0.0037062+0.0035926i,0.0021136+0.0011839i,0.00034351+0.0049629i,0.0025568+0.011316i,-0.0012438+0.0008082i,0.00070473-0.0050137i,-0.0011571-0.0022645i,-0.002671-0.0032976i,0.0002611-0.0035238i,-0.0011979-0.0026208i,-0.01247+0.0048055i,-0.0002256-0.0011546i,-0.00029247+0.000342i,-0.0017921+0.0010109i,0.00031141-0.00055594i,-0.0016873+8.1958e-05i,-0.00052713+1.7506e-05i,0.0027767+0.00051092i,0.0010183+0.00059111i,-0.00041056-0.00048366i,-0.00024203+0.00097867i,0.0013475+0.0027939i,-0.0057311-0.0095326i,-0.00026046+0.0027049i,-0.0016921+0.00075587i,-9.0613e-05-0.00029065i,0.0012418-0.00078157i,-0.0011009-0.00040782i,-0.0017447-0.0013398i,-0.0009903+0.0031002i,-0.0019505-0.0030156i,-0.0034425+0.026806i,-0.03645-0.01372i,-0.022164+0.020338i,-0.033396-0.030042i,-0.065854-0.0066453i,-0.018894-0.0075706i,-0.0099392+0.03384i,-0.0090127+0.0063517i,-0.028368-0.007502i,-0.03164-0.0048211i,-0.029017+0.024181i,-0.0027599+0.0032164i,0.012191+0.023914i,0.012016-0.0026959i,-0.0047874+0.0016901i,-0.020821+0.014723i,0.0013758+0.0078099i,0.00090569+0.0069108i,0.0021951-0.0048871i,0.0081288+0.0048664i,-0.00048299+0.0060893i,9.2685e-05+0.0041267i,0.00091674-0.0069714i,0.0015137+0.0026252i,0.002262+0.00047993i,-0.0036848+0.0042309i,-0.0026561-0.0022096i,0.0058708-0.0029691i,0.0079974+0.0068119i,0.00059218+0.00010927i,-0.015095-0.023977i,0.0094598-0.0084028i,0.002309-0.0052671i,0.0052393+0.0018876i,-0.00010782-0.00071558i,0.0064176-0.013957i,0.006892+0.00036968i,-0.0040494+0.0036565i,0.0023394+0.0043462i,0.0070679-0.0044908i,0.0031212-0.010922i,-0.00065514-0.0020575i,0.0050612-0.0060847i,0.00018547-0.0014271i,0.0022266-0.01026i,-0.03793+0.012623i,-0.026901-0.0029003i,-0.0066984-0.014895i,-0.0027845-0.0013245i,-0.0067595+0.027128i,-0.010095+0.0060449i,-0.0012971+0.0089982i
-0.0056174+0.050716i,-0.0041336+0.019228i,-0.0048474+0.025181i,-0.0077932+0.023422i,0.0070251+0.0092985i,0.0041613+0.0028056i,-0.0031507+0.033877i,0.016828+0.013787i,0.010675+0.0038524i,-0.0021128+0.002612i,0.0039546-0.0018532i,0.0022317+0.0013069i,-2.5425e-05-0.0031997i,0.0051582+0.0022209i,0.0021343+0.00070815i,0.0031079+0.0058429i,0.0076464+0.0094204i,-0.00098888+0.0012098i,-0.00095324-0.0050177i,-0.0020068-0.0017414i,-0.0029116-0.0021062i,-0.00033142-0.0035983i,-0.0018234-0.0020361i,-0.010315+0.006164i,-0.0014235-0.00072245i,-0.00073636+0.00023327i,-0.0014561+0.0012417i,-0.00021353-0.0014837i,-0.0013376+0.0005538i,-0.00033944-5.0206e-05i,0.0024865-0.00047635i,0.0011224-0.00022033i,-0.00066929-0.00011196i,-0.00010022+0.00090058i,0.0015405+0.0023464i,-0.0094496-0.0083583i,0.00027806+0.0023544i,-0.0010792+0.0013219i,-0.00093331+0.00043642i,0.00091094-0.00037371i,-0.00097046-7.3078e-06i,-0.0020878-0.00073461i,0.00010725+0.0026729i,-0.0026727-0.00048185i,0.0011615+0.027554i,-0.030938-0.0054777i,-0.018418+0.018915i,-0.038709-0.019528i,-0.062918+0.011719i,-0.022324-0.010435i,-0.0030472+0.027402i,-0.0065789+0.0017702i,-0.027442-0.0046497i,-0.03194-0.0012867i,-0.020857+0.028622i,-0.003013+0.0037246i,0.018499+0.010534i,0.010082-0.0072327i,-0.0056358+0.0058327i,-0.013517+0.022872i,0.003811+0.0068037i,0.0044945+0.0048371i,-0.00025859-0.0017658i,0.0099899+0.0012739i,0.0016304+0.0073583i,0.0016424+0.0052043i,-0.0037204-0.0088782i,0.0010533+0.0062206i,0.0023562+0.0021356i,-0.00085569+0.0076671i,-0.0017946-0.00033916i,0.0042855-0.0038723i,0.0096216+0.0017282i,0.0010668-0.0006876i,-0.022879-0.02164i,0.0053115-0.010104i,-0.00011446-0.0053193i,0.0050969-0.00091971i,0.0001893+0.00042215i,0.0037428-0.012875i,0.0067038-0.0027154i,-0.0011943+0.0049576i,0.0036448+0.0020301i,0.0052632-0.0060389i,-0.0034817-0.010338i,-0.00094335-0.0022236i,0.0019163-0.0055248i,-0.00014331-0.0021694i,-0.0030683-0.0093946i,-0.033374+0.015187i,-0.024432+0.010918i,-0.011468-0.014439i,-0.00526-0.0020942i,-0.0026514+0.026229i,-0.0089584+0.010676i,0.0020592+0.007759i
0.0026426+0.050055i,-0.0016638+0.020175i,-0.0031011+0.027206i,-0.0045818+0.022288i,0.0062221+0.0075799i,0.0043513+0.0017119i,0.0037783+0.03111i,0.017273+0.0097705i,0.011316+0.0017082i,-0.0015242+0.0026186i,0.002881-0.0013205i,0.004271+0.0015861i,-0.0010065-0.0026802i,0.0054382-0.00035342i,0.001958+0.00035707i,0.0055851+0.0050932i,0.010915+0.0054i,-0.00050012+0.0014938i,-0.0022031-0.0044293i,-0.0024831-0.00078742i,-0.0025411-0.0010137i,-0.0012652-0.0035187i,-0.0021564-0.0013979i,-0.0092406+0.0087546i,-0.0018855+8.9135e-05i,-0.0010227+0.00066986i,-0.001154+0.0015105i,-0.0013959-0.0017792i,-0.00099138+0.00057376i,-0.00046728-0.00019825i,0.0019534-0.0012258i,0.0010888-0.00041317i,-0.00029752-1.3133e-05i,0.00014588+0.00083651i,0.002164+0.0013237i,-0.012613-0.006017i,0.00092824+0.0021305i,-0.00061285+0.0013533i,-0.00096136+0.0010765i,0.00088814-0.00012744i,-0.0007148+0.00021266i,-0.0016945-0.00030242i,0.00052948+0.0018736i,-0.0021775+0.00091925i,0.0066803+0.026525i,-0.027066-0.0037492i,-0.015489+0.018278i,-0.038691-0.0097276i,-0.05307+0.026581i,-0.025692-0.0077764i,0.0012324+0.022369i,-0.0067909-0.0024982i,-0.025917-0.0027753i,-0.030773+0.0036716i,-0.013424+0.031643i,-0.0017912+0.0039947i,0.013029-0.001476i,0.0057323-0.011003i,-0.0037882+0.0090736i,-0.0046435+0.024744i,0.0047943+0.0046664i,0.0051758+0.00078291i,0.00076516-0.00010658i,0.0093863-0.0020978i,0.0062057+0.0066748i,0.0034521+0.0061085i,-0.0081709-0.0033851i,0.0040546+0.0077952i,0.0035741+0.002764i,0.0035771+0.0077726i,-0.001182+0.00015955i,0.0033101-0.0045138i,0.0095598-0.0047315i,-0.00065522-0.0010363i,-0.031124-0.012556i,0.0016719-0.010054i,-0.0020508-0.0039205i,0.0051228-0.0007336i,0.00074922+0.00047036i,0.0022688-0.014566i,0.004943-0.0050245i,0.0010839+0.0040464i,0.0036052+0.00087979i,0.0038773-0.0066062i,-0.0070847-0.0061727i,-0.0022439-0.0020154i,-0.00062922-0.0050333i,-0.0018998-0.0028287i,-0.005983-0.0067161i,-0.028351+0.017751i,-0.01789+0.011948i,-0.012326-0.013154i,-0.0068033-0.0012721i,0.0018231+0.02404i,-0.0071046+0.012268i,0.0024961+0.0051157i
0.010387+0.048043i,0.001734+0.020995i,0.00059116+0.029525i,-0.001801+0.021978i,0.0054359+0.0070429i,0.0040777+0.00084041i,0.0093371+0.027095i,0.01726+0.006476i,0.011647-0.0012161i,-0.00090837+0.0027462i,0.0030785-0.00086537i,0.0060505-0.00052205i,-0.0017613-0.0017895i,0.0037017-0.0015482i,0.0019388+0.00023407i,0.0073582+0.003206i,0.011904+0.0010659i,0.00021786+0.0012432i,-0.003172-0.00362i,-0.0022128+0.00042144i,-0.0018954-0.0003052i,-0.0021092-0.0026588i,-0.0023589-0.00080251i,-0.0050235+0.010946i,-0.0020347+0.00098909i,-0.00074054+0.0012223i,-0.00079226+0.0018145i,-0.0027348-0.0011265i,-0.00087741+0.000585i,-0.00066342-0.00013381i,0.0011516-0.0016538i,0.0012713-0.0013941i,-0.00046872-4.322e-05i,0.00021259+0.00068219i,0.0019733+0.00033292i,-0.014881-0.0018286i,0.0014097+0.0016353i,-0.00025401+0.0015667i,-0.0010145+0.0014278i,0.0011189+7.6433e-05i,-0.00028467+0.00020908i,-0.0015369-3.8562e-05i,0.00044276+0.001288i,-0.0012392+0.0019166i,0.011067+0.02368i,-0.027069-0.0027169i,-0.013436+0.017193i,-0.038138-0.0015903i,-0.039885+0.034331i,-0.028623-0.004483i,0.0052669+0.016618i,-0.0079216-0.0043816i,-0.024857-0.0014534i,-0.027999+0.0086519i,-0.004745+0.033181i,-0.00067754+0.0037623i,0.0061252-0.0031697i,0.00053889-0.01239i,0.00021103+0.012021i,0.0033493+0.022506i,0.0045976+0.0025482i,0.0038106-0.0025579i,0.00038539+0.00037657i,0.0075471-0.0055852i,0.0094387+0.003177i,0.006123+0.0056774i,-0.0078473+0.0008582i,0.0072882+0.0077127i,0.0051172+0.0027911i,0.0079669+0.0057528i,-0.00059532+0.00077543i,0.0028598-0.0052298i,0.005642-0.0085686i,-0.00087097+0.0011594i,-0.034382+0.00016562i,-0.00074064-0.0092336i,-0.0028426-0.0019858i,0.0058414-0.0017167i,0.00077865+0.00020582i,-0.0017805-0.016657i,0.0023397-0.006182i,0.0026579+0.0033666i,0.0038383-0.00029424i,0.0034895-0.0073207i,-0.0089302-0.0030274i,-0.003548-0.00026596i,-0.0031153-0.0035702i,-0.0030327-0.0024678i,-0.0072208-0.0039789i,-0.024211+0.018544i,-0.016322+0.012299i,-0.013223-0.013684i,-0.0075839+0.00028861i,0.00374+0.022796i,-0.0060146+0.012993i,0.0028422+0.0037777i
0.018004+0.045054i,0.0061041+0.020694i,0.0064799+0.030398i,0.0011593+0.021569i,0.00582+0.0074444i,0.0039591+0.00038434i,0.013331+0.021889i,0.017254+0.0034183i,0.010915-0.0042316i,-0.00051491+0.0026827i,0.0033451-0.0015726i,0.0054104-0.0036625i,-0.0020214-0.00078664i,0.002896-0.0016411i,0.0020401+2.7811e-05i,0.007667+0.00062537i,0.011074-0.0031497i,0.000202+0.00080711i,-0.0041819-0.0024162i,-0.0013182+0.00097431i,-0.0010992-0.00039534i,-0.0021951-0.001993i,-0.0023549-6.1703e-05i,-0.0007633+0.010873i,-0.001578+0.0017463i,-0.00021218+0.0014356i,0.00015322+0.0018965i,-0.0032998+0.00023462i,-0.00071293+0.00046584i,-0.00076065-4.3796e-05i,0.00030138-0.0016958i,0.00014033-0.0020923i,-0.00058268+0.00019462i,0.00017586+0.00058001i,0.0014491-0.0003544i,-0.014734+0.0032042i,0.0015488+0.0010889i,0.00037357+0.0015521i,-0.00088933+0.0019108i,0.0013526-0.00012433i,-0.00014803-7.4937e-05i,-0.0012108+8.2735e-05i,0.00012802+0.00099717i,-0.00025942+0.002314i,0.014265+0.021076i,-0.029263+0.0014198i,-0.01176+0.016485i,-0.033183+0.0067337i,-0.027641+0.038456i,-0.030755+0.0024012i,0.0077046+0.0094713i,-0.0063247-0.0064053i,-0.023866+0.0010372i,-0.023217+0.013525i,0.0036305+0.03199i,-0.00028794+0.0027854i,0.0023652-0.0033162i,-0.0050881-0.011907i,0.0064516+0.011442i,0.0081836+0.017846i,0.0028909+0.0011386i,0.0016772-0.0045498i,0.0015884+0.0030804i,0.0037486-0.0075779i,0.010312-0.0024971i,0.0084703+0.0037008i,-0.0070499+0.0044438i,0.011432+0.0059687i,0.0075065+0.0006739i,0.010155+0.00073269i,0.00025946+0.0012095i,0.0014737-0.0060099i,-0.00031341-0.0091585i,0.0011096+0.0024372i,-0.032685+0.013409i,-0.0028545-0.008541i,-0.0023904-0.00012813i,0.0056856-0.0059611i,0.0011729+0.000865i,-0.0082573-0.015891i,-0.00046044-0.0058428i,0.0037989+0.0017197i,0.0035824-0.00072047i,0.0016318-0.00859i,-0.0090768+0.002465i,-0.0030763+0.0019271i,-0.004616-0.0016606i,-0.0043821-0.002369i,-0.0072951-0.0014835i,-0.022001+0.01962i,-0.015432+0.01674i,-0.016024-0.015844i,-0.0055091+0.0020946i,0.0074785+0.022197i,-0.0055735+0.015093i,0.0039492+0.001068i
0.024937+0.040669i,0.010325+0.018949i,0.012768+0.028287i,0.0041482+0.020451i,0.0070968+0.0074054i,0.0042571-1.3922e-05i,0.015232+0.016567i,0.016758+0.00046223i,0.0094232-0.0066307i,-0.00040049+0.0029828i,0.0029634-0.0022568i,0.0029959-0.0051317i,-0.001978+5.3699e-05i,0.0020313-0.0016621i,0.0020412-0.0002812i,0.0066712-0.0014625i,0.008757-0.0060525i,0.00021879+0.00077511i,-0.0043475-0.00082088i,-0.00054806+0.00096759i,-0.00054366-0.0007447i,-0.0023101-0.0016083i,-0.0020203+0.00054253i,0.0023099+0.0098674i,-0.00094021+0.0021069i,0.00027486+0.0015182i,0.00073073+0.0014078i,-0.0028863+0.0017274i,-0.00070593+0.00027253i,-0.00096435+0.00013996i,-0.00038719-0.0014284i,-0.0011213-0.0018282i,-0.00038905+0.00038114i,0.00037992+0.00063583i,0.00081394-0.00071828i,-0.012582+0.0075379i,0.0016486+0.0005562i,0.00076924+0.0010982i,-0.0003009+0.0023599i,0.0014463-0.00070615i,-0.00023077-0.00020982i,-0.0010478-0.00022328i,-0.00012544+0.001114i,0.00076586+0.0022098i,0.017159+0.018601i,-0.02831+0.0087265i,-0.011315+0.015995i,-0.02662+0.010297i,-0.014969+0.039659i,-0.028831+0.01139i,0.006396+0.0023515i,-0.0069057-0.011547i,-0.020349+0.0027307i,-0.016089+0.017401i,0.012042+0.027795i,-0.00064928+0.0025487i,-0.0016218-0.0022952i,-0.0097237-0.0086092i,0.010549+0.0069044i,0.011191+0.014156i,5.975e-06+0.0018305i,-0.0008697-0.006517i,0.0055358+0.0019485i,-0.00020955-0.0071106i,0.0073018-0.0063469i,0.009758+9.9187e-05i,-0.0056847+0.0070183i,0.014408+0.00010482i,0.0074976-0.0039823i,0.0089434-0.0047653i,0.0014717+0.0011119i,-0.00050739-0.0061835i,-0.0041315-0.0057043i,0.0030652+0.0013018i,-0.024688+0.027164i,-0.0048973-0.0073373i,-0.0011413+0.0009315i,0.0014531-0.0075286i,0.0020383+0.00063021i,-0.014086-0.011766i,-0.0015894-0.0038509i,0.0039373-0.00049423i,0.003117-0.0014401i,-0.0010329-0.0084067i,-0.0054445+0.0068283i,-0.0016278+0.0032668i,-0.0046961+0.0017042i,-0.0061632-0.0015316i,-0.0068545+1.4064e-05i,-0.017982+0.023424i,-0.0069127+0.020908i,-0.022135-0.015277i,-0.0029935+0.00064433i,0.010461+0.019731i,-0.0031043+0.017856i,0.002942-0.0024614i
