-0.026646-0.043027i,-0.021194-0.021492i,-0.012105-0.037769i,-0.030072-0.021535i,-0.024244-0.001797i,-0.013263-0.0039724i,-0.05263-0.053879i,-0.047138-0.016857i,-0.038115-0.015919i,0.010121+0.01415i,-0.008778+0.0058638i,-0.020038+0.019246i,0.0021814+0.012208i,-0.0040298-0.0025578i,0.00094187+0.00092872i,-0.00015152+0.028593i,0.025838+0.026582i,0.002851-0.0019247i,-0.0020212-0.0067205i,0.0079049+0.0027539i,0.0028104+0.00088051i,0.00010518+0.0036201i,-0.00038697-1.3834e-05i,-0.035174-0.010237i,0.00039084-0.007739i,0.0016192+0.0024431i,0.0057448+0.0011873i,0.0021755+0.00032534i,0.001284-0.00055946i,-0.00011083-0.0026873i,0.0017861-0.0022151i,-0.0024916-0.0055128i,-0.00041369-0.0046537i,0.0032681-0.0007018i,0.0050418-0.0027897i,0.0029423+0.029515i,0.0041213-0.0033801i,0.0030612-0.0015961i,0.0085169-0.00061378i,-0.0050453-0.0022513i,-0.00027226+0.00097815i,0.01015+0.00079551i,0.0047235-0.0017451i,-0.0029189+0.0089929i,-0.016703-0.0077594i,-0.017936+0.016663i,6.6567e-05-0.062326i,-0.0042908-0.027329i,-0.025609-0.034385i,-0.010246-0.026811i,0.052439-0.023539i,0.016818-0.043639i,0.02509-0.048121i,0.0092119-0.054272i,0.027878-0.019643i,0.0088715+0.0064865i,0.026865-0.033246i,-0.0083264-0.0061194i,0.0028999-0.0040228i,-0.0049989-0.006802i,-0.0014857-0.033524i,-0.020909+0.029408i,0.0094153-0.011837i,-0.0093602-0.0038092i,-0.0041037-0.0017578i,0.00062828-0.013095i,-0.011017+0.0042384i,0.0025941+0.010584i,-0.0059271+0.027121i,0.0047306+0.0027315i,-0.0054965-0.0017277i,-0.0019036-0.0021524i,-0.013057-0.0076292i,-0.00011401-0.0046267i,-0.036295-0.0011295i,0.0014051-0.010792i,-0.0087585-2.2706e-05i,-0.0072106-0.0023585i,0.0055244+0.0012102i,-0.0080521-0.00098105i,0.0019055+0.00019523i,0.0040329+0.0073482i,0.0046655+0.00065675i,-0.0074865-0.013876i,0.0027667+0.0096008i,-0.015265+0.0046198i,0.0073445+0.0002688i,-0.022913-0.0010394i,-0.01836+0.0051088i,-0.0036721-0.066283i,0.0075973-0.012359i,-0.047342-0.025325i,-0.02012-0.0012396i,0.016347+0.013136i,-0.024068+0.014241i,-0.01942-0.0061742i
-0.04599+0.027837i,-0.018749+0.019119i,-0.022498+0.042654i,-0.027965+0.013664i,-0.0048323+0.022923i,-0.00013422+0.0081408i,-0.028577+0.022955i,-0.0028395+0.029798i,0.0067144+0.019167i,-0.0054337-0.0078842i,0.0030593+0.0034033i,0.0078649+5.8918e-05i,0.0053552-1.3896e-05i,-0.0010099+0.0021774i,4.5312e-05+0.0019667i,0.005208-0.0049521i,-0.0064491-0.00072028i,-0.0032142-0.00090714i,0.0044804-0.001405i,-0.00022304-0.0010637i,0.0022179-0.0045213i,0.0012265-0.0028584i,0.0015423-0.0025213i,-0.0084698-0.010803i,-0.0010968+0.0024832i,-0.0016604+0.00014822i,-0.0039568-0.0011009i,-0.002843+9.7568e-05i,-0.0008639-0.0015221i,-0.00024847-0.00043465i,-0.0013438+0.004188i,0.00063273+0.0013027i,0.001635+0.0008329i,-0.00072284+0.00082463i,-0.0031345+0.0032617i,-0.0016038-0.0072028i,-0.0028634+0.00083135i,0.00088401-0.00077554i,-0.0021685+0.0033187i,0.003674+0.002746i,-0.00019411-0.0016711i,-0.00074741-0.0032281i,-0.0037348-0.00046361i,0.0048395+0.0013149i,-0.01879+0.021378i,0.0076543-0.040244i,-0.055518+0.0018388i,0.0092091-0.033125i,-0.031909-0.050553i,-0.02893-0.021021i,-0.064132+0.020683i,-0.039313+0.00094535i,-0.034502-0.0079084i,-0.026312-0.025392i,-0.039656-0.026058i,-0.0054166+0.0031578i,-0.029668+0.0094251i,0.0062027+0.018996i,0.0029123+0.0082748i,-0.0034875-0.0049889i,0.0023193+0.0019099i,-0.010987-0.0036412i,0.005272+0.01257i,-0.0006473+0.0062492i,-0.0017321-0.0014149i,0.0012875+0.0025283i,0.0040559-0.00073911i,-0.00406+0.017797i,0.002293+0.015177i,0.0037775+0.00062258i,0.0095546-0.0065942i,0.0044742+0.0033209i,-0.0089871-0.007523i,-0.00092029-0.0029882i,0.028273-0.033707i,0.0080885+0.010508i,0.0054237+0.0022732i,-0.0026204+0.002883i,0.0037459-0.0055897i,0.021142+0.010058i,0.0032296+0.0028589i,5.4262e-05-0.0068782i,0.0016165-0.0028954i,0.014783+0.0092432i,0.0051692+0.0017001i,0.0028644-0.0050046i,0.0038003+0.0095709i,-5.0273e-06+0.0012264i,0.0094417+0.0040055i,-0.042825-0.016959i,-0.0065922+0.012144i,-0.0027311-0.0040766i,-0.0076769+0.0042514i,-0.038143+0.010567i,-0.0061103+0.0075965i,-0.01135+0.013944i
-0.040802+0.034657i,-0.015618+0.018998i,-0.011738+0.038447i,-0.025259+0.017029i,-0.0016678+0.021077i,0.0012662+0.0080076i,-0.025696+0.027503i,0.0029453+0.028816i,0.0095719+0.01376i,-0.0071765-0.0046435i,0.0043355+0.003738i,0.0070645-0.0027093i,0.0048087-0.0019707i,0.00072081+0.0029295i,0.00035564+0.0021263i,0.0013998-0.0041962i,-0.0075081+0.0027595i,-0.0029338+0.00028206i,0.0046656-0.002628i,2.7804e-05-0.00099001i,0.00075764-0.0047562i,0.0010064-0.0024396i,0.00084471-0.0026627i,-0.010384-0.0077213i,0.00032338+0.0020452i,-0.0016729+0.00059834i,-0.0033755+0.00063758i,-0.0020788+0.00078545i,-0.0014107-0.0012755i,7.1249e-06-0.00030799i,0.00042441+0.0044389i,0.00046304+0.0013195i,0.0014659-0.00014452i,-0.00086396+0.0010361i,-0.0027452+0.0035504i,-0.0017269-0.0062119i,-0.0023681+0.0013968i,-0.00028894-0.0013572i,-0.0014624+0.0041258i,0.0034617+0.00044747i,-0.00052793-0.001533i,-0.0023365-0.002954i,-0.0038814+0.00076435i,0.005259+4.2181e-05i,-0.015161+0.020757i,-0.0065373-0.045925i,-0.049123+0.012804i,-0.00037685-0.041281i,-0.046144-0.04499i,-0.029843-0.0145i,-0.052389+0.032803i,-0.036302+0.010033i,-0.024651-0.010179i,-0.028776-0.021478i,-0.046698-0.010321i,-0.0045647+0.0028263i,-0.024914+0.022023i,0.011308+0.013031i,0.0055499+0.0046215i,-0.0086202-0.0076851i,-0.00088866+0.0037827i,-0.010894+0.0035169i,0.010082+0.0090481i,0.00059538+0.0079938i,-0.0017392+5.5396e-05i,0.0022422+0.0035158i,0.0042654-0.0010815i,0.0044266+0.014729i,0.0083592+0.0095772i,0.00017097-0.0025837i,0.0032134-0.0079331i,0.0049364+0.0027998i,-0.011749+0.00075373i,-0.0024878-0.00099749i,0.01151-0.037825i,0.012019+0.0078874i,0.0071124-0.00034764i,0.000966+0.0028498i,-0.00028502-0.0035332i,0.023335-0.00017152i,0.0034321+0.0012576i,-0.0034575-0.0053859i,-0.0022162-0.0018947i,0.014847+0.0026627i,0.0050561+0.0016824i,0.00088818-0.0036614i,0.0067532+0.0080804i,0.0001356+0.0017422i,0.010265+0.0004086i,-0.046179-0.012969i,-0.00098883-0.0018115i,-0.0019283-0.0039382i,-0.0063186+0.0048017i,-0.032011+0.022658i,-0.0037822+0.0084991i,-0.0067744+0.015146i
-0.034023+0.04021i,-0.013547+0.019292i,-0.0066804+0.032098i,-0.022432+0.020099i,0.0019756+0.020164i,0.0029613+0.0073643i,-0.020766+0.032162i,0.0082428+0.026404i,0.0094092+0.0095862i,-0.0077331-0.0012788i,0.0063679+0.0031233i,0.0029062-0.0038301i,0.0036686-0.0031371i,0.0015162+0.0026477i,0.0008681+0.0022171i,-0.0014962-0.0015549i,-0.006335+0.0067501i,-0.0017331+0.0010451i,0.0041778-0.0047028i,0.00032845-0.0015061i,-0.00081276-0.0044408i,0.0011002-0.0028222i,0.00031342-0.0026939i,-0.012209-0.0051376i,0.00081245+0.0015485i,-0.0011114+0.001348i,-0.0022286+0.00091086i,-0.00097109+0.0012548i,-0.0015521-0.0010795i,-0.00011668-0.00074274i,0.0020598+0.0036923i,0.00055713+0.0014445i,0.0010662-0.00049866i,-0.00054058+0.0010116i,-0.0010886+0.004692i,-0.0013973-0.0062969i,-0.0021418+0.00172i,-0.0012845-0.0012427i,0.0018639+0.00294i,0.0024938-0.00060143i,-0.00092087-0.0012337i,-0.0018831-0.0012943i,-0.0036369+0.0016986i,0.0047903-0.002226i,-0.013085+0.020739i,-0.023441-0.044319i,-0.039008+0.01947i,-0.012943-0.043624i,-0.054914-0.035581i,-0.027047-0.0089534i,-0.036749+0.038869i,-0.024754+0.015704i,-0.025948-0.014626i,-0.030212-0.018183i,-0.044897+0.0053942i,-0.0036944+0.0030553i,-0.013185+0.02964i,0.013164+0.0069583i,0.0036247-0.00046341i,-0.017755-0.0046817i,-0.00011884+0.0050295i,-0.0065547+0.0074715i,0.012216+0.0031742i,0.0034868+0.0081009i,-0.0034664+0.0014402i,0.0027118+0.001585i,0.0040666-0.0026959i,0.0072366+0.0083667i,0.008719+0.0037807i,-0.0042758-2.257e-06i,0.00023087-0.0061059i,0.0066368+0.0018236i,-0.0069989+0.0098581i,-0.00078993+0.0012722i,-0.0018257-0.034643i,0.015951+0.0017526i,0.0059737-0.0029492i,0.0011193+0.001198i,-0.00014501-0.0012392i,0.019163-0.0086707i,0.0017661+0.0027291i,-0.0054658-0.0026885i,-0.0033697+0.0019278i,0.011661-0.0021276i,0.0087194-0.0003186i,0.00095111-0.0034369i,0.010458+0.0043846i,0.0028148+0.0020938i,0.0093519-0.0031108i,-0.049635-0.0036079i,-0.0096309-0.010753i,0.00028681-0.0065519i,-0.0050502+0.0041965i,-0.022035+0.027826i,-0.0029783+0.0034613i,-0.0023596+0.01058i
-0.026308+0.04398i,-0.010832+0.020696i,-0.0053955+0.027197i,-0.01831+0.023162i,0.0054785+0.017266i,0.004548+0.005812i,-0.013784+0.035504i,0.012744+0.022585i,0.0089335+0.0076766i,-0.0070569+0.0018217i,0.0074314+0.0003992i,0.00059683-0.0013202i,0.0022602-0.0036013i,0.0015932+0.0026949i,0.001328+0.0019635i,-0.00166+0.0021731i,-0.0025071+0.0099437i,-0.00098103+0.00083132i,0.0022531-0.0056833i,-0.00034023-0.0021166i,-0.0018879-0.0034435i,0.00081197-0.0031456i,-0.00028229-0.0028781i,-0.013621-0.00090477i,0.0013434+0.00028643i,-0.00022173+0.00090714i,-0.0017155+0.00078825i,0.00013903+0.00066374i,-0.001709-0.00039115i,-0.00050576-0.0004566i,0.0030908+0.0023375i,0.0010426+0.0013204i,0.00034217-0.0008004i,-0.0003264+0.0010372i,0.001193+0.0040582i,-0.002534-0.0078752i,-0.0013626+0.0025847i,-0.0019889-0.00055383i,0.0016741-8.6726e-05i,0.0017804-0.00097647i,-0.00087144-0.00076484i,-0.0014396-0.0012187i,-0.0029753+0.0027081i,0.0019278-0.0048613i,-0.011088+0.022038i,-0.037228-0.031932i,-0.029558+0.020273i,-0.024741-0.04023i,-0.063325-0.024439i,-0.02266-0.0067626i,-0.023084+0.038103i,-0.014717+0.012014i,-0.027809-0.012268i,-0.031441-0.013076i,-0.038575+0.016339i,-0.0033685+0.0031835i,-0.00068749+0.029666i,0.0136+0.0014885i,-0.0011706-0.0012681i,-0.022203+0.0056712i,-0.00018703+0.0066859i,-0.0026524+0.0070359i,0.0099715-0.0034372i,0.0063704+0.0068733i,-0.0031175+0.0044481i,0.00075547+0.0018681i,0.0033617-0.005445i,0.0060488+0.0025928i,0.0059316+0.00046993i,-0.0031937+0.0030382i,-0.0014814-0.0044696i,0.0068502-0.0004089i,0.0028319+0.011451i,0.00028449+0.00067407i,-0.0097766-0.028164i,0.013981-0.0045713i,0.0045093-0.0045326i,0.001828+0.002541i,0.00023448-0.0013355i,0.013082-0.012387i,0.0049486+0.003476i,-0.0059647+0.00057004i,-0.00097819+0.0043767i,0.0088057-0.0030182i,0.0084704-0.0059168i,-0.00076111-0.0031351i,0.0099349-0.0022294i,0.0036043-0.00089836i,0.0079518-0.0068585i,-0.046241+0.0082835i,-0.019088-0.0097923i,-0.0018882-0.011984i,-0.0034175+0.0027241i,-0.01399+0.028181i,-0.0073027+0.0027071i,-0.0031538+0.0092082i
-0.018916+0.04625i,-0.0083289+0.020963i,-0.0062681+0.024968i,-0.013425+0.024872i,0.0074934+0.013963i,0.0049905+0.004021i,-0.0059576+0.036462i,0.01573+0.018097i,0.0094666+0.0063235i,-0.0048505+0.0039621i,0.0063123-0.0016914i,0.0010577+0.00082602i,0.0011946-0.003684i,0.0027825+0.0029499i,0.0017416+0.0016384i,0.00016115+0.004533i,0.0023747+0.010556i,-0.00074839+0.00065603i,0.00073853-0.005858i,-0.0012514-0.0020723i,-0.0026401-0.0025808i,8.6018e-05-0.0033703i,-0.0011857-0.0027482i,-0.011702+0.0034062i,0.00040975-0.0012079i,-0.00032246+0.00015311i,-0.001453+0.00090452i,0.00023865-0.0003635i,-0.001633+0.00017022i,-0.00026939-0.00011662i,0.0033546+0.00084332i,0.0016744+0.00058523i,-0.00028935-0.00051951i,-0.0002673+0.0011163i,0.0017529+0.0028761i,-0.0054355-0.0085805i,-0.00045453+0.0027319i,-0.002058+0.0006337i,-0.00015497-0.00057888i,0.0010364-0.00080829i,-0.00073219-0.00062917i,-0.0016804-0.001165i,-0.0017824+0.0032998i,-0.0011696-0.0035807i,-0.0075401+0.023895i,-0.038492-0.016069i,-0.023322+0.01841i,-0.034549-0.03336i,-0.068892-0.0089784i,-0.019986-0.0087391i,-0.01209+0.033996i,-0.010113+0.0070433i,-0.027992-0.010468i,-0.030744-0.0096229i,-0.031834+0.024355i,-0.0028201+0.0031914i,0.011838+0.025156i,0.012343-0.0033004i,-0.0045511+0.0013148i,-0.019584+0.015101i,0.0020334+0.0078918i,-0.00011997+0.0077703i,0.003613-0.0046722i,0.0084029+0.0047819i,-0.0012257+0.0064994i,0.00065435+0.003832i,0.0013654-0.0072146i,0.0019478+0.0024404i,0.0031851+0.00065414i,-0.0021348+0.0042944i,-0.0024319-0.0023084i,0.0060478-0.0025977i,0.0082246+0.0069308i,0.00059443+5.0939e-05i,-0.014376-0.025401i,0.010118-0.0086016i,0.0023975-0.0055697i,0.0049272+0.0023225i,-0.00018771-0.0004763i,0.0089281-0.013284i,0.007484+0.0007795i,-0.0039741+0.0038456i,0.001694+0.0041999i,0.0085167-0.0039682i,0.0036415-0.010747i,-0.00088956-0.0021956i,0.0058998-0.0061362i,0.0014137-0.0022692i,0.0039791-0.010175i,-0.038346+0.01337i,-0.026676-0.0026801i,-0.0064309-0.013779i,-0.0029838+0.00029701i,-0.0085725+0.027303i,-0.010342+0.00558i,-0.0016989+0.0097934i
-0.011616+0.047707i,-0.0060525+0.021752i,-0.0065591+0.026078i,-0.0086559+0.025002i,0.007991+0.010734i,0.0051827+0.0027717i,0.0019475+0.034963i,0.017397+0.013654i,0.0103+0.0041151i,-0.0028865+0.0040887i,0.0043428-0.0026721i,0.0022317+0.0017938i,2.9053e-05-0.0036075i,0.0040682+0.0018985i,0.0019216+0.001175i,0.0027132+0.0053337i,0.0070161+0.0086721i,-0.00053653+0.00073542i,-0.001298-0.0057519i,-0.0019827-0.0015847i,-0.0026776-0.0014167i,-0.0005869-0.0034484i,-0.0018402-0.0021683i,-0.0099636+0.0049826i,-0.0009627-0.0010961i,-0.00087116-1.6618e-05i,-0.0012137+0.0011184i,-0.00018755-0.0011963i,-0.001276+0.00059235i,-0.00012838-0.00033372i,0.0031196-0.00040351i,0.0016361-0.00045259i,-0.00047868-0.00016029i,-5.4518e-05+0.0010533i,0.0018718+0.0023202i,-0.0084805-0.0075405i,0.00017198+0.0024096i,-0.0014757+0.0013315i,-0.00096521+0.00034356i,0.00069681-0.00031275i,-0.00065852-0.00031379i,-0.0018753-0.00045886i,-0.00061605+0.0031962i,-0.0024054-0.0010955i,-0.0036386+0.025437i,-0.033104-0.0074483i,-0.019765+0.016824i,-0.040575-0.022448i,-0.066679+0.010403i,-0.023516-0.011306i,-0.0053713+0.02775i,-0.0074867+0.0027823i,-0.027701-0.0077407i,-0.031542-0.0064009i,-0.02352+0.029771i,-0.0033209+0.0035137i,0.018736+0.011691i,0.00993-0.0074135i,-0.0054674+0.0053298i,-0.012183+0.022329i,0.0046564+0.0065205i,0.0041953+0.0062481i,0.0007902-0.0017744i,0.01017+0.0010364i,0.0015998+0.0077517i,0.0019918+0.0048589i,-0.0037599-0.009175i,0.0010067+0.0053519i,0.0031867+0.0020953i,0.00036918+0.0071118i,-0.0015803-0.00062659i,0.0046395-0.0036114i,0.0097216+0.0015604i,0.0010258-0.00085757i,-0.022789-0.023608i,0.0057559-0.010393i,-7.8637e-05-0.0056402i,0.0051578-0.00044249i,9.4047e-05+0.0007544i,0.0063653-0.013079i,0.0073441-0.0026803i,-0.00094725+0.0049725i,0.0032516+0.0021921i,0.0068357-0.0063519i,-0.0033045-0.010171i,-0.0011843-0.0025288i,0.0023042-0.0056881i,0.00066441-0.0027734i,-0.0012218-0.010128i,-0.033581+0.015868i,-0.024806+0.010443i,-0.010914-0.013777i,-0.0042961-0.0011652i,-0.0046244+0.026949i,-0.0095924+0.010518i,0.0020516+0.0086402i
-0.0040078+0.048126i,-0.0031288+0.022781i,-0.0046673+0.028445i,-0.0050749+0.023928i,0.0074702+0.0087251i,0.0053057+0.0015062i,0.0086373+0.03154i,0.01797+0.0096455i,0.01078+0.0021477i,-0.0017587+0.0042258i,0.0029043-0.0020846i,0.0044369+0.0021643i,-0.0010692-0.0031423i,0.0043017-0.00034864i,0.0018956+0.00080153i,0.0048589+0.0046865i,0.0098228+0.0050669i,-0.00024106+0.00094213i,-0.0027038-0.004938i,-0.0023404-0.00069151i,-0.0023446-0.00042693i,-0.0015718-0.0033157i,-0.0022277-0.0015231i,-0.0088999+0.0076147i,-0.0017396-0.00049175i,-0.0013226+0.00049393i,-0.00092373+0.0013337i,-0.0013413-0.0015468i,-0.001039+0.00055552i,-0.00039602-0.00057367i,0.0025501-0.0014007i,0.001436-0.00077763i,-0.00014578-8.4635e-05i,0.00025909+0.00095703i,0.0023711+0.0012775i,-0.011381-0.0055135i,0.00082301+0.0022583i,-0.00096736+0.0014823i,-0.0011087+0.00082882i,0.000736-9.0726e-05i,-0.0004922-0.00010331i,-0.0014272-3.115e-05i,0.0001309+0.0026487i,-0.0021375+0.00029473i,0.001603+0.025328i,-0.029628-0.0056129i,-0.017042+0.016099i,-0.040607-0.012023i,-0.05674+0.026433i,-0.027025-0.0085761i,-0.0011191+0.022922i,-0.0074886-0.0014075i,-0.026525-0.0058795i,-0.031158-0.001395i,-0.014907+0.033004i,-0.0022922+0.0038191i,0.013523-0.0010225i,0.0056021-0.010841i,-0.0039224+0.0085935i,-0.0034969+0.023455i,0.005301+0.0039221i,0.005717+0.0019537i,0.0017813-0.00040361i,0.0094362-0.0021481i,0.0062643+0.006813i,0.0037681+0.0059049i,-0.0083791-0.0037514i,0.0033115+0.0070397i,0.0046739+0.0025734i,0.0041953+0.0066516i,-0.0011832-0.00012312i,0.0035112-0.0046108i,0.0093362-0.0047529i,-0.0008595-0.0012861i,-0.031806-0.014694i,0.0019167-0.010447i,-0.0021142-0.0041787i,0.0054074-0.00057389i,0.0008106+0.00076018i,0.0048206-0.015715i,0.0055149-0.0055927i,0.0014269+0.0039591i,0.0035197+0.0013078i,0.0051213-0.0071065i,-0.0067054-0.0061668i,-0.0024533-0.0023615i,-0.00057021-0.0053769i,-0.0010534-0.0033359i,-0.0045568-0.0079408i,-0.027849+0.018337i,-0.018196+0.011318i,-0.011681-0.012746i,-0.0055818-0.0014304i,0.00018079+0.025366i,-0.0079264+0.012439i,0.0025799+0.0058634i
0.0033411+0.047398i,0.00064658+0.023638i,-0.00080214+0.031058i,-0.0019944+0.02354i,0.0068285+0.0078236i,0.0049965+0.0004899i,0.013986+0.027125i,0.018181+0.0063187i,0.011109-0.00036849i,-0.000632+0.0042972i,0.0029163-0.0014236i,0.0065194+5.5369e-05i,-0.0019705-0.0022587i,0.0027196-0.0014322i,0.001971+0.00061802i,0.0065487+0.0028591i,0.010601+0.0013929i,0.00032678+0.00074591i,-0.0038963-0.0038824i,-0.0020955+0.00045659i,-0.0016559+8.5525e-05i,-0.0023274-0.0023461i,-0.0024778-0.00087243i,-0.0054085+0.0097869i,-0.0021295+0.00042476i,-0.0011313+0.0012334i,-0.00061357+0.0017303i,-0.0026125-0.00096699i,-0.00096647+0.00062305i,-0.00066211-0.00045389i,0.0015618-0.0021094i,0.0015034-0.0017835i,-0.00034793-0.0001856i,0.00036956+0.00080733i,0.0021019+0.00012961i,-0.013402-0.0016928i,0.0013486+0.0018234i,-0.00059495+0.0017603i,-0.0013575+0.0010823i,0.0010623+2.73e-05i,-0.00013365-0.00013318i,-0.0010754+8.2566e-05i,0.0004254+0.0019985i,-0.0014707+0.0013099i,0.0060769+0.023618i,-0.030406-0.0041427i,-0.01547+0.01515i,-0.040012-0.0035522i,-0.04302+0.035246i,-0.030187-0.0052475i,0.002772+0.017544i,-0.0082946-0.0031185i,-0.026137-0.0045708i,-0.029099+0.0042613i,-0.0057884+0.034044i,-0.0013502+0.0038091i,0.0061821-0.0032423i,0.00058905-0.012076i,5.4071e-05+0.01164i,0.0041136+0.020692i,0.0045968+0.0017233i,0.0046991-0.0020158i,0.0012512+3.2039e-05i,0.0075523-0.0055704i,0.009561+0.0035155i,0.0063648+0.0055376i,-0.0082007+0.00047902i,0.0061504+0.0076446i,0.0063014+0.0020809i,0.008292+0.0046133i,-0.00067567+0.00062902i,0.0029053-0.0054503i,0.005214-0.0085387i,-0.001265+0.00082952i,-0.035972-0.0020104i,-0.0009359-0.0096171i,-0.0029709-0.0021362i,0.006102-0.0016487i,0.0011696+0.000427i,7.561e-05-0.018785i,0.0028117-0.006853i,0.0031117+0.0032057i,0.0041488+7.0727e-05i,0.0047453-0.0080129i,-0.0087943-0.0034735i,-0.0038341-0.00054966i,-0.0032431-0.0039101i,-0.0021808-0.0031054i,-0.0061686-0.0054621i,-0.022925+0.018422i,-0.01647+0.011384i,-0.012651-0.013838i,-0.0071058-0.00085506i,0.0025131+0.024468i,-0.006797+0.013415i,0.0028292+0.0042842i
0.010902+0.04566i,0.0054654+0.023437i,0.0054593+0.032093i,0.001245+0.022945i,0.0072102+0.0078997i,0.0047741-5.7601e-05i,0.01781+0.021599i,0.018326+0.0030668i,0.010581-0.0030286i,0.0002826+0.003982i,0.003136-0.0019587i,0.006066-0.0032389i,-0.0023974-0.0011337i,0.0019101-0.001498i,0.0021194+0.00035398i,0.0068483+0.00045151i,0.0099003-0.0022486i,8.3164e-05+0.00023456i,-0.0050655-0.0022793i,-0.0012056+0.0009891i,-0.00082858-4.7831e-05i,-0.0024177-0.0015201i,-0.0024942-0.00010657i,-0.0015538+0.009904i,-0.0019219+0.0012852i,-0.00058367+0.001623i,0.00012735+0.0017891i,-0.0030755+0.00040424i,-0.00073606+0.0006009i,-0.00081781-0.00032773i,0.00046414-0.0023269i,0.00023884-0.0025348i,-0.00056796+2.6855e-05i,0.00041847+0.00069328i,0.0013701-0.0005441i,-0.013255+0.0028342i,0.0015565+0.0012248i,0.00012144+0.0018312i,-0.0012326+0.0016141i,0.0013234-0.00011054i,-8.9036e-05-0.00043315i,-0.00050028+3.5615e-05i,0.0003945+0.0016009i,-0.00057138+0.0019498i,0.0091278+0.021809i,-0.033081+0.00058843i,-0.014183+0.014518i,-0.035276+0.0049921i,-0.029945+0.039917i,-0.032637+0.0020525i,0.0051412+0.010941i,-0.006433-0.0054104i,-0.025391-0.0019432i,-0.024966+0.0097105i,0.0023553+0.033217i,-0.00092833+0.0031506i,0.0021014-0.0031864i,-0.0050364-0.011758i,0.0062725+0.011103i,0.007857+0.015707i,0.0023003+0.00039698i,0.0027238-0.0050011i,0.002025+0.0025081i,0.0036529-0.0074602i,0.01084-0.0020471i,0.0085985+0.003416i,-0.007647+0.004272i,0.010696+0.0068007i,0.0083635-0.00037469i,0.010379-0.00038559i,0.00024167+0.0011321i,0.0015169-0.0061422i,-0.00047275-0.0091789i,0.00041841+0.0025869i,-0.035111+0.01191i,-0.0030806-0.0087479i,-0.0026768-0.00014605i,0.0061704-0.0055873i,0.0015407+0.00065167i,-0.007173-0.018602i,-2.7927e-05-0.0065231i,0.004331+0.0013986i,0.0040749-0.00083528i,0.0028039-0.0095297i,-0.0096684+0.0021495i,-0.0033865+0.0018756i,-0.0049448-0.0017262i,-0.0037862-0.0030425i,-0.0065702-0.0032082i,-0.020831+0.018649i,-0.016001+0.01544i,-0.015757-0.016357i,-0.0061079+0.00090907i,0.0067435+0.024174i,-0.0061365+0.015366i,0.0038735+0.0015193i
0.018052+0.042476i,0.010112+0.021654i,0.012022+0.029975i,0.0045508+0.021857i,0.0084225+0.0076583i,0.0049899-0.00051685i,0.019769+0.016116i,0.017898-0.00022989i,0.0096634-0.0052352i,0.00080644+0.0038884i,0.0027543-0.0025116i,0.0036754-0.0050687i,-0.0024454-0.00021561i,0.0011082-0.0013531i,0.0021869-2.3883e-06i,0.0057534-0.0013725i,0.007856-0.0047347i,-0.00016158+0.00020557i,-0.0051032-0.00031772i,-0.00042176+0.00095143i,-0.00015521-0.00053926i,-0.002363-0.0011129i,-0.0021571+0.00055171i,0.0014235+0.0093028i,-0.001374+0.0016955i,-2.5101e-05+0.0018187i,0.00074683+0.0013032i,-0.0026437+0.0017585i,-0.00067216+0.00036427i,-0.0012054-9.6018e-05i,-0.00054592-0.0020509i,-0.0011705-0.0022908i,-0.00045525+0.00026032i,0.00058779+0.00060656i,0.00062409-0.00082218i,-0.011401+0.0065561i,0.0016482+0.00061932i,0.00060432+0.0014443i,-0.00058857+0.0023569i,0.0013882-0.00065247i,-0.00018276-0.00059402i,-0.00031524-0.00056099i,0.00028543+0.0014521i,0.00033048+0.0020506i,0.012164+0.020491i,-0.032361+0.0088414i,-0.014405+0.014166i,-0.029039+0.0089542i,-0.016657+0.041579i,-0.030467+0.011522i,0.0038433+0.004328i,-0.0069754-0.010885i,-0.022267+8.4136e-05i,-0.017895+0.01438i,0.011649+0.029684i,-0.0010037+0.0029876i,-0.0017659-0.002017i,-0.0095808-0.0084832i,0.010441+0.006605i,0.0095865+0.01263i,-0.00089631+0.0014903i,-0.00022168-0.0076964i,0.0053651+0.0014567i,-0.00043565-0.0069337i,0.0079073-0.00637i,0.0098398+7.7855e-05i,-0.0062109+0.0072383i,0.014345+0.0012104i,0.0080737-0.0052034i,0.0090932-0.005688i,0.00148+0.0010081i,-0.00042139-0.0065229i,-0.0044848-0.0058648i,0.002747+0.0017415i,-0.027445+0.026573i,-0.0052619-0.0074786i,-0.0013443+0.0010703i,0.0021095-0.007388i,0.0024573+0.00042512i,-0.014231-0.014931i,-0.001508-0.0048619i,0.0042027-0.00088524i,0.0036345-0.0017283i,-0.00018332-0.0096456i,-0.0059508+0.0067591i,-0.0017069+0.0033366i,-0.0055215+0.0021826i,-0.0062193-0.0021023i,-0.0064969-0.0018676i,-0.01691+0.022229i,-0.0084231+0.020074i,-0.022262-0.016014i,-0.0040406-7.4554e-05i,0.010044+0.02208i,-0.0036494+0.018271i,0.0028462-0.0021971i
