-0.023402-0.019158i,-0.031881-0.034662i,-0.02271-0.020054i,-0.032034-0.020526i,-0.024145+0.0039457i,-0.028957-0.017957i,-0.055318-0.048129i,-0.039781-0.044156i,-0.031568-0.011658i,0.0056153+0.0051524i,-0.0035914+0.0060395i,-0.010793+0.01153i,0.0039279+0.0070766i,-0.0037666-0.0025092i,0.0029361+0.001859i,0.0018588+0.028728i,0.010503-0.00079836i,-0.00018364+0.00019145i,-0.0032258-0.0028452i,0.008089+0.003763i,0.0018084+0.00052812i,-0.00046622+0.0021083i,-0.00059885+0.00029442i,-0.028172-0.0038906i,-0.0035705-0.0050124i,-0.00022647+0.0024922i,0.0042664-0.0012936i,0.00076734-0.00012645i,-0.00066859-0.00049056i,-0.00107-0.001883i,-0.0024401-0.00037025i,-0.0038798-0.0041856i,-0.0030411-0.0052649i,0.00061242-0.0011364i,0.00060874-0.0028063i,-0.0054122+0.026026i,0.0017205-0.0032779i,0.0023434-0.0038072i,0.0040374-0.0024196i,-0.0085805-0.00059508i,0.00050368+0.0013712i,0.010353+0.0118i,-0.0026938+0.00095916i,-0.0033072+0.0008793i,-0.0096186-0.0032822i,-0.018588+0.021561i,-0.0084058-0.086947i,-0.0022253-0.061519i,-0.021104-0.05383i,-0.011608-0.04574i,0.053363-0.027798i,0.023675-0.067798i,0.039316-0.052265i,0.0192-0.040914i,0.026343-0.019988i,0.01218+0.011957i,0.025261-0.029194i,-0.011414+0.00018256i,-0.0014049-0.00088071i,-0.0085083-0.0015077i,-0.0053985-0.029666i,-0.022069+0.027346i,0.007367-0.0097472i,-0.011031-0.0039368i,-0.0028454-0.0017902i,-0.00021635-0.014339i,-0.0084429+0.0055301i,0.0062136+0.010812i,-0.011409+0.030537i,0.0062761+0.0072281i,-0.0036546-0.0016623i,-0.00226-0.0014481i,-0.013162-0.0058213i,0.00058829-0.004389i,-0.03517+0.00013622i,0.0032603-0.0086569i,-0.0078954-0.0018251i,-0.0051274-0.0032109i,0.0071269+0.0015248i,-0.010099+0.00020772i,0.0021549-0.00029472i,0.0065901+0.0079162i,0.0055321+0.0014622i,-0.0075269-0.0099435i,0.0029375+0.0074616i,-0.018675+0.0090316i,0.0030204+0.0057346i,-0.021801-0.0083125i,-0.026936-0.0056875i,0.011368-0.061681i,0.018548-0.015193i,-0.050082-0.028127i,-0.021918+0.0025032i,0.019274+0.0099018i,-0.026827+0.01078i,-0.012405-0.007812i
-0.011805+0.013883i,-0.022575+0.042769i,0.0014919+0.04105i,-0.01042+0.025177i,-0.00020982+0.021319i,0.0014986+0.023444i,-0.026506+0.014864i,-0.027011+0.033104i,-0.00077325+0.015936i,-0.0013417-0.0011771i,-0.0010423+0.0016839i,0.0041048+0.0035961i,0.0033828+0.0050008i,-0.0031052+0.0017528i,-0.0030694+0.0036425i,0.00057324-0.0074428i,-0.0079036+0.00040868i,-0.0021252+0.00020711i,0.00024463-0.0013851i,-0.00097165-0.00045851i,0.0006061-0.0032807i,0.0012302-0.0026996i,0.0011102-0.0015747i,-0.0092026-0.0091389i,-0.00010809-0.00044026i,-0.0014829+0.00038457i,-0.002505+2.62e-06i,-0.0026418+0.00019947i,-0.00091065-0.00095674i,0.0010557-0.00057126i,-0.0016395-0.00012811i,0.0016501-0.00014303i,0.0017883-0.00088894i,0.00051979+0.00064525i,-0.00020129+0.0018394i,-0.00076467-0.0067938i,-0.0014012+0.00099178i,0.0017041+6.1057e-05i,0.0016119+0.0022682i,0.0041974+0.0051521i,0.0012964-0.0018034i,-0.0014108-0.0011176i,-0.0018183-0.0024411i,0.0032024+0.0068735i,-0.0065757+0.0075011i,0.019175-0.05899i,-0.074814+0.01474i,-0.028063-0.018238i,-0.061433-0.047649i,-0.053263-0.016817i,-0.086853+0.0035084i,-0.074079+0.001584i,-0.046495-0.035199i,-0.0093371-0.043865i,-0.037866-0.023901i,-0.006305+0.00039499i,-0.030771+0.010635i,0.0075697+0.011917i,0.0099277+0.0072519i,0.0011697-0.0078965i,0.011083+0.0025241i,-0.0095698-0.0024091i,0.0035641+0.012566i,0.0018695+0.0063027i,2.0541e-05-0.0014697i,0.0052197+0.0015965i,0.0040719+0.00083356i,-0.0050972+0.019408i,0.00066107+0.0092778i,0.00078541-0.0039477i,0.0081105-0.0057711i,0.001227+0.0040618i,-0.0081151-0.0070158i,-0.002367-0.00094419i,0.017677-0.033984i,0.0057879+0.008736i,0.0018486+0.0028662i,-0.0018883+0.0041416i,0.0025291-0.0036507i,0.019875+0.0035912i,0.0010679-0.0021103i,-0.001983-0.0059656i,-0.00056952-0.0019649i,0.011791+0.0030887i,0.0050991-0.00065714i,0.003604-0.0080433i,0.0042506+0.0047896i,-0.0052472+0.0035299i,0.013653+0.0068434i,-0.042106-0.038949i,-0.011965+0.0062564i,-0.0025587-0.0012384i,-0.00064918+0.0019472i,-0.041365+0.011624i,-0.0067851+0.0089621i,-0.013765+0.0036646i
-0.008941+0.014759i,-0.015309+0.043528i,0.010487+0.034794i,-0.0053593+0.025903i,0.002775+0.019016i,0.0059258+0.022192i,-0.025436+0.019512i,-0.019048+0.034869i,0.0025341+0.011472i,-0.001637-0.00035536i,-0.00021395+0.0028767i,0.0048127+0.0013291i,0.0042865+0.0031935i,-0.00157+0.0029372i,-0.002296+0.0047153i,-0.0038996-0.005538i,-0.0082979+0.0049759i,-0.0018079+0.0013615i,0.0010237-0.00080226i,-0.00044387-3.6346e-05i,-0.00021274-0.0031124i,0.00098722-0.0022186i,0.00085763-0.0015085i,-0.0113-0.0060276i,0.0001646-0.00026362i,-0.0013691+0.0007305i,-0.0018375+0.0010333i,-0.0021563+0.00087568i,-0.0012541-0.00079078i,0.0010517-0.00075216i,-0.0015709+0.00054787i,0.0010742-0.00052383i,0.00096373-0.0013848i,0.0001354+0.00059509i,-0.00069037+0.0014895i,-0.00096547-0.0055386i,-0.00077337+0.001063i,0.0008683-0.0003392i,0.001638+0.0013854i,0.0054021+0.0026525i,0.00075302-0.0021485i,-0.0023028-0.00090365i,-0.0030563-0.0012308i,0.0046434+0.0061417i,-0.004729+0.0052711i,0.00039755-0.068451i,-0.065876+0.029225i,-0.035056-0.0209i,-0.074052-0.038725i,-0.053447-0.0054155i,-0.078325+0.021425i,-0.0715+0.016378i,-0.041573-0.0339i,-0.014408-0.04176i,-0.044496-0.010455i,-0.0070639+0.0003672i,-0.024023+0.023191i,0.01023+0.0061425i,0.011831+0.0013705i,-0.005097-0.012212i,0.0073021+0.0020951i,-0.0091798+0.0024026i,0.0084338+0.010069i,0.0032888+0.0068i,-0.00076657-0.0010254i,0.0062759+0.0020668i,0.0051792+0.00069024i,0.003827+0.016667i,0.0045196+0.0045683i,-0.0035379-0.0055134i,0.0020983-0.0066137i,0.0029927+0.0048227i,-0.010627-0.00025128i,-0.0020756+0.0016794i,0.0028281-0.032144i,0.0085885+0.0073693i,0.0043508+0.0022654i,0.0017277+0.0029757i,-0.00057504-0.0016499i,0.017722-0.0058907i,-0.00035683-0.0026049i,-0.0057335-0.0036559i,-0.0031079-0.00089232i,0.0099519-0.00012808i,0.0043597-0.00021314i,0.0003518-0.0062371i,0.006017+0.0035995i,-0.0050915+0.005355i,0.013743+0.0018275i,-0.049032-0.033008i,-0.0067516-0.0046888i,-0.0031069-0.0010873i,0.00057702+0.00066993i,-0.034001+0.023283i,-0.004617+0.010243i,-0.011651+0.0063916i
-0.0057389+0.014787i,-0.008386+0.044006i,0.015452+0.027234i,-0.00054103+0.024685i,0.0064369+0.01777i,0.0099274+0.019709i,-0.022126+0.024405i,-0.012178+0.033501i,0.0021871+0.0076614i,-0.0018426+0.00078344i,0.0014818+0.0032082i,0.0024562-0.00021312i,0.0044749+0.0018536i,-0.00066131+0.0030271i,-0.00098031+0.0056643i,-0.0069679-0.0011491i,-0.0060152+0.0089511i,-0.0006818+0.0017573i,0.0015235-0.0018112i,0.00016911-0.00032626i,-0.0010928-0.0029026i,0.0008915-0.0030091i,0.00075759-0.0016447i,-0.012856-0.0025657i,-1.2037e-05-0.00027328i,-0.00087721+0.0013028i,-0.00092647+0.0008193i,-0.0013981+0.0017359i,-0.0012848-0.0006424i,0.00063423-0.0013535i,-0.0011343+0.0011294i,0.00057278-0.00072402i,0.00054903-0.0011866i,0.00051646+0.00029382i,-0.0001911+0.0023452i,-0.00017255-0.0055326i,-0.00076743+0.0008872i,0.00034809-0.00058956i,0.0022368+5.066e-05i,0.0050335+0.00039149i,0.00025855-0.0022078i,-0.001587+0.00035111i,-0.0036769+0.00032094i,0.0055043+0.004264i,-0.0044512+0.0037535i,-0.022094-0.068559i,-0.05218+0.03858i,-0.043915-0.017625i,-0.081954-0.02404i,-0.048875+0.0032917i,-0.063466+0.033095i,-0.058806+0.029169i,-0.045753-0.034759i,-0.018992-0.040757i,-0.043852+0.0052046i,-0.00713+0.001593i,-0.012082+0.029023i,0.010625+0.0013121i,0.0085644-0.0049299i,-0.015829-0.010432i,0.0070844+0.00046547i,-0.0061078+0.0057551i,0.011016+0.004515i,0.0061223+0.0061986i,-0.002767+0.00035728i,0.0068449-0.0015378i,0.006449-0.0017743i,0.0077014+0.011259i,0.0038913+0.0014259i,-0.0084639-0.0022049i,-0.00021386-0.0047532i,0.0059108+0.0037883i,-0.00665+0.0087789i,0.00021693+0.0029622i,-0.0052517-0.029347i,0.011979+0.0031685i,0.0040356-5.0916e-05i,0.0022179+0.00051464i,0.00041504+0.00034517i,0.011486-0.011149i,-0.0025573+0.0003129i,-0.0068622-0.00041694i,-0.0036469+0.0026007i,0.0069084-0.002393i,0.0067209-0.0018728i,0.00016965-0.0057049i,0.0089323+0.00057418i,-0.0021559+0.0063338i,0.01194-0.0026629i,-0.05452-0.021984i,-0.013845-0.01294i,-0.0023247-0.0033475i,0.0016936-0.0010112i,-0.023994+0.029287i,-0.0027069+0.0056278i,-0.0076039+0.0026543i
-0.0028162+0.013632i,-0.00091571+0.044197i,0.01755+0.019957i,0.0042304+0.02348i,0.010473+0.014274i,0.013403+0.016324i,-0.01695+0.028134i,-0.0078816+0.031739i,0.0015015+0.0064521i,-0.0010775+0.0018792i,0.0027946+0.0024105i,0.0012273+0.0013946i,0.0042568+0.00056447i,-0.00059102+0.0035591i,0.00055827+0.0057995i,-0.0065859+0.0043119i,-0.0013588+0.010898i,0.00019734+0.0014179i,0.00066141-0.0022986i,-8.3602e-05-0.0010027i,-0.0017569-0.0023276i,0.00014646-0.0032018i,0.0004923-0.0021773i,-0.012728+0.0020009i,2.883e-05-0.00034395i,4.928e-05+0.0010304i,-0.00073128+0.0003616i,-0.00024614+0.0016145i,-0.0015675-1.2661e-06i,-0.00011626-0.0013287i,-0.00055929+0.001419i,0.0001689-0.00076364i,-0.00031819-0.0010259i,0.00048189+9.4459e-05i,0.0010779+0.0020187i,-0.00068707-0.0068719i,-0.0003759+0.0013414i,-0.00032338-0.00042552i,0.0013094-0.00069488i,0.0040889-0.00069145i,-0.00030268-0.0025968i,-0.00078726+0.00022546i,-0.0033025+0.0021335i,0.0050019+0.0015853i,-0.0048884+0.0032971i,-0.041019-0.056725i,-0.03812+0.041221i,-0.050566-0.0099929i,-0.086346-0.0080987i,-0.042744+0.00841i,-0.050055+0.037189i,-0.045233+0.032135i,-0.050183-0.028679i,-0.023788-0.03694i,-0.03778+0.016252i,-0.0074052+0.0029931i,-0.0010948+0.028882i,0.009552-0.0035526i,0.0029718-0.0066619i,-0.022189-4.2366e-05i,0.0044815-0.00022582i,-0.00304+0.006059i,0.0091111-0.0015854i,0.0084344+0.0050882i,-0.0027182+0.0029875i,0.0036183-0.0027083i,0.0057606-0.0061309i,0.0083624+0.0055536i,0.0015557-2.5419e-05i,-0.0087438+0.001803i,-0.0016077-0.0034798i,0.007135+0.0012583i,0.0026288+0.0097119i,0.001755+0.0019787i,-0.0089268-0.024145i,0.01198-0.001246i,0.0034622-0.0012665i,0.0028569+0.0015728i,0.00098039-3.9067e-05i,0.0055451-0.011322i,4.0492e-05+0.0025914i,-0.0063126+0.0024478i,-0.00087386+0.0045883i,0.0048861-0.0022216i,0.0062344-0.0058321i,-0.0019456-0.0050815i,0.0083157-0.0052381i,-0.00048287+0.0054111i,0.0098846-0.0068883i,-0.053296-0.0090738i,-0.023017-0.013995i,-0.0029875-0.0071274i,0.0026542-0.0048175i,-0.015397+0.030257i,-0.006412+0.0038335i,-0.0098877+0.00038013i
-0.0011001+0.012285i,0.0057292+0.042321i,0.017058+0.014259i,0.0088237+0.020525i,0.01289+0.0097298i,0.015444+0.012404i,-0.010741+0.029826i,-0.0039819+0.030408i,0.0020112+0.0062244i,0.000236+0.0021759i,0.0031191+0.0013198i,0.0019708+0.0023496i,0.0039024-0.00038208i,0.00093491+0.0045146i,0.0021165+0.0055585i,-0.0034424+0.0076003i,0.0031078+0.010557i,0.00073054+0.0011444i,0.00028965-0.0021545i,-0.00063694-0.0010789i,-0.0026043-0.0017528i,-0.00062175-0.002979i,-0.000406-0.0024116i,-0.010118+0.0053195i,8.9333e-05-0.00069699i,0.00015427+0.00019863i,-0.00089781+0.00022062i,0.00030733+0.00097497i,-0.0012451+0.00080591i,-0.00022965-0.00089413i,9.329e-05+0.0015428i,1.7766e-06-0.0010646i,-0.00070139-0.00035639i,0.00034183-3.0383e-05i,0.0011815+0.0012438i,-0.0026818-0.0078142i,-6.2109e-05+0.0012007i,-0.00039932+0.00021082i,0.00058271-0.00096083i,0.0034433-0.00098349i,-0.001265-0.0024237i,-0.00057635+0.00018358i,-0.0018018+0.0027857i,0.0037316+0.0014296i,-0.0048998+0.0038336i,-0.04831-0.039414i,-0.027771+0.038956i,-0.055154+0.00010116i,-0.087262+0.0092626i,-0.038469+0.0093405i,-0.038467+0.038173i,-0.035309+0.032044i,-0.051324-0.022807i,-0.026174-0.033548i,-0.030504+0.025447i,-0.0067502+0.0046318i,0.011356+0.024945i,0.0069276-0.0063442i,-0.0016631-0.0054687i,-0.020369+0.0094579i,0.0035959+0.0003017i,-0.0011007+0.0065374i,0.0040532-0.0032644i,0.010323+0.0024373i,-0.0013427+0.0049056i,0.0015384-0.0016457i,0.0027627-0.0091932i,0.0042727+0.001105i,-0.00052289+0.0011712i,-0.0082564+0.0069933i,-0.0026933-0.0014222i,0.0070177-0.0014642i,0.0064428+0.0051883i,0.0024167+0.0010616i,-0.011196-0.02049i,0.010223-0.0056391i,0.0024297-0.0022099i,0.0056889-7.5267e-05i,0.0011605-5.5224e-05i,0.0026469-0.0097926i,0.0021917+0.0017361i,-0.0040514+0.0052987i,0.0018714+0.0043606i,0.0045225-0.002289i,0.0031227-0.0099477i,-0.002597-0.0036167i,0.0033456-0.0084872i,-8.5965e-05+0.0044902i,0.0050536-0.010461i,-0.047466-0.0025146i,-0.033252-0.0066898i,-0.005871-0.0088437i,0.0012933-0.0094531i,-0.0084877+0.029714i,-0.0099217+0.0063622i,-0.011144+0.0022991i
0.00035353+0.01134i,0.011778+0.040244i,0.016128+0.011324i,0.01195+0.016593i,0.012998+0.0049235i,0.016758+0.0088949i,-0.0042142+0.029244i,-0.0010925+0.028695i,0.0029485+0.0045471i,0.00086665+0.0014447i,0.0027441+0.00044617i,0.0029381+0.0025283i,0.0033347-0.0012265i,0.0027166+0.0037692i,0.003349+0.0047802i,0.00011563+0.0087351i,0.0071791+0.0082115i,0.0011648+0.00080403i,-0.00033078-0.0022911i,-0.0011718-0.00093637i,-0.0027114-0.00054554i,-0.0010516-0.002736i,-0.0010896-0.0020227i,-0.0081862+0.0064138i,-0.0014096-0.00034113i,-0.00020723-3.7836e-05i,-0.0011001+0.00020556i,0.00047362+0.00023976i,-0.00046221+0.0011396i,-0.00027005-0.00080857i,0.0007332+0.001386i,-0.00059018-0.00124i,-0.0004652+0.0001375i,7.6795e-05-0.0002378i,0.0013167+0.0013417i,-0.0054348-0.0083733i,-3.0978e-05+0.00079934i,0.00012605+0.00031011i,0.00011118-0.00086079i,0.0029504-0.001332i,-0.0015236-0.0014332i,-0.0005901+0.00024278i,-0.00071187+0.0029257i,0.0040258+0.0018957i,-0.0042566+0.0048087i,-0.046753-0.02693i,-0.020757+0.036923i,-0.055431+0.013291i,-0.082053+0.029457i,-0.039252+0.010101i,-0.029596+0.036457i,-0.026852+0.030892i,-0.050607-0.016851i,-0.029359-0.031004i,-0.022364+0.030021i,-0.0062653+0.0064678i,0.018437+0.011211i,0.0045281-0.008519i,-0.0047543-0.0020045i,-0.014848+0.016106i,0.0038377-0.00072836i,0.0024478+0.0057514i,0.0013171-0.0015363i,0.011261-0.0018713i,0.00059586+0.0063204i,0.00090992-0.00057821i,-0.0030455-0.010716i,0.002473+0.003831i,-0.00033528+0.0034532i,-0.0029412+0.012001i,-0.0016679+0.00059977i,0.005619-0.0030312i,0.0076242+0.0013408i,0.0032608-0.00055054i,-0.018743-0.01937i,0.0061361-0.0082526i,0.00087294-0.0026351i,0.0037309-0.0022575i,0.0010801+0.00083747i,0.0017447-0.0078991i,0.0028498+0.00026159i,-0.00082975+0.0060984i,0.0034435+0.0020398i,0.0034937-0.0031768i,-0.002425-0.010016i,-0.0031336-0.0035789i,0.00045645-0.0066033i,0.00077148+0.0035174i,-0.00099113-0.010368i,-0.044642+0.0018078i,-0.030635+0.0088507i,-0.0088181-0.0091037i,-0.0026296-0.011997i,-0.003951+0.028048i,-0.0089278+0.011871i,-0.008424+0.0034852i
0.0016763+0.010324i,0.01803+0.037666i,0.016301+0.0092377i,0.013581+0.01224i,0.01154+0.0016146i,0.017666+0.0053039i,0.0012119+0.027474i,0.0016121+0.028832i,0.0033435+0.003368i,0.0008816+0.0011566i,0.0023063+0.00049094i,0.0045352+0.0023974i,0.0024201-0.0017759i,0.0035481+0.0020322i,0.004172+0.0037946i,0.0033609+0.0084189i,0.009658+0.0040979i,0.0014451+0.00040508i,-0.00096727-0.0023506i,-0.0015473-0.00040432i,-0.0021635+0.00031181i,-0.0016621-0.0025603i,-0.0014763-0.0015504i,-0.0067201+0.0084243i,-0.0011404-1.5686e-05i,-0.00061438+0.00024795i,-0.00045758+0.00052778i,-8.1378e-05-0.00028057i,-6.9319e-05+0.00086695i,-0.00047689-0.00081915i,0.00109+0.001089i,-0.00076476-0.0005416i,-0.00012669+0.00012761i,-7.554e-05-0.00019386i,0.0018352+0.000476i,-0.0083155-0.0070794i,0.00035484+0.00061461i,7.9122e-05-0.00019663i,-0.00034005-0.00072893i,0.0024847-0.0017274i,-0.0013899-0.00087422i,-0.00025777+0.00044865i,0.00022594+0.0024593i,0.0045269+0.001024i,-0.0027544+0.0051865i,-0.045057-0.022162i,-0.015368+0.03542i,-0.04968+0.025309i,-0.07027+0.046105i,-0.0396+0.015789i,-0.022945+0.035405i,-0.021328+0.02795i,-0.049659-0.012842i,-0.031787-0.026687i,-0.01449+0.032643i,-0.0037139+0.0071833i,0.013133-0.0016851i,0.00070829-0.01052i,-0.0050014+0.0011355i,-0.0079319+0.018162i,0.0024089-0.0022479i,0.0035984+0.0027424i,0.0018212-0.00050411i,0.0095103-0.0052836i,0.004468+0.0063788i,0.0010974+0.001197i,-0.0083109-0.0051676i,0.0039224+0.005322i,0.0012513+0.0048326i,0.0029326+0.01145i,-0.00087235+0.0010183i,0.0044353-0.0044105i,0.0077679-0.0038639i,0.0016305-0.0018539i,-0.025596-0.012597i,0.0031331-0.0087722i,-0.00038644-0.0016345i,0.0040886-0.0010816i,0.0019256+0.00060139i,0.0022344-0.0088602i,0.0022327-0.0012751i,0.0016922+0.0048774i,0.003246+0.0011118i,0.0031436-0.0024965i,-0.0059542-0.0068039i,-0.0050041-0.0028994i,-0.0031273-0.0068467i,0.00089945+0.0023649i,-0.0048622-0.0075875i,-0.041315+0.007092i,-0.024314+0.010113i,-0.0087513-0.0084694i,-0.0065174-0.012184i,0.0014228+0.025076i,-0.0067746+0.013316i,-0.0080267+0.0029309i
0.0027579+0.0091885i,0.023789+0.034094i,0.017348+0.0074245i,0.013818+0.008658i,0.0096455-0.00038221i,0.01779+0.0017636i,0.0057965+0.024735i,0.0051318+0.028619i,0.0038968+0.0016734i,0.0010324+0.001003i,0.0027136+0.00064541i,0.0060007+0.00045937i,0.0015966-0.0018438i,0.0029627+0.00096075i,0.0048701+0.0028734i,0.0061145+0.0061363i,0.0098873+0.00033782i,0.0017474-0.00028923i,-0.001866-0.0022114i,-0.0014437+0.00053176i,-0.0015099+0.00079428i,-0.002165-0.0016484i,-0.0016288-0.001124i,-0.0032013+0.0099304i,-0.0010181+0.00035237i,-0.00040649+0.00073201i,-0.00060788+0.0013082i,-0.00095495-4.8494e-05i,8.8366e-05+0.00073701i,-0.00066241-0.00066129i,0.0019156+0.00073665i,-0.00041624-0.0005072i,-0.00035285+0.00016054i,-0.00020407-0.00012226i,0.0014249-0.00025418i,-0.010796-0.0048257i,0.00062724+0.00069233i,-0.00023014-0.0001399i,-0.00087166-0.00059655i,0.0021768-0.0017104i,-0.0013012-0.00099166i,-6.012e-05+0.00025197i,0.00047215+0.0018543i,0.0046599+0.00034867i,-0.0013942+0.0045155i,-0.047454-0.018478i,-0.010969+0.03358i,-0.041925+0.034486i,-0.054947+0.056305i,-0.03847+0.021496i,-0.01621+0.033295i,-0.017197+0.026465i,-0.049697-0.0095866i,-0.033174-0.02148i,-0.0063592+0.0336i,-0.0018585+0.0066262i,0.0056452-0.004095i,-0.0035408-0.010662i,-0.0032715+0.0045221i,-0.0015641+0.017025i,-0.00027637-0.0028757i,0.002879+0.0010707i,0.0013258-0.00011939i,0.00679-0.0085725i,0.0078379+0.0036285i,0.0024534+0.0017707i,-0.0088547-0.00094002i,0.0060915+0.0057834i,0.0035049+0.0054423i,0.0082936+0.0085319i,-0.00034029+0.001647i,0.0037067-0.0053464i,0.0040949-0.0085159i,0.00059492-0.00062615i,-0.031191-0.0020258i,0.0014304-0.0087294i,-0.00044036-0.00046144i,0.0047512-0.0013484i,0.0022435-1.4306e-06i,0.0008548-0.011273i,0.00068012-0.0014133i,0.0034738+0.0037735i,0.0036795+6.18e-05i,0.0043047-0.0033252i,-0.0076499-0.0037809i,-0.0067305-9.438e-05i,-0.0073328-0.0041638i,0.0007813+0.0012653i,-0.0062311-0.0044891i,-0.037629+0.010496i,-0.022265+0.010754i,-0.008677-0.01035i,-0.0097517-0.011136i,0.0022092+0.022354i,-0.0059406+0.013418i,-0.0071495+0.0032554i
0.0039143+0.0082399i,0.029806+0.029267i,0.019306+0.0048075i,0.013508+0.0059735i,0.0084701-0.00088656i,0.017313-0.0014426i,0.0091135+0.021007i,0.0096482+0.02676i,0.0037537-0.00028897i,0.0011046+0.00067473i,0.0031397-0.00013998i,0.0055184-0.0023035i,0.0010126-0.0015952i,0.0027802+0.00053485i,0.0055122+0.0016517i,0.0068318+0.003255i,0.008217-0.0027385i,0.0012467-0.0010473i,-0.0028047-0.0014544i,-0.00065225+0.00096339i,-0.00068049+0.00079809i,-0.0020652-0.0010563i,-0.0017808-0.00069296i,0.00040625+0.0094244i,-0.00068259+0.00063011i,-8.555e-05+0.00075619i,-0.00013493+0.001656i,-0.0010243+0.00062506i,0.0003651+0.00035238i,-0.00077929-0.00050986i,0.0018515-0.00037653i,-0.00081885-0.00050295i,-0.00048692+0.00036757i,-0.00030521+1.7631e-05i,0.00089416-0.00059675i,-0.011669-0.0013674i,0.00069894+0.00055376i,-0.00016312-1.9827e-05i,-0.0013416-0.00015063i,0.0020454-0.0021657i,-0.002612-0.0015965i,1.1543e-06+9.088e-05i,0.00042608+0.0015191i,0.0047746-0.00053799i,-0.00086366+0.0037449i,-0.052329-0.011458i,-0.0072123+0.031617i,-0.030771+0.040135i,-0.040083+0.062488i,-0.036208+0.0296i,-0.01021+0.029517i,-0.011024+0.024247i,-0.050106-0.0047576i,-0.032585-0.015672i,0.00056616+0.033438i,-0.001226+0.0058102i,0.00082223-0.0046273i,-0.0082832-0.0093869i,0.00061628+0.0053028i,0.0013005+0.015913i,-0.0033542-0.0015583i,0.0086563-0.011279i,0.002326+0.0017736i,0.0021623-0.010383i,0.0091651-0.0011803i,0.0036498+0.0012645i,-0.0086428+0.003626i,0.0097068+0.004941i,0.0073618+0.0039763i,0.012026+0.0035454i,0.00074864+0.0021524i,0.0021679-0.006195i,-0.00066424-0.0083567i,0.0014403+0.00077972i,-0.033838+0.0048399i,-0.00089054-0.0077348i,0.00028053+0.00072952i,0.005252-0.004797i,0.0026129-0.00030499i,-0.003874-0.01275i,-0.00033606-0.00072906i,0.0045274+0.0020584i,0.0034777-0.00059993i,0.0037242-0.0046225i,-0.0078943+0.00043976i,-0.0060705+0.0034964i,-0.007476+3.4643e-05i,-0.00053905-0.00010761i,-0.0062176-0.0021126i,-0.034623+0.013174i,-0.02069+0.015573i,-0.01101-0.014233i,-0.010705-0.0093739i,0.0045456+0.021593i,-0.0060857+0.015703i,-0.0055011+0.0019871i
0.0050394+0.006829i,0.034647+0.022726i,0.020513+0.0004487i,0.013235+0.0039198i,0.008176-0.0012064i,0.016667-0.0043217i,0.010963+0.017373i,0.013513+0.023568i,0.0027709-0.0018667i,0.00094675+0.0006149i,0.0029106-0.00093828i,0.0035811-0.0038485i,0.00065662-0.0013969i,0.002519+3.1342e-05i,0.005641+0.00020478i,0.0060126+0.0014562i,0.0063557-0.004156i,0.00062053-0.0013225i,-0.0029213-0.00045111i,2.001e-05+0.00086604i,0.00015024+0.00051807i,-0.0019467-0.00086085i,-0.0016804-0.00030238i,0.0031071+0.0085651i,-0.00044605+0.00057662i,0.00011324+0.00076368i,0.00050674+0.0013142i,-0.0006548+0.00089382i,0.00022746-0.00013732i,-0.0010153-0.00025781i,0.0013843-0.00093436i,-0.0011154-5.9525e-05i,-0.00016196+0.00064864i,-0.00035507+0.00021083i,0.00054982-0.0008414i,-0.011112+0.0017753i,0.0006851+0.00028648i,-0.00016935-0.00012649i,-0.0014516+0.00087639i,0.0015245-0.0029154i,-0.00062272+0.00052483i,-0.00010117-0.00020869i,0.00047447+0.001497i,0.0045989-0.0018461i,-0.00040488+0.003316i,-0.054379-2.6472e-05i,-0.0049074+0.029977i,-0.021046+0.040926i,-0.023569+0.066454i,-0.029405+0.038638i,-0.0069306+0.02446i,-0.0078166+0.01835i,-0.04846+0.00037563i,-0.029827-0.010073i,0.0091685+0.030497i,-0.0008172+0.0062223i,-0.0045855-0.0030686i,-0.011856-0.005706i,0.003244+0.0031887i,0.0035284+0.015189i,-0.0062709+0.0012391i,-0.001244-0.0080864i,0.004868+0.00044484i,-0.0027978-0.009322i,0.0068348-0.0047225i,0.0048197-0.00038713i,-0.0069876+0.0071867i,0.012503+0.00040688i,0.0087741-0.00089739i,0.012035-0.0037968i,0.002252+0.0017735i,4.2436e-05-0.006471i,-0.0043209-0.005474i,0.0030395-0.00022177i,-0.017401+0.021752i,-0.0032639-0.0065229i,0.0018056+0.0010606i,0.0022-0.006166i,0.0028269-0.00059149i,-0.0096334-0.010641i,8.4144e-06+0.00074743i,0.0049322-0.00013333i,0.0030344-0.001485i,0.0023842-0.0052685i,-0.0062701+0.0040023i,-0.0035861+0.005833i,-0.0070715+0.0039236i,-0.0029202+0.00017406i,-0.0057698-0.00073199i,-0.030656+0.017683i,-0.012273+0.019099i,-0.017124-0.015275i,-0.012012-0.0083223i,0.0055988+0.020298i,-0.0034364+0.01907i,-0.005251-0.0011711i
