-0.022953-0.018953i,-0.03238-0.033345i,-0.022464-0.01974i,-0.032625-0.020563i,-0.023926+0.0041329i,-0.028597-0.018082i,-0.057187-0.045686i,-0.040406-0.042884i,-0.029345-0.019212i,0.0049801+0.0048294i,-0.0038253+0.0066327i,-0.010957+0.011029i,0.0038184+0.0071012i,-0.003958-0.0025826i,0.0028623+0.0016442i,0.0026442+0.027404i,0.018754+0.024796i,-0.00027119+4.4533e-05i,-0.0032343-0.0027388i,0.00842+0.0040935i,0.0020094+0.00051458i,-0.00049101+0.0025399i,-0.00045964+0.00034583i,-0.029815-0.00085958i,-0.0038692-0.0045164i,-0.00029765+0.0024263i,0.005178-0.0015988i,0.00086937-0.00015197i,-0.00057316-0.00058872i,-0.0012986-0.0018427i,-0.0023504-0.00050119i,-0.0036921-0.0039462i,-0.0033988-0.0059847i,0.00060306-0.0012179i,0.00052153-0.002891i,-0.0037961+0.026538i,0.0018531-0.0033915i,0.0023442-0.0038832i,0.0042191-0.002016i,-0.0082306-4.148e-05i,0.00052306+0.0012758i,-0.0011642-0.009455i,-0.0023384+0.00073432i,-0.0031834+0.00087491i,-0.0096396-0.0034833i,-0.018722+0.021874i,-0.0085037-0.086648i,-0.0023213-0.061158i,-0.021257-0.053769i,-0.0112-0.045909i,0.05378-0.027085i,0.023801-0.067284i,0.041403-0.05458i,0.018688-0.039606i,0.025797-0.019944i,0.012242+0.011931i,0.025907-0.028598i,-0.011459-0.0012389i,-0.0014358-0.0010981i,-0.0082141-0.0017846i,-0.0049472-0.029168i,-0.021615+0.025626i,0.0075145-0.0095615i,-0.010429-0.0033788i,-0.0027277-0.0018134i,-0.00076064-0.014672i,-0.0084822+0.0054694i,0.0060664+0.010861i,-0.011012+0.029168i,0.0063611+0.0074588i,-0.0033372-0.0016781i,-0.0023887-0.0012908i,-0.01305-0.0059118i,0.00072811-0.0046876i,-0.031024+0.0027643i,0.0035937-0.0086316i,-0.0071973-0.0019406i,-0.005321-0.0030893i,0.0069962+0.0016192i,-0.010172+0.00045482i,0.0025055-0.00032584i,0.0063587+0.007942i,0.0055301+0.00096423i,-0.0076529-0.010202i,0.0031328+0.0079157i,-0.019844+0.0070812i,0.0032928+0.0057499i,-0.020999-0.0087627i,-0.026977-0.0053012i,0.0099226-0.060338i,0.018936-0.014895i,-0.051134-0.028222i,-0.022613+0.0034896i,0.01894+0.010436i,-0.027098+0.011681i,-0.012027-0.0075557i
-0.011643+0.013796i,-0.021606+0.042363i,0.0014495+0.040707i,-0.010222+0.024972i,-0.00025983+0.02117i,0.0014222+0.023311i,-0.026027+0.014562i,-0.025917+0.032441i,0.00020594+0.018296i,-0.0012484-0.001308i,-0.00096358+0.001633i,0.0042191+0.0035566i,0.0034233+0.0047521i,-0.0031794+0.0016871i,-0.0030597+0.0038173i,9.9157e-08-0.0075576i,-0.0086436-0.0017852i,-0.0023924+0.00021498i,0.00017964-0.0010506i,-0.0010484-0.0004284i,0.00069264-0.0033263i,0.0012512-0.0028666i,0.00098008-0.0015074i,-0.0089656-0.0085605i,-6.3646e-05-0.00032617i,-0.0014456+0.00032959i,-0.0025379+3.3475e-05i,-0.0027948-0.00015257i,-0.00092803-0.00096084i,0.00096652-0.00073513i,-0.0017487+0.00024083i,0.0016282-7.9035e-05i,0.0018262-0.00077876i,0.0004862+0.00052193i,-0.00040964+0.0019667i,1.4488e-05-0.0072923i,-0.0013028+0.0010219i,0.0016948+0.00015638i,0.0013306+0.0031084i,0.0052201+0.0058398i,0.0013302-0.0015957i,-0.0015976-0.00099149i,-0.0013488-0.0022577i,0.0028694+0.0059248i,-0.0081511+0.0079932i,0.019201-0.05898i,-0.074403+0.015649i,-0.027697-0.018669i,-0.061151-0.047888i,-0.053486-0.016943i,-0.086548+0.0026196i,-0.073307+0.0013319i,-0.045705-0.035066i,-0.008546-0.045489i,-0.037224-0.025126i,-0.0061646+0.00029677i,-0.031201+0.0099952i,0.0074509+0.011438i,0.0094536+0.0077157i,0.0017727-0.008274i,0.010192+0.0031465i,-0.010591-0.0032558i,0.003058+0.011375i,0.00087069+0.0064008i,-0.00010597-0.0014621i,0.0051436+0.0022211i,0.0037737+0.00073245i,-0.0052596+0.01949i,0.00023621+0.0087654i,0.0003039-0.0041141i,0.008359-0.0059629i,0.0012731+0.004224i,-0.0089846-0.0066552i,-0.0028431-0.00094111i,0.020584-0.034702i,0.0054712+0.0088587i,0.0017404+0.0026984i,-0.0018923+0.0039651i,0.0026585-0.0039296i,0.019928+0.0024921i,0.0011728-0.0018905i,-0.0024161-0.0063521i,-0.00088925-0.0020326i,0.010025+0.0057809i,0.005168-0.00064433i,0.0036691-0.007463i,0.0049936+0.0048817i,-0.0062664+0.0034903i,0.013505+0.0065816i,-0.042235-0.038484i,-0.010766+0.0056546i,-0.0021314-0.0020243i,-6.0324e-05+0.0015082i,-0.040493+0.011722i,-0.0068234+0.0087226i,-0.014197+0.0039862i
-0.008805+0.014584i,-0.014285+0.042993i,0.010704+0.034457i,-0.0052496+0.025645i,0.0027031+0.018822i,0.0057877+0.022033i,-0.025188+0.018873i,-0.018186+0.034665i,0.0044013+0.012909i,-0.0015717-0.00046308i,-0.00017247+0.0028689i,0.004895+0.00116i,0.0042669+0.0029088i,-0.0016601+0.0027987i,-0.0022503+0.004834i,-0.0044151-0.0053795i,-0.009821+0.0027357i,-0.0016028+0.0013394i,0.00086751-0.00063004i,-0.00048787-4.1706e-05i,-0.00020644-0.0032662i,0.0010794-0.0023213i,0.00081398-0.0013742i,-0.010787-0.0053389i,0.00015997-0.00014907i,-0.00131+0.00070315i,-0.0018912+0.0010133i,-0.0023635+0.0006995i,-0.0011931-0.00086555i,0.00090989-0.00083812i,-0.0014683+0.0013077i,0.0011255-0.00036064i,0.0010272-0.0013365i,0.00014042+0.00056856i,-0.00079709+0.0015229i,2.7365e-05-0.0058289i,-0.00075069+0.0010571i,0.00084988-0.00040097i,0.0028568+0.0026126i,0.0061728+0.0029059i,0.00075456-0.0021233i,-0.0025539-0.00076512i,-0.0026014-0.001368i,0.0045784+0.005192i,-0.0057717+0.0061495i,0.00065322-0.068125i,-0.064934+0.029706i,-0.034941-0.021338i,-0.074311-0.038822i,-0.053463-0.0054301i,-0.078477+0.020365i,-0.071181+0.015752i,-0.040442-0.033813i,-0.014203-0.043752i,-0.044084-0.01141i,-0.0070418+0.00033458i,-0.024848+0.022659i,0.010063+0.0062637i,0.011494+0.0015228i,-0.0043083-0.012905i,0.0067774+0.0025552i,-0.010741+0.0025875i,0.0074249+0.009555i,0.0027101+0.0080174i,-0.00083026-0.00088884i,0.0064683+0.002362i,0.0049332+0.0006364i,0.003746+0.016451i,0.0037678+0.0045983i,-0.0038296-0.0053004i,0.0023023-0.006824i,0.0031442+0.005039i,-0.010637+0.00090416i,-0.0023518+0.0019035i,0.0058472-0.031809i,0.0086316+0.0075939i,0.0040813+0.0018231i,0.0016437+0.0025287i,-0.00043868-0.0016035i,0.017165-0.0063258i,-0.00032075-0.0025125i,-0.0058639-0.0042101i,-0.0032561-0.00064615i,0.0099397+0.0010033i,0.004235-0.00034587i,0.00061489-0.0061833i,0.0065281+0.0034154i,-0.0058097+0.0055146i,0.013434+0.001657i,-0.049385-0.032311i,-0.0061223-0.0044581i,-0.0016533-0.0028771i,0.00074979-7.6175e-05i,-0.034654+0.023636i,-0.0044392+0.0097377i,-0.010512+0.0059011i
-0.0055694+0.014598i,-0.0074988+0.043335i,0.015612+0.026803i,-0.00066711+0.024437i,0.0062804+0.017572i,0.009737+0.019545i,-0.0222+0.023675i,-0.011445+0.033774i,0.0040224+0.0080442i,-0.0017478+0.00060346i,0.0016143+0.0033663i,0.0023355-0.00028454i,0.0044406+0.0016566i,-0.0007968+0.0029817i,-0.00091025+0.0057259i,-0.0073193-0.00087593i,-0.0084413+0.0076457i,-0.0006714+0.0016076i,0.0016528-0.0017109i,0.00015659-0.00035124i,-0.001106-0.0030343i,0.00088881-0.0028944i,0.00081111-0.0016202i,-0.011946-0.002334i,8.093e-05-0.00025212i,-0.00084126+0.0013016i,-0.0010499+0.00087953i,-0.0014525+0.0016373i,-0.0013765-0.00061394i,0.00048359-0.0013851i,-0.00042129+0.0017186i,0.00079383-0.00064511i,0.0001244-0.0013024i,0.00054504+0.00023576i,-0.00046688+0.00238i,0.00082129-0.0062253i,-0.00055334+0.00101i,0.00023979-0.00055894i,0.0040832-0.00017703i,0.0053378+0.00039841i,0.00020462-0.0022184i,-0.0018328+0.0005893i,-0.0035182-0.00013557i,0.0054669+0.0031967i,-0.0051412+0.0047003i,-0.021414-0.068034i,-0.051105+0.038867i,-0.043532-0.018107i,-0.082136-0.023696i,-0.048741+0.0032471i,-0.063801+0.032289i,-0.058713+0.028579i,-0.044534-0.035368i,-0.019798-0.042985i,-0.043371+0.0034687i,-0.007215+0.0015598i,-0.012859+0.028885i,0.010777+0.0015665i,0.0083424-0.0044999i,-0.015711-0.011545i,0.006788+0.0010103i,-0.0073341+0.0064897i,0.010384+0.0045825i,0.0058843+0.0070437i,-0.0027073+0.00049444i,0.006826-0.0013726i,0.0061538-0.0017655i,0.0075038+0.010569i,0.0035437+0.0013989i,-0.008602-0.0020343i,-0.00021487-0.0048149i,0.0060032+0.0038901i,-0.006173+0.0095319i,9.8141e-05+0.0028407i,-0.0048636-0.029135i,0.01206+0.0032735i,0.0038779-6.5862e-05i,0.0019199+0.0013257i,0.00060686+0.00022387i,0.011189-0.010905i,-0.0024391+0.00046172i,-0.0070937-0.00076065i,-0.0034304+0.0027925i,0.0069021-0.0018135i,0.0069579-0.0017118i,0.00034582-0.0058517i,0.00916+0.00061297i,-0.002793+0.0066041i,0.011756-0.0025892i,-0.054657-0.021391i,-0.011552-0.014078i,-0.0015085-0.0038326i,0.0012642-0.0024189i,-0.023545+0.029774i,-0.00324+0.0057i,-0.0076065+0.0014177i
-0.0026371+0.01348i,-0.00028959+0.04316i,0.017703+0.019617i,0.0039821+0.023321i,0.01034+0.01416i,0.013136+0.016195i,-0.017294+0.027584i,-0.0065978+0.031846i,0.0030979+0.0061818i,-0.0011718+0.0017019i,0.0031561+0.002103i,0.0012337+0.0014279i,0.0042057+0.00061928i,-0.00059219+0.0036468i,0.00061352+0.005794i,-0.0068263+0.0048105i,-0.0038924+0.010941i,0.00020083+0.0013437i,0.00065155-0.002249i,-5.8842e-05-0.0010118i,-0.0017912-0.0024317i,0.00030954-0.0030731i,0.00051312-0.0022212i,-0.0119+0.0017437i,0.000106-0.00043677i,0.00016941+0.00097672i,-0.00081858+0.00036902i,-0.00031146+0.0015658i,-0.0015724+0.00018358i,-0.00024037-0.0012361i,0.00031991+0.0014987i,0.00023176-0.00081735i,-0.00041129-0.0007675i,0.00045135+8.6624e-06i,0.00093956+0.0022608i,-9.112e-05-0.0082918i,-0.00017369+0.0015834i,-0.00035374-0.00033868i,0.0018587-0.0013724i,0.0044632-0.00078929i,-5.9132e-05-0.0025078i,-0.00083595+0.00047384i,-0.0035263+0.0016404i,0.0046319+0.00082828i,-0.0054377+0.0043376i,-0.040184-0.056373i,-0.037121+0.040834i,-0.050193-0.010676i,-0.085843-0.0079487i,-0.042661+0.0083321i,-0.050586+0.036561i,-0.045347+0.031538i,-0.049928-0.02974i,-0.025447-0.038506i,-0.038931+0.014349i,-0.0075123+0.0029841i,-0.001069+0.02931i,0.0097628-0.0032064i,0.0029915-0.0063487i,-0.02282-0.0010026i,0.0042763+0.00044506i,-0.0034799+0.0071654i,0.0091358-0.0014088i,0.0084124+0.0053946i,-0.0027032+0.0030587i,0.0037703-0.0024813i,0.0055543-0.0059348i,0.0068899+0.0044062i,0.00092589-2.691e-05i,-0.0088746+0.0020365i,-0.0016543-0.0034313i,0.0070657+0.0012527i,0.0034498+0.010102i,0.0015404+0.0017473i,-0.009023-0.022408i,0.011916-0.0012012i,0.0036741-0.0010603i,0.0026829+0.001843i,0.0010789-3.8415e-05i,0.0055707-0.010962i,0.00011863+0.0025608i,-0.0068181+0.0026615i,-0.00074971+0.0046216i,0.005028-0.001525i,0.006646-0.0060748i,-0.0018723-0.0053628i,0.0079784-0.0047524i,-0.00081842+0.0056273i,0.0098176-0.0066899i,-0.053272-0.0087768i,-0.021473-0.015472i,-0.0028952-0.0078248i,0.00083852-0.0053842i,-0.01566+0.030366i,-0.0062689+0.0042519i,-0.010397-0.00013742i
-0.00094377+0.012124i,0.0063266+0.041337i,0.017089+0.014054i,0.0085373+0.020516i,0.012761+0.0095762i,0.015106+0.012383i,-0.01121+0.029464i,-0.0028509+0.030433i,0.0032073+0.0055298i,8.307e-05+0.0021257i,0.0031596+0.0010194i,0.0021108+0.0024352i,0.0039348-0.00032871i,0.0010069+0.0045355i,0.002157+0.0055279i,-0.0034146+0.0082845i,0.00087628+0.011407i,0.00068874+0.0010266i,0.00039259-0.0021954i,-0.00062827-0.0011123i,-0.0026247-0.00183i,-0.00051715-0.0029416i,-0.00042176-0.0024644i,-0.0095299+0.0048611i,-0.00021055-0.001332i,0.00011102+0.00015286i,-0.0008674+0.00023767i,0.00028838+0.00096949i,-0.001155+0.00093345i,-0.00030003-0.00076599i,0.00056994+0.0012863i,-3.3478e-05-0.0010822i,-0.00034186-0.00038576i,0.00032867-0.00011059i,0.0012297+0.0014718i,-0.0033505-0.0090654i,-0.0001025+0.0016515i,-0.00030465+0.00028636i,0.00061042-0.0011576i,0.0037259-0.0011631i,-0.0008164-0.0026859i,-0.00063804+0.00034399i,-0.002319+0.0029062i,0.0034816+0.0010251i,-0.005068+0.0050628i,-0.047211-0.039246i,-0.027322+0.038526i,-0.054824-0.00069821i,-0.086872+0.0087912i,-0.038385+0.0092507i,-0.039162+0.038148i,-0.035807+0.031747i,-0.051827-0.023515i,-0.027889-0.034534i,-0.032389+0.024839i,-0.0069034+0.0046931i,0.012238+0.025136i,0.007314-0.0061339i,-0.0015555-0.0053433i,-0.021763+0.0093512i,0.0037038+0.00094618i,-0.00042574+0.008084i,0.0041106-0.0033782i,0.010295+0.0027768i,-0.0011753+0.0048695i,0.0018522-0.001488i,0.0027019-0.0088395i,0.0049076+0.0026904i,-0.00091321+0.0014772i,-0.0084591+0.0070719i,-0.0027527-0.0013218i,0.0068413-0.0014971i,0.007546+0.0046438i,0.0020665+0.0010114i,-0.010809-0.019078i,0.010175-0.005552i,0.002678-0.0021433i,0.0055224+2.2657e-05i,0.001317-5.1852e-05i,0.002795-0.0095335i,0.0022776+0.0017365i,-0.0042696+0.0058294i,0.0022062+0.0041297i,0.0048062-0.001658i,0.0033489-0.01023i,-0.0026756-0.0038107i,0.0037201-0.0078198i,-0.00044632+0.0044869i,0.0050572-0.010222i,-0.047413-0.0025519i,-0.032967-0.0078895i,-0.0060851-0.0094661i,-0.0004592-0.0085618i,-0.0082083+0.03025i,-0.0097376+0.0064804i,-0.011574+0.0024243i
0.00038415+0.011154i,0.012316+0.039031i,0.016309+0.011226i,0.011687+0.016424i,0.012889+0.0047656i,0.016483+0.009046i,-0.0047048+0.029234i,0.00023467+0.028929i,0.0036367+0.0036972i,0.00080178+0.0014285i,0.0026255+0.00031878i,0.0031355+0.0024547i,0.0033716-0.0011605i,0.0027462+0.0037148i,0.00339+0.004758i,0.00043643+0.0092944i,0.0057455+0.0098606i,0.0010578+0.0006914i,-0.00020201-0.0025021i,-0.0011828-0.0009347i,-0.0026904-0.00057125i,-0.0009812-0.0026736i,-0.0011046-0.0020396i,-0.0074477+0.0058326i,-0.0009149-6.5029e-05i,-0.00026832-2.4267e-05i,-0.0010336+0.0002358i,0.00043093+0.00026542i,-0.00042549+0.0011333i,-0.00024967-0.00066087i,0.0010579+0.0011368i,-0.000584-0.0010923i,-0.0002837+2.1054e-05i,8.3153e-05-0.00025433i,0.0013869+0.0013723i,-0.0057872-0.0080473i,-7.443e-05+0.00098475i,0.0001653+0.00030379i,-4.0418e-05-0.00084165i,0.0031287-0.0016222i,-0.0016907-0.001812i,-0.00065302+0.00042295i,-0.00083734+0.0033669i,0.0038144+0.0013542i,-0.004063+0.0060229i,-0.045725-0.027142i,-0.020466+0.036171i,-0.055269+0.012658i,-0.081734+0.028557i,-0.039174+0.010057i,-0.029999+0.036752i,-0.027233+0.030844i,-0.051672-0.016702i,-0.031012-0.031323i,-0.022988+0.030277i,-0.006418+0.0066905i,0.018834+0.010956i,0.004703-0.0087272i,-0.0047192-0.0019297i,-0.015606+0.017715i,0.0041518-0.00012106i,0.0044764+0.0063431i,0.001344-0.0014216i,0.011506-0.0016687i,0.00073947+0.0058997i,0.0012366-0.00066661i,-0.0024142-0.010719i,0.0032132+0.0037472i,-0.00063463+0.0037717i,-0.0026176+0.010971i,-0.0016485+0.00067554i,0.0057602-0.0030881i,0.0079588+0.00025794i,0.0030944-0.00038773i,-0.017243-0.018013i,0.0063069-0.0080573i,0.0010329-0.0027187i,0.0036752-0.0018008i,0.0011514+0.00071403i,0.0019945-0.0076246i,0.0029192+0.00015588i,-0.00098789+0.0068711i,0.0033127+0.0015857i,0.0039651-0.0029814i,-0.0026616-0.010483i,-0.0031706-0.0033928i,-0.00067162-0.0077293i,0.00050961+0.0033655i,-0.0008008-0.010108i,-0.044878+0.0018708i,-0.031+0.0078744i,-0.0095643-0.0094485i,-0.0037065-0.010379i,-0.0028216+0.028274i,-0.0088749+0.011641i,-0.0084313+0.0037557i
0.001659+0.010188i,0.018177+0.036333i,0.016529+0.0089762i,0.013126+0.012201i,0.011435+0.0014621i,0.017513+0.0054845i,0.00081402+0.02762i,0.002283+0.028592i,0.0037042+0.0024972i,0.00077796+0.0011213i,0.0022808+0.00042641i,0.0045424+0.0021826i,0.0025105-0.0016799i,0.0035616+0.0020258i,0.0042018+0.0037661i,0.0038614+0.0088606i,0.0087482+0.006626i,0.0013507+0.0004109i,-0.00087057-0.0025385i,-0.0015149-0.00035768i,-0.0021381+0.00029202i,-0.0015692-0.0024973i,-0.0014825-0.0015745i,-0.0063628+0.0075405i,-0.00095621+6.8601e-05i,-0.0006012+0.00027317i,-0.00046071+0.00072537i,-0.00018427-0.00019859i,-6.2458e-05+0.00083272i,-0.00038245-0.00076058i,0.0013116+0.00053932i,-0.00067448-0.00048883i,-7.8025e-05+8.3744e-05i,-5.4755e-05-0.00021087i,0.0019043+0.00045706i,-0.0080953-0.0071731i,0.00021755+0.00022016i,7.1946e-05-0.00015566i,-0.00043108-0.00056028i,0.0024517-0.0021083i,-0.0015792-0.001113i,-0.00024925+0.00055692i,0.0003526+0.0027549i,0.0041819+0.00055048i,-0.0022861+0.0062895i,-0.044171-0.022421i,-0.015313+0.034706i,-0.049277+0.024745i,-0.070372+0.045172i,-0.039475+0.015616i,-0.023008+0.035752i,-0.021489+0.028186i,-0.050372-0.011584i,-0.033462-0.026634i,-0.01474+0.033029i,-0.0036168+0.0073058i,0.013427-0.0018852i,0.00082489-0.010851i,-0.0048702+0.0011653i,-0.0078447+0.01993i,0.0030308-0.0018701i,0.0054022+0.001451i,0.0019555-0.00035507i,0.0097662-0.0051169i,0.0043898+0.0064261i,0.0012182+0.0011062i,-0.0082059-0.005887i,0.0040572+0.0048053i,0.0011659+0.0054655i,0.0032396+0.010147i,-0.00088131+0.00098042i,0.0045364-0.0044754i,0.0070397-0.0049185i,0.0018047-0.0015255i,-0.025545-0.011014i,0.0030008-0.0085906i,-0.00026429-0.0018442i,0.0039529-0.00082214i,0.0017242+0.00063278i,0.0025278-0.0088172i,0.0022197-0.0012763i,0.0019718+0.0057126i,0.0029705+0.00081504i,0.0032494-0.0026375i,-0.0064604-0.0068517i,-0.0045518-0.0025635i,-0.0031125-0.0055006i,0.00043142+0.0022238i,-0.0044492-0.0073064i,-0.04133+0.0071025i,-0.024695+0.01065i,-0.0089405-0.008462i,-0.0065274-0.01021i,0.0019502+0.024687i,-0.0071305+0.013033i,-0.0079981+0.0029627i
0.0027096+0.009051i,0.023741+0.032921i,0.017461+0.0070373i,0.013508+0.0088857i,0.0095004-0.00050378i,0.017717+0.0020356i,0.0056414+0.025086i,0.0063113+0.028936i,0.0039247+0.0010948i,0.00089647+0.00099252i,0.0027001+0.00058147i,0.005968+0.00036036i,0.0016975-0.001765i,0.0029129+0.0008997i,0.0048894+0.0028374i,0.0068705+0.0063538i,0.01021+0.0033564i,0.0016698-0.0002913i,-0.0016521-0.002373i,-0.0013906+0.00052753i,-0.0014177+0.00078431i,-0.0021266-0.0017414i,-0.0016638-0.0011222i,-0.0033462+0.0093125i,-0.00084095+0.00047826i,-0.00038933+0.00068483i,-0.00061675+0.0012089i,-0.00094095+4.7162e-06i,9.3495e-05+0.00076847i,-0.00056358-0.00068434i,0.0013294+0.00026109i,-0.00038554-0.0005148i,-0.00032341+0.00015457i,-0.00018852-0.00014812i,0.0015144-0.00034946i,-0.010869-0.0046976i,0.00074969+0.00045829i,-0.00019448-8.5014e-05i,-0.00089948-0.00036344i,0.0020496-0.0022724i,-0.001324-0.0010071i,-1.9865e-05+0.0003269i,0.00071139+0.0020204i,0.0041479-1.3049e-05i,-0.00072957+0.0052884i,-0.046638-0.018902i,-0.011014+0.033087i,-0.041826+0.033844i,-0.055462+0.05553i,-0.038441+0.021226i,-0.015943+0.033695i,-0.017136+0.026861i,-0.049344-0.0079349i,-0.034519-0.020971i,-0.0063616+0.034007i,-0.0019535+0.0065756i,0.0057303-0.0044911i,-0.0034898-0.011065i,-0.0031899+0.0044883i,-0.0008949+0.018438i,0.00048-0.0028637i,0.0028887-0.0011588i,0.0015917+8.1704e-05i,0.0069955-0.0085348i,0.0077783+0.0037154i,0.0024414+0.0016219i,-0.0092264-0.0013595i,0.0057489+0.0055296i,0.0039245+0.0059981i,0.0079233+0.008189i,-0.00037442+0.0015339i,0.0037248-0.0054629i,0.0035875-0.0065284i,0.00091195-0.00061826i,-0.029399-0.00066447i,0.00096601-0.0082694i,-0.00034609-0.00056998i,0.0049367-0.0010611i,0.0021792+0.00021089i,0.0013803-0.011464i,0.00056697-0.0016113i,0.003832+0.0041099i,0.0032106-4.8965e-05i,0.0042128-0.0033737i,-0.0080421-0.0037937i,-0.0061858-0.00028509i,-0.0058077-0.0036824i,0.00036325+0.0013468i,-0.0058895-0.0044664i,-0.03762+0.010633i,-0.021945+0.012209i,-0.0086477-0.010579i,-0.0087888-0.0096825i,0.0026984+0.022285i,-0.0065026+0.013588i,-0.0073086+0.0032639i
0.0038767+0.008091i,0.029587+0.02807i,0.01909+0.0043169i,0.013552+0.0060778i,0.0083024-0.00096927i,0.017367-0.0011568i,0.0092821+0.021293i,0.011426+0.027206i,0.0038158-0.00057875i,0.00097181+0.00071839i,0.0030347-0.00019972i,0.0053786-0.0024854i,0.0011669-0.0015695i,0.00266+0.00043525i,0.0055064+0.0016179i,0.007519+0.0031035i,0.010245-0.00044134i,0.0010822-0.0010049i,-0.0025444-0.0016409i,-0.00070025+0.00097617i,-0.00060578+0.0007982i,-0.0021368-0.0011767i,-0.0018087-0.00063952i,0.00018136+0.0091962i,-0.00054758+0.00063581i,-8.978e-05+0.00070374i,-8.5405e-05+0.001474i,-0.0011472+0.00065022i,0.00034647+0.00038354i,-0.00075701-0.00056733i,0.0013646-0.00038325i,-0.00077536-0.00047832i,-0.00041846+0.00038982i,-0.00031255-1.3524e-05i,0.00092423-0.00076154i,-0.012091-0.00082852i,0.00083621+0.00014605i,-0.00014493-1.0504e-05i,-0.0011678+0.00018594i,0.0015862-0.002545i,-0.0033093-0.0022215i,-8.3385e-06+7.0954e-05i,0.00072832+0.0015901i,0.0041763-0.00066776i,-2.9163e-05+0.0041779i,-0.051665-0.012078i,-0.0071509+0.031171i,-0.030975+0.039542i,-0.040604+0.062139i,-0.036225+0.029452i,-0.0096595+0.029872i,-0.010822+0.024585i,-0.048625-0.0033832i,-0.033367-0.015008i,0.0012359+0.033258i,-0.0015527+0.0058455i,0.00061724-0.0050174i,-0.0082048-0.0098627i,0.00073842+0.0052052i,0.0027524+0.015911i,-0.0026463-0.002061i,0.0077813-0.0041271i,0.0027893+0.0018283i,0.0022596-0.010443i,0.00897-0.00088313i,0.0035694+0.0010885i,-0.0090715+0.0036808i,0.0091206+0.0050241i,0.0075973+0.0041896i,0.011769+0.0033326i,0.00063482+0.0020963i,0.0020922-0.0062118i,-0.00033342-0.0089089i,0.001654+0.00071975i,-0.029611+0.0094916i,-0.0012939-0.0074292i,0.00033648+0.00060716i,0.0053869-0.004599i,0.0027504-0.00028411i,-0.0036876-0.013235i,-0.00040794-0.00077168i,0.0048976+0.0022233i,0.0031788-0.00063261i,0.0038661-0.0048432i,-0.0084155+0.00071168i,-0.0059113+0.0030903i,-0.0076768-0.00067911i,-0.00063631+8.5587e-05i,-0.0060857-0.0021669i,-0.03443+0.013394i,-0.020196+0.016848i,-0.011062-0.01442i,-0.0091922-0.0089249i,0.0047255+0.021415i,-0.0062646+0.016315i,-0.0054248+0.0019939i
0.0049869+0.0066967i,0.034008+0.021655i,0.020202+0.0001524i,0.013249+0.0037895i,0.0079865-0.0012364i,0.016753-0.0040714i,0.011355+0.017422i,0.015516+0.02368i,0.0029601-0.0021854i,0.00088386+0.00067766i,0.0027778-0.00093206i,0.0032049-0.0039185i,0.00074755-0.0014708i,0.0023391+7.0592e-05i,0.0056129+0.00015415i,0.0065605+0.00098252i,0.0093421-0.0036604i,0.00055668-0.0011344i,-0.0027292-0.00065762i,-3.4803e-05+0.00097593i,0.00015827+0.00044222i,-0.0020222-0.00085906i,-0.0016398-0.00022976i,0.0030799+0.0085642i,-0.00031463+0.00057824i,0.0001159+0.00070358i,0.00047267+0.0012141i,-0.00087548+0.0011425i,0.00027497-0.00010251i,-0.0010429-0.00029918i,0.0010734-0.00083213i,-0.001042-6.8277e-05i,-0.00022074+0.00065235i,-0.00037126+0.00022794i,0.00046093-0.00099343i,-0.010928+0.0024278i,0.00037262+0.00020375i,-0.00018434-5.5737e-05i,-0.0010549+0.00072622i,0.0009279-0.0030526i,-0.0005329+0.00063169i,-0.00017989-0.00024663i,0.00078004+0.0013509i,0.0040752-0.0014378i,0.00038289+0.0034696i,-0.053643-0.00071276i,-0.0048604+0.029692i,-0.02119+0.040495i,-0.024152+0.066348i,-0.029329+0.038397i,-0.0062256+0.024357i,-0.0071215+0.01856i,-0.046581+0.00061386i,-0.030176-0.0096152i,0.0095741+0.029855i,-0.000803+0.0060172i,-0.0051075-0.0032995i,-0.011781-0.0062154i,0.0032791+0.0031034i,0.0046278+0.014212i,-0.005903+0.00045063i,-8.456e-05-0.0076889i,0.0053249+0.00052682i,-0.0026634-0.0093186i,0.0069702-0.0044799i,0.0046298-0.00056759i,-0.0070775+0.0072857i,0.012084+0.00088683i,0.0092862-0.00065508i,0.011667-0.0040084i,0.0021491+0.0018395i,-9.7805e-05-0.0062526i,-0.004189-0.0056279i,0.0031459-0.0004118i,-0.017892+0.024699i,-0.0032501-0.0065421i,0.0017972+0.00089939i,0.0022047-0.0061908i,0.0029053-0.00079544i,-0.0094534-0.010901i,-6.8627e-05+0.00062892i,0.0049793-0.00021919i,0.0028108-0.0014466i,0.0026149-0.0056768i,-0.0065719+0.004388i,-0.0035459+0.0054303i,-0.0072404+0.0037071i,-0.002738+0.00011389i,-0.0057341-0.00086233i,-0.030357+0.017772i,-0.011373+0.019936i,-0.017472-0.015305i,-0.010029-0.0090111i,0.0056507+0.020211i,-0.0029498+0.019594i,-0.0052825-0.0014019i
