-0.024338-0.039203i,-0.012181-0.048391i,-0.017735-0.044771i,-0.030907-0.035322i,-0.029888-0.016414i,-0.050342-0.02777i,-0.05671-0.026917i,-0.043888-0.037514i,-0.029487-0.036325i,0.0070247+0.012593i,-0.0052843+0.015955i,-0.0047026+0.014144i,0.0098653+0.021667i,0.0004626+0.0042838i,0.0033792+0.0033342i,0.0063003+0.018048i,0.025579+0.038442i,-0.0025106-0.00087505i,-0.0044339-0.005859i,0.0080002+0.0015629i,-9.7706e-05-0.00084177i,-0.0010959+0.0013671i,0.00015435-0.000438i,-0.030171-0.0036939i,-0.0013042-0.0057525i,0.0012864+0.0047374i,0.003582-0.00019995i,-0.00060535+0.00052907i,0.00054943-0.00063657i,-0.00037104-0.002552i,-0.0017887-0.0061273i,-0.0045726-0.0042651i,-0.0017553-0.0047347i,0.002167-0.0007825i,0.0022807-0.0028701i,0.0024318+0.025705i,0.0019713-0.0026317i,0.0028223+0.000454i,0.0060414+0.00091333i,-0.01036-0.0041735i,-0.0029234+0.00089322i,0.0067601+0.0015144i,0.0050648+0.00042337i,-0.0039759+0.0057471i,0.0011003-0.0088025i,-0.012233+0.017691i,0.036003-0.09052i,0.012456-0.070015i,-0.015845-0.05972i,-0.016213-0.055523i,0.040268-0.045779i,0.017179-0.062519i,0.034309-0.054848i,0.029869-0.060316i,0.015502-0.013431i,0.0045659+0.016372i,0.016485-0.02639i,-0.011475+0.0057863i,-0.00037738+0.00546i,-0.005068-0.0018742i,-0.002255-0.029188i,-0.023831+0.031928i,0.010064-0.011221i,-0.013085-0.0024406i,-0.00011192-0.0049438i,-0.0010666-0.015943i,-0.0073208+0.0040327i,0.005066+0.0067015i,-0.0084937+0.031017i,0.004901+0.0060619i,-0.0050445-0.00070829i,-0.0031757-0.00052754i,-0.012064-0.0075648i,-0.0008918-0.0042357i,-0.029973+0.0063621i,-5.1265e-05-0.010061i,-0.0095531-0.0018449i,-0.0068284-0.002755i,0.0069626+0.0026617i,-0.0078284+0.0012076i,-0.00019808+0.00053432i,0.005912+0.01075i,0.0042927+0.0014101i,-0.0092492-0.0099281i,0.0028877+0.0079619i,-0.021425+0.0063686i,0.0084562+0.00060042i,-0.02889-0.0040683i,-0.042166+0.0019772i,0.020158-0.09623i,-0.0020152-0.012572i,-0.053092-0.021818i,-0.023386+0.00027383i,0.01799+0.010682i,-0.024944+0.013433i,-0.018377-0.012701i
-0.031176+0.02015i,-0.051847+0.0199i,-0.031248+0.045741i,-0.030252+0.024762i,-0.027604+0.039466i,0.0057625+0.046113i,-0.0018541+0.023042i,-0.015174+0.038943i,-0.013397+0.022172i,-0.0028163-0.005419i,-0.0042376-0.0029482i,-0.0017999-0.0034042i,-0.0037918-0.00064518i,-0.0067583-0.0043229i,-0.0018958+0.0042455i,-0.0024037-0.0014835i,-0.011324-0.0033993i,-0.0019547-0.00096096i,0.0028069-0.0013046i,0.0021453-0.00062697i,0.0027322-0.0035651i,0.0024284-0.0039197i,0.0014413-0.0025637i,-0.0091546-0.0081288i,-0.0020602+0.00062149i,-0.004223+0.0015067i,-0.0017401-0.00014431i,-0.0032965-0.0011698i,-0.0012931-0.0016532i,0.0012141-0.0017477i,-0.0016722+0.0061986i,0.0014458+0.00014036i,0.0029091+5.8171e-05i,0.0012208+0.0014856i,-0.0014574+0.0034698i,-0.00093575-0.0062685i,-0.0013978+0.001036i,0.00038974-3.5989e-05i,-0.00031825+0.0038048i,0.0072734+0.0054632i,0.0013645-0.0025391i,0.001225-0.0038184i,-0.0041185+0.00081187i,0.00090833+0.0026369i,-0.031569-0.005736i,0.01231-0.079026i,-0.092724-0.029642i,-0.051436-0.035904i,-0.075711-0.049782i,-0.05839-0.006195i,-0.093444+0.018498i,-0.058732+0.011192i,-0.049701-0.023619i,-0.032101-0.056851i,-0.025618-0.030227i,0.002578+0.0048458i,-0.018532+0.010811i,0.0093838+0.0036705i,0.011183+0.0042097i,0.0010323-0.0064743i,0.0084508+0.0014465i,-0.0080276-0.0028258i,0.0017903+0.01434i,-0.00093232+0.0089896i,0.00071285+0.00137i,0.0059456+0.0029925i,0.0019308-0.0010997i,-0.00049179+0.014879i,0.00074969+0.011284i,0.0030066-0.0056256i,0.01049-0.0069627i,0.0023709+0.0024029i,-0.0078847-0.0073818i,-0.0021168-0.0029621i,0.018705-0.026813i,0.0060761+0.0038003i,0.0032724+0.0042929i,-0.0032227+0.0025349i,0.0027116-0.0038854i,0.021822+0.0019889i,0.0019024-0.0025391i,-0.00075244-0.0096144i,0.00070655-0.0024546i,0.013137+0.0033664i,0.0050104+0.0006645i,0.0044035-0.0065564i,0.0034758+0.0084739i,0.0039829-4.9156e-05i,0.025203+0.0040999i,-0.080366-0.03729i,-0.0056996+0.018574i,0.0069493-0.0037646i,-0.0025609+0.004347i,-0.036443+0.012654i,-0.0073096+0.0064312i,-0.017041+0.013712i
-0.02629+0.023905i,-0.047944+0.025026i,-0.020132+0.044363i,-0.026274+0.028447i,-0.021141+0.040835i,0.014296+0.043266i,0.0010168+0.022393i,-0.0075882+0.039654i,-0.0086175+0.019634i,-0.0046525-0.0034833i,-0.0044519-0.00064797i,-0.0027764-0.0036364i,-0.0044133-0.00022934i,-0.006934-0.001553i,-0.00066124+0.0050788i,-0.004697+0.00034341i,-0.013326+0.0018505i,-0.0019263+0.00015184i,0.0030822-0.0019382i,0.0022015-0.0016133i,0.0015263-0.0040499i,0.0016636-0.0039157i,0.0010262-0.002617i,-0.010295-0.0049731i,-0.0013219+0.0010693i,-0.0037419+0.0029234i,-0.001257+0.00039654i,-0.0033447-4.4972e-05i,-0.0018498-0.0013222i,0.00063936-0.0016681i,0.0009596+0.0065859i,0.0010216-0.00019245i,0.0023663-0.0010479i,0.00093626+0.0011626i,-0.0012152+0.0030831i,-0.0011012-0.005623i,-0.000816+0.0009435i,-0.00037166-0.00036351i,9.6037e-05+0.0043005i,0.0077158+0.0014124i,0.00058748-0.0027899i,-0.0010134-0.0040259i,-0.0039902+0.0019741i,0.0017531+0.0024023i,-0.032016-0.0053842i,-0.011835-0.089787i,-0.089686-0.011185i,-0.060644-0.034333i,-0.087703-0.03824i,-0.057575+0.0040454i,-0.083547+0.03588i,-0.054634+0.023515i,-0.040468-0.022165i,-0.039595-0.052196i,-0.033884-0.018969i,0.003616+0.0020123i,-0.012286+0.019632i,0.009273-0.00044531i,0.012058-0.0020115i,-0.0043233-0.010661i,0.0043357+0.00062414i,-0.0079929+0.0033088i,0.0074417+0.01255i,0.0012467+0.011201i,0.00075553+0.0011256i,0.0072532+0.0032015i,0.0023-1.3519e-05i,0.0056355+0.01109i,0.0056757+0.0066828i,-0.0019764-0.0072861i,0.0034303-0.0080003i,0.0032839+0.0027923i,-0.010957-0.00029365i,-0.0028242-0.00028884i,0.0066848-0.027952i,0.0071102+0.0028824i,0.0069982+0.0026376i,-0.00050296+0.002795i,-0.00030491-0.0015i,0.018816-0.0075834i,9.2856e-05-0.0033669i,-0.0053865-0.0076133i,-0.0024691-0.001667i,0.011358-0.0018966i,0.0048474+0.00062809i,0.0019198-0.0048723i,0.0059259+0.0070622i,0.0030168-0.00061605i,0.024121-0.0037468i,-0.08534-0.027366i,0.0025662+0.0079739i,0.0052956-0.0063233i,-0.00025258+0.0026084i,-0.029463+0.0229i,-0.0056409+0.0076452i,-0.013233+0.016446i
-0.020495+0.026081i,-0.044786+0.030276i,-0.013377+0.04006i,-0.021933+0.030644i,-0.013673+0.042782i,0.021851+0.038355i,0.0041712+0.021892i,-0.00011131+0.038627i,-0.0074325+0.017469i,-0.005504-0.0013573i,-0.0034676+0.0012552i,-0.0060343-0.0031108i,-0.004814+0.0017374i,-0.007068+0.00047117i,0.0012207+0.0055377i,-0.0055664+0.003518i,-0.012068+0.0080302i,-0.00081219+0.0011214i,0.0031733-0.0034883i,0.0019631-0.0029088i,0.0001324-0.0044523i,0.00073461-0.0045957i,0.00057144-0.0028281i,-0.011043-0.0021566i,-0.00090682+0.0013283i,-0.0021691+0.0044787i,-0.00091766+0.0003554i,-0.0027829+0.0014186i,-0.002153-0.0008161i,-0.00033478-0.0024644i,0.0034777+0.0053905i,0.00077542-0.00026625i,0.0016374-0.0015725i,0.0014399+0.00066646i,-0.00012098+0.0039259i,-0.0012221-0.0055703i,-0.0010603+0.0006143i,-0.00073737-0.00023803i,0.0034565+0.0030202i,0.0063372-0.0012357i,-0.00013456-0.0025556i,-0.0014223-0.0024551i,-0.0039804+0.0029086i,0.0021999+0.0010929i,-0.034506-0.0030781i,-0.041229-0.088755i,-0.07991+0.002257i,-0.070794-0.026823i,-0.094736-0.022799i,-0.053243+0.01252i,-0.068435+0.04783i,-0.039997+0.033533i,-0.042086-0.02569i,-0.045936-0.048306i,-0.03559-0.0061796i,0.0039579-0.00075321i,-0.0023418+0.021928i,0.0083504-0.0032508i,0.007866-0.0073071i,-0.014336-0.009122i,0.0031541-0.00027433i,-0.003494+0.0064987i,0.01104+0.0072188i,0.0048138+0.011765i,-0.00018013+0.0017302i,0.0078411-0.00086732i,0.0039179-0.0014808i,0.0072168+0.005971i,0.0052466+0.0019733i,-0.0072428-0.0036186i,0.00078878-0.0062809i,0.0053508+0.0017591i,-0.0071731+0.0091427i,-0.0011202+0.0013224i,-0.0026705-0.024982i,0.0089001-0.00018166i,0.0069064-0.00086098i,0.00056901+0.0023128i,0.00090728+0.00028954i,0.012261-0.012292i,-0.0025844-0.00053322i,-0.0084059-0.0039683i,-0.003533+0.0017565i,0.00702-0.004484i,0.0074946-0.001498i,0.0027808-0.0046874i,0.0093074+0.0039772i,0.0045517-0.0018031i,0.020877-0.010747i,-0.08896-0.013599i,-0.00018585-0.0019951i,0.0052055-0.0086039i,0.0012422-0.0010514i,-0.019518+0.026883i,-0.0047899+0.003368i,-0.0076271+0.013336i
-0.014748+0.025939i,-0.040249+0.03655i,-0.010111+0.036621i,-0.017162+0.033846i,-0.0051763+0.041734i,0.027963+0.032002i,0.008111+0.021112i,0.0064078+0.03584i,-0.0067401+0.017541i,-0.0053454+0.00090868i,-0.0024173+0.0015648i,-0.007987+0.00083685i,-0.0043763+0.0033685i,-0.0070223+0.0030249i,0.0029765+0.0049359i,-0.0044427+0.0071494i,-0.007434+0.012866i,0.00019843+0.00064514i,0.0017411-0.0046632i,0.00030654-0.0041658i,-0.0014124-0.0041523i,-0.00049726-0.0046486i,-5.5368e-05-0.0033135i,-0.011186+0.0010871i,-0.00024007+0.0010347i,0.00038929+0.0037755i,-0.00098603+0.00024753i,-0.0015636+0.0018682i,-0.0023952+0.00010592i,-0.0018475-0.0018642i,0.0049168+0.0033861i,0.00050599-0.0003695i,0.00084846-0.0020045i,0.0014617+0.00010617i,0.0019564+0.003391i,-0.0019231-0.0069121i,-0.00084899+0.0011826i,-0.0011119+0.00019438i,0.0033351-0.00060992i,0.0047295-0.0025243i,-0.00061035-0.002437i,-0.0012589-0.0021175i,-0.0032808+0.0043878i,-0.00030918-0.00086236i,-0.036776+0.0011362i,-0.066375-0.072735i,-0.0699+0.007838i,-0.078424-0.015061i,-0.098523-0.0065464i,-0.047299+0.018294i,-0.054411+0.053585i,-0.025623+0.03265i,-0.046543-0.021722i,-0.05261-0.040944i,-0.03315+0.0025405i,0.0022363-0.0033369i,0.0061555+0.019728i,0.0069259-0.0058543i,0.0022652-0.0086427i,-0.0204+3.1639e-05i,-0.00024052+0.00050988i,0.00036813+0.0055429i,0.010521+0.0012983i,0.0095058+0.011115i,0.00033878+0.0030296i,0.0046092-0.0023232i,0.0038099-0.0048336i,0.0057945+0.001667i,0.0024646+0.00036619i,-0.0076457+0.00067433i,-0.0013717-0.0049823i,0.0058729-0.00035637i,0.0027054+0.010594i,4.8995e-05+0.00082583i,-0.0080242-0.019721i,0.0079335-0.0032741i,0.0061057-0.0030283i,0.0018266+0.0027935i,0.0013179-6.0775e-05i,0.0066019-0.012811i,-0.00027902+0.0019492i,-0.009552+0.00068423i,-0.0010585+0.0039894i,0.0041106-0.0039738i,0.0063774-0.0052979i,0.00051856-0.0052094i,0.0091929-0.0016492i,0.0033615-0.0050481i,0.016073-0.016699i,-0.086249+0.0015239i,-0.0078916-0.0052817i,0.0031535-0.013246i,0.00027602-0.0051161i,-0.012383+0.026726i,-0.0088197+0.0028991i,-0.0078357+0.011564i
-0.010783+0.025127i,-0.035009+0.041711i,-0.0088405+0.035208i,-0.01082+0.035743i,0.0016641+0.038802i,0.031953+0.024924i,0.012257+0.018999i,0.011853+0.032391i,-0.0048551+0.018777i,-0.0040717+0.0026655i,-0.0023993+0.0021836i,-0.0071043+0.0044097i,-0.0034807+0.0047902i,-0.0053064+0.0057794i,0.0044802+0.0037901i,-0.0014381+0.0095078i,-0.0014227+0.014642i,0.0004929+0.00017348i,0.00045628-0.0047357i,-0.0017208-0.0039183i,-0.0029107-0.0033617i,-0.0019105-0.0042232i,-0.0013796-0.0033782i,-0.0093336+0.0037456i,-0.00063626+0.00036233i,0.00071581+0.002091i,-0.0010626+0.00033041i,-0.00071521+0.001809i,-0.002064+0.0011331i,-0.0018639-0.0004324i,0.0052523+0.001233i,0.00044001-0.00052455i,-7.7175e-05-0.0019069i,0.0011039-0.00034679i,0.0026614+0.0019388i,-0.0044075-0.0073634i,-0.0005653+0.001559i,-0.0010384+0.0010715i,0.0010868-0.0013878i,0.0032963-0.0026992i,-0.0010843-0.002239i,-0.001396-0.0019006i,-0.0015363+0.0052744i,-0.0027777+0.0013064i,-0.037578+0.0076517i,-0.076649-0.048967i,-0.064062+0.0092383i,-0.083047-0.0012809i,-0.099447+0.011802i,-0.042874+0.021124i,-0.04091+0.056631i,-0.01642+0.029021i,-0.048566-0.016987i,-0.056389-0.033482i,-0.029855+0.010585i,-0.0001288-0.0045551i,0.014813+0.014119i,0.0048449-0.0074172i,-0.0028274-0.0070831i,-0.020032+0.009329i,-0.00088745+0.003131i,0.0029573+0.0051873i,0.0066131-0.00080485i,0.013942+0.0076233i,0.0016332+0.003386i,0.0026427-0.0012615i,0.0016355-0.0070127i,0.0027532+0.0014287i,0.00029609+0.0015458i,-0.0068615+0.0053512i,-0.0029799-0.002447i,0.0051124-0.0025321i,0.0074014+0.0058987i,0.00042732+0.00051391i,-0.010846-0.01732i,0.005888-0.0057463i,0.0044045-0.0050461i,0.0043207+0.0020669i,0.0016499-0.00010942i,0.0030141-0.011661i,0.0015658+0.0015784i,-0.0072046+0.0062036i,0.0017047+0.0038188i,0.0035063-0.0033161i,0.0031528-0.0091633i,8.4479e-05-0.0044613i,0.00554-0.0052151i,-6.686e-07-0.006357i,0.0081686-0.021946i,-0.080199+0.0116i,-0.015444-0.001436i,-0.0013523-0.015921i,-0.0025638-0.0081663i,-0.0073612+0.025844i,-0.011979+0.00561i,-0.0069972+0.012254i
-0.007728+0.024462i,-0.028973+0.046501i,-0.0074282+0.036597i,-0.0045243+0.035308i,0.0061515+0.034689i,0.034772+0.018121i,0.016258+0.015436i,0.016204+0.028538i,-0.0021388+0.018752i,-0.0028155+0.0030665i,-0.0026514+0.0034753i,-0.0050559+0.0069182i,-0.0019835+0.0062165i,-0.0027652+0.0067609i,0.0051764+0.002217i,0.0020416+0.010118i,0.0049+0.013524i,0.00081741+0.00020254i,-0.0011314-0.0047381i,-0.0030633-0.0028518i,-0.0033532-0.00184i,-0.0027741-0.0034202i,-0.0023103-0.0025896i,-0.0078721+0.0047577i,-0.0011833+0.00075777i,0.00036117+0.0016812i,-0.0013103+0.00067008i,-6.2924e-05+0.0014412i,-0.0012611+0.0016615i,-0.001433+0.00022941i,0.0049947-0.00063221i,0.00018858-0.00061387i,-0.00064146-0.0014324i,0.00060912-0.00079624i,0.002704+0.0011901i,-0.0070491-0.0064248i,-0.00023594+0.0015205i,-0.00026848+0.0015956i,0.00020378-0.0012402i,0.0022949-0.0024843i,-0.0015522-0.0016508i,-0.0018818-0.0014987i,0.00038385+0.0052465i,-0.0023848+0.0043771i,-0.036188+0.014803i,-0.074901-0.031307i,-0.061534+0.011665i,-0.083195+0.015873i,-0.09386+0.032236i,-0.041373+0.024049i,-0.029475+0.056046i,-0.0091493+0.024663i,-0.048698-0.010809i,-0.060208-0.025672i,-0.024684+0.015478i,-0.0034117-0.0043708i,0.017542+0.0018341i,0.0030817-0.0093376i,-0.0059278-0.0033637i,-0.014559+0.017145i,0.00054391+0.0039342i,0.0061128+0.0030011i,0.0052519+0.00039771i,0.017119+0.00079808i,0.0027817+0.003439i,0.0022882-0.00057665i,-0.0029692-0.008597i,0.0017747+0.0033116i,0.00065615+0.0037193i,-0.002364+0.0090495i,-0.0018403+2.1879e-05i,0.0035706-0.0034481i,0.0088373+0.0012181i,0.0011835-0.00026887i,-0.016244-0.01573i,0.0029037-0.0068724i,0.0014717-0.0059683i,0.0040333-0.00040414i,0.001719+0.00038091i,0.001692-0.010057i,0.0023262+0.00023462i,-0.0026485+0.0086206i,0.0028386+0.0016284i,0.0025144-0.00379i,-0.0024159-0.0095791i,-0.00084766-0.005496i,0.0022476-0.0054384i,-0.0020589-0.0064796i,-0.0021216-0.022125i,-0.076189+0.020027i,-0.014059+0.0086462i,-0.0061871-0.016532i,-0.0064815-0.0085233i,-0.004136+0.024819i,-0.011537+0.010453i,-0.0030327+0.011907i
-0.0047132+0.024036i,-0.021635+0.050907i,-0.0036307+0.038974i,0.00038608+0.033751i,0.0084889+0.031987i,0.036472+0.011019i,0.019085+0.010925i,0.019583+0.024699i,0.00046492+0.018763i,-0.0021911+0.0035016i,-0.0014754+0.0055705i,-0.0020576+0.008682i,-1.3444e-05+0.0069003i,-0.0005135+0.0066105i,0.0052123+0.00075588i,0.005373+0.0092514i,0.0095943+0.010096i,0.0010633+2.0585e-05i,-0.0024797-0.0040984i,-0.0037219-0.0012025i,-0.0030248-0.00059898i,-0.0035669-0.0025455i,-0.0027708-0.0016594i,-0.0072616+0.0066017i,-0.0010592+0.0013476i,0.00036192+0.0019005i,-0.0011632+0.0014583i,-9.4899e-05+0.00094567i,-0.00063392+0.0016191i,-0.0010811+0.00047715i,0.0041355-0.0022001i,0.00022147-0.00038608i,-0.00071822-0.0011658i,0.00025208-0.00095413i,0.002909-0.00011153i,-0.009274-0.0045393i,0.00018782+0.0016148i,0.00041719+0.0013726i,-0.00057928-0.0011126i,0.0018551-0.0024624i,-0.0017426-0.00096989i,-0.0018404-0.00075188i,0.0015864+0.0042739i,-0.00088232+0.0056962i,-0.032409+0.020865i,-0.074004-0.02411i,-0.060375+0.015955i,-0.076375+0.031156i,-0.082363+0.049628i,-0.038658+0.030028i,-0.019844+0.055582i,-0.0051923+0.019631i,-0.048071-0.0053182i,-0.062223-0.016592i,-0.020277+0.019248i,-0.0043163-0.0041556i,0.011097-0.0082988i,-0.00030567-0.011173i,-0.0063479+6.131e-05i,-0.0069482+0.019851i,0.0011498+0.0033672i,0.0072766-0.0015612i,0.0064371-0.00021705i,0.015187-0.0052306i,0.0050152+0.0027426i,0.0024421+0.00067614i,-0.0073252-0.0039592i,0.0033618+0.0046939i,0.0022456+0.0048882i,0.0026598+0.0087872i,-0.0010762+0.00022817i,0.0026051-0.003891i,0.0084758-0.0045397i,-3.8696e-05-0.00075942i,-0.022024-0.0099817i,0.00069265-0.0063775i,-0.00086947-0.0043238i,0.0046089+7.9472e-05i,0.0019175-0.00014645i,0.001031-0.011086i,0.0021103-0.0010369i,0.00093224+0.0070272i,0.0029661+0.00098531i,0.0021604-0.002993i,-0.0058223-0.0057675i,-0.0040494-0.0055229i,-0.00053166-0.0049894i,-0.0043915-0.0060754i,-0.0088805-0.017797i,-0.070687+0.028549i,-0.0086852+0.00787i,-0.0070086-0.015344i,-0.0088524-0.0070259i,5.2076e-05+0.023158i,-0.01005+0.012491i,-0.0013945+0.0096413i
-0.0017534+0.023349i,-0.013181+0.05395i,0.0021251+0.041306i,0.0046446+0.032541i,0.010693+0.030533i,0.036652+0.0041347i,0.02087+0.0059622i,0.022764+0.021001i,0.0032108+0.018395i,-0.0014363+0.0041386i,0.0012963+0.0064639i,0.0014829+0.0085332i,0.0020373+0.0068308i,0.00095401+0.0063386i,0.0050667-0.00042715i,0.0081457+0.0070519i,0.011911+0.0056657i,0.0014657-0.0009405i,-0.0035113-0.003234i,-0.0033579+0.00059129i,-0.0025015+0.00026113i,-0.0039864-0.0011194i,-0.0028821-0.00088399i,-0.0044878+0.0085073i,-0.00068114+0.0020321i,0.0011361+0.0018926i,-0.00056102+0.0019803i,-0.00044755+0.00099966i,-0.00016504+0.001647i,-0.00078373+0.00076304i,0.0027071-0.0032114i,0.00055144-0.00076013i,-0.0012222-0.00099832i,-0.00020046-0.00098231i,0.0022911-0.0013322i,-0.010762-0.0014631i,0.00056666+0.0015087i,0.00079031+0.0011626i,-0.0016067-0.00071823i,0.0016853-0.0023541i,-0.0015338-0.00055795i,-0.0015942-0.00041538i,0.002402+0.0032997i,0.00098875+0.0065929i,-0.028185+0.024448i,-0.078918-0.017415i,-0.059103+0.021716i,-0.067816+0.042712i,-0.066839+0.06101i,-0.034525+0.035146i,-0.01027+0.053614i,-0.0028162+0.016516i,-0.046825+0.00032175i,-0.062286-0.0065859i,-0.015212+0.022089i,-0.0057873-0.0032238i,0.0032748-0.0096759i,-0.0044264-0.011361i,-0.0051002+0.0038971i,6.2278e-05+0.018616i,0.00073714+0.0025939i,0.0051782-0.005834i,0.0056195-0.0015922i,0.011255-0.010534i,0.0066279+0.00060741i,0.0037006+0.00087952i,-0.0078019-0.00051084i,0.0054079+0.0050151i,0.0048193+0.0053876i,0.007249+0.0063175i,-0.00069567+0.0010916i,0.0021488-0.0041565i,0.005033-0.0083289i,-0.00045714+0.00072537i,-0.024901-0.0015106i,-0.00063657-0.0060081i,-0.0017602-0.002409i,0.0053354-0.00077824i,0.0017651-0.00048628i,-0.0014931-0.012911i,0.00094808-0.0015183i,0.0037074+0.0062023i,0.0033948-1.3755e-05i,0.0030621-0.0034335i,-0.0073004-0.0029686i,-0.0071257-0.0022871i,-0.0033485-0.0033629i,-0.0059196-0.0052034i,-0.012987-0.012807i,-0.064474+0.035544i,-0.0081148+0.0063167i,-0.0076542-0.017711i,-0.010266-0.0050807i,0.0012477+0.021895i,-0.0096729+0.014259i,-0.00041328+0.0082981i
0.0013582+0.022766i,-0.0035018+0.055156i,0.010046+0.04183i,0.0087069+0.031144i,0.014167+0.030298i,0.035932-0.0022293i,0.0213+0.00049358i,0.025928+0.01665i,0.0062865+0.01732i,-0.00060781+0.0045775i,0.0035942+0.0050866i,0.0038155+0.0064943i,0.0040111+0.0062165i,0.0026911+0.00588i,0.0046581-0.0016498i,0.0094736+0.0038624i,0.01229+0.0011472i,0.00054092-0.0018753i,-0.0045133-0.0016633i,-0.0020511+0.001577i,-0.0016359+0.00051508i,-0.0035739+6.9869e-05i,-0.0029352-2.9665e-05i,-0.001234+0.0088997i,0.00013999+0.0023048i,0.0017015+0.0012607i,0.00034672+0.0020957i,-0.00030134+0.0015333i,0.00051073+0.0013633i,-0.0004332+0.0007533i,0.0011601-0.0034968i,4.9231e-05-0.0011381i,-0.0016482-0.00032621i,-0.00066486-0.00085692i,0.0013011-0.0020832i,-0.010699+0.0022784i,0.00086959+0.0012647i,0.0012084+0.00084042i,-0.0022142+0.00024078i,0.0012999-0.002718i,-0.0015147-0.00036839i,-0.0013563-0.00023255i,0.0025465+0.0023426i,0.0032658+0.0067537i,-0.024225+0.028278i,-0.087171-0.0041574i,-0.054928+0.027493i,-0.056445+0.05117i,-0.051611+0.068618i,-0.029519+0.041506i,-0.00096126+0.049611i,0.0022764+0.013231i,-0.044156+0.0062947i,-0.059682+0.003421i,-0.010572+0.024652i,-0.0074812-0.0020383i,-0.0024443-0.0091654i,-0.0088326-0.0098335i,-0.0011958+0.0053596i,0.0042503+0.014997i,-0.00040431+0.0027231i,0.0023897-0.008717i,0.0058067-0.0010867i,0.0046647-0.013177i,0.0068607-0.0028327i,0.0047759-0.00015316i,-0.0079914+0.0037144i,0.0084658+0.0040729i,0.0081746+0.0030728i,0.0095171+0.0017892i,0.00068631+0.0017379i,0.0011496-0.0044996i,-0.0010537-0.0086637i,0.00087417+0.0021525i,-0.02444+0.0078276i,-0.0019915-0.0055866i,-0.0012858-0.00055565i,0.0058678-0.0042421i,0.0018057-0.00065563i,-0.0068224-0.013075i,-9.6245e-05-0.0011196i,0.0058787+0.0035883i,0.0032768-0.00045806i,0.0025022-0.0045414i,-0.0071199+0.0013559i,-0.0070712+0.0021691i,-0.0049199-0.0011801i,-0.0079975-0.0043583i,-0.014814-0.0077411i,-0.059126+0.041744i,-0.008157+0.0087142i,-0.012234-0.021662i,-0.0087266-0.0033087i,0.0040535+0.021612i,-0.0089355+0.017816i,0.0014216+0.0061456i
0.0047244+0.021374i,0.0060064+0.054085i,0.01792+0.039163i,0.012926+0.029376i,0.018908+0.029189i,0.034593-0.0081858i,0.020071-0.0047204i,0.028044+0.011484i,0.0091262+0.015564i,0.00031229+0.0051016i,0.0042933+0.0036518i,0.0044925+0.0046098i,0.0057261+0.0047179i,0.0040411+0.0046807i,0.0038504-0.0026139i,0.0091809+0.00090793i,0.010984-0.00232i,-0.00041387-0.0017363i,-0.0043752+1.0146e-05i,-0.00081625+0.0016638i,-0.00092657+0.00029195i,-0.003036+0.00075989i,-0.0024189+0.00072484i,0.0014518+0.0086054i,0.0011582+0.0019069i,0.0019335+0.00076085i,0.001123+0.0018238i,0.0004147+0.0016793i,0.00080054+0.00072922i,-0.000415+0.00075063i,-0.00029969-0.0031373i,-0.00068743-0.0010113i,-0.0015272+0.00042246i,-0.0010246-0.00050391i,0.0003098-0.002215i,-0.0092448+0.0053403i,0.0011344+0.00080874i,0.0013812+0.00020609i,-0.0020233+0.0014097i,0.00073989-0.0032134i,-0.0015576-2.6212e-05i,-0.0012814-0.00045359i,0.0025738+0.0017114i,0.0053935+0.0058865i,-0.019428+0.031426i,-0.088786+0.016321i,-0.052355+0.031442i,-0.045891+0.055793i,-0.034648+0.07321i,-0.021173+0.047878i,0.0055828+0.043451i,0.0049397+0.005832i,-0.038867+0.010411i,-0.053918+0.013454i,-0.003589+0.0256i,-0.0087961+0.00057093i,-0.0080495-0.0059772i,-0.011934-0.006367i,0.0018597+0.0035357i,0.0061535+0.012142i,-0.0022252+0.0040437i,-0.0015438-0.011012i,0.0069513-0.0033894i,-0.0016602-0.011882i,0.0046687-0.0052118i,0.0051903-0.0023867i,-0.0061516+0.0072843i,0.010646+0.00010577i,0.0087901-0.0019479i,0.0084134-0.0037419i,0.0026151+0.0011107i,0.0001177-0.0046412i,-0.0043502-0.0049461i,0.0029007+0.0013405i,-0.019754+0.017938i,-0.0034307-0.004607i,0.00012293+0.00044432i,0.00271-0.0062856i,0.0017143-0.00080821i,-0.01232-0.0096563i,4.355e-05+1.8969e-05i,0.0064687+3.5779e-05i,0.0028542-0.0013086i,0.0014071-0.0046792i,-0.0047566+0.0046348i,-0.0047162+0.0053228i,-0.0049159+0.0020662i,-0.010207-0.0022877i,-0.014819-0.0037789i,-0.05212+0.050113i,-0.0023918+0.011622i,-0.019636-0.021307i,-0.0073348-0.0043348i,0.0063648+0.020461i,-0.0056628+0.021525i,0.0019232+0.0026923i
