-0.02388-0.019034i,-0.032289-0.032885i,-0.022237-0.019723i,-0.032526-0.020399i,-0.023933+0.0041473i,-0.028794-0.017805i,-0.058435-0.043881i,-0.041293-0.041449i,-0.031025-0.024167i,0.0050819+0.0058345i,-0.0035624+0.0066908i,-0.010895+0.010852i,0.0039612+0.0069094i,-0.003945-0.0028255i,0.0027999+0.0017414i,0.0041158+0.028554i,0.026514+0.032721i,-7.709e-05+6.7424e-05i,-0.0029618-0.0026868i,0.0075787+0.0039161i,0.0020299+0.00068796i,-5.3888e-05+0.0028063i,-0.00055187+0.00032909i,-0.032737-0.00061611i,-0.0033542-0.0049973i,1.6086e-05+0.0026296i,0.0035869-0.00091617i,0.00080477-0.00026385i,-0.00052514-0.00055616i,-0.0011442-0.0018999i,-0.002113-0.00064611i,-0.0041817-0.0040203i,-0.0031086-0.0054608i,0.00030717-0.0012594i,0.00059007-0.0029595i,-0.0015442+0.025428i,0.0022752-0.002949i,0.0022019-0.0040009i,0.0044699-0.002509i,-0.006619-0.0016769i,0.0009625+0.0012944i,0.010246-0.00053768i,-0.0018491-0.00025148i,-0.0033444+0.0016386i,-0.0089036-0.0021105i,-0.019454+0.021232i,-0.0074656-0.086128i,-0.0021679-0.060822i,-0.02127-0.053661i,-0.010985-0.045624i,0.054126-0.025435i,0.024531-0.067287i,0.041385-0.053792i,0.018432-0.038743i,0.026295-0.019339i,0.012201+0.012031i,0.025643-0.029375i,-0.01095-0.0010554i,-0.00084896-0.0010623i,-0.0073394-0.0019528i,-0.0050416-0.029229i,-0.020872+0.026871i,0.0075698-0.0091018i,-0.010584-0.003504i,-0.0022565-0.0017256i,-0.00061355-0.014412i,-0.0076721+0.004704i,0.0051596+0.010573i,-0.010178+0.031298i,0.0066666+0.0075617i,-0.0035284-0.0017033i,-0.0021686-0.001724i,-0.012568-0.0059119i,0.00022247-0.0040087i,-0.033172+0.0029276i,0.0033456-0.0087118i,-0.0072435-0.0020421i,-0.0054797-0.0028096i,0.0069404+0.0018086i,-0.010377+0.00055404i,0.0022363-0.00045364i,0.005938+0.0077957i,0.0057179+0.0010039i,-0.0079224-0.01017i,0.0024624+0.0080377i,-0.019489+0.0076032i,0.0034006+0.0055874i,-0.021272-0.0090252i,-0.027385-0.0050334i,0.0097254-0.061478i,0.018492-0.015166i,-0.051048-0.02889i,-0.023798+0.0018082i,0.018624+0.010347i,-0.027318+0.012032i,-0.012607-0.0078441i
-0.011063+0.01338i,-0.021417+0.041088i,0.0013021+0.040602i,-0.010656+0.02471i,-0.00024457+0.021076i,0.0017328+0.023229i,-0.024998+0.015828i,-0.026212+0.033273i,0.00039037+0.017462i,-0.0012947-0.0016087i,-0.00087844+0.001712i,0.0043011+0.0036007i,0.0033635+0.004948i,-0.0032764+0.001992i,-0.0031019+0.0037545i,0.0010524-0.0068044i,-0.0087337-0.0018631i,-0.0019444+0.00023465i,0.00028074-0.0013542i,-0.001072-0.0003842i,0.00084623-0.0034005i,0.0011304-0.0027056i,0.00094763-0.0015148i,-0.0099533-0.0083299i,-0.00023732-0.00039989i,-0.0014532+0.00036041i,-0.0025489-2.3867e-05i,-0.0028147+2.8774e-05i,-0.00097137-0.00093716i,0.0010773-0.00068535i,-0.0018611+0.0002306i,0.0014872-2.0922e-06i,0.0018806-0.00053466i,0.00069638+0.00043041i,-0.0004481+0.0018005i,-0.00059392-0.0067032i,-0.0013534+0.00091567i,0.0017998+0.00013666i,0.00071671+0.002652i,0.0042239+0.0057991i,0.0010107-0.0014711i,-0.0018327-0.001097i,-0.0015205-0.0017416i,0.0032846+0.0053337i,-0.0077723+0.0071665i,0.020809-0.057866i,-0.074194+0.01434i,-0.026964-0.018669i,-0.06061-0.048311i,-0.052631-0.017417i,-0.08612+0.0043457i,-0.073306+0.0018364i,-0.04711-0.033164i,-0.0078359-0.045564i,-0.038318-0.02621i,-0.0062145+0.00052594i,-0.031445+0.0099495i,0.0080658+0.011379i,0.0098267+0.0073541i,0.0018376-0.0064387i,0.010315+0.0044115i,-0.011286-0.0035451i,0.0023335+0.012098i,0.0016437+0.0066128i,-0.00016041-0.0016156i,0.0058562+0.0017079i,0.0041459+5.4348e-05i,-0.0048805+0.019213i,-0.00014732+0.0095275i,0.00028589-0.00392i,0.0084101-0.0056958i,0.0012879+0.0041151i,-0.0084031-0.0072082i,-0.0027393-0.0011998i,0.021314-0.030705i,0.0050931+0.0090101i,0.0019614+0.0028134i,-0.0018775+0.004227i,0.0031839-0.0041852i,0.019654+0.0029318i,0.0015632-0.001751i,-0.0029397-0.0065465i,-0.0003666-0.0021716i,0.011761+0.0048511i,0.0054558-0.00094312i,0.0032155-0.0078068i,0.0047013+0.0050377i,-0.0052584+0.0031435i,0.013487+0.006417i,-0.042597-0.037771i,-0.011936+0.0049458i,-0.0022469-0.0016003i,-0.00097399+0.0029655i,-0.040664+0.011311i,-0.0064386+0.0087561i,-0.013137+0.0036901i
-0.0083346+0.014103i,-0.014348+0.041701i,0.010463+0.034341i,-0.0057498+0.025423i,0.002682+0.018719i,0.0060978+0.021843i,-0.023543+0.019717i,-0.018595+0.035557i,0.0042612+0.012152i,-0.0018209-0.00068649i,-0.00010552+0.0028872i,0.0049896+0.0011742i,0.0041534+0.0030856i,-0.001531+0.0029625i,-0.0022445+0.0047506i,-0.0032572-0.0052136i,-0.010015+0.0028327i,-0.0016322+0.00090069i,0.00089237-0.00085269i,-0.00048051-2.2898e-06i,-0.00011021-0.0032401i,0.0010033-0.0021928i,0.00078211-0.001314i,-0.011333-0.0047976i,-3.0518e-05-0.00021807i,-0.0013763+0.00075171i,-0.001751+0.00085586i,-0.0023981+0.0007273i,-0.0010236-0.00068226i,0.0010139-0.00084954i,-0.0016525+0.0011865i,0.0010713-0.00025247i,0.0011573-0.0013823i,0.00016967+0.00045101i,-0.00097444+0.0015236i,-0.00030861-0.0053978i,-0.00085746+0.00095725i,0.00095257-0.0004559i,0.00080572+0.0027279i,0.0053717+0.0031253i,0.0005408-0.0019719i,-0.0023831-0.00061582i,-0.0024124-0.00084704i,0.0045862+0.0044666i,-0.005777+0.0053625i,0.0027199-0.067406i,-0.065083+0.028709i,-0.033869-0.021736i,-0.073902-0.039368i,-0.053088-0.0062107i,-0.076955+0.02117i,-0.070608+0.0163i,-0.040476-0.030614i,-0.013771-0.044123i,-0.045328-0.011627i,-0.0069601+0.00053893i,-0.025036+0.022848i,0.010237+0.0059504i,0.011778+0.00090783i,-0.0026258-0.011232i,0.0076647+0.0034209i,-0.011338+0.0028327i,0.0076364+0.010366i,0.0035114+0.0075503i,-0.00069597-0.0011212i,0.0064404+0.0020584i,0.0050618-0.00018857i,0.0042629+0.016479i,0.0044252+0.0056382i,-0.0036776-0.0054968i,0.0022057-0.0067039i,0.0030811+0.0047889i,-0.01069-6.0261e-05i,-0.0024392+0.0018374i,0.007111-0.031856i,0.0081679+0.0076348i,0.0041251+0.0022112i,0.0018113+0.0031178i,-0.00035793-0.0020513i,0.017371-0.0063226i,-0.00024026-0.0026393i,-0.0060246-0.0042389i,-0.0029466-0.0010344i,0.010578+0.00025587i,0.0043824-0.00038713i,0.00021809-0.0060249i,0.0065514+0.0034632i,-0.0053303+0.0051767i,0.013501+0.0014189i,-0.049393-0.031691i,-0.0066312-0.0060779i,-0.0029118-0.0024474i,0.00049273+0.0018177i,-0.034184+0.023731i,-0.004247+0.0092799i,-0.010227+0.005507i
-0.0052699+0.014037i,-0.0080761+0.04215i,0.015513+0.026645i,-0.0010296+0.024339i,0.0063025+0.017485i,0.010042+0.019381i,-0.020339+0.023749i,-0.011271+0.035309i,0.0037834+0.0077409i,-0.0018414+0.00047911i,0.0017694+0.003429i,0.002388-0.0003156i,0.0043524+0.0018327i,-0.00073972+0.0030394i,-0.00086042+0.0055823i,-0.0062624-0.0013578i,-0.0082752+0.0076953i,-0.00086223+0.0014768i,0.001616-0.0017204i,0.00019344-0.00033705i,-0.0011115-0.0030829i,0.00096682-0.0027691i,0.00080909-0.0015336i,-0.012149-0.0015795i,-6.0042e-05-0.00023368i,-0.00090945+0.0013568i,-0.00099183+0.00079083i,-0.001523+0.0016248i,-0.0012315-0.00063541i,0.00057934-0.0014632i,-0.00082805+0.0017127i,0.00073184-0.0005433i,0.00028033-0.0014443i,0.00056808+0.00019831i,-0.000563+0.0024152i,0.00031411-0.005871i,-0.00088301+0.00083523i,0.00032871-0.00070086i,0.0025543+0.0015019i,0.0050968+0.0011239i,-0.0001962-0.0019778i,-0.001648+0.00044249i,-0.0031058+0.00014091i,0.0055596+0.0025742i,-0.0051965+0.003998i,-0.019438-0.068185i,-0.051233+0.037977i,-0.042837-0.018953i,-0.081821-0.024316i,-0.048802+0.0024838i,-0.062076+0.032153i,-0.057698+0.029039i,-0.042267-0.033034i,-0.019205-0.043376i,-0.044678+0.003521i,-0.0072285+0.0017268i,-0.012959+0.02943i,0.010579+0.0013155i,0.0082346-0.0049253i,-0.012785-0.011365i,0.007837+0.0010549i,-0.0079014+0.006834i,0.010688+0.0047294i,0.006064+0.0067222i,-0.0028866+0.00032278i,0.0066972-0.0016418i,0.0060243-0.0026557i,0.0081318+0.010347i,0.0041279+0.0016176i,-0.0084154-0.0021461i,-0.00021702-0.0047686i,0.0059012+0.0037127i,-0.0065959+0.0087528i,0.0002181+0.0030658i,-0.0034479-0.028381i,0.011978+0.0036557i,0.0042158+0.00013669i,0.0022986+0.0011819i,0.00036394+5.3663e-05i,0.011263-0.01098i,-0.0026945+0.00033338i,-0.0072993-0.00067274i,-0.0035123+0.0022519i,0.0071562-0.0023699i,0.0074839-0.0015381i,7.1291e-05-0.0055822i,0.0091636+0.00068316i,-0.0021869+0.0064223i,0.011937-0.002801i,-0.054282-0.021132i,-0.012914-0.014213i,-0.0018861-0.0031051i,0.0030806-0.00062653i,-0.023489+0.029716i,-0.0035958+0.0050268i,-0.007285+0.00081928i
-0.0025601+0.012934i,-0.0010426+0.042192i,0.017533+0.019325i,0.003783+0.023159i,0.01036+0.014024i,0.013402+0.015911i,-0.015722+0.026871i,-0.0056358+0.033012i,0.002948+0.0061592i,-0.0012762+0.0015627i,0.0030496+0.0021221i,0.0011356+0.0014032i,0.004158+0.0007072i,-0.00058544+0.0037151i,0.00066475+0.005699i,-0.0061918+0.0037946i,-0.0036325+0.010936i,-1.5822e-05+0.0013461i,0.0007316-0.0024071i,-8.2036e-05-0.0010236i,-0.001855-0.0025049i,0.00042511-0.0030365i,0.00058846-0.0021057i,-0.011836+0.0023215i,1.5417e-05-0.00045616i,8.45e-05+0.0010557i,-0.0008664+0.00048567i,-0.00041793+0.0014701i,-0.001549+1.975e-05i,-0.00031039-0.0013933i,-4.6097e-05+0.0017744i,0.00021785-0.00072454i,-0.00063793-0.00111i,0.00046203-4.1135e-05i,0.00078553+0.0022156i,-0.0005581-0.0077871i,-0.00051086+0.0013191i,-0.00030823-0.00050493i,0.0020202-0.00061696i,0.0047626-0.00028331i,-0.00066116-0.0017616i,-0.0010069+0.00038529i,-0.003108+0.0015631i,0.0046463+0.00011719i,-0.0054782+0.0037505i,-0.038724-0.057205i,-0.037622+0.040317i,-0.049927-0.011372i,-0.086034-0.0087557i,-0.042801+0.0079242i,-0.049207+0.035654i,-0.044097+0.031302i,-0.04637-0.029478i,-0.025088-0.039198i,-0.039885+0.014999i,-0.007403+0.0030902i,-0.00079358+0.029488i,0.0093607-0.0033395i,0.0028876-0.0065394i,-0.020402-0.0032701i,0.0049657-9.1693e-05i,-0.0038959+0.0080655i,0.0090082-0.0014073i,0.0084399+0.0054001i,-0.0028769+0.0030881i,0.0033483-0.002751i,0.0052854-0.0063079i,0.0078121+0.0038728i,0.0014329-5.7753e-05i,-0.0083997+0.002037i,-0.001825-0.0036163i,0.0070627+0.0013784i,0.0026581+0.0098308i,0.0018386+0.0019879i,-0.0095461-0.022365i,0.012237-0.0011042i,0.0037981-0.0013255i,0.0031177+0.0012215i,0.00065929-0.00015138i,0.0059154-0.011097i,-0.00020347+0.0028871i,-0.0066273+0.0029047i,-0.0010255+0.0044046i,0.0050732-0.0020884i,0.0072076-0.006091i,-0.0021961-0.0051218i,0.0082725-0.0047769i,-0.00013801+0.0051606i,0.0098846-0.0069481i,-0.052682-0.0086974i,-0.023361-0.015265i,-0.0022051-0.0073453i,0.0033252-0.0055735i,-0.014938+0.030484i,-0.0072556+0.0045042i,-0.01063-0.00064638i
-0.00086775+0.011658i,0.0054063+0.040708i,0.016826+0.013775i,0.0083253+0.020455i,0.012705+0.0094505i,0.015196+0.011997i,-0.010327+0.028534i,-0.0016288+0.030697i,0.0033226+0.0055022i,-7.3388e-05+0.0020604i,0.0031913+0.0010948i,0.0020161+0.0024335i,0.0039125-0.0002979i,0.0011068+0.0046102i,0.0022189+0.0054112i,-0.003539+0.0072684i,0.0015337+0.011438i,0.00049105+0.001109i,0.00027628-0.0022807i,-0.00059082-0.0011463i,-0.0025463-0.0017991i,-0.00043612-0.0029551i,-0.00027043-0.0023963i,-0.0093587+0.0052706i,-0.00040181-0.00081821i,7.3472e-05+0.00029477i,-0.00072787+0.00033379i,0.00011554+0.00079732i,-0.0012818+0.00081363i,-0.00045271-0.00084192i,0.00051459+0.0015626i,2.0415e-05-0.00085288i,-0.00097568-0.00041099i,0.00024933-0.00013618i,0.0011056+0.0014648i,-0.0032313-0.0088298i,-0.00013329+0.001345i,-0.00033168+0.00022509i,0.00062256-0.00096307i,0.0040827-0.0010249i,-0.0010156-0.0015954i,-0.00084024+0.00037976i,-0.0020328+0.0027546i,0.0031165+0.00052507i,-0.0050335+0.0045702i,-0.046429-0.040052i,-0.027511+0.038461i,-0.054554-0.0015348i,-0.087331+0.0084328i,-0.038528+0.0089847i,-0.038504+0.036669i,-0.03469+0.030755i,-0.04889-0.025708i,-0.027746-0.035434i,-0.032574+0.02502i,-0.0069363+0.0046563i,0.011924+0.024939i,0.0067248-0.0059191i,-0.0016352-0.0053636i,-0.021755+0.0060015i,0.0038208+0.00019996i,0.00017101+0.0088647i,0.0041431-0.0031634i,0.010474+0.00258i,-0.001291+0.0049583i,0.0012675-0.0013795i,0.0024359-0.008879i,0.0040068+0.0023835i,-0.00063944+0.0012324i,-0.0081034+0.0072595i,-0.0030022-0.0013834i,0.0071411-0.0013701i,0.0068204+0.0054948i,0.0023944+0.0009454i,-0.012386-0.019687i,0.010187-0.0056681i,0.002663-0.0023964i,0.0049418+0.00010996i,0.00072398+6.9942e-05i,0.0032529-0.0096563i,0.0020461+0.0020099i,-0.0037816+0.0060031i,0.002178+0.004364i,0.0045756-0.002066i,0.0030088-0.010852i,-0.0029076-0.0033971i,0.004074-0.0078211i,-0.00012393+0.0038775i,0.0052163-0.010482i,-0.046806-0.0022745i,-0.033434-0.0068609i,-0.0056336-0.009559i,0.00070554-0.010014i,-0.0082409+0.029738i,-0.010158+0.0072686i,-0.012091+0.0019738i
0.00045993+0.010639i,0.011305+0.038676i,0.015978+0.010925i,0.011555+0.016506i,0.012778+0.0046714i,0.016364+0.0086985i,-0.0044802+0.028455i,0.001282+0.028871i,0.0040455+0.003472i,0.00065765+0.001439i,0.0026692+0.00034076i,0.0030576+0.0024572i,0.0033532-0.0011963i,0.0028597+0.0036204i,0.0034289+0.0046085i,3.0929e-05+0.0087518i,0.0062741+0.0094452i,0.00092208+0.00083591i,-0.00026702-0.0024107i,-0.0011786-0.0010387i,-0.0026308-0.00060158i,-0.0009684-0.0026812i,-0.00096711-0.002049i,-0.0072515+0.0061541i,-0.00090424-0.00049772i,-0.00027066+7.512e-05i,-0.00082504+0.00024283i,0.00028543+0.00015882i,-0.00053068+0.0011671i,-0.00041564-0.00064047i,0.0010505+0.0013203i,-0.0004386-0.00094785i,-0.00089262+8.7318e-05i,-4.7048e-07-0.00022491i,0.0012402+0.0013869i,-0.0063853-0.0084544i,5.0065e-05+0.0010019i,0.00014276+0.00035957i,-3.8876e-05-0.0007998i,0.0034468-0.0016226i,-0.0013454-0.0010465i,-0.00083174+0.00039185i,-0.00056859+0.0029848i,0.0032098+0.0013172i,-0.003869+0.0054381i,-0.045181-0.028215i,-0.02042+0.036154i,-0.055365+0.011808i,-0.082187+0.028378i,-0.03927+0.0098703i,-0.029978+0.035392i,-0.026794+0.029411i,-0.050638-0.019833i,-0.031324-0.032103i,-0.023454+0.0302i,-0.0064387+0.0067056i,0.018742+0.011261i,0.0045017-0.0080801i,-0.0046611-0.0019466i,-0.017577+0.015048i,0.0036535-0.0006265i,0.0045731+0.0064491i,0.0015659-0.0013135i,0.011645-0.0021281i,0.00078374+0.0062675i,0.00089703-0.00022793i,-0.0029213-0.010271i,0.002544+0.0042051i,-0.00054167+0.0036426i,-0.002451+0.011929i,-0.0016926+0.00079306i,0.0059846-0.0032691i,0.0080764+0.001524i,0.0032323-0.0005804i,-0.018299-0.018236i,0.0061571-0.0081628i,0.0010158-0.0028341i,0.0039043-0.0020564i,0.0010151+0.0010538i,0.0021794-0.0081487i,0.0029831+0.00017465i,-0.00025656+0.0066652i,0.0036978+0.0016921i,0.0037158-0.0030129i,-0.003613-0.010152i,-0.0032209-0.0030815i,9.8574e-05-0.0077569i,0.00040128+0.0030405i,-0.001088-0.010676i,-0.044017+0.0017766i,-0.030828+0.0083636i,-0.0094107-0.0097188i,-0.0039651-0.011771i,-0.0036276+0.028007i,-0.0087498+0.012276i,-0.0093984+0.0035961i
0.0016414+0.0096198i,0.017125+0.036217i,0.016133+0.0088333i,0.013126+0.012187i,0.011287+0.0013609i,0.017296+0.0052785i,0.0007332+0.026899i,0.0039416+0.027827i,0.0040287+0.0018926i,0.00072777+0.0011479i,0.0022723+0.00041417i,0.0045631+0.0021895i,0.0024463-0.0017083i,0.0035986+0.0019157i,0.004218+0.0036311i,0.0033389+0.008418i,0.0093375+0.0058896i,0.00128+0.00059882i,-0.00087078-0.0025222i,-0.0015825-0.00042438i,-0.0021706+0.00030108i,-0.0015416-0.002504i,-0.0013811-0.0015799i,-0.006129+0.0077345i,-0.0010518-0.00017789i,-0.00057703+0.0003534i,-0.0010459+0.0006942i,-0.00015456-0.00026424i,-0.00014644+0.00083009i,-0.00051014-0.00065389i,0.001549+0.00079332i,-0.00054453-0.00036614i,-0.00049493+0.00019528i,-0.00011074-0.00017984i,0.0017776+0.00061077i,-0.0094287-0.0070666i,0.00029718+0.00085913i,0.00014086-7.7007e-05i,-0.00047902-0.00060564i,0.0027491-0.0022098i,-0.0012322-0.00044843i,-0.00042642+0.00049588i,0.00023192+0.0022155i,0.0037474+0.00084775i,-0.002179+0.005426i,-0.043858-0.023419i,-0.015249+0.034457i,-0.049828+0.024173i,-0.070734+0.045147i,-0.039642+0.015403i,-0.023669+0.034707i,-0.021734+0.026671i,-0.051483-0.01482i,-0.033748-0.026915i,-0.014988+0.033219i,-0.0036725+0.0074497i,0.013813-0.001672i,0.00091217-0.010409i,-0.0048022+0.0011535i,-0.010829+0.019045i,0.0021814-0.0016739i,0.0059315+0.0023595i,0.0019727-0.00037014i,0.0097189-0.0056652i,0.0046703+0.0061676i,0.001187+0.0014584i,-0.0080279-0.0051248i,0.0038181+0.0054346i,0.0010227+0.0051684i,0.0036356+0.011457i,-0.0007741+0.0010643i,0.0046358-0.0047197i,0.0081778-0.0039157i,0.001498-0.0016514i,-0.024957-0.01152i,0.0029906-0.0084925i,-0.00023285-0.0017839i,0.0041021-0.00091659i,0.0019229+0.00074711i,0.0024607-0.009167i,0.0021763-0.0014754i,0.0021606+0.0050669i,0.0032824+0.00070542i,0.0032907-0.0024367i,-0.0068449-0.0064461i,-0.004638-0.0023934i,-0.0035581-0.0062166i,0.00032817+0.001822i,-0.0049753-0.0075166i,-0.04075+0.0067877i,-0.02443+0.010744i,-0.0096369-0.0088865i,-0.0076181-0.01108i,0.0012931+0.024698i,-0.0064941+0.013345i,-0.0086167+0.0034386i
0.0026457+0.0085104i,0.022747+0.033042i,0.016989+0.007049i,0.013438+0.0087566i,0.0093017-0.00056303i,0.017499+0.0018475i,0.0052766+0.024453i,0.0070218+0.027132i,0.0037039+0.0001644i,0.00084187+0.00094568i,0.0026639+0.00052676i,0.0059049+0.0003359i,0.0016338-0.001763i,0.0029465+0.00081226i,0.0048575+0.0027139i,0.0060226+0.0063958i,0.010255+0.0022537i,0.001704-8.0247e-05i,-0.0016328-0.0023131i,-0.0014964+0.00049667i,-0.0014429+0.00092477i,-0.0020648-0.0017837i,-0.0015674-0.0011543i,-0.0032106+0.0090945i,-0.0010745+0.00027469i,-0.00035275+0.00074836i,-0.00077268+0.0012709i,-0.00087782-2.0732e-05i,-3.0765e-05+0.00074984i,-0.00062577-0.00054884i,0.0016065+0.00011359i,-0.00018184-0.00041537i,-0.00064186+0.0002026i,-0.00026709-4.982e-05i,0.0016125-0.00023906i,-0.011922-0.0038729i,0.00036704+0.00075629i,-0.00011854-5.0816e-05i,-0.0010418-0.00034613i,0.0021679-0.0024585i,-0.0008745-0.00028066i,-0.00019191+0.0003841i,0.00034792+0.0016701i,0.0039109+0.0002821i,-0.00091887+0.0043461i,-0.04639-0.019817i,-0.011166+0.032544i,-0.04239+0.033414i,-0.05532+0.05541i,-0.038514+0.021126i,-0.017008+0.033074i,-0.018183+0.025433i,-0.052187-0.0095303i,-0.034787-0.021057i,-0.0063641+0.034339i,-0.0018228+0.0069081i,0.0060993-0.0045553i,-0.003392-0.010753i,-0.0031678+0.0045073i,-0.0039237+0.01915i,5.2755e-05-0.0021291i,0.0049763-0.001502i,0.0015792-9.7519e-06i,0.0069867-0.0088621i,0.0078817+0.0035628i,0.0026936+0.0018197i,-0.0085383-0.0010163i,0.0058846+0.0061013i,0.0036408+0.0058185i,0.0087742+0.0087492i,-0.00034498+0.0014486i,0.0036406-0.0054998i,0.005146-0.007846i,0.00057144-0.00046877i,-0.028612-0.0019111i,0.00079542-0.0082503i,-0.00035647-0.00059477i,0.004749-0.0010663i,0.0023368+0.00012127i,0.00099035-0.011702i,0.00040609-0.0018053i,0.0037629+0.0038367i,0.0034663-0.00010285i,0.0044472-0.0031499i,-0.0084633-0.0037122i,-0.006189+5.3933e-05i,-0.0066396-0.0038824i,0.00014533+0.00069828i,-0.0063663-0.0044538i,-0.037006+0.010144i,-0.021735+0.011878i,-0.0093868-0.010273i,-0.010481-0.0096107i,0.0017575+0.022006i,-0.0059364+0.013345i,-0.0070932+0.0035382i
0.0037028+0.0075415i,0.028713+0.028572i,0.018835+0.0044839i,0.013261+0.0061095i,0.0081207-0.00091587i,0.01713-0.0013684i,0.0088158+0.02099i,0.011148+0.025865i,0.0029633-0.0012964i,0.00090682+0.0006834i,0.0030404-0.00019604i,0.0053951-0.0024163i,0.0010972-0.0016014i,0.0027246+0.00034956i,0.0054219+0.0015283i,0.0069786+0.0036911i,0.0096679-0.0012155i,0.0012282-0.00091817i,-0.0024419-0.0015888i,-0.0007247+0.00097178i,-0.00052302+0.00090642i,-0.0020512-0.0013118i,-0.0017669-0.000706i,2.1091e-05+0.009011i,-0.00076909+0.00059885i,-1.0971e-06+0.00074152i,-6.1138e-05+0.0015796i,-0.0010208+0.00069464i,0.00031176+0.00042307i,-0.00066648-0.00041118i,0.0013594-0.00049773i,-0.00055387-0.00044353i,-0.00061159+0.00050818i,-0.00036113+0.00011399i,0.0011155-0.00076622i,-0.012498+0.00042705i,0.00045894+0.00061546i,-9.3315e-05+2.7569e-05i,-0.0013461+0.0002675i,0.0014748-0.0027078i,-0.00090398-0.0002669i,3.664e-05+0.0001668i,0.0002678+0.0014763i,0.0039864-0.00031725i,-0.00057421+0.0034249i,-0.051297-0.013111i,-0.0072672+0.0307i,-0.03147+0.039233i,-0.040542+0.06179i,-0.036225+0.029127i,-0.010719+0.029649i,-0.012196+0.02395i,-0.051851-0.002909i,-0.033505-0.014981i,0.0010199+0.033461i,-0.0011314+0.0060765i,0.00078295-0.0051129i,-0.0081699-0.0096978i,0.00068846+0.0053495i,0.00042205+0.017629i,-0.0025912-0.0012888i,0.0029198-0.0045515i,0.0025511+0.0017464i,0.0022223-0.0107i,0.0090128-0.0010476i,0.0039278+0.0011634i,-0.008437+0.0033975i,0.0097318+0.0053434i,0.007407+0.0041604i,0.012175+0.0035042i,0.00053462+0.0020633i,0.002069-0.006367i,-0.0006549-0.008717i,0.0015635+0.00094484i,-0.028675+0.0089497i,-0.0012842-0.0079488i,0.00032409+0.00060245i,0.0053277-0.0044867i,0.0028948-0.00033997i,-0.0038805-0.013152i,-0.00061842-0.00092428i,0.0045002+0.0019537i,0.003329-0.00069204i,0.0039208-0.0047267i,-0.0088018+0.00062047i,-0.0056011+0.0033416i,-0.0079601-0.00037756i,-0.0011523-0.00041164i,-0.006364-0.0019702i,-0.034158+0.012529i,-0.020186+0.016024i,-0.01166-0.013715i,-0.010608-0.0074247i,0.0036031+0.02135i,-0.0059515+0.01569i,-0.0052402+0.0017682i
0.004684+0.0062272i,0.03347+0.022266i,0.020018+0.00027179i,0.013082+0.0038677i,0.007882-0.0011877i,0.016561-0.0042198i,0.010988+0.017337i,0.014931+0.023297i,0.0018291-0.0022409i,0.00082285+0.00063507i,0.0028182-0.00097616i,0.0033172-0.0038649i,0.00066375-0.0014756i,0.0023072-8.4283e-05i,0.0055135+0.00014018i,0.0065057+0.0016333i,0.0080918-0.003742i,0.0007273-0.0011241i,-0.0025513-0.00065273i,-6.5193e-05+0.00094489i,0.0002613+0.00042688i,-0.0020108-0.00097298i,-0.0016773-0.00028287i,0.0028185+0.0085134i,-0.00045293+0.00063711i,0.00018681+0.00068188i,0.00047789+0.0013605i,-0.00057297+0.0012096i,0.0002193-5.866e-05i,-0.00088043-0.00028123i,0.00094864-0.00087554i,-0.0008945-0.00011627i,-0.00027952+0.00076029i,-0.00032681+0.00031427i,0.00051355-0.0011209i,-0.011337+0.0040229i,0.00057696+0.00030803i,-0.00018687-6.2361e-05i,-0.0011474+0.00099212i,0.00071045-0.0030347i,-0.00090814+6.0289e-05i,-2.8402e-05-0.00026179i,0.000371+0.0015585i,0.0041191-0.0011248i,-0.00030118+0.0029091i,-0.053562-0.0019785i,-0.0051081+0.029106i,-0.021793+0.040446i,-0.024102+0.065696i,-0.029539+0.038143i,-0.0070909+0.024561i,-0.0084242+0.018698i,-0.04852+0.0030116i,-0.030213-0.0092932i,0.0093591+0.030768i,-0.00073561+0.0060772i,-0.0049675-0.0032171i,-0.011762-0.0061258i,0.0033842+0.0030904i,0.0041515+0.016185i,-0.0054055+0.0011164i,-0.00092784-0.0066993i,0.0049997+0.00063012i,-0.0028036-0.0096352i,0.0068635-0.0045943i,0.0049165-0.00052003i,-0.0069116+0.0069764i,0.0128+0.00047278i,0.0088258-0.00071207i,0.011877-0.0040607i,0.002178+0.0019188i,-3.8459e-05-0.0066269i,-0.0042299-0.0054418i,0.003216-0.00021809i,-0.023597+0.021617i,-0.0031991-0.0066849i,0.0018473+0.00089621i,0.002489-0.006396i,0.0030895-0.00082391i,-0.0096093-0.010893i,7.6232e-05+0.00060325i,0.0046982+0.00010671i,0.0026652-0.0015311i,0.0026417-0.0054186i,-0.0065265+0.004405i,-0.0031494+0.0052764i,-0.0076268+0.0037553i,-0.003282-0.00012234i,-0.0059853-0.00048854i,-0.030225+0.016684i,-0.012418+0.019596i,-0.017677-0.014795i,-0.0098958-0.0073382i,0.0049308+0.020461i,-0.0032767+0.018944i,-0.0053229-0.0014176i
