-0.023931-0.039335i,-0.012272-0.048794i,-0.018238-0.044789i,-0.031293-0.03492i,-0.030182-0.016233i,-0.050609-0.027394i,-0.057884-0.025629i,-0.044578-0.037527i,-0.029449-0.036216i,0.0070943+0.012632i,-0.0048644+0.015544i,-0.0047204+0.014023i,0.009822+0.021508i,0.00042196+0.0044451i,0.0034525+0.0032169i,0.006437+0.017296i,0.026808+0.038352i,-0.0026271-0.00071028i,-0.0042104-0.0059793i,0.0077414+0.0015328i,-1.0424e-05-0.00091868i,-0.001039+0.001499i,0.000128-0.00039712i,-0.030388-0.0029485i,-0.0013748-0.0057693i,0.0015747+0.0046133i,0.0036119-3.9271e-05i,-0.00039823+0.00066027i,0.00040783-0.00057129i,-0.00010598-0.0026271i,-0.0019381-0.0062134i,-0.0044238-0.004105i,-0.0019016-0.0048371i,0.0022972-0.00080697i,0.0021406-0.0029245i,0.0027301+0.02557i,0.0018536-0.0026668i,0.0027684+0.00065836i,0.0059406+0.0011034i,-0.010396-0.0035133i,-0.0032565+0.0008447i,0.0066826+0.0013645i,0.0049951+0.00033064i,-0.0035588+0.0055247i,0.0012842-0.0093429i,-0.011657+0.017595i,0.035733-0.090254i,0.012249-0.070393i,-0.016154-0.059483i,-0.0164-0.055663i,0.039432-0.046252i,0.016923-0.062425i,0.03403-0.05586i,0.031265-0.059938i,0.015375-0.013441i,0.0047764+0.016529i,0.016449-0.026418i,-0.011312+0.0059251i,-0.00052554+0.005117i,-0.005246-0.0012859i,-0.0022389-0.028817i,-0.023738+0.031932i,0.010276-0.011195i,-0.012918-0.0024999i,-0.00019813-0.0049472i,-0.0011192-0.016112i,-0.0076747+0.0045829i,0.0050681+0.0062584i,-0.0083846+0.03062i,0.005534+0.0058017i,-0.0050445-0.00061634i,-0.0031032-0.00042044i,-0.012292-0.0075357i,-0.00082003-0.004286i,-0.029961+0.0065057i,0.0001898-0.009981i,-0.0096466-0.0018736i,-0.0064565-0.0024928i,0.0067284+0.0027575i,-0.0080116+0.0016577i,-0.00021016+0.00076031i,0.0060758+0.010708i,0.0041036+0.0013905i,-0.0097651-0.01021i,0.0031782+0.0078645i,-0.021586+0.0061968i,0.0079951+0.0004749i,-0.028642-0.0041973i,-0.042179+0.0016507i,0.019445-0.096191i,-0.001962-0.012462i,-0.053224-0.021764i,-0.023382+0.00044448i,0.017985+0.011037i,-0.024957+0.012889i,-0.018387-0.013337i
-0.031778+0.020124i,-0.05151+0.020244i,-0.030999+0.045807i,-0.030403+0.024801i,-0.027159+0.03961i,0.0059871+0.046155i,-0.0023441+0.023221i,-0.015136+0.038981i,-0.013318+0.022246i,-0.0028831-0.0049648i,-0.004234-0.0029781i,-0.0018325-0.0032895i,-0.0038187-0.00058181i,-0.0068205-0.0042369i,-0.0017803+0.0042234i,-0.0026539-0.0017578i,-0.011554-0.0036451i,-0.0019332-0.00080423i,0.0031267-0.0015236i,0.0021189-0.00065576i,0.0027016-0.0035267i,0.0024651-0.0038638i,0.0013838-0.0025231i,-0.0086821-0.0083553i,-0.001724+0.00047506i,-0.0040563+0.001297i,-0.0017981-0.00025334i,-0.0033649-0.0011694i,-0.0012378-0.0016806i,0.0011561-0.0016967i,-0.001512+0.0061301i,0.0015104+0.00016611i,0.0029166+0.00012284i,0.0010849+0.0014847i,-0.0013268+0.0034442i,-0.00071619-0.0064831i,-0.0014094+0.001024i,0.00037324-2.5968e-06i,-0.00020089+0.0038563i,0.0075899+0.0050797i,0.0013182-0.0027736i,0.0014202-0.0036852i,-0.0033522+0.00068216i,0.00098671+0.002447i,-0.032052-0.0057537i,0.01225-0.078226i,-0.092907-0.029321i,-0.052024-0.035641i,-0.076004-0.049663i,-0.058585-0.0056764i,-0.093626+0.018865i,-0.058602+0.010927i,-0.048778-0.024976i,-0.033152-0.0564i,-0.025189-0.029901i,0.0030092+0.0048478i,-0.018313+0.010983i,0.0092412+0.0032624i,0.011065+0.0041459i,0.00066431-0.0070643i,0.0085069+0.00059039i,-0.008225-0.0029962i,0.0024616+0.014527i,-0.0013348+0.0090319i,0.00067645+0.0014651i,0.0055276+0.0033585i,0.0019162-0.00062296i,-0.00068085+0.015178i,0.00065011+0.011152i,0.0036034-0.0056628i,0.01044-0.0070135i,0.0023489+0.0025486i,-0.0080932-0.0071855i,-0.0020497-0.0024534i,0.018722-0.026679i,0.0062966+0.0036442i,0.0032996+0.0044113i,-0.0031124+0.0024527i,0.0022262-0.0037134i,0.021791+0.0018908i,0.0021051-0.002788i,-0.00061005-0.0092703i,0.00073068-0.0024173i,0.012682+0.0033281i,0.0047805+0.00043092i,0.0044326-0.0066429i,0.0032459+0.0083495i,0.0039103+9.3913e-05i,0.02506+0.0047917i,-0.078907-0.037275i,-0.0058797+0.018551i,0.0071004-0.0033443i,-0.0023641+0.003915i,-0.036094+0.012634i,-0.0072113+0.0064451i,-0.017311+0.013363i
-0.026953+0.024038i,-0.047595+0.025313i,-0.020144+0.044153i,-0.026466+0.028707i,-0.020697+0.040844i,0.014561+0.04328i,0.0006745+0.022818i,-0.0074219+0.039733i,-0.0085914+0.019558i,-0.0045452-0.0030723i,-0.004493-0.00052634i,-0.0028316-0.0035797i,-0.0044392-2.8095e-05i,-0.0069092-0.0014524i,-0.00060356+0.0050011i,-0.0051978+0.00033222i,-0.013266+0.0017814i,-0.0017573+0.0003672i,0.0032647-0.0021898i,0.002133-0.0015975i,0.0014128-0.0040071i,0.0016462-0.0039437i,0.00094138-0.0026596i,-0.010125-0.0053215i,-0.0011502+0.00076001i,-0.0036431+0.0026292i,-0.0012618+0.00039278i,-0.0034587-4.2614e-05i,-0.0018463-0.0013856i,0.00056106-0.001677i,0.0010933+0.0063602i,0.001191-0.00019325i,0.0023711-0.0010249i,0.00097377+0.001255i,-0.0012093+0.0029616i,-0.0011586-0.0058232i,-0.00084497+0.00093468i,-0.0004571-0.00029035i,0.00020394+0.0043473i,0.007765+0.00088018i,0.00047567-0.0029383i,-0.00079241-0.0040901i,-0.0036624+0.0014867i,0.0015658+0.0021869i,-0.032562-0.0052962i,-0.011722-0.089608i,-0.089577-0.010909i,-0.061108-0.033514i,-0.088034-0.038046i,-0.057746+0.0045549i,-0.083712+0.036365i,-0.054878+0.023348i,-0.040876-0.024692i,-0.040178-0.051369i,-0.033294-0.01885i,0.0041687+0.0018564i,-0.011799+0.019537i,0.0090242-0.00053499i,0.011927-0.0019916i,-0.0051916-0.011041i,0.0038294+0.0001574i,-0.0081733+0.0032199i,0.00823+0.011953i,0.0010786+0.011215i,0.00093094+0.0011822i,0.0071343+0.0035818i,0.0025759+0.00021262i,0.005707+0.011314i,0.0055124+0.0065478i,-0.0018593-0.0078379i,0.0033758-0.0079714i,0.0032964+0.0029241i,-0.011032+4.5373e-05i,-0.0026321-1.9775e-06i,0.0066053-0.0279i,0.0071695+0.00258i,0.007021+0.0026038i,-0.00030946+0.0025207i,-0.00018374-0.0011777i,0.018754-0.0078787i,5.0045e-05-0.0035252i,-0.0052407-0.007398i,-0.0025636-0.001741i,0.011087-0.001679i,0.0045338+0.00065497i,0.0018995-0.0048427i,0.005694+0.0070351i,0.0029535-0.00026725i,0.024426-0.0032954i,-0.083786-0.027962i,0.0024972+0.0083046i,0.0061166-0.0058998i,-0.00018633+0.0019678i,-0.029104+0.022395i,-0.0054122+0.0075276i,-0.013673+0.016228i
-0.021187+0.026413i,-0.044435+0.030438i,-0.013659+0.040039i,-0.022027+0.031183i,-0.013304+0.042683i,0.022093+0.038283i,0.0040708+0.022351i,2.8004e-05+0.038613i,-0.0076455+0.01734i,-0.0052868-0.00096422i,-0.0032547+0.0013154i,-0.0060829-0.0028576i,-0.0046474+0.0018243i,-0.0069854+0.00055314i,0.0012559+0.0054387i,-0.0059253+0.0038805i,-0.011769+0.0079555i,-0.00047153+0.0011024i,0.0031983-0.0038651i,0.0018816-0.0028371i,4.6262e-05-0.004389i,0.00068546-0.0046082i,0.00045891-0.0028426i,-0.011162-0.0025258i,-0.00093917+0.0010502i,-0.0022523+0.0041346i,-0.0008886+0.00034654i,-0.0028184+0.0015053i,-0.0021736-0.00083118i,-0.00047632-0.002347i,0.0035476+0.0051151i,0.00084416-0.00045073i,0.0016576-0.0015213i,0.0014473+0.00072301i,-0.00013749+0.0038747i,-0.0013222-0.0057034i,-0.0010549+0.00067657i,-0.00084035-0.0001093i,0.0034389+0.0028454i,0.0061473-0.0016994i,-0.00025885-0.0026113i,-0.0012936-0.0025298i,-0.0040485+0.0023993i,0.0019256+0.0011177i,-0.035034-0.003012i,-0.041339-0.088684i,-0.079532+0.0024639i,-0.070716-0.025929i,-0.095063-0.022463i,-0.053091+0.013249i,-0.068496+0.048397i,-0.040517+0.033592i,-0.044374-0.026679i,-0.046275-0.047411i,-0.034927-0.0064626i,0.0045103-0.0012344i,-0.0023254+0.021407i,0.0081226-0.0032294i,0.0078271-0.0072732i,-0.015236-0.0088891i,0.0025486-0.00025832i,-0.0037851+0.0065588i,0.011339+0.0063581i,0.0045408+0.012075i,-0.000116+0.0017032i,0.0079096-0.00060238i,0.0042092-0.0014353i,0.0074743+0.0061001i,0.0051414+0.001926i,-0.0072238-0.0039277i,0.0007669-0.0061505i,0.0054269+0.0017795i,-0.0071628+0.0094731i,-0.00089141+0.0014563i,-0.0027391-0.024926i,0.0087585-0.0004945i,0.0068199-0.00085285i,0.00034509+0.0021649i,0.00096693+0.00036483i,0.012049-0.012575i,-0.0025778-0.00060308i,-0.0082699-0.003936i,-0.0035856+0.0018117i,0.0069415-0.0043617i,0.0073737-0.0012361i,0.002519-0.0047806i,0.0091382+0.0039618i,0.0047218-0.0016149i,0.021253-0.010586i,-0.087683-0.014487i,0.00051073-0.0016243i,0.0059631-0.0088873i,0.00059475-0.0016407i,-0.019583+0.026244i,-0.0051098+0.0032671i,-0.008509+0.013568i
-0.015373+0.02658i,-0.039953+0.036426i,-0.010174+0.036835i,-0.016851+0.034258i,-0.0049712+0.041677i,0.028165+0.031911i,0.0082289+0.021538i,0.0064311+0.035848i,-0.0071528+0.017556i,-0.0049875+0.0012036i,-0.0023898+0.0013687i,-0.0077983+0.0010359i,-0.0042261+0.0033733i,-0.0069415+0.0030621i,0.0029492+0.0048213i,-0.0045003+0.007606i,-0.0070076+0.012651i,0.00045756+0.00038007i,0.0014433-0.0050009i,0.0002476-0.0040808i,-0.0014215-0.0040758i,-0.00053425-0.0046767i,-0.00017168-0.0032966i,-0.011452+0.0010107i,-0.00043005+0.00077096i,0.00015085+0.0036462i,-0.00093924+0.00026936i,-0.0015855+0.0018507i,-0.0024069+0.00012902i,-0.0018973-0.0016658i,0.0048933+0.0031235i,0.00041434-0.00045397i,0.00085014-0.0019916i,0.0014301+0.00014679i,0.0018965+0.0034405i,-0.0021754-0.0069453i,-0.00081926+0.0013293i,-0.0010994+0.00031193i,0.003194-0.00059624i,0.0043429-0.0027482i,-0.00072409-0.0024115i,-0.0010539-0.0021734i,-0.0035808+0.0040152i,-0.00025014-0.00075398i,-0.037603+0.0014116i,-0.06647-0.07268i,-0.069679+0.0077533i,-0.078002-0.014549i,-0.09885-0.0057265i,-0.04699+0.018809i,-0.054388+0.054212i,-0.02602+0.033049i,-0.048311-0.021071i,-0.052224-0.040249i,-0.032866+0.0021135i,0.0023225-0.0038588i,0.0056519+0.019591i,0.0067885-0.0057639i,0.0023799-0.0085984i,-0.020903+0.00078741i,-0.00049283+0.000796i,0.00015605+0.0057285i,0.010298+0.00076518i,0.0095126+0.011605i,0.00042481+0.0030754i,0.0047884-0.0022506i,0.0039848-0.0047716i,0.0062209+0.001668i,0.0024374+0.0003061i,-0.0073575+0.00024793i,-0.00121-0.0048796i,0.0059354-0.00037688i,0.0028421+0.01078i,0.00014892+0.00077754i,-0.0080641-0.019762i,0.0076773-0.0035825i,0.0060539-0.0029679i,0.0016435+0.0030043i,0.0016452+0.0001844i,0.0063757-0.012902i,-0.00016125+0.0018391i,-0.0094051+0.00058775i,-0.0011093+0.003923i,0.0043491-0.0040553i,0.0066334-0.0051727i,0.00059864-0.0050694i,0.0092114-0.0014492i,0.0034423-0.0049957i,0.016451-0.016759i,-0.085269+0.00029882i,-0.0065959-0.0057647i,0.003706-0.013649i,-0.00050309-0.0050178i,-0.012815+0.026238i,-0.008606+0.0028283i,-0.007756+0.012331i
-0.01115+0.026034i,-0.034888+0.041587i,-0.008759+0.035331i,-0.010429+0.035925i,0.0019416+0.038761i,0.032139+0.024845i,0.012593+0.01928i,0.011839+0.032531i,-0.0053058+0.018961i,-0.0036088+0.0028443i,-0.0025781+0.0020395i,-0.0068387+0.0045434i,-0.0033915+0.0047164i,-0.0052472+0.005711i,0.0044332+0.0037275i,-0.0012245+0.0098425i,-0.0011865+0.01423i,0.00068527-8.4067e-05i,1.933e-05-0.0047599i,-0.0017383-0.0038348i,-0.0028831-0.0033079i,-0.0019795-0.0042053i,-0.001452-0.0033204i,-0.0094266+0.0038973i,-0.00089947+0.0002347i,0.00054685+0.0020856i,-0.0010571+0.00033576i,-0.00075244+0.0017324i,-0.002049+0.0011787i,-0.0019417-0.00028205i,0.005129+0.0009776i,0.00040252-0.000489i,-4.6203e-05-0.0018863i,0.0010767-0.00033662i,0.0026066+0.0019354i,-0.0046348-0.0072609i,-0.00044786+0.0017247i,-0.00097645+0.0011374i,0.00099275-0.0014741i,0.0028639-0.0026638i,-0.0011361-0.0021886i,-0.0013142-0.0021129i,-0.0019016+0.0051352i,-0.0026612+0.0014659i,-0.038409+0.0082772i,-0.076479-0.048962i,-0.064001+0.009095i,-0.082586-0.00089387i,-0.099117+0.012644i,-0.042509+0.021448i,-0.040723+0.057262i,-0.016665+0.029692i,-0.049626-0.015424i,-0.055645-0.033325i,-0.029809+0.010084i,-0.00027406-0.0047833i,0.014456+0.014418i,0.0046521-0.0074122i,-0.0026943-0.0072473i,-0.019918+0.01026i,-0.00085327+0.0033538i,0.0027934+0.005585i,0.006405-0.0012643i,0.014362+0.0080019i,0.001721+0.0033504i,0.0028269-0.0013862i,0.0019666-0.0071592i,0.0031536+0.001091i,0.00028911+0.0014996i,-0.0071851+0.0049258i,-0.002792-0.0025348i,0.005182-0.0025527i,0.0075919+0.005765i,0.00045301+0.00047217i,-0.010928-0.01736i,0.0056537-0.0059064i,0.0044285-0.0049935i,0.0044414+0.0023997i,0.002071-0.00019457i,0.0029905-0.011866i,0.0015575+0.0014888i,-0.007158+0.0058662i,0.0015895+0.0037027i,0.0035104-0.003483i,0.0033814-0.0091021i,0.00042129-0.0044219i,0.0055736-0.0051938i,-0.00013207-0.0060195i,0.0084854-0.022225i,-0.079444+0.010269i,-0.015154-0.0023554i,-0.00073287-0.016374i,-0.0028252-0.0075565i,-0.0078495+0.025617i,-0.012026+0.0053715i,-0.0066219+0.012589i
-0.007823+0.025494i,-0.028853+0.046401i,-0.007355+0.036752i,-0.0041405+0.035309i,0.0064041+0.034533i,0.034979+0.018021i,0.016662+0.015499i,0.016241+0.028787i,-0.0025753+0.019121i,-0.0022949+0.0030299i,-0.0028559+0.0034503i,-0.0047681+0.0068596i,-0.0019994+0.0061686i,-0.0027733+0.006703i,0.0050901+0.0022254i,0.0023525+0.010243i,0.0048952+0.013113i,0.00085317-0.00013677i,-0.0014979-0.0045964i,-0.0030739-0.0027467i,-0.0033397-0.0018229i,-0.0028109-0.0033936i,-0.0023083-0.002513i,-0.0077991+0.0050557i,-0.0015054+0.00080131i,0.00026171+0.0016872i,-0.0012901+0.00073031i,-9.6913e-05+0.0014196i,-0.0012005+0.0017093i,-0.0014926+0.00039497i,0.0047749-0.00076733i,0.00015044-0.00061126i,-0.00062985-0.0014751i,0.00062638-0.00082882i,0.0025724+0.0013147i,-0.0071893-0.0062611i,-0.00017844+0.0016022i,-0.00020055+0.0016116i,5.2928e-05-0.0012799i,0.0020409-0.0022027i,-0.0016595-0.0015824i,-0.0019606-0.0016777i,5.0651e-05+0.0051937i,-0.0021725+0.0045705i,-0.036882+0.015701i,-0.074983-0.031676i,-0.061425+0.011572i,-0.082534+0.016158i,-0.093081+0.032836i,-0.040905+0.024404i,-0.02912+0.05662i,-0.0091807+0.025468i,-0.04862-0.0088372i,-0.059538-0.026162i,-0.024653+0.014939i,-0.0035873-0.0042843i,0.01773+0.0021726i,0.0028492-0.0093063i,-0.0060383-0.003445i,-0.013888+0.017774i,0.00063634+0.0040267i,0.006302+0.0035746i,0.0048666+2.8651e-05i,0.017685+0.00060084i,0.002792+0.0033611i,0.0023787-0.00075406i,-0.0029682-0.0089023i,0.0018297+0.0027544i,0.00067008+0.0037016i,-0.002827+0.00892i,-0.0017793-8.9601e-05i,0.0035749-0.0034841i,0.0087488+0.00080898i,0.0011008-0.00037715i,-0.016165-0.01575i,0.0028056-0.0067304i,0.0015289-0.0060194i,0.0042593-0.00011712i,0.002008+0.00011082i,0.0013848-0.010157i,0.0022305+0.00023753i,-0.0028202+0.0082314i,0.0027864+0.0016314i,0.0027138-0.0036722i,-0.0020251-0.0094531i,-0.0004453-0.0056736i,0.0021089-0.005315i,-0.0019523-0.0060082i,-0.0018108-0.022501i,-0.075901+0.018373i,-0.013582+0.0083681i,-0.0060249-0.016997i,-0.0064621-0.0081314i,-0.0045622+0.024958i,-0.011448+0.010439i,-0.0024808+0.011944i
-0.0044164+0.02517i,-0.021639+0.050746i,-0.0034236+0.039218i,0.00073851+0.033677i,0.0087208+0.031862i,0.036637+0.010907i,0.019438+0.010847i,0.019797+0.024982i,7.1682e-05+0.019405i,-0.0017694+0.0033134i,-0.0016067+0.0056364i,-0.0018458+0.0084842i,-6.631e-05+0.0068779i,-0.00060777+0.0066038i,0.0051935+0.00078448i,0.0057231+0.0092145i,0.0092976+0.0097418i,0.00093742-0.00031898i,-0.0027954-0.0038737i,-0.0036699-0.0011589i,-0.0029852-0.00063707i,-0.0035758-0.0025354i,-0.0027068-0.0016293i,-0.0069865+0.0067991i,-0.0012314+0.0016292i,0.00025112+0.0019255i,-0.0011242+0.0014497i,-4.9274e-05+0.00089689i,-0.00056263+0.0016725i,-0.0010728+0.00066843i,0.0038736-0.0022264i,0.00018466-0.00038364i,-0.00073549-0.0012008i,0.00020483-0.00099816i,0.002933+4.7666e-05i,-0.0092435-0.0043635i,0.00022295+0.001719i,0.00047378+0.0013621i,-0.00073016-0.001124i,0.0017871-0.0021136i,-0.0018417-0.00085666i,-0.002036-0.00091794i,0.0014276+0.0043039i,-0.00054879+0.005678i,-0.032705+0.021899i,-0.074268-0.024245i,-0.060489+0.01596i,-0.075814+0.031034i,-0.081527+0.049837i,-0.038238+0.030219i,-0.019403+0.056018i,-0.0048977+0.020431i,-0.046955-0.0037776i,-0.062144-0.017466i,-0.020341+0.018575i,-0.0044095-0.0040263i,0.011402-0.0082316i,-0.00042477-0.011068i,-0.0064549+3.4903e-05i,-0.0060228+0.019938i,0.0011932+0.0033324i,0.0077617-0.0010681i,0.0058861-0.00012295i,0.015506-0.0055077i,0.0049032+0.002801i,0.0023874+0.00054553i,-0.0076058-0.0040926i,0.0031033+0.0042208i,0.0022785+0.0047895i,0.0023193+0.0088111i,-0.0011188+0.00019425i,0.0025074-0.0038941i,0.0080522-0.004819i,-0.0001083-0.00094368i,-0.022024-0.010074i,0.00070484-0.0062829i,-0.00088826-0.0043481i,0.0047261+0.00020961i,0.0020301-0.00042222i,0.00089561-0.010887i,0.0020762-0.0010502i,0.00091808+0.006799i,0.0028929+0.0010896i,0.0024931-0.0030601i,-0.0055205-0.0058695i,-0.0038233-0.0057911i,-0.00054732-0.0048228i,-0.0041908-0.0058985i,-0.0087859-0.018317i,-0.07065+0.026997i,-0.0084148+0.0074564i,-0.0071776-0.015709i,-0.0088401-0.0066847i,-0.00029443+0.023532i,-0.010043+0.012337i,-0.00099727+0.0094789i
-0.0011386+0.024336i,-0.013188+0.053933i,0.0024562+0.041463i,0.0049664+0.032405i,0.011031+0.030418i,0.036813+0.0039827i,0.021132+0.0057896i,0.023199+0.021144i,0.0032373+0.019225i,-0.0011071+0.0038091i,0.0011353+0.0065203i,0.0015536+0.0082928i,0.0019731+0.0068759i,0.00086803+0.0063989i,0.0050615-0.00041763i,0.0084607+0.0068219i,0.011558+0.0055665i,0.0012534-0.0012156i,-0.0036556-0.0028883i,-0.0032966+0.00058897i,-0.0025295+0.00018485i,-0.004009-0.0010709i,-0.0028419-0.00086069i,-0.0040514+0.0086554i,-0.00065297+0.0023817i,0.0010384+0.0019698i,-0.00055123+0.0019377i,-0.00044396+0.0009578i,-0.00010738+0.0016942i,-0.00072517+0.0008422i,0.0024614-0.0031216i,0.00053743-0.0007468i,-0.0012462-0.0010083i,-0.00028526-0.0010285i,0.0023218-0.0012448i,-0.010646-0.001336i,0.00066886+0.0015819i,0.00089722+0.0011278i,-0.0017464-0.00067374i,0.0017768-0.0021277i,-0.0015926-0.0004343i,-0.0018851-0.00046292i,0.0022602+0.0033784i,0.0012659+0.0063309i,-0.028173+0.025515i,-0.079211-0.017202i,-0.059282+0.021788i,-0.067686+0.042514i,-0.066019+0.060937i,-0.034107+0.03528i,-0.0098059+0.053936i,-0.0022159+0.017083i,-0.045235+0.00068506i,-0.06258-0.0072412i,-0.015793+0.021638i,-0.0058596-0.0031064i,0.0035044-0.0097914i,-0.0045431-0.011263i,-0.0051535+0.0039015i,0.00095437+0.01811i,0.00075012+0.0026173i,0.0059588-0.0058169i,0.0051154-0.0013215i,0.011337-0.010904i,0.006604+0.00068638i,0.0035485+0.00077114i,-0.0080454-0.00030483i,0.0049863+0.0047351i,0.0048336+0.0052538i,0.0070813+0.0066235i,-0.00075535+0.001076i,0.0020788-0.0040833i,0.0046527-0.008385i,-0.00057383+0.00075213i,-0.024883-0.0014827i,-0.00064517-0.0058832i,-0.0017338-0.0024425i,0.0055311-0.00084514i,0.0017051-0.00072409i,-0.0014788-0.012794i,0.0008921-0.0015539i,0.0037353+0.0061116i,0.00341+0.00020502i,0.0033755-0.0035476i,-0.007327-0.0032423i,-0.0070587-0.0025231i,-0.0031472-0.0033957i,-0.0058887-0.0051147i,-0.013193-0.013135i,-0.064709+0.033866i,-0.0081936+0.0059415i,-0.0078621-0.017741i,-0.010071-0.0047529i,0.0011164+0.022388i,-0.009624+0.01419i,-0.00019426+0.0080345i
0.0021413+0.023594i,-0.0034457+0.05528i,0.010359+0.041784i,0.0090317+0.030949i,0.014517+0.030066i,0.036085-0.0024487i,0.021442+0.00028328i,0.026399+0.016562i,0.0067418+0.018011i,-0.00037771+0.0040785i,0.0035027+0.0052909i,0.0037757+0.0062664i,0.0040076+0.0062482i,0.0026438+0.0059417i,0.0046695-0.0016436i,0.009573+0.0035258i,0.012146+0.0011999i,0.00022728-0.0019626i,-0.0044886-0.0013648i,-0.0020133+0.0015598i,-0.0016409+0.00048057i,-0.0035798+0.00014834i,-0.0028475-2.5901e-05i,-0.0007545+0.0088726i,0.00031412+0.0025545i,0.0016411+0.0014041i,0.00035239+0.0020523i,-0.00023669+0.0015224i,0.00057014+0.0013853i,-0.00035995+0.0007922i,0.00096871-0.0033341i,4.0958e-05-0.0011193i,-0.0016588-0.00030239i,-0.00076085-0.00088054i,0.0013539-0.0020012i,-0.010542+0.0023048i,0.00096802+0.0012712i,0.0012841+0.00076782i,-0.0021089+0.0003322i,0.0014427-0.0026014i,-0.0015817-0.00023729i,-0.0015983-0.00020948i,0.0024628+0.002466i,0.0034001+0.0062617i,-0.023973+0.029126i,-0.08737-0.0039116i,-0.055006+0.027544i,-0.056632+0.051104i,-0.05107+0.068249i,-0.029176+0.041633i,-0.00051724+0.049856i,0.0029206+0.013441i,-0.042843+0.0055981i,-0.060202+0.0031102i,-0.011062+0.024665i,-0.0074209-0.0020299i,-0.0022032-0.0093327i,-0.0088824-0.0097349i,-0.0012145+0.0052638i,0.0046581+0.014116i,-0.00029984+0.0026809i,0.0028541-0.009102i,0.0055758-0.00080361i,0.0046166-0.013527i,0.0068232-0.0028975i,0.0046751-0.00015295i,-0.007925+0.003901i,0.0079038+0.0040808i,0.0081305+0.0029155i,0.0093733+0.0021486i,0.00056984+0.0018196i,0.0011212-0.0043705i,-0.001194-0.0086616i,0.0010084+0.0021558i,-0.024329+0.0078864i,-0.0019972-0.0054423i,-0.001339-0.00053915i,0.0058732-0.004376i,0.0016334-0.0006109i,-0.0069619-0.013078i,-7.468e-05-0.001221i,0.0061018+0.0035211i,0.0035215-0.00026587i,0.0026738-0.0046417i,-0.0072782+0.0012942i,-0.0071877+0.0020814i,-0.0048003-0.0014048i,-0.0079666-0.0041178i,-0.015024-0.0078874i,-0.059742+0.039955i,-0.0085183+0.0090917i,-0.012192-0.021667i,-0.0083869-0.0031568i,0.0042769+0.021974i,-0.0090146+0.017821i,0.0013128+0.0059553i
0.00568+0.022045i,0.0061564+0.054132i,0.018095+0.039152i,0.013148+0.029023i,0.019195+0.028836i,0.0347-0.0084713i,0.020095-0.0049136i,0.028455+0.011203i,0.0097559+0.016004i,0.00033268+0.004551i,0.0043007+0.0038018i,0.0043539+0.0044201i,0.0056493+0.0047295i,0.0040395+0.0047755i,0.0038592-0.0026206i,0.0091078+0.00060913i,0.010995-0.0022917i,-0.00072995-0.0017253i,-0.0042162+0.00028109i,-0.00081624+0.0016273i,-0.0009067+0.00022965i,-0.0029752+0.00080112i,-0.0023322+0.00070372i,0.001731+0.0083861i,0.0014052+0.0020511i,0.0019525+0.0008814i,0.0011365+0.0017474i,0.00043437+0.0016401i,0.00088692+0.00073803i,-0.00027843+0.00077398i,-0.00039036-0.0029074i,-0.00070163-0.0010049i,-0.0015489+0.00045059i,-0.0011396-0.00046089i,0.00039673-0.0021384i,-0.0090742+0.0052766i,0.0012384+0.00077584i,0.0014336+0.00012918i,-0.0018497+0.0013754i,0.00092357-0.0031483i,-0.0015677+0.00013556i,-0.001471-0.0003523i,0.0024705+0.0018065i,0.0053713+0.0053798i,-0.01914+0.032134i,-0.089019+0.016668i,-0.052396+0.031632i,-0.046082+0.055924i,-0.034336+0.073008i,-0.020737+0.048002i,0.0060005+0.043552i,0.0055206+0.0058243i,-0.038584+0.009175i,-0.054666+0.01336i,-0.0038491+0.025727i,-0.0088139+0.00045472i,-0.0079613-0.0062916i,-0.011875-0.0063236i,0.0017585+0.0035697i,0.0059273+0.01129i,-0.0021539+0.0039513i,-0.0013114-0.011693i,0.0067989-0.0030021i,-0.0018071-0.012079i,0.0046117-0.0051853i,0.0051893-0.0023845i,-0.0061159+0.0071867i,0.01019+0.00040716i,0.0086785-0.0019697i,0.0086064-0.0035542i,0.0024836+0.0012913i,5.9047e-05-0.004497i,-0.0045048-0.0049589i,0.0030381+0.0011902i,-0.019608+0.017813i,-0.0033345-0.0043768i,8.3342e-05+0.00053683i,0.002548-0.0062847i,0.0016328-0.00056796i,-0.012568-0.0094145i,4.0449e-05-0.00022113i,0.006697-8.4461e-05i,0.0030689-0.0011798i,0.0014498-0.0048551i,-0.004905+0.0047356i,-0.0048785+0.0053537i,-0.0048319+0.002046i,-0.0099328-0.0022015i,-0.015034-0.0039182i,-0.053166+0.048481i,-0.0020324+0.01201i,-0.019627-0.021295i,-0.0072084-0.00439i,0.0066313+0.020722i,-0.0056224+0.021611i,0.0020323+0.0027224i
