-0.0090972-0.038357i,-0.013783-0.043759i,0.00089924-0.046408i,-0.026436-0.02726i,-0.020391+0.014427i,-0.032806-0.030642i,-0.060234-0.059653i,-0.023001-0.071302i,-0.021223-0.083534i,0.0026725+0.015145i,-0.0074747+0.0096788i,-0.014562+0.01283i,0.0012339+0.015907i,-0.0037079-0.0033039i,0.000751+0.0063259i,0.00065155+0.037154i,0.032575+0.054142i,0.001017-0.00065526i,-0.0051396-0.008167i,0.0081961+0.0045153i,0.0017415+0.00059003i,-0.0014792+0.0037294i,5.8024e-05-0.0012281i,-0.031538-0.0077446i,-0.0027048-0.0074106i,0.00018781+0.0039242i,0.0042343+0.0008942i,-0.00016077+0.00065684i,-9.7452e-05-0.00073018i,-0.00012104-0.0026784i,-0.0015545-0.0052761i,-0.0023087-0.0041196i,-0.00035092-0.0077687i,0.0033095-0.00094202i,0.0035102-0.002514i,-0.001339+0.033363i,0.0071063-0.0044998i,0.0033603-0.0022977i,0.0049137-0.00031492i,-0.0063181-0.0036141i,-0.00027822+0.00022537i,0.0052363-5.664e-05i,0.0046231+0.0010196i,-0.0030511+0.004609i,0.0029875+0.0012962i,-0.002792+0.0068795i,0.012692-0.08808i,-0.0073401-0.049676i,-0.025555-0.039612i,-0.020191-0.041868i,0.062328-0.018372i,0.026475-0.060571i,0.037788-0.045756i,0.03024-0.05879i,0.018128-0.015506i,0.0084296+0.010042i,0.022288-0.033413i,-0.0068157-0.0063402i,0.0020854-0.0030204i,-0.0045984-0.0060368i,0.00089833-0.031565i,-0.023985+0.031672i,0.0078985-0.011426i,-0.0092149-0.00086382i,-0.0052438-0.0011102i,-0.0017214-0.013881i,-0.0098975+0.0035201i,0.0039905+0.0079393i,-0.010092+0.030091i,0.0061097+0.0078995i,-0.005684-0.001968i,-0.0019804-0.0019764i,-0.013233-0.0065949i,0.00058215-0.003468i,-0.034299+0.017962i,0.0021267-0.011874i,-0.0099424-0.0012176i,-0.006142-0.0026886i,0.0067004+0.0013548i,-0.010318+0.00042935i,0.0010794+0.00083029i,0.0075923+0.010568i,0.0042067+0.00073934i,-0.010553-0.0088007i,0.0027094+0.0083813i,-0.018089+0.0088292i,0.0060575+0.0027903i,-0.028918-0.0079357i,-0.034319+0.0032856i,0.020777-0.091716i,0.01161-0.010339i,-0.04316-0.027703i,-0.023826-0.0035791i,0.01784+0.012177i,-0.026491+0.013555i,-0.012872-0.0081049i
-0.033041+0.0018443i,-0.04761+0.017624i,-0.04926+0.043283i,-0.027391+0.0064376i,-0.0048111+0.013985i,-0.0077929+0.030882i,-0.02856+0.018426i,-0.056514+0.025027i,-0.022966+0.023905i,0.00029335-0.0088552i,0.00162-0.0016352i,0.0034001+0.00019096i,0.002936+0.0082919i,-0.0038229+0.0016141i,0.001352+0.0023373i,0.0017044-0.0095156i,-0.011313-0.007971i,-0.0044023+0.00061561i,0.003903-0.0021767i,0.0013212-0.0015649i,0.0024932-0.0041583i,0.0020244-0.0041784i,0.0018434-0.0034564i,-0.010748-0.011646i,-0.0024485-0.00067564i,-0.0038256+0.00050944i,-0.0034012-0.00086601i,-0.0043612-0.0013203i,-0.001119-0.0022793i,0.0011413-0.0017948i,-0.0044978+0.0039945i,0.001659+0.001359i,0.0023603+0.0024141i,0.0015559+0.00035908i,-0.0012891+0.0028889i,-0.0039639-0.0079617i,-0.0021016+0.00044582i,0.0012971+0.00022983i,0.00088913+0.002412i,0.014439+0.0058365i,-0.00050118-0.0022878i,0.0011825+1.9183e-05i,-0.0066928-0.0038773i,0.0014304+0.0033358i,-0.019342-0.018208i,-0.0022205-0.062001i,-0.088516-0.0088845i,-0.023085-0.02044i,-0.047936-0.040721i,-0.043397-0.005738i,-0.093098+0.015447i,-0.062294+0.0015746i,-0.036517-0.026689i,-0.031266-0.056525i,-0.049913-0.030824i,-0.00043856+0.0019189i,-0.024883+0.013763i,0.0044309+0.017063i,0.003946+0.0072764i,1.6739e-05-0.0068193i,0.0075992+0.0035403i,-0.010293-0.003023i,0.0027448+0.012016i,-0.00062207+0.0076938i,-0.00095822-0.002564i,0.0056395+0.0021804i,0.003756-0.0014322i,-0.0040639+0.020817i,0.001913+0.012899i,0.0018152-0.0043714i,0.010064-0.0076782i,0.0033861+0.0032039i,-0.0076008-0.006616i,-0.0021402-0.0020033i,0.0251-0.027118i,0.007833+0.0083205i,0.0035869+0.0023432i,-0.001541+0.003342i,0.0034534-0.0036316i,0.020131+0.0014717i,0.0017398-0.0020297i,0.00013-0.0097663i,0.00046606-0.0021231i,0.013203+0.0053378i,0.0059451-5.6322e-05i,0.0032444-0.0048067i,0.0043299+0.0076894i,0.0043102+0.0024021i,0.017669+0.00062033i,-0.066999-0.041639i,-0.011069+0.011443i,-0.006282-0.0045207i,-0.006036+0.0040855i,-0.036645+0.011577i,-0.0053996+0.0075349i,-0.01422+0.0053366i
-0.030592+0.0055954i,-0.04412+0.022716i,-0.035429+0.044989i,-0.025848+0.011936i,-0.003369+0.011632i,-0.0024076+0.030934i,-0.026248+0.022427i,-0.04787+0.031654i,-0.017022+0.020525i,-0.0020409-0.0060368i,0.0013037-0.00087154i,0.0033195-0.0014479i,0.0053449+0.0056577i,-0.0022184+0.0032582i,0.0016974+0.0024088i,-0.0038761-0.0069161i,-0.01681-0.0024196i,-0.0034777+0.0024102i,0.0037929-0.002559i,0.0012599-0.0021854i,0.0011557-0.0040079i,0.0018747-0.0034936i,0.0014224-0.0034656i,-0.012639-0.0074198i,-0.0020839-0.00020938i,-0.0036546+0.0017752i,-0.0028645+0.00033218i,-0.0037239-0.00010387i,-0.002308-0.0016385i,0.0009038-0.0015597i,-0.0025039+0.0062425i,0.0016138+0.00084766i,0.0032884+7.1753e-05i,0.00041222+0.00044664i,-0.0017593+0.0024626i,-0.0036777-0.0060152i,7.2692e-05+0.0021959i,0.00024721-0.00070379i,0.00049464+0.0024094i,0.012855-0.0023421i,-0.00074181-0.0043262i,0.00032654-0.00074391i,-0.0078513-0.0020058i,0.0023197+0.0029207i,-0.021455-0.020187i,-0.021545-0.067891i,-0.082977+0.0072113i,-0.030172-0.022051i,-0.059999-0.033992i,-0.040762+0.0038422i,-0.080996+0.035277i,-0.059988+0.015034i,-0.027665-0.027003i,-0.03872-0.051856i,-0.040994+0.012507i,-0.00077835+8.3005e-05i,-0.01717+0.023839i,0.0089703+0.012037i,0.0059964+0.002499i,-0.0054644-0.012908i,0.0044651+0.0027835i,-0.0096849+0.0033522i,0.0071828+0.0086351i,0.0016714+0.0079806i,-0.0020738-0.0019689i,0.0065604+0.0026493i,0.0032694-0.0012937i,0.0064529+0.016574i,0.0065033+0.0071104i,-0.003327-0.0061913i,0.002589-0.007801i,0.0041575+0.0034361i,-0.0094356+0.00055897i,-0.0022726+0.00091509i,0.0052753-0.030624i,0.010837+0.0064365i,0.0065411+0.00066461i,0.0013904+0.0013561i,0.00041351-0.0021518i,0.017202-0.0068608i,-0.00012801-0.0025782i,-0.0043583-0.006698i,-0.0020035-0.0015246i,0.011692+0.00058712i,0.0056787-0.00026269i,0.0012998-0.0033026i,0.0069897+0.0058551i,0.0037585+0.0021095i,0.015864-0.0055014i,-0.072516-0.033113i,-0.0034417+6.5597e-05i,-0.0079399-0.0041432i,-0.0049535+0.0030362i,-0.029314+0.020151i,-0.0034921+0.0084803i,-0.011401-3.9554e-05i
-0.027468+0.0081348i,-0.040523+0.027797i,-0.027571+0.043287i,-0.022451+0.015169i,-0.0009645+0.011409i,0.0030226+0.02989i,-0.022518+0.026504i,-0.040171+0.034825i,-0.016976+0.017706i,-0.0017543-0.0050723i,0.0017754-0.00062144i,-0.00027553-0.0025021i,0.0058893+0.0034496i,-0.0016688+0.0039996i,0.0024303+0.0023935i,-0.0072161-0.0015945i,-0.017612+0.0071583i,-0.0011043+0.0037072i,0.0042898-0.0045591i,0.00108-0.003133i,-0.00014349-0.0044024i,0.0019373-0.0044376i,0.0010457-0.0039184i,-0.01345-0.0038277i,-0.0024265+0.00023871i,-0.0024356+0.0032892i,-0.0022918+0.00069593i,-0.0026802+0.0014428i,-0.0023352-0.0012901i,5.5683e-05-0.0025317i,0.00024016+0.0062505i,0.0015256+0.00023857i,0.0018963-0.00047686i,0.00095451+0.00019427i,-0.0010307+0.0039812i,-0.0030976-0.0057207i,-0.00088793+0.0030464i,-0.00071294-0.00071955i,0.0023311+0.0024029i,0.0081482-0.0059229i,-0.0025708-0.0012677i,0.00062188-0.00013157i,-0.0099545-0.00029416i,0.0030046+0.0014853i,-0.025717-0.02049i,-0.043533-0.062958i,-0.073057+0.018641i,-0.037224-0.018627i,-0.067451-0.021457i,-0.03401+0.010231i,-0.061179+0.048592i,-0.045295+0.027412i,-0.029059-0.032576i,-0.045216-0.048234i,-0.030022+0.0088852i,-0.0015724-0.00064884i,-0.0065662+0.026361i,0.010713+0.0061974i,0.0031812-0.001555i,-0.018232-0.01131i,0.0039445+0.0017042i,-0.0066465+0.0067381i,0.0088886+0.0040454i,0.0035419+0.0088275i,-0.0041096+0.00073377i,0.0073383-0.0012337i,0.0036422-0.0026965i,0.0096875+0.008177i,0.0059336+0.0025648i,-0.0081299-0.0024469i,0.00012823-0.0057173i,0.0064087+0.0024458i,-0.0076875+0.010154i,-0.00018979+0.002404i,-0.0029362-0.032869i,0.013485+0.000805i,0.0063469-0.0034399i,0.00018303+0.00061019i,0.00089227-0.00045911i,0.01115-0.011447i,-0.0029814+0.0010119i,-0.0061124-0.0027137i,-0.0031594+0.0017321i,0.0087279-0.0022259i,0.0074265-0.0028695i,0.0019104-0.0030889i,0.010201+0.0017943i,0.0055026+0.00086353i,0.011977-0.010093i,-0.076749-0.02007i,-0.007862-0.0083847i,-0.0066477-0.0031048i,-0.004877+0.0018078i,-0.027703+0.020847i,-0.0016959+0.0041124i,-0.010415+0.0035294i
-0.024607+0.009098i,-0.03613+0.033288i,-0.021739+0.042171i,-0.018317+0.018101i,0.0028512+0.008767i,0.0079565+0.027561i,-0.017409+0.030051i,-0.033975+0.036468i,-0.017708+0.019013i,-0.0033542-0.0040598i,0.0017326-0.0018737i,-0.0026536+0.00088237i,0.0054735+0.0016515i,-0.001227+0.0054779i,0.0030288+0.0018749i,-0.0062198+0.0044092i,-0.012051+0.015299i,0.00099087+0.0027645i,0.0019815-0.0063133i,-0.00023299-0.0042837i,-0.0016237-0.0039236i,0.0012581-0.0049178i,0.00010339-0.0048772i,-0.013042+0.00040505i,-0.0021638+0.00067205i,-0.00064544+0.002799i,-0.00213+0.00077946i,-0.0010346+0.0014672i,-0.0029382-0.0003769i,-0.0014651-0.0020955i,0.0026692+0.0054119i,0.00099991-0.00011726i,0.0010991-0.00055955i,0.00078772+2.124e-05i,0.0014905+0.0040625i,-0.0039503-0.0068586i,-0.00037484+0.0034789i,-0.0012158-4.3033e-05i,0.0022764+0.0006002i,0.0045165-0.0063739i,-0.0010787-0.0016646i,0.0013738-0.00057707i,-0.012587+0.0018984i,0.0016296-0.00086766i,-0.032041-0.018857i,-0.060036-0.046829i,-0.062398+0.024194i,-0.042701-0.012966i,-0.070876-0.0086235i,-0.026247+0.012097i,-0.042488+0.050987i,-0.029714+0.027043i,-0.033274-0.031309i,-0.052849-0.040064i,-0.028641+0.01003i,-0.0029811-0.00065079i,0.0031836+0.024875i,0.011714+0.0018672i,-0.0013203-0.0018204i,-0.027574-0.00052933i,0.0013024+0.0022366i,-0.0029749+0.0077994i,0.0075516-0.00074496i,0.0073328+0.0081839i,-0.0033611+0.0037769i,0.0037697-0.0029782i,0.0030955-0.0050305i,0.0069216+0.0010302i,0.0032619+0.00096044i,-0.008445+0.0019885i,-0.0015338-0.0042262i,0.007407+0.00015888i,0.0043205+0.013809i,0.0013228+0.0013742i,-0.0088348-0.024321i,0.012224-0.0039266i,0.0043395-0.0037527i,0.00073913+0.0018573i,0.001586-0.00082259i,0.0060366-0.011834i,0.00024855+0.0038357i,-0.0063594-2.3443e-05i,-0.00090789+0.0044422i,0.0065422-0.0027939i,0.0053085-0.0066528i,0.00049284-0.003126i,0.0081813-0.0045715i,0.0048903-0.0019739i,0.0076255-0.013066i,-0.074041-0.0068014i,-0.016538-0.011324i,-0.0064615-0.0056807i,-0.0051934+0.00085705i,-0.015604+0.031968i,-0.0055261+0.002781i,-0.012308+0.002902i
-0.023199+0.0095639i,-0.031421+0.037416i,-0.017976+0.042047i,-0.013094+0.02067i,0.0048153+0.0043521i,0.011409+0.024666i,-0.011332+0.031772i,-0.028728+0.038174i,-0.015701+0.022717i,-0.0038858-0.0024564i,0.00074268-0.0022414i,-0.0014381+0.0039483i,0.0046621+0.00048205i,0.0015602+0.0067873i,0.003581+0.0013746i,-0.0026285+0.007663i,-0.0040462+0.01908i,0.0015945+0.0014925i,0.00016221-0.0059882i,-0.0021065-0.004211i,-0.0028504-0.0030066i,0.00038904-0.0051367i,-0.0019869-0.0049394i,-0.010343+0.0034725i,-0.0024839+0.00070312i,-0.00042406+0.001878i,-0.0019176+0.00092504i,-0.00030322+0.00078621i,-0.002681+0.00094531i,-0.001868-0.00091997i,0.0039741+0.0038003i,0.00070115-0.00015097i,0.00073863-0.00067853i,0.00037864-0.00010536i,0.0024906+0.0028082i,-0.0061744-0.0069812i,5.6148e-05+0.003781i,-0.0013027+0.00087874i,0.0015995-0.00024824i,0.0026131-0.0052831i,-0.0012094-0.0018355i,0.0012729-0.0015447i,0.00084056-0.0051662i,-0.00041616+0.00010581i,-0.037651-0.012478i,-0.063235-0.026784i,-0.055709+0.025655i,-0.047798-0.005507i,-0.072472+0.0056656i,-0.021767+0.009395i,-0.027693+0.049549i,-0.019666+0.023235i,-0.036673-0.029995i,-0.054623-0.031201i,-0.027073+0.016249i,-0.0038792+0.00011222i,0.013002+0.01926i,0.010229-0.00077644i,-0.0046102+0.00060743i,-0.027513+0.011808i,0.00060811+0.0041289i,0.0019635+0.0086685i,0.0033867-0.0022059i,0.010724+0.004423i,-0.0012702+0.0054391i,0.0015191-0.0012916i,0.0012054-0.0069343i,0.0022162+0.0016858i,0.0011039+0.0022091i,-0.0075277+0.0077137i,-0.002725-0.0018566i,0.0070424-0.0027594i,0.0092431+0.0060173i,0.0018134+0.0005241i,-0.012796-0.019562i,0.0092131-0.0074153i,0.0032536-0.0048735i,0.0033348+0.0027914i,0.0016176-0.0011364i,0.0031121-0.011082i,0.0030608+0.0030593i,-0.005212+0.0036757i,0.0030594+0.0046345i,0.0058911-0.0031541i,0.0016171-0.0075593i,0.00050686-0.0026115i,0.0024148-0.0067248i,0.0028514-0.0035398i,0.0016295-0.01531i,-0.069471+0.0010286i,-0.025611-0.004835i,-0.0076719-0.0086048i,-0.0054453+8.0889e-05i,-0.0055335+0.027466i,-0.0094968+0.0046596i,-0.013697+0.0057551i
-0.022267+0.010658i,-0.02626+0.04176i,-0.015272+0.044367i,-0.0059918+0.02006i,0.0037208-0.00048345i,0.01507+0.022173i,-0.0048871+0.031603i,-0.024017+0.040139i,-0.01172+0.02387i,-0.0048796-0.001338i,-0.00083537-0.0018668i,0.0010081+0.0054214i,0.0037902+7.5547e-05i,0.0042064+0.0052642i,0.0037839+0.0005946i,0.001185+0.0086459i,0.0045581+0.018585i,0.0016513+0.0010178i,-0.0014864-0.0057642i,-0.0037304-0.0032059i,-0.0030131-0.0015731i,-0.00069378-0.0054866i,-0.0033018-0.0034912i,-0.0083858+0.0037564i,-0.0029635+0.001859i,-0.0005908+0.0017517i,-0.00056952+0.0014824i,0.00018276-0.00028811i,-0.0016132+0.0015064i,-0.0017067-0.00025219i,0.0044396+0.0020684i,0.00058404+9.0874e-05i,0.00035952-0.0013735i,-4.4423e-06-0.00028227i,0.0030344+0.0020047i,-0.0082012-0.0056762i,0.00064356+0.003425i,-0.00074438+0.0017912i,0.00074721-0.0007708i,0.0014319-0.0044858i,-0.0017727-0.0016175i,0.00054161-0.0021613i,-0.0029061+0.0053002i,-0.00063332+0.0016666i,-0.040365-0.0037887i,-0.058199-0.014293i,-0.05208+0.028427i,-0.04934+0.0063283i,-0.068239+0.023956i,-0.023216+0.0072868i,-0.016584+0.044821i,-0.012744+0.018282i,-0.040392-0.025761i,-0.056746-0.025147i,-0.021608+0.021848i,-0.004907+0.0018336i,0.016516+0.0067275i,0.0089805-0.0047031i,-0.0059148+0.0047635i,-0.022082+0.023077i,0.0020269+0.0048745i,0.0064538+0.0044703i,0.0013132-0.00054913i,0.011494-0.0010886i,0.00094034+0.0063546i,0.0013923-6.0404e-06i,-0.0036002-0.0077303i,0.00077621+0.0041699i,0.0015448+0.0043669i,-0.0021556+0.012736i,-0.001395+0.00031961i,0.0055081-0.0041195i,0.0087153+0.0010405i,0.0025569-0.00076036i,-0.019575-0.01837i,0.0050272-0.0088259i,0.0005738-0.0060639i,0.0076365+0.0022636i,0.00073407-0.00050639i,0.0014932-0.0093149i,0.0039541+0.00077358i,-0.0025259+0.0054055i,0.0045921+0.00070701i,0.0044387-0.0044183i,-0.0013804-0.0081059i,0.00020065-0.0036129i,-0.00046553-0.0030316i,0.0019733-0.0050564i,-0.0056948-0.013223i,-0.066925+0.0084003i,-0.024661+0.0069716i,-0.012032-0.0096861i,-0.0069113-8.5572e-05i,-0.0031907+0.024942i,-0.0091753+0.0098715i,-0.0095334+0.0086006i
-0.021489+0.0124i,-0.019679+0.045903i,-0.0099662+0.048043i,-0.0032513+0.018302i,5.347e-05-0.0028656i,0.018672+0.018746i,0.00079706+0.030206i,-0.019054+0.042617i,-0.0080476+0.02514i,-0.0062669+0.00016887i,-0.0016624+9.3657e-05i,0.0042514+0.005548i,0.0031141+0.00018503i,0.0053643+0.002988i,0.0034924+1.3624e-05i,0.0047026+0.0077695i,0.011473+0.014799i,0.0019963+0.00066463i,-0.0027123-0.0050735i,-0.0044849-0.0013654i,-0.0025304-0.00050427i,-0.0021369-0.0056332i,-0.0037168-0.0021861i,-0.0081063+0.0050484i,-0.0022857+0.0030899i,-0.0002694+0.002382i,-0.001008+0.0019348i,-0.0010136-0.0012416i,-0.0011006+0.0012601i,-0.0015396-6.7583e-05i,0.0045931+0.00073493i,0.0012689-0.00011248i,0.00036326-0.0022846i,-0.00011907-6.7013e-05i,0.0036709+0.00021598i,-0.010019-0.0035669i,0.0017451+0.0031324i,0.00032449+0.0015285i,0.00022105-0.00090078i,0.00061288-0.0038176i,-0.0019418-0.0010882i,1.291e-05-0.0022092i,-0.0019893+0.0056258i,9.6759e-05+0.0023833i,-0.039359+0.0036353i,-0.054861-0.0093681i,-0.048218+0.033366i,-0.044716+0.016965i,-0.057274+0.038127i,-0.024364+0.010251i,-0.008956+0.041109i,-0.010054+0.012939i,-0.042234-0.020033i,-0.059277-0.017506i,-0.015574+0.025756i,-0.0036045+0.0026067i,0.010438-0.0032336i,0.005415-0.0086266i,-0.0040773+0.0079606i,-0.010604+0.029465i,0.002452+0.0035725i,0.0071369+0.00014491i,0.0020011+0.00057174i,0.0093779-0.0043167i,0.0042012+0.0070182i,0.0015537+0.0019099i,-0.0074132-0.0026156i,0.0031877+0.0063444i,0.0028147+0.0057132i,0.0068424+0.011955i,-0.00056186+0.0003906i,0.00425-0.0052527i,0.0075715-0.0035293i,0.00052594-0.0017243i,-0.027175-0.011457i,0.0020747-0.0086291i,-0.0019821-0.0040937i,0.012345-0.0018436i,0.00062034-0.00018019i,0.001075-0.010088i,0.0034573-0.0012405i,0.0005288+0.0052291i,0.0033679-0.00065566i,0.0036943-0.0039261i,-0.0052606-0.0059479i,-0.0020233-0.0043204i,-0.00070808-0.0036897i,-0.00065435-0.0064983i,-0.0091808-0.0084232i,-0.062821+0.015882i,-0.021543+0.0079903i,-0.012338-0.0073129i,-0.0077222+0.00096769i,0.00073941+0.022486i,-0.0074701+0.011891i,-0.0067773+0.0080431i
-0.020224+0.014232i,-0.012025+0.048763i,-0.0020691+0.051726i,-0.0032636+0.016783i,-0.0037152-0.0023995i,0.02126+0.014795i,0.0058259+0.027799i,-0.013117+0.04529i,-0.0035493+0.025184i,-0.006471+0.0013849i,-0.00057325+0.0016549i,0.0074438+0.002858i,0.0030179+0.00034183i,0.0048521+0.00115i,0.0035672-0.00018313i,0.0073164+0.0051644i,0.015465+0.0093047i,0.0021921-0.00062403i,-0.0037573-0.00442i,-0.0041436+0.0007275i,-0.0018485+0.0001578i,-0.0034986-0.0045719i,-0.0036749-0.0012372i,-0.0068606+0.0074813i,-0.0012646+0.0043052i,0.0010646+0.0023994i,-0.00060341+0.0022752i,-0.0026721-0.00067243i,-0.0011583+0.0014344i,-0.0015179+0.00037163i,0.0045482-0.00098262i,0.0013236-0.00089726i,0.00042161-0.0026229i,-8.6022e-05+0.00015074i,0.0027683-0.0012876i,-0.011095-0.00054695i,0.0025157+0.00235i,0.00081+0.0012475i,-0.00078916-0.0011271i,0.00030652-0.0030281i,-0.0018451-0.00080077i,-0.00034526-0.0024343i,-0.0017072+0.0059917i,0.00096734+0.0026625i,-0.037853+0.009015i,-0.055894-0.0051975i,-0.043222+0.038201i,-0.039229+0.024329i,-0.043499+0.045789i,-0.024979+0.01371i,-0.00045672+0.036517i,-0.0089103+0.01063i,-0.042255-0.014628i,-0.060186-0.0078816i,-0.0078531+0.027581i,-0.0026415+0.0029826i,0.0038009-0.0039245i,0.00039463-0.010393i,-0.00076996+0.010783i,0.00088336+0.029654i,0.0020176+0.0022047i,0.0063234-0.0041889i,0.0016903+0.0005163i,0.0069881-0.0072727i,0.0087319+0.004288i,0.0028961+0.0026473i,-0.0072788+0.001012i,0.0059863+0.0066197i,0.0050326+0.0066577i,0.0093192+0.0097993i,-0.00014744+0.00092682i,0.0034169-0.0058822i,-0.0063963-0.0052237i,-0.00030948+8.3509e-05i,-0.030123-4.6787e-05i,0.00012174-0.0081314i,-0.0024657-0.0019069i,0.0051759-0.0064736i,0.00093666+0.00015994i,-0.00075601-0.011417i,0.0018615-0.002042i,0.0034791+0.0045679i,0.0030957-0.0012079i,0.0041998-0.0047239i,-0.007315-0.0032187i,-0.0044144-0.0022401i,-0.0030881-0.0035062i,-0.0032908-0.006742i,-0.010418-0.0046404i,-0.05854+0.022154i,-0.021044+0.010616i,-0.01221-0.0088607i,-0.0076648+0.0023036i,0.0014147+0.020964i,-0.0066835+0.0127i,-0.004949+0.0072072i
-0.018373+0.016218i,-0.0029955+0.049871i,0.0086893+0.052524i,-0.0029696+0.015954i,-0.0056246+0.00050645i,0.02337+0.010691i,0.0099809+0.024124i,-0.0051371+0.047205i,0.00074264+0.024475i,-0.0059725+0.0028156i,0.00068539+0.0014563i,0.0075696-0.0011827i,0.0034628+3.4094e-05i,0.0045498+0.00026142i,0.0037762-0.0008664i,0.0075889+0.0022129i,0.016499+0.0033855i,0.00069496-0.0016651i,-0.0051475-0.0030978i,-0.0028171+0.0016539i,-0.00092226+5.0065e-05i,-0.0040078-0.0035557i,-0.0036036-0.00025963i,-0.0046438+0.0092644i,0.00088144+0.0049535i,0.0017362+0.0015479i,0.00025305+0.0025025i,-0.0034203+0.00087485i,-0.00053256+0.0016343i,-0.0012641+0.00063662i,0.0033717-0.0025709i,0.0006026-0.0016087i,-0.0018481-0.00020079i,-8.524e-05-7.6335e-06i,0.0015067-0.0019667i,-0.010812+0.0028177i,0.0028789+0.0013793i,0.0012488+0.00083095i,-0.0016457-0.0006398i,-6.8244e-05-0.0026756i,-0.0022123-0.00065975i,-0.00061462-0.0025464i,-0.001072+0.0065233i,0.0017461+0.0027347i,-0.03633+0.01521i,-0.059201+0.002912i,-0.03674+0.041453i,-0.031632+0.029693i,-0.030613+0.050287i,-0.023775+0.02049i,0.0065936+0.028937i,-0.0045543+0.00809i,-0.041796-0.0096128i,-0.057622+0.0020205i,-0.0011317+0.027283i,-0.0022722+0.0024534i,-0.00013814-0.0034585i,-0.0053932-0.0097712i,0.004933+0.010602i,0.0096063+0.020391i,0.00014271+0.0018633i,0.0037028-0.0083708i,0.0027782+0.0019448i,0.0026636-0.0089925i,0.010143-0.0011549i,0.0048611+0.0019616i,-0.0068755+0.004605i,0.010021+0.0056323i,0.0093786+0.0050488i,0.012979+0.0036034i,0.00087168+0.0014922i,0.0017088-0.0067927i,-0.0016142-0.0098096i,0.0012908+0.0017503i,-0.02536+0.013797i,-0.0018865-0.0078856i,-0.0017058-0.00020934i,0.0037859-0.0059945i,0.001752+0.00036391i,-0.0055036-0.012169i,0.00085084-0.0015401i,0.005316+0.0018826i,0.0028118-0.0015841i,0.0031525-0.0063966i,-0.0072336+0.0012503i,-0.004359+0.00051776i,-0.0059365-0.00032191i,-0.0059732-0.0061174i,-0.010577-0.0011074i,-0.054679+0.028546i,-0.019828+0.016508i,-0.014634-0.012122i,-0.0048162+0.0032763i,0.0036619+0.020668i,-0.0065082+0.015274i,-0.0030543+0.0053549i
-0.016054+0.017648i,0.0055895+0.048579i,0.018384+0.048758i,-0.0022768+0.016819i,-0.005029+0.0038859i,0.025256+0.0063517i,0.012761+0.019977i,0.0032196+0.046471i,0.0044645+0.022753i,-0.0049697+0.004952i,0.0007779+0.0011491i,0.0053495-0.0038566i,0.0035681-0.0010822i,0.0040387-0.00041676i,0.0034304-0.0016718i,0.0064754+0.00023558i,0.015619-0.0016864i,-0.00014831-0.0011851i,-0.0053492-0.0012661i,-0.0023305+0.0025483i,-0.00020804-0.00036598i,-0.0044775-0.0030332i,-0.0030346+0.0005935i,-0.0012098+0.010924i,0.0031471+0.0038256i,0.0020244+0.0010025i,0.0011678+0.0021347i,-0.0029335+0.0026404i,6.9171e-05+0.0012261i,-0.0012582+0.0010006i,0.0018232-0.0031695i,-0.00040128-0.0016958i,-0.0011237-0.00096531i,-0.00022013-2.1101e-05i,0.00027974-0.0021559i,-0.0097765+0.0058419i,0.0028608+0.00028905i,0.0012829+0.00038539i,-0.0018933+0.00041685i,-0.00042836-0.0026001i,-0.0025038-7.879e-06i,-0.0010789-0.0030333i,0.00025092+0.0074993i,0.0026918+0.0022128i,-0.032773+0.021031i,-0.058756+0.015012i,-0.032174+0.04375i,-0.024175+0.03237i,-0.016761+0.05249i,-0.017676+0.027801i,0.0091605+0.021844i,-0.0023014+0.0016346i,-0.038871-0.0051249i,-0.052765+0.011765i,0.0057611+0.024792i,-0.0023316+0.0027856i,-0.0040864-0.0012992i,-0.0092708-0.0067885i,0.0085975+0.0065353i,0.0097021+0.017396i,-0.0024695+0.0033462i,-0.00086304-0.01105i,0.0048215+0.00059603i,-0.0015597-0.0078794i,0.0075227-0.0054673i,0.0059269-0.00056109i,-0.0049061+0.0073085i,0.013392+0.00065866i,0.011691-0.00075451i,0.011438-0.0044518i,0.0026989+0.00095743i,-0.00097959-0.0068103i,-0.0041476-0.006134i,0.0035114+0.00061655i,-0.017194+0.0092132i,-0.0038603-0.0066797i,-0.00033725+0.00066542i,0.0019797-0.0071205i,0.0021471-0.0001263i,-0.010586-0.008541i,0.00091565-0.00094037i,0.0054458-0.0018418i,0.0021164-0.0020763i,0.0012739-0.0069082i,-0.0050749+0.0046134i,-0.0031808+0.0024573i,-0.004863+0.0042102i,-0.0086869-0.0039159i,-0.0096109+0.0013432i,-0.048253+0.03651i,-0.011671+0.02127i,-0.024623-0.0099354i,-0.0028804+0.0013984i,0.0054796+0.020288i,-0.0034019+0.01871i,-0.00249+0.0020274i
