-0.025788-0.0054216i,-0.021486-0.0073707i,-0.012858-0.013799i,-0.035734-0.00843i,-0.027515+0.0012282i,-0.036636-0.0031613i,-0.068137-0.036512i,-0.033528-0.014925i,-0.022963+0.0028175i,0.0062893+0.0065312i,-0.005091+0.0076118i,-0.0081834+0.018058i,0.0059376+0.0080986i,-0.0012693+0.0034602i,0.0043191+0.0037408i,0.0055593+0.025258i,0.023234+0.019912i,0.0012686-0.00036225i,0.0012356-0.0046937i,0.0090094-0.00015608i,0.0053027-0.0005718i,0.0022624+0.0012402i,0.0014432-0.00071509i,-0.023993+0.00022972i,-0.0047242-0.0040117i,-3.9749e-05+0.0032371i,0.0051364-0.0042113i,-0.0017781-0.00045364i,-0.00023774+0.0010007i,-0.0020158-0.0014417i,-0.0037206-0.00037648i,-0.007003-0.0088489i,-0.0052803-0.0074734i,-0.0006321+0.00016112i,-0.0002085-0.0021016i,0.00053941+0.022042i,0.0027805-0.0040499i,0.0007233-0.0043739i,0.0030236-0.0019856i,-0.0032278-0.0026555i,0.0008083-4.5034e-05i,0.0078636-0.0022626i,0.0030054-0.0022261i,-0.00013187+0.0025245i,-0.01383+0.015452i,-0.026077+0.053766i,-0.0060039-0.037192i,-0.015178-0.01873i,-0.040349-0.016288i,-0.027423-0.012716i,0.035536-0.01122i,0.0060439-0.029356i,0.01243-0.037904i,-0.0083625-0.03001i,0.02504-0.023125i,0.013553+0.0071801i,0.028182-0.036169i,-0.0017433-0.0043131i,0.0058431-0.0092851i,-0.00033131-0.0061956i,-0.00043727-0.035018i,-0.013167+0.029171i,0.0087918-0.011857i,-0.0086178-0.0045572i,-0.0023718-0.0019414i,-0.00033775-0.015707i,-0.0079049+0.0057946i,0.0039644+0.0066553i,-0.00058002+0.028812i,0.0024888+0.00087178i,-0.0071304-0.0044158i,-0.0038089-0.0060308i,-0.014786-0.0098474i,-0.0021544-0.0056252i,-0.034256+0.0065736i,-0.0051556-0.0084094i,-0.01312-0.00095025i,-0.010577-0.0057622i,0.0017551-0.0013043i,-0.014566+0.0020034i,-0.0016652-0.00030148i,0.0054559+0.0061402i,0.0034634-0.00515i,-0.014541-0.014284i,0.0074972+0.0083186i,-0.016529+0.005125i,0.0047148+0.00012097i,-0.019175-0.0033091i,-0.016415-0.0042864i,-0.014483-0.035899i,0.020589-0.010794i,-0.039513-0.0242i,-0.0098009+0.0058791i,0.017663+0.014914i,-0.022387+0.017245i,-0.0044972-0.0037623i
0.0046273+0.014775i,-0.0030906+0.015379i,-0.0022923+0.026973i,0.0016901+0.025367i,-0.00046376+0.029148i,0.010992+0.022838i,-0.0091737+0.0267i,-0.0056795+0.022268i,0.011805+0.0050733i,0.0022786-0.0053162i,0.0020361+0.00018744i,0.0062982-0.0026006i,0.00082448-0.0017791i,0.0003148-0.0036873i,0.00020773-0.0019626i,0.0061602-0.0062836i,-0.0033169-0.0045298i,-0.0014854+0.0022711i,0.00022226+0.00027862i,0.00014318+0.0019068i,-0.0026261-1.5686e-05i,7.4836e-05+7.9863e-05i,0.0014232+0.00030831i,-0.0084351-0.0036669i,-0.00090634-0.00062383i,-0.0023311+0.00065122i,-0.0040707+0.00042802i,-0.0017001+0.00059355i,-0.0019309+0.00056404i,-0.00022892-0.00029653i,-0.0031626+0.00063689i,0.0012545-0.0020972i,0.00074499-0.0026124i,-0.00030024-0.0010234i,-0.0017507+0.0007334i,-0.0012925-0.0040609i,-0.0022294+0.001485i,0.0018766-0.00029094i,-0.00053593+0.0022427i,0.0023909+0.0061338i,0.00020841+0.00083545i,-0.0010775+0.0002237i,-0.0012591-0.0017519i,0.0033182+0.0042783i,0.014992+0.0072927i,0.044257-0.053985i,-0.026371+0.0061022i,0.01847-0.026706i,-0.022743-0.03374i,-0.011741+0.0028666i,-0.032882+0.033992i,-0.019524+0.0054323i,-0.016137+0.0088319i,-0.0020316-0.017025i,-0.040554-0.021339i,-0.0082429+0.0019056i,-0.028014+0.012087i,0.0022411+0.014066i,0.00097911+0.0048635i,-0.0032638-0.0049426i,-0.00011776+0.0018629i,-0.013643-0.0045129i,0.0052712+0.012877i,-0.0017473+0.0078212i,-0.0019649+0.0040459i,0.00065846+0.0059809i,0.0025297+0.0026488i,-0.0014913+0.018833i,0.0043162+0.015038i,0.0048234-0.0053802i,0.011461-0.0051445i,0.0085559+0.0028356i,-0.0040645-0.0066866i,-0.00025826-0.0019196i,0.018882-0.031925i,0.0090272+0.003863i,0.0075807-0.0016626i,0.0024866-0.00075451i,0.0060594-0.0089891i,0.022043+0.00027377i,0.0059973-0.0034613i,0.0013443-0.0070987i,0.0049709-0.0034046i,0.017793+0.0030564i,0.006948+0.0030559i,0.0035437-0.0029375i,0.0097708+0.0095317i,-0.0014411+0.0051226i,0.00848+0.010138i,-0.013718-0.014428i,-0.0088434+0.0023886i,-0.0084347-0.013662i,-0.007906-0.0046698i,-0.039812+0.0066406i,-0.0059326+0.0036922i,-0.011664+0.00052045i
0.0072683+0.013398i,-0.0011458+0.012816i,0.0042212+0.022444i,0.0054578+0.022902i,0.0036583+0.027404i,0.014281+0.02046i,-0.0055562+0.027355i,-0.0013093+0.02223i,0.011563+0.0010104i,0.00051167-0.005494i,0.002372+0.0006447i,0.0051685-0.0051982i,0.00018026-0.0025178i,0.00048729-0.0033898i,-0.00051618-0.0018272i,0.0026104-0.0061732i,-0.0055257-0.0023354i,-0.00048082+0.0025216i,0.0012056+0.00015743i,0.0013637+0.0015562i,-0.0018858+0.0015726i,0.00068367+0.00040779i,0.0016671-0.00029651i,-0.0079242-0.00095444i,-0.00080212-0.0001941i,-0.0019551+0.0015157i,-0.0029077+0.0022226i,-0.0010372+0.0010806i,-0.0014526+0.0010237i,-2.6407e-06-1.2278e-06i,-0.0025509+0.001958i,-0.00024207-0.0016586i,-0.0010438-0.0025611i,-0.0014245-0.00088438i,-0.0022731+0.0012083i,-0.0003049-0.0032217i,-0.0012672+0.0020734i,0.0009005-0.0011019i,-2.3955e-05+0.0025824i,0.0038849+0.0040005i,0.00063148+0.00070758i,-0.0014078+0.00048251i,-0.0019055-0.0014333i,0.0045808+0.0030779i,0.015868+0.0027239i,0.024067-0.063914i,-0.0204+0.013611i,0.0081643-0.034718i,-0.034211-0.025663i,-0.0092506+0.0061766i,-0.021394+0.039662i,-0.015591+0.010903i,-0.0052344+0.0036689i,-0.0042347-0.015895i,-0.045133-0.0053532i,-0.0081705+0.0024824i,-0.022987+0.023361i,0.0056974+0.010053i,0.0017052+0.0030499i,-0.0082989-0.0069824i,-0.0024348+0.0048474i,-0.013471+0.0034597i,0.010519+0.0090277i,0.0006843+0.0097091i,-0.00037123+0.0041262i,0.0031101+0.0068551i,0.0037605+0.0027284i,0.0063674+0.015119i,0.0092965+0.0085309i,-0.001726-0.0077851i,0.0057535-0.0063925i,0.0078849+0.0011271i,-0.0070421-0.00016663i,-0.00055221+0.00058085i,0.0049589-0.032009i,0.010626+0.0013847i,0.0078867-0.0046142i,0.0041566-0.0023115i,0.0010636-0.0063961i,0.020599-0.0096892i,0.0030231-0.004978i,-0.0022643-0.005931i,0.0012442-0.0033006i,0.01533-0.0033661i,0.0079704+0.0017053i,0.0024877-0.0018363i,0.012316+0.0059462i,-0.00025615+0.0056869i,0.010131+0.0061634i,-0.019435-0.012629i,-0.0047495-0.012138i,-0.0069089-0.011556i,-0.0077906-0.0031163i,-0.033794+0.020262i,-0.0039333+0.0047401i,-0.010053+0.0026038i
0.010443+0.011477i,-0.00016424+0.011283i,0.0073695+0.016786i,0.0082484+0.020343i,0.0084595+0.025918i,0.017338+0.017472i,-0.0011281+0.027685i,0.0030648+0.021208i,0.0097915-0.0018355i,-0.0011159-0.0050367i,0.0034275+0.00034477i,0.0014001-0.0060175i,-0.00063172-0.0026125i,-0.00033612-0.0035586i,-0.0010765-0.0014974i,-0.00057571-0.0043158i,-0.0061388+0.00063431i,0.00063483+0.0024668i,0.0016461-0.0010857i,0.0024345+0.0002759i,-0.00046877+0.0020166i,0.0014273-0.00011161i,0.0015918-0.00099543i,-0.007628+0.00042711i,-0.00064631+0.00021754i,-0.0008153+0.0025271i,-0.0011406+0.0025544i,-0.00023452+0.0013299i,-0.0008191+0.0013341i,2.1367e-05-0.00019302i,-0.0014832+0.0026971i,-0.00096363-0.0010099i,-0.002109-0.0013149i,-0.0020826-6.7132e-05i,-0.0016702+0.0023507i,0.00063601-0.0038875i,-0.00063345+0.0020181i,-2.1816e-05-0.0012768i,0.0015843+0.0021613i,0.0041406+0.0022495i,0.00098487+0.00051223i,-0.00065772+0.0012198i,-0.002454-0.001073i,0.0049835+0.00089296i,0.015362-0.0012679i,0.0022118-0.063632i,-0.010136+0.016941i,-0.0039892-0.03669i,-0.037764-0.016307i,-0.0038227+0.0074481i,-0.0070877+0.04021i,-0.0045194+0.011992i,-0.0040813-0.0037026i,-0.0060534-0.014919i,-0.041738+0.0090339i,-0.0074654+0.0041202i,-0.011235+0.030202i,0.0066494+0.0061059i,-0.00029611+0.00078377i,-0.016391-0.0038374i,-0.0012869+0.0061973i,-0.0088818+0.0084315i,0.011784+0.0024146i,0.0042998+0.0099298i,-0.0012338+0.0046731i,0.0045746+0.0048372i,0.005281+0.00054515i,0.0085752+0.0085188i,0.0086714+0.0026112i,-0.0068944-0.0031384i,0.0037268-0.0056641i,0.0090154-5.1662e-05i,-0.002798+0.0073164i,0.0021053+0.0019479i,-0.0048755-0.027624i,0.011819-0.0034583i,0.0050575-0.0072002i,0.0022577-0.0040354i,0.00047369-0.004518i,0.013041-0.016436i,-9.8987e-06-0.002101i,-0.0042901-0.0033096i,-0.0001936-0.00018052i,0.010759-0.0073329i,0.010523-0.0020344i,0.0035052-0.0027789i,0.014959+0.00043611i,0.0032634+0.0050484i,0.0099258+0.002411i,-0.023251-0.0049207i,-0.015046-0.01986i,-0.0056809-0.014119i,-0.0059599-0.003448i,-0.023221+0.026315i,-0.0038976-9.8971e-05i,-0.0081448-0.00059223i
0.013297+0.0079746i,0.00156+0.01091i,0.0080336+0.011554i,0.010924+0.018278i,0.012956+0.0224i,0.019942+0.01369i,0.0041009+0.027107i,0.0071967+0.019014i,0.0080527-0.0030378i,-0.0024665-0.0040212i,0.0038833-0.0013596i,-0.0011369-0.0041957i,-0.0016263-0.0025029i,-0.0016225-0.0028389i,-0.0017063-0.0011023i,-0.0015512-0.0013516i,-0.0047537+0.0034332i,0.0014764+0.0017436i,0.0010904-0.0015674i,0.0021689-0.00144i,0.00058205+0.0017073i,0.001712-0.00089744i,0.0011652-0.0017209i,-0.0075052+0.0024475i,-0.00024547+0.00019353i,0.0010007+0.0018118i,0.00028184+0.002182i,0.00048611+0.00093956i,3.4272e-05+0.0015559i,-3.2067e-05+1.4835e-05i,-0.00035423+0.0028162i,-0.0016035-0.00039693i,-0.0025727-0.00010871i,-0.0020114+0.0011065i,-0.00057234+0.0027424i,0.00040044-0.0058879i,0.00034741+0.0023023i,-0.00070563-0.00084347i,0.0020287+0.00072012i,0.004108+0.0010029i,0.0013184-7.3382e-05i,0.00018315+0.00088083i,-0.0028199-0.00037333i,0.0033867-0.0018351i,0.014238-0.0044989i,-0.015438-0.052425i,-0.001294+0.014025i,-0.014185-0.033592i,-0.041374-0.0070784i,0.0012537+0.005134i,0.0044736+0.035144i,0.0033029+0.0046484i,-0.0047876-0.005406i,-0.0062952-0.012167i,-0.034912+0.018702i,-0.0064943+0.0057149i,0.00073958+0.029691i,0.0072187+0.0029423i,-0.0034635+0.0020219i,-0.019725+0.0059366i,-0.0010254+0.0083378i,-0.003922+0.0089031i,0.0089299-0.0034557i,0.0079873+0.0085808i,0.00010297+0.0070057i,0.0041379+0.0045574i,0.0053829-0.0028264i,0.0070487+0.0034112i,0.0052723-0.00020043i,-0.0051316+0.00099572i,0.0019133-0.0054887i,0.0088067-0.0025583i,0.0059298+0.007791i,0.00352+0.00022306i,-0.010312-0.021799i,0.0089126-0.0072482i,0.0022929-0.0081995i,0.001304-0.0030298i,-0.00036056-0.0046583i,0.0054-0.017518i,0.0024581-0.0009422i,-0.0045886-0.00042206i,0.0023692+0.0015654i,0.0068037-0.0075205i,0.0085766-0.007119i,0.0018629-0.0036177i,0.011831-0.007494i,0.0041258+0.0018702i,0.0096196-0.001673i,-0.01932+0.0035175i,-0.02652-0.01776i,-0.010045-0.01874i,-0.0062335-0.0055675i,-0.014778+0.026888i,-0.0091517-0.00011441i,-0.011335+0.00032575i
0.014445+0.0039421i,0.0024667+0.008976i,0.0067423+0.0080295i,0.013481+0.015612i,0.016087+0.018195i,0.021455+0.009561i,0.0092508+0.024804i,0.010318+0.015848i,0.0069668-0.0036028i,-0.0029397-0.0028419i,0.0027176-0.0025655i,-0.0018674-0.0024487i,-0.0024788-0.0020364i,-0.0019063-0.0017658i,-0.0020174-0.00036448i,-0.00089136+0.00077664i,-0.0024728+0.0051117i,0.001661+0.00094042i,0.00080533-0.0015207i,0.0010335-0.0023393i,0.00096079+0.0010373i,0.0014446-0.0015791i,0.00030823-0.0020375i,-0.005585+0.0040394i,-0.00026754-0.00013578i,0.0013151+0.0002126i,0.0013104+0.0012185i,0.0008321+0.00038247i,0.0009225+0.0011969i,0.00038123+6.7358e-05i,0.0005121+0.0026426i,-0.0015698+0.00015496i,-0.0023752+0.0013482i,-0.0014082+0.0019675i,0.00030225+0.0026723i,-0.0015973-0.0076003i,0.0011262+0.0016724i,-0.00082365+1.3079e-05i,0.0016942-5.7811e-05i,0.0037118+0.00018934i,0.0011435-0.0007593i,0.00035387+0.00036144i,-0.0026537+0.00041747i,0.00095741-0.0013144i,0.012615-0.0067794i,-0.019492-0.038152i,0.0033321+0.008512i,-0.022764-0.027756i,-0.042042+0.0046773i,0.0036595+0.00029245i,0.012731+0.027625i,0.0053766-0.0027619i,-0.0043694-0.0073212i,-0.0048797-0.01215i,-0.027697+0.026216i,-0.0048115+0.0066597i,0.012597+0.024467i,0.0065778+0.0002588i,-0.0046107+0.0056892i,-0.017233+0.014322i,0.0018013+0.0097711i,0.00018251+0.0096856i,0.0036585-0.0042658i,0.010917+0.0056113i,0.002981+0.0077041i,0.0052271+0.0047617i,0.0039915-0.0054104i,0.0041943+0.0032605i,0.0024833+0.00089768i,-0.0042845+0.0027733i,0.00066007-0.004327i,0.00745-0.005305i,0.0097327+0.0024319i,0.0034948-0.0017355i,-0.013412-0.019067i,0.0051452-0.0093319i,-0.00096002-0.0082148i,0.002616-0.0028025i,-0.0017744-0.0034752i,-5.7872e-05-0.015999i,0.0032492-0.0031491i,-0.0026576+0.0022058i,0.0048839+0.00019586i,0.0051693-0.0080249i,0.0041731-0.011234i,0.0015725-0.003713i,0.0052951-0.0109i,0.002858+0.00052646i,0.0057853-0.0059482i,-0.012657+0.0053498i,-0.036847-0.0075413i,-0.016242-0.018465i,-0.007779-0.0071076i,-0.0087388+0.026437i,-0.012743+0.0036334i,-0.010941+0.0042386i
0.014371+0.00021613i,0.0024866+0.0081468i,0.0053841+0.0065531i,0.015571+0.012472i,0.017723+0.013772i,0.022528+0.0056122i,0.013994+0.020991i,0.012346+0.012346i,0.0065135-0.0043845i,-0.0034231-0.0023655i,0.0010414-0.0029454i,-0.0020968-0.00098425i,-0.0033697-0.0011807i,-0.0019221-0.0013569i,-0.0021401+0.00036431i,0.00040659+0.0017596i,0.00030743+0.0054505i,0.001669+0.00041759i,0.00035021-0.0017623i,-0.00019712-0.0025197i,0.0013833+0.00070477i,0.00093204-0.0021427i,-0.00036015-0.0018173i,-0.0042864+0.0040064i,-0.00045536-8.4094e-06i,0.00061944-0.00071709i,0.0014414-0.00010144i,0.00097229-0.00032501i,0.0014288+0.00035367i,0.00054028-0.00045704i,0.0013766+0.0023362i,-0.0013084+0.00057202i,-0.0013597+0.0023326i,-0.00040077+0.0023262i,0.0010066+0.002453i,-0.0045045-0.0081885i,0.0013964+0.00069738i,-0.00040082+0.00031694i,0.0014486-0.00059957i,0.0033386-0.00016854i,0.00064074-0.00084631i,0.00026494+0.00026925i,-0.0022585+0.00078397i,0.00020282+0.00020203i,0.011012-0.0082177i,-0.017503-0.031315i,0.0050076+0.0043125i,-0.027573-0.01774i,-0.035894+0.017871i,0.00083603-0.0043452i,0.01665+0.019639i,0.0052194-0.0088243i,-0.0045469-0.0081662i,-0.006133-0.012327i,-0.019319+0.030592i,-0.0039958+0.0077656i,0.018262+0.01155i,0.0058092-0.0021452i,-0.0028873+0.0090645i,-0.010207+0.020757i,0.004811+0.0085738i,0.0051145+0.0070138i,0.0011427-0.0020746i,0.01293+0.00093858i,0.0056695+0.0072919i,0.0065146+0.0036918i,-0.00082036-0.007748i,0.0041249+0.0050635i,0.0030549+0.0028064i,-0.001779+0.0062509i,0.00078617-0.0037561i,0.005477-0.0064355i,0.010212-0.0029596i,0.0027154-0.0035853i,-0.019221-0.016773i,0.0011655-0.0097616i,-0.0042436-0.0068691i,0.0014122-0.004056i,-0.0019575-0.0015818i,-0.0029851-0.012821i,0.0016228-0.0049116i,-0.00017982+0.0023563i,0.004798-0.0036658i,0.0023092-0.0092118i,-0.002795-0.011377i,0.00065141-0.0050959i,2.2357e-05-0.009657i,0.0027377-0.00081105i,0.00053988-0.0057962i,-0.0090132+0.0051115i,-0.033642+0.009425i,-0.022333-0.015487i,-0.010123-0.0071567i,-0.0043364+0.0259i,-0.011457+0.0092518i,-0.0064957+0.0053058i
0.013513-0.0031234i,0.0032115+0.0082883i,0.0046745+0.0060771i,0.01684+0.0088604i,0.018391+0.010099i,0.023102+0.0011506i,0.017506+0.016077i,0.013475+0.0089881i,0.006069-0.0051991i,-0.0041454-0.0013407i,-0.00034983-0.002256i,-0.001233+0.00036297i,-0.0038392+4.1435e-05i,-0.0023637-0.0012727i,-0.002058+0.0011013i,0.0015528+0.0019557i,0.0025744+0.0045561i,0.0015589+9.0607e-05i,-2.0774e-05-0.0017818i,-0.0011987-0.0019793i,0.0017188+8.0397e-05i,0.00015322-0.0024439i,-0.00082191-0.0014271i,-0.0037377+0.0048769i,-0.00043719-6.4052e-05i,-0.00020911-0.00087446i,0.0010106-0.00097699i,0.00058317-0.0011432i,0.0013785-0.0006924i,0.00015501-0.0010078i,0.0021407+0.001663i,-0.00069064+0.0012543i,0.00029986+0.0023317i,0.00066539+0.0021608i,0.0017444+0.0017178i,-0.0078344-0.0074403i,0.0014309+1.5541e-05i,-0.00023761+8.2912e-05i,0.0010039-0.0012082i,0.0031765-0.0005383i,0.0004048-0.00085699i,0.00060404+0.00011297i,-0.0021005+0.00090182i,0.0005743+0.0008517i,0.010003-0.010009i,-0.01782-0.030156i,0.00631+0.0013464i,-0.025849-0.0086738i,-0.024826+0.026641i,-0.0016924-0.0046447i,0.019118+0.01321i,0.0024162-0.013961i,-0.0047505-0.0091826i,-0.0066545-0.010436i,-0.011355+0.033051i,-0.0011295+0.0077925i,0.012851+0.00023982i,0.003389-0.0047339i,0.00024396+0.010356i,-0.002387+0.021997i,0.0061408+0.00634i,0.0064716+0.0025347i,0.0016887-0.00050601i,0.012344-0.0031828i,0.0098369+0.0051801i,0.0074179+0.0032029i,-0.0049384-0.0034717i,0.0063581+0.0053871i,0.0044031+0.0032792i,0.0022555+0.0061944i,-0.00013817-0.0041101i,0.0037024-0.0076268i,0.0083245-0.0094573i,-0.00036296-0.0040837i,-0.025356-0.0099503i,-0.0018993-0.00902i,-0.0062841-0.0037003i,0.00093697-0.0024199i,-0.0017892-0.0011415i,-0.0045886-0.012385i,-0.00072233-0.0058311i,0.00097475+0.0008506i,0.0021605-0.0050241i,-6.6602e-05-0.0086118i,-0.0067441-0.0072752i,-0.0019482-0.0055273i,-0.003587-0.0077189i,0.0012148-0.0018684i,-0.0014638-0.0033905i,-0.0055144+0.0050793i,-0.025603+0.011342i,-0.023285-0.010956i,-0.012074-0.0062645i,0.00087663+0.023346i,-0.0091738+0.011335i,-0.0046335+0.0038471i
0.011986-0.0059154i,0.004992+0.0084982i,0.0046276+0.0062793i,0.017326+0.0054426i,0.01853+0.0068555i,0.022452-0.0032986i,0.019753+0.010694i,0.013987+0.0059382i,0.0055307-0.0063693i,-0.0044693-5.8892e-05i,-0.00058926-0.0010839i,-0.00013745+0.00024489i,-0.0038908+0.0015023i,-0.003224-0.00041408i,-0.0016122+0.0018651i,0.0025772+0.0012754i,0.0040575+0.0030448i,0.0016475-0.00019376i,-0.00036794-0.0017286i,-0.0015486-0.00094492i,0.0017271-0.00058225i,-0.00060243-0.0021063i,-0.0010043-0.00099895i,-0.0017592+0.0056443i,-0.00069493-4.1654e-05i,-0.00065762-0.00070677i,9.8233e-05-0.0016403i,-0.00028959-0.0015948i,0.00072354-0.0015578i,-0.00046502-0.0011745i,0.0024298+0.00075518i,0.00023073+0.00085456i,0.00094724+0.0014519i,0.0013113+0.0015787i,0.0019349+0.00092277i,-0.010721-0.0048032i,0.0010478-0.00075891i,-0.000411+0.00011548i,0.00011201-0.001785i,0.003182-0.00085617i,0.00020652-0.00089397i,0.00072626-0.00018391i,-0.0021374+0.0011025i,0.00095365+0.0010589i,0.0082473-0.012266i,-0.021944-0.028897i,0.005808-0.0026162i,-0.02385-0.0022415i,-0.01271+0.028895i,-0.0042462-0.004423i,0.020858+0.0063663i,-0.00066063-0.015945i,-0.0056448-0.0096755i,-0.0056147-0.0082175i,-0.002385+0.033597i,0.001245+0.0066298i,0.0071155-0.00091703i,0.00035035-0.0055641i,0.0045726+0.010938i,0.0046746+0.019804i,0.0064293+0.0037087i,0.0051393-0.001506i,0.001352+0.0001291i,0.009848-0.0078612i,0.01224+0.00078384i,0.0088992+0.0016435i,-0.0049172-9.137e-05i,0.0086862+0.0045495i,0.0064193+0.0030535i,0.006027+0.0041045i,-0.0010602-0.0036199i,0.0020986-0.0090019i,0.0027452-0.012803i,-0.001587-0.0019407i,-0.028153-0.00019423i,-0.0040338-0.0078893i,-0.0061865-0.00017934i,0.0017182-0.0017709i,-0.0021862-0.00062786i,-0.0078739-0.011935i,-0.0034945-0.0050761i,0.0015416+9.6608e-05i,1.698e-05-0.005289i,-0.0011163-0.0078615i,-0.0084467-0.0038487i,-0.0045726-0.0036533i,-0.0062386-0.0053077i,0.00043984-0.0022203i,-0.0016726-0.0017485i,-0.0022595+0.0039922i,-0.023928+0.012399i,-0.022953-0.0081955i,-0.014062-0.0045501i,0.0025949+0.02183i,-0.0078379+0.012179i,-0.0033766+0.0027811i
0.010125-0.0080632i,0.007668+0.0074689i,0.0058739+0.0062509i,0.017231+0.0020904i,0.018814+0.0041126i,0.020923-0.0072739i,0.020388+0.0045799i,0.014032+0.0030367i,0.0044601-0.0075426i,-0.0043819+0.0011363i,-0.00039068-0.00070867i,-0.00016846-0.00053993i,-0.0032467+0.0029632i,-0.0031124+0.00089271i,-0.00084848+0.0023336i,0.0026487+0.00013961i,0.0045118+0.0011414i,0.0014123-0.00072158i,-0.00087921-0.0014249i,-0.0012239-0.000271i,0.0016715-0.0013146i,-0.00090843-0.0017043i,-0.00096216-0.00064609i,0.00037834+0.0052151i,-0.00088553+0.00016786i,-0.0012344-0.00043211i,-0.0013362-0.0017519i,-0.0012124-0.0014577i,-0.00033558-0.0020355i,-0.001074-0.0010354i,0.0023748-0.00010745i,0.00016245+0.00058729i,0.00097977+0.00090121i,0.0016421+0.00089179i,0.001911+0.00026138i,-0.012033-0.0010591i,0.00016354-0.0011805i,-0.00035885+0.00020694i,-0.00098628-0.0018088i,0.0031271-0.0014315i,-1.5005e-05-0.00077258i,0.00079839-0.00038923i,-0.002073+0.0015127i,0.0013172+0.0011883i,0.0054431-0.013496i,-0.027421-0.022859i,0.0042793-0.0054579i,-0.017921+0.0035193i,-0.0017116+0.028873i,-0.0057803-0.0012419i,0.020971-0.0013025i,-0.0011956-0.018595i,-0.0056268-0.0088111i,-0.0028746-0.0060308i,0.0061993+0.031235i,0.0021399+0.0044229i,0.0040538-0.0018821i,-0.003337-0.005209i,0.0097725+0.0081501i,0.0088033+0.015821i,0.0048507+0.0018947i,0.0029822-0.0043947i,0.0029058+0.0025717i,0.0048441-0.010512i,0.012025-0.0055394i,0.009521-0.0011372i,-0.0045777+0.0027803i,0.01151+0.0024104i,0.0090357+0.00043858i,0.0073281-0.00021592i,-0.0016139-0.0030427i,-0.00087205-0.0094473i,-0.0047762-0.01223i,-0.0006918-0.00014838i,-0.026937+0.010202i,-0.0059696-0.0067732i,-0.0044248+0.0025532i,0.0022253-0.0045703i,-0.0020068+0.00089929i,-0.012107-0.0094002i,-0.0056994-0.0024819i,0.0012391-0.0011297i,-0.0020851-0.0044289i,-0.0031956-0.0076038i,-0.0083936+0.0010041i,-0.0050321-0.00072219i,-0.0078803-0.0018393i,-0.0010317-0.003056i,-0.0012588-0.0013784i,-8.4081e-05+0.0030589i,-0.022858+0.019094i,-0.023309-0.0083827i,-0.013218-0.0020492i,0.0062688+0.020707i,-0.0068635+0.014364i,-0.0020077+0.00020717i
0.0082274-0.0095374i,0.0098835+0.0052348i,0.0072976+0.0049144i,0.01639-0.0010176i,0.018867+0.0012759i,0.018919-0.010544i,0.01906-0.0009188i,0.013632+0.00040238i,0.0032805-0.0084268i,-0.0041331+0.002394i,-0.00048605-0.00058447i,-0.00093663-0.00055937i,-0.0021375+0.0038699i,-0.0024965+0.0019642i,-0.0001458+0.0024645i,0.0018429-0.00060907i,0.0041386-0.00043022i,0.0011961-0.00092202i,-0.00088477-0.0009976i,-0.00075557+1.1339e-05i,0.0014151-0.0019863i,-0.0010332-0.0014506i,-0.00076268-0.00049202i,0.0018673+0.0045615i,-0.00097328+0.0003435i,-0.0016211+0.00027633i,-0.0025764-0.0010299i,-0.0018842-0.00083799i,-0.0015816-0.0019136i,-0.0017039-0.00060186i,0.0020628-0.00078825i,0.00017607+0.0006894i,0.0011287+0.00048529i,0.0017769+0.0001776i,0.0016303-0.00029509i,-0.011786+0.0027285i,-0.00069685-0.0010662i,-0.00044219+1.8946e-05i,-0.001961-0.0011544i,0.0027983-0.0022247i,-1.438e-05-0.0005944i,0.00082499-0.0007353i,-0.0019071+0.0020098i,0.0017055+0.0009963i,0.0030485-0.013687i,-0.027678-0.013921i,0.0010588-0.0070296i,-0.011436+0.0042206i,0.0087977+0.025949i,-0.0045064+0.002876i,0.017947-0.0080296i,-0.0043614-0.023353i,-0.0039749-0.0090818i,0.0017283-0.0050479i,0.014009+0.025745i,0.0018511+0.0030924i,0.00056439-0.0016017i,-0.0055357-0.0026552i,0.011966+0.0022796i,0.011718+0.012324i,0.0025402+0.0022913i,-0.00048213-0.0067324i,0.0063081+0.0010756i,-0.00029066-0.0098634i,0.0079837-0.0097063i,0.0088609-0.004264i,-0.0039853+0.0047735i,0.012894-0.0028782i,0.0087424-0.0049088i,0.006069-0.0043885i,-0.0021904-0.0026311i,-0.0039853-0.0085209i,-0.009284-0.0069366i,0.00065005-0.00063753i,-0.020955+0.020985i,-0.0078488-0.0048039i,-0.0018411+0.0036654i,-0.0011145-0.0054946i,-0.00077017+0.0013147i,-0.015159-0.0044224i,-0.0049812+0.00088476i,8.342e-05-0.0020668i,-0.0038984-0.0030201i,-0.0051998-0.0057782i,-0.0056967+0.0039838i,-0.0036212+0.0013437i,-0.0079459+0.0027213i,-0.0036404-0.0028627i,-0.0017098-0.0013535i,0.0036956+0.0023702i,-0.011902+0.02503i,-0.027078-0.006885i,-0.01162-0.0018223i,0.008554+0.018237i,-0.0038104+0.016599i,-0.0027372-0.0033499i
