-0.02534-0.0039913i,-0.021647-0.0065464i,-0.012066-0.012696i,-0.035028-0.0069501i,-0.02709+0.0017705i,-0.035846-0.0028897i,-0.066519-0.040107i,-0.032377-0.014982i,-0.022431+0.0030042i,0.0059427+0.0066774i,-0.0046008+0.0075634i,-0.008002+0.017982i,0.0059707+0.0079944i,-0.0011437+0.0033394i,0.0043094+0.0038368i,0.0043267+0.026155i,0.021712+0.020603i,0.0012975-9.8846e-05i,0.0015236-0.0046183i,0.0087237-6.0971e-05i,0.005286-0.00035273i,0.00236+0.0015661i,0.0014902-0.00062793i,-0.024813-0.0019815i,-0.0044207-0.0038054i,-0.00017151+0.0030862i,0.0049854-0.0039717i,-0.0017442-0.00033485i,-0.0002428+0.0011341i,-0.0018889-0.0013824i,-0.0033853-0.0002793i,-0.0069579-0.0085827i,-0.0051304-0.006783i,-0.00055224+0.00044702i,-0.0001592-0.0021554i,0.00010887+0.022112i,0.0026348-0.0037882i,0.00059027-0.0040607i,0.0030448-0.0016885i,-0.0031349-0.0025237i,0.00073974+0.00018528i,0.0079477-0.001504i,0.0026227-0.0017772i,-0.00041244+0.0029866i,-0.014573+0.015876i,-0.026728+0.053797i,-0.0051943-0.037195i,-0.014245-0.018288i,-0.039359-0.016941i,-0.027141-0.012944i,0.037603-0.0111i,0.0067895-0.030206i,0.013056-0.037842i,-0.0082874-0.029961i,0.025797-0.022522i,0.013201+0.0075086i,0.028234-0.03505i,-0.0014399-0.004545i,0.0064531-0.0087909i,-0.00096116-0.0059855i,0.00023715-0.035436i,-0.014355+0.02956i,0.0088993-0.011119i,-0.008167-0.0046062i,-0.0022477-0.0019575i,0.00048153-0.015624i,-0.0078273+0.0058636i,0.0040568+0.0068104i,-0.0023199+0.029522i,0.002754+0.00086956i,-0.0070493-0.0043646i,-0.0037534-0.0061503i,-0.014929-0.0094368i,-0.0020048-0.0058583i,-0.034791+0.0057441i,-0.0045868-0.0084708i,-0.012826-0.00084089i,-0.010511-0.0055634i,0.0016955-0.0013455i,-0.013655+0.0022405i,-0.0017575+2.6403e-07i,0.0052936+0.0063581i,0.0038257-0.0048379i,-0.013963-0.014395i,0.0067602+0.0089459i,-0.016496+0.0054183i,0.0048479+0.00016888i,-0.019809-0.0033222i,-0.016394-0.004255i,-0.015054-0.035878i,0.020844-0.0094934i,-0.038544-0.024571i,-0.010522+0.0043251i,0.017997+0.015928i,-0.023159+0.016913i,-0.0039436-0.0041204i
0.003883+0.013003i,-0.0035018+0.015677i,-0.0022828+0.026242i,0.0018646+0.025007i,0.00063462+0.029167i,0.01097+0.022925i,-0.0096082+0.025818i,-0.0053498+0.02151i,0.011326+0.0046263i,0.0010671-0.0055509i,0.0015098+0.00016656i,0.0054939-0.0024819i,0.000558-0.001379i,0.00023574-0.003226i,1.3854e-05-0.0016641i,0.0061857-0.006553i,-0.0036626-0.0045135i,-0.0020536+0.0024646i,-6.8749e-05+0.00015945i,-0.00034033+0.0022794i,-0.0029516+0.00029338i,-0.00010183+0.00028365i,0.0011497+0.00044421i,-0.0082216-0.0044775i,-0.00092611-0.00072458i,-0.002473+0.00074388i,-0.0044765+0.00030579i,-0.0019847+0.00036014i,-0.0020973+0.00035344i,-0.00048823-0.00029358i,-0.003499+0.0005352i,0.0010742-0.0020657i,0.00060417-0.0027272i,-0.00054661-0.0011268i,-0.0017823+0.00054809i,-0.0013413-0.0043432i,-0.0025178+0.0013772i,0.0015855-0.0003358i,-0.00082736+0.0024215i,0.0018605+0.0059786i,-0.00013639+0.00042908i,-0.0020603+0.00010108i,-0.0015282-0.0021579i,0.0028037+0.0034095i,0.014511+0.0062355i,0.044781-0.053949i,-0.026923+0.0063065i,0.019061-0.026244i,-0.022072-0.034685i,-0.012476+0.0024584i,-0.03405+0.034168i,-0.020124+0.0043867i,-0.016525+0.007788i,-0.0020017-0.018072i,-0.041301-0.021534i,-0.0084671+0.0022118i,-0.029085+0.011538i,0.0024533+0.015062i,0.00061293+0.0053445i,-0.0044675-0.0049443i,0.00014863+0.0022908i,-0.013588-0.0054847i,0.0049471+0.013302i,-0.0012842+0.0077187i,-0.0021978+0.0043033i,0.00055803+0.0063427i,0.0021362+0.0026576i,-0.0020582+0.018949i,0.0034103+0.015003i,0.0049878-0.0051651i,0.011275-0.0048312i,0.008295+0.0031804i,-0.004569-0.0064549i,-0.00054289-0.0019325i,0.019188-0.03223i,0.0090186+0.0042748i,0.0075036-0.0016618i,0.0020807-0.00056212i,0.0057823-0.0088872i,0.021797+0.00037532i,0.0051948-0.0036206i,0.0011464-0.0073039i,0.0046976-0.0038274i,0.016837+0.0033947i,0.0064949+0.002971i,0.0034862-0.0039137i,0.0083785+0.00972i,-0.0021588+0.0048648i,0.0082355+0.0098167i,-0.013581-0.015554i,-0.0096255+0.0022094i,-0.0092691-0.013919i,-0.0083149-0.0049049i,-0.039453+0.0061032i,-0.0060475+0.0037414i,-0.011995+0.00022019i
0.0060885+0.012014i,-0.0014301+0.01359i,0.0042657+0.021952i,0.0058725+0.022692i,0.0048+0.027159i,0.014357+0.02055i,-0.0064222+0.026626i,-0.0012845+0.021483i,0.010982+0.00083345i,-0.00070632-0.0051703i,0.0019074+0.00076054i,0.0044095-0.0046838i,0.00017647-0.0020341i,0.00047191-0.0028465i,-0.00054175-0.0014507i,0.0025714-0.0063897i,-0.0058127-0.0023002i,-0.00095891+0.0029126i,0.00077687+0.00031347i,0.0011438+0.0020224i,-0.0021331+0.0019224i,0.00044761+0.00073508i,0.001456-5.5826e-05i,-0.0078974-0.0017613i,-0.00091785-0.00020611i,-0.0021061+0.0017212i,-0.0035303+0.0023368i,-0.0014191+0.00096352i,-0.0017234+0.00093064i,-0.00029428+9.7339e-05i,-0.0029105+0.0020287i,-0.00036937-0.0015783i,-0.0011348-0.0026376i,-0.001628-0.00091341i,-0.0023876+0.0010758i,-0.00036801-0.0032411i,-0.0015484+0.0020272i,0.00066007-0.0010059i,-0.00023077+0.0027382i,0.0034433+0.0041288i,0.00013832+0.00054878i,-0.0021308+0.00072733i,-0.002331-0.0017246i,0.003619+0.0025125i,0.015155+0.0018113i,0.024552-0.064131i,-0.020639+0.014291i,0.0090499-0.03455i,-0.03398-0.027062i,-0.010016+0.0057721i,-0.022267+0.040093i,-0.016588+0.010196i,-0.0055286+0.0031543i,-0.0042171-0.016674i,-0.045818-0.0055699i,-0.0080871+0.0028015i,-0.024605+0.023061i,0.0062123+0.010746i,0.0014278+0.0039157i,-0.0091801-0.0063781i,-0.0023595+0.0048424i,-0.013794+0.0030888i,0.01024+0.009485i,0.00069931+0.009623i,-0.00051191+0.0044081i,0.0029556+0.0069629i,0.0036078+0.002819i,0.0061233+0.015277i,0.0085091+0.0085702i,-0.0015177-0.007831i,0.0056442-0.0062583i,0.0076472+0.0016347i,-0.0071264+0.0001731i,-0.001228+0.00053936i,0.0049089-0.032659i,0.010667+0.0017044i,0.0078298-0.0043739i,0.0037211-0.0020637i,0.00076479-0.0061176i,0.020496-0.0092446i,0.0024737-0.0049852i,-0.002257-0.0060826i,0.00050946-0.0036321i,0.014699-0.0027427i,0.0072947+0.0017511i,0.0026575-0.0025039i,0.011442+0.0062516i,-0.00054635+0.0055407i,0.01007+0.0053173i,-0.019328-0.013534i,-0.0046736-0.011907i,-0.0078809-0.011218i,-0.0081312-0.00337i,-0.033796+0.019922i,-0.0042638+0.0049177i,-0.010624+0.002004i
0.0088317+0.010539i,-6.0252e-05+0.012424i,0.0074208+0.01643i,0.0089169+0.020081i,0.0095802+0.025291i,0.017567+0.017469i,-0.0021915+0.027372i,0.0029144+0.020536i,0.0092865-0.0018065i,-0.0022261-0.0041447i,0.0030531+0.00066923i,0.0010697-0.0053685i,-0.00044121-0.0021785i,-6.3398e-05-0.0029784i,-0.00090934-0.0011539i,-0.000715-0.0045776i,-0.006349+0.00071962i,0.00029056+0.0030144i,0.0012452-0.00061464i,0.0024255+0.00080442i,-0.00067913+0.0025065i,0.0014483+0.00041515i,0.0014577-0.00066964i,-0.0078937-0.00027635i,-0.00072405+0.00035822i,-0.00092702+0.002782i,-0.0016963+0.0029861i,-0.00060221+0.0013842i,-0.0011095+0.0014141i,-0.0002215+1.4731e-05i,-0.0017821+0.002946i,-0.0011217-0.000837i,-0.0022275-0.001347i,-0.0022451-1.8573e-05i,-0.0019044+0.0023265i,0.00066864-0.0036524i,-0.00079587+0.0020032i,-0.00020737-0.0011492i,0.0014394+0.0024216i,0.0038963+0.0025236i,0.00045164+0.0005547i,-0.0010728+0.0016895i,-0.002967-0.0010798i,0.0038948+0.00062776i,0.01437-0.0018722i,0.0024724-0.064254i,-0.010061+0.017535i,-0.0029413-0.036974i,-0.03761-0.017721i,-0.0044326+0.0073244i,-0.0076856+0.040853i,-0.005409+0.011718i,-0.0044205-0.0042924i,-0.0056084-0.015704i,-0.042551+0.0090353i,-0.007141+0.0044065i,-0.012264+0.030846i,0.0072937+0.00649i,-0.00015073+0.0014928i,-0.016862-0.0030733i,-0.0015506+0.0061985i,-0.0092318+0.0082494i,0.012256+0.0028927i,0.0039727+0.0098284i,-0.001236+0.0046997i,0.0044361+0.0051185i,0.0049406+0.00065517i,0.0083699+0.0086959i,0.0079283+0.0028648i,-0.0071595-0.0027096i,0.0036267-0.0055357i,0.0089287+0.00037032i,-0.0029815+0.0075665i,0.0016993+0.0021917i,-0.0053723-0.02817i,0.011793-0.0032179i,0.0052147-0.0068234i,0.0021317-0.0038572i,0.00048738-0.004394i,0.013233-0.016177i,-0.00054273-0.0018775i,-0.004561-0.0034371i,-0.0011027-0.00028035i,0.010435-0.0066172i,0.010112-0.002092i,0.0033718-0.0034882i,0.014432+0.00060495i,0.0030924+0.0049879i,0.0095147+0.0014435i,-0.023108-0.0057184i,-0.015198-0.020253i,-0.005889-0.013168i,-0.0064482-0.0035693i,-0.023514+0.026368i,-0.0042639-6.7594e-05i,-0.0087486-0.0013823i
0.011468+0.0076524i,0.0022059+0.011778i,0.0082188+0.011302i,0.011571+0.017686i,0.013835+0.021529i,0.020241+0.013493i,0.0030389+0.027198i,0.0068569+0.018379i,0.0076198-0.0028092i,-0.003233-0.0028129i,0.0037251-0.00088188i,-0.0012068-0.003638i,-0.0012129-0.0022105i,-0.0010653-0.0024354i,-0.0014155-0.00089335i,-0.001832-0.0015116i,-0.0048863+0.003618i,0.0014072+0.0024114i,0.00096868-0.00091i,0.0023864-0.00091921i,0.00057141+0.0022952i,0.0019704-0.00044521i,0.0011991-0.0013527i,-0.0080239+0.0018535i,-0.0003377+0.00031617i,0.00095602+0.0020944i,-0.00011356+0.0027133i,0.00025838+0.0011344i,-0.00024999+0.0017943i,-0.00017929+0.00028677i,-0.00051338+0.0032104i,-0.0016047-9.5174e-05i,-0.0028091-1.4168e-05i,-0.0021508+0.0012089i,-0.00075578+0.0028393i,0.00050277-0.0056109i,0.00021678+0.0022079i,-0.0008829-0.00066529i,0.0020446+0.0010169i,0.0040489+0.0012443i,0.00090076+0.00020229i,-4.1252e-05+0.0015375i,-0.003202-0.00014926i,0.0021774-0.0017253i,0.013099-0.0048352i,-0.015416-0.053237i,-0.0011324+0.014268i,-0.013862-0.034262i,-0.0415-0.0088279i,0.00084203+0.0050227i,0.0042764+0.035767i,0.002701+0.0043651i,-0.0049688-0.0058699i,-0.0061488-0.013081i,-0.036003+0.018911i,-0.0059029+0.0057452i,0.00020855+0.030238i,0.007813+0.0032683i,-0.0032077+0.0024683i,-0.020315+0.0067616i,-0.0012981+0.0084676i,-0.004496+0.0088411i,0.0094126-0.0035224i,0.0077078+0.0087734i,0.00014421+0.0070759i,0.0040763+0.0047268i,0.0050715-0.0025022i,0.0067538+0.0034628i,0.0046128+0.00026267i,-0.0056043+0.001784i,0.0018379-0.0052752i,0.0088511-0.0023829i,0.0054874+0.008103i,0.0030915+0.00046395i,-0.010897-0.021949i,0.0090847-0.0070957i,0.0025329-0.007837i,0.0010009-0.0028284i,-0.00036539-0.0045253i,0.005218-0.017342i,0.0021356-0.00054312i,-0.0049244-0.0002919i,0.0018262+0.0018316i,0.0066402-0.007017i,0.0081302-0.0072445i,0.0014183-0.0041334i,0.011318-0.0074754i,0.0044064+0.0013771i,0.0090879-0.0024402i,-0.019182+0.0027935i,-0.026671-0.018297i,-0.01005-0.018249i,-0.0065155-0.0057255i,-0.015107+0.027054i,-0.0092342-0.00028394i,-0.012037-0.00035302i
0.012678+0.0041622i,0.0033691+0.0096756i,0.0069761+0.0075413i,0.01402+0.014828i,0.016691+0.017185i,0.02168+0.0091051i,0.0085136+0.02517i,0.0098736+0.015362i,0.0067317-0.0032986i,-0.0030875-0.0015326i,0.0028086-0.0021493i,-0.0017113-0.0019617i,-0.0019901-0.0019791i,-0.0011658-0.0017062i,-0.0016789-0.00031631i,-0.0011993+0.00075836i,-0.0024558+0.0053286i,0.0019367+0.0015941i,0.0010189-0.00096014i,0.0014518-0.002033i,0.0012558+0.0016103i,0.001733-0.0013089i,0.00048882-0.0017282i,-0.00619+0.0037162i,-0.00032182+1.0144e-05i,0.0013344+0.00053459i,0.0011985+0.0016271i,0.00072287+0.00064809i,0.00072536+0.0014971i,0.00040498+0.0003812i,0.00054932+0.0030767i,-0.0015897+0.00042579i,-0.0026638+0.001507i,-0.0014994+0.0021481i,0.00013258+0.0028902i,-0.0013918-0.0073504i,0.00098135+0.0016799i,-0.00092547+0.00014446i,0.001831+0.00010848i,0.0037025+0.00038342i,0.00087819-0.00042813i,0.00039777+0.0010213i,-0.0029196+0.00071445i,-9.0669e-05-0.00091545i,0.0114-0.0068896i,-0.01976-0.038581i,0.0036321+0.0089539i,-0.022603-0.027895i,-0.043074+0.0032009i,0.0035408+0.00013209i,0.012868+0.027959i,0.00489-0.0030367i,-0.004543-0.0079831i,-0.0048718-0.013416i,-0.029043+0.026961i,-0.0041431+0.0062602i,0.012253+0.025381i,0.0075245+9.5629e-05i,-0.0042481+0.0058497i,-0.017434+0.015269i,0.0015536+0.0098693i,-0.00060328+0.0095325i,0.0037356-0.0043368i,0.010529+0.0061328i,0.0033579+0.0077289i,0.0050735+0.0048872i,0.0039035-0.0049097i,0.0035822+0.0034498i,0.0020649+0.0015572i,-0.0043715+0.0035111i,0.00059838-0.0040151i,0.0075932-0.0049215i,0.0095954+0.0030121i,0.0032232-0.0014603i,-0.013874-0.019143i,0.0053528-0.009277i,-0.00071671-0.0080047i,0.0024247-0.0024876i,-0.0018699-0.0033663i,-0.00029969-0.015537i,0.0031486-0.0026767i,-0.0028547+0.0023909i,0.0044642+0.00061781i,0.0048808-0.0075099i,0.0036434-0.011136i,0.00094623-0.0039095i,0.0047454-0.010595i,0.0030026-0.00022629i,0.0054325-0.0065439i,-0.012465+0.0046003i,-0.036803-0.0084318i,-0.016375-0.01812i,-0.0080677-0.0071313i,-0.0093645+0.026338i,-0.012753+0.0035574i,-0.011476+0.0037627i
0.012819+0.00095612i,0.0037313+0.0086666i,0.0055146+0.0060533i,0.015932+0.011587i,0.018057+0.012725i,0.022537+0.0049573i,0.013555+0.021486i,0.011851+0.012051i,0.0064425-0.0041359i,-0.0030958-0.0012191i,0.0012929-0.0026308i,-0.0017572-0.00065043i,-0.0028943-0.0013949i,-0.0011895-0.0016649i,-0.0018069+0.00023537i,0.00024948+0.0018858i,0.00044043+0.005615i,0.002146+0.00091258i,0.00060642-0.0013309i,0.00027986-0.0023832i,0.0019461+0.0009542i,0.0013259-0.0019795i,-8.4958e-05-0.0016342i,-0.0049338+0.0039546i,-0.00042852+0.00015372i,0.00075401-0.00044139i,0.001511+0.0002936i,0.0010211-2.8808e-06i,0.0013394+0.00070557i,0.0007281-0.00017985i,0.0015989+0.0027081i,-0.001485+0.00081577i,-0.0016388+0.002625i,-0.00044714+0.0025624i,0.00093187+0.0027677i,-0.0041002-0.0080601i,0.0013197+0.00074685i,-0.00053923+0.00041774i,0.001576-0.00051142i,0.0033429-1.0256e-05i,0.00057602-0.00057822i,0.00054909+0.00085719i,-0.0024757+0.0011655i,-0.00065809+0.00087095i,0.0097978-0.0079628i,-0.017801-0.031773i,0.0052748+0.0044461i,-0.027176-0.018114i,-0.037147+0.017821i,0.00077976-0.0047166i,0.01679+0.019699i,0.0048031-0.0091632i,-0.0051152-0.0087068i,-0.0067633-0.013878i,-0.019591+0.031737i,-0.0035824+0.0070721i,0.018664+0.012658i,0.0063044-0.0028337i,-0.0024844+0.0090716i,-0.010319+0.021687i,0.0045063+0.0088041i,0.0041934+0.0072133i,0.0013757-0.0018736i,0.012877+0.0015778i,0.005967+0.0072238i,0.0063857+0.0039161i,-0.00087139-0.0075363i,0.0035455+0.0056239i,0.003007+0.0033129i,-0.0019533+0.0068237i,0.00093742-0.0034426i,0.005926-0.0061256i,0.010356-0.0023755i,0.0025696-0.0031484i,-0.019875-0.016715i,0.0016076-0.0097166i,-0.0040495-0.0066842i,0.001125-0.0037271i,-0.0020002-0.001592i,-0.0026971-0.012449i,0.001801-0.0043389i,-0.00022009+0.0027496i,0.0046552-0.0029511i,0.0023707-0.0084739i,-0.0034739-0.011064i,-2.6892e-05-0.0049706i,-0.00016634-0.0091083i,0.0027709-0.0015079i,8.7439e-05-0.0062647i,-0.0093376+0.0042469i,-0.0347+0.0086801i,-0.022263-0.015645i,-0.010172-0.0070583i,-0.0052763+0.025991i,-0.011609+0.0097052i,-0.006919+0.0051586i
0.012249-0.0019774i,0.0045819+0.0082383i,0.0047189+0.0055556i,0.017106+0.0078891i,0.018487+0.0089899i,0.022803+0.00050105i,0.017354+0.016558i,0.012941+0.0088143i,0.0060631-0.0050581i,-0.003498-0.00047361i,6.3978e-05-0.002067i,-0.00073158+0.00045608i,-0.0035416-0.00038345i,-0.0018248-0.0018483i,-0.0018303+0.00083921i,0.0014059+0.0021014i,0.0027595+0.0046143i,0.0021799+0.00037335i,0.00042225-0.0014712i,-0.00070126-0.0020048i,0.0022969+8.33e-05i,0.00055058-0.0024688i,-0.00050458-0.0013937i,-0.0042602+0.0051726i,-0.00029092+0.00013045i,3.8738e-05-0.00069033i,0.0013852-0.00064897i,0.00076112-0.0008443i,0.0014428-0.00029708i,0.00046861-0.00088607i,0.002511+0.0018757i,-0.00095077+0.0016583i,6.1888e-05+0.0027099i,0.00065643+0.0024347i,0.0018007+0.0020731i,-0.0074745-0.0075625i,0.0013426+3.1616e-05i,-0.00036463+0.00021753i,0.0011304-0.0011501i,0.0031435-0.00044924i,0.00046108-0.00061299i,0.00099633+0.00054223i,-0.0021708+0.0013436i,2.1244e-05+0.0017043i,0.0089841-0.0093977i,-0.018117-0.030633i,0.0061874+0.0012409i,-0.025881-0.009459i,-0.025671+0.027227i,-0.0018595-0.0051761i,0.019212+0.012974i,0.002088-0.014302i,-0.005431-0.0098155i,-0.0076689-0.01178i,-0.011166+0.034036i,-0.0011025+0.0072216i,0.014216+0.00065385i,0.0034608-0.0053166i,0.00063734+0.010255i,-0.0022392+0.022778i,0.0058309+0.006638i,0.0057012+0.0026315i,0.0020987-0.00067126i,0.012565-0.0028164i,0.010076+0.005218i,0.0075249+0.0033635i,-0.0047502-0.0031203i,0.0058812+0.0062079i,0.0046856+0.0038287i,0.0023388+0.0069112i,0.0001401-0.0038757i,0.004321-0.0076519i,0.0085217-0.0087736i,-0.00032966-0.0035916i,-0.025795-0.0097271i,-0.0014058-0.0088496i,-0.0059988-0.003485i,0.0010286-0.0018524i,-0.0017309-0.001104i,-0.0040138-0.011987i,-0.00042012-0.0052817i,0.00085039+0.0011923i,0.0024231-0.004439i,0.00038766-0.0082768i,-0.0073392-0.0066045i,-0.0024918-0.0051572i,-0.0037622-0.007111i,0.00086335-0.0024033i,-0.0021663-0.0033175i,-0.006093+0.0041284i,-0.026647+0.010988i,-0.023437-0.011047i,-0.012115-0.0062773i,-1.2184e-05+0.024i,-0.0091033+0.011918i,-0.0051629+0.0038312i
0.011135-0.0044743i,0.0062146+0.0079524i,0.0045986+0.0057271i,0.017403+0.0043215i,0.018319+0.0058029i,0.021934-0.0038165i,0.019795+0.011023i,0.013426+0.0059405i,0.0055379-0.006299i,-0.0035689+0.00043415i,-0.00020699-0.0012015i,0.00031072+8.4528e-05i,-0.0038038+0.00098302i,-0.0029746-0.0011073i,-0.0014933+0.0015931i,0.0024394+0.0014582i,0.0042334+0.0029918i,0.0023073-0.00014858i,0.00014704-0.001591i,-0.0011007-0.0011879i,0.0022506-0.00086979i,-0.00026608-0.0023207i,-0.00073542-0.0010975i,-0.0021317+0.0060643i,-0.00050249+7.5949e-06i,-0.0003794-0.00063325i,0.00062804-0.001532i,9.7985e-06-0.0013791i,0.00093738-0.0012601i,-0.00011058-0.0011966i,0.0028645+0.0007753i,0.00010593+0.0012866i,0.00086457+0.0019179i,0.0013949+0.0018608i,0.002137+0.0012319i,-0.010553-0.005132i,0.00093987-0.00068105i,-0.0005455+0.00029012i,0.00033271-0.0017938i,0.0031107-0.00075013i,0.00035552-0.00064612i,0.0011481+0.00012324i,-0.0020481+0.0014952i,0.00065994+0.0020131i,0.0075086-0.011455i,-0.022412-0.029156i,0.0057279-0.0024892i,-0.024668-0.0031315i,-0.013102+0.029521i,-0.0047392-0.0050745i,0.020903+0.0057896i,-0.001053-0.016287i,-0.0067318-0.0099994i,-0.007061-0.0090667i,-0.0016988+0.034208i,0.0012282+0.0061818i,0.0079147-0.0014237i,0.00026342-0.0060044i,0.0049554+0.010714i,0.0048735+0.020513i,0.0061474+0.0042773i,0.0046212-0.0013722i,0.0015203-0.00018369i,0.010187-0.0076992i,0.01255+0.00073609i,0.0089347+0.0016487i,-0.0046312-4.4581e-05i,0.0086501+0.0055108i,0.0068051+0.0036234i,0.0064861+0.004554i,-0.00074036-0.0035717i,0.0024794-0.0091196i,0.0030636-0.012325i,-0.0012899-0.0014771i,-0.028343-7.5975e-06i,-0.0033994-0.0077663i,-0.0059711+3.3863e-05i,0.0019561-0.0013191i,-0.0020306-0.0007466i,-0.0069234-0.012004i,-0.0029685-0.0047266i,0.0014948+0.00066746i,0.00041474-0.0048454i,-0.00055529-0.0074005i,-0.0088446-0.0032057i,-0.0049944-0.0031284i,-0.0062963-0.0044933i,-0.00037223-0.0025993i,-0.0020496-0.0015729i,-0.0031085+0.0033592i,-0.024918+0.012522i,-0.02314-0.0086557i,-0.01401-0.0045665i,0.0021023+0.022557i,-0.0075623+0.012565i,-0.0037959+0.0028696i
0.009785-0.006392i,0.0085946+0.0066506i,0.0058057+0.0056997i,0.016977+0.0009656i,0.018384+0.0032468i,0.020248-0.0076193i,0.020473+0.0046882i,0.013591+0.0032136i,0.0044719-0.0074963i,-0.0033229+0.0013514i,-6.2432e-05-0.00099146i,0.00012209-0.00087486i,-0.0034197+0.0024662i,-0.0031496+0.00019119i,-0.00083128+0.002079i,0.0026193+0.00034001i,0.0046221+0.0010397i,0.0020602-0.00088288i,-0.00031686-0.0013881i,-0.00093057-0.00064742i,0.0019668-0.0017925i,-0.00069039-0.0020687i,-0.00075985-0.00082599i,6.4578e-05+0.0057854i,-0.00075486+0.00017479i,-0.00094721-0.00048769i,-0.00067613-0.0019317i,-0.00085319-0.0013659i,-3.8444e-05-0.0018815i,-0.00078759-0.0011302i,0.0027647-0.00028039i,0.00015119+0.00098925i,0.0011082+0.0013634i,0.0018222+0.0011119i,0.0022115+0.00046018i,-0.012067-0.0013295i,-4.113e-06-0.0010125i,-0.00042952+0.00045522i,-0.00073767-0.0018526i,0.0031084-0.0012279i,0.00013252-0.0006011i,0.0012584-0.00026697i,-0.0019376+0.0018358i,0.001392+0.0020597i,0.0048809-0.012545i,-0.02811-0.022936i,0.0042951-0.0054667i,-0.019199+0.0032872i,-0.0020573+0.029485i,-0.0065291-0.0016679i,0.020693-0.0020356i,-0.0014907-0.018764i,-0.0065063-0.0087497i,-0.0045537-0.0061582i,0.0072134+0.031778i,0.0020804+0.0040572i,0.0042488-0.0022035i,-0.0035376-0.0056725i,0.010011+0.0078248i,0.0093055+0.016367i,0.0048258+0.0024716i,0.0025293-0.0045213i,0.0026051+0.0022892i,0.0052664-0.010554i,0.012163-0.0056049i,0.0096074-0.0011716i,-0.0041985+0.0026661i,0.011904+0.003141i,0.0097131+0.00087508i,0.0079064-0.0002775i,-0.0012219-0.0031153i,-0.00054437-0.0094939i,-0.004152-0.012064i,-0.00028314+0.00010486i,-0.027113+0.010396i,-0.0052145-0.0067636i,-0.004182+0.0026843i,0.0026751-0.0045432i,-0.0016301+0.00077406i,-0.011205-0.0097744i,-0.0052648-0.0021583i,0.0014156-0.00053987i,-0.0015326-0.0042777i,-0.0019117-0.0071434i,-0.0085451+0.0018393i,-0.0052748+3.8888e-05i,-0.0074537-0.0012572i,-0.0021913-0.0030299i,-0.0015406-0.0011296i,-0.0011922+0.0024763i,-0.023794+0.019318i,-0.023599-0.0088266i,-0.013394-0.0020243i,0.0063662+0.021734i,-0.0065492+0.01461i,-0.0022868+0.00029514i
0.0084594-0.0078735i,0.01053+0.0043519i,0.0072152+0.0043736i,0.015819-0.0021506i,0.018367+0.00062279i,0.018219-0.010618i,0.019042-0.0009093i,0.01331+0.00067225i,0.0032551-0.0083529i,-0.003118+0.0022446i,-0.00030874-0.00096394i,-0.00078502-0.00094492i,-0.0024888+0.003494i,-0.0028829+0.0013684i,-0.00021216+0.0022259i,0.0019077-0.00037659i,0.0041231-0.00057286i,0.0017071-0.0013246i,-0.00034733-0.0011705i,-0.00062225-0.00039203i,0.0015134-0.0025674i,-0.00095202-0.0018972i,-0.0006349-0.00070677i,0.001747+0.0051835i,-0.00077536+0.00037431i,-0.0014009+8.871e-05i,-0.0020333-0.0013506i,-0.0014569-0.00088169i,-0.0012324-0.0018423i,-0.0014872-0.00075156i,0.0023098-0.0011053i,0.00030051+0.0010429i,0.0014461+0.00090323i,0.0020155+0.00033826i,0.0019752-0.00019303i,-0.01191+0.0025402i,-0.0008116-0.00080964i,-0.00044119+0.00032845i,-0.0017598-0.0012433i,0.0028706-0.002033i,0.00015699-0.00040131i,0.0012946-0.00076209i,-0.0017265+0.0023625i,0.0020892+0.0017976i,0.0027392-0.012577i,-0.028278-0.013868i,0.0012176-0.0072642i,-0.012781+0.0045824i,0.0088955+0.026544i,-0.0054526+0.0026026i,0.017232-0.00871i,-0.004593-0.023724i,-0.0045461-0.0085648i,0.0004255-0.0044374i,0.015247+0.025641i,0.0018197+0.0028531i,0.0012499-0.0018952i,-0.0060925-0.0029803i,0.012133+0.0020103i,0.012345+0.012858i,0.0027222+0.0028155i,-0.0004986-0.0064773i,0.006059+0.0010188i,-9.1616e-05-0.010217i,0.0078943-0.0098268i,0.0090907-0.0044937i,-0.0036393+0.0044659i,0.013419-0.0023873i,0.0094224-0.0044812i,0.0066407-0.0046896i,-0.0016939-0.0028567i,-0.0036327-0.0087395i,-0.0090107-0.007087i,0.001143-0.00036904i,-0.020879+0.021397i,-0.0071387-0.0050505i,-0.0015291+0.0037846i,-0.00085009-0.0057157i,-0.00030225+0.0012245i,-0.014491-0.005308i,-0.0044033+0.0013196i,0.00038888-0.0015907i,-0.0033468-0.0030205i,-0.0036466-0.00605i,-0.0056841+0.0049216i,-0.00377+0.0021944i,-0.0071879+0.0031275i,-0.0049705-0.002274i,-0.0019705-0.0010121i,0.0025674+0.0019296i,-0.013006+0.025547i,-0.027448-0.0070948i,-0.011912-0.0018819i,0.0088177+0.019296i,-0.0038096+0.016843i,-0.0032612-0.0033391i
