-0.029347-0.042677i,-0.022327-0.020808i,-0.013558-0.037129i,-0.02999-0.021153i,-0.022979-0.001054i,-0.01436-0.0059274i,-0.055463-0.059423i,-0.048667-0.017937i,-0.039135-0.015038i,0.011197+0.012793i,-0.0080178+0.005508i,-0.019657+0.019431i,0.0025099+0.012078i,-0.0056435-0.0031131i,0.00043146+0.0011858i,-0.0014447+0.030748i,0.027519+0.027862i,0.0027827-0.0021189i,-0.0021043-0.0069425i,0.0079158+0.0025116i,0.0027137+0.001401i,6.0313e-05+0.0039313i,-0.00040063+0.0001651i,-0.037309-0.011045i,0.000283-0.0079456i,0.0015866+0.0022213i,0.0062358+0.0015698i,0.0021845+0.0006124i,0.0013213-0.00062396i,-0.00029901-0.0027395i,0.0017253-0.0025874i,-0.0028872-0.00611i,-0.0006538-0.0046416i,0.0030448-0.0010369i,0.0048955-0.0030215i,0.0027025+0.031099i,0.0041153-0.0038804i,0.0030422-0.0016472i,0.0087952-0.0013677i,-0.0048528-0.0023162i,-0.00031388+0.00096364i,0.0095748+5.0947e-05i,0.0045591-0.0023363i,-0.0019479+0.0093805i,-0.017706-0.0074967i,-0.017954+0.01384i,-0.0040804-0.062716i,-0.005322-0.0274i,-0.026027-0.033467i,-0.011203-0.027128i,0.053326-0.022266i,0.016554-0.04377i,0.02214-0.049961i,0.0057622-0.056464i,0.02623-0.020512i,0.0085364+0.0060776i,0.024668-0.034143i,-0.0080693-0.0063224i,0.0029989-0.0045624i,-0.0048525-0.0067717i,-0.002804-0.033259i,-0.018474+0.029282i,0.0085735-0.012136i,-0.0091472-0.0039326i,-0.0042963-0.0016713i,0.00038142-0.012945i,-0.010943+0.0042782i,0.0029734+0.010144i,-0.0045575+0.026779i,0.0050074+0.0020553i,-0.005418-0.0016227i,-0.002-0.0022121i,-0.012816-0.0073478i,-0.00081967-0.0042984i,-0.036212+0.0010396i,0.0010188-0.010762i,-0.0084583+1.5225e-05i,-0.0068576-0.0019958i,0.0050184+0.0010308i,-0.0084119-0.00062226i,0.0021712-0.00044955i,0.0038872+0.0072434i,0.0040071+0.00028332i,-0.0081374-0.013323i,0.0031232+0.0092991i,-0.015342+0.0048956i,0.0070346-0.0005058i,-0.022491+0.00068219i,-0.017298+0.0062404i,-0.0092984-0.066825i,0.0074598-0.012033i,-0.049778-0.022771i,-0.020971+0.00064572i,0.017359+0.012116i,-0.022691+0.014691i,-0.020214-0.0051175i
-0.044937+0.031547i,-0.017029+0.01957i,-0.021924+0.042965i,-0.027862+0.013868i,-0.0050116+0.022066i,-0.00090856+0.0084082i,-0.031948+0.01885i,-0.0037176+0.030817i,0.0077879+0.018864i,-0.0056197-0.0068496i,0.0028964+0.0030553i,0.0077427-0.00028786i,0.0054869+0.00023936i,-0.00065383+0.0033754i,0.00057851+0.0021018i,0.006017-0.0049541i,-0.0070351-0.00048777i,-0.0031802-0.00075486i,0.0044022-0.0016492i,-9.6171e-05-0.00096915i,0.0026546-0.0052128i,0.0015275-0.0028164i,0.0013792-0.002608i,-0.0095504-0.010794i,-0.00074788+0.0023327i,-0.0016608-1.9657e-05i,-0.0044335-0.0013343i,-0.0030465-5.3189e-05i,-0.00080115-0.0017152i,-0.00021694-0.00071879i,-0.0009398+0.0040739i,0.00088473+0.00072038i,0.0017293+0.00061044i,-0.00050976+0.00065281i,-0.0028922+0.0027254i,-0.0016573-0.0077393i,-0.0026515+0.0010883i,0.00083511-0.00061348i,-0.0016007+0.0034146i,0.0039555+0.0027616i,-0.00043992-0.0016611i,-0.00051115-0.0030396i,-0.0037894-0.00055903i,0.0041552+0.00016583i,-0.017885+0.023724i,0.004495-0.03603i,-0.055464+0.0054501i,0.0063995-0.031125i,-0.032248-0.048545i,-0.029816-0.019848i,-0.063978+0.021712i,-0.038939+0.0013064i,-0.03403-0.0074202i,-0.029997-0.021335i,-0.03885-0.022749i,-0.0051265+0.0028786i,-0.027773+0.0098519i,0.006151+0.018566i,0.0029076+0.0082461i,-0.0035851-0.0052699i,0.0015393+0.0011788i,-0.010752-0.0034975i,0.0060487+0.011691i,-0.00050189+0.005989i,-0.0015142-0.0016026i,0.0011401+0.0023334i,0.003907-0.00082807i,-0.0037869+0.018252i,0.0028531+0.014629i,0.0046184-2.3885e-05i,0.009277-0.006922i,0.0044567+0.0030342i,-0.0088277-0.0071273i,-0.00086906-0.0027425i,0.026591-0.034401i,0.0084722+0.0098418i,0.0053305+0.0020442i,-0.0026297+0.002655i,0.0033634-0.0053261i,0.021582+0.0087347i,0.0039808+0.0029605i,0.00010666-0.0066354i,0.0010132-0.0031276i,0.014607+0.0082651i,0.0050473+0.0018422i,0.0027195-0.0048781i,0.0043171+0.0088773i,-0.00050945+0.0011473i,0.0094401+0.0029648i,-0.043396-0.012899i,-0.0051962+0.012463i,-0.0017541-0.00391i,-0.0062554+0.0056405i,-0.03742+0.012064i,-0.005468+0.0072187i,-0.0092059+0.014422i
-0.039313+0.038252i,-0.01383+0.019217i,-0.011217+0.038806i,-0.024979+0.017022i,-0.0020708+0.020285i,0.00053512+0.008281i,-0.030148+0.024194i,0.0022715+0.029947i,0.010155+0.013412i,-0.0069866-0.0038513i,0.0039682+0.003369i,0.0068417-0.0028959i,0.0049532-0.001862i,0.001536+0.004052i,0.00088223+0.002142i,0.0018006-0.0043054i,-0.0080594+0.0033849i,-0.0029071+0.00036308i,0.0044372-0.0026874i,0.00017553-0.00097953i,0.00098473-0.0054195i,0.0012706-0.0024051i,0.00067111-0.0026916i,-0.011346-0.007484i,0.00050388+0.0017518i,-0.0017405+0.00045894i,-0.0038769+0.00053422i,-0.0022588+0.00073458i,-0.0014426-0.0014892i,-0.00016476-0.00061936i,0.00071785+0.0041206i,0.000439+0.00062802i,0.0014515-0.00040625i,-0.00061575+0.00086773i,-0.0028079+0.0031497i,-0.0019156-0.0066152i,-0.0021266+0.0015493i,-0.00032159-0.0011458i,-0.00098007+0.0038919i,0.0036668+0.00037961i,-0.00069602-0.0014625i,-0.0021978-0.0027924i,-0.0039736+0.00074995i,0.0043872-0.00079582i,-0.014092+0.023266i,-0.0086932-0.040994i,-0.048731+0.015858i,-0.0028775-0.038291i,-0.046515-0.042459i,-0.030707-0.012952i,-0.052025+0.033804i,-0.036059+0.010307i,-0.025536-0.010809i,-0.031629-0.017123i,-0.044312-0.0073914i,-0.0043885+0.0026963i,-0.023204+0.021412i,0.011323+0.012781i,0.005465+0.0045491i,-0.0085864-0.0081029i,-0.0016886+0.0035948i,-0.010436+0.0034482i,0.010468+0.0079231i,0.00057374+0.0077459i,-0.0019067-8.3159e-06i,0.0020722+0.0034382i,0.0042109-0.0012652i,0.0048768+0.01506i,0.0084178+0.008865i,0.00042828-0.0032956i,0.0029263-0.0079574i,0.0050277+0.0026539i,-0.011332+0.0011467i,-0.0022657-0.00060522i,0.0097408-0.037413i,0.012128+0.0071317i,0.0069106-0.00059488i,0.00073684+0.0027236i,-0.00019864-0.0029991i,0.023165-0.0015054i,0.0040189+0.0010882i,-0.0032393-0.0051799i,-0.0028935-0.0015282i,0.014307+0.0020184i,0.0052525+0.0017132i,0.0010216-0.0034072i,0.00702+0.007383i,-1.8108e-05+0.0021697i,0.0097434-0.00078892i,-0.04642-0.0087805i,0.00016592-0.0017138i,-0.00083765-0.0038816i,-0.0043348+0.0052911i,-0.030805+0.023411i,-0.0031307+0.0082228i,-0.0046633+0.01499i
-0.032031+0.043648i,-0.011641+0.0193i,-0.0061944+0.032648i,-0.022135+0.020167i,0.0015532+0.019499i,0.0022475+0.0076983i,-0.025844+0.029903i,0.0078689+0.027528i,0.0097029+0.009367i,-0.0072401-0.00071345i,0.0058026+0.002865i,0.0027778-0.0038254i,0.0037144-0.0031255i,0.0025028+0.0033963i,0.0013824+0.0021268i,-0.0014119-0.0013419i,-0.0065427+0.0076659i,-0.0017192+0.0010779i,0.0039412-0.0046416i,0.00045279-0.0015845i,-0.00072018-0.005088i,0.0014342-0.0028625i,0.00014284-0.0026152i,-0.013179-0.0047646i,0.00094731+0.0012007i,-0.0012205+0.0012472i,-0.0028025+0.00086332i,-0.0010859+0.0012714i,-0.0016282-0.0011722i,-0.00038245-0.00086596i,0.0021618+0.0033043i,0.00029179+0.00090488i,0.00089835-0.00072627i,-0.00043169+0.00071811i,-0.0013196+0.0043025i,-0.0013107-0.0067216i,-0.0018889+0.0017994i,-0.0012423-0.0010032i,0.0019662+0.0025874i,0.0026631-0.00076577i,-0.0010199-0.0011284i,-0.0017143-0.0012927i,-0.0038144+0.0018678i,0.0037878-0.0026478i,-0.011349+0.023304i,-0.024465-0.038739i,-0.038677+0.022155i,-0.014492-0.039921i,-0.05449-0.032907i,-0.027199-0.0071998i,-0.035953+0.040059i,-0.024539+0.016142i,-0.028628-0.013457i,-0.032035-0.013395i,-0.041496+0.0069073i,-0.0036076+0.0028398i,-0.012228+0.028617i,0.013222+0.0067219i,0.0033841-0.00056052i,-0.017948-0.0051725i,-0.00084493+0.0050544i,-0.0059489+0.0072888i,0.012042+0.0017388i,0.0034601+0.0077608i,-0.003466+0.0017263i,0.0025573+0.00157i,0.0040948-0.0029564i,0.0076334+0.0083891i,0.0083778+0.003209i,-0.0040799-0.00049852i,0.00016064-0.0061496i,0.0067271+0.0014503i,-0.0068+0.0097204i,-0.00023395+0.0010327i,-0.0031673-0.033552i,0.015609+0.00093405i,0.0057278-0.0030065i,0.001091+0.0014022i,0.00021348-0.0012035i,0.018311-0.0095583i,0.0024587+0.0023807i,-0.005154-0.002707i,-0.0030553+0.0025529i,0.011056-0.0023229i,0.0088447-0.00081922i,0.00086264-0.0034541i,0.01025+0.0035329i,0.0030099+0.0015537i,0.0084321-0.0039338i,-0.049003+0.0006828i,-0.0085397-0.010414i,0.0012547-0.0068745i,-0.0034622+0.0039255i,-0.020727+0.02828i,-0.0035333+0.003404i,-0.0014182+0.010425i
-0.023816+0.047103i,-0.0089173+0.020329i,-0.0047318+0.027864i,-0.017876+0.023101i,0.00495+0.01656i,0.0039284+0.0061266i,-0.019049+0.034445i,0.012543+0.023464i,0.0091276+0.0077048i,-0.0063537+0.0020184i,0.0066623+0.00038623i,0.00060362-0.001333i,0.0022227-0.0034987i,0.0023633+0.0032831i,0.0017717+0.0017619i,-0.0014559+0.0027365i,-0.0022073+0.010853i,-0.0010407+0.00075466i,0.0021079-0.005417i,-0.00026607-0.0022112i,-0.0017424-0.0039616i,0.0010831-0.0032728i,-0.00039538-0.0027794i,-0.014676-0.00028448i,0.0011931+1.2667e-05i,-0.00029905+0.00085478i,-0.0023721+0.00096956i,0.00013404+0.00068154i,-0.0018163-0.00049963i,-0.00074604-0.00046483i,0.0030381+0.0019038i,0.00060357+0.00094978i,0.00013837-0.00084678i,-0.00032174+0.00080326i,0.00081913+0.0037595i,-0.0025788-0.0087032i,-0.0010584+0.0025761i,-0.0018712-0.00035244i,0.0014927-0.00023272i,0.0018694-0.001138i,-0.0010568-0.00076305i,-0.0012934-0.0014197i,-0.0028784+0.0030061i,0.0011581-0.0049287i,-0.0087107+0.024431i,-0.036617-0.026351i,-0.029328+0.022927i,-0.024997-0.036618i,-0.062252-0.021921i,-0.022524-0.0054646i,-0.021897+0.039034i,-0.014257+0.012416i,-0.02956-0.009867i,-0.032058-0.0086212i,-0.035539+0.016694i,-0.0034001+0.0031035i,-0.00021163+0.02881i,0.013474+0.0011833i,-0.0013477-0.0011783i,-0.022529+0.0055405i,-0.00057241+0.006816i,-0.0021902+0.0064277i,0.0091476-0.0042002i,0.0061848+0.0065971i,-0.0027625+0.0047679i,0.00057426+0.0017907i,0.0029644-0.0055249i,0.0059728+0.0023592i,0.005587+9.9179e-05i,-0.003067+0.0023299i,-0.00152-0.00454i,0.0068154-0.00080307i,0.0029007+0.011322i,0.00037407+0.00023621i,-0.01054-0.027039i,0.01342-0.0050121i,0.0042787-0.0044669i,0.0021123+0.0026542i,0.00033281-0.0014128i,0.012317-0.012846i,0.0053142+0.0029584i,-0.0057727+0.00029817i,-0.0003109+0.004353i,0.0085021-0.0032128i,0.0082391-0.0065084i,-0.00068156-0.0029405i,0.0093446-0.0027081i,0.0027179-0.001343i,0.0068412-0.007301i,-0.044823+0.011776i,-0.018195-0.0097708i,-0.0015022-0.012445i,-0.0024293+0.0019926i,-0.012522+0.028309i,-0.0072638+0.0033191i,-0.0016631+0.0091476i
-0.015982+0.049227i,-0.0064843+0.020281i,-0.0052423+0.025749i,-0.013172+0.024607i,0.0067172+0.013262i,0.0042912+0.004296i,-0.011097+0.036362i,0.015486+0.018749i,0.0098714+0.0065092i,-0.0042438+0.0036522i,0.00568-0.0013988i,0.00109+0.00073922i,0.0011754-0.0035131i,0.003657+0.003639i,0.002092+0.0013329i,0.00065397+0.0052352i,0.0030846+0.011336i,-0.00104+0.00062302i,0.00075103-0.0056178i,-0.0012201-0.0021605i,-0.0025276-0.0032129i,0.00031678-0.0035154i,-0.0013021-0.0026233i,-0.012526+0.0043486i,0.00025747-0.001248i,-0.00042634+0.0001575i,-0.0018665+0.001231i,0.00029975-0.00037231i,-0.0017116+0.00012541i,-0.00049523-5.4473e-05i,0.0031215+0.0004701i,0.0011805+0.00037868i,-0.00049617-0.00052853i,-0.00030547+0.00098094i,0.0013127+0.0028253i,-0.0058584-0.0094903i,-0.00023559+0.0025724i,-0.0018885+0.00081625i,-0.0002755-0.00064119i,0.0011001-0.00089384i,-0.00098083-0.00058354i,-0.0017983-0.0013564i,-0.0014391+0.003426i,-0.0016837-0.0034743i,-0.0046582+0.025937i,-0.036809-0.011358i,-0.023063+0.021298i,-0.034047-0.030062i,-0.066998-0.0067194i,-0.019745-0.0076739i,-0.010643+0.034721i,-0.0096673+0.0072849i,-0.02906-0.007602i,-0.031007-0.0057101i,-0.028856+0.024227i,-0.0028506+0.0032846i,0.012277+0.024117i,0.012201-0.0032467i,-0.0047024+0.0013835i,-0.019933+0.015083i,0.0017362+0.0079492i,-1.9794e-05+0.0069853i,0.0028361-0.0050691i,0.0081517+0.0044994i,-0.0010018+0.0064313i,0.00038402+0.0038521i,0.0010983-0.0069347i,0.0018369+0.002724i,0.0029275+0.00040639i,-0.0023862+0.0038101i,-0.0025043-0.0024047i,0.0058135-0.003048i,0.0081304+0.0065456i,0.00040934-0.00020366i,-0.01507-0.024327i,0.0095143-0.0087626i,0.0022024-0.005428i,0.0050171+0.0020669i,-0.00021479-0.00063347i,0.0077425-0.013726i,0.0076368+0.00020076i,-0.0040847+0.0035127i,0.0020405+0.0037689i,0.0077605-0.004283i,0.0033442-0.010761i,-0.00079531-0.0021463i,0.0053536-0.0058477i,0.00083705-0.0020402i,0.0028156-0.010282i,-0.036918+0.016546i,-0.026214-0.0022922i,-0.0065003-0.014203i,-0.0028958-0.00053815i,-0.007043+0.027333i,-0.009956+0.0060902i,-0.00041039+0.0091187i
-0.0080799+0.050362i,-0.0044547+0.020848i,-0.005292+0.026642i,-0.0085047+0.02466i,0.0069734+0.010146i,0.004454+0.0031766i,-0.0027186+0.035599i,0.017012+0.014239i,0.010914+0.0041658i,-0.0025323+0.0036595i,0.0039819-0.0022082i,0.0022815+0.0016621i,1.7273e-05-0.0033436i,0.0051534+0.0024046i,0.0021493+0.00083332i,0.0035309+0.0060157i,0.0080387+0.0091105i,-0.00080384+0.0009685i,-0.001232-0.0055758i,-0.0020007-0.0016522i,-0.0027413-0.0019502i,-0.00034431-0.0036968i,-0.0019186-0.0020134i,-0.010522+0.0060621i,-0.0011316-0.0010786i,-0.00095476+5.2964e-05i,-0.0014391+0.0014929i,-8.9887e-05-0.0012249i,-0.0013181+0.00057433i,-0.00037228-0.00016562i,0.0027774-0.00062756i,0.0011037-0.0005609i,-0.00066833-7.5852e-05i,-9.519e-05+0.00094914i,0.0015792+0.0023992i,-0.0091882-0.0083825i,0.00028675+0.0021789i,-0.0012353+0.0014494i,-0.0012395+0.0002879i,0.00076662-0.00040379i,-0.00093031-0.00022478i,-0.0020121-0.00058005i,-0.00033343+0.0030706i,-0.0026413-0.0010322i,-6.7158e-05+0.026822i,-0.030828-0.0034448i,-0.019234+0.019801i,-0.039341-0.019526i,-0.064027+0.011867i,-0.023189-0.010293i,-0.0037758+0.028182i,-0.0069417+0.0029755i,-0.02798-0.0046829i,-0.031641-0.0023969i,-0.020737+0.028675i,-0.0031036+0.0037732i,0.018474+0.010543i,0.0097933-0.0075965i,-0.005661+0.0055204i,-0.012542+0.022502i,0.0043108+0.0065836i,0.0039537+0.005484i,6.0484e-05-0.0021317i,0.0098346+0.00087506i,0.001642+0.0077182i,0.0017405+0.0048683i,-0.0038139-0.0088274i,0.0014074+0.0056073i,0.0029077+0.001924i,7.8152e-05+0.0066663i,-0.0017501-0.00056702i,0.0043077-0.0037572i,0.0095323+0.001488i,0.00082148-0.00085288i,-0.023318-0.021998i,0.0052596-0.010293i,-0.00014923-0.0054805i,0.0052148-0.00042288i,-4.14e-05+0.00048545i,0.0050602-0.013152i,0.007075-0.0032856i,-0.0011189+0.0047684i,0.0034674+0.0019158i,0.0062047-0.0062406i,-0.0034024-0.010188i,-0.001184-0.0023689i,0.0020049-0.005343i,0.0004541-0.0026307i,-0.0022662-0.010019i,-0.03194+0.018928i,-0.023959+0.010922i,-0.011219-0.013717i,-0.0047013-0.0013809i,-0.0029834+0.026661i,-0.0089685+0.010733i,0.0028401+0.0076063i
2.2476e-05+0.050175i,-0.0017081+0.021761i,-0.0033784+0.028733i,-0.0050579+0.023548i,0.0062843+0.0083541i,0.0046192+0.002014i,0.0044386+0.032608i,0.017544+0.010296i,0.011426+0.0019518i,-0.0015482+0.0037069i,0.002805-0.0016042i,0.0044285+0.0019534i,-0.001002-0.002798i,0.005449-0.00021649i,0.0020086+0.00045991i,0.0059981+0.0051738i,0.011016+0.0050566i,-0.0003354+0.0012184i,-0.0026174-0.0047634i,-0.0024086-0.00069642i,-0.0024093-0.00088882i,-0.0013958-0.0036458i,-0.002234-0.0013727i,-0.0092249+0.0089606i,-0.0018453-0.00037703i,-0.0013749+0.0005974i,-0.00098217+0.0016724i,-0.0012937-0.001626i,-0.0010484+0.00054806i,-0.00054445-0.00030005i,0.0021716-0.00147i,0.00095116-0.00068978i,-0.0002971+6.1252e-05i,0.00017133+0.0008915i,0.002118+0.0012876i,-0.012394-0.006223i,0.00084627+0.0019913i,-0.00071503+0.0015244i,-0.0012741+0.0010289i,0.00075521-0.00014838i,-0.00074726+4.0758e-05i,-0.0016668-0.0001593i,0.00028646+0.0024075i,-0.0022659+0.0002383i,0.005387+0.025816i,-0.026898-0.0019874i,-0.016231+0.019322i,-0.039159-0.0096742i,-0.054136+0.026764i,-0.026504-0.0075965i,0.00064467+0.0231i,-0.0068657-0.0012396i,-0.026216-0.0029402i,-0.030603+0.0026299i,-0.013071+0.031413i,-0.0019078+0.0038902i,0.013012-0.0015123i,0.0052711-0.01099i,-0.0038766+0.0088649i,-0.0036964+0.023881i,0.004999+0.004082i,0.0051385+0.0015146i,0.00089694-0.00046454i,0.0091639-0.0021492i,0.006468+0.006724i,0.0035456+0.0059133i,-0.008232-0.0033401i,0.003891+0.0069495i,0.0042565+0.0024114i,0.0038623+0.0062627i,-0.0012943+9.2147e-06i,0.0032539-0.0045653i,0.0091387-0.0046003i,-0.00099695-0.0011084i,-0.031556-0.01298i,0.0015862-0.010239i,-0.0021948-0.004052i,0.0053233-0.00066528i,0.00059743+0.0006759i,0.0033639-0.015299i,0.0050713-0.0059529i,0.0011722+0.0038199i,0.0035505+0.00090033i,0.0045644-0.007022i,-0.0071279-0.0059861i,-0.0024846-0.0022628i,-0.0005203-0.0050551i,-0.0013652-0.0031666i,-0.0054744-0.007493i,-0.026036+0.020731i,-0.01766+0.011641i,-0.011872-0.012311i,-0.0059617-0.00096908i,0.001748+0.024735i,-0.0071125+0.012202i,0.0029582+0.0049378i
0.0077443+0.048752i,0.0018751+0.022422i,0.00050686+0.031063i,-0.002187+0.023143i,0.0055347+0.0077559i,0.0043651+0.0010983i,0.010173+0.028427i,0.017754+0.0070472i,0.011639-0.00068995i,-0.00062741+0.003631i,0.0029922-0.0010472i,0.0064034-0.00021129i,-0.0017459-0.0018906i,0.0037183-0.0014565i,0.0020134+0.00032153i,0.0079066+0.0029409i,0.011716+0.00083433i,0.00021855+0.00092412i,-0.0037746-0.0038355i,-0.0021284+0.00048092i,-0.0017841-0.00039701i,-0.0022349-0.002669i,-0.0024203-0.00077952i,-0.0051287+0.011169i,-0.0021705+0.00056148i,-0.0011149+0.001367i,-0.00056286+0.0020773i,-0.0026296-0.0010569i,-0.00093569+0.00062042i,-0.0007368-0.00023155i,0.0011931-0.0020086i,0.0011321-0.001699i,-0.00036102+3.2253e-05i,0.00021634+0.00081734i,0.0018389+0.00024138i,-0.01474-0.0021143i,0.0012381+0.0015898i,-0.00029344+0.0017282i,-0.0013351+0.0013755i,0.0011269+7.2903e-05i,-0.00039687+0.00013271i,-0.001385+8.7455e-05i,0.00041773+0.0017835i,-0.0015811+0.0011955i,0.0096351+0.023296i,-0.026983-0.0010733i,-0.014065+0.018407i,-0.038464-0.0012765i,-0.040872+0.034736i,-0.029567-0.0042007i,0.0046636+0.01737i,-0.0075324-0.0029921i,-0.025304-0.0017973i,-0.028153+0.0079929i,-0.0045485+0.032775i,-0.0009774+0.0037105i,0.0061283-0.0031231i,0.0002582-0.012052i,0.00014757+0.011786i,0.0041068+0.021198i,0.0044301+0.0019944i,0.0038291-0.0020493i,0.00046687+4.0584e-05i,0.0073006-0.005473i,0.0095995+0.0031136i,0.0061034+0.0054962i,-0.0079129+0.00074422i,0.0066497+0.0071645i,0.005825+0.002136i,0.0078174+0.0040711i,-0.00081753+0.00077434i,0.0026741-0.0052728i,0.0051869-0.0083863i,-0.0011308+0.001106i,-0.034942-0.00055248i,-0.0011683-0.0095309i,-0.0029856-0.0020467i,0.0058147-0.0018333i,0.00092186+0.00043414i,-0.0010733-0.017971i,0.0022217-0.0070421i,0.0027287+0.0032238i,0.0037369-0.00016866i,0.0040425-0.0079003i,-0.0089021-0.0028327i,-0.0037402-0.00045881i,-0.0030611-0.0037245i,-0.0025269-0.0027038i,-0.0068936-0.0048807i,-0.021334+0.020609i,-0.016078+0.011945i,-0.012809-0.013202i,-0.0068262+0.00015781i,0.0039069+0.023576i,-0.006035+0.012856i,0.0032292+0.0035817i
0.015486+0.046253i,0.0064395+0.021999i,0.0067123+0.031919i,0.00095739+0.022688i,0.0060077+0.0081393i,0.0042804+0.00061575i,0.014218+0.022991i,0.017951+0.0039166i,0.010978-0.0035041i,8.2946e-05+0.0033649i,0.0033109-0.0017485i,0.0058202-0.0034244i,-0.0020182-0.00086416i,0.0029403-0.0016426i,0.0021129+8.821e-05i,0.0081161+5.1149e-05i,0.010623-0.0030485i,5.1674e-05+0.00057509i,-0.0049436-0.0023439i,-0.0012129+0.00098551i,-0.0011173-0.00061033i,-0.0023604-0.0019022i,-0.0024238-5.9044e-05i,-0.00079784+0.011037i,-0.0018926+0.0013978i,-0.00050154+0.0017268i,0.00034931+0.0020174i,-0.0032082+0.00026795i,-0.00068793+0.00055215i,-0.00081347-8.9203e-05i,0.00019674-0.0020221i,-0.00017656-0.0023204i,-0.00045087+0.00022083i,0.00024638+0.00078326i,0.0012993-0.00029407i,-0.014756+0.0029431i,0.0013474+0.0010997i,0.00042061+0.0016684i,-0.0010718+0.0017458i,0.0014585-7.0096e-05i,-0.0002521-4.6772e-05i,-0.00090667+0.00015698i,0.00026872+0.0014037i,-0.00077258+0.0016811i,0.01258+0.020866i,-0.029196+0.0030149i,-0.012368+0.017759i,-0.033358+0.0069826i,-0.028231+0.039021i,-0.031744+0.0030564i,0.0071231+0.010364i,-0.005627-0.0054573i,-0.024127+0.00069722i,-0.023628+0.013124i,0.0037399+0.031611i,-0.00060544+0.0029364i,0.0023133-0.0034134i,-0.0052698-0.011666i,0.0062217+0.01111i,0.0081401+0.016207i,0.0023174+0.00064582i,0.0020283-0.0043277i,0.0013905+0.0026846i,0.0034839-0.0072961i,0.010378-0.0023822i,0.0084159+0.0034792i,-0.0072739+0.0044322i,0.010923+0.0060604i,0.0079359-0.00011659i,0.0094525-0.00080656i,0.00014868+0.0013343i,0.0012476-0.0059582i,-0.00060125-0.0089559i,0.00076556+0.0025105i,-0.033556+0.012837i,-0.003415-0.0084809i,-0.0026497-0.00010798i,0.0055293-0.005745i,0.0013317+0.00077978i,-0.0081755-0.017339i,-0.00061982-0.0066484i,0.0040583+0.0016639i,0.0036549-0.00069047i,0.0020153-0.0092467i,-0.0093703+0.0027299i,-0.0032657+0.0018263i,-0.0046399-0.0015203i,-0.0038385-0.0024952i,-0.007091-0.0024836i,-0.019349+0.020943i,-0.014941+0.016311i,-0.015703-0.015698i,-0.0050056+0.0015509i,0.0078711+0.022855i,-0.0055736+0.014842i,0.0041641+0.00072288i
0.022579+0.042279i,0.010736+0.020073i,0.013201+0.029663i,0.0042871+0.021668i,0.0074171+0.008086i,0.0046431+0.00017492i,0.0162+0.017665i,0.017647+0.00072474i,0.0098205-0.0057433i,0.00043929+0.0033774i,0.0028807-0.0024154i,0.0033897-0.0051092i,-0.0020616-2.115e-05i,0.0020395-0.0016974i,0.0021289-0.0002215i,0.0067058-0.0020852i,0.0081858-0.0057134i,4.5416e-05+0.00056923i,-0.0050629-0.00040933i,-0.00043316+0.00090835i,-0.00062052-0.00095961i,-0.0024431-0.0015126i,-0.0020459+0.00054961i,0.0024776+0.010062i,-0.0013457+0.0018638i,7.4985e-05+0.0018652i,0.00097392+0.0013072i,-0.0028862+0.0016839i,-0.00067965+0.00029802i,-0.0010683+0.0001051i,-0.00062614-0.0016368i,-0.0015035-0.0018423i,-0.0002568+0.00039171i,0.00043249+0.00072904i,0.00069063-0.00065933i,-0.012676+0.0071668i,0.0014303+0.00061186i,0.000834+0.0011259i,-0.00039736+0.0022926i,0.0015386-0.00070736i,-0.00021514-0.00018189i,-0.00069217-0.00028632i,7.831e-05+0.0013893i,7.9463e-05+0.0017511i,0.015503+0.018916i,-0.028088+0.010302i,-0.011906+0.01738i,-0.027034+0.01042i,-0.015551+0.040321i,-0.029423+0.012174i,0.0058602+0.0032264i,-0.0059844-0.011118i,-0.020735+0.0024288i,-0.016187+0.017196i,0.012113+0.027322i,-0.00081585+0.0027819i,-0.0018475-0.0021939i,-0.0099339-0.0085238i,0.010303+0.0068246i,0.0099917+0.012809i,-0.00079092+0.0017484i,-0.00039031-0.0067864i,0.0050163+0.0015733i,-0.00036653-0.0068015i,0.0074297-0.0062934i,0.009742+9.1623e-05i,-0.0058149+0.0070274i,0.014203+0.00032658i,0.0078007-0.0048376i,0.0079493-0.0056471i,0.0014604+0.0012534i,-0.00058157-0.0061063i,-0.0043625-0.0054315i,0.0027685+0.0014181i,-0.025613+0.026681i,-0.0052819-0.0069985i,-0.0013849+0.0010366i,0.0015316-0.0071272i,0.0023376+0.00047596i,-0.014443-0.013043i,-0.0021753-0.0047245i,0.0041627-0.00060938i,0.0032832-0.0013999i,-0.00094055-0.0089993i,-0.0056114+0.0068926i,-0.0016875+0.0032275i,-0.0050346+0.0019917i,-0.0059951-0.0015429i,-0.0069105-0.0011265i,-0.015112+0.024229i,-0.0068799+0.019851i,-0.022015-0.015293i,-0.0026273+3.3197e-05i,0.010814+0.0205i,-0.002995+0.017657i,0.0030187-0.0029i
