-0.02392+3.2391e-05i,-0.024911+0.00057918i,-0.014913-0.011956i,-0.034584-0.014799i,-0.030535+0.00034648i,-0.032834+0.0053326i,-0.057039-0.019578i,-0.033218-0.018834i,-0.029137-0.0006651i,0.0068387+0.0042084i,-0.003485+0.0071328i,-0.006962+0.016447i,0.0059312+0.011064i,0.0020873+0.0034553i,0.0049837+0.0032514i,0.0055529+0.018264i,0.022409+0.022535i,0.0012809-0.00063264i,0.00063554-0.0051124i,0.0068877-0.00079099i,0.0043038+0.00012183i,0.0020846+0.0012799i,0.00093013-0.00025505i,-0.017982+0.0019561i,-0.005028-0.0046908i,-0.00067869+0.0027142i,0.0015919-0.0026395i,-0.0011101-0.00066545i,-0.00094786+0.0014029i,-0.0020056-0.0019098i,-0.0041613-0.00021291i,-0.0055497-0.0023108i,-0.004981-0.0046365i,-0.00010468-0.0001577i,0.0010342-0.003064i,0.0027063+0.013695i,0.0013688-0.0029023i,0.00054193-0.0034063i,0.0046719-0.0020373i,-0.0030572-0.0015929i,0.00060863-0.00026499i,0.0074703-0.0021427i,0.0037102-0.0023453i,0.00052527+0.0024915i,-0.014192+0.014826i,-0.027442+0.054427i,-0.00928-0.036741i,-0.016841-0.018676i,-0.040849-0.016514i,-0.028526-0.01295i,0.038084-0.013172i,0.0054885-0.031839i,0.011542-0.03818i,-0.0099554-0.031329i,0.0249-0.022099i,0.014549+0.0064302i,0.026512-0.036406i,-0.0022938-0.0038882i,0.0051123-0.0090068i,-0.00071434-0.0064611i,-0.00048386-0.033448i,-0.013082+0.02923i,0.0086627-0.012068i,-0.0090313-0.0045849i,-0.002753-0.0020148i,-0.0011356-0.014958i,-0.0090727+0.0059976i,0.0038136+0.0077452i,0.00049595+0.026333i,0.0026852+0.00026556i,-0.0074984-0.0048524i,-0.0040347-0.0060067i,-0.015297-0.0091434i,-0.0024232-0.0061266i,-0.035725+0.0054596i,-0.0041979-0.0092099i,-0.013112-0.001088i,-0.010203-0.0054484i,0.0014245-0.0021103i,-0.01422+0.0017285i,-0.0011716-0.00041484i,0.0059854+0.0058065i,0.0037455-0.0055871i,-0.014561-0.014032i,0.0081897+0.0090053i,-0.015853+0.0057726i,0.0055602-0.00036614i,-0.019812-0.0025894i,-0.015609-0.0044452i,-0.016308-0.035139i,0.020277-0.010652i,-0.038301-0.024052i,-0.0082396+0.0039595i,0.018242+0.014736i,-0.022027+0.017656i,-0.0040125-0.0034504i
0.0066554+0.012933i,0.007521+0.017411i,0.0023977+0.026847i,-0.0073829+0.025734i,0.00017008+0.033798i,0.014843+0.019953i,-0.0010904+0.030196i,-0.0076011+0.020901i,0.012555+0.0081989i,0.00084323-0.0039821i,0.0012275-0.0011543i,0.0050252-0.0031522i,0.0017471-0.0024522i,-0.00090782-0.0044279i,-0.00064981-0.0018423i,0.0035349-0.0057825i,-0.0030862-0.0044154i,-0.0020037+0.0029807i,0.00041675+0.00035176i,0.00010164+0.0017908i,-0.0024361+0.00042806i,-0.00036177-0.00022387i,0.001651+0.00032877i,-0.0058744-0.0023296i,-0.00059153-0.00044585i,-0.0012995+0.00057262i,-0.0024755+0.00036951i,-0.001938+0.00036491i,-0.0027194-0.00041849i,-0.00060683-0.00062135i,-0.0030096+0.00038862i,-0.00064023-0.00088613i,-0.00010082-0.0022194i,0.00032544-0.0010269i,-0.00094669+0.0013492i,-0.00068356-0.0017943i,-0.0019628+0.0012465i,0.0019126-6.8128e-06i,0.00018448+0.0027449i,0.0024559+0.0054225i,0.00023256+0.00079184i,-0.0012821+0.00040149i,-0.0013776-0.0011708i,0.0024817+0.0040735i,0.01297+0.0075301i,0.046382-0.05201i,-0.024721+0.0076866i,0.015694-0.025739i,-0.025467-0.032778i,-0.013167+0.0024853i,-0.032722+0.034536i,-0.020273+0.0050274i,-0.016622+0.0079348i,-0.0029808-0.01738i,-0.039934-0.020787i,-0.0089211+0.0020657i,-0.027223+0.012332i,0.0028928+0.016238i,0.00066818+0.0052284i,-0.0062365-0.005316i,-0.00039108+0.0017615i,-0.013734-0.0042814i,0.0060916+0.013713i,-0.00081688+0.0079425i,-0.0022451+0.0036791i,0.0014146+0.0064533i,0.0027124+0.0029645i,-0.0018764+0.01941i,0.0035124+0.014685i,0.005772-0.0049823i,0.013076-0.0058663i,0.0085016+0.0020598i,-0.004233-0.0065176i,5.5582e-05-0.001469i,0.02075-0.032418i,0.0097471+0.0052259i,0.0082045-0.0019819i,0.0029513-0.00040015i,0.0057445-0.008913i,0.022796-1.9131e-05i,0.006163-0.002285i,0.0021639-0.0062169i,0.0046904-0.0026491i,0.017505+0.0035652i,0.0060399+0.0034664i,0.0034089-0.0032305i,0.0081492+0.0092707i,-0.0013517+0.0048885i,0.0079409+0.0096399i,-0.012207-0.013961i,-0.0087597+0.00059496i,-0.0080555-0.013893i,-0.007059-0.0059226i,-0.039091+0.007086i,-0.0057716+0.0046673i,-0.011261-0.0003795i
0.0087542+0.01136i,0.0095584+0.014278i,0.0084225+0.021712i,-0.002867+0.02457i,0.0052469+0.031584i,0.017561+0.017145i,0.0038277+0.029388i,-0.0033745+0.020978i,0.013095+0.0033769i,-0.00048756-0.0039185i,0.0012445-0.0005403i,0.0036963-0.005007i,0.00098611-0.0034546i,-0.0012499-0.0036954i,-0.001306-0.0015126i,0.00062714-0.0054462i,-0.0052822-0.0022424i,-0.00074858+0.0034625i,0.0012797+0.00019286i,0.0011003+0.0014254i,-0.0015158+0.001575i,0.0001773+0.00054189i,0.0019518-0.00037715i,-0.0052447-0.00035337i,-0.00042972-2.0894e-05i,-0.00096503+0.00094658i,-0.0017438+0.001459i,-0.0013826+0.00081563i,-0.0025956+0.00047912i,-0.00042554-0.00012794i,-0.0024754+0.0016862i,-0.0010205-0.00019143i,-0.0012807-0.0018593i,-0.00085754-0.0011992i,-0.001695+0.0011126i,0.00016454-0.0012546i,-0.0011361+0.0019259i,0.0012949-0.0008218i,0.0005446+0.0028879i,0.0037769+0.0034731i,0.00066747+0.0007324i,-0.0014293+0.00090849i,-0.0018057-0.00088905i,0.0035176+0.0032002i,0.013953+0.0032671i,0.02691-0.06296i,-0.01851+0.015216i,0.005516-0.032631i,-0.03662-0.024266i,-0.010545+0.0058341i,-0.020546+0.040026i,-0.016836+0.010428i,-0.006131+0.0023001i,-0.0054754-0.015373i,-0.04473-0.0052714i,-0.0087393+0.0028306i,-0.021928+0.022919i,0.0071634+0.011928i,0.0014769+0.0037043i,-0.011721-0.0060783i,-0.0028406+0.0052664i,-0.013329+0.0033355i,0.011636+0.0099487i,0.0012451+0.0096893i,-0.00029089+0.0040007i,0.0037884+0.0068118i,0.0042804+0.002745i,0.0063031+0.015429i,0.0076063+0.0091456i,-0.00096242-0.0078099i,0.0063019-0.0078726i,0.0077312+0.00050526i,-0.0067363+0.00033808i,-0.00021638+0.00086604i,0.0064545-0.033209i,0.011718+0.0025409i,0.0076239-0.0048745i,0.0043636-0.0019135i,0.00098373-0.0057647i,0.021288-0.0096353i,0.0038023-0.0041014i,-0.0008994-0.005652i,0.0012175-0.0024343i,0.015374-0.0029302i,0.0071443+0.0022517i,0.0024369-0.0019443i,0.010763+0.0059423i,-5.1987e-05+0.0052979i,0.0095769+0.0054502i,-0.01802-0.012422i,-0.005011-0.013758i,-0.0072033-0.011948i,-0.0077987-0.0046067i,-0.032919+0.020421i,-0.0032742+0.0052538i,-0.0098289+0.0019656i
0.01121+0.0092933i,0.011234+0.011633i,0.011055+0.015708i,0.0003833+0.02321i,0.010999+0.029566i,0.020043+0.013763i,0.0086977+0.027658i,0.00070925+0.02004i,0.011629-0.0002707i,-0.00165-0.0033184i,0.0020285-0.00050451i,0.00047103-0.0055724i,-0.00015813-0.0037097i,-0.0019947-0.0032969i,-0.0016816-0.0010025i,-0.0016053-0.0037537i,-0.005661+0.00071042i,0.00081499+0.0035126i,0.0015964-0.00091693i,0.001928+0.00042094i,-0.00040939+0.0016657i,0.0011745+0.00022053i,0.0019018-0.0011733i,-0.0045954+0.00054348i,-0.00024365+0.00021538i,-0.00028941+0.0014245i,-0.00055294+0.0016805i,-0.00064643+0.0012322i,-0.0020476+0.001281i,-0.00044486-0.00011229i,-0.0014734+0.0024302i,-0.0010071+0.00041735i,-0.0019292-0.00078921i,-0.0017381-0.00063993i,-0.0013573+0.0020888i,0.00093294-0.0017332i,-0.00031753+0.001941i,0.00058024-0.0013223i,0.0025246+0.0020075i,0.0040683+0.0018218i,0.0010784+0.00051065i,-0.00042817+0.0014814i,-0.0022391-0.00058812i,0.004046+0.0015647i,0.013517-0.0003324i,0.0047427-0.064095i,-0.0083706+0.018161i,-0.0060737-0.033739i,-0.040076-0.014241i,-0.0049362+0.0070284i,-0.0060857+0.040351i,-0.0065909+0.012211i,-0.0061728-0.0039953i,-0.0064685-0.013836i,-0.041733+0.0091383i,-0.0078955+0.0045668i,-0.010247+0.029221i,0.0088274+0.0070735i,-0.00014484+0.0014686i,-0.019151-0.00095243i,-0.0011272+0.0067586i,-0.0089576+0.0079285i,0.013868+0.0031171i,0.0048858+0.0096463i,-0.0010319+0.0044158i,0.0053691+0.0047412i,0.0056532+0.00032817i,0.0088001+0.0093453i,0.008043+0.0040135i,-0.0066731-0.0034795i,0.003537-0.0068115i,0.0087027-0.00092583i,-0.0024075+0.0072401i,0.0023125+0.002111i,-0.0040253-0.029272i,0.013237-0.0027216i,0.0049598-0.0069892i,0.0028942-0.0037236i,0.0010039-0.0043299i,0.013877-0.016366i,0.00086531-0.0015774i,-0.0035392-0.0035376i,0.0003402+0.00045344i,0.011016-0.0068544i,0.010189-0.0012091i,0.0030064-0.0028388i,0.013524+0.00059188i,0.0032616+0.0046323i,0.0096278+0.0015845i,-0.021734-0.0051149i,-0.016018-0.02076i,-0.0062298-0.01402i,-0.0070979-0.0048058i,-0.022406+0.025912i,-0.0030874-5.1504e-05i,-0.007837-0.0014314i
0.013127+0.0060131i,0.012875+0.0087943i,0.011332+0.010241i,0.0039804+0.022306i,0.016291+0.025197i,0.021923+0.0098852i,0.013421+0.025004i,0.0043899+0.018082i,0.0098566-0.0021644i,-0.0024277-0.0023281i,0.0023116-0.0017436i,-0.0018391-0.0038878i,-0.0014613-0.0035301i,-0.0028756-0.002378i,-0.0021054-0.0005063i,-0.0022744-0.0016053i,-0.0041799+0.0032968i,0.0021197+0.0025846i,0.0010486-0.0013261i,0.0017876-0.00090148i,0.00027213+0.0013548i,0.0017758-0.00057858i,0.0015139-0.0020124i,-0.004149+0.0015491i,0.00018433+6.7159e-05i,0.00084048+0.00073284i,0.00033208+0.001301i,0.00010525+0.00091089i,-0.0011489+0.0020939i,-0.00036813+0.00029338i,-0.0004038+0.002532i,-0.00078124+0.00088987i,-0.0021562+0.00022205i,-0.001886+0.00044784i,-0.00031539+0.0022381i,0.0010696-0.0030197i,0.00070008+0.0018134i,-0.00020324-0.0012877i,0.0025276-0.00011277i,0.0040592+0.00047317i,0.0014622-9.9554e-05i,0.0004944+0.0010446i,-0.0025171+6.9561e-05i,0.0028246-0.00060755i,0.012683-0.0033199i,-0.013493-0.053851i,0.0002288+0.014766i,-0.0156-0.029922i,-0.042568-0.0044456i,0.00010227+0.004535i,0.0057324+0.035133i,0.001034+0.0059546i,-0.0065383-0.0044434i,-0.0064112-0.011393i,-0.034722+0.019184i,-0.0067564+0.0061067i,0.0015244+0.028133i,0.0090758+0.0028314i,-0.0031494+0.0025677i,-0.021004+0.0094487i,-0.00026279+0.008512i,-0.0045289+0.0084751i,0.010968-0.0039781i,0.0084905+0.0079683i,9.9643e-07+0.0068827i,0.0048959+0.0039337i,0.0057079-0.0032615i,0.0077632+0.0039602i,0.0055473+0.00085506i,-0.0052815+0.0008146i,0.0015148-0.0062559i,0.0079319-0.003285i,0.0058482+0.0071891i,0.0037013+0.0002882i,-0.0099183-0.023622i,0.010341-0.0073021i,0.002359-0.0080606i,0.0018903-0.0030489i,0.00013603-0.0049539i,0.0061341-0.017875i,0.00337-0.00072441i,-0.0038072-0.00055201i,0.0030294+0.0016767i,0.0073088-0.0073834i,0.0082593-0.0064071i,0.0012549-0.0033167i,0.010608-0.0065691i,0.003731+0.0016828i,0.0089284-0.0024965i,-0.017092+0.0029982i,-0.027101-0.017587i,-0.0098938-0.018317i,-0.0077608-0.0056688i,-0.014505+0.026343i,-0.00855-0.00068836i,-0.01122-0.00075595i
0.01373+0.0026925i,0.013223+0.0054362i,0.0098212+0.0063496i,0.007749+0.020743i,0.019955+0.020053i,0.022923+0.0057447i,0.017486+0.021244i,0.0071598+0.015429i,0.0089236-0.0032404i,-0.0025346-0.0013368i,0.0014256-0.0026128i,-0.0025192-0.0019859i,-0.0024129-0.0030024i,-0.0030592-0.001291i,-0.0022754+0.00032176i,-0.0020328+2.406e-05i,-0.0019698+0.0047591i,0.0026058+0.001488i,0.00080841-0.0014087i,0.00095667-0.0017262i,0.00055705+0.00095284i,0.0015411-0.0014088i,0.00052025-0.0025331i,-0.002862+0.0020454i,0.00014263-0.00047126i,0.00077093-0.00048406i,0.00085806+0.0005684i,0.00050839+0.0004494i,0.00016584+0.0022204i,0.00032587+0.00035761i,0.00039065+0.0023674i,-0.00036752+0.0010157i,-0.0018585+0.0013636i,-0.0016049+0.001283i,0.00018448+0.0020298i,0.00020768-0.0044145i,0.0013422+0.0011078i,-0.00064225-0.00072058i,0.0016336-0.00085574i,0.0034736-0.00042291i,0.0013416-0.00082041i,0.00074464+0.00049915i,-0.0023209+0.00068403i,0.0010412-9.942e-05i,0.011513-0.005489i,-0.018503-0.039789i,0.0045349+0.0094498i,-0.023159-0.023489i,-0.042473+0.0074212i,0.0025439-0.00037534i,0.014301+0.027097i,0.0032493-0.00044007i,-0.0059334-0.0058304i,-0.0049169-0.011648i,-0.026822+0.026426i,-0.004678+0.0071144i,0.012479+0.022752i,0.0078934-0.00033263i,-0.0040331+0.0060124i,-0.016895+0.017732i,0.0030322+0.0094657i,-0.00081078+0.0093938i,0.0043162-0.0055441i,0.010903+0.004926i,0.0030058+0.007933i,0.0055711+0.0037061i,0.0041324-0.0058198i,0.0048125+0.0033776i,0.003181+0.0016217i,-0.004129+0.0029633i,7.3793e-05-0.0047499i,0.0064792-0.0053805i,0.0092776+0.001711i,0.0036171-0.0019158i,-0.013479-0.021178i,0.0063036-0.010045i,-0.00083354-0.0082442i,0.0027964-0.0029066i,-0.0015222-0.0042568i,0.00056047-0.016541i,0.0042623-0.0030482i,-0.0019484+0.0016421i,0.0052418-0.00012184i,0.0057463-0.0081911i,0.0042116-0.010037i,0.0010853-0.0027553i,0.0046381-0.0091733i,0.0024157-0.00017323i,0.005024-0.0067382i,-0.010713+0.003901i,-0.036263-0.0074477i,-0.015784-0.018472i,-0.0088009-0.006362i,-0.0087917+0.025765i,-0.012418+0.0031683i,-0.010717+0.002909i
0.01366-0.00054314i,0.012843+0.0028377i,0.0079217+0.0045472i,0.011191+0.018077i,0.021729+0.014524i,0.023437+0.0016625i,0.020761+0.016706i,0.0089787+0.012594i,0.008458-0.0047414i,-0.0025871-0.00096758i,-5.4709e-05-0.0028262i,-0.0025061-0.00050821i,-0.0034924-0.0022042i,-0.0029613-0.00067901i,-0.002136+0.0010859i,-0.0013767+0.0011189i,0.00068428+0.0047546i,0.0027918+0.00051202i,0.00019759-0.0016157i,-2.1433e-05-0.001936i,0.0010217+0.00075157i,0.0010865-0.0020901i,-0.00038822-0.0023792i,-0.0024063+0.0016793i,-0.00018075-0.00046854i,-5.3061e-05-0.0010926i,0.00079179-0.00026332i,0.00073685-0.00027596i,0.0012444+0.00153i,0.00064761-0.00028307i,0.0011567+0.0020581i,1.689e-05+0.00091234i,-0.00089016+0.002113i,-0.00095721+0.0017231i,0.0005509+0.0019638i,-0.0014219-0.00526i,0.0014708+3.8952e-05i,-0.00061362-0.00036599i,0.0010989-0.0011407i,0.0028839-0.00073138i,0.00088085-0.001124i,0.00081488+0.00019183i,-0.0019358+0.0010454i,0.00063549+0.0011423i,0.010309-0.0070112i,-0.016709-0.032494i,0.0062125+0.0055349i,-0.026649-0.013623i,-0.035704+0.020978i,-0.0003518-0.0048881i,0.01815+0.018554i,0.0039445-0.0055067i,-0.0052793-0.0063423i,-0.0060254-0.012007i,-0.018659+0.029979i,-0.0035471+0.0075668i,0.01732+0.010528i,0.0064581-0.0028049i,-0.0022772+0.0091909i,-0.0086618+0.023267i,0.0060884+0.0073638i,0.0035829+0.0079552i,0.00167-0.0027336i,0.012498+0.00063037i,0.0060981+0.0075795i,0.0062748+0.0026901i,-0.00096125-0.0084809i,0.0045027+0.0047768i,0.0039348+0.0032852i,-0.0013907+0.005865i,0.00037567-0.0040559i,0.0048055-0.0061989i,0.0094443-0.0035315i,0.0027807-0.003881i,-0.020039-0.019034i,0.0023326-0.010804i,-0.0041133-0.0070616i,0.001618-0.0042246i,-0.0021949-0.0021892i,-0.0025628-0.013479i,0.0027526-0.0052243i,0.00033148+0.001705i,0.0049056-0.003858i,0.0029392-0.0094665i,-0.0021229-0.010291i,0.00092837-0.0037673i,0.00065382-0.0081133i,0.0016051-0.0014677i,-0.00070362-0.0063211i,-0.0077205+0.0034008i,-0.033318+0.0088686i,-0.021898-0.015958i,-0.010432-0.0058311i,-0.0048787+0.025194i,-0.011413+0.0088755i,-0.0065695+0.0038815i
0.012758-0.0035084i,0.012368+0.00084395i,0.0066596+0.0040452i,0.013583+0.014663i,0.022235+0.0099358i,0.023253-0.0027393i,0.02285+0.011654i,0.010186+0.010035i,0.0077374-0.0061325i,-0.0028762-0.00027857i,-0.0012533-0.002191i,-0.0015273+0.00064629i,-0.0042429-0.00088681i,-0.0029976-0.00031091i,-0.0018232+0.0017649i,-0.00056078+0.001663i,0.0025804+0.003558i,0.002617-0.00022686i,-0.0001719-0.0014828i,-0.00082586-0.0015035i,0.0013238+0.00020221i,0.000193-0.002622i,-0.0010554-0.001947i,-0.0025349+0.002033i,-0.00029401-0.00067555i,-0.00096041-0.00096196i,0.00040201-0.0007863i,0.00031841-0.0010516i,0.0016656+0.00028422i,0.00033231-0.0010207i,0.0018319+0.0014268i,0.0003086+0.00085979i,0.00044601+0.0020338i,-0.00022347+0.0018433i,0.0012007+0.001369i,-0.0034859-0.0053489i,0.001174-0.0007085i,-0.00067911-0.000395i,0.00072552-0.0015429i,0.0025285-0.000921i,0.00048913-0.0012164i,0.00093907-0.00017866i,-0.0016764+0.0011145i,0.0011754+0.0015679i,0.0095932-0.0090417i,-0.016991-0.031216i,0.0075112+0.0022801i,-0.02437-0.0053466i,-0.023618+0.029867i,-0.0029707-0.0051131i,0.020457+0.011518i,0.0025308-0.010163i,-0.0044251-0.0079009i,-0.006712-0.010648i,-0.010723+0.032608i,-0.0010132+0.0077216i,0.012173+0.0002825i,0.0036976-0.0051353i,0.0010104+0.010249i,-5.7442e-05+0.023244i,0.0068804+0.004423i,0.0056956+0.0046892i,0.0018931-0.0017324i,0.011998-0.0032811i,0.010357+0.0052183i,0.0069372+0.0023005i,-0.0052909-0.0039924i,0.0062749+0.0050228i,0.0056025+0.0033184i,0.0023507+0.0056157i,-0.00050412-0.0042554i,0.0031367-0.00743i,0.0071846-0.0096292i,-0.00051134-0.0046393i,-0.026926-0.011665i,-0.0010329-0.010427i,-0.0060908-0.0038802i,0.0013584-0.0029995i,-0.0020485-0.0015219i,-0.0041751-0.013155i,0.00022557-0.0065186i,0.0011169+0.00010115i,0.0023282-0.0049306i,0.00039717-0.008931i,-0.0057991-0.0064563i,-0.0011391-0.004559i,-0.0026989-0.0071235i,-0.00026418-0.0020727i,-0.0029141-0.003182i,-0.0044891+0.002987i,-0.0257+0.011043i,-0.022585-0.01146i,-0.01143-0.0052666i,0.00043727+0.02327i,-0.0091935+0.011078i,-0.0051816+0.0025788i
0.011324-0.0060121i,0.01207-0.00068954i,0.0063509+0.0043573i,0.015149+0.011312i,0.022018+0.0059596i,0.021992-0.0069301i,0.023899+0.0065352i,0.011096+0.0076615i,0.006756-0.0077821i,-0.0027671+0.00049041i,-0.0016223-0.0011048i,-0.00052062+0.00057076i,-0.0044261+0.00074925i,-0.0032798+0.00042205i,-0.0012116+0.0023964i,0.00032513+0.0015465i,0.0035446+0.0021777i,0.0024787-0.00094147i,-0.00042732-0.0013857i,-0.0010701-0.00073327i,0.0012771-0.0003859i,-0.00073165-0.0022947i,-0.0014147-0.0013674i,-0.0018077+0.0028573i,-0.00089498-0.0007633i,-0.0014548-0.00041636i,-0.00024987-0.0011396i,-0.00058461-0.0013898i,0.0013295-0.00084055i,-0.00031623-0.0013992i,0.0020216+0.0005772i,0.00066604+0.00056141i,0.00098877+0.0012941i,0.00029051+0.0016822i,0.0012228+0.00077314i,-0.0055538-0.0043665i,0.00049629-0.0013267i,-0.00096584-0.00014663i,-0.00025116-0.0022046i,0.0024355-0.0010012i,0.00018721-0.0011828i,0.00082413-0.00051939i,-0.0015875+0.0011292i,0.0017+0.0015725i,0.0080021-0.011564i,-0.021267-0.029595i,0.0072835-0.0015918i,-0.021909+0.00051959i,-0.010317+0.031598i,-0.0059749-0.0048399i,0.021923+0.0039263i,0.00054332-0.01268i,-0.0053313-0.0096428i,-0.0067051-0.0082883i,-0.0012807+0.033112i,0.0015204+0.0067186i,0.0069519-0.0010905i,0.00070045-0.006002i,0.0053853+0.010425i,0.0070984+0.01956i,0.0061723+0.0015738i,0.0058869+0.00061723i,0.00071276-0.0011935i,0.0095419-0.0078467i,0.012653+0.00059631i,0.0081285+0.001006i,-0.0054999-0.00079771i,0.0081452+0.004448i,0.0073497+0.0029323i,0.0060115+0.0036212i,-0.001501-0.0037922i,0.0013427-0.0083276i,0.0018995-0.011964i,-0.0020335-0.0023901i,-0.030029-0.0013558i,-0.0037583-0.0093695i,-0.0061073-0.00056131i,0.001135-0.0028271i,-0.0023559-0.0012547i,-0.00786-0.012767i,-0.0027992-0.0061171i,0.0016939-0.000367i,0.00050638-0.0054485i,-0.0011604-0.0085765i,-0.0076759-0.0035841i,-0.0035691-0.0030845i,-0.0056563-0.004952i,-0.00089752-0.0018653i,-0.002857-0.0010351i,-0.0020746+0.0019818i,-0.023848+0.012476i,-0.022017-0.0093256i,-0.01303-0.0042065i,0.0022618+0.021961i,-0.0077528+0.01174i,-0.0042432+0.0020956i
0.009518-0.00792i,0.012091-0.0026088i,0.0073547+0.0043481i,0.015937+0.0079951i,0.021956+0.0027637i,0.019977-0.010644i,0.023916+0.0011995i,0.011719+0.0052274i,0.0052935-0.0091819i,-0.0025714+0.0010596i,-0.0016385-0.00053818i,-0.00043782-7.924e-05i,-0.0038558+0.0022986i,-0.0030443+0.0013316i,-0.00034069+0.0026559i,0.00062094+0.0010657i,0.0037712+0.00061843i,0.0018054-0.0017253i,-0.00084-0.0010592i,-0.0008271-0.00023742i,0.0012354-0.00083841i,-0.0011552-0.0018292i,-0.0014582-0.00079967i,-0.00057106+0.002968i,-0.0014315-0.00048615i,-0.001757+0.00023109i,-0.0011857-0.001053i,-0.0014828-0.0010678i,0.00055107-0.00172i,-0.0011045-0.0013581i,0.001884-0.00013931i,0.00065221+0.00022335i,0.0010646+0.0007606i,0.00071151+0.0014888i,0.0011271+0.00048869i,-0.0070229-0.0024736i,-0.00055219-0.0014602i,-0.00094568+0.00025313i,-0.0016408-0.0020697i,0.0023876-0.0012857i,-8.7344e-05-0.0010653i,0.00071102-0.00078219i,-0.0015261+0.0013063i,0.0022565+0.0014642i,0.0051494-0.012946i,-0.026372-0.023169i,0.0060392-0.0045432i,-0.015916+0.0054667i,0.00078998+0.030491i,-0.0075978-0.00096726i,0.021283-0.0043852i,0.00059225-0.015881i,-0.0060263-0.0092787i,-0.0043588-0.0053366i,0.0068929+0.030243i,0.0025169+0.0045446i,0.0037992-0.00183i,-0.0030546-0.0057428i,0.010167+0.007326i,0.0099136+0.014419i,0.0038894+0.00012025i,0.004631-0.0031161i,0.0018213+0.0018636i,0.0044809-0.010355i,0.012316-0.0059513i,0.0087325-0.0013771i,-0.0052725+0.002518i,0.011112+0.0027321i,0.0099963+7.9243e-05i,0.0071922-0.0007445i,-0.0020479-0.0030319i,-0.0011549-0.0083455i,-0.0045757-0.011372i,-0.0014012-0.00047325i,-0.029157+0.0097982i,-0.0058481-0.0081717i,-0.0045972+0.0020832i,0.0011281-0.0048676i,-0.002486+9.189e-05i,-0.012159-0.010043i,-0.0053156-0.0035041i,0.0014123-0.0018543i,-0.0014872-0.0047937i,-0.0033221-0.008i,-0.0077853+0.0012932i,-0.0040783-0.00027286i,-0.0074335-0.0016336i,-0.0021677-0.0026592i,-0.0021444-0.00048001i,-0.00047586+0.0011475i,-0.022142+0.018895i,-0.022734-0.0098825i,-0.012277-0.0023561i,0.0059936+0.020986i,-0.0069143+0.013906i,-0.0026381-3.7745e-05i
0.0077472-0.0092967i,0.011722-0.0046482i,0.0085806+0.0030365i,0.016143+0.0046849i,0.021754-0.00050378i,0.017496-0.013678i,0.022644-0.003718i,0.011949+0.0027793i,0.0036972-0.010153i,-0.002462+0.0016592i,-0.0018511+2.8026e-05i,-0.0010084-0.00019015i,-0.0029353+0.0032806i,-0.0025669+0.0021225i,0.00039286+0.0025354i,0.00033407+0.0007635i,0.0031775-0.00070383i,0.0010635-0.0018965i,-0.00071547-0.00061963i,-0.00043394-4.2106e-05i,0.0011368-0.0013963i,-0.0012758-0.0014677i,-0.0012347-0.00040722i,0.00036767+0.0027796i,-0.0017017-7.4829e-05i,-0.0017693+0.0010631i,-0.0019383-0.00038457i,-0.0019919-0.00029183i,-0.00065905-0.0021216i,-0.0019482-0.00092975i,0.0015372-0.00064486i,0.00056939+3.8652e-05i,0.0011222+0.00025709i,0.0011465+0.001091i,0.00097994+0.00021486i,-0.0076696-0.00014531i,-0.0014625-0.001066i,-0.0008849+0.00033741i,-0.0026806-0.0011447i,0.0023113-0.0018839i,-0.00015391-0.00085688i,0.00053681-0.0011371i,-0.0014186+0.001642i,0.0027562+0.0010202i,0.0027099-0.013118i,-0.026236-0.014661i,0.0033622-0.0063037i,-0.0097664+0.005688i,0.011399+0.026923i,-0.0057527+0.0034931i,0.017255-0.011352i,-0.0018102-0.021484i,-0.0050504-0.0090538i,0.00052658-0.0039459i,0.014062+0.024735i,0.0022423+0.003048i,0.00069572-0.0012943i,-0.0054244-0.0034108i,0.011978+0.0016555i,0.01157+0.011403i,0.00087268+0.0012102i,0.0013137-0.0065225i,0.0057991+0.00078015i,-0.00048917-0.0095878i,0.0078464-0.010044i,0.0080219-0.0041467i,-0.0044387+0.0047571i,0.012856-0.0023547i,0.0092935-0.0055674i,0.0054601-0.0049207i,-0.0025059-0.0024568i,-0.0037616-0.0075957i,-0.0088963-0.0065148i,6.9294e-05-0.00058311i,-0.022784+0.02172i,-0.0081079-0.006182i,-0.0022377+0.0033787i,-0.0016482-0.0053985i,-0.00159+0.0008933i,-0.015642-0.0050641i,-0.0049173-0.00031284i,-6.5868e-05-0.0028968i,-0.0032603-0.0035954i,-0.0053019-0.0061765i,-0.0050672+0.004146i,-0.002745+0.0014849i,-0.0073046+0.0027045i,-0.004481-0.0020081i,-0.0021844-0.00028555i,0.0031696+0.00078677i,-0.011811+0.024127i,-0.026797-0.0080342i,-0.011215-0.0025733i,0.0081161+0.01852i,-0.0041262+0.016199i,-0.0036774-0.0034339i
