-0.023194-0.018548i,-0.032691-0.033382i,-0.022525-0.019641i,-0.032411-0.020531i,-0.023896+0.0042438i,-0.028795-0.017615i,-0.05776-0.044608i,-0.041017-0.042973i,-0.028985-0.0193i,0.0050501+0.0048675i,-0.0040824+0.0065057i,-0.010969+0.011134i,0.0040635+0.0069989i,-0.0039289-0.002608i,0.0028773+0.0016056i,0.0030712+0.027052i,0.023755+0.022766i,-0.00016166+5.1724e-06i,-0.0033127-0.002691i,0.0076058+0.0039584i,0.0020069+0.00056533i,-0.00027927+0.0027743i,-0.00047201+0.0003817i,-0.030287-0.0007142i,-0.0037735-0.0048291i,-0.00019616+0.0024499i,0.0044615-0.0015936i,0.00082345-0.00010856i,-0.00062218-0.00057395i,-0.0012059-0.0018213i,-0.0022795-0.00050773i,-0.0039062-0.0039279i,-0.0023948-0.0057864i,0.00039916-0.0013386i,0.00047218-0.0029637i,-0.0020027+0.026113i,0.0017499-0.0032433i,0.0021501-0.0038322i,0.0040488-0.0023082i,-0.0069257-0.00048639i,0.0004761+0.0013057i,0.0043506-0.0098009i,-0.0020787+0.0004357i,-0.0031071+0.0011244i,-0.0097861-0.0032096i,-0.018841+0.021574i,-0.0081858-0.086664i,-0.001956-0.061275i,-0.021438-0.053979i,-0.01134-0.045874i,0.053741-0.027343i,0.023889-0.067085i,0.041398-0.053924i,0.019056-0.039807i,0.026259-0.020056i,0.012211+0.011953i,0.025186-0.028559i,-0.011475-0.00019999i,-0.0014989-0.001246i,-0.008045-0.0017021i,-0.0044986-0.029105i,-0.021586+0.026337i,0.007696-0.0094368i,-0.010629-0.0033455i,-0.0027048-0.0017918i,-0.00058624-0.01464i,-0.0085305+0.0053769i,0.0059246+0.011023i,-0.0096127+0.029625i,0.0065637+0.0076279i,-0.0034025-0.0017932i,-0.0023735-0.0013817i,-0.012218-0.0054875i,0.00075023-0.0046193i,-0.032133+0.0037902i,0.0033902-0.0088362i,-0.0070944-0.0021108i,-0.0052672-0.003072i,0.0068886+0.0015026i,-0.010241+0.00017182i,0.0025818-0.00026399i,0.0063263+0.0077098i,0.0057493+0.0010258i,-0.0078435-0.0095792i,0.0028627+0.0079861i,-0.018718+0.0073191i,0.0032604+0.0059124i,-0.021231-0.0087023i,-0.026871-0.0051024i,0.0090786-0.060884i,0.019041-0.014389i,-0.051838-0.028265i,-0.02203+0.0035331i,0.018842+0.010421i,-0.02713+0.011506i,-0.01265-0.0071872i
-0.011491+0.01381i,-0.021521+0.042194i,0.0014596+0.040423i,-0.010285+0.024975i,-0.00019461+0.021064i,0.0019041+0.023159i,-0.025418+0.014871i,-0.025524+0.032317i,0.00028692+0.017974i,-0.0011356-0.0011904i,-0.00090821+0.0017199i,0.0043783+0.0035102i,0.0032945+0.0048521i,-0.0031313+0.0017674i,-0.0030047+0.0036506i,-0.00011825-0.0075931i,-0.0091692+0.0017528i,-0.0020746+0.00039354i,0.00010829-0.0011424i,-0.00098147-0.00048557i,0.00053679-0.0032491i,0.0012093-0.0028245i,0.0010136-0.0015128i,-0.0092514-0.0081841i,-0.00011805-0.00032663i,-0.0014346+0.00042821i,-0.002524-2.3755e-06i,-0.0027008+2.6895e-05i,-0.00093762-0.00095511i,0.00096034-0.00074203i,-0.0017168+0.00024235i,0.0016478-4.0954e-05i,0.0014884-0.00072068i,0.00052953+0.0005474i,-0.00041473+0.0019328i,-0.00031625-0.0071409i,-0.0014451+0.0010577i,0.0018047+2.7325e-05i,0.001316+0.0032892i,0.0048683+0.0050362i,0.0013311-0.001523i,-0.001539-0.0010812i,-0.0012537-0.002377i,0.0026512+0.0057787i,-0.0078393+0.0078131i,0.019528-0.058304i,-0.074497+0.014745i,-0.027635-0.018429i,-0.061326-0.047565i,-0.053498-0.016828i,-0.08651+0.0029893i,-0.073292+0.0013195i,-0.045907-0.035749i,-0.0087195-0.045248i,-0.038031-0.026222i,-0.0061251+0.00029123i,-0.030849+0.0098058i,0.0073114+0.011741i,0.0094669+0.0075697i,0.0018382-0.0082218i,0.01066+0.0033554i,-0.011038-0.0026239i,0.0025428+0.012009i,0.0019321+0.007113i,8.033e-05-0.0014382i,0.0053723+0.0019912i,0.0037558+0.00074316i,-0.0051254+0.019701i,0.0003929+0.0083644i,0.00066899-0.0043866i,0.0080299-0.0058399i,0.0011979+0.0042507i,-0.0084689-0.0068775i,-0.002802-0.00084464i,0.019788-0.030936i,0.0054166+0.0090047i,0.0018235+0.0026944i,-0.0019143+0.0039691i,0.0025907-0.0040834i,0.019289+0.0025713i,0.0012292-0.0020846i,-0.0025243-0.0065055i,-0.00086108-0.001919i,0.011085+0.0043404i,0.0053212-0.00058338i,0.003951-0.0080375i,0.0048788+0.0047524i,-0.0062235+0.0035536i,0.013652+0.0067486i,-0.043036-0.038689i,-0.011787+0.0049105i,-0.0021793-0.0015217i,1.6124e-05+0.0016108i,-0.040907+0.011348i,-0.006872+0.0088166i,-0.013784+0.0034347i
-0.0086514+0.014641i,-0.014063+0.042794i,0.01055+0.034192i,-0.0053079+0.025703i,0.0027082+0.018741i,0.0061407+0.021789i,-0.024391+0.019312i,-0.018088+0.034542i,0.0044214+0.012461i,-0.0015602-0.00046041i,-4.9679e-05+0.0028937i,0.0049396+0.0011388i,0.0041615+0.0029517i,-0.0016286+0.002831i,-0.0022015+0.0046865i,-0.0045231-0.005275i,-0.0087287+0.0067198i,-0.0015832+0.0010266i,0.00089953-0.00064964i,-0.00047978-4.8513e-05i,-0.00019726-0.0031231i,0.00099332-0.0022155i,0.00082159-0.0013933i,-0.010846-0.0050032i,0.00014819-0.00023538i,-0.0013416+0.00079104i,-0.0017551+0.00094578i,-0.0022452+0.0007452i,-0.0012192-0.00076716i,0.0009061-0.00082798i,-0.0014541+0.0011074i,0.0011812-0.00040585i,0.0015633-0.0015439i,0.00013928+0.00041128i,-0.00077065+0.0014807i,-0.00034623-0.0059643i,-0.00086474+0.0011373i,0.00085433-0.00051405i,0.0016049+0.0021693i,0.0056825+0.0023278i,0.00078951-0.0020639i,-0.0022851-0.00091197i,-0.0025839-0.0015748i,0.0041001+0.0050598i,-0.0055235+0.0059632i,0.0012482-0.067657i,-0.065226+0.028893i,-0.034595-0.021038i,-0.074246-0.038518i,-0.053441-0.0052265i,-0.078336+0.020625i,-0.071238+0.015728i,-0.040493-0.034098i,-0.01431-0.043457i,-0.045355-0.010878i,-0.0070672+0.00017042i,-0.024759+0.022808i,0.0099242+0.0063673i,0.011595+0.001243i,-0.0042379-0.01316i,0.0068251+0.002667i,-0.010397+0.0031337i,0.0075379+0.010152i,0.0044318+0.0077857i,-0.00071597-0.0010349i,0.006419+0.0024668i,0.0048747+0.00063755i,0.0040898+0.016945i,0.0038417+0.0042636i,-0.003636-0.0057398i,0.0021019-0.00677i,0.0030615+0.0050586i,-0.010864+0.00084082i,-0.0022889+0.0018546i,0.0065229-0.030988i,0.0084283+0.0075494i,0.0041515+0.0019022i,0.0016525+0.0026052i,-0.00036146-0.0017475i,0.017124-0.0063871i,-0.00026373-0.0025168i,-0.0056996-0.0042613i,-0.0032286-0.00045538i,0.010205+0.00025753i,0.0044368-0.00022267i,0.00072936-0.0063692i,0.0064518+0.0032493i,-0.005772+0.0057205i,0.013463+0.0017854i,-0.050103-0.032411i,-0.006048-0.004829i,-0.0032047-0.0031187i,0.00073174+0.00011636i,-0.034373+0.024035i,-0.0046781+0.0097581i,-0.011234+0.0051844i
-0.0054334+0.01466i,-0.0073165+0.043033i,0.01534+0.026608i,-0.00056828+0.024518i,0.0063044+0.01754i,0.010028+0.019271i,-0.021317+0.023892i,-0.010862+0.033673i,0.0038661+0.0077357i,-0.0017349+0.00060792i,0.00178+0.0032785i,0.0023698-0.00026845i,0.0043499+0.0017268i,-0.00073856+0.0029635i,-0.00081778+0.0055185i,-0.0073106-0.0007528i,-0.0057482+0.010047i,-0.00073078+0.001605i,0.0014247-0.0018019i,0.00018029-0.00035632i,-0.0010571-0.0029697i,0.00095678-0.0028757i,0.00081217-0.00161i,-0.01197-0.0019432i,-3.9221e-05-0.00029806i,-0.00091522+0.0014235i,-0.00091897+0.00078785i,-0.0014248+0.0016046i,-0.0013555-0.00056091i,0.00049005-0.0013495i,-0.00076086+0.0015316i,0.00067908-0.00066926i,0.00028455-0.0013107i,0.00049789+0.00025268i,-0.00033528+0.0024389i,-6.6515e-05-0.0063334i,-0.00079504+0.0011321i,0.00023829-0.00059669i,0.0030208+0.00057288i,0.0050664+0.00029519i,0.00015704-0.0021302i,-0.0016697+0.00034458i,-0.0035767-0.0003227i,0.0051356+0.0031102i,-0.0048602+0.0044449i,-0.020934-0.067858i,-0.051535+0.038365i,-0.042885-0.01814i,-0.082101-0.023627i,-0.048618+0.0035233i,-0.063626+0.032437i,-0.058845+0.028582i,-0.044718-0.035657i,-0.019556-0.042648i,-0.043883+0.004015i,-0.0073865+0.0015036i,-0.012645+0.028972i,0.010602+0.0016137i,0.0083698-0.0047171i,-0.015704-0.011683i,0.0067786+0.0011074i,-0.0069433+0.0065286i,0.010488+0.0050768i,0.0062765+0.0068932i,-0.0028234+0.00050968i,0.0068273-0.0012543i,0.006217-0.0018329i,0.007747+0.010981i,0.0034374+0.0013086i,-0.0083447-0.0023384i,-0.00029033-0.0048593i,0.0060134+0.0038813i,-0.0059162+0.0092154i,0.00016025+0.0028188i,-0.0035635-0.028815i,0.01198+0.0033832i,0.0041301-1.2098e-06i,0.0024331+0.0012019i,0.00053473+0.00021217i,0.011055-0.011295i,-0.0023701+0.00047529i,-0.006801-0.0006429i,-0.0034579+0.0029814i,0.0070765-0.0021734i,0.0070349-0.0016873i,0.0003422-0.0059862i,0.0090573+0.00050879i,-0.002544+0.0067645i,0.011888-0.0024402i,-0.055131-0.021404i,-0.011347-0.014681i,-0.0013966-0.0039104i,0.0014478-0.0022129i,-0.023924+0.029437i,-0.0033842+0.0059431i,-0.0079394+0.0015699i
-0.0024888+0.013481i,-6.4821e-05+0.04303i,0.017491+0.019639i,0.0041448+0.023248i,0.010407+0.014108i,0.013345+0.015834i,-0.016439+0.027718i,-0.0063395+0.031375i,0.0028942+0.0060542i,-0.0011195+0.0016266i,0.0030555+0.0020285i,0.0012075+0.0014435i,0.0042276+0.00059753i,-0.0006007+0.0035907i,0.00068675+0.0056243i,-0.0067425+0.0047716i,-0.00081739+0.011597i,0.00016349+0.0013358i,0.0005769-0.0022006i,-2.5383e-05-0.0010333i,-0.0018017-0.0023768i,0.00029338-0.0031007i,0.00050021-0.0022216i,-0.011828+0.0021015i,-3.2229e-05-0.00041649i,0.00022672+0.0011372i,-0.00076472+0.00031646i,-0.00034254+0.0014261i,-0.0016259+0.00012817i,-0.00024278-0.0012056i,-0.00014626+0.0014472i,0.00015737-0.00075969i,-0.00020555-0.001013i,0.00054639+3.4052e-05i,0.00099268+0.0022336i,-0.0012106-0.0081689i,-0.00027958+0.0014477i,-0.00038106-0.00042499i,0.001401-0.00090859i,0.0044547-0.00094401i,-0.00035679-0.0022118i,-0.00086551+0.00029905i,-0.0036658+0.0014774i,0.0046347+0.00075382i,-0.0051432+0.0040311i,-0.039867-0.056259i,-0.037671+0.040527i,-0.04978-0.011017i,-0.085769-0.0080765i,-0.04245+0.0084552i,-0.050517+0.036642i,-0.045427+0.03168i,-0.050081-0.030045i,-0.025033-0.038338i,-0.039015+0.014631i,-0.0076705+0.0030212i,-0.00079028+0.028991i,0.0097551-0.0030323i,0.0030013-0.0064882i,-0.022954-0.0014372i,0.0043025+0.00039612i,-0.0032526+0.0072218i,0.0094197-0.0010769i,0.0081831+0.0053139i,-0.0025923+0.0031783i,0.003777-0.00236i,0.0055573-0.0059895i,0.0081007+0.0053852i,0.00089607-5.3659e-05i,-0.0088497+0.0018024i,-0.0017119-0.0034932i,0.0071538+0.0013142i,0.0032187+0.0094654i,0.0015776+0.0017013i,-0.0091805-0.023367i,0.011914-0.0012028i,0.0035678-0.0012555i,0.0028944+0.0015771i,0.0010496+2.2694e-05i,0.0056085-0.011183i,0.00020122+0.0024668i,-0.0062127+0.0026768i,-0.00083627+0.0046849i,0.0050337-0.0020694i,0.006945-0.0058902i,-0.0017987-0.0053575i,0.0079779-0.0050512i,-0.00058344+0.0057139i,0.0099863-0.0065351i,-0.053427-0.0088066i,-0.022799-0.015891i,-0.0022582-0.0076655i,0.00099489-0.0053912i,-0.015428+0.030926i,-0.0063843+0.0044492i,-0.010649-0.000136i
-0.00079397+0.012115i,0.0065819+0.041008i,0.017032+0.013927i,0.008601+0.020436i,0.012797+0.0095054i,0.015203+0.012038i,-0.010396+0.02953i,-0.00311+0.030094i,0.00307+0.0053886i,1.3173e-05+0.0020316i,0.0031974+0.0010098i,0.002063+0.0023973i,0.003874-0.00035371i,0.0010491+0.0045276i,0.0021846+0.0053467i,-0.0033834+0.0082604i,0.0041855+0.010597i,0.00061431+0.0010338i,0.00030595-0.002149i,-0.00063169-0.0011644i,-0.0026038-0.0017172i,-0.00051702-0.002931i,-0.00042268-0.0024472i,-0.0092756+0.0052024i,-0.00018792-0.0010112i,0.00017378+0.00017253i,-0.00083969+0.00030516i,0.00015249+0.00089992i,-0.001282+0.0010849i,-0.00026289-0.00072747i,0.00035367+0.0014307i,-5.7076e-05-0.00096478i,-0.0007117-0.00049451i,0.00035887-8.2918e-05i,0.0012357+0.0013967i,-0.0039771-0.0087993i,1.1058e-06+0.0013393i,-0.00038325+0.00025382i,0.0004299-0.0010401i,0.0036086-0.0013193i,-0.0010316-0.0021791i,-0.00065214+0.0002998i,-0.0026057+0.0028498i,0.0036302+0.00094694i,-0.0048746+0.0046863i,-0.046984-0.039154i,-0.027673+0.03838i,-0.054745-0.0010352i,-0.086813+0.0086394i,-0.038373+0.009337i,-0.039135+0.03808i,-0.035795+0.031813i,-0.052291-0.023715i,-0.027497-0.034409i,-0.032253+0.024858i,-0.007026+0.0047564i,0.011751+0.024946i,0.0074465-0.0062136i,-0.0015623-0.0053775i,-0.022411+0.0094361i,0.0037072+0.00094525i,7.2655e-05+0.0075086i,0.004214-0.0033975i,0.009934+0.0025551i,-0.0012225+0.0048508i,0.0017829-0.0013972i,0.0030462-0.00892i,0.0048098+0.0020859i,-0.00094907+0.0015219i,-0.0081257+0.00692i,-0.002782-0.0013947i,0.0070087-0.0014871i,0.0066123+0.004896i,0.0020766+0.00091561i,-0.011341-0.020017i,0.010009-0.005476i,0.0026185-0.0021864i,0.0056147-0.00029995i,0.0012483+3.3028e-06i,0.0028741-0.009759i,0.0022964+0.0016028i,-0.0037626+0.005652i,0.0021832+0.0040908i,0.0048171-0.0019713i,0.0034382-0.01055i,-0.0025637-0.0038419i,0.0036042-0.0078789i,-0.00014078+0.0046662i,0.0052737-0.0102i,-0.047427-0.0024407i,-0.033356-0.0069968i,-0.0057071-0.00956i,-0.00039876-0.0086056i,-0.0078974+0.029984i,-0.0098574+0.0066894i,-0.011919+0.0024807i
0.00056994+0.0111i,0.012426+0.038629i,0.016104+0.011104i,0.011821+0.016473i,0.012854+0.0047099i,0.016521+0.0087041i,-0.0039295+0.029062i,0.00013805+0.029429i,0.0034287+0.0035493i,0.0006745+0.0013938i,0.0027208+0.0002052i,0.0030167+0.0024678i,0.0033198-0.0011818i,0.0027721+0.0036736i,0.0033499+0.0045747i,0.00060536+0.0092809i,0.0080122+0.00734i,0.00097634+0.00076619i,-0.00030745-0.0023745i,-0.0012097-0.0010087i,-0.0027044-0.00056514i,-0.00095065-0.0026694i,-0.0010857-0.0019962i,-0.0073543+0.0059947i,-0.0008603+5.8985e-06i,-0.00022758-7.9455e-05i,-0.00089317+0.0003143i,0.00039267+0.00025225i,-0.00034111+0.001189i,-0.00020277-0.00068961i,0.00082275+0.0012851i,-0.00056679-0.0010207i,-0.00070186-3.1535e-05i,0.00010458-0.00021307i,0.0013908+0.0013734i,-0.0063317-0.008179i,-2.622e-06+0.0010213i,0.00011167+0.00026501i,-0.00013386-0.00084444i,0.0030022-0.0016854i,-0.0016707-0.0014822i,-0.00061328+0.00036187i,-0.001033+0.0034147i,0.003943+0.0013103i,-0.0039268+0.005632i,-0.045204-0.027262i,-0.020629+0.036045i,-0.055205+0.01246i,-0.081918+0.02857i,-0.039112+0.010052i,-0.029987+0.036808i,-0.02742+0.030856i,-0.051892-0.016333i,-0.030576-0.031341i,-0.023006+0.030087i,-0.0064858+0.0066441i,0.018717+0.0111i,0.0047951-0.0086563i,-0.0047335-0.0019058i,-0.016529+0.017746i,0.0042997-0.00019286i,0.0039585+0.0055563i,0.0011882-0.001539i,0.011402-0.0017992i,0.00076478+0.0064189i,0.0011625-0.00057262i,-0.0025047-0.011011i,0.0032074+0.0036785i,-0.00057886+0.0039261i,-0.0023228+0.011388i,-0.0016786+0.00057806i,0.0056917-0.0031277i,0.0078232+0.0010059i,0.0029593-0.0005639i,-0.018213-0.019095i,0.0063275-0.0079002i,0.0010034-0.0026796i,0.0033978-0.0023903i,0.0010497+0.00073869i,0.0019524-0.0079791i,0.0029231+0.00016962i,-0.00068583+0.0066588i,0.0034144+0.0017128i,0.003987-0.00315i,-0.0029161-0.01036i,-0.0031233-0.0035478i,-0.00067991-0.0068652i,0.00075406+0.0034433i,-0.00076738-0.010175i,-0.044663+0.0020734i,-0.031264+0.0077178i,-0.0093306-0.0094422i,-0.0035827-0.010431i,-0.0034402+0.027918i,-0.0086667+0.011835i,-0.0085526+0.0037686i
0.0018588+0.010027i,0.018092+0.035919i,0.016204+0.0090553i,0.013318+0.012143i,0.011401+0.001423i,0.017509+0.0051309i,0.0015564+0.027197i,0.0036311+0.028904i,0.0034379+0.0025036i,0.00070509+0.0011677i,0.0022436+0.00029567i,0.0045386+0.0023028i,0.0024685-0.0016895i,0.0035709+0.0019469i,0.0041131+0.0036277i,0.0040377+0.008702i,0.0096107+0.002736i,0.0013127+0.0005388i,-0.00093321-0.0023616i,-0.0015713-0.00042387i,-0.0022099+0.00027522i,-0.0015775-0.0025434i,-0.0014382-0.0015131i,-0.0063047+0.00777i,-0.0008886+2.5212e-06i,-0.00061304+0.0002421i,-0.00069877+0.0005849i,-0.00017387-0.00023302i,-8.9991e-05+0.0008198i,-0.00037412-0.00077099i,0.0012331+0.00089289i,-0.00065502-0.00045215i,-0.00031362+8.1871e-05i,-3.2796e-05-0.00017279i,0.0018904+0.00042291i,-0.0091456-0.006778i,8.1e-05+0.00036095i,7.4085e-05-0.00014986i,-0.00043447-0.00057116i,0.0024148-0.0021006i,-0.0015265-0.00076702i,-0.00025693+0.00053463i,0.00012739+0.002929i,0.00429+0.00046052i,-0.0022729+0.0058512i,-0.043877-0.022567i,-0.015482+0.03462i,-0.049403+0.02454i,-0.070494+0.045008i,-0.039508+0.015602i,-0.022951+0.035821i,-0.021617+0.028264i,-0.050628-0.011461i,-0.032928-0.026696i,-0.014694+0.032476i,-0.0038808+0.0074032i,0.013171-0.0020683i,0.00092879-0.010845i,-0.0048252+0.0011946i,-0.0092262+0.020341i,0.003004-0.0019857i,0.0047495+0.0017562i,0.0017663-0.00025408i,0.0097636-0.0055025i,0.0045448+0.0062483i,0.0012097+0.0011458i,-0.0082265-0.0057457i,0.0040831+0.0049418i,0.0014317+0.0054379i,0.0035822+0.010757i,-0.0009136+0.00095388i,0.004477-0.0044739i,0.0074852-0.0043964i,0.0016587-0.0015177i,-0.025262-0.011665i,0.0033497-0.008449i,-0.00030208-0.0017705i,0.0041418-0.001081i,0.0015683+0.0006165i,0.0022788-0.0091694i,0.0023304-0.0013994i,0.0018788+0.0054289i,0.0030903+0.00072581i,0.0032652-0.0028085i,-0.0062737-0.0066158i,-0.0046483-0.0028143i,-0.0023345-0.0059902i,0.00057468+0.0021258i,-0.0044341-0.0074585i,-0.041122+0.0071845i,-0.024854+0.010515i,-0.0090723-0.0083713i,-0.0065435-0.010346i,0.001245+0.025093i,-0.0067545+0.012958i,-0.0080787+0.0029507i
0.0028902+0.0088321i,0.023527+0.032554i,0.01733+0.0072552i,0.013524+0.0087074i,0.0094828-0.00054612i,0.017642+0.001642i,0.0061263+0.024612i,0.0082259+0.028243i,0.0037068+0.0012503i,0.00089079+0.0010587i,0.0026239+0.00052067i,0.0060006+0.00040657i,0.0016589-0.0017243i,0.0029198+0.00084955i,0.0047568+0.002791i,0.0069276+0.0061125i,0.0083481-0.00083735i,0.0016753-0.00015411i,-0.0016842-0.0021641i,-0.0014458+0.00050913i,-0.0014624+0.00081289i,-0.0021367-0.0017607i,-0.0016147-0.0010814i,-0.0031525+0.0093107i,-0.00078861+0.00039331i,-0.000401+0.00067474i,-0.00065556+0.0011479i,-0.00098835-8.4764e-06i,1.6282e-05+0.00076603i,-0.00056985-0.00067566i,0.0017422+0.00042227i,-0.000326-0.00044678i,-0.00053362+7.3223e-05i,-0.00016633-0.00013737i,0.0014993-0.00044991i,-0.011198-0.0037745i,0.00054145+0.00030961i,-0.00014577-0.00013518i,-0.00081955-0.00037015i,0.0018377-0.0023311i,-0.0011686-0.00059826i,-7.3127e-06+0.00033711i,0.00059524+0.0022961i,0.0041634-8.8582e-05i,-0.00080081+0.0049874i,-0.046262-0.018949i,-0.011162+0.032923i,-0.041883+0.033738i,-0.055226+0.055467i,-0.038542+0.021163i,-0.015983+0.033717i,-0.017238+0.026842i,-0.049583-0.0077013i,-0.034106-0.02111i,-0.00671+0.033695i,-0.0019603+0.006788i,0.0057557-0.0044402i,-0.0036053-0.010974i,-0.0031825+0.0044367i,-0.0024418+0.018677i,0.00042748-0.0028425i,0.0028566-0.00081008i,0.0014139+9.6724e-05i,0.0069377-0.0087433i,0.0079164+0.0035588i,0.0024903+0.0016609i,-0.0090045-0.0013237i,0.0058357+0.0057479i,0.0041374+0.0058474i,0.0086447+0.0089362i,-0.00036112+0.0015167i,0.0037499-0.0054892i,0.0044071-0.0069559i,0.00091809-0.00053182i,-0.028624-0.003403i,0.0010036-0.0082304i,-0.00033476-0.00051237i,0.0052701-0.0010702i,0.0020044+0.00016303i,0.00091646-0.011523i,0.00052618-0.0017279i,0.0036318+0.0041277i,0.0033465-0.00010556i,0.0041482-0.0033583i,-0.0078336-0.0036903i,-0.006307-0.0004007i,-0.0059333-0.0049071i,0.00024206+0.0012934i,-0.005991-0.0046493i,-0.037473+0.010629i,-0.022356+0.011779i,-0.0088688-0.010268i,-0.0089974-0.0095932i,0.0026173+0.022926i,-0.0061469+0.013215i,-0.007334+0.0032988i
0.0039884+0.0078247i,0.029265+0.027846i,0.019151+0.0043117i,0.013337+0.0061169i,0.0082418-0.0010056i,0.017228-0.0015384i,0.0095939+0.020835i,0.012867+0.02602i,0.0036926-0.00028074i,0.00099931+0.00076616i,0.0029909-0.00022404i,0.0054197-0.0023581i,0.0011438-0.0015595i,0.0026642+0.00042695i,0.0053999+0.0016184i,0.0075371+0.0029041i,0.0065178-0.0023252i,0.0011314-0.00094074i,-0.002497-0.0014979i,-0.00069556+0.00093023i,-0.00061106+0.00081226i,-0.0021377-0.0011791i,-0.0017676-0.00060403i,0.00025764+0.0090696i,-0.00049486+0.00053826i,-7.4156e-05+0.00067209i,-0.00011328+0.0014963i,-0.0011685+0.00066686i,0.00034328+0.00039246i,-0.00072533-0.00059945i,0.0016338-0.00042847i,-0.00063678-0.00042599i,-0.00070412+0.00026969i,-0.00031385-2.6425e-06i,0.00082553-0.00082243i,-0.011902-0.00014i,0.00062302+0.0001981i,-0.00013184-1.1638e-05i,-0.0010703-4.4113e-05i,0.0014255-0.0024462i,-0.0015909-0.0014356i,3.0317e-05+7.2089e-05i,0.00080186+0.0017972i,0.0040056-0.00067371i,-0.00014652+0.0039367i,-0.051061-0.012166i,-0.0073385+0.031107i,-0.031096+0.03931i,-0.040253+0.061906i,-0.036302+0.029378i,-0.0096364+0.029999i,-0.01088+0.024485i,-0.048793-0.003169i,-0.03306-0.015138i,0.0010546+0.033275i,-0.0014217+0.005983i,0.00058704-0.0050299i,-0.0082429-0.0096601i,0.00071007+0.0052138i,0.0019312+0.016033i,-0.0026412-0.0019319i,0.0078799-0.0032172i,0.00274+0.0019206i,0.0024-0.010525i,0.0090704-0.0010201i,0.003638+0.0010236i,-0.0090779+0.0035379i,0.009241+0.0051239i,0.0077965+0.0039192i,0.012326+0.0034554i,0.00063389+0.0020927i,0.0021126-0.0063143i,-0.0004285-0.008533i,0.0017945+0.00069832i,-0.03029+0.0035039i,-0.0013334-0.0082434i,0.00034916+0.00059569i,0.0057324-0.0047217i,0.0026088-0.00029697i,-0.0040019-0.013183i,-0.00049716-0.00082024i,0.0046622+0.00235i,0.0033033-0.0006837i,0.0038542-0.0047338i,-0.0082804+0.00065475i,-0.0060475+0.0030611i,-0.0081565-0.00084712i,-0.00073791+0.00015194i,-0.0061207-0.002246i,-0.034525+0.013448i,-0.020944+0.016527i,-0.011344-0.014124i,-0.0091008-0.0086828i,0.005007+0.021629i,-0.0061779+0.01591i,-0.0053831+0.0021271i
0.0050267+0.0063901i,0.033713+0.021623i,0.020072+8.0277e-05i,0.013106+0.0039999i,0.0079357-0.001294i,0.0166-0.0044507i,0.011579+0.017021i,0.017251+0.022863i,0.0030136-0.0018811i,0.00091138+0.00072329i,0.0027487-0.00094407i,0.0032732-0.0038307i,0.00073188-0.0014006i,0.0023677-2.1442e-06i,0.0055328+0.00020182i,0.0065272+0.00079586i,0.0052663-0.0026349i,0.00060018-0.001113i,-0.0026667-0.00061429i,2.5367e-05+0.00089183i,0.00016407+0.00044355i,-0.0020303-0.00085485i,-0.0015969-0.00021195i,0.0030144+0.0084736i,-0.00027727+0.0004916i,6.1618e-05+0.00065679i,0.00049665+0.0012125i,-0.00098078+0.0010818i,0.00024562-0.00013335i,-0.0010407-0.00036116i,0.0011597-0.00091831i,-0.00093573-8.9946e-05i,-0.00037678+0.00068689i,-0.00034101+0.00023922i,0.00039486-0.00098252i,-0.011209+0.0033772i,0.00040137+0.00027286i,-0.00014684-8.7009e-05i,-0.0011097+0.00065129i,0.0009918-0.0028749i,-0.00061243+0.00037836i,-0.00011698-0.00025196i,0.00096539+0.0015235i,0.0038349-0.0014486i,0.00019463+0.0032505i,-0.053193-0.0010365i,-0.0050053+0.029467i,-0.021495+0.040353i,-0.024154+0.065993i,-0.029447+0.038227i,-0.0060974+0.024547i,-0.0072201+0.01848i,-0.046514+0.00092338i,-0.030048-0.0097696i,0.0091113+0.030182i,-0.00084317+0.0062568i,-0.0050146-0.0031618i,-0.011926-0.0062598i,0.0033668+0.0030411i,0.0043939+0.013718i,-0.0058538+0.00059106i,0.00014526-0.0077767i,0.0053253+0.00062318i,-0.0025442-0.009446i,0.0071078-0.0046167i,0.00461-0.00051658i,-0.0071136+0.0073621i,0.012156+0.00087122i,0.0090259-0.00076063i,0.011704-0.0041644i,0.0021349+0.0018533i,7.125e-06-0.0063752i,-0.0040181-0.0053092i,0.003292-0.00050284i,-0.016296+0.019675i,-0.003255-0.0068234i,0.0017806+0.00091228i,0.0023064-0.0063495i,0.0028388-0.00068827i,-0.0098027-0.010791i,-4.5167e-05+0.00064642i,0.0048779-6.9422e-05i,0.0028829-0.0014753i,0.002502-0.0055878i,-0.0065089+0.0045325i,-0.0036534+0.0053871i,-0.0076243+0.003934i,-0.0028369+0.00016449i,-0.0057286-0.00093789i,-0.030507+0.017928i,-0.012081+0.02031i,-0.017261-0.015108i,-0.0096931-0.0093329i,0.0058578+0.020069i,-0.0030374+0.01927i,-0.0051592-0.0012239i
