-0.022987-0.019309i,-0.031456-0.034484i,-0.022871-0.020056i,-0.032114-0.020528i,-0.024128+0.0040181i,-0.029028-0.018104i,-0.055538-0.048156i,-0.040193-0.044373i,-0.030837-0.016346i,0.0054547+0.0054682i,-0.003606+0.0060383i,-0.01052+0.011596i,0.0036468+0.007236i,-0.0037901-0.0025263i,0.0029136+0.0018874i,0.0022249+0.028684i,0.020308+0.021044i,-0.00013133+0.00021101i,-0.0031554-0.0027654i,0.0075658+0.0038137i,0.0019716+0.00042542i,-0.00033106+0.0022453i,-0.00061689+0.000252i,-0.029751-0.0022014i,-0.0033564-0.0048516i,-9.9238e-05+0.0025657i,0.0051441-0.0015299i,0.00071129+5.688e-05i,-0.0006158-0.00042235i,-0.0011908-0.0018508i,-0.0023726-0.0003849i,-0.0036376-0.0042179i,-0.0025005-0.0041919i,0.00066681-0.0015627i,0.00048543-0.0027636i,-0.005074+0.025392i,0.0017511-0.0032827i,0.0023761-0.0038398i,0.004332-0.0025004i,-0.0069295-0.001151i,0.00043441+0.00144i,0.0038585-0.0053567i,-0.0021044+0.00033638i,-0.0031657+0.0010818i,-0.0087176-0.0036891i,-0.018083+0.021692i,-0.0079525-0.086773i,-0.0025306-0.06133i,-0.020734-0.054194i,-0.011427-0.045782i,0.053605-0.026997i,0.024101-0.067486i,0.039857-0.054026i,0.019427-0.040116i,0.02565-0.020028i,0.012209+0.012091i,0.024805-0.028373i,-0.011287-0.00073469i,-0.0014065-0.00070324i,-0.0088543-0.0014781i,-0.0044194-0.029629i,-0.021596+0.026387i,0.0077333-0.00942i,-0.010864-0.0031501i,-0.0026027-0.0018925i,-0.00090282-0.014356i,-0.0088324+0.0049589i,0.0063111+0.01068i,-0.011672+0.029808i,0.0065091+0.0076602i,-0.003528-0.0013523i,-0.0022061-0.0015271i,-0.012325-0.0053129i,0.00069002-0.0044669i,-0.03354+0.0044781i,0.0034203-0.0088304i,-0.0073344-0.0021899i,-0.0050048-0.0031674i,0.006636+0.0018926i,-0.01075+0.00052308i,0.0023711-0.00019364i,0.006051+0.0073263i,0.0056074+0.0013634i,-0.0075173-0.0094582i,0.0029608+0.0077329i,-0.020284+0.0092153i,0.0030919+0.0056279i,-0.02125-0.0092165i,-0.026876-0.0052302i,0.01095-0.060697i,0.01931-0.015098i,-0.049917-0.028235i,-0.021941+0.0017084i,0.019044+0.010276i,-0.027159+0.011762i,-0.012278-0.0077528i
0.00033009+0.011178i,0.011746+0.0398i,0.016222+0.011345i,0.011906+0.016603i,0.012949+0.0050918i,0.016687+0.0091328i,-0.004429+0.029348i,-0.0010497+0.02887i,0.0030353+0.0038984i,0.00085702+0.0013579i,0.0026401+0.0004642i,0.0030629+0.0025324i,0.0034457-0.0012034i,0.0026859+0.0036551i,0.0033312+0.0048312i,0.00027821+0.0085879i,0.0067939+0.0089013i,0.00095753+0.00075952i,-0.00030479-0.0024679i,-0.0011747-0.00099721i,-0.0027074-0.00050497i,-0.00093073-0.0026867i,-0.0010485-0.0020064i,-0.008157+0.0065538i,-0.0010154-0.00037358i,-0.00023011+2.8041e-05i,-0.0011935+0.00016916i,0.00041082+0.00022338i,-0.00040565+0.0012126i,-0.000261-0.00076357i,0.0010003+0.0011867i,-0.00046759-0.0012357i,-0.000561+6.7313e-05i,9.8911e-05-0.0002354i,0.0012641+0.001389i,-0.0052544-0.0086781i,-8.5034e-05+0.00089492i,0.00024153+0.00028394i,5.853e-05-0.00073477i,0.0033447-0.0016243i,-0.0015962-0.0014315i,-0.00061481+0.00035654i,-0.00063563+0.003359i,0.0036059+0.0016464i,-0.0043943+0.0052576i,-0.046496-0.027232i,-0.021088+0.036696i,-0.055273+0.013023i,-0.081998+0.028686i,-0.039191+0.0099473i,-0.029631+0.035862i,-0.026885+0.030498i,-0.050857-0.017494i,-0.030284-0.031207i,-0.02247+0.030118i,-0.0063323+0.0066924i,0.018473+0.011018i,0.0047171-0.0087188i,-0.0046791-0.0020019i,-0.016944+0.01587i,0.0037906-0.0005465i,0.0044083+0.0052508i,0.0014503-0.001582i,0.01192-0.0019889i,0.00067691+0.0060821i,0.0010101-0.00060946i,-0.0027563-0.011215i,0.0025919+0.0041468i,-0.0005091+0.0035172i,-0.0029906+0.011289i,-0.0016728+0.00063698i,0.0056157-0.0031084i,0.0073412+0.0012736i,0.0032548-0.00061137i,-0.016692-0.016224i,0.0068937-0.0080185i,0.00081323-0.0027708i,0.0033478-0.0022867i,0.00094365+0.00070306i,0.0020836-0.0078653i,0.0028781+9.7092e-05i,-0.00082087+0.0067183i,0.0037529+0.0019324i,0.0035247-0.0032492i,-0.0033821-0.010715i,-0.0028843-0.0034533i,-0.00076113-0.0061621i,0.00033462+0.003646i,-0.00099285-0.010499i,-0.044449+0.0023986i,-0.030126+0.0091567i,-0.0088115-0.0097286i,-0.0034875-0.011409i,-0.0039286+0.027896i,-0.0091787+0.012016i,-0.0086853+0.003245i
0.0016425+0.010169i,0.0177+0.037168i,0.016405+0.0091235i,0.013601+0.012327i,0.011581+0.0017546i,0.017667+0.0056158i,0.0010324+0.027601i,0.0018778+0.028759i,0.0032673+0.0027686i,0.0007937+0.0010685i,0.0022479+0.0005648i,0.0045952+0.0022521i,0.0025897-0.0017412i,0.0035189+0.0019676i,0.0041203+0.0038618i,0.0035671+0.0081523i,0.0095299+0.0051231i,0.0013136+0.0004981i,-0.0010395-0.002397i,-0.001594-0.00048221i,-0.0021676+0.00035877i,-0.0015734-0.0025492i,-0.0014427-0.0015354i,-0.0068458+0.0084568i,-0.0011191+2.0029e-05i,-0.0005252+0.00027802i,-0.00036946+0.00052085i,-0.00013302-0.00034773i,-0.00013297+0.00082575i,-0.00049673-0.00079391i,0.0013916+0.0005816i,-0.0007112-0.00039905i,-0.00026926+0.00023911i,-6.6215e-05-0.0001418i,0.0018676+0.00050784i,-0.0081771-0.0080906i,0.0001756+0.00053083i,0.00016583-0.00015072i,-0.00039836-0.00053947i,0.0026608-0.0021958i,-0.0017108-0.0007766i,-0.00028044+0.00039034i,0.00041661+0.0025906i,0.0041674+0.00081625i,-0.0027378+0.00557i,-0.044995-0.022151i,-0.015774+0.035178i,-0.049556+0.025045i,-0.070489+0.045103i,-0.039591+0.015604i,-0.023114+0.034684i,-0.021325+0.027612i,-0.049754-0.013353i,-0.033079-0.026428i,-0.014725+0.032219i,-0.0036989+0.0073959i,0.013096-0.0017881i,0.00083816-0.010737i,-0.0049204+0.0011485i,-0.0096058+0.018401i,0.002425-0.0019821i,0.0050208+0.0011709i,0.0019544-0.00038355i,0.010127-0.0058042i,0.0047113+0.0062869i,0.0010744+0.0011344i,-0.0085435-0.0056845i,0.0042429+0.0056955i,0.0010515+0.0051082i,0.0037689+0.011075i,-0.00087273+0.0010431i,0.0042479-0.0044298i,0.0076695-0.0036393i,0.001651-0.001863i,-0.022795-0.011066i,0.0038123-0.0085008i,-0.00037433-0.0016181i,0.003732-0.0011764i,0.0016532+0.00064256i,0.0025326-0.0090882i,0.0022604-0.0014323i,0.0021168+0.0051132i,0.0033834+0.00083624i,0.0032438-0.0026381i,-0.0066625-0.0070977i,-0.0046316-0.002976i,-0.0020849-0.0058225i,0.00051766+0.0023861i,-0.0047942-0.0075093i,-0.040789+0.0070261i,-0.023664+0.010788i,-0.0088435-0.0090406i,-0.0070318-0.011284i,0.0013163+0.025379i,-0.0068503+0.013424i,-0.0083+0.0026846i
0.0027079+0.0089862i,0.023372+0.03391i,0.01731+0.0071901i,0.013969+0.0087593i,0.0096948-0.00026523i,0.017821+0.0020279i,0.0056672+0.024852i,0.005624+0.027499i,0.0037379+0.0013132i,0.0009403+0.00098564i,0.0026261+0.00069413i,0.0058196+0.00048001i,0.001692-0.0018875i,0.0029312+0.00095324i,0.0048042+0.0029243i,0.0062172+0.0060044i,0.01014+0.0010761i,0.0016971-0.00023267i,-0.001766-0.0021635i,-0.0015029+0.00043245i,-0.0014793+0.00088056i,-0.002134-0.0016045i,-0.0015916-0.0011355i,-0.0031378+0.010102i,-0.00093913+0.00035907i,-0.00032293+0.00065337i,-0.00059641+0.0012851i,-0.00099634-6.9049e-05i,-3.205e-06+0.00069876i,-0.00069991-0.00061068i,0.0013846+0.00031505i,-0.00035806-0.00045699i,-0.00045178+0.00020676i,-0.0001606-3.3051e-05i,0.0014898-0.0003416i,-0.011613-0.0048623i,0.00059186+0.00042825i,-0.00017507-0.00010964i,-0.00092164-0.00035153i,0.0019752-0.002369i,-0.0015476-0.0011506i,-7.0723e-05+0.00025009i,0.00061297+0.0018543i,0.0041949+0.0001935i,-0.0013172+0.0047449i,-0.047496-0.018398i,-0.011418+0.033655i,-0.041816+0.034008i,-0.05557+0.055742i,-0.03864+0.021348i,-0.016445+0.032621i,-0.01742+0.026142i,-0.04965-0.01008i,-0.03438-0.020556i,-0.0064858+0.03319i,-0.0019707+0.0069154i,0.0055798-0.0040067i,-0.0034595-0.010831i,-0.0032119+0.0045386i,-0.0031779+0.016797i,-7.9127e-05-0.0025742i,0.0031651-0.0012709i,0.0015354-9.9185e-05i,0.0071457-0.0090929i,0.0077516+0.0036208i,0.0023625+0.0017094i,-0.0092073-0.0011481i,0.0065913+0.006047i,0.0036139+0.0055905i,0.0091247+0.0086505i,-0.00031954+0.0015828i,0.0035233-0.005337i,0.0052482-0.0066906i,0.00056271-0.00070176i,-0.02892-0.00036357i,0.003081-0.0090664i,-0.00041056-0.00039631i,0.0044633-0.0013229i,0.002088+8.7802e-05i,0.0010454-0.011604i,0.00067397-0.0015966i,0.0037233+0.0036266i,0.0038174-0.00020057i,0.0042494-0.0032387i,-0.0085057-0.0043251i,-0.0064557-0.00028347i,-0.0054535-0.0047682i,0.00047412+0.0012681i,-0.0061045-0.0046003i,-0.037291+0.010198i,-0.021444+0.011498i,-0.0087896-0.010617i,-0.010016-0.010341i,0.002366+0.022261i,-0.0059224+0.013895i,-0.0074785+0.0031321i
0.0038152+0.0079859i,0.029607+0.02936i,0.01906+0.0045846i,0.013773+0.0060177i,0.0085656-0.00079322i,0.017414-0.001243i,0.0089705+0.021116i,0.0099003+0.025944i,0.0035394-0.00055523i,0.0010509+0.00069191i,0.0030705-8.7517e-05i,0.005484-0.0022432i,0.00105-0.0016313i,0.0028186+0.00054544i,0.0054789+0.0016297i,0.0068798+0.0031733i,0.0087182-0.0017681i,0.001147-0.00098382i,-0.0026632-0.0015472i,-0.00081555+0.00086147i,-0.00059882+0.00087121i,-0.0019592-0.0010195i,-0.0017498-0.00070573i,0.00049072+0.0095434i,-0.00067468+0.00053503i,-3.7521e-05+0.00070181i,-0.00010181+0.0016001i,-0.0011706+0.00066402i,0.00032273+0.00030686i,-0.00079516-0.00050958i,0.0013959-0.00035308i,-0.00072838-0.00050187i,-0.00070278+0.00036361i,-0.00021267+5.6749e-05i,0.00092539-0.00069951i,-0.011671+3.0433e-05i,0.00060057+0.00023398i,-0.00014854+7.3356e-08i,-0.0011694+6.7431e-05i,0.0016069-0.0025421i,-0.00054323-0.0034032i,3.475e-05+7.8615e-05i,0.0005721+0.0014398i,0.0042289-0.00042127i,-0.00077538+0.0039373i,-0.052249-0.011292i,-0.0073964+0.031802i,-0.031123+0.03982i,-0.040662+0.062076i,-0.036309+0.029616i,-0.010479+0.028901i,-0.011329+0.02396i,-0.05018-0.0051167i,-0.03339-0.014942i,0.00046784+0.032679i,-0.0010646+0.0062645i,0.001014-0.0046035i,-0.0081738-0.0095839i,0.00069103+0.0053061i,0.0011094+0.01522i,-0.0030222-0.0015707i,0.0064485-0.0080807i,0.002646+0.0015333i,0.0022611-0.010919i,0.0090986-0.0011381i,0.0036528+0.0012914i,-0.0087113+0.0037616i,0.010061+0.0053333i,0.0072977+0.0039372i,0.012727+0.0033038i,0.00063901+0.0020863i,0.0020068-0.0061632i,-8.8086e-05-0.0087153i,0.001468+0.00071919i,-0.035032+0.013474i,-0.0017557-0.0065462i,0.00029468+0.00078105i,0.0053562-0.0048342i,0.0024174-0.00031313i,-0.0040344-0.013319i,-0.00029925-0.00093155i,0.0044927+0.0018485i,0.0034231-0.00083736i,0.0038564-0.0049082i,-0.0085902+0.00046642i,-0.0061504+0.0031836i,-0.0083364-0.001081i,-0.00056945-0.00018175i,-0.0063505-0.002272i,-0.034335+0.012909i,-0.019793+0.016161i,-0.011301-0.014406i,-0.010649-0.0089818i,0.0044079+0.021322i,-0.0057257+0.01631i,-0.0055573+0.0020307i
0.0049437+0.0066441i,0.034348+0.022727i,0.020303+0.00039417i,0.013517+0.0037037i,0.0082499-0.0011393i,0.01678-0.0041326i,0.010849+0.017533i,0.014356+0.02307i,0.0024814-0.0019878i,0.0008945+0.00065154i,0.0027892-0.00090867i,0.003424-0.0038151i,0.00065374-0.001449i,0.0025217+4.4833e-05i,0.0056178+0.00016461i,0.0059967+0.0013849i,0.007054-0.0031694i,0.00062699-0.0011713i,-0.0029736-0.00058578i,-0.00010469+0.00083007i,0.00017893+0.00053035i,-0.0018909-0.00082644i,-0.0016421-0.00033986i,0.0033771+0.008523i,-0.00046354+0.00051429i,0.00015646+0.00074874i,0.00052843+0.0013266i,-0.0009643+0.00094456i,0.00017162-0.00016777i,-0.0010262-0.00027778i,0.0010926-0.00091598i,-0.0010752-0.00011989i,-0.00045569+0.00075153i,-0.00022743+0.00021209i,0.0005444-0.0010177i,-0.011591+0.0028339i,0.0004934+0.00024046i,-0.00015993-9.1083e-05i,-0.0012182+0.00060162i,0.0010306-0.0031691i,-0.00036878+0.00085655i,-9.8875e-05-0.00022387i,0.00057059+0.0013948i,0.0042471-0.0012424i,-0.00027236+0.0034856i,-0.0539+0.00011881i,-0.0049313+0.030202i,-0.021384+0.040887i,-0.024147+0.066323i,-0.029224+0.03844i,-0.0072767+0.023689i,-0.0080668+0.018282i,-0.048514-1.0839e-05i,-0.030412-0.0095896i,0.0089983+0.030254i,-0.0008675+0.0065315i,-0.0045679-0.0033209i,-0.01182-0.0063712i,0.0034133+0.0030976i,0.0033364+0.01491i,-0.0059301+0.0012085i,-0.00061363-0.0074131i,0.0048819+0.00040735i,-0.0028208-0.009917i,0.0067596-0.0048225i,0.0048728-0.00035232i,-0.0069664+0.0072804i,0.013176+0.00082285i,0.0088259-0.00079758i,0.012319-0.0039093i,0.0021641+0.0018676i,3.4878e-07-0.0062531i,-0.0039803-0.0054489i,0.0031401-0.0002281i,-0.030055+0.0046722i,-0.0037373-0.0062329i,0.001795+0.0010158i,0.0021914-0.006048i,0.0027266-0.00070537i,-0.0097886-0.011107i,2.0396e-05+0.0005443i,0.0047487-0.00010872i,0.0027562-0.001649i,0.0024208-0.0056245i,-0.0064482+0.0041673i,-0.0034477+0.0055882i,-0.008209+0.0038309i,-0.003038-0.00017992i,-0.005964-0.00077456i,-0.030206+0.017472i,-0.011493+0.019138i,-0.017759-0.015269i,-0.010905-0.0080387i,0.0056117+0.020333i,-0.002712+0.019178i,-0.0053468-0.0011015i
0.0058937+0.0050723i,0.037627+0.015415i,0.020081-0.0041407i,0.013335+0.001968i,0.0088476-0.0017797i,0.016051-0.0073244i,0.011874+0.014614i,0.018091+0.019854i,0.0013502-0.0025739i,0.0012854+0.00081735i,0.0023605-0.001269i,0.0012386-0.0038704i,3.3014e-05-0.0012515i,0.0022122-0.00011154i,0.0052689-0.0012064i,0.0052233+0.0006744i,0.0053031-0.0040243i,0.0001331-0.0011429i,-0.0024808-1.5293e-05i,0.00056788+0.0006167i,0.00017993-0.00012185i,-0.0021136-0.00043035i,-0.0015783-0.00017664i,0.0065278+0.0074873i,-0.00071898+0.00026656i,0.0003553+0.00081203i,0.0010678+0.00091429i,-0.00020694+0.0011861i,-0.0004393-0.0003347i,-0.0012256-7.5693e-06i,0.00068304-0.0012802i,-0.00070589+0.00048564i,9.0792e-05+0.0006303i,2.0689e-06+0.0004956i,-0.00025405-0.001251i,-0.0099838+0.0058412i,0.00061362+0.00011886i,-0.00047984+4.8803e-05i,-0.00086647+0.0015653i,-0.00025724-0.0033977i,-0.00064782+0.00043923i,-0.00038439-0.00020251i,0.00064382+0.001325i,0.0035736-0.0023269i,0.00031992+0.003335i,-0.050311+0.010332i,-0.003274+0.029978i,-0.013721+0.041408i,-0.0085955+0.065012i,-0.017319+0.044355i,-0.0068905+0.01863i,-0.0089426+0.012954i,-0.048288+0.0022104i,-0.02474-0.0075229i,0.014968+0.025218i,0.00046007+0.0057568i,-0.0073106+0.0015327i,-0.014025-0.0023176i,0.0037156-0.00033403i,0.0057188+0.014252i,-0.0062459+0.0071194i,-0.0053536-0.0069527i,0.0055792-0.0029348i,-0.0068345-0.0055861i,0.0036571-0.0067533i,0.0043653-0.0021004i,-0.00207+0.010547i,0.012388-0.0055476i,0.0057738-0.0050897i,0.005774-0.0081329i,0.0030764+0.00086779i,-0.0017935-0.00587i,-0.0034335-0.0014441i,0.0021908-0.0017407i,-0.013014+0.027438i,-0.0045487-0.005097i,0.0032808+0.00020435i,-0.00015015-0.006733i,0.0033009-0.0015778i,-0.013315-0.0062869i,0.00094278+0.00078788i,0.0040686-0.0020148i,0.0024786-0.0011912i,0.0012908-0.005786i,-0.0024263+0.0054863i,-0.00033494+0.00604i,-0.0054211+0.0073021i,-0.0049242+0.0024805i,-0.0056897-9.9724e-05i,-0.023528+0.019517i,-0.0083174+0.013603i,-0.022277-0.011333i,-0.0099169-0.0093568i,0.0089433+0.020185i,-6.9397e-05+0.019755i,-0.0090033-0.0031382i
0.0062521+0.0029468i,0.039307+0.0076269i,0.019245-0.0078855i,0.013749+0.00049645i,0.0096201-0.0032334i,0.014587-0.010553i,0.012726+0.011818i,0.021231+0.015682i,0.00025991-0.0028838i,0.0016091+0.00022066i,0.0022381-0.0014714i,-0.00031945-0.0026444i,-0.00012547-0.00067359i,0.0020957-9.3994e-05i,0.0045872-0.0022961i,0.0048762+0.00017796i,0.0037847-0.005021i,7.6629e-05-0.0010508i,-0.0027052+0.00020249i,0.00090765+0.00019262i,2.1533e-05-0.00055073i,-0.0021664+0.00016426i,-0.001576+6.733e-05i,0.010019+0.0042044i,-0.00091797+0.0011022i,0.0008865+0.0005272i,0.0011502+0.00028004i,0.00043138+0.0011235i,-0.00081861+0.00026822i,-0.0012206+0.00046501i,-0.00026699-0.0015367i,-0.00058698+7.372e-05i,0.00012813+0.00051876i,0.00037831+0.00032082i,-0.00088161-0.00024042i,-0.0085672+0.0069697i,0.00024297-0.00014907i,-0.00037814+0.00042809i,1.9339e-05+0.0013757i,-0.001352-0.0028148i,-0.00062973+0.00017307i,-0.00049572+3.1667e-05i,0.00073235+0.0013021i,0.0025022-0.002606i,0.0015305+0.003233i,-0.044988+0.0181i,-0.00028117+0.030771i,-0.0049032+0.041671i,0.0078253+0.061887i,-0.0061547+0.043837i,-0.0091467+0.015412i,-0.012363+0.011015i,-0.050356+0.0070959i,-0.020611-0.0090616i,0.020878+0.019516i,0.00038198+0.005381i,-0.0061291+0.006924i,-0.013374+0.0020973i,0.0022535-0.0019209i,0.0094034+0.012812i,-0.0017942+0.011525i,-0.0092825-0.0049675i,0.0023029-0.00458i,-0.0069207-0.0019091i,-0.00082684-0.0064564i,0.0027214-0.0039945i,0.0027213+0.0081125i,0.0079348-0.0089198i,0.0014783-0.0061352i,0.0010552-0.0058028i,0.0042355-0.00021121i,-0.0025409-0.0043911i,-0.001834+0.00095233i,0.0019033-0.001649i,0.0061642+0.030786i,-0.0060282-0.0040279i,0.0037138-0.0017116i,-0.0036153-0.0059602i,0.0035981-0.0025587i,-0.013713+0.00038547i,0.0017909+0.0012523i,0.0029025-0.0022273i,0.0025064-0.0021247i,-0.00022936-0.0058752i,-0.00064827+0.003069i,0.0021817+0.0049299i,-0.0011906+0.0086467i,-0.0037035+0.0047854i,-0.0063898+0.00073185i,-0.0185+0.018503i,-0.0063345+0.016013i,-0.02514-0.0059953i,-0.012069-0.011598i,0.012035+0.019686i,0.0033984+0.021292i,-0.011447-0.0030815i
0.0058596+0.0013345i,0.038949-0.00077067i,0.017786-0.01258i,0.014956-0.0022082i,0.010562-0.0054834i,0.012259-0.013718i,0.012891+0.009051i,0.023159+0.011029i,-0.00043204-0.0025342i,0.001331-0.00036924i,0.0022013-0.0022019i,-0.00046109-0.0013005i,-8.0856e-05-0.00062099i,0.0021086-0.00054141i,0.0036535-0.0031494i,0.004483-0.00030762i,0.0017453-0.005704i,-0.00017554-0.0011847i,-0.0026202+0.0011096i,0.00076059-0.00072229i,-0.00065621-0.00091716i,-0.0018771+0.00069553i,-0.0016542+0.00039513i,0.010348-0.00065417i,-0.00022767+0.0014775i,0.00090492-0.00010808i,0.00087123-6.6531e-05i,0.0009499+0.00063457i,-0.00041443+0.00068249i,-0.0010923+0.0009388i,-0.00093621-0.0011073i,-0.0009296+0.00061591i,0.00029621+0.00048051i,0.0006089+2.1281e-06i,-0.00040829+0.00053851i,-0.00038922+0.013507i,2.3321e-05+0.00014498i,-8.2747e-05+0.00041921i,0.00037211+0.0010129i,-0.0022339-0.001734i,-0.00063626+1.4788e-05i,-0.00039102+0.00027702i,0.0010277+0.00152i,0.0017802-0.0028042i,0.0033445+0.0024414i,-0.038858+0.024442i,0.0042456+0.031648i,0.0036749+0.038731i,0.023067+0.05338i,0.0035685+0.042523i,-0.012261+0.014926i,-0.015077+0.012106i,-0.050522+0.014919i,-0.019098-0.012389i,0.023548+0.011759i,0.00067276+0.0051083i,-0.0036202+0.0087096i,-0.01273+0.0049688i,-0.00024018-0.0037806i,0.012555+0.0096299i,0.0037337+0.012041i,-0.012067-0.0017122i,0.00028533-0.00318i,-0.0060569+0.00090217i,-0.0028689-0.0041222i,0.00068734-0.0038347i,0.0050956+0.0070782i,0.0045018-0.009648i,-0.0014753-0.0044343i,0.00046915-0.0032002i,0.0044227-0.0025092i,-0.0034061-0.0029362i,-0.00055858+0.00073345i,0.0011387-0.0020633i,0.018288+0.023294i,-0.007726-0.0019073i,0.0031644-0.0030699i,-0.0036738-0.004245i,0.0037964-0.0042645i,-0.010619+0.0058529i,0.0035497+0.00071176i,0.0018994-0.0024799i,0.0014632-0.0024754i,-0.0021813-0.0047193i,-0.0012031+0.002714i,0.003361+0.0030062i,0.0023288+0.008583i,-0.0021871+0.0053666i,-0.0071406+0.002808i,-0.015854+0.017081i,-1.3548e-05+0.017103i,-0.025608-0.00138i,-0.015183-0.012951i,0.017284+0.016893i,0.0083923+0.021903i,-0.013605-0.0012547i
0.0052269+0.00037782i,0.03564-0.0077785i,0.014324-0.016995i,0.014915-0.0063643i,0.010311-0.008736i,0.0088815-0.015857i,0.012743+0.007221i,0.023766+0.0061173i,-0.00049856-0.0024604i,0.00077594-0.00043228i,0.001533-0.0029323i,-8.7025e-05-0.00062611i,-0.00048448-0.00040463i,0.0017191-0.00080088i,0.0024235-0.0035834i,0.0041459-0.00054477i,-9.462e-05-0.0051338i,-0.00034345-0.0010808i,-0.0014661+0.0019751i,6.8182e-05-0.0010562i,-0.0011645-0.00037293i,-0.001619+0.0012443i,-0.0015614+0.00091817i,0.0083152-0.0043427i,0.00030398+0.0012582i,0.00052622-0.0003584i,0.00073469-0.00014032i,0.00075626+5.4876e-06i,-4.4071e-05+0.00061346i,-0.00071973+0.0014565i,-0.0013416-0.00045724i,-0.00042354+0.0012241i,0.00050254+0.00035285i,0.00039974-0.00012484i,0.00017426+0.00063653i,0.0004592+0.010148i,0.00020565+0.00024707i,-7.8147e-05+0.00025839i,0.00043273+0.00093954i,-0.0022938-0.00046888i,-0.00074383+8.6549e-05i,-0.00026239+0.0003437i,0.0015447+0.0014837i,0.0010536-0.002643i,0.0049046+0.00050497i,-0.03128+0.02936i,0.0098146+0.031494i,0.0089229+0.03464i,0.034902+0.039857i,0.013042+0.037503i,-0.015771+0.017468i,-0.018041+0.015571i,-0.048272+0.0232i,-0.020848-0.015841i,0.024279+0.0030679i,0.0013051+0.0054467i,-0.0011007+0.011375i,-0.010793+0.0092776i,-0.004413-0.0027629i,0.014973+0.0044089i,0.0090478+0.010103i,-0.013338+0.0023544i,-0.00039046-0.0024363i,-0.0042381+0.002759i,-0.0036266-0.0012612i,-0.00023266-0.0033541i,0.0069677+0.0036484i,0.0017618-0.0097006i,-0.0033224-0.0015091i,0.0012978-0.0019168i,0.0031207-0.0045319i,-0.0043754+0.0002366i,0.00041002+0.0010494i,0.00067366-0.001951i,0.024727+0.011433i,-0.0077396+0.0015526i,0.002321-0.0045229i,-0.0040998-0.0027746i,0.0020638-0.0065503i,-0.0057853+0.0079428i,0.0048679-0.0013609i,0.0012242-0.0017611i,0.0010521-0.0022855i,-0.00274-0.0026127i,-0.001455+0.0035458i,0.0033164+0.0011145i,0.0064184+0.006962i,-0.0007123+0.0048548i,-0.0071677+0.0051902i,-0.014022+0.01786i,0.0086295+0.012517i,-0.024085+0.0035477i,-0.020739-0.012454i,0.01898+0.011912i,0.01451+0.020576i,-0.013225+0.00088338i
0.0050488-0.00015241i,0.032299-0.012549i,0.0099765-0.019713i,0.013612-0.010375i,0.0087473-0.011824i,0.0057003-0.017129i,0.01288+0.0061051i,0.0231+0.0019116i,-0.0001958-0.0026464i,0.00033787-0.00028227i,-0.00027325-0.0033176i,0.0003025-0.00049725i,-0.00066881+0.00023712i,0.0014031-0.00094153i,0.0012789-0.0034888i,0.004243-0.00062902i,-0.00098855-0.0040995i,-0.00076069-0.00099146i,-0.00061694+0.0019729i,-0.00058906-0.00095054i,-0.0012664+6.8291e-05i,-0.00092562+0.0017033i,-0.0012289+0.0014476i,0.0051766-0.0064647i,0.00047219+0.0010762i,0.00030926-0.00043269i,0.00056421-0.00036333i,0.00041329-0.00010126i,8.6793e-05+0.00065098i,-1.585e-06+0.0016414i,-0.001313+0.00024815i,6.6218e-05+0.0014202i,0.00058358-9.6761e-05i,0.0003537+0.00012843i,0.00061636+0.00055623i,0.0016025+0.0092152i,0.00019978+0.00032401i,-0.00021078+0.00029867i,0.00087809+0.00085327i,-0.0017504+0.00035444i,-0.00082335-8.9902e-05i,-0.00013128+0.00036661i,0.0020138+0.00097668i,0.00012201-0.0023076i,0.0052551-0.0022293i,-0.022817+0.031852i,0.016337+0.029605i,0.014273+0.032105i,0.039236+0.0243i,0.01896+0.030698i,-0.01646+0.023614i,-0.018065+0.022812i,-0.044205+0.032455i,-0.025511-0.016738i,0.019918-0.0040429i,0.0026783+0.0056764i,0.0040335+0.01149i,-0.0077798+0.012793i,-0.0058765+0.00076718i,0.014581-0.002593i,0.012753+0.0059291i,-0.01274+0.0064282i,-0.00064379-0.00082363i,-0.0025768+0.0036809i,-0.0018763+0.00061259i,-0.0020154-0.0023547i,0.0070271+0.00089869i,-0.0011986-0.0085983i,-0.0029913+0.0015451i,0.0026285-0.0022583i,0.00097542-0.0056449i,-0.0036279+0.0016912i,0.0019171+0.00027506i,0.00036473-0.0018054i,0.026949-0.00029803i,-0.0054125+0.0041032i,0.0005786-0.0054758i,-0.0036163-0.001997i,-0.00058888-0.0071098i,-0.0019812+0.0077323i,0.0041381-0.0036114i,0.0013972-0.00090057i,0.0013924-0.0021524i,-0.0016091-0.0019546i,0.00031649+0.0047331i,0.0018782-5.2559e-05i,0.0086805+0.002952i,-0.00035301+0.0035437i,-0.005497+0.0079582i,-0.010715+0.018919i,0.011919+0.001635i,-0.019939+0.0053323i,-0.026428-0.0096669i,0.019991+0.0069741i,0.019768+0.014665i,-0.014053+0.0014189i
