-0.022661-0.019161i,-0.032209-0.034228i,-0.022536-0.020073i,-0.032142-0.020395i,-0.024273+0.0038437i,-0.029161-0.017745i,-0.056693-0.046329i,-0.03879-0.043856i,-0.027466-0.015316i,0.0044071+0.0047607i,-0.0038059+0.0069796i,-0.011478+0.01137i,0.0038852+0.006731i,-0.0039205-0.0030295i,0.0028117+0.0014436i,0.00092141+0.031069i,0.019556+0.0076399i,-0.00032728+0.00029526i,-0.0031604-0.0025439i,0.0077626+0.0053317i,0.0019776+0.00051988i,-0.00016996+0.002162i,-0.00059927+0.00034152i,-0.02852-0.0008291i,-0.0035431-0.0042985i,-0.00013626+0.0024089i,0.0046933-0.00089129i,0.00072228-0.00025601i,-0.0004769-0.00061641i,-0.0014115-0.0016507i,-0.0022943-0.00040368i,-0.0038868-0.004228i,-0.0020169-0.004417i,0.00064439-0.0014632i,0.00073552-0.0027088i,-0.0028427+0.027157i,0.002019-0.0028424i,0.0024671-0.00426i,0.0039461-0.0025416i,-0.011942+0.0027296i,0.00018215+0.0011999i,0.0032167+0.00084642i,-0.0036143+0.00013552i,-0.0027258+0.0010199i,-0.010275-0.0030097i,-0.018491+0.021271i,-0.0084113-0.086518i,-0.0022328-0.06057i,-0.021246-0.054376i,-0.010598-0.046852i,0.05304-0.027637i,0.02529-0.068183i,0.039618-0.051932i,0.018268-0.040227i,0.025702-0.019624i,0.012204+0.012066i,0.026255-0.028407i,-0.013849-0.0030062i,-0.0013249-0.0009634i,-0.0082247-0.0021548i,-0.0038663-0.028651i,-0.020698+0.026468i,0.0072169-0.0096412i,-0.0103-0.0031241i,-0.0025814-0.0020593i,-0.00095813-0.014137i,-0.0088654+0.0047372i,0.006817+0.010587i,-0.0088584+0.029942i,0.0069416+0.0070616i,-0.0035021-0.0016536i,-0.0022797-0.0014701i,-0.012592-0.0095321i,-9.7027e-05-0.0040051i,-0.032545+0.00075147i,0.0035918-0.00923i,-0.0070509-0.0018773i,-0.0053282-0.0028018i,0.006535+0.001746i,-0.010341+0.00025291i,0.0027553-0.00049793i,0.0051324+0.0084185i,0.0057073+0.00034811i,-0.007489-0.009843i,0.0028647+0.0081032i,-0.021081+0.0076179i,0.0032016+0.0055507i,-0.021628-0.0077062i,-0.027277-0.005507i,0.010354-0.062854i,0.018569-0.015215i,-0.052413-0.027836i,-0.023142+0.0028559i,0.019558+0.010697i,-0.026557+0.012127i,-0.012566-0.0072638i
-0.011663+0.013512i,-0.022825+0.042892i,0.000642+0.04128i,-0.010599+0.025066i,-0.00039726+0.021167i,0.0015572+0.023422i,-0.024926+0.014213i,-0.026603+0.032311i,-0.00096764+0.01695i,-0.0014399-0.0011525i,-0.0009634+0.0017699i,0.0041768+0.003598i,0.0034346+0.0046869i,-0.003141+0.0016461i,-0.0036186+0.0040823i,-0.00021164-0.007106i,-0.0081733-0.00085858i,-0.0019729+0.00034043i,0.0002057-0.001315i,-0.0010471-0.00045547i,0.00069861-0.0031992i,0.0011976-0.002657i,0.00094143-0.0016079i,-0.0089621-0.0092737i,5.3326e-05-0.00039906i,-0.0014769+0.00038808i,-0.0023801+2.6466e-05i,-0.0029781-0.00045121i,-0.0010799-0.00078762i,0.00096705-0.00060159i,-0.001718+0.00010338i,0.001593-0.00020065i,0.0013288-0.00064743i,0.00057715+0.00070803i,-0.00035544+0.0019713i,-3.6649e-05-0.0069701i,-0.0015552+0.00097246i,0.0017285-2.9755e-05i,0.0025057+0.0025051i,0.0046067+0.0037733i,0.00096649-0.0016233i,-0.0018031-0.0012984i,-0.001813-0.001791i,0.0018411+0.0073584i,-0.0088563+0.0075601i,0.018813-0.058545i,-0.074254+0.013705i,-0.028131-0.018546i,-0.061619-0.048319i,-0.053529-0.016992i,-0.086209+0.0022737i,-0.072535+0.0021939i,-0.045954-0.036467i,-0.0087394-0.044865i,-0.039619-0.027261i,-0.0059916+0.000336i,-0.031617+0.010242i,0.0072573+0.011687i,0.0093501+0.0073615i,0.0022046-0.007954i,0.011371+0.0018404i,-0.0098647-0.0032514i,0.0026387+0.011545i,0.0024445+0.0060952i,4.1845e-05-0.0015122i,0.0056718+0.0018336i,0.0035354+0.00067482i,-0.004481+0.018411i,-0.00014843+0.008629i,0.00039716-0.0042148i,0.0080888-0.0053115i,0.0012314+0.0042439i,-0.0081822-0.0063507i,-0.002929-0.00093762i,0.020024-0.03456i,0.0049249+0.0089428i,0.0018794+0.0028325i,-0.0011246+0.0043055i,0.0033324-0.0036169i,0.019605+0.0031242i,0.0012052-0.0018183i,-0.0035778-0.0088514i,-0.00064426-0.0013687i,0.010722+0.0052775i,0.0058156-0.0011722i,0.0038778-0.0072867i,0.0046988+0.0050018i,-0.0061538+0.0036751i,0.013491+0.006379i,-0.042477-0.039386i,-0.014434+0.0080401i,-0.0018953-0.0011892i,-0.00062153+0.0026656i,-0.040813+0.011674i,-0.0069117+0.0089816i,-0.014053+0.0034128i
-0.0089117+0.014379i,-0.015253+0.043691i,0.0099568+0.035024i,-0.0056107+0.025673i,0.0025915+0.018887i,0.0060778+0.022098i,-0.024358+0.018357i,-0.018897+0.034245i,0.0031018+0.012418i,-0.0015796-0.00016505i,-7.4113e-06+0.0030283i,0.0048602+0.0012931i,0.0041172+0.0028463i,-0.0016471+0.0029071i,-0.0027852+0.0052461i,-0.0045164-0.0048i,-0.0090902+0.0035581i,-0.0015464+0.0010066i,0.00079663-0.00080079i,-0.00049105-3.617e-05i,5.1469e-05-0.003254i,0.0010228-0.0021891i,0.00075269-0.0014565i,-0.01087-0.0061392i,0.00024412-0.00030764i,-0.0013079+0.00083266i,-0.0017396+0.00092413i,-0.0025753+0.00058481i,-0.0014048-0.00057583i,0.0009172-0.00064331i,-0.0015416+0.0011409i,0.0011511-0.0004665i,0.00086606-0.00086919i,0.00031702+0.00065125i,-0.00085099+0.0014944i,0.00034557-0.0057652i,-0.00098965+0.0010274i,0.0008584-0.00055584i,0.0011308+0.0010173i,0.0046614+0.0014331i,0.00063579-0.0021557i,-0.0025994-0.00083587i,-0.0027882-0.0006961i,0.0032886+0.0078022i,-0.0064147+0.0057894i,0.00031268-0.067538i,-0.066089+0.028468i,-0.035016-0.020947i,-0.074681-0.038697i,-0.053628-0.0056042i,-0.078121+0.019931i,-0.071205+0.016244i,-0.040416-0.034262i,-0.014435-0.043197i,-0.044991-0.010641i,-0.0069693+0.00016293i,-0.025898+0.023019i,0.010017+0.0063249i,0.011319+0.0012374i,-0.0019811-0.013658i,0.0070934+0.0010336i,-0.010586+0.0022763i,0.0077664+0.0098236i,0.0032481+0.0080766i,-0.0008978-0.00094631i,0.0063527+0.0020893i,0.0049959+0.00078739i,0.0042597+0.015122i,0.003307+0.0050837i,-0.004011-0.0052555i,0.0025714-0.0067114i,0.0030692+0.0049243i,-0.010823+0.0011784i,-0.0023481+0.0018239i,0.006139-0.035622i,0.008482+0.0079685i,0.0039626+0.0018474i,0.0026602+0.0022636i,0.00011552-0.0019011i,0.01765-0.0061003i,-0.00035589-0.0023412i,-0.0069453-0.0048145i,-0.0028251-0.00052351i,0.0099823+0.00055183i,0.0044069-0.0013524i,0.0016716-0.0060316i,0.0064492+0.0032387i,-0.0053555+0.0059232i,0.013252+0.0014976i,-0.04992-0.033438i,-0.0065466-0.0045579i,-0.0026532-0.0019631i,0.0011147+0.0012833i,-0.033582+0.023661i,-0.0047749+0.010081i,-0.011486+0.0067834i
-0.0058123+0.014492i,-0.0081174+0.044132i,0.015077+0.027464i,-0.00091996+0.02438i,0.006242+0.017683i,0.010179+0.019521i,-0.021479+0.022846i,-0.012258+0.033356i,0.0034234+0.0078993i,-0.0015167+0.0007963i,0.0019435+0.0032147i,0.0024412-0.00017881i,0.0042539+0.001705i,-0.0007907+0.0030347i,-0.0012309+0.0063068i,-0.0069616-0.00043705i,-0.007001+0.0079288i,-0.00083812+0.0015941i,0.0018259-0.0016687i,0.00013392-0.00031552i,-0.0010394-0.0031641i,0.0010512-0.0028392i,0.00074338-0.001651i,-0.011891-0.0028143i,-4.1082e-05-0.00043787i,-0.00067418+0.0013047i,-0.00098536+0.00077252i,-0.0015747+0.0016121i,-0.0015388-0.00036156i,0.00065239-0.0011547i,-0.00068515+0.0014784i,0.00075282-0.00070426i,0.00038862-0.00096054i,0.00062629+0.00032007i,-0.00041458+0.0024339i,0.00095568-0.0066947i,-0.00087181+0.00065392i,0.00022704-0.00075978i,0.0012019+0.00049857i,0.0040194-4.7169e-06i,-6.2727e-05-0.0022315i,-0.0018115+0.00039466i,-0.0033195+0.00065295i,0.0050298+0.0064819i,-0.0056882+0.0043033i,-0.021633-0.067521i,-0.052147+0.038188i,-0.043764-0.017951i,-0.08198-0.024089i,-0.048936+0.003388i,-0.063801+0.031913i,-0.059032+0.02947i,-0.0441-0.036099i,-0.019215-0.041941i,-0.043256+0.0029021i,-0.0072671+0.0015254i,-0.013545+0.029582i,0.010858+0.0019406i,0.0081357-0.0047684i,-0.014838-0.013845i,0.006003-7.5513e-05i,-0.0078886+0.0060121i,0.010608+0.0044381i,0.0060049+0.007148i,-0.0027745+0.0005281i,0.0069472-0.0012229i,0.0062532-0.0018216i,0.0064808+0.0090465i,0.0038678+0.0019438i,-0.0084976-0.0019527i,-0.00016751-0.0047995i,0.0059474+0.0036916i,-0.0053307+0.0086811i,-0.00015336+0.0032876i,-0.0021767-0.028846i,0.012294+0.0032642i,0.0037577+0.00012785i,0.0002644+0.0018507i,0.00072079-0.00012621i,0.011592-0.011151i,-0.0025502+0.00052275i,-0.0073799-0.0016632i,-0.0031472+0.0027993i,0.0068529-0.0023729i,0.0064299-0.0024682i,0.0012566-0.0061283i,0.0086459+0.00026978i,-0.0019631+0.0066502i,0.011441-0.0027261i,-0.055423-0.022213i,-0.012631-0.015886i,-0.00255-0.0032814i,0.0026338-0.0017505i,-0.025731+0.028919i,-0.002608+0.0060651i,-0.0069383+0.002264i
-0.0029677+0.013544i,-0.0006157+0.043992i,0.01725+0.020106i,0.0037874+0.023234i,0.010355+0.014248i,0.013428+0.016124i,-0.017051+0.026583i,-0.0074844+0.031483i,0.0025106+0.005727i,-0.00083443+0.0015911i,0.0028972+0.0021109i,0.001256+0.0015019i,0.0040323+0.00066892i,-0.00055372+0.0037372i,0.00062029+0.0064652i,-0.006254+0.0046783i,-0.0025628+0.010515i,7.7944e-05+0.0014499i,0.00080298-0.002468i,-4.9269e-05-0.0009821i,-0.0018173-0.0024748i,0.00041789-0.0031488i,0.00038836-0.0022393i,-0.012053+0.0010629i,-7.333e-05-0.00052011i,8.7509e-05+0.00085065i,-0.00079703+0.00046267i,-0.00042779+0.0015912i,-0.0015134+0.00043412i,5.1472e-05-0.0012138i,-0.0001927+0.0012556i,0.00021653-0.00086684i,-0.00020213-0.0010631i,0.00052585+8.9819e-06i,0.0010042+0.0023015i,-0.00026453-0.0088966i,-0.00062869+0.00091259i,-0.00049115-0.00050501i,0.0013352-0.00039355i,0.0034119-0.00080298i,-0.00028853-0.0021101i,-0.0010229+0.00052912i,-0.0030101+0.0023545i,0.0054553+0.0032408i,-0.0059663+0.0040068i,-0.040311-0.055909i,-0.038518+0.040645i,-0.050497-0.010406i,-0.085957-0.0085498i,-0.042575+0.0086173i,-0.050697+0.036028i,-0.044679+0.032985i,-0.049664-0.030909i,-0.024108-0.038202i,-0.039288+0.014355i,-0.0075467+0.002986i,-0.0012119+0.029444i,0.0097152-0.0029903i,0.0029557-0.0066419i,-0.022258-0.0045018i,0.0038381-0.00032195i,-0.0047509+0.0078769i,0.0094856-0.0013345i,0.0087651+0.005645i,-0.0026107+0.0030283i,0.0038972-0.0023593i,0.0054992-0.006301i,0.0049644+0.0040703i,0.0014199-2.1286e-05i,-0.0090574+0.0018955i,-0.001668-0.0034135i,0.00721+0.0011023i,0.0033048+0.0080728i,0.0016005+0.0025323i,-0.0096079-0.0218i,0.011956-0.0012833i,0.0035175-0.0011272i,0.0012343+0.0030342i,0.00082405-0.00034055i,0.0055307-0.011514i,-2.8935e-05+0.0027572i,-0.0066775+0.0021722i,-0.00039261+0.0047894i,0.0048163-0.0019483i,0.0060208-0.006555i,-0.0012692-0.0060684i,0.007348-0.0045203i,-0.00035048+0.0050302i,0.0095041-0.0064387i,-0.053594-0.0092416i,-0.02428-0.015455i,-0.00331-0.0069911i,0.0019357-0.0058148i,-0.015235+0.032755i,-0.0058369+0.0039205i,-0.0096179-2.6657e-05i
-0.0011523+0.012302i,0.005909+0.041952i,0.016759+0.014491i,0.0084164+0.0205i,0.012754+0.0097098i,0.015332+0.012345i,-0.011418+0.028785i,-0.004338+0.029918i,0.0024648+0.0052547i,0.00015743+0.0019198i,0.0031445+0.0011502i,0.0020607+0.002451i,0.0038562-0.00036718i,0.0010669+0.0045657i,0.0026078+0.0059744i,-0.0031832+0.0076309i,0.0015628+0.010665i,0.00058509+0.0011763i,0.00036807-0.0021763i,-0.00066063-0.0011647i,-0.0025156-0.001898i,-0.00059613-0.0029522i,-0.00053721-0.0024067i,-0.010039+0.0040026i,-0.00048976-0.00094944i,5.7242e-05+0.00021442i,-0.00080116+0.00048646i,0.00019946+0.00093735i,-0.00087859+0.00095678i,-0.00010951-0.00091699i,0.00013468+0.0013515i,3.1827e-05-0.00099907i,-0.00084205-0.00082226i,0.00030251-0.00013205i,0.0013869+0.0013807i,-0.0031517-0.0098912i,-0.00010243+0.00093792i,-0.00043802+0.00032154i,0.0005979-0.00096014i,0.0027879-0.0011032i,-0.00073092-0.0025522i,-0.00063489+0.00048684i,-0.0015543+0.0029114i,0.0040315+0.0026468i,-0.005705+0.0048143i,-0.047189-0.039052i,-0.028343+0.039038i,-0.05505-0.00053632i,-0.087151+0.0082888i,-0.038264+0.0094501i,-0.039301+0.037426i,-0.034784+0.033042i,-0.051543-0.024702i,-0.026604-0.034731i,-0.03171+0.02549i,-0.0069867+0.004684i,0.011634+0.024435i,0.0072898-0.0060152i,-0.0016999-0.0055417i,-0.02238+0.0037738i,0.0035321+7.2512e-05i,-0.00063885+0.0088784i,0.0042943-0.0033636i,0.010447+0.0025573i,-0.0011589+0.0046241i,0.0018811-0.0014679i,0.0024027-0.0097487i,0.0045878+0.002796i,-0.00069796+0.0012475i,-0.0091996+0.0069704i,-0.0027711-0.001255i,0.0069376-0.0014727i,0.0060994+0.0029877i,0.0025385+0.0017916i,-0.013205-0.016845i,0.010059-0.0055371i,0.0026216-0.002282i,0.0059911+0.0024914i,0.00098456-0.00017903i,0.0026632-0.0097846i,0.0020423+0.0020519i,-0.0038685+0.0054461i,0.0025934+0.0042807i,0.0045568-0.001902i,0.0023632-0.010236i,-0.0022927-0.0044126i,0.0035755-0.007827i,-0.00027987+0.0041876i,0.0052907-0.0099141i,-0.047583-0.0030036i,-0.033621-0.0053733i,-0.0060211-0.0088403i,-6.311e-05-0.0093376i,-0.0069008+0.02961i,-0.010082+0.006056i,-0.011248+0.0019239i
0.00026192+0.011361i,0.011876+0.039652i,0.015997+0.011541i,0.011622+0.016362i,0.012886+0.0050047i,0.016662+0.0088812i,-0.0051501+0.029071i,-0.0012048+0.028504i,0.0030107+0.0038648i,0.0007572+0.0014091i,0.0027137+0.00038499i,0.0030761+0.0025299i,0.0033006-0.0012273i,0.0027764+0.0036907i,0.0039592+0.0048489i,0.00024106+0.0086108i,0.005713+0.0092561i,0.0010571+0.00085204i,-0.00011778-0.002478i,-0.0012437-0.00098089i,-0.0027678-0.00064527i,-0.00094714-0.0026453i,-0.0011262-0.0018449i,-0.0085062+0.0052636i,-0.00082216-0.00028262i,-0.00026105-2.0524e-05i,-0.00082603+0.00041946i,0.0004221+0.0002539i,-0.00038311+0.00089081i,-0.00028275-0.00087424i,0.00070132+0.0013261i,-0.00048637-0.00098344i,-0.00081967-0.00015662i,3.4e-05-0.00026463i,0.0014275+0.0012137i,-0.0071575-0.010634i,0.00010293+0.00067606i,0.00012888+0.00040052i,2.2203e-05-0.00067796i,0.0022311-0.0011901i,-0.0016908-0.0018989i,-0.00057011+0.00051703i,-0.00040275+0.0029684i,0.0040869+0.002895i,-0.0046695+0.00592i,-0.045658-0.026763i,-0.021181+0.036843i,-0.055618+0.012939i,-0.082248+0.028141i,-0.038885+0.010231i,-0.03012+0.035982i,-0.025795+0.031934i,-0.051526-0.018818i,-0.030037-0.031841i,-0.022091+0.029918i,-0.0066548+0.0067408i,0.018089+0.010964i,0.0046989-0.0086734i,-0.0047303-0.0019922i,-0.018836+0.012617i,0.0037588-0.00102i,0.0045344+0.0071689i,0.0015119-0.0015471i,0.011419-0.0019461i,2.2764e-05+0.0060775i,0.0011161-0.00064899i,-0.003178-0.011018i,0.0027834+0.0046034i,-0.00043039+0.0033906i,-0.0039474+0.012432i,-0.0016471+0.00073522i,0.0057167-0.0030082i,0.0069425-0.00061544i,0.0036918+0.00011411i,-0.017321-0.015372i,0.0062172-0.0081287i,0.0010171-0.0027714i,0.0050074-0.0020067i,0.00094074+0.00058836i,0.0019661-0.0078056i,0.0029346+0.000404i,-0.00084947+0.0063712i,0.0036978+0.0013576i,0.0039849-0.0027007i,-0.0026892-0.0094284i,-0.0031322-0.0040341i,-0.00031461-0.0074691i,0.00045665+0.0031761i,-0.00047642-0.010084i,-0.045431+0.0012789i,-0.030706+0.0086848i,-0.009024-0.008662i,-0.0045268-0.010746i,-0.0028944+0.027873i,-0.0092729+0.011636i,-0.0087928+0.0030888i
0.0016765+0.010375i,0.017565+0.037089i,0.016315+0.009305i,0.013013+0.012081i,0.011516+0.0016871i,0.017603+0.0053353i,0.00050181+0.027782i,0.0016329+0.027881i,0.0031301+0.0029589i,0.00081688+0.001241i,0.0023048+0.00049673i,0.004597+0.0022591i,0.0024711-0.0016921i,0.0036056+0.0019487i,0.0046963+0.0035802i,0.0034145+0.0082144i,0.0084926+0.0060638i,0.0013999+0.00056004i,-0.00080966-0.0025468i,-0.0015554-0.00040428i,-0.0022316+0.00031246i,-0.0015722-0.0025431i,-0.001374-0.001368i,-0.0075984+0.0076377i,-0.001013-6.5089e-05i,-0.00061335+0.00026806i,-0.00060221+0.00084118i,-6.0899e-05-0.00027025i,-0.00017652+0.00068259i,-0.00050086-0.00086215i,0.00089554+0.00099579i,-0.00055719-0.00035825i,-0.00031659+5.2184e-05i,-0.00013639-0.00019226i,0.0019073+0.00041597i,-0.011682-0.0093782i,0.0005884+0.00070297i,0.00018087-6.0969e-05i,-0.00037674-0.00058251i,0.0017425-0.0013083i,-0.0019553-0.00096229i,-0.00018685+0.00052988i,0.00051108+0.0023419i,0.0047697+0.00158i,-0.0027804+0.0063285i,-0.043745-0.021949i,-0.015848+0.035302i,-0.049775+0.025062i,-0.0712+0.044508i,-0.039016+0.015834i,-0.023412+0.034898i,-0.019827+0.028732i,-0.05096-0.014464i,-0.032713-0.027046i,-0.014525+0.031963i,-0.0038671+0.0074668i,0.013389-0.0018245i,0.0006597-0.010592i,-0.0048326+0.0011486i,-0.011938+0.014781i,0.0024071-0.0027791i,0.0061871+0.0022583i,0.0020742-0.00039909i,0.0096569-0.005082i,0.0052913+0.0064069i,0.0010892+0.0011134i,-0.008574-0.0055952i,0.0044258+0.0060453i,0.0010567+0.0050416i,0.0022745+0.011868i,-0.00081057+0.0010279i,0.0046202-0.0043502i,0.0054531-0.0051018i,0.0023734-0.00135i,-0.02475-0.0098042i,0.0031139-0.0085814i,-0.00033575-0.0017659i,0.0039682-0.00068656i,0.0018796+0.00053091i,0.0025496-0.008885i,0.0023945-0.0011885i,0.002584+0.0047588i,0.0030358+0.00078431i,0.003985-0.0023924i,-0.005572-0.0064214i,-0.0051642-0.0029015i,-0.0033585-0.0062035i,0.00032773+0.0019379i,-0.0042382-0.0077366i,-0.042338+0.0069328i,-0.024901+0.011148i,-0.0084981-0.0076331i,-0.0076646-0.010167i,0.00086126+0.024866i,-0.0068175+0.013408i,-0.0084202+0.002555i
0.0028079+0.0091818i,0.023138+0.033773i,0.017265+0.0072988i,0.013213+0.0087389i,0.0096529-0.00035764i,0.017692+0.0018858i,0.0055471+0.025436i,0.0054118+0.026819i,0.0035168+0.0019333i,0.0010141+0.0011179i,0.0027238+0.00065744i,0.0060016+0.00044063i,0.0016788-0.0017744i,0.0029541+0.00092204i,0.0054383+0.0024388i,0.0058616+0.0061514i,0.0098643+0.0028031i,0.0018079-0.00015332i,-0.0016339-0.0023534i,-0.0013901+0.00042185i,-0.0015219+0.00085904i,-0.0022704-0.0017303i,-0.0014598-0.00099314i,-0.0043078+0.0097757i,-0.00095062+0.00041816i,-0.00034862+0.00068798i,-0.0006708+0.0013458i,-0.00085846-0.00023327i,-6.7772e-05+0.00070164i,-0.00076127-0.00063929i,0.0016054+0.0010204i,-0.00023644-0.00041981i,-0.00045496-7.367e-05i,-0.00029457-8.014e-05i,0.0015113-0.00046415i,-0.015008-0.0044433i,0.0012422+0.00093817i,-4.1929e-05-0.00012034i,-0.00084682-0.00044091i,0.0018044-0.0010019i,-0.0013644-0.00062501i,1.1807e-05+0.00038748i,0.00068417+0.0016599i,0.0046992+0.00067844i,-0.0010489+0.0054604i,-0.046153-0.01852i,-0.011532+0.033552i,-0.042088+0.034306i,-0.056505+0.055351i,-0.037596+0.021253i,-0.016654+0.033099i,-0.015743+0.026485i,-0.05087-0.010109i,-0.034393-0.021898i,-0.0065706+0.033299i,-0.0021283+0.0067892i,0.0056882-0.0045063i,-0.0037903-0.010709i,-0.0031612+0.0043509i,-0.0037087+0.012912i,-0.00016776-0.0035012i,0.0054678-0.0013083i,0.0016217-3.1847e-05i,0.0069777-0.008233i,0.0082609+0.0033023i,0.0024248+0.0016955i,-0.0091735-0.0013198i,0.0066317+0.0062014i,0.0036677+0.0059349i,0.0079866+0.0087912i,-0.0004322+0.0015579i,0.003664-0.0054176i,0.0025755-0.0052711i,0.0014633-0.00068759i,-0.029606-0.00074428i,0.00015774-0.010459i,-0.00028348-0.00039583i,0.0046411-0.00099811i,0.0024019-8.183e-06i,0.0010315-0.0113i,0.00071092-0.0015286i,0.0036949+0.0032435i,0.0037301+0.00026529i,0.0044726-0.0034169i,-0.0070129-0.0039223i,-0.0070362+0.00011697i,-0.0066635-0.0038098i,0.00010287+0.00099543i,-0.005864-0.0049387i,-0.03812+0.01073i,-0.022077+0.012634i,-0.0079492-0.0099586i,-0.009819-0.0090279i,0.0019443+0.022556i,-0.0059268+0.013625i,-0.0077849+0.0029101i
0.0040067+0.008125i,0.029234+0.029452i,0.018908+0.0047656i,0.013031+0.0061977i,0.0084432-0.00090177i,0.017349-0.001235i,0.0095326+0.021497i,0.010061+0.025167i,0.00388+0.00050084i,0.0011524+0.00093823i,0.0030982-0.00013785i,0.0054873-0.0024543i,0.0010926-0.0015846i,0.0027585+0.00049375i,0.0058252+0.00078177i,0.0065954+0.0038468i,0.0093661-0.0005597i,0.001275-0.00099069i,-0.002571-0.0016284i,-0.0007057+0.00086721i,-0.00063243+0.00080919i,-0.002172-0.001099i,-0.0016027-0.00057594i,-0.00045832+0.0099167i,-0.00059256+0.00064115i,-9.502e-05+0.00067657i,-0.00016187+0.0015741i,-0.0011443+0.00042787i,0.00024298+0.00041745i,-0.00093197-0.00047213i,0.0017429-2.3162e-05i,-0.00047622-0.00034541i,-0.00080168+0.00024727i,-0.00034438+3.9632e-05i,0.00086877-0.00091966i,-0.015383+0.0024268i,0.00096045-0.00028026i,-3.1044e-05-8.9446e-05i,-0.0010955+0.00016904i,0.0023016-0.0014675i,-0.0014517-0.0011088i,0.00010497+0.00012015i,0.00064016+0.0013616i,0.004478-0.00032615i,-0.00025748+0.0043697i,-0.050795-0.011662i,-0.0075755+0.031645i,-0.031085+0.039958i,-0.041274+0.062404i,-0.035353+0.028687i,-0.010241+0.029493i,-0.010246+0.02378i,-0.050504-0.0045573i,-0.03385-0.015578i,0.00076721+0.032559i,-0.0017918+0.0060704i,0.00049552-0.0048292i,-0.0084773-0.0094407i,0.00066455+0.0051587i,0.0017445+0.011359i,-0.0032895-0.0027443i,0.0035716-0.0059357i,0.0027516+0.001757i,0.0024983-0.010545i,0.0091909-0.0011235i,0.003623+0.0010976i,-0.008952+0.0033982i,0.0098434+0.0053108i,0.0077462+0.0043056i,0.011707+0.0037807i,0.00062255+0.0022005i,0.0019791-0.0061681i,0.00091851-0.0069721i,0.0022238+0.00025742i,-0.02879+0.010737i,0.00043863-0.0077029i,0.00046444+0.00061576i,0.0051026-0.0043226i,0.0028517-0.00056479i,-0.0035686-0.01254i,-0.00035903-0.00083308i,0.0041633+0.0021382i,0.0036929-0.00067335i,0.0035917-0.0048138i,-0.0076183+6.2191e-05i,-0.0061008+0.0037927i,-0.0077859-0.00031747i,-0.00089567+0.00013229i,-0.0062309-0.0025646i,-0.034928+0.013364i,-0.02029+0.01694i,-0.010437-0.013808i,-0.0095978-0.0079251i,0.0041499+0.021079i,-0.0062285+0.016334i,-0.0060113+0.001893i
0.0051082+0.0067288i,0.033973+0.023031i,0.020247+0.00070504i,0.01283+0.0040656i,0.0080948-0.0012094i,0.016833-0.0041228i,0.011594+0.01734i,0.014761+0.022565i,0.0035123-0.0015105i,0.0011357+0.00086047i,0.0028464-0.00092994i,0.003416-0.0038955i,0.00073375-0.0014077i,0.0024049+1.505e-05i,0.0052745-0.00086353i,0.0061431+0.0022434i,0.0082537-0.0032734i,0.00068134-0.0011923i,-0.0027078-0.00061012i,-5.7215e-06+0.00085545i,0.00015714+0.00047861i,-0.0019411-0.00084432i,-0.0014957-0.00022203i,0.0024949+0.0095472i,-0.00036818+0.00057443i,9.7299e-05+0.00071957i,0.00048275+0.0012798i,-0.00085385+0.00075816i,0.0002623-9.0666e-05i,-0.0011608-0.00022725i,0.0013177-0.00075772i,-0.00082052-1.9239e-05i,-0.00048851+0.00072607i,-0.00040264+0.00022779i,0.00030507-0.0011349i,-0.01353+0.0069065i,0.00055508+0.00019977i,-0.00012995-0.00020832i,-0.00098199+0.0008153i,0.002224-0.0025106i,-0.00024984+0.00027085i,-7.4861e-05-0.00027507i,0.00062685+0.0012057i,0.0042313-0.0010068i,0.00010611+0.0035555i,-0.052501-0.00059977i,-0.0052759+0.030014i,-0.021235+0.041189i,-0.02461+0.066268i,-0.029098+0.03715i,-0.0068382+0.02401i,-0.0070897+0.017956i,-0.048638+0.00056345i,-0.030944-0.0099415i,0.0089639+0.029632i,-0.0011215+0.0062382i,-0.0048001-0.0031238i,-0.012159-0.0057937i,0.0033253+0.0029056i,0.0037511+0.011433i,-0.007025-0.00012587i,-0.0020563-0.0076614i,0.0053049+0.00048452i,-0.0025775-0.0093294i,0.0071403-0.0047661i,0.0046485-0.00048532i,-0.0071232+0.0070086i,0.012774+0.0009763i,0.0092439-0.0010992i,0.011896-0.0036892i,0.0022362+0.0018642i,-3.576e-05-0.0063218i,-0.0031643-0.0050864i,0.0035243-0.00091206i,-0.027772+0.018964i,-0.0030652-0.0068421i,0.0018192+0.00086199i,0.0024923-0.0054325i,0.003106-0.0011461i,-0.0088324-0.010496i,9.5884e-05+0.0006206i,0.0050461+0.00059557i,0.0027623-0.0017037i,0.0023567-0.0052081i,-0.0062931+0.0033442i,-0.0033229+0.0060797i,-0.0074377+0.0038131i,-0.0026684+0.00025779i,-0.0060908-0.00095066i,-0.030816+0.017951i,-0.011549+0.019512i,-0.016585-0.015205i,-0.010062-0.0082329i,0.0047938+0.02017i,-0.0024925+0.019883i,-0.0056237-0.0012955i
