-0.03269-0.039241i,-0.021529-0.019169i,-0.013085-0.035857i,-0.029586-0.019491i,-0.022358-8.6447e-05i,-0.013863-0.0055153i,-0.055757-0.057764i,-0.047182-0.016458i,-0.036703-0.014436i,0.012256+0.011863i,-0.0076394+0.0045557i,-0.01939+0.019277i,0.0024467+0.011526i,-0.0057996-0.0028615i,0.00016349+0.001359i,-0.0014099+0.030576i,0.028561+0.027187i,0.0024039-0.0024838i,-0.0023233-0.0071535i,0.0080664+0.0013991i,0.0025236+0.0010493i,0.00016097+0.0034137i,-0.00037261+0.00032257i,-0.037688-0.010849i,0.00057666-0.0078419i,0.0014675+0.002116i,0.0071606+0.00059541i,0.0016948+0.00083622i,0.0010619-0.00046112i,-0.00052815-0.0026087i,0.0014096-0.0023928i,-0.0022618-0.0061551i,-0.00063362-0.0047331i,0.0028061-0.00073829i,0.0042862-0.0031456i,0.0012459+0.029204i,0.0039635-0.0035384i,0.0028353-0.0015401i,0.008467-0.0017463i,-0.0058403-0.0039484i,-4.7089e-05+0.00092191i,0.0083611-0.00058437i,0.004384-0.0027123i,-0.0014659+0.0083547i,-0.017908-0.0073897i,-0.018834+0.014925i,-0.0041384-0.061062i,-0.0053332-0.026812i,-0.0268-0.032951i,-0.011115-0.026758i,0.054686-0.021497i,0.016221-0.04343i,0.022828-0.049414i,0.0047578-0.053635i,0.02564-0.021602i,0.0083087+0.0061214i,0.024412-0.036247i,-0.0076435-0.0068244i,0.0037236-0.0048871i,-0.0039582-0.0071227i,-0.002251-0.032452i,-0.017686+0.030106i,0.0084516-0.011657i,-0.0092182-0.0035764i,-0.0042342-0.0016335i,0.00048537-0.012703i,-0.011242+0.0048263i,0.0023133+0.010062i,-0.0034345+0.02756i,0.0051627+0.0028131i,-0.0054239-0.0018654i,-0.002212-0.0021527i,-0.012976-0.007717i,-0.00048875-0.0040177i,-0.039197+0.0067321i,0.00067107-0.010538i,-0.008259+5.6402e-05i,-0.007057-0.0026549i,0.0051509+0.0012661i,-0.0086305-0.00016547i,0.0021579-3.4043e-05i,0.003395+0.0073272i,0.0040178+0.00021796i,-0.0080699-0.012382i,0.0027099+0.0092149i,-0.015606+0.0044802i,0.0070842-0.00035251i,-0.021553-0.00018271i,-0.017014+0.0062842i,-0.0076277-0.065426i,0.0081517-0.012054i,-0.049134-0.021604i,-0.021272+0.0013011i,0.017257+0.011367i,-0.023012+0.014792i,-0.020243-0.0040345i
-0.038124+0.032319i,-0.015562+0.018931i,-0.020381+0.041414i,-0.026547+0.013216i,-0.0041752+0.02099i,-0.00065379+0.0076673i,-0.02965+0.017483i,-0.0029687+0.02934i,0.007482+0.018857i,-0.0057212-0.0060825i,0.0027261+0.0034973i,0.0078218-0.0006364i,0.0055027+7.4513e-05i,-0.00065983+0.003168i,0.00064924+0.0021348i,0.0064238-0.0049161i,-0.0057151-0.00095423i,-0.0029217+0.00032797i,0.0040812-0.0010379i,-4.5878e-06-0.00094885i,0.0029302-0.0050961i,0.0016431-0.0027622i,0.0013501-0.0024868i,-0.0099168-0.010672i,-0.0011588+0.0030224i,-0.0014739+0.00025176i,-0.0039344-0.0014228i,-0.0027467-8.4169e-05i,-0.0017147-0.0019079i,5.5288e-06-0.00053043i,-0.00075039+0.0036797i,0.00072423+0.0010189i,0.0014233+0.00081042i,-0.0005329+0.00071318i,-0.0025521+0.002958i,-0.0011984-0.0068303i,-0.0025355+0.00094604i,0.00083638-0.00036522i,-0.001641+0.0028784i,0.0040103+0.0033165i,-0.00042187-0.0014801i,-0.00013459-0.0027956i,-0.0032523-0.00025183i,0.0038091+0.00028844i,-0.016474+0.025287i,0.0069255-0.035049i,-0.053787+0.0043008i,0.0069317-0.031194i,-0.031904-0.048292i,-0.029329-0.019431i,-0.061312+0.02194i,-0.037819+0.0022249i,-0.035129-0.0059726i,-0.026457-0.022434i,-0.038988-0.023561i,-0.0054128+0.0027537i,-0.02795+0.009722i,0.0068896+0.01825i,0.002486+0.0084672i,-0.0036881-0.0046752i,0.0019206+0.0014221i,-0.011598-0.0045453i,0.0055993+0.011289i,-0.00044486+0.0057165i,-0.0020916-0.0013243i,0.0010881+0.0018516i,0.003486-0.0014038i,-0.00262+0.018096i,0.0041204+0.015241i,0.0036024-0.00012743i,0.0095972-0.0063657i,0.0043492+0.0029105i,-0.0088696-0.0079871i,-0.0010154-0.0029592i,0.020248-0.041783i,0.0079421+0.010016i,0.0050483+0.0022813i,-0.0028705+0.0029921i,0.00373-0.0058003i,0.020469+0.0075308i,0.0030609+0.0029521i,0.00017449-0.0062235i,0.00073767-0.0029989i,0.018413+0.0062896i,0.004442+0.0018728i,0.0024943-0.0047305i,0.0041528+0.0079697i,-0.00055531+0.0012269i,0.0087238+0.0029457i,-0.045114-0.010666i,-0.0052748+0.010944i,-0.0024119-0.0044896i,-0.0065491+0.0059659i,-0.03629+0.012115i,-0.0055788+0.0077149i,-0.010134+0.013682i
-0.032268+0.037561i,-0.012412+0.018588i,-0.010158+0.03734i,-0.023861+0.01607i,-0.0014488+0.019012i,0.00068062+0.0075939i,-0.028192+0.022249i,0.0027079+0.028142i,0.0099924+0.013569i,-0.006897-0.0031753i,0.0038399+0.0038328i,0.0068783-0.0031943i,0.004988-0.0018157i,0.0015871+0.0037264i,0.0009249+0.0021362i,0.0021467-0.0044122i,-0.0068978+0.0021455i,-0.0024633+0.0012669i,0.0045834-0.00188i,0.00023962-0.00093472i,0.0011421-0.0053169i,0.0013335-0.0024872i,0.00074212-0.0025921i,-0.011958-0.0068697i,0.00050775+0.0026021i,-0.0014737+0.00062793i,-0.0035969+0.00017876i,-0.0020664+0.00064128i,-0.0022152-0.00070562i,0.00019356-0.00047346i,9.551e-05+0.0033517i,0.00030664+0.00097159i,0.0014189-4.772e-05i,-0.00072554+0.00090379i,-0.00234+0.0033402i,-0.0012189-0.0060362i,-0.0020655+0.0017043i,-7.32e-05-0.0010527i,-0.00078845+0.0028257i,0.0039542+0.0011492i,-0.00067168-0.0012526i,-0.0015493-0.0028494i,-0.0033748+0.00091173i,0.0040226-0.00060845i,-0.011926+0.024548i,-0.006046-0.040534i,-0.047411+0.014592i,-0.002168-0.038368i,-0.045449-0.042324i,-0.02997-0.012629i,-0.049582+0.033187i,-0.034552+0.010534i,-0.025867-0.008223i,-0.028671-0.018468i,-0.044551-0.0089977i,-0.0045723+0.0027568i,-0.023431+0.021537i,0.011468+0.012096i,0.0049607+0.0051415i,-0.0073721-0.0072755i,-0.0011402+0.0034074i,-0.010666+0.0034057i,0.0099998+0.0080433i,0.00063115+0.0077651i,-0.0021555-5.5146e-05i,0.0020073+0.0029763i,0.0035199-0.0016286i,0.0057028+0.014196i,0.0097263+0.0084031i,-0.0007981-0.0031297i,0.0032784-0.0078751i,0.0047604+0.0025719i,-0.011614+0.00010849i,-0.002661-0.00070281i,0.00085562-0.042571i,0.011803+0.0077283i,0.0072446+9.7339e-05i,0.00053392+0.0029437i,-0.00023781-0.0033726i,0.021288-0.0022148i,0.0031983+0.0013975i,-0.0034152-0.0050747i,-0.0030295-0.0014638i,0.015464+0.0043718i,0.0046894+0.0020882i,0.00083129-0.0035326i,0.0063717+0.0063009i,-0.00029109+0.0023705i,0.008943-0.00011745i,-0.047902-0.0060237i,-9.9161e-05-0.0030454i,-0.0012712-0.0040317i,-0.0042079+0.0056402i,-0.029125+0.022932i,-0.0029814+0.0085049i,-0.0027101+0.013246i
-0.025234+0.041343i,-0.010136+0.0187i,-0.0055871+0.030968i,-0.020978+0.018933i,0.0018726+0.018192i,0.0022958+0.0069771i,-0.024417+0.027662i,0.0079667+0.025599i,0.009525+0.0095889i,-0.0070402-0.00029104i,0.0060142+0.0033979i,0.0027487-0.003946i,0.0036506-0.0031007i,0.0023725+0.0030655i,0.0014023+0.002i,-0.0011659-0.0016578i,-0.0062377+0.0059542i,-0.0012161+0.0017325i,0.00437-0.0042238i,0.00052563-0.0015456i,-0.00044186-0.005i,0.001386-0.0029972i,0.00028689-0.0025964i,-0.013775-0.0031595i,0.0011091+0.0019893i,-0.00088676+0.001298i,-0.0027151+0.0006504i,-0.00090018+0.0011206i,-0.0020131-0.0006907i,-0.0001061-0.00083106i,0.0013149+0.0029674i,0.0004819+0.0012741i,0.0011457-0.00054004i,-0.00041765+0.00086968i,-0.0007685+0.0042513i,-0.00080952-0.0062145i,-0.0018454+0.0020838i,-0.00090198-0.0009229i,0.0011059+0.0021383i,0.0032315-8.9076e-05i,-0.00087624-0.00094555i,-0.0013536-0.0013168i,-0.0030515+0.0020037i,0.0035905-0.0022877i,-0.0087596+0.024323i,-0.021836-0.038623i,-0.037924+0.021116i,-0.013849-0.039891i,-0.053478-0.033499i,-0.026422-0.0069889i,-0.034052+0.038985i,-0.023036+0.015636i,-0.027952-0.012095i,-0.029796-0.014592i,-0.042768+0.0046965i,-0.0037679+0.0030644i,-0.012153+0.028904i,0.013235+0.0054032i,0.0032175+7.1815e-05i,-0.016783-0.0055478i,-0.0006015+0.0047439i,-0.0053728+0.00663i,0.011378+0.0021529i,0.0035115+0.0079487i,-0.0033705+0.0019293i,0.0022851+0.0013535i,0.0035435-0.0029683i,0.0079545+0.0073027i,0.0085301+0.0027047i,-0.005119+0.00021396i,0.00029147-0.0061096i,0.0064352+0.001495i,-0.0065914+0.0086523i,-0.00069126+0.0013542i,-0.0090103-0.02669i,0.015369+0.0011597i,0.0059083-0.0030971i,0.00079544+0.0017413i,-0.0002498-0.0012983i,0.016577-0.0094462i,0.00164+0.0031163i,-0.0051783-0.0024775i,-0.0033597+0.0026398i,0.010209-0.00059122i,0.0086472-0.00080259i,0.00082157-0.0034478i,0.0097558+0.0028203i,0.0028798+0.0020768i,0.0080691-0.0031375i,-0.050693+0.0031182i,-0.0093136-0.012197i,0.00081601-0.0068536i,-0.0025736+0.003964i,-0.018794+0.026115i,-0.0034983+0.0033643i,-0.0016078+0.0096037i
-0.017969+0.043186i,-0.0072632+0.019505i,-0.0041907+0.026247i,-0.016869+0.021547i,0.0050555+0.015157i,0.0038195+0.0054221i,-0.018285+0.031972i,0.012099+0.021542i,0.0093068+0.0079366i,-0.0061907+0.0022953i,0.0074258+0.0013441i,0.00054089-0.0013767i,0.0021972-0.0033269i,0.0022919+0.0032482i,0.0018991+0.0015624i,-0.001577+0.0023589i,-0.0027456+0.0091762i,-0.00042617+0.0014203i,0.0026351-0.0051654i,-0.00020149-0.0022257i,-0.0015618-0.0041437i,0.000935-0.0034338i,-0.00028439-0.0028114i,-0.014222+0.0021287i,0.0015019+0.00089003i,3.7909e-05+0.00079123i,-0.0019987+0.00044378i,0.00018356+0.00058427i,-0.0020781+4.9371e-05i,-0.00050181-0.00052998i,0.0023859+0.00204i,0.00095252+0.0013158i,0.00032783-0.0008856i,-0.00018964+0.00082196i,0.0011008+0.0034995i,-0.0015026-0.008027i,-0.00092229+0.0028192i,-0.0012904-0.00034091i,0.0012069-7.9917e-05i,0.0027059-0.00056364i,-0.00094774-0.00063889i,-0.00079876-0.0013087i,-0.002128+0.0030866i,0.001438-0.0041795i,-0.0059263+0.02498i,-0.034289-0.026635i,-0.028441+0.022214i,-0.024501-0.036777i,-0.06093-0.022911i,-0.021547-0.0053631i,-0.020206+0.037696i,-0.013096+0.011662i,-0.028842-0.009317i,-0.030497-0.0094173i,-0.037686+0.016973i,-0.0032893+0.0033331i,9.3393e-05+0.029018i,0.015485+0.0016457i,-0.0013222-0.0007817i,-0.022142+0.0047201i,-0.00062661+0.006392i,-0.0014149+0.0059946i,0.0086961-0.0037185i,0.0062023+0.0068083i,-0.0029084+0.0041813i,0.00029959+0.0018864i,0.0027512-0.0053092i,0.0058522+0.0017891i,0.0054176+0.00030785i,-0.0033191+0.0032767i,-0.0015131-0.0044921i,0.0064044-0.00066363i,0.00070677+0.010173i,0.00032599+0.00073146i,-0.012204-0.023675i,0.013388-0.0045846i,0.0042518-0.0041828i,0.0023473+0.0032202i,-0.00015427-0.0011971i,0.010572-0.012271i,0.0050999+0.0036924i,-0.0055506+0.00040384i,-0.00060691+0.0043773i,0.0079028-0.001565i,0.0074981-0.0061623i,-0.00073068-0.0029789i,0.0086379-0.0031593i,0.0025679-0.00096439i,0.0069518-0.0063268i,-0.046775+0.014316i,-0.019795-0.010786i,-0.0004742-0.012568i,-0.0017828+0.0013815i,-0.011804+0.02671i,-0.0074216+0.0034292i,-0.0025179+0.0085439i
-0.011632+0.044117i,-0.0048125+0.019159i,-0.0050517+0.024039i,-0.012397+0.022718i,0.0065429+0.01196i,0.0040805+0.0036607i,-0.010733+0.033826i,0.014714+0.017123i,0.010165+0.0066669i,-0.004112+0.0040534i,0.0060535-0.0020412i,0.001046+0.0006779i,0.0012898-0.0034789i,0.0037771+0.0036413i,0.0021443+0.0011398i,0.00023571+0.0050524i,0.0018117+0.0098352i,-0.00018371+0.0011088i,0.0011611-0.0055954i,-0.0011628-0.0021308i,-0.0026694-0.0034852i,0.00019616-0.0035006i,-0.0011896-0.0026902i,-0.0098788+0.0061055i,-0.0012974-0.003445i,-8.9931e-05-4.9774e-05i,-0.0013324+0.00089368i,0.00034921-0.00057463i,-0.001917+0.0015297i,-0.00021635-0.00018218i,0.0027066+0.00066831i,0.0018361+0.00065485i,-0.00027073-0.00049938i,-0.00020858+0.00083257i,0.0015444+0.0025812i,-0.0043124-0.0094435i,4.6535e-05+0.0027965i,0.00016832+0.00090737i,8.35e-05-0.00047632i,0.0019586-0.00066958i,-0.00086238-0.00045703i,-0.0011583-0.0016888i,-0.00074092+0.0033747i,-0.0011053-0.0029079i,-0.0016286+0.025852i,-0.034379-0.01181i,-0.022027+0.020674i,-0.033555-0.030446i,-0.066737-0.0073855i,-0.018614-0.007863i,-0.0093058+0.032802i,-0.0086338+0.0061949i,-0.028665-0.0078816i,-0.029054-0.0062808i,-0.029128+0.026163i,-0.002653+0.0033987i,0.01238+0.02412i,0.012735-0.0027186i,-0.0045825+0.0017814i,-0.020442+0.01448i,0.0014185+0.0075241i,0.0018816+0.0069904i,0.0027408-0.0044741i,0.0082737+0.0049267i,-0.0009929+0.0063547i,0.00029491+0.0040694i,0.0017298-0.006649i,0.001571+0.0021051i,0.0028188+0.0010187i,-0.0022173+0.004834i,-0.0024445-0.0022412i,0.0055792-0.0027158i,0.0049271+0.0066203i,0.00066629+0.00017313i,-0.015602-0.021345i,0.0098012-0.0082898i,0.0021249-0.0051042i,0.0070543+0.0022568i,-0.0004692-0.0004432i,0.0063524-0.012568i,0.0075035+0.00088746i,-0.0039069+0.0033226i,0.0022584+0.0041195i,0.0077865-0.0030495i,0.002598-0.010324i,-0.00074124-0.0021324i,0.0041978-0.0064225i,0.00054522-0.0015078i,0.00333-0.0093275i,-0.038612+0.019537i,-0.027666-0.0022235i,-0.0074763-0.0151i,-0.0027262-0.0012372i,-0.0062603+0.025675i,-0.01011+0.0064024i,-0.0013034+0.0090684i
-0.0050827+0.04468i,-0.0028401+0.019257i,-0.0053811+0.025102i,-0.0081367+0.022587i,0.0066815+0.0089872i,0.0041456+0.002563i,-0.0027851+0.032996i,0.016172+0.012784i,0.011228+0.0043358i,-0.0022231+0.0040282i,0.004265-0.0025038i,0.0021097+0.0015868i,7.8087e-05-0.0033639i,0.0053611+0.0023307i,0.0021481+0.00061282i,0.0029814+0.0059706i,0.0059825+0.0085667i,0.00012888+0.0010199i,-0.00075818-0.005694i,-0.0018704-0.0015733i,-0.0030605-0.0020998i,-0.00034608-0.0035697i,-0.0018349-0.0020982i,-0.0070714+0.0053081i,-0.00081053-0.00062109i,-0.00067714-0.00015508i,-0.0012659+0.0011154i,-0.0001705-0.0016331i,-0.00044878+0.0009234i,-0.00012975-0.00037726i,0.0025643-0.0005368i,0.0018282-0.00038179i,-0.00048999-0.0002123i,-9.2907e-05+0.0008053i,0.0017344+0.002042i,-0.0080091-0.0092108i,0.0006292+0.0023237i,-0.0015879+0.0023725i,-0.00076488+0.00057509i,0.0017115-0.00033851i,-0.00071847-6.6424e-05i,-0.0018871-0.0013413i,0.00038448+0.0029334i,-0.0019246-0.001081i,0.0030299+0.026376i,-0.028796-0.0045392i,-0.017885+0.019075i,-0.039176-0.019995i,-0.063447+0.011192i,-0.022156-0.010698i,-0.0033569+0.026371i,-0.0063477+0.0016882i,-0.027903-0.0047729i,-0.029308-0.0035066i,-0.020661+0.028742i,-0.0028928+0.0038273i,0.018832+0.010858i,0.010669-0.007531i,-0.0054576+0.0057483i,-0.01302+0.022499i,0.0037694+0.0063505i,0.0049795+0.0042901i,0.0003972-0.0014893i,0.010078+0.00098396i,0.0015789+0.0075945i,0.0018253+0.0050252i,-0.0033847-0.0091305i,0.00066833+0.0054728i,0.002919+0.0024818i,0.0014152+0.0074291i,-0.0017443-0.0005515i,0.0040748-0.0035852i,0.0087997+0.0011934i,0.0011311-0.00095486i,-0.02298-0.018775i,0.0054974-0.010076i,-8.7696e-05-0.0051864i,0.0054834-0.00042718i,-9.8988e-05+0.00077896i,0.0043945-0.012134i,0.0072794-0.0025275i,-0.0012836+0.0046161i,0.0037471+0.001695i,0.0060158-0.0048845i,-0.003714-0.0098564i,-0.00095772-0.0023712i,-0.00074981-0.0055248i,0.00010868-0.0022898i,-0.0015398-0.0088725i,-0.032921+0.022651i,-0.02464+0.011148i,-0.011784-0.013996i,-0.0051302-0.0018512i,-0.003086+0.02435i,-0.0089015+0.011245i,0.0020872+0.0077946i
0.0014038+0.044363i,-0.00026215+0.019765i,-0.0037297+0.027301i,-0.0049508+0.021442i,0.0058361+0.0072612i,0.0042952+0.001453i,0.0039172+0.030164i,0.016595+0.0089428i,0.01195+0.0019905i,-0.0013356+0.0039844i,0.0029417-0.0020669i,0.0040907+0.0019435i,-0.0010414-0.0028072i,0.0055867-0.00030954i,0.0019537+0.00024497i,0.0054424+0.0053861i,0.0087123+0.0056138i,0.00036736+0.0010358i,-0.0022401-0.0050069i,-0.0022366-0.00071945i,-0.0026066-0.00084463i,-0.0012704-0.0036272i,-0.0022014-0.0014271i,-0.0070163+0.0059179i,-0.0011267-7.8667e-05i,-0.0011271+0.00034119i,-0.0011043+0.0013837i,-0.0016729-0.0019371i,-0.0006043+0.00053544i,-0.00039714-0.00058415i,0.0021117-0.0012383i,0.0020806-0.0012431i,-0.00016215-0.00011264i,8.3708e-05+0.00069211i,0.0021643+0.00094394i,-0.011751-0.0072973i,0.0011711+0.002008i,-0.001016+0.0017749i,-0.00090127+0.0013246i,0.0018331-0.00010039i,-0.00047357+0.00011351i,-0.0015513-0.00021483i,0.00096468+0.0021509i,-0.0017598-0.00015248i,0.00833+0.024779i,-0.025043-0.0032513i,-0.01481+0.018366i,-0.039089-0.010023i,-0.053655+0.0265i,-0.025502-0.0080898i,0.0010299+0.022014i,-0.006696-0.0026817i,-0.026308-0.0029857i,-0.02826+0.00081061i,-0.013626+0.032377i,-0.0016507+0.0039278i,0.013176-0.0014682i,0.0060516-0.011305i,-0.0037588+0.0089969i,-0.0043963+0.024353i,0.004642+0.004172i,0.0051329+0.00032149i,0.0014011-0.00021907i,0.0092749-0.0022762i,0.0062789+0.0065626i,0.0037054+0.0061016i,-0.0079009-0.0035148i,0.0035584+0.0077488i,0.0041586+0.0028522i,0.0052433+0.0056653i,-0.0012773+7.8122e-05i,0.0032615-0.0043052i,0.0088849-0.0058453i,-0.00066574-0.0012419i,-0.030268-0.010149i,0.001797-0.010049i,-0.0020634-0.0037681i,0.0053842+0.00036533i,0.00058798+0.00073784i,0.0027182-0.014362i,0.0055736-0.0051317i,0.0012172+0.003652i,0.0035331+0.00053422i,0.0049367-0.0058472i,-0.0068303-0.0055002i,-0.0024373-0.0023166i,0.00010483-0.0032788i,-0.0016425-0.0027968i,-0.0041631-0.0068376i,-0.026364+0.025068i,-0.018001+0.01172i,-0.01275-0.012375i,-0.0067123-0.00080806i,0.00048766+0.022762i,-0.0072044+0.01293i,0.0025083+0.0052149i
0.0077558+0.043437i,0.0029945+0.019928i,-0.00016633+0.030068i,-0.0025102+0.021067i,0.0049631+0.0067093i,0.003932+0.00059001i,0.0092708+0.026177i,0.016602+0.0057422i,0.012364-0.0011076i,-0.00045606+0.0042142i,0.002884-0.0015468i,0.0059837-0.00010498i,-0.0018014-0.0018289i,0.0038215-0.0015456i,0.0019098+0.00012764i,0.0073441+0.0034911i,0.0099673+0.002238i,0.00081564+0.00066867i,-0.0034073-0.0041317i,-0.0020072+0.00035721i,-0.0018251-0.00021053i,-0.0020948-0.0027494i,-0.0024581-0.00078093i,-0.005649+0.0078171i,-0.0013974+0.00046691i,-0.00095149+0.00097583i,-0.00071823+0.0017827i,-0.00315-0.00092902i,-0.00063518+0.00051753i,-0.0006863-0.00053202i,0.0014351-0.00195i,0.0014143-0.0026413i,-0.00032534-0.00021291i,8.1823e-05+0.00058512i,0.0017676-3.4627e-05i,-0.014508-0.0031442i,0.001558+0.0014717i,-0.00047056+0.0019042i,-0.00091272+0.0017352i,0.00066892+0.0028836i,-1.1278e-05+0.00013297i,-0.00098827+0.00021295i,0.0010831+0.0015114i,-0.0014803+0.0005574i,0.012527+0.021332i,-0.024961-0.0028232i,-0.012672+0.017193i,-0.038282-0.0018896i,-0.040274+0.034116i,-0.028489-0.0045816i,0.0053976+0.016291i,-0.0079347-0.0044012i,-0.025439-0.001549i,-0.026203+0.0049925i,-0.0043097+0.034205i,-0.00061972+0.0036657i,0.0062519-0.0033447i,0.00072418-0.012642i,0.00033939+0.011949i,0.0030005+0.021978i,0.0043497+0.0021817i,0.0033399-0.0027307i,0.00080877+0.00019243i,0.0072574-0.0056376i,0.009437+0.003069i,0.0062677+0.005651i,-0.0076934+0.00074572i,0.0069119+0.0076663i,0.0057157+0.0027568i,0.0092282+0.001924i,-0.00084708+0.00077484i,0.0028175-0.0051457i,0.0049939-0.0097387i,-0.00088258+0.00078648i,-0.033272+0.0027791i,-0.00074623-0.0093641i,-0.0028987-0.0020619i,0.0068713-0.00036344i,0.0008288+0.00031337i,-0.001575-0.016504i,0.0032139-0.0066191i,0.0026456+0.0029114i,0.0036902-0.00069364i,0.0045944-0.0068758i,-0.0082809-0.0025208i,-0.003821-0.00055838i,-0.0021543-0.0036618i,-0.0028478-0.0023374i,-0.0055034-0.0047227i,-0.020658+0.025458i,-0.016389+0.012174i,-0.013333-0.012397i,-0.0072689+0.00087914i,0.0022353+0.022548i,-0.0057975+0.013503i,0.0029742+0.0038821i
0.014418+0.041664i,0.0070372+0.019222i,0.0062127+0.031226i,0.00015464+0.020836i,0.0052895+0.0071997i,0.0037252+0.00018571i,0.013069+0.02101i,0.016592+0.0028342i,0.011545-0.004319i,0.00057942+0.0040636i,0.0029246-0.0021304i,0.005479-0.0031436i,-0.0021131-0.00088539i,0.0028822-0.001764i,0.0019859-5.7497e-05i,0.0077435+0.00079924i,0.0099492-0.0007174i,0.0005989+0.00012553i,-0.0047388-0.0028378i,-0.0012893+0.00087428i,-0.0010165-0.00031512i,-0.0021961-0.0019712i,-0.0024238+1.5437e-05i,-0.0026558+0.0091531i,-0.0012222+0.0010866i,-0.00052327+0.0013348i,3.5043e-05+0.0018523i,-0.0033367+0.0006892i,-0.00058284+0.00042463i,-0.00089468-0.00038921i,0.00041058-0.0022373i,-0.00035577-0.0032568i,-0.00049342-2.7647e-05i,3.0732e-05+0.00055426i,0.0011684-0.00062547i,-0.014956+0.0018594i,0.0016167+0.00091845i,0.0002471+0.0018869i,-0.00066061+0.0022626i,0.00028768-0.0010991i,0.00067993-0.00019044i,-0.0003744+0.00011824i,0.00086404+0.0011124i,-0.0011062+0.00099496i,0.015065+0.018133i,-0.027356+0.00067735i,-0.011095+0.016371i,-0.033248+0.0064515i,-0.027828+0.038613i,-0.030519+0.0024825i,0.0077618+0.0092102i,-0.0064134-0.006471i,-0.024448+0.0011397i,-0.022505+0.0095915i,0.0041507+0.032239i,-0.00024509+0.0027402i,0.0020994-0.0034385i,-0.0050843-0.011987i,0.0064085+0.011427i,0.0069073+0.017462i,0.0028169+0.00093572i,0.0012093-0.0044727i,0.0018911+0.0027851i,0.0034913-0.0075341i,0.010321-0.0024928i,0.0085054+0.0037026i,-0.0071434+0.004467i,0.010864+0.0062743i,0.0080444+0.00031095i,0.010833-0.0031188i,4.9118e-05+0.0012894i,0.0014268-0.0058513i,-0.00053261-0.0094511i,0.00097314+0.0021962i,-0.030531+0.015759i,-0.002943-0.0087859i,-0.0025277-0.00011849i,0.0067671-0.0063223i,0.0013024+0.00071967i,-0.0078198-0.015441i,0.00029196-0.0063693i,0.0036893+0.0014001i,0.0034101-0.0011311i,0.0027711-0.0084849i,-0.0083339+0.0025677i,-0.0032802+0.0017498i,-0.0044254-0.0015862i,-0.004215-0.0019697i,-0.0057141-0.0027741i,-0.017512+0.02578i,-0.015013+0.016393i,-0.015511-0.014097i,-0.0051855+0.0025953i,0.0060177+0.022579i,-0.0051413+0.015408i,0.0040474+0.0010835i
0.020949+0.038455i,0.010743+0.017223i,0.012743+0.028797i,0.0032676+0.020217i,0.0065686+0.0072549i,0.0039629-0.00012739i,0.014862+0.015922i,0.016093-6.9407e-05i,0.0099882-0.0067571i,0.0012055+0.003756i,0.0024451-0.0026321i,0.0031494-0.0047887i,-0.0021938+7.4691e-05i,0.0018602-0.001756i,0.0019546-0.00031117i,0.0068045-0.001287i,0.0092478-0.0036061i,0.00039528+4.5131e-05i,-0.0051139-0.0010903i,-0.00062357+0.00093415i,-0.00046838-0.00068502i,-0.0022909-0.0016872i,-0.0020443+0.00063238i,0.00037146+0.0093669i,-0.00097353+0.0012911i,-5.7576e-05+0.001474i,0.00068896+0.001365i,-0.0026569+0.0018201i,-0.00063302+0.00032538i,-0.0012396-9.0611e-05i,-0.0005758-0.0020318i,-0.0024803-0.0026885i,-0.00036229+0.00019987i,0.0001551+0.00051338i,0.00046571-0.00087587i,-0.013165+0.0063953i,0.0016436+0.00037082i,0.00080048+0.0013593i,0.00037506+0.0028363i,0.00044302-0.0012196i,-0.0006812-0.00040435i,0.00040449-0.0003982i,0.00071878+0.001228i,-0.00071921+0.0013111i,0.017341+0.015503i,-0.026855+0.0073478i,-0.010735+0.01582i,-0.026764+0.0099716i,-0.014847+0.03971i,-0.028469+0.011906i,0.0065112+0.0020981i,-0.0072114-0.011752i,-0.020689+0.0028327i,-0.016437+0.014088i,0.011947+0.027024i,-0.00048532+0.0027633i,-0.0018035-0.0021367i,-0.0096992-0.0085474i,0.010534+0.0068657i,0.012718+0.01601i,1.2491e-07+0.0017454i,-0.001257-0.0063104i,0.005525+0.0015182i,-0.0005047-0.0070477i,0.0072391-0.0063971i,0.009876-3.4861e-05i,-0.0055741+0.007098i,0.014094+0.00053075i,0.0078362-0.0042668i,0.0089391-0.0073625i,0.0013056+0.0012997i,-0.00044501-0.0060718i,-0.0041956-0.0056824i,0.0028224+0.001107i,-0.020939+0.029055i,-0.0056044-0.00756i,-0.0012752+0.00094209i,0.001373-0.0078192i,0.0022557+0.00042844i,-0.01291-0.01148i,-0.0010606-0.00443i,0.0038237-0.00060369i,0.0029601-0.0017364i,-0.00016688-0.0085452i,-0.0046106+0.0066169i,-0.0017453+0.0030367i,-0.0048698+0.0017229i,-0.0061119-0.00073878i,-0.0056304-0.0016409i,-0.012213+0.028809i,-0.0072257+0.020105i,-0.017816-0.01386i,-0.0029219+0.0011105i,0.0092705+0.020867i,-0.0023149+0.017796i,0.0028579-0.0024893i
