-0.023258-0.038983i,-0.010121-0.049265i,-0.016908-0.046129i,-0.03106-0.035815i,-0.029656-0.017248i,-0.050729-0.028766i,-0.05929-0.0264i,-0.044988-0.039257i,-0.029557-0.036912i,0.0070259+0.013286i,-0.0053423+0.015707i,-0.005031+0.01487i,0.0098107+0.021859i,6.9813e-05+0.0050415i,0.0036126+0.0032252i,0.0066603+0.018243i,0.027857+0.039172i,-0.0021762-0.00050154i,-0.0043018-0.0062242i,0.008307+0.0016978i,-0.00015204-0.00094378i,-0.00081578+0.0014834i,0.00018986-0.00044007i,-0.030827-0.0021994i,-0.0012439-0.0058671i,0.0017445+0.0046864i,0.0039898-0.00052969i,-0.00020524+0.00072814i,0.00054166-0.0006028i,2.641e-05-0.0024827i,-0.0015461-0.0062144i,-0.0045634-0.0042203i,-0.0018324-0.0051806i,0.0021862-0.00092902i,0.0024919-0.0027478i,0.0027052+0.02655i,0.001968-0.0029811i,0.002823+0.00054882i,0.0064274+0.0011102i,-0.010094-0.0032684i,-0.0029701+0.00087282i,0.0069118+0.0018126i,0.0050132+0.0004069i,-0.0039248+0.0056586i,0.0015581-0.0077518i,-0.011764+0.018732i,0.036662-0.090718i,0.012556-0.070588i,-0.015896-0.059848i,-0.016898-0.055992i,0.038934-0.047143i,0.01725-0.063024i,0.034538-0.056093i,0.03166-0.05966i,0.015397-0.013722i,0.0046562+0.016654i,0.016477-0.026627i,-0.011373+0.0060732i,-0.0008059+0.0054369i,-0.0054217-0.00067705i,-0.0025727-0.028745i,-0.023829+0.031587i,0.010547-0.011174i,-0.013096-0.0026087i,-0.00011205-0.0049671i,-0.0011628-0.016197i,-0.0073211+0.0051255i,0.0052189+0.0061158i,-0.008166+0.030955i,0.0050614+0.0060524i,-0.0051847-0.0007323i,-0.0032619-0.00038537i,-0.012151-0.0074538i,-0.00024704-0.0044053i,-0.029471+0.0064371i,0.00013399-0.0099583i,-0.0094516-0.0019718i,-0.0065237-0.0027543i,0.007087+0.003021i,-0.0075959+0.0010713i,0.00015506+0.0003136i,0.0058248+0.010782i,0.0038051+0.0014081i,-0.0093491-0.010395i,0.0032332+0.0080428i,-0.021602+0.0060436i,0.0081275+0.00014965i,-0.029117-0.004065i,-0.042194+0.0022687i,0.019776-0.09613i,-0.0019161-0.011748i,-0.053144-0.021848i,-0.023464+0.0011064i,0.018387+0.011017i,-0.024931+0.012732i,-0.018843-0.013216i
-0.031786+0.019029i,-0.053171+0.018451i,-0.032516+0.046391i,-0.031365+0.024784i,-0.028677+0.03987i,0.0050496+0.047455i,-0.0032878+0.024256i,-0.016919+0.039499i,-0.013792+0.022121i,-0.0030698-0.0057917i,-0.0042215-0.0033267i,-0.0014909-0.0035404i,-0.0039023-0.00086876i,-0.0067493-0.0048739i,-0.0019569+0.0042916i,-0.0031774-0.0016913i,-0.011349-0.0037796i,-0.0019666-0.00099795i,0.0028265-0.0015927i,0.0019322-0.00050676i,0.0026861-0.003528i,0.0023734-0.0039236i,0.0012384-0.0025656i,-0.0093282-0.0079886i,-0.0019799+0.00051543i,-0.0042045+0.0012857i,-0.0017879-0.00011023i,-0.0034844-0.0012091i,-0.0012757-0.0014833i,0.0010708-0.0018918i,-0.0017504+0.0063699i,0.001395+0.00014264i,0.0028918+0.00011286i,0.0010518+0.0013998i,-0.0016963+0.0034168i,-0.00095227-0.0065144i,-0.0013288+0.0011552i,0.00047335-0.00017074i,2.6902e-07+0.0035901i,0.0077355+0.0050869i,0.0013197-0.0027642i,0.0012473-0.0038479i,-0.0037316+8.5145e-05i,0.0012479+0.0025859i,-0.031384-0.0073618i,0.012291-0.078742i,-0.093505-0.030139i,-0.05275-0.036138i,-0.076314-0.049433i,-0.058561-0.0054808i,-0.093869+0.019262i,-0.059281+0.011807i,-0.04908-0.025746i,-0.032667-0.05676i,-0.025009-0.030255i,0.0026965+0.0050841i,-0.01821+0.010691i,0.0092707+0.0033418i,0.011299+0.0042562i,0.00073895-0.0068i,0.008351+0.00040573i,-0.0081881-0.0035925i,0.0023394+0.014675i,-0.0011328+0.0092721i,0.00055918+0.0015975i,0.005703+0.003534i,0.0018532-0.00069232i,-0.0010449+0.015371i,0.00064993+0.011039i,0.0034614-0.0050667i,0.010372-0.0067956i,0.002135+0.0025007i,-0.0082443-0.0074206i,-0.0021124-0.0025114i,0.018488-0.026356i,0.0061579+0.0041162i,0.003185+0.0043869i,-0.003554+0.0025219i,0.0022621-0.0037538i,0.021799+0.002302i,0.0019759-0.0026126i,-0.00069041-0.0096028i,0.0005983-0.0024952i,0.012973+0.002957i,0.0051919+0.00051523i,0.0043229-0.0067516i,0.0034708+0.0085951i,0.0040795+0.00031513i,0.024858+0.0049495i,-0.07871-0.036395i,-0.0062163+0.018809i,0.006941-0.0028933i,-0.0011621+0.0030553i,-0.036044+0.01281i,-0.006877+0.0067444i,-0.017252+0.013444i
-0.027098+0.022856i,-0.049635+0.023589i,-0.021275+0.044701i,-0.027211+0.028676i,-0.02205+0.041412i,0.013838+0.04471i,3.338e-06+0.023918i,-0.0092028+0.040807i,-0.0090606+0.019401i,-0.0049897-0.0036045i,-0.0045287-0.00080008i,-0.0026579-0.0041416i,-0.0046457-0.00033346i,-0.007104-0.002067i,-0.00070371+0.0052307i,-0.0054907+0.00049226i,-0.013299+0.0016811i,-0.0018422+0.0003169i,0.0031471-0.00207i,0.0020503-0.0014159i,0.0015487-0.0040408i,0.0015793-0.0039795i,0.00083535-0.0025972i,-0.010636-0.0048055i,-0.0011067+0.00087248i,-0.0037649+0.0025868i,-0.0014205+0.00047503i,-0.0035146+6.5648e-05i,-0.0018329-0.0012712i,0.00036828-0.0017594i,0.0010478+0.0067893i,0.0010562-0.00013706i,0.0023456-0.0010855i,0.0008402+0.0011602i,-0.001433+0.003017i,-0.0012063-0.0059437i,-0.00080483+0.00094572i,-0.00040686-0.00041828i,0.00017889+0.0040893i,0.0078517+0.00083184i,0.00050316-0.0030284i,-0.00093224-0.0041692i,-0.0042757+0.0010433i,0.0019298+0.0023625i,-0.032079-0.0070172i,-0.011472-0.090296i,-0.090165-0.011771i,-0.062011-0.034102i,-0.088191-0.038082i,-0.057739+0.0046727i,-0.08404+0.036636i,-0.055095+0.023949i,-0.041596-0.024867i,-0.039552-0.051723i,-0.033377-0.019268i,0.0042222+0.0021702i,-0.011834+0.01959i,0.0091866-0.00051598i,0.012086-0.0021543i,-0.0047309-0.010671i,0.0038396+0.00028329i,-0.0082624+0.0028717i,0.0081673+0.012562i,0.0014001+0.011082i,0.00084468+0.0014583i,0.0072975+0.003447i,0.0025054+0.00048984i,0.0055662+0.011681i,0.0054815+0.0066716i,-0.0016197-0.0071371i,0.0035445-0.0079427i,0.0034518+0.0029012i,-0.010806-9.758e-05i,-0.0024672+0.00015911i,0.006723-0.027556i,0.0073603+0.0029379i,0.0068836+0.002673i,-0.00048214+0.0027351i,-0.00035925-0.0012743i,0.018909-0.0073223i,0.00025022-0.0031233i,-0.0056569-0.0079873i,-0.0026729-0.0016602i,0.011182-0.001823i,0.0047929+0.00097963i,0.0017721-0.0047105i,0.0060826+0.0071289i,0.0033883-0.00044459i,0.024434-0.0031747i,-0.083263-0.027178i,0.0017491+0.0087895i,0.0055437-0.0057465i,-0.00016379+0.00090069i,-0.02903+0.023015i,-0.0047833+0.0072259i,-0.013054+0.016421i
-0.021493+0.025202i,-0.046831+0.029112i,-0.014688+0.040459i,-0.022792+0.031191i,-0.014486+0.043417i,0.021791+0.039802i,0.0036011+0.023558i,-0.0014185+0.040211i,-0.0082171+0.017139i,-0.0058395-0.0011615i,-0.0034717+0.0011323i,-0.006237-0.0034677i,-0.004926+0.0016487i,-0.0072674+0.00010305i,0.0011711+0.0056872i,-0.0061766+0.0041382i,-0.012022+0.0078149i,-0.00034174+0.0012548i,0.0031449-0.003813i,0.0019107-0.002707i,0.00016905-0.0044575i,0.00065569-0.0046463i,0.00043516-0.0027778i,-0.011478-0.0021223i,-0.00098896+0.0010563i,-0.0023452+0.0041158i,-0.00097442+0.00040151i,-0.0027933+0.0015106i,-0.002137-0.00079226i,-0.00057892-0.0024597i,0.0036933+0.0055501i,0.00080277-0.00035915i,0.0017357-0.0015284i,0.0013959+0.00070522i,-0.00030226+0.0039652i,-0.0012758-0.0058895i,-0.001159+0.00069622i,-0.00078291-0.00015147i,0.0034533+0.002808i,0.0062026-0.0019365i,-0.00032915-0.0027918i,-0.0012861-0.0025104i,-0.0046406+0.0024712i,0.0022569+0.00089851i,-0.034932-0.0045446i,-0.040846-0.089631i,-0.080265+0.0018801i,-0.071561-0.026574i,-0.095329-0.022472i,-0.053371+0.013222i,-0.069159+0.048611i,-0.04079+0.033924i,-0.04552-0.02612i,-0.045848-0.047381i,-0.034932-0.0068022i,0.0045414-0.00107i,-0.0019473+0.021547i,0.0083107-0.0034899i,0.0079228-0.0075657i,-0.014713-0.0089498i,0.0026112-2.1143e-05i,-0.0041334+0.0065028i,0.011475+0.0071428i,0.0047961+0.011865i,1.8696e-05+0.0017357i,0.0079463-0.00063824i,0.0042118-0.0015007i,0.0074229+0.0064928i,0.0052005+0.0020697i,-0.0068273-0.003516i,0.00097409-0.006274i,0.0054408+0.0017069i,-0.0068876+0.0089708i,-0.00061857+0.0015852i,-0.0024323-0.024684i,0.0092028-0.00039035i,0.0068173-0.00082623i,0.00025346+0.0022253i,0.0008657+0.00034341i,0.012385-0.012251i,-0.0023508-0.00039572i,-0.0086679-0.0042327i,-0.0032686+0.0017156i,0.0070809-0.0045496i,0.0077985-0.00078313i,0.0025399-0.0048371i,0.0093815+0.0038816i,0.0046693-0.0020174i,0.021285-0.010587i,-0.087125-0.013978i,-0.00023985-0.00084262i,0.0057078-0.0082128i,-1.7598e-06-0.0019718i,-0.019246+0.026795i,-0.0053693+0.0032171i,-0.00853+0.01321i
-0.016012+0.02533i,-0.042379+0.035542i,-0.011433+0.037175i,-0.017749+0.034347i,-0.006028+0.04252i,0.028182+0.033432i,0.0079053+0.022728i,0.0056232+0.037626i,-0.0078417+0.017472i,-0.0054864+0.0013629i,-0.0025755+0.0013774i,-0.0082241+0.00065607i,-0.0045033+0.0033226i,-0.0072799+0.0028156i,0.0028722+0.0050454i,-0.0045372+0.007914i,-0.0072502+0.012709i,0.0005871+0.00055994i,0.0014427-0.0048635i,0.0003685-0.0039609i,-0.0013934-0.0041977i,-0.00061726-0.0046847i,-0.00013507-0.0032876i,-0.011577+0.0014081i,-0.00032754+0.00082629i,4.1756e-05+0.0036074i,-0.0010038+0.00022733i,-0.0016132+0.0018139i,-0.0023669+0.00014148i,-0.0021269-0.0017792i,0.0050942+0.0034409i,0.0004086-0.00036435i,0.00080686-0.0019886i,0.0015276+1.3791e-05i,0.0017343+0.0035447i,-0.002365-0.007244i,-0.0008289+0.0012237i,-0.0010229+0.00024993i,0.003055-0.00073341i,0.0044055-0.0029219i,-0.00083703-0.0024169i,-0.00085418-0.0022491i,-0.0039119+0.0043438i,-0.00011959-0.0011109i,-0.037972-0.00038603i,-0.066364-0.073856i,-0.070298+0.0076442i,-0.079061-0.015078i,-0.099283-0.0058642i,-0.047395+0.018912i,-0.05527+0.054592i,-0.026387+0.03334i,-0.048481-0.020436i,-0.051747-0.040221i,-0.032844+0.0021178i,0.0024492-0.0037551i,0.0063004+0.01919i,0.0067404-0.0061329i,0.002294-0.0089104i,-0.020701+0.00035029i,-0.000269+0.00084153i,0.00010972+0.0057516i,0.010776+0.0012597i,0.0097362+0.011305i,0.00055851+0.0028533i,0.0047955-0.0024388i,0.0038454-0.0047782i,0.0063775+0.0020884i,0.0025953+0.00041756i,-0.0070635+0.00032405i,-0.001136-0.0051009i,0.0058325-0.00038743i,0.0028141+0.010125i,0.00026613+0.00084068i,-0.007495-0.019677i,0.0081924-0.0035918i,0.0061101-0.0030726i,0.0015064+0.0028198i,0.0012618+7.3623e-05i,0.0066329-0.01288i,-0.00025571+0.001739i,-0.0097657+0.00039193i,-0.00098131+0.0035211i,0.00431-0.004141i,0.0068921-0.0048105i,0.0005246-0.0051424i,0.0092912-0.0014203i,0.003321-0.00489i,0.016491-0.016741i,-0.084561+0.00086391i,-0.0066703-0.0046609i,0.0035232-0.012891i,-0.0014557-0.004573i,-0.012525+0.026297i,-0.0089329+0.0030795i,-0.0080375+0.012016i
-0.01213+0.02487i,-0.037322+0.040992i,-0.010132+0.036013i,-0.011432+0.03624i,0.00097043+0.039743i,0.03251+0.026386i,0.012498+0.020421i,0.011455+0.034202i,-0.0060118+0.018805i,-0.0039691+0.0032215i,-0.0025173+0.0021678i,-0.0072419+0.0043484i,-0.003593+0.004813i,-0.0056126+0.0056388i,0.0044143+0.0039768i,-0.0011474+0.010102i,-0.001273+0.014529i,0.00074594+3.6196e-05i,0.00021002-0.0049228i,-0.0015863-0.0037774i,-0.0028495-0.0033562i,-0.0019645-0.0042171i,-0.0014345-0.0033112i,-0.0095207+0.0043311i,-0.00072572+0.00019548i,0.00035421+0.0019757i,-0.001095+0.00031721i,-0.00089176+0.0018383i,-0.0020613+0.0011479i,-0.0021976-0.00025855i,0.0054008+0.0011413i,0.00030691-0.00050535i,-0.00012898-0.0018312i,0.0011137-0.00052085i,0.0024667+0.0021311i,-0.0049696-0.0074503i,-0.00055163+0.001516i,-0.00097637+0.0010894i,0.00077302-0.0014727i,0.0029339-0.0027903i,-0.0012773-0.0022139i,-0.0010014-0.0023186i,-0.0020916+0.0055906i,-0.0025648+0.00099797i,-0.039052+0.0066502i,-0.076573-0.050039i,-0.064395+0.0090071i,-0.083744-0.0010535i,-0.099741+0.0126i,-0.042988+0.021761i,-0.041605+0.057861i,-0.016867+0.030152i,-0.049528-0.015474i,-0.05523-0.033498i,-0.02972+0.010054i,4.8847e-05-0.0049894i,0.014634+0.013868i,0.0046756-0.007623i,-0.0026334-0.0073416i,-0.019993+0.0099524i,-0.00059411+0.0030898i,0.0028022+0.0057399i,0.0068564-0.001103i,0.014438+0.0077468i,0.0016538+0.0032339i,0.0026578-0.0015188i,0.0018234-0.0070309i,0.0034402+0.0013821i,0.00060264+0.0015382i,-0.0065268+0.0047067i,-0.002822-0.0025706i,0.0051477-0.0023825i,0.0074716+0.0055228i,0.00053393+0.00047372i,-0.010482-0.017416i,0.0060812-0.0060132i,0.0044098-0.0050348i,0.0043116+0.0022399i,0.0017644+2.302e-05i,0.0033994-0.012037i,0.0015879+0.001407i,-0.0074063+0.0058576i,0.0015083+0.0034601i,0.0034288-0.0034073i,0.0036412-0.008664i,7.3075e-05-0.0044673i,0.0059944-0.0053725i,-3.9288e-05-0.0061759i,0.0087394-0.022356i,-0.078754+0.010703i,-0.01441-0.0013945i,-0.00086766-0.016038i,-0.0029261-0.0067246i,-0.0077193+0.02579i,-0.011866+0.005876i,-0.0067489+0.012817i
-0.0091318+0.024504i,-0.031404+0.046318i,-0.0085479+0.037609i,-0.0050246+0.036052i,0.0056106+0.035803i,0.035603+0.019469i,0.016787+0.016581i,0.01625+0.030258i,-0.0034354+0.019073i,-0.0024136+0.0034117i,-0.0027812+0.0034331i,-0.0052643+0.0069018i,-0.0021163+0.0063066i,-0.0031078+0.0068034i,0.0052279+0.0024177i,0.0025268+0.010453i,0.0049601+0.013431i,0.00098305-0.00018461i,-0.001404-0.004896i,-0.0029085-0.0028194i,-0.0032648-0.0017628i,-0.0028244-0.0034098i,-0.0023086-0.0025305i,-0.0077394+0.0053989i,-0.0014628+0.00063383i,-4.0749e-05+0.0016797i,-0.0014365+0.00069661i,-0.00014222+0.0015005i,-0.0012526+0.0016821i,-0.001709+0.00051193i,0.0050438-0.00081887i,6.9585e-05-0.00059845i,-0.00072359-0.0014328i,0.00067319-0.00085898i,0.0025283+0.0015307i,-0.0076509-0.0062951i,-0.00035226+0.001433i,-0.00026642+0.0016009i,-0.00019779-0.0012828i,0.0021089-0.0023978i,-0.0017916-0.001619i,-0.001757-0.0020017i,6.9189e-05+0.0057204i,-0.0022037+0.0043056i,-0.038109+0.014252i,-0.075072-0.033077i,-0.061881+0.011395i,-0.083782+0.016174i,-0.093997+0.032712i,-0.041325+0.02486i,-0.029918+0.057514i,-0.0093885+0.025861i,-0.049049-0.0091755i,-0.059164-0.02663i,-0.024544+0.01486i,-0.003292-0.004654i,0.017655+0.0018357i,0.0027434-0.009438i,-0.0059385-0.0036323i,-0.014183+0.017622i,0.00072926+0.0037855i,0.0063662+0.0035781i,0.0053704-9.3051e-05i,0.017671+0.00055824i,0.0028269+0.0033985i,0.0022761-0.00084413i,-0.0027976-0.0087706i,0.0022288+0.0027971i,0.00087692+0.0035802i,-0.0023907+0.0084646i,-0.0017728-0.00020854i,0.0037505-0.0034393i,0.0086513+0.00088455i,0.0012194-0.00027855i,-0.01571-0.01594i,0.0030296-0.0070064i,0.0014232-0.0060022i,0.0041347-0.00011077i,0.0017888+0.00026872i,0.001672-0.010506i,0.0022846+0.0001626i,-0.0029203+0.0083125i,0.002583+0.0015353i,0.0025827-0.0037556i,-0.0020714-0.009456i,-0.00081323-0.0055055i,0.0023199-0.0056874i,-0.0019901-0.0060686i,-0.0017277-0.022549i,-0.074965+0.018955i,-0.013248+0.0085995i,-0.0060193-0.016484i,-0.0062364-0.0073958i,-0.0048239+0.02498i,-0.011107+0.010639i,-0.0023488+0.012259i
-0.0059186+0.024476i,-0.024064+0.051224i,-0.0046047+0.040292i,0.00020286+0.034599i,0.0081506+0.033214i,0.037556+0.012153i,0.019785+0.011894i,0.019985+0.02622i,-0.00084313+0.019688i,-0.0016493+0.00371i,-0.0016679+0.0055344i,-0.0021742+0.0087268i,-0.0001422+0.0070964i,-0.00083346+0.006774i,0.0052982+0.00088572i,0.0058783+0.0093937i,0.0095134+0.01012i,0.0011101-0.00043851i,-0.0027875-0.0041027i,-0.0036359-0.0012309i,-0.0030017-0.00061319i,-0.0035653-0.0026128i,-0.0027274-0.0016722i,-0.006961+0.0070829i,-0.0014527+0.0014171i,-5.2083e-05+0.0021533i,-0.00118+0.0015354i,-9.2429e-05+0.00097328i,-0.00063242+0.0017021i,-0.0011488+0.00077281i,0.0039958-0.002396i,7.2731e-05-0.00028247i,-0.0008286-0.0011475i,0.00035998-0.0010128i,0.0029427+0.00017041i,-0.0098372-0.0042534i,0.00010528+0.0016463i,0.00036369+0.0013837i,-0.00092633-0.0011323i,0.0017941-0.0023001i,-0.0019069-0.00087826i,-0.0019042-0.0011629i,0.0016152+0.0047155i,-0.00056325+0.0055107i,-0.034322+0.020514i,-0.074524-0.025576i,-0.061007+0.016024i,-0.076889+0.031547i,-0.082531+0.050085i,-0.038431+0.030837i,-0.01994+0.057085i,-0.0053565+0.020911i,-0.047516-0.0041125i,-0.062047-0.017816i,-0.020186+0.018331i,-0.0043643-0.0044579i,0.011105-0.0085478i,-0.00057725-0.011099i,-0.0065543-0.00011584i,-0.0063767+0.019858i,0.0011462+0.003261i,0.0076207-0.0011657i,0.0062982-0.00072956i,0.015513-0.0053003i,0.0050853+0.0027539i,0.0024671+0.00046063i,-0.0074759-0.0040211i,0.0031375+0.0039628i,0.0024514+0.0047274i,0.0024657+0.0084769i,-0.0011504+0.00013429i,0.0024276-0.0039972i,0.0081652-0.0045187i,3.2033e-05-0.00078285i,-0.021625-0.010276i,0.00070289-0.0065822i,-0.00096076-0.0043929i,0.0047477+0.00035645i,0.001725-0.0005257i,0.00094172-0.011349i,0.0020433-0.0011463i,0.00091483+0.0069702i,0.0026329+0.001093i,0.0021592-0.0032784i,-0.0058467-0.0058105i,-0.0039553-0.0059241i,-0.00055581-0.0052298i,-0.0041279-0.0056131i,-0.0088906-0.018405i,-0.069584+0.027453i,-0.0081073+0.0075169i,-0.0068671-0.015363i,-0.0084191-0.006328i,-0.00066045+0.023398i,-0.010104+0.012306i,-0.00083919+0.0095608i
-0.0027857+0.023914i,-0.015425+0.05471i,0.0014093+0.04284i,0.0045039+0.033365i,0.010657+0.031848i,0.037938+0.0049976i,0.0216+0.0067732i,0.023363+0.02222i,0.002588+0.019764i,-0.00079898+0.0042036i,0.0010306+0.0066198i,0.0014432+0.0085299i,0.0019992+0.0070995i,0.00067131+0.0065733i,0.0052216-0.00033589i,0.0086821+0.006964i,0.012044+0.0057852i,0.0012273-0.0014333i,-0.003739-0.0030267i,-0.0033206+0.00059204i,-0.0024448+0.00022937i,-0.0041129-0.0011113i,-0.0029156-0.00091743i,-0.003969+0.0089401i,-0.00093359+0.0023385i,0.00084339+0.0023712i,-0.00055177+0.002056i,-0.00048701+0.001014i,-0.00016127+0.0017865i,-0.0007722+0.0010241i,0.002434-0.0033841i,0.00038354-0.00061849i,-0.0013496-0.00096838i,-0.00017829-0.0011049i,0.0022549-0.0010889i,-0.011098-0.0010271i,0.00060953+0.0015202i,0.00076884+0.0012231i,-0.0018205-0.00058515i,0.0016991-0.002202i,-0.0015993-0.00043602i,-0.001785-0.0007641i,0.0025001+0.0035723i,0.0011711+0.0063776i,-0.030192+0.024426i,-0.07975-0.018647i,-0.059785+0.021874i,-0.068284+0.043311i,-0.066911+0.061331i,-0.034173+0.035802i,-0.0099127+0.055075i,-0.0027306+0.017959i,-0.045774+0.00037145i,-0.062545-0.007693i,-0.015731+0.021292i,-0.0060031-0.0034559i,0.0031131-0.0099493i,-0.0047194-0.011176i,-0.0052115+0.0037875i,0.00050701+0.01834i,0.00081048+0.002759i,0.0058127-0.0058499i,0.0053449-0.0020033i,0.011544-0.010782i,0.0066186+0.00059906i,0.0035212+0.00061505i,-0.0079329-6.6301e-05i,0.0048204+0.0047394i,0.0049237+0.0050466i,0.0068659+0.0061993i,-0.00084533+0.0011014i,0.0020043-0.0040903i,0.004837-0.0082712i,-0.00050659+0.00063687i,-0.024532-0.0019059i,-0.0007454-0.0061653i,-0.0018928-0.0025286i,0.005531-0.00072647i,0.0016555-0.00092702i,-0.0015458-0.013138i,0.00097352-0.0016597i,0.0036828+0.0062536i,0.0032513+0.00029992i,0.0031263-0.0035418i,-0.0073608-0.003053i,-0.0072665-0.0026118i,-0.0031397-0.0035173i,-0.0056821-0.0049088i,-0.013079-0.013217i,-0.063644+0.033934i,-0.0077492+0.0057838i,-0.0076047-0.0178i,-0.0097577-0.0046287i,0.00089099+0.022721i,-0.0096798+0.014173i,6.4058e-05+0.008046i
0.00057778+0.023378i,-0.0055268+0.056351i,0.0095883+0.043341i,0.0088196+0.032146i,0.014431+0.03158i,0.03736-0.0016955i,0.022069+0.0011018i,0.026591+0.017565i,0.0062988+0.018542i,-1.0834e-05+0.0042953i,0.0033547+0.0052508i,0.003777+0.0064377i,0.0040992+0.0065076i,0.0024387+0.0061378i,0.0048807-0.0015509i,0.0098314+0.0036329i,0.012508+0.0011368i,0.0001597-0.0022897i,-0.0047574-0.0013749i,-0.0020507+0.0015458i,-0.0015168+0.00041535i,-0.0037037+0.00016077i,-0.0029781+4.3837e-06i,-0.00069876+0.0090091i,7.9038e-05+0.0027767i,0.001603+0.0018315i,0.00027464+0.0020881i,-0.00022763+0.0016194i,0.00056051+0.0014574i,-0.00035436+0.00096987i,0.00086615-0.0035996i,-6.7889e-05-0.00099651i,-0.0016747-0.00026843i,-0.00078901-0.00088443i,0.0012717-0.0017477i,-0.010756+0.0026957i,0.00093064+0.0012595i,0.0012268+0.00086532i,-0.0021474+0.00043922i,0.001352-0.002621i,-0.0015234-0.00030147i,-0.0017614-0.00061535i,0.0027112+0.0025216i,0.0032979+0.0064459i,-0.02591+0.028512i,-0.088124-0.0052422i,-0.055577+0.027474i,-0.056993+0.051655i,-0.051696+0.068861i,-0.029081+0.042203i,-0.00047177+0.050972i,0.0024883+0.014486i,-0.043508+0.0054413i,-0.060509+0.003017i,-0.011413+0.024045i,-0.0078034-0.0021691i,-0.0028329-0.0092684i,-0.009042-0.0096389i,-0.0014034+0.0052847i,0.0044334+0.014569i,-0.00011376+0.0027478i,0.0026974-0.0089644i,0.005655-0.001533i,0.0048376-0.013523i,0.0067591-0.0027954i,0.0047388-0.00023117i,-0.0079607+0.0039695i,0.0077949+0.003997i,0.0081182+0.0027392i,0.0090561+0.0019179i,0.00036685+0.0018927i,0.0011278-0.0043248i,-0.00099538-0.0086699i,0.00070812+0.0021361i,-0.024336+0.007346i,-0.0021682-0.0056446i,-0.0014568-0.00058586i,0.0057352-0.0041696i,0.0018759-0.00083528i,-0.00711-0.013386i,5.0869e-05-0.0012268i,0.0061083+0.0035797i,0.0032716-0.00011222i,0.002601-0.0046955i,-0.0075072+0.0012568i,-0.0073712+0.0021035i,-0.0047847-0.0015011i,-0.007842-0.0039329i,-0.014739-0.0079718i,-0.058847+0.039862i,-0.0084463+0.0084241i,-0.012377-0.022054i,-0.0081939-0.0035779i,0.0043811+0.022351i,-0.0090691+0.017654i,0.0017441+0.0058355i
0.0040349+0.02206i,0.004257+0.055599i,0.017667+0.040633i,0.013365+0.030264i,0.019428+0.030326i,0.036028-0.0080022i,0.020895-0.0042877i,0.028645+0.012244i,0.0094248+0.016653i,0.00067327+0.004658i,0.0040839+0.0038035i,0.0043645+0.0045877i,0.0058447+0.0049326i,0.0039351+0.0050555i,0.0041279-0.0025941i,0.0093905+0.00066444i,0.011317-0.0023865i,-0.00083287-0.0020661i,-0.0044424+0.00046899i,-0.00087996+0.0015579i,-0.00089011+9.8396e-05i,-0.0031314+0.00080086i,-0.0023983+0.00078258i,0.0017942+0.0084407i,0.0012847+0.0023568i,0.0020272+0.0013183i,0.0010932+0.0018118i,0.00053524+0.0017115i,0.00089958+0.00078912i,-0.00028882+0.0010013i,-0.0006133-0.0031032i,-0.00071848-0.00089731i,-0.001621+0.00045319i,-0.0011292-0.00040881i,0.00039608-0.0019568i,-0.0091905+0.0056683i,0.0011809+0.00082434i,0.0013997+0.00019332i,-0.0018942+0.0015171i,0.00082588-0.0032831i,-0.0015128+3.5449e-05i,-0.0017985-0.00066846i,0.0027482+0.0017284i,0.0052383+0.0056131i,-0.02106+0.031857i,-0.089979+0.015254i,-0.053036+0.031412i,-0.046667+0.056367i,-0.034608+0.073557i,-0.020495+0.048417i,0.0063237+0.044747i,0.0051664+0.0069934i,-0.03919+0.0091372i,-0.054832+0.013379i,-0.004431+0.025558i,-0.0090184+0.00035011i,-0.0083418-0.0058488i,-0.012099-0.0062619i,0.00157+0.0035722i,0.0059867+0.011587i,-0.0018172+0.0039785i,-0.0012821-0.011362i,0.0064909-0.0034695i,-0.0016811-0.012173i,0.0045116-0.0052007i,0.005349-0.002549i,-0.0062649+0.007178i,0.010037+0.00032469i,0.0086745-0.0023468i,0.0081375-0.0033283i,0.0025208+0.0012923i,1.6267e-05-0.0045179i,-0.0044202-0.0049476i,0.0026829+0.0012964i,-0.019774+0.017511i,-0.0036202-0.0045255i,-0.00010363+0.00055079i,0.0025603-0.0061367i,0.0019276-0.00098197i,-0.012922-0.009796i,0.00011667-0.00028927i,0.0066583-6.52e-05i,0.0030155-0.00096822i,0.0014665-0.0051446i,-0.0050937+0.004742i,-0.0049837+0.0054508i,-0.0050061+0.0018874i,-0.0099118-0.0019261i,-0.015016-0.003558i,-0.052135+0.048104i,-0.0026196+0.011257i,-0.020027-0.021406i,-0.0073354-0.0047957i,0.0067783+0.020746i,-0.0057371+0.021305i,0.0022038+0.0020203i
