-0.025221-0.0043408i,-0.023936+0.0022735i,-0.017419-0.0073189i,-0.030044-0.012515i,-0.029076+0.0032326i,-0.039528-0.005169i,-0.061807-0.029125i,-0.032672-0.014667i,-0.029671-0.0032353i,0.0064145+0.0039539i,-0.0034939+0.007499i,-0.0056608+0.014196i,0.0062966+0.011117i,-0.0013912+0.0037774i,0.005103+0.0039979i,0.0052162+0.024998i,0.024912+0.023008i,0.0013827-0.00058577i,0.00088661-0.0052142i,0.0070011-0.0011472i,0.0055232+0.00084938i,0.0027346+0.001239i,0.0014766-0.000611i,-0.030632-0.0015093i,-0.0044142-0.0056509i,-0.00044274+0.003129i,0.0030077-0.0024279i,-0.00076712+0.00050255i,-0.00065699+0.0011339i,-0.0014608-0.0029661i,-0.0037124-0.0018312i,-0.0066695-0.0061336i,-0.0045563-0.0023238i,-0.00027336+0.00016256i,0.002151-0.0031121i,0.0024326+0.022471i,0.0014524-0.0027263i,0.00028343-0.0023833i,0.004773-0.0023864i,-0.0025102-0.0012842i,0.00084536+0.00079432i,0.0071724-0.0018207i,0.0032941-0.001965i,-0.00089271+0.0031521i,-0.013504+0.017275i,-0.0282+0.055716i,-0.0041096-0.038078i,-0.014461-0.017802i,-0.037093-0.015645i,-0.027048-0.012221i,0.032787-0.010555i,0.0067279-0.030949i,0.012785-0.040816i,-0.011334-0.029415i,0.024625-0.023248i,0.013229+0.006727i,0.027863-0.033795i,-0.0019165-0.0039765i,0.0069053-0.0086001i,0.00035676-0.0049752i,0.0019897-0.036311i,-0.011802+0.030577i,0.0074871-0.012099i,-0.0098477-0.0047457i,-0.0023391-0.0021588i,0.00068023-0.014607i,-0.0077666+0.0050034i,0.0036008+0.0052796i,-0.00042711+0.029293i,0.0020437-9.0635e-05i,-0.0070951-0.0044519i,-0.0030297-0.0058905i,-0.014114-0.0093455i,-0.0028095-0.0058957i,-0.032401+0.0074358i,-0.0052328-0.0081291i,-0.013113-0.0015169i,-0.010467-0.0059616i,0.0011797-0.0022231i,-0.013285+0.0017768i,-0.0017294-0.00021806i,0.0065826+0.00656i,0.0035957-0.0054307i,-0.013726-0.012199i,0.0079248+0.0086694i,-0.016778+0.0057981i,0.005507+1.7905e-05i,-0.018884-0.0015847i,-0.017821-0.0037565i,-0.017949-0.033222i,0.020718-0.010483i,-0.038623-0.023009i,-0.0093822+0.0052829i,0.017878+0.014873i,-0.021764+0.017833i,-0.0032973-0.0037547i
0.0038956+0.013348i,0.0085805+0.01546i,0.0054158+0.023291i,-0.0065868+0.02155i,0.0010117+0.032769i,0.013638+0.022341i,-0.0071081+0.028165i,-0.0075514+0.021838i,0.012403+0.0093462i,0.00084857-0.0038315i,0.00060361-0.00075559i,0.004376-0.0027082i,0.0025077-0.0013515i,0.0014263-0.0039987i,-0.00064921-0.001401i,0.0060014-0.0058554i,-0.0032562-0.0050426i,-0.0020486+0.0026192i,-0.00029861+0.00047169i,0.00066857+0.0022067i,-0.0023805-0.00098484i,0.00013592-0.00028619i,0.0021494+0.00045985i,-0.011215-0.0059742i,-0.001108-0.0004545i,-0.0019393+0.00071135i,-0.0029736+0.00050658i,-0.0022363+0.0010874i,-0.0027222-0.00021554i,0.00054735-0.00066316i,-0.0034786+0.0011147i,0.00073279-0.0014365i,-0.0012408-0.0012926i,-6.8201e-05-0.00085179i,-0.0014278+0.0013073i,-0.0016737-0.0039119i,-0.0021204+0.0013017i,0.0013486+0.00026147i,0.0001786+0.0027285i,0.0019121+0.0051546i,0.00010252+0.00058697i,-0.0012755+7.7725e-05i,-0.0013321-0.0020349i,0.0028631+0.0060419i,0.015661+0.0052215i,0.044921-0.058841i,-0.025215+0.0053522i,0.017548-0.025868i,-0.022764-0.033004i,-0.0099084+0.0032357i,-0.029219+0.034375i,-0.021214+0.0055455i,-0.017491+0.0077111i,-0.0029723-0.015524i,-0.039659-0.020327i,-0.0081076+0.0020997i,-0.027849+0.011213i,0.0013978+0.012679i,0.00083569+0.0048504i,-0.0045686-0.0050659i,0.00038217+0.002404i,-0.013302-0.004651i,0.0062071+0.012139i,-0.00096279+0.0080194i,-0.0015202+0.0035523i,0.0012325+0.005836i,0.0023103+0.0034516i,-0.00092912+0.01833i,0.0032374+0.015913i,0.0058332-0.0057973i,0.012089-0.0052584i,0.0092757+0.002896i,-0.0031097-0.0063492i,0.00079879-0.0018373i,0.016581-0.029485i,0.0092467+0.0035775i,0.008882-0.00068106i,0.0026079-0.00039332i,0.006373-0.0083302i,0.022645-0.00026267i,0.0058566-0.0024i,0.0014499-0.007463i,0.0052153-0.0029676i,0.016938+0.0028811i,0.0061256+0.0035571i,0.0038179-0.0033977i,0.0097716+0.0095359i,-0.0016626+0.0050007i,0.0098969+0.010728i,-0.013369-0.012196i,-0.0092793+0.00026027i,-0.0081253-0.013851i,-0.0079803-0.0043028i,-0.038806+0.0068437i,-0.0063203+0.004022i,-0.012001+2.1533e-05i
0.0061789+0.012242i,0.010415+0.012407i,0.010036+0.019018i,-0.0031428+0.020435i,0.0060577+0.030067i,0.016837+0.019104i,-0.0033071+0.028634i,-0.0036388+0.022169i,0.012641+0.0041795i,-0.00045342-0.003854i,0.00081288-2.3288e-05i,0.0033935-0.0042613i,0.001845-0.002626i,0.0012183-0.0038976i,-0.0011461-0.00099133i,0.0025038-0.0058046i,-0.005655-0.0029243i,-0.00084721+0.0030791i,0.00092781+0.00060062i,0.0016855+0.0015181i,-0.0018723+0.00045411i,0.00063094+0.00019804i,0.0026086-0.00044972i,-0.01132-0.0020095i,-0.00083457+4.4181e-05i,-0.0016059+0.0014035i,-0.0021575+0.0017463i,-0.0013884+0.0016214i,-0.0023209+0.00054929i,0.00065931-0.00050763i,-0.0026251+0.0025285i,-0.00037093-0.00092967i,-0.0018311-0.00059126i,-0.0010791-0.00079792i,-0.0022158+0.0011884i,-0.0004053-0.0029776i,-0.0011827+0.0019727i,0.0009902-0.00033424i,0.0005378+0.0028i,0.0032369+0.0033171i,0.0004484+0.00042209i,-0.0015491+0.00041377i,-0.0020884-0.0015833i,0.0046237+0.0049973i,0.016037-0.00053545i,0.022634-0.06879i,-0.01891+0.013044i,0.0074833-0.033375i,-0.033877-0.025019i,-0.0077659+0.005981i,-0.018086+0.039402i,-0.017438+0.011322i,-0.0068211+0.002282i,-0.0051072-0.014174i,-0.044467-0.0048331i,-0.0079687+0.0022663i,-0.023042+0.022221i,0.0047006+0.0092969i,0.0014616+0.003195i,-0.0094762-0.0064238i,-0.0021431+0.0050973i,-0.012958+0.002884i,0.011003+0.0085925i,0.00089387+0.010166i,-0.00010661+0.0037885i,0.0031883+0.0064372i,0.0037185+0.0033885i,0.006394+0.014469i,0.0083966+0.0095673i,-0.0010615-0.0086589i,0.0062693-0.0068833i,0.00854+0.0010146i,-0.0056897-0.00028423i,0.00022901+0.00032551i,0.0037682-0.029047i,0.010705+0.0011297i,0.0094038-0.004456i,0.0041579-0.001636i,0.001322-0.006055i,0.021061-0.0098001i,0.0036005-0.0043708i,-0.0020159-0.0061394i,0.0012331-0.0029096i,0.014363-0.0033156i,0.0075195+0.0024738i,0.0033207-0.0022237i,0.011917+0.0054259i,2.25e-05+0.0056876i,0.011791+0.0061292i,-0.018398-0.010025i,-0.0053877-0.01317i,-0.0075477-0.011979i,-0.0077157-0.0029586i,-0.032809+0.020324i,-0.0039059+0.0051265i,-0.010098+0.0023403i
0.0090911+0.010594i,0.011921+0.0096102i,0.012394+0.014155i,-0.00053624+0.019259i,0.011918+0.027452i,0.019501+0.015313i,0.0012285+0.028594i,0.00044655+0.021707i,0.010614+0.00049656i,-0.0017079-0.0033388i,0.0017682+7.3361e-05i,0.00076824-0.0049921i,0.0007231-0.0030773i,0.00012151-0.004077i,-0.001359-0.00054941i,-0.0005495-0.0039982i,-0.0063464+5.3962e-06i,0.00060872+0.0031346i,0.0015792-0.00066724i,0.0024226+0.00039177i,-0.00092234+0.00075471i,0.0014888-0.00019709i,0.0024695-0.001544i,-0.011037+0.00075316i,-0.000577+0.00045409i,-0.00062738+0.0022015i,-0.00084425+0.0020183i,-0.00034497+0.0018952i,-0.0018289+0.001145i,0.00041188-0.001072i,-0.0013161+0.0032002i,-0.00069014-0.00033547i,-0.0019558+0.00046953i,-0.0017034-0.00024774i,-0.0019145+0.0024923i,0.00066465-0.0036375i,-0.0003224+0.0019524i,0.00056873-0.00075834i,0.0023247+0.0019707i,0.00351+0.0018061i,0.00065877+0.00023454i,-0.00082217+0.0012285i,-0.0027236-0.0010482i,0.0055697+0.002544i,0.014619-0.0050644i,-0.00093813-0.067584i,-0.0080669+0.015932i,-0.0041876-0.035185i,-0.037395-0.015855i,-0.002721+0.0074747i,-0.0041552+0.039764i,-0.0064265+0.013129i,-0.0067651-0.004673i,-0.0062149-0.013014i,-0.041221+0.0095886i,-0.0074036+0.0038818i,-0.011725+0.029368i,0.0057883+0.0058361i,-0.00036181+0.00058986i,-0.016984-0.0025327i,-0.0011241+0.0063592i,-0.0087268+0.0074802i,0.012531+0.0021886i,0.0047919+0.010336i,-0.00083496+0.0043414i,0.0046178+0.0046253i,0.0053722+0.0011303i,0.0085151+0.0084282i,0.0083746+0.0038922i,-0.0067376-0.0036217i,0.004011-0.0064035i,0.0096006-0.00062191i,-0.0017272+0.0065133i,0.0023723+0.0015018i,-0.0047856-0.024713i,0.011532-0.0037162i,0.0065356-0.0074587i,0.0029965-0.003314i,0.0011511-0.0044188i,0.013459-0.016704i,0.00075332-0.0017661i,-0.0045532-0.00337i,5.524e-05+0.00029864i,0.010203-0.0067157i,0.010594-0.0019053i,0.0040218-0.0037143i,0.014217+4.9232e-05i,0.0035739+0.0045442i,0.011825+0.0016664i,-0.021041-0.002885i,-0.015852-0.020272i,-0.0068353-0.014349i,-0.0062403-0.0033142i,-0.022185+0.026192i,-0.003625+0.00036025i,-0.0080528-0.0010254i
0.011807+0.0073777i,0.013141+0.0067058i,0.013111+0.0095191i,0.0021314+0.018694i,0.016973+0.022116i,0.021558+0.010794i,0.0063121+0.027681i,0.0044212+0.020256i,0.008387-0.00078307i,-0.0026295-0.0024339i,0.0022517-0.0010857i,-0.0013988-0.0037711i,-0.00056923-0.0030444i,-0.0015156-0.0031521i,-0.0016953-7.1425e-05i,-0.0013779-0.0011254i,-0.0051979+0.0029598i,0.0017615+0.0022934i,0.0011046-0.0011782i,0.0022841-0.0010688i,-0.00026217+0.00071436i,0.0018724-0.0011261i,0.0019102-0.0026408i,-0.010248+0.0039728i,4.449e-05+0.00039533i,0.0010382+0.0013519i,0.00011323+0.0016731i,0.00060869+0.0014964i,-0.0011144+0.0017847i,-0.00023005-0.00079612i,-4.989e-05+0.0031831i,-0.00095176+5.8829e-05i,-0.0016366+0.0012859i,-0.0017736+0.00081862i,-0.00060946+0.0026527i,0.00049946-0.0056726i,0.000737+0.0018548i,6.978e-05-0.00082075i,0.0022045-5.5894e-05i,0.0034119+0.00060383i,0.0009079-0.00014509i,8.6591e-05+0.001016i,-0.0029647-0.00015499i,0.0041016-0.00068031i,0.012667-0.0083629i,-0.019484-0.055382i,0.00079608+0.011788i,-0.014251-0.032026i,-0.040588-0.0071373i,0.0022105+0.0051266i,0.0073623+0.034511i,0.0020684+0.006328i,-0.0073404-0.0050986i,-0.006185-0.010619i,-0.033989+0.019168i,-0.0063698+0.0053613i,0.00062345+0.028817i,0.0062551+0.0031332i,-0.0039512+0.0017942i,-0.019566+0.0070301i,-0.00066638+0.0082455i,-0.0040768+0.008322i,0.009572-0.0040205i,0.0085381+0.0084961i,0.00034388+0.0062615i,0.0039574+0.0041575i,0.0057684-0.0023156i,0.0072628+0.0032268i,0.0055107+0.0011477i,-0.0049948+0.00091763i,0.0017551-0.0062468i,0.0089337-0.003309i,0.0061133+0.0068985i,0.0036657+3.4227e-05i,-0.0092019-0.019376i,0.0085414-0.0075419i,0.003361-0.0089623i,0.0022454-0.0027682i,0.00021207-0.0050858i,0.005478-0.017995i,0.0034858-0.0010241i,-0.0047391-6.9875e-05i,0.0027324+0.0017844i,0.0068861-0.0072139i,0.0083096-0.0070004i,0.0019861-0.0042755i,0.01101-0.0072667i,0.0038588+0.0011388i,0.011032-0.0029374i,-0.016139+0.0049136i,-0.026945-0.017373i,-0.010867-0.018004i,-0.0066343-0.0054636i,-0.01413+0.026722i,-0.0082543-6.7574e-05i,-0.011259-0.00043635i
0.01287+0.0036288i,0.013251+0.0034081i,0.012348+0.0057578i,0.0051252+0.017608i,0.019776+0.016179i,0.022213+0.0061508i,0.011316+0.025222i,0.0077507+0.01789i,0.0073645-0.0010572i,-0.0028536-0.0013146i,0.0015094-0.0020193i,-0.00216-0.0021364i,-0.0015465-0.0027276i,-0.001719-0.0018842i,-0.0016982+0.00066146i,-0.00060731+0.000843i,-0.0029854+0.0048293i,0.0021708+0.0012881i,0.0008435-0.0013325i,0.0013686-0.0020612i,-0.00014595+0.00048571i,0.001386-0.0019573i,0.00066963-0.0032919i,-0.0072355+0.0062659i,0.0001081-0.00015803i,0.0009981-0.0002411i,0.0007373+0.00094495i,0.0012107+0.0007825i,-6.9976e-05+0.001995i,0.00019264-0.00045218i,0.00090918+0.0028857i,-0.00077352+0.00034335i,-0.00099+0.0019788i,-0.0013361+0.0015597i,-6.1939e-05+0.0024146i,-0.001422-0.007455i,0.001357+0.0011933i,-0.00022963-0.00054159i,0.0012593-0.00055453i,0.0028829-5.5456e-05i,0.00078872-0.00065772i,0.00043304+0.00051568i,-0.0027081+0.00066416i,0.0015245-0.00037228i,0.010265-0.010459i,-0.02425-0.03986i,0.0050351+0.0057678i,-0.022937-0.02571i,-0.041817+0.0041616i,0.0046257+0.00052429i,0.015481+0.02668i,0.0048491-0.0011972i,-0.0064931-0.006518i,-0.0046513-0.010733i,-0.026617+0.025752i,-0.0043781+0.0060436i,0.011951+0.02345i,0.0060053+0.00090459i,-0.0054067+0.0056016i,-0.016523+0.014816i,0.0019235+0.009271i,-0.00021752+0.008981i,0.0035826-0.0048866i,0.011018+0.0053342i,0.0027666+0.006942i,0.004892+0.0045613i,0.0046511-0.0051083i,0.004229+0.0029375i,0.0035002+0.0018397i,-0.0038152+0.0027315i,0.00010291-0.0048713i,0.0073852-0.0058034i,0.0094205+0.0018727i,0.0037322-0.0019136i,-0.01181-0.017431i,0.0048688-0.0094667i,-0.00035944-0.0093781i,0.00323-0.0028147i,-0.001621-0.0040901i,-0.00016773-0.016445i,0.0038533-0.003435i,-0.0027708+0.0026713i,0.0053533+3.5169e-05i,0.0054825-0.0080772i,0.0039773-0.010616i,0.001591-0.0041015i,0.0046701-0.010358i,0.0023419+3.7477e-05i,0.0066814-0.0074906i,-0.0095181+0.0056746i,-0.035952-0.0072992i,-0.016667-0.017349i,-0.0084897-0.0070382i,-0.0080393+0.026185i,-0.012131+0.0036143i,-0.010805+0.0033371i
0.012777+0.00014768i,0.012496+0.00079482i,0.011035+0.0034194i,0.0079994+0.015735i,0.02035+0.010235i,0.02253+0.0020363i,0.015781+0.021413i,0.010276+0.015028i,0.0073435-0.0017004i,-0.0028116-0.00072733i,9.3581e-05-0.0023136i,-0.0022027-0.00081178i,-0.0026789-0.0020236i,-0.0016134-0.0016667i,-0.0015522+0.0012176i,0.00060636+0.0017406i,-0.00015613+0.0052786i,0.0023184+0.00046728i,0.00013943-0.0015926i,0.00020663-0.0023495i,0.00037727+0.00056544i,0.00074927-0.0025395i,-0.00048982-0.0031556i,-0.0053228+0.0061969i,-9.5906e-05-0.00021121i,7.4476e-06-0.00095905i,0.00092028+0.00017298i,0.0014317-0.00021082i,0.00093003+0.0015056i,0.00033923-0.00098942i,0.0018789+0.0024171i,-0.00068697+0.00042636i,4.2988e-05+0.0022494i,-0.00061283+0.0019496i,0.00037001+0.0023493i,-0.0043411-0.0080824i,0.0015264+0.00018107i,-0.00026004-0.00038311i,0.00076624-0.00070749i,0.0024487-0.00025703i,0.00038872-0.0006686i,0.00044855+0.00032839i,-0.002166+0.0010265i,0.00053702+0.0012115i,0.0079584-0.011202i,-0.021911-0.03177i,0.0060035+0.0010013i,-0.026963-0.015517i,-0.036572+0.01787i,0.0023231-0.0038596i,0.019195+0.01828i,0.0051239-0.0074108i,-0.0061536-0.0070613i,-0.0058466-0.010715i,-0.01855+0.029772i,-0.0038735+0.0065968i,0.017065+0.011027i,0.0054912-0.0016495i,-0.0037158+0.0093723i,-0.009667+0.020727i,0.0046261+0.0080512i,0.0042759+0.006689i,0.0012138-0.0025466i,0.012904+0.00072608i,0.0052774+0.0067648i,0.0061495+0.0036394i,-0.00026599-0.0080435i,0.0041786+0.0045751i,0.0040228+0.0029295i,-0.0018361+0.0053816i,0.00030603-0.0040072i,0.0054421-0.0069284i,0.0096635-0.0030575i,0.0028023-0.0039383i,-0.017397-0.015506i,0.0012481-0.010005i,-0.0043144-0.0080735i,0.0019231-0.004471i,-0.0019947-0.0022736i,-0.0032731-0.013468i,0.0022886-0.005324i,9.0176e-05+0.0031582i,0.0052999-0.0036962i,0.0025398-0.0090909i,-0.0028522-0.010912i,0.00050763-0.0055729i,-2.4894e-05-0.0092069i,0.0021742-0.0010606i,0.00095044-0.0071461i,-0.0062556+0.0047144i,-0.033588+0.0092118i,-0.022156-0.014596i,-0.010999-0.0066815i,-0.0041705+0.025271i,-0.010871+0.0091292i,-0.0063249+0.0041326i
0.011919-0.0029808i,0.011697-0.0010371i,0.0099436+0.0020546i,0.010146+0.013141i,0.019393+0.005841i,0.022369-0.002586i,0.019136+0.016637i,0.011987+0.012077i,0.0074592-0.0025261i,-0.0029242-1.6314e-05i,-0.0010086-0.0015725i,-0.0014402+0.00016961i,-0.0034206-0.00072399i,-0.002155-0.0017608i,-0.0013481+0.001815i,0.0016894+0.0019176i,0.0022013+0.0044643i,0.0021673-0.00013351i,-0.00017869-0.0013777i,-0.00075423-0.0019123i,0.00077043+0.0002167i,-0.00015999-0.0029021i,-0.0013909-0.0026182i,-0.0042478+0.0073868i,-0.00015703-0.00053164i,-0.00093938-0.0007909i,0.00074372-0.00048663i,0.000945-0.0011728i,0.0014236+0.0004678i,-0.00032624-0.0017501i,0.00265+0.0015088i,-0.00034493+0.00074657i,0.0012056+0.0018707i,0.00021619+0.0019368i,0.0010977+0.0017029i,-0.0077284-0.0074134i,0.0012691-0.00057279i,-0.00033597-0.00049147i,0.0003624-0.00094266i,0.0022645-0.0004725i,0.00023433-0.00052498i,0.00068432+0.00015084i,-0.0018926+0.0010136i,0.00089184+0.0020941i,0.0070119-0.012312i,-0.021788-0.030687i,0.0062803-0.0022865i,-0.025056-0.0070993i,-0.025432+0.027046i,0.00026365-0.0044572i,0.021352+0.011381i,0.0026954-0.012679i,-0.0058918-0.0079196i,-0.0059058-0.0090808i,-0.010589+0.032389i,-0.0018559+0.0070412i,0.01193+0.00085123i,0.0031562-0.0040296i,-0.00019759+0.011057i,-0.0018978+0.021371i,0.0058431+0.0058377i,0.00538+0.0026161i,0.0015312-0.0014435i,0.012264-0.0036659i,0.009192+0.0047733i,0.0071919+0.0029628i,-0.0045285-0.0035997i,0.0062632+0.0047921i,0.0052818+0.0029729i,0.0016109+0.0058663i,-0.00062261-0.0042375i,0.0035043-0.0081738i,0.0077399-0.0090217i,-0.00040598-0.0045674i,-0.022984-0.0091939i,-0.0020307-0.0093032i,-0.0066861-0.0044484i,0.001256-0.0030586i,-0.0020913-0.0015449i,-0.0051622-0.01286i,-0.00025428-0.0063813i,0.0015154+0.0012745i,0.0026668-0.0053671i,6e-05-0.0085917i,-0.0067282-0.0068268i,-0.002375-0.005589i,-0.0032599-0.0077875i,0.00068096-0.0020772i,-0.0014121-0.0044438i,-0.0029343+0.0039121i,-0.025717+0.01141i,-0.022559-0.0097776i,-0.012776-0.0054378i,0.00081518+0.02318i,-0.0085335+0.011049i,-0.0048402+0.0028175i
0.010414-0.0055637i,0.011137-0.0023893i,0.0093679+0.0013883i,0.011623+0.010536i,0.017979+0.0027224i,0.020964-0.0070355i,0.021345+0.011523i,0.013132+0.0092679i,0.0076001-0.0040198i,-0.0027235+0.00074392i,-0.0011005-0.00050612i,-0.00058581+0.00010317i,-0.0035153+0.00081906i,-0.0032821-0.00089112i,-0.00078844+0.0024785i,0.0027512+0.0012299i,0.0037758+0.0030754i,0.0020937-0.00064488i,-0.00043158-0.0012048i,-0.0010689-0.0010948i,0.00084915-0.00030345i,-0.0011522-0.0025425i,-0.0019403-0.0019304i,-0.0013627+0.0081766i,-0.00072722-0.00067705i,-0.0013176-0.00022984i,0.00015455-0.0010493i,-6.8753e-05-0.0016793i,0.0012616-0.00061585i,-0.0013159-0.0017484i,0.0027803+0.00039158i,0.0001323+0.00047445i,0.0016801+0.00092986i,0.00076082+0.0015857i,0.0011263+0.0010672i,-0.010654-0.0048596i,0.00061936-0.0012314i,-0.00068816-0.00042204i,-0.00036253-0.001276i,0.0022367-0.00064281i,0.0001739-0.00047988i,0.00079465-0.00010657i,-0.0019486+0.00097457i,0.0016976+0.0025878i,0.0052512-0.014385i,-0.026812-0.029126i,0.0049087-0.006083i,-0.022844-0.0010668i,-0.013391+0.029644i,-0.0020375-0.0048709i,0.022708+0.0040269i,-0.00012112-0.015049i,-0.0062358-0.0086579i,-0.0049965-0.0070051i,-0.0014293+0.033031i,0.00051938+0.0064231i,0.0069896-0.00047159i,0.00044053-0.0047943i,0.0044346+0.011916i,0.0047521+0.019002i,0.0060361+0.0034446i,0.0043436-0.0010635i,0.0005446-0.00087322i,0.0094534-0.0083022i,0.011232+0.00068396i,0.0085969+0.0014183i,-0.0044425-0.00062201i,0.0082475+0.003888i,0.006837+0.002769i,0.0054533+0.0037896i,-0.0016539-0.0036086i,0.0015853-0.0090966i,0.0024648-0.012031i,-0.0017389-0.0024326i,-0.025334-0.00041378i,-0.0044345-0.0079198i,-0.0068842-0.00056642i,0.0014911-0.0026484i,-0.0024616-0.00085739i,-0.0086998-0.01187i,-0.0032833-0.0058455i,0.0024097+0.00029739i,0.0004101-0.0059385i,-0.0014851-0.0079975i,-0.0085059-0.0034043i,-0.0049038-0.0032588i,-0.0061737-0.005341i,3.3047e-05-0.0025129i,-0.0018511-0.0027416i,-0.00049648+0.0026217i,-0.023764+0.012735i,-0.021381-0.0076161i,-0.014251-0.0034942i,0.002576+0.021595i,-0.0073083+0.011745i,-0.003621+0.0019338i
0.0085629-0.0073241i,0.01086-0.004077i,0.0095812+0.00056368i,0.012494+0.0079347i,0.017287+0.00076312i,0.018688-0.010789i,0.022256+0.0057461i,0.013808+0.0063904i,0.0070576-0.005839i,-0.0024193+0.0013097i,-0.00085765-0.00010861i,-0.00061883-0.00052704i,-0.0029558+0.0021708i,-0.0033258+0.00048623i,9.0262e-05+0.0027678i,0.0028685+6.3523e-05i,0.0042618+0.0010855i,0.0015583-0.0012831i,-0.00075367-0.00085205i,-0.00088301-0.00058958i,0.00081097-0.00084379i,-0.0016163-0.0019099i,-0.0021589-0.0011795i,0.001604+0.0073638i,-0.0012353-0.00048656i,-0.0016237+0.00030877i,-0.00078533-0.001157i,-0.0011866-0.0015112i,0.00060962-0.0015411i,-0.002121-0.0012924i,0.0025033-0.00055022i,-7.031e-05+0.00030571i,0.0016064+0.00014945i,0.0011413+0.001185i,0.001039+0.00082i,-0.012055-0.0011768i,-0.00041106-0.0014947i,-0.00084647-0.0001342i,-0.0012291-0.0011824i,0.0022574-0.00093029i,0.00014717-0.00039883i,0.00082493-0.00042494i,-0.0020743+0.0012725i,0.0026045+0.0025672i,0.0020792-0.015437i,-0.032597-0.021428i,0.002866-0.0085443i,-0.017317+0.0044279i,-0.0027198+0.029876i,-0.0038362-0.0022496i,0.022114-0.00396i,-0.00018603-0.017925i,-0.0058284-0.0081538i,-0.0022727-0.0048413i,0.0068208+0.030273i,0.0014047+0.0045372i,0.0041373-0.0012953i,-0.0025554-0.0045288i,0.0099667+0.0090948i,0.0085383+0.015057i,0.0045547+0.0018151i,0.0022347-0.003873i,0.0015591+0.0019868i,0.0042943-0.010578i,0.011022-0.0048906i,0.0094864-0.0011154i,-0.0043455+0.0020791i,0.010813+0.0019197i,0.009373+0.00015191i,0.0065416-0.00059394i,-0.001988-0.002845i,-0.0012146-0.0092943i,-0.0042913-0.011715i,-0.0010585-0.00064574i,-0.02425+0.0087689i,-0.0063142-0.0063705i,-0.0050064+0.0023632i,0.0018158-0.005108i,-0.0024544+0.00070457i,-0.012602-0.008613i,-0.0059516-0.0030792i,0.0021954-0.0016572i,-0.001856-0.0051066i,-0.0035517-0.0072564i,-0.008125+0.0015758i,-0.0051667-0.00019295i,-0.0080934-0.0018569i,-0.0016075-0.0032652i,-0.0016871-0.0023571i,0.0012576+0.0011623i,-0.022435+0.018925i,-0.021692-0.0084154i,-0.013188-0.00091085i,0.0063712+0.020473i,-0.0067812+0.013984i,-0.0021726-0.00034451i
0.0069094-0.0084803i,0.010269-0.0058126i,0.0098356-0.0010082i,0.0129+0.0052501i,0.017072-0.0013831i,0.01613-0.013684i,0.021407+0.00047278i,0.013858+0.0036852i,0.0061183-0.0073504i,-0.0022336+0.0017774i,-0.00086271+0.00019489i,-0.0012827-0.0006437i,-0.0020885+0.003074i,-0.0029966+0.0017464i,0.00085985+0.0026638i,0.0019661-0.00074585i,0.0037343-0.00048605i,0.0010341-0.0014637i,-0.00062966-0.00043391i,-0.00057235-0.00038933i,0.00077522-0.0013747i,-0.0016947-0.0013986i,-0.0019962-0.0005674i,0.0036148+0.0061449i,-0.0015144-0.00026602i,-0.0016793+0.0011596i,-0.0016928-0.00063756i,-0.0019749-0.00079549i,-0.00052734-0.0020085i,-0.002883-0.00050454i,0.0019416-0.0012125i,-0.00020827+0.00042637i,0.0013676-0.00040875i,0.0014486+0.00068737i,0.00088385+0.00064207i,-0.011871+0.0025804i,-0.0013479-0.001154i,-0.00094404+3.552e-05i,-0.0018844-0.0005766i,0.0021752-0.0015325i,0.00026594-0.00032992i,0.00072775-0.00082182i,-0.0020868+0.001803i,0.0034525+0.0020395i,-0.00047201-0.014966i,-0.031858-0.011504i,-0.00088174-0.0098156i,-0.010966+0.0050464i,0.0078485+0.027341i,-0.0028374+0.0014009i,0.018465-0.010707i,-0.0031355-0.023254i,-0.0040508-0.0086475i,0.002509-0.0041363i,0.014147+0.024892i,0.0012648+0.0036599i,0.0010949-0.0010264i,-0.0045302-0.0026752i,0.012562+0.0031103i,0.011334+0.012043i,0.0022787+0.0023628i,-0.00072721-0.00591i,0.0050837+0.0010037i,-0.00070109-0.0096379i,0.0072717-0.008723i,0.0090912-0.0045006i,-0.0036828+0.0040693i,0.011965-0.0030997i,0.0085941-0.0051975i,0.0049435-0.0045224i,-0.0023276-0.0024004i,-0.0041203-0.0083535i,-0.0088779-0.0068246i,0.00017791-0.00083782i,-0.018799+0.018477i,-0.0079563-0.0043729i,-0.0022626+0.0037414i,-0.0013229-0.0060454i,-0.0011604+0.0015052i,-0.015247-0.0035768i,-0.0051435+0.00058522i,0.00073327-0.0032415i,-0.0038204-0.0036471i,-0.0053934-0.0053725i,-0.0052176+0.0043752i,-0.0036585+0.0017684i,-0.0080051+0.0026581i,-0.004103-0.0026126i,-0.0022712-0.0023259i,0.0043629+0.00022788i,-0.012217+0.024614i,-0.025628-0.0073563i,-0.011387-0.00081843i,0.0084528+0.017902i,-0.0037752+0.016037i,-0.0031687-0.0038072i
