-0.02919-0.040688i,-0.02226-0.019188i,-0.01288-0.035669i,-0.029821-0.020258i,-0.022163-0.00019016i,-0.013882-0.0058633i,-0.055552-0.059213i,-0.046893-0.017679i,-0.037991-0.014238i,0.010001+0.011492i,-0.0081113+0.0054422i,-0.019597+0.018962i,0.0025589+0.011452i,-0.0060708-0.0031665i,0.00025785+0.0012225i,-0.0016776+0.030706i,0.027693+0.02818i,0.0023768-0.0022155i,-0.0024068-0.0065852i,0.0080163+0.0026386i,0.0025421+0.00081193i,0.00016204+0.0036725i,-0.00030479+0.00030732i,-0.037558-0.011666i,-0.00019259-0.0078722i,0.0011868+0.0022406i,0.006328+0.0014368i,0.0020093+0.00054803i,0.0011515-0.00053326i,-0.00055505-0.0025542i,0.0014604-0.0027116i,-0.0025505-0.0057022i,-0.00032209-0.004894i,0.0029163-0.00091794i,0.0044588-0.0028027i,0.0017998+0.030611i,0.0038391-0.003352i,0.0031331-0.0015833i,0.0082808-0.0014263i,-0.0054297-0.0023608i,-0.00022366+0.0012148i,0.0092526+0.00035156i,0.0038929-0.0026194i,-0.0017862+0.0084563i,-0.017283-0.0073325i,-0.018655+0.014938i,-0.0026273-0.06116i,-0.0050228-0.02685i,-0.026213-0.032627i,-0.010818-0.027008i,0.055551-0.019963i,0.017319-0.042837i,0.022765-0.04867i,0.0058785-0.055286i,0.02592-0.021076i,0.0083247+0.006185i,0.025306-0.034293i,-0.0081202-0.0067722i,0.0040911-0.0047574i,-0.0041608-0.0072982i,-0.0018613-0.033396i,-0.019299+0.03026i,0.0081682-0.011857i,-0.0092384-0.0038928i,-0.0040475-0.0015811i,0.0009332-0.013092i,-0.011163+0.004762i,0.0027116+0.010268i,-0.0053899+0.026838i,0.004402+0.0026227i,-0.0054224-0.0018342i,-0.0021097-0.0023517i,-0.012763-0.0075498i,-0.00025718-0.0043561i,-0.036013+0.0015945i,0.00082141-0.010737i,-0.0084493-0.00015163i,-0.0066769-0.0025054i,0.0055618+0.0012032i,-0.0080267-0.00030887i,0.0018667-0.00036044i,0.0037851+0.0070466i,0.0042689+0.00068274i,-0.0083599-0.012831i,0.0023476+0.009162i,-0.015521+0.0049913i,0.006752+0.00056768i,-0.022426-0.00015433i,-0.017804+0.0047796i,-0.0077155-0.064612i,0.0077462-0.012874i,-0.049348-0.023166i,-0.021657+0.00091189i,0.018029+0.011105i,-0.023234+0.014292i,-0.019028-0.0052496i
-0.043181+0.032771i,-0.015414+0.018175i,-0.021156+0.042082i,-0.026511+0.013438i,-0.0046064+0.021016i,-0.00070382+0.0076863i,-0.030254+0.017245i,-0.0038994+0.02966i,0.0083543+0.017835i,-0.0039713-0.0063813i,0.0025937+0.0031842i,0.0078802-0.00014405i,0.0054408+0.0002017i,-0.00052295+0.003176i,0.00074253+0.0021288i,0.0063598-0.0048339i,-0.0065768-0.00088695i,-0.0030494-0.00084158i,0.0038274-0.0015973i,-2.1926e-06-0.0007836i,0.0028508-0.0052016i,0.0017934-0.0027961i,0.0014162-0.0024189i,-0.0099386-0.011334i,-0.0009445+0.0016876i,-0.0018057-5.5944e-05i,-0.0040722-0.0013344i,-0.0029397-0.0001545i,-0.00070784-0.0014846i,-0.00020044-0.00075612i,-0.00095303+0.0035236i,0.00057764+0.0007957i,0.0016619+0.00066102i,-0.00056515+0.00083608i,-0.0029454+0.0028654i,-0.0012174-0.0078879i,-0.0026663+0.0010276i,0.00071981-0.00042189i,-0.0016567+0.0036838i,0.0038767+0.0029459i,-0.00033364-0.0017158i,-0.00052612-0.0032712i,-0.0030885-0.00026346i,0.0039854+0.00085388i,-0.016828+0.02464i,0.0084488-0.037633i,-0.05381+0.0041139i,0.0082908-0.031735i,-0.031095-0.048943i,-0.029117-0.020141i,-0.06246+0.020555i,-0.037842+0.00069697i,-0.033938-0.006104i,-0.02856-0.022044i,-0.038549-0.024283i,-0.0053806+0.0028841i,-0.02825+0.0094926i,0.0059496+0.019255i,0.0029626+0.0079765i,-0.0030349-0.0052652i,0.0018899+0.001447i,-0.010593-0.0037243i,0.0053295+0.010787i,-0.00072988+0.0059698i,-0.0018186-0.0014843i,0.0012438+0.0015618i,0.0040082-0.0015037i,-0.0036128+0.018444i,0.0033666+0.013981i,0.0043745-0.0011293i,0.0096708-0.0065234i,0.0046478+0.0031963i,-0.008803-0.0073311i,-0.0010459-0.00296i,0.026694-0.035054i,0.0077125+0.0096227i,0.0051084+0.0024385i,-0.0027695+0.003222i,0.0039484-0.0054863i,0.021341+0.0080491i,0.0038162+0.0016209i,0.00013606-0.0066471i,0.00095314-0.0026095i,0.014731+0.007183i,0.0052659+0.0015498i,0.0026181-0.0047595i,0.004815+0.0088744i,-0.00087656+0.0016266i,0.0089571+0.0029859i,-0.041681-0.016894i,-0.0062406+0.011938i,-0.0020045-0.0049154i,-0.006537+0.0054301i,-0.03735+0.012436i,-0.0056815+0.007309i,-0.0096811+0.014066i
-0.037143+0.039521i,-0.012453+0.017658i,-0.010696+0.037873i,-0.023927+0.016223i,-0.0017893+0.019138i,0.00060686+0.0076098i,-0.028858+0.02218i,0.0019014+0.02877i,0.010482+0.012342i,-0.005241-0.0040413i,0.0036117+0.0035585i,0.0070309-0.0028702i,0.0048564-0.001748i,0.0015963+0.0037448i,0.0010418+0.0021205i,0.0020838-0.0043602i,-0.0078949+0.0028982i,-0.0028834+0.0001793i,0.0039088-0.0024442i,0.00028184-0.00084574i,0.0012131-0.0053763i,0.0013662-0.0025355i,0.00079912-0.0025125i,-0.012065-0.0077363i,4.3861e-05+0.0011591i,-0.0019213+0.00047681i,-0.0036051+0.00037168i,-0.0021256+0.00061463i,-0.0011625-0.0013886i,-0.00011638-0.00059205i,0.00045636+0.0036198i,3.2532e-05+0.00073396i,0.0014198-0.00026016i,-0.00071972+0.00096748i,-0.002934+0.0033987i,-0.0012607-0.0069888i,-0.0021833+0.0015578i,-0.00027292-0.00096358i,-0.0010418+0.0041767i,0.0037343+0.00060064i,-0.00062787-0.001582i,-0.0022928-0.0030152i,-0.0031475+0.00078987i,0.004452-0.00025133i,-0.012414+0.023995i,-0.005637-0.043468i,-0.047324+0.01433i,-0.00095479-0.039417i,-0.04532-0.043151i,-0.029663-0.013452i,-0.051015+0.032425i,-0.03503+0.0092621i,-0.024768-0.0085059i,-0.030333-0.017796i,-0.044243-0.0090891i,-0.0046394+0.0027305i,-0.023697+0.021548i,0.011141+0.013473i,0.0053657+0.0045879i,-0.0082163-0.0081885i,-0.0012798+0.0034664i,-0.010546+0.0031227i,0.0094828+0.0073721i,0.00035338+0.0078124i,-0.0020175-0.0001293i,0.0019272+0.0026708i,0.0039717-0.0016757i,0.0050573+0.015009i,0.0085482+0.0079896i,-0.00039854-0.0042036i,0.003409-0.0077753i,0.005136+0.0025302i,-0.011857+0.00085142i,-0.0024892-0.00082865i,0.0095188-0.038051i,0.011589+0.0075211i,0.0068821-0.00013979i,0.00062413+0.0030377i,-1.4451e-05-0.003383i,0.022199-0.0023369i,0.0032891-9.5565e-07i,-0.0032714-0.0052958i,-0.0027924-0.0014098i,0.014168+0.0010607i,0.0054159+0.0014042i,0.00086246-0.003529i,0.0072616+0.0067837i,-0.00036904+0.0029064i,0.0091081-0.00038004i,-0.045634-0.012798i,-0.00026083-0.0021076i,-0.00087633-0.0046035i,-0.0042872+0.0052247i,-0.030811+0.02379i,-0.0031793+0.0081557i,-0.0053007+0.01473i
-0.029557+0.044919i,-0.01047+0.017456i,-0.0056051+0.031794i,-0.021141+0.019046i,0.0015976+0.018286i,0.002172+0.0070458i,-0.025057+0.027683i,0.0073167+0.026513i,0.0096412+0.0082379i,-0.0056294-0.0015469i,0.0055008+0.0031161i,0.0031209-0.0039845i,0.003677-0.0029458i,0.0023517+0.003228i,0.0015402+0.0020355i,-0.0011496-0.0016541i,-0.006608+0.0071649i,-0.0019624+0.00084034i,0.0035361-0.0041623i,0.00061803-0.0015271i,-0.00046809-0.0051003i,0.0014909-0.0030269i,0.00030513-0.0025225i,-0.013791-0.0047108i,0.00024653+0.00087535i,-0.0013669+0.0013547i,-0.0027104+0.00094071i,-0.0010116+0.0011089i,-0.0014012-0.0012222i,-0.00037971-0.0008041i,0.0017633+0.0029194i,1.9553e-05+0.0010254i,0.0010432-0.00062428i,-0.00043145+0.00092477i,-0.0012143+0.0046607i,-0.0010626-0.0071748i,-0.0019731+0.0018493i,-0.0011679-0.00085126i,0.0017377+0.0029885i,0.0027399-0.00063147i,-0.00099495-0.0013186i,-0.0020044-0.0013197i,-0.0028458+0.0016111i,0.0041737-0.0022291i,-0.0095121+0.023876i,-0.022165-0.041609i,-0.03767+0.020675i,-0.013093-0.041561i,-0.053392-0.033762i,-0.026389-0.0078209i,-0.035341+0.03878i,-0.023371+0.014788i,-0.026801-0.012497i,-0.031192-0.014034i,-0.042274+0.0055247i,-0.0038633+0.0031347i,-0.012227+0.029147i,0.013112+0.0074258i,0.0032468-0.00039087i,-0.017686-0.0056409i,-0.00062055+0.0050108i,-0.006161+0.0068001i,0.010765+0.0019333i,0.0031959+0.0078947i,-0.0037403+0.0017089i,0.0020737+0.0010485i,0.0039313-0.0031779i,0.0077434+0.0079855i,0.0080277+0.0024275i,-0.0051839-0.0011313i,0.00038619-0.0060293i,0.0067781+0.0014034i,-0.0074423+0.0096787i,-0.00061332+0.0012651i,-0.0038061-0.034142i,0.015199+0.0015767i,0.0057676-0.0025997i,0.0010827+0.0014874i,-0.00011029-0.0013768i,0.017001-0.0102i,0.0011342+0.0018279i,-0.0053731-0.0028361i,-0.0033279+0.0026027i,0.010539-0.0032883i,0.0087908-0.0011932i,0.00079703-0.0034548i,0.010579+0.0029704i,0.0028128+0.0026156i,0.0080045-0.0035898i,-0.049302-0.0034948i,-0.0089684-0.01155i,0.0011785-0.007928i,-0.0026757+0.0033848i,-0.020386+0.028585i,-0.0034187+0.0033337i,-0.0019215+0.0098048i
-0.021033+0.048156i,-0.0080933+0.018241i,-0.0040627+0.026698i,-0.01707+0.021763i,0.0048421+0.015339i,0.0036851+0.0055349i,-0.018904+0.032241i,0.011829+0.022648i,0.0089784+0.0066117i,-0.0050922+0.00062215i,0.0064812+0.00077589i,0.00083626-0.0014781i,0.002275-0.003305i,0.0022798+0.0033658i,0.0018599+0.0016269i,-0.0015294+0.0023453i,-0.0025308+0.010444i,-0.0015179+0.0008395i,0.001996-0.0049338i,-6.1423e-05-0.0022781i,-0.0016677-0.004067i,0.0010439-0.0034446i,-0.00024573-0.0027523i,-0.015169-9.7878e-05i,0.00059062+1.7765e-05i,-0.00040795+0.0010046i,-0.0020953+0.00082896i,0.00010207+0.00054131i,-0.0016756-0.00058089i,-0.00079397-0.00046028i,0.0025239+0.0017751i,0.00036924+0.0011983i,0.00026996-0.00090607i,-0.00018962+0.00091726i,0.0010285+0.0039504i,-0.0024485-0.0089709i,-0.0011879+0.0026086i,-0.0017213-0.00021052i,0.0015283+0.00028206i,0.0020163-0.0010361i,-0.0011786-0.00092852i,-0.0016564-0.0012405i,-0.0021408+0.002442i,0.0017719-0.0044229i,-0.0067779+0.024777i,-0.035271-0.029668i,-0.028385+0.021528i,-0.024364-0.038505i,-0.061047-0.02302i,-0.021581-0.0059342i,-0.021306+0.037863i,-0.013293+0.010835i,-0.02796-0.0096108i,-0.031799-0.0090531i,-0.036223+0.016267i,-0.0034372+0.0035184i,0.00025934+0.029294i,0.01358+0.0019163i,-0.0015103-0.0010268i,-0.022936+0.0050034i,-0.00066925+0.0068271i,-0.0022915+0.0065095i,0.0081596-0.0039316i,0.0059458+0.0068459i,-0.0029391+0.0047043i,6.3477e-05+0.0016821i,0.0031419-0.0057589i,0.0058202+0.0023303i,0.0047678-0.0001427i,-0.0041684+0.0022477i,-0.0014572-0.0044186i,0.0069236-0.00081548i,0.0024776+0.011621i,0.00021543+0.00066876i,-0.011247-0.026984i,0.013265-0.0043392i,0.0043082-0.0041886i,0.0019443+0.0025476i,-4.6375e-05-0.0013637i,0.010901-0.013189i,0.0041633+0.0029375i,-0.0060272+0.00027017i,-0.00078595+0.0042095i,0.0075493-0.0035991i,0.0079046-0.0064045i,-0.00069169-0.0030545i,0.0094778-0.0032829i,0.0026459-0.00052528i,0.0065175-0.0068476i,-0.046043+0.008002i,-0.019404-0.010642i,-0.0016091-0.013497i,-0.0021261+0.0010793i,-0.012119+0.028476i,-0.0072297+0.003169i,-0.0027308+0.0083947i
-0.012705+0.049855i,-0.0062333+0.018051i,-0.0048227+0.024212i,-0.012654+0.023167i,0.0064255+0.012073i,0.0039494+0.0037836i,-0.011413+0.034229i,0.014888+0.018058i,0.0094657+0.0055598i,-0.0034572+0.0020786i,0.0057131-0.0010256i,0.0012522+0.000513i,0.0012584-0.0033746i,0.0036667+0.0037611i,0.00214+0.0012018i,0.00031424+0.0050041i,0.0025704+0.011113i,-0.0013523+0.0010657i,0.00071353-0.0051519i,-0.0010815-0.0023087i,-0.0026312-0.0032994i,0.00028679-0.0035857i,-0.0011409-0.0026405i,-0.012712+0.0046906i,-0.00013968-0.001122i,-0.00042597+0.00033661i,-0.0017027+0.00096246i,0.00020906-0.00048338i,-0.0016323-1.5841e-05i,-0.00050722+1.3252e-05i,0.0026+0.00058305i,0.0010609+0.00061298i,-0.00043784-0.00053956i,-0.00016+0.00087162i,0.0015626+0.0029851i,-0.0058377-0.0097068i,-0.00035984+0.0026562i,-0.0017041+0.00085012i,-0.0001963-0.0001624i,0.0011733-0.00084117i,-0.0012171-0.00065339i,-0.0021037-0.0011408i,-0.0010162+0.0026715i,-0.00085977-0.0030277i,-0.0024764+0.025919i,-0.036325-0.014346i,-0.022141+0.019814i,-0.03405-0.031748i,-0.066283-0.0083792i,-0.018682-0.0083059i,-0.010071+0.033471i,-0.0087747+0.0054519i,-0.027619-0.0080132i,-0.030599-0.0058814i,-0.029376+0.024164i,-0.0027217+0.003695i,0.012672+0.02419i,0.012468-0.0027149i,-0.0047784+0.0017054i,-0.021106+0.01493i,0.0015955+0.008141i,0.00052716+0.0069952i,0.0021581-0.004939i,0.0080273+0.0048312i,-0.00090884+0.0064068i,-8.386e-05+0.0040104i,0.0010404-0.0070457i,0.0014738+0.0027335i,0.0020246+0.00061772i,-0.0036287+0.0042792i,-0.0024642-0.002096i,0.0059293-0.0028577i,0.0078253+0.0068492i,0.00047469+0.00016625i,-0.015169-0.024068i,0.0094263-0.0081588i,0.0022936-0.005192i,0.0051028+0.0019065i,-0.00041682-0.00056477i,0.006676-0.013507i,0.0065259+0.00048792i,-0.0042748+0.003616i,0.0018259+0.0040453i,0.0070213-0.0042691i,0.0031355-0.011301i,-0.00068471-0.0022384i,0.0050207-0.0063659i,0.00074148-0.0013523i,0.0026369-0.0096682i,-0.038331+0.01313i,-0.027532-0.0023579i,-0.0068987-0.015216i,-0.0030395-0.0013309i,-0.0066324+0.027399i,-0.009865+0.0062306i,-0.0018519+0.0091192i
-0.004389+0.050288i,-0.0045401+0.018644i,-0.0052128+0.025096i,-0.0083157+0.023199i,0.0065514+0.0090807i,0.0040434+0.0027106i,-0.0033638+0.033602i,0.016464+0.013536i,0.010337+0.003483i,-0.002282+0.0019481i,0.0040373-0.0019739i,0.0022855+0.0015047i,0.00010786-0.0032236i,0.0052842+0.0025249i,0.0021796+0.00068124i,0.0030828+0.0059221i,0.0076261+0.0093888i,-0.00092608+0.0013846i,-0.0011075-0.0051389i,-0.0019446-0.0018215i,-0.0028828-0.0020161i,-0.00036186-0.0036754i,-0.0017688-0.0020873i,-0.010343+0.0061346i,-0.0013428-0.00075048i,-0.00086801+0.00028087i,-0.0014074+0.0011237i,-0.0001943-0.0013723i,-0.0013413+0.00038797i,-0.00029959-3.9045e-05i,0.002356-0.00034417i,0.0012564-0.0002223i,-0.00064947-0.00011138i,-6.3016e-05+0.0008223i,0.0016991+0.0024798i,-0.0095629-0.0084636i,0.00023619+0.0023734i,-0.0010407+0.0014569i,-0.0010774+0.00049223i,0.00085014-0.00044544i,-0.001157-0.00020315i,-0.0023502-0.00042511i,-0.0001619+0.0022823i,-0.0017772-0.00090666i,0.0021855+0.026593i,-0.031023-0.0059217i,-0.018292+0.018046i,-0.039702-0.020883i,-0.06406+0.01034i,-0.022238-0.011181i,-0.0030791+0.026909i,-0.0064548+0.00084518i,-0.026927-0.005282i,-0.031022-0.0025753i,-0.021482+0.029109i,-0.003006+0.0038532i,0.018979+0.010777i,0.010602-0.0073816i,-0.0056583+0.0059143i,-0.013685+0.023302i,0.0042176+0.0070361i,0.0042134+0.0048226i,-0.00045795-0.0015556i,0.0098717+0.0013092i,0.0014769+0.0075221i,0.0015652+0.0052823i,-0.0035752-0.0088051i,0.0011209+0.0062068i,0.0020191+0.0024117i,-0.00082339+0.0077177i,-0.0016537-0.00032618i,0.0044083-0.0036867i,0.0094913+0.0016285i,0.0010324-0.00083216i,-0.023092-0.021868i,0.0053275-0.0098354i,-0.00013192-0.0052161i,0.0049868-0.0010616i,-0.00011197+0.00073179i,0.0041763-0.012754i,0.0063663-0.0025914i,-0.0014035+0.0048999i,0.0033879+0.0017884i,0.0055905-0.0057664i,-0.0038179-0.010895i,-0.0010835-0.0023579i,0.0017123-0.0058062i,0.00047059-0.0023441i,-0.0023755-0.0088891i,-0.033887+0.015575i,-0.024788+0.011171i,-0.011599-0.014461i,-0.0053574-0.0020154i,-0.0024769+0.026422i,-0.0089702+0.0107i,0.0018111+0.0079941i
0.0038361+0.049236i,-0.0022171+0.019576i,-0.0035463+0.027212i,-0.0050527+0.022131i,0.0057037+0.0073985i,0.0042071+0.001624i,0.0035566+0.030866i,0.01687+0.0095838i,0.010868+0.0014631i,-0.0019668+0.0019948i,0.0029088-0.0014931i,0.0044063+0.0018105i,-0.00090543-0.0027167i,0.0056463-0.00022224i,0.0019844+0.00033353i,0.0055344+0.0052726i,0.010913+0.0053697i,-0.00038716+0.0016442i,-0.0022984-0.0043871i,-0.0024285-0.00087807i,-0.0025083-0.0008318i,-0.0013179-0.0036008i,-0.0021564-0.001464i,-0.0091137+0.0088076i,-0.0019121+2.2877e-05i,-0.0011385+0.00078817i,-0.0012014+0.00149i,-0.0014121-0.0017376i,-0.0010852+0.00043295i,-0.00041575-0.00020812i,0.0018838-0.0010487i,0.0012075-0.00045236i,-0.00029924-3.6416e-05i,0.00012708+0.00077274i,0.0022404+0.0013909i,-0.012808-0.0060849i,0.00086982+0.0021868i,-0.00052822+0.0014541i,-0.0010332+0.0010919i,0.00084443-0.00020709i,-0.00093793+0.00012952i,-0.0019058+5.6586e-05i,0.00017638+0.0016017i,-0.0013919+0.00033696i,0.0074123+0.025361i,-0.0271-0.0041578i,-0.01539+0.017435i,-0.03958-0.010572i,-0.054375+0.025822i,-0.025745-0.0085991i,0.0012132+0.021638i,-0.0069257-0.0034112i,-0.025481-0.0035788i,-0.029886+0.0021811i,-0.013863+0.032609i,-0.0018245+0.004046i,0.013377-0.0014254i,0.0061021-0.011297i,-0.0038866+0.0091645i,-0.0047246+0.025063i,0.0052319+0.0047696i,0.0050427+0.0006814i,0.00096339+0.00011961i,0.0092832-0.0020043i,0.0060643+0.0067275i,0.0035349+0.0062337i,-0.0080307-0.003369i,0.0040591+0.0077939i,0.0033741+0.0031777i,0.0035124+0.0077954i,-0.0010658+0.00022973i,0.0034265-0.0043938i,0.0094652-0.0045736i,-0.0007171-0.0011276i,-0.031405-0.012861i,0.0015742-0.0099242i,-0.001983-0.0038318i,0.0050115-0.00084754i,0.00044514+0.00084894i,0.0027271-0.014529i,0.0046644-0.0049946i,0.00089747+0.0040345i,0.0033042+0.0006655i,0.004128-0.0067977i,-0.0073916-0.0064076i,-0.0023349-0.0021381i,-0.00085066-0.0051953i,-0.001277-0.0030154i,-0.0051966-0.0064762i,-0.02878+0.018372i,-0.018377+0.011972i,-0.012421-0.012824i,-0.0070119-0.0011275i,0.0019713+0.024241i,-0.0075508+0.012425i,0.0022146+0.0054335i
0.011465+0.0469i,0.00095221+0.020451i,0.00013776+0.029674i,-0.0024832+0.021885i,0.0048554+0.0069099i,0.0038807+0.00077491i,0.0090515+0.026986i,0.016821+0.0063754i,0.011213-0.0013089i,-0.0016246+0.0021976i,0.0030734-0.00097818i,0.0063306-0.00046314i,-0.0016563-0.0018234i,0.0038255-0.0015226i,0.0019579+0.00021322i,0.0073777+0.0033901i,0.011829+0.00099708i,0.00041897+0.0014119i,-0.0032198-0.0035967i,-0.0022386+0.00033981i,-0.0017441-0.00028841i,-0.0021337-0.0026834i,-0.0023817-0.000848i,-0.0050127+0.011015i,-0.0020323+0.00097345i,-0.00079444+0.0014152i,-0.00079571+0.0018912i,-0.0027175-0.0011272i,-0.0010167+0.00047843i,-0.00058971-0.00014562i,0.001116-0.0014634i,0.0013819-0.0013899i,-0.00049588-8.8821e-05i,0.00017157+0.00065947i,0.0019885+0.00037927i,-0.015096-0.0017536i,0.0013711+0.0016843i,-0.00017404+0.0016105i,-0.0010112+0.001432i,0.0011358+5.2139e-05i,-0.00053499+0.00019588i,-0.0016271+0.00040519i,3.0995e-05+0.0011147i,-0.00072999+0.0012309i,0.011848+0.02242i,-0.027229-0.0032155i,-0.013468+0.016261i,-0.03868-0.0021618i,-0.04102+0.033933i,-0.028766-0.0053223i,0.0052923+0.01579i,-0.0082124-0.0050416i,-0.024614-0.0021808i,-0.027578+0.006845i,-0.0047652+0.033875i,-0.00083117+0.0037815i,0.0062737-0.0033694i,0.00068466-0.012691i,0.00030473+0.012146i,0.0034024+0.022655i,0.0049759+0.002489i,0.0036568-0.0024751i,0.00093175+0.00044569i,0.0074441-0.0054317i,0.0093938+0.003227i,0.0061258+0.0058623i,-0.0077298+0.00078765i,0.0072113+0.0077547i,0.0051275+0.0032067i,0.0079867+0.0055508i,-0.00055016+0.00075746i,0.0029461-0.0052419i,0.0057008-0.0086268i,-0.00084964+0.00092378i,-0.034793-6.7069e-05i,-0.00082653-0.009265i,-0.002786-0.002022i,0.0057838-0.0015765i,0.00085662+0.00043046i,-0.0012298-0.016847i,0.002199-0.0061878i,0.0026166+0.0034388i,0.0036529-0.00044175i,0.0036053-0.0074321i,-0.0090887-0.003275i,-0.0036951-0.00050225i,-0.0034286-0.0035021i,-0.0023346-0.0026608i,-0.0065205-0.0039307i,-0.024122+0.01926i,-0.016807+0.012623i,-0.013359-0.013305i,-0.007883+0.00045542i,0.0040912+0.023117i,-0.0066018+0.013045i,0.0026813+0.0041862i
0.018869+0.043633i,0.0051891+0.020354i,0.0061486+0.030608i,0.00047041+0.021587i,0.0052161+0.0074496i,0.0037444+0.00033352i,0.012979+0.021764i,0.016781+0.0034067i,0.010418-0.0041743i,-0.0013857+0.0024043i,0.0032792-0.0016999i,0.0056412-0.0037187i,-0.00194-0.00084683i,0.0029715-0.0017025i,0.0020462+1.2214e-06i,0.0078364+0.0006918i,0.010808-0.0031029i,0.00044272+0.00081476i,-0.0042752-0.0023409i,-0.0013883+0.00093264i,-0.00097794-0.00039417i,-0.0022465-0.0019584i,-0.0023851-0.00010347i,-0.00070415+0.010988i,-0.0015859+0.0017427i,-0.00018546+0.0016236i,-3.3185e-05+0.002027i,-0.0032676+0.00021541i,-0.00082478+0.00039559i,-0.00060296-6.4665e-05i,0.00034594-0.0015158i,0.00024991-0.0021171i,-0.00060397+0.00015699i,0.00018356+0.00061214i,0.0014187-0.00025523i,-0.014915+0.0033932i,0.0015186+0.0011288i,0.00047693+0.0015481i,-0.00079446+0.0018302i,0.001391-0.00014907i,-0.00038874+3.394e-05i,-0.0012019+0.00048055i,-0.00026922+0.00091649i,0.00015969+0.0014922i,0.014882+0.019477i,-0.02953+0.00089411i,-0.012003+0.01556i,-0.033638+0.0061121i,-0.02858+0.038305i,-0.03111+0.0016841i,0.0076158+0.0084706i,-0.0065807-0.0069985i,-0.023601+0.00018703i,-0.022997+0.011778i,0.0035009+0.032384i,-0.00049411+0.0028692i,0.0020405-0.0033405i,-0.0051704-0.012159i,0.0065078+0.011554i,0.0081746+0.017955i,0.0031317+0.00095935i,0.0018076-0.004531i,0.0020595+0.0029927i,0.0037763-0.00745i,0.010434-0.0023334i,0.0085014+0.0038101i,-0.0071411+0.0045018i,0.011351+0.0060777i,0.0076331+0.0010235i,0.010021+0.00040116i,0.0002951+0.0012416i,0.0014601-0.0059808i,-0.00046791-0.0092625i,0.0010058+0.0022621i,-0.032997+0.013386i,-0.0028966-0.0085191i,-0.0023359-0.0001521i,0.0057829-0.0057702i,0.0013838+0.00077228i,-0.0078207-0.016124i,-0.00043724-0.0056466i,0.0038351+0.0017646i,0.0035539-0.00080087i,0.0017284-0.0087091i,-0.0094538+0.0020519i,-0.0033024+0.0017862i,-0.004812-0.0013937i,-0.0035503-0.0025958i,-0.0064844-0.0016685i,-0.021678+0.020337i,-0.015793+0.017137i,-0.016179-0.015492i,-0.0057145+0.0022818i,0.0078626+0.022236i,-0.0060096+0.015244i,0.0039274+0.0015474i
0.025541+0.039046i,0.0093636+0.018855i,0.012446+0.028522i,0.0036294+0.020646i,0.0065375+0.0075418i,0.0040155+5.86e-06i,0.014916+0.016559i,0.016346+0.00059983i,0.008972-0.0064027i,-0.0012734+0.0029959i,0.0028498-0.0023087i,0.0030999-0.0052597i,-0.0019236+1.4903e-05i,0.0020343-0.0017316i,0.0020254-0.00029169i,0.0068322-0.0014563i,0.0084842-0.0059828i,0.0004501+0.00066913i,-0.0044427-0.00066833i,-0.00062233+0.00093489i,-0.00041102-0.00081832i,-0.002343-0.0015969i,-0.0020616+0.00050898i,0.0023264+0.01003i,-0.00098709+0.0021135i,0.00034338+0.0016918i,0.00057585+0.0015264i,-0.0028289+0.0017283i,-0.00080777+0.00024771i,-0.00083825+0.00010285i,-0.00029455-0.0012933i,-0.0011265-0.0018719i,-0.00039159+0.00041389i,0.00036009+0.00062588i,0.00078472-0.00065828i,-0.012685+0.0076353i,0.0016147+0.00059672i,0.00085172+0.0010581i,-0.00012651+0.0022796i,0.0014296-0.00072242i,-0.00034528-3.1809e-05i,-0.00093113+0.00015911i,-0.00054667+0.0011782i,0.00092548+0.0012844i,0.01757+0.016832i,-0.028643+0.0081738i,-0.011824+0.015157i,-0.027244+0.0097i,-0.015626+0.039955i,-0.029129+0.010917i,0.0060867+0.0012851i,-0.0072501-0.012125i,-0.020166+0.0018148i,-0.016016+0.015701i,0.012063+0.028236i,-0.00078229+0.0026607i,-0.0018853-0.0019161i,-0.0099064-0.0087502i,0.010718+0.0070602i,0.011174+0.014011i,0.00015875+0.0016764i,-0.00083634-0.0066623i,0.0058002+0.0017719i,-0.0002285-0.0071434i,0.0074662-0.0062512i,0.0099178+0.00018063i,-0.0055751+0.0072534i,0.014395+0.00020595i,0.0077742-0.0035977i,0.0089213-0.0047766i,0.0015273+0.001052i,-0.0003997-0.00635i,-0.0041792-0.0057883i,0.0028887+0.00119i,-0.024983+0.027261i,-0.0048164-0.0073416i,-0.0010506+0.00090881i,0.001589-0.0073947i,0.0022941+0.00044932i,-0.013795-0.012231i,-0.0015169-0.0036535i,0.0039937-0.00047977i,0.0032907-0.0014601i,-0.00078133-0.0085372i,-0.0059077+0.0067448i,-0.0018436+0.0031611i,-0.0049746+0.0019995i,-0.0055351-0.001865i,-0.0062311-0.00043982i,-0.017673+0.024109i,-0.0070968+0.021005i,-0.022179-0.015105i,-0.0030804+0.00074376i,0.010782+0.019666i,-0.0033933+0.017861i,0.002995-0.0023i
