-0.023716-0.037936i,-0.0127-0.049032i,-0.017883-0.04398i,-0.030801-0.034884i,-0.03-0.015834i,-0.049949-0.027308i,-0.057397-0.025369i,-0.044355-0.035864i,-0.029611-0.036585i,0.0074572+0.012822i,-0.0049976+0.015426i,-0.0046778+0.014239i,0.0098405+0.021547i,0.00058032+0.004176i,0.0032658+0.0034287i,0.0066444+0.018427i,0.026519+0.038206i,-0.0021976-0.00069196i,-0.0042597-0.0060142i,0.008307+0.001459i,-0.00014022-0.00071348i,-0.00095376+0.0013963i,0.00013604-0.00026564i,-0.031189-0.0034726i,-0.0015115-0.0057238i,0.0014784+0.0042424i,0.0035568-0.00054634i,-0.00058058+0.00055213i,0.00051371-0.00059504i,-0.00063272-0.0027091i,-0.0017961-0.0062314i,-0.0046411-0.0042283i,-0.0018336-0.0046756i,0.0020659-0.00057956i,0.0022112-0.0029095i,0.0022603+0.025249i,0.0019206-0.0024583i,0.0027356+0.00065956i,0.0060959+0.0010094i,-0.010146-0.0042711i,-0.0030994+0.00071186i,0.0065339+0.0013645i,0.0049724-0.00059607i,-0.0034424+0.0051339i,0.00058437-0.0077315i,-0.012826+0.018166i,0.036398-0.089808i,0.01225-0.069638i,-0.016076-0.059578i,-0.016006-0.055253i,0.040298-0.044468i,0.017704-0.061767i,0.034225-0.054613i,0.029154-0.059359i,0.016265-0.014032i,0.0045235+0.016256i,0.016906-0.026631i,-0.011422+0.0052878i,-0.00018113+0.0055593i,-0.0045047-0.0016685i,-0.0023903-0.02949i,-0.024377+0.032494i,0.0097007-0.011081i,-0.013519-0.0025018i,4.3103e-05-0.0050194i,-0.00077369-0.01614i,-0.0074957+0.0045036i,0.0045973+0.0066643i,-0.0089851+0.030631i,0.0045222+0.0061339i,-0.0051157-0.0011397i,-0.0032669-0.00067053i,-0.012135-0.0077395i,-0.00071177-0.0042881i,-0.030245+0.0064335i,-0.00031799-0.0096402i,-0.0093975-0.0021602i,-0.0067691-0.0029619i,0.0072294+0.0027833i,-0.0081394+0.0012944i,6.0044e-06+0.00025675i,0.0058222+0.010804i,0.0042643+0.0014963i,-0.0093736-0.0096513i,0.0033901+0.0078961i,-0.021643+0.0059959i,0.0084209+0.00051761i,-0.028317-0.0038787i,-0.041669+0.0020323i,0.01928-0.095547i,-0.00081295-0.012421i,-0.052437-0.022404i,-0.02383-0.0016342i,0.017737+0.010977i,-0.024747+0.013527i,-0.017771-0.012547i
-0.031138+0.018625i,-0.050691+0.019716i,-0.030979+0.045668i,-0.030224+0.02455i,-0.026995+0.039285i,0.0060006+0.04557i,-0.0018464+0.023644i,-0.014919+0.03888i,-0.012575+0.021924i,-0.0032269-0.0047432i,-0.0042316-0.00306i,-0.0016054-0.0034479i,-0.0037909-0.0006291i,-0.0067022-0.0040653i,-0.0017739+0.0041657i,-0.0022353-0.00082129i,-0.010986-0.0041175i,-0.0015948-0.00085989i,0.002797-0.0013359i,0.001869-0.0007844i,0.0027257-0.0034338i,0.0023135-0.0038356i,0.0013625-0.0024634i,-0.0095014-0.0078706i,-0.0020023+0.00057741i,-0.0038965+0.0012574i,-0.0015264+0.00010628i,-0.0032327-0.0010366i,-0.0011657-0.0015113i,0.0011469-0.0018045i,-0.0017021+0.0062628i,0.0013932+0.00020737i,0.0027044+0.00031328i,0.0011572+0.0015539i,-0.0013571+0.0035053i,-0.0010478-0.0059659i,-0.0014629+0.00091501i,0.00019604-3.7375e-05i,-0.00054667+0.00389i,0.0069952+0.005296i,0.0014616-0.0029232i,0.0011656-0.0038753i,-0.0040414+0.0010765i,0.00084139+0.0028795i,-0.030891-0.0060346i,0.013306-0.078668i,-0.092365-0.029687i,-0.051139-0.036128i,-0.075379-0.049728i,-0.057873-0.0060437i,-0.093091+0.019456i,-0.05875+0.011333i,-0.050466-0.022427i,-0.031659-0.056253i,-0.02566-0.029855i,0.0023718+0.0049825i,-0.018662+0.010659i,0.0097147+0.0038317i,0.011306+0.0040803i,0.00052518-0.0055024i,0.0079376+0.0021124i,-0.0086282-0.0027866i,0.0025731+0.014208i,-0.0013481+0.0091335i,0.00061206+0.0013615i,0.0061008+0.0031082i,0.0022369-0.00090367i,-0.00062526+0.015173i,0.00054862+0.01191i,0.0037564-0.0048533i,0.010592-0.0070089i,0.0022396+0.0024064i,-0.0078215-0.0069471i,-0.0019569-0.0028813i,0.018735-0.026428i,0.0064187+0.004172i,0.0036077+0.0044923i,-0.0034561+0.0024262i,0.0025647-0.0035688i,0.021877+0.0024404i,0.0024675-0.0027054i,-0.00068336-0.0098929i,0.00077678-0.0025121i,0.01322+0.0035433i,0.0046085+0.00077909i,0.0046206-0.0067491i,0.0035538+0.0084829i,0.0037624-0.00079554i,0.024479+0.0052835i,-0.078516-0.035798i,-0.0069223+0.018697i,0.0067955-0.0031667i,-0.0042241+0.0044631i,-0.035864+0.01204i,-0.0068896+0.0061274i,-0.016995+0.013307i
-0.026608+0.022515i,-0.047022+0.024531i,-0.02003+0.044065i,-0.026179+0.028406i,-0.020468+0.040493i,0.014482+0.042671i,0.0013373+0.022853i,-0.0071726+0.039601i,-0.0081018+0.01896i,-0.0045953-0.0026723i,-0.0044982-0.00049583i,-0.0027719-0.0037413i,-0.0044649-7.1735e-05i,-0.0068061-0.0014123i,-0.00060938+0.0050341i,-0.0041481+0.00084361i,-0.013324+0.0010279i,-0.0014775+4.097e-05i,0.0031755-0.0020224i,0.0019099-0.0016294i,0.0015166-0.0039474i,0.0014948-0.0037803i,0.00097119-0.0025228i,-0.010436-0.0045669i,-0.0011924+0.00087481i,-0.0035092+0.0024651i,-0.0011139+0.00033452i,-0.0032836-1.3319e-05i,-0.0017726-0.0012821i,0.00055329-0.0017517i,0.00098524+0.0066007i,0.0011099-3.2339e-05i,0.002432-0.00074494i,0.00091076+0.0011833i,-0.0011675+0.0029709i,-0.00090736-0.0051572i,-0.00098632+0.00082109i,-0.00051206-0.00018955i,-0.0001768+0.004518i,0.0073679+0.001473i,0.00056339-0.0031511i,-0.00080643-0.0041062i,-0.0037754+0.0022352i,0.0016354+0.0028084i,-0.031684-0.0058329i,-0.010776-0.08996i,-0.089129-0.011118i,-0.060319-0.034275i,-0.087219-0.038467i,-0.057007+0.0039276i,-0.082584+0.036577i,-0.054313+0.023918i,-0.040873-0.01989i,-0.038528-0.051637i,-0.03392-0.018654i,0.0037351+0.0023549i,-0.012384+0.019617i,0.009678-0.00052785i,0.012101-0.0022665i,-0.0043327-0.0092397i,0.0043919+0.0017136i,-0.0084166+0.0035309i,0.0085539+0.012045i,0.0010645+0.011026i,0.00088999+0.0011843i,0.0074757+0.0029833i,0.0023301-0.00017359i,0.0056641+0.011416i,0.0058981+0.0073i,-0.0014245-0.0069728i,0.0035629-0.0082861i,0.0032789+0.0028298i,-0.010871-0.00035616i,-0.0026787-0.0002437i,0.0070944-0.027919i,0.0076319+0.0029589i,0.0072972+0.0027989i,-0.00072324+0.0026832i,-0.00045715-0.0014706i,0.018893-0.0073809i,0.00046326-0.0036299i,-0.0054825-0.0079896i,-0.0024818-0.002008i,0.01148-0.00161i,0.004281+0.00061109i,0.0020306-0.0045119i,0.0060213+0.0067555i,0.0025478-0.0013093i,0.023904-0.0026935i,-0.083175-0.026588i,0.0018574+0.0084719i,0.0053364-0.0057339i,-0.0016073+0.0037837i,-0.029602+0.02236i,-0.00534+0.0072986i,-0.013082+0.01628i
-0.021083+0.025089i,-0.0442+0.029815i,-0.01334+0.039971i,-0.021703+0.030699i,-0.013174+0.042246i,0.021859+0.037705i,0.0047747+0.022123i,0.00039063+0.038631i,-0.0073907+0.016782i,-0.0050632-0.00052145i,-0.0034133+0.0014006i,-0.006018-0.003124i,-0.0046331+0.0018833i,-0.0067751+0.0006586i,0.0012313+0.0054985i,-0.0048728+0.0036631i,-0.01234+0.0073672i,-0.0003162+0.00090404i,0.0032017-0.0036913i,0.0016579-0.0028173i,0.000118-0.0043384i,0.00064458-0.0045036i,0.00052107-0.0027203i,-0.011035-0.0017383i,-0.0010099+0.0011399i,-0.0021408+0.0039319i,-0.00095153+0.00016242i,-0.0026823+0.001531i,-0.0020542-0.00084031i,-0.0004236-0.0026014i,0.0036353+0.0053163i,0.00091511-0.0001888i,0.0018213-0.0013669i,0.0013503+0.00069684i,-0.00027582+0.0039471i,-0.00077865-0.0053439i,-0.0012032+0.00056718i,-0.00083761-3.2321e-05i,0.0033857+0.0030801i,0.0059937-0.00093082i,-0.00029961-0.0029015i,-0.0011868-0.0025948i,-0.0035441+0.00322i,0.002216+0.0014774i,-0.034362-0.0033558i,-0.04035-0.089252i,-0.07906+0.0023826i,-0.070138-0.026918i,-0.094854-0.023275i,-0.052923+0.012155i,-0.067235+0.048009i,-0.039366+0.034013i,-0.040594-0.023333i,-0.045075-0.048233i,-0.035339-0.0058592i,0.0038788-0.000752i,-0.0025612+0.021864i,0.0082637-0.003527i,0.0078513-0.0074704i,-0.013153-0.0081522i,0.0037961+0.00035868i,-0.0044022+0.0068136i,0.011234+0.0063393i,0.0042752+0.011709i,-0.00020361+0.0016886i,0.0078119-0.0012619i,0.0041173-0.0017613i,0.0075063+0.0061846i,0.0057539+0.0021832i,-0.0066043-0.0038417i,0.00083683-0.0063409i,0.0053636+0.001716i,-0.0075295+0.0090255i,-0.0009871+0.0015452i,-0.0023758-0.025313i,0.0094101-0.00027482i,0.0069538-0.00074358i,0.00021898+0.0021865i,0.00058172+0.00047553i,0.012316-0.012229i,-0.0026813-0.00062151i,-0.0086532-0.0042792i,-0.0037958+0.0011026i,0.0070433-0.0044615i,0.0071008-0.00070934i,0.0032899-0.0044781i,0.009237+0.0037186i,0.0034598-0.0018581i,0.020765-0.0095722i,-0.086797-0.013193i,7.7348e-05-0.0014762i,0.0054065-0.0080027i,0.0014863+0.0012618i,-0.020014+0.02665i,-0.0046999+0.0029771i,-0.0070186+0.013037i
-0.015629+0.025166i,-0.039668+0.036065i,-0.0098421+0.036568i,-0.01672+0.033405i,-0.0048745+0.041213i,0.027822+0.031436i,0.0086751+0.020844i,0.0070359+0.035674i,-0.0071591+0.017093i,-0.0046737+0.0014405i,-0.0025658+0.0017287i,-0.0079405+0.00074785i,-0.0041271+0.0033863i,-0.0066898+0.0030996i,0.0029318+0.0048852i,-0.0037028+0.0068454i,-0.0076909+0.012501i,0.00058537+0.00028828i,0.0015634-0.0046738i,0.00014111-0.0039344i,-0.0012948-0.0041262i,-0.00063181-0.004602i,-1.9028e-05-0.0031528i,-0.010853+0.0014658i,-0.00040482+0.00079542i,0.00011523+0.0033902i,-0.0012768+0.00019959i,-0.0014147+0.0018464i,-0.0024292+4.6787e-05i,-0.0019779-0.0019805i,0.0050852+0.0032146i,0.00064774-0.00041311i,0.00099546-0.0019954i,0.0014719+7.7646e-05i,0.0019028+0.0034605i,-0.0015368-0.0067922i,-0.0010648+0.0011557i,-0.0011869+0.00040386i,0.0031509-0.00052192i,0.0047267-0.0020548i,-0.00087858-0.0026389i,-0.00092571-0.0023478i,-0.0026138+0.0045272i,4.2227e-05-0.00073349i,-0.037095+0.0010577i,-0.06615-0.072957i,-0.068851+0.0077454i,-0.077963-0.015373i,-0.098721-0.0064571i,-0.047132+0.018001i,-0.053309+0.053246i,-0.024525+0.032649i,-0.043793-0.020695i,-0.052241-0.04105i,-0.032955+0.0029229i,0.0021035-0.0030644i,0.0060509+0.019806i,0.00651-0.0058752i,0.0021505-0.0086484i,-0.0189-7.5229e-05i,0.00046032+0.00051424i,-0.00025695+0.0065852i,0.0099746+0.0013331i,0.0090636+0.011217i,0.00020012+0.0031746i,0.0043792-0.0027119i,0.0035602-0.0053439i,0.0061072+0.0013791i,0.0028971+8.6262e-05i,-0.007023-0.00014289i,-0.0013853-0.0051377i,0.0058052-0.00026461i,0.0021506+0.010825i,0.00038741+0.0011141i,-0.0077757-0.020205i,0.0083786-0.0036038i,0.0061567-0.0030353i,0.001685+0.0025512i,0.0010093+5.5409e-05i,0.0069122-0.012901i,-0.00053275+0.002084i,-0.009887+0.00043312i,-0.0018376+0.0037258i,0.0043032-0.0040452i,0.0065304-0.0046541i,0.00077298-0.005416i,0.0093136-0.0019302i,0.0026996-0.0042007i,0.01682-0.015825i,-0.083977+0.0016675i,-0.0067556-0.0055745i,0.0038798-0.013081i,0.0019185-0.004003i,-0.01289+0.02668i,-0.009+0.0022892i,-0.0077927+0.010872i
-0.011825+0.024844i,-0.034454+0.041131i,-0.0084795+0.035037i,-0.01071+0.035247i,0.0020112+0.038201i,0.03175+0.024354i,0.012649+0.018395i,0.012518+0.031878i,-0.0053582+0.018601i,-0.0033583+0.0030504i,-0.0024241+0.0024446i,-0.0070694+0.0044272i,-0.003256+0.0046895i,-0.005067+0.0057295i,0.0044606+0.0038845i,-0.0010705+0.0088653i,-0.0016092+0.014598i,0.00064036-0.00023494i,0.00038318-0.0047243i,-0.0016878-0.0036255i,-0.0027374-0.0034085i,-0.0018672-0.004101i,-0.0012221-0.0032939i,-0.0088948+0.0039454i,-0.00092836+0.00023334i,0.00031241+0.0019619i,-0.0012781+0.00041367i,-0.00066322+0.0016818i,-0.0021072+0.0010834i,-0.0021341-0.00049248i,0.0053716+0.00096768i,0.00045957-0.00062831i,-4.8433e-05-0.0019584i,0.0011828-0.00044113i,0.0024526+0.0019745i,-0.0040981-0.0075385i,-0.00069298+0.0016638i,-0.0010598+0.0013348i,0.0011178-0.0014599i,0.0035524-0.0022581i,-0.0013862-0.0023447i,-0.0011653-0.0021696i,-0.00070937+0.0051486i,-0.0025016+0.0014969i,-0.037843+0.0076106i,-0.075725-0.048957i,-0.063163+0.008996i,-0.082501-0.001507i,-0.099225+0.011875i,-0.042714+0.020763i,-0.040072+0.055766i,-0.015207+0.028428i,-0.045538-0.017582i,-0.056207-0.033261i,-0.02966+0.010609i,0.00026626-0.0043647i,0.014552+0.014255i,0.0046005-0.0070162i,-0.0028303-0.0069355i,-0.018743+0.0082313i,-0.00052364+0.0026743i,0.0030955+0.0062079i,0.006715-0.00048696i,0.013947+0.007719i,0.0017844+0.003744i,0.0022857-0.0014493i,0.0010355-0.0073117i,0.0025336+0.00083604i,0.0005523+0.0012832i,-0.0071638+0.0043823i,-0.0030023-0.0025002i,0.0052429-0.0023522i,0.0071959+0.0061187i,0.0010165+0.00048431i,-0.010581-0.017818i,0.0060796-0.0060436i,0.004273-0.0049943i,0.0042179+0.0019068i,0.0013038+0.00015557i,0.0033201-0.011969i,0.0015565+0.0017527i,-0.0076314+0.0063777i,0.0012436+0.0039261i,0.0034331-0.0034702i,0.0033426-0.0090352i,8.5522e-06-0.0045248i,0.0057294-0.0056562i,-0.0002366-0.0053238i,0.009157-0.021704i,-0.077267+0.011162i,-0.014502-0.0025979i,-0.00074489-0.01603i,-0.00096431-0.0086721i,-0.0077226+0.025705i,-0.012494+0.0054068i,-0.0071852+0.011569i
-0.0086736+0.024668i,-0.028508+0.04583i,-0.0070793+0.036275i,-0.0045741+0.034993i,0.0063381+0.033957i,0.034417+0.017594i,0.016352+0.014756i,0.016784+0.027642i,-0.0023461+0.018871i,-0.0019332+0.0032745i,-0.0026335+0.0035355i,-0.0050293+0.0069438i,-0.0017782+0.0060828i,-0.0026209+0.0066849i,0.0052076+0.0022883i,0.0020849+0.0094932i,0.004766+0.013666i,0.00078135-0.00026839i,-0.00117-0.0048126i,-0.0028936-0.002624i,-0.0032787-0.0018893i,-0.0027164-0.0032938i,-0.0021256-0.0026404i,-0.0075781+0.0047179i,-0.0015395+0.00073014i,-4.7482e-05+0.0017458i,-0.0014152+0.00074583i,-7.406e-05+0.0012806i,-0.0012931+0.001657i,-0.0016812+0.00029342i,0.0050302-0.00096859i,0.00012914-0.00075679i,-0.0006411-0.0016062i,0.00072709-0.00091939i,0.0025787+0.0012908i,-0.0069035-0.0066973i,-0.00023756+0.001681i,-0.0002305+0.001847i,0.00010852-0.0013588i,0.0028153-0.0023537i,-0.0018088-0.0016387i,-0.0018296-0.0018507i,0.0011674+0.0047433i,-0.0020741+0.0047322i,-0.036416+0.014943i,-0.073409-0.031986i,-0.060394+0.011248i,-0.082675+0.015385i,-0.093782+0.032041i,-0.041285+0.023607i,-0.029067+0.055015i,-0.0083112+0.023692i,-0.046572-0.012605i,-0.060005-0.025567i,-0.024754+0.01567i,-0.0030834-0.0043856i,0.017556+0.0022922i,0.0031091-0.0088166i,-0.0058023-0.0032921i,-0.014312+0.015542i,0.00064628+0.0035669i,0.0065546+0.003221i,0.0056022+0.00052826i,0.017291+0.00061991i,0.0031012+0.0035185i,0.0019773-0.0004887i,-0.0033357-0.0084127i,0.0011584+0.0031274i,0.00077084+0.0032204i,-0.0029529+0.0087908i,-0.0017209+7.7758e-05i,0.0038336-0.0034787i,0.0085141+0.0014351i,0.0014441-0.00051902i,-0.016078-0.016437i,0.0029968-0.0070917i,0.0012713-0.0058283i,0.004266-0.00052828i,0.0015997+0.00041598i,0.0018401-0.010566i,0.0023631+0.0002992i,-0.0022988+0.0088215i,0.0027082+0.0019106i,0.0024817-0.0036558i,-0.0025864-0.0098604i,-0.0010998-0.005372i,0.0023177-0.0059157i,-0.0020402-0.0053025i,-0.0013849-0.022467i,-0.073179+0.018622i,-0.013671+0.0072511i,-0.0058819-0.01734i,-0.005768-0.0094905i,-0.0048243+0.025008i,-0.011871+0.011044i,-0.0036298+0.011474i
-0.0054229+0.024493i,-0.021174+0.050217i,-0.0033688+0.038562i,0.00052654+0.033568i,0.0085531+0.031271i,0.036014+0.010599i,0.018903+0.010308i,0.019901+0.023468i,0.00068247+0.0188i,-0.0013637+0.0035095i,-0.001477+0.005575i,-0.00196+0.0087426i,0.00011954+0.0066806i,-0.00041583+0.0065633i,0.0052274+0.0007869i,0.0051531+0.0087337i,0.0095904+0.010306i,0.0010169-0.00032604i,-0.0026389-0.0040946i,-0.003477-0.0011477i,-0.0030209-0.00064107i,-0.0034887-0.0024928i,-0.0026422-0.0017633i,-0.0071056+0.0065466i,-0.0014148+0.0015576i,5.8361e-05+0.0021669i,-0.0012245+0.0015106i,-0.0001599+0.00085659i,-0.00063507+0.0016551i,-0.001281+0.00059528i,0.0039799-0.0025397i,7.4416e-05-0.00041465i,-0.0008828-0.0013878i,0.00028613-0.0010523i,0.0028408+2.4457e-05i,-0.0092745-0.0048968i,0.00035745+0.0016219i,0.00054639+0.0015577i,-0.00070096-0.0012678i,0.0021861-0.0025797i,-0.0019587-0.00090197i,-0.0019858-0.0010287i,0.0020324+0.0034692i,-0.00035131+0.005937i,-0.032344+0.021005i,-0.072709-0.025624i,-0.059475+0.015296i,-0.076097+0.030557i,-0.082358+0.049454i,-0.038704+0.029731i,-0.019755+0.05458i,-0.0047629+0.018376i,-0.046827-0.0078557i,-0.062049-0.01597i,-0.019965+0.0194i,-0.004127-0.0042914i,0.011345-0.007898i,-0.00015435-0.01078i,-0.0063461+6.5052e-06i,-0.0075899+0.018306i,0.0010493+0.0030437i,0.0070951-0.0016299i,0.006547-0.00019625i,0.014941-0.0053885i,0.0050553+0.0027002i,0.0022324+0.00090669i,-0.0072331-0.0035528i,0.002736+0.004958i,0.0020576+0.0045167i,0.0024399+0.0089449i,-0.00093719+0.00036514i,0.0026129-0.0040509i,0.0083983-0.0042311i,-8.9057e-05-0.00098711i,-0.022106-0.01049i,0.00075768-0.0067398i,-0.0010027-0.0040993i,0.0047063-0.00028733i,0.0018876-0.00021258i,0.00094924-0.011442i,0.0021243-0.0010473i,0.0015953+0.0068139i,0.0030313+0.0012083i,0.0020934-0.0029795i,-0.0062541-0.0058781i,-0.0042423-0.0056535i,-0.00058048-0.0051403i,-0.0042915-0.0049973i,-0.0085578-0.017994i,-0.068172+0.026854i,-0.0093328+0.0063808i,-0.0076742-0.016037i,-0.0090574-0.0081809i,-0.00023935+0.023184i,-0.01027+0.013071i,-0.0020381+0.0098738i
-0.0022983+0.023967i,-0.012746+0.053088i,0.0021362+0.040752i,0.0048559+0.032204i,0.010685+0.029826i,0.036149+0.0038358i,0.020371+0.0054664i,0.022647+0.019569i,0.003816+0.018015i,-0.00062876+0.0037866i,0.0012117+0.0064241i,0.0016192+0.0085184i,0.002025+0.0065481i,0.0010272+0.0062742i,0.0050643-0.00039459i,0.0076221+0.0067325i,0.012081+0.0057527i,0.0013631-0.001249i,-0.0036554-0.0030705i,-0.0031747+0.0005531i,-0.0024438+0.00028253i,-0.0038907-0.0010595i,-0.0027942-0.0010045i,-0.0043771+0.0084496i,-0.00083939+0.0023696i,0.00095213+0.002283i,-0.00054677+0.002047i,-0.00053755+0.00096201i,-0.00017011+0.0016553i,-0.00081212+0.00088146i,0.0023595-0.0035043i,0.00042598-0.00065582i,-0.0014826-0.00099763i,-0.00021169-0.0010267i,0.002385-0.0011121i,-0.010932-0.0017847i,0.00066504+0.0014094i,0.00095865+0.0012447i,-0.0017203-0.00078193i,0.0018346-0.0025906i,-0.0016796-0.00037356i,-0.0018086-0.00058977i,0.0022487+0.0024274i,0.0015376+0.0066202i,-0.02821+0.024434i,-0.078018-0.019197i,-0.058501+0.020893i,-0.067753+0.042141i,-0.06649+0.060953i,-0.034625+0.034917i,-0.01034+0.052673i,-0.002716+0.015155i,-0.047172-0.002344i,-0.061433-0.0057491i,-0.015101+0.022138i,-0.0056867-0.0032307i,0.0035-0.009358i,-0.0043305-0.010972i,-0.0050844+0.0039266i,-0.0013494+0.017621i,0.00063659+0.0025776i,0.0050548-0.0058153i,0.0056432-0.0018746i,0.01133-0.010606i,0.0065516+0.00077038i,0.0036308+0.0011005i,-0.0075302-0.00030578i,0.0051337+0.0054747i,0.0043892+0.0051051i,0.0068186+0.0065944i,-0.00053295+0.0010633i,0.0020213-0.0040807i,0.0053791-0.0081652i,-0.00056079+0.00071798i,-0.025142-0.0019159i,-0.00067909-0.0064036i,-0.0017614-0.0023924i,0.0050938-0.0010642i,0.0018216-0.00073547i,-0.0015702-0.013019i,0.00098682-0.0017057i,0.0042285+0.0059273i,0.0034476+5.3614e-05i,0.0030268-0.0033431i,-0.0077401-0.0032211i,-0.0074981-0.0023502i,-0.0031061-0.0034903i,-0.0054968-0.0043668i,-0.012473-0.012968i,-0.062216+0.033492i,-0.0093113+0.00584i,-0.008367-0.01805i,-0.011485-0.0061114i,0.00096218+0.021822i,-0.0096247+0.014453i,-0.00068259+0.0087616i
0.0011465+0.023445i,-0.0034284+0.054226i,0.0098225+0.041283i,0.0088838+0.030792i,0.014034+0.029621i,0.035399-0.0024531i,0.020653+0.00025876i,0.025383+0.015292i,0.00691+0.016354i,0.00016039+0.0039847i,0.0034736+0.0051495i,0.0039924+0.0063319i,0.0039138+0.0060531i,0.0026893+0.0057423i,0.0046934-0.0015899i,0.0088382+0.0038693i,0.012277+0.001053i,0.00027785-0.0022162i,-0.0045594-0.0014523i,-0.001991+0.0015461i,-0.0015782+0.00052364i,-0.0035214+1.2891e-05i,-0.0028445-0.00020032i,-0.0012267+0.0088085i,0.00020415+0.0025795i,0.001683+0.0017632i,0.00043625+0.002078i,-0.00033262+0.0015366i,0.00050324+0.0013478i,-0.00032603+0.00090337i,0.0007351-0.0036735i,-4.5326e-05-0.00094966i,-0.0017014-0.00017043i,-0.00069975-0.0008195i,0.0015192-0.0018973i,-0.010977+0.0020134i,0.00088544+0.0011699i,0.001379+0.0007985i,-0.0021012+0.00024692i,0.0013525-0.0028808i,-0.0015994-0.00018635i,-0.0015931-0.00041186i,0.0019135+0.0017329i,0.0036244+0.006523i,-0.024202+0.02814i,-0.086099-0.0062924i,-0.054301+0.026583i,-0.056609+0.050527i,-0.051263+0.068351i,-0.029581+0.041433i,-0.0012886+0.048874i,0.0017481+0.011881i,-0.045942+0.0045901i,-0.058437+0.0039906i,-0.010638+0.024647i,-0.0073014-0.0020486i,-0.0022566-0.0089548i,-0.0085442-0.009601i,-0.0010945+0.0053669i,0.0023699+0.015372i,-0.00047613+0.0027151i,0.002254-0.0085675i,0.0053479-0.0017844i,0.0047173-0.013567i,0.0068772-0.00279i,0.0049183+0.00021072i,-0.007616+0.0037778i,0.0085581+0.004419i,0.0077151+0.002988i,0.0091907+0.0020755i,0.00058545+0.0017291i,0.0011618-0.004381i,-0.00086114-0.0092646i,0.00081257+0.0021995i,-0.024948+0.0076572i,-0.0021654-0.0058665i,-0.0013422-0.00054851i,0.0056414-0.0040948i,0.0021187-0.00082819i,-0.007023-0.013417i,-4.7904e-05-0.0015264i,0.0062145+0.0032304i,0.0033142-0.00048193i,0.0024334-0.0044612i,-0.0074739+0.0011824i,-0.0071078+0.0022577i,-0.0046076-0.0013902i,-0.0075404-0.0038817i,-0.01465-0.0078899i,-0.056997+0.039279i,-0.0095135+0.0089684i,-0.01289-0.021463i,-0.010556-0.0033128i,0.0037668+0.021606i,-0.0090205+0.017621i,0.0014787+0.0064961i
0.0047166+0.022122i,0.0058253+0.053284i,0.0176+0.038749i,0.013143+0.028847i,0.018747+0.028513i,0.03394-0.008271i,0.019504-0.0047433i,0.027148+0.01042i,0.0092027+0.01442i,0.00085624+0.0042446i,0.0041509+0.0037385i,0.0045469+0.0043407i,0.0055913+0.0045773i,0.0039893+0.0045939i,0.0038773-0.0026665i,0.0087428+0.0011835i,0.010876-0.0024831i,-0.0006658-0.0020255i,-0.0042756+0.00025412i,-0.00075271+0.0016268i,-0.00081177+0.00024534i,-0.0030489+0.00070275i,-0.0024367+0.00052008i,0.0013771+0.0084951i,0.0013415+0.0021768i,0.0021348+0.0011737i,0.0011353+0.0017445i,0.00037565+0.0017001i,0.00078692+0.00072861i,-0.0001653+0.00086893i,-0.0007789-0.0031644i,-0.00071113-0.00082411i,-0.0014018+0.00048513i,-0.0010443-0.0004547i,0.00052404-0.0022355i,-0.0095316+0.0053062i,0.0011467+0.00067319i,0.0015282+0.00010449i,-0.0018069+0.0015873i,0.0006162-0.0033626i,-0.0015704+0.00016729i,-0.0015989-0.00057822i,0.0017228+0.0015468i,0.0056796+0.0055569i,-0.019592+0.03129i,-0.088275+0.013646i,-0.051937+0.030198i,-0.046367+0.055303i,-0.034189+0.072947i,-0.021192+0.047714i,0.0051492+0.042934i,0.0040513+0.0049273i,-0.040781+0.010388i,-0.052388+0.013739i,-0.0035935+0.025855i,-0.0086964+0.00040404i,-0.0077814-0.0059102i,-0.011737-0.0065708i,0.001892+0.0036147i,0.0049788+0.013553i,-0.0020056+0.0041519i,-0.0016913-0.01069i,0.0057303-0.0035692i,-0.0019438-0.012284i,0.0044352-0.0052527i,0.0055927-0.0022148i,-0.0058599+0.0071124i,0.011037+0.00024059i,0.0084616-0.0020709i,0.0084863-0.003449i,0.0025014+0.001164i,5.1481e-05-0.0046115i,-0.0046618-0.0054094i,0.0027979+0.0012745i,-0.020262+0.018088i,-0.0035513-0.0047983i,0.00020484+0.00048389i,0.0028796-0.0062726i,0.0020996-0.0011482i,-0.012926-0.0099318i,-0.00017252-0.00036375i,0.0066021-0.00025102i,0.0027502-0.0013723i,0.0012212-0.0048454i,-0.0050392+0.0045374i,-0.0044458+0.0050364i,-0.0047665+0.0020713i,-0.0099752-0.001987i,-0.014893-0.0037965i,-0.050662+0.047405i,-0.00337+0.012207i,-0.020034-0.020717i,-0.008844-0.003128i,0.006002+0.020859i,-0.0057228+0.021183i,0.0019932+0.0028355i
