-0.007167-0.039464i,-0.012279-0.043561i,0.0028786-0.045963i,-0.02699-0.028082i,-0.020513+0.014016i,-0.03232-0.033285i,-0.061247-0.061898i,-0.02192-0.073021i,-0.033781-0.051839i,0.0009229+0.015152i,-0.0074406+0.010871i,-0.015245+0.013994i,0.0017224+0.016605i,-0.0038659-0.0035581i,0.00036823+0.0066345i,0.00076432+0.039279i,0.01948+0.060236i,0.0012416-0.00064361i,-0.0049123-0.0083508i,0.0089544+0.0049338i,0.0017969+0.0009122i,-0.0010165+0.0035794i,7.1906e-05-0.0015191i,-0.036415-0.0092248i,-0.0020521-0.0075292i,-0.00031756+0.0045461i,0.0053792+8.9726e-05i,0.00015419+0.00080137i,-0.00012344-0.0010967i,3.7144e-05-0.0028492i,-0.0012376-0.0061581i,-0.0025305-0.0042236i,-0.00028596-0.0078971i,0.0031975-0.0013194i,0.003131-0.0023281i,-0.0013153+0.034225i,0.006411-0.0039675i,0.003672-0.0024231i,0.005379+0.00033729i,-0.013654-0.0045451i,-0.00014521+0.00039073i,0.010333-0.0006291i,0.0057721-0.00055379i,-0.0037296+0.0039268i,0.0035227+0.0022942i,-0.0037523+0.0090688i,0.016068-0.086709i,-0.0057883-0.048526i,-0.024174-0.039576i,-0.018821-0.041874i,0.064381-0.014968i,0.028163-0.060654i,0.038875-0.044439i,0.030176-0.055815i,0.019321-0.0155i,0.0082536+0.010126i,0.025214-0.032823i,-0.0072952-0.0053681i,0.0022882-0.0029726i,-0.0043251-0.0059502i,0.001341-0.032212i,-0.024394+0.030726i,0.007856-0.010365i,-0.011386-0.0015053i,-0.0051391-0.0014426i,-0.00082955-0.014244i,-0.0098981+0.0041281i,0.0033948+0.0079457i,-0.011429+0.031394i,0.0054507+0.0083398i,-0.0055109-0.0015898i,-0.0017287-0.0021794i,-0.011056-0.0076821i,0.00071244-0.0035765i,-0.03493+0.0044891i,0.0025541-0.012097i,-0.0091675-0.0021234i,-0.0065352-0.0031208i,0.0064288+0.001848i,-0.0097837+0.0013689i,0.0011629+0.00094767i,0.0053926+0.0090804i,0.0045536+0.00066667i,-0.0090711-0.0099554i,0.0025126+0.0084867i,-0.019145+0.0062463i,0.0069324+0.0034416i,-0.028565-0.0087587i,-0.034142+0.0021419i,0.02596-0.076938i,0.012634-0.010035i,-0.043078-0.027974i,-0.023462-0.0040213i,0.017916+0.012523i,-0.026723+0.01178i,-0.011567-0.008743i
-0.033848+0.00034269i,-0.048155+0.016158i,-0.049659+0.042582i,-0.027958+0.0060825i,-0.0061141+0.014611i,-0.0098275+0.031399i,-0.030634+0.017489i,-0.059532+0.023872i,-0.020975+0.020213i,0.0019994-0.0089802i,0.0017282-0.0017193i,0.0038095+0.00036853i,0.0030166+0.0090572i,-0.0038629+0.0013648i,0.0016285+0.0024031i,0.0022603-0.0091624i,-0.012065-0.0095307i,-0.0043109+0.00018771i,0.0041987-0.0027108i,0.0012969-0.001302i,0.0026064-0.0041259i,0.0017314-0.0041512i,0.0020924-0.0033793i,-0.011637-0.011132i,-0.0024581+5.286e-05i,-0.004232-0.00024323i,-0.0032509-0.0009726i,-0.0049557-0.0017844i,-0.0012948-0.0025006i,0.0010098-0.0020033i,-0.0039863+0.0045641i,0.0011448+0.0017127i,0.0023096+0.0016849i,0.001738+0.00048262i,-0.0020692+0.0029662i,-0.0034398-0.0081653i,-0.0032381+0.0014794i,0.0013275+0.00019226i,-0.00078356+0.003956i,0.009614+0.0073889i,0.0012343-0.0027936i,0.00045833-0.00047763i,-0.004893-0.0041189i,0.0024656+0.0043085i,-0.019307-0.016876i,0.0018018-0.063916i,-0.088154-0.011451i,-0.021646-0.022083i,-0.047138-0.041901i,-0.043342-0.0079888i,-0.093582+0.011965i,-0.062147-0.00025389i,-0.036948-0.02807i,-0.028479-0.054874i,-0.034369-0.026217i,-0.00078232+0.0022273i,-0.025709+0.013502i,0.0038486+0.017256i,0.0043652+0.0077447i,-7.0702e-05-0.0064135i,0.0080662+0.0051864i,-0.010756-0.004143i,0.0017922+0.011303i,-0.0015683+0.0078766i,-0.0010474-0.0026398i,0.0062049+0.0024267i,0.0039312-0.0015706i,-0.0045259+0.019969i,-0.00010245+0.013225i,0.0010985-0.0045482i,0.010855-0.0070954i,0.003437+0.0036026i,-0.0078039-0.0077565i,-0.0020724-0.0019905i,0.02738-0.033256i,0.0080886+0.0088156i,0.0040169+0.002589i,-0.0019441+0.0030462i,0.0034487-0.003946i,0.020667+0.0021579i,0.0012666-0.0019767i,-0.0008455-0.0073141i,0.0011748-0.002721i,0.012174+0.0051056i,0.0057412+0.00089103i,0.003343-0.0059225i,0.0038902+0.0077394i,0.0037983+0.0033194i,0.017414+0.0014673i,-0.065531-0.045194i,-0.010406+0.0097759i,-0.0058513-0.0047676i,-0.007205+0.0044895i,-0.036453+0.009433i,-0.0061576+0.0079427i,-0.015108+0.0036879i
-0.031797+0.0044019i,-0.044608+0.020861i,-0.036661+0.044818i,-0.026799+0.011819i,-0.004545+0.012087i,-0.0041739+0.031628i,-0.02842+0.022171i,-0.051312+0.031991i,-0.016448+0.016467i,-0.00086664-0.0082823i,0.0013738-0.0011429i,0.0034662-0.0015581i,0.0051721+0.0061055i,-0.002202+0.0031474i,0.001921+0.0025738i,-0.0033731-0.0068264i,-0.017755-0.002429i,-0.0037688+0.0019059i,0.0042917-0.0032159i,0.0014024-0.0018925i,0.0012273-0.0042583i,0.0016114-0.0030877i,0.0017228-0.0034893i,-0.013253-0.0061735i,-0.0018644+0.00039066i,-0.0044399+0.0012174i,-0.0029309+0.00012791i,-0.0044456-5.4808e-05i,-0.0018276-0.0022226i,0.00050527-0.0017854i,-0.0020554+0.0060744i,0.0012757+0.0013882i,0.0025096+0.00037971i,0.00033437+0.00019125i,-0.0024408+0.002777i,-0.0034542-0.006697i,-0.0027232+0.0019529i,0.00012677-0.00056776i,-0.00076406+0.0046402i,0.010208+0.0016894i,0.00053462-0.0030988i,-0.00027053-0.00093054i,-0.0065289-0.0029958i,0.003723+0.003644i,-0.021056-0.01836i,-0.0172-0.070441i,-0.082823+0.0046453i,-0.028972-0.023874i,-0.058922-0.03455i,-0.041322+0.0019142i,-0.082674+0.03235i,-0.059391+0.013452i,-0.028032-0.02743i,-0.035243-0.051i,-0.040915-0.011967i,-0.0011221+0.00034759i,-0.018252+0.024061i,0.008577+0.012126i,0.0063366+0.002733i,-0.0052482-0.011828i,0.0046788+0.0039651i,-0.01079+0.0028753i,0.0064557+0.0090412i,0.0014354+0.0095331i,-0.0020899-0.0019567i,0.0068821+0.0024879i,0.0033764-0.0011858i,0.0052474+0.016457i,0.006215+0.0084764i,-0.0033212-0.0057703i,0.0032654-0.0084408i,0.0042704+0.0037348i,-0.010815-0.00054832i,-0.0020815+0.00091352i,0.011541-0.036172i,0.010908+0.0067777i,0.0067547+0.0011989i,0.0013299+0.0023027i,4.2984e-05-0.0020769i,0.018149-0.0068008i,-0.00022623-0.0026551i,-0.004286-0.0054123i,-0.0021877-0.0021263i,0.011209+9.9194e-05i,0.005588+0.00075084i,0.0014305-0.0037071i,0.006559+0.0063487i,0.00391+0.0030475i,0.015638-0.0040022i,-0.071957-0.035988i,-0.002763-0.00112i,-0.0067405-0.0042355i,-0.0056546+0.0040969i,-0.031174+0.020357i,-0.0038633+0.0088423i,-0.013514+0.0061219i
-0.028884+0.0072542i,-0.041995+0.025433i,-0.028158+0.043038i,-0.023853+0.015099i,-0.0019328+0.012094i,0.0014193+0.030751i,-0.024614+0.026557i,-0.042396+0.036482i,-0.017515+0.013993i,-0.0030115-0.0068701i,0.0017593-0.00086444i,-0.00042621-0.0025684i,0.0058983+0.0040065i,-0.0015456+0.0036152i,0.0027284+0.0027672i,-0.0068714-0.0014518i,-0.01809+0.0072142i,-0.0016773+0.0033849i,0.0043074-0.0053395i,0.0014948-0.0030917i,-0.00023752-0.0044776i,0.0020677-0.0040932i,0.0013272-0.0040402i,-0.013741-0.002254i,-0.001899+0.00077292i,-0.0034355+0.0033148i,-0.0025036+0.00067783i,-0.0032243+0.0018366i,-0.0021958-0.0020092i,-0.00022393-0.0026208i,0.00043692+0.0063244i,0.0014768+0.0010408i,0.0020511-0.00045111i,0.00041591+0.0001341i,-0.0016664+0.0046195i,-0.0033703-0.006479i,-0.0025397+0.0022719i,-0.00072176-0.00058955i,0.0031976+0.0042577i,0.0081647-0.0015949i,-0.0004452-0.00296i,8.2814e-05-0.00014822i,-0.0084835-0.0012863i,0.0047342+0.0016128i,-0.024946-0.018468i,-0.039649-0.067326i,-0.072888+0.016006i,-0.036266-0.020772i,-0.06596-0.022375i,-0.034745+0.0083157i,-0.062988+0.046594i,-0.044898+0.025918i,-0.028873-0.032468i,-0.041602-0.047877i,-0.039872+0.0022848i,-0.0017964-0.00032311i,-0.0070883+0.027417i,0.010374+0.0068797i,0.0032157-0.0016i,-0.017307-0.011969i,0.0042487+0.0028559i,-0.0064539+0.0073892i,0.0087033+0.0043273i,0.0044369+0.0090949i,-0.00448+0.00028381i,0.0071198-0.0014055i,0.0039206-0.0026764i,0.0089592+0.0096163i,0.0063058+0.0030919i,-0.0080778-0.0023498i,0.00041743-0.006203i,0.0067234+0.0026908i,-0.0075884+0.0086892i,-0.00021934+0.0024002i,-0.0010605-0.033428i,0.01408+0.0016447i,0.0062634-0.0019432i,0.0013127+0.00082218i,0.00071729-0.00043449i,0.01187-0.011582i,-0.003216+0.00070775i,-0.0063129-0.0025385i,-0.0036181+0.0016556i,0.0081481-0.0028723i,0.008405-0.0019012i,0.0020428-0.0036394i,0.0097813+0.0028569i,0.0060864+0.001797i,0.012444-0.0085706i,-0.076207-0.022627i,-0.00749-0.011458i,-0.0054481-0.0042016i,-0.0043862+0.0027208i,-0.021937+0.026014i,-0.0024917+0.0039962i,-0.01076+0.0030153i
-0.026329+0.0084555i,-0.038542+0.030972i,-0.022653+0.041583i,-0.02001+0.019053i,0.0021618+0.0092659i,0.0064433+0.028395i,-0.01936+0.030163i,-0.034879+0.037722i,-0.018881+0.015973i,-0.0043713-0.004965i,0.0017193-0.0018397i,-0.0026469+0.00099588i,0.0055175+0.002006i,-0.0011927+0.0051506i,0.0033444+0.0021399i,-0.005923+0.0048199i,-0.012743+0.015625i,0.00035534+0.0026772i,0.0019569-0.0066835i,1.6223e-05-0.0044716i,-0.0014987-0.0040823i,0.0014047-0.0047833i,0.00031338-0.0051473i,-0.01332+0.0018934i,-0.0013193+0.00090166i,-0.00098998+0.0033765i,-0.0021625+0.00095983i,-0.0012179+0.0018532i,-0.0030249-0.00089926i,-0.0017275-0.0022042i,0.0026886+0.0055852i,0.0014949+0.00057047i,0.0012147-0.0010847i,0.00026153+0.00022347i,0.0011743+0.0047961i,-0.0044427-0.0076303i,-0.0015695+0.0033836i,-0.001518+2.478e-05i,0.0039663+0.00045551i,0.0064831-0.0030431i,-0.00086854-0.0026169i,0.00083465-0.00060435i,-0.0091361+0.0019157i,0.0028529-0.0016328i,-0.030046-0.01639i,-0.057802-0.052761i,-0.062826+0.021164i,-0.042282-0.015135i,-0.069841-0.0099036i,-0.027275+0.010391i,-0.044405+0.050069i,-0.029094+0.025026i,-0.032691-0.031145i,-0.048366-0.041488i,-0.034744+0.012304i,-0.0029535-0.00029671i,0.0029743+0.025735i,0.010318+0.0022819i,-0.0014672-0.0018119i,-0.027003-0.0013272i,0.0016413+0.0030309i,-0.0019072+0.0074477i,0.0073491-0.00061099i,0.00772+0.0078927i,-0.0040059+0.0036383i,0.003549-0.0026366i,0.0032037-0.0051976i,0.007959+0.0026642i,0.0033565+0.00070905i,-0.0082682+0.0020907i,-0.0015044-0.0046172i,0.0074995+0.00035203i,0.0020601+0.011054i,0.0013846+0.0014456i,-0.0089457-0.027294i,0.012848-0.0036734i,0.0051474-0.0037346i,0.0018539+0.0016765i,0.0010934-0.00074732i,0.0064028-0.012224i,-0.00021357+0.0037518i,-0.00674+0.00084979i,-0.0010422+0.004038i,0.0058286-0.0030445i,0.0073523-0.0063156i,0.00019708-0.0037998i,0.0089127-0.0031045i,0.0059777-0.0012923i,0.0084259-0.01217i,-0.073695-0.0088691i,-0.018243-0.013916i,-0.0059793-0.0077581i,-0.0042726+0.00050805i,-0.014268+0.026806i,-0.0065683+0.0029168i,-0.013731+0.0028643i
-0.024949+0.0097037i,-0.034607+0.035939i,-0.019583+0.041429i,-0.014403+0.021289i,0.0042438+0.0049166i,0.0099946+0.025907i,-0.013457+0.032111i,-0.029488+0.038826i,-0.017072+0.020313i,-0.0046342-0.0030988i,0.00059534-0.0021544i,-0.0013849+0.0039441i,0.0048048+0.00072742i,0.0012679+0.0065544i,0.0039205+0.0016194i,-0.0019796+0.0081475i,-0.0045823+0.019891i,0.0009888+0.0016049i,0.00011121-0.0063447i,-0.0021135-0.0044875i,-0.0026791-0.0034205i,0.00042597-0.0050359i,-0.0019356-0.0051632i,-0.010181+0.0051804i,-0.0016494+0.00058266i,-0.00045649+0.0021812i,-0.0018302+0.0011743i,-0.00025359+0.00088217i,-0.0029707+0.00061172i,-0.0019979-0.00073684i,0.0041991+0.003981i,0.001522-0.00011998i,0.00030216-0.00090725i,7.3768e-05+0.00019815i,0.0023766+0.0034842i,-0.0071773-0.0076533i,-0.00059159+0.0036831i,-0.0013933+0.0014929i,0.0017147-0.00097018i,0.004882-0.0034936i,-0.0012477-0.0024827i,0.00069481-0.0013485i,-0.0077325+0.0047275i,7.5617e-05-0.00060327i,-0.034228-0.011051i,-0.063364-0.032727i,-0.056467+0.022925i,-0.047374-0.0074889i,-0.071551+0.0040709i,-0.022924+0.0078575i,-0.028747+0.049017i,-0.019941+0.020568i,-0.035361-0.029644i,-0.052034-0.034457i,-0.027925+0.020071i,-0.0037586+0.00028323i,0.013352+0.020408i,0.0095719-0.00043996i,-0.0048151+0.00074185i,-0.027859+0.011228i,0.0014242+0.0047991i,0.0020026+0.0078755i,0.0029294-0.0020259i,0.010715+0.0048586i,-0.0021348+0.0058229i,0.0013587-0.0010642i,0.0010864-0.0068563i,0.0031689+0.0014556i,0.0008447+0.0019599i,-0.0075515+0.0071564i,-0.0028304-0.0021248i,0.0070835-0.0022307i,0.007208+0.0067686i,0.0017485+0.00059078i,-0.012912-0.024509i,0.0096182-0.0076488i,0.003414-0.0052553i,0.0045693+0.0013854i,0.0011064-0.00048308i,0.0029759-0.010962i,0.002608+0.0032645i,-0.0044071+0.0048085i,0.0022167+0.0040165i,0.0053828-0.0033679i,0.0029822-0.011234i,7.412e-05-0.0027655i,0.0048143-0.0059892i,0.0038648-0.0034529i,0.0023191-0.014983i,-0.068979-0.00074251i,-0.028857-0.0071895i,-0.0089985-0.0094518i,-0.0056628-0.0012771i,-0.0087801+0.02657i,-0.0095741+0.0056856i,-0.014437+0.006691i
-0.023892+0.011261i,-0.029779+0.041038i,-0.016889+0.044053i,-0.0085379+0.020746i,0.0032316-6.9404e-05i,0.013904+0.023781i,-0.0069439+0.032162i,-0.024983+0.040859i,-0.012902+0.022016i,-0.0049942-0.002198i,-0.001144-0.0018039i,0.00084033+0.0053777i,0.0040037+0.00022022i,0.0038984+0.0054115i,0.0041547+0.00072554i,0.0022502+0.0087426i,0.0050944+0.019938i,0.0012412+0.0013098i,-0.0016017-0.0060265i,-0.0040222-0.0033878i,-0.0032153-0.001804i,-0.00035425-0.0053729i,-0.003219-0.0037769i,-0.0079017+0.0055368i,-0.0020448+0.0012019i,-0.00061996+0.0020412i,-0.0015105+0.0014733i,0.00018616-0.00027418i,-0.0019184+0.0014615i,-0.0016429-2.3803e-05i,0.0052087+0.0023151i,0.0012899-0.00063254i,-0.00012712-0.00057829i,-0.00023698+1.542e-05i,0.0029805+0.0027703i,-0.0099196-0.0060733i,0.00028388+0.0032071i,-0.00032686+0.002116i,0.00071703-0.00095189i,0.0036016-0.0037122i,-0.0017662-0.0019539i,4.8298e-05-0.0016385i,-0.0055204+0.0061404i,-0.00023248+0.0014629i,-0.036165-0.0039273i,-0.05928-0.019149i,-0.052981+0.025731i,-0.049241+0.0041114i,-0.067894+0.020927i,-0.024627+0.0059513i,-0.017012+0.044197i,-0.013547+0.015897i,-0.03781-0.02607i,-0.055827-0.027968i,-0.020154+0.023808i,-0.0048805+0.0018951i,0.017412+0.0076971i,0.0090712-0.0042618i,-0.0061129+0.0047974i,-0.021365+0.022849i,0.0031165+0.004826i,0.006647+0.0051672i,0.00095661+0.00015457i,0.01246-0.00058136i,0.00049481+0.0074728i,0.0011223+0.00014179i,-0.0031556-0.0078823i,0.0012599+0.0044012i,0.0010932+0.0038929i,-0.0024413+0.011589i,-0.0015858+0.00030275i,0.005635-0.0037683i,0.0092611+0.002203i,0.0026895-0.0005858i,-0.020848-0.023171i,0.0053096-0.0097229i,0.00053956-0.005895i,0.0042671-0.0013661i,0.00094901+0.00023278i,0.0017616-0.0091118i,0.0038462+0.0010214i,-0.00075041+0.0058525i,0.0039939+0.0015251i,0.0040794-0.0043098i,-0.0040356-0.01126i,-0.00023642-0.0032754i,0.0014484-0.0060707i,0.0027054-0.0051047i,-0.0050738-0.013619i,-0.066695+0.0063437i,-0.027753+0.0068769i,-0.012919-0.00945i,-0.0079379-0.00091313i,-0.0048048+0.026181i,-0.0085596+0.010176i,-0.009704+0.0090662i
-0.022804+0.013348i,-0.023496+0.046097i,-0.011597+0.047951i,-0.0049468+0.01778i,-0.00054184-0.0024304i,0.017873+0.020628i,-0.00099652+0.030886i,-0.020277+0.043584i,-0.0089073+0.023369i,-0.0054937-0.00080361i,-0.0017722+0.00029304i,0.0039301+0.0057865i,0.0034003+0.00031347i,0.0050473+0.0031193i,0.003896+4.5888e-05i,0.0058468+0.0075586i,0.012891+0.015504i,0.0016879+0.0010123i,-0.0029103-0.005376i,-0.0049166-0.0012931i,-0.0025975-0.00051671i,-0.0018288-0.005712i,-0.0037058-0.0024054i,-0.0073589+0.0069783i,-0.0017326+0.0019496i,-0.00029436+0.0025924i,-0.0012402+0.0019844i,-0.00081216-0.0012331i,-0.0015936+0.0012142i,-0.0014346+0.00018454i,0.0055476+0.00025815i,0.0011676-0.00086816i,0.00033297-0.00044188i,-0.00029632+0.00026009i,0.0040382+0.00079246i,-0.0122-0.0033802i,0.0010599+0.0030483i,0.00040456+0.001611i,3.9187e-05-0.00092826i,0.0024062-0.0038836i,-0.0020348-0.0013264i,-0.00019099-0.0014825i,-0.0040548+0.0060933i,0.00051656+0.0021311i,-0.035366+0.0022089i,-0.056631-0.013974i,-0.049499+0.030669i,-0.044903+0.014603i,-0.058576+0.035512i,-0.025819+0.0092539i,-0.0087681+0.040084i,-0.011112+0.010628i,-0.039763-0.022241i,-0.058294-0.01958i,-0.013698+0.025833i,-0.0036134+0.002649i,0.011318-0.0030222i,0.0056574-0.0086284i,-0.0044693+0.0080639i,-0.010913+0.027624i,0.0034788+0.0034125i,0.0079622+2.6389e-05i,0.0020777+0.0010324i,0.010412-0.0044296i,0.005382+0.0071407i,0.0013952+0.0019552i,-0.0074541-0.0028965i,0.0030905+0.0066591i,0.0026412+0.0053466i,0.003951+0.011453i,-0.00058304+0.00051071i,0.0044066-0.0050503i,0.0096242-0.0038417i,0.0008748-0.0014884i,-0.029729-0.015364i,0.0014554-0.0094845i,-0.0017183-0.0041896i,0.0043989-0.00068957i,0.0013114-4.2333e-05i,0.0016002-0.010115i,0.0034627-0.00092329i,0.0017623+0.0041107i,0.0037492+0.0005748i,0.0033604-0.0039085i,-0.00786-0.0067693i,-0.0019519-0.0037115i,-0.0016735-0.0052035i,0.00029794-0.0063428i,-0.0091671-0.0092384i,-0.062725+0.014108i,-0.022913+0.0092421i,-0.013373-0.0072765i,-0.0088347+0.00057715i,0.00029698+0.023976i,-0.0073799+0.01164i,-0.0071931+0.0081808i
-0.021254+0.015415i,-0.015534+0.049978i,-0.0040676+0.051448i,-0.0040779+0.016125i,-0.0045375-0.0019238i,0.020878+0.016848i,0.0041265+0.02856i,-0.014199+0.04668i,-0.0047065+0.023149i,-0.0054842+0.00088555i,-0.00058828+0.0018349i,0.0071247+0.0034946i,0.0035331+0.00041817i,0.004599+0.0016492i,0.0038979-0.00029773i,0.008328+0.0046041i,0.016893+0.0092296i,0.0022054-5.1295e-05i,-0.004126-0.0047065i,-0.0044813+0.0010024i,-0.0018313+0.00012029i,-0.003237-0.0046766i,-0.0037274-0.0014445i,-0.0046859+0.0086583i,-0.0012602+0.0029116i,0.00084996+0.0027525i,-0.00066897+0.0024452i,-0.0026371-0.0009133i,-0.0016248+0.0016001i,-0.0012844+0.00065276i,0.0048768-0.0017696i,0.0010526-0.0015252i,8.508e-05-0.00069137i,-0.00015832+0.00040187i,0.0032674-0.00094424i,-0.013225+0.00072006i,0.001829+0.0027426i,0.00063698+0.0014382i,-0.0011311-0.00098264i,0.0016694-0.0036366i,-0.0018922-0.0010495i,-0.00042872-0.0017588i,-0.0034654+0.0064875i,0.0014053+0.0025807i,-0.034072+0.0068495i,-0.058435-0.0093092i,-0.044945+0.035514i,-0.03995+0.022038i,-0.045242+0.04425i,-0.026516+0.012811i,-0.00074063+0.035049i,-0.010175+0.0082339i,-0.041463-0.017815i,-0.059024-0.010169i,-0.0074916+0.026544i,-0.0027289+0.0029758i,0.0043735-0.0042901i,0.0007297-0.010365i,-0.0010608+0.011245i,-0.00083581+0.0266i,0.0027142+0.0019827i,0.0064678-0.0050476i,0.0021287+0.00089444i,0.00762-0.0078569i,0.0089678+0.0040444i,0.0031284+0.0025969i,-0.0071878+0.00064241i,0.0058991+0.0073014i,0.0052181+0.0060991i,0.0093135+0.0083981i,-0.00016246+0.0009769i,0.0037311-0.0059007i,0.0062112-0.0082994i,0.0001844+0.00012641i,-0.034566-0.0033399i,-0.00048595-0.0087287i,-0.0024838-0.0022342i,0.0055172-0.001307i,0.0013555-8.4015e-05i,-0.0003721-0.012159i,0.0018685-0.0017901i,0.0034637+0.0031307i,0.0041992-0.00067833i,0.0039057-0.0044107i,-0.0092308-0.0033023i,-0.0040986-0.0018186i,-0.0043047-0.0029008i,-0.0018024-0.0069738i,-0.010894-0.0049975i,-0.058373+0.020291i,-0.021493+0.011368i,-0.013006-0.008248i,-0.0090592+0.0024548i,0.0015585+0.021912i,-0.0069358+0.012484i,-0.0052642+0.0075614i
-0.019139+0.017772i,-0.0059909+0.051812i,0.0058591+0.053113i,-0.0036615+0.015927i,-0.006595+0.0014429i,0.023446+0.012913i,0.0083336+0.025095i,-0.0059959+0.048783i,-0.0013205+0.022324i,-0.005001+0.0025323i,0.00065805+0.0015582i,0.0076122-0.00056935i,0.0041539-7.5804e-06i,0.0044464+0.00071667i,0.0039969-0.00095057i,0.008365+0.00099318i,0.017658+0.0025805i,0.0011079-0.0012242i,-0.0058897-0.0030951i,-0.0029303+0.0022802i,-0.00092506+4.5004e-05i,-0.0038379-0.0037468i,-0.0037428-0.00041822i,-0.0015195+0.0090013i,0.00010446+0.0033913i,0.0017559+0.002053i,0.00035499+0.0026583i,-0.003393+0.00079601i,-0.00096504+0.0018179i,-0.00090232+0.00082144i,0.0035186-0.0032692i,0.00027028-0.0019223i,-0.00021379-0.00068551i,-0.00016546+0.00026003i,0.0020403-0.0018667i,-0.012144+0.005114i,0.0024776+0.0020847i,0.0011652+0.0011254i,-0.0019291-0.00018687i,0.0010309-0.0035563i,-0.0023379-0.00085627i,-0.00092638-0.0018127i,-0.002725+0.0074361i,0.0025032+0.002526i,-0.03293+0.011687i,-0.062292-0.00042605i,-0.03882+0.039046i,-0.032606+0.027569i,-0.032314+0.049632i,-0.025726+0.019831i,0.0063344+0.027872i,-0.0060348+0.0063319i,-0.041931-0.012278i,-0.056981+7.8918e-07i,-0.0020941+0.026527i,-0.0026209+0.0027344i,-0.0002886-0.0037599i,-0.0048276-0.010003i,0.0048383+0.011103i,0.0056323+0.022682i,0.00063858+0.0014042i,0.0035694-0.0084515i,0.0032733+0.0021205i,0.0030892-0.0096469i,0.010318-0.0013834i,0.0049827+0.00196i,-0.0069369+0.0044613i,0.010106+0.0066291i,0.0093343+0.0040858i,0.012211+0.0028075i,0.00086864+0.0015861i,0.0018656-0.0070201i,-0.00021578-0.0093824i,0.0015739+0.001742i,-0.03453+0.010076i,-0.0026059-0.0083948i,-0.0019417-0.00038166i,0.0062163-0.005201i,0.0018504+0.0001184i,-0.0054602-0.012846i,0.00062122-0.0013203i,0.0043257+0.0012425i,0.0037674-0.0013511i,0.002943-0.0057696i,-0.0092356+0.0014234i,-0.0039998+0.00098669i,-0.0053063-7.4439e-05i,-0.0047892-0.0072034i,-0.010972-0.001158i,-0.054793+0.026218i,-0.020122+0.016871i,-0.015353-0.010378i,-0.0059467+0.0043625i,0.003877+0.021379i,-0.0068992+0.015422i,-0.0029645+0.0055049i
-0.016378+0.01939i,0.0033092+0.050863i,0.016544+0.05124i,-0.002364+0.016882i,-0.0057594+0.005139i,0.025793+0.0083938i,0.011211+0.021255i,0.0028236+0.048358i,0.001575+0.02114i,-0.0041667+0.0039022i,0.00088236+0.0011981i,0.0057242-0.0033404i,0.0042569-0.0013816i,0.0039694-0.00011448i,0.0037166-0.0017862i,0.006556-0.0010398i,0.016351-0.0026659i,0.00020885-0.00099534i,-0.0059933-0.00087833i,-0.0013796+0.0026294i,-0.00025434-0.00034419i,-0.0043312-0.003105i,-0.0031993+0.00041722i,0.0011193+0.0085905i,0.0014896+0.0027222i,0.0021015+0.0013972i,0.0012761+0.0022968i,-0.0026909+0.0024532i,-0.00036548+0.0016172i,-0.00090605+0.0010109i,0.0017164-0.0037597i,-0.00062744-0.0017894i,-0.00033205-0.00054717i,-0.00030201+0.00015575i,0.00080741-0.002345i,-0.0097806+0.0084458i,0.0029365+0.0010625i,0.0011579+0.00045549i,-0.0018823+0.0011931i,0.00024605-0.0037226i,-0.0025162-0.00010516i,-0.0013808-0.0019559i,-0.0012697+0.008599i,0.0035891+0.0018394i,-0.030524+0.016511i,-0.062132+0.012356i,-0.034672+0.041234i,-0.025541+0.030466i,-0.017946+0.052288i,-0.019993+0.027998i,0.0091704+0.018773i,-0.0038109-0.00018337i,-0.039323-0.007587i,-0.051491+0.0097273i,0.0047089+0.025363i,-0.0026741+0.0032937i,-0.004402-0.0013583i,-0.0091416-0.0071692i,0.0088968+0.0070215i,0.0096856+0.01904i,-0.0021795+0.0027736i,-0.00056644-0.01135i,0.0056832+0.00060804i,-0.0016905-0.0085992i,0.0077961-0.0055726i,0.0062585-0.00043693i,-0.0049883+0.0072985i,0.01376+0.0014705i,0.010925-0.0016202i,0.011147-0.0040606i,0.0027678+0.0011065i,-0.00062838-0.0073701i,-0.0039273-0.0059085i,0.0037432+0.00056645i,-0.028382+0.024842i,-0.0048109-0.0069757i,-0.00061942+0.00077321i,0.0024888-0.0074041i,0.0023454-0.00019344i,-0.010868-0.010076i,0.00090135-0.0003694i,0.0044916-0.0012156i,0.0029743-0.0022408i,0.0013947-0.005848i,-0.006366+0.0058635i,-0.0024914+0.0026513i,-0.0046354+0.0031517i,-0.0080628-0.0059169i,-0.010057+0.0016612i,-0.048912+0.033866i,-0.011728+0.021735i,-0.020408-0.0098976i,-0.0025471+0.0027925i,0.0059338+0.020481i,-0.0041126+0.018617i,-0.0024355+0.0017657i
