-0.032616-0.039788i,-0.021135-0.01979i,-0.012796-0.035873i,-0.029611-0.019812i,-0.022365-0.0002712i,-0.013971-0.0057686i,-0.055276-0.059081i,-0.047146-0.017189i,-0.036346-0.014196i,0.012838+0.012298i,-0.0075585+0.0045067i,-0.019458+0.019216i,0.0021866+0.011331i,-0.0056417-0.0022853i,0.00017568+0.00145i,-0.0018676+0.031206i,0.025268+0.023276i,0.0022308-0.0024448i,-0.0022978-0.0073673i,0.0074292+0.0017385i,0.0023998+0.00096747i,0.00019336+0.0034338i,-0.00036851+0.00035477i,-0.038417-0.0096782i,0.0010628-0.0077761i,0.0015604+0.0021178i,0.0070721+0.00075228i,0.0017482+0.00075992i,0.0010813-0.00050571i,-0.00053356-0.0026103i,0.0014351-0.0024472i,-0.002143-0.0064194i,-0.00081111-0.0046903i,0.0028926-0.00072319i,0.0044382-0.0033756i,0.00010757+0.029409i,0.0041791-0.0036582i,0.0028531-0.0016173i,0.0084313-0.0019138i,-0.0071656-0.0042489i,-0.00018151+0.00084147i,0.0086231-0.00023714i,0.0045349-0.0025242i,-0.0015968+0.0080469i,-0.017505-0.0079817i,-0.018998+0.014792i,-0.0028385-0.061052i,-0.0051017-0.026863i,-0.02625-0.032903i,-0.010756-0.0271i,0.055367-0.020195i,0.017519-0.042529i,0.023434-0.04805i,0.0050863-0.053118i,0.026813-0.02124i,0.0083174+0.0061987i,0.025148-0.035207i,-0.0080104-0.0071382i,0.0038191-0.004625i,-0.0041086-0.0074594i,-0.0015781-0.033679i,-0.018814+0.029093i,0.0086743-0.011899i,-0.008943-0.0038953i,-0.0041818-0.0016752i,0.000734-0.013077i,-0.011377+0.0047216i,0.0023134+0.0101i,-0.0054993+0.026225i,0.0050941+0.0026432i,-0.0055927-0.0021273i,-0.0020782-0.0021832i,-0.013113-0.0089087i,-0.00050588-0.0040504i,-0.030691+0.0091785i,0.0013641-0.010815i,-0.0084567-0.00024404i,-0.0070021-0.0024432i,0.0051718+0.0010564i,-0.0082146-0.00010761i,0.0021157+0.00012563i,0.0033051+0.0076019i,0.0041171+0.00021096i,-0.0067481-0.012266i,0.0028013+0.0094794i,-0.015152+0.0035918i,0.0067956-0.00028218i,-0.022417-0.0013137i,-0.017354+0.0064379i,-0.0094562-0.066895i,0.0079462-0.012489i,-0.049304-0.023047i,-0.020723+0.00022323i,0.017309+0.011682i,-0.022936+0.015461i,-0.020511-0.0044703i
-0.038596+0.030813i,-0.016145+0.01916i,-0.020893+0.041673i,-0.026666+0.013242i,-0.0043473+0.020936i,-0.00073145+0.0077475i,-0.030429+0.017168i,-0.0031252+0.029019i,0.0076678+0.018804i,-0.0058002-0.0059956i,0.0027302+0.0036024i,0.0078095-0.00056357i,0.0051443+0.00023659i,-0.00053171+0.0033475i,0.00066846+0.0021531i,0.0067496-0.0047885i,-0.0055099-0.00059937i,-0.0027774+0.00033118i,0.0038361-0.00093386i,-2.3454e-05-0.00092517i,0.0031008-0.0050906i,0.0016988-0.0028982i,0.0013891-0.0025138i,-0.0094829-0.011125i,-0.0016693+0.0031433i,-0.0014993+0.00025255i,-0.003934-0.0014297i,-0.002781-7.0017e-05i,-0.0017741-0.0020284i,2.5365e-05-0.00055316i,-0.00046954+0.0035181i,0.00067053+0.0010769i,0.001671+0.00093143i,-0.00049485+0.00073926i,-0.0023371+0.0025795i,-0.0012048-0.0069376i,-0.0022476+0.0010532i,0.00084438-0.00037467i,-0.0015905+0.0023999i,0.0037017+0.0042202i,-0.00043882-0.001707i,-0.00011823-0.0028368i,-0.0032841-0.0009361i,0.0034631+0.00071754i,-0.017446+0.025717i,0.0074069-0.036037i,-0.054338+0.0031953i,0.0075656-0.031561i,-0.030849-0.049053i,-0.029134-0.020089i,-0.062508+0.020523i,-0.037709+0.00074444i,-0.033689-0.0072328i,-0.025642-0.023548i,-0.039143-0.02294i,-0.0054878+0.0027668i,-0.028182+0.0095347i,0.0069915+0.017917i,0.0024403+0.0086023i,-0.0026997-0.0049147i,0.0020208+0.0015111i,-0.013605-0.005076i,0.0053268+0.011464i,-0.0003894+0.006168i,-0.0019776-0.0011201i,0.0010055+0.0020375i,0.0036407-0.0012868i,-0.0026498+0.017753i,0.004259+0.016113i,0.003793+1.2063e-05i,0.0099299-0.0069305i,0.0043761+0.0030882i,-0.00913-0.0075614i,-0.0010233-0.0029499i,0.013467-0.040256i,0.0078083+0.010331i,0.0055558+0.0023418i,-0.0028908+0.0028089i,0.0035469-0.0058322i,0.019875+0.0076255i,0.0032008+0.0027999i,0.00048037-0.0059014i,0.00084097-0.0030056i,0.01899+0.0044139i,0.0047332+0.0016021i,0.0025639-0.005088i,0.0039825+0.0079457i,-0.00063487+0.0013077i,0.0088946+0.0030922i,-0.047218-0.013802i,-0.006077+0.011763i,-0.0020726-0.0047002i,-0.0067266+0.0056052i,-0.03638+0.010413i,-0.0055811+0.0078484i,-0.010364+0.014006i
-0.033342+0.035803i,-0.012959+0.018815i,-0.010523+0.037514i,-0.024015+0.016054i,-0.0016436+0.019048i,0.00061944+0.0076777i,-0.028949+0.022167i,0.0025234+0.027918i,0.01017+0.0134i,-0.0068655-0.0031745i,0.0039336+0.0039936i,0.0067881-0.0030783i,0.0047221-0.0017392i,0.0016047+0.0038985i,0.00098209+0.0021206i,0.0022085-0.0044122i,-0.0063841+0.0026885i,-0.0023472+0.0011944i,0.0043894-0.001882i,0.00024394-0.00092821i,0.001292-0.0053294i,0.0013782-0.0025957i,0.00076127-0.0026135i,-0.012009-0.0073581i,0.00025431+0.0029345i,-0.001486+0.00058948i,-0.0035779+0.00034842i,-0.0020178+0.00059484i,-0.0022179-0.00073433i,0.00020112-0.00051506i,0.00015174+0.0029094i,0.00019199+0.0011212i,0.0015285-0.0001908i,-0.00071147+0.00086617i,-0.0022317+0.0028941i,-0.0011359-0.005994i,-0.0017668+0.0018729i,-5.8305e-05-0.00099395i,-0.00089661+0.0021172i,0.0041015+0.0019077i,-0.00077842-0.0013798i,-0.0013721-0.0029452i,-0.0037+0.00016055i,0.0037499-4.3156e-05i,-0.012616+0.025224i,-0.0057213-0.041579i,-0.047896+0.01368i,-0.0017613-0.039173i,-0.044648-0.043635i,-0.029856-0.013184i,-0.050701+0.032044i,-0.034911+0.0092392i,-0.024694-0.0092154i,-0.028244-0.019792i,-0.044947-0.0088252i,-0.0045561+0.0027367i,-0.023715+0.021215i,0.011861+0.012323i,0.0051944+0.0051306i,-0.0079996-0.0083281i,-0.0011983+0.0034569i,-0.011773+0.0042893i,0.010087+0.0082883i,0.00036792+0.0077283i,-0.0018804+4.4795e-05i,0.002011+0.0033206i,0.0037471-0.001509i,0.0058699+0.013901i,0.0098462+0.0087483i,-0.00064246-0.0031112i,0.0031555-0.0082055i,0.0048989+0.0027162i,-0.0114-0.00028564i,-0.0027133-0.00063088i,-0.0042748-0.036819i,0.011812+0.0080274i,0.0077574+4.5785e-05i,0.00047609+0.0027667i,-0.00035079-0.0034038i,0.020868-0.001782i,0.0032148+0.0012155i,-0.0030926-0.0050334i,-0.0030082-0.0014158i,0.017977+0.0036937i,0.0051387+0.0017659i,0.00077084-0.0035172i,0.0062926+0.0060244i,-0.00039727+0.0025358i,0.0092092+1.6911e-05i,-0.04987-0.0087508i,-0.0001482-0.0029459i,-0.00088565-0.0043405i,-0.0043746+0.0052632i,-0.030232+0.021926i,-0.003057+0.0085966i,-0.0032556+0.011314i
-0.027021+0.039564i,-0.01064+0.019058i,-0.0056741+0.031247i,-0.02124+0.018911i,0.0017211+0.018175i,0.0021971+0.0071055i,-0.025084+0.027807i,0.0075716+0.025178i,0.0097356+0.0093086i,-0.0070922-0.00048035i,0.0061011+0.0036618i,0.0026913-0.0039968i,0.0036263-0.0029317i,0.0023658+0.0032621i,0.0014365+0.0020738i,-0.0011828-0.0017158i,-0.0049357+0.0057505i,-0.0011479+0.001697i,0.004399-0.0040333i,0.000541-0.001557i,-0.00043188-0.0050931i,0.0014764-0.0030463i,0.00027854-0.0026368i,-0.01379-0.0033871i,0.0010726+0.0022243i,-0.00097914+0.0014155i,-0.0026532+0.00071911i,-0.00093594+0.0010752i,-0.0020151-0.00066134i,-9.8853e-05-0.00090802i,0.0008659+0.0029786i,0.00049628+0.0013934i,0.0011146-0.00057549i,-0.00046317+0.00082959i,-0.0006916+0.0037578i,-0.00044697-0.0060851i,-0.0016273+0.0021879i,-0.00091225-0.00092376i,0.00035501+0.0017163i,0.0035993+0.00060227i,-0.00096449-0.0011216i,-0.0012696-0.001456i,-0.0036427+0.0013258i,0.0035247-0.0015625i,-0.0094023+0.025079i,-0.021812-0.039737i,-0.038528+0.020518i,-0.013589-0.040798i,-0.052725-0.034603i,-0.026554-0.0074477i,-0.034988+0.037879i,-0.02351+0.014675i,-0.026822-0.013059i,-0.029502-0.015786i,-0.044232+0.0070781i,-0.003685+0.0029719i,-0.01252+0.028595i,0.013709+0.0056855i,0.003362-9.5307e-06i,-0.017879-0.0053496i,-0.00064772+0.0048451i,-0.0067064+0.0065122i,0.011631+0.0023385i,0.0034374+0.0080596i,-0.0031525+0.001833i,0.0022606+0.0015001i,0.0037568-0.0030318i,0.0078688+0.0068673i,0.0089799+0.0029768i,-0.0049449+0.0001147i,0.00017879-0.0062959i,0.0065134+0.0016067i,-0.0075875+0.0089572i,-0.00058316+0.0013938i,-0.0033429-0.021057i,0.015594+0.0019136i,0.0061071-0.0029349i,0.0009134+0.0015874i,-0.00028576-0.0013173i,0.016195-0.009021i,0.0017011+0.0030913i,-0.0052641-0.0025145i,-0.0033574+0.0027352i,0.011325-5.3382e-05i,0.0086743-0.00082894i,0.00072126-0.003467i,0.0091828+0.0027351i,0.0030695+0.0023095i,0.0082919-0.0030975i,-0.052736+0.00070658i,-0.0097112-0.011972i,0.0013522-0.0073794i,-0.0027874+0.0035658i,-0.020103+0.027749i,-0.0034773+0.0034416i,-0.0017939+0.0094848i
-0.019969+0.042007i,-0.0077464+0.019883i,-0.004323+0.026321i,-0.017121+0.021681i,0.0048457+0.015229i,0.0037539+0.0055694i,-0.018909+0.032277i,0.011649+0.021338i,0.0093398+0.0076066i,-0.0063484+0.002134i,0.0078752+0.001814i,0.000511-0.0013785i,0.0022945-0.0033055i,0.0022334+0.0033371i,0.0018945+0.0016772i,-0.0016164+0.0023167i,-0.0016622+0.0080351i,-0.00032343+0.0013597i,0.002722-0.0051731i,-0.00016208-0.0022175i,-0.0016739-0.004171i,0.0010418-0.0034178i,-0.00029236-0.0028681i,-0.014109+0.0018056i,0.0016652+0.0013924i,4.7578e-05+0.00082269i,-0.0022159+0.00038107i,0.00018243+0.00052281i,-0.0021403+0.00020544i,-0.00053489-0.00060666i,0.0021049+0.0024819i,0.00099357+0.0012945i,0.00032495-0.00086782i,-0.00026036+0.00086268i,0.00096694+0.0030041i,-0.0010437-0.0079255i,-0.00071171+0.0028552i,-0.0012347-0.00034422i,0.00079746-6.4556e-05i,0.0033779-6.0633e-05i,-0.0011106-0.0008179i,-0.00074137-0.0015962i,-0.0027103+0.0024023i,0.0018632-0.0034406i,-0.0064346+0.025854i,-0.034263-0.02789i,-0.029007+0.021701i,-0.024343-0.037642i,-0.061249-0.023807i,-0.021524-0.0057663i,-0.021106+0.036814i,-0.013507+0.010916i,-0.027912-0.010087i,-0.030137-0.01091i,-0.03747+0.0186i,-0.0033079+0.003281i,-0.00025173+0.029026i,0.015923+0.0026089i,-0.0013076-0.00084927i,-0.0232+0.0051218i,-0.00083719+0.0066299i,-0.0026407+0.0061829i,0.0090712-0.0037936i,0.005974+0.0070891i,-0.0027397+0.0039679i,0.00018369+0.0019573i,0.0029549-0.0054642i,0.0054847+0.001475i,0.0056317+0.0002965i,-0.0033261+0.0032046i,-0.0015534-0.0046231i,0.006609-0.00059262i,0.0016066+0.01093i,0.00029639+0.00073298i,-0.0093369-0.021647i,0.013563-0.0041088i,0.0042976-0.0041273i,0.0021628+0.0031487i,-0.00018293-0.0011938i,0.010744-0.011995i,0.0051809+0.0037989i,-0.0055527+0.00025354i,-0.00050957+0.0043922i,0.0084275-0.0010177i,0.0082642-0.0062091i,-0.00082761-0.0029907i,0.0082128-0.0029219i,0.0026211-0.00095929i,0.0070716-0.0064741i,-0.048878+0.012691i,-0.01943-0.010933i,-0.0012241-0.013378i,-0.002145+0.0010886i,-0.012267+0.027263i,-0.0074154+0.003433i,-0.0023886+0.0084546i
-0.014098+0.043198i,-0.0051604+0.019543i,-0.0053195+0.024091i,-0.012553+0.022959i,0.0063737+0.012044i,0.0040312+0.003769i,-0.011416+0.034226i,0.014283+0.017104i,0.010124+0.0063493i,-0.004296+0.0039983i,0.0060874-0.0027381i,0.0010373+0.00069502i,0.0013148-0.003375i,0.0036704+0.0037396i,0.002208+0.0012082i,0.00015808+0.0049925i,0.0019676+0.0081988i,-8.5127e-05+0.001031i,0.0012878-0.0055923i,-0.0011342-0.0021471i,-0.0027637-0.0034736i,0.00031464-0.0035221i,-0.0012134-0.0027406i,-0.0096135+0.0057286i,-0.002032-0.0048137i,-0.00011621-4.7486e-05i,-0.0013644+0.00071601i,0.00029773-0.00065503i,-0.0014732+0.0018606i,-0.00024383-0.00025026i,0.002442+0.00094349i,0.002074+0.00043601i,-0.00030054-0.00046082i,-0.00027001+0.00083317i,0.0013214+0.0021614i,-0.0036044-0.009398i,0.00021665+0.0028616i,0.0001551+0.00090259i,-0.00013651-0.00046195i,0.0028293-0.00049279i,-0.0010214-0.00048602i,-0.0012777-0.0022813i,-0.0013131+0.0025804i,-0.00041028-0.0026254i,-0.0018718+0.026915i,-0.034773-0.012988i,-0.022487+0.020158i,-0.033628-0.031516i,-0.06696-0.0082776i,-0.018538-0.0082477i,-0.010662+0.031951i,-0.0089004+0.0057547i,-0.027555-0.0087425i,-0.028861-0.0077084i,-0.030147+0.027322i,-0.0026039+0.0033919i,0.012244+0.02427i,0.012922-0.0026355i,-0.0046306+0.0016905i,-0.021504+0.015603i,0.0014285+0.0079013i,0.00020473+0.0068318i,0.00302-0.0046371i,0.0081982+0.0052035i,-0.00097168+0.0060954i,0.0002144+0.0041267i,0.0014312-0.0066424i,0.0012283+0.0019815i,0.0029851+0.00090024i,-0.0022341+0.0047569i,-0.0024559-0.0022333i,0.0056644-0.0026888i,0.0067033+0.0068157i,0.00056018+0.00015114i,-0.01335-0.019985i,0.0099026-0.0080314i,0.0021694-0.0052649i,0.0068305+0.0031082i,-0.00035564-0.00039143i,0.0065734-0.012503i,0.0077105+0.00088971i,-0.0040061+0.0034048i,0.0020712+0.0039618i,0.0085428-0.0024738i,0.0036153-0.011378i,-0.0007933-0.0022324i,0.0036626-0.0061138i,0.00059348-0.0014771i,0.0033784-0.0094848i,-0.040546+0.018023i,-0.02775-0.0027062i,-0.0071705-0.015308i,-0.0029658-0.0014855i,-0.0065413+0.026444i,-0.010176+0.0064987i,-0.0013562+0.0090147i
-0.007889+0.044517i,-0.0031446+0.019733i,-0.0057188+0.025116i,-0.0082185+0.022928i,0.0065508+0.0090957i,0.0040896+0.0026808i,-0.0033211+0.033503i,0.015731+0.01292i,0.011209+0.0039873i,-0.0024644+0.0039825i,0.0040839-0.0026253i,0.0021875+0.0016373i,0.00018483-0.0033209i,0.0052879+0.0024417i,0.0022163+0.00065246i,0.002853+0.0060009i,0.0052239+0.006642i,0.00012519+0.00096546i,-0.00072532-0.0057698i,-0.0018377-0.0016471i,-0.0031316-0.0020515i,-0.00029192-0.0036319i,-0.0018931-0.0021307i,-0.0067092+0.0048575i,-0.00092582-0.00056608i,-0.00069817-0.00017947i,-0.0013268+0.001069i,-0.00020026-0.0016582i,-8.7313e-05+0.00090266i,-0.0001456-0.00042284i,0.0023081-0.00015678i,0.0022033-0.00086179i,-0.0004668-0.0001326i,-0.00013622+0.00082i,0.0014037+0.0017516i,-0.0073414-0.0094838i,0.00083163+0.0023954i,-0.0015094+0.0019772i,-0.00081714+0.0011367i,0.0026634-0.00022259i,-0.0008174-8.3086e-05i,-0.0021922-0.0016079i,-6.6765e-05+0.0021063i,-0.0011993-0.0013192i,0.003149+0.027405i,-0.029127-0.0053367i,-0.018549+0.018558i,-0.03947-0.020804i,-0.064085+0.010587i,-0.022104-0.011118i,-0.0050166+0.026218i,-0.0064616+0.0012367i,-0.026914-0.0059203i,-0.029321-0.005084i,-0.021875+0.030176i,-0.0028888+0.0037912i,0.018486+0.011046i,0.010839-0.007625i,-0.0055123+0.0057765i,-0.013752+0.02398i,0.0041096+0.0066864i,0.0043987+0.005161i,0.00050362-0.001742i,0.010103+0.0010496i,0.0013588+0.0075604i,0.001724+0.0051071i,-0.00332-0.009142i,0.00020665+0.00541i,0.0030457+0.0025183i,0.0012397+0.0071869i,-0.001696-0.00056826i,0.0041231-0.0036415i,0.0095433+0.0018511i,0.0010922-0.000878i,-0.020405-0.018616i,0.0056944-0.0097664i,-0.00038968-0.0053559i,0.0054345-0.00028068i,2.0812e-05+0.0007108i,0.0043775-0.011807i,0.007514-0.0025639i,-0.0010854+0.0047622i,0.0034268+0.0017653i,0.006636-0.0047612i,-0.0032982-0.010228i,-0.0012638-0.0024445i,-0.0010106-0.0048625i,0.00024873-0.0022986i,-0.001441-0.0091389i,-0.035269+0.021208i,-0.024723+0.011109i,-0.011797-0.014888i,-0.0051912-0.0021472i,-0.0032658+0.025383i,-0.0089134+0.01141i,0.0021221+0.0078961i
-0.0012945+0.044817i,-0.00055237+0.02029i,-0.0040354+0.027435i,-0.0050243+0.021779i,0.0057277+0.00742i,0.0042344+0.001583i,0.0034851+0.030759i,0.016086+0.0091719i,0.011912+0.0017679i,-0.0016099+0.0041117i,0.0029035-0.0020613i,0.0042025+0.001952i,-0.00093201-0.0028194i,0.005639-0.00019131i,0.0019972+0.0002924i,0.0053202+0.0053857i,0.0064969+0.0038346i,0.00038085+0.00099135i,-0.0021666-0.0051514i,-0.0022238-0.00071305i,-0.0026786-0.00078465i,-0.0011855-0.0036773i,-0.0022716-0.0014569i,-0.0067931+0.0050709i,-0.0011094-2.3839e-05i,-0.0012013+0.00031287i,-0.0011343+0.0013578i,-0.0016871-0.0019254i,-0.00040889+0.00057686i,-0.00039709-0.00062789i,0.002135-0.00082653i,0.00217-0.0030029i,-0.00011861-8.4472e-05i,5.4806e-05+0.00068719i,0.0018544+0.00083223i,-0.01118-0.0079255i,0.0014561+0.0019273i,-0.00091679+0.0018998i,-0.00085053+0.0019119i,0.0033045+0.00013637i,-0.00053496+0.00012314i,-0.0017827-0.0004044i,0.0006226+0.0013978i,-0.0012542-0.00065616i,0.0087573+0.025574i,-0.025263-0.0039973i,-0.015593+0.017937i,-0.039339-0.010524i,-0.054479+0.026103i,-0.025457-0.0086112i,0.0001697+0.022738i,-0.0067246-0.0030747i,-0.025456-0.0041254i,-0.028715-0.00064681i,-0.013912+0.03354i,-0.0017372+0.0039252i,0.013376-0.0012147i,0.0061052-0.01143i,-0.0038299+0.008979i,-0.0046646+0.025874i,0.0053816+0.0042624i,0.0050944+0.0011539i,0.001378-0.00026417i,0.0092426-0.0021895i,0.0061691+0.0067407i,0.0036778+0.0061256i,-0.0080256-0.0036294i,0.0026264+0.0075912i,0.0044608+0.003122i,0.0052629+0.0050656i,-0.0012798-5.0119e-05i,0.003187-0.0044248i,0.0089825-0.0050174i,-0.00067025-0.0012582i,-0.028083-0.010359i,0.0019701-0.0096915i,-0.0021607-0.0039148i,0.0052739-7.8225e-05i,0.00058079+0.0007305i,0.0029143-0.014058i,0.0058474-0.0050578i,0.0010948+0.0037311i,0.0034503+0.0004788i,0.0054541-0.0058405i,-0.0066396-0.005889i,-0.0025682-0.0022967i,0.00058327-0.003326i,-0.0016581-0.0027693i,-0.0043433-0.0071714i,-0.028674+0.024275i,-0.018127+0.011797i,-0.012724-0.013337i,-0.0066908-0.0015298i,0.00089768+0.023701i,-0.0071843+0.013065i,0.0026511+0.005338i
0.005366+0.044439i,0.0027184+0.020618i,-0.00020262+0.030159i,-0.0024796+0.021477i,0.0048118+0.0069639i,0.003906+0.00070499i,0.0089209+0.026806i,0.01623+0.0062435i,0.012304-0.0013101i,-0.00059821+0.0044833i,0.0028841-0.001528i,0.0060662-4.878e-05i,-0.0017449-0.0018902i,0.0039757-0.0014641i,0.0019291+0.00015265i,0.0072574+0.0035277i,0.0058955+0.002518i,0.00079523+0.00064153i,-0.0034042-0.0044199i,-0.0019183+0.00023903i,-0.0019242-0.00013733i,-0.0020699-0.002794i,-0.0025209-0.00079003i,-0.0065928+0.0072207i,-0.0013243+0.00061983i,-0.0010127+0.00099955i,-0.00076446+0.0017508i,-0.003084-0.0011304i,-0.00045827+0.00055035i,-0.00073699-0.00057037i,0.001537-0.0017174i,0.00077145-0.0033441i,-0.00031509-0.00024074i,2.4305e-05+0.00053897i,0.0014815-2.7451e-05i,-0.014253-0.0041025i,0.0017556+0.0013136i,-0.00032798+0.0020509i,-0.00094357+0.0022065i,0.003026+0.0099703i,-1.7097e-05+0.00013788i,-0.0011835+0.00012218i,0.0010413+0.00087448i,-0.0012877-0.00012568i,0.013153+0.021881i,-0.025409-0.0035826i,-0.013335+0.016772i,-0.038707-0.0023761i,-0.040977+0.034173i,-0.028506-0.0051393i,0.0050383+0.016697i,-0.0080139-0.0047871i,-0.02454-0.0031158i,-0.026974+0.0039441i,-0.0045202+0.034287i,-0.00076189+0.0037211i,0.0063103-0.003222i,0.00066266-0.012646i,0.00022651+0.012037i,0.0037637+0.023618i,0.0050631+0.0019698i,0.0039-0.0019581i,0.00095012+0.00013973i,0.0073099-0.0056456i,0.0093882+0.0034038i,0.0063654+0.005708i,-0.0077806+0.00066453i,0.0059287+0.0081386i,0.0061375+0.0029229i,0.0086939+0.0019092i,-0.00082221+0.0006553i,0.0029616-0.0052088i,0.0056394-0.0088508i,-0.00087304+0.00091925i,-0.030717+0.001555i,-0.00044749-0.0091319i,-0.0029323-0.0021157i,0.006453-0.0014045i,0.00081467+0.00031093i,-0.00099299-0.016303i,0.0033313-0.0067978i,0.0025961+0.0030215i,0.0036283-0.00063507i,0.0048665-0.0068082i,-0.008357-0.0031323i,-0.0039412-0.00045046i,-0.0021141-0.0044355i,-0.0028891-0.0022264i,-0.0057216-0.004892i,-0.022722+0.024724i,-0.01647+0.012375i,-0.013694-0.013799i,-0.0077148-0.00016231i,0.0024417+0.022997i,-0.0057673+0.013675i,0.0030646+0.003994i
0.012599+0.043157i,0.0068404+0.019876i,0.0061589+0.031291i,0.00037933+0.021222i,0.0052099+0.0075894i,0.0037074+0.00027318i,0.012845+0.021612i,0.01625+0.003239i,0.011545-0.0044951i,0.00069507+0.0043057i,0.0029434-0.0020698i,0.0055923-0.0031289i,-0.0020923-0.00091545i,0.0030264-0.0017941i,0.0019875-2.664e-05i,0.007741+0.00087926i,0.0062722+0.0025574i,0.00056195+0.00012281i,-0.0047794-0.0032013i,-0.0012848+0.00069952i,-0.0010927-0.00022776i,-0.0021947-0.0020635i,-0.0024885+2.8465e-05i,-0.0033653+0.0092887i,-0.001008+0.0012392i,-0.00059438+0.001354i,-1.5482e-05+0.0018627i,-0.00346+0.00038041i,-0.00040793+0.00037193i,-0.0009375-0.00037981i,0.00050611-0.0020859i,-0.00090344-0.0034403i,-0.000507-6.1057e-06i,-2.9931e-05+0.00046228i,0.00096176-0.00045194i,-0.015137+0.00099081i,0.0017538+0.00072503i,0.00048871+0.0018232i,-0.00079596+0.0027426i,-0.0017968-0.0014785i,0.00080173-0.00055736i,-0.0004852+3.6149e-05i,0.0010276+0.00054256i,-0.0012885+0.0002962i,0.015744+0.018527i,-0.027947-3.9231e-05i,-0.011775+0.015987i,-0.033704+0.006042i,-0.028586+0.038622i,-0.030366+0.0023088i,0.0078303+0.009264i,-0.0062649-0.0067414i,-0.023656-0.00065981i,-0.023327+0.0090892i,0.0036146+0.03337i,-0.0003176+0.0027237i,0.002256-0.0032987i,-0.0050856-0.012163i,0.006513+0.011537i,0.0092711+0.018514i,0.0030393+0.00098553i,0.0019539-0.004333i,0.0017799+0.0028521i,0.0034798-0.0076627i,0.010495-0.0022041i,0.0085655+0.0037383i,-0.0072039+0.0044999i,0.010228+0.0066847i,0.0085636+0.00072723i,0.010569-0.0023173i,9.2869e-05+0.0012205i,0.0014985-0.0060121i,-3.4864e-05-0.0093388i,0.0011318+0.0022503i,-0.027932+0.013754i,-0.0024748-0.0081493i,-0.0026051-0.00019938i,0.0055453-0.0063217i,0.0013052+0.00075856i,-0.0074799-0.015598i,0.00038743-0.0064734i,0.0037482+0.0015045i,0.0034022-0.0010223i,0.0030169-0.0083835i,-0.0087619+0.0022415i,-0.0033162+0.0018302i,-0.0051068-0.0014637i,-0.0042107-0.0018483i,-0.0058724-0.0027961i,-0.019472+0.025244i,-0.015405+0.0166i,-0.016204-0.016355i,-0.005714+0.0019006i,0.0065692+0.023056i,-0.0049669+0.015336i,0.004145+0.0012216i
0.019611+0.040419i,0.010691+0.017864i,0.012724+0.029042i,0.0034432+0.020339i,0.0066251+0.0075999i,0.0039805-6.7326e-06i,0.0148+0.01651i,0.015768+0.00046529i,0.0099501-0.0070834i,0.001347+0.0040119i,0.0024397-0.0025839i,0.0032526-0.0048588i,-0.0021286-2.4857e-05i,0.001954-0.0018024i,0.0019681-0.00029127i,0.0067838-0.0012975i,0.0090978+0.0007899i,0.00036988+8.111e-05i,-0.0052762-0.0015881i,-0.00065915+0.0008467i,-0.00053129-0.00065042i,-0.0023444-0.0017599i,-0.0020856+0.00064522i,-7.0304e-05+0.0095802i,-0.00068158+0.0013804i,-0.00024203+0.0016038i,0.0006571+0.0013282i,-0.0029266+0.0017314i,-0.00050067+0.00028504i,-0.0012693-6.4424e-05i,-0.00050732-0.001949i,-0.0029049-0.0025892i,-0.00033023+0.00022029i,4.8727e-05+0.00048162i,0.00042868-0.00068803i,-0.013611+0.0057452i,0.0017358+0.00010972i,0.00075744+0.0012732i,0.00061899+0.0034443i,-0.00089692-0.0010175i,-0.00098411-2.5851e-05i,0.00049584-0.00060444i,0.0010627+0.00061021i,-0.0012265+0.00085262i,0.018005+0.015774i,-0.027631+0.0068084i,-0.011586+0.015515i,-0.027171+0.0098312i,-0.015671+0.039879i,-0.027715+0.012179i,0.0063435+0.001702i,-0.006805-0.011956i,-0.020052+0.0010838i,-0.017268+0.013571i,0.012874+0.027971i,-0.00053086+0.0026551i,-0.0016627-0.0021532i,-0.0098223-0.0087651i,0.010777+0.0069228i,0.011227+0.011869i,5.4427e-05+0.0019168i,-0.00065089-0.0063665i,0.0055573+0.0014911i,-0.00040484-0.0071761i,0.0074032-0.0063279i,0.0099304-4.7428e-05i,-0.0057965+0.0070799i,0.013622+0.0011198i,0.0087709-0.0042177i,0.0085026-0.0072i,0.0013064+0.0011899i,-0.00045123-0.0062187i,-0.004127-0.0059019i,0.0030078+0.0011734i,-0.018097+0.024744i,-0.0050082-0.0064645i,-0.0012867+0.00094915i,0.0014651-0.007653i,0.002212+0.00041783i,-0.012618-0.01188i,-0.0010515-0.0046563i,0.0038822-0.00064791i,0.0030129-0.001535i,0.00031085-0.0086949i,-0.0050521+0.0064773i,-0.0019449+0.0031605i,-0.0052772+0.0018704i,-0.0061568-0.00064957i,-0.0057974-0.0017213i,-0.014091+0.028766i,-0.0074084+0.020397i,-0.022127-0.016901i,-0.0029075+0.00083647i,0.0098746+0.020968i,-0.0022173+0.017453i,0.0030111-0.0024767i
