-0.025718-0.0053689i,-0.021448-0.0080079i,-0.012446-0.013689i,-0.035207-0.0080608i,-0.02721+0.0014053i,-0.035986-0.0030786i,-0.068725-0.03663i,-0.033559-0.015316i,-0.02302+0.0029381i,0.005826+0.0065209i,-0.0056127+0.0077193i,-0.0085959+0.018158i,0.0059185+0.0080773i,-0.001447+0.0032216i,0.0041249+0.0035897i,0.0055452+0.025099i,0.023327+0.020226i,0.0013459-0.0004397i,0.001309-0.0044138i,0.0092792+7.3197e-05i,0.0055771-0.00062573i,0.002151+0.0012058i,0.0014608-0.00090261i,-0.024284+0.00035939i,-0.0045117-0.0040357i,-0.00024447+0.0032729i,0.0048676-0.0042555i,-0.0016559-0.0004934i,-0.00012626+0.0010692i,-0.0018165-0.0015247i,-0.0034312-0.00046161i,-0.0067752-0.0088585i,-0.0052317-0.0076715i,-0.00046555+0.00034951i,-2.5982e-05-0.0023336i,0.0009813+0.022319i,0.0028315-0.0038204i,0.00066305-0.0042049i,0.0032118-0.0019525i,-0.0032453-0.0026218i,0.00067477+0.00015808i,0.0079257-0.0022122i,0.0028903-0.0019737i,-0.00031894+0.0028966i,-0.014163+0.015403i,-0.027139+0.054087i,-0.0056123-0.037743i,-0.014953-0.018897i,-0.04029-0.016617i,-0.027097-0.012794i,0.036953-0.012186i,0.0064749-0.030293i,0.013326-0.037993i,-0.0080806-0.029575i,0.024631-0.023186i,0.013299+0.0072991i,0.028633-0.036139i,-0.0016412-0.0040074i,0.0055677-0.0093067i,-0.00064393-0.0060137i,0.00037282-0.034918i,-0.013443+0.028724i,0.0086431-0.011965i,-0.0088431-0.0045418i,-0.002484-0.0017689i,0.00032634-0.015837i,-0.0079971+0.0057341i,0.0044487+0.0070009i,-0.0013153+0.028964i,0.0028429+0.0013568i,-0.00717-0.0045225i,-0.0038202-0.0063158i,-0.013846-0.010012i,-0.0020535-0.0057025i,-0.03441+0.0062471i,-0.0049159-0.0085171i,-0.01292-0.0010562i,-0.010255-0.0056334i,0.0016282-0.0011848i,-0.013807+0.001839i,-0.0020303-0.00062779i,0.0057753+0.0059406i,0.0036991-0.0049182i,-0.013621-0.014053i,0.007441+0.0082397i,-0.016792+0.0053042i,0.0048466+0.00018257i,-0.019469-0.0034054i,-0.016574-0.0048142i,-0.014172-0.036644i,0.020175-0.010336i,-0.039233-0.024466i,-0.009063+0.0057757i,0.017817+0.014849i,-0.022962+0.016961i,-0.0040959-0.0040062i
0.004617+0.014202i,-0.0035381+0.015082i,-0.0028072+0.026521i,0.0018226+0.024912i,-0.00023673+0.028892i,0.010966+0.022298i,-0.0097246+0.02645i,-0.0058066+0.02227i,0.011255+0.0047245i,0.0024402-0.0057281i,0.0017776+8.2549e-05i,0.0060658-0.0024704i,0.00070787-0.0015929i,0.00037887-0.0035675i,0.00025501-0.0018383i,0.0060306-0.0061952i,-0.0038295-0.004575i,-0.0015392+0.002066i,0.0002377+0.00053943i,-0.00010218+0.0020123i,-0.0025908+0.00015078i,9.0689e-05+0.00023629i,0.0015024+0.0003787i,-0.0087222-0.0036698i,-0.00094861-0.0006306i,-0.0024063+0.0006548i,-0.0039934+0.00025748i,-0.0017905+0.00048922i,-0.0018072+0.00073416i,-0.00028544-0.00024414i,-0.0031323+0.00053085i,0.0010893-0.0020262i,0.00079828-0.0027302i,-0.00044708-0.00079356i,-0.0018099+0.00092835i,-0.001176-0.0044073i,-0.0023225+0.0014101i,0.001638-0.00020995i,-0.00085775+0.0023947i,0.0024514+0.0061661i,3.9176e-05+0.00045608i,-0.0016635-0.00010766i,-0.0014497-0.0021619i,0.0035143+0.003995i,0.01525+0.0067787i,0.045417-0.05436i,-0.027108+0.0051695i,0.018781-0.027506i,-0.022285-0.033352i,-0.012095+0.0028107i,-0.033028+0.033734i,-0.019428+0.0050346i,-0.016252+0.0084849i,-0.0015408-0.017892i,-0.040503-0.021599i,-0.0085173+0.0017384i,-0.029027+0.01201i,0.0023944+0.014819i,0.00075238+0.0051915i,-0.0040564-0.0052379i,-0.00036225+0.0019151i,-0.013692-0.0043259i,0.0048845+0.013184i,-0.001742+0.0081138i,-0.002043+0.0039124i,0.00097545+0.0060684i,0.0026573+0.0029289i,-0.0018972+0.01862i,0.0042597+0.015016i,0.0047247-0.0055014i,0.011554-0.0049277i,0.00853+0.0028234i,-0.0042747-0.0064643i,-0.000587-0.0021047i,0.019246-0.032293i,0.0090511+0.0044942i,0.0076947-0.0017909i,0.0025119-0.00062828i,0.0058292-0.0089793i,0.02189+0.00036687i,0.0058791-0.0036858i,0.0016269-0.0072782i,0.0049511-0.0032264i,0.017802+0.0027099i,0.0068342+0.0026435i,0.0036062-0.0034791i,0.0091633+0.009507i,-0.0011843+0.0053696i,0.0084434+0.0094652i,-0.013804-0.014702i,-0.0094599+0.0017519i,-0.0085182-0.014092i,-0.0074073-0.0050418i,-0.039591+0.0072205i,-0.0062846+0.0038793i,-0.011983+8.6419e-05i
0.0071985+0.012955i,-0.0015909+0.012806i,0.0038109+0.022127i,0.0055452+0.022409i,0.0039425+0.027045i,0.014099+0.019997i,-0.0060514+0.02727i,-0.0013548+0.022337i,0.010954+0.00090304i,0.00042245-0.0059062i,0.0021183+0.00052974i,0.0049953-0.0049268i,0.00018371-0.0022669i,0.00050288-0.0034069i,-0.00040108-0.0017363i,0.0025105-0.0059516i,-0.0059294-0.002158i,-0.00070779+0.0023836i,0.0012524+0.00028784i,0.001201+0.0016604i,-0.0017907+0.0016919i,0.00070055+0.00048889i,0.0017821-0.00026653i,-0.0081815-0.00085565i,-0.00081491-0.00016623i,-0.0020543+0.0015411i,-0.0029881+0.0021032i,-0.0011154+0.0010587i,-0.0012592+0.0010936i,-4.863e-05+6.3932e-05i,-0.0026101+0.0018467i,-0.00038134-0.0015028i,-0.00096318-0.002609i,-0.0014016-0.00066807i,-0.002187+0.0014055i,-0.00031714-0.0035172i,-0.0013188+0.0019899i,0.00072217-0.00086785i,-0.00028629+0.002792i,0.0039174+0.004056i,0.00029502+0.00038554i,-0.0020216+0.00045497i,-0.0022298-0.0017445i,0.0046335+0.0026354i,0.015973+0.0021117i,0.025324-0.064716i,-0.021081+0.013203i,0.0081725-0.035062i,-0.033491-0.025676i,-0.0094135+0.006122i,-0.021662+0.039629i,-0.015849+0.01059i,-0.0049199+0.0032275i,-0.0035545-0.016625i,-0.045362-0.0054707i,-0.0085023+0.0024131i,-0.023976+0.023862i,0.0063013+0.01026i,0.0016199+0.0033654i,-0.0092222-0.0069543i,-0.0029675+0.0049377i,-0.013835+0.0036203i,0.01029+0.0093401i,0.00075593+0.0098764i,-0.00064805+0.004253i,0.0029958+0.006804i,0.0041269+0.0028522i,0.0058995+0.015039i,0.0089917+0.0082399i,-0.0018356-0.0079497i,0.0059038-0.0066638i,0.0078278+0.0012194i,-0.0069797+0.00032917i,-0.00083053+0.00063071i,0.0048741-0.032531i,0.010793+0.0016875i,0.0077914-0.0046637i,0.0042876-0.00224i,0.00071235-0.0061296i,0.020868-0.0094999i,0.0028498-0.0050193i,-0.0021356-0.0062581i,0.00088248-0.0028232i,0.014818-0.0031996i,0.0072873+0.0013515i,0.0026904-0.0023629i,0.011882+0.0055201i,0.00026721+0.0058479i,0.010239+0.0055021i,-0.019339-0.012736i,-0.0046762-0.012699i,-0.0075944-0.0119i,-0.0076228-0.0039948i,-0.033804+0.020303i,-0.0038836+0.0049125i,-0.010348+0.0022763i
0.010337+0.011042i,-0.00064962+0.011351i,0.0068878+0.016657i,0.0082414+0.019872i,0.0086126+0.025431i,0.017193+0.017067i,-0.00158+0.027781i,0.0031346+0.021232i,0.0092041-0.0017687i,-0.001402-0.0052423i,0.0031826+0.00029899i,0.0013992-0.0057347i,-0.00051889-0.0023772i,-0.00026207-0.0034335i,-0.00094718-0.0015179i,-0.00053875-0.004109i,-0.0064234+0.001032i,0.000355+0.0024684i,0.00163-0.00094891i,0.0022834+0.00047314i,-0.00043488+0.0020157i,0.0014752-2.1639e-05i,0.0016902-0.00098753i,-0.0077624+0.0006356i,-0.00065776+0.00021784i,-0.00090056+0.0024837i,-0.0012227+0.0027808i,-0.00028249+0.0013923i,-0.0006791+0.0013163i,-4.8034e-05-9.183e-05i,-0.0015548+0.0026534i,-0.0011312-0.00095132i,-0.0020713-0.001402i,-0.002027+0.00013833i,-0.0015376+0.002439i,0.00054523-0.004011i,-0.00068385+0.0019602i,-0.00011073-0.0010453i,0.0014274+0.0025244i,0.0041251+0.0023079i,0.00053686+0.00034997i,-0.0010916+0.0013603i,-0.0028464-0.0011873i,0.0048831+0.00046549i,0.015197-0.0019003i,0.0034038-0.064945i,-0.010608+0.016718i,-0.0035995-0.037063i,-0.03666-0.016973i,-0.0038005+0.0072939i,-0.0072599+0.040352i,-0.0048776+0.011553i,-0.0042792-0.0042916i,-0.0056556-0.015937i,-0.04217+0.0088628i,-0.0075715+0.004391i,-0.011408+0.030763i,0.0072092+0.0061542i,-0.00031057+0.0010246i,-0.017308-0.0031558i,-0.0017644+0.0065651i,-0.0092584+0.0082438i,0.011852+0.0030768i,0.0041853+0.0098057i,-0.001356+0.0050133i,0.004637+0.0051872i,0.0053399+0.00074068i,0.0083061+0.0088796i,0.0081487+0.002908i,-0.0069353-0.003597i,0.0034711-0.0059393i,0.0090643-0.0001523i,-0.0026252+0.0072544i,0.0015735+0.0022476i,-0.0051646-0.027772i,0.011737-0.0034804i,0.0052735-0.0070924i,0.0023424-0.004067i,0.00061442-0.0044541i,0.013239-0.016655i,-7.7454e-05-0.0020549i,-0.0046919-0.0035369i,-0.00040029-5.3813e-05i,0.010567-0.0068447i,0.010081-0.0022408i,0.0036154-0.0034611i,0.014227+7.3956e-05i,0.003583+0.0048529i,0.010173+0.0017294i,-0.022911-0.0053133i,-0.015345-0.020135i,-0.0061999-0.014048i,-0.0063743-0.0040717i,-0.023039+0.026369i,-0.0036475-7.3759e-05i,-0.0082721-0.0011061i
0.013059+0.0074616i,0.00095236+0.011003i,0.0077243+0.011614i,0.010796+0.017765i,0.012966+0.02192i,0.019724+0.013281i,0.0038574+0.027227i,0.0072319+0.018914i,0.0074937-0.0027387i,-0.0028004-0.0041415i,0.0038095-0.0013939i,-0.0011108-0.0041021i,-0.001369-0.0023605i,-0.0013981-0.0028063i,-0.0016097-0.001183i,-0.0014373-0.0010546i,-0.0049044+0.0039804i,0.0012602+0.0018638i,0.0010119-0.0014548i,0.0020717-0.0011799i,0.00057347+0.0017491i,0.0018367-0.00088004i,0.0012805-0.001735i,-0.0074248+0.0026525i,-0.00023493+0.00024963i,0.00082878+0.0017982i,0.00015554+0.0023987i,0.0005337+0.00098018i,0.00014408+0.0015472i,-3.5941e-05+0.00011224i,-0.00045053+0.0028404i,-0.0017726-0.00045874i,-0.0026127-0.00025082i,-0.0018703+0.001277i,-0.00038389+0.0027957i,0.00027574-0.0058759i,0.00024318+0.0021878i,-0.00075134-0.00058126i,0.0020066+0.0010611i,0.0041102+0.0010446i,0.00087554+5.4211e-05i,-0.00012318+0.0011714i,-0.0032276-0.00031295i,0.003158-0.0021781i,0.013778-0.005091i,-0.01483-0.054476i,-0.001698+0.013562i,-0.014745-0.034494i,-0.040614-0.0084148i,0.0011064+0.0047203i,0.0044824+0.035263i,0.0029292+0.0043284i,-0.0047622-0.005792i,-0.0060832-0.013211i,-0.0359+0.018363i,-0.0065885+0.0056657i,0.0008991+0.02977i,0.0075642+0.0030518i,-0.0034844+0.0021127i,-0.020139+0.0067169i,-0.0013559+0.008777i,-0.0048107+0.0088834i,0.0092271-0.003288i,0.007696+0.0086743i,-4.6034e-05+0.0072724i,0.0044463+0.004579i,0.0056444-0.0025978i,0.0069941+0.0039112i,0.0050002+0.00037907i,-0.005692+0.00089225i,0.0016213-0.0054469i,0.0088308-0.0025999i,0.0057738+0.0079986i,0.0033194+0.00072768i,-0.010262-0.021735i,0.0089058-0.0074898i,0.00246-0.0081548i,0.0014181-0.0030101i,-0.00031965-0.0045866i,0.0053788-0.017608i,0.0024195-0.0010565i,-0.0050021-0.00022751i,0.0019807+0.0015984i,0.0069537-0.0073069i,0.00846-0.0071688i,0.0016309-0.0040268i,0.011619-0.0073312i,0.004144+0.0015399i,0.009775-0.0023912i,-0.018645+0.0030972i,-0.026806-0.017407i,-0.010331-0.018567i,-0.0067086-0.0058721i,-0.014272+0.027157i,-0.0087677-0.00010645i,-0.011967-3.8566e-05i
0.013963+0.0035063i,0.0019666+0.0092975i,0.0064588+0.0079708i,0.013316+0.015134i,0.01598+0.017723i,0.021151+0.0091274i,0.0090051+0.024928i,0.010324+0.015708i,0.0066962-0.0031809i,-0.0032955-0.0028429i,0.0026354-0.0026126i,-0.0019288-0.0022243i,-0.0021767-0.0020316i,-0.0015873-0.0019121i,-0.0019648-0.00048752i,-0.00057026+0.0010048i,-0.0023604+0.0056302i,0.0015086+0.00116i,0.0007748-0.0014842i,0.0011466-0.0020984i,0.0010039+0.0011618i,0.0015013-0.0016813i,0.00044105-0.002087i,-0.005396+0.0042365i,-0.00017066-0.00011184i,0.0010854+0.00033315i,0.0012121+0.0013782i,0.00085757+0.00039335i,0.0010304+0.0011194i,0.00048825+0.00016503i,0.00039246+0.0027426i,-0.0017654+0.00025601i,-0.0024721+0.0012796i,-0.0011936+0.002055i,0.00048436+0.002704i,-0.0017393-0.0075466i,0.00094539+0.0017139i,-0.00073824+0.00025025i,0.0018108+0.0002506i,0.0036296+0.00025498i,0.0008364-0.00051158i,0.00016117+0.00078682i,-0.0030729+0.0006054i,0.00059669-0.001644i,0.011994-0.0072276i,-0.019774-0.039798i,0.0029103+0.0083005i,-0.023936-0.027546i,-0.042233+0.0035117i,0.0034484-0.0001423i,0.012796+0.027605i,0.0050668-0.0030663i,-0.0046279-0.0077764i,-0.0048373-0.013493i,-0.028813+0.025875i,-0.0049916+0.006669i,0.012609+0.024348i,0.006937+0.00021375i,-0.0045641+0.0056314i,-0.017313+0.015034i,0.0017397+0.010279i,-0.00021536+0.0097617i,0.0037782-0.0042952i,0.010676+0.0059123i,0.0029331+0.0079921i,0.0053802+0.0045864i,0.0043063-0.0051998i,0.0043619+0.0038561i,0.0024657+0.0013574i,-0.0049588+0.0033337i,0.00017437-0.0042033i,0.0074608-0.0051353i,0.0099234+0.0026319i,0.0034908-0.0013734i,-0.01343-0.019474i,0.0051986-0.0095038i,-0.00089008-0.0083224i,0.0025725-0.0028723i,-0.0014843-0.0032864i,0.00014742-0.015768i,0.0029796-0.0030686i,-0.0029718+0.0023417i,0.0044662+0.00033416i,0.0051784-0.0081219i,0.0039536-0.011496i,0.0013999-0.0038173i,0.0053812-0.01087i,0.002743+0.00023107i,0.0060365-0.0063735i,-0.01239+0.0040317i,-0.036591-0.0073892i,-0.016465-0.018072i,-0.008302-0.0072144i,-0.008187+0.026151i,-0.012296+0.0034941i,-0.011222+0.0039533i
0.013791-0.0001141i,0.0022466+0.0084733i,0.0049219+0.0065675i,0.015281+0.012016i,0.017519+0.013364i,0.022131+0.0051974i,0.013819+0.021157i,0.01231+0.012149i,0.0065026-0.0040056i,-0.0036822-0.0022152i,0.00092133-0.0029721i,-0.0019845-0.00066423i,-0.0030829-0.0012893i,-0.0017137-0.0015888i,-0.0021165+0.00019301i,0.00074912+0.0017901i,0.00072672+0.005769i,0.0016284+0.0006541i,0.00016857-0.001713i,3.4714e-06-0.0023499i,0.0015702+0.00069826i,0.00096522-0.0022626i,-0.00025965-0.0019642i,-0.0040631+0.0041921i,-0.0003967-0.00010068i,0.00048918-0.00046694i,0.0013255+0.00017866i,0.001061-0.0002543i,0.0014875+0.00023042i,0.00073312-0.00043198i,0.0013348+0.0025103i,-0.0015807+0.00068247i,-0.0014384+0.0024015i,-0.00020007+0.0022961i,0.0011721+0.0024213i,-0.0046398-0.0080515i,0.0013045+0.00072376i,-0.00026812+0.00046927i,0.001676-0.00033118i,0.0032571-1.5072e-05i,0.00051014-0.00053421i,0.00031885+0.00077498i,-0.0026079+0.0011458i,-0.00035533-1.3336e-05i,0.010277-0.008443i,-0.017513-0.032763i,0.0048445+0.0038574i,-0.027989-0.016827i,-0.036318+0.017168i,0.00038786-0.0045964i,0.016712+0.019591i,0.0049555-0.0090936i,-0.0049689-0.0081968i,-0.0065566-0.013687i,-0.020522+0.030927i,-0.0041545+0.0075684i,0.018216+0.011401i,0.0059158-0.002339i,-0.0028061+0.0088406i,-0.0099859+0.021412i,0.0049821+0.0091072i,0.0046409+0.0069728i,0.0015775-0.0021152i,0.012921+0.0012059i,0.0056315+0.0076148i,0.0064406+0.0035034i,-0.00066204-0.0078728i,0.0046899+0.0054919i,0.0031629+0.003246i,-0.0020737+0.0066829i,0.00043188-0.0034989i,0.0058211-0.0062928i,0.010377-0.0028933i,0.0027983-0.003169i,-0.019771-0.017063i,0.0013065-0.0099663i,-0.0042881-0.0068831i,0.0011153-0.0041268i,-0.0016505-0.001797i,-0.002563-0.012873i,0.0015353-0.0046562i,-0.00053215+0.0027415i,0.0046355-0.0035872i,0.0021487-0.0090658i,-0.0033542-0.011536i,0.00043311-0.005006i,0.00064933-0.010148i,0.0026532-0.00097994i,0.00081151-0.0062943i,-0.0095546+0.0039932i,-0.033778+0.0096724i,-0.022153-0.015253i,-0.010524-0.0071292i,-0.0042905+0.02542i,-0.011541+0.0088526i,-0.0068159+0.005094i
0.012767-0.0034185i,0.0030196+0.0083953i,0.0041665+0.0063317i,0.016505+0.0084619i,0.018104+0.0096979i,0.02259+0.00079894i,0.017319+0.016246i,0.01331+0.0087617i,0.0061763-0.0049309i,-0.0042816-0.0011122i,-0.00041303-0.0022671i,-0.0010035+0.00058358i,-0.003629-0.00015928i,-0.0022971-0.0015555i,-0.0021024+0.00093232i,0.0017968+0.0018509i,0.0030699+0.0045737i,0.0016487+0.00033115i,-0.00015218-0.0015728i,-0.00090014-0.0018714i,0.0018712-5.9834e-06i,0.0001475-0.0026228i,-0.00079304-0.0016368i,-0.0034207+0.0049304i,-0.00045209-0.00014863i,-0.00021051-0.00060535i,0.0011153-0.00068068i,0.00074533-0.0011177i,0.0013706-0.00083172i,0.00036943-0.0011219i,0.0021862+0.0018395i,-0.0010441+0.0014261i,0.00026947+0.0023966i,0.00080759+0.0020742i,0.0018596+0.001669i,-0.0078865-0.0072384i,0.001278+3.6218e-05i,-0.00010245+0.00015212i,0.001279-0.0010908i,0.0031725-0.00044188i,0.00034819-0.00054373i,0.00082344+0.00046846i,-0.0023084+0.0013671i,-4.9438e-05+0.00094427i,0.0092946-0.010014i,-0.018149-0.031975i,0.0056616+0.00064864i,-0.025694-0.0080048i,-0.025442+0.026235i,-0.0020464-0.004862i,0.019206+0.01299i,0.0023294-0.014112i,-0.0049004-0.0089182i,-0.0074737-0.011845i,-0.011882+0.033831i,-0.0015381+0.0077077i,0.012872+0.00014671i,0.0033538-0.0046685i,0.00017287+0.010244i,-0.0018454+0.022425i,0.0065176+0.006458i,0.0060098+0.0026171i,0.0019204-0.0008303i,0.012417-0.0031198i,0.010119+0.0054296i,0.0073047+0.0030903i,-0.005044-0.0035243i,0.0068951+0.0055123i,0.0048821+0.0037585i,0.0019106+0.0067943i,-0.00036511-0.0036319i,0.0040196-0.0077682i,0.0084131-0.0098402i,6.8749e-05-0.0037638i,-0.025716-0.0098287i,-0.0017738-0.0089697i,-0.0061215-0.0034812i,0.00077875-0.0024102i,-0.0015582-0.0013451i,-0.0043544-0.012268i,-0.00080996-0.0056283i,0.00083032+0.0012769i,0.0020217-0.0050187i,-7.9225e-05-0.0084585i,-0.0070365-0.0070631i,-0.0022182-0.0052854i,-0.00357-0.0086083i,0.0012116-0.0020707i,-0.0014167-0.0038616i,-0.0060985+0.0042943i,-0.0255+0.012024i,-0.022819-0.010708i,-0.012181-0.0060466i,0.0008977+0.023488i,-0.0092118+0.011315i,-0.004801+0.0037023i
0.011072-0.0060133i,0.004702+0.0085339i,0.0041883+0.0066982i,0.016888+0.0050947i,0.018118+0.0065427i,0.021846-0.0034867i,0.019599+0.010832i,0.013715+0.0058079i,0.0056829-0.006227i,-0.0044269+0.00012603i,-0.000653-0.0010477i,0.00012511+0.00038953i,-0.0037878+0.0012283i,-0.0033007-0.00057678i,-0.0016982+0.001769i,0.0027649+0.0010918i,0.0044667+0.0028307i,0.0018198-2.9952e-05i,-0.00039422-0.0015193i,-0.0012189-0.0010256i,0.001871-0.00078805i,-0.00068536-0.0023194i,-0.0010838-0.0012055i,-0.0015721+0.0055936i,-0.00076801-8.2103e-05i,-0.00056124-0.00044207i,0.00029442-0.0015073i,-0.00011165-0.0016734i,0.00066646-0.0017307i,-0.00027844-0.0013638i,0.0025331+0.00087656i,-1.5626e-05+0.0012505i,0.00093215+0.0015585i,0.0014511+0.0014298i,0.0019797+0.00088555i,-0.010753-0.0046663i,0.00093647-0.0006134i,-0.00027884+0.00011046i,0.00040582-0.0018605i,0.0031786-0.00077803i,0.00025591-0.00053433i,0.00096954+0.00012312i,-0.0021718+0.0015947i,0.00045009+0.0013917i,0.0076056-0.012119i,-0.022934-0.030527i,0.0049299-0.0029618i,-0.023429-0.0019081i,-0.013598+0.029015i,-0.0047712-0.0047242i,0.020797+0.0059082i,-0.00066937-0.016036i,-0.0055639-0.0093207i,-0.006916-0.0091146i,-0.0022289+0.034178i,0.00085268+0.0065764i,0.0069741-0.0010994i,0.00034299-0.0055638i,0.0046543+0.010959i,0.0053104+0.019915i,0.0068562+0.0036784i,0.0049259-0.0011474i,0.0015608-0.00015832i,0.0099774-0.0077339i,0.012581+0.00081959i,0.008653+0.0014958i,-0.0050619-0.00031288i,0.0090239+0.0043924i,0.0070262+0.003439i,0.0058874+0.0045927i,-0.00085287-0.0031009i,0.0022515-0.0089962i,0.0025916-0.012701i,-0.001142-0.002071i,-0.028247-9.8724e-05i,-0.0038484-0.0077884i,-0.0060342-5.7311e-05i,0.0017321-0.0020363i,-0.0018528-0.00074295i,-0.0074866-0.011537i,-0.0034921-0.0047389i,0.0016803+0.00050109i,7.3182e-05-0.0050419i,-0.0010841-0.0077989i,-0.0085147-0.0039429i,-0.0048396-0.0032534i,-0.0069726-0.0056505i,0.00032626-0.0024919i,-0.0016538-0.002294i,-0.0028959+0.0035468i,-0.023332+0.012853i,-0.021937-0.0084294i,-0.013732-0.0044024i,0.002567+0.021875i,-0.0079063+0.012107i,-0.0036865+0.0025288i
0.0092496-0.0077563i,0.0073358+0.0075294i,0.0056397+0.0067872i,0.016727+0.0019113i,0.018348+0.0039422i,0.020308-0.007284i,0.020202+0.0047687i,0.013766+0.0030119i,0.0046247-0.0074844i,-0.0042399+0.0013328i,-0.00039097-0.00054413i,0.00020568-0.00043432i,-0.0033127+0.0027005i,-0.0032096+0.00081382i,-0.00096187+0.0022941i,0.0027637-0.000119i,0.0047877+0.00080058i,0.0015792-0.00068832i,-0.00083894-0.0012756i,-0.00096948-0.00044127i,0.0016902-0.0015329i,-0.0010736-0.0018067i,-0.0011328-0.00079977i,0.00049346+0.0051657i,-0.00099596+0.00018959i,-0.0010092-0.00020078i,-0.0010811-0.0017249i,-0.0011883-0.001547i,-0.00046648-0.0022022i,-0.00099326-0.001295i,0.0025299-5.7631e-05i,0.00017052+0.00099064i,0.0010323+0.0010295i,0.0017138+0.00065595i,0.001974+0.00015543i,-0.01199-0.00095066i,0.00015595-0.0010192i,-0.00022252+0.00013654i,-0.00072468-0.0019706i,0.0031854-0.0013314i,0.00016057-0.00046274i,0.0010738-0.00019211i,-0.0019818+0.0019751i,0.0010079+0.0015546i,0.0047844-0.01323i,-0.028878-0.024293i,0.0035148-0.0056053i,-0.017286+0.0036543i,-0.00237+0.02976i,-0.0064105-0.0013562i,0.02066-0.0018588i,-0.0011027-0.018737i,-0.0054222-0.0086743i,-0.0043957-0.0062999i,0.0064441+0.031702i,0.0018212+0.0045091i,0.0038874-0.0017683i,-0.0031799-0.0054095i,0.0097331+0.0081683i,0.0093276+0.015563i,0.0053224+0.0016435i,0.0035651-0.004189i,0.0028866+0.0022729i,0.005054-0.010478i,0.012413-0.0056347i,0.0093714-0.00098802i,-0.0048409+0.0024148i,0.011664+0.0021398i,0.0097135+0.00053201i,0.0073472+0.00032364i,-0.0012708-0.0028294i,-0.00063783-0.0094265i,-0.0045437-0.012161i,-0.00058121-0.00038365i,-0.026965+0.01019i,-0.0057384-0.0065967i,-0.0041916+0.0025018i,0.0021845-0.0046552i,-0.0016086+0.00054673i,-0.011318-0.0093745i,-0.0055482-0.0021564i,0.0014762-0.0010504i,-0.0018015-0.0043261i,-0.0029713-0.0073651i,-0.0086751+0.00080861i,-0.0052189-0.00034796i,-0.0088546-0.0016388i,-0.0012688-0.0033988i,-0.0017086-0.0018715i,-0.00063277+0.002184i,-0.022092+0.018701i,-0.022633-0.0090383i,-0.012952-0.0020385i,0.0060121+0.021i,-0.0070367+0.014336i,-0.0021265+0.00017561i
0.0075476-0.0090507i,0.0095229+0.0055441i,0.0073483+0.0054365i,0.015932-0.0011067i,0.018402+0.001238i,0.018354-0.01037i,0.018855-0.00066097i,0.013355+0.00044192i,0.003425-0.008407i,-0.0039342+0.0025269i,-0.00042321-0.00043065i,-0.00049759-0.00071695i,-0.0022551+0.0036597i,-0.0027035+0.0019106i,-0.00026709+0.0024829i,0.0017835-0.00087122i,0.0042629-0.00091304i,0.0013155-0.00098271i,-0.00080302-0.00080364i,-0.00059626-0.00021611i,0.0013752-0.0021814i,-0.001188-0.0014714i,-0.0010018-0.00054877i,0.001946+0.0045168i,-0.0010432+0.00039381i,-0.001282+0.00036347i,-0.002339-0.0010421i,-0.0018413-0.00088575i,-0.0017528-0.0019889i,-0.0017468-0.00089195i,0.0022209-0.0008489i,0.00032678+0.00097438i,0.0012656+0.00051022i,0.0017264-5.0947e-05i,0.0016426-0.00047317i,-0.011733+0.0028082i,-0.00063222-0.00099641i,-0.00035582-8.0811e-05i,-0.0017818-0.0014538i,0.0029641-0.002171i,0.00026838-0.00035589i,0.0011791-0.00067472i,-0.0016963+0.0024425i,0.0015193+0.0013779i,0.0024438-0.01322i,-0.029323-0.015008i,0.00031806-0.0071803i,-0.010871+0.0036656i,0.0087645+0.026666i,-0.0051209+0.0031269i,0.01741-0.0085705i,-0.0042677-0.023551i,-0.003694-0.0088918i,0.00057138-0.0048101i,0.014422+0.025965i,0.0017748+0.0033456i,0.00084198-0.001326i,-0.0055963-0.002873i,0.011989+0.0024817i,0.011944+0.011952i,0.0028739+0.0017631i,7.604e-05-0.0070749i,0.0060868+0.00072138i,-4.5289e-05-0.010076i,0.0080048-0.0099895i,0.0088269-0.0042466i,-0.0041734+0.004436i,0.012938-0.0032012i,0.0093038-0.0049147i,0.0061869-0.0041489i,-0.0016355-0.0025634i,-0.0037408-0.008736i,-0.0092403-0.0070716i,0.00064649-0.00065987i,-0.020882+0.021083i,-0.0077315-0.0048357i,-0.0016459+0.0035698i,-0.00099457-0.0056927i,-0.00061518+0.00081662i,-0.014527-0.0049403i,-0.0045967+0.0010598i,0.00027011-0.0019347i,-0.0034568-0.0029688i,-0.0048165-0.0056731i,-0.0060474+0.0043831i,-0.0038483+0.0017001i,-0.0083052+0.0030655i,-0.0040291-0.0030454i,-0.0022734-0.0018819i,0.0031616+0.0018465i,-0.012+0.024275i,-0.026909-0.0074472i,-0.011165-0.0020773i,0.0083676+0.01914i,-0.0039813+0.016753i,-0.0032669-0.0032215i
