-0.023262-0.018912i,-0.032294-0.033198i,-0.022356-0.01961i,-0.03236-0.020332i,-0.02402+0.0041083i,-0.028689-0.018111i,-0.057006-0.045564i,-0.041038-0.043336i,-0.02951-0.023401i,0.0054574+0.0058267i,-0.00331+0.0063326i,-0.010978+0.011096i,0.0039015+0.0068731i,-0.0038174-0.0028917i,0.0029101+0.0015189i,0.0024806+0.027312i,0.026595+0.033223i,8.3521e-05+0.00025432i,-0.002817-0.0030334i,0.0075688+0.0038709i,0.002292+0.00063369i,-0.00013067+0.0025311i,-0.00047731+0.00029644i,-0.032042-0.00039878i,-0.0031334-0.0049664i,8.9827e-05+0.0024322i,0.0039828-0.00074566i,0.0010359-0.00032003i,-0.00068162-0.00062261i,-0.00097534-0.001933i,-0.0022487-0.00061712i,-0.0039571-0.0037055i,-0.0028506-0.0055212i,0.00046916-0.0012964i,0.0008467-0.0031855i,-0.0016126+0.026014i,0.0020128-0.0032138i,0.0022484-0.0040053i,0.0044675-0.0021801i,-0.006542-0.001168i,0.00085056+0.0012519i,0.010411-0.0003138i,-0.0016571+6.1485e-05i,-0.0029071+0.0016824i,-0.0091561-0.0025159i,-0.018688+0.02136i,-0.0083626-0.08639i,-0.0022609-0.061165i,-0.021407-0.053971i,-0.011342-0.045883i,0.053933-0.026916i,0.023633-0.067233i,0.041135-0.05467i,0.01873-0.039469i,0.02605-0.019698i,0.012295+0.011889i,0.025495-0.029188i,-0.011372-0.0012115i,-0.0014384-0.001131i,-0.0081297-0.0017328i,-0.0046242-0.029058i,-0.020782+0.025887i,0.0077713-0.0093195i,-0.010551-0.0033207i,-0.0027308-0.0018152i,-0.00065764-0.014646i,-0.0084644+0.0055845i,0.0059671+0.010832i,-0.0097947+0.030299i,0.0066447+0.0077147i,-0.0033521-0.0016917i,-0.0022426-0.0013261i,-0.01321-0.0057757i,0.00064657-0.0046931i,-0.033073+0.0027775i,0.0034609-0.0085723i,-0.0071676-0.0020896i,-0.0053286-0.0030526i,0.0069772+0.0015474i,-0.010342+0.00040548i,0.0023756-0.0003157i,0.0060461+0.0080049i,0.0054641+0.00084867i,-0.0079217-0.010184i,0.0026967+0.0079136i,-0.019513+0.0076006i,0.0032544+0.0057613i,-0.020895-0.0092214i,-0.027312-0.0052949i,0.0095408-0.061474i,0.018971-0.01454i,-0.050993-0.028428i,-0.021732+0.0034589i,0.018999+0.010359i,-0.027131+0.011554i,-0.012706-0.0077676i
-0.011453+0.013636i,-0.021449+0.041784i,0.001595+0.040656i,-0.010403+0.024954i,-0.00021186+0.021117i,0.0014875+0.02338i,-0.025985+0.01446i,-0.026201+0.032645i,0.00056612+0.018122i,-0.0012775-0.0013022i,-0.001018+0.0016348i,0.0042499+0.0036536i,0.0033762+0.0049781i,-0.0030668+0.0017157i,-0.0029988+0.0037759i,1.7157e-05-0.007759i,-0.0092032-0.0012146i,-0.0020357+0.00024777i,0.00032573-0.0013481i,-0.00096886-0.00043075i,0.00059713-0.0033429i,0.0011954-0.0027909i,0.0010284-0.0015429i,-0.009083-0.0085673i,-0.00014833-0.00038185i,-0.0015241+0.00017869i,-0.0024572+1.2573e-05i,-0.0028355-9.9281e-05i,-0.00092467-0.00093031i,0.0010119-0.00073082i,-0.0017891+0.00025277i,0.0015931-6.9379e-05i,0.0019124-0.00072602i,0.00050179+0.00043697i,-0.00055232+0.0020082i,-0.00018812-0.0071058i,-0.0014184+0.00095685i,0.0018413-4.4458e-06i,0.00067613+0.0023581i,0.0046464+0.0057465i,0.001147-0.0016504i,-0.0016648-0.0010419i,-0.0010536-0.0023705i,0.0029981+0.0052069i,-0.0085283+0.008079i,0.019912-0.057963i,-0.074272+0.015272i,-0.027905-0.018322i,-0.061371-0.048062i,-0.05343-0.017061i,-0.086676+0.0029091i,-0.073513+0.0013051i,-0.045702-0.034624i,-0.0079027-0.04584i,-0.038363-0.025813i,-0.0060283+0.00030685i,-0.031222+0.010289i,0.0073332+0.011469i,0.0095098+0.0074872i,0.001777-0.0080815i,0.01034+0.003319i,-0.011227-0.0037651i,0.0031776+0.011968i,0.0018409+0.0065153i,2.2376e-05-0.0013568i,0.0051771+0.0020175i,0.003785+0.00094693i,-0.0045993+0.019377i,-0.0002625+0.0088029i,0.00078488-0.0037594i,0.0083419-0.0059185i,0.00132+0.0042677i,-0.008696-0.0070134i,-0.0028862-0.00081571i,0.021208-0.031051i,0.0054095+0.0085408i,0.0018314+0.0029248i,-0.0017174+0.0039838i,0.0026685-0.0038819i,0.019393+0.0029999i,0.0012063-0.0021375i,-0.0030022-0.0061855i,-0.00073869-0.0019803i,0.011381+0.0049461i,0.0052654-0.00079986i,0.0035579-0.0078195i,0.0043586+0.0048183i,-0.0056684+0.0034737i,0.013552+0.0069691i,-0.043191-0.038038i,-0.012331+0.0057364i,-0.0018954-0.0016328i,-3.0676e-05+0.0016094i,-0.040249+0.011528i,-0.0068456+0.0088018i,-0.014069+0.0036289i
-0.0086816+0.014443i,-0.014322+0.042309i,0.010675+0.03438i,-0.0053648+0.025738i,0.0027159+0.018758i,0.0058376+0.02207i,-0.025064+0.018936i,-0.018883+0.03489i,0.0047788+0.012451i,-0.0016716-0.00046067i,-0.00017771+0.002815i,0.0048894+0.001244i,0.0042302+0.0030895i,-0.0015425+0.0028338i,-0.0021942+0.0047612i,-0.0045698-0.0055066i,-0.0098888+0.0035727i,-0.0017291+0.00096555i,0.00088705-0.00089321i,-0.00047072-4.8166e-05i,-0.00024505-0.0031493i,0.0010387-0.0023363i,0.00082145-0.0014012i,-0.010964-0.0054772i,5.5032e-05-0.00029001i,-0.0015065+0.00061737i,-0.0017844+0.00090306i,-0.0023867+0.0007116i,-0.0011972-0.00080971i,0.0009547-0.00084895i,-0.001597+0.0011653i,0.0010965-0.0004507i,0.0011021-0.0014387i,0.00015338+0.00048495i,-0.00091723+0.001577i,-0.00040283-0.006043i,-0.00089003+0.00098474i,0.0008316-0.00050275i,0.00061668+0.0024204i,0.005707+0.0028693i,0.0006062-0.0021677i,-0.0025193-0.00084535i,-0.0024411-0.0017021i,0.004316+0.0045352i,-0.0061316+0.0062207i,0.001544-0.067565i,-0.064929+0.02953i,-0.034956-0.020963i,-0.074356-0.038806i,-0.053779-0.0054301i,-0.078366+0.020545i,-0.071386+0.01583i,-0.040252-0.033427i,-0.013918-0.044335i,-0.044834-0.011084i,-0.006978+0.00029948i,-0.024524+0.022995i,0.0098432+0.0063263i,0.011571+0.0013977i,-0.0040103-0.012819i,0.0068118+0.0024401i,-0.011154+0.0024785i,0.0080152+0.0095849i,0.0036819+0.0073617i,-0.00067855-0.00096628i,0.0065134+0.0024544i,0.0050258+0.00063122i,0.004439+0.016321i,0.003958+0.004963i,-0.0033011-0.0054265i,0.0020972-0.0068286i,0.0031416+0.0050902i,-0.01068+0.00047525i,-0.0022794+0.0020269i,0.0066601-0.032067i,0.0082522+0.0071649i,0.0042931+0.0020541i,0.0019282+0.0027013i,-0.00038704-0.0014405i,0.0173-0.0060002i,-0.00030014-0.0025039i,-0.0060948-0.0040064i,-0.0031346-0.00062207i,0.010381+0.00062938i,0.0040735-0.00024179i,0.0005012-0.0062825i,0.0060528+0.0035891i,-0.0055156+0.0053545i,0.013753+0.0018125i,-0.049822-0.031901i,-0.0065696-0.0049971i,-0.002456-0.0025932i,0.00061077+6.2084e-05i,-0.033722+0.02343i,-0.0046205+0.0099077i,-0.011054+0.0060366i
-0.0055039+0.014441i,-0.0077754+0.042759i,0.0155+0.026674i,-0.00063913+0.024575i,0.0062617+0.017547i,0.0097876+0.019558i,-0.02207+0.02369i,-0.012014+0.034674i,0.0040964+0.0075313i,-0.0017468+0.0006726i,0.001573+0.0032245i,0.0023777-0.00019783i,0.0044212+0.0017747i,-0.00068862+0.0029992i,-0.00083983+0.0056062i,-0.0075828-0.00093016i,-0.0078756+0.0081371i,-0.00083517+0.0015786i,0.0015367-0.0018177i,0.00016187-0.00036743i,-0.0011011-0.0029769i,0.00085882-0.0028982i,0.00078514-0.0016083i,-0.012281-0.0023022i,-0.0001174-0.00032219i,-0.001076+0.0013713i,-0.001004+0.000814i,-0.0015377+0.0016216i,-0.0013648-0.0005702i,0.00048678-0.0013999i,-0.00083136+0.0017163i,0.00060107-0.00070024i,0.00031152-0.0013676i,0.00053514+0.00012924i,-0.00050752+0.0024514i,-8.1641e-05-0.0062198i,-0.0008287+0.0008779i,0.00019851-0.00062756i,0.002308+0.0012252i,0.005273+0.00069641i,-0.00014702-0.0020878i,-0.0018993+0.00037325i,-0.0036273-0.00058639i,0.0053628+0.0028841i,-0.0054921+0.0047813i,-0.020699-0.067883i,-0.050945+0.038486i,-0.043606-0.017794i,-0.082075-0.023821i,-0.048984+0.0035201i,-0.063793+0.032322i,-0.058715+0.028746i,-0.044387-0.035214i,-0.019579-0.043398i,-0.04371+0.0036546i,-0.0071807+0.0015461i,-0.012486+0.028985i,0.010614+0.0016074i,0.0083978-0.0045549i,-0.015189-0.011702i,0.0066946+0.00087485i,-0.0078272+0.0062492i,0.010509+0.0043975i,0.0060916+0.006546i,-0.0027414+0.00034393i,0.0068222-0.0013067i,0.0062369-0.0018119i,0.0079435+0.010235i,0.0034997+0.0014535i,-0.0081977-0.0021801i,-0.00020245-0.0048114i,0.0060975+0.0039199i,-0.006086+0.0089478i,0.00018352+0.0029917i,-0.0038984-0.028028i,0.011701+0.0032441i,0.0041629+1.1399e-05i,0.0018935+0.00079985i,0.00061012+0.00035257i,0.011302-0.01079i,-0.0025745+0.00049538i,-0.007061-0.00055627i,-0.0033012+0.00273i,0.0072433-0.0019885i,0.007152-0.0016043i,0.0001384-0.0058865i,0.0089821+0.0010613i,-0.002434+0.0066096i,0.012164-0.0026433i,-0.054958-0.021102i,-0.012386-0.013847i,-0.0013665-0.003806i,0.0013851-0.0022632i,-0.023289+0.028872i,-0.0032584+0.0058641i,-0.0077183+0.001888i
-0.0026364+0.013305i,-0.0005117+0.042756i,0.01745+0.019599i,0.0040935+0.023382i,0.01036+0.014164i,0.013102+0.016178i,-0.017218+0.027648i,-0.0067831+0.032941i,0.0029832+0.005869i,-0.0011143+0.0017263i,0.0028385+0.0020894i,0.0012888+0.0014573i,0.0042385+0.00064066i,-0.0005397+0.0036358i,0.00064772+0.0057288i,-0.0070298+0.0048948i,-0.0032004+0.011184i,7.9872e-05+0.0013376i,0.00058152-0.0023664i,-5.2174e-05-0.0010111i,-0.001814-0.0023937i,0.00027464-0.0030445i,0.00048512-0.0021767i,-0.012323+0.0019256i,-0.00010545-0.00042131i,2.773e-06+0.0011011i,-0.00080132+0.00042064i,-0.00039606+0.0015023i,-0.0015946+0.00013343i,-0.00030752-0.0012339i,-2.827e-05+0.0017509i,8.9736e-05-0.00072612i,-0.00051282-0.0010221i,0.00034551-4.0134e-05i,0.0008775+0.00229i,-0.00097725-0.0078987i,-0.00029959+0.0013057i,-0.00047279-0.00051013i,0.0017427-0.00067663i,0.0046744-0.00073887i,-0.00059522-0.0019532i,-0.0010606+0.00029759i,-0.0038938+0.0011998i,0.0045934+0.00050443i,-0.005667+0.0045225i,-0.039664-0.056391i,-0.037388+0.040653i,-0.049938-0.010308i,-0.085958-0.0080731i,-0.042638+0.0086472i,-0.050667+0.036596i,-0.04534+0.031723i,-0.049637-0.029698i,-0.025307-0.038959i,-0.039201+0.014843i,-0.0074465+0.0029366i,-0.00091365+0.029318i,0.0097001-0.0031086i,0.0030171-0.0063973i,-0.022507-0.0018253i,0.0042369+0.00029138i,-0.0042354+0.0073521i,0.0089063-0.0014427i,0.0083857+0.0052485i,-0.0026926+0.003022i,0.0037864-0.0024411i,0.0056658-0.0059385i,0.0078929+0.0041344i,0.00085493+3.3602e-05i,-0.0085111+0.0016994i,-0.0016371-0.0035106i,0.0071991+0.0012966i,0.0029134+0.0096808i,0.0017055+0.0017529i,-0.0097987-0.021905i,0.011579-0.0011177i,0.0037186-0.0013051i,0.0025278+0.0016589i,0.0011437+2.871e-05i,0.0057993-0.011057i,-2.2897e-05+0.0026288i,-0.0065146+0.0026524i,-0.00073546+0.004519i,0.0052867-0.0018101i,0.0067863-0.0060329i,-0.0021175-0.0052927i,0.008318-0.0044679i,-0.00034857+0.0052867i,0.010203-0.006804i,-0.053456-0.0083991i,-0.022253-0.015387i,-0.0025008-0.0076038i,0.0010377-0.005564i,-0.015491+0.029416i,-0.0064043+0.0044247i,-0.010201+0.00034772i
-0.00090775+0.012031i,0.0059985+0.040975i,0.016889+0.014041i,0.0086312+0.020578i,0.012763+0.0095733i,0.015057+0.01243i,-0.011093+0.029552i,-0.0026663+0.031338i,0.0030849+0.0052949i,0.00016022+0.0021101i,0.0030205+0.0010886i,0.0021037+0.0024161i,0.0039024-0.00037564i,0.0010139+0.0045487i,0.002199+0.005455i,-0.003614+0.0084704i,0.0018125+0.011302i,0.00054543+0.0010954i,0.00026579-0.0022044i,-0.00063367-0.0011553i,-0.0026321-0.0017129i,-0.00049985-0.0029298i,-0.00042288-0.0023933i,-0.009877+0.0052131i,-0.00050468-0.00075488i,6.661e-05+0.00028303i,-0.00083853+0.00041807i,0.00014182+0.00095481i,-0.0012977+0.00093739i,-0.00035176-0.00071282i,0.00046487+0.0015284i,-5.0061e-05-0.00091782i,-0.00091003-0.00045065i,0.00018544-1.6491e-05i,0.0011299+0.0015011i,-0.0035748-0.0086703i,0.00010025+0.0012189i,-0.00058944+0.00023052i,0.00043828-0.001043i,0.0037501-0.0012658i,-0.0010785-0.0018176i,-0.0009114+0.0002402i,-0.0029033+0.0027464i,0.0033725+0.0008478i,-0.0052679+0.0052102i,-0.046796-0.039542i,-0.027318+0.038562i,-0.054554-0.000755i,-0.086961+0.0088407i,-0.038327+0.0094904i,-0.039266+0.038053i,-0.035681+0.031885i,-0.051683-0.023581i,-0.027767-0.035088i,-0.031949+0.025208i,-0.0069558+0.0046742i,0.012094+0.024798i,0.0074386-0.0061702i,-0.0015919-0.005337i,-0.022436+0.0086141i,0.0035941+0.00077531i,-0.00070233+0.0088012i,0.0039867-0.0033097i,0.010311+0.0025444i,-0.0014337+0.004867i,0.0017613-0.0014918i,0.0029245-0.0090381i,0.004591+0.0023511i,-0.0010099+0.0015838i,-0.0082483+0.0069834i,-0.0026786-0.0014653i,0.0070018-0.0015993i,0.0069843+0.005105i,0.0021686+0.0008375i,-0.012593-0.019127i,0.0098427-0.005162i,0.002678-0.0023694i,0.0049604+0.00065694i,0.001409-0.00019936i,0.002922-0.009732i,0.0020922+0.0018752i,-0.0039477+0.0056433i,0.0021845+0.0041169i,0.004943-0.0018407i,0.0034417-0.010349i,-0.0027254-0.0036604i,0.0040206-0.0079591i,-0.00023709+0.0040833i,0.0054725-0.010456i,-0.0474-0.0019505i,-0.03291-0.0073316i,-0.0056894-0.00955i,-0.00053752-0.0089036i,-0.0089227+0.029225i,-0.0097752+0.0069567i,-0.011293+0.002503i
0.0004812+0.011053i,0.011842+0.038782i,0.016106+0.011201i,0.011853+0.01657i,0.012848+0.0047699i,0.01646+0.0090764i,-0.0045878+0.029281i,0.00074892+0.030098i,0.0034056+0.0035607i,0.00085467+0.001378i,0.0026066+0.00030972i,0.0031139+0.0024086i,0.0032932-0.0011866i,0.0027315+0.00377i,0.0033919+0.004651i,0.00043523+0.0096578i,0.0062778+0.009207i,0.00096783+0.0008268i,-0.00037115-0.0024657i,-0.0012271-0.001007i,-0.0026403-0.00047108i,-0.00099197-0.0026499i,-0.001064-0.0019662i,-0.0077586+0.0062164i,-0.00098665-0.00042003i,-0.00023917+5.817e-05i,-0.00089+0.00049286i,0.00036323+0.00033634i,-0.00053252+0.0012489i,-0.00026442-0.00062492i,0.00099816+0.0013261i,-0.00054058-0.0009549i,-0.00094442+4.8122e-05i,1.1127e-05-8.4437e-05i,0.0012826+0.0014763i,-0.0064958-0.0081504i,0.00015745+0.00079685i,-4.3559e-05+0.00039072i,-0.00020292-0.0007694i,0.0030704-0.0016064i,-0.0015293-0.0011236i,-0.0009171+0.000402i,-0.0012955+0.0035077i,0.0036486+0.001407i,-0.0041919+0.0062013i,-0.04551-0.027636i,-0.020249+0.036194i,-0.05515+0.012367i,-0.081927+0.028779i,-0.039046+0.010171i,-0.030076+0.036751i,-0.027203+0.030953i,-0.051482-0.016661i,-0.031098-0.031981i,-0.02261+0.02985i,-0.0064032+0.0067267i,0.018803+0.010962i,0.0048463-0.0086518i,-0.004756-0.0018357i,-0.016472+0.0176i,0.0040073-0.0002251i,0.0042322+0.0070736i,0.0012508-0.0015095i,0.011481-0.0019411i,0.00041938+0.00644i,0.0011017-0.00062536i,-0.0028435-0.011009i,0.0029939+0.0038223i,-0.00051048+0.0038324i,-0.002543+0.01179i,-0.0015702+0.00051703i,0.0056677-0.0032155i,0.0080236+0.00090553i,0.0030207-0.00064653i,-0.018348-0.017731i,0.006234-0.0075195i,0.00092119-0.0028981i,0.004203-0.0015208i,0.0010612+0.00054645i,0.0020654-0.0079421i,0.002926+0.00030511i,-0.00074597+0.0064779i,0.0034522+0.0016331i,0.0039715-0.002973i,-0.0026956-0.010377i,-0.0031636-0.0034717i,-0.00016801-0.0076513i,0.00073024+0.0030778i,-0.00071176-0.010541i,-0.044516+0.0024311i,-0.030722+0.0075797i,-0.0093805-0.0095523i,-0.004037-0.010581i,-0.0039955+0.028099i,-0.0083906+0.012016i,-0.0083264+0.0037147i
0.0018068+0.01002i,0.017589+0.036246i,0.016354+0.0089739i,0.01341+0.012269i,0.011366+0.001515i,0.017494+0.0055244i,0.00096731+0.027601i,0.0040439+0.029257i,0.0034059+0.0026491i,0.00087913+0.0010302i,0.0021902+0.00044874i,0.0045407+0.0021539i,0.0024267-0.00166i,0.0035785+0.0020866i,0.0041811+0.0036961i,0.0040683+0.0090816i,0.0089905+0.0057933i,0.001304+0.00054723i,-0.0010121-0.0024511i,-0.0015961-0.00041263i,-0.0021007+0.00033982i,-0.0015736-0.0024254i,-0.0014297-0.0015201i,-0.0065494+0.0079442i,-0.00099258-6.6816e-06i,-0.00054801+0.00033143i,-0.0009572+0.00083846i,-0.00014889-8.3095e-05i,-0.00015137+0.00093688i,-0.00044149-0.0006975i,0.0014902+0.00080438i,-0.00052292-0.00037127i,-0.00047786+0.00019601i,-4.1705e-05-3.5879e-05i,0.0018023+0.00055656i,-0.0092423-0.0068014i,0.00028218+0.00080354i,2.1603e-05-5.0769e-05i,-0.00056827-0.00046814i,0.002509-0.0020194i,-0.0014091-0.00037485i,-0.00053025+0.00059568i,-2.5483e-05+0.0029967i,0.0041339+0.0007316i,-0.0023238+0.0064766i,-0.044064-0.022798i,-0.015158+0.03461i,-0.049382+0.024512i,-0.070296+0.045411i,-0.039339+0.015665i,-0.023105+0.035695i,-0.021412+0.028353i,-0.050405-0.011676i,-0.03361-0.027096i,-0.014927+0.032439i,-0.0036238+0.007367i,0.013212-0.0019228i,0.00091132-0.010884i,-0.0048504+0.0012065i,-0.0085745+0.020363i,0.0027765-0.0017953i,0.0062044+0.0030019i,0.0017416-0.0003003i,0.0097035-0.0053686i,0.0045737+0.0065273i,0.0011116+0.0011243i,-0.0084904-0.0056513i,0.0039762+0.0050694i,0.0012317+0.0053208i,0.0034583+0.011309i,-0.00082819+0.00086138i,0.0044455-0.004603i,0.0077209-0.0043483i,0.0015852-0.0016258i,-0.024876-0.011191i,0.003244-0.0081131i,-0.00033959-0.0018452i,0.0044362-0.00076373i,0.001551+0.00053159i,0.0024691-0.0092085i,0.0023534-0.0013544i,0.0018563+0.005155i,0.0031199+0.00077445i,0.0032966-0.0026749i,-0.0063366-0.0068287i,-0.0048313-0.002685i,-0.0034218-0.0058616i,0.00072118+0.0017593i,-0.0045474-0.0075391i,-0.040901+0.0074651i,-0.024636+0.0098588i,-0.0090535-0.0084805i,-0.0070237-0.010102i,0.0012411+0.025147i,-0.0066314+0.01302i,-0.0079716+0.0027972i
0.002817+0.0087821i,0.023161+0.032989i,0.017255+0.007111i,0.013756+0.0087748i,0.0095008-0.00040638i,0.017698+0.0020559i,0.0057437+0.025036i,0.0079177+0.028308i,0.0038479+0.0013762i,0.00095721+0.00085967i,0.0026016+0.00064415i,0.0058947+0.00032151i,0.0016442-0.0017191i,0.0029545+0.00094188i,0.0048649+0.0027972i,0.0070633+0.006437i,0.0099582+0.0025653i,0.0016434-0.00015561i,-0.001717-0.0022181i,-0.00149+0.00052935i,-0.0014016+0.00082722i,-0.0020797-0.0016632i,-0.0016133-0.0010819i,-0.0033335+0.0095304i,-0.0008353+0.0003979i,-0.00033796+0.0006962i,-0.00075949+0.0013118i,-0.00082357+8.3936e-05i,8.2124e-06+0.00084806i,-0.00062781-0.00059745i,0.0015876+7.6868e-05i,-0.00017109-0.00046239i,-0.0005479+0.00015145i,-0.00017153-4.9995e-05i,0.0014427-0.00023587i,-0.011605-0.0038071i,0.00038658+0.00076284i,-0.00019845-4.0016e-05i,-0.001012-0.00018348i,0.0020635-0.0022674i,-0.0010304-0.00018968i,-0.00027344+0.0004644i,0.00052692+0.0023467i,0.0041809+0.00012294i,-0.00071554+0.0054914i,-0.046505-0.019123i,-0.01107+0.032994i,-0.041949+0.033863i,-0.055147+0.055633i,-0.038352+0.021188i,-0.016152+0.033691i,-0.016986+0.026932i,-0.049528-0.0077827i,-0.034754-0.021389i,-0.0069514+0.03374i,-0.0018156+0.0067372i,0.005635-0.0042666i,-0.0035893-0.010951i,-0.0032767+0.0044852i,-0.0015101+0.01903i,0.00043147-0.0026344i,0.0056064-0.0012641i,0.0014549+0.00011805i,0.0068581-0.0087035i,0.0078355+0.0038045i,0.0023929+0.0016505i,-0.0091046-0.0012121i,0.0058391+0.0057918i,0.0038324+0.0059391i,0.0088049+0.0087662i,-0.0004347+0.0014265i,0.0035945-0.0054951i,0.0045358-0.007918i,0.00073408-0.00050885i,-0.028446-0.00177i,0.0010883-0.0080832i,-0.0003545-0.00057624i,0.0052184-0.0010661i,0.0020296+0.00020806i,0.0010699-0.011781i,0.00053988-0.0017334i,0.0035435+0.0039805i,0.0032357-0.00016973i,0.004163-0.0034224i,-0.0079599-0.0037177i,-0.0064502-1.728e-05i,-0.0060958-0.0039081i,0.00034794+0.00069841i,-0.006059-0.0046255i,-0.037171+0.010773i,-0.022566+0.01127i,-0.0088465-0.010368i,-0.0093484-0.0091904i,0.0022548+0.022695i,-0.0061121+0.013508i,-0.0073814+0.0030049i
0.0038404+0.0077481i,0.029111+0.028405i,0.019038+0.0044751i,0.01351+0.0059461i,0.0083473-0.00096471i,0.017384-0.0011458i,0.0093558+0.021235i,0.012443+0.026426i,0.0038814-0.00041764i,0.0010075+0.00057415i,0.0029669-7.5379e-05i,0.0053341-0.0024039i,0.0011093-0.0015401i,0.0027032+0.0004737i,0.0054749+0.0015756i,0.007733+0.0031295i,0.0096702-0.00071107i,0.0010951-0.00090946i,-0.0025168-0.0015113i,-0.00075352+0.00099884i,-0.00057785+0.00082946i,-0.0021028-0.0011301i,-0.0017652-0.00061174i,0.00016774+0.0093149i,-0.00053677+0.00054313i,-5.5301e-05+0.00072029i,-0.00017194+0.0015922i,-0.00091495+0.00069091i,0.00036077+0.00049557i,-0.00073594-0.00047048i,0.0013457-0.00052044i,-0.00056843-0.00056035i,-0.00054297+0.0004316i,-0.0003139+7.1854e-05i,0.00086931-0.00063171i,-0.012243+0.00034317i,0.00040171+0.00062627i,-0.00014566+8.3812e-05i,-0.0012262+0.00030754i,0.001483-0.0025333i,-0.0010104-0.00014239i,-0.0001695+0.00024585i,0.00068161+0.0018897i,0.0041528-0.0005274i,-2.8121e-05+0.0043465i,-0.051391-0.012262i,-0.0071986+0.031195i,-0.031064+0.03962i,-0.040388+0.062021i,-0.036194+0.029394i,-0.0097834+0.029952i,-0.010624+0.024601i,-0.048888-0.0033987i,-0.033665-0.015246i,0.00049421+0.033564i,-0.0012368+0.0059822i,0.00079515-0.004841i,-0.0082986-0.0096033i,0.00061127+0.0052843i,0.0021946+0.016025i,-0.0025932-0.0019486i,0.003439-0.0046632i,0.00268+0.0018865i,0.0022469-0.010486i,0.0090749-0.00086867i,0.003562+0.0010877i,-0.0089115+0.0035859i,0.0092036+0.0051544i,0.007672+0.0042437i,0.012529+0.0034718i,0.0005735+0.0020598i,0.0020971-0.0062143i,-0.00090188-0.00843i,0.001672+0.00085455i,-0.028508+0.0089332i,-0.0011118-0.0078826i,0.00031893+0.00055876i,0.0055127-0.0048484i,0.0026609-0.00023096i,-0.0040457-0.013432i,-0.00044796-0.0008169i,0.0046437+0.0021883i,0.0032455-0.00062062i,0.0036551-0.0048123i,-0.0082019+0.00067927i,-0.0058993+0.0034339i,-0.0076969-0.00066801i,-0.00095366-0.00026974i,-0.0062683-0.0022348i,-0.033982+0.013367i,-0.021083+0.016285i,-0.011273-0.014336i,-0.0093907-0.0078101i,0.0046192+0.021813i,-0.0060248+0.016099i,-0.0056969+0.0017696i
0.0048445+0.0063814i,0.033764+0.022078i,0.020229+0.00025277i,0.013147+0.0037817i,0.0079973-0.0012524i,0.016809-0.0040973i,0.011392+0.017343i,0.016226+0.023196i,0.0030298-0.0021154i,0.00089177+0.00053009i,0.002762-0.00077446i,0.003233-0.0038325i,0.0006906-0.0014062i,0.0024315+0.00010232i,0.0055634+0.00015596i,0.0067423+0.0008936i,0.0084407-0.0032815i,0.0005729-0.0010857i,-0.0026215-0.00052669i,-7.8337e-05+0.00097386i,0.00018999+0.00045798i,-0.0020051-0.00080879i,-0.0016047-0.00020744i,0.00295+0.0086482i,-0.00032568+0.00048467i,0.00012942+0.00070842i,0.00044755+0.0012877i,-0.00051662+0.0011304i,0.00033897-6.2197e-05i,-0.0010057-0.00024527i,0.00096048-0.00087618i,-0.00094234-0.00016586i,-0.00029823+0.00077905i,-0.0003585+0.00029248i,0.00046754-0.00085057i,-0.011219+0.0037481i,0.00044255+0.00038255i,-0.00012056-3.4679e-05i,-0.0010916+0.00099322i,0.00085528-0.0029755i,-0.00092327+0.00019423i,-0.00027702-9.1206e-05i,0.00087231+0.0016738i,0.004152-0.001351i,0.00039499+0.0036087i,-0.053416-0.00093941i,-0.0049415+0.02956i,-0.02123+0.040774i,-0.024015+0.066204i,-0.029376+0.038385i,-0.0062451+0.024511i,-0.0069836+0.018499i,-0.046926+0.00058477i,-0.030528-0.0096175i,0.0089856+0.030691i,-0.00081039+0.0059576i,-0.0050361-0.0031229i,-0.011895-0.0059856i,0.003239+0.0031721i,0.0042265+0.013938i,-0.0058426+0.00054839i,-0.00031854-0.0071301i,0.0051137+0.00055804i,-0.0027156-0.0094026i,0.0069623-0.0044599i,0.0046374-0.00055779i,-0.0070675+0.007174i,0.012127+0.00099106i,0.0091941-0.00074331i,0.012187-0.0042759i,0.0021078+0.0018302i,4.4667e-05-0.0063234i,-0.004169-0.0051048i,0.0032897-0.00034815i,-0.023393+0.021169i,-0.0032228-0.0066681i,0.0017343+0.00089033i,0.0021266-0.0064377i,0.0028251-0.00068695i,-0.0099411-0.010865i,6.8231e-05+0.00061177i,0.0049267-6.6983e-05i,0.0027935-0.0014794i,0.0025125-0.0055989i,-0.0066329+0.0043263i,-0.0034762+0.0056088i,-0.0074074+0.003823i,-0.0030004-2.6211e-05i,-0.0059331-0.00072795i,-0.029985+0.017418i,-0.012466+0.019851i,-0.017826-0.015133i,-0.0092326-0.0083547i,0.0058597+0.02049i,-0.0030185+0.019277i,-0.0056048-0.001307i
