-0.0014305-0.042039i,0.0002574-0.047042i,-0.0074584-0.047992i,-0.029763-0.023329i,-0.02286+0.010622i,-0.03647-0.033608i,-0.062954-0.058977i,-0.019024-0.070679i,-0.027417-0.054987i,-0.0007527+0.017223i,-0.010095+0.011988i,-0.014405+0.013538i,0.0023201+0.014522i,-0.0027889-0.0018038i,0.0017965+0.0061605i,0.00013393+0.034041i,0.021842+0.047874i,0.0011177-0.00061696i,-0.0037642-0.0095645i,0.0085269+0.004388i,0.001484+0.0011673i,-0.0010179+0.0036951i,-2.33e-05-0.00056361i,-0.036431-0.010399i,-0.0028298-0.0076525i,-0.0011087+0.0046071i,0.0023487-0.0008692i,-0.00015311+0.00036286i,0.0008288-0.00064313i,-1.2832e-05-0.0020857i,-0.0017874-0.0054018i,-0.002889-0.006653i,-0.0015622-0.0068576i,0.0034402-9.0826e-05i,0.0032792-0.0016641i,-0.0050908+0.039135i,0.0070635-0.0045882i,0.0032397-0.00078916i,0.0049331-0.00015989i,-0.016411-0.001731i,-0.00095511-0.00016753i,0.010813-0.001454i,0.0041688+0.0024404i,-0.0041125+0.0018197i,0.00014111+0.008352i,-0.005713+0.018204i,0.026766-0.081614i,0.00014112-0.054691i,-0.022789-0.04379i,-0.019318-0.037587i,0.06297-0.016079i,0.03073-0.057633i,0.039197-0.043839i,0.033829-0.051656i,0.01983-0.016577i,0.0073044+0.012362i,0.023913-0.033994i,-0.0086733-0.0053149i,0.003197-0.001316i,-0.0028859-0.0056032i,0.0056024-0.031811i,-0.025335+0.030094i,0.0089018-0.01018i,-0.012734-0.0023503i,-0.0047061-0.0018007i,0.00065466-0.014547i,-0.010952+0.0051765i,0.0031669+0.0068133i,-0.0148+0.031779i,0.0054205+0.0069984i,-0.0062185-0.0018971i,-0.0010782-0.002658i,-0.011762-0.0072475i,0.00037191-0.0035825i,-0.035331+0.0044588i,0.0014799-0.012934i,-0.0094793-0.0028457i,-0.0066693-0.0035772i,0.0064261+0.0021581i,-0.0090868+0.0022163i,1.6487e-07+0.0017737i,0.0061033+0.010611i,0.0046709+0.00078675i,-0.0093472-0.009928i,0.0016491+0.0080664i,-0.019708+0.0046399i,0.0067152+0.0032052i,-0.027771-0.0089944i,-0.035958-0.0020745i,0.026687-0.078894i,0.014482-0.0087853i,-0.042013-0.028464i,-0.023867-0.0064548i,0.017193+0.012365i,-0.026726+0.010867i,-0.012461-0.0096881i
-0.042128-0.0059515i,-0.057928+0.0036464i,-0.04125+0.046736i,-0.019304+0.010113i,-0.0053636+0.019065i,-0.0052127+0.03748i,-0.027299+0.016819i,-0.060806+0.024219i,-0.021421+0.018093i,0.0026958-0.010201i,0.003478-0.0015853i,0.0031447+0.00020697i,0.0023826+0.008165i,-0.0038484+0.0010569i,-9.0277e-05+0.0018267i,0.002387-0.0078817i,-0.01163-0.0088913i,-0.0035075+0.00052613i,0.0041002-0.0024888i,0.00092693+0.00021918i,0.0015087-0.0047771i,0.0021828-0.0040418i,0.0015536-0.0027686i,-0.010992-0.012093i,-0.0031448-0.0015242i,-0.0038605+0.00013999i,-0.0030088-0.00077352i,-0.0042972-0.0010527i,-0.0011086-0.0021843i,0.0016578-0.0013751i,-0.0039689+0.0034317i,0.001938+0.0019476i,0.0016583+0.0016682i,0.001155+0.0013101i,-0.002026+0.0028291i,-0.0037462-0.0097353i,-0.0031674+0.00048627i,0.00072349+0.00025073i,-0.00044427+0.0041041i,0.012231+0.0071993i,0.00076807-0.0017007i,0.0013402+0.00017217i,-0.0046221-0.0037624i,0.0012496+0.0056299i,-0.0094215-0.017661i,0.017867-0.078456i,-0.086694-0.024199i,-0.024195-0.022568i,-0.051104-0.042097i,-0.042821-0.0088364i,-0.090997+0.016781i,-0.061925-0.0039993i,-0.037894-0.026724i,-0.024967-0.056736i,-0.032155-0.024391i,-0.00079038+0.0041324i,-0.026932+0.01048i,0.0068706+0.018636i,0.0038705+0.0080831i,-0.001971-0.0061562i,0.0082374+0.0059979i,-0.010494-0.0059888i,0.0026572+0.012155i,0.00051127+0.0075585i,-0.0013083-0.0014483i,0.0067255+0.0014964i,0.0044065-0.00081034i,-0.0037962+0.020805i,-0.0019283+0.015229i,0.001857-0.0047087i,0.011686-0.0087638i,0.003896+0.00419i,-0.0079789-0.0074683i,-0.0016358-0.0017163i,0.023296-0.032009i,0.0086514+0.0089096i,0.0041816+0.0031718i,-0.0022954+0.0028199i,0.0040034-0.0035491i,0.019991+0.0025636i,0.0016412-0.0020151i,-0.00050591-0.0084446i,0.0018646-0.0032568i,0.01325+0.0054512i,0.0054016+0.00055867i,0.0036702-0.0069913i,0.0043986+0.007825i,0.0035111+0.0032356i,0.019313+0.0048793i,-0.067297-0.041438i,-0.011497+0.0096616i,-0.0076451-0.0040991i,-0.0084799+0.0048644i,-0.038761+0.0073999i,-0.0053397+0.0078925i,-0.016276+0.0043206i
-0.04099+0.00015574i,-0.056261+0.0097724i,-0.029432+0.048515i,-0.017815+0.011638i,-0.0016409+0.016561i,0.0019098+0.037067i,-0.025408+0.020503i,-0.053701+0.03155i,-0.016531+0.016827i,-0.00064836-0.0094488i,0.0032563-0.0012432i,0.0030008-0.0012928i,0.0042204+0.0059905i,-0.0022896+0.0031627i,-8.6697e-05+0.0023838i,-0.0026597-0.0060208i,-0.016835-0.0015557i,-0.0029864+0.001802i,0.0042549-0.0028887i,0.0014947-0.00038398i,0.00014375-0.0043321i,0.0015167-0.0033566i,0.0012349-0.0027387i,-0.012659-0.0075549i,-0.0032121-0.00056397i,-0.0040784+0.0016233i,-0.0024997+0.00033399i,-0.0038983+0.00038637i,-0.001455-0.0019489i,0.0015982-0.0016595i,-0.002329+0.0048663i,0.0018863+0.0016226i,0.0022224+0.0010151i,0.00037927+0.00083623i,-0.0025973+0.0023419i,-0.0034883-0.0082151i,-0.0010541+0.00233i,-1.2905e-05-0.00041779i,3.7172e-05+0.0048473i,0.012549+0.00070008i,0.00010528-0.002392i,0.00080206-0.00050102i,-0.0057309-0.0024085i,0.0026032+0.0052336i,-0.01103-0.021092i,-0.0050261-0.088745i,-0.082748-0.0067007i,-0.031053-0.025323i,-0.061212-0.032973i,-0.040815+8.9376e-05i,-0.078111+0.035947i,-0.059373+0.0098672i,-0.02861-0.025718i,-0.031459-0.053455i,-0.035728-0.013053i,-3.1927e-05+0.0018356i,-0.021339+0.02249i,0.010722+0.012051i,0.0067872+0.0045667i,-0.0076283-0.010124i,0.0048634+0.0042109i,-0.011789+0.0015162i,0.0081121+0.0096811i,0.0025297+0.0088019i,-0.0016332-0.00084832i,0.0069504+0.0020054i,0.0042677-0.0014471i,0.0061671+0.016823i,0.0062204+0.011446i,-0.0037036-0.006112i,0.0030827-0.0097767i,0.0048875+0.0038619i,-0.012066-0.00084876i,-0.0022606+0.00072995i,0.010212-0.034215i,0.011515+0.0063538i,0.0074664+0.0017209i,0.00090411+0.0027118i,0.00039944-0.0018342i,0.019018-0.0070112i,-2.1511e-05-0.0024619i,-0.0042858-0.0059968i,-0.0019288-0.0029516i,0.011272+0.00013069i,0.0052446+0.00025695i,0.0011684-0.0045078i,0.0070322+0.006288i,0.0035302+0.0029785i,0.0183-0.0020573i,-0.07277-0.031977i,-0.003075-0.0013077i,-0.0069503-0.0025267i,-0.0066995+0.0048712i,-0.033366+0.021074i,-0.0033723+0.0089253i,-0.013965+0.0060864i
-0.038258+0.005032i,-0.055443+0.016304i,-0.021644+0.047349i,-0.016809+0.013589i,0.0029421+0.015126i,0.0090644+0.034868i,-0.022182+0.024166i,-0.046473+0.037027i,-0.015633+0.015427i,-0.0033769-0.0075697i,0.003471-0.0018578i,-0.00040963-0.0021099i,0.0057962+0.0041499i,-0.0017796+0.0034088i,0.00065455+0.0030362i,-0.005924-0.0016595i,-0.016455+0.0076426i,-0.00091182+0.0028582i,0.0041002-0.0052819i,0.002083-0.0016924i,-0.00091345-0.0040242i,0.0015756-0.003846i,0.0010329-0.0030854i,-0.013962-0.0039926i,-0.0035169+0.0005918i,-0.0026617+0.0036324i,-0.0018383+0.00063745i,-0.0027206+0.0015106i,-0.0021883-0.0018808i,0.0006575-0.002821i,-0.00033855+0.0053072i,0.0019388+0.0010469i,0.0021292+1.5398e-05i,0.00057067+0.00070995i,-0.0019637+0.004148i,-0.0032208-0.0080459i,-0.0022934+0.0028747i,-0.00069484-0.0002776i,0.0038248+0.0032554i,0.009293-0.0039666i,-0.00014418-0.0013036i,0.001062+8.4479e-05i,-0.0074536-0.00062362i,0.0039932+0.0032203i,-0.015184-0.023014i,-0.031774-0.087768i,-0.073132+0.005266i,-0.039265-0.0226i,-0.066838-0.022228i,-0.034862+0.0064813i,-0.058409+0.048535i,-0.045805+0.022689i,-0.029454-0.030288i,-0.037577-0.050834i,-0.035046+0.011193i,-0.00035773+0.0002944i,-0.0091674+0.0278i,0.01168+0.00578i,0.004658-0.0011679i,-0.018588-0.0086119i,0.0043915+0.0029649i,-0.0081122+0.0067206i,0.0099774+0.0046248i,0.0048074+0.0088873i,-0.0037556+0.00088126i,0.007532-0.0014289i,0.0040405-0.0031704i,0.0096783+0.0087686i,0.0074619+0.0046741i,-0.0083696-0.0016161i,0.00015215-0.0069523i,0.0070362+0.00275i,-0.0086397+0.0086393i,-0.00035248+0.0028089i,-0.0023798-0.032037i,0.014659+0.00098915i,0.0071981-0.0019077i,0.0022084+0.00072341i,0.00078188-7.0483e-05i,0.01192-0.012274i,-0.0028864+0.00051915i,-0.0075395-0.0023887i,-0.0038174+0.0010803i,0.0082191-0.002887i,0.0083812-0.0015519i,0.0018715-0.0043111i,0.010454+0.0025559i,0.0055256+0.0016481i,0.015199-0.0076994i,-0.076493-0.018923i,-0.0086467-0.012217i,-0.004078-0.0035404i,-0.0048983+0.0042689i,-0.022563+0.026482i,-0.0022498+0.0038873i,-0.012055+0.0036439i
-0.035185+0.008208i,-0.053402+0.024539i,-0.015135+0.045828i,-0.013722+0.016989i,0.0073738+0.010232i,0.015075+0.030725i,-0.017605+0.027437i,-0.039383+0.040637i,-0.01531+0.016842i,-0.0049809-0.0058254i,0.0037271-0.0042529i,-0.002298+0.00093619i,0.0053255+0.001756i,-0.0015406+0.0053002i,0.0013104+0.0030273i,-0.005864+0.0035232i,-0.010003+0.014895i,0.00063885+0.0018658i,0.0014501-0.0063258i,0.0010295-0.0034699i,-0.0018534-0.0036988i,0.0011404-0.0043411i,0.00033098-0.0039667i,-0.014489+0.00047063i,-0.0027524+0.0010351i,-5.244e-05+0.0033307i,-0.0014706+0.00077695i,-0.0012276+0.0013825i,-0.0030719-0.00066251i,-0.0010026-0.0026089i,0.0013434+0.0049833i,0.0017612+0.00035611i,0.0013516-0.00073229i,0.00064164+0.00046809i,0.00061115+0.0043618i,-0.004081-0.0094428i,-0.0012584+0.0039082i,-0.00099475+0.00024517i,0.0032614-0.00045786i,0.0060145-0.0046827i,-0.00016127-0.00157i,0.0015078-0.00047099i,-0.0092238+0.0029449i,0.0024968-0.00037575i,-0.020556-0.023415i,-0.054358-0.074184i,-0.06391+0.010179i,-0.046431-0.016365i,-0.071683-0.0099823i,-0.027839+0.0084913i,-0.039904+0.050935i,-0.030442+0.022828i,-0.03242-0.028779i,-0.044517-0.045028i,-0.031425+0.0090465i,-0.0016083-0.00041185i,0.0021023+0.025827i,0.011441+0.00021681i,-0.0004842-0.002317i,-0.025701+0.0017235i,0.0015113+0.0030432i,-0.0037276+0.0070544i,0.0085281-0.00078874i,0.007993+0.0077322i,-0.0032225+0.0042666i,0.0041111-0.0029171i,0.0029148-0.0056105i,0.0076844+0.0015801i,0.0045387+0.0013849i,-0.0074574+0.0029569i,-0.0019617-0.005082i,0.0076866+0.00036076i,0.0016212+0.011524i,0.0015323+0.0020388i,-0.010195-0.026862i,0.013229-0.0042841i,0.0062077-0.004514i,0.0019597+0.001562i,0.0013197-0.00062666i,0.0060404-0.012448i,-0.00017255+0.0031124i,-0.0083625+0.0014899i,-0.0012739+0.0041875i,0.0060277-0.0032087i,0.0076857-0.0064937i,-0.00015094-0.0043859i,0.0094363-0.0036936i,0.0052062-0.0014926i,0.011207-0.012359i,-0.073651-0.0053728i,-0.018497-0.013841i,-0.005126-0.0081169i,-0.0038514+0.0021036i,-0.015254+0.026759i,-0.0064622+0.0028584i,-0.014905+0.0039792i
-0.032945+0.010477i,-0.04987+0.032053i,-0.011214+0.045064i,-0.0088412+0.018198i,0.0090414+0.0042186i,0.019038+0.026256i,-0.01223+0.029173i,-0.032901+0.04345i,-0.012927+0.019762i,-0.0059032-0.0037676i,0.0017149-0.00504i,-0.0011057+0.0036966i,0.0045955+0.00069335i,0.001294+0.0067967i,0.0022913+0.0030805i,-0.0032796+0.0071288i,-0.00213+0.017654i,0.00097573+0.00076431i,-4.791e-05-0.0058402i,-0.00096614-0.0039246i,-0.0029228-0.0032439i,2.1867e-05-0.0045831i,-0.0013048-0.0042011i,-0.01183+0.0046372i,-0.003348+0.0007637i,0.00022272+0.001467i,-0.0014594+0.0012209i,-0.00050773+0.00066616i,-0.002976+0.00071928i,-0.0016732-0.0014138i,0.002438+0.0040715i,0.0013867-0.00059526i,0.00081252-0.00057734i,0.00049694+0.00024344i,0.0015589+0.0036152i,-0.0074384-0.010104i,-0.0002361+0.0039455i,-0.00066437+0.00092229i,0.0011705-0.0011232i,0.0038172-0.0042384i,-0.00038127-0.0018243i,0.0015316-0.0011856i,-0.0022383-0.0031567i,-0.00053253+0.00056757i,-0.026522-0.020602i,-0.063968-0.05421i,-0.058709+0.011653i,-0.051723-0.0073643i,-0.074145+0.0053837i,-0.023626+0.0063106i,-0.024685+0.048567i,-0.021122+0.01928i,-0.034244-0.027575i,-0.048815-0.039091i,-0.029236+0.018442i,-0.0022454-0.00043177i,0.011714+0.020748i,0.0099951-0.0023389i,-0.004354+0.00012665i,-0.025496+0.012371i,0.0010088+0.0050222i,-0.00018014+0.0082798i,0.0033575-0.0021401i,0.011146+0.0051208i,-0.0010394+0.0062277i,0.0014717-0.00159i,0.0011824-0.0068006i,0.0023775+0.00089094i,0.0017216+0.0022686i,-0.0059015+0.0065612i,-0.0031691-0.0021273i,0.0074206-0.0023642i,0.0072262+0.0068914i,0.0023281+0.00071082i,-0.013395-0.022881i,0.0098378-0.0080943i,0.0040521-0.0062823i,0.004232+0.0022833i,0.00080063-0.00048206i,0.0026937-0.011091i,0.0023141+0.0027375i,-0.0056615+0.0060057i,0.0022587+0.004494i,0.0055824-0.0033507i,0.0032938-0.010957i,-0.00045154-0.0036211i,0.0049358-0.0065864i,0.0030292-0.0033141i,0.0046479-0.016146i,-0.068062+0.0025845i,-0.029349-0.0078915i,-0.0083912-0.0096743i,-0.0042417-0.00040636i,-0.0093053+0.026179i,-0.009832+0.0054878i,-0.014742+0.0078423i
-0.031623+0.013113i,-0.045338+0.039216i,-0.0072748+0.046812i,-0.0043379+0.017173i,0.007119-0.001777i,0.022913+0.022193i,-0.0066884+0.028959i,-0.026862+0.045962i,-0.009055+0.020321i,-0.0066335-0.0022166i,-0.0010905-0.0043867i,0.0011796+0.0048004i,0.0039103+0.00016316i,0.0042645+0.0056616i,0.0030709+0.0024027i,0.00011651+0.0087633i,0.006147+0.016333i,0.00093058+0.00021918i,-0.0017366-0.0058805i,-0.0027594-0.0032298i,-0.0035053-0.0017401i,-0.00060104-0.0047931i,-0.002465-0.0033938i,-0.0096421+0.005946i,-0.0035054+0.0028042i,-0.00043717+0.0012985i,2.0986e-05+0.00069919i,-0.00033768-0.00018799i,-0.0018991+0.0016992i,-0.0016258-0.00086346i,0.0033001+0.0029559i,0.00091527-0.0010613i,0.00070659-0.00055599i,0.00027482+7.4704e-06i,0.0021577+0.0032414i,-0.011338-0.0088099i,0.0007113+0.0034383i,0.00029681+0.00088759i,0.00030794-0.00093095i,0.0026553-0.0037831i,-0.00075178-0.0017363i,0.0012575-0.0016737i,-0.0043754+0.0030346i,-0.00097096+0.0031187i,-0.031003-0.014853i,-0.06374-0.039641i,-0.056394+0.014103i,-0.053254+0.0049941i,-0.069797+0.023685i,-0.025659+0.004709i,-0.0141+0.04341i,-0.014529+0.015086i,-0.036494-0.024258i,-0.053868-0.033267i,-0.020543+0.023543i,-0.0040535+0.00024094i,0.016113+0.0086747i,0.0088721-0.0054725i,-0.0058366+0.0041756i,-0.019167+0.023113i,0.0022762+0.0050411i,0.0050476+0.005895i,0.0010744+0.00034544i,0.0134-0.00064601i,0.0020858+0.0066903i,0.00083099+7.133e-05i,-0.004057-0.0089705i,0.00051058+0.0042128i,0.0018865+0.0044011i,-0.0012882+0.0098813i,-0.0018168+0.00045508i,0.0058406-0.0039887i,0.0093632+0.0024442i,0.0028694-0.0010749i,-0.021403-0.021562i,0.0055262-0.009658i,0.00077882-0.0071828i,0.0049749-0.00085861i,0.00070678+0.00050767i,0.0014172-0.0092698i,0.0033908+0.00098416i,-0.00099766+0.0074288i,0.004167+0.0017975i,0.0039718-0.0042679i,-0.0037477-0.010397i,-0.0011324-0.0040257i,0.0022598-0.0073767i,0.0020392-0.0045061i,-0.0033573-0.015586i,-0.064873+0.0096654i,-0.029755+0.0073396i,-0.011999-0.0096223i,-0.0067124-0.00099329i,-0.0061174+0.02596i,-0.0090166+0.010482i,-0.0098724+0.010014i
-0.030034+0.016433i,-0.039158+0.046634i,-0.0013838+0.048579i,-0.0019255+0.015278i,0.0024719-0.0047706i,0.02644+0.01718i,-0.0016184+0.027832i,-0.020592+0.048645i,-0.0061339+0.020699i,-0.0078305+0.00016567i,-0.002605-0.0018127i,0.0041424+0.004893i,0.0034518-6.6888e-05i,0.0055338+0.0030456i,0.0033166+0.0017035i,0.0035929+0.0085829i,0.012097+0.011332i,0.00093149+3.0105e-05i,-0.0030652-0.0051271i,-0.0037717-0.0015266i,-0.0030615-0.00061946i,-0.001951-0.0050643i,-0.0030514-0.0023607i,-0.0088458+0.0081759i,-0.0026439+0.0037033i,-0.00053234+0.0020009i,-0.0010411+0.0011395i,-0.0014102-0.00085611i,-0.0014265+0.0016366i,-0.0018144-0.00058332i,0.0041225+0.0020344i,0.00094339-0.00092401i,0.0011463-0.00066963i,0.00024343-2.3647e-05i,0.0033155+0.0015625i,-0.014789-0.0055775i,0.0017712+0.0032069i,0.00065598+0.00044802i,-0.00036143-0.0009207i,0.0015469-0.0036584i,-0.0010973-0.0014432i,0.00058949-0.0019332i,-0.0033673+0.0038475i,0.00026184+0.0039167i,-0.032872-0.0097658i,-0.06425-0.033273i,-0.054889+0.01862i,-0.048462+0.016291i,-0.058716+0.038787i,-0.02688+0.0081481i,-0.0061782+0.03932i,-0.011707+0.0099625i,-0.038224-0.02107i,-0.057861-0.024601i,-0.013555+0.024287i,-0.0038365+0.0010615i,0.0097493-0.0018488i,0.0055606-0.0094005i,-0.0045445+0.0075221i,-0.0096827+0.027455i,0.0024343+0.0038417i,0.0067308+0.0006231i,0.0028979+0.0012309i,0.011335-0.0049344i,0.0057108+0.0067469i,0.0011839+0.0022206i,-0.0086321-0.0030311i,0.0023105+0.0067625i,0.003416+0.0056567i,0.0040404+0.0091583i,-0.00080646+0.00070712i,0.0045347-0.0051416i,0.010097-0.0037195i,0.00062619-0.0018507i,-0.031531-0.011898i,0.0020338-0.0097284i,-0.0016621-0.0053243i,0.0051892+0.00020379i,0.0014727+0.00015168i,0.0010018-0.010132i,0.0031175-0.00068875i,0.0020264+0.0052723i,0.0039679+0.00063417i,0.0034364-0.0035124i,-0.0069729-0.005922i,-0.0031446-0.0044163i,-0.001574-0.0058323i,-0.00038274-0.0054455i,-0.0084682-0.011143i,-0.060055+0.016601i,-0.022854+0.0093788i,-0.012919-0.0077892i,-0.0084108-0.00013414i,-0.00077736+0.02444i,-0.0075399+0.011803i,-0.0074437+0.0090676i
-0.027456+0.019482i,-0.03086+0.052748i,0.0064366+0.0497i,-0.00088979+0.014684i,-0.0024589-0.0044282i,0.028742+0.011735i,0.0029442+0.025918i,-0.013767+0.050949i,-0.0030535+0.020764i,-0.0087398+0.0035417i,-0.0017465+0.00036449i,0.007021+0.0023373i,0.0032478-0.00018243i,0.005047+0.0014656i,0.0037499+0.0013156i,0.0064742+0.0066974i,0.014311+0.0060334i,0.00096377-0.00076606i,-0.0042407-0.0042628i,-0.0037985+0.00040633i,-0.002538+6.4828e-05i,-0.0033319-0.0040179i,-0.003267-0.0014986i,-0.0054076+0.010357i,-0.0018702+0.0049518i,0.00053935+0.0024422i,-0.00075224+0.0018969i,-0.0027362-6.5001e-05i,-0.0010475+0.0020224i,-0.001739+8.0325e-05i,0.0046443+7.8073e-05i,0.00098588-0.0017051i,0.0013924-0.0016866i,0.00018386-6.5457e-06i,0.0028934-0.00024577i,-0.016327-0.00067438i,0.0026152+0.0025924i,0.0008332+0.00044461i,-0.0013817-0.00070444i,0.0012225-0.0032116i,-0.0011539-0.001228i,-0.00015213-0.0021599i,-0.0027376+0.0044342i,0.001261+0.0042841i,-0.034641-0.0054173i,-0.0692-0.027211i,-0.053148+0.024001i,-0.043247+0.024031i,-0.044091+0.047156i,-0.027313+0.011949i,0.0016426+0.033916i,-0.010803+0.0076791i,-0.040038-0.017192i,-0.059466-0.014557i,-0.0082222+0.025541i,-0.0033212+0.0017026i,0.0033604-0.0018863i,0.00024616-0.01126i,-0.0012087+0.011099i,0.00015534+0.026207i,0.00152+0.0026467i,0.005565-0.0040585i,0.0026168+0.0005255i,0.0081226-0.0094695i,0.0090091+0.0037608i,0.0031182+0.003018i,-0.0078154+0.0012469i,0.00541+0.0082546i,0.0058918+0.0061529i,0.0092017+0.0066149i,-5.8246e-05+0.0012232i,0.0038507-0.0059556i,-0.0050351-0.0042419i,-4.9185e-05+0.00010106i,-0.036021+0.0020223i,-0.00076188-0.0090804i,-0.002685-0.003262i,0.0064094-0.00060294i,0.0014302-0.00046419i,-0.0008789-0.011637i,0.0020215-0.001602i,0.004306+0.0043683i,0.0043667-0.00030494i,0.0045046-0.0042577i,-0.0083121-0.0028981i,-0.0057605-0.0022253i,-0.0043447-0.0040423i,-0.002284-0.0057914i,-0.010714-0.0066063i,-0.055693+0.022468i,-0.021195+0.0098374i,-0.013037-0.0077738i,-0.0092285+0.0015857i,0.00067036+0.022879i,-0.0069401+0.012223i,-0.0050669+0.0084885i
-0.024355+0.022474i,-0.020799+0.056883i,0.015019+0.049509i,0.00077486+0.013823i,-0.0050479-0.0011709i,0.030277+0.0062966i,0.0066099+0.022728i,-0.0056123+0.052332i,1.8992e-05+0.020354i,-0.0088305+0.0085465i,-0.00063187+0.00069655i,0.0068623-0.0016687i,0.0035335-0.00037279i,0.0050576+0.00010344i,0.0042471+0.00053265i,0.0075871+0.0040809i,0.014167+0.0011842i,-0.00031085-0.0014264i,-0.0057585-0.0025552i,-0.002779+0.0018619i,-0.0018498+0.00024602i,-0.0038886-0.0029332i,-0.0033702-0.00058197i,-0.00093315+0.01046i,0.00011797+0.0056723i,0.0014856+0.0018043i,5.4554e-05+0.0021538i,-0.0029961+0.0013515i,-0.00016381+0.001875i,-0.0013605+0.00053803i,0.0040961-0.0017214i,0.00017929-0.0020298i,0.0010757-0.004437i,7.7622e-05-2.3098e-05i,0.0020113-0.0012462i,-0.015716+0.004416i,0.0030498+0.001628i,0.0010655+0.00015336i,-0.0019661+0.00027516i,0.0010259-0.0034055i,-0.0013984-0.0011261i,-0.0012074-0.0024059i,-0.0019284+0.0049949i,0.0024162+0.0044833i,-0.036739+0.00067102i,-0.07706-0.015848i,-0.048937+0.029214i,-0.035042+0.030877i,-0.029991+0.05143i,-0.026097+0.018912i,0.0076999+0.02633i,-0.0065257+0.0054496i,-0.041243-0.011107i,-0.058349-0.0042474i,-0.0033758+0.025631i,-0.0033292+0.0025569i,0.0001116-0.00096649i,-0.0059857-0.010835i,0.0048655+0.010937i,0.0060675+0.020228i,-0.00061664+0.0022658i,0.0034029-0.0075349i,0.0036465+0.0023455i,0.0023169-0.010967i,0.010583-0.0018333i,0.005205+0.0025344i,-0.0068453+0.0050451i,0.010616+0.0077641i,0.010129+0.0042922i,0.010818+0.0019726i,0.001178+0.0015209i,0.0024051-0.0072265i,0.00025937-0.010811i,0.0013001+0.0014161i,-0.031787+0.017469i,-0.0025914-0.0081749i,-0.002451-0.00083855i,0.0069179-0.0060895i,0.00173+8.6872e-05i,-0.0054925-0.012188i,0.00092668-0.0013002i,0.0060356+0.0016313i,0.0040348-0.0014197i,0.0035735-0.0059543i,-0.0082403+0.0018641i,-0.0054345+0.001436i,-0.0062006-0.00073981i,-0.0048286-0.0060136i,-0.010862-0.0025662i,-0.051407+0.02829i,-0.021989+0.014539i,-0.014376-0.010471i,-0.0067185+0.0039174i,0.0036892+0.02297i,-0.0070507+0.014884i,-0.0022804+0.0057924i
-0.02066+0.024769i,-0.01053+0.058212i,0.025045+0.045696i,0.0020614+0.013045i,-0.0048632+0.0024877i,0.031384+0.00069918i,0.008956+0.019229i,0.002692+0.051739i,0.0030598+0.019656i,-0.0040757+0.012686i,-0.00046288+0.00066027i,0.0047732-0.0038839i,0.0035583-0.0013856i,0.0041382-0.0010339i,0.0041821-0.00046119i,0.0072882+0.0019141i,0.012773-0.002755i,-0.0010198-0.00084739i,-0.0058355-0.00041236i,-0.0015446+0.0023854i,-0.0012049+0.00018296i,-0.0041327-0.0022071i,-0.0029757+0.00023641i,0.0022242+0.0095765i,0.0027005+0.0051254i,0.0017463+0.0012972i,0.00088526+0.0018794i,-0.0021902+0.0026914i,0.00030312+0.0014325i,-0.0011699+0.00081719i,0.0027555-0.0028536i,-0.00070605-0.0016813i,-0.0043724-0.0056386i,2.6748e-05-6.4925e-06i,0.00092458-0.0020351i,-0.013563+0.0089093i,0.0030357+0.00039859i,0.0010072-0.00027239i,-0.0016539+0.0014924i,0.00025846-0.0039184i,-0.0015929-0.00073917i,-0.0020726-0.0027356i,-0.00089719+0.0056267i,0.003794+0.0039684i,-0.035993+0.0075378i,-0.079196+0.00090622i,-0.046253+0.032721i,-0.027003+0.033611i,-0.015586+0.05251i,-0.020463+0.026259i,0.010965+0.018524i,-0.0044525-0.0013074i,-0.038182-0.0052395i,-0.053503+0.006596i,0.0024219+0.024859i,-0.0046643+0.0039512i,-0.0025592+0.00080809i,-0.010583-0.0071979i,0.0087551+0.0069238i,0.0081928+0.017996i,-0.0034889+0.0040065i,-0.00050689-0.010647i,0.0068253+0.00029184i,-0.0029489-0.0091802i,0.0075979-0.0059702i,0.0069141+0.00010519i,-0.0048086+0.0073117i,0.014813+0.002101i,0.011675-0.0015366i,0.010231-0.003792i,0.0028331+0.00079947i,-0.00031997-0.0079573i,-0.0044998-0.0071038i,0.0029733+0.00049074i,-0.023476+0.025634i,-0.0044368-0.0070049i,-0.00090332+0.00068458i,0.0026811-0.0079534i,0.0026821-0.0001506i,-0.010599-0.0095851i,0.00079861-0.00052812i,0.0059235-0.0016271i,0.0030655-0.0024014i,0.0017173-0.0063129i,-0.005368+0.0057745i,-0.0031662+0.0038076i,-0.0056039+0.0030239i,-0.0084358-0.0048654i,-0.010062+0.00042123i,-0.045198+0.035581i,-0.01489+0.021017i,-0.020341-0.010668i,-0.0034149+0.00283i,0.0062635+0.021943i,-0.0046001+0.0184i,-0.0022556+0.0016113i
