-0.023006-0.018615i,-0.032441-0.033184i,-0.022306-0.01958i,-0.032741-0.020567i,-0.023782+0.0042493i,-0.028768-0.017641i,-0.058086-0.04418i,-0.040207-0.041477i,-0.031465-0.017998i,0.0049261+0.0046319i,-0.0039263+0.0065331i,-0.011234+0.010786i,0.0040954+0.0066005i,-0.0039834-0.0028277i,0.0028727+0.0017172i,0.0042136+0.028034i,0.019609+0.021001i,-7.4765e-05+2.7171e-05i,-0.0031308-0.0027004i,0.008369+0.0043084i,0.0018278+0.00051227i,-0.00022098+0.0023898i,-0.00056898+0.000413i,-0.031149-0.0024933i,-0.0039205-0.0050825i,-0.00020514+0.0022381i,0.0046977-0.0014891i,0.00063749-0.00020831i,-0.00046337-0.00060081i,-0.0013524-0.001862i,-0.0023493-0.00073367i,-0.0039438-0.0038854i,-0.0019658-0.0049076i,0.00037692-0.0012302i,0.00028244-0.0027635i,-0.0030826+0.024302i,0.0018361-0.0031606i,0.0022302-0.003959i,0.0038179-0.0023854i,-0.0079837-0.00084866i,0.00055701+0.0011298i,0.022883-0.021835i,-0.0027526+0.00013225i,-0.003272+0.0013668i,-0.0091052-0.0035038i,-0.019196+0.021867i,-0.0075944-0.086599i,-0.001618-0.060396i,-0.021818-0.053713i,-0.010727-0.045502i,0.054527-0.025889i,0.024694-0.067644i,0.040715-0.052452i,0.019448-0.039617i,0.025855-0.01985i,0.012165+0.011815i,0.025618-0.02841i,-0.010789-0.003625i,-0.0009318-0.0012949i,-0.0073724-0.0019915i,-0.0053821-0.028834i,-0.021306+0.026383i,0.0074339-0.0091673i,-0.011585-0.0029566i,-0.0023816-0.0017501i,-0.00090981-0.014984i,-0.0080201+0.0047692i,0.0052961+0.010613i,-0.009809+0.030953i,0.0064889+0.0074674i,-0.0038435-0.001461i,-0.0024474-0.0016764i,-0.012633-0.0066646i,0.00042262-0.0039536i,-0.032434+0.002662i,0.0034237-0.0088472i,-0.0077848-0.0015464i,-0.0049566-0.0028285i,0.0068563+0.002177i,-0.010086+0.00082045i,0.002527-0.00028373i,0.006518+0.0075832i,0.0056795+0.0011503i,-0.0082225-0.0098205i,0.002858+0.0080302i,-0.02041+0.0076167i,0.0029995+0.0060063i,-0.021567-0.0084832i,-0.027553-0.0051264i,0.010695-0.060722i,0.018666-0.015141i,-0.051661-0.028702i,-0.023993+0.0033941i,0.019061+0.010589i,-0.026968+0.011477i,-0.012067-0.0079941i
-0.01158+0.013553i,-0.021587+0.042123i,0.0017106+0.040529i,-0.010507+0.024864i,-0.00023148+0.021074i,0.0018289+0.023202i,-0.024987+0.015357i,-0.025433+0.033092i,-0.00014869+0.018602i,-0.0010711-0.0011829i,-0.00080629+0.0017335i,0.0043166+0.0034479i,0.0036212+0.0050782i,-0.0030939+0.0018364i,-0.0030427+0.0038345i,0.0010928-0.0070354i,-0.0082514-0.0012644i,-0.0021177+0.00013004i,3.2412e-05-0.001274i,-0.0010173-0.00044755i,0.00077481-0.003493i,0.0011661-0.0025481i,0.00097847-0.0014982i,-0.00997-0.0077567i,-0.00014972-0.00043186i,-0.0016051+0.00026824i,-0.002516+5.8487e-05i,-0.0028-0.00018951i,-0.0010356-0.00095196i,0.0010421-0.0006724i,-0.0017818+0.00037003i,0.0015747-7.4804e-05i,0.001756-0.00043779i,0.00078531+0.00041531i,-0.00037376+0.0017389i,-0.0005128-0.0064804i,-0.0013336+0.00092299i,0.0018258+0.00011948i,0.00097543+0.0025383i,0.0050831+0.005456i,0.0012839-0.0015665i,-0.0014854-0.001047i,-0.0015253-0.0017513i,0.0024155+0.0059503i,-0.0068123+0.0075025i,0.020552-0.059037i,-0.074658+0.014453i,-0.026855-0.018435i,-0.060704-0.048629i,-0.053146-0.017581i,-0.08594+0.0036644i,-0.072888+0.0019856i,-0.047108-0.034158i,-0.008861-0.045335i,-0.040844-0.024801i,-0.0061254+0.00026162i,-0.030715+0.0096374i,0.0078043+0.010963i,0.0096044+0.0074749i,0.0025325-0.0069773i,0.010425+0.0038816i,-0.010514-0.0029744i,0.0026+0.01129i,0.0013776+0.0055499i,-1.3018e-05-0.0016297i,0.0054841+0.0020885i,0.0039801+0.00011759i,-0.0049027+0.019354i,0.00072388+0.0096034i,0.00060967-0.0041521i,0.0081139-0.0062056i,0.0011173+0.004196i,-0.0084073-0.0074855i,-0.0027223-0.0010844i,0.019946-0.036874i,0.0051771+0.008727i,0.0018372+0.0027809i,-0.0017401+0.0042466i,0.0031519-0.0040999i,0.020237+0.0026209i,0.0016023-0.0017013i,-0.0034483-0.0076865i,-0.00052837-0.0017701i,0.011653+0.0058229i,0.0055666-0.00050626i,0.0029412-0.0073614i,0.0042982+0.0054312i,-0.0061744+0.003446i,0.013949+0.0067296i,-0.041723-0.038699i,-0.012412+0.0065987i,-0.0018723-0.0013932i,-0.00038496+0.0029469i,-0.040817+0.012522i,-0.0068178+0.0082115i,-0.014168+0.0037851i
-0.0087583+0.014449i,-0.014126+0.042944i,0.010658+0.034044i,-0.005408+0.025573i,0.002687+0.018725i,0.0060936+0.021817i,-0.023669+0.019282i,-0.01812+0.035224i,0.0045758+0.013447i,-0.0015111-0.00038941i,-1.202e-05+0.0028578i,0.0049047+0.0011931i,0.0044165+0.0029261i,-0.0015867+0.0028299i,-0.0022105+0.0048356i,-0.003316-0.0056013i,-0.0091757+0.0036106i,-0.0015365+0.0013222i,0.00084047-0.00077579i,-0.00048759-3.4589e-05i,-0.00031213-0.0030816i,0.0010772-0.0022002i,0.00077085-0.0013073i,-0.011335-0.0045083i,9.2197e-05-0.00029179i,-0.0015611+0.00073793i,-0.0017182+0.0010024i,-0.0023009+0.00055058i,-0.0011526-0.00072384i,0.0010223-0.000836i,-0.0014599+0.0013511i,0.0011619-0.00036024i,0.0014103-0.0012837i,0.00029638+0.00037016i,-0.00092207+0.0014634i,-0.00037091-0.0055768i,-0.00080877+0.0010045i,0.00092563-0.0005527i,0.0013411+0.0026229i,0.0061452+0.0022088i,0.00078511-0.0020125i,-0.0021744-0.00090456i,-0.0022819-0.00084761i,0.0042869+0.0053026i,-0.0050183+0.0056156i,0.0018778-0.068544i,-0.065295+0.028974i,-0.033705-0.021651i,-0.074123-0.039218i,-0.053576-0.0059772i,-0.077088+0.020351i,-0.070169+0.016184i,-0.040409-0.031631i,-0.014463-0.043433i,-0.045723-0.0087732i,-0.0069346+0.00030474i,-0.025089+0.021818i,0.010137+0.0061075i,0.011491+0.0009582i,-0.0027396-0.012374i,0.0073973+0.0030533i,-0.010983+0.0028929i,0.0072189+0.0098652i,0.0024664+0.0068352i,-0.00082877-0.0011425i,0.0064774+0.0020749i,0.0048563-3.9825e-05i,0.0037236+0.01702i,0.0052231+0.0049861i,-0.0037742-0.0055478i,0.0021334-0.0067816i,0.0028588+0.0049118i,-0.011562+0.0004907i,-0.0021935+0.0017227i,0.0069394-0.036324i,0.0081651+0.0076059i,0.004131+0.0017272i,0.0020923+0.002995i,-0.00013558-0.0019777i,0.017579-0.0070213i,-7.262e-07-0.0024499i,-0.0063295-0.0049111i,-0.0030513-0.00091773i,0.010829+0.00065505i,0.0045815-0.00045947i,0.00076058-0.0056824i,0.0064691+0.0037542i,-0.0057664+0.0056438i,0.013656+0.0014811i,-0.048965-0.03306i,-0.0065296-0.0049929i,-0.0026898-0.002529i,0.0012839+0.0015434i,-0.033214+0.024258i,-0.0048919+0.009239i,-0.01091+0.0055353i
-0.0055528+0.014455i,-0.0073947+0.043175i,0.015407+0.026535i,-0.00066026+0.024376i,0.0062869+0.01754i,0.010047+0.019367i,-0.020653+0.023403i,-0.010971+0.034773i,0.0044987+0.0086327i,-0.0016314+0.00058864i,0.0017281+0.0033076i,0.0023942-0.00029852i,0.0043848+0.0016514i,-0.00068848+0.0029937i,-0.00086957+0.0056734i,-0.0065741-0.0017294i,-0.006948+0.0084821i,-0.00066761+0.0016777i,0.0012757-0.0016596i,0.00022647-0.00038886i,-0.0010557-0.0030831i,0.00084494-0.002804i,0.00086084-0.0014673i,-0.01226-0.0012812i,-4.6306e-05-0.00034122i,-0.00091999+0.0013733i,-0.00093036+0.00080245i,-0.001388+0.0016331i,-0.0012469-0.00059543i,0.00056606-0.0014554i,-0.00072382+0.0016695i,0.00077328-0.00073744i,0.0001118-0.0013138i,0.00050337+0.00026194i,-0.00054235+0.002444i,0.00021-0.0062717i,-0.00075498+0.00082881i,0.00025613-0.00073777i,0.0031287+0.00063321i,0.0050675-0.00015263i,0.00028464-0.0021919i,-0.0017132+0.00021521i,-0.0029763+0.00013366i,0.0056014+0.0032608i,-0.0043338+0.0042507i,-0.020788-0.068668i,-0.051264+0.038266i,-0.042439-0.018974i,-0.082074-0.023706i,-0.048933+0.0028111i,-0.062628+0.031468i,-0.057343+0.02877i,-0.04275-0.03439i,-0.019605-0.042951i,-0.043532+0.0051125i,-0.0073508+0.00146i,-0.013502+0.028544i,0.010665+0.0015529i,0.0082845-0.0047861i,-0.013743-0.012594i,0.0072666+0.00090931i,-0.0072903+0.0067407i,0.010161+0.0049726i,0.0053856+0.0071351i,-0.0030296+0.00047255i,0.0065818-0.0013996i,0.0058125-0.0024762i,0.007324+0.010889i,0.004009+0.00086379i,-0.0085673-0.0022061i,-0.0002174-0.0049199i,0.0058551+0.003934i,-0.0070765+0.0098852i,0.00020681+0.0028822i,-0.0014274-0.030567i,0.012027+0.0037294i,0.0038286-0.00039299i,0.0016985+0.0010757i,0.00049591-2.9989e-05i,0.01102-0.011429i,-0.0024099+0.00031883i,-0.0072176-0.0017284i,-0.0034492+0.0027938i,0.0069662-0.0021663i,0.0073988-0.0017347i,0.00028372-0.0057937i,0.0091706+0.00042859i,-0.0024439+0.0069221i,0.012099-0.0027166i,-0.054329-0.022384i,-0.013099-0.013568i,-0.0012091-0.004108i,0.0033992-0.0014107i,-0.022671+0.030102i,-0.0039672+0.0053376i,-0.0077473+0.001611i
-0.00266+0.013325i,3.5243e-05+0.042873i,0.017567+0.019419i,0.0040007+0.023169i,0.010349+0.014099i,0.013364+0.015852i,-0.016254+0.026806i,-0.0054213+0.032234i,0.0038296+0.0066685i,-0.0010991+0.0014932i,0.0030812+0.002107i,0.0011856+0.0013996i,0.0041037+0.00063936i,-0.00057135+0.0036649i,0.00071785+0.0059004i,-0.0065756+0.0036226i,-0.0024427+0.010914i,0.00025823+0.0014767i,0.00050438-0.002179i,-2.9814e-05-0.0010914i,-0.0019435-0.0024975i,0.00032456-0.0029819i,0.00066836-0.002116i,-0.011707+0.00252i,3.6728e-05-0.00045103i,5.4276e-06+0.001065i,-0.00075849+0.00040546i,-0.00025474+0.0014301i,-0.0015548+2.802e-05i,-0.00031041-0.001302i,2.2676e-05+0.0014854i,0.00021867-0.00080912i,-0.00057373-0.00091573i,0.00048822+0.0001386i,0.00087055+0.0022834i,-0.00021648-0.0083964i,-0.0002444+0.001116i,-0.00033568-0.00045973i,0.0020121-0.00091509i,0.0041633-0.00098415i,-0.00022479-0.0023264i,-0.00099313+0.0003407i,-0.0029095+0.0016532i,0.0049227+0.00079733i,-0.0044303+0.00376i,-0.039512-0.056878i,-0.037406+0.040684i,-0.04923-0.011894i,-0.085726-0.0082143i,-0.042731+0.0081508i,-0.049773+0.035345i,-0.044174+0.03079i,-0.047963-0.030463i,-0.025418-0.038288i,-0.038796+0.015305i,-0.0075602+0.0029066i,-0.0015518+0.030038i,0.0094313-0.0029019i,0.0028625-0.006443i,-0.02165-0.0033448i,0.0046005-0.0002395i,-0.0029504+0.0073922i,0.0091481-0.0012013i,0.0086083+0.0056281i,-0.002829+0.0031507i,0.0033228-0.0024645i,0.005118-0.0061614i,0.0063915+0.0047709i,0.0012298-0.00044087i,-0.0089988+0.0020343i,-0.0017834-0.0036119i,0.0071748+0.0014203i,0.0029726+0.011154i,0.0017517+0.0017323i,-0.0080168-0.022201i,0.012203-0.00093958i,0.0035734-0.0011721i,0.0025814+0.0012903i,0.00085384-0.00025995i,0.0054284-0.011474i,2.7833e-05+0.0026624i,-0.006632+0.0017199i,-0.00040097+0.0050597i,0.0047592-0.0017929i,0.0070603-0.0060301i,-0.0021313-0.005214i,0.0078289-0.0046601i,-0.00023339+0.0059081i,0.010163-0.006677i,-0.053115-0.0098786i,-0.023079-0.015354i,-0.0025151-0.0082333i,0.0031485-0.0065006i,-0.015715+0.029827i,-0.0069338+0.0048861i,-0.010688+2.2103e-05i
-0.00092769+0.01199i,0.0066432+0.040851i,0.016948+0.013911i,0.0085522+0.020497i,0.012731+0.0095642i,0.015164+0.012007i,-0.010732+0.028603i,-0.0016207+0.030091i,0.0042065+0.00556i,-8.0394e-05+0.0019072i,0.0032424+0.00096327i,0.0020246+0.0023885i,0.0039481-0.0003188i,0.0010699+0.0044825i,0.0023291+0.0055639i,-0.0039261+0.0072792i,0.0022257+0.010716i,0.00068769+0.0010282i,0.00028916-0.0021242i,-0.00061455-0.0011725i,-0.002709-0.0017743i,-0.00044786-0.0029083i,-0.000254-0.0024476i,-0.0090904+0.0053347i,-0.00026139-0.0013828i,0.00015148+0.00021665i,-0.00075534+0.00024924i,0.00022937+0.00080991i,-0.0013525+0.00084321i,-0.00043455-0.00070057i,0.00030252+0.0013438i,-4.3261e-05-0.00099354i,-0.0009513-0.00035688i,0.00032368-2.5883e-05i,0.0012104+0.001432i,-0.003072-0.0095963i,0.00023844+0.0010318i,-0.00031108+0.00021612i,0.00070279-0.0011995i,0.0035131-0.0013109i,-0.00059801-0.002405i,-0.00076605+0.00038305i,-0.0017556+0.0024533i,0.0036144+0.00092176i,-0.0041376+0.004118i,-0.046744-0.03991i,-0.027226+0.038422i,-0.054526-0.0023895i,-0.087062+0.0086178i,-0.038411+0.00903i,-0.039158+0.036652i,-0.035131+0.030479i,-0.050936-0.025393i,-0.027398-0.034308i,-0.032194+0.024067i,-0.0071312+0.0045895i,0.012322+0.024948i,0.0071519-0.005365i,-0.0016559-0.0053567i,-0.022717+0.0071604i,0.0034129+0.00031038i,0.00017511+0.0072112i,0.0040998-0.0036012i,0.010477+0.0024225i,-0.0013562+0.0050239i,0.0014199-0.0012014i,0.0022309-0.0085732i,0.0046412+0.0021894i,-0.00094105+0.0010404i,-0.009001+0.0070137i,-0.0029306-0.0012594i,0.007153-0.0013867i,0.0074986+0.0055135i,0.0023793+0.00076282i,-0.0097805-0.019918i,0.010201-0.0058289i,0.0027462-0.0022257i,0.0060052+0.00070983i,0.00081128+6.1574e-05i,0.0026707-0.0096809i,0.0022231+0.0016285i,-0.0040743+0.0053799i,0.0025867+0.0044507i,0.0046431-0.0020787i,0.0032761-0.010033i,-0.0028986-0.0038438i,0.0039383-0.0071523i,0.00029757+0.0044675i,0.0055398-0.010538i,-0.047638-0.0032405i,-0.032859-0.0073894i,-0.0060771-0.0098659i,0.00013314-0.010392i,-0.0089259+0.030165i,-0.0096652+0.007139i,-0.012292+0.002478i
0.00046041+0.010975i,0.01265+0.03839i,0.016163+0.011108i,0.011835+0.016505i,0.012824+0.0047367i,0.016376+0.0087646i,-0.0047651+0.02853i,0.00086148+0.028515i,0.0044512+0.0030674i,0.00059738+0.0012887i,0.002656+0.0002052i,0.0030837+0.0024349i,0.0032947-0.0012384i,0.0027974+0.0036293i,0.0035265+0.0046317i,-0.00027577+0.0089521i,0.006529+0.0090241i,0.00098788+0.00068426i,-0.00024539-0.0024906i,-0.0011986-0.00097022i,-0.002732-0.00055096i,-0.00087095-0.002652i,-0.00099884-0.0020744i,-0.0070615+0.0059315i,-0.00091017+9.2e-05i,-0.00023383-5.5335e-05i,-0.00082704+0.00025591i,0.00037102+0.00014142i,-0.00049072+0.0012219i,-0.00033522-0.00052935i,0.00080591+0.0011149i,-0.00068159-0.0010304i,-0.0010339-2.8565e-05i,3.9178e-05-0.00018562i,0.0014178+0.0013576i,-0.0059849-0.0089421i,0.00034761+0.0007684i,0.00016895+0.00029701i,3.1953e-05-0.00095424i,0.0028353-0.001718i,-0.0015971-0.0019386i,-0.00073749+0.00037498i,-0.00067963+0.0025925i,0.0039735+0.0012951i,-0.0034701+0.0047488i,-0.045408-0.028209i,-0.020314+0.035941i,-0.055498+0.011137i,-0.081484+0.028729i,-0.039291+0.0099593i,-0.030509+0.035558i,-0.027259+0.02937i,-0.052296-0.018512i,-0.030786-0.031157i,-0.023655+0.029181i,-0.0065588+0.0066679i,0.018568+0.010866i,0.0050098-0.008053i,-0.0046938-0.0019128i,-0.018315+0.017646i,0.0031956-0.00024796i,0.004123+0.0058215i,0.0013437-0.0016575i,0.011495-0.0017039i,0.0011325+0.0059861i,0.0011543-0.00018072i,-0.0025577-0.01i,0.0027113+0.0046698i,-0.00054615+0.0036127i,-0.0045418+0.01204i,-0.001565+0.0008967i,0.0060254-0.0032068i,0.008178+0.0011199i,0.0031044-0.000824i,-0.016233-0.019583i,0.0063226-0.0080863i,0.0010038-0.0027272i,0.0041503-0.0018415i,0.0012066+0.00091297i,0.0019326-0.0081546i,0.002793-1.3773e-05i,-0.00084261+0.0064417i,0.0039814+0.0016718i,0.0037701-0.0030736i,-0.0026931-0.010368i,-0.0032895-0.0032244i,0.00064426-0.0072213i,0.00092896+0.0032397i,-0.00087062-0.010523i,-0.044721+0.0012883i,-0.030957+0.0079285i,-0.0096562-0.0096913i,-0.0044183-0.011876i,-0.0037926+0.029449i,-0.0083209+0.011675i,-0.0090918+0.0042707i
0.0017078+0.0099326i,0.018249+0.035482i,0.016482+0.0089881i,0.013296+0.012118i,0.011365+0.0014138i,0.017357+0.0053429i,0.00050908+0.027196i,0.003275+0.028061i,0.0040511+0.0015538i,0.00061672+0.0010316i,0.002241+0.00031238i,0.0046225+0.0021232i,0.0023847-0.0016409i,0.0036266+0.0019059i,0.0042414+0.0036124i,0.0030954+0.0087315i,0.0096945+0.004875i,0.0012665+0.00042865i,-0.00099122-0.0024638i,-0.0015621-0.00039442i,-0.0021691+0.00029301i,-0.0014898-0.0025246i,-0.0013846-0.0015763i,-0.0059645+0.0073963i,-0.000907+3.3087e-05i,-0.0005795+0.00024529i,-0.00068829+0.0006028i,-0.00018914-0.0002605i,-0.00013409+0.00086632i,-0.00039721-0.00055055i,0.0010044+0.00062619i,-0.00077545-0.00033396i,-0.00042396+0.00013035i,-0.00011235-0.00013774i,0.0018809+0.00049236i,-0.0082864-0.0068671i,0.00043905+0.00072347i,0.00014385-6.8809e-05i,-0.00045641-0.00070792i,0.0020365-0.0020191i,-0.0017431-0.0011868i,-0.00041753+0.00056604i,-7.1138e-06+0.0020903i,0.0040297+0.0005821i,-0.0021096+0.0047913i,-0.04414-0.023385i,-0.015227+0.034398i,-0.050039+0.023853i,-0.070086+0.044715i,-0.039641+0.015597i,-0.023765+0.035159i,-0.022207+0.026966i,-0.052304-0.012997i,-0.032873-0.026306i,-0.016187+0.032276i,-0.003787+0.0073201i,0.013642-0.0016214i,0.0011995-0.01055i,-0.0047218+0.0012235i,-0.010315+0.020309i,0.0024737-0.0014212i,0.0046489+0.0013456i,0.0017906-0.00032353i,0.0097853-0.0052701i,0.004273+0.0062379i,0.0013791+0.0014585i,-0.0077234-0.0052358i,0.0041528+0.0058756i,0.0010261+0.0052963i,0.0026017+0.012864i,-0.0006861+0.0011445i,0.0045189-0.0045568i,0.0084802-0.0042651i,0.0012778-0.0016172i,-0.024238-0.012408i,0.0032099-0.0084639i,-0.00031372-0.0018105i,0.0042545-0.00054992i,0.0019227+0.00052669i,0.0023979-0.0092071i,0.0022087-0.0014679i,0.0018627+0.0048676i,0.0034789+0.00067574i,0.0035515-0.002528i,-0.0064824-0.0068563i,-0.004732-0.0024172i,-0.0033552-0.0068825i,0.00069916+0.0020898i,-0.0044941-0.0074072i,-0.041438+0.0066519i,-0.024335+0.0099051i,-0.0098321-0.0089536i,-0.0076815-0.0107i,0.0010944+0.025748i,-0.0062723+0.012791i,-0.0081066+0.0037853i
0.0027487+0.0087804i,0.023453+0.032113i,0.017437+0.0069821i,0.013545+0.0086715i,0.0094181-0.00054658i,0.017501+0.0018341i,0.0051725+0.024916i,0.0063842+0.028698i,0.00364+5.9888e-05i,0.00075188+0.00096825i,0.0026079+0.00050887i,0.0060234+0.00011653i,0.001621-0.0016615i,0.0029597+0.00077973i,0.0048204+0.0027229i,0.0060944+0.0069089i,0.0098171+0.00038292i,0.0016402-0.00027808i,-0.0016316-0.002162i,-0.0014516+0.00049278i,-0.0014301+0.00085313i,-0.0020857-0.001758i,-0.0015591-0.0011689i,-0.0032404+0.0086133i,-0.00083648+0.00040872i,-0.00038711+0.00066234i,-0.00045896+0.0011942i,-0.00091615-4.5572e-05i,-4.6104e-05+0.00068657i,-0.00058059-0.00057824i,0.0014115+0.00070999i,-0.0003543-0.00032493i,-0.00045808+0.00020735i,-0.00020656-9.1567e-05i,0.0016071-0.00039421i,-0.010983-0.0036434i,0.00035613+0.001188i,-7.5317e-05-4.262e-05i,-0.00092912-0.00047969i,0.0016208-0.0018044i,-0.0014797-0.00099114i,-3.9774e-05+0.00046303i,0.00020384+0.0017256i,0.0038548-0.00018543i,-0.0010488+0.0038884i,-0.046413-0.019739i,-0.011233+0.032615i,-0.042571+0.033238i,-0.055077+0.055144i,-0.038591+0.021259i,-0.016749+0.033412i,-0.018483+0.026021i,-0.052049-0.0072861i,-0.033582-0.020699i,-0.007538+0.034482i,-0.001966+0.0066857i,0.0059814-0.004494i,-0.0031628-0.011188i,-0.0032075+0.0045396i,-0.0021952+0.019622i,0.00048569-0.0023253i,0.0023318-0.0014226i,0.0017057+0.00014504i,0.0072349-0.0085598i,0.0078732+0.0036346i,0.0027975+0.0018484i,-0.0083629-0.0013719i,0.0063642+0.0059635i,0.0035951+0.0061969i,0.0090132+0.0084586i,-0.00023835+0.0015752i,0.0038196-0.0054779i,0.0046883-0.0096348i,0.00067088-0.00026214i,-0.027075-0.00094241i,0.0010905-0.0087703i,-0.00042924-0.00045928i,0.0048613-0.000838i,0.0022548+0.00015945i,0.0010506-0.011741i,0.00052171-0.0017905i,0.0035015+0.0038978i,0.0037019-0.00013687i,0.0043863-0.0034291i,-0.008157-0.0037442i,-0.0062592+6.2644e-05i,-0.0061499-0.0034665i,0.00046993+0.00092286i,-0.0058757-0.00455i,-0.037747+0.010304i,-0.022824+0.011194i,-0.0096623-0.0103i,-0.010205-0.0090028i,0.0018429+0.023243i,-0.0057616+0.012756i,-0.0068691+0.0035474i
0.0038407+0.0078258i,0.029155+0.027729i,0.019143+0.0042854i,0.013339+0.0059745i,0.0081923-0.0009988i,0.017126-0.0013513i,0.0089411+0.021468i,0.011111+0.027885i,0.0028495-0.0013139i,0.00082311+0.0008708i,0.0029805-0.0002573i,0.005167-0.0025856i,0.0011231-0.0015504i,0.0027302+0.0003033i,0.0053855+0.0014749i,0.0073191+0.0039878i,0.0081268-0.0026552i,0.001082-0.0010218i,-0.0023782-0.0015604i,-0.00066131+0.00093202i,-0.00057395+0.00083482i,-0.0020822-0.0012404i,-0.0017715-0.00070462i,-0.00014184+0.0086811i,-0.00051151+0.00060523i,-5.9898e-05+0.00069912i,1.2482e-05+0.0014972i,-0.0010232+0.00064874i,0.00020913+0.00037747i,-0.00073232-0.00047773i,0.0014458-0.00032675i,-0.00060167-0.00033218i,-0.00046788+0.00038561i,-0.00034788-6.8106e-06i,0.0010345-0.0009216i,-0.012646+0.00018638i,0.00089905+0.00045429i,-5.4587e-05+1.8355e-06i,-0.0012891+0.00014788i,0.0014507-0.0019506i,-0.0014002-0.0013503i,0.00014719+0.00011667i,0.0002412+0.0015632i,0.0037274-0.0010079i,-0.00075476+0.003194i,-0.051682-0.012947i,-0.0072268+0.030717i,-0.031728+0.039234i,-0.040479+0.06152i,-0.036267+0.02961i,-0.010459+0.029874i,-0.012224+0.024569i,-0.050303-0.00099177i,-0.032653-0.015178i,0.0013023+0.033692i,-0.0014139+0.0057796i,0.00073307-0.0053057i,-0.008153-0.010141i,0.00076116+0.0053317i,0.0024309+0.018755i,-0.0023315-0.001567i,0.0067992-0.0039397i,0.0028656+0.0020954i,0.0023484-0.01052i,0.00914-0.00098467i,0.0038878+0.0011007i,-0.0086+0.0031913i,0.0098933+0.0047958i,0.0075542+0.0047706i,0.011927+0.0036021i,0.00073732+0.0020823i,0.0021756-0.006278i,-0.0011941-0.0083712i,0.0017991+0.00088701i,-0.025514+0.012904i,-0.0011017-0.0077006i,0.00044571+0.00067307i,0.0058496-0.0049898i,0.0027103-0.00023045i,-0.003844-0.01316i,-0.00051892-0.00097714i,0.0044583+0.0022833i,0.0032874-0.00071046i,0.0037309-0.0049419i,-0.0081647+0.00068396i,-0.0057702+0.0033127i,-0.0075498-0.00022486i,-0.00097304-0.00016975i,-0.0060578-0.0023055i,-0.034585+0.012878i,-0.021035+0.016745i,-0.011436-0.013656i,-0.0098011-0.0072405i,0.0043131+0.022034i,-0.0064407+0.015218i,-0.0050518+0.0019451i
0.0049286+0.0064911i,0.033779+0.021522i,0.020166+4.1326e-05i,0.013008+0.0037409i,0.0078756-0.0012789i,0.016525-0.004238i,0.011269+0.017709i,0.015352+0.024803i,0.0018484-0.0021703i,0.00078532+0.00083113i,0.0027328-0.00095928i,0.0032122-0.0039265i,0.00065252-0.0014316i,0.0023398-4.2818e-05i,0.0054426+9.8244e-05i,0.0068208+0.0016746i,0.006402-0.0037924i,0.00055021-0.0011349i,-0.002558-0.00072931i,0.00011823+0.0009273i,0.00019976+0.00040861i,-0.0020122-0.00093361i,-0.0016567-0.00025801i,0.0027659+0.0083387i,-0.00022405+0.00047881i,9.0077e-05+0.00070654i,0.00056138+0.0013192i,-0.00065259+0.0010324i,0.0001704-5.2537e-05i,-0.0009519-0.00032626i,0.0010563-0.00083274i,-0.00086743+8.4522e-06i,-0.00022769+0.00066172i,-0.00034628+0.00018337i,0.00033207-0.001145i,-0.012149+0.0049706i,0.00061872+0.00031319i,-0.00017607-9.5882e-05i,-0.0011572+0.0010408i,0.0011393-0.0023026i,-0.00036579+0.00027341i,4.6123e-05-0.00032534i,0.00040538+0.0016718i,0.0033256-0.0015916i,-0.00043316+0.0028635i,-0.05385-0.0013693i,-0.0051019+0.029058i,-0.021908+0.040604i,-0.024293+0.065524i,-0.029313+0.038432i,-0.0066496+0.024608i,-0.0082853+0.019299i,-0.046395+0.0035638i,-0.029735-0.0095455i,0.0092531+0.030641i,-0.0010913+0.0058184i,-0.0052271-0.0032608i,-0.012185-0.0063052i,0.0034035+0.0030968i,0.0060307+0.016392i,-0.00516+0.00064846i,-8.8636e-05-0.007464i,0.005488+0.00098846i,-0.0027413-0.0092763i,0.0070817-0.00446i,0.0047898-0.00058678i,-0.0070115+0.0069926i,0.012344+2.3735e-05i,0.0093911-0.00040049i,0.012268-0.0034108i,0.0022637+0.0016664i,0.00016248-0.0065256i,-0.004399-0.0053117i,0.0032846-0.00034856i,-0.027501+0.021333i,-0.0032672-0.0066887i,0.0018979+0.00080313i,0.0025143-0.0065197i,0.0029277-0.00094016i,-0.0093726-0.01069i,-3.041e-05+0.00069826i,0.0047171+0.0001874i,0.0026654-0.001481i,0.0023474-0.0054275i,-0.0062852+0.0039894i,-0.0034415+0.0054272i,-0.006995+0.0036852i,-0.0031232+0.00023729i,-0.0057778-0.00071801i,-0.03071+0.017011i,-0.012307+0.020473i,-0.017247-0.015365i,-0.0097788-0.0073787i,0.0054774+0.020651i,-0.0036657+0.019344i,-0.0047825-0.00162i
