-0.023931-0.037817i,-0.011469-0.050017i,-0.018054-0.044956i,-0.03091-0.035748i,-0.030036-0.016375i,-0.050598-0.027481i,-0.056127-0.026818i,-0.04375-0.036424i,-0.03093-0.035209i,0.0087217+0.01139i,-0.005719+0.015066i,-0.0044938+0.014289i,0.010062+0.020578i,0.00077009+0.0042457i,0.0033396+0.0034041i,0.0069332+0.018985i,0.023002+0.035349i,-0.0026895-0.0016577i,-0.0052063-0.0056238i,0.0059396+0.0010542i,-0.00035911-0.00070554i,-0.00051888+0.0011968i,0.00025662-0.00019869i,-0.027624-0.0028138i,-0.0023838-0.0060549i,0.00092154+0.0047401i,0.0027808+0.00034894i,-0.00036716+0.000715i,0.00066748-0.00030289i,-0.00099427-0.0029372i,-0.0017548-0.0057559i,-0.0044064-0.004557i,-0.0024408-0.0043575i,0.0025132-0.00021802i,0.0021339-0.0031154i,-0.0020606+0.027333i,0.0011654-0.0032121i,0.0026631+0.0010448i,0.0053245+0.00077302i,-0.010553-0.003596i,-0.0037484+0.00021369i,0.0053148-0.00046092i,0.0057731-0.00037854i,-0.003961+0.0049396i,0.0015306-0.0087804i,-0.012154+0.017389i,0.035623-0.091195i,0.012086-0.069854i,-0.016037-0.059898i,-0.015795-0.055367i,0.039762-0.046461i,0.017126-0.06233i,0.033365-0.055511i,0.030275-0.059307i,0.015985-0.013701i,0.0046673+0.016303i,0.016025-0.025988i,-0.011579+0.0052904i,-6.4724e-05+0.0052514i,-0.0054565-0.0014459i,-0.002785-0.029297i,-0.024021+0.030909i,0.0095308-0.010902i,-0.013754-0.0030518i,-6.0651e-05-0.0047864i,-0.00097312-0.016044i,-0.0071721+0.0043082i,0.004865+0.0062124i,-0.0078991+0.031189i,0.0049034+0.0063063i,-0.0049866-0.00064043i,-0.0032401-0.00054226i,-0.012867-0.0075378i,-0.00090641-0.0043119i,-0.02657-0.018668i,-0.00024288-0.0098655i,-0.0092211-0.0010104i,-0.0068013-0.0026286i,0.0080047+0.0029591i,-0.0079309+0.0012061i,0.00026654+0.00060121i,0.0062175+0.0097341i,0.0047216+0.0019271i,-0.0090602-0.0085204i,0.0028393+0.0082692i,-0.02027+0.0056965i,0.0090817+0.00079738i,-0.029304-0.0037119i,-0.041852+0.0031553i,0.01896-0.095576i,-0.0024825-0.012461i,-0.053375-0.022761i,-0.024887+4.5509e-06i,0.01803+0.011184i,-0.024846+0.012646i,-0.017781-0.013613i
-0.0099574+0.025034i,-0.028743+0.046898i,-0.0070947+0.036703i,-0.0043711+0.035198i,0.0064381+0.034504i,0.035091+0.018178i,0.016318+0.015141i,0.016721+0.028472i,-0.0024678+0.018951i,-0.0015443+0.0039577i,-0.0028882+0.0032431i,-0.0048433+0.0068812i,-0.0019653+0.0062412i,-0.0028449+0.006793i,0.0052223+0.002206i,0.0019038+0.00986i,0.0019636+0.014444i,0.00081373-0.00046342i,-0.0011006-0.0042099i,-0.0030423-0.0026849i,-0.0034475-0.0016896i,-0.0027789-0.0032633i,-0.0022967-0.0026771i,-0.0075783+0.0048147i,-0.0010522+0.0010983i,-4.5037e-05+0.0014492i,-0.0012839+0.00076662i,-8.9657e-05+0.0014692i,-0.0010715+0.0020682i,-0.001696+0.00015444i,0.0047837-0.0017975i,4.6244e-05-0.00064297i,-0.00061021-0.0012219i,0.00085899-0.00079575i,0.0023226+0.00085974i,-0.0069935-0.0070951i,-0.00016133+0.001314i,0.00011847+0.0025676i,0.00071847-0.001459i,0.0022895-0.0026902i,-0.0020728-0.0015986i,-0.0015937-0.0028273i,0.0013963+0.0045086i,-0.002622+0.0047704i,-0.036576+0.017412i,-0.074689-0.030149i,-0.06146+0.01203i,-0.083025+0.016634i,-0.094244+0.033244i,-0.041168+0.023996i,-0.029751+0.055926i,-0.0091006+0.024594i,-0.0482-0.010977i,-0.061178-0.027316i,-0.024141+0.016679i,-0.0032691-0.0046855i,0.017551+0.0013472i,0.0033209-0.0091735i,-0.0059847-0.0033831i,-0.013334+0.017629i,0.00025982+0.0036204i,0.0054158+0.0027294i,0.0052148+0.00011584i,0.01703+0.0004513i,0.0027855+0.0032081i,0.0022393-0.00054848i,-0.0030454-0.0077201i,0.0016143+0.0036134i,0.00070382+0.0036786i,-0.0013758+0.0090543i,-0.0019343-3.2111e-06i,0.003589-0.0032957i,0.0097608-0.00063585i,0.001171-0.00036087i,-0.011738-0.015327i,0.0031439-0.0066897i,0.0020219-0.0059024i,0.004058-0.0011025i,0.0017863+0.00025458i,0.001208-0.010209i,0.0024171-6.7708e-05i,-0.0030652+0.0081897i,0.002907+0.0014196i,0.0029476-0.0034854i,-0.0028526-0.0099158i,-0.0013139-0.0046105i,0.0028415-0.0050228i,-0.0027596-0.0075258i,-0.0011118-0.022237i,-0.075461+0.020549i,-0.014441+0.0074106i,-0.0066352-0.016637i,-0.0065917-0.0092294i,-0.0047229+0.024169i,-0.011726+0.01094i,-0.0026609+0.012176i
-0.0066956+0.025401i,-0.021257+0.050714i,-0.0032727+0.039309i,0.00048718+0.033618i,0.0087503+0.031703i,0.036753+0.011072i,0.019114+0.010746i,0.01996+0.024361i,0.00035581+0.019114i,-0.00062783+0.0040747i,-0.001848+0.0056854i,-0.0019479+0.0084502i,2.633e-05+0.0070025i,-0.00063102+0.0066514i,0.0052365+0.00069563i,0.0051613+0.0091482i,0.0076978+0.012168i,0.00087412-0.00062195i,-0.0021105-0.0037002i,-0.0036017-0.0010017i,-0.0030013-0.00053822i,-0.0035057-0.002367i,-0.0028324-0.0017435i,-0.0067596+0.0064615i,-0.00087159+0.0014967i,-1.3719e-05+0.0019663i,-0.00099721+0.0014922i,-0.00010995+0.0010944i,-0.00023417+0.0019629i,-0.0013298+0.00043471i,0.0032696-0.0020628i,0.0001123-0.00041889i,-0.00080024-0.00093453i,0.00042669-0.0010026i,0.0023017-0.00020661i,-0.0097051-0.0050909i,0.00024499+0.0013244i,0.00078936+0.0017497i,-0.00059528-0.0015998i,0.0017563-0.0026972i,-0.0021527-0.00080878i,-0.0022294-0.0014924i,0.0023263+0.0032047i,-0.00094859+0.0060832i,-0.03173+0.023144i,-0.073593-0.023356i,-0.060334+0.016202i,-0.07579+0.031744i,-0.08246+0.050665i,-0.038573+0.030045i,-0.02052+0.055239i,-0.0052786+0.019671i,-0.0478-0.0054755i,-0.063424-0.018049i,-0.019074+0.019496i,-0.0042491-0.0045115i,0.01088-0.0083268i,-0.00022281-0.01117i,-0.0063784-5.799e-06i,-0.0061521+0.02005i,0.00082902+0.0033869i,0.0063397-0.00084371i,0.0063069-0.00045103i,0.014614-0.0049531i,0.0047538+0.0028695i,0.0025648+0.0007029i,-0.0067946-0.0035669i,0.0031333+0.00501i,0.0024248+0.0051079i,0.0033503+0.0088031i,-0.0012804+0.00024453i,0.0026233-0.0039481i,0.013706-0.0048779i,-0.00028267-0.00069221i,-0.018277-0.01047i,0.0010096-0.0065075i,-0.00078372-0.0044051i,0.0043315-0.00032118i,0.0017819-0.00037509i,-9.4894e-05-0.011135i,0.0019108-0.0014155i,0.00018592+0.0074408i,0.0026403+0.00093337i,0.0024314-0.0029895i,-0.0059004-0.0054873i,-0.0039479-0.0045465i,-1.9063e-05-0.0050259i,-0.0052662-0.0061564i,-0.0078754-0.019097i,-0.070794+0.029362i,-0.0097068+0.0077097i,-0.0076284-0.015311i,-0.0095511-0.0072716i,-0.0011163+0.022771i,-0.0098332+0.013133i,-0.0011085+0.0094188i
-0.0034994+0.025377i,-0.013175+0.053371i,0.0028657+0.041812i,0.0046879+0.032786i,0.010887+0.030188i,0.036968+0.0041595i,0.020828+0.00578i,0.022994+0.020667i,0.0033394+0.018634i,0.00031472+0.0042648i,0.0010512+0.0068435i,0.0012692+0.0081127i,0.0021135+0.0068709i,0.00087604+0.0063787i,0.0051264-0.00049842i,0.0078591+0.0070286i,0.01112+0.0080848i,0.0011197-0.0015992i,-0.002886-0.0032153i,-0.0030843+0.0007569i,-0.0024318+0.00021314i,-0.0037927-0.00097266i,-0.0030148-0.00097115i,-0.0040646+0.0079391i,-0.0005378+0.0021057i,0.00087439+0.0022409i,-0.00023099+0.0019396i,-0.00047147+0.0010672i,0.00033554+0.0018912i,-0.00095065+0.00072412i,0.0031329-0.0038973i,0.00040835-0.00073865i,-0.0011632-0.00069659i,-0.00013529-0.0011328i,0.0016168-0.0010764i,-0.011144-0.001484i,0.0005476+0.0012517i,0.0011827+0.0012727i,-0.0020103-0.0013487i,0.0014978-0.0024889i,-0.0018312-0.00020458i,-0.0019642-0.00064412i,0.0026605+0.0020639i,0.00080273+0.0068322i,-0.026869+0.026018i,-0.079104-0.016424i,-0.059299+0.021632i,-0.067289+0.04303i,-0.066327+0.061998i,-0.03439+0.035212i,-0.010427+0.053413i,-0.0030899+0.016794i,-0.046825-0.00012127i,-0.063869-0.0074046i,-0.015057+0.021145i,-0.005877-0.003591i,0.0031944-0.0096184i,-0.0045018-0.011173i,-0.0051913+0.0038135i,0.00083334+0.018823i,0.00054629+0.0030654i,0.0053297-0.0044867i,0.0054965-0.0018259i,0.011173-0.010082i,0.0066014+0.00089962i,0.00367+0.00068105i,-0.0073842-0.00030396i,0.0053628+0.0055422i,0.0051118+0.0055348i,0.0081256+0.0058286i,-0.00081845+0.0010556i,0.0022005-0.0042211i,0.0076973-0.0060056i,-0.000524+0.0009545i,-0.021609-0.0021319i,-0.00056513-0.0063239i,-0.0016483-0.0025572i,0.0050504-0.00076143i,0.0015632-0.00067741i,-0.0027309-0.012303i,0.00084514-0.0018012i,0.0039185+0.0068113i,0.0034421+0.00038331i,0.0031641-0.0032779i,-0.0070659-0.0026739i,-0.0065959-0.0017756i,-0.0028168-0.0034567i,-0.0066032-0.0046565i,-0.012734-0.014383i,-0.06432+0.036337i,-0.0085217+0.0065641i,-0.008753-0.017236i,-0.010851-0.0051352i,0.00024822+0.022438i,-0.0092679+0.014172i,-0.0004935+0.0082195i
0.00024718+0.025263i,-0.003916+0.054875i,0.010847+0.041534i,0.0092694+0.031252i,0.014348+0.030016i,0.036263-0.0023867i,0.021116+0.0003864i,0.026281+0.016324i,0.0063548+0.017328i,0.0011783+0.0040574i,0.0034087+0.0055214i,0.0034031+0.0065448i,0.0039572+0.0063266i,0.002657+0.0059087i,0.0047327-0.0017172i,0.0092272+0.0039753i,0.012547+0.0035342i,-0.00010692-0.0023407i,-0.0039392-0.0020179i,-0.0018607+0.001603i,-0.0015581+0.00054585i,-0.0033841+7.9511e-05i,-0.0030636-6.5132e-05i,-0.0011658+0.0082162i,0.00019286+0.0023777i,0.0016292+0.0016872i,0.00058597+0.0020362i,-0.00031152+0.0014799i,0.00093349+0.0012852i,-0.00058921+0.00084301i,0.0010566-0.0047102i,-7.7455e-05-0.0010677i,-0.0014201-0.00015606i,-0.00062696-0.00097551i,0.00082758-0.00151i,-0.010642+0.0021738i,0.00085675+0.0010958i,0.0016126+0.00082196i,-0.0027373+0.00020723i,0.0010404-0.0027674i,-0.0016232+0.00010555i,-0.001754-0.00038546i,0.0023368+0.0012481i,0.0029658+0.0069036i,-0.022954+0.029247i,-0.086407-0.0027463i,-0.05559+0.027478i,-0.056167+0.051327i,-0.050868+0.068957i,-0.029355+0.041601i,-0.0013807+0.048529i,0.0020785+0.013718i,-0.044697+0.0057456i,-0.061486+0.0032125i,-0.011262+0.023698i,-0.0076093-0.0022944i,-0.0024777-0.0090534i,-0.0088322-0.0097744i,-0.0011238+0.0053111i,0.0045814+0.014292i,-0.0001666+0.0032641i,0.0031518-0.0075886i,0.0057637-0.0016375i,0.0051441-0.013125i,0.0067451-0.0026617i,0.0045998-0.00026625i,-0.0076147+0.0038731i,0.0085984+0.0045014i,0.0084361+0.0031778i,0.0093788+0.00061575i,0.00055463+0.001758i,0.0011507-0.0046132i,-0.00027868-0.0087281i,0.00096262+0.0022377i,-0.022793+0.007956i,-0.0024622-0.006081i,-0.0012489-0.00066375i,0.0050018-0.0038928i,0.0018699-0.0006706i,-0.0075483-0.01138i,-0.0002926-0.0013439i,0.0062262+0.0037706i,0.0038097-0.00015471i,0.0025148-0.0040744i,-0.0065864+0.0014909i,-0.0066651+0.0026037i,-0.0041678-0.0017866i,-0.0084091-0.0035726i,-0.014965-0.0086921i,-0.058994+0.042738i,-0.0081405+0.0090186i,-0.012679-0.020566i,-0.0091197-0.0031352i,0.0035282+0.022063i,-0.0085828+0.017766i,0.0017674+0.0063225i
0.0044063+0.024102i,0.0052814+0.054124i,0.018072+0.038643i,0.013457+0.029194i,0.01913+0.028824i,0.034768-0.008418i,0.019921-0.0046857i,0.028311+0.010947i,0.0090503+0.01575i,0.0018078+0.0039387i,0.0043241+0.0040765i,0.0042793+0.0047859i,0.0057453+0.0048543i,0.0040285+0.004701i,0.0039021-0.0027001i,0.0090337+0.0011247i,0.01226-0.0006956i,-0.0011248-0.0019045i,-0.0039269-0.00065726i,-0.00065971+0.0015446i,-0.00080183+0.00035126i,-0.0029045+0.0005737i,-0.0025332+0.0007309i,0.0013266+0.0081515i,0.0011315+0.0019286i,0.0020923+0.0011157i,0.001258+0.001628i,0.00045634+0.0016384i,0.0010106+0.00052658i,-0.00046579+0.00093654i,-0.00090732-0.004287i,-0.0006886-0.00093553i,-0.0013414+0.00040107i,-0.0010401-0.00057569i,2.5444e-05-0.0015737i,-0.0097553+0.0049172i,0.0010586+0.00059936i,0.0017537+9.1179e-05i,-0.0024741+0.001702i,0.00039259-0.0030905i,-0.0013066+0.00039204i,-0.0018355-0.00062887i,0.0019694+0.00093407i,0.0052255+0.006347i,-0.018273+0.032092i,-0.088047+0.017098i,-0.052982+0.03189i,-0.045676+0.055952i,-0.034213+0.073258i,-0.02081+0.048034i,0.005799+0.042927i,0.0046288+0.0064347i,-0.039606+0.010702i,-0.055233+0.01348i,-0.0041952+0.025182i,-0.0087161+0.00028534i,-0.0079314-0.0059724i,-0.012444-0.0065637i,0.0017793+0.0035044i,0.0057512+0.012011i,-0.0016247+0.0044653i,-0.00038355-0.010498i,0.006785-0.0039228i,-0.0013246-0.012037i,0.0045695-0.0050805i,0.0051434-0.0023487i,-0.0057682+0.0069975i,0.010862+1.0697e-05i,0.0090689-0.0016363i,0.0081545-0.0041589i,0.0025322+0.00095787i,1.0433e-05-0.0046255i,-0.0044985-0.0053846i,0.0028942+0.0012286i,-0.012256+0.036782i,-0.0047696-0.0066556i,0.00012583+0.00037406i,0.0023871-0.0054903i,0.0019484-0.00085535i,-0.011518-0.0074482i,-0.00018598-8.5103e-05i,0.00677-9.2625e-05i,0.0033264-0.0013339i,0.0014438-0.0041418i,-0.004063+0.0045999i,-0.0040719+0.0058624i,-0.0044262+0.0014405i,-0.010478-0.0011706i,-0.015043-0.0046664i,-0.051871+0.05149i,-0.0014872+0.011476i,-0.019318-0.020364i,-0.0069215-0.0045252i,0.0058445+0.020676i,-0.0055571+0.021509i,0.002318+0.0022791i
0.0085388+0.021877i,0.014397+0.051719i,0.024365+0.034561i,0.017545+0.02721i,0.024647+0.026755i,0.03262-0.014515i,0.017626-0.0087473i,0.029451+0.0056832i,0.011768+0.013732i,0.0029856+0.003911i,0.0048515+0.002978i,0.0043005+0.0034425i,0.0060903+0.0027726i,0.0049358+0.0035319i,0.0029818-0.0033679i,0.0082049-0.0010364i,0.010028-0.004527i,-0.0016759-0.0011164i,-0.0031451+0.00023892i,2.9752e-05+0.0013147i,-0.0008893-0.00011573i,-0.0026703+0.0010563i,-0.0019355+0.0010261i,0.0043045+0.0075871i,0.0012941+0.0010335i,0.0024039+0.0005489i,0.001954+0.0010824i,0.0010968+0.0011971i,0.00067705-4.4606e-05i,-0.00042612+0.00081917i,-0.0020512-0.0033673i,-0.00082614-0.00051023i,-0.0010318+0.0008117i,-0.001085+0.00012385i,-0.00074293-0.0012189i,-0.0074296+0.0079636i,0.0011324+0.00020004i,0.0014011-0.00066314i,-0.0011636+0.0029817i,-0.00054618-0.0031242i,-0.0011088+0.00047115i,-0.0022135-0.00025775i,0.0017922+0.00075118i,0.0064806+0.0047472i,-0.01275+0.034492i,-0.080824+0.03543i,-0.051789+0.038311i,-0.036919+0.059209i,-0.01838+0.072497i,-0.0088187+0.051432i,0.013391+0.038558i,0.0027374-0.0011034i,-0.035865+0.011012i,-0.046322+0.019454i,0.001246+0.023711i,-0.0077615+0.0023023i,-0.010247-0.00049302i,-0.014486-0.0031633i,0.0022931+0.00036293i,0.006892+0.010301i,-0.0013831+0.0084871i,-0.0058284-0.011826i,0.0051675-0.0075867i,-0.0062978-0.0068509i,0.001818-0.0064921i,0.0038779-0.0041768i,-0.0015841+0.0096947i,0.0098145-0.004598i,0.0054304-0.0056925i,0.0029703-0.0068863i,0.0029546-0.00055434i,-0.0013444-0.0045369i,-0.0039862-0.00072263i,0.0025702-0.00030274i,-0.011404+0.029799i,-0.0046906-0.0040281i,0.0020361+0.00027667i,0.00032011-0.0059388i,0.002385-0.0014187i,-0.013117-0.0025637i,0.00056607+0.00023927i,0.0049132-0.0030255i,0.0033058-0.00091949i,0.00072124-0.0039028i,-0.00018495+0.0057226i,-0.00029037+0.0064283i,-0.0030641+0.0037838i,-0.011697+0.002624i,-0.015357-0.0022564i,-0.039907+0.057276i,0.0016538+0.004386i,-0.023623-0.017002i,-0.0065217-0.0033902i,0.0094808+0.020022i,-0.0018653+0.022736i,-0.00051467-0.0012809i
0.011166+0.01812i,0.022692+0.047241i,0.030116+0.030363i,0.022301+0.024777i,0.030458+0.022644i,0.029323-0.02027i,0.015007-0.01216i,0.030095+0.0001976i,0.013958+0.011089i,0.0041203+0.002643i,0.0054978+0.001696i,0.0043281+0.0032217i,0.0061417+0.0015018i,0.0055452+0.0023227i,0.0019185-0.0037925i,0.0070349-0.0026651i,0.0071441-0.0064623i,-0.0012433-0.00082369i,-0.0026804+0.00035653i,0.00063229+0.00045861i,-0.0011989-0.00020776i,-0.0023725+0.0015078i,-0.001568+0.0010932i,0.0077144+0.005128i,0.0013199+0.0011169i,0.0027948-0.00050902i,0.0020506+0.00011311i,0.0013536+9.4541e-05i,0.00028479-5.6727e-06i,-0.00032981+0.00091265i,-0.0033172-0.0021556i,-0.0013616-0.00047277i,-0.00068968+0.0011064i,-0.00087965+0.00052607i,-0.0011216-0.00023468i,-0.0041967+0.0093237i,0.00087254-0.00022891i,0.00098666-0.00096616i,0.00028193+0.0023305i,-0.0013719-0.0024052i,-0.00094134+0.00056822i,-0.0022234+0.00044595i,0.0016283+0.00071043i,0.0068912+0.0037522i,-0.0061514+0.035952i,-0.069118+0.049013i,-0.047558+0.047627i,-0.027259+0.063015i,-0.0025011+0.069713i,0.0020373+0.049649i,0.011073+0.033568i,-0.0025554-0.0053049i,-0.036298+0.012381i,-0.037691+0.021798i,0.0074831+0.021428i,-0.0082689+0.0047379i,-0.0096375+0.0049221i,-0.013895+8.074e-05i,0.001141-0.00091244i,0.0087921+0.0089389i,0.0028382+0.011173i,-0.011674-0.010825i,0.00033696-0.0077709i,-0.0057788-0.0031505i,-0.0017868-0.0059003i,0.0013182-0.0056507i,0.0025537+0.0077588i,0.0064917-0.0065821i,0.0007891-0.0062015i,-0.00056659-0.0044646i,0.0037949-0.0011956i,-0.0026419-0.0037031i,-0.0018095+0.0014481i,0.0030351-0.0007973i,0.0049489+0.02301i,-0.0052723-0.0032609i,0.0024385-0.0019792i,-0.0022536-0.0057354i,0.0027366-0.0022753i,-0.012425+0.0025629i,0.001139+0.00061041i,0.0031646-0.002839i,0.0035322-0.0024342i,0.00030169-0.003348i,0.001324+0.0027105i,0.0022458+0.0051538i,-0.00062369+0.0051143i,-0.010648+0.0058352i,-0.016745+0.0012622i,-0.028326+0.058388i,0.0015095+0.0047494i,-0.028467-0.011612i,-0.008603-0.0090008i,0.012155+0.018813i,0.0025395+0.024125i,-0.0034389-0.0033673i
0.012588+0.015024i,0.029257+0.040822i,0.0357+0.023406i,0.027918+0.019678i,0.03607+0.017072i,0.024699-0.02563i,0.01161-0.015318i,0.029712-0.0060301i,0.015976+0.0083663i,0.0041503+0.0011923i,0.0053431-5.999e-05i,0.0052649+0.0029119i,0.0059088-6.812e-06i,0.0058929+0.00060606i,0.00078804-0.0039843i,0.0055161-0.0038477i,0.0049274-0.0076062i,-0.0014655-0.000824i,-0.0020058+0.0015369i,0.00045615-0.00056172i,-0.0017868-7.9712e-05i,-0.0019099+0.0021363i,-0.0014407+0.001213i,0.0087266+0.0011505i,0.0020562+0.00056389i,0.0020158-0.0016555i,0.0016327-0.00057735i,0.0012747+5.7711e-05i,0.00024996+8.4341e-05i,-0.00017616+0.0011795i,-0.0038291-0.00025796i,-0.0020325+0.00050952i,-0.00014196+0.001322i,-0.00053762+0.0010164i,-0.00072268+0.00046593i,-0.00058063+0.0095098i,0.00068643-0.00033309i,0.00055187-0.001151i,0.00095317+0.0016256i,-0.0019973-0.0017815i,-0.00077455+0.00062354i,-0.0020919+0.0010725i,0.0016369+0.00098569i,0.0078601+0.002416i,0.0019218+0.035831i,-0.056651+0.059157i,-0.038809+0.055741i,-0.01605+0.064224i,0.011753+0.062846i,0.011827+0.047465i,0.010923+0.029001i,-0.0076179-0.0061471i,-0.036424+0.016729i,-0.030555+0.02091i,0.012161+0.017019i,-0.0076015+0.0070061i,-0.0075154+0.0078851i,-0.011681+0.0040657i,-0.00067749-0.0026692i,0.01082+0.0065133i,0.0077216+0.010474i,-0.016481-0.0063766i,-0.0017901-0.0053271i,-0.0050999-0.00055861i,-0.0034221-0.0039245i,-0.0012499-0.0045896i,0.0049301+0.0066855i,0.0038869-0.0068459i,-0.0025131-0.0041322i,-0.00054439-0.0016863i,0.0036794-0.0036243i,-0.0037951-0.0023331i,-0.0001224+0.0013197i,0.0023552-0.0017517i,0.01344+0.017637i,-0.0069238-0.0013452i,0.0020951-0.0029746i,-0.0029883-0.0041355i,0.0029201-0.0038302i,-0.0090774+0.0072537i,0.0022932+0.00059161i,0.0019624-0.0034789i,0.0019066-0.0030429i,0.001711-0.0038845i,0.00074624+0.0020501i,0.003708+0.0031922i,0.0017288+0.0052721i,-0.0088929+0.0082013i,-0.017074+0.006105i,-0.01969+0.057401i,0.0046485+0.0046188i,-0.030119-0.0059518i,-0.011992-0.011097i,0.016556+0.015084i,0.0084558+0.024758i,-0.0060734-0.0024756i
0.013422+0.01254i,0.033075+0.03446i,0.03831+0.015626i,0.031113+0.012531i,0.039988+0.0089565i,0.018574-0.029489i,0.0073875-0.017129i,0.027295-0.011926i,0.017417+0.0050118i,0.0035169+0.00058958i,0.0047046-0.00077643i,0.0060097+0.001702i,0.0051798-0.00097278i,0.0053379-0.00092986i,-0.00057648-0.0038545i,0.0038826-0.0042727i,0.0019975-0.0076586i,-0.0015777-0.00047026i,-0.0012594+0.0022323i,-0.0003494-0.00092894i,-0.0020762+0.00070247i,-0.0012593+0.0028173i,-0.0012627+0.0015071i,0.0074295-0.0023093i,0.0018911-0.00027426i,0.0010097-0.001852i,0.0010306-0.00092148i,0.0010607-0.00076066i,0.00029328-5.8408e-05i,0.00021397+0.0013174i,-0.00346+0.0017121i,-0.0013151+0.0015466i,0.00038145+0.0012145i,-0.00023401+0.0010948i,-0.00027925+0.00082049i,0.0020109+0.0090759i,0.00047499-0.00057084i,0.00019645-0.0013561i,0.0011084+0.0010911i,-0.0023347-0.0010724i,-0.00063236+0.00075648i,-0.001605+0.0016156i,0.0022198+0.0010012i,0.0087207+0.00090625i,0.009064+0.032213i,-0.042039+0.066767i,-0.029423+0.06131i,-0.0070995+0.063439i,0.02382+0.052023i,0.021658+0.04145i,0.0096211+0.026816i,-0.01366-0.0044062i,-0.035518+0.02272i,-0.026444+0.018691i,0.015429+0.011089i,-0.0058103+0.0096833i,-0.0043887+0.011326i,-0.010465+0.007464i,-0.0044639-0.0016827i,0.012508+0.0027403i,0.011743+0.0073604i,-0.018668-0.00080213i,-0.0027123-0.0037568i,-0.0035689+0.00094375i,-0.0038298-0.0015039i,-0.00254-0.0032423i,0.0069246+0.0034457i,0.0015586-0.0069084i,-0.0041274-0.00085891i,0.00080002-0.00063845i,0.0016264-0.0055251i,-0.0050562-0.00062628i,0.0011412+0.0010438i,0.0019886-0.0022521i,0.018645+0.008796i,-0.0070492+0.0022138i,0.0016184-0.0040631i,-0.0036796-0.0023274i,0.0013204-0.0057772i,-0.0040337+0.0087293i,0.0035224-0.00059732i,0.0010124-0.0028316i,0.0007823-0.0028946i,-0.0039664-0.0056468i,0.00063464+0.0021821i,0.0035405+0.00095218i,0.0039111+0.0047294i,-0.0063085+0.010118i,-0.015504+0.010936i,-0.012295+0.057624i,0.010517+0.00093279i,-0.02944-0.00018809i,-0.01726-0.010994i,0.017609+0.010406i,0.014955+0.02203i,-0.0056139-0.00084314i
0.014673+0.010502i,0.036657+0.029067i,0.039379+0.0086821i,0.032411+0.0053593i,0.041264+0.00016501i,0.01261-0.031817i,0.003296-0.017184i,0.024028-0.016467i,0.018209+0.0011394i,0.0032188+0.00018406i,0.0042688-0.001294i,0.0064825+0.00033235i,0.0046288-0.0012812i,0.0044729-0.0020892i,-0.0016843-0.0029472i,0.0026467-0.0040556i,-5.7685e-05-0.0070094i,-0.0017115+9.1553e-05i,-0.00073457+0.0020582i,-0.001131-0.00068847i,-0.0018777+0.0012728i,-4.2486e-05+0.0032182i,-0.0009201+0.0019289i,0.0050974-0.0045975i,0.0014075-0.00060751i,0.0003512-0.0017676i,0.00054897-0.0010288i,0.0002716-0.0006504i,0.00014479-6.4516e-05i,0.00083276+0.0012393i,-0.002013+0.0029726i,-0.00051213+0.0019107i,0.00074865+0.00083553i,0.00017202+0.0013859i,0.00042057+0.00082878i,0.0053989+0.0072943i,0.00021849-0.0004967i,-0.00044007-0.0013469i,0.0015355+0.00069028i,-0.0023617-0.00017648i,-0.0004595+0.00066401i,-0.0010602+0.0019372i,0.0027433+0.0005672i,0.0085473-0.0015991i,0.013745+0.027343i,-0.025954+0.070287i,-0.017735+0.065689i,0.0021996+0.063115i,0.029929+0.039185i,0.02757+0.033812i,0.010032+0.028427i,-0.017229+0.0019931i,-0.032912+0.030557i,-0.02532+0.017062i,0.01423+0.0053626i,-0.0027065+0.011398i,0.0008648+0.011835i,-0.0088271+0.0099523i,-0.0055364+0.0017651i,0.012183-0.0025216i,0.014333+0.0028256i,-0.019175+0.0061721i,-0.0026923-0.0016316i,-0.0026494+0.0016558i,-0.0027376+8.6768e-05i,-0.0037948-0.0013402i,0.0065935+0.00075137i,-0.00075852-0.0062432i,-0.0033669+0.0029483i,0.0023756-0.0013306i,-0.00091528-0.0056823i,-0.0038159+0.0013581i,0.0021287+0.0001498i,0.001615-0.0026428i,0.019197+0.00069487i,-0.0044203+0.00473i,0.00058752-0.0053508i,-0.0027197-0.0013889i,-0.001182-0.0061856i,-0.00058925+0.0077404i,0.0031317-0.0025881i,0.00094042-0.0015248i,0.00063028-0.0020246i,-0.0016696-0.0022468i,0.0012364+0.0020543i,0.0020768-0.00025915i,0.0048301+0.0027159i,-0.003702+0.0099093i,-0.011764+0.016072i,-0.0039481+0.057019i,0.012346-0.0093059i,-0.026072+0.0021307i,-0.02296-0.0088537i,0.018528+0.0059766i,0.01973+0.016283i,-0.0061198-0.0013278i
