-0.024385-0.040867i,-0.0098712-0.048595i,-0.016628-0.045964i,-0.030639-0.035767i,-0.029677-0.016669i,-0.050404-0.028403i,-0.058189-0.026479i,-0.044372-0.038926i,-0.028769-0.036819i,0.0066785+0.013571i,-0.0049689+0.015306i,-0.0055022+0.014663i,0.0095745+0.021865i,0.00031688+0.0045002i,0.0034544+0.0032913i,0.0062712+0.017929i,0.027001+0.039548i,-0.0022165-0.00063315i,-0.0040769-0.0063755i,0.0083581+0.0017089i,-7.4058e-05-0.00081391i,-0.00083072+0.0014838i,0.00027107-0.00048785i,-0.030797-0.0024941i,-0.0012608-0.0057812i,0.0018697+0.0048255i,0.0038147-0.00037339i,-0.00033206+0.0006342i,0.00049886-0.00069592i,-0.00024688-0.0025471i,-0.0018289-0.0060667i,-0.0041027-0.0042752i,-0.0021811-0.0051705i,0.0021492-0.00089783i,0.0024047-0.0029764i,0.0021444+0.026061i,0.0022823-0.0030442i,0.0029084+0.00016025i,0.0061628+0.001042i,-0.010341-0.0031658i,-0.0023817+0.00098223i,0.0070788+0.0016363i,0.0046762+0.00091017i,-0.0041422+0.0062502i,0.00081003-0.0081869i,-0.012026+0.017541i,0.036725-0.091016i,0.012512-0.069927i,-0.015462-0.059887i,-0.016534-0.055696i,0.039764-0.046327i,0.017527-0.062426i,0.034156-0.056115i,0.030281-0.06098i,0.015746-0.013083i,0.0043835+0.016605i,0.016805-0.026058i,-0.011406+0.0056241i,-0.00053811+0.0052923i,-0.005252-0.0010478i,-0.0024992-0.029288i,-0.023865+0.031956i,0.010563-0.011062i,-0.012938-0.0027428i,-0.00027971-0.0049682i,-0.0011405-0.01634i,-0.0076251+0.0046318i,0.0052728+0.0064719i,-0.008518+0.031507i,0.0046545+0.005828i,-0.0050234-0.00055973i,-0.0030221-0.000442i,-0.01229-0.0074407i,-0.00062847-0.0042857i,-0.030136+0.0062929i,9.791e-06-0.0098797i,-0.0093279-0.0020534i,-0.0065577-0.0026726i,0.0068881+0.0030659i,-0.007549+0.0013798i,-5.605e-05+0.00060374i,0.0058558+0.010994i,0.0042357+0.001017i,-0.009616-0.010213i,0.0029528+0.0083809i,-0.021073+0.0066186i,0.0082772+0.00093739i,-0.029807-0.0042639i,-0.042855+0.0022974i,0.020019-0.09679i,-0.0016176-0.012244i,-0.052908-0.021574i,-0.023013+0.00079522i,0.018419+0.011145i,-0.024618+0.012914i,-0.018953-0.013346i
-0.030186+0.01992i,-0.053647+0.019157i,-0.032265+0.045756i,-0.031193+0.02473i,-0.028045+0.039427i,0.0053162+0.046683i,-0.0029777+0.023536i,-0.016539+0.038788i,-0.013821+0.022262i,-0.0032911-0.0064814i,-0.004023-0.0029525i,-0.0015404-0.0034621i,-0.0035254-0.00071258i,-0.0067024-0.0045306i,-0.0018946+0.0041598i,-0.0030639-0.0017562i,-0.011326-0.0036865i,-0.002102-0.00039524i,0.0031207-0.0013706i,0.0021168-0.00067149i,0.0025446-0.0035198i,0.0023493-0.0039305i,0.0016009-0.0026604i,-0.0089655-0.0083703i,-0.0019623+0.00054093i,-0.0041292+0.0019943i,-0.0017879-0.00033461i,-0.0034322-0.0011334i,-0.0012269-0.0017156i,0.0011851-0.0014983i,-0.0022072+0.0059008i,0.0016843+0.00034322i,0.0029445-1.5819e-05i,0.0011762+0.0012663i,-0.0014127+0.0035372i,-0.00083319-0.0064122i,-0.001293+0.0012227i,0.00063283-0.00015825i,-5.9695e-05+0.0038029i,0.0073979+0.005032i,0.0014677-0.0022433i,0.0012118-0.0036071i,-0.004054+0.00032808i,0.00093253+0.0021287i,-0.030758-0.0062035i,0.011407-0.0795i,-0.093147-0.029785i,-0.051802-0.036168i,-0.075791-0.050203i,-0.058442-0.0062373i,-0.093922+0.018325i,-0.059074+0.011196i,-0.048977-0.025528i,-0.032578-0.056285i,-0.025692-0.030016i,0.0028494+0.00493i,-0.018467+0.010699i,0.0092022+0.0035943i,0.011236+0.0043169i,0.00063212-0.0069725i,0.0086038+0.00079023i,-0.0076806-0.0033546i,0.0024771+0.01449i,-0.00091854+0.008913i,0.00079716+0.0014707i,0.0057473+0.0034331i,0.0021012-0.00057728i,-0.00061069+0.01535i,0.00052197+0.010828i,0.0027367-0.0056306i,0.010497-0.0070647i,0.0024101+0.0024231i,-0.0080621-0.00739i,-0.0017525-0.0024171i,0.018426-0.027009i,0.0058351+0.0035306i,0.0032447+0.0044831i,-0.0031779+0.0025338i,0.0021698-0.0037256i,0.021349+0.0019688i,0.0019619-0.003027i,-0.00082723-0.0091971i,0.00067455-0.0024579i,0.012493+0.0032865i,0.0050442-0.00016493i,0.0044788-0.0067567i,0.00286+0.0083924i,0.0047642-3.234e-05i,0.02501+0.0043582i,-0.081606-0.036753i,-0.0059876+0.018957i,0.007024-0.0036973i,-0.0016813+0.0030303i,-0.035736+0.012634i,-0.0069432+0.0066799i,-0.016952+0.013551i
-0.025407+0.023339i,-0.049739+0.024621i,-0.021195+0.044405i,-0.026955+0.028738i,-0.021579+0.040785i,0.013943+0.043886i,8.1273e-05+0.023225i,-0.0089405+0.04004i,-0.0090523+0.01947i,-0.0054546-0.004157i,-0.0042086-0.00051609i,-0.0025528-0.003804i,-0.0042784-0.00033812i,-0.0070175-0.0017578i,-0.00067692+0.0050725i,-0.0054186+0.0004477i,-0.013344+0.0018234i,-0.0017855+0.00064367i,0.0033687-0.0021118i,0.002162-0.0017625i,0.0014804-0.0039776i,0.0015059-0.0039702i,0.001075-0.0027996i,-0.010419-0.005233i,-0.0012388+0.00096243i,-0.0033736+0.003281i,-0.0014047+0.00031756i,-0.0034046+4.8374e-05i,-0.0019033-0.0015164i,0.00068274-0.0015307i,0.000363+0.0065436i,0.0013627-0.00014715i,0.0023741-0.0012074i,0.0009407+0.001149i,-0.0012543+0.0029595i,-0.001224-0.0057789i,-0.00073222+0.0010819i,-0.00030599-0.00054053i,0.00031239+0.0042606i,0.0075387+0.00090609i,0.00077895-0.0025202i,-0.00087094-0.003938i,-0.0043923+0.0015237i,0.0015355+0.0020929i,-0.031163-0.0059876i,-0.013433-0.089898i,-0.090025-0.011359i,-0.061088-0.034546i,-0.087842-0.038699i,-0.057791+0.0040168i,-0.084183+0.036081i,-0.055235+0.023503i,-0.041404-0.025027i,-0.039458-0.051459i,-0.033955-0.018685i,0.004194+0.0020062i,-0.012151+0.019482i,0.0091865-0.00033609i,0.012143-0.0019152i,-0.0050173-0.010836i,0.0039415+0.00052537i,-0.0075973+0.002645i,0.0082383+0.012222i,0.0014823+0.010998i,0.0006989+0.0011695i,0.0071711+0.0033972i,0.002587+0.00025631i,0.0057577+0.011421i,0.0053605+0.0064055i,-0.0026935-0.0073059i,0.0034512-0.0080869i,0.0033542+0.0028512i,-0.010937-0.00025726i,-0.0023153-1.5828e-05i,0.0060465-0.028019i,0.0068642+0.002815i,0.0069828+0.0027109i,-0.0004714+0.0025328i,-0.00044859-0.0013365i,0.018443-0.0076548i,-7.181e-05-0.0034624i,-0.0053942-0.0073511i,-0.0027283-0.0018477i,0.010862-0.0015868i,0.0046279+0.00028711i,0.0018825-0.0048679i,0.0055801+0.0070466i,0.0036838-0.00055282i,0.02395-0.0035262i,-0.086509-0.026714i,0.0021062+0.0088032i,0.0056621-0.0063175i,-0.00063754+0.00096172i,-0.028751+0.022413i,-0.0051787+0.0073962i,-0.013231+0.016282i
-0.019824+0.025108i,-0.046444+0.030162i,-0.014498+0.040345i,-0.022289+0.030998i,-0.014181+0.042748i,0.021623+0.038944i,0.0036174+0.022922i,-0.0012162+0.03934i,-0.0080226+0.017182i,-0.0065089-0.0015307i,-0.0029776+0.0011295i,-0.0059904-0.0033973i,-0.0047565+0.0015061i,-0.0071284+0.00026109i,0.0012003+0.005541i,-0.0060758+0.004043i,-0.011896+0.0080033i,-0.00034562+0.0016014i,0.0032181-0.0038476i,0.0018436-0.0029663i,0.00013004-0.0044451i,0.00058767-0.0046311i,0.00059802-0.0030155i,-0.011404-0.0024502i,-0.001003+0.0011792i,-0.0016955+0.0045911i,-0.0010313+0.00022211i,-0.0027416+0.001481i,-0.0022896-0.00088148i,-0.00015973-0.0023149i,0.0029434+0.0056315i,0.0010202-0.00038058i,0.0016503-0.0016946i,0.00136+0.00072895i,-0.00020158+0.0039593i,-0.0013394-0.005618i,-0.0010232+0.00078016i,-0.00081964-0.00034744i,0.0036214+0.0029211i,0.0060047-0.0016751i,0.00012712-0.0024396i,-0.0011749-0.0020919i,-0.0046514+0.0026858i,0.0018713+0.0008322i,-0.033863-0.0037622i,-0.042955-0.088022i,-0.08011+0.0022151i,-0.070973-0.027056i,-0.095048-0.023259i,-0.053373+0.012706i,-0.069069+0.048167i,-0.04086+0.033752i,-0.045342-0.026481i,-0.045732-0.047307i,-0.035316-0.0062875i,0.0041962-0.0010872i,-0.0025501+0.021828i,0.0083451-0.0031324i,0.0080745-0.0073531i,-0.015002-0.0088539i,0.002653-9.6017e-05i,-0.0037286+0.0059474i,0.011276+0.0070729i,0.0048492+0.011801i,-0.00011106+0.0017923i,0.0077779-0.00067031i,0.004378-0.0012805i,0.0074608+0.0063037i,0.0048702+0.0020391i,-0.0078348-0.003161i,0.00083423-0.0062597i,0.0054331+0.0018446i,-0.0069756+0.0089927i,-0.00062595+0.0013191i,-0.0033687-0.024796i,0.0087747-0.00017033i,0.0067501-0.00068733i,0.00036776+0.0022111i,0.00080416+0.00032936i,0.011782-0.012289i,-0.0026649-0.00041179i,-0.0084077-0.0039619i,-0.0034116+0.0017151i,0.006804-0.0043876i,0.0074867-0.0017051i,0.0026449-0.005041i,0.0090953+0.0038638i,0.0050261-0.002612i,0.020374-0.010489i,-0.090109-0.012586i,-0.00038152-0.0011082i,0.0054667-0.0087167i,-0.00024476-0.0014374i,-0.019029+0.026287i,-0.0053651+0.003227i,-0.0083498+0.013252i
-0.014243+0.024556i,-0.041776+0.036551i,-0.011098+0.036896i,-0.017466+0.033798i,-0.0058006+0.0418i,0.027807+0.032615i,0.0078662+0.022133i,0.0055359+0.036802i,-0.0077361+0.017457i,-0.0063407+0.0011872i,-0.0022182+0.0011584i,-0.008045+0.00064257i,-0.0043978+0.00316i,-0.007149+0.002824i,0.0029618+0.0049522i,-0.0044886+0.0077924i,-0.0071889+0.012752i,0.0008764+0.0008949i,0.0014611-0.0049004i,0.00030956-0.004267i,-0.0014982-0.0042035i,-0.00059172-0.0046705i,-0.00011176-0.0035094i,-0.011565+0.0011345i,-0.00037859+0.00097187i,0.00085017+0.0037184i,-0.0010847+0.00013019i,-0.0015771+0.0018968i,-0.0025043+0.00013856i,-0.0016105-0.0017511i,0.0045275+0.003895i,0.00057631-0.00044481i,0.00088378-0.0020762i,0.0014196+9.3454e-05i,0.0019081+0.0035116i,-0.0021909-0.0070355i,-0.00072085+0.0013633i,-0.0011685+8.9067e-05i,0.0034943-0.00064722i,0.0041986-0.0026659i,-0.00029349-0.0023766i,-0.00069355-0.0018454i,-0.003863+0.0045385i,-0.00056417-0.0010789i,-0.036349+0.00017295i,-0.067673-0.071494i,-0.070132+0.0077838i,-0.078688-0.015535i,-0.099108-0.0065472i,-0.047381+0.018415i,-0.054969+0.054093i,-0.026302+0.033027i,-0.048801-0.020665i,-0.051996-0.040387i,-0.033214+0.0029265i,0.0023184-0.0035002i,0.0058954+0.019788i,0.0070347-0.0059051i,0.0024076-0.0087959i,-0.020725+0.00075605i,-0.00036604+0.00086674i,0.00020109+0.005395i,0.010895+0.0015139i,0.0095344+0.011211i,0.000459+0.0029847i,0.0047933-0.0022058i,0.0044099-0.0047799i,0.0063706+0.0017547i,0.0022114+0.00052004i,-0.0077538+0.00091012i,-0.0013066-0.005018i,0.0059218-0.00034682i,0.002941+0.010234i,0.00029399+0.00069474i,-0.0084294-0.019398i,0.007722-0.0031617i,0.0060934-0.0029468i,0.0018732+0.0029122i,0.0014373+7.9786e-05i,0.0061688-0.012478i,-0.00033011+0.0018061i,-0.0096211+0.00053365i,-0.0010092+0.0035087i,0.0040312-0.0042359i,0.0065788-0.0053595i,0.00058198-0.0054736i,0.008971-0.0017457i,0.0033571-0.0057464i,0.015682-0.016316i,-0.087382+0.0028021i,-0.0072384-0.0049484i,0.0031346-0.013262i,-0.0010214-0.0042709i,-0.012354+0.025937i,-0.0088047+0.0031846i,-0.0077295+0.011809i
-0.010671+0.023565i,-0.036281+0.041828i,-0.009986+0.035498i,-0.011256+0.0358i,0.0010385+0.038994i,0.031941+0.02562i,0.012398+0.019837i,0.011256+0.033555i,-0.0057191+0.018891i,-0.004855+0.003338i,-0.0025245+0.001914i,-0.0071928+0.0043646i,-0.003507+0.0046506i,-0.0055515+0.005586i,0.004473+0.0038749i,-0.0012033+0.0099498i,-0.0013538+0.014397i,0.0011128+9.9973e-05i,0.00023205-0.004787i,-0.0018317-0.0041i,-0.0028559-0.0034023i,-0.0019476-0.0042479i,-0.001531-0.0034701i,-0.0095252+0.0039366i,-0.00066695+0.00037841i,0.0010993+0.0017462i,-0.0011967+0.0002731i,-0.00082315+0.0019329i,-0.0021484+0.0012103i,-0.0016387-0.00044961i,0.0050693+0.0018339i,0.00045509-0.00060487i,-0.00010351-0.0020158i,0.0010017-0.00040813i,0.0025488+0.0020461i,-0.0046766-0.0073283i,-0.0003591+0.0016116i,-0.0011848+0.0010251i,0.0012037-0.0016696i,0.0028025-0.0024367i,-0.00081103-0.0024038i,-0.00086349-0.001863i,-0.0020398+0.0057897i,-0.0032293+0.0011872i,-0.037286+0.0066626i,-0.077082-0.047766i,-0.064325+0.0090287i,-0.083533-0.0013563i,-0.099772+0.011923i,-0.042968+0.021258i,-0.041226+0.057231i,-0.016844+0.029733i,-0.049784-0.015118i,-0.055658-0.033142i,-0.029831+0.011036i,0.00010835-0.0046627i,0.014688+0.014461i,0.0049922-0.0075279i,-0.002667-0.0072187i,-0.019653+0.010152i,-0.00068957+0.0032843i,0.0027864+0.0053323i,0.0069597-0.00074706i,0.013963+0.0079049i,0.0015754+0.0032932i,0.0027342-0.0014568i,0.001996-0.0073218i,0.0032861+0.0010639i,0.00026164+0.0018471i,-0.0066835+0.0052073i,-0.0028866-0.0024156i,0.0051568-0.0024122i,0.0077399+0.0054333i,0.00054004+0.00039745i,-0.010991-0.016755i,0.0058015-0.005432i,0.004331-0.0049578i,0.0046625+0.0020367i,0.0017955-8.2029e-05i,0.0030115-0.011456i,0.0014261+0.0015333i,-0.0073804+0.0059342i,0.0014597+0.0032583i,0.0033221-0.0034694i,0.0034773-0.0094272i,0.00017416-0.0045994i,0.005599-0.0049909i,-0.0001674-0.0068933i,0.008278-0.0217i,-0.081106+0.012902i,-0.015055-0.0011716i,-0.0015114-0.015921i,-0.002711-0.0068505i,-0.0075916+0.025221i,-0.01196+0.0058708i,-0.0067161+0.012254i
-0.0081755+0.022665i,-0.030013+0.046685i,-0.0084861+0.037244i,-0.0049308+0.03526i,0.0055381+0.035053i,0.034853+0.018817i,0.016595+0.01603i,0.016101+0.029759i,-0.003123+0.018937i,-0.0032949+0.0038998i,-0.0028212+0.0032787i,-0.0052043+0.0068948i,-0.0020972+0.0061362i,-0.0030329+0.0067213i,0.0052105+0.0023196i,0.0024193+0.010327i,0.0047941+0.013385i,0.0013664-0.00022862i,-0.0011696-0.0048862i,-0.003263-0.0029652i,-0.003277-0.0018696i,-0.0027534-0.0033921i,-0.0024544-0.0026306i,-0.0079327+0.0050652i,-0.0012999+0.00081699i,0.00053447+0.0011836i,-0.0015078+0.00065483i,-9.518e-05+0.0015464i,-0.001276+0.0017401i,-0.0012861+0.00012568i,0.0050705+5.8754e-05i,0.00022181-0.00074652i,-0.00072137-0.0015417i,0.00058325-0.00073411i,0.0025658+0.0014452i,-0.0073011-0.0062898i,-0.00015083+0.0014444i,-0.00046224+0.0016543i,5.2774e-05-0.001557i,0.0021235-0.001928i,-0.0014712-0.0019644i,-0.0014742-0.0016897i,0.00024958+0.0059173i,-0.0027782+0.0046187i,-0.036484+0.01395i,-0.075164-0.03053i,-0.061792+0.011559i,-0.08356+0.015927i,-0.094084+0.032371i,-0.041387+0.024212i,-0.029505+0.05668i,-0.0093008+0.025431i,-0.048929-0.008742i,-0.059512-0.026353i,-0.024729+0.015735i,-0.003284-0.0045372i,0.017749+0.0023269i,0.0031531-0.0095102i,-0.0059227-0.00341i,-0.013881+0.017651i,0.00079091+0.003829i,0.0062101+0.0032044i,0.005485+0.00023178i,0.017344+0.00099553i,0.0025602+0.0034077i,0.0022257-0.00078715i,-0.0028258-0.0092007i,0.0020162+0.0026509i,0.00067521+0.003965i,-0.0022308+0.0088581i,-0.0018092-7.9799e-05i,0.0037501-0.0033671i,0.008652+0.00066198i,0.001158-0.00030144i,-0.016077-0.015132i,0.0031094-0.0064157i,0.0014003-0.0059007i,0.0042203-0.00041625i,0.0017811+0.00011713i,0.001709-0.009843i,0.0022496+0.00036899i,-0.0029331+0.0082565i,0.002538+0.0013483i,0.0026289-0.0037165i,-0.0022887-0.0097204i,-0.00081091-0.0057872i,0.0022813-0.0053474i,-0.0021602-0.0069559i,-0.001537-0.02188i,-0.077276+0.02158i,-0.013593+0.0089772i,-0.0061799-0.016282i,-0.005993-0.0074436i,-0.0046487+0.02433i,-0.011261+0.010797i,-0.0026054+0.011985i
-0.0055986+0.022449i,-0.022682+0.051144i,-0.0045532+0.039816i,-4.0368e-05+0.033713i,0.0079905+0.032434i,0.036663+0.011694i,0.019489+0.011378i,0.019881+0.025753i,-0.0005883+0.019414i,-0.0023875+0.0044253i,-0.0016911+0.0055364i,-0.0021678+0.0086646i,-0.00012327+0.0069237i,-0.00070252+0.0066405i,0.0052504+0.00084283i,0.0057854+0.0092574i,0.0093619+0.010217i,0.0014193-0.00054204i,-0.002681-0.0042728i,-0.0039715-0.0012132i,-0.003059-0.00066049i,-0.0035217-0.0025924i,-0.0029393-0.0017028i,-0.0071073+0.0068819i,-0.0011892+0.0015831i,0.00031989+0.0014418i,-0.0012847+0.0014725i,-0.00012548+0.0010311i,-0.00062601+0.0016963i,-0.00090134+0.0002777i,0.0044481-0.0016452i,0.00017899-0.00045206i,-0.00086836-0.0012224i,0.0003153-0.00091609i,0.002977+0.00015963i,-0.0094089-0.0044286i,0.00028452+0.0015616i,0.00029149+0.0015116i,-0.00085221-0.001399i,0.0019297-0.0019621i,-0.0017785-0.001281i,-0.0015372-0.00096478i,0.0018915+0.0047775i,-0.0010423+0.0058955i,-0.032714+0.019876i,-0.074004-0.023286i,-0.060673+0.015899i,-0.076772+0.031168i,-0.082581+0.049824i,-0.038701+0.030168i,-0.019689+0.056075i,-0.0052117+0.020347i,-0.047261-0.0038738i,-0.062379-0.017593i,-0.020302+0.019254i,-0.0042794-0.004399i,0.011326-0.0080671i,-0.00025168-0.01128i,-0.006439-5.1863e-05i,-0.0060732+0.019701i,0.0012689+0.0031655i,0.0073659-0.0014732i,0.0065632-0.00035953i,0.015352-0.0050286i,0.0050469+0.0029325i,0.0023707+0.00061656i,-0.0076292-0.0042436i,0.0030431+0.0039944i,0.0024319+0.005091i,0.0028275+0.0086708i,-0.0011724+0.00014272i,0.0025604-0.003984i,0.0080583-0.0046901i,8.0188e-05-0.00087414i,-0.021649-0.0095558i,0.0010453-0.0062558i,-0.00091599-0.0042626i,0.0049439+0.00020055i,0.0017175-0.00037445i,0.0011774-0.010799i,0.0020138-0.0011822i,0.00075614+0.0068528i,0.002646+0.0010872i,0.0022691-0.0032525i,-0.005552-0.0061098i,-0.0041005-0.0058327i,-0.00045534-0.0047447i,-0.0044031-0.006489i,-0.0084497-0.01779i,-0.071504+0.030796i,-0.008278+0.0075861i,-0.0068426-0.015133i,-0.0081257-0.0065591i,-0.00053705+0.023059i,-0.010169+0.012595i,-0.001093+0.0095319i
-0.0030822+0.021971i,-0.014128+0.054357i,0.0013121+0.042358i,0.0042433+0.032712i,0.010311+0.031098i,0.036979+0.0047407i,0.021219+0.0063314i,0.023261+0.021664i,0.0026346+0.019408i,-0.0012987+0.0051188i,0.0010071+0.0065508i,0.0013924+0.0084541i,0.0020112+0.0069347i,0.00079651+0.0063629i,0.0051518-0.00035751i,0.0084854+0.0068903i,0.011775+0.0059573i,0.0015981-0.0016667i,-0.0036681-0.0032215i,-0.0035435+0.00070992i,-0.0025127+0.00022957i,-0.0040162-0.0010757i,-0.0031259-0.00083588i,-0.0041205+0.0087278i,-0.0006568+0.0023159i,0.00089785+0.0015059i,-0.00067718+0.0020595i,-0.00054481+0.0010613i,-0.00013458+0.0017478i,-0.00068029+0.00044069i,0.0031554-0.0028268i,0.00042366-0.00084786i,-0.0013481-0.0010006i,-0.00015329-0.0010618i,0.0022907-0.0011535i,-0.010765-0.001357i,0.0007359+0.0014178i,0.00078642+0.0013209i,-0.0018905-0.00079841i,0.0019347-0.0019571i,-0.0016571-0.00077464i,-0.0013946-0.0006755i,0.0027665+0.0034698i,0.00081571+0.0068536i,-0.028715+0.023356i,-0.078778-0.016914i,-0.059613+0.021635i,-0.068283+0.042898i,-0.067007+0.061044i,-0.034569+0.035161i,-0.0098976+0.05396i,-0.002593+0.017192i,-0.045685+0.00066319i,-0.062922-0.0076321i,-0.015616+0.022276i,-0.0058089-0.0033767i,0.0034696-0.0097892i,-0.0044758-0.01135i,-0.0050786+0.0038113i,0.00067203+0.018033i,0.00084837+0.0025988i,0.0055322-0.0061052i,0.0057257-0.001949i,0.011251-0.010602i,0.0065805+0.00057003i,0.0035344+0.00083468i,-0.0079857-0.00049837i,0.004821+0.0047389i,0.0050577+0.0053631i,0.0073313+0.0062139i,-0.00092763+0.00095005i,0.0020544-0.00414i,0.0048106-0.0081626i,-0.00040964+0.00052881i,-0.02432-0.001316i,-0.00032044-0.0059264i,-0.0017961-0.0023866i,0.0056352-0.00092297i,0.00167-0.00073883i,-0.0012423-0.012785i,0.00077863-0.0016769i,0.0036052+0.0061567i,0.0033241+0.00020347i,0.0032873-0.0035605i,-0.0075368-0.0032476i,-0.0072348-0.0025491i,-0.0031515-0.0033114i,-0.0060959-0.0054298i,-0.012401-0.012685i,-0.064915+0.037602i,-0.0078166+0.0058922i,-0.0075291-0.017844i,-0.0095247-0.0050426i,0.00081287+0.0221i,-0.0097805+0.014334i,-0.00015927+0.0080617i
-0.00029342+0.021794i,-0.0042718+0.055668i,0.0093449+0.043058i,0.0085332+0.031508i,0.013969+0.030926i,0.036373-0.0017364i,0.021621+0.00076891i,0.026408+0.016984i,0.0062897+0.018279i,-0.00015536+0.0054167i,0.0033095+0.005125i,0.0037498+0.0064328i,0.004104+0.0063164i,0.0025529+0.0059354i,0.0047935-0.0015824i,0.0095803+0.0036411i,0.012354+0.0013789i,0.00043654-0.002552i,-0.0046898-0.001623i,-0.0022189+0.0017715i,-0.001541+0.00050239i,-0.0036622+0.00010254i,-0.0030933+0.00014741i,-0.00084055+0.0088498i,0.00024662+0.002573i,0.0013483+0.0010773i,0.00026423+0.0021998i,-0.00030627+0.0015671i,0.00057298+0.0014121i,-0.00048598+0.00041217i,0.0017738-0.0033822i,-0.00013594-0.0012461i,-0.0017454-0.00031458i,-0.00067702-0.00092346i,0.0012686-0.00188i,-0.010622+0.0023365i,0.00096435+0.0011513i,0.0012676+0.00093994i,-0.0022922+0.00012324i,0.0015955-0.0024722i,-0.0016982-0.00051585i,-0.0013464-0.00055892i,0.0028117+0.002354i,0.0031162+0.0069987i,-0.0249+0.027233i,-0.087105-0.0036752i,-0.05547+0.027499i,-0.056963+0.051285i,-0.051782+0.068553i,-0.029599+0.041629i,-0.00063191+0.049769i,0.0025801+0.013678i,-0.043401+0.005654i,-0.060717+0.0029658i,-0.010952+0.024489i,-0.0076789-0.0021475i,-0.0023874-0.0092651i,-0.0088867-0.0096751i,-0.0011361+0.0052056i,0.004349+0.014325i,-0.00034907+0.0026371i,0.0024374-0.0091777i,0.0058547-0.0016898i,0.0046945-0.013268i,0.0067772-0.0027809i,0.0046648-0.0001132i,-0.0082257+0.00379i,0.0077829+0.0040799i,0.0083336+0.0029674i,0.0096041+0.0017837i,0.00038462+0.0016796i,0.0012766-0.0042934i,-0.0011746-0.0086637i,0.00084412+0.0019133i,-0.023928+0.0077337i,-0.0016048-0.0055624i,-0.0014314-0.00044388i,0.0056712-0.0042718i,0.0018366-0.00068739i,-0.0066597-0.013167i,-8.9167e-05-0.0012364i,0.0060937+0.0036105i,0.0032995-0.00025418i,0.0025875-0.0044803i,-0.0075008+0.001132i,-0.0073907+0.0020717i,-0.0047054-0.0011609i,-0.0081353-0.0042923i,-0.013917-0.0078609i,-0.059382+0.04385i,-0.0086406+0.0084883i,-0.012204-0.022086i,-0.0082536-0.003878i,0.0040126+0.022072i,-0.0092533+0.017784i,0.00132+0.0059886i
0.0028534+0.020812i,0.005226+0.054621i,0.017556+0.040465i,0.012875+0.029584i,0.01885+0.029816i,0.035111-0.0078412i,0.020414-0.0045019i,0.028367+0.011657i,0.0093506+0.016361i,0.00098323+0.0056801i,0.0041025+0.0036299i,0.0044056+0.0045205i,0.0057008+0.0047806i,0.0040227+0.0048399i,0.0040062-0.0025938i,0.0091984+0.00073642i,0.011353-0.0021341i,-0.00064199-0.0023098i,-0.0044495+0.00017054i,-0.00084968+0.0018823i,-0.00083448+0.00022291i,-0.0031509+0.00071432i,-0.0024401+0.00093389i,0.00169+0.0083841i,0.001258+0.002156i,0.0015345+0.00072031i,0.0011147+0.0018326i,0.00045674+0.0016636i,0.00088601+0.00073502i,-0.00063247+0.00051984i,0.00029672-0.0032406i,-0.00085861-0.0010764i,-0.001645+0.00049817i,-0.0010774-0.00050966i,0.00045599-0.002024i,-0.0091822+0.0053193i,0.0011602+0.00077722i,0.001479+0.00025903i,-0.0020985+0.0013588i,0.0011202-0.0032134i,-0.001756-4.0897e-05i,-0.0014651-0.00080028i,0.0027896+0.0015018i,0.0052768+0.0061933i,-0.02039+0.030377i,-0.088504+0.016779i,-0.052809+0.031484i,-0.046522+0.055871i,-0.034684+0.073385i,-0.021133+0.047975i,0.0058666+0.043622i,0.0051426+0.0059848i,-0.039022+0.0090708i,-0.055283+0.013435i,-0.0040953+0.025577i,-0.0090695+0.00035284i,-0.008042-0.0061278i,-0.01187-0.0063191i,0.001799+0.0034499i,0.0057023+0.011583i,-0.0021762+0.0040853i,-0.001735-0.011566i,0.0066572-0.0038056i,-0.0016362-0.011934i,0.0046269-0.0051199i,0.0052155-0.0024609i,-0.0063453+0.0074245i,0.010075+0.00048602i,0.0089276-0.0022032i,0.00855-0.003693i,0.0023923+0.0011107i,0.00019031-0.0045006i,-0.004592-0.0049112i,0.0028217+0.0011097i,-0.019519+0.017609i,-0.0030557-0.0047108i,3.4558e-05+0.00063886i,0.0026372-0.0060443i,0.0020305-0.00079485i,-0.012287-0.0097588i,0.0001516-0.00011615i,0.0067245-4.9446e-05i,0.0030749-0.0011097i,0.001649-0.0049168i,-0.0052386+0.0047927i,-0.0049638+0.0054728i,-0.0047363+0.0020497i,-0.010443-0.0022632i,-0.014284-0.0038988i,-0.052021+0.0524i,-0.0027954+0.011427i,-0.019852-0.021831i,-0.0074162-0.0049504i,0.0065765+0.020607i,-0.0057654+0.021402i,0.002061+0.0024094i
