-0.030422-0.039594i,-0.022383-0.018909i,-0.013588-0.035354i,-0.029971-0.020022i,-0.022148-5.2095e-05i,-0.013749-0.0056342i,-0.055704-0.058376i,-0.046861-0.016822i,-0.038033-0.014131i,0.010777+0.011568i,-0.0079953+0.0051577i,-0.019309+0.019004i,0.002591+0.011417i,-0.0062225-0.0030929i,0.00015097+0.0012642i,-0.001319+0.030381i,0.027846+0.027811i,0.0023243-0.0022212i,-0.0025722-0.0066173i,0.0078078+0.002577i,0.0027908+0.00078047i,0.00021676+0.0037927i,-0.00031643+0.00028556i,-0.037202-0.011448i,-0.00014209-0.0079075i,0.0012936+0.0021721i,0.0063399+0.0015264i,0.0019818+0.0005742i,0.0011569-0.00041748i,-0.0006252-0.0024859i,0.00145-0.0025705i,-0.0025307-0.0055563i,-0.00038088-0.0048165i,0.0028482-0.00085899i,0.004397-0.002742i,0.0023114+0.030753i,0.0037628-0.0032819i,0.0029917-0.0016037i,0.0081432-0.0013086i,-0.0053795-0.0023809i,-0.00018864+0.0011054i,0.0092665-5.0001e-05i,0.0043233-0.0027619i,-0.001363+0.0087053i,-0.017618-0.0071192i,-0.018618+0.013774i,-0.0046371-0.060935i,-0.0052957-0.026986i,-0.026619-0.032644i,-0.011173-0.026889i,0.054504-0.021003i,0.016477-0.043213i,0.021682-0.049984i,0.0047883-0.056496i,0.025344-0.021072i,0.0083274+0.0059879i,0.024573-0.034892i,-0.0082593-0.006533i,0.0038796-0.0047117i,-0.0039903-0.0071961i,-0.002882-0.032656i,-0.018438+0.029805i,0.0082702-0.012547i,-0.0090351-0.0038954i,-0.00416-0.0014101i,0.00061802-0.013059i,-0.011154+0.0047806i,0.0028306+0.010142i,-0.0054369+0.026699i,0.0049171+0.0024974i,-0.0052903-0.0018008i,-0.0022427-0.0022235i,-0.012767-0.0073445i,-0.00047124-0.004151i,-0.035762+0.0014556i,0.00095231-0.0109i,-0.008235+0.00033481i,-0.0067074-0.0022615i,0.0054775+0.0013445i,-0.0083465-0.00053795i,0.0023371-0.00033002i,0.0036647+0.007165i,0.0041203+0.000532i,-0.0085639-0.012923i,0.0030669+0.0091132i,-0.015188+0.0050741i,0.0069965+0.00028215i,-0.022406+0.00097984i,-0.016734+0.0051881i,-0.0083533-0.064786i,0.0075785-0.012375i,-0.049898-0.022467i,-0.021283+0.001586i,0.017547+0.011336i,-0.022891+0.014428i,-0.019657-0.0049427i
-0.041106+0.032595i,-0.014881+0.018852i,-0.020782+0.041883i,-0.026298+0.013441i,-0.004387+0.02085i,-0.00063147+0.0076584i,-0.029783+0.017309i,-0.0034585+0.029482i,0.0082313+0.01817i,-0.0051022-0.0061414i,0.0026241+0.0031709i,0.0078187-0.00021604i,0.0053626+0.00016992i,-0.00060812+0.0032704i,0.0007219+0.0021293i,0.0063376-0.0047721i,-0.0065253-0.0006492i,-0.0030392-0.00070911i,0.0039261-0.001485i,-2.5863e-05-0.00086585i,0.0028892-0.0051465i,0.0016901-0.0027168i,0.0013481-0.0024246i,-0.0098887-0.010943i,-0.00085712+0.0019336i,-0.0016425+0.00010784i,-0.004113-0.0013058i,-0.0029317-0.00015016i,-0.00075921-0.0014815i,-0.00018773-0.0006846i,-0.0010066+0.0037687i,0.00068496+0.00084388i,0.0015844+0.0007385i,-0.00053247+0.00070522i,-0.0029046+0.0028649i,-0.0012069-0.0076761i,-0.002702+0.0010382i,0.00078957-0.00041365i,-0.001836+0.0036652i,0.0039311+0.0028232i,-0.00047949-0.0015178i,-0.00056919-0.0029826i,-0.0033373-0.00041127i,0.003735+0.00014141i,-0.0164+0.024557i,0.0062309-0.035169i,-0.053343+0.0053339i,0.0075571-0.031322i,-0.031891-0.048192i,-0.029447-0.019393i,-0.061719+0.021454i,-0.037746+0.0018041i,-0.034478-0.0051029i,-0.030055-0.021459i,-0.038575-0.023183i,-0.0054258+0.002789i,-0.028046+0.0096311i,0.0061845+0.01896i,0.0030079+0.0080696i,-0.0027274-0.0053247i,0.0021996+0.0011599i,-0.010119-0.0032395i,0.0054533+0.01099i,-0.0005544+0.0058858i,-0.0019923-0.0014411i,0.0010715+0.0016333i,0.0036872-0.0016595i,-0.0031454+0.018141i,0.0035858+0.014055i,0.0043137-0.00078268i,0.0094072-0.0064958i,0.0043735+0.0030689i,-0.0087854-0.0072319i,-0.00095283-0.0030321i,0.026334-0.034824i,0.0078875+0.0098273i,0.0050443+0.0022572i,-0.0027969+0.0029514i,0.0037667-0.0056815i,0.02145+0.0079117i,0.0038685+0.0025537i,0.00014531-0.0065304i,0.00072464-0.0027555i,0.014678+0.0073659i,0.0048767+0.0017165i,0.002516-0.0044781i,0.0044407+0.0085889i,-0.00070851+0.0013555i,0.0087012+0.0028663i,-0.041817-0.014878i,-0.0057827+0.011431i,-0.0019116-0.0046903i,-0.0058828+0.0059744i,-0.037462+0.012499i,-0.0054034+0.0074748i,-0.0092149+0.014484i
-0.035224+0.038781i,-0.011815+0.018302i,-0.010239+0.037695i,-0.023642+0.016327i,-0.0016055+0.019034i,0.00065279+0.0075421i,-0.028421+0.022113i,0.0022637+0.02854i,0.010427+0.012681i,-0.006212-0.003413i,0.0036637+0.0035538i,0.0069425-0.0029288i,0.0047926-0.0017962i,0.0015689+0.003878i,0.0010414+0.002131i,0.0021408-0.004243i,-0.0078132+0.0030797i,-0.0028477+0.00031284i,0.0040208-0.0024656i,0.00026786-0.00089049i,0.0011683-0.005387i,0.0013454-0.0024415i,0.00073874-0.0025072i,-0.011843-0.0073926i,0.00025878+0.0014373i,-0.001688+0.00057134i,-0.0036334+0.0003937i,-0.0021447+0.00061139i,-0.001253-0.0014052i,-7.6021e-05-0.00056806i,0.0005488+0.003878i,0.00014387+0.0007579i,0.0014647-0.000174i,-0.00071607+0.00091191i,-0.0028602+0.0033836i,-0.0013999-0.0068784i,-0.0022422+0.0016086i,-0.00017302-0.0010125i,-0.0010352+0.0042889i,0.0037505+0.00054023i,-0.00071942-0.0013464i,-0.0021669-0.0027711i,-0.0034272+0.00071601i,0.0039903-0.00082274i,-0.012101+0.023777i,-0.0071181-0.040595i,-0.046772+0.015368i,-0.0016648-0.038834i,-0.045545-0.042176i,-0.029792-0.01267i,-0.050194+0.033i,-0.034755+0.01023i,-0.025273-0.0075891i,-0.031687-0.017074i,-0.044077-0.0081938i,-0.004669+0.0026736i,-0.023256+0.021768i,0.011283+0.013208i,0.0051583+0.0045716i,-0.0078985-0.0083921i,-0.0010819+0.0031197i,-0.010069+0.0032314i,0.00965+0.0077161i,0.00052403+0.0077159i,-0.0022373-0.00012192i,0.00197+0.0028073i,0.0035416-0.0017475i,0.0051793+0.014534i,0.0085961+0.0080764i,-0.00024329-0.0037747i,0.0032699-0.0077916i,0.0048404+0.0025648i,-0.011727+0.00095099i,-0.0025197-0.00083875i,0.009412-0.03786i,0.011886+0.007545i,0.0067745-0.00018641i,0.00052098+0.0029281i,-8.7926e-05-0.0035008i,0.022179-0.0022463i,0.0038384+0.00067797i,-0.0030653-0.0052143i,-0.0029281-0.0013717i,0.014353+0.00098253i,0.0052413+0.0016821i,0.0009103-0.0033223i,0.0070354+0.0068894i,-0.00033962+0.0024649i,0.0088882-0.00041128i,-0.045155-0.010646i,-0.00054507-0.0025886i,-0.00078084-0.004556i,-0.0035868+0.0053221i,-0.030696+0.023879i,-0.0027942+0.0081234i,-0.0044448+0.014972i
-0.027845+0.043724i,-0.0095854+0.018055i,-0.0052639+0.031535i,-0.020865+0.018938i,0.0017887+0.018151i,0.0022272+0.0069757i,-0.02468+0.027558i,0.0076123+0.026231i,0.0097298+0.0086446i,-0.0063347-0.00065611i,0.0055572+0.0029714i,0.0029679-0.0039749i,0.0036093-0.0029276i,0.0024116+0.0031476i,0.0015573+0.002043i,-0.001088-0.0015616i,-0.0064831+0.0073277i,-0.0018352+0.00099328i,0.0036093-0.004198i,0.00054844-0.0015883i,-0.00046111-0.0049877i,0.0014484-0.0029382i,0.00025355-0.0025208i,-0.013531-0.0044115i,0.00056518+0.001088i,-0.0011154+0.001343i,-0.002632+0.00088772i,-0.00098448+0.0010904i,-0.0014671-0.0011707i,-0.00034954-0.0007871i,0.0019594+0.0031553i,0.00020684+0.0010121i,0.0010791-0.00058173i,-0.00042094+0.00094424i,-0.0011531+0.0046601i,-0.0011827-0.0069006i,-0.0019938+0.001986i,-0.001107-0.00091095i,0.0017736+0.002997i,0.0027763-0.00066751i,-0.0010046-0.0010191i,-0.0018546-0.0010986i,-0.0032703+0.0016699i,0.0035482-0.0027273i,-0.0092653+0.023617i,-0.022808-0.038582i,-0.037239+0.021573i,-0.013513-0.040751i,-0.053492-0.032658i,-0.026389-0.0072461i,-0.034705+0.039039i,-0.023179+0.015511i,-0.027317-0.011384i,-0.032443-0.013164i,-0.041871+0.0062304i,-0.0039617+0.002925i,-0.011793+0.02911i,0.013197+0.0071699i,0.0030636-0.00029335i,-0.017407-0.005978i,-0.00066275+0.0046141i,-0.0058513+0.006884i,0.011276+0.0019956i,0.0034022+0.0077388i,-0.0037809+0.0017799i,0.00218+0.0011084i,0.0035464-0.0031249i,0.0075415+0.0077916i,0.0082224+0.0026399i,-0.0047966-0.00085293i,0.0002423-0.0061048i,0.0065907+0.0015079i,-0.00722+0.0097169i,-0.00061009+0.0011757i,-0.0037767-0.03388i,0.015529+0.0013478i,0.0055943-0.0027021i,0.0009447+0.0014771i,-0.0001297-0.0014754i,0.017174-0.0099038i,0.0018959+0.0022111i,-0.0051297-0.0028221i,-0.0032208+0.002591i,0.010518-0.0031798i,0.0085706-0.0010696i,0.00073821-0.0034083i,0.010529+0.0031484i,0.0026723+0.0020257i,0.0077075-0.0035654i,-0.048363-0.0015038i,-0.0093334-0.011667i,0.0013584-0.0078822i,-0.0022259+0.003401i,-0.020439+0.028429i,-0.0032165+0.0030904i,-0.0013284+0.0099454i
-0.019637+0.046565i,-0.0071144+0.018646i,-0.0037468+0.026496i,-0.016914+0.021659i,0.0049946+0.015214i,0.0037413+0.0054057i,-0.018508+0.032012i,0.012067+0.022348i,0.0091819+0.0069945i,-0.0055613+0.0017261i,0.0064901+0.00061707i,0.00072668-0.001425i,0.0022173-0.0032992i,0.0022575+0.0032493i,0.0018499+0.0016123i,-0.0014146+0.0024296i,-0.0023642+0.01051i,-0.0012443+0.00090533i,0.0020317-0.0050271i,-0.00013579-0.0022951i,-0.0016161-0.0040559i,0.0010316-0.0034365i,-0.00030037-0.0027261i,-0.014776+8.068e-05i,0.00088357+6.2003e-05i,-0.00018766+0.00086582i,-0.0020854+0.0007975i,0.00010285+0.00054304i,-0.0016943-0.00054336i,-0.00069212-0.00044011i,0.0028333+0.0019264i,0.00062775+0.0011177i,0.00034941-0.00088195i,-0.00013783+0.00086741i,0.0010585+0.0039283i,-0.0023765-0.0086576i,-0.0011379+0.0027225i,-0.00167-0.00031161i,0.0016073+0.00025423i,0.00203-0.0011022i,-0.0010513-0.00064091i,-0.0013975-0.0010088i,-0.0025509+0.0026841i,0.00095703-0.0048285i,-0.0065112+0.024485i,-0.034946-0.02675i,-0.027902+0.022494i,-0.02478-0.037685i,-0.06071-0.021938i,-0.021489-0.0055729i,-0.020823+0.038057i,-0.013157+0.011502i,-0.028316-0.0084957i,-0.032926-0.0081001i,-0.035653+0.01651i,-0.0035261+0.0033772i,0.00073209+0.029069i,0.013406+0.0017646i,-0.0015507-0.00086586i,-0.022939+0.0047512i,-0.00066959+0.0064197i,-0.0018147+0.00617i,0.0083327-0.0040183i,0.0059625+0.0065917i,-0.0028801+0.0048334i,0.00017044+0.0016907i,0.0029548-0.0056266i,0.0056836+0.0023414i,0.0050739-6.8061e-06i,-0.0038551+0.0023084i,-0.0015821-0.0044471i,0.0067267-0.00075369i,0.0025318+0.011337i,0.00018264+0.00063419i,-0.011278-0.02677i,0.013288-0.004664i,0.0041698-0.0042073i,0.0018913+0.0025561i,-0.00015191-0.0014396i,0.011255-0.012935i,0.0049123+0.0030524i,-0.0057537+0.00027394i,-0.00054082+0.0042433i,0.0076635-0.0034627i,0.0075998-0.0061518i,-0.00082129-0.0029468i,0.0094048-0.0030346i,0.002397-0.00090451i,0.0064811-0.0066633i,-0.044792+0.009819i,-0.019876-0.010708i,-0.0016702-0.013655i,-0.0017926+0.0010367i,-0.012396+0.02842i,-0.0070056+0.0031961i,-0.0021061+0.0085961i
-0.011799+0.047937i,-0.0050866+0.018353i,-0.0045139+0.024137i,-0.012504+0.023097i,0.0065692+0.011955i,0.0039642+0.0036775i,-0.011034+0.033941i,0.015064+0.01775i,0.0097647+0.0058738i,-0.0035245+0.0032954i,0.005663-0.0011364i,0.0011583+0.00058497i,0.001197-0.003349i,0.00373+0.0037847i,0.0021292+0.0011787i,0.00046401+0.0050177i,0.0027762+0.011116i,-0.0010513+0.00091774i,0.00073916-0.0052865i,-0.0011396-0.0022638i,-0.0026707-0.0033517i,0.00023877-0.0035389i,-0.0011704-0.0025915i,-0.012377+0.0046975i,4.1554e-05-0.001105i,-0.00029641+0.00013751i,-0.0016293+0.00094635i,0.00021113-0.00048001i,-0.0016681+2.4831e-05i,-0.00042313-4.6858e-05i,0.00296+0.00059392i,0.001237+0.00050563i,-0.00034428-0.0005983i,-0.0002071+0.00082413i,0.0016606+0.0029329i,-0.0055823-0.009433i,-0.00022885+0.0027412i,-0.0017031+0.00072632i,-0.00015149-0.00021182i,0.001194-0.00084907i,-0.00097406-0.00041374i,-0.0017671-0.00099393i,-0.0012668+0.0030959i,-0.0017759-0.00322i,-0.0023358+0.025404i,-0.035415-0.012142i,-0.021581+0.020774i,-0.034268-0.030776i,-0.065796-0.0073652i,-0.018725-0.0079015i,-0.0097498+0.033597i,-0.0086005+0.0060876i,-0.027828-0.0069748i,-0.0318-0.004536i,-0.028606+0.024155i,-0.00275+0.0035601i,0.012926+0.023773i,0.012323-0.0027508i,-0.0047561+0.001786i,-0.020969+0.01473i,0.0014748+0.0076667i,0.00058717+0.0065223i,0.00229-0.0049154i,0.0079165+0.0046663i,-0.0006964+0.0064853i,4.3817e-05+0.0040444i,0.00095343-0.0069258i,0.0013898+0.0027391i,0.0023737+0.00072413i,-0.0030344+0.004268i,-0.0025929-0.0021587i,0.005795-0.0027865i,0.0077725+0.0067314i,0.00046826+0.00023102i,-0.01522-0.023727i,0.0095121-0.0083546i,0.002125-0.0051497i,0.0049036+0.0019829i,-0.00064776-0.00054791i,0.0068597-0.013448i,0.0073217+0.00033068i,-0.0040699+0.0034465i,0.0020551+0.0039367i,0.0072865-0.0041479i,0.0030727-0.01065i,-0.00077501-0.0019996i,0.0050029-0.0061731i,0.00042769-0.001644i,0.0025434-0.0096054i,-0.036948+0.014309i,-0.027909-0.002174i,-0.0069088-0.015282i,-0.0027343-0.0012349i,-0.0067995+0.027163i,-0.0095047+0.0061007i,-0.0010173+0.0090522i
-0.0040631+0.048307i,-0.0032851+0.018644i,-0.0048044+0.024994i,-0.0081384+0.023083i,0.0066891+0.0089673i,0.0040398+0.0026079i,-0.0030775+0.03326i,0.016612+0.013194i,0.010698+0.0037238i,-0.0020016+0.0031616i,0.0039008-0.002074i,0.0022301+0.0015916i,6.2459e-05-0.0031937i,0.0053741+0.0023851i,0.0021523+0.00067972i,0.0032262+0.0058382i,0.0077483+0.0093109i,-0.00073033+0.0012249i,-0.0010799-0.0052634i,-0.0019632-0.0017534i,-0.0029363-0.0020113i,-0.00035385-0.0035897i,-0.0017632-0.0020415i,-0.010111+0.0061201i,-0.0011135-0.0007408i,-0.00082723+5.802e-05i,-0.0012911+0.0011272i,-0.0002374-0.0013578i,-0.0013523+0.00044403i,-0.00027116-0.00014507i,0.002687-0.00047011i,0.0013167-0.00041134i,-0.00054443-0.00021814i,-0.0001211+0.00084307i,0.001807+0.002415i,-0.0091164-0.0083735i,0.00033134+0.0023966i,-0.0010676+0.0013338i,-0.0010234+0.00040125i,0.00088541-0.00043888i,-0.00083613-5.7778e-05i,-0.0019873-0.00036341i,-0.00020387+0.002795i,-0.0026189-0.0008843i,0.0020672+0.025939i,-0.029953-0.0041558i,-0.017684+0.019073i,-0.039641-0.019907i,-0.063318+0.011035i,-0.022257-0.010669i,-0.002944+0.027109i,-0.0062833+0.0015319i,-0.026963-0.0043577i,-0.031964-0.001075i,-0.020702+0.028721i,-0.0029258+0.0037644i,0.018947+0.010376i,0.010458-0.007355i,-0.0056046+0.0058967i,-0.013729+0.022953i,0.003931+0.0066279i,0.0038386+0.0043349i,-0.00036595-0.0015445i,0.0097292+0.0011347i,0.0016414+0.0074356i,0.0017328+0.0052553i,-0.0036344-0.0085794i,0.0010559+0.0062599i,0.0023411+0.0023694i,-0.00015658+0.0073133i,-0.0017659-0.00032753i,0.0044307-0.0036286i,0.0094075+0.0017037i,0.00093299-0.00089516i,-0.02305-0.021563i,0.0053976-0.010207i,-0.00022291-0.0051614i,0.0048457-0.00078391i,-0.00021833+0.0008183i,0.0043982-0.012635i,0.0068776-0.0030263i,-0.0012672+0.0046884i,0.0035182+0.001728i,0.0057393-0.0058627i,-0.0035816-0.010262i,-0.0010166-0.0022271i,0.001975-0.0054768i,-1.7964e-05-0.002375i,-0.0023993-0.008933i,-0.032249+0.016742i,-0.024803+0.011243i,-0.011557-0.014629i,-0.0050108-0.0018401i,-0.0028262+0.026112i,-0.0085096+0.010355i,0.0023566+0.0076828i
0.0036581+0.047419i,-0.00094095+0.019301i,-0.0031725+0.02707i,-0.0048908+0.021936i,0.0058498+0.0072458i,0.0042026+0.0015163i,0.0037836+0.030499i,0.016942+0.0092226i,0.011296+0.0014986i,-0.0012981+0.003161i,0.0027653-0.001545i,0.0043603+0.0018363i,-0.00094491-0.0026801i,0.0056189-0.00039558i,0.0019463+0.00031576i,0.0056429+0.0051599i,0.011017+0.0052632i,-0.00024388+0.0014607i,-0.002344-0.0045302i,-0.0024277-0.0008116i,-0.0025026-0.00088246i,-0.0013021-0.0035612i,-0.0021376-0.001412i,-0.0089437+0.0087887i,-0.0016642-0.00010244i,-0.0011839+0.00056401i,-0.0010642+0.0014556i,-0.0014354-0.0016982i,-0.0010831+0.00047117i,-0.00040391-0.00031919i,0.002119-0.0013107i,0.0011741-0.00063354i,-0.00023886-0.00013426i,0.00010354+0.00077484i,0.0023774+0.0012906i,-0.012358-0.0062014i,0.0009608+0.0021813i,-0.00063576+0.0013417i,-0.0010237+0.00093195i,0.00086687-0.00024672i,-0.00057463+0.00013426i,-0.001513+7.6337e-05i,0.0002868+0.0021385i,-0.0022461+0.00044904i,0.0071895+0.024775i,-0.026004-0.0026371i,-0.014699+0.018359i,-0.039319-0.0096876i,-0.053694+0.026197i,-0.025603-0.0079774i,0.0014204+0.022014i,-0.0066539-0.0027709i,-0.025624-0.002761i,-0.030556+0.0038716i,-0.013064+0.031912i,-0.0017852+0.0039157i,0.013139-0.0016981i,0.0059305-0.011273i,-0.0038227+0.0090837i,-0.0047659+0.024952i,0.0047946+0.0044563i,0.0045158+0.00065848i,0.00098429+5.1337e-06i,0.0090681-0.0020639i,0.0061914+0.0065898i,0.0037213+0.0061276i,-0.0078905-0.0032283i,0.0040452+0.0079279i,0.0037469+0.0029979i,0.0039075+0.0071341i,-0.0011307+0.0002477i,0.0034041-0.0044159i,0.0094065-0.0044046i,-0.00082562-0.0011091i,-0.031286-0.012554i,0.0015803-0.010227i,-0.0021124-0.0038196i,0.0048809-0.00077178i,0.00041291+0.00089182i,0.0029624-0.014584i,0.0049651-0.0054433i,0.00097695+0.0038303i,0.003421+0.00048999i,0.0042954-0.0067031i,-0.007087-0.0058767i,-0.0023052-0.0019645i,-0.00060989-0.0052044i,-0.001629-0.0028382i,-0.0051483-0.0065792i,-0.027104+0.019014i,-0.018116+0.012136i,-0.012381-0.013162i,-0.0066308-0.00077607i,0.0015146+0.024014i,-0.0073194+0.011941i,0.0026088+0.0050443i
0.010907+0.04533i,0.0021332+0.019885i,0.00049522+0.029375i,-0.0024146+0.021761i,0.0049583+0.0067005i,0.0038563+0.00066273i,0.0091889+0.026539i,0.016835+0.0060157i,0.011558-0.0014731i,-0.0006125+0.0031515i,0.0029016-0.0010197i,0.0062605-0.0004237i,-0.00169-0.0017849i,0.0037279-0.0015835i,0.0019002+0.00018978i,0.0074858+0.0032317i,0.011896+0.0008925i,0.0004709+0.0011859i,-0.0033489-0.0036702i,-0.0021788+0.0003911i,-0.0017566-0.00029077i,-0.0021402-0.0026819i,-0.002338-0.00079009i,-0.0047583+0.010849i,-0.0018778+0.000698i,-0.00092791+0.0011974i,-0.00066351+0.0018248i,-0.0027933-0.0010896i,-0.0010014+0.00052455i,-0.00060542-0.00025878i,0.0012382-0.00181i,0.001271-0.0015591i,-0.00044171-0.00019102i,0.0001626+0.00064069i,0.0020886+0.00021787i,-0.014761-0.0020547i,0.0014459+0.0016465i,-0.00030198+0.0015567i,-0.0010039+0.0012696i,0.0011083+2.0473e-06i,-0.00018646+8.5574e-05i,-0.0012332+0.00027912i,0.00041938+0.0015962i,-0.0015649+0.001507i,0.011469+0.021807i,-0.02602-0.0018125i,-0.012658+0.017104i,-0.038394-0.0014035i,-0.040423+0.034085i,-0.028507-0.0046719i,0.0055368+0.016101i,-0.0078717-0.0043966i,-0.024871-0.0014464i,-0.027886+0.0087942i,-0.0041921+0.033087i,-0.00078122+0.0037428i,0.0060935-0.0035025i,0.00051113-0.012683i,0.00033585+0.012119i,0.003323+0.022707i,0.0044122+0.0024135i,0.0032589-0.0023164i,0.00070776+0.00034493i,0.0072377-0.0053649i,0.0093477+0.0030737i,0.0062452+0.0056293i,-0.0076131+0.00086487i,0.0073735+0.0078043i,0.0053841+0.0028443i,0.0081471+0.0049173i,-0.00057915+0.00090638i,0.002912-0.0052383i,0.0055865-0.0084158i,-0.00082815+0.00093638i,-0.034565+3.2918e-05i,-0.0010779-0.0094784i,-0.0029247-0.0019277i,0.005692-0.0015256i,0.00082609+0.00058597i,-0.0012265-0.016888i,0.0023296-0.0066487i,0.0026171+0.0032284i,0.0036732-0.00058616i,0.0037736-0.0075703i,-0.008628-0.0028198i,-0.0035182-0.00031793i,-0.0032835-0.003607i,-0.0026189-0.0023764i,-0.0063861-0.0041317i,-0.022593+0.019504i,-0.016296+0.012628i,-0.013326-0.013655i,-0.0071969+0.00080147i,0.0036708+0.023046i,-0.0063943+0.012755i,0.0029808+0.0035999i
0.018043+0.042307i,0.0061237+0.019523i,0.0064317+0.030305i,0.00057212+0.021499i,0.0052607+0.0072093i,0.0036838+0.00026333i,0.013037+0.021306i,0.016752+0.003041i,0.010717-0.0044023i,-7.1422e-05+0.0029942i,0.0031361-0.0016188i,0.0056163-0.003686i,-0.0019723-0.00080267i,0.0029178-0.0016729i,0.0019901-2.7386e-07i,0.0078345+0.00049601i,0.010771-0.0032104i,0.00043498+0.00059436i,-0.0044183-0.0024015i,-0.0013208+0.00096611i,-0.00097922-0.00040524i,-0.0022815-0.0019335i,-0.0023167-6.2941e-05i,-0.00057353+0.01074i,-0.0016204+0.0014559i,-0.00039912+0.0014988i,7.3364e-05+0.0019583i,-0.0032956+0.0002719i,-0.00080418+0.00044906i,-0.00074016-0.00014031i,0.00030086-0.0019042i,7.3058e-05-0.0022433i,-0.00061887+4.7111e-05i,0.00015607+0.00065316i,0.0014382-0.00044159i,-0.014744+0.0029842i,0.0015588+0.0010702i,0.00030521+0.0015667i,-0.00083741+0.0017057i,0.0013666-0.00016912i,-0.00010063-0.00017493i,-0.00086171+0.00019212i,0.00020984+0.0012531i,-0.00060198+0.0019805i,0.014333+0.018889i,-0.028104+0.0020354i,-0.011104+0.016331i,-0.033163+0.0067576i,-0.028095+0.038376i,-0.030667+0.0023646i,0.0078398+0.0090078i,-0.0062962-0.0064226i,-0.024027+0.0011274i,-0.022913+0.013748i,0.0037887+0.03149i,-0.00044901+0.0028232i,0.0018124-0.0034829i,-0.0052727-0.01206i,0.006502+0.011349i,0.0082583+0.018073i,0.0026313+0.0011093i,0.0014667-0.0042677i,0.0017126+0.0028337i,0.0036267-0.0073129i,0.010232-0.0024302i,0.008478+0.0036028i,-0.0070667+0.0044787i,0.011543+0.0060127i,0.0078065+0.00066518i,0.010056-7.8772e-05i,0.00032704+0.0013434i,0.0014097-0.0059579i,-0.0003607-0.0090235i,0.0010357+0.0022109i,-0.032752+0.013264i,-0.0030912-0.008592i,-0.0024583-3.37e-05i,0.0056864-0.0057136i,0.001444+0.00093948i,-0.0077873-0.016164i,-0.00044396-0.0062091i,0.0037307+0.0015757i,0.0035102-0.0009993i,0.0018096-0.0088666i,-0.0087083+0.0023996i,-0.0030673+0.0018873i,-0.0046872-0.0014721i,-0.0037856-0.0022121i,-0.0065545-0.0018764i,-0.020409+0.02027i,-0.015179+0.017027i,-0.016196-0.015637i,-0.0049241+0.0023113i,0.0075678+0.022486i,-0.0060266+0.014819i,0.0039549+0.00088118i
0.024522+0.038006i,0.009974+0.01783i,0.012703+0.028086i,0.0037272+0.020468i,0.0065367+0.0073034i,0.0039716-5.8884e-05i,0.014826+0.016095i,0.016218+0.00022984i,0.0091651-0.0067054i,0.00022536+0.0031064i,0.0027207-0.0021744i,0.0030742-0.0052675i,-0.0019463+5.8866e-05i,0.0019602-0.0017747i,0.0019836-0.00027943i,0.0067761-0.001569i,0.0084778-0.0060245i,0.0003578+0.00049467i,-0.0046089-0.00065735i,-0.00055377+0.00094389i,-0.00041517-0.00083747i,-0.0023346-0.0015855i,-0.0019921+0.00053039i,0.0023877+0.009825i,-0.0011371+0.001821i,0.00010735+0.0016644i,0.00071683+0.0013957i,-0.0028228+0.0017429i,-0.00076801+0.00029611i,-0.00099077+7.0532e-05i,-0.00050822-0.0016198i,-0.0012779-0.0019197i,-0.0004575+0.00033549i,0.00039397+0.00066973i,0.00065812-0.00073713i,-0.012746+0.0072404i,0.0016124+0.00054613i,0.00070148+0.0011394i,-8.3609e-05+0.0022715i,0.0014188-0.00075474i,-0.0001351-0.00029543i,-0.00067571-0.00026007i,-4.2245e-05+0.0013478i,0.00029244+0.0019616i,0.016839+0.01642i,-0.027185+0.0089336i,-0.010799+0.015831i,-0.026669+0.010159i,-0.015169+0.039793i,-0.028524+0.01142i,0.0064989+0.0019502i,-0.006988-0.011448i,-0.020757+0.0029745i,-0.015594+0.017483i,0.011997+0.027339i,-0.00076254+0.0025949i,-0.0020689-0.0019339i,-0.0099767-0.0086479i,0.010531+0.0068285i,0.011111+0.013987i,-8.3839e-05+0.0019987i,-0.00097559-0.0062559i,0.0054454+0.001758i,-0.00026482-0.0069284i,0.0071613-0.0063412i,0.0098416+3.5681e-06i,-0.0054415+0.0072048i,0.014433+0.00011738i,0.0077709-0.0041058i,0.0086396-0.0052621i,0.0015538+0.001211i,-0.0003914-0.0062309i,-0.0040146-0.005617i,0.0027923+0.0010776i,-0.024759+0.026977i,-0.0050682-0.0073178i,-0.0011757+0.0010038i,0.0015967-0.0073722i,0.0024145+0.00043789i,-0.013696-0.012354i,-0.0018094-0.0042721i,0.0037941-0.00053484i,0.0031627-0.0015326i,-0.00095422-0.0087067i,-0.0051477+0.006531i,-0.0015782+0.003145i,-0.0047361+0.0019303i,-0.0056543-0.0014465i,-0.0062247-0.00051965i,-0.016189+0.024045i,-0.0066245+0.020691i,-0.022223-0.015069i,-0.0025084+0.00050952i,0.010635+0.020103i,-0.0035422+0.017666i,0.0027278-0.0026877i
