-0.024533-0.0043651i,-0.021323-0.0073287i,-0.012508-0.013157i,-0.035129-0.0072312i,-0.026976+0.0020327i,-0.03526-0.0022113i,-0.066403-0.038059i,-0.032427-0.014385i,-0.021031+0.0025539i,0.0062297+0.0062498i,-0.0048173+0.0072835i,-0.0086243+0.017918i,0.0058138+0.008147i,-0.0010993+0.0034395i,0.0041988+0.0037998i,0.004454+0.025402i,0.022073+0.019532i,0.0012659-0.00067729i,0.0010755-0.0044781i,0.0087304+0.00021102i,0.0050561-0.00035088i,0.00208+0.0015104i,0.0012427-0.00058172i,-0.024034-0.001817i,-0.0048804-0.0040489i,-0.00037819+0.0032503i,0.0043165-0.0042593i,-0.0019701-0.00042004i,-0.0003146+0.0012237i,-0.0020474-0.0013839i,-0.0037757-0.00026749i,-0.0071401-0.0084887i,-0.0051747-0.0073685i,-0.00070821+0.00025872i,-0.00027051-0.0022834i,0.00059086+0.021469i,0.0026307-0.0040156i,0.00065843-0.0044152i,0.0029652-0.0019497i,-0.0029006-0.003191i,0.0010598-0.00015098i,0.0080479-0.0020998i,0.0031553-0.0023809i,0.00012969+0.002728i,-0.01333+0.015547i,-0.025922+0.053558i,-0.0059046-0.03719i,-0.015182-0.018543i,-0.039829-0.016083i,-0.027062-0.012438i,0.036484-0.011949i,0.0059475-0.029864i,0.012573-0.038112i,-0.0084929-0.029507i,0.025264-0.023098i,0.013357+0.0071449i,0.027803-0.03559i,-0.001723-0.0042553i,0.0061953-0.0090218i,-0.00081346-0.0058248i,-0.00012742-0.035666i,-0.013455+0.028972i,0.0088125-0.011587i,-0.0086391-0.0048183i,-0.0026199-0.0020805i,-0.00015915-0.015872i,-0.0077328+0.0058396i,0.0042869+0.0062531i,-0.0012585+0.029041i,0.0024652+0.00085225i,-0.0072113-0.0043887i,-0.0039629-0.0065409i,-0.014907-0.0099692i,-0.0023248-0.0058825i,-0.034212+0.0062251i,-0.0050404-0.0087304i,-0.012916-0.00099706i,-0.010268-0.0057931i,0.0019354-0.0015963i,-0.014057+0.0021374i,-0.0017839-0.00069221i,0.0055795+0.0057572i,0.004017-0.0052155i,-0.013996-0.014552i,0.0075804+0.0080719i,-0.015996+0.0051509i,0.0050983-0.00032395i,-0.019197-0.0027494i,-0.016271-0.0041911i,-0.015245-0.03519i,0.020231-0.01015i,-0.039467-0.024646i,-0.010494+0.0047592i,0.017796+0.015107i,-0.022378+0.017019i,-0.0044635-0.0041889i
0.0040775+0.013866i,-0.0027562+0.015567i,-0.0017169+0.026018i,0.0021464+0.024376i,0.0002933+0.028832i,0.011202+0.022034i,-0.0085707+0.025666i,-0.0049554+0.021374i,0.011318+0.0046372i,0.001923-0.0047601i,0.0023352+0.00038955i,0.0058421-0.0030481i,0.00047748-0.0015801i,0.00018933-0.0033622i,3.2051e-05-0.0017208i,0.0063532-0.0062983i,-0.0031437-0.0041218i,-0.001279+0.0025829i,0.00046278+0.00034089i,-0.00020041+0.0018041i,-0.0024439-0.00022626i,-2.348e-05+5.137e-05i,0.0013038+0.00025959i,-0.007562-0.0040082i,-0.00042405-0.00057449i,-0.002211+0.00043765i,-0.0037201-0.00014065i,-0.0017115+0.0001599i,-0.0018858+0.00037648i,-0.00015614-0.00041029i,-0.0030433+0.00045599i,0.0015583-0.0020463i,0.0010577-0.0029455i,-0.00022439-0.001119i,-0.0013858+0.00071033i,-0.00073705-0.0039605i,-0.0019735+0.0016033i,0.0021735-0.0002029i,-0.0002808+0.0026425i,0.0023765+0.0063782i,3.5055e-05+0.0011428i,-0.0012646+0.00069006i,-0.0014958-0.0014253i,0.0027792+0.0042933i,0.014258+0.0069114i,0.044352-0.053855i,-0.026855+0.0060742i,0.018406-0.027828i,-0.022391-0.033652i,-0.011612+0.0027418i,-0.032066+0.034092i,-0.019444+0.0052256i,-0.016308+0.0083835i,-0.0021162-0.017522i,-0.040713-0.020391i,-0.0082483+0.0021293i,-0.028085+0.012321i,0.0025398+0.01391i,0.0011592+0.0046803i,-0.0040175-0.0049074i,0.00018299+0.0023839i,-0.013499-0.0043095i,0.0051302+0.013866i,-0.00091277+0.0078192i,-0.0019145+0.0038096i,0.00086037+0.0056967i,0.0027578+0.0026713i,-0.0012712+0.018744i,0.0041736+0.015347i,0.005231-0.0048202i,0.011656-0.0051624i,0.0089323+0.0024306i,-0.0036376-0.0066823i,-1.5943e-05-0.0018721i,0.019076-0.031255i,0.0092126+0.00468i,0.007935-0.0015281i,0.0025971-0.00049558i,0.0063368-0.0086082i,0.022141+0.00047478i,0.0059125-0.0029441i,0.00184-0.0069809i,0.0049856-0.0034015i,0.017496+0.0034831i,0.0063988+0.0028372i,0.0035272-0.0036315i,0.0090471+0.0097684i,-0.0014817+0.004711i,0.0083731+0.0095303i,-0.013421-0.014455i,-0.0095281+0.0022308i,-0.0087889-0.014244i,-0.0085183-0.0045218i,-0.039241+0.0070255i,-0.0057103+0.0038651i,-0.012344+0.00023664i
0.0065068+0.012718i,-0.00061668+0.013139i,0.0046923+0.021438i,0.0056813+0.021875i,0.0043742+0.026908i,0.014353+0.019646i,-0.0053394+0.026295i,-0.00086405+0.021174i,0.011119+0.00073615i,0.00025235-0.0048722i,0.0027233+0.00062504i,0.0046688-0.0052616i,-1.3781e-05-0.0022371i,0.00036371-0.0031527i,-0.00059552-0.0015631i,0.0029032-0.0062567i,-0.0052388-0.0020758i,-0.00018832+0.0028096i,0.001461+3.3217e-07i,0.0010268+0.0015365i,-0.0018687+0.0013519i,0.00045719+0.00041325i,0.0015282-0.00030396i,-0.0072458-0.0015777i,-0.00032135-0.00031294i,-0.0018724+0.0012521i,-0.0030112+0.0016116i,-0.001247+0.00065019i,-0.0013835+0.00077134i,1.631e-05-0.00018165i,-0.0024469+0.0017902i,0.00013627-0.0017682i,-0.00068238-0.0030156i,-0.001267-0.0010179i,-0.0018612+0.0010387i,0.00026906-0.0031463i,-0.00093394+0.0020722i,0.0012539-0.0010837i,0.00035904+0.0027703i,0.0040771+0.0042682i,0.00057883+0.0011031i,-0.0012875+0.00087229i,-0.002066-0.0010074i,0.0039881+0.0033554i,0.015093+0.0025706i,0.024074-0.063937i,-0.020803+0.013929i,0.0076526-0.035575i,-0.034038-0.025986i,-0.0091847+0.0056697i,-0.020474+0.039525i,-0.015659+0.010769i,-0.0056155+0.003255i,-0.0041242-0.016191i,-0.045244-0.0043696i,-0.0079535+0.0025121i,-0.02279+0.023665i,0.0057677+0.0097249i,0.001626+0.0031314i,-0.0088726-0.0063889i,-0.0022228+0.0051546i,-0.013434+0.0037964i,0.010991+0.009816i,0.001229+0.0094586i,-0.00019601+0.0036569i,0.003086+0.0065909i,0.0041114+0.002476i,0.0066178+0.015014i,0.0093416+0.0085967i,-0.0010755-0.0076027i,0.0058949-0.006576i,0.007924+0.0007234i,-0.0066863-0.00021863i,-0.0007557+0.00058265i,0.0049386-0.031602i,0.011004+0.0017395i,0.0081375-0.0046707i,0.0041503-0.0021259i,0.0010285-0.0058045i,0.020575-0.0095627i,0.0031754-0.0047739i,-0.0015811-0.005606i,0.0011555-0.0030874i,0.015249-0.0029001i,0.0073856+0.0017673i,0.002308-0.0021873i,0.011774+0.0061653i,-0.00038927+0.0056082i,0.009816+0.0052102i,-0.018599-0.012678i,-0.0046454-0.011886i,-0.0079146-0.01158i,-0.0081041-0.0028463i,-0.033768+0.020406i,-0.0038506+0.0047388i,-0.010406+0.0022535i
0.009502+0.011035i,0.00056762+0.011557i,0.0074582+0.015739i,0.0082725+0.019418i,0.0090834+0.025196i,0.017342+0.016606i,-0.0012158+0.02671i,0.0031447+0.020108i,0.0094172-0.0020631i,-0.0011929-0.0042565i,0.0037253+0.00020132i,0.00099724-0.0059642i,-0.00067041-0.0023184i,-0.0003904-0.0032272i,-0.0010911-0.0012426i,-0.00040543-0.0047237i,-0.0056871+0.00069572i,0.0010536+0.0026719i,0.0017066-0.0015081i,0.0020932+0.00039811i,-0.00058517+0.0018405i,0.0012677-5.8547e-06i,0.0014132-0.00093992i,-0.0071952-0.00036879i,-0.00023601-4.527e-05i,-0.00084152+0.0021813i,-0.0014555+0.0021547i,-0.00061021+0.00096582i,-0.00092017+0.0009886i,-5.5933e-05-0.00038192i,-0.0013978+0.0025204i,-0.00062331-0.0013467i,-0.0019292-0.0019428i,-0.0019418-0.00029106i,-0.0014032+0.0019634i,0.0012926-0.0038669i,-0.00024615+0.0018547i,0.00037528-0.0014407i,0.0020236+0.002258i,0.0044958+0.0023793i,0.001122+0.00091717i,-0.00029413+0.0016706i,-0.0025327-0.00058622i,0.0044225+0.0013699i,0.014537-0.0011677i,0.0022961-0.063671i,-0.010475+0.017382i,-0.0046254-0.037027i,-0.037492-0.017035i,-0.0039351+0.0069409i,-0.0065909+0.039832i,-0.0046162+0.011784i,-0.0045329-0.0038303i,-0.0058368-0.015259i,-0.041291+0.010079i,-0.0072035+0.0042114i,-0.010564+0.029709i,0.0066879+0.0058034i,-0.00053646+0.00075949i,-0.016348-0.0030303i,-0.0011334+0.0063609i,-0.0087882+0.0087921i,0.012423+0.003112i,0.0044443+0.009532i,-0.0014247+0.0044336i,0.0045129+0.0046032i,0.0054798+0.0003061i,0.0088948+0.0084689i,0.0087354+0.0029657i,-0.0065159-0.0030757i,0.003756-0.0058807i,0.0089776-0.00055652i,-0.0025499+0.0071136i,0.0020294+0.0021201i,-0.0048116-0.027239i,0.011934-0.0033967i,0.0054776-0.0071274i,0.0022922-0.0039587i,0.00086421-0.0043127i,0.013156-0.016323i,0.00018768-0.0017227i,-0.0037652-0.003111i,-0.00037955-0.00016107i,0.011-0.0068324i,0.010088-0.0021771i,0.0033901-0.0031528i,0.014498+0.00048114i,0.003263+0.0048473i,0.009485+0.0014218i,-0.022387-0.0054354i,-0.015423-0.02034i,-0.0060976-0.013733i,-0.0060594-0.0031692i,-0.023348+0.026359i,-0.0037498+9.2713e-05i,-0.0081476-0.0012901i
0.012223+0.0077489i,0.0022963+0.010654i,0.0079022+0.010633i,0.01078+0.017377i,0.013303+0.021606i,0.019793+0.012794i,0.0037821+0.026372i,0.0069788+0.018002i,0.0076558-0.0032183i,-0.0023046-0.0033149i,0.0041023-0.0016576i,-0.0014745-0.0041203i,-0.0015448-0.0022509i,-0.0014842-0.0025047i,-0.0016225-0.00085746i,-0.0016452-0.0017653i,-0.0043682+0.0032762i,0.0019724+0.0018013i,0.000935-0.0018673i,0.0018703-0.0011592i,0.00027247+0.0017009i,0.0015697-0.00078967i,0.001066-0.0015881i,-0.0074112+0.001476i,3.5935e-05-0.00022785i,0.00081603+0.0014734i,-0.00028821+0.0018355i,6.9322e-05+0.00072891i,-0.0002501+0.001319i,-0.00011402-0.00018572i,-0.00031043+0.0026236i,-0.0014285-0.00084727i,-0.0028205-0.00065287i,-0.0019769+0.00080055i,-0.0005201+0.0023391i,0.0011131-0.0060668i,0.00070081+0.0019223i,-0.00046865-0.0012073i,0.0025193+0.00055124i,0.0045513+0.00096859i,0.0016249+0.00025713i,0.00068609+0.0012481i,-0.0026934+0.00025563i,0.0028924-0.0011361i,0.013373-0.0041802i,-0.015545-0.052471i,-0.0013509+0.014429i,-0.015183-0.033632i,-0.041286-0.0077152i,0.00090737+0.0047032i,0.0046843+0.034727i,0.0032281+0.0044763i,-0.0047873-0.0052028i,-0.0062152-0.012792i,-0.03442+0.018856i,-0.0060888+0.005554i,0.00078617+0.028663i,0.0069171+0.0027989i,-0.0037259+0.0021011i,-0.019446+0.0063446i,-0.00072754+0.0082666i,-0.0037801+0.0094185i,0.0097854-0.0028192i,0.0080522+0.0083783i,-0.0001316+0.0070503i,0.0039755+0.0042757i,0.0054552-0.0032205i,0.0073174+0.0030744i,0.0055684+0.00027685i,-0.0051233+0.00099638i,0.0018334-0.0057202i,0.0085029-0.0030353i,0.0058463+0.0075973i,0.0036135+0.00034875i,-0.009918-0.02157i,0.0093253-0.0073554i,0.0027428-0.0082655i,0.0013944-0.0029465i,-3.1461e-05-0.004846i,0.0055738-0.017532i,0.0028837-0.00083069i,-0.0042172-0.00021386i,0.0019639+0.0020823i,0.0075187-0.0069735i,0.0082981-0.0070259i,0.0013913-0.0038558i,0.01158-0.0071419i,0.0041338+0.0014409i,0.0091335-0.0025617i,-0.018514+0.0025168i,-0.026438-0.017706i,-0.010289-0.018514i,-0.0060834-0.0055461i,-0.015043+0.026857i,-0.0087669-0.00011472i,-0.011699-0.00054208i
0.013321+0.0040761i,0.0030465+0.0087911i,0.0063749+0.0069838i,0.01319+0.014831i,0.016283+0.017456i,0.021114+0.0086501i,0.008929+0.024241i,0.009882+0.015069i,0.0066219-0.0037459i,-0.002568-0.0022277i,0.0028858-0.0029277i,-0.0022487-0.0022519i,-0.0023666-0.0018234i,-0.0016561-0.0016269i,-0.0018815-0.00020798i,-0.0011844+0.00043353i,-0.0022414+0.0047887i,0.0022231+0.00087653i,0.00068394-0.0017849i,0.00085129-0.0020295i,0.0005947+0.0012835i,0.0013038-0.0014143i,0.000265-0.0018939i,-0.0057807+0.0031162i,-0.00016941-0.00068226i,0.00099629-3.0752e-05i,0.00057523+0.001131i,0.0003541+0.00036346i,0.00055346+0.0010766i,0.00026227-0.00013875i,0.00046942+0.0024003i,-0.0015976-0.00042104i,-0.0028427+0.0010263i,-0.0015061+0.0016699i,0.00026908+0.002323i,-0.00096392-0.0081454i,0.001237+0.001159i,-0.00074318-0.00045225i,0.0020749-0.00039934i,0.0041099-3.7572e-05i,0.001576-0.00063698i,0.00099347+0.00053966i,-0.0022618+0.0010026i,0.00088132-0.00051087i,0.011879-0.0062823i,-0.019669-0.038207i,0.0035079+0.0089176i,-0.023814-0.026811i,-0.042258+0.0041912i,0.0032535+0.00012287i,0.012799+0.027223i,0.0054383-0.00296i,-0.004038-0.0073801i,-0.0050339-0.013015i,-0.027437+0.026105i,-0.0045965+0.0062382i,0.011724+0.023787i,0.0063511+0.00046706i,-0.0046374+0.0057375i,-0.016575+0.014344i,0.0020221+0.0094919i,0.00050086+0.010117i,0.0044087-0.0042265i,0.01076+0.0053862i,0.0030764+0.0078594i,0.0047647+0.0045378i,0.0038994-0.0054913i,0.0040415+0.0028947i,0.0030656+0.0011024i,-0.0040927+0.0029768i,0.00030198-0.0045202i,0.0070344-0.0053907i,0.0096417+0.0024343i,0.0035889-0.001723i,-0.012979-0.019175i,0.0056779-0.0095439i,-0.00072575-0.0085121i,0.0027658-0.0026676i,-0.0013262-0.0037571i,0.00043315-0.016142i,0.0035961-0.0029778i,-0.0023688+0.0023839i,0.0048358+0.0008932i,0.0059945-0.0078065i,0.0040236-0.010925i,0.0010029-0.0035287i,0.0055115-0.010521i,0.0023514+5.322e-05i,0.0051856-0.0067321i,-0.012001+0.0039781i,-0.035976-0.008254i,-0.016449-0.018356i,-0.0076373-0.0072749i,-0.0090323+0.026199i,-0.01259+0.0032877i,-0.011304+0.0035562i
0.013487+0.00069494i,0.0032569+0.0078578i,0.0046311+0.0056788i,0.015138+0.011807i,0.017825+0.013067i,0.021983+0.0047379i,0.013709+0.020539i,0.011861+0.011795i,0.0062012-0.0045256i,-0.0028239-0.0018934i,0.0011101-0.0033917i,-0.0023827-0.00062736i,-0.0032022-0.00099387i,-0.0016888-0.0012398i,-0.0019806+0.00044907i,1.8961e-05+0.0015303i,0.00039232+0.005122i,0.0022067+0.00014857i,8.5994e-05-0.0020875i,-0.00027532-0.0021829i,0.0012271+0.0010414i,0.00085287-0.0018815i,-0.00037484-0.0017018i,-0.0047496+0.0032803i,-0.00055541-0.00062187i,0.00018958-0.0008361i,0.00067518+0.00014631i,0.00056643-9.6639e-05i,0.0010184+0.00038104i,0.00030982-0.00060241i,0.0012226+0.0020614i,-0.0017252-1.1081e-05i,-0.0018557+0.0022395i,-0.00063697+0.0020706i,0.00078686+0.0021098i,-0.0041589-0.0090243i,0.001346+0.00011727i,-0.00054435-0.00014345i,0.0016776-0.0010983i,0.0036316-0.00056268i,0.0011851-0.00090305i,0.00093282+0.00017134i,-0.0016637+0.0012158i,0.00039015+0.00096523i,0.010511-0.0074975i,-0.017838-0.031175i,0.0053905+0.0043499i,-0.027773-0.016277i,-0.036514+0.017627i,0.00054838-0.0042659i,0.016635+0.019267i,0.0053952-0.0092629i,-0.0044654-0.0082533i,-0.0066709-0.013328i,-0.018996+0.030833i,-0.003871+0.0070499i,0.017419+0.011486i,0.0057142-0.0017611i,-0.0029479+0.0090175i,-0.0098088+0.020405i,0.0048988+0.0081895i,0.0054609+0.007224i,0.0018028-0.0022403i,0.012605+0.00068197i,0.005739+0.0072311i,0.0060014+0.0037942i,-0.0010428-0.0081298i,0.0038462+0.0049177i,0.0035735+0.0027301i,-0.0017074+0.0061139i,0.00048523-0.0037203i,0.0051694-0.0065366i,0.010023-0.002785i,0.0027682-0.0037148i,-0.01911-0.017152i,0.0018663-0.010154i,-0.0043405-0.0072057i,0.0014321-0.0043012i,-0.0015373-0.0021167i,-0.0025977-0.013136i,0.0020849-0.0047917i,0.00015667+0.0025285i,0.0049425-0.0031113i,0.0030395-0.0090942i,-0.0025794-0.011082i,0.00029098-0.0046603i,0.00054769-0.0093639i,0.0021581-0.0007763i,-0.00011837-0.0060405i,-0.0093673+0.0036698i,-0.033812+0.0085551i,-0.022359-0.015245i,-0.0097666-0.007196i,-0.0049888+0.026079i,-0.011497+0.0091417i,-0.0067665+0.0050108i
0.012972-0.0024837i,0.0038302+0.0076843i,0.0036597+0.0056254i,0.016353+0.0083515i,0.018411+0.0093824i,0.022385+0.00041299i,0.017248+0.015784i,0.012953+0.0085925i,0.0057542-0.0053069i,-0.0033494-0.0011169i,-0.00041063-0.0027206i,-0.0013847+0.00076402i,-0.0036238+0.00018653i,-0.0021075-0.001231i,-0.0019075+0.0011466i,0.0010257+0.0018939i,0.0025395+0.0042158i,0.0019547-0.00037493i,-0.0003739-0.0020163i,-0.0011455-0.0016183i,0.0016958+0.00042135i,0.0001815-0.0022127i,-0.00083127-0.0013231i,-0.0043223+0.0044192i,-0.00077849-0.00062377i,-0.00069235-0.00081651i,0.00056129-0.00042119i,0.00033108-0.00079693i,0.00097447-0.00048872i,-9.5679e-05-0.0010737i,0.0018372+0.0014065i,-0.0014711+0.00095606i,-0.00029984+0.0023914i,0.00027885+0.0020004i,0.0013862+0.0015247i,-0.0078834-0.0083629i,0.001114-0.00051484i,-0.00052236-0.00033172i,0.00099993-0.0017898i,0.0032767-0.0010714i,0.00093214-0.0011233i,0.0011811-0.00015679i,-0.0013152+0.0010876i,0.00097615+0.0015348i,0.0098155-0.009202i,-0.018298-0.030001i,0.0063952+0.001034i,-0.025214-0.0074984i,-0.025606+0.027031i,-0.0018513-0.0044165i,0.019081+0.012776i,0.0025507-0.01447i,-0.0045523-0.0093077i,-0.007491-0.01115i,-0.010601+0.032915i,-0.0012595+0.0071948i,0.012266+0.00041485i,0.0037892-0.0043165i,0.00014338+0.010445i,-0.0022697+0.021488i,0.0060803+0.0059055i,0.0066972+0.0023756i,0.0021067-0.0010203i,0.011879-0.0035355i,0.0097727+0.0052245i,0.0072072+0.0034372i,-0.0054873-0.0035017i,0.0060307+0.0052989i,0.005127+0.0029837i,0.0021135+0.006367i,-0.00038768-0.0040859i,0.0033574-0.0075746i,0.0082155-0.0092631i,-0.00039698-0.0044415i,-0.025191-0.010388i,-0.001336-0.0094842i,-0.0063686-0.00389i,0.0009942-0.0026171i,-0.0015757-0.0019099i,-0.0041175-0.012701i,-0.00013788-0.0059236i,0.0012221+0.0008064i,0.0024097-0.0046442i,0.00053563-0.0087155i,-0.0064177-0.0070714i,-0.0021625-0.0049785i,-0.0031723-0.0078555i,0.00062264-0.0016863i,-0.0021183-0.0032151i,-0.0063761+0.0038239i,-0.026152+0.011101i,-0.023372-0.010884i,-0.011716-0.0065723i,0.000355+0.023855i,-0.0091317+0.011495i,-0.0049613+0.0036412i
0.011747-0.0052731i,0.0054398+0.0075765i,0.003689+0.006201i,0.016773+0.0050353i,0.018433+0.0061533i,0.021653-0.0038614i,0.019592+0.010439i,0.013432+0.0056897i,0.0052029-0.006474i,-0.0035324-0.00014924i,-0.0008502-0.0015516i,-0.00015481+0.00068387i,-0.003624+0.0015516i,-0.0029986-0.00041093i,-0.0014332+0.0018887i,0.0020563+0.0014434i,0.0038557+0.0027163i,0.0018347-0.00077291i,-0.00086575-0.0017852i,-0.0013606-0.00064303i,0.0018275-0.00030602i,-0.00050541-0.0019i,-0.0010008-0.00088659i,-0.0024231+0.0054238i,-0.0012252-0.00045171i,-0.0011388-0.00046697i,-4.4453e-05-0.00098131i,-0.00037028-0.0011534i,0.00043944-0.0012212i,-0.00072603-0.0011154i,0.001998+0.00058958i,-0.00065478+0.00091112i,0.00038255+0.0017895i,0.00087435+0.0016035i,0.0015199+0.00086697i,-0.011178-0.0057024i,0.00058927-0.0011519i,-0.00087948-0.00020975i,-0.00013032-0.0023701i,0.0030416-0.0013945i,0.00064148-0.0013153i,0.0011364-0.00058522i,-0.001304+0.00098653i,0.0015922+0.0015651i,0.0083792-0.011473i,-0.022376-0.028509i,0.0057911-0.0027746i,-0.022752-0.0016924i,-0.012904+0.029649i,-0.0042865-0.0042848i,0.02074+0.0059361i,-0.00083593-0.016579i,-0.0055636-0.0099804i,-0.0066007-0.0085154i,-0.0016789+0.033124i,0.00085429+0.0060215i,0.0064219-0.00063537i,0.0007533-0.0053213i,0.0048101+0.011125i,0.0044123+0.019407i,0.0061498+0.0035475i,0.0053955-0.0018144i,0.0015238-0.00055129i,0.0093218-0.0079978i,0.012261+0.00077743i,0.0087339+0.0018293i,-0.0053414+5.2686e-05i,0.0082886+0.0045698i,0.006802+0.0025348i,0.0059988+0.0042068i,-0.0013715-0.0036007i,0.0017954-0.0087044i,0.0025554-0.012546i,-0.0018492-0.0022354i,-0.028028-0.00080045i,-0.0036456-0.008505i,-0.0064355-0.00037687i,0.0015974-0.0021515i,-0.0022329-0.0013539i,-0.0074453-0.012463i,-0.0028689-0.0056217i,0.001763-9.0933e-05i,0.00055007-0.005139i,-0.00052687-0.0080495i,-0.0082224-0.0036596i,-0.0044904-0.0029989i,-0.0063256-0.0052917i,-0.00017265-0.00197i,-0.0020613-0.0014922i,-0.0036439+0.0030625i,-0.0242+0.012705i,-0.023015-0.0082159i,-0.013856-0.0049756i,0.0023493+0.022567i,-0.0077191+0.012238i,-0.0039219+0.0027939i
0.010114-0.0074154i,0.0077096+0.0063937i,0.0050689+0.0064406i,0.016722+0.0019298i,0.018667+0.0034325i,0.020066-0.0077262i,0.020234+0.0042296i,0.013534+0.002956i,0.004207-0.0076364i,-0.003538+0.00071086i,-0.00076186-0.0010034i,-4.7257e-05-6.8622e-05i,-0.0029908+0.0029379i,-0.0028968+0.00084838i,-0.00067049+0.0023371i,0.0022439+0.00045766i,0.0042585+0.00094798i,0.0014311-0.0013644i,-0.0013683-0.0011937i,-0.00093157-3.7402e-05i,0.0018853-0.0011106i,-0.00073367-0.0015644i,-0.00093032-0.00052538i,-0.00032977+0.0053154i,-0.001575-7.661e-05i,-0.001564+2.0709e-05i,-0.0010874-0.0011304i,-0.0011092-0.0010022i,-0.00045711-0.0016496i,-0.0013424-0.00081638i,0.0018689-9.2566e-05i,-0.00068413+0.00088259i,0.00067842+0.0014367i,0.0012539+0.001061i,0.0014852+0.00034651i,-0.012885-0.0016822i,-0.00045656-0.0014075i,-0.00089155+0.00011991i,-0.0014409-0.0022487i,0.0028065-0.0018867i,0.00023946-0.0013701i,0.0010128-0.00094965i,-0.0013155+0.0010812i,0.0021281+0.0013832i,0.0057548-0.012891i,-0.027688-0.02244i,0.0043167-0.0057696i,-0.016767+0.0033956i,-0.0018583+0.029341i,-0.0057267-0.0010766i,0.020758-0.0017339i,-0.0015647-0.019208i,-0.0056062-0.0091617i,-0.0038102-0.0059042i,0.006493+0.031095i,0.0015712+0.0041776i,0.0036808-0.00085817i,-0.0027483-0.0051033i,0.010056+0.0079918i,0.0084157+0.015836i,0.0046251+0.0018873i,0.002974-0.0047559i,0.0025937+0.0018676i,0.0043817-0.010438i,0.012095-0.0054211i,0.0095076-0.00075641i,-0.004872+0.0030798i,0.011235+0.002398i,0.0091507-0.00014646i,0.0073801-0.0003815i,-0.0018238-0.0028445i,-0.00084641-0.0090579i,-0.0047541-0.012089i,-0.0010655-0.00037342i,-0.026989+0.0096159i,-0.0057698-0.0073539i,-0.0047457+0.0024154i,0.0020377-0.004694i,-0.0021536+0.00058892i,-0.011823-0.0098899i,-0.0054756-0.0030416i,0.0013122-0.0013989i,-0.0015058-0.0046071i,-0.0025871-0.007841i,-0.0080584+0.0014395i,-0.0046401-0.00020217i,-0.0079595-0.0015616i,-0.0017184-0.0027628i,-0.0014822-0.0012617i,-0.0015683+0.0025513i,-0.023513+0.019089i,-0.02349-0.0086712i,-0.013477-0.002284i,0.0064332+0.021709i,-0.0067506+0.014479i,-0.0023342+0.00044321i
0.0084448-0.0089914i,0.0096109+0.0043082i,0.0067811+0.0053244i,0.016017-0.0011837i,0.018592+0.00059336i,0.018008-0.01082i,0.018766-0.0012433i,0.013226+0.00036934i,0.0029814-0.0085198i,-0.0034774+0.0017464i,-0.00098063-0.00071688i,-0.0006392-0.0001643i,-0.0018691+0.0037372i,-0.0023415+0.0018674i,2.7752e-05+0.0024204i,0.0015643-0.00015583i,0.003811-0.0005653i,0.00092341-0.0016049i,-0.001269-0.0005801i,-0.00041326+0.00013079i,0.0017125-0.0019764i,-0.00082599-0.0014139i,-0.00068445-0.00035659i,0.0012784+0.0048953i,-0.001713+0.00036507i,-0.0017325+0.00080735i,-0.0020814-0.00059168i,-0.0015633-0.00046965i,-0.0015246-0.0014727i,-0.0018909-0.0002427i,0.0015599-0.00058844i,-0.00054878+0.001257i,0.0010317+0.00099206i,0.0014566+0.00047407i,0.0012179-9.0368e-05i,-0.012867+0.0025615i,-0.0013703-0.0010331i,-0.0009753+0.00013765i,-0.0025627-0.0014601i,0.0023586-0.0025962i,2.1355e-05-0.0012135i,0.00081705-0.0013639i,-0.0014045+0.0013723i,0.0025976+0.00098935i,0.0035045-0.013208i,-0.027749-0.013598i,0.0011164-0.0073162i,-0.010609+0.0032363i,0.0086391+0.026298i,-0.0042721+0.0029182i,0.01753-0.0083791i,-0.0049919-0.023932i,-0.0039974-0.0089117i,0.0011837-0.0048315i,0.014577+0.025566i,0.0015286+0.0031568i,0.0011446-0.00065454i,-0.0050494-0.0029047i,0.011984+0.0021954i,0.011357+0.012884i,0.0024409+0.0022289i,-0.00047289-0.0070626i,0.0060098+0.00054521i,-0.00070928-0.0097754i,0.0077552-0.0095986i,0.0091173-0.004106i,-0.0039274+0.004736i,0.012599-0.0029126i,0.0086176-0.0052454i,0.005745-0.0046652i,-0.0022215-0.0023562i,-0.0038823-0.008331i,-0.0093542-0.0068915i,0.00031667-0.00062025i,-0.021022+0.020469i,-0.0079363-0.005402i,-0.002185+0.0037374i,-0.0012825-0.0057637i,-0.00086235+0.0011455i,-0.015147-0.0050295i,-0.0047819+0.00037677i,-9.3898e-06-0.0024296i,-0.0034866-0.0033696i,-0.0047675-0.0061637i,-0.0050858+0.0042692i,-0.0032561+0.0016289i,-0.0076247+0.002952i,-0.0042354-0.0021792i,-0.0020302-0.0011609i,0.002275+0.0022619i,-0.012928+0.025503i,-0.027241-0.0068439i,-0.01193-0.0018849i,0.0088296+0.01929i,-0.0038481+0.016798i,-0.0032624-0.0030532i
