-0.026325-0.0041392i,-0.022631+0.002227i,-0.017229-0.0083568i,-0.029546-0.013599i,-0.028856+0.0031378i,-0.03929-0.0042163i,-0.061159-0.02786i,-0.034614-0.015244i,-0.032051-0.0044506i,0.007468+0.003586i,-0.0029868+0.0069495i,-0.0049176+0.013663i,0.0035133+0.0092836i,-0.00096056+0.003881i,0.005018+0.0044116i,0.004151+0.026439i,0.019155+0.018001i,0.0010424-0.00091338i,0.00057509-0.0074479i,0.0065709-0.0012064i,0.0053483-0.0020336i,0.0070847+0.0020382i,0.00076301-0.00010742i,-0.024826+0.0030591i,-0.0061566-0.0037031i,-0.0019994+0.0033911i,6.3449e-05-0.00045918i,-5.2398e-05+0.00062594i,-0.0010983+0.00065145i,-0.002443-0.0034453i,-0.0040238-0.001682i,-0.0054468-0.006247i,0.00247-0.00031694i,-0.00051537-0.00027939i,0.0015444-0.0025132i,-0.0037425+0.018338i,0.0018274-0.0025036i,0.00037561-0.0025646i,0.0042157-0.0022015i,-0.0014003-0.004029i,0.00079541+0.00041254i,0.0061182+0.0018757i,0.0064643-0.0019126i,-0.00098272+0.0021624i,-0.014912+0.016738i,-0.032645+0.054418i,-0.0026704-0.036352i,-0.01455-0.018548i,-0.03745-0.018575i,-0.028505-0.015169i,0.038308-0.007632i,0.0085067-0.031623i,0.015796-0.040397i,-0.010396-0.031031i,0.025546-0.021519i,0.013925+0.0081352i,0.03347-0.036914i,-0.0021593-0.0048347i,0.0074401-0.008444i,0.0005684-0.0050012i,0.005134-0.036279i,-0.014959+0.030709i,0.0080061-0.01213i,-0.0076789-0.0053205i,-0.0025421-0.0019762i,0.00055166-0.015443i,-0.0088718+0.0057602i,0.0036212+0.0062424i,-0.0033504+0.027881i,0.002039+4.9022e-05i,-0.0064777-0.0050808i,-0.0028236-0.0062745i,-0.012875-0.011379i,-0.002714-0.0061674i,-0.041652+0.029069i,-0.005215-0.0085963i,-0.013234-0.0020076i,-0.0064785-0.0088477i,0.0011744-0.0018707i,-0.012696+0.0017978i,-0.0015231-0.00016766i,0.0054852+0.0065011i,0.0035823-0.0051862i,-0.0040908-0.015182i,0.0082346+0.0093486i,-0.015923+0.0036782i,0.0051942-0.00053731i,-0.020255-0.0025267i,-0.018092-0.0037868i,-0.018668-0.034372i,0.02078-0.0077562i,-0.038664-0.024434i,-0.010858+0.0038684i,0.017998+0.017039i,-0.021807+0.017097i,-0.0041126-0.0040236i
0.003984+0.013266i,0.0087361+0.01742i,0.0057292+0.024286i,-0.0072233+0.019983i,0.0013787+0.031388i,0.014098+0.022468i,-0.009345+0.028811i,-0.0059103+0.021306i,0.014545+0.010883i,-0.0023829-0.0034497i,0.00099884-0.00037768i,0.0055175-0.0028339i,0.0025668-0.00101i,0.0013927-0.003018i,-0.00068324-0.0014096i,0.0072066-0.0073351i,-0.00033887-0.0070749i,-0.0055174-0.002751i,0.00022948+0.00070273i,0.00057063+0.001575i,0.0014496-0.0033373i,6.6487e-05-0.00057739i,0.0022073+0.00028626i,-0.009148-0.0058086i,-0.00051681-0.00041629i,-0.0015008+0.00078066i,-0.0028698+0.0010114i,-0.0018616+0.0014074i,-0.0013578-0.00092301i,0.00069034-0.0011164i,-0.0025589+0.0012495i,-1.6329e-05-0.0014401i,-0.0009051-0.00022866i,0.00096928-0.0014089i,-0.00063517+0.0012941i,-0.0014174-0.0045314i,-0.001418+0.00030257i,0.001246+0.00059223i,0.004494+0.0058499i,0.0026558+0.00062981i,-0.00090937+0.00075851i,-0.0011651+0.00019887i,-0.0017193-0.0013423i,0.0037914+0.0091432i,0.015901+0.0051573i,0.048381-0.05398i,-0.02671+0.0044942i,0.01794-0.02619i,-0.022898-0.037304i,-0.012302+0.0024092i,-0.034139+0.035529i,-0.022893+0.0046165i,-0.01892+0.0068939i,-0.0038712-0.017008i,-0.038513-0.022467i,-0.0092096+0.0022168i,-0.030081+0.013391i,0.0035328+0.015922i,0.00015203+0.0047799i,-0.0063229-0.0054816i,-0.00055068+0.0021654i,-0.018374-0.0042179i,0.0051507+0.014215i,-0.0013485+0.0080179i,-0.002057+0.0041751i,0.0013168+0.0057757i,0.0015927+0.0037546i,-0.0019017+0.01891i,0.0049253+0.017431i,0.0058741-0.0053187i,0.013473-0.0045904i,0.00854+0.0027815i,-0.0049759-0.0062144i,0.00041017-0.0013881i,0.014651-0.034211i,0.0091124+0.0044661i,0.0077353+1.3932e-05i,0.0023517-0.00078476i,0.0061251-0.0083479i,0.020504+0.0010488i,0.0067084-0.0030555i,0.00099329-0.0083711i,0.00451-0.0031568i,0.016976+0.00095i,0.0061312+0.0050591i,0.003194-0.0042868i,0.0080493+0.0078634i,-0.0022506+0.0044378i,0.0092986+0.010628i,-0.012653-0.012823i,-0.0091429+0.00030619i,-0.0086343-0.01415i,-0.0089841-0.0041133i,-0.043603+0.00058514i,-0.0059228+0.0037022i,-0.012618+0.00024028i
0.006173+0.012098i,0.011165+0.014332i,0.010623+0.019766i,-0.0041245+0.019326i,0.0059571+0.028648i,0.017428+0.019126i,-0.0053012+0.029868i,-0.0017391+0.021244i,0.014953+0.0049318i,-0.0016195-0.00079063i,0.0012051+0.00014907i,0.0040751-0.0044797i,0.0019274-0.00252i,0.0012262-0.0027111i,-0.0011398-0.0009083i,0.0033524-0.0069065i,-0.0044528-0.0062581i,-0.0016882+0.0011901i,0.0014799+0.00079446i,0.0014119+0.0010379i,-0.0047018+0.00068018i,0.00055613+0.00020253i,0.0026688-0.00061754i,-0.0088148-0.0019983i,-0.00016986-2.2117e-05i,-0.0011974+0.0014124i,-0.0018727+0.0021837i,-0.00097298+0.001673i,-0.0016289-0.00081112i,0.00053952-0.0011074i,-0.0013774+0.0032272i,-0.00065403-0.00075896i,-0.0017165+0.00020602i,-0.0012414-0.0015803i,-0.0018041+0.0010468i,9.5446e-05-0.0031014i,-0.00078563+0.00067108i,0.0012162+2.0427e-05i,0.013638+0.016963i,0.0025011-0.00077597i,-0.00036702+0.0012588i,-0.0012954+0.00039623i,-0.0022277-0.00071247i,0.0061114+0.00789i,0.01614-0.0005809i,0.026947-0.065183i,-0.0207+0.012873i,0.0076951-0.03394i,-0.03455-0.028336i,-0.0099628+0.0058364i,-0.021398+0.041153i,-0.018821+0.011324i,-0.0079143+0.0022974i,-0.0060855-0.015541i,-0.044824-0.0096032i,-0.0088411+0.0029177i,-0.024022+0.026058i,0.0071092+0.010983i,0.0010984+0.0033984i,-0.0099407-0.006186i,-0.0033051+0.005132i,-0.016659+0.0062809i,0.011297+0.010323i,4.7931e-05+0.010726i,-0.0001661+0.0042032i,0.0031811+0.0064387i,0.0030539+0.0038465i,0.0061859+0.014956i,0.0096398+0.0098284i,-0.00088924-0.0082366i,0.0069475-0.0070636i,0.0080724+0.0009053i,-0.0043891-0.0018239i,-0.00016705+0.0010458i,0.00047425-0.03386i,0.010951+0.0019507i,0.0090497-0.0031086i,0.0039318-0.0022752i,0.0010774-0.00591i,0.020211-0.0081417i,0.0039675-0.0050465i,-0.0027328-0.0068954i,0.00062024-0.002963i,0.01492-0.0042666i,0.0081564+0.0043245i,0.0027496-0.002887i,0.010358+0.0044271i,-0.0013411+0.0055614i,0.010823+0.0059928i,-0.01803-0.010952i,-0.0046648-0.013579i,-0.0078758-0.011877i,-0.008306-0.0021309i,-0.039207+0.01707i,-0.003937+0.0049178i,-0.0097313+0.002101i
0.008897+0.010476i,0.013208+0.011488i,0.013162+0.01453i,-0.0015544+0.018503i,0.011494+0.026401i,0.020152+0.015044i,-0.00046398+0.03037i,0.0025657+0.019783i,0.01289+0.00067723i,-0.0010311-0.0013031i,0.0021175+8.6922e-05i,0.0012368-0.0052853i,0.00085201-0.0028721i,0.00036329-0.0030072i,-0.0012413-0.00031803i,-0.00031696-0.004978i,-0.0069088-0.0027236i,0.0004869+0.0020828i,0.0023739-0.00060666i,0.0020326-5.3962e-05i,-0.0015717+0.00117i,0.001536-0.00011617i,0.0025449-0.0018132i,-0.0080582+3.0291e-05i,-4.0182e-05+0.00027521i,-5.7539e-05+0.0021898i,-0.00055906+0.0022366i,1.3849e-05+0.0016481i,-0.0017414+0.00012414i,2.2626e-05-0.0012539i,0.00079554+0.0048131i,-0.00071306-8.0275e-05i,-0.0016216+0.000987i,-0.0021672-0.00074133i,-0.0016362+0.0023837i,0.001881-0.003704i,-0.00018769+0.00068905i,0.00092143-0.00055679i,0.0035925+0.015712i,0.0015398-0.0012069i,-4.512e-05+0.0011117i,-0.00074324+0.0012619i,-0.0026431-3.1496e-05i,0.0076098+0.0048609i,0.014517-0.0050491i,0.0028967-0.064855i,-0.009717+0.016594i,-0.0039549-0.035553i,-0.038175-0.018455i,-0.0042783+0.0074774i,-0.0055575+0.040973i,-0.008217+0.013057i,-0.0068884-0.0046576i,-0.0074914-0.014109i,-0.045313+0.0054624i,-0.0076523+0.0045552i,-0.0096334+0.033427i,0.007748+0.0016499i,-0.0005181+0.00076954i,-0.017932-0.0022359i,-0.0019656+0.0065633i,-0.012195+0.010024i,0.012945+0.0031036i,0.004819+0.011149i,-0.0010878+0.0049619i,0.0042933+0.0047667i,0.0048934+0.0018129i,0.0084578+0.0081413i,0.008824+0.0044422i,-0.0068067-0.0030267i,0.0043437-0.0064229i,0.0099149-0.00033942i,-0.0018829+0.0059025i,0.0027778+0.0025918i,-0.022057-0.037095i,0.01201-0.0034121i,0.0071788-0.0066969i,0.0021108-0.0038255i,0.00077047-0.0041653i,0.013473-0.015613i,0.00033691-0.001678i,-0.00062362-0.0044028i,-0.00070004+0.00024023i,0.011846-0.0070428i,0.012685-0.00014425i,0.003519-0.0040208i,0.012787-0.0011306i,0.0029311+0.005603i,0.010766+0.0017154i,-0.021135-0.0038462i,-0.016353-0.021194i,-0.0066969-0.014057i,-0.0059387-0.0025265i,-0.028505+0.035111i,-0.0034728+7.648e-06i,-0.0077855-0.0014492i
0.011503+0.0075977i,0.014904+0.0084075i,0.013869+0.0094361i,0.001283+0.01813i,0.016636+0.021398i,0.02214+0.010223i,0.0051503+0.029947i,0.005706+0.016868i,0.010562-0.00093782i,-0.0015898-0.0011712i,0.0025008-0.00115i,-0.00098717-0.0041023i,-0.00037407-0.0028897i,-0.0010196-0.0024724i,-0.0011308+0.0005802i,-0.0015813-0.0015663i,-0.0066552+0.0011395i,0.0014053+0.0014177i,0.0017546-0.0012918i,0.0015682-0.0016644i,-0.00049186+0.00098439i,0.0019841-0.0010079i,0.0018768-0.0029876i,-0.0073847+0.0019256i,0.00048434+0.0001394i,0.0016072+0.00083899i,0.00036278+0.0017833i,0.00074213+0.0011496i,-0.0012083+0.00083644i,-0.00024924-0.00092682i,0.0021587+0.0038575i,-0.00082303+0.00036322i,-0.0013324+0.0017546i,-0.0023076+0.0006862i,-0.00048384+0.0026692i,0.0023216-0.0059832i,0.00022841+0.00050643i,0.00040992-0.00073256i,-0.00041629+0.0047882i,0.0015179-0.0014189i,0.00023414+0.00093523i,0.00022924+0.0011932i,-0.0028559+0.0012645i,0.0061232+0.00029271i,0.012528-0.008236i,-0.016638-0.051961i,-0.00031104+0.0131i,-0.013756-0.032484i,-0.039966-0.0059149i,0.00095489+0.0051637i,0.008196+0.033326i,0.00084146+0.0077214i,-0.0070842-0.0053569i,-0.0078675-0.011274i,-0.038794+0.018272i,-0.0062004+0.0058997i,0.00323+0.031239i,0.00647+0.0030214i,-0.0041732+0.0016743i,-0.020438+0.0073174i,-0.0011599+0.0083164i,-0.0089432+0.011747i,0.010066-0.003241i,0.0087111+0.0092515i,0.00062046+0.0071917i,0.0038854+0.0047581i,0.0054163-0.0016771i,0.0063185+0.002615i,0.0058711+0.0020223i,-0.0047378+0.001606i,0.0020842-0.0063101i,0.0094295-0.0026942i,0.0053226+0.0064238i,0.0045168+0.00063399i,-0.011407-0.012035i,0.0087928-0.0073863i,0.0037423-0.0095707i,0.0013386-0.0027236i,9.8531e-05-0.0046859i,0.0054381-0.01706i,0.0041154+4.519e-05i,-0.0039081+0.00087076i,0.0022676+0.0019946i,0.0096879-0.0073501i,0.011706-0.006821i,0.0014943-0.0045661i,0.0090173-0.0081382i,0.0039479+0.0017571i,0.010122-0.002965i,-0.016565+0.0039921i,-0.02713-0.018072i,-0.011027-0.018036i,-0.0058962-0.0053033i,-0.015577+0.030302i,-0.008619-0.00059695i,-0.011434-0.0010155i
0.012643+0.0041315i,0.015524+0.0047593i,0.012839+0.0053269i,0.0044644+0.017081i,0.019596+0.015457i,0.022624+0.005374i,0.010986+0.027603i,0.0072979+0.014184i,0.0094006-0.0017301i,-0.0017696-0.00053031i,0.0015245-0.0020827i,-0.0019066-0.0026482i,-0.001248-0.0023872i,-0.0012544-0.0014139i,-0.0017646+0.002422i,-0.00093568+0.00099145i,-0.0051333+0.004119i,0.00156+0.00083781i,0.0014544-0.0013106i,-5.592e-05-0.0018244i,-0.00030081+0.00063079i,0.0015885-0.0018432i,0.0005094-0.0037035i,-0.0055706+0.0030461i,0.00058393-0.00038498i,0.0010478-0.0012361i,0.00090867+0.00090622i,0.0011154+0.00046736i,-0.0010918+0.00135i,0.0001092-0.00068892i,0.0032577+0.002509i,-0.00066483+0.00053431i,-0.00056155+0.0024014i,-0.0017305+0.0016681i,5.0295e-05+0.0025899i,0.00093447-0.0082459i,9.7554e-05+0.00014123i,0.00010318-0.00053732i,-0.00023921+0.00029361i,0.0013323-0.0016971i,0.00034293+0.00070134i,0.00066012+0.00069882i,-0.00078027+0.0031607i,0.0024173+0.00054499i,0.010273-0.010292i,-0.023486-0.034853i,0.0046047+0.0072291i,-0.021859-0.026662i,-0.041614+0.014126i,0.0036077+0.00031576i,0.020367+0.026176i,0.0055605+0.0006653i,-0.0060691-0.007213i,-0.0064906-0.010814i,-0.030354+0.027372i,-0.0041463+0.0064502i,0.015434+0.025125i,0.0063578+0.00070258i,-0.0058766+0.0055828i,-0.017668+0.015022i,0.0017561+0.0093748i,-0.0052651+0.018536i,0.0042115-0.0044386i,0.011472+0.0063264i,0.003574+0.007608i,0.0047698+0.0049871i,0.0049505-0.0037808i,0.0027342+0.0030605i,0.0038887+0.0032196i,-0.0032718+0.0027681i,0.00046483-0.0049229i,0.0081651-0.0052776i,0.008172+0.0018611i,0.0045667-0.0019178i,-0.013234-0.012335i,0.0050034-0.0091814i,-0.00064251-0.0088587i,0.0026733-0.0028367i,-0.0013928-0.0037099i,-0.00020244-0.015292i,0.0058285-0.0022458i,-0.0020054+0.002851i,0.0047944+0.00041894i,0.0084633-0.0088885i,0.0061372-0.013266i,0.0012013-0.0044472i,0.0020631-0.010026i,0.0021389+0.00011863i,0.005792-0.0074509i,-0.010313+0.0052421i,-0.037113-0.0083079i,-0.016772-0.017605i,-0.007865-0.0077917i,-0.0088614+0.028509i,-0.01257+0.0031299i,-0.01105+0.0028695i
0.012739+0.0008862i,0.015198+0.0015518i,0.011239+0.0028747i,0.0073633+0.015106i,0.020159+0.0094193i,0.02265+0.001068i,0.016252+0.023685i,0.00848+0.012016i,0.0090837-0.0028871i,-0.0018085-8.3005e-05i,0.00010727-0.0022102i,-0.0021893-0.0013787i,-0.0019528-0.0020317i,-0.0011647-0.0011501i,-0.0018717+0.0023301i,0.00039286+0.0023615i,-0.0023058+0.0065293i,0.0016152-2.4626e-06i,0.00083375-0.0017621i,-0.00099841-0.0021036i,0.00035952+0.00068529i,0.0010783-0.0024421i,-0.00093767-0.0035336i,-0.0049213+0.002629i,0.00014717-0.00047108i,-0.00063648-0.0024428i,0.0008172+3.198e-06i,0.001169-0.00048419i,0.000218+0.0015861i,0.00017884-0.0011499i,0.0042969+0.00053116i,-0.00047893+0.00052434i,0.00055821+0.0023707i,-0.00084335+0.0020475i,0.00057615+0.0026641i,-0.0013778-0.0094138i,2.9398e-05+0.00034279i,3.9251e-05-0.00040413i,-0.00047633+1.0664e-05i,0.00042896-0.0017214i,0.00034451+0.00061706i,0.00070829+0.00037625i,2.3079e-05+0.00025273i,0.0014434+0.0028007i,0.0080562-0.011106i,-0.025016-0.026396i,0.0060496+0.002364i,-0.026345-0.017261i,-0.044429+0.027884i,0.00084511-0.0042311i,0.022001+0.01884i,0.0074985-0.0066237i,-0.0056601-0.0080764i,-0.0076664-0.009759i,-0.020686+0.031783i,-0.0037313+0.0072318i,0.020776+0.0106i,0.0058317-0.0017416i,-0.0043708+0.0096598i,-0.010926+0.021344i,0.0048959+0.0080174i,0.0052881+0.015907i,0.0018504-0.0024979i,0.014076+0.0013747i,0.0061087+0.0067982i,0.0061659+0.0041259i,0.0011819-0.0081117i,0.0026435+0.0053773i,0.0052888+0.0046976i,-0.0015655+0.005041i,0.00076819-0.0040812i,0.0061199-0.0066835i,0.0086077-0.002278i,0.0035307-0.0043112i,-0.017958-0.01022i,0.0013712-0.0096547i,-0.0042478-0.007363i,0.00067091-0.0042471i,-0.0017185-0.0021007i,-0.0029489-0.012293i,0.0051409-0.0041062i,0.00049468+0.0029372i,0.0049117-0.0032951i,0.0051277-0.010058i,-0.002819-0.013657i,9.0562e-05-0.0058779i,-0.0025408-0.0056501i,0.0019691-0.00062224i,0.00025771-0.0071564i,-0.0073659+0.0047717i,-0.034694+0.0087492i,-0.022422-0.014957i,-0.010702-0.0081306i,-0.0051236+0.027346i,-0.011495+0.0092041i,-0.006463+0.0039128i
0.012144-0.0020351i,0.014527-0.0010593i,0.0098558+0.0014807i,0.009381+0.012345i,0.019094+0.0049025i,0.022133-0.0035348i,0.020207+0.018609i,0.0092667+0.010225i,0.008806-0.0040025i,-0.0018513+0.00060064i,-0.00086491-0.0012471i,-0.001704-0.00030394i,-0.0030502-0.0011958i,-0.0015241-0.0013303i,-0.0013496+0.0027706i,0.0016219+0.00279i,0.0021749+0.0075258i,0.0012174-4.7762e-05i,0.00049585-0.0016458i,-0.0014763-0.0016369i,0.00090738+0.00027664i,0.00029299-0.0029248i,-0.0019553-0.0027682i,-0.0053652+0.003569i,-6.8558e-05-0.00067058i,-0.0019405-0.002326i,0.00052976-0.0005881i,0.00046952-0.0014164i,0.0010499+0.00077604i,-0.00043302-0.0017167i,0.0047026-0.00065207i,-7.1536e-05+0.00078215i,0.0016591+0.0016046i,-6.2127e-05+0.0021061i,0.0014436+0.0018385i,-0.0044245-0.0095688i,0.00053799+0.00026732i,-8.53e-05-0.00046747i,9.8221e-05-0.00025584i,-0.00017775-0.0011956i,0.00042821+0.00039329i,0.00086715+0.00021043i,-0.00049955+0.00014544i,0.0025264+0.0036302i,0.0070287-0.012344i,-0.028014-0.025994i,0.006848-0.0009188i,-0.024954-0.0088048i,-0.031287+0.03826i,-0.0014963-0.0045561i,0.023072+0.011569i,0.0053679-0.014177i,-0.0051581-0.0094963i,-0.0070441-0.0074231i,-0.01239+0.034801i,-0.0014051+0.007679i,0.013939-0.00080374i,0.0036304-0.0042497i,-0.00088906+0.011737i,-0.0030708+0.022572i,0.0063413+0.0052181i,0.0074261+0.011151i,0.0019727-0.001314i,0.013685-0.0035992i,0.0096713+0.0044689i,0.0073623+0.0031575i,-0.0041275-0.0045713i,0.0050523+0.0064814i,0.007409+0.0045015i,0.0017295+0.0052774i,-0.00010352-0.0045872i,0.004044-0.0080029i,0.0065442-0.0077718i,-5.8968e-05-0.0051407i,-0.022549-0.0043273i,-0.0020052-0.0089744i,-0.0054557-0.0036575i,0.00027048-0.0025441i,-0.0017432-0.0016557i,-0.0046718-0.011741i,0.0041219-0.0048965i,0.0018683+0.0009868i,0.0023288-0.0047126i,0.0024671-0.010122i,-0.0076637-0.0089098i,-0.0031343-0.0058571i,-0.0010675-0.0036181i,0.00088818-0.0015913i,-0.0022161-0.0041456i,-0.0039648+0.0045421i,-0.026205+0.01094i,-0.022857-0.010422i,-0.013555-0.0072621i,0.00036749+0.025028i,-0.0092528+0.011445i,-0.0049651+0.0023671i
0.011021-0.0045269i,0.013834-0.0031864i,0.0089893+0.00091841i,0.010642+0.009744i,0.017474+0.0017995i,0.02045-0.0078457i,0.022854+0.012934i,0.010304+0.0087095i,0.0085627-0.0056093i,-0.0013921+0.0013475i,-0.00029095-0.00024451i,-0.00099268-0.00014184i,-0.0034357+0.00039457i,-0.0025002-0.00077969i,-0.0005025+0.0033623i,0.0029544+0.0021846i,0.0063308+0.0046907i,0.0013124-7.6289e-05i,0.00028315-0.001609i,-0.0015048-0.00087374i,0.0011218-0.0003804i,-0.00067749-0.0027032i,-0.0025293-0.0018666i,-0.004393+0.0058011i,-0.0005423-0.0007661i,-0.0021049-0.0014338i,-7.2011e-05-0.0010871i,-0.00075415-0.0018739i,0.0011446-0.00023372i,-0.0012824-0.0017087i,0.00741-0.0033111i,0.00032379+0.00026284i,0.0018145+0.00037792i,0.00057067+0.0020514i,0.0013718+0.00088882i,-0.0076215-0.0074966i,0.00055318-0.00033482i,-0.0004961-0.00042994i,-0.00029482-0.00079079i,-0.00015953-0.00065555i,0.00051634+0.0002456i,0.00096887-6.2467e-05i,-0.00079999+3.139e-05i,0.003842+0.0038765i,0.0051782-0.014458i,-0.034835-0.024726i,0.005968-0.0048988i,-0.023392-0.0027128i,-0.015631+0.039814i,-0.0040329-0.0045726i,0.02403+0.0035335i,0.0014422-0.017757i,-0.0061702-0.011208i,-0.0050696-0.0051727i,-0.0023769+0.035719i,0.0012573+0.0069331i,0.0079239-0.0014738i,0.00083685-0.0051706i,0.0040743+0.012866i,0.0036755+0.02049i,0.0064816+0.0024256i,0.0089913+0.0025899i,0.0009876-0.00080037i,0.010608-0.0090208i,0.011563+0.00038954i,0.0086903+0.0013348i,-0.0048544-0.0011922i,0.0079804+0.006123i,0.0096486+0.003757i,0.0047827+0.0035076i,-0.001137-0.0041773i,0.0022743-0.0089724i,0.0015786-0.0090985i,-0.0017484-0.003053i,-0.024182+0.0048964i,-0.0044898-0.0076846i,-0.0051981-0.0015063i,0.00065193-0.0021854i,-0.0022429-0.0011508i,-0.0080801-0.010952i,0.00076139-0.0058157i,0.0023814-0.00027318i,0.00049718-0.0048401i,0.0008961-0.0094088i,-0.01002-0.0048971i,-0.0057959-0.0032744i,0.00026077-0.0029798i,0.00063479-0.0020619i,-0.0025317-0.0022225i,-0.0010537+0.003583i,-0.024489+0.011774i,-0.022197-0.008232i,-0.016531-0.0048731i,0.002418+0.023104i,-0.007734+0.012249i,-0.0039527+0.0014679i
0.0096098-0.0064825i,0.013125-0.0055274i,0.008977+0.00032478i,0.011287+0.0071976i,0.01658-0.00015047i,0.017883-0.011391i,0.023803+0.0064626i,0.011426+0.0067679i,0.0076533-0.0076455i,-0.00086627+0.0015201i,-0.0002345-0.0011287i,-0.0009615-0.00058985i,-0.0030436+0.0018218i,-0.0026728+0.00029043i,0.00074527+0.0035999i,0.0032938+0.00095118i,0.0065978+0.00061982i,0.0010435-0.00036281i,-7.411e-05-0.0016666i,-0.001102-0.00034562i,0.0011174-0.0011384i,-0.0011353-0.0022642i,-0.0026143-0.00089641i,-0.0017625+0.0071746i,-0.00099463-0.00067195i,-0.0024664-0.0005095i,-0.001009-0.0012546i,-0.0018305-0.0015947i,0.00072265-0.0011518i,-0.0020777-0.0012151i,-0.0085536-0.0055387i,-5.1215e-05+0.00020141i,0.0013597-0.0003007i,0.0012315+0.0017668i,0.0011692+0.00062561i,-0.0096175-0.0035784i,0.00019986-0.00072334i,-0.00074172-0.00015445i,-0.00085772-0.00082775i,-0.00021472-0.00036346i,0.00052187+2.8048e-05i,0.00091893-0.00034655i,-0.0011173+0.00011734i,0.0055184+0.003302i,0.0019793-0.015366i,-0.039318-0.016806i,0.0043398-0.0077385i,-0.018179+0.0032752i,-0.0033987+0.041132i,-0.005565-0.0012815i,0.0229-0.0048857i,0.00034268-0.021248i,-0.0085452-0.01175i,-0.0017264-0.0030496i,0.0069227+0.032836i,0.0023091+0.0045195i,0.005033-0.0019296i,-0.0026475-0.005033i,0.010127+0.010135i,0.0073764+0.016973i,0.0048673+0.0012925i,0.0058175-0.004034i,0.0017975+0.0021183i,0.0048397-0.011686i,0.011293-0.0054286i,0.0095578-0.0012363i,-0.0049559+0.0019857i,0.011561+0.0038971i,0.012696+0.00083699i,0.0058165+0.0003814i,-0.0016598-0.003577i,-0.00037265-0.0093624i,-0.0016541-0.0043929i,-0.0011622-0.0012554i,-0.022191+0.015367i,-0.0066252-0.0061084i,-0.0047764+0.0013711i,-0.00013531-0.0045946i,-0.0022454+0.00051366i,-0.011485-0.0078977i,-0.0027049-0.0039263i,0.001784-0.0020062i,-0.0013165-0.0043621i,-0.0012224-0.0089895i,-0.010297+0.00099059i,-0.0060339+0.00036619i,-0.0095464-0.0035203i,-0.00075353-0.0042466i,-0.0019028-0.0017143i,0.0012867+0.0025472i,-0.02432+0.018349i,-0.022334-0.0089899i,-0.015367+0.00052048i,0.0065915+0.022313i,-0.0066769+0.014194i,-0.002625-0.00072646i
0.0081542-0.0079842i,0.01196-0.0076384i,0.0092286-0.0009564i,0.011405+0.0047841i,0.016083-0.0020956i,0.015085-0.014067i,0.022703+0.00068755i,0.012047+0.0045709i,0.006197-0.0092226i,-0.0006785+0.0017154i,-0.0010255-0.00093123i,-0.0015658-0.00067577i,-0.0023278+0.002789i,-0.0025155+0.0013074i,0.0020932+0.0033594i,0.0025072+2.9844e-05i,0.0050214-0.0016252i,0.0010998-8.3534e-06i,-0.00027433-0.0017133i,-0.00061974-0.00019407i,0.00093703-0.0018611i,-0.0013197-0.0020233i,-0.0022492-0.00021799i,0.00088607+0.0072156i,-0.0013758-0.00045102i,-0.0026313+0.00076601i,-0.0019085-0.00081502i,-0.0023991-0.00072737i,-0.00022764-0.0017367i,-0.0027754-0.00042289i,-0.0018422-0.00018998i,-3.9127e-05+0.00060158i,0.00094624-0.00064226i,0.0019729+0.0011459i,0.00092986+0.00045655i,-0.010083+0.00048046i,-0.00027452-0.00098961i,-0.00082452+0.00010508i,-0.001246-0.0006065i,0.00012924+0.00040658i,0.00048404-5.9525e-05i,0.00095617-0.0005748i,-0.0013705+0.00037056i,0.0065526+0.0017502i,-0.00042-0.014941i,-0.037617-0.007303i,0.00069284-0.0096554i,-0.011876+0.0044443i,0.0078899+0.03948i,-0.0040471+0.0026598i,0.018828-0.011825i,-0.0040978-0.026813i,-0.007127-0.0065441i,0.0026958-0.0027457i,0.014727+0.026637i,0.0022821+0.0031466i,0.0016123-0.0016947i,-0.0049644-0.0028622i,0.012964+0.0039238i,0.010875+0.014843i,0.0026376+0.0025363i,0.0012314-0.0075036i,0.0053166+0.0012787i,-0.00086246-0.010821i,0.0072072-0.0092376i,0.0093241-0.0043589i,-0.0045805+0.0041612i,0.013445-0.0017353i,0.012568-0.0056447i,0.0054976-0.0028106i,-0.0022927-0.0031407i,-0.0034051-0.0086795i,-0.0014331-0.011504i,-5.9536e-05-0.0015832i,-0.01264+0.027386i,-0.0089426-0.0036758i,-0.0024487+0.0029178i,-0.0048218-0.0040267i,-0.0010135+0.0010636i,-0.013784-0.0034985i,-0.0032917-0.00070126i,0.00010571-0.003013i,-0.0031688-0.0032388i,-0.0034953-0.0073033i,-0.00731+0.0044557i,-0.0039053+0.0025032i,-0.0089527+0.0025637i,-0.0045537-0.0043522i,-0.0022865-0.0015547i,0.0053531+0.0012835i,-0.013569+0.025181i,-0.026329-0.0083065i,-0.012349-0.00032915i,0.0088406+0.019369i,-0.0039594+0.016311i,-0.0035478-0.0041637i
