-0.024699-0.004878i,-0.023791+0.0017322i,-0.017089-0.0070928i,-0.029754-0.013309i,-0.02809+0.0027111i,-0.0396-0.0065214i,-0.06439-0.034701i,-0.033604-0.018097i,-0.030064-0.0040778i,0.0057053+0.0036215i,-0.0043844+0.0074456i,-0.0060869+0.013431i,0.0056603+0.011023i,-0.0030025+0.0032555i,0.0043036+0.003891i,0.0035686+0.026253i,0.024275+0.02514i,0.00097704-0.0011351i,0.00056095-0.0054979i,0.0064404-0.00091969i,0.0052603+0.00089633i,0.0024853+0.0012372i,0.0013544-0.00074273i,-0.033479-0.0032765i,-0.0048201-0.0066103i,-0.00099446+0.0030251i,0.0029887-0.002729i,-0.00047355+0.00059129i,-0.00081542+0.00099898i,-0.0016072-0.0029598i,-0.0042095-0.0019015i,-0.0073614-0.0077504i,-0.0051008-0.0028485i,-5.5362e-05+4.3973e-05i,0.0019516-0.0031235i,0.00064816+0.024157i,0.0014072-0.0032638i,0.00020358-0.0022856i,0.0049738-0.002644i,-0.0030019-0.0013844i,0.00074647+0.00030443i,0.0066932-0.0021248i,0.0032502-0.0019113i,-0.00059147+0.0029476i,-0.013362+0.016425i,-0.029497+0.056209i,-0.0020959-0.037595i,-0.013597-0.01632i,-0.034889-0.014579i,-0.027254-0.015135i,0.044302-0.0058005i,0.0087768-0.03295i,0.014929-0.040764i,-0.0095134-0.029829i,0.025186-0.023016i,0.012043+0.0064066i,0.028576-0.032621i,-0.002741-0.0045376i,0.0064959-0.0083909i,-0.001733-0.0061646i,0.0038902-0.037135i,-0.013348+0.030186i,0.0070136-0.011674i,-0.010244-0.0050102i,-0.0026209-0.0015431i,0.00054154-0.01433i,-0.0079642+0.0056451i,0.0041708+0.0075658i,-0.0023951+0.029654i,0.0012839+0.00039723i,-0.0074183-0.0053425i,-0.0027456-0.0061391i,-0.014236-0.0095922i,-0.0020385-0.0064866i,-0.036005+0.0054432i,-0.0046813-0.0095734i,-0.013402-0.0026207i,-0.010592-0.0060012i,0.0014779-0.0014146i,-0.013501+0.0013323i,-0.0017812+0.00023018i,0.006076+0.0070747i,0.0038605-0.0049739i,-0.013402-0.012215i,0.008253+0.008896i,-0.017347+0.0049979i,0.0051983-0.0003084i,-0.019134-0.0030528i,-0.018291-0.004439i,-0.016205-0.033891i,0.020686-0.0098216i,-0.037711-0.023883i,-0.0089214+0.0043869i,0.018081+0.015663i,-0.022831+0.016917i,-0.0028287-0.0047006i
0.0034425+0.013546i,0.0087508+0.015743i,0.0054604+0.023431i,-0.0076154+0.020129i,-0.00010692+0.030835i,0.012544+0.021787i,-0.011328+0.026305i,-0.0091592+0.021805i,0.011676+0.0097527i,0.0011457-0.0035192i,0.0011218-0.0010138i,0.0045679-0.0027487i,0.0029096-0.0013723i,0.0017626-0.0037218i,3.3359e-05-0.0016337i,0.0064312-0.0055901i,-0.0036655-0.0053713i,-0.0022583+0.0027101i,-0.00031425+0.00029541i,0.00053589+0.0022676i,-0.0021787-0.0016354i,0.00043277-0.00071223i,0.002345+0.00016988i,-0.011296-0.0066539i,-0.00061923-0.00061963i,-0.0020471+0.00044046i,-0.0025808+0.00030039i,-0.0024846+0.0012018i,-0.0025077-0.00060089i,0.00035495-0.00072691i,-0.0034504+0.00068245i,0.00098937-0.0019165i,-0.0012565-0.0014127i,0.00017205-0.00082144i,-0.0014674+0.0012113i,-0.0011791-0.0052507i,-0.0020428+0.0012507i,0.0012977+0.00049924i,0.00041327+0.0027318i,0.0024836+0.0052433i,0.00014053+0.00064158i,-0.0010653-3.4477e-05i,-0.00085371-0.0017885i,0.0030953+0.0064143i,0.014807+0.0056119i,0.046989-0.060511i,-0.026015+0.0039042i,0.01687-0.025495i,-0.020914-0.033373i,-0.014312+0.00035895i,-0.040031+0.032099i,-0.023155+0.003063i,-0.017537+0.0067103i,-0.0025906-0.018329i,-0.040742-0.02154i,-0.0080778+0.0023155i,-0.028308+0.011463i,0.002492+0.01594i,0.00043143+0.0055264i,-0.0051374-0.0065875i,0.00030629+0.0017599i,-0.013577-0.0053843i,0.0050103+0.012027i,-0.0012057+0.0080617i,-0.0024777+0.0030629i,0.00031323+0.0052227i,0.0016412+0.0031963i,-0.0034415+0.02025i,0.0017914+0.016i,0.0055582-0.0057631i,0.013349-0.0058457i,0.0088856+0.0035874i,-0.0041913-0.0054824i,-0.00026862-0.0015227i,0.019684-0.03438i,0.0094458+0.0059652i,0.0089356-0.00044846i,0.0025133-0.00061927i,0.0051228-0.0080193i,0.02193+0.00018049i,0.0063242-0.0030158i,0.0011809-0.007805i,0.0044497-0.002917i,0.015422+0.0025847i,0.0063715+0.0031332i,0.0036415-0.0041132i,0.0095899+0.0090471i,-0.0016791+0.0053756i,0.009753+0.011263i,-0.013573-0.014424i,-0.010668+0.00069726i,-0.0083585-0.01436i,-0.0082868-0.005061i,-0.039554+0.0058673i,-0.0058831+0.0041695i,-0.012687-0.00047646i
0.0057918+0.012603i,0.010818+0.012648i,0.010319+0.019085i,-0.0044156+0.019127i,0.0045064+0.028435i,0.015514+0.018889i,-0.0078986+0.027452i,-0.0050528+0.02239i,0.012212+0.0048271i,-4.3948e-05-0.0036633i,0.0012322-0.00033613i,0.0035646-0.0043633i,0.0020737-0.0027565i,0.00174-0.003583i,-0.00068252-0.0013288i,0.0028721-0.0055172i,-0.006387-0.0026828i,-0.001067+0.0033084i,0.00072477+0.00054819i,0.0015727+0.0016702i,-0.0018431-0.00026329i,0.00081732-0.00021069i,0.002607-0.00076815i,-0.011544-0.0027603i,-0.00039973-0.0002393i,-0.0018292+0.0012054i,-0.0019045+0.0014145i,-0.0015289+0.0017515i,-0.0023356+0.00014456i,0.00065029-0.00050022i,-0.0028027+0.0021881i,-0.00038126-0.0015099i,-0.0018826-0.00072348i,-0.00083695-0.00084532i,-0.0022519+0.00097642i,-0.00049529-0.0041262i,-0.0011023+0.001812i,0.0010587-0.00011707i,0.00069251+0.0029855i,0.0037911+0.0032264i,0.00050952+0.00052571i,-0.0013809+0.0002636i,-0.0014185-0.0015644i,0.004788+0.00523i,0.015656+0.00015948i,0.024516-0.071377i,-0.020105+0.012187i,0.0067962-0.032524i,-0.031709-0.026155i,-0.011826+0.0044185i,-0.027618+0.04055i,-0.019934+0.0097692i,-0.0063433+0.0011616i,-0.0050749-0.016841i,-0.046224-0.0054291i,-0.0075377+0.0028358i,-0.023477+0.022667i,0.0067245+0.011454i,0.0012343+0.0037742i,-0.01099-0.0081531i,-0.0033645+0.0046988i,-0.013528+0.0023067i,0.010372+0.0085936i,0.00058032+0.010783i,-0.00098332+0.0037324i,0.0023354+0.006586i,0.0033569+0.0034413i,0.0053646+0.0167i,0.0073709+0.010364i,-0.0015004-0.0086209i,0.006302-0.0079618i,0.0084434+0.0017265i,-0.0061455+0.00060279i,-0.00034919+0.00087064i,0.0043872-0.034074i,0.012044+0.003175i,0.0097999-0.0041029i,0.0041696-0.0019007i,0.00074866-0.0055343i,0.02059-0.0089474i,0.0036066-0.0049507i,-0.0027276-0.0065318i,0.0008155-0.0026641i,0.013208-0.0029835i,0.0074266+0.0022221i,0.0027409-0.0028865i,0.01209+0.0053213i,-2.2659e-05+0.0057378i,0.011652+0.0065204i,-0.01881-0.01211i,-0.0061049-0.012047i,-0.0083993-0.012295i,-0.0084711-0.0039203i,-0.034146+0.020058i,-0.0036978+0.0053551i,-0.010881+0.0020561i
0.0089322+0.011079i,0.012405+0.0097215i,0.012869+0.014076i,-0.0020251+0.018191i,0.01017+0.026334i,0.018137+0.015328i,-0.0037296+0.028273i,-0.00083761+0.021946i,0.0105+0.0011077i,-0.0012179-0.0032807i,0.0020648-0.0001819i,0.00090852-0.0051077i,0.00092038-0.0031585i,0.00067243-0.0039486i,-0.0010621-0.00087685i,-0.00032014-0.0037113i,-0.0067933+0.00098515i,0.00051322+0.0035193i,0.0015184-0.00065871i,0.0023932+0.000604i,-0.0012605+0.0002369i,0.0015301-0.00066237i,0.0024429-0.0018168i,-0.011486-0.00014145i,-0.00045289+5.9858e-05i,-0.00089435+0.0021362i,-0.00073672+0.0016797i,-0.00040891+0.0020846i,-0.0020273+0.00078002i,0.00039509-0.0011018i,-0.001573+0.0030399i,-0.000997-0.00087024i,-0.0020361+0.00037545i,-0.0014957-0.00028505i,-0.0018758+0.0023068i,0.00046933-0.0046241i,-0.00038286+0.0017711i,0.00074287-0.00055201i,0.0026055+0.0021484i,0.0039943+0.0014667i,0.00074358+0.00028405i,-0.00067241+0.0011145i,-0.0020543-0.0013251i,0.0057649+0.0027995i,0.014467-0.0042635i,-8.9307e-05-0.071046i,-0.0091163+0.015926i,-0.0041218-0.034339i,-0.03574-0.017818i,-0.0060752+0.0065091i,-0.010906+0.043046i,-0.008501+0.012633i,-0.0064715-0.0062437i,-0.0068298-0.015363i,-0.042952+0.010286i,-0.0066431+0.0041403i,-0.011497+0.029726i,0.0083578+0.0066317i,-0.00037267+0.0006095i,-0.020164-0.0036963i,-0.0026244+0.007123i,-0.0093993+0.0071668i,0.012149+0.0019114i,0.0048113+0.010702i,-0.001902+0.0046159i,0.0040956+0.0049204i,0.004946+0.0016148i,0.0081988+0.010097i,0.0079036+0.0048058i,-0.0074906-0.0035488i,0.0033828-0.0068497i,0.0097412+0.00010528i,-0.0019439+0.0069528i,0.0020731+0.0025007i,-0.0058852-0.028736i,0.013786-0.002902i,0.0068156-0.0074083i,0.002618-0.003838i,0.00065618-0.0039463i,0.013621-0.016075i,2.4928e-05-0.0021684i,-0.0052838-0.0037313i,-0.00033437+0.00018336i,0.0093383-0.0062749i,0.010548-0.0016791i,0.0036825-0.0038338i,0.014402-0.00067559i,0.0031925+0.0050709i,0.011691+0.0022821i,-0.021831-0.0045625i,-0.016216-0.01959i,-0.0069532-0.013992i,-0.007679-0.0037491i,-0.023016+0.026336i,-0.0034102+0.00060931i,-0.0085459-0.0014716i
0.01182+0.0079888i,0.013589+0.006817i,0.013581+0.0091229i,0.00041203+0.017866i,0.015095+0.021368i,0.020294+0.011085i,0.0013828+0.028314i,0.0031666+0.02041i,0.0085549-0.00022596i,-0.0020961-0.0024538i,0.0026648-0.0013664i,-0.0011626-0.0039954i,-0.00039672-0.0031739i,-0.000918-0.0030682i,-0.0015759-0.00043004i,-0.0012929-0.00055576i,-0.0048181+0.0041269i,0.0019364+0.0026951i,0.00077325-0.0011739i,0.0023141-0.0008388i,-0.00076334+0.00053913i,0.0018486-0.0015377i,0.0017785-0.0028815i,-0.011102+0.0032328i,-1.1955e-05+8.0563e-05i,0.000798+0.0015197i,0.00028018+0.0013905i,0.00074949+0.0015884i,-0.0013818+0.0016716i,-0.0001141-0.00079734i,-0.00031695+0.0031808i,-0.0015083-0.00025325i,-0.0017286+0.0012854i,-0.0015781+0.00067137i,-0.00072804+0.0026843i,7.6495e-05-0.0066798i,0.00061592+0.0017453i,0.0003343-0.00070057i,0.0026053-0.00018245i,0.0037009+0.00011633i,0.00098443-0.0001633i,0.00024995+0.00091109i,-0.0025335-0.00069371i,0.0044581-0.00050468i,0.012725-0.0074878i,-0.020264-0.058409i,0.00027935+0.01225i,-0.014228-0.03156i,-0.039954-0.0091395i,-0.00040029+0.0042917i,0.0032036+0.03819i,0.00049087+0.006233i,-0.007401-0.0068796i,-0.0071393-0.012226i,-0.034319+0.020019i,-0.0054863+0.0053591i,0.00068989+0.02915i,0.0083992+0.0027879i,-0.00428+0.0015269i,-0.023682+0.0079441i,-0.0019248+0.0096066i,-0.0051141+0.0078956i,0.0091535-0.0040363i,0.0085789+0.0088332i,-0.00064754+0.007193i,0.0036149+0.0043935i,0.0059098-0.0016977i,0.0071544+0.0044379i,0.0053523+0.0017926i,-0.0059632+0.0011282i,0.0013858-0.0061455i,0.0092417-0.0027898i,0.0055396+0.0069689i,0.0037344+0.00094924i,-0.010936-0.022456i,0.010541-0.0076832i,0.0036826-0.0090803i,0.0015998-0.0032071i,5.3435e-05-0.0044985i,0.0057705-0.017513i,0.0025936-0.00084642i,-0.0057504-8.0332e-05i,0.0022127+0.0020542i,0.0060605-0.0065062i,0.0082545-0.007711i,0.0018196-0.0045561i,0.011057-0.0081191i,0.0040235+0.0021785i,0.010887-0.0025087i,-0.016969+0.0035506i,-0.027253-0.017367i,-0.010956-0.018276i,-0.0077756-0.0051428i,-0.015324+0.026599i,-0.0084103-0.00028437i,-0.012378-0.00095456i
0.013068+0.0043133i,0.013906+0.0035257i,0.012652+0.0051262i,0.0034175+0.017154i,0.018+0.015843i,0.021199+0.0067034i,0.0068098+0.026861i,0.0063564+0.018094i,0.0077505-0.00076985i,-0.0023672-0.0015184i,0.0018657-0.0025422i,-0.0020709-0.0024871i,-0.0014759-0.0027826i,-0.0011132-0.0018214i,-0.0017601+0.00039933i,-0.00043156+0.0016758i,-0.0020711+0.0056546i,0.0024677+0.0015643i,0.00062145-0.0010412i,0.0015237-0.0018303i,-0.00050626+0.00043617i,0.001391-0.0023441i,0.00046607-0.0034109i,-0.008177+0.0057477i,4.6512e-05-0.00045761i,0.00095438-5.2093e-05i,0.00081689+0.00068048i,0.001307+0.00077297i,-0.00024144+0.0019255i,0.00031603-0.0005215i,0.00068003+0.0029783i,-0.0013537+0.00026872i,-0.0010498+0.0020843i,-0.0012246+0.0013786i,-9.2959e-05+0.0024757i,-0.0021467-0.008319i,0.0012434+0.00096127i,5.9681e-05-0.00053603i,0.0013284-0.00090588i,0.0029241-0.00060177i,0.00076432-0.00069821i,0.00050937+0.00038402i,-0.0025313+7.4166e-05i,0.0018251-0.00028511i,0.010789-0.009739i,-0.025705-0.041733i,0.0047789+0.0061742i,-0.022515-0.025089i,-0.041544+0.0024658i,0.00238-0.00095727i,0.013647+0.029765i,0.0037678-0.00083979i,-0.0071404-0.008112i,-0.0055624-0.011628i,-0.026873+0.026175i,-0.0037306+0.0059495i,0.012057+0.023855i,0.0076373-0.00016877i,-0.0059358+0.0054882i,-0.02008+0.017864i,0.0014362+0.01125i,-0.001535+0.0092422i,0.0037292-0.0051381i,0.011253+0.0055735i,0.0022176+0.0082528i,0.0043515+0.0048352i,0.0049449-0.0046523i,0.0040695+0.0042525i,0.0030267+0.0024068i,-0.0047025+0.0027553i,6.9524e-05-0.0045229i,0.0078053-0.0054842i,0.0090581+0.0022355i,0.0040571-0.0011999i,-0.014037-0.020141i,0.0064316-0.010142i,-0.00012605-0.0095932i,0.0026875-0.0026754i,-0.0013875-0.0035506i,0.00018055-0.016004i,0.0037014-0.0030426i,-0.0031605+0.0030768i,0.0047802+0.00044007i,0.0047987-0.0072145i,0.0031912-0.01076i,0.0014127-0.0043417i,0.004623-0.01101i,0.0030209+0.00021215i,0.0067998-0.0069935i,-0.010437+0.0045404i,-0.036784-0.0070361i,-0.017079-0.018041i,-0.0089475-0.0064334i,-0.0094497+0.026459i,-0.012251+0.0032716i,-0.011685+0.003569i
0.013242+0.0006982i,0.013304+0.00063732i,0.01107+0.0026746i,0.006234+0.015553i,0.018697+0.010126i,0.0218+0.002715i,0.012003+0.023736i,0.0087296+0.015418i,0.0076695-0.0018433i,-0.0024087-0.001066i,0.00020327-0.0028943i,-0.002257-0.0011166i,-0.002619-0.0019749i,-0.00099609-0.0014294i,-0.0016573+0.0011136i,0.0011298+0.002745i,0.0011436+0.0055748i,0.0026727+0.00063415i,0.00011196-0.0013722i,0.00044145-0.0022063i,-7.3219e-06+0.00048331i,0.00073523-0.0029563i,-0.00065745-0.0032038i,-0.0066196+0.006053i,-0.00026279-0.00050596i,0.00013949-0.00081954i,0.00077807-0.00011692i,0.001481-0.00028057i,0.00076889+0.0014925i,0.00042155-0.0010956i,0.0017082+0.0026016i,-0.0012481+0.00067191i,1.8101e-05+0.0024027i,-0.00054155+0.0016895i,0.0002965+0.0025354i,-0.0052232-0.0087363i,0.0013087+2.2858e-05i,4.6578e-06-0.00050848i,0.00071741-0.0009476i,0.002298-0.00072211i,0.00030994-0.00070326i,0.00049764+0.00016757i,-0.0021832+0.0004254i,0.00087912+0.0012306i,0.0087052-0.010829i,-0.02262-0.033123i,0.0063734+0.0013465i,-0.026144-0.015277i,-0.036703+0.015856i,-0.00049803-0.006056i,0.018779+0.020057i,0.0047641-0.0070535i,-0.0069912-0.0078214i,-0.0062437-0.011466i,-0.019268+0.030238i,-0.0032888+0.0064442i,0.017399+0.011558i,0.006418-0.0030458i,-0.0044503+0.0095414i,-0.011239+0.025039i,0.0052763+0.0099083i,0.0036242+0.00746i,0.0008443-0.0029845i,0.01311+0.00085226i,0.0052758+0.0083252i,0.0057483+0.0042368i,5.3517e-05-0.0079724i,0.0043408+0.0061305i,0.0036201+0.0041272i,-0.0024681+0.0060705i,0.00057186-0.0039332i,0.00589-0.0066465i,0.0096789-0.0029526i,0.0035546-0.0034991i,-0.020734-0.018042i,0.0022643-0.010547i,-0.0041484-0.0083867i,0.0015293-0.0041084i,-0.0018264-0.0020194i,-0.0028226-0.012839i,0.0024011-0.0048328i,-0.00010941+0.0033262i,0.0052479-0.0032003i,0.0021278-0.0083513i,-0.0030277-0.010488i,0.00053761-0.0056145i,-0.00019973-0.0095039i,0.0025633-0.001342i,0.001296-0.0070281i,-0.0075634+0.0037981i,-0.034576+0.0095063i,-0.022552-0.014975i,-0.010972-0.0061259i,-0.0053564+0.025765i,-0.011279+0.0090807i,-0.0066014+0.0047738i
0.012415-0.0025639i,0.012358-0.0015244i,0.0097314+0.0013261i,0.0084372+0.013075i,0.017802+0.005878i,0.02186-0.0018447i,0.016026+0.019413i,0.010343+0.012788i,0.0074088-0.0029123i,-0.0026639-0.00047339i,-0.0011138-0.0020624i,-0.001617-9.2551e-05i,-0.003224-0.00065096i,-0.0014143-0.0017224i,-0.0013799+0.0017643i,0.002573+0.0028541i,0.0034929+0.003975i,0.0025381-0.0001324i,-7.6581e-05-0.0010164i,-0.00050153-0.0018796i,0.00037258+0.00029675i,-0.00037907-0.0033451i,-0.0015424-0.0026284i,-0.0056891+0.0078936i,-0.00044693-0.00073278i,-0.00074345-0.00072027i,0.00049841-0.0006196i,0.00089705-0.0013079i,0.0012735+0.00050505i,-0.00035277-0.0018531i,0.0026018+0.0017401i,-0.00062729+0.0013484i,0.0012411+0.0020146i,0.00014974+0.0016124i,0.0009548+0.0020439i,-0.0087081-0.0078443i,0.0010669-0.00058693i,-0.00015699-0.00070139i,0.00022157-0.0012475i,0.0019621-0.00080775i,0.0001116-0.00056403i,0.00063559-2.3125e-05i,-0.0021089+0.00045422i,0.0013541+0.0020048i,0.007654-0.012248i,-0.022749-0.032334i,0.0070128-0.0023178i,-0.024037-0.0072137i,-0.026342+0.025334i,-0.0034055-0.0067118i,0.021612+0.011903i,0.0027794-0.012612i,-0.0061259-0.0083483i,-0.0063985-0.010118i,-0.011079+0.033146i,-0.0012128+0.0065005i,0.01267+0.00092127i,0.003278-0.0053272i,-0.0010069+0.011482i,-0.0016778+0.025417i,0.0071513+0.006809i,0.0054268+0.0036493i,0.00095974-0.0013313i,0.012384-0.0034187i,0.01021+0.0062991i,0.0071008+0.0038733i,-0.0044366-0.0037736i,0.0067665+0.0062681i,0.0054909+0.0044611i,0.0017309+0.0068213i,-0.00054328-0.0043892i,0.0038765-0.0081458i,0.007657-0.0090798i,0.00036299-0.0046398i,-0.027315-0.010474i,-0.0011855-0.010103i,-0.0067217-0.0045802i,0.0011493-0.0024766i,-0.0018659-0.0012892i,-0.004059-0.012453i,0.00018496-0.0061666i,0.0014796+0.0015474i,0.0027724-0.0049246i,-0.00030204-0.0077303i,-0.0067296-0.0065647i,-0.0022063-0.005881i,-0.0038362-0.0078921i,0.00077853-0.0021859i,-0.0014114-0.0042579i,-0.0046149+0.0032647i,-0.026232+0.011953i,-0.022459-0.010138i,-0.012471-0.0052059i,-0.00015669+0.023888i,-0.0092822+0.011384i,-0.0047491+0.0031178i
0.010935-0.0051502i,0.011552-0.0029967i,0.0089026+0.00076586i,0.0099443+0.010882i,0.016331+0.0029611i,0.020654-0.0062534i,0.018979+0.014598i,0.011572+0.010445i,0.0071053-0.0043315i,-0.0026229+0.0002204i,-0.0013397-0.00087176i,-0.00081624-0.00015457i,-0.0032604+0.0007704i,-0.0026824-0.0010604i,-0.00075201+0.0024111i,0.0039562+0.0019518i,0.0044394+0.0019317i,0.0023853-0.00082097i,-3.5183e-05-0.00097197i,-0.00092488-0.0011345i,0.00079032-0.00011395i,-0.0014946-0.0027295i,-0.0020546-0.0018956i,-0.0024762+0.0094309i,-0.0010075-0.00067223i,-0.0011184-0.000288i,-8.0805e-05-0.0010252i,-0.00018356-0.0018667i,0.0011195-0.00055075i,-0.0012819-0.0018011i,0.0028236+0.00054814i,0.00031961+0.0010117i,0.0018031+0.00099507i,0.00054725+0.0012914i,0.0011315+0.0013651i,-0.011793-0.0050094i,0.00043532-0.0012491i,-0.00060285-0.00068421i,-0.00055183-0.0015887i,0.0019004-0.00071416i,2.85e-05-0.00042917i,0.00062756-0.00025797i,-0.0022852+0.00058078i,0.0021288+0.0024265i,0.0057824-0.014488i,-0.028112-0.030563i,0.0054011-0.0065404i,-0.022194-0.0015212i,-0.014561+0.028313i,-0.0069531-0.006776i,0.023414+0.0032541i,0.00034907-0.015196i,-0.0063036-0.0093582i,-0.0057597-0.0079884i,-0.0013787+0.033251i,0.00082894+0.0058366i,0.0072559-0.00068797i,0.00011111-0.0057911i,0.0038423+0.012723i,0.0063185+0.021858i,0.0072887+0.0034779i,0.0051722-0.00021064i,0.00013904-0.00058525i,0.0097526-0.0078956i,0.012957+0.0014131i,0.0086086+0.0022923i,-0.004701-0.00083626i,0.0090938+0.0055906i,0.007661+0.0040853i,0.0061009+0.0044351i,-0.0013461-0.003553i,0.0020316-0.0093612i,0.0022654-0.011796i,-0.0012335-0.002824i,-0.030094+0.00021785i,-0.0039196-0.009002i,-0.0067676-0.00057254i,0.0018353-0.0022746i,-0.0019675-0.00069764i,-0.0075943-0.012436i,-0.0026878-0.0057831i,0.0025136+0.00082774i,0.0007114-0.0053265i,-0.001276-0.006916i,-0.0083106-0.003306i,-0.0049682-0.0037221i,-0.0067276-0.004903i,0.0002431-0.0022309i,-0.0018476-0.0025581i,-0.0023234+0.0023171i,-0.024112+0.013411i,-0.021659-0.0086413i,-0.01406-0.0039111i,0.0019006+0.022562i,-0.0077104+0.01212i,-0.0033543+0.0019208i
0.0093199-0.0069727i,0.011094-0.0046882i,0.0089634+0.00019832i,0.011126+0.0085438i,0.015752+0.0013521i,0.018469-0.010061i,0.02052+0.0087849i,0.01255+0.0079674i,0.0063708-0.0057691i,-0.0024617+0.00074043i,-0.0011119-0.00040284i,-0.00091255-0.00072469i,-0.0027627+0.0021508i,-0.0028477+0.00031981i,0.00012059+0.0026658i,0.004285+0.00032385i,0.0042947+7.5881e-05i,0.0016395-0.0015558i,-0.00032669-0.0008187i,-0.0007721-0.00060359i,0.0010201-0.00079496i,-0.0019006-0.0018856i,-0.0022158-0.0011519i,0.0013149+0.0090452i,-0.0014501-0.00034495i,-0.0014715+0.00013771i,-0.0010708-0.0010351i,-0.0014025-0.0016081i,0.00046446-0.0014438i,-0.0021111-0.0013912i,0.0025791-0.00044634i,0.00026541+0.00055263i,0.0016931+0.00012395i,0.00080507+0.0010471i,0.0011306+0.0010345i,-0.013063-0.00089817i,-0.00065017-0.0014166i,-0.00088391-0.00040044i,-0.001445-0.0013153i,0.0019605-0.00080369i,4.9976e-05-0.00028118i,0.00055614-0.00044988i,-0.0024234+0.0010057i,0.0030931+0.0021782i,0.0024795-0.015486i,-0.034173-0.022987i,0.0031121-0.009131i,-0.016918+0.0037555i,-0.0038723+0.028794i,-0.0095175-0.0025097i,0.022887-0.0063433i,0.00078242-0.018733i,-0.0059571-0.0093688i,-0.0033463-0.0055825i,0.0065991+0.030406i,0.0014864+0.0041307i,0.0040188-0.0014109i,-0.0032843-0.0054073i,0.0099032+0.010068i,0.010022+0.016251i,0.0051698+0.0013356i,0.0035539-0.0037275i,0.0013163+0.0022975i,0.0047865-0.010713i,0.012949-0.0054087i,0.0095533-0.00011791i,-0.0046701+0.0022636i,0.012527+0.0037262i,0.010739+0.0011754i,0.0075146-0.00015353i,-0.0014615-0.0029297i,-0.00080026-0.0095416i,-0.0039655-0.01141i,-0.00083727-0.00092979i,-0.028735+0.011283i,-0.0059132-0.0077915i,-0.0048974+0.0023936i,0.0021024-0.0046897i,-0.0018776+0.00056179i,-0.01203-0.0097148i,-0.0051724-0.0029825i,0.0027284-0.0012794i,-0.0012101-0.0049134i,-0.0027579-0.0063832i,-0.007906+0.0017944i,-0.0055483-0.00049955i,-0.008268-0.0012463i,-0.0013208-0.0030607i,-0.0013432-0.0022083i,-0.00065543+0.0015213i,-0.022837+0.019824i,-0.022279-0.0094101i,-0.013428-0.0015945i,0.0061428+0.021493i,-0.0068474+0.014411i,-0.0018898-0.00067673i
0.0077842-0.0083389i,0.010302-0.0064115i,0.0092343-0.0011638i,0.011651+0.005902i,0.015694-0.0006205i,0.01593-0.013015i,0.020007+0.0033231i,0.013045+0.0054389i,0.0055065-0.0068797i,-0.0024243+0.0012872i,-0.0012191-3.7028e-05i,-0.0016038-0.00080213i,-0.0017484+0.0029795i,-0.0025118+0.0015314i,0.00084486+0.0025361i,0.0032748-0.00094062i,0.0035191-0.0012135i,0.0010424-0.0016275i,-0.00033692-0.00047799i,-0.00044486-0.00041634i,0.0010393-0.0014962i,-0.0019284-0.0013961i,-0.0020454-0.00054938i,0.0042043+0.0077109i,-0.0016405-9.1432e-06i,-0.001609+0.00094982i,-0.0018087-0.00049514i,-0.0021945-0.00074477i,-0.00067399-0.0018643i,-0.002969-0.00057466i,0.0020329-0.0011228i,0.00017908+0.00063394i,0.0013959-0.00049818i,0.0010987+0.00074822i,0.001077+0.00072364i,-0.012694+0.0030311i,-0.0015815-0.00093702i,-0.0010793-0.00016129i,-0.0021396-0.00058973i,0.0020282-0.0012541i,0.00025662-0.00017207i,0.00053921-0.00072005i,-0.0023972+0.001621i,0.0037861+0.0014498i,-0.00012194-0.015081i,-0.034199-0.012304i,-0.00087544-0.010414i,-0.011056+0.0043359i,0.0066334+0.026704i,-0.0080644+0.0029778i,0.018282-0.014613i,-0.0021096-0.025036i,-0.0041875-0.0099507i,0.0012694-0.0041837i,0.014319+0.025238i,0.0013392+0.003306i,0.0011814-0.00096569i,-0.0057445-0.0030115i,0.012922+0.0040461i,0.012288+0.012722i,0.0020762+0.0016635i,0.00022511-0.0069195i,0.004768+0.0013174i,-0.00076023-0.010104i,0.0085935-0.0099828i,0.0096032-0.0034395i,-0.003992+0.0040733i,0.014527-0.002142i,0.010541-0.0047165i,0.0061366-0.0045168i,-0.0018861-0.0027566i,-0.0038403-0.0088393i,-0.0084638-0.0070537i,0.00038896-0.0010751i,-0.022028+0.022952i,-0.0082122-0.0060382i,-0.0020638+0.0038093i,-0.00089239-0.0056754i,-0.0007984+0.0012201i,-0.015167-0.0048051i,-0.0046312+0.00043506i,0.0012515-0.0030574i,-0.0030793-0.003626i,-0.0043989-0.0049959i,-0.0045715+0.0039551i,-0.0040721+0.0018829i,-0.0080986+0.0031353i,-0.0041256-0.0024462i,-0.0020558-0.0021474i,0.0028544+0.0013288i,-0.011898+0.025157i,-0.026287-0.008189i,-0.012117-0.0015813i,0.0082971+0.018459i,-0.0040016+0.01677i,-0.0030198-0.0045632i
