-0.026527-0.042928i,-0.020723-0.022599i,-0.011591-0.038045i,-0.030042-0.021781i,-0.024373-0.0019146i,-0.013299-0.00403i,-0.052846-0.054592i,-0.047504-0.017609i,-0.03812-0.015773i,0.010249+0.014388i,-0.0090218+0.0058121i,-0.020382+0.019293i,0.0021571+0.012316i,-0.0040095-0.002669i,0.00093366+0.0009123i,-0.00038526+0.028821i,0.026092+0.026554i,0.0030255-0.0020271i,-0.0021221-0.0067889i,0.0079456+0.0028879i,0.0028159+0.00093668i,4.2154e-05+0.0035629i,-0.00043838+5.0773e-05i,-0.03553-0.010577i,0.00037383-0.0078904i,0.001545+0.0024158i,0.006012+0.0012209i,0.002173+0.00042827i,0.0013198-0.00054092i,-5.5321e-05-0.0026378i,0.0018128-0.0021532i,-0.0024531-0.0056171i,-0.00038196-0.0046315i,0.0032396-0.00057976i,0.0050464-0.0027993i,0.002855+0.029619i,0.0041189-0.0034989i,0.0032017-0.0016957i,0.0087889-0.00072061i,-0.0050707-0.0023055i,-0.00036227+0.00098192i,0.010423+0.0008185i,0.0045381-0.0017132i,-0.0030393+0.0089172i,-0.016263-0.0080583i,-0.017953+0.017094i,0.001328-0.062602i,-0.0037093-0.027321i,-0.025298-0.034431i,-0.0099659-0.026858i,0.053018-0.023245i,0.017243-0.043654i,0.025424-0.047809i,0.0095608-0.054024i,0.028291-0.019337i,0.0086829+0.0064856i,0.027614-0.033401i,-0.0080041-0.0063846i,0.0028594-0.0040601i,-0.0051142-0.0069162i,-0.001297-0.033848i,-0.020732+0.029392i,0.0092444-0.011801i,-0.0093824-0.0040765i,-0.0041282-0.0017433i,0.00073751-0.013108i,-0.011077+0.0039205i,0.0024964+0.010662i,-0.0060721+0.027172i,0.0047426+0.0027443i,-0.005386-0.001808i,-0.0018822-0.0023276i,-0.012961-0.0078057i,-4.8102e-05-0.0046309i,-0.036162-0.0013061i,0.0014738-0.011044i,-0.0087453-0.00021813i,-0.0069619-0.002738i,0.005439+0.001296i,-0.0080505-0.00094684i,0.0021146+8.5533e-05i,0.0039646+0.0072271i,0.0045958+0.0006571i,-0.0073281-0.013616i,0.0026961+0.0096871i,-0.015227+0.0045312i,0.0073488+0.00059399i,-0.023044-0.0011848i,-0.01845+0.0049706i,-0.0029227-0.065675i,0.0082855-0.012816i,-0.046998-0.02553i,-0.020153-0.0013559i,0.016539+0.012974i,-0.02433+0.014317i,-0.019476-0.0065368i
-0.046011+0.027382i,-0.019944+0.019304i,-0.023357+0.04242i,-0.028061+0.013698i,-0.004923+0.023067i,-0.00016863+0.0082341i,-0.029481+0.023155i,-0.0033856+0.030194i,0.0065587+0.01901i,-0.0055753-0.0081296i,0.0032139+0.0035152i,0.0080108-6.8612e-05i,0.0054602-4.7938e-05i,-0.0010549+0.0021325i,3.2431e-05+0.0019722i,0.0052449-0.0050729i,-0.0062716-0.00058686i,-0.0032414-0.00081931i,0.004345-0.0013011i,-0.00024054-0.0010728i,0.0021854-0.0045998i,0.0012984-0.0028761i,0.0015513-0.0024871i,-0.0083875-0.011093i,-0.0012195+0.0025548i,-0.0016946+0.00022804i,-0.0040346-0.0011608i,-0.0028227+8.6806e-05i,-0.00090744-0.001576i,-0.00023964-0.00034261i,-0.0014435+0.0042819i,0.00055365+0.0012427i,0.0016201+0.00083931i,-0.00079002+0.00077528i,-0.0032887+0.003274i,-0.001643-0.007336i,-0.0028882+0.00081735i,0.00094946-0.00072777i,-0.0020957+0.0031773i,0.0037792+0.0026866i,-0.00011548-0.0016411i,-0.00073915-0.0032503i,-0.0039505-0.00043553i,0.0048484+0.0015096i,-0.019494+0.021603i,0.0083428-0.041046i,-0.055789+0.00085733i,0.010116-0.033041i,-0.03188-0.050937i,-0.028888-0.021231i,-0.064524+0.020338i,-0.039535+0.0007226i,-0.034405-0.0081161i,-0.026204-0.02581i,-0.039589-0.026799i,-0.0055559+0.0028715i,-0.030063+0.0091663i,0.0058122+0.019126i,0.0029762+0.0085389i,-0.003432-0.0051359i,0.0023312+0.0018826i,-0.011212-0.0036951i,0.004957+0.012393i,-0.00089135+0.0062894i,-0.0017386-0.0015724i,0.0013595+0.0025741i,0.0040814-0.00087914i,-0.0042273+0.017821i,0.0020006+0.015421i,0.0034745+0.00028281i,0.0095354-0.0065453i,0.0043753+0.0034148i,-0.0088825-0.007579i,-0.0008507-0.0031062i,0.028705-0.033801i,0.0079814+0.0108i,0.0054111+0.0023933i,-0.0026768+0.0028487i,0.0039318-0.0054288i,0.020982+0.010381i,0.0031827+0.0030342i,0.00028712-0.0069365i,0.0016673-0.002921i,0.014862+0.0091899i,0.004968+0.001727i,0.0028859-0.0050989i,0.0037143+0.0099431i,-9.0078e-05+0.0015501i,0.0093831+0.0039619i,-0.04294-0.017204i,-0.0061939+0.011892i,-0.0025304-0.0043533i,-0.0076564+0.0041954i,-0.038269+0.010345i,-0.0063913+0.0075459i,-0.011615+0.013956i
-0.040874+0.034187i,-0.016702+0.019326i,-0.012328+0.038398i,-0.025298+0.017057i,-0.0017732+0.021256i,0.0012238+0.0081033i,-0.026525+0.027871i,0.002493+0.029327i,0.0093274+0.013662i,-0.0074772-0.004835i,0.0045028+0.0038171i,0.0071158-0.0027816i,0.0048797-0.0020611i,0.00073457+0.0028392i,0.00033645+0.0021329i,0.001381-0.004361i,-0.0074338+0.0028319i,-0.0029334+0.00037074i,0.0046048-0.002473i,2.7062e-05-0.00098869i,0.00085125-0.0048265i,0.0009989-0.0024663i,0.00086956-0.002627i,-0.010472-0.0080158i,0.00023005+0.0021036i,-0.001684+0.00068733i,-0.0034383+0.00056022i,-0.0020501+0.00076617i,-0.0014294-0.0013577i,2.6439e-05-0.0001944i,0.0003438+0.0045714i,0.00025344+0.0013457i,0.0014438-0.00016512i,-0.00085479+0.0010664i,-0.0029716+0.0037495i,-0.0018466-0.0062407i,-0.00242+0.0013851i,-0.00023224-0.0013095i,-0.0014262+0.0039563i,0.0035157+0.0003788i,-0.00042114-0.0014752i,-0.0023915-0.0030072i,-0.0040275+0.00073636i,0.0054669+0.00021847i,-0.015924+0.020935i,-0.0059541-0.04671i,-0.049489+0.011794i,0.00056376-0.04163i,-0.046059-0.045199i,-0.029829-0.014696i,-0.052829+0.032512i,-0.036514+0.0098157i,-0.024548-0.010283i,-0.028749-0.021939i,-0.046797-0.010873i,-0.0048515+0.0026891i,-0.025542+0.022059i,0.01112+0.013413i,0.0055687+0.0048054i,-0.0085349-0.0077382i,-0.00084652+0.0038162i,-0.011102+0.0035216i,0.0097769+0.0090202i,0.00050287+0.008233i,-0.0020116-7.6977e-05i,0.0023848+0.003518i,0.0041547-0.0012298i,0.0044485+0.014779i,0.0082339+0.0098474i,-0.00017783-0.0024622i,0.0031721-0.0078678i,0.0049128+0.002903i,-0.011681+0.00071218i,-0.0025341-0.0011041i,0.011794-0.037912i,0.012137+0.0082365i,0.00722-0.00028033i,0.0009923+0.0030296i,-0.00011383-0.003485i,0.023167+5.5246e-05i,0.0034404+0.0014211i,-0.0032505-0.0055016i,-0.0022741-0.0018789i,0.014753+0.002795i,0.0050817+0.0017655i,0.00094295-0.0037147i,0.0070395+0.0082896i,0.00020442+0.0021445i,0.0099707+0.00039203i,-0.046447-0.013036i,-0.00058438-0.0023783i,-0.0018168-0.0044215i,-0.0062761+0.0047498i,-0.03237+0.022287i,-0.0039956+0.0087109i,-0.0070249+0.015228i
-0.034152+0.039759i,-0.014508+0.019696i,-0.0071345+0.032038i,-0.022444+0.020005i,0.0019436+0.020414i,0.0029477+0.0074649i,-0.021535+0.032709i,0.0079264+0.02696i,0.0091412+0.0095002i,-0.0080591-0.001234i,0.0065681+0.003116i,0.0029599-0.0039172i,0.0036576-0.0032186i,0.0014799+0.0025253i,0.00085421+0.0022471i,-0.0015823-0.0016946i,-0.0062784+0.0069238i,-0.0016319+0.001082i,0.0041538-0.0045617i,0.00034024-0.0015106i,-0.00071101-0.004563i,0.0010591-0.0027702i,0.00034142-0.0026736i,-0.01239-0.0053265i,0.00073241+0.0016579i,-0.0010852+0.0014057i,-0.0022615+0.00096845i,-0.00096905+0.001229i,-0.0015494-0.001132i,-7.5423e-05-0.00064388i,0.0020793+0.0038478i,0.00040363+0.0015792i,0.0010566-0.00048825i,-0.00051933+0.0010012i,-0.0010686+0.0049056i,-0.00141-0.0062841i,-0.0022029+0.0017936i,-0.001269-0.0012507i,0.0017479+0.0029303i,0.0025267-0.00066113i,-0.00080605-0.0012048i,-0.0020116-0.0013681i,-0.0037688+0.0016817i,0.0050742-0.002217i,-0.013753+0.02104i,-0.022957-0.044997i,-0.039631+0.018626i,-0.012205-0.044471i,-0.054656-0.03571i,-0.026903-0.0090833i,-0.03725+0.038798i,-0.024821+0.015509i,-0.02573-0.014807i,-0.030302-0.018663i,-0.045009+0.0048319i,-0.0040088+0.0030862i,-0.0138+0.030166i,0.01338+0.0072355i,0.0036423-0.00045664i,-0.017632-0.0047663i,-9.3818e-05+0.0050715i,-0.006601+0.0074306i,0.011724+0.003244i,0.0035047+0.0082695i,-0.0037076+0.0015478i,0.0028041+0.0015315i,0.0039763-0.0028418i,0.0072904+0.0083691i,0.008591+0.0039997i,-0.0042366+0.00032852i,0.00026546-0.0060937i,0.0067238+0.0019005i,-0.0069351+0.0098465i,-0.00089031+0.0012288i,-0.0017165-0.034751i,0.016052+0.0020945i,0.0060749-0.0029443i,0.0012681+0.0013808i,4.1959e-05-0.0012944i,0.018948-0.0084655i,0.0019457+0.0028371i,-0.0054379-0.0027943i,-0.0031562+0.001988i,0.011859-0.0019617i,0.0087236-0.00042395i,0.00094597-0.0035094i,0.010693+0.0044279i,0.0030172+0.0022707i,0.0091658-0.0030436i,-0.049845-0.0037066i,-0.0096779-0.011636i,0.00026609-0.0070631i,-0.0050953+0.0041265i,-0.022449+0.027923i,-0.0030181+0.0035382i,-0.002633+0.010612i
-0.02642+0.043482i,-0.011717+0.021213i,-0.0059417+0.027111i,-0.018454+0.023012i,0.0054969+0.017464i,0.0045532+0.0059239i,-0.014397+0.036228i,0.01253+0.023108i,0.0086108+0.0076854i,-0.0073045+0.0019915i,0.0075771+0.00035117i,0.00061643-0.0014213i,0.0022623-0.0036074i,0.0014933+0.00264i,0.0013353+0.001986i,-0.001728+0.0021687i,-0.0023184+0.01001i,-0.00088627+0.00076631i,0.0023856-0.005579i,-0.00033899-0.0021259i,-0.0018165-0.0035817i,0.00080408-0.0030709i,-0.00027071-0.0028854i,-0.013827-0.0010132i,0.0013182+0.00050672i,-0.00012527+0.00091708i,-0.0017428+0.0008365i,0.00015936+0.00062654i,-0.0016942-0.00042219i,-0.00041089-0.00037613i,0.003178+0.0024385i,0.00099288+0.0014408i,0.00038576-0.0007608i,-0.0003713+0.0010955i,0.0012474+0.0041949i,-0.0025512-0.0079034i,-0.001364+0.0026721i,-0.0020028-0.0005971i,0.0016023+5.2283e-05i,0.0017896-0.0010208i,-0.00083611-0.00076621i,-0.0015274-0.0012091i,-0.0031059+0.0028134i,0.0021695-0.0049618i,-0.011578+0.022421i,-0.036887-0.032688i,-0.030158+0.019647i,-0.024533-0.041462i,-0.062711-0.024734i,-0.022433-0.0071079i,-0.023439+0.038143i,-0.014769+0.011783i,-0.027606-0.012498i,-0.031388-0.013434i,-0.038963+0.016029i,-0.0034976+0.0033038i,-0.00080734+0.030531i,0.013694+0.001528i,-0.0012034-0.0013662i,-0.022153+0.0055222i,-0.00021133+0.0067065i,-0.0028692+0.0071258i,0.009599-0.0029381i,0.0064029+0.0070087i,-0.0031476+0.0047345i,0.00076159+0.0018109i,0.0033138-0.0054349i,0.0059622+0.0024607i,0.005935+0.00067348i,-0.0031985+0.0031562i,-0.0014537-0.0044968i,0.0068964-0.00037381i,0.0028048+0.011429i,0.00019278+0.00064931i,-0.0096451-0.028302i,0.014157-0.0043457i,0.0045464-0.0045097i,0.0021672+0.0025518i,0.00029563-0.0014939i,0.012969-0.012092i,0.0051503+0.0035914i,-0.0060348+0.00051404i,-0.00084487+0.0042164i,0.0091324-0.0030189i,0.0083128-0.0058124i,-0.0007522-0.0031747i,0.010007-0.0023022i,0.0036832-0.000806i,0.0078404-0.0068172i,-0.046587+0.0082121i,-0.019947-0.010748i,-0.002213-0.012382i,-0.0034991+0.0026988i,-0.014199+0.028416i,-0.0073626+0.0028167i,-0.0034652+0.0091996i
-0.01919+0.045659i,-0.0090971+0.021571i,-0.0069153+0.025063i,-0.013717+0.024871i,0.0074715+0.014159i,0.0050243+0.0041081i,-0.0063974+0.037229i,0.015611+0.018666i,0.0091589+0.0064098i,-0.0050414+0.004131i,0.0065063-0.0017713i,0.000973+0.00078754i,0.0012062-0.0037061i,0.0027171+0.0029938i,0.0017668+0.0016516i,0.00016792+0.0045201i,0.0025389+0.010536i,-0.00076117+0.00060334i,0.0009104-0.0059085i,-0.0012545-0.0020436i,-0.0026023-0.0027438i,0.00012469-0.0033212i,-0.001192-0.0027642i,-0.011882+0.0033867i,0.00056387-0.00099951i,-0.00025958+7.7448e-05i,-0.001434+0.0009161i,0.00021749-0.00042267i,-0.0015811+0.00011643i,-0.00015357-7.985e-05i,0.0034594+0.00091361i,0.0017098+0.00064398i,-0.00025125-0.00052776i,-0.00029124+0.0012547i,0.0018366+0.0029943i,-0.0054159-0.0085433i,-0.0004451+0.0027618i,-0.0021004+0.00058512i,-0.00014823-0.00037283i,0.0010624-0.00084455i,-0.00070564-0.00058793i,-0.0017245-0.0011252i,-0.0018061+0.003421i,-0.00098575-0.00368i,-0.0079922+0.024241i,-0.038347-0.016792i,-0.023859+0.017938i,-0.034792-0.034399i,-0.068234-0.009739i,-0.020046-0.0091729i,-0.012375+0.034124i,-0.010241+0.0068463i,-0.027707-0.010895i,-0.030726-0.010077i,-0.032152+0.024462i,-0.0028776+0.003368i,0.012165+0.025646i,0.012456-0.0031218i,-0.0047047+0.0011986i,-0.019788+0.014951i,0.0020233+0.007924i,-0.00012602+0.0080817i,0.0035361-0.0044001i,0.0084138+0.0047716i,-0.0013131+0.0065803i,0.00058303+0.0038341i,0.0014296-0.007208i,0.0018054+0.0024489i,0.0032539+0.00084785i,-0.0021128+0.0048138i,-0.0024061-0.0023329i,0.0059985-0.0025765i,0.0080444+0.0068547i,0.00049508+0.00012936i,-0.014286-0.025635i,0.010357-0.0083499i,0.002424-0.0055732i,0.005104+0.0022128i,-0.00024251-0.00066031i,0.0089625-0.013051i,0.0077043+0.00091901i,-0.0040493+0.0038822i,0.0017165+0.0039365i,0.0085488-0.0040387i,0.0038817-0.010775i,-0.00081826-0.0022345i,0.0059833-0.0058935i,0.0015731-0.0022334i,0.0039952-0.010142i,-0.038835+0.013346i,-0.027776-0.0027698i,-0.0068172-0.013875i,-0.0030568+0.00022898i,-0.0085605+0.027574i,-0.010384+0.0057731i,-0.0021319+0.0098783i
-0.012094+0.047146i,-0.0067137+0.022515i,-0.0071365+0.026303i,-0.0088571+0.025049i,0.0080084+0.010952i,0.0052211+0.0028739i,0.0016447+0.035774i,0.017356+0.014229i,0.010064+0.0043231i,-0.0030652+0.0044191i,0.0044305-0.0027576i,0.0021165+0.0019287i,2.6745e-05-0.0036474i,0.0040764+0.0020252i,0.0019532+0.0011771i,0.0027338+0.0052982i,0.0071042+0.0086161i,-0.00048299+0.00070407i,-0.001221-0.0059254i,-0.0019703-0.0015774i,-0.0027253-0.0015478i,-0.00059571-0.0034161i,-0.0018452-0.0022077i,-0.010054+0.0050815i,-0.00080404-0.001012i,-0.00084221-9.3441e-05i,-0.0012316+0.0010775i,-0.00021391-0.0012768i,-0.0012872+0.00051856i,-2.1028e-05-0.00033656i,0.0032666-0.00037203i,0.0017481-0.00045346i,-0.00044847-0.00016709i,7.6894e-06+0.0011693i,0.0020711+0.0023601i,-0.0084527-0.0075545i,0.00014967+0.0024333i,-0.0015317+0.0013121i,-0.00099229+0.00044587i,0.00072633-0.00036463i,-0.00061607-0.00025762i,-0.0019404-0.00049513i,-0.00059869+0.0033012i,-0.0022249-0.0013343i,-0.0040063+0.025746i,-0.033026-0.0080926i,-0.020185+0.01637i,-0.041049-0.023275i,-0.066287+0.0094934i,-0.023598-0.011705i,-0.0055959+0.02783i,-0.0075843+0.0025471i,-0.027442-0.0081902i,-0.031547-0.006782i,-0.023719+0.029978i,-0.0032544+0.0036369i,0.0191+0.011775i,0.01016-0.0074419i,-0.0056478+0.0053149i,-0.012345+0.022464i,0.004659+0.0065411i,0.0044048+0.0064358i,0.00054193-0.001414i,0.01021+0.0010336i,0.0015134+0.0079259i,0.0019499+0.0049054i,-0.0037153-0.0091302i,0.00097973+0.0054933i,0.0032941+0.0022681i,0.00063653+0.0074012i,-0.0015397-0.00058167i,0.0046538-0.0034744i,0.0096029+0.0015449i,0.0010609-0.00075758i,-0.022887-0.023789i,0.0060451-0.010352i,-2.3227e-05-0.0057439i,0.0052763-0.00048764i,2.7397e-05+0.00061482i,0.0065264-0.012909i,0.0075189-0.0026091i,-0.0010753+0.0050855i,0.0032783+0.0020662i,0.0069629-0.0061266i,-0.0031942-0.010471i,-0.0011367-0.0025122i,0.0024956-0.0057827i,0.00081674-0.0029254i,-0.0012684-0.010018i,-0.033956+0.015951i,-0.025665+0.010591i,-0.011223-0.013824i,-0.0043646-0.0012291i,-0.0045894+0.027031i,-0.0095159+0.010472i,0.0017261+0.0087517i
-0.0046772+0.04772i,-0.0035759+0.023607i,-0.0053597+0.028714i,-0.0053862+0.023987i,0.0075147+0.0089326i,0.0053812+0.0015824i,0.0084892+0.032354i,0.01805+0.010214i,0.010638+0.0024194i,-0.0018185+0.004699i,0.0029763-0.0021755i,0.004404+0.0023412i,-0.0010909-0.0031579i,0.0044464-0.00021422i,0.0019181+0.00079922i,0.0048673+0.0046919i,0.0099614+0.0050437i,-0.00017705+0.0008761i,-0.0027216-0.0051162i,-0.0023456-0.00066793i,-0.0023884-0.00044649i,-0.0015476-0.0032736i,-0.0022512-0.0015719i,-0.0089281+0.0077155i,-0.0014995-0.00051978i,-0.0013434+0.0004239i,-0.00097156+0.0012723i,-0.0013927-0.0015981i,-0.0010786+0.00055532i,-0.00031087-0.00061759i,0.0027121-0.0014407i,0.0016157-0.00085303i,-0.0001087-7.8317e-05i,0.00028804+0.00098127i,0.0026205+0.0010877i,-0.011381-0.0055933i,0.00081616+0.0023069i,-0.00099616+0.0014567i,-0.0010555+0.0010349i,0.00075168-0.00015951i,-0.00044253-6.349e-05i,-0.0014986+1.1061e-05i,0.00015485+0.0027795i,-0.002174+2.2799e-05i,0.0012644+0.02576i,-0.029511-0.0062326i,-0.0176+0.015839i,-0.041373-0.012434i,-0.056927+0.025554i,-0.027091-0.0089477i,-0.0013438+0.023008i,-0.0075713-0.0017037i,-0.026234-0.0063952i,-0.031188-0.0018032i,-0.015329+0.03345i,-0.0021648+0.0038097i,0.013724-0.0010488i,0.0056921-0.011142i,-0.0039671+0.0086388i,-0.0035006+0.023525i,0.005278+0.0039104i,0.0059096+0.0020739i,0.0017916+0.00013547i,0.0093808-0.0022449i,0.0064643+0.0070706i,0.0037256+0.0059865i,-0.00825-0.003622i,0.0033307+0.0071879i,0.0047601+0.0026413i,0.0045627+0.0068851i,-0.0011851-6.0561e-05i,0.0036388-0.0045227i,0.0092367-0.0046927i,-0.00074448-0.0011821i,-0.031994-0.014834i,0.0021077-0.010684i,-0.0021687-0.0043154i,0.0053407-0.00069456i,0.00064765+0.00081333i,0.0050814-0.015507i,0.0056806-0.0055444i,0.0013215+0.0041371i,0.003512+0.0011115i,0.0054706-0.007046i,-0.0067163-0.006233i,-0.0024306-0.0023744i,-0.00066328-0.0055831i,-0.0011049-0.0033573i,-0.0043884-0.007755i,-0.028192+0.01835i,-0.018907+0.011695i,-0.011634-0.012425i,-0.005602-0.0014504i,0.0001711+0.025461i,-0.0080264+0.012327i,0.0022955+0.0060356i
0.0025483+0.047152i,0.00037367+0.024466i,-0.0014254+0.031501i,-0.0023266+0.023724i,0.0068926+0.0080045i,0.0050489+0.0005432i,0.013961+0.027898i,0.018377+0.0068469i,0.011063-7.6164e-05i,-0.00053269+0.0047569i,0.0029006-0.0014688i,0.0065978+0.00022407i,-0.0019549-0.0022465i,0.0028456-0.0014046i,0.0019836+0.00061827i,0.0065882+0.0029051i,0.010742+0.0012834i,0.00033606+0.0007008i,-0.0038733-0.0041071i,-0.0020735+0.00046576i,-0.0016849+0.00011006i,-0.0023051-0.0023662i,-0.0025268-0.00091136i,-0.0054202+0.0098888i,-0.0018633+0.00032075i,-0.0011707+0.0011835i,-0.00070121+0.0016998i,-0.0026042-0.0010186i,-0.00094804+0.00064327i,-0.00062595-0.00053788i,0.0016942-0.0022131i,0.0016596-0.0019572i,-0.00030024-0.00019143i,0.00035916+0.0008437i,0.0021837-0.0001071i,-0.013484-0.0017852i,0.0013662+0.0018435i,-0.00065698+0.0017521i,-0.0012551+0.0012169i,0.0010335-5.4929e-05i,-6.1194e-05-0.00011111i,-0.0010236+0.00012659i,0.00044421+0.0021285i,-0.0015714+0.0012066i,0.0056913+0.02413i,-0.030311-0.0049677i,-0.015914+0.01488i,-0.040441-0.0035383i,-0.043524+0.034569i,-0.030396-0.0055863i,0.0026149+0.017626i,-0.008477-0.0033799i,-0.025887-0.0050964i,-0.029313+0.0039274i,-0.0059892+0.034925i,-0.0012965+0.0037823i,0.0064689-0.0031857i,0.00048681-0.012386i,-4.4156e-05+0.011695i,0.004014+0.020695i,0.0045961+0.0016949i,0.0047695-0.0018587i,0.0014004+0.00022433i,0.0074383-0.0055506i,0.0098715+0.0034654i,0.0063331+0.0055991i,-0.0079535+0.0004757i,0.0061951+0.0077467i,0.0064167+0.0022981i,0.0086247+0.0044675i,-0.00071035+0.00063794i,0.0030313-0.0054484i,0.0052166-0.0084086i,-0.001086+0.00082742i,-0.03606-0.0020391i,-0.00097095-0.009916i,-0.0030678-0.0022027i,0.0059728-0.0016737i,0.0011067+0.00059733i,0.00044775-0.018671i,0.0029774-0.0069175i,0.003113+0.0032756i,0.0039885+3.598e-05i,0.0048697-0.0080264i,-0.0085192-0.0033323i,-0.0037842-0.00062162i,-0.0034689-0.0039987i,-0.0020837-0.0029016i,-0.0059319-0.0054212i,-0.023312+0.018616i,-0.01694+0.011872i,-0.012464-0.013533i,-0.007128-0.00087335i,0.0024726+0.02431i,-0.0068818+0.013308i,0.0025982+0.0045705i
0.010037+0.045691i,0.0053396+0.024269i,0.0050166+0.032689i,0.00096952+0.023246i,0.0072955+0.0081009i,0.0048282+1.2712e-06i,0.017862+0.022335i,0.01859+0.003513i,0.010652-0.0027863i,0.00052753+0.0043823i,0.0031583-0.0019602i,0.0062016-0.0031166i,-0.0024033-0.0011678i,0.0020105-0.0014756i,0.0021306+0.00033962i,0.0068954+0.00044831i,0.0099501-0.0023691i,0.00012114+0.00020651i,-0.0051195-0.0025844i,-0.0011794+0.0010046i,-0.00086044+1.8485e-05i,-0.0024071-0.0015556i,-0.0025444-0.00012628i,-0.0015406+0.010027i,-0.0017359+0.0010447i,-0.00065666+0.0015891i,4.0899e-05+0.0017902i,-0.0031251+0.00034067i,-0.00074175+0.0005765i,-0.0008421-0.0004209i,0.0005515-0.002473i,0.00034506-0.00269i,-0.00054971-1.2339e-05i,0.00045259+0.00073848i,0.0014438-0.00068778i,-0.013374+0.0028263i,0.0015749+0.0012486i,6.4706e-05+0.0018599i,-0.0011707+0.0016032i,0.0012713-0.00018055i,3.1898e-06-0.00041797i,-0.0004019+3.6936e-05i,0.00039992+0.0016981i,-0.00071879+0.0018806i,0.0088813+0.02248i,-0.033241-0.00029912i,-0.014681+0.014342i,-0.035366+0.0049457i,-0.030708+0.039529i,-0.03288+0.0019193i,0.0049505+0.01093i,-0.0065924-0.005611i,-0.025207-0.0025409i,-0.025263+0.009471i,0.0024742+0.033917i,-0.00099304+0.0031314i,0.0022041-0.0033888i,-0.005134-0.01194i,0.0062203+0.011249i,0.0076752+0.015851i,0.0022873+0.00034746i,0.002939-0.0048387i,0.0022611+0.0024466i,0.0035789-0.0074753i,0.011017-0.0023101i,0.0085742+0.003476i,-0.0075962+0.004279i,0.010737+0.0069648i,0.0085435-0.00019124i,0.010491-0.00057164i,0.00014387+0.0012019i,0.0016234-0.0061568i,-0.0004587-0.0091341i,0.00052261+0.0024828i,-0.035199+0.011905i,-0.0030552-0.0088443i,-0.0026542-0.00019696i,0.0059977-0.005546i,0.0015705+0.00079335i,-0.0069383-0.018604i,6.7748e-05-0.0066416i,0.0043395+0.0013764i,0.0041071-0.00076306i,0.0029597-0.0096013i,-0.0092591+0.0020655i,-0.0033981+0.0017828i,-0.0050056-0.0017349i,-0.0034833-0.002928i,-0.0062759-0.0031156i,-0.021159+0.018869i,-0.016235+0.016017i,-0.015441-0.016044i,-0.0061318+0.00083603i,0.0065136+0.02407i,-0.0062994+0.01539i,0.0037763+0.0018092i
0.017251+0.042753i,0.010071+0.022414i,0.011824+0.030555i,0.0043614+0.022117i,0.0085439+0.0077942i,0.0050293-0.00045876i,0.019931+0.016813i,0.018215+0.0001546i,0.0097954-0.0050084i,0.0011674+0.0042113i,0.0027732-0.002526i,0.0039103-0.0049832i,-0.0024743-0.00020994i,0.0012028-0.0014186i,0.0021795+3.6761e-06i,0.0057773-0.0013562i,0.0078341-0.0048929i,-0.0001084+0.00016239i,-0.0052851-0.00053269i,-0.00038513+0.00092557i,-0.00015772-0.00043669i,-0.0023736-0.0011462i,-0.0021971+0.00054576i,0.0014495+0.009408i,-0.0013157+0.0014418i,-0.00011138+0.0018393i,0.00068004+0.0012979i,-0.0027209+0.0017505i,-0.00067892+0.00038511i,-0.0012381-0.00017542i,-0.00051532-0.0022199i,-0.0011246-0.002433i,-0.00042031+0.00024352i,0.00060034+0.00058688i,0.00068478-0.00096142i,-0.011495+0.0065936i,0.0016706+0.00066353i,0.00053772+0.0014817i,-0.00052161+0.0022549i,0.0013197-0.0007153i,-6.5417e-05-0.00061533i,-0.00020125-0.00065919i,0.00027608+0.0016125i,0.00015453+0.0020403i,0.012137+0.021184i,-0.032692+0.007965i,-0.014956+0.013985i,-0.029144+0.0087258i,-0.017418+0.041439i,-0.030643+0.01139i,0.0036487+0.0042495i,-0.0071399-0.011155i,-0.022204-0.00037665i,-0.018245+0.014281i,0.011753+0.030382i,-0.0010934+0.0030703i,-0.0021145-0.0019988i,-0.0097782-0.0087061i,0.010478+0.006881i,0.0095479+0.012774i,-0.00095401+0.0014655i,-0.00013541-0.0077783i,0.0056475+0.0014408i,-0.00045676-0.0069311i,0.008082-0.0064963i,0.0098255+0.00010687i,-0.0061176+0.0072546i,0.01451+0.0013193i,0.0083791-0.005221i,0.009171-0.0060739i,0.0014283+0.0011187i,-0.00023716-0.0065669i,-0.0043777-0.0058096i,0.0026875+0.0016096i,-0.027643+0.026626i,-0.0053384-0.0076922i,-0.0013638+0.00096888i,0.0021206-0.0072124i,0.002432+0.00046131i,-0.013929-0.014854i,-0.0014091-0.0049489i,0.004173-0.00094701i,0.0036729-0.001658i,-0.0002248-0.0096936i,-0.0058775+0.0067067i,-0.0017785+0.0033071i,-0.0055494+0.0020527i,-0.0058892-0.0020178i,-0.0061416-0.0019905i,-0.017207+0.022607i,-0.0083016+0.020347i,-0.021874-0.015894i,-0.0040849-0.00013533i,0.0097292+0.021923i,-0.0036402+0.01828i,0.0029521-0.0019891i
