-0.0083464-0.039863i,-0.011916-0.043401i,0.0031411-0.046397i,-0.026977-0.027079i,-0.020924+0.013753i,-0.032797-0.032856i,-0.05983-0.061531i,-0.023175-0.072337i,-0.038482-0.056338i,-0.00072581+0.015735i,-0.006506+0.010738i,-0.014944+0.01423i,0.0010706+0.015098i,-0.0040421-0.0034341i,0.00011408+0.006706i,0.00032965+0.039874i,0.01555+0.052278i,0.00058328-0.0001665i,-0.0050251-0.0083748i,0.0098874+0.0068225i,0.0012877+0.00077311i,-0.00099623+0.0036032i,0.00015122-0.0014345i,-0.035946-0.0098171i,-0.0020546-0.0070688i,-7.565e-05+0.0048801i,0.0042147-0.0015087i,-0.00017496+0.00080798i,-0.0001926-0.0011478i,-0.00010633-0.0027924i,-0.00094729-0.0063035i,-0.0022485-0.0037582i,-0.001568-0.0086252i,0.0029437-0.00073798i,0.0031405-0.0028945i,-0.0027779+0.031949i,0.0065502-0.0041416i,0.0038635-0.0024141i,0.0048778-0.00030228i,-0.031112+0.018351i,-0.0002156+4.6901e-05i,0.014862-0.0066354i,0.0062153-0.00076573i,-0.0033585+0.0039238i,0.0030618+0.0022735i,-0.0025715+0.008901i,0.015085-0.089207i,-0.0061492-0.046482i,-0.024355-0.039354i,-0.018987-0.042144i,0.06289-0.014631i,0.027876-0.060793i,0.038422-0.045118i,0.030246-0.05588i,0.019514-0.015737i,0.0081039+0.0095419i,0.026133-0.031399i,-0.0067807-0.0045221i,0.0026591-0.0023567i,-0.0050372-0.0065185i,0.0019825-0.032381i,-0.023821+0.03057i,0.0074755-0.009438i,-0.011904-0.001529i,-0.0049248-0.0010843i,-0.00074262-0.013673i,-0.010119+0.004523i,0.0032083+0.0077369i,-0.010871+0.032391i,0.0053732+0.0076725i,-0.0059059-0.0015652i,-0.0019591-0.0022336i,-0.0099002-0.0080622i,0.00018316-0.0038059i,-0.043605+0.0063093i,0.0023401-0.012844i,-0.0088054-0.0025139i,-0.0062517-0.0025531i,0.0064853+0.0017787i,-0.0094889+0.0019098i,0.00092196+0.00065307i,0.0067678+0.0092773i,0.0038573+0.00083821i,-0.0089935-0.0095278i,0.0025651+0.0085515i,-0.020667+0.0071396i,0.0063136+0.0033914i,-0.029187-0.0082443i,-0.034633+0.0020535i,0.030999-0.073712i,0.012646-0.010923i,-0.042241-0.026458i,-0.023898-0.0037211i,0.017572+0.012433i,-0.027044+0.012165i,-0.011422-0.0084935i
-0.033506+0.0011622i,-0.047492+0.016953i,-0.04755+0.043584i,-0.028265+0.0055807i,-0.0058721+0.014553i,-0.0094834+0.031061i,-0.03017+0.017638i,-0.059951+0.024665i,-0.022039+0.021037i,0.00064643-0.0079446i,0.002055-0.0016264i,0.0037906-3.32e-05i,0.0018656+0.0086295i,-0.0041035+0.0017178i,0.0016112+0.0024199i,0.0021096-0.0092258i,-0.012494-0.010523i,-0.004008+0.0010617i,0.004722-0.002677i,0.0013581-0.001278i,0.0024585-0.004254i,0.0016953-0.0043633i,0.0022074-0.0034838i,-0.010159-0.012041i,-0.0024253-0.00036326i,-0.0040213+6.3499e-05i,-0.0031714-0.0011288i,-0.0054567-0.0016892i,-0.0012728-0.0020316i,0.0016773-0.0019048i,-0.0045271+0.0039131i,0.0016334+0.0014582i,0.0021055+0.0019763i,0.0015638+0.00061338i,-0.0013608+0.0029659i,-0.0034449-0.0073737i,-0.0030331+0.00071258i,0.0014687-5.0425e-05i,-0.0010287+0.0038937i,0.011748+0.0065909i,-0.00076348-0.0026556i,0.00092451+0.00020507i,-0.0053202-0.0037912i,0.0015997+0.0041588i,-0.019065-0.018401i,6.7496e-05-0.063349i,-0.089654-0.011173i,-0.022124-0.02084i,-0.046561-0.041484i,-0.043603-0.0078268i,-0.094491+0.012102i,-0.062837+1.0631e-05i,-0.036715-0.028178i,-0.028915-0.055825i,-0.031255-0.025684i,-0.00046203+0.0024341i,-0.026576+0.013063i,0.0043307+0.016982i,0.0042386+0.0075545i,0.00014993-0.0063358i,0.008389+0.0045867i,-0.010885-0.0062691i,0.002364+0.012117i,-0.0015378+0.007287i,-0.00094967-0.0025716i,0.0057848+0.0028202i,0.0034843-0.0013641i,-0.0037601+0.019937i,-0.0017141+0.014103i,0.0013962-0.004219i,0.011084-0.0075767i,0.0031616+0.0034934i,-0.0069055-0.0073978i,-0.0022069-0.0017898i,0.024125-0.035536i,0.0089351+0.0091413i,0.0036383+0.0028583i,-0.0015188+0.0029127i,0.0034682-0.0040078i,0.020127+0.0022279i,0.0014874-0.0017037i,-0.0013074-0.0073664i,0.0010976-0.0025451i,0.011861+0.0046428i,0.0054052+0.0010327i,0.0022073-0.0062156i,0.0031902+0.0069068i,0.0037145+0.0026026i,0.016965+0.0013453i,-0.06776-0.044914i,-0.010886+0.010074i,-0.0070566-0.0045393i,-0.007165+0.0047482i,-0.03643+0.0087573i,-0.0058969+0.0077163i,-0.013998+0.0045057i
-0.031269+0.0053741i,-0.044018+0.021462i,-0.034753+0.045713i,-0.027418+0.011261i,-0.0041997+0.011992i,-0.003832+0.031181i,-0.028098+0.022252i,-0.050643+0.032719i,-0.017073+0.017659i,-0.00092686-0.0071282i,0.0012976-0.0012089i,0.0033522-0.0016296i,0.0045821+0.0056615i,-0.0024678+0.0034749i,0.001969+0.002402i,-0.0033388-0.0072624i,-0.018116-0.0020281i,-0.0032913+0.0023619i,0.0045193-0.0031589i,0.0014002-0.0020552i,0.0010198-0.0042472i,0.0016207-0.0031913i,0.0017468-0.0036923i,-0.01194-0.0076317i,-0.002025-7.6642e-05i,-0.0040032+0.0014802i,-0.0028181+3.0632e-05i,-0.0045247+1.6304e-05i,-0.0016887-0.0017667i,0.0011246-0.002105i,-0.0031769+0.005572i,0.0015801+0.0010897i,0.0022562-0.00031387i,0.00026846+0.00048947i,-0.0017235+0.0025571i,-0.0030551-0.0061624i,-0.0017096+0.0010162i,-7.1679e-05-0.00091846i,-0.00079876+0.0046293i,0.011688+0.00024622i,-0.0016892-0.0048946i,0.00035679-0.00051043i,-0.0070947-0.002633i,0.0029183+0.0038258i,-0.02103-0.020959i,-0.018519-0.069936i,-0.083994+0.0048876i,-0.029006-0.022141i,-0.058801-0.034592i,-0.041453+0.0019006i,-0.082976+0.032963i,-0.05959+0.014341i,-0.028079-0.027707i,-0.035772-0.052104i,-0.039425-0.019272i,-0.0007125+0.00049314i,-0.018571+0.023639i,0.0093157+0.012461i,0.006225+0.0028275i,-0.0045612-0.011754i,0.0052185+0.0034743i,-0.011975+0.0016019i,0.0077325+0.0089278i,7.8641e-05+0.0092653i,-0.0019627-0.0016911i,0.0063488+0.0028845i,0.0033679-0.00097158i,0.0063738+0.016138i,0.0064509+0.0098607i,-0.0034809-0.0054104i,0.0033971-0.0086848i,0.0040784+0.0034367i,-0.010584-0.00055986i,-0.0020465+0.00093344i,0.014933-0.040594i,0.011663+0.0069204i,0.0063276+0.0015843i,0.0018675+0.0020856i,0.00020505-0.0016313i,0.017485-0.0065225i,-0.00027051-0.0022495i,-0.0048665-0.0052809i,-0.0019576-0.0019003i,0.011086+0.00082624i,0.0056458+0.0010626i,0.00068266-0.0031387i,0.0055391+0.0058276i,0.0037534+0.0023605i,0.015287-0.0039095i,-0.073467-0.035071i,-0.0041721-0.00047693i,-0.0070876-0.0036868i,-0.0054701+0.0043298i,-0.031451+0.019309i,-0.0036776+0.008646i,-0.0097346+0.0037816i
-0.027915+0.0082549i,-0.041888+0.026294i,-0.025921+0.043646i,-0.024639+0.015382i,-0.0017874+0.011736i,0.0015602+0.030329i,-0.024146+0.026516i,-0.041245+0.036666i,-0.017708+0.015087i,-0.0036421-0.006146i,0.0015599-0.00070612i,-0.00050419-0.0024948i,0.0052499+0.0039464i,-0.0016728+0.0039734i,0.002791+0.0024776i,-0.0070568-0.0020947i,-0.018098+0.0082495i,-0.001273+0.0034861i,0.0046066-0.0051986i,0.0013612-0.0031116i,-0.00043039-0.0044247i,0.0022048-0.0039304i,0.001109-0.0041063i,-0.013317-0.0040417i,-0.0023384+0.0005296i,-0.0029565+0.003158i,-0.0023309+0.00062251i,-0.0032397+0.0016488i,-0.0022967-0.0019375i,4.2146e-06-0.0028715i,-0.00084072+0.0060001i,0.0017138+0.00074485i,0.0017283-0.00040695i,0.00073411+0.00019048i,-0.0011063+0.0040982i,-0.0029855-0.0061901i,-0.0019308+0.001587i,-0.00091826-0.00067743i,0.0034915+0.0043437i,0.0093876-0.0029043i,-0.0015503-0.001296i,0.00062406-8.7376e-05i,-0.0091095-0.0011419i,0.0038848+0.0016881i,-0.025687-0.021777i,-0.040862-0.066884i,-0.073954+0.016372i,-0.03591-0.018959i,-0.066132-0.022156i,-0.035074+0.0083783i,-0.06308+0.047079i,-0.044661+0.026362i,-0.029537-0.032374i,-0.042207-0.049064i,-0.050229+0.0026014i,-0.0014217-0.00025971i,-0.0072603+0.026914i,0.011369+0.0070125i,0.0034398-0.0013669i,-0.016239-0.01366i,0.0046209+0.0019962i,-0.0067172+0.0074448i,0.0092003+0.0036268i,0.0035759+0.0088031i,-0.0042829+0.00044639i,0.0064954-0.0012173i,0.0039383-0.0025331i,0.0096028+0.0088124i,0.006891+0.00325i,-0.0076353-0.001592i,0.00048214-0.0062831i,0.0063423+0.0024154i,-0.0077984+0.0080904i,-0.00011196+0.002351i,-0.00066396-0.032636i,0.014608+0.0012037i,0.0068464-0.0005957i,0.001073+0.00014306i,0.0010308-1.5048e-05i,0.011282-0.011044i,-0.0031732+0.00088233i,-0.006941-0.0019118i,-0.0031332+0.0016165i,0.0090231-0.0020817i,0.0093413-0.0020029i,0.0017705-0.0030481i,0.008737+0.0026794i,0.0057651+0.0015353i,0.012415-0.0085279i,-0.076745-0.021669i,-0.0091549-0.0090573i,-0.0056776-0.0041224i,-0.0042047+0.002745i,-0.02157+0.028411i,-0.0026597+0.0033511i,-0.011168+0.0023434i
-0.024998+0.0091277i,-0.038221+0.03229i,-0.020701+0.041587i,-0.020529+0.019616i,0.0020738+0.0089571i,0.0066684+0.028071i,-0.01891+0.029994i,-0.033636+0.037343i,-0.019364+0.017105i,-0.0050792-0.0043039i,0.0015467-0.0015761i,-0.002613+0.00098903i,0.0053357+0.0021543i,-0.001293+0.0054322i,0.0032793+0.0019546i,-0.0062583+0.0043334i,-0.012019+0.016649i,0.00058258+0.0026813i,0.0021505-0.0069224i,-0.00022231-0.0042459i,-0.0014616-0.004029i,0.0015452-0.004797i,0.00023758-0.0051374i,-0.013613+0.00023673i,-0.0018936+0.00074236i,-0.00095711+0.0030682i,-0.0019976+0.0009195i,-0.0012724+0.0018369i,-0.0031284-0.00068323i,-0.0014902-0.0024071i,0.0016071+0.006258i,0.0014522+0.00031323i,0.0016668-0.00020136i,0.0003176+5.4282e-05i,0.001472+0.0041017i,-0.0038923-0.0074538i,-0.0014077+0.0029138i,-0.0014652+3.839e-05i,0.0038114+9.1282e-05i,0.0072288-0.0048287i,-0.0011222-0.0017394i,0.0010893-0.00068891i,-0.0098613+0.0011216i,0.0022367-0.0011822i,-0.031953-0.019738i,-0.059115-0.051647i,-0.064393+0.02154i,-0.041138-0.013101i,-0.069622-0.0093836i,-0.027368+0.010795i,-0.044508+0.050588i,-0.029226+0.025524i,-0.032979-0.03025i,-0.049443-0.042213i,-0.036933+0.016358i,-0.0027849-0.00044888i,0.003052+0.025398i,0.010937+0.0030945i,-0.0012063-0.0017345i,-0.029836-0.0011202i,0.0015382+0.0025324i,-0.002297+0.0067552i,0.0073182-0.0010566i,0.0070469+0.0076035i,-0.0037095+0.0038045i,0.003264-0.0024095i,0.003168-0.0052067i,0.007507+0.0019249i,0.0036665+0.00097829i,-0.0069641+0.0022578i,-0.0013933-0.0045456i,0.0071998+8.0164e-05i,0.0018885+0.010049i,0.0014214+0.001615i,-0.0072432-0.026358i,0.01268-0.0039433i,0.0054498-0.003869i,0.0016579+0.00096482i,0.0016011-0.00043422i,0.0062294-0.011582i,-0.00041307+0.0039207i,-0.0058618+0.0014714i,-0.00077554+0.0043577i,0.0068699-0.0028597i,0.0082777-0.0082589i,0.00026458-0.0032878i,0.0080811-0.0028974i,0.0061888-0.0019023i,0.0084987-0.012405i,-0.074251-0.0085142i,-0.016357-0.01246i,-0.0063394-0.007254i,-0.0043329+0.00087209i,-0.012566+0.025371i,-0.006964+0.0028641i,-0.013844+0.0032588i
-0.023323+0.0097759i,-0.03371+0.037331i,-0.017923+0.040926i,-0.014103+0.022269i,0.0040216+0.0047779i,0.010386+0.025496i,-0.012989+0.031851i,-0.028607+0.037936i,-0.017226+0.021831i,-0.0049652-0.0022919i,0.00055044-0.0020708i,-0.00149+0.0038538i,0.0049486+0.00069136i,0.0013948+0.0067606i,0.0037067+0.0015087i,-0.0023531+0.0078372i,-0.0032053+0.020052i,0.0011987+0.0016595i,0.00018341-0.0063903i,-0.0022682-0.0043691i,-0.0026236-0.0035176i,0.00030411-0.0050167i,-0.0020558-0.0052696i,-0.011289+0.0035841i,-0.0023427+0.00073226i,-0.00042459+0.0021021i,-0.0015902+0.0014013i,-0.00030993+0.00084928i,-0.0027436+0.0011287i,-0.0018696-0.0011481i,0.0040494+0.0047891i,0.0010774-0.00017024i,-0.0019798-0.00023928i,-0.00010351+2.7189e-06i,0.0023773+0.0027713i,-0.0062147-0.0077884i,-0.00038997+0.0037889i,-0.0012282+0.0011758i,0.0015524-0.00078937i,0.0045138-0.0051935i,-0.0014004-0.0018562i,0.00087895-0.0014675i,-0.004959-0.0063126i,-0.0001867-0.00028868i,-0.037652-0.014426i,-0.06408-0.031592i,-0.058313+0.024391i,-0.045268-0.0060332i,-0.071802+0.0043623i,-0.022562+0.0082029i,-0.028635+0.049379i,-0.01967+0.021195i,-0.035633-0.029055i,-0.052988-0.035319i,-0.02861+0.022756i,-0.0035316+0.00024378i,0.012725+0.020408i,0.0095927-0.00035976i,-0.0044417+0.00049667i,-0.028009+0.01173i,0.0013535+0.0046989i,0.0010511+0.008176i,0.0031449-0.0020305i,0.010556+0.0049538i,-0.0018216+0.0053363i,0.0012553-0.0010855i,0.0012493-0.0064336i,0.0029661+0.0012603i,0.0011412+0.0021283i,-0.006796+0.0065455i,-0.0027456-0.0020497i,0.0069617-0.0025423i,0.0064458+0.005338i,0.0021528+0.0008035i,-0.010242-0.023823i,0.0094169-0.0081068i,0.0035972-0.0053118i,0.0040615+0.0017446i,0.0012993-0.00064438i,0.0033651-0.010193i,0.0025562+0.0033155i,-0.0035337+0.004407i,0.0022769+0.0045474i,0.0056598-0.0033937i,0.0013009-0.011659i,0.00031066-0.0026899i,0.0037172-0.005938i,0.0034137-0.0036878i,0.0024075-0.015111i,-0.069265-0.00025516i,-0.027561-0.008385i,-0.0094701-0.0091903i,-0.0052786-0.00080173i,-0.0089481+0.025089i,-0.009862+0.0060027i,-0.014124+0.0068749i
-0.022299+0.010916i,-0.028621+0.042158i,-0.015584+0.043036i,-0.0081414+0.022584i,0.0029831-0.00010868i,0.014187+0.023177i,-0.0066948+0.031894i,-0.024452+0.039541i,-0.012504+0.023472i,-0.0053113-0.0015548i,-0.0011148-0.0018025i,0.00063322+0.0052076i,0.0041196+7.2841e-05i,0.00425+0.0053836i,0.0037987+0.00081056i,0.0018168+0.0086951i,0.0062129+0.019129i,0.0014931+0.0011314i,-0.0015695-0.0061469i,-0.0039708-0.0035061i,-0.0035192-0.0018554i,-0.00030861-0.0052484i,-0.0034186-0.0037174i,-0.0095965+0.0040173i,-0.0027799+0.001901i,-0.00037489+0.0020301i,-0.0016446+0.00061564i,0.0001569-0.00035851i,-0.0013391+0.001647i,-0.0018148-0.00054057i,0.0052934+0.0024683i,0.00069112-0.00049677i,0.00036427-0.00052151i,-0.00046953-0.00013922i,0.0028342+0.0021201i,-0.0087862-0.006923i,0.00080136+0.0034165i,-0.00012814+0.0013967i,0.00070253-0.0008321i,0.0025603-0.0049533i,-0.0017272-0.001347i,0.00033325-0.0017935i,-0.0026084+0.0073349i,-0.00049803+0.0014472i,-0.041261-0.005939i,-0.060115-0.018029i,-0.054228+0.027658i,-0.0469+0.0046957i,-0.068244+0.021637i,-0.024232+0.0060158i,-0.016977+0.04444i,-0.013352+0.016351i,-0.038235-0.025236i,-0.057364-0.028612i,-0.019282+0.025314i,-0.0045897+0.0016237i,0.017712+0.008166i,0.0089428-0.0044503i,-0.0058988+0.0044504i,-0.022237+0.022878i,0.0031441+0.0046971i,0.0061176+0.0060617i,0.0012097-0.00037169i,0.012502-0.00073069i,-0.00028264+0.0069998i,0.001089+0.00010667i,-0.0027032-0.0084635i,0.00093803+0.0040445i,0.0014326+0.0041492i,-0.0013401+0.010776i,-0.0014448+0.00026459i,0.0053995-0.004079i,0.0085011+0.0018057i,0.002788-0.00073759i,-0.016676-0.02367i,0.0046031-0.0099158i,0.00077735-0.0061613i,0.0036857-0.00043201i,0.0011541-0.00022039i,0.0023026-0.0086495i,0.0037007+0.00093395i,-0.000438+0.0053564i,0.0041274+0.0017078i,0.0045213-0.0041139i,-0.0050122-0.0099754i,0.00024632-0.0032376i,0.00090392-0.0035067i,0.0024493-0.0049697i,-0.0049191-0.013912i,-0.066791+0.0064255i,-0.027106+0.0064121i,-0.013145-0.0091399i,-0.0073869-0.00075473i,-0.0054978+0.025259i,-0.0082495+0.010803i,-0.0097856+0.0092626i
-0.021324+0.012518i,-0.02187+0.046779i,-0.010887+0.046219i,-0.0062416+0.0186i,-0.00074276-0.0023034i,0.017999+0.019953i,-0.00081638+0.030757i,-0.020122+0.042498i,-0.008337+0.02441i,-0.0061523-0.00020065i,-0.0017819+0.00024112i,0.0036157+0.005813i,0.0033813+0.00010369i,0.0052654+0.0027984i,0.0036263+0.00019434i,0.0053002+0.0078923i,0.012889+0.013614i,0.0017957+0.00073094i,-0.0030157-0.0055815i,-0.0048745-0.0016098i,-0.0028726-0.00040976i,-0.0017303-0.0056609i,-0.003716-0.002331i,-0.010235+0.0057475i,-0.002278+0.0030878i,3.7008e-05+0.0025177i,-0.0011021+0.0019651i,-0.00081752-0.0012895i,-0.0012787+0.0010977i,-0.0017491-4.4216e-05i,0.0055378+0.00026597i,0.00091977-0.00041889i,0.00091584-0.0012543i,-0.0003335+0.00017779i,0.0036662+0.00024847i,-0.011505-0.0046904i,0.0017902+0.0028476i,0.00030245+0.0010143i,6.2286e-05-0.0009847i,0.00086376-0.0045122i,-0.0016818-0.00082164i,-5.1124e-06-0.001882i,-0.0014806+0.0067896i,5.4032e-05+0.002073i,-0.040894+0.0018578i,-0.057458-0.012235i,-0.050426+0.03284i,-0.042901+0.014368i,-0.058549+0.036259i,-0.025424+0.009187i,-0.0091006+0.040055i,-0.010991+0.011248i,-0.039654-0.021147i,-0.060288-0.019828i,-0.011622+0.025912i,-0.0035364+0.0025385i,0.011352-0.0026435i,0.0053896-0.008302i,-0.0044259+0.007929i,-0.011984+0.02825i,0.0033802+0.0031896i,0.0078429+0.0010878i,0.0021202+0.0003001i,0.01038-0.0044765i,0.0053477+0.0075516i,0.0014456+0.0018734i,-0.0075389-0.0033164i,0.0026347+0.0063877i,0.0028111+0.0053837i,0.0050597+0.011468i,-0.00052683+0.00038352i,0.0041809-0.0051362i,0.0084458-0.0033911i,0.00064689-0.0016573i,-0.026423-0.016965i,0.0011038-0.0092195i,-0.0017942-0.0042354i,0.0036357+0.00036266i,0.0013394-0.00069895i,0.0022165-0.0098393i,0.0033196-0.00090907i,0.0016186+0.0039259i,0.0038069+0.00038621i,0.003806-0.0037811i,-0.0078031-0.0051443i,-0.0012252-0.0038519i,-0.00072662-0.0056697i,0.00010561-0.0064436i,-0.0089828-0.009823i,-0.06282+0.014172i,-0.021698+0.008684i,-0.013333-0.0066237i,-0.008607+0.00028035i,-0.00022725+0.023788i,-0.0070027+0.011759i,-0.0069942+0.0084091i
-0.019958+0.014103i,-0.013846+0.049946i,-0.0047613+0.049919i,-0.0045625+0.016249i,-0.0045854-0.0016065i,0.020972+0.016277i,0.0043864+0.028467i,-0.014473+0.045642i,-0.0040549+0.02425i,-0.0066667+0.001864i,-0.00064345+0.0017291i,0.0069251+0.0035398i,0.0033678+0.00034362i,0.0046486+0.0013277i,0.0037641-9.2616e-05i,0.0080555+0.0052405i,0.015614+0.0078294i,0.0021976-0.00022305i,-0.0043676-0.0047088i,-0.0048414+0.00048508i,-0.001883+0.0002722i,-0.0034057-0.0048002i,-0.0037045-0.0014355i,-0.0082433+0.0090759i,-0.0012149+0.004331i,0.0011019+0.0024305i,-0.00069346+0.0024357i,-0.0026675-0.00088394i,-0.0012895+0.001699i,-0.00148+0.00033708i,0.0052358-0.001493i,0.00085101-0.0010541i,0.00059135-0.0020137i,-9.0746e-05+0.00031125i,0.0026944-0.0013624i,-0.012998-0.00075175i,0.0023214+0.0022212i,0.00061605+0.0010782i,-0.0008455-0.0010127i,0.00015266-0.003406i,-0.0018222-0.00093447i,-0.00055439-0.0017954i,-0.0014745+0.0065156i,0.00084445+0.0024625i,-0.039909+0.0082309i,-0.058614-0.0071375i,-0.045139+0.037561i,-0.038451+0.021515i,-0.045228+0.045001i,-0.025982+0.012532i,-0.00095526+0.035498i,-0.0099951+0.0089134i,-0.040731-0.017001i,-0.061141-0.0097414i,-0.0054036+0.025813i,-0.0025565+0.002977i,0.0043764-0.0036061i,0.00087177-0.010141i,-0.001044+0.011148i,-0.0006709+0.026956i,0.0025693+0.0020432i,0.0065674-0.0038308i,0.0016553+0.00017054i,0.0077761-0.007802i,0.0088422+0.0042097i,0.0029098+0.0024474i,-0.0072762+0.00057406i,0.0054705+0.0074011i,0.0052341+0.0060356i,0.0095437+0.011175i,7.7745e-06+0.00084101i,0.0035178-0.0060028i,0.00064477-0.015358i,-0.00013589+0.00026631i,-0.033093-0.0049539i,-0.00068407-0.008243i,-0.0024871-0.0023008i,0.0054577-0.00052086i,0.0010605-0.00053679i,5.9137e-05-0.012215i,0.0018266-0.0016999i,0.0034305+0.0033713i,0.0037687-0.0009076i,0.0041881-0.0046096i,-0.0086683-0.0023968i,-0.0038974-0.0023762i,-0.0043452-0.0039105i,-0.0022474-0.0072339i,-0.011246-0.0056467i,-0.058656+0.020403i,-0.020857+0.010307i,-0.012846-0.0073157i,-0.0092044+0.0022474i,0.0010918+0.022055i,-0.0064726+0.012756i,-0.0050574+0.0073877i
-0.01829+0.015892i,-0.0046222+0.051417i,0.0048372+0.052655i,-0.0037481+0.015641i,-0.0063936+0.0017289i,0.023477+0.012379i,0.0086241+0.024874i,-0.0067886+0.048278i,-0.00021463+0.023234i,-0.0062428+0.0042706i,0.00047942+0.0015327i,0.0074111-0.0005605i,0.0040341-5.778e-05i,0.0044946+0.00056309i,0.003912-0.00077909i,0.0082106+0.0016332i,0.016616+0.0020856i,0.00117-0.0013811i,-0.0058418-0.0028899i,-0.003707+0.0021055i,-0.00094204+0.00013436i,-0.0040433-0.0036688i,-0.003791-0.00034477i,-0.0042579+0.011088i,0.00084211+0.0046684i,0.0017561+0.0016865i,0.00032253+0.0025537i,-0.003346+0.00088675i,-0.00038539+0.0016084i,-0.0013402+0.000526i,0.0042614-0.0030732i,0.00022426-0.0013714i,-0.0014469-0.0015406i,-9.1304e-05+0.00013077i,0.001427-0.0020213i,-0.0126+0.0040314i,0.0026107+0.0015382i,0.001185+0.00093615i,-0.0015467-0.00049099i,-0.00016935-0.0029662i,-0.00247-0.00074499i,-0.0010306-0.0017284i,-0.00095483+0.007413i,0.0018686+0.0024808i,-0.038763+0.015283i,-0.062004+0.0012837i,-0.038629+0.040823i,-0.031559+0.027017i,-0.031658+0.050104i,-0.025485+0.019127i,0.0060126+0.027979i,-0.0056704+0.0068111i,-0.04134-0.011971i,-0.058859+0.00054318i,-0.0011459+0.024031i,-0.0023181+0.0033101i,0.00032188-0.0030838i,-0.0046285-0.0099499i,0.0050709+0.010915i,0.0045355+0.021816i,0.00057507+0.0017973i,0.0041972-0.0075097i,0.0024801+0.0017092i,0.0035043-0.0094428i,0.0098356-0.0015639i,0.004691+0.0021294i,-0.0067659+0.0042565i,0.01013+0.0067603i,0.0093359+0.0043922i,0.012202+0.0036875i,0.0009661+0.0013095i,0.001723-0.0070344i,-0.00013972-0.0093762i,0.0015585+0.0020103i,-0.035438+0.0096857i,-0.0024885-0.0077523i,-0.0018773-0.00034799i,0.0064302-0.0058779i,0.0014565+4.9412e-05i,-0.0053251-0.012814i,0.00077783-0.0013881i,0.0047634+0.0011645i,0.0032085-0.0013503i,0.0032396-0.0060519i,-0.0080194+0.0019441i,-0.004267+0.00066386i,-0.0061314-3.7538e-05i,-0.0053781-0.0070536i,-0.01148-0.0013889i,-0.054979+0.026705i,-0.020209+0.016161i,-0.015233-0.0099165i,-0.0061746+0.004554i,0.0036703+0.021753i,-0.0062997+0.01551i,-0.0028904+0.0051452i
-0.016247+0.017208i,0.0044503+0.050219i,0.016467+0.051906i,-0.0024101+0.016346i,-0.0054316+0.0052615i,0.025653+0.0079114i,0.011456+0.020975i,0.002093+0.048545i,0.0029839+0.02177i,-0.0044946+0.0061759i,0.00066692+0.001258i,0.0056763-0.0032563i,0.0040632-0.0014486i,0.003979-0.0001885i,0.0036995-0.0016467i,0.0064566-0.00037434i,0.015424-0.0027288i,0.00016067-0.0011497i,-0.0058681-0.00077455i,-0.0013805+0.0043189i,-0.00018913-0.00028635i,-0.0041937-0.0028306i,-0.0031785+0.00053588i,-0.00025181+0.012316i,0.0026918+0.0034725i,0.0019455+0.0010926i,0.0011637+0.0022197i,-0.0027385+0.0025264i,-0.00014107+0.0011831i,-0.0013277+0.00096608i,0.0025677-0.0039066i,-0.00034824-0.0013671i,-0.00076652-0.0010269i,-0.00017373+0.00012456i,0.00030595-0.0022371i,-0.01023+0.007385i,0.0029329+0.000676i,0.0012867+0.00026508i,-0.0017746+0.00052247i,-0.00065132-0.0027263i,-0.0025287+0.0001869i,-0.0019931-0.0022692i,0.00075358+0.0086864i,0.0026618+0.0018434i,-0.034505+0.022226i,-0.061772+0.014203i,-0.034106+0.043184i,-0.024958+0.029891i,-0.017242+0.051968i,-0.020092+0.027564i,0.0079658+0.020845i,-0.0033864+0.00027422i,-0.038935-0.0070575i,-0.053498+0.010904i,0.0045577+0.02362i,-0.0028156+0.0035287i,-0.0035655-0.0012306i,-0.0088654-0.007326i,0.0086815+0.0066799i,0.010342+0.020042i,-0.0023001+0.0032279i,0.00012574-0.010471i,0.0046372+0.00027175i,-0.0013647-0.0086471i,0.0073087-0.0053203i,0.0062365-0.00042001i,-0.0050271+0.0069654i,0.013515+0.0017286i,0.010961-0.0019039i,0.010898-0.0031133i,0.0026824+0.0008838i,-0.00089687-0.0072247i,-0.0037675-0.0059031i,0.0038838+0.00068273i,-0.031451+0.02455i,-0.0045947-0.0069203i,-0.00045825+0.00079988i,0.0021423-0.0072496i,0.002223-0.0002397i,-0.010702-0.010213i,0.00083784-0.00065184i,0.0046914-0.0012331i,0.0023686-0.0022219i,0.0017259-0.0064393i,-0.0056257+0.0050227i,-0.0026795+0.0027322i,-0.0055018+0.0034112i,-0.0085271-0.0059836i,-0.010296+0.0015401i,-0.048777+0.034132i,-0.012307+0.021331i,-0.020562-0.0074122i,-0.0024895+0.0029061i,0.0058727+0.020689i,-0.0033397+0.018677i,-0.0026637+0.0016431i
