-0.031514-0.040998i,-0.021841-0.018825i,-0.012565-0.035743i,-0.029858-0.020232i,-0.022156-0.00016279i,-0.013508-0.0059079i,-0.055421-0.058458i,-0.047132-0.017399i,-0.037662-0.013809i,0.0095799+0.012366i,-0.0077374+0.0056158i,-0.019998+0.019006i,0.0025292+0.011591i,-0.0063243-0.0033039i,0.00020988+0.0012391i,-0.0019389+0.030321i,0.027249+0.027612i,0.0024266-0.0013118i,-0.0018553-0.0065181i,0.0079641+0.0026875i,0.0031188+0.0010264i,0.00025722+0.003919i,-0.00027812+0.00020018i,-0.037569-0.011675i,-0.0002613-0.0074648i,0.0014882+0.002371i,0.0059348+0.0019825i,0.0019298+0.00044387i,0.0010807-0.00054428i,-0.00041263-0.002447i,0.0014093-0.0025942i,-0.0024789-0.0055257i,-0.00025668-0.0047342i,0.003015-0.00083476i,0.0045765-0.0026481i,0.002095+0.030299i,0.0039069-0.00341i,0.0029761-0.0016123i,0.0083074-0.0010673i,-0.0050433-0.0020252i,-0.00014605+0.0010979i,0.0091945+0.00039255i,0.0043681-0.0020236i,-0.0017647+0.008227i,-0.018386-0.0081191i,-0.019194+0.015793i,-0.0019621-0.060781i,-0.0046329-0.027201i,-0.026303-0.032599i,-0.010766-0.026759i,0.055406-0.020142i,0.016781-0.042705i,0.022976-0.048672i,0.0056956-0.055258i,0.026652-0.020542i,0.0084397+0.0060787i,0.02547-0.034331i,-0.0080265-0.0062941i,0.0036694-0.0050466i,-0.0049459-0.0068756i,-0.0013526-0.033327i,-0.018654+0.029844i,0.0085544-0.011606i,-0.0089865-0.0038379i,-0.0042313-0.0011854i,0.0011052-0.012747i,-0.011133+0.0046458i,0.002695+0.010053i,-0.0059575+0.026883i,0.0050982+0.002438i,-0.005323-0.0020594i,-0.0019411-0.0020414i,-0.012238-0.0071841i,-0.00048032-0.0043302i,-0.036472+0.0012211i,0.0011043-0.010911i,-0.0082415-8.681e-05i,-0.0066202-0.0023172i,0.0053375+0.001262i,-0.0085533-0.0004681i,0.0018615+8.1026e-06i,0.0040104+0.0069745i,0.004588+0.00039064i,-0.0084179-0.012928i,0.0028179+0.0093001i,-0.015498+0.0050794i,0.0066009+0.00038736i,-0.022628-0.00054933i,-0.018269+0.0052053i,-0.0069334-0.066052i,0.0090966-0.012788i,-0.049055-0.023303i,-0.020898+0.00027129i,0.017543+0.011804i,-0.023468+0.014543i,-0.018832-0.0056647i
-0.038759+0.035064i,-0.015865+0.017785i,-0.021131+0.042343i,-0.027093+0.013415i,-0.004446+0.020975i,-0.00071901+0.007695i,-0.03004+0.017341i,-0.0037832+0.02908i,0.0083949+0.01832i,-0.004289-0.0078122i,0.0023514+0.0031007i,0.0078496+0.00014657i,0.0053892+0.00037175i,-0.00042741+0.0035633i,0.00061779+0.0020929i,0.0060684-0.0047864i,-0.0065174-0.00045797i,-0.0034964-0.0010234i,0.0038931-0.0017203i,6.3561e-06-0.00081708i,0.0029044-0.0053228i,0.0016154-0.002755i,0.0013288-0.0024832i,-0.0092224-0.011219i,-0.0010453+0.0015037i,-0.0017921-4.7605e-05i,-0.0040335-0.0013109i,-0.0029702-0.00023941i,-0.00071372-0.0016455i,-0.0002399-0.00064551i,-0.0010438+0.0034505i,0.00044571+0.00072658i,0.0015909+0.00059822i,-0.00050834+0.00076186i,-0.0029883+0.0028508i,-0.0012389-0.0080565i,-0.0025092+0.0011251i,0.00089292-0.00055648i,-0.0017341+0.0036596i,0.0038559+0.0026757i,-0.00047138-0.0014364i,-0.00061513-0.0033408i,-0.0032879-0.0001802i,0.0044852+0.00050124i,-0.015345+0.026315i,0.0093201-0.037793i,-0.053205+0.0038741i,0.0083687-0.032018i,-0.030423-0.049808i,-0.028636-0.020103i,-0.06303+0.020821i,-0.038192+0.00070457i,-0.033439-0.0066671i,-0.028634-0.021957i,-0.038928-0.023948i,-0.0052226+0.0030502i,-0.0279+0.0094987i,0.0060557+0.019322i,0.0027569+0.0085365i,-0.0036172-0.004925i,0.0018209+0.001212i,-0.010918-0.0037331i,0.0055746+0.011315i,-0.00065626+0.0058983i,-0.0017727-0.0017331i,0.0012784+0.0020732i,0.0038444-0.00079512i,-0.0038729+0.018459i,0.0026197+0.013864i,0.0037802-0.0011308i,0.0098927-0.006345i,0.0043937+0.003249i,-0.0088447-0.0070899i,-0.00083986-0.0029858i,0.026058-0.034822i,0.0073507+0.009884i,0.0051721+0.0024943i,-0.0026384+0.0028713i,0.0033528-0.0052328i,0.020856+0.0080977i,0.0034314+0.001683i,-6.8714e-06-0.0063634i,0.00094656-0.0026332i,0.014487+0.0073266i,0.0049913+0.0010531i,0.0027157-0.0045223i,0.0043558+0.0085696i,-0.00065208+0.0016255i,0.0088189+0.0029875i,-0.044189-0.014876i,-0.0059979+0.011682i,-0.0023525-0.0048161i,-0.0070837+0.0049521i,-0.036931+0.011939i,-0.0055005+0.0074863i,-0.010031+0.013671i
-0.032098+0.040511i,-0.013102+0.017497i,-0.010419+0.038077i,-0.024236+0.016406i,-0.0016437+0.019096i,0.00070611+0.0076473i,-0.028656+0.022369i,0.001908+0.028283i,0.01084+0.012711i,-0.0061623-0.0051633i,0.0033717+0.0035761i,0.0071333-0.0025082i,0.0049391-0.0016655i,0.0017467+0.004008i,0.00091485+0.0021005i,0.0017933-0.0041164i,-0.0075069+0.003305i,-0.0034225+0.00024333i,0.0038445-0.0025373i,0.00033766-0.0008165i,0.0011652-0.0054793i,0.0013182-0.0024533i,0.00067119-0.0025483i,-0.011394-0.0082437i,-0.00019567+0.0011296i,-0.0019368+0.0004889i,-0.0036463+0.0002956i,-0.0022164+0.00058909i,-0.0013461-0.001507i,-0.00014136-0.00048349i,0.00033152+0.0035936i,6.9143e-05+0.00067836i,0.0013879-0.00034628i,-0.00061406+0.00087045i,-0.0029327+0.0031907i,-0.0016376-0.0070711i,-0.0020205+0.0015578i,-0.00019774-0.0011433i,-0.0011282+0.0043396i,0.0036712+0.0003406i,-0.00070545-0.0013144i,-0.0024853-0.0029358i,-0.003305+0.00088568i,0.0048251-0.00060643i,-0.010535+0.025349i,-0.0044453-0.043622i,-0.046746+0.014157i,-0.00092008-0.039552i,-0.044708-0.04395i,-0.02951-0.01336i,-0.051147+0.032991i,-0.035579+0.0096688i,-0.024878-0.009601i,-0.030652-0.017322i,-0.044741-0.0086854i,-0.0044416+0.0029056i,-0.023479+0.021368i,0.011301+0.013424i,0.0054698+0.0050505i,-0.0087312-0.007577i,-0.0017107+0.0036962i,-0.010774+0.0030399i,0.0097674+0.0077479i,0.00052545+0.0078304i,-0.0019394-0.00041778i,0.0022233+0.0031917i,0.0043028-0.0014926i,0.0050389+0.015066i,0.0081849+0.0082358i,-0.00090365-0.0045302i,0.0032632-0.0078813i,0.0048118+0.0026478i,-0.01153+0.0011323i,-0.002273-0.00066038i,0.0092091-0.037448i,0.011195+0.0077209i,0.0069543-1.4681e-05i,0.00069547+0.0025198i,0.00010011-0.00326i,0.022186-0.0017896i,0.0029518+6.0913e-05i,-0.0033762-0.0051317i,-0.0028568-0.0015036i,0.013554+0.0013644i,0.004997+0.0011677i,0.00091176-0.0033722i,0.0070153+0.0068449i,-0.00064308+0.0028509i,0.0092851-0.00015336i,-0.047463-0.010401i,-0.00034632-0.0028009i,-0.0012392-0.0045737i,-0.0051537+0.0047395i,-0.03037+0.023085i,-0.003072+0.0082155i,-0.005867+0.014586i
-0.024382+0.044346i,-0.011269+0.017726i,-0.0052868+0.031544i,-0.021343+0.019119i,0.0017179+0.01818i,0.0022841+0.0070399i,-0.024792+0.028i,0.0073112+0.026046i,0.010209+0.0085605i,-0.006831-0.0023538i,0.0053027+0.0032429i,0.0031806-0.0037052i,0.0037828-0.0028918i,0.0026818+0.0033623i,0.0014633+0.0020777i,-0.0012692-0.0014268i,-0.0061025+0.0074412i,-0.0024355+0.0011725i,0.0033859-0.0042911i,0.00070212-0.0015412i,-0.00061372-0.0052122i,0.0015101-0.0029568i,0.00021547-0.0025143i,-0.01354-0.0055464i,-7.5727e-07+0.00090054i,-0.0014058+0.0014034i,-0.0025092+0.00094055i,-0.0010635+0.0011537i,-0.0015833-0.0011749i,-0.00042299-0.00077154i,0.001614+0.0029851i,6.113e-05+0.00090727i,0.0009097-0.00073477i,-0.00041547+0.00078063i,-0.0014189+0.0043722i,-0.0015264-0.00692i,-0.0018584+0.001787i,-0.0011264-0.00098298i,0.0017364+0.0031795i,0.0027222-0.00090303i,-0.00092941-0.001029i,-0.0022235-0.0012833i,-0.002999+0.0017325i,0.00455-0.0025083i,-0.0075214+0.024953i,-0.021235-0.042083i,-0.036937+0.020227i,-0.012797-0.041486i,-0.053198-0.034583i,-0.026044-0.0078862i,-0.034951+0.039208i,-0.023845+0.015264i,-0.027419-0.01285i,-0.031133-0.013406i,-0.042666+0.0059695i,-0.0037412+0.003117i,-0.012569+0.028707i,0.013466+0.0073232i,0.003636-4.6903e-05i,-0.018096-0.0046645i,-0.00075884+0.0053726i,-0.0061202+0.0066431i,0.011261+0.0020991i,0.0033205+0.0080361i,-0.0037142+0.0012234i,0.0025142+0.0013281i,0.0042062-0.0032037i,0.0079542+0.0081297i,0.0080734+0.0027291i,-0.0057032-0.001154i,0.00024584-0.0059914i,0.0065955+0.0015605i,-0.0070762+0.0099966i,-0.00040612+0.0014735i,-0.0036077-0.033529i,0.014937+0.0019526i,0.0058832-0.0026706i,0.0010425+0.0013565i,2.9223e-05-0.0015153i,0.017329-0.0097691i,0.00088154+0.0019721i,-0.0053745-0.0027016i,-0.0032205+0.0024257i,0.010325-0.0025432i,0.0086005-0.0011949i,0.00086464-0.0033067i,0.010194+0.0029921i,0.0028076+0.0025893i,0.0082134-0.0032278i,-0.050474-0.0010592i,-0.0089414-0.011572i,0.0007746-0.0077306i,-0.004004+0.0035851i,-0.02032+0.028108i,-0.003329+0.0033475i,-0.0028868+0.0098605i
-0.016065+0.046244i,-0.0089553+0.018764i,-0.0038194+0.0265i,-0.017194+0.021964i,0.0048886+0.015237i,0.0037552+0.0055035i,-0.018296+0.032477i,0.011798+0.022183i,0.0096136+0.0066534i,-0.0065534+0.00020639i,0.0064395+0.00080484i,0.00091827-0.001346i,0.0023027-0.003347i,0.0025468+0.0032489i,0.0018798+0.0016663i,-0.0015164+0.0026866i,-0.0019011+0.010533i,-0.0017151+0.0012842i,0.0017343-0.0049596i,-8.6486e-06-0.0022827i,-0.0016683-0.0041791i,0.0011405-0.0033002i,-0.00030447-0.0026775i,-0.015374-0.00074025i,0.00027164+5.5551e-05i,-0.00038113+0.0010925i,-0.002041+0.00091226i,2.5886e-05+0.00054726i,-0.0017729-0.00047723i,-0.0007947-0.00044428i,0.002436+0.0019514i,0.00031339+0.0010859i,0.00015687-0.00087047i,-0.00026326+0.00086252i,0.00070578+0.0038106i,-0.0026897-0.008492i,-0.0010035+0.0025786i,-0.0017408-0.00033207i,0.0015391+0.00037161i,0.0017849-0.0012367i,-0.0009092-0.00070421i,-0.0018515-0.0012908i,-0.0023041+0.002512i,0.002042-0.0049231i,-0.0042178+0.025286i,-0.034489-0.030048i,-0.0278+0.020989i,-0.023991-0.038384i,-0.061281-0.023596i,-0.02131-0.0061966i,-0.020805+0.038158i,-0.013604+0.011246i,-0.028542-0.0095066i,-0.03131-0.0086482i,-0.036591+0.016142i,-0.0034954+0.0033045i,-0.00040453+0.02922i,0.013769+0.0016727i,-0.001221-0.00092771i,-0.022777+0.006161i,-0.00052506+0.0070598i,-0.0023607+0.0061313i,0.0085205-0.0038328i,0.006013+0.0070389i,-0.0030374+0.0043506i,0.00037623+0.0016314i,0.0032826-0.0057957i,0.0064291+0.0024121i,0.0049539+4.0038e-05i,-0.00424+0.0025696i,-0.0013705-0.0043579i,0.006816-0.00081771i,0.0029036+0.011707i,0.00057781+0.0005961i,-0.010833-0.026689i,0.013242-0.0041128i,0.0044232-0.0042299i,0.0021327+0.0025919i,0.00033139-0.0011645i,0.011294-0.012908i,0.0040007+0.0033375i,-0.0059864+0.0004212i,-0.00073824+0.0042355i,0.0079612-0.0034707i,0.0076986-0.006526i,-0.00060401-0.0028474i,0.009358-0.0028868i,0.0029783-0.00049977i,0.0068652-0.0062695i,-0.046814+0.010464i,-0.019306-0.011003i,-0.0019375-0.0132i,-0.0028134+0.0019026i,-0.012131+0.028227i,-0.0073561+0.0030567i,-0.0033875+0.0089334i
-0.0083626+0.046655i,-0.0069457+0.018961i,-0.0048187+0.024097i,-0.012554+0.023345i,0.0064725+0.011942i,0.0040073+0.0036771i,-0.010744+0.03417i,0.014683+0.017671i,0.0099649+0.0052572i,-0.0049721+0.0022987i,0.0056246-0.00094761i,0.0013982+0.00059337i,0.001241-0.0033971i,0.0038397+0.0036283i,0.0022007+0.0012223i,0.00046095+0.0053188i,0.0031506+0.010827i,-0.0012962+0.0014837i,0.00056602-0.0049925i,-0.0010009-0.0023247i,-0.0026274-0.0033083i,0.00039205-0.0035646i,-0.001151-0.0025367i,-0.013132+0.0043448i,-0.00060861-0.0008584i,-0.00040131+0.00044125i,-0.0015953+0.00098827i,0.00015775-0.00047501i,-0.0016574+5.4048e-05i,-0.00051329-1.3245e-05i,0.0025809+0.00076571i,0.0010687+0.00069515i,-0.00044256-0.0004795i,-0.00030681+0.00091703i,0.0012764+0.0029196i,-0.0058819-0.0092212i,-0.00018585+0.0025484i,-0.0017163+0.00082876i,-0.00020152-0.000135i,0.00092996-0.00089627i,-0.00085077-0.00056249i,-0.0023294-0.0011208i,-0.0011222+0.0029798i,-0.00072624-0.0037429i,0.00011271+0.025556i,-0.035462-0.014843i,-0.021727+0.019178i,-0.03352-0.032075i,-0.066553-0.008374i,-0.018422-0.0085466i,-0.0093732+0.033539i,-0.0090277+0.0059709i,-0.028013-0.0073997i,-0.030043-0.0054041i,-0.029784+0.02423i,-0.0028753+0.0034108i,0.012285+0.02463i,0.012492-0.002997i,-0.0046755+0.0016239i,-0.020139+0.015862i,0.0020534+0.0082878i,9.794e-05+0.0069526i,0.0025015-0.0047297i,0.008105+0.004974i,-0.0008928+0.0061406i,8.4587e-05+0.0037106i,0.0012749-0.007328i,0.0021358+0.0021758i,0.0022797+0.00087862i,-0.003536+0.0046632i,-0.0024781-0.0022991i,0.0059022-0.0030303i,0.0081562+0.0067838i,0.00046979+0.0001114i,-0.014837-0.023683i,0.0098055-0.0078438i,0.00235-0.0052624i,0.0052573+0.0020425i,3.9138e-05-0.00084128i,0.0069307-0.013393i,0.0066076+0.00079935i,-0.0041876+0.0036482i,0.0019942+0.00386i,0.0071321-0.0044049i,0.0027422-0.01074i,-0.00057598-0.0021085i,0.0050088-0.0062192i,0.0010756-0.0014642i,0.0032374-0.0092051i,-0.03869+0.015577i,-0.027734-0.0032315i,-0.0069092-0.015028i,-0.0030185-0.00051272i,-0.0069711+0.027181i,-0.010074+0.0058548i,-0.0020174+0.0094143i
-0.0010284+0.045941i,-0.0049507+0.019779i,-0.0052356+0.024943i,-0.0082072+0.023213i,0.0065164+0.0089471i,0.0040244+0.0025469i,-0.0026721+0.033242i,0.016171+0.013317i,0.010451+0.0030423i,-0.0036909+0.002649i,0.004105-0.0019055i,0.0025097+0.0013713i,0.00014652-0.0032612i,0.0053161+0.0023753i,0.0022269+0.00069793i,0.0033437+0.0061208i,0.0079293+0.0086352i,-0.00071026+0.0017695i,-0.0011193-0.0049634i,-0.0018747-0.0018379i,-0.0027872-0.0020117i,-0.00023889-0.00367i,-0.0017277-0.0019927i,-0.011+0.0061868i,-0.0017054-0.0003334i,-0.00080242+0.00033658i,-0.0013328+0.0010923i,-0.00019162-0.0013835i,-0.0013641+0.00043101i,-0.00032302-0.00014099i,0.0023836-0.00016398i,0.0012195-0.00012516i,-0.00060743-9.922e-05i,-0.00016977+0.00092533i,0.001537+0.0025705i,-0.0092692-0.008029i,0.00026857+0.0021888i,-0.0010944+0.0013963i,-0.0010172+0.00057838i,0.00063933-0.00039218i,-0.00081042-0.00024321i,-0.002411-0.00029353i,-3.6104e-05+0.0026724i,-0.0016825-0.0015454i,0.0041954+0.025384i,-0.030215-0.0065361i,-0.018082+0.017689i,-0.039265-0.021401i,-0.063976+0.0104i,-0.021938-0.011482i,-0.0022993+0.026473i,-0.0063323+0.0015036i,-0.02681-0.0047358i,-0.029942-0.0023948i,-0.021663+0.028724i,-0.0030414+0.003845i,0.018876+0.011015i,0.010214-0.0074436i,-0.0057134+0.0057383i,-0.012428+0.023243i,0.0048554+0.0068908i,0.0038668+0.0054975i,-0.00021574-0.0015211i,0.010012+0.0012777i,0.0015413+0.0075826i,0.0014097+0.005017i,-0.0036552-0.0093053i,0.001116+0.0052443i,0.0024399+0.0025136i,-0.00049803+0.0079123i,-0.001779-0.00043126i,0.0043616-0.0038689i,0.0095867+0.0016459i,0.00098468-0.00050894i,-0.022487-0.021535i,0.0057044-0.0098572i,-1.6992e-05-0.0054342i,0.0051227-0.00091772i,-1.2709e-05+0.00036296i,0.0043739-0.0126i,0.0063963-0.0024453i,-0.0014669+0.0048767i,0.0032924+0.0016689i,0.0054166-0.0057781i,-0.0038148-0.01056i,-0.00094148-0.0023821i,0.0017207-0.0054977i,0.0005932-0.0025531i,-0.0015812-0.0091067i,-0.033782+0.018491i,-0.025229+0.010743i,-0.011667-0.014529i,-0.0048-0.0015949i,-0.002917+0.026452i,-0.0093564+0.010558i,0.0015159+0.008054i
0.0058661+0.04423i,-0.0021943+0.020803i,-0.0036249+0.027022i,-0.0051172+0.022107i,0.0055999+0.0072969i,0.0041099+0.0014907i,0.0041569+0.030292i,0.016642+0.0095338i,0.010608+0.0012698i,-0.0030915+0.0032144i,0.0030469-0.0015275i,0.0045728+0.0016322i,-0.00087631-0.0027439i,0.0056871-0.00022172i,0.0020472+0.00032168i,0.0058431+0.0053251i,0.010581+0.004609i,-8.1629e-05+0.0019101i,-0.002247-0.0042494i,-0.0023867-0.00092861i,-0.0024153-0.00094767i,-0.0012846-0.0036075i,-0.002102-0.0013956i,-0.0096354+0.0091789i,-0.0019755+0.00053351i,-0.0010797+0.00079568i,-0.001147+0.0013726i,-0.0013573-0.0017757i,-0.0011102+0.000485i,-0.00049954-0.00029611i,0.0019939-0.00089678i,0.0011618-0.00034894i,-0.00028861+3.5479e-05i,8.0739e-05+0.00091043i,0.0022913+0.0014205i,-0.012265-0.0057695i,0.00078836+0.0020348i,-0.00061626+0.0014408i,-0.00091717+0.0010792i,0.0007693-0.00012387i,-0.00066539-1.4008e-05i,-0.0019212+0.00022457i,0.00049945+0.0019453i,-0.0016294-0.00044918i,0.0090566+0.023849i,-0.026464-0.0049063i,-0.0153+0.016926i,-0.039582-0.011308i,-0.054413+0.025746i,-0.025573-0.0090014i,0.00184+0.021015i,-0.0065037-0.0030079i,-0.024893-0.0030782i,-0.028898+0.00195i,-0.014109+0.032105i,-0.0017955+0.0040011i,0.013408-0.0013588i,0.0056172-0.011138i,-0.003948+0.0090413i,-0.0035523+0.024416i,0.0056782+0.0042495i,0.0054009+0.001495i,0.00092412+0.00016312i,0.0094468-0.0020166i,0.0063178+0.0071357i,0.0032136+0.0061738i,-0.0083206-0.0037635i,0.0035176+0.0071745i,0.003743+0.0030683i,0.0038967+0.0078299i,-0.0011318+4.4245e-05i,0.0034821-0.0045749i,0.009373-0.0046121i,-0.00058896-0.00086331i,-0.030831-0.012896i,0.0019327-0.0099929i,-0.0019523-0.0040343i,0.005389-0.00070967i,0.00046097+0.00077261i,0.0028588-0.014659i,0.0046412-0.0047654i,0.00096765+0.0040526i,0.0035172+0.00079318i,0.0040743-0.0064763i,-0.0074958-0.0062405i,-0.0022715-0.002293i,-0.00078001-0.0050511i,-0.0011107-0.0031252i,-0.0046384-0.0067636i,-0.028142+0.021091i,-0.018774+0.011934i,-0.012549-0.013109i,-0.0063097-0.0013346i,0.0016872+0.024412i,-0.0076914+0.012555i,0.0020028+0.0054539i
0.012103+0.041674i,0.0013848+0.02162i,5.9201e-06+0.029498i,-0.0024549+0.021801i,0.004749+0.0068981i,0.0037304+0.00066771i,0.0095364+0.026063i,0.016816+0.0064258i,0.010821-0.0011707i,-0.0022916+0.003819i,0.0031294-0.00099054i,0.0064852-0.00054161i,-0.0016544-0.0018581i,0.0038345-0.0014781i,0.0019867+0.00015363i,0.0077572+0.0033336i,0.01105+0.00060542i,0.00072058+0.001476i,-0.0032044-0.0034657i,-0.0022197+0.00029344i,-0.0017606-0.00028748i,-0.0021217-0.0026794i,-0.0023236-0.00079927i,-0.0051543+0.011584i,-0.001823+0.001414i,-0.000735+0.0013728i,-0.00084574+0.0017198i,-0.0026747-0.0010555i,-0.0010276+0.00059206i,-0.00070069-0.0001222i,0.0013172-0.0014075i,0.0014298-0.0013683i,-0.00040743-6.554e-06i,0.00017449+0.00078178i,0.0020608+0.00039908i,-0.014463-0.001743i,0.0011717+0.0015995i,-0.00024361+0.0016229i,-0.00084683+0.0013154i,0.0010927+0.00012442i,-0.00029199+3.8968e-05i,-0.0015345+0.00062696i,0.00055727+0.0013381i,-0.001239+0.00048348i,0.013199+0.02063i,-0.02672-0.0039966i,-0.013379+0.015852i,-0.039113-0.0029251i,-0.041254+0.034005i,-0.029003-0.0057026i,0.0056118+0.015001i,-0.0074142-0.0049842i,-0.023869-0.0023257i,-0.026818+0.0066956i,-0.005201+0.033708i,-0.00078679+0.00375i,0.0065432-0.0031275i,0.000482-0.012502i,-0.0001265+0.012136i,0.0044127+0.021507i,0.0050196+0.0018686i,0.0040992-0.0022064i,0.00062221+0.00059545i,0.0076656-0.0055153i,0.0096846+0.0036458i,0.0059377+0.0059188i,-0.0081403+0.00038336i,0.0063519+0.0077036i,0.0053155+0.0030615i,0.0082989+0.0055917i,-0.0006949+0.0007749i,0.0029942-0.0054095i,0.0055081-0.0084854i,-0.00088716+0.0010419i,-0.034427-0.00041114i,-0.000747-0.0094638i,-0.0027716-0.0020645i,0.0058562-0.0019649i,0.00075479+0.00052024i,-0.0014452-0.016926i,0.0020185-0.005988i,0.0025672+0.0034589i,0.0038753-0.00034467i,0.0036665-0.0074204i,-0.0092173-0.0031058i,-0.0036435-0.0005611i,-0.0032793-0.0035107i,-0.0021838-0.0028562i,-0.0058161-0.0042828i,-0.023298+0.021799i,-0.017147+0.012319i,-0.013473-0.013641i,-0.007367-0.00010899i,0.003491+0.0231i,-0.006524+0.013234i,0.0024362+0.0041858i
0.018112+0.038481i,0.006066+0.021257i,0.0060633+0.030566i,0.00037414+0.021416i,0.005099+0.0074565i,0.0035556+0.00029527i,0.013194+0.02078i,0.016931+0.0033811i,0.010214-0.0037796i,-0.0013502+0.0042233i,0.0032919-0.0016844i,0.0057205-0.0038485i,-0.0019214-0.00084472i,0.0029451-0.0015757i,0.0020149-8.5656e-05i,0.0081039+0.00040949i,0.01005-0.0030328i,0.00075766+0.00083556i,-0.0042039-0.0022173i,-0.0013668+0.00088672i,-0.0010062-0.00039925i,-0.0022333-0.0019644i,-0.0023147-8.616e-05i,-0.00061944+0.011392i,-0.0012214+0.0020982i,-0.00012865+0.0015341i,2.4803e-05+0.0019348i,-0.0031862+0.00030345i,-0.0007552+0.0005522i,-0.00074318-1.9516e-06i,0.00054549-0.0015545i,0.00029033-0.0021615i,-0.00056546+0.00010458i,0.00018846+0.00067492i,0.0014999-0.00025087i,-0.014351+0.0031822i,0.0012803+0.0011414i,0.00036676+0.0015709i,-0.00071363+0.00163i,0.001382-0.000167i,-0.00014421-0.00019394i,-0.00095873+0.00073396i,0.00029057+0.00098822i,-0.000577+0.0009913i,0.015787+0.017481i,-0.029158+1.6245e-05i,-0.011801+0.015115i,-0.034093+0.0056371i,-0.02869+0.038492i,-0.031355+0.0015719i,0.0077283+0.0076062i,-0.005695-0.0074102i,-0.023164-0.00027878i,-0.022769+0.011492i,0.0033161+0.032517i,-0.0003766+0.0029185i,0.0026719-0.0034765i,-0.0051157-0.01215i,0.0062041+0.011555i,0.0083555+0.01624i,0.0027978+0.00044749i,0.0020716-0.0046029i,0.0018091+0.0031367i,0.0038733-0.0076171i,0.010579-0.0020349i,0.008408+0.0039527i,-0.0072935+0.0042093i,0.010593+0.0066011i,0.0078257+0.00088056i,0.010268+0.00043399i,0.00013983+0.0012967i,0.0015028-0.0060532i,-0.00032366-0.009182i,0.0010346+0.0023874i,-0.033062+0.012793i,-0.0028893-0.0087241i,-0.0023463-0.00017612i,0.0054838-0.0059184i,0.0011653+0.00083213i,-0.0080802-0.016329i,-0.00062779-0.0056431i,0.0038567+0.0018471i,0.0038697-0.00072902i,0.0016534-0.0085983i,-0.0093885+0.0024084i,-0.0032977+0.0016789i,-0.0049784-0.0016311i,-0.0033992-0.0028024i,-0.0058988-0.0022022i,-0.020455+0.022766i,-0.016029+0.016832i,-0.01637-0.015981i,-0.0057085+0.0014914i,0.0071735+0.022402i,-0.0060188+0.015278i,0.0036664+0.0015092i
0.023406+0.034307i,0.010559+0.019265i,0.012396+0.028434i,0.0034109+0.0205i,0.0063976+0.0075952i,0.0038473+2.3483e-05i,0.014838+0.015557i,0.016581+0.0004632i,0.009098-0.0059582i,-0.00053633+0.0046333i,0.002802-0.0023093i,0.0031394-0.0053724i,-0.0018904+9.5573e-06i,0.0020015-0.0016782i,0.0019642-0.0003674i,0.0068126-0.0018995i,0.0078524-0.0056059i,0.00072232+0.00050362i,-0.0042753-0.00066995i,-0.00062565+0.00091221i,-0.00045175-0.00073466i,-0.0023398-0.0015658i,-0.0019901+0.00051268i,0.0025478+0.010333i,-0.00042968+0.0023358i,0.000378+0.0015314i,0.00067983+0.0015067i,-0.002856+0.0016819i,-0.00071244+0.000356i,-0.00096459+0.00019471i,-9.5372e-05-0.0013654i,-0.001117-0.0019279i,-0.00038393+0.00028577i,0.00039049+0.00065636i,0.00091947-0.00063048i,-0.012255+0.0072921i,0.0014089+0.00069375i,0.00070513+0.0010977i,-0.00021532+0.002165i,0.0014599-0.00083879i,-0.00017384-0.00032004i,-0.00059368+0.00027539i,2.8378e-05+0.0009517i,0.00013816+0.0010692i,0.017941+0.014802i,-0.028625+0.0072084i,-0.011635+0.014577i,-0.027675+0.0093723i,-0.015737+0.040057i,-0.029444+0.010725i,0.0060166+0.00035775i,-0.0064758-0.013165i,-0.02019+0.0010947i,-0.015718+0.015703i,0.011845+0.028329i,-0.00067242+0.0027156i,-0.0016026-0.0024686i,-0.009843-0.0088271i,0.010394+0.0070473i,0.010042+0.012807i,-0.00051238+0.0014537i,-0.00064234-0.0071094i,0.0055397+0.0019169i,-0.00011522-0.0071549i,0.0074781-0.0061007i,0.0098306+0.00049529i,-0.005826+0.0068703i,0.014155+0.0012496i,0.0077936-0.0041758i,0.0091223-0.0049809i,0.001531+0.0012666i,-0.00042946-0.0063525i,-0.0041733-0.0057821i,0.0031471+0.0012521i,-0.025347+0.026698i,-0.0051615-0.0075815i,-0.0011181+0.00097318i,0.001579-0.0073624i,0.0020469+0.00067401i,-0.014071-0.012209i,-0.0016572-0.0037618i,0.0040717-0.00042579i,0.0035043-0.001555i,-0.0010062-0.0085027i,-0.0056529+0.0066381i,-0.0018449+0.0031334i,-0.0053792+0.0018309i,-0.0054481-0.0021809i,-0.0056986-0.0011942i,-0.015926+0.02648i,-0.0074855+0.021072i,-0.022694-0.015332i,-0.0034791+0.00028601i,0.010281+0.020055i,-0.0036273+0.018113i,0.0027009-0.0021014i
