-0.023487-0.039134i,-0.0097747-0.050591i,-0.017954-0.046442i,-0.031414-0.035688i,-0.029972-0.017417i,-0.051482-0.029i,-0.061528-0.025407i,-0.046026-0.038973i,-0.030231-0.037852i,0.0077353+0.012704i,-0.0056736+0.015666i,-0.0049604+0.015269i,0.01035+0.022016i,-0.00012575+0.0053989i,0.0036447+0.0034422i,0.0075456+0.018581i,0.028347+0.040144i,-0.003222-0.0013096i,-0.004714-0.0063346i,0.00774+0.0015821i,-0.00030118-0.00098093i,-0.00089788+0.0016228i,0.00016142-0.00026869i,-0.031662-0.0015065i,-0.0019908-0.0058961i,0.0016298+0.0045639i,0.003958-0.00025528i,-0.00045148+0.00060541i,0.00062984-0.00062297i,-0.00083703-0.0028878i,-0.0019386-0.006294i,-0.004775-0.0047037i,-0.0023635-0.0054253i,0.002298-0.00066895i,0.0021963-0.0031772i,0.0026953+0.027168i,0.0015443-0.0033394i,0.0024972+0.00068312i,0.0061254+0.00088392i,-0.0116-0.0032689i,-0.0034153+0.00040057i,0.0063923+0.00067232i,0.0051265+2.1284e-05i,-0.0037973+0.0048683i,0.0027093-0.0093217i,-0.011366+0.016892i,0.034806-0.092209i,0.01208-0.071807i,-0.015942-0.060831i,-0.017568-0.056364i,0.03595-0.049653i,0.016047-0.064776i,0.034586-0.056813i,0.031439-0.060733i,0.01455-0.0135i,0.0042313+0.016972i,0.015329-0.026955i,-0.011048+0.006638i,-0.00049807+0.0058996i,-0.004899-0.00021501i,-0.0031637-0.027707i,-0.023902+0.031703i,0.010252-0.011305i,-0.012876-0.002719i,3.5551e-05-0.005199i,-0.0013717-0.01557i,-0.0075105+0.0047115i,0.0052517+0.0059439i,-0.0078874+0.030966i,0.0053461+0.0056129i,-0.0051014-0.00045023i,-0.0029645-0.00021848i,-0.012295-0.0072446i,-0.00033345-0.0043699i,-0.028529+0.0069476i,0.0002615-0.0097115i,-0.0092263-0.0015934i,-0.0069247-0.0024108i,0.0069133+0.0026363i,-0.0076399+0.001208i,-7.552e-05+5.4379e-05i,0.0063175+0.010562i,0.0040048+0.0017087i,-0.0098191-0.010183i,0.0033359+0.0080497i,-0.021751+0.0063223i,0.0085041+0.00028646i,-0.029744-0.0028354i,-0.042482+0.0036774i,0.019388-0.097575i,-0.0021501-0.012078i,-0.054623-0.021705i,-0.024586+0.0015856i,0.01839+0.010565i,-0.024797+0.013373i,-0.019321-0.01288i
-0.032538+0.018236i,-0.053322+0.01872i,-0.032593+0.046593i,-0.031758+0.025393i,-0.029047+0.04045i,0.0051865+0.048477i,-0.0034959+0.02559i,-0.017259+0.040637i,-0.014254+0.022668i,-0.0043206-0.0048645i,-0.0042399-0.0034646i,-0.0016765-0.003697i,-0.0041105-0.0011647i,-0.0067706-0.0050217i,-0.0020433+0.0043146i,-0.0032727-0.0017233i,-0.012092-0.0040662i,-0.0013625-0.00045939i,0.002797-0.0017762i,0.0021542-0.00087283i,0.0024721-0.0037412i,0.0024421-0.0041204i,0.0012569-0.0027325i,-0.009763-0.0079125i,-0.0018197+0.00046479i,-0.0038446+0.0013246i,-0.0018634-0.00021212i,-0.0033243-0.00098704i,-0.0011276-0.0015523i,0.0011732-0.0018317i,-0.0018075+0.0070854i,0.0014694-6.24e-05i,0.0028336+0.000282i,0.0011093+0.0015642i,-0.0010593+0.0036528i,-0.00086355-0.00648i,-0.0013156+0.0010238i,0.00032465-0.00038946i,8.9922e-05+0.0037854i,0.0081571+0.0049134i,0.0017486-0.0029441i,0.0018562-0.0035257i,-0.0038397+0.0011799i,0.00062275+0.0029368i,-0.033242-0.0073709i,0.008129-0.077636i,-0.094713-0.028316i,-0.054727-0.034605i,-0.077919-0.047754i,-0.05868-0.0036526i,-0.093902+0.021708i,-0.059812+0.013531i,-0.0499-0.025226i,-0.033999-0.057346i,-0.024034-0.029371i,0.0034763+0.0049999i,-0.017621+0.010257i,0.0086644+0.0026281i,0.011634+0.0035935i,0.00078234-0.0068498i,0.0084636-0.00027544i,-0.0083341-0.0027989i,0.0025755+0.014445i,-0.001513+0.0095411i,0.00083628+0.0018296i,0.0056785+0.0035255i,0.0017184-0.00070261i,-0.00084507+0.014677i,0.00075798+0.011563i,0.0031104-0.0048211i,0.0098605-0.0066953i,0.0022918+0.0022751i,-0.008232-0.0075993i,-0.0023928-0.0029352i,0.017424-0.025301i,0.0058832+0.0039866i,0.0033055+0.0042085i,-0.003175+0.0025972i,0.0019832-0.0039114i,0.021048+0.0024143i,0.0023801-0.0026777i,-0.0010327-0.0096507i,0.0001928-0.0025963i,0.013152+0.0034851i,0.0043399+0.00012855i,0.0045655-0.0067126i,0.0024628+0.008767i,0.0046677-0.00072853i,0.024722+0.0042052i,-0.081484-0.034342i,-0.005134+0.01918i,0.0079907-0.0025344i,-0.00061436+0.0044106i,-0.035292+0.012802i,-0.0069997+0.0067022i,-0.01693+0.01381i
-0.028132+0.022207i,-0.049487+0.023707i,-0.021465+0.045126i,-0.027467+0.029515i,-0.022391+0.042177i,0.014279+0.045679i,8.5135e-05+0.025165i,-0.0091824+0.041954i,-0.0094742+0.020029i,-0.0056259-0.0023286i,-0.0043752-0.00097139i,-0.0028281-0.0041822i,-0.0049492-0.00041124i,-0.0071237-0.0021675i,-0.00072818+0.0052982i,-0.0056279+0.00052101i,-0.014179+0.0018633i,-0.001123+0.00059231i,0.0030664-0.0022619i,0.0020532-0.0018282i,0.0013544-0.0040698i,0.0015681-0.0041634i,0.0007663-0.0026811i,-0.010898-0.0045373i,-0.0011663+0.00080831i,-0.0034261+0.0025436i,-0.0013466+0.00035488i,-0.0031338+7.8456e-05i,-0.0017439-0.0014114i,0.00058593-0.0017883i,0.0012645+0.0075107i,0.001085-0.00028771i,0.0024482-0.00096587i,0.0011469+0.0013706i,-0.0010348+0.0031218i,-0.0010707-0.0059102i,-0.00081288+0.00085873i,-0.00066078-0.0005929i,0.00040313+0.0044603i,0.0080219+0.0006303i,0.00079617-0.0032406i,-0.00022412-0.0040899i,-0.0039367+0.0022279i,0.0013162+0.0029331i,-0.034011-0.0064383i,-0.015542-0.088381i,-0.091129-0.010192i,-0.063651-0.032156i,-0.089239-0.035915i,-0.057495+0.0066384i,-0.083819+0.03887i,-0.055445+0.025583i,-0.04213-0.024523i,-0.04074-0.052474i,-0.032287-0.018706i,0.0047067+0.0019474i,-0.011291+0.019042i,0.0086182-0.00081968i,0.012063-0.0028181i,-0.004555-0.010795i,0.0037184-0.00036163i,-0.0077872+0.0034477i,0.0086264+0.012243i,0.0010346+0.011397i,0.0011335+0.0014834i,0.0072777+0.0033697i,0.0024986+0.00043948i,0.0053514+0.011033i,0.005673+0.0065153i,-0.0020319-0.0065805i,0.0032767-0.0075729i,0.0032524+0.0027149i,-0.010837-0.00010174i,-0.0028477-2.5157e-05i,0.0060408-0.02667i,0.0069646+0.0030251i,0.0068799+0.0026431i,-0.00042392+0.0027539i,-0.00055663-0.0014137i,0.018524-0.0069185i,0.00051986-0.0031153i,-0.0056874-0.0076237i,-0.0029566-0.0017997i,0.011503-0.0015801i,0.0040779+0.00076569i,0.0020653-0.0045199i,0.0054954+0.0079538i,0.0036648-0.001328i,0.023752-0.0028233i,-0.085788-0.024787i,0.0028542+0.0090638i,0.0064374-0.0055116i,0.0011226+0.001608i,-0.028609+0.022487i,-0.0049692+0.0072266i,-0.013019+0.016879i
-0.022489+0.024784i,-0.04664+0.028894i,-0.015068+0.04123i,-0.022861+0.031913i,-0.014719+0.044322i,0.022354+0.040649i,0.0039905+0.024652i,-0.0011248+0.041224i,-0.0084074+0.018i,-0.0059265+0.00027669i,-0.003281+0.00076199i,-0.0063068-0.0034356i,-0.0051681+0.001655i,-0.0073478+2.6209e-05i,0.0012174+0.0057299i,-0.0062577+0.0042287i,-0.012445+0.0082682i,0.00024702+0.0011173i,0.0030082-0.003938i,0.0016979-0.0030472i,6.1249e-05-0.0044877i,0.00052097-0.0049032i,0.00040595-0.0028025i,-0.011346-0.0016271i,-0.00093741+0.0011171i,-0.0020603+0.0039636i,-0.00089182+0.00035994i,-0.0026043+0.0014186i,-0.0021477-0.00095526i,-0.00039601-0.002608i,0.0042809+0.0061456i,0.00076991-0.00048868i,0.0017895-0.0014499i,0.0016263+0.00074545i,0.00017576+0.0039756i,-0.0010888-0.0060367i,-0.0012584+0.00061189i,-0.0012311-0.0002612i,0.0035638+0.0028825i,0.0062866-0.0018012i,-0.00015903-0.0030684i,-0.00072219-0.0026915i,-0.0038801+0.0033175i,0.0019487+0.0015896i,-0.036634-0.0035961i,-0.044422-0.086587i,-0.081273+0.0031826i,-0.072977-0.024113i,-0.095635-0.020519i,-0.052617+0.015003i,-0.068809+0.050623i,-0.041089+0.035419i,-0.046155-0.025473i,-0.0471-0.047952i,-0.033772-0.0067866i,0.0046745-0.0014392i,-0.001406+0.020921i,0.0075981-0.0036554i,0.0076548-0.0078366i,-0.014201-0.0092569i,0.0027156-0.00064121i,-0.0035713+0.0067624i,0.011482+0.0070126i,0.0047431+0.012062i,0.00029221+0.0018374i,0.00778-0.00071639i,0.0041297-0.0015084i,0.0071044+0.0062676i,0.0051159+0.0016939i,-0.0068033-0.0028354i,0.00080816-0.0060631i,0.0053545+0.0018258i,-0.0070068+0.0090339i,-0.00089682+0.0016055i,-0.0030273-0.023664i,0.0087077-0.00012165i,0.0066048-0.00078067i,5.6797e-05+0.0022784i,0.00069421+0.00023852i,0.012073-0.011961i,-0.0022093-0.00037794i,-0.0085905-0.0039447i,-0.0037212+0.0017291i,0.0075076-0.0045041i,0.0071762-0.0014002i,0.002918-0.0046639i,0.00954+0.0044096i,0.0048824-0.0032634i,0.020624-0.0097293i,-0.089243-0.011364i,0.0010132-0.0016519i,0.0065636-0.008331i,0.0011919-0.0020349i,-0.019209+0.026456i,-0.0054994+0.0030092i,-0.0078538+0.013363i
-0.017131+0.024926i,-0.042448+0.035334i,-0.011557+0.037946i,-0.017628+0.03502i,-0.0059594+0.043426i,0.028919+0.03409i,0.0084648+0.023625i,0.0060163+0.038478i,-0.0078087+0.018374i,-0.0049569+0.0026919i,-0.0028554+0.0010608i,-0.0081553+0.00073431i,-0.0047095+0.0034654i,-0.0074845+0.0027588i,0.0029236+0.0051632i,-0.0046523+0.0080231i,-0.0073329+0.013353i,0.0011805+9.4405e-05i,0.0013125-0.0047096i,-5.0181e-05-0.004193i,-0.0015016-0.0042458i,-0.00083097-0.0048064i,-0.00012587-0.0033127i,-0.011214+0.0017324i,-0.00034891+0.00088969i,0.00031906+0.0032917i,-0.0008746+0.00022776i,-0.0014558+0.0018355i,-0.002415+6.0038e-05i,-0.0018405-0.0020031i,0.0059483+0.0037968i,0.00030905-0.00037625i,0.00092579-0.0020152i,0.0016913+0.00012841i,0.0020971+0.0033548i,-0.0022517-0.0075278i,-0.00099517+0.0013532i,-0.0014617+0.00037148i,0.0031289-0.00047286i,0.0045746-0.0028551i,-0.00078998-0.002686i,-0.00061404-0.0023715i,-0.0030197+0.0048488i,-0.0004634-0.00042016i,-0.039127+0.00071159i,-0.069008-0.069666i,-0.071619+0.0088524i,-0.079502-0.01275i,-0.099227-0.004065i,-0.046591+0.02051i,-0.054953+0.056467i,-0.026743+0.034821i,-0.048766-0.020172i,-0.053151-0.040497i,-0.0322+0.001729i,0.0022706-0.0042081i,0.0063943+0.018564i,0.0060901-0.0059869i,0.0022332-0.0089867i,-0.020285-0.00037926i,-0.00039546+0.00011413i,0.00044074+0.0055782i,0.010856+0.0013037i,0.00965+0.011273i,0.00080444+0.0029612i,0.0046451-0.0022926i,0.0035902-0.0048533i,0.0062207+0.0019056i,0.0023403+0.00035588i,-0.0065368+0.0010792i,-0.0013906-0.0048069i,0.0058629-0.0004042i,0.0030238+0.010054i,-3.7407e-05+0.00081893i,-0.0075244-0.018513i,0.0077717-0.0030264i,0.0058936-0.0030123i,0.0014513+0.0030771i,0.0012749-2.2012e-05i,0.0067739-0.012389i,-7.9129e-05+0.001558i,-0.0096481+0.00034474i,-0.0012846+0.0037553i,0.0044766-0.0042741i,0.0060877-0.0050721i,0.00061045-0.0052235i,0.0094494-0.0014018i,0.0025999-0.0062229i,0.016353-0.016106i,-0.086716+0.0034955i,-0.0063426-0.0059206i,0.0044097-0.012971i,-0.00039539-0.0051823i,-0.012276+0.025801i,-0.0090366+0.0032034i,-0.0075559+0.011856i
-0.013506+0.02451i,-0.037476+0.040872i,-0.010223+0.036816i,-0.011077+0.036785i,0.0011436+0.04054i,0.033255+0.026851i,0.013122+0.021088i,0.011936+0.034901i,-0.005683+0.019699i,-0.002868+0.0041565i,-0.0030459+0.0020336i,-0.0071552+0.0043715i,-0.0038041+0.0050083i,-0.0057745+0.0055894i,0.0045281+0.0040612i,-0.0011874+0.010291i,-0.00096136+0.015027i,0.0009239-0.00067724i,7.7923e-05-0.0045474i,-0.0020481-0.0038314i,-0.0029571-0.0033549i,-0.0020839-0.0042182i,-0.0014558-0.0033693i,-0.0091817+0.004472i,-0.0006189+0.00037907i,0.00040187+0.0016965i,-0.0010672+0.00028359i,-0.00079224+0.0017677i,-0.0020868+0.0010886i,-0.0019475-0.00054483i,0.0063771+0.001171i,0.00034412-0.00046128i,3.3944e-05-0.0019657i,0.0013686-0.00041459i,0.0027496+0.0019913i,-0.0050745-0.0076906i,-0.00052833+0.0016973i,-0.001292+0.0013499i,0.001066-0.0012374i,0.0030749-0.0027453i,-0.0013432-0.0026068i,-0.00082587-0.0023939i,-0.0010251+0.0057735i,-0.0027951+0.0019793i,-0.039913+0.0074792i,-0.077821-0.045633i,-0.065858+0.010606i,-0.084275+0.00097909i,-0.099001+0.014434i,-0.04187+0.023243i,-0.041365+0.059817i,-0.017288+0.031649i,-0.050066-0.015484i,-0.056867-0.03353i,-0.029464+0.009896i,-3.901e-05-0.0054077i,0.014531+0.013423i,0.0041363-0.0073703i,-0.002788-0.0074461i,-0.020001+0.0090776i,-0.001151+0.0023921i,0.002815+0.0055198i,0.0069154-0.0008852i,0.014174+0.0078118i,0.0019616+0.0031362i,0.0026992-0.0013929i,0.0015439-0.0067414i,0.0032797+0.0011991i,0.00051321+0.0015247i,-0.0058305+0.0051093i,-0.0028392-0.0023332i,0.0050002-0.0024284i,0.0071976+0.005478i,0.00010768+0.00058737i,-0.0097882-0.016402i,0.0060086-0.0054405i,0.0042559-0.0048919i,0.0042009+0.002462i,0.0016992-0.00020464i,0.0037806-0.011709i,0.0015457+0.0012779i,-0.0074513+0.0058828i,0.0015764+0.0035462i,0.0034523-0.0036888i,0.0024801-0.0088666i,5.8722e-05-0.0040792i,0.0060096-0.0047864i,-0.0010575-0.0073109i,0.0084028-0.021492i,-0.080241+0.013266i,-0.014985-0.002436i,8.1327e-05-0.016084i,-0.002641-0.0077215i,-0.0074668+0.02489i,-0.011852+0.0062086i,-0.0065913+0.012437i
-0.010617+0.024505i,-0.031665+0.046118i,-0.0084708+0.038719i,-0.0047032+0.036283i,0.0057491+0.036483i,0.036447+0.01983i,0.017344+0.017082i,0.016716+0.030843i,-0.0028507+0.019743i,-0.0012641+0.0038455i,-0.0031958+0.0037016i,-0.0051832+0.0067417i,-0.0022245+0.0066029i,-0.0033467+0.0067072i,0.0053266+0.002473i,0.0025143+0.010657i,0.0055219+0.013618i,0.00084765-0.00067904i,-0.0012914-0.0045957i,-0.0033133-0.0026368i,-0.0033326-0.0017535i,-0.0028587-0.0033817i,-0.0023717-0.0025998i,-0.0076002+0.0054558i,-0.0012533+0.00077773i,-5.0055e-05+0.0014887i,-0.0013448+0.000651i,-4.8645e-05+0.001361i,-0.0012714+0.0016378i,-0.0016109+8.6754e-05i,0.006-0.0011029i,0.00016114-0.0006162i,-0.0006338-0.0015292i,0.00091789-0.00093688i,0.0027463+0.0014001i,-0.0077753-0.0065061i,-0.000324+0.0015233i,-0.00037836+0.0019646i,1.8215e-05-0.0012353i,0.0022575-0.0023967i,-0.0020626-0.001821i,-0.0016222-0.0022411i,0.0011205+0.0055006i,-0.0020404+0.0052878i,-0.038847+0.014963i,-0.07559-0.028358i,-0.063374+0.013006i,-0.083817+0.018358i,-0.092727+0.034028i,-0.03997+0.026174i,-0.029511+0.059618i,-0.0095362+0.027617i,-0.049979-0.0089605i,-0.061213-0.02634i,-0.024795+0.014649i,-0.0035764-0.004801i,0.017513+0.0013978i,0.0024023-0.0091171i,-0.0061061-0.0037045i,-0.014615+0.016943i,1.3426e-05+0.0033143i,0.006261+0.0027921i,0.0056115-8.5933e-05i,0.01769+0.00055309i,0.0028988+0.0031209i,0.0023762-0.00081767i,-0.0027279-0.0083451i,0.0023013+0.0028328i,0.00067392+0.0033805i,-0.0013714+0.0085981i,-0.0018005-0.0001693i,0.0034842-0.0032171i,0.0086353+0.0011602i,0.00093502-3.0087e-05i,-0.014854-0.015376i,0.0031986-0.0064878i,0.0013598-0.0057547i,0.0039497-0.00010656i,0.0016662+0.00013583i,0.0022253-0.010622i,0.002087-2.8295e-05i,-0.0027548+0.0081394i,0.0025722+0.0014598i,0.0023962-0.0041508i,-0.0025584-0.0084665i,-0.00052697-0.0054195i,0.0033491-0.0052453i,-0.0032733-0.007057i,-0.0010255-0.021311i,-0.076973+0.021785i,-0.013483+0.0084489i,-0.0052995-0.016516i,-0.0062122-0.0079889i,-0.0046219+0.024164i,-0.010839+0.010933i,-0.0024405+0.011963i
-0.0075277+0.024924i,-0.024561+0.051131i,-0.0041334+0.041346i,0.00019352+0.034848i,0.0084084+0.033962i,0.038461+0.012339i,0.020317+0.01227i,0.020425+0.026732i,-0.00018729+0.019954i,-0.00071126+0.0038088i,-0.0018892+0.006024i,-0.0023023+0.0085324i,-1.5631e-06+0.0073006i,-0.0011334+0.0067282i,0.0054144+0.00090261i,0.0060355+0.009612i,0.01013+0.0099061i,0.00084014-0.00082552i,-0.0026442-0.004046i,-0.0038504-0.0008982i,-0.0030729-0.00059678i,-0.0036208-0.0026072i,-0.0027985-0.0017379i,-0.006752+0.0071013i,-0.0011026+0.0014711i,-4.7373e-05+0.0019809i,-0.0012523+0.001474i,-0.00014871+0.00090296i,-0.0006565+0.0016266i,-0.0012971+0.00040142i,0.0048333-0.0030762i,0.00020306-0.00038651i,-0.00075703-0.0012891i,0.00041397-0.0011986i,0.0031007+6.4989e-05i,-0.010043-0.0043475i,0.00018758+0.0016045i,0.00047651+0.0017712i,-0.00067923-0.0010732i,0.0020337-0.002508i,-0.0021963-0.00090665i,-0.0018525-0.0013259i,0.0023894+0.0041892i,-0.00019512+0.0063895i,-0.034983+0.02138i,-0.074036-0.02094i,-0.062484+0.018144i,-0.076737+0.033587i,-0.081522+0.050757i,-0.037018+0.031944i,-0.019279+0.059357i,-0.0052217+0.022689i,-0.048842-0.003469i,-0.06438-0.017046i,-0.020236+0.018402i,-0.0044512-0.0046241i,0.010866-0.0090203i,-0.00085504-0.010775i,-0.0066003-0.0002613i,-0.0070039+0.019637i,0.00047172+0.0029122i,0.0069805-0.0016647i,0.0062488-0.00083234i,0.015575-0.0057719i,0.004938+0.0026283i,0.0023291+0.00046312i,-0.0072824-0.0039939i,0.003538+0.0040033i,0.0022151+0.0048286i,0.0033659+0.0081664i,-0.0012685-9.5254e-05i,0.0024824-0.003778i,0.0081432-0.0045811i,-0.00015074-0.00041701i,-0.020603-0.0098897i,0.0011004-0.0062788i,-0.0009702-0.0042595i,0.004501+0.0002512i,0.001856-0.00048033i,0.00096141-0.011645i,0.0018495-0.0011527i,0.00091787+0.006655i,0.0025496+0.0010108i,0.0019989-0.0034375i,-0.0055457-0.0050775i,-0.0039732-0.0058443i,0.00046431-0.0052144i,-0.005468-0.0061979i,-0.0074766-0.018526i,-0.071353+0.031388i,-0.0079624+0.0075341i,-0.0061482-0.01561i,-0.0085103-0.006427i,-0.00079473+0.022555i,-0.0099049+0.012466i,-0.00096053+0.009593i
-0.0044026+0.024911i,-0.015776+0.054801i,0.0021271+0.043575i,0.0048003+0.033876i,0.011063+0.032487i,0.03888+0.0050544i,0.022065+0.0070956i,0.02375+0.022735i,0.0030254+0.019649i,7.2019e-05+0.00413i,0.0010845+0.0070081i,0.0012105+0.0083796i,0.0021505+0.0072098i,0.00038858+0.0066309i,0.0052938-0.0003469i,0.008862+0.0071247i,0.012346+0.0054922i,0.00099716-0.0017075i,-0.0036899-0.0031566i,-0.0032919+0.00090323i,-0.0025506+0.00028314i,-0.0040744-0.0010053i,-0.0030523-0.00094314i,-0.0040009+0.0087059i,-0.00076564+0.0020603i,0.00087984+0.0022162i,-0.00063933+0.002096i,-0.00055008+0.0010675i,-0.00023055+0.0017134i,-0.00093122+0.00078276i,0.002956-0.0043696i,0.00043994-0.00073328i,-0.0012377-0.0011376i,-0.00016501-0.0011512i,0.0023264-0.0012403i,-0.011382-0.0010403i,0.00064796+0.0014762i,0.0010642+0.0015411i,-0.0015513-0.00072227i,0.0018021-0.0026353i,-0.0018321-0.00029559i,-0.0018315-0.00093981i,0.0030598+0.0028866i,0.0019048+0.0070487i,-0.030589+0.025302i,-0.078479-0.014625i,-0.060821+0.024534i,-0.067949+0.045445i,-0.0662+0.06191i,-0.032579+0.036822i,-0.0090148+0.057458i,-0.0023544+0.019698i,-0.047056+0.0015537i,-0.064596-0.0060039i,-0.015902+0.021161i,-0.0059957-0.0037353i,0.0026315-0.010191i,-0.0047917-0.01067i,-0.005331+0.0034525i,-3.952e-05+0.018492i,1.2087e-05+0.0025339i,0.0051475-0.0058362i,0.0052683-0.0019515i,0.011214-0.011364i,0.0063686+0.00044598i,0.0035194+0.00060838i,-0.0076373-3.7388e-05i,0.0051884+0.0043867i,0.0048068+0.0051891i,0.007452+0.0055505i,-0.00103+0.00086427i,0.0019316-0.004128i,0.0045389-0.0083825i,-0.00023973+0.0010313i,-0.023154-0.0019489i,-0.00018695-0.0061176i,-0.001858-0.0023835i,0.0055264-0.00070997i,0.0016178-0.00081237i,-0.0018114-0.013115i,0.0010337-0.0016145i,0.0037853+0.0059888i,0.0032213+0.00015032i,0.0026738-0.0038624i,-0.0071752-0.002284i,-0.0071082-0.0023025i,-0.0025897-0.0040146i,-0.0070121-0.0050638i,-0.01213-0.013817i,-0.064361+0.038445i,-0.0073715+0.0060123i,-0.007009-0.018169i,-0.0096817-0.0044855i,0.00027433+0.021775i,-0.0095522+0.014432i,0.00019358+0.0082405i
-0.0006526+0.024969i,-0.0058062+0.056448i,0.010253+0.043891i,0.0093511+0.032434i,0.01488+0.032088i,0.038307-0.0017903i,0.022498+0.0014236i,0.027075+0.018198i,0.006424+0.018503i,0.00087319+0.0040734i,0.0036505+0.00559i,0.0035662+0.0065162i,0.0042331+0.006541i,0.0023228+0.0062947i,0.0049049-0.0016601i,0.010148+0.003751i,0.012612+0.00082128i,-0.00023277-0.002396i,-0.0048224-0.0015497i,-0.0019415+0.0017265i,-0.0015584+0.00055717i,-0.0036022+0.00025603i,-0.0031196+3.5602e-05i,-0.00083462+0.0089139i,7.6214e-05+0.0024704i,0.0016591+0.001681i,0.00019377+0.0021781i,-0.00023116+0.0016601i,0.00043767+0.0014334i,-0.00053255+0.00084407i,0.00097049-0.0047753i,-7.2718e-05-0.0011154i,-0.0016699-0.00052892i,-0.00069839-0.0010123i,0.0012824-0.0021252i,-0.011041+0.0029389i,0.00093316+0.0013093i,0.0015823+0.0010041i,-0.0020064+0.00025627i,0.0012538-0.0029524i,-0.0016766-0.0001073i,-0.0018818-0.00080547i,0.0029458+0.001807i,0.00413+0.0070991i,-0.026295+0.029507i,-0.086141-0.0016482i,-0.055948+0.030458i,-0.056265+0.053862i,-0.051052+0.069359i,-0.02721+0.042814i,0.00080645+0.053433i,0.0030381+0.016312i,-0.044879+0.0069091i,-0.061835+0.004712i,-0.011331+0.023913i,-0.0077204-0.0024062i,-0.0030677-0.0094055i,-0.0090054-0.0093122i,-0.001591+0.0049244i,0.004221+0.015003i,-0.0008197+0.002795i,0.0022199-0.0084459i,0.0054184-0.0016155i,0.0043139-0.013696i,0.0064603-0.0027385i,0.004665-0.00045311i,-0.0076156+0.0040599i,0.0077515+0.0036317i,0.0080742+0.0027943i,0.0091244+0.0010752i,5.7708e-05+0.0016984i,0.00095912-0.0042003i,-0.0013951-0.0084932i,0.0010856+0.002228i,-0.022992+0.0067255i,-0.0017052-0.0059996i,-0.0013499-0.00047696i,0.0057394-0.0042549i,0.0019028-0.00065419i,-0.0073375-0.013257i,4.9406e-05-0.0013707i,0.0058346+0.0034264i,0.0034171-0.00030485i,0.0018587-0.0045072i,-0.0064505+0.0019464i,-0.006779+0.0021941i,-0.0045922-0.0018263i,-0.008845-0.0036466i,-0.014255-0.0086876i,-0.058304+0.044667i,-0.0076308+0.0082427i,-0.011826-0.022321i,-0.0079351-0.0031314i,0.0032703+0.022048i,-0.0088037+0.017939i,0.0021389+0.0058189i
0.003466+0.023998i,0.0039412+0.055623i,0.01838+0.041109i,0.01378+0.030522i,0.019987+0.030806i,0.036981-0.0083186i,0.021475-0.0039803i,0.029374+0.012858i,0.0094426+0.016723i,0.0014363+0.004294i,0.004519+0.0040742i,0.0043012+0.004708i,0.0058964+0.005i,0.0038503+0.0052053i,0.0041246-0.0027018i,0.0097612+0.00063351i,0.011396-0.0026855i,-0.0011151-0.0020884i,-0.004501+0.00021069i,-0.00071725+0.001694i,-0.00084064+0.00018056i,-0.003073+0.00091721i,-0.0025402+0.00086232i,0.0018093+0.0083925i,0.0012616+0.0021672i,0.0021031+0.0011402i,0.001077+0.0018852i,0.00047884+0.0017775i,0.00080377+0.00084707i,-0.00052017+0.00095398i,-0.00094872-0.0042013i,-0.00076186-0.0010054i,-0.0017191+0.00027939i,-0.0011417-0.00059259i,0.00026628-0.0023536i,-0.0092922+0.0060231i,0.0011859+0.00091365i,0.0017374+0.00023341i,-0.0018089+0.0014673i,0.00065196-0.0034635i,-0.0016286+0.00031309i,-0.0020312-0.00084992i,0.0027062+0.0011369i,0.0063858+0.0061098i,-0.021314+0.032803i,-0.087361+0.018086i,-0.052866+0.034456i,-0.045457+0.058523i,-0.034071+0.073879i,-0.018753+0.048722i,0.008023+0.047271i,0.0061174+0.0089354i,-0.040113+0.011125i,-0.055793+0.014895i,-0.0045158+0.0249i,-0.0091002+4.1285e-05i,-0.0087269-0.0061241i,-0.012045-0.0058601i,0.0012559+0.0033628i,0.0059565+0.011874i,-0.0022428+0.0042122i,-0.0011916-0.010688i,0.0061561-0.0035909i,-0.0019821-0.012189i,0.0044035-0.0049987i,0.0050579-0.0027423i,-0.0058381+0.0073435i,0.009826+0.00010211i,0.0087689-0.0023551i,0.0078733-0.0041239i,0.0021346+0.0012556i,0.00013037-0.004352i,-0.0043936-0.0048169i,0.0030524+0.0013842i,-0.018925+0.016088i,-0.0034776-0.0050014i,-6.6292e-06+0.00049372i,0.0025117-0.0060024i,0.00209-0.00091757i,-0.01293-0.0095937i,3.8348e-05-0.00043497i,0.0064981+8.329e-05i,0.0030648-0.0011616i,0.0011071-0.0047685i,-0.0036439+0.0047126i,-0.0045228+0.0051511i,-0.0046532+0.0017534i,-0.010583-0.0015131i,-0.014886-0.0045283i,-0.050624+0.053112i,-0.0017815+0.010327i,-0.019599-0.0218i,-0.0067333-0.0044797i,0.0057511+0.021262i,-0.0051747+0.021289i,0.0025388+0.0019694i
