-0.0082605-0.039577i,-0.012717-0.043523i,0.00033081-0.04609i,-0.027068-0.027586i,-0.020335+0.014155i,-0.033514-0.030731i,-0.060424-0.059062i,-0.022237-0.071545i,-0.038101-0.054863i,0.0019968+0.014569i,-0.0075353+0.010525i,-0.014552+0.013487i,0.0022492+0.015986i,-0.0036978-0.0032942i,0.00066624+0.0064959i,0.001091+0.037757i,0.020329+0.057577i,0.00093224-0.00034476i,-0.0054655-0.0083273i,0.008498+0.003996i,0.0016118+0.0010979i,-0.00069133+0.0038251i,7.9961e-05-0.0011598i,-0.034931-0.0091589i,-0.0031219-0.0072848i,-0.00044738+0.0045277i,0.0052278-0.00082508i,0.0001491+0.00078811i,1.4498e-05-0.001134i,-0.00026594-0.0026499i,-0.0012859-0.0052968i,-0.0024493-0.0041512i,-0.0006525-0.0078097i,0.0032619-0.0012024i,0.0030912-0.0027436i,-0.0010103+0.034407i,0.0061595-0.0045145i,0.0033696-0.0019374i,0.004792-0.00044793i,-0.026887-0.0008797i,-0.00012206+0.00016177i,0.0079555+0.00043542i,0.0061676-0.00032523i,-0.0032762+0.0038431i,0.0027259+0.0017529i,-0.0030495+0.0073154i,0.012912-0.088511i,-0.0077122-0.048018i,-0.02477-0.039174i,-0.02094-0.041528i,0.061584-0.01962i,0.025922-0.063031i,0.038095-0.045524i,0.028944-0.05704i,0.01856-0.016211i,0.0086429+0.009602i,0.023979-0.030615i,-0.0079525-0.0043545i,0.0024938-0.0027574i,-0.00482-0.0059554i,0.00081626-0.032409i,-0.02405+0.031101i,0.0079378-0.010573i,-0.011102-0.0011509i,-0.0052327-0.0011323i,-0.001705-0.013706i,-0.010297+0.0044898i,0.0037899+0.0080948i,-0.0082514+0.030996i,0.0055926+0.0073311i,-0.0050456-0.0013964i,-0.0021268-0.0020117i,-0.010989-0.0075305i,0.00059541-0.0036869i,-0.035879+0.0021272i,0.0018381-0.01298i,-0.0088434-0.0017638i,-0.0064197-0.0027297i,0.0064859+0.0015747i,-0.0091671+0.0016516i,0.0013287+0.00079685i,0.0050799+0.0087559i,0.0046355+0.00027681i,-0.0089436-0.0088353i,0.0028337+0.0088513i,-0.017595+0.0052804i,0.0070884+0.002855i,-0.029513-0.0078296i,-0.034042+0.0035133i,0.023923-0.078431i,0.01195-0.010646i,-0.044617-0.026449i,-0.023311-0.0036326i,0.018263+0.01204i,-0.027159+0.012825i,-0.011622-0.0085353i
-0.033247+0.0013298i,-0.047544+0.01791i,-0.048725+0.043016i,-0.027082+0.0069954i,-0.0050535+0.014572i,-0.007894+0.031435i,-0.028866+0.018389i,-0.057722+0.023335i,-0.020488+0.022779i,0.00087913-0.0091744i,0.0018341-0.0017534i,0.003235+0.00020901i,0.0034195+0.0084059i,-0.0038177+0.0012897i,0.0016964+0.0021822i,0.001359-0.0092305i,-0.012487-0.0084956i,-0.0043688+0.00097047i,0.0044657-0.0021085i,0.0012955-0.0014625i,0.0021539-0.0042978i,0.0018727-0.0042736i,0.0020583-0.0034112i,-0.010734-0.011106i,-0.0028799-0.0005259i,-0.0038871-0.00020473i,-0.0035163-0.0010791i,-0.0046671-0.0014851i,-0.0011462-0.0021305i,0.0011882-0.0018695i,-0.0037339+0.0043682i,0.0013275+0.0018222i,0.0025023+0.0016124i,0.0018546+0.00049493i,-0.0014677+0.0030027i,-0.0034901-0.007843i,-0.002934+0.0011059i,0.0012118-4.792e-05i,-0.00025512+0.003235i,0.010883+0.0060281i,0.0011984-0.0023776i,0.00098877-7.4884e-05i,-0.0050735-0.0043312i,0.0018554+0.0037852i,-0.019159-0.016916i,-0.0025207-0.063067i,-0.089372-0.0083101i,-0.022717-0.019899i,-0.047394-0.039152i,-0.043701-0.0054371i,-0.093343+0.016276i,-0.062849+0.002021i,-0.03797-0.027849i,-0.029807-0.055151i,-0.034945-0.022668i,-0.00053254+0.0019995i,-0.024617+0.013468i,0.0038923+0.015992i,0.0039792+0.0075616i,-0.00058224-0.0069888i,0.0083765+0.0039055i,-0.010497-0.0033526i,0.0022391+0.011087i,-0.0015217+0.0068695i,-0.00096848-0.0023966i,0.0055872+0.0023635i,0.0033873-0.0012369i,-0.0037101+0.01901i,0.00046976+0.013286i,0.00099009-0.0047558i,0.0105-0.0073688i,0.003411+0.0033188i,-0.008373-0.0065453i,-0.0019035-0.0018833i,0.025435-0.040758i,0.0083765+0.0081535i,0.0038873+0.0021492i,-0.0018854+0.0029273i,0.0029675-0.0039954i,0.020732+0.0015042i,0.0012427-0.0018753i,-0.001071-0.0063968i,0.0013352-0.002582i,0.010907+0.0049557i,0.0053213+0.00072451i,0.0031477-0.0059416i,0.0039474+0.0071951i,0.0040755+0.0032001i,0.017709+0.00078896i,-0.067047-0.042592i,-0.009318+0.010086i,-0.0064454-0.0042921i,-0.0063174+0.0042791i,-0.036035+0.01091i,-0.0057405+0.0078124i,-0.015004+0.0047808i
-0.031108+0.0052623i,-0.043724+0.022488i,-0.036122+0.04591i,-0.025734+0.011861i,-0.0034441+0.011955i,-0.0024109+0.031373i,-0.026627+0.022868i,-0.050745+0.031289i,-0.015414+0.018415i,-0.0015185-0.0078393i,0.0013334-0.0012708i,0.0031807-0.001453i,0.0053932+0.0054543i,-0.0023384+0.0032157i,0.0019515+0.0022163i,-0.0039652-0.0067093i,-0.017238-0.0008225i,-0.0035933+0.0025568i,0.0045267-0.0028798i,0.0011867-0.0020128i,0.0008891-0.0045227i,0.0017695-0.003056i,0.0016147-0.0035485i,-0.012359-0.0067836i,-0.0021815+5.0157e-05i,-0.0040044+0.0012294i,-0.0030375+0.00017526i,-0.004357+0.00031087i,-0.0018098-0.001976i,0.00086626-0.0017776i,-0.0019112+0.0057749i,0.0015063+0.0015009i,0.0023208+0.00044346i,0.00054525+0.00010012i,-0.0016736+0.0026415i,-0.0035491-0.0064629i,-0.002309+0.0017878i,-1.8108e-05-0.00072884i,-0.00038613+0.003874i,0.010699-0.00021991i,0.00090306-0.0037274i,0.00021881-0.00076682i,-0.0065378-0.0028895i,0.0031668+0.0034151i,-0.02046-0.018926i,-0.02125-0.068285i,-0.083742+0.007595i,-0.029774-0.021131i,-0.058839-0.031769i,-0.04106+0.0038536i,-0.081217+0.036413i,-0.059961+0.015689i,-0.029169-0.027507i,-0.036775-0.051179i,-0.038873-0.015397i,-0.00081498+0.00022884i,-0.017173+0.023024i,0.0085033+0.01135i,0.0062085+0.0029952i,-0.0060964-0.011597i,0.0048923+0.0028042i,-0.010322+0.0025113i,0.0068427+0.0086205i,0.0013386+0.0090137i,-0.0018154-0.0020048i,0.0066422+0.0021764i,0.0033516-0.0010177i,0.0057359+0.01555i,0.0063387+0.0085022i,-0.0038568-0.0056043i,0.003104-0.0079619i,0.0041626+0.0035292i,-0.011923+0.00048859i,-0.0019316+0.00088981i,0.010235-0.04056i,0.010996+0.0065556i,0.0062718+0.00075102i,0.0014266+0.0016451i,-7.8162e-05-0.0018564i,0.017549-0.0073852i,-0.0003908-0.0023339i,-0.0046681-0.0053392i,-0.0020944-0.0020385i,0.010191+0.00043931i,0.0047029+0.00059638i,0.0010482-0.0039182i,0.0063976+0.0057936i,0.0041281+0.0026022i,0.015443-0.0047236i,-0.07319-0.0335i,-0.0028595-0.00062009i,-0.0069774-0.003761i,-0.0050004+0.003469i,-0.029275+0.021303i,-0.0035976+0.0088844i,-0.011556+0.0079462i
-0.027953+0.008144i,-0.040789+0.027144i,-0.026934+0.044524i,-0.023101+0.015077i,-0.00094516+0.011768i,0.0031351+0.030133i,-0.023018+0.027186i,-0.042797+0.036731i,-0.016039+0.015633i,-0.0032903-0.006337i,0.0017746-0.00083445i,-0.00052435-0.0023875i,0.0057641+0.0032817i,-0.0015095+0.0037531i,0.0026626+0.0024772i,-0.0071772-0.0014516i,-0.016491+0.0083038i,-0.0011993+0.0038372i,0.0045354-0.0051144i,0.0011595-0.0029486i,-0.00051979-0.0045221i,0.0020901-0.0041513i,0.0010769-0.0041207i,-0.013129-0.0035404i,-0.0025257+0.00047127i,-0.0030408+0.0031574i,-0.0023095+0.00068293i,-0.0029918+0.0020352i,-0.0022566-0.0017966i,9.1691e-05-0.0026533i,0.00048971+0.0058886i,0.0017004+0.0010788i,0.0019577-0.00064187i,0.00070374-2.1555e-05i,-0.00098968+0.0041574i,-0.0034394-0.0061819i,-0.0027064+0.0023559i,-0.00086539-0.00047416i,0.0028772+0.0036444i,0.007747-0.0038383i,-0.0012632-0.001752i,0.00058652+5.7735e-05i,-0.0084249-0.0012109i,0.0040637+0.0014805i,-0.024331-0.019528i,-0.042778-0.064i,-0.07361+0.019123i,-0.036296-0.017627i,-0.06527-0.019976i,-0.034471+0.010279i,-0.061516+0.04967i,-0.045064+0.028252i,-0.030804-0.032593i,-0.043366-0.047771i,-0.039646+0.0012884i,-0.0015156-0.00050944i,-0.0063525+0.025814i,0.010614+0.0063834i,0.0032157-0.0014783i,-0.017858-0.010098i,0.0042211+0.0017714i,-0.0068749+0.0068256i,0.009115+0.003899i,0.0044789+0.0086466i,-0.0040917+0.00036907i,0.0070623-0.0014386i,0.0035945-0.0023896i,0.0091881+0.0086624i,0.0065132+0.0032373i,-0.0082266-0.0019398i,0.00047167-0.0058373i,0.0065101+0.0024284i,-0.0063768+0.0097964i,-0.00042153+0.0023769i,-0.00041082-0.033343i,0.014178+0.00089585i,0.0055456-0.0014737i,0.00095764+0.0009105i,0.00078089-0.0002068i,0.01104-0.011685i,-0.0030361+0.00085598i,-0.0062931-0.0025168i,-0.0034843+0.0018853i,0.0074995-0.0021239i,0.0077283-0.00095245i,0.001503-0.0037599i,0.0092763+0.0022358i,0.0061043+0.00094302i,0.011936-0.009091i,-0.077166-0.020024i,-0.0073324-0.0099387i,-0.0058472-0.0041062i,-0.0046971+0.0023991i,-0.021095+0.024678i,-0.0024338+0.0040502i,-0.0097437+0.0032722i
-0.02475+0.009048i,-0.036633+0.032441i,-0.021004+0.042647i,-0.019292+0.019076i,0.0029484+0.0088737i,0.0081127+0.027467i,-0.017796+0.03081i,-0.035007+0.038721i,-0.017376+0.017409i,-0.004612-0.0040583i,0.0019226-0.0020082i,-0.0026304+0.0010132i,0.0052737+0.00153i,-0.0013967+0.0052904i,0.0031882+0.0017713i,-0.0063313+0.0046699i,-0.010097+0.015597i,0.00079877+0.0028706i,0.0020421-0.0063455i,-0.00018815-0.0041728i,-0.0017355-0.0037997i,0.0013128-0.004766i,-4.0856e-05-0.0050541i,-0.013325+0.00045558i,-0.0020739+0.00081019i,-0.00075528+0.0030712i,-0.0021023+0.0009347i,-0.0010106+0.001938i,-0.003072-0.00061772i,-0.001414-0.0023014i,0.0023267+0.0049273i,0.0016347+0.00053951i,0.0010917-0.00077385i,0.00060428+2.032e-05i,0.0015837+0.0045085i,-0.0045236-0.0071653i,-0.0018622+0.0035078i,-0.0013762+0.00020731i,0.0036638+0.0004494i,0.0055866-0.0043411i,-0.00072586-0.0023058i,0.0011633-0.00058455i,-0.0094206+0.0023104i,0.0022561-0.0012256i,-0.030366-0.018283i,-0.059505-0.048608i,-0.062715+0.024222i,-0.041847-0.012138i,-0.068596-0.0075633i,-0.026589+0.012285i,-0.042776+0.053197i,-0.029067+0.026962i,-0.035164-0.030554i,-0.050182-0.040785i,-0.036871+0.011778i,-0.0028153-0.00043883i,0.0024089+0.02436i,0.010355+0.0022065i,-0.0013685-0.0018021i,-0.02542-0.00097062i,0.0015784+0.0024148i,-0.0021927+0.00725i,0.0077845-0.0010041i,0.0074851+0.007492i,-0.0034833+0.0036397i,0.003323-0.0027196i,0.0032371-0.0049004i,0.0077911+0.0019359i,0.0036287+0.00090622i,-0.0084785+0.0022374i,-0.0013737-0.004268i,0.007127+6.4427e-05i,0.0028798+0.010891i,0.0011704+0.0016709i,-0.0076039-0.025486i,0.012261-0.004067i,0.0049192-0.0034745i,0.0016674+0.0021824i,0.0011603-0.00064154i,0.0056623-0.011807i,-2.939e-06+0.0032968i,-0.0066908+0.00077914i,-0.00072754+0.0043561i,0.0057311-0.0022809i,0.0070736-0.00536i,-0.00022659-0.0036468i,0.0081987-0.003405i,0.0056957-0.001956i,0.0076862-0.012559i,-0.074599-0.0063447i,-0.017362-0.012994i,-0.0064942-0.007261i,-0.0047249+0.0010738i,-0.014532+0.02646i,-0.0061996+0.0030548i,-0.012778+0.0030763i
-0.023295+0.0096514i,-0.032372+0.03678i,-0.017663+0.042306i,-0.013337+0.020919i,0.0048191+0.0045954i,0.01168+0.024757i,-0.011381+0.032482i,-0.029507+0.040159i,-0.015245+0.021072i,-0.0048234-0.0022748i,0.0008063-0.002445i,-0.0012693+0.0039641i,0.0044706+0.00054611i,0.0012564+0.0067109i,0.0036385+0.0013573i,-0.0024907+0.0080776i,-0.0020482+0.018517i,0.0013525+0.0015562i,0.00040761-0.0061247i,-0.0022219-0.0041129i,-0.0025797-0.0032107i,0.00032646-0.0050197i,-0.0021586-0.0049316i,-0.01085+0.003523i,-0.002263+0.00073747i,-0.00030549+0.0019596i,-0.001883+0.0014191i,-0.00019715+0.00092098i,-0.002964+0.00088026i,-0.0018064-0.00098136i,0.0033339+0.0034261i,0.0015991-0.00016998i,0.00024869-0.00042979i,0.00040506-0.00016328i,0.0027321+0.0031365i,-0.0070083-0.0069338i,-0.00082397+0.003981i,-0.0011372+0.0015221i,0.0020808-0.00099221i,0.003818-0.0043077i,-0.0012463-0.0025635i,0.00102-0.0012965i,-0.016436+0.0055148i,-8.291e-05-0.00010804i,-0.035512-0.013205i,-0.063759-0.028725i,-0.05617+0.025545i,-0.046301-0.0043522i,-0.069829+0.0060978i,-0.022112+0.0093986i,-0.026731+0.051805i,-0.019714+0.02285i,-0.037614-0.028139i,-0.053598-0.033804i,-0.029166+0.022437i,-0.003569+0.00017205i,0.01316+0.019839i,0.0091642-0.00044215i,-0.0045849+0.000694i,-0.026004+0.01159i,0.0014235+0.0044523i,0.0010663+0.0074241i,0.0035075-0.0023689i,0.010096+0.0046395i,-0.0015055+0.0055393i,0.0014377-0.0012084i,0.00088527-0.006754i,0.0032504+0.0016231i,0.0011073+0.0019204i,-0.0074161+0.0071984i,-0.0026783-0.0018992i,0.0065859-0.0023342i,0.0080782+0.0071274i,0.0016263+0.00065844i,-0.01196-0.023176i,0.0092129-0.007785i,0.0031148-0.0047438i,0.0058072+0.0010803i,0.0012561-0.00042732i,0.0026486-0.010645i,0.0025283+0.0026824i,-0.0045561+0.0050014i,0.0022954+0.0037368i,0.0052783-0.0028963i,0.0035214-0.0099793i,-0.00025502-0.0026999i,0.0036827-0.0059715i,0.0034585-0.0039173i,0.0016389-0.014959i,-0.069313+0.0018499i,-0.027593-0.0066913i,-0.0094634-0.00874i,-0.0053949-0.0002211i,-0.0083746+0.026423i,-0.0093774+0.005416i,-0.013358+0.0068342i
-0.022336+0.010738i,-0.027493+0.041488i,-0.014467+0.044375i,-0.0072542+0.020226i,0.0037595-0.0002494i,0.015402+0.022233i,-0.0047145+0.032027i,-0.024341+0.042416i,-0.01148+0.022361i,-0.0052848-0.0015461i,-0.00096058-0.001997i,0.0011698+0.0052512i,0.0037443+0.00022301i,0.0039372+0.0053975i,0.0036893+0.00069708i,0.0017918+0.0088167i,0.0065847+0.017811i,0.001521+0.0011552i,-0.0013713-0.0059868i,-0.0038871-0.0030894i,-0.0031857-0.0017351i,-0.00032027-0.0052741i,-0.003478-0.0035362i,-0.0088803+0.004065i,-0.0027808+0.0018257i,-0.00037913+0.0018085i,-0.0025789+0.00031688i,5.5815e-05-0.00017747i,-0.0018608+0.0016947i,-0.0015501-0.00034737i,0.0041418+0.0021916i,0.0011992-0.00074705i,6.2877e-06-0.00066951i,-0.00015021-0.0003306i,0.0031534+0.0020089i,-0.0093591-0.0055029i,0.00024545+0.003608i,-0.00015079+0.001961i,0.00062775-0.0011574i,0.0024156-0.0039673i,-0.0021032-0.0018915i,0.00037734-0.0016735i,-0.0057089+0.006502i,-0.00023301+0.0016947i,-0.038542-0.0053374i,-0.059202-0.01563i,-0.052642+0.028043i,-0.047288+0.0068511i,-0.065317+0.022614i,-0.023787+0.007406i,-0.014808+0.046326i,-0.01297+0.018172i,-0.039525-0.024174i,-0.057366-0.027009i,-0.019991+0.025939i,-0.0045302+0.0015574i,0.016938+0.0072159i,0.0089388-0.0044079i,-0.0058276+0.0047921i,-0.019282+0.022159i,0.0027599+0.0044751i,0.0054598+0.0056864i,0.001421-0.00041978i,0.011765-0.00039687i,0.00080284+0.0067727i,0.0011935-0.0001373i,-0.0028897-0.0077061i,0.001628+0.004059i,0.0013362+0.0040465i,-0.0017971+0.011582i,-0.0015014+0.00043601i,0.0052592-0.0038061i,0.0093157+0.0019439i,0.0024338-0.000694i,-0.020274-0.021703i,0.0048842-0.0096351i,0.00051053-0.0052665i,0.0047334-0.0017984i,0.0010516-7.7433e-06i,0.0017202-0.0087759i,0.0035636+0.00066435i,-0.0012042+0.0061716i,0.0035906+0.0014266i,0.0038593-0.0039112i,-0.003207-0.010826i,-0.00053988-0.0031661i,0.00070269-0.0047623i,0.0022499-0.0054743i,-0.0053309-0.013364i,-0.066605+0.0088907i,-0.026758+0.0070101i,-0.013534-0.0087363i,-0.0070338-6.9789e-05i,-0.0046365+0.025286i,-0.0084409+0.010314i,-0.0085436+0.0086787i
-0.02136+0.012458i,-0.021102+0.045926i,-0.0089546+0.047652i,-0.0041607+0.017848i,0.00010347-0.0025748i,0.019049+0.018825i,0.0011633+0.030282i,-0.019077+0.045022i,-0.0075695+0.023652i,-0.0067957-1.996e-05i,-0.0015954-2.4552e-05i,0.0038962+0.0052684i,0.0031855+0.00024827i,0.0051878+0.0029629i,0.0034944+0.00021321i,0.0052291+0.00776i,0.013114+0.012991i,0.0018798+0.00090043i,-0.002758-0.0053642i,-0.0046605-0.0012165i,-0.0025959-0.00046202i,-0.0018595-0.0057114i,-0.0038603-0.002109i,-0.0090185+0.0057915i,-0.0022107+0.0029571i,-9.8401e-05+0.0022128i,-0.0013781+0.0017873i,-0.0010679-0.001043i,-0.0014081+0.0014121i,-0.0014789-0.00012208i,0.0049816+0.00083487i,0.0010361-0.00081933i,0.00047081-0.00091777i,-0.00018761+0.00013082i,0.0035845+0.00028059i,-0.011223-0.0030832i,0.0014661+0.0034398i,0.00046165+0.0013522i,-6.1076e-05-0.0012817i,0.0010869-0.0038156i,-0.0021549-0.0010705i,4.4501e-05-0.0015807i,-0.0038703+0.00691i,0.00040971+0.0021685i,-0.038307+0.0016671i,-0.056217-0.010257i,-0.048844+0.032987i,-0.042635+0.0165i,-0.05582+0.036467i,-0.024818+0.010741i,-0.0059998+0.041856i,-0.010137+0.012777i,-0.040917-0.020146i,-0.059575-0.018652i,-0.012284+0.027018i,-0.0034347+0.0023213i,0.01075-0.0028176i,0.0054326-0.0086461i,-0.004294+0.0078814i,-0.009412+0.025995i,0.0030536+0.0032696i,0.0074643+0.00091684i,0.0023982+0.00050255i,0.010037-0.0042523i,0.0054163+0.0069019i,0.0013836+0.0016934i,-0.0073254-0.0029553i,0.0029668+0.0059053i,0.0029419+0.0054386i,0.0041829+0.010277i,-0.00067352+0.00055638i,0.0040466-0.0051549i,0.0091802-0.0038516i,0.00056857-0.0013742i,-0.029161-0.014302i,0.00152-0.0095956i,-0.0014366-0.0040177i,0.0053601-0.0018231i,0.0010605-0.0001779i,0.0015905-0.0095373i,0.0029263-0.0010873i,0.0013394+0.0048142i,0.00349+0.00044262i,0.0032936-0.0036598i,-0.0073003-0.0065098i,-0.0021085-0.0035056i,-0.0011143-0.0042326i,-0.00010234-0.0064356i,-0.0090784-0.0091926i,-0.062571+0.016525i,-0.022026+0.0092766i,-0.013141-0.006495i,-0.0078415+0.0012046i,0.00011295+0.023209i,-0.0071999+0.011548i,-0.0066101+0.0074843i
-0.020047+0.014058i,-0.013298+0.049197i,-0.0014308+0.050233i,-0.0035219+0.01608i,-0.0037563-0.0021728i,0.02168+0.014821i,0.0063743+0.027792i,-0.012444+0.047896i,-0.0033411+0.023557i,-0.0066987+0.0011886i,-0.00068082+0.0015456i,0.0068616+0.0031223i,0.0031767+0.00042403i,0.0046829+0.0013782i,0.003559-9.2908e-05i,0.0078075+0.0049686i,0.015502+0.0071811i,0.0023174-0.00037962i,-0.0039507-0.0046423i,-0.0042956+0.00087188i,-0.0017939+0.00017221i,-0.0032799-0.0045574i,-0.0037988-0.0010266i,-0.0073159+0.008573i,-0.0013386+0.0042094i,0.0008847+0.0022336i,-0.00080077+0.0023179i,-0.0027621-0.00069752i,-0.0012509+0.0016211i,-0.0014255+0.00042323i,0.0049022-0.0011698i,0.00089577-0.0013597i,9.4761e-05-0.0013532i,-7.621e-05+0.0003188i,0.0027621-0.0012369i,-0.012051+0.00066073i,0.0023643+0.0028068i,0.00071011+0.001304i,-0.0010694-0.0010712i,0.00043162-0.00298i,-0.0019914-0.00085331i,-0.00024778-0.0018026i,-0.0024479+0.0069556i,0.0011348+0.0025423i,-0.037343+0.0072451i,-0.057414-0.0056067i,-0.044148+0.038168i,-0.037652+0.023408i,-0.04261+0.044778i,-0.0252+0.013945i,0.0021533+0.035868i,-0.0089867+0.010229i,-0.04166-0.015631i,-0.060361-0.0089245i,-0.0057291+0.027097i,-0.0026655+0.0025861i,0.0039472-0.0038094i,0.00055936-0.0103i,-0.00086528+0.01083i,-0.0014759+0.023745i,0.0023585+0.0019691i,0.0066043-0.0038123i,0.0020771+0.00041788i,0.0071432-0.0072925i,0.0087755+0.0033314i,0.0029895+0.0024539i,-0.0069563+0.00060666i,0.0054918+0.0068334i,0.0055573+0.0059512i,0.0092964+0.0088685i,-0.00021031+0.00098426i,0.0032071-0.0060175i,0.010859-0.0045611i,0.00020928+0.00029025i,-0.033901-0.0021286i,-0.00096312-0.0089387i,-0.002189-0.0021943i,0.0057238-0.0029179i,0.0011156-0.00015111i,-0.00020645-0.011438i,0.0018161-0.0016458i,0.0033237+0.0039641i,0.0037997-0.00073063i,0.0040203-0.0043211i,-0.0087607-0.0033134i,-0.0042152-0.0018636i,-0.0033893-0.0024554i,-0.0021346-0.0065678i,-0.01068-0.005231i,-0.057942+0.022489i,-0.020722+0.01089i,-0.012514-0.0075928i,-0.0077809+0.0024166i,0.0015985+0.021626i,-0.0068633+0.012433i,-0.0050217+0.006886i
-0.018326+0.015965i,-0.0041464+0.050715i,0.007782+0.051074i,-0.0033624+0.015787i,-0.0057046+0.0009498i,0.02383+0.010801i,0.01042+0.023847i,-0.0035495+0.04934i,0.00076163+0.022513i,-0.0062279+0.0026359i,0.00053167+0.001464i,0.0071516-0.00085448i,0.0037672+0.00013467i,0.004594+0.0004161i,0.0037005-0.00058395i,0.0080305+0.0014666i,0.015896+0.0019382i,0.00091983-0.0015146i,-0.0055734-0.0031376i,-0.0031194+0.0017586i,-0.00088855+0.00012928i,-0.0037768-0.0035776i,-0.0037051-4.9792e-05i,-0.0038099+0.010456i,0.00058883+0.0045852i,0.0016961+0.0015527i,0.00017699+0.002505i,-0.0034045+0.00101i,-0.00069245+0.0015793i,-0.0010915+0.00069975i,0.0037991-0.0027997i,0.00016599-0.0017048i,-0.00070623-0.0010808i,-6.1647e-05+0.00013904i,0.0015368-0.00201i,-0.011168+0.004273i,0.0030174+0.0018907i,0.0010405+0.0011011i,-0.0017832-0.00033277i,0.00023334-0.0025437i,-0.0024117-0.00068145i,-0.00069311-0.0021296i,-0.0014924+0.0074577i,0.0021515+0.002552i,-0.036043+0.013238i,-0.060769+0.0030207i,-0.037766+0.041547i,-0.030147+0.028603i,-0.029663+0.049574i,-0.02447+0.020649i,0.0083545+0.027864i,-0.0045973+0.0079911i,-0.041426-0.010802i,-0.058003+0.0015075i,0.00016322+0.025699i,-0.0027386+0.0023072i,-0.00025711-0.003333i,-0.0046912-0.0095144i,0.0049035+0.010712i,0.0027545+0.024944i,0.0001361+0.0015064i,0.0041253-0.0077923i,0.0032998+0.0016573i,0.0031552-0.0087988i,0.0094852-0.001712i,0.0046152+0.0017106i,-0.0070964+0.0041305i,0.0095317+0.0062447i,0.0097943+0.0038476i,0.01289+0.0028135i,0.00078529+0.0014239i,0.0015447-0.0069834i,4.2142e-08-0.0097876i,0.0015173+0.0016512i,-0.032998+0.0097511i,-0.0030229-0.0082833i,-0.0017417-0.00037058i,0.0054599-0.0060871i,0.0016106+0.00012182i,-0.0051329-0.012343i,0.00091225-0.0013935i,0.0045088+0.0017584i,0.0035492-0.001644i,0.0032934-0.0057179i,-0.0082299+0.0015458i,-0.0041545+0.00071488i,-0.0047433-0.00023695i,-0.0050176-0.0065822i,-0.010571-0.001437i,-0.054013+0.028475i,-0.019604+0.016337i,-0.014855-0.010085i,-0.0051769+0.0034942i,0.0045553+0.020992i,-0.0067859+0.015366i,-0.0030554+0.0048966i
-0.01616+0.017346i,0.0048088+0.049465i,0.017292+0.048996i,-0.0022964+0.016765i,-0.0048347+0.004353i,0.025674+0.0062185i,0.01295+0.01971i,0.0052902+0.048538i,0.0040514+0.020731i,-0.0056668+0.0043938i,0.0008112+0.0011004i,0.0051944-0.0032779i,0.0039957-0.0010877i,0.0040306-0.00039361i,0.0035879-0.0013035i,0.0065058-0.00056636i,0.014668-0.0025386i,-9.9519e-05-0.0011263i,-0.0059297-0.0011193i,-0.0019443+0.0030852i,-0.00024976-0.00033254i,-0.0043793-0.0028882i,-0.0030372+0.00069417i,0.00041199+0.01103i,0.00232+0.0037406i,0.0019413+0.00097054i,0.0011301+0.002124i,-0.0026633+0.0027286i,-0.00012921+0.0013594i,-0.0010361+0.00098253i,0.002336-0.003483i,-0.00064095-0.0014628i,-0.00053409-0.00068038i,-0.00030843+0.00014021i,0.00035676-0.0021433i,-0.0091332+0.0071027i,0.0032515+0.00051516i,0.0011655+0.00059587i,-0.0018217+0.00088102i,1.5658e-05-0.0026879i,-0.0025549+3.7812e-06i,-0.0014318-0.0024991i,-0.00013089+0.0084862i,0.0031005+0.0018669i,-0.032992+0.018994i,-0.060043+0.01551i,-0.033389+0.043981i,-0.023058+0.030992i,-0.015865+0.051882i,-0.018601+0.028961i,0.0097725+0.017476i,-0.0022294+0.0010656i,-0.038863-0.0068055i,-0.052347+0.011622i,0.005996+0.023228i,-0.0026952+0.0029024i,-0.0040836-0.0010983i,-0.0085684-0.0069362i,0.0087619+0.006731i,0.011179+0.01888i,-0.0026813+0.0033333i,9.8289e-05-0.010942i,0.0050043+0.00016241i,-0.001324-0.008053i,0.0071645-0.0052417i,0.0058689-0.00033273i,-0.0051345+0.0073799i,0.01295+0.001313i,0.011235-0.0020841i,0.011006-0.0044406i,0.0024319+0.00094863i,-0.00099657-0.0071144i,-0.0041628-0.0056999i,0.0035264+0.00059583i,-0.027591+0.021864i,-0.0049306-0.0069125i,-0.00051054+0.00074011i,0.0023177-0.0075159i,0.0021392-0.00011991i,-0.010832-0.0093166i,0.0010408-0.00080639i,0.0046282-0.0011571i,0.0026947-0.0025485i,0.0017685-0.0061997i,-0.0055424+0.0052573i,-0.0026963+0.0027209i,-0.0046444+0.0029866i,-0.0083136-0.005127i,-0.0096968+0.0011741i,-0.048024+0.035698i,-0.011341+0.021127i,-0.020281-0.00948i,-0.0024069+0.0020005i,0.0062937+0.019644i,-0.0036526+0.018886i,-0.0027788+0.0014882i
