-0.028842-0.042866i,-0.022137-0.022157i,-0.013593-0.037534i,-0.029514-0.021824i,-0.023367-0.0017163i,-0.01464-0.0062098i,-0.054397-0.06055i,-0.048191-0.018782i,-0.036743-0.012688i,0.012086+0.01257i,-0.0084636+0.0052324i,-0.019677+0.019083i,0.0023279+0.012598i,-0.0055819-0.0028503i,0.00039826+0.001368i,-0.0023044+0.031778i,0.028594+0.026095i,0.0026294-0.0025476i,-0.0025204-0.0072398i,0.0078886+0.0027104i,0.0025958+0.00099501i,-0.0008646+0.0042115i,-0.00034122+0.00015507i,-0.037267-0.014133i,-0.00022284-0.0083968i,0.00142+0.0023361i,0.0067335+0.00084704i,0.0020858+0.00037841i,0.0012243-0.00052107i,-0.00047697-0.0028609i,0.0015929-0.0025129i,-0.0025586-0.0063403i,-0.001082-0.0047477i,0.003194-0.00065775i,0.0046219-0.0035536i,0.0021482+0.031865i,0.0042541-0.0037658i,0.0030434-0.0015696i,0.0087897-0.0012778i,-0.0055564-0.0024487i,-0.00033862+0.00082882i,0.0098306+0.00022625i,0.0048663-0.0021152i,-0.0023523+0.0087764i,-0.017422-0.0095394i,-0.018123+0.014164i,-0.0023525-0.062914i,-0.0046958-0.026861i,-0.025517-0.0333i,-0.010336-0.027621i,0.054339-0.020952i,0.017361-0.042941i,0.024054-0.047818i,0.0046605-0.054548i,0.02691-0.021029i,0.0082102+0.0062769i,0.025525-0.033001i,-0.008333-0.0063998i,0.0032792-0.0042271i,-0.0048864-0.0073466i,-0.0017692-0.033123i,-0.019081+0.029102i,0.0090206-0.012102i,-0.0092259-0.0038988i,-0.0041109-0.0018405i,0.00096548-0.012714i,-0.010962+0.0042452i,0.0023968+0.010197i,-0.0048415+0.026249i,0.0048981+0.0025676i,-0.005597-0.0018524i,-0.0020636-0.0022324i,-0.012379-0.0073537i,-0.00057899-0.0044406i,-0.034273+0.0051036i,0.00098426-0.010866i,-0.0084444+5.4126e-05i,-0.0068895-0.0023163i,0.0050658+0.0015925i,-0.0079605-0.00044037i,0.0020648+0.0001877i,0.0046866+0.0074283i,0.0042022+0.0005916i,-0.0080801-0.011735i,0.0033044+0.0099204i,-0.013806+0.0038933i,0.0071328-0.00052705i,-0.022505-0.00086093i,-0.017771+0.0069397i,-0.012016-0.06889i,0.0072544-0.012164i,-0.049603-0.023464i,-0.020777-0.00046464i,0.017218+0.01213i,-0.02332+0.015025i,-0.020861-0.006501i
-0.043946+0.029594i,-0.018178+0.020607i,-0.022723+0.042586i,-0.028159+0.013406i,-0.0058965+0.022519i,-0.0012014+0.0085596i,-0.032836+0.018524i,-0.0040659+0.030018i,0.0064427+0.018054i,-0.0069885-0.005509i,0.0025579+0.0038589i,0.0078875-0.00058539i,0.0058957-1.0719e-05i,-0.0007364+0.0031287i,0.00043064+0.0020782i,0.0067865-0.0051848i,-0.0056852-0.00052318i,-0.0031656+0.00031618i,0.0046268-0.00084493i,-7.611e-05-0.0010192i,0.0034566-0.0054409i,0.0016076-0.0030111i,0.0014932-0.0027005i,-0.0090924-0.012564i,-0.0018747+0.0031447i,-0.0015952+0.00025085i,-0.0042619-0.001239i,-0.003007-0.00032869i,-0.0015953-0.0025909i,-5.6744e-05-0.00052109i,-0.0001472+0.0043816i,0.0006257+0.001157i,0.0016569+0.00090263i,-0.00044305+0.00071541i,-0.0026806+0.0028225i,-0.0017754-0.0071835i,-0.0026035+0.00087591i,0.00087902-0.00062586i,-0.0010385+0.0027781i,0.0045305+0.003456i,-0.00043758-0.0016484i,-0.00039791-0.0026912i,-0.0036546-0.00019554i,0.0041741+0.00072261i,-0.019483+0.024988i,0.0043459-0.036387i,-0.05636+0.0033979i,0.0077469-0.031147i,-0.030891-0.049053i,-0.029748-0.020474i,-0.064622+0.01966i,-0.038828+0.00013999i,-0.03409-0.0097196i,-0.024803-0.021873i,-0.038318-0.023492i,-0.0051981+0.0027852i,-0.028385+0.0093452i,0.0059177+0.018863i,0.0025961+0.0082187i,-0.0035086-0.0057585i,0.0019384+0.0014285i,-0.0084191-0.005211i,0.0046345+0.011213i,-0.0013273+0.0062271i,-0.0020593-0.0014909i,0.00090375+0.0023675i,0.003651-0.001076i,-0.003565+0.017627i,0.0034448+0.015462i,0.0038563+6.1933e-05i,0.0099513-0.0064464i,0.0044813+0.0032108i,-0.0083069-0.0074238i,-0.00097112-0.0030205i,0.018135-0.035443i,0.0074366+0.010562i,0.0055291+0.0020677i,-0.0027525+0.0027254i,0.0035584-0.0058701i,0.021095+0.0070117i,0.0034735+0.0029811i,0.00017819-0.0065302i,0.0012645-0.0030481i,0.020399+0.0067888i,0.0047162+0.0016686i,0.0030222-0.0048978i,0.0047778+0.0079699i,-0.0002717+0.00099619i,0.0094206+0.0024348i,-0.049814-0.014546i,-0.0051306+0.012071i,-0.0019679-0.0038829i,-0.0067321+0.0055017i,-0.036387+0.011655i,-0.0058697+0.007432i,-0.010834+0.015132i
-0.038911+0.035447i,-0.014652+0.020438i,-0.011972+0.038898i,-0.02563+0.016481i,-0.0027455+0.020548i,0.00023219+0.0085729i,-0.03088+0.023938i,0.001953+0.029058i,0.0086436+0.013151i,-0.0077743-0.002654i,0.0038414+0.0042372i,0.0069239-0.0031129i,0.0051083-0.0021638i,0.0011923+0.0037554i,0.00076173+0.0022018i,0.0021968-0.0045366i,-0.0067447+0.0025993i,-0.0025211+0.0011533i,0.0050666-0.0018929i,0.00022325-0.0010303i,0.0015557-0.0060133i,0.0012901-0.0025769i,0.00080327-0.0028278i,-0.011497-0.0090599i,-4.0782e-05+0.0030262i,-0.0016093+0.00067443i,-0.0036304+0.00059048i,-0.0024015+0.00058899i,-0.0029332-0.0006483i,0.00017747-0.00045183i,0.0011898+0.0033291i,0.00039645+0.001307i,0.0013518+2.2854e-05i,-0.00060386+0.00089708i,-0.0023841+0.003208i,-0.0018192-0.0059784i,-0.0022+0.0017316i,-0.00021919-0.0011918i,-0.00010408+0.0028699i,0.0043722+0.000851i,-0.0006387-0.0013981i,-0.0017377-0.0024863i,-0.0038247+0.00096193i,0.0044158-0.0003011i,-0.015122+0.024791i,-0.0089002-0.04116i,-0.050019+0.014337i,-0.0015151-0.03879i,-0.045328-0.043017i,-0.030333-0.013791i,-0.053129+0.032472i,-0.03605+0.0090807i,-0.025069-0.011985i,-0.027203-0.018792i,-0.044397-0.0087179i,-0.0044609+0.0025931i,-0.023797+0.021826i,0.011344+0.01266i,0.0053004+0.0047062i,-0.0088103-0.0083251i,-0.001588+0.0033425i,-0.010139+0.0015253i,0.0089395+0.0085073i,-8.9089e-05+0.0079369i,-0.0020649+0.00021685i,0.0019453+0.0035881i,0.0038732-0.0013323i,0.0049871+0.014449i,0.0087452+0.0087669i,-0.00036538-0.0028695i,0.0034939-0.0081578i,0.0049023+0.0027238i,-0.010947+0.00081377i,-0.0026314-0.00091121i,0.0032001-0.034094i,0.011629+0.008008i,0.0069149-0.00042653i,0.0007313+0.0030063i,-0.0002567-0.003421i,0.021641-0.0023513i,0.0037074+0.0012642i,-0.0034149-0.0055027i,-0.0025599-0.0016714i,0.020796+0.0066836i,0.0049577+0.0018479i,0.0010363-0.0035414i,0.0072169+0.0065704i,0.00014664+0.0018904i,0.0095342-0.00098123i,-0.05253-0.0091358i,9.3187e-05-0.0025499i,-0.0011768-0.0036118i,-0.0048498+0.0052196i,-0.030268+0.023149i,-0.0034233+0.0084781i,0.00051863+0.0085456i
-0.032768+0.040453i,-0.012086+0.020583i,-0.006828+0.032922i,-0.022977+0.019648i,0.00076911+0.019736i,0.0020879+0.0080339i,-0.026599+0.029654i,0.0072831+0.026487i,0.0083588+0.0095899i,-0.0078086+0.0002448i,0.0059231+0.0037844i,0.0026594-0.0040705i,0.0037249-0.0032998i,0.0020594+0.0032883i,0.0013376+0.002257i,-0.0012714-0.0016598i,-0.0057751+0.0062592i,-0.0012286+0.001632i,0.0049313-0.0042467i,0.00048439-0.0016077i,-0.00045226-0.0056467i,0.0013461-0.0029839i,0.00027265-0.0028359i,-0.013945-0.0060743i,0.00088397+0.0026083i,-0.0010028+0.0014613i,-0.00247+0.00093913i,-0.0011283+0.0012292i,-0.0023407-0.00057062i,2.1673e-05-0.00089232i,0.0016289+0.0027278i,0.00060676+0.0015648i,0.0010783-0.0002699i,-0.00041904+0.00086059i,-0.00081005+0.0041227i,-0.00097884-0.0059256i,-0.0020814+0.0021576i,-0.0011261-0.0009006i,0.0015388+0.0017769i,0.0033022-0.00053083i,-0.00095012-0.0013064i,-0.0012287-0.0010092i,-0.0035365+0.0019669i,0.0040357-0.0021746i,-0.01186+0.025029i,-0.024381-0.038558i,-0.039771+0.021108i,-0.013428-0.040896i,-0.053036-0.033937i,-0.027057-0.0080197i,-0.036726+0.039073i,-0.024849+0.015082i,-0.027571-0.015169i,-0.0285-0.015123i,-0.042437+0.0054184i,-0.0037488+0.0029094i,-0.012625+0.029087i,0.013526+0.0066149i,0.0034276-0.00039164i,-0.018391-0.0052888i,-0.00083142+0.0049033i,-0.0062063+0.0066431i,0.011188+0.0032919i,0.0033064+0.0082163i,-0.0035204+0.0019065i,0.0025235+0.0015903i,0.0037955-0.0027131i,0.0079198+0.007672i,0.0085897+0.0035338i,-0.0047184+0.00058782i,0.0003925-0.0063597i,0.0066297+0.0016228i,-0.00493+0.0087052i,-0.00076501+0.0010832i,-0.0024006-0.026862i,0.01571+0.0017948i,0.0060348-0.0021901i,0.0010154+0.0013829i,-8.8855e-05-0.0015335i,0.016945-0.0094606i,0.0020416+0.002851i,-0.0055937-0.0027471i,-0.0029667+0.0022199i,0.011744+0.0010345i,0.0087753-0.00070565i,0.00077902-0.0034688i,0.010476+0.0027078i,0.0032183+0.0010701i,0.0082792-0.0038721i,-0.054726+0.0011423i,-0.0096106-0.011928i,0.0014329-0.0065859i,-0.003847+0.0040163i,-0.020348+0.027501i,-0.0035854+0.0035785i,-0.0013483+0.0092824i
-0.025393+0.043905i,-0.0090592+0.021577i,-0.0051548+0.028133i,-0.018963+0.022885i,0.0041218+0.016809i,0.0038858+0.0064436i,-0.019881+0.034387i,0.011665+0.022339i,0.0080124+0.0082544i,-0.0068348+0.0029683i,0.0071791+0.0019618i,0.00036798-0.0014612i,0.0022789-0.003518i,0.0020609+0.0033921i,0.0017764+0.0018514i,-0.001666+0.0025031i,-0.0023424+0.0090888i,-0.00037976+0.0012137i,0.0030574-0.0055731i,-0.00023872-0.0022487i,-0.0018916-0.0044883i,0.0010066-0.0032893i,-0.00035707-0.0030402i,-0.015798-0.00093925i,0.0019054+0.0015609i,9.6037e-06+0.00086875i,-0.0020848+0.00050939i,0.00015359+0.00057634i,-0.0025587+0.00034627i,-0.00038365-0.0005745i,0.002281+0.0021238i,0.0013124+0.0014511i,0.00052749-0.00067008i,-0.0002163+0.00085359i,0.0010927+0.003401i,-0.0018261-0.0078994i,-0.0010986+0.0030164i,-0.0014247-0.00016125i,0.0012772-0.00010227i,0.0025727-0.00088343i,-0.0012056-0.00084618i,-0.0005568-0.0011713i,-0.0025608+0.0029744i,0.0016704-0.004574i,-0.0085582+0.026045i,-0.036118-0.026277i,-0.030328+0.021858i,-0.024799-0.037628i,-0.060749-0.023589i,-0.022308-0.0059978i,-0.022528+0.03766i,-0.014572+0.01167i,-0.028829-0.011874i,-0.028741-0.010318i,-0.037076+0.015701i,-0.0033936+0.0032535i,-0.00023406+0.029272i,0.014031+0.0030375i,-0.0013674-0.0010882i,-0.023225+0.0054617i,-0.00057118+0.0066575i,-0.0027054+0.0065431i,0.0094586-0.0029039i,0.0062868+0.0067364i,-0.0027574+0.0044358i,0.00054628+0.0018828i,0.0029767-0.0053223i,0.0059746+0.0016047i,0.0060267+0.00055962i,-0.0031597+0.0035244i,-0.0014317-0.0046083i,0.0067553-0.00061126i,0.0044672+0.0061826i,0.00014614+0.00052819i,-0.010249-0.024174i,0.013772-0.0044166i,0.0049165-0.0045109i,0.0016765+0.0026468i,3.6389e-05-0.0014421i,0.011307-0.012228i,0.0053064+0.0036005i,-0.006012+0.00060209i,-0.00062761+0.004242i,0.0083289-0.00040906i,0.0078811-0.0065664i,-0.00071399-0.0029529i,0.0089149-0.0034571i,0.0027808-0.0018182i,0.0069795-0.0070683i,-0.050529+0.013305i,-0.019729-0.010273i,-0.0010262-0.012689i,-0.0026386+0.0018817i,-0.012735+0.027523i,-0.007428+0.0035197i,-0.0023257+0.0085891i
-0.019175+0.045951i,-0.0064106+0.021467i,-0.0057633+0.025959i,-0.014055+0.024614i,0.0059714+0.013656i,0.0043119+0.0045251i,-0.011833+0.036436i,0.014229+0.017944i,0.0090232+0.0071449i,-0.0044219+0.0046489i,0.0066203-0.0024898i,0.00089346+0.00080718i,0.0013211-0.0036093i,0.0034796+0.0038008i,0.0021842+0.0014149i,0.0003035+0.0052324i,0.0021402+0.0095625i,-0.00022271+0.000822i,0.0013428-0.0059816i,-0.001225-0.0021402i,-0.0028453-0.0034763i,0.00027919-0.0035221i,-0.0013547-0.0029059i,-0.013441+0.0044536i,-0.00085354-0.0036138i,-0.00016915-5.8772e-05i,-0.0013795+0.00099887i,0.00027497-0.00064228i,-0.0014365+0.0022285i,-0.00015687-0.00029704i,0.0028778+0.00083823i,0.0021319+0.00038858i,-0.00015672-0.00058738i,-0.00029581+0.00078728i,0.0015086+0.0024616i,-0.004568-0.0089491i,-7.937e-05+0.0030393i,-8.9914e-05+0.0016025i,0.00025051-0.00043359i,0.0019645-0.00096629i,-0.0010181-0.00051813i,-0.0009067-0.0017144i,-0.0010526+0.0032427i,-0.0010525-0.0035021i,-0.0041584+0.027229i,-0.036172-0.01155i,-0.024209+0.020409i,-0.034153-0.030575i,-0.066121-0.0093693i,-0.019481-0.0080445i,-0.011916+0.033033i,-0.0098634+0.0067109i,-0.028525-0.0098937i,-0.027276-0.0073368i,-0.030641+0.024126i,-0.0027537+0.0034029i,0.012109+0.024149i,0.012646-0.002716i,-0.0046841+0.0015118i,-0.021148+0.015258i,0.0014538+0.0078866i,0.00034564+0.0076188i,0.0034466-0.0044713i,0.008352+0.0045404i,-0.0012035+0.0063584i,0.00042409+0.0040044i,0.0012162-0.0063952i,0.0017391+0.0018653i,0.0034392+0.0007074i,-0.001804+0.0048447i,-0.0024516-0.0024193i,0.0057872-0.0027814i,0.0054399+0.0013361i,0.00043652+0.00017476i,-0.013862-0.021968i,0.010172-0.0083502i,0.0024305-0.0054405i,0.0048259+0.0034466i,-0.00044388-0.00057857i,0.0070607-0.012877i,0.0079417+0.0006202i,-0.0039654+0.0039349i,0.0020188+0.0038163i,0.0084528-0.0013707i,0.0028102-0.010673i,-0.00081943-0.0021485i,0.0043526-0.0065636i,0.00064533-0.0025411i,0.0030499-0.010036i,-0.042223+0.018582i,-0.027598-0.0029167i,-0.0065642-0.014484i,-0.0030393-0.00063513i,-0.0075157+0.026755i,-0.010152+0.0063745i,-0.0010654+0.0093627i
-0.012592+0.04815i,-0.0040184+0.021937i,-0.0056868+0.026942i,-0.0093929+0.024659i,0.0063496+0.01058i,0.0044822+0.0033509i,-0.00341+0.035736i,0.015644+0.013852i,0.010249+0.0049497i,-0.0025159+0.0045564i,0.0042995-0.0028886i,0.0020793+0.0018207i,0.00011581-0.0035103i,0.0052001+0.0026509i,0.0022441+0.0008691i,0.0032335+0.0061832i,0.005865+0.0081642i,-3.8649e-05+0.00079122i,-0.00074768-0.0060872i,-0.001922-0.0015724i,-0.0030862-0.002118i,-0.00040088-0.0036585i,-0.0020566-0.0022585i,-0.010379+0.0058555i,-0.00081659-0.00061822i,-0.00087614-0.00023527i,-0.0012873+0.0012205i,-0.00033153-0.001668i,-0.0002755+0.0010087i,-9.1283e-05-0.00053536i,0.0027038-0.0005157i,0.0020409-0.00086647i,-0.00038923-0.00029086i,-0.00022927+0.00078968i,0.0017275+0.0019549i,-0.0074464-0.0084974i,0.0005875+0.0025684i,-0.0030458+0.0013709i,-0.00036998+0.00090227i,0.0015957-0.00044477i,-0.00088737-0.00017338i,-0.0016261-0.0010246i,0.00019282+0.002838i,-0.0021162-0.0016231i,0.00072185+0.027929i,-0.030337-0.0037945i,-0.020567+0.019038i,-0.039345-0.01981i,-0.064539+0.0094532i,-0.022759-0.010833i,-0.0062991+0.026879i,-0.0070375+0.0024885i,-0.027764-0.007071i,-0.027404-0.0050123i,-0.022206+0.030095i,-0.0030625+0.0035829i,0.018468+0.010652i,0.010154-0.007359i,-0.0056398+0.0056148i,-0.013376+0.023414i,0.0040984+0.0067053i,0.004107+0.0057629i,0.00053369-0.0016791i,0.010064+0.0009646i,0.0013886+0.007631i,0.0018758+0.004996i,-0.0031607-0.0090606i,0.00060111+0.0048372i,0.0033862+0.0020135i,0.0010082+0.0071035i,-0.0017208-0.00064371i,0.0043185-0.0035515i,0.00772+0.00089695i,0.0010417-0.0007283i,-0.021466-0.020782i,0.0060133-0.010282i,0.00012597-0.0054671i,0.0042802+9.8148e-05i,-0.00019144+0.00067154i,0.0046652-0.012079i,0.0074371-0.0030263i,-0.00093483+0.005195i,0.0033334+0.0016828i,0.0072012-0.0044507i,-0.0039117-0.0099408i,-0.0012372-0.0024042i,-0.00039353-0.0058521i,-5.2044e-05-0.0031347i,-0.0017793-0.0096189i,-0.037101+0.022056i,-0.025474+0.010652i,-0.011426-0.014033i,-0.0048317-0.0014336i,-0.0034679+0.026139i,-0.0090246+0.011181i,0.0025647+0.0079822i
-0.0052504+0.049371i,-0.0010094+0.022552i,-0.0037342+0.029059i,-0.0059103+0.023708i,0.0056626+0.0088913i,0.004678+0.0021197i,0.003586+0.032848i,0.016274+0.010335i,0.010946+0.002784i,-0.0015464+0.0044812i,0.0029976-0.0021564i,0.0042289+0.0021173i,-0.00095806-0.0030093i,0.0057154-0.00013174i,0.0020884+0.00047238i,0.0057256+0.0054602i,0.0085053+0.0053386i,0.00021679+0.00088226i,-0.0022742-0.0054613i,-0.002245-0.00074236i,-0.0027765-0.00088499i,-0.0013806-0.0035627i,-0.0024377-0.0015634i,-0.0098591+0.0080909i,-0.0011365-0.00014648i,-0.0013544+0.00036288i,-0.00098927+0.0014865i,-0.0018488-0.0019475i,-0.00050487+0.00057357i,-0.00042475-0.00078034i,0.0022516-0.0013486i,0.00092664-0.0023097i,-6.2347e-05-0.00018243i,-2.0834e-05+0.00078534i,0.0021068+0.00092492i,-0.011006-0.0070759i,0.0013353+0.0022481i,-0.0017295+0.0017747i,-0.00050482+0.0016043i,0.001783-0.00016093i,-0.0006989+0.00014544i,-0.0012378-0.00022599i,0.00083842+0.0021422i,-0.0021303-0.00051746i,0.0065116+0.02668i,-0.026268-0.002305i,-0.017602+0.018752i,-0.039116-0.0099433i,-0.055076+0.025069i,-0.026063-0.0082424i,-0.0016883+0.023799i,-0.0067806-0.0018043i,-0.026048-0.0051444i,-0.026805-0.0012175i,-0.013505+0.033867i,-0.0019807+0.003685i,0.013026-0.001632i,0.0056388-0.011026i,-0.0039339+0.0089117i,-0.0044116+0.024745i,0.0049713+0.0041016i,0.0052521+0.0019634i,0.0014283-0.00024104i,0.0094493-0.0022892i,0.0061418+0.0069257i,0.003772+0.0059301i,-0.0080452-0.0037905i,0.0027905+0.0066336i,0.0047651+0.0025924i,0.0048904+0.0060908i,-0.0013423-8.7291e-05i,0.0032662-0.0043708i,0.0079556-0.0060124i,-0.00079822-0.0011289i,-0.02997-0.012262i,0.0023321-0.010329i,-0.00199-0.004211i,0.0041003-0.00070722i,0.0005969+0.00093882i,0.0033228-0.01418i,0.0057193-0.0057005i,0.001532+0.004036i,0.0032162+0.00079861i,0.0055006-0.005705i,-0.0072853-0.0054425i,-0.0024614-0.0022355i,0.00028758-0.0028229i,-0.0022008-0.0031852i,-0.004669-0.0073785i,-0.030565+0.025168i,-0.018668+0.011926i,-0.011575-0.012575i,-0.0060043-0.00095018i,0.0010179+0.024089i,-0.0070762+0.012862i,0.0029002+0.0052867i
0.0023419+0.049462i,0.0026541+0.022947i,0.00033764+0.031526i,-0.0030289+0.023476i,0.0049928+0.0083894i,0.0044068+0.0011852i,0.0093239+0.028939i,0.016778+0.0072472i,0.011343+0.00019333i,-0.00048151+0.0048522i,0.0030619-0.0014856i,0.0061535+0.00013549i,-0.0017823-0.0020869i,0.0039873-0.0015608i,0.0020907+0.00033204i,0.0077307+0.0033356i,0.0094613+0.0024095i,0.00063664+0.00057966i,-0.0036775-0.0044838i,-0.0019896+0.0003792i,-0.0020532-0.00028914i,-0.0021548-0.0026901i,-0.0026756-0.00085472i,-0.0064237+0.011064i,-0.0013336+0.00049772i,-0.001136+0.0011259i,-0.00062778+0.0018822i,-0.0031811-0.00081043i,-0.00053752+0.00058036i,-0.00076677-0.00069736i,0.001493-0.0021967i,0.00070364-0.0026937i,-0.0002593-0.00036846i,5.439e-05+0.00066708i,0.0017587-4.4759e-05i,-0.013827-0.0034497i,0.0018388+0.0016261i,-0.0008582+0.0022781i,-0.00090807+0.001765i,0.0025569+0.0036532i,-1.7482e-05+0.00021447i,-0.00079366-7.491e-05i,0.0010246+0.0014399i,-0.0019033+0.00039537i,0.010989+0.023696i,-0.026317-0.0016615i,-0.015429+0.018027i,-0.038277-0.0017756i,-0.041897+0.033812i,-0.028982-0.0047581i,0.0035204+0.018329i,-0.007576-0.0036169i,-0.025111-0.0042314i,-0.025475+0.0031461i,-0.0036152+0.034998i,-0.0013276+0.0036026i,0.0058645-0.0034477i,0.00048329-0.01216i,8.3277e-05+0.011967i,0.0037812+0.022205i,0.0044168+0.0018306i,0.0043041-0.0017959i,0.00093477+8.1787e-05i,0.0075213-0.0057027i,0.0095064+0.0035219i,0.0062543+0.0053877i,-0.0080964+0.0004294i,0.0054298+0.0074359i,0.0065+0.0022928i,0.0084127+0.00269i,-0.00087656+0.00072941i,0.00269-0.0052074i,0.0048505-0.010636i,-0.0010946+0.00099904i,-0.033009-0.00038091i,-0.0005059-0.0096396i,-0.0030422-0.0022586i,0.0049503-0.0015408i,0.0010075+0.00049714i,-0.00079339-0.016673i,0.0030872-0.0071422i,0.0031453+0.0032758i,0.0035182-6.4716e-05i,0.0049179-0.0066902i,-0.008869-0.002366i,-0.0036566-0.00052978i,0.00041901-0.0044146i,-0.0033518-0.0022954i,-0.0061045-0.0050624i,-0.024414+0.025996i,-0.016486+0.012189i,-0.012487-0.013567i,-0.0067718+4.5568e-05i,0.0028163+0.023071i,-0.0057408+0.013521i,0.0032381+0.0039477i
0.010513+0.048413i,0.0072232+0.022321i,0.0067429+0.032438i,8.3032e-05+0.023229i,0.0056561+0.0088664i,0.0042628+0.00075575i,0.013619+0.023711i,0.017018+0.0042644i,0.010914-0.0025933i,0.00075668+0.0046634i,0.0032324-0.0021594i,0.0056404-0.0029728i,-0.0021882-0.0010256i,0.0031196-0.0018018i,0.002165+8.359e-05i,0.0080341+0.00045535i,0.0096498-0.00063135i,0.00028609+0.00014952i,-0.0050253-0.0029694i,-0.0012591+0.00072583i,-0.001213-0.00032856i,-0.0022922-0.002003i,-0.0026589-3.6792e-06i,-0.0021208+0.011749i,-0.0011282+0.0010291i,-0.00062283+0.0015552i,0.00016305+0.0018937i,-0.0032827+0.00095413i,-0.0004256+0.00044101i,-0.0010012-0.00050468i,0.00030896-0.0025006i,-0.00081984-0.003294i,-0.00056028-0.00016462i,3.6163e-05+0.00058439i,0.0011734-0.00056895i,-0.014248+0.0012632i,0.0018976+0.00093673i,0.00019109+0.0022561i,-0.00079331+0.0021785i,-0.00072748-0.0004787i,0.00074262-0.0007332i,-0.00033736-9.7882e-05i,0.00092613+0.0010926i,-0.0014857+0.0010276i,0.013869+0.020881i,-0.028456+0.0021073i,-0.013678+0.017432i,-0.033245+0.0062004i,-0.029248+0.038451i,-0.030765+0.0028538i,0.0069984+0.011214i,-0.0055802-0.0059339i,-0.024177-0.0018304i,-0.022813+0.0080252i,0.0057342+0.032657i,-0.0011609+0.0030388i,0.0018691-0.0033364i,-0.0049726-0.011819i,0.006275+0.011347i,0.0087697+0.017581i,0.0023306+0.00057967i,0.0025286-0.0048078i,0.0019648+0.0025003i,0.0035066-0.0075984i,0.010638-0.0019927i,0.0083513+0.0034423i,-0.0075995+0.0043921i,0.0098523+0.0068359i,0.0086952-0.00019796i,0.010081-0.0022828i,5.5572e-05+0.001291i,0.0012566-0.0059436i,-0.0003527-0.010075i,0.00081165+0.002497i,-0.030182+0.012457i,-0.0026703-0.0085978i,-0.0027323-0.00012674i,0.0056926-0.0054841i,0.0013551+0.00080038i,-0.0073405-0.016166i,0.00021963-0.0069164i,0.0042629+0.0014357i,0.0036222-0.00070053i,0.0031123-0.008185i,-0.0091877+0.0031352i,-0.0033626+0.0017546i,-0.005038-0.0029402i,-0.0047557-0.0017112i,-0.0062862-0.0028002i,-0.020966+0.026656i,-0.01547+0.016015i,-0.015433-0.016402i,-0.0049997+0.0014733i,0.0065042+0.023185i,-0.0048185+0.01529i,0.0043638+0.00099617i
0.018497+0.04567i,0.011474+0.020174i,0.013442+0.030268i,0.0035402+0.022408i,0.0072341+0.0087988i,0.0046476+0.00040521i,0.015841+0.018439i,0.017013+0.0011769i,0.0099978-0.0048456i,0.0015815+0.0044357i,0.0027424-0.0026701i,0.003429-0.0046203i,-0.0022408-0.00011158i,0.0021098-0.0019472i,0.0021606-0.00023742i,0.0067996-0.0017292i,0.0086361-0.0033952i,8.7513e-05+0.00017088i,-0.0050854-0.0010664i,-0.00065115+0.00090704i,-0.00053122-0.00072609i,-0.0023597-0.0015976i,-0.0022271+0.00070123i,0.0015447+0.011325i,-0.00079265+0.0011634i,-8.5113e-05+0.0017991i,0.0007982+0.0013629i,-0.0024111+0.0018523i,-0.00056582+0.00028404i,-0.0013826-0.00018959i,-0.00080477-0.0022515i,-0.0030417-0.0025254i,-0.00042615+8.9083e-05i,0.0001605+0.0005955i,0.00053495-0.00083645i,-0.012753+0.0054582i,0.0018502+0.00021475i,0.00067532+0.0016574i,0.00034992+0.0028927i,-6.9847e-05-0.00045966i,-0.00049458-0.0002985i,0.00055351-0.0011794i,0.00080213+0.0010748i,-0.0010351+0.0014883i,0.016685+0.018602i,-0.027684+0.0088058i,-0.013271+0.017049i,-0.027065+0.0097288i,-0.016531+0.040133i,-0.026838+0.013309i,0.0058414+0.0031947i,-0.0058784-0.011628i,-0.020697+0.00023548i,-0.01705+0.012884i,0.013469+0.027041i,-0.0014556+0.0027785i,-0.0019257-0.0018648i,-0.0097518-0.0086044i,0.010531+0.00699i,0.009924+0.011525i,-0.00071754+0.0016681i,-0.00056441-0.0074185i,0.0054781+0.0013577i,-0.00058074-0.0070516i,0.0076842-0.0060919i,0.009675+0.00015411i,-0.0062615+0.0071961i,0.013508+0.0015209i,0.0085269-0.0055639i,0.0080628-0.0071707i,0.0013897+0.0012763i,-0.00056852-0.0061735i,-0.0045084-0.0063661i,0.0029181+0.0014579i,-0.022606+0.024021i,-0.0048598-0.006941i,-0.0014481+0.0010729i,0.0017406-0.0073197i,0.0023641+0.00052799i,-0.012845-0.012416i,-0.0013625-0.0050771i,0.0041468-0.00085522i,0.0032961-0.0015272i,0.00030596-0.0083652i,-0.0053584+0.0070665i,-0.0017869+0.0032425i,-0.0056942+0.0011794i,-0.006906-0.00015714i,-0.0060788-0.0017897i,-0.015313+0.030551i,-0.0074736+0.02021i,-0.021649-0.016455i,-0.0027665+0.00031558i,0.0097123+0.021353i,-0.0020841+0.017627i,0.0030294-0.002905i
