-0.0239-0.017539i,-0.032412-0.031991i,-0.022055-0.019566i,-0.032578-0.020265i,-0.023926+0.0042769i,-0.028842-0.017344i,-0.058432-0.043591i,-0.041564-0.040636i,-0.030219-0.02354i,0.0053493+0.0058549i,-0.0034721+0.0066926i,-0.011163+0.010799i,0.0040138+0.0068147i,-0.0038404-0.0028548i,0.0028323+0.0015975i,0.0038891+0.028268i,0.026434+0.032266i,4.5733e-05+0.00035611i,-0.0029203-0.0027455i,0.0074437+0.0039629i,0.0022768+0.00062077i,-6.8164e-05+0.0026028i,-0.00057585+0.00041812i,-0.03224-0.00048102i,-0.0031285-0.0048499i,7.9641e-06+0.0026181i,0.0040462-0.0011259i,0.00059664-0.00040949i,-0.00041953-0.00049717i,-0.0010189-0.001932i,-0.0019895-0.00068319i,-0.003828-0.0034809i,-0.0032017-0.0049072i,0.00023298-0.0012733i,0.00034822-0.0029892i,-0.0013296+0.025099i,0.0021969-0.0028266i,0.0022804-0.0039576i,0.0043383-0.0025222i,-0.006544-0.0018705i,0.00084064+0.0014528i,0.010059-0.0005188i,-0.0014901-0.00018781i,-0.0034487+0.0017706i,-0.0092083-0.0022221i,-0.019057+0.021964i,-0.0079287-0.086054i,-0.0025137-0.06069i,-0.0212-0.052949i,-0.010783-0.04547i,0.05406-0.025603i,0.024462-0.067063i,0.041427-0.053888i,0.018735-0.03826i,0.025973-0.019661i,0.011953+0.011784i,0.02553-0.029631i,-0.011365-0.0011469i,-0.00071584-0.00097373i,-0.0072335-0.0014169i,-0.0050356-0.029002i,-0.020531+0.026989i,0.0072765-0.0094988i,-0.010553-0.0032976i,-0.0024498-0.0018781i,-0.00062681-0.014604i,-0.0080433+0.0049876i,0.0056408+0.010146i,-0.010602+0.030941i,0.0068203+0.0076087i,-0.0035811-0.0018511i,-0.0021224-0.0015773i,-0.012194-0.0057215i,0.00017316-0.0039025i,-0.032968+0.0031872i,0.0034405-0.0091399i,-0.0071965-0.0018076i,-0.0052248-0.0028006i,0.0066772+0.001673i,-0.010581+0.00058252i,0.0022315-0.00017062i,0.0057252+0.0075585i,0.0057749+0.001003i,-0.0078411-0.0098515i,0.0023665+0.008136i,-0.019439+0.0075564i,0.0035273+0.0057039i,-0.02088-0.0086635i,-0.027185-0.0047333i,0.0098037-0.060923i,0.018549-0.014677i,-0.050967-0.029228i,-0.024253+0.0019746i,0.01898+0.010715i,-0.027543+0.012026i,-0.012971-0.0080093i
-0.011489+0.012736i,-0.020894+0.041098i,0.0017843+0.040237i,-0.0099963+0.02405i,-0.00012119+0.020877i,0.0018625+0.023196i,-0.024956+0.01618i,-0.025866+0.033321i,0.00048136+0.017312i,-0.0013688-0.0014863i,-0.0010613+0.001695i,0.0042216+0.0033229i,0.0033458+0.0048667i,-0.0032656+0.0018306i,-0.0030781+0.0037142i,0.0010897-0.0066321i,-0.0084552-0.0016993i,-0.0020123+0.00026252i,0.00011129-0.001063i,-0.0010332-0.00040164i,0.0010166-0.0033814i,0.0011767-0.0026978i,0.00097398-0.0015133i,-0.0099816-0.0080653i,-0.0002312-0.00029046i,-0.0013817+0.00036155i,-0.0022325+0.00025323i,-0.0027165-2.9642e-05i,-0.00089303-0.00086192i,0.0010819-0.00065021i,-0.0017958+0.00024939i,0.0014385-2.0519e-05i,0.0019433-0.00069566i,0.00063338+0.00053068i,-0.00053534+0.0019035i,-0.00058434-0.0065898i,-0.001254+0.00084688i,0.0017+0.00019554i,0.00062574+0.002428i,0.0041842+0.0055805i,0.0009167-0.0013479i,-0.0018568-0.0012389i,-0.001894-0.002101i,0.0030298+0.0049413i,-0.0076697+0.0074972i,0.020603-0.057426i,-0.074065+0.014739i,-0.027755-0.018637i,-0.060757-0.047331i,-0.052645-0.017254i,-0.085881+0.0047835i,-0.073487+0.0024579i,-0.047824-0.033532i,-0.0077233-0.04544i,-0.037864-0.026096i,-0.0064724+0.00022015i,-0.030497+0.010039i,0.0079591+0.01117i,0.0099048+0.0070526i,0.0019269-0.0061542i,0.010071+0.0040025i,-0.011584-0.0036588i,0.0021011+0.011823i,0.0011033+0.0067672i,-0.00053417-0.0015331i,0.0058515+0.0019393i,0.00402+0.00013165i,-0.0051345+0.018901i,0.0001095+0.0096633i,0.00030686-0.0038689i,0.0083933-0.0057476i,0.0014836+0.0040481i,-0.0081602-0.0069924i,-0.0026727-0.001314i,0.021327-0.030815i,0.0049559+0.0088768i,0.0018289+0.0028998i,-0.0018314+0.0042497i,0.0035367-0.0040463i,0.019933+0.0027449i,0.0016532-0.0015907i,-0.0029486-0.0065213i,-0.00027045-0.0020152i,0.012101+0.0048142i,0.0056335-0.00039894i,0.0032167-0.0076242i,0.0046604+0.0052117i,-0.0053987+0.0035381i,0.013311+0.0069039i,-0.042778-0.038079i,-0.012699+0.004931i,-0.0017684-0.0019314i,-0.00070372+0.0032389i,-0.041199+0.011292i,-0.006565+0.0086347i,-0.012916+0.0035107i
-0.0088632+0.013677i,-0.013867+0.041708i,0.010761+0.033761i,-0.0054345+0.024723i,0.0026861+0.018611i,0.0062261+0.02183i,-0.02316+0.020009i,-0.018359+0.035453i,0.0042171+0.011969i,-0.0018579-0.00059148i,-0.00025339+0.0028882i,0.0049478+0.0010482i,0.0040972+0.0030957i,-0.0014831+0.0028525i,-0.0022891+0.0047031i,-0.003148-0.0050319i,-0.0095986+0.0027766i,-0.0017436+0.0010415i,0.00084543-0.00065644i,-0.00052781-6.1696e-06i,-9.5936e-05-0.0033904i,0.00097865-0.0022179i,0.00078588-0.0013344i,-0.01126-0.0045702i,2.4609e-05-0.00022745i,-0.0013169+0.00074266i,-0.0014795+0.00072837i,-0.002307+0.000678i,-0.0010062-0.00065428i,0.0010252-0.00078312i,-0.0015842+0.0011427i,0.00098202-0.00029702i,0.0010635-0.0013466i,0.00024824+0.00048464i,-0.0010024+0.0015823i,-0.00028799-0.0052985i,-0.00087142+0.00092573i,0.0010028-0.0003845i,0.00068127+0.0026129i,0.0052824+0.0029885i,0.00050701-0.0017942i,-0.0026433-0.00067333i,-0.003059-0.00089068i,0.0043347+0.0041712i,-0.0058078+0.0055384i,0.00274-0.066918i,-0.064683+0.029115i,-0.034608-0.021304i,-0.073648-0.038242i,-0.052998-0.0058672i,-0.076837+0.021327i,-0.070589+0.01693i,-0.041313-0.030631i,-0.01369-0.044239i,-0.044691-0.011747i,-0.0072805+0.00048579i,-0.02394+0.022581i,0.010107+0.0058455i,0.011759+0.00066247i,-0.0024681-0.011073i,0.0075184+0.0033435i,-0.01147+0.0025143i,0.0071061+0.010094i,0.003608+0.0077803i,-0.00097993-0.0010027i,0.0067725+0.0020448i,0.0047868-3.2121e-05i,0.0038621+0.016273i,0.004444+0.00551i,-0.0033951-0.0055237i,0.0023317-0.0067776i,0.0031606+0.0045614i,-0.010383-0.00011906i,-0.0022484+0.001732i,0.0071733-0.0318i,0.008081+0.0076998i,0.004085+0.0023125i,0.001875+0.0033875i,-0.00011312-0.002077i,0.017338-0.0064312i,-8.1731e-05-0.002304i,-0.0058762-0.0042707i,-0.0029593-0.0010573i,0.0106+0.00038257i,0.0048847-0.0002663i,0.00049394-0.0058575i,0.0062937+0.003556i,-0.0052948+0.0053546i,0.013373+0.0018589i,-0.049707-0.031969i,-0.0067003-0.0057172i,-0.0028866-0.002781i,0.001049+0.0020304i,-0.03463+0.023735i,-0.0040705+0.0094526i,-0.010112+0.005533i
-0.0058166+0.013873i,-0.0075172+0.042132i,0.015453+0.026092i,-0.0010661+0.023839i,0.0063316+0.017465i,0.010187+0.019321i,-0.01989+0.023751i,-0.011126+0.035264i,0.0035935+0.0077382i,-0.0019765+0.00062124i,0.0014263+0.003453i,0.0022327-0.00036865i,0.0042997+0.0018167i,-0.00075347+0.0029357i,-0.00085533+0.0055898i,-0.0060793-0.0014081i,-0.008085+0.0074833i,-0.00082608+0.0016197i,0.0016334-0.0017283i,0.00021866-0.00035218i,-0.0011062-0.0030542i,0.00090208-0.002713i,0.00080468-0.0015109i,-0.011897-0.0014434i,-0.00010169-0.00019187i,-0.0008432+0.0014001i,-0.0010056+0.00058803i,-0.0015452+0.0016028i,-0.0012214-0.00061287i,0.00064701-0.0013857i,-0.00083372+0.0016877i,0.00062828-0.00055587i,0.0002697-0.0013436i,0.00051703+0.00027304i,-0.00058432+0.0023967i,0.00037134-0.0057438i,-0.00080929+0.00087037i,0.00049322-0.00074448i,0.0024605+0.001441i,0.0050304+0.0010073i,-6.0998e-05-0.0018131i,-0.0019117+0.00048583i,-0.0037176+0.00057077i,0.0052262+0.0023915i,-0.0053576+0.0042648i,-0.019099-0.067694i,-0.050841+0.038182i,-0.043129-0.017845i,-0.080886-0.023525i,-0.048386+0.0027762i,-0.062007+0.032225i,-0.057484+0.029564i,-0.042985-0.032701i,-0.019036-0.043476i,-0.044096+0.0031752i,-0.007343+0.0018401i,-0.011951+0.028211i,0.010446+0.0012695i,0.0080445-0.005123i,-0.012471-0.011217i,0.0077779+0.0010972i,-0.0080733+0.0063722i,0.010321+0.0051173i,0.0060835+0.0066894i,-0.0030873+0.00043168i,0.0067799-0.001737i,0.0058798-0.0025325i,0.0078431+0.01045i,0.0041278+0.0016671i,-0.0082351-0.0028414i,-4.3816e-05-0.0048927i,0.0059194+0.0034754i,-0.0065189+0.0083001i,0.00017702+0.0030852i,-0.0032004-0.02844i,0.011885+0.0038021i,0.0042693+0.00018814i,0.0025433+0.0013765i,0.0006335-0.00013698i,0.011125-0.010765i,-0.0023034+0.00032482i,-0.0073307-0.00079002i,-0.0034963+0.0023396i,0.007131-0.0023537i,0.0073991-0.0016992i,0.00019554-0.0055776i,0.0092482+0.00096353i,-0.0024335+0.0065652i,0.01189-0.0025661i,-0.054941-0.021262i,-0.012746-0.014623i,-0.0016705-0.0034801i,0.00359-0.000647i,-0.023637+0.029912i,-0.0034554+0.0051464i,-0.007108+0.00092393i
-0.0031483+0.012966i,-0.00030206+0.042225i,0.017393+0.018959i,0.0036072+0.022734i,0.010415+0.013971i,0.013485+0.015833i,-0.015368+0.026803i,-0.0054429+0.033123i,0.0028971+0.0063905i,-0.0012873+0.0016741i,0.00281+0.0023705i,0.0010683+0.0013894i,0.0041217+0.00071742i,-0.00058595+0.0036788i,0.00066971+0.0056691i,-0.0060445+0.0035496i,-0.0036773+0.010811i,7.4958e-05+0.0014062i,0.00068757-0.0024166i,-2.5383e-05-0.0009978i,-0.0017632-0.0025427i,0.00032951-0.0029703i,0.00055748-0.002087i,-0.011491+0.0023491i,5.4151e-05-0.0003298i,0.00021546+0.0010809i,-0.00091343+0.00048265i,-0.00041194+0.0014246i,-0.001561+6.8788e-05i,-0.00022243-0.0013247i,-3.4812e-05+0.0017377i,0.00025984-0.0006298i,-0.00053997-0.0011398i,0.0005202+6.0658e-05i,0.00074204+0.0022416i,-0.00044098-0.0076435i,-0.00043132+0.0012977i,-0.00030149-0.00056747i,0.0018841-0.00059691i,0.0046105-0.00031826i,-0.00045147-0.0016964i,-0.0011829+0.00040573i,-0.0033379+0.0022686i,0.0043223+0.00014321i,-0.005616+0.0041754i,-0.038189-0.057005i,-0.037136+0.040584i,-0.049551-0.010747i,-0.084801-0.0085898i,-0.042561+0.0078457i,-0.049171+0.035742i,-0.043713+0.031776i,-0.046701-0.028766i,-0.024906-0.039623i,-0.039575+0.01446i,-0.0075636+0.0033369i,-0.00075226+0.02797i,0.0092438-0.0031188i,0.002729-0.0064757i,-0.019979-0.0034306i,0.0050118-0.00017305i,-0.0041099+0.0078649i,0.0094792-0.00095443i,0.0083862+0.005406i,-0.0029383+0.0033277i,0.0034548-0.0028393i,0.0049481-0.0062076i,0.007633+0.0041179i,0.0016742-4.6482e-05i,-0.0087065+0.0015384i,-0.0016458-0.0036271i,0.0069048+0.0011747i,0.0025527+0.0096147i,0.001784+0.0019702i,-0.0094403-0.022415i,0.012095-0.00098104i,0.0038224-0.0012751i,0.0031061+0.0012799i,0.00075675-0.00039421i,0.0059322-0.010957i,-9.0587e-06+0.0027589i,-0.0068767+0.0027322i,-0.0010431+0.004455i,0.0048605-0.0020806i,0.0072661-0.0060837i,-0.0019692-0.0051179i,0.0083333-0.004551i,-0.00032434+0.0055943i,0.009905-0.0065603i,-0.05296-0.0086556i,-0.023344-0.015198i,-0.0021709-0.0077489i,0.003589-0.005824i,-0.01453+0.030564i,-0.0071538+0.0045995i,-0.010838-0.00075107i
-0.0013052+0.012031i,0.0061634+0.040366i,0.016711+0.01347i,0.0079677+0.020191i,0.012746+0.0094055i,0.015276+0.011873i,-0.0099468+0.028361i,-0.0013252+0.030853i,0.0034812+0.0057975i,-3.2086e-06+0.0020675i,0.0031702+0.0014062i,0.0018332+0.0024337i,0.0038828-0.00030725i,0.0010324+0.0045238i,0.0022246+0.0054101i,-0.0035776+0.0069494i,0.0014101+0.011316i,0.00053966+0.001123i,0.00032408-0.0022621i,-0.00056277-0.0011339i,-0.0026097-0.0018454i,-0.00046169-0.0028172i,-0.00028815-0.0023762i,-0.0090961+0.0051609i,-0.00033986-0.00070564i,0.00015694+0.0002413i,-0.00083502+0.00035882i,7.3319e-05+0.00083379i,-0.0012698+0.00087807i,-0.00037315-0.00080122i,0.00050862+0.001495i,0.00013251-0.00086014i,-0.00096427-0.00050114i,0.00029308-0.00011441i,0.001068+0.0015187i,-0.0031305-0.0087153i,-0.00011377+0.001247i,-0.00032772+0.00022597i,0.00059784-0.00090463i,0.0039876-0.00098637i,-0.0008797-0.0015885i,-0.00098086+0.00042469i,-0.0018881+0.0033779i,0.0029463+0.00052686i,-0.0050402+0.0049756i,-0.046048-0.040167i,-0.026887+0.03841i,-0.05427-0.0011627i,-0.08626+0.0079435i,-0.038587+0.0088751i,-0.038439+0.036613i,-0.034241+0.030983i,-0.048547-0.025009i,-0.027786-0.035743i,-0.032488+0.02457i,-0.0069274+0.0049943i,0.01134+0.023565i,0.0067528-0.005571i,-0.0017165-0.0052166i,-0.02146+0.0055602i,0.0037256+0.00015363i,-1.8206e-05+0.0086678i,0.0046591-0.0034626i,0.010386+0.0025799i,-0.001075+0.0052208i,0.0013362-0.0015099i,0.0021113-0.0087182i,0.0040342+0.0026495i,-0.00052187+0.0010714i,-0.0081381+0.007201i,-0.0028259-0.0013383i,0.0069059-0.0013307i,0.0067902+0.0053651i,0.0025042+0.0010642i,-0.012375-0.019746i,0.010271-0.0056608i,0.0026451-0.0023132i,0.0049942+0.00057935i,0.00047114-8.4927e-05i,0.0031659-0.0096091i,0.0021925+0.0017266i,-0.0041409+0.0060025i,0.0020108+0.0044751i,0.004504-0.0019092i,0.0031679-0.010967i,-0.0028211-0.0036353i,0.0039697-0.0075527i,3.2779e-06+0.0041173i,0.0052274-0.010182i,-0.047093-0.0023748i,-0.033175-0.0065154i,-0.0055219-0.009743i,0.00061892-0.01035i,-0.0078025+0.029543i,-0.010164+0.0074611i,-0.012369+0.0020367i
0.00033103+0.011126i,0.011872+0.038078i,0.015851+0.010619i,0.011177+0.016488i,0.012864+0.0046918i,0.016425+0.0085571i,-0.0041374+0.02802i,0.0017725+0.028892i,0.0042553+0.003778i,0.00065996+0.0014061i,0.0027579+0.00047587i,0.0029203+0.0025827i,0.0033031-0.001177i,0.002769+0.0036336i,0.0034768+0.0046009i,-0.00015235+0.0084893i,0.0060039+0.0094362i,0.00096899+0.00089i,-0.00027045-0.0025072i,-0.0011419-0.0010015i,-0.0027678-0.00057056i,-0.00091549-0.002556i,-0.00098912-0.0020238i,-0.0071366+0.0059027i,-0.00085706-0.00046592i,-0.00025536+2.1417e-05i,-0.00090764+0.00040546i,0.00029198+0.00020098i,-0.00049458+0.0011594i,-0.00039954-0.00066883i,0.0010104+0.0012725i,-0.000454-0.00099064i,-0.00096473+7.2824e-05i,-4.4178e-05-0.00022429i,0.0013335+0.0014367i,-0.0062387-0.0083679i,4.3157e-05+0.0010005i,0.00018646+0.00033706i,3.0915e-05-0.00073584i,0.0034393-0.0016124i,-0.0012105-0.0010197i,-0.00085336+0.00056854i,-0.00013248+0.0033862i,0.0029964+0.0013264i,-0.0037178+0.0058031i,-0.044467-0.02801i,-0.019922+0.035949i,-0.05522+0.012137i,-0.08151+0.027579i,-0.039479+0.010027i,-0.030216+0.035291i,-0.026585+0.029304i,-0.050062-0.019753i,-0.03148-0.032281i,-0.023559+0.029845i,-0.0061751+0.0068587i,0.017597+0.010346i,0.0045523-0.0076886i,-0.0045348-0.0019168i,-0.017693+0.014508i,0.0035602-0.00060429i,0.0042628+0.006495i,0.0016256-0.0017568i,0.011705-0.0020071i,0.0011371+0.0062171i,0.00082273-0.000273i,-0.0030571-0.0099911i,0.0025801+0.0044063i,-0.00045961+0.0033915i,-0.0026409+0.011799i,-0.00158+0.00079867i,0.0058591-0.0031501i,0.0078927+0.0014791i,0.0034863-0.00048269i,-0.01833-0.018128i,0.0062825-0.0083113i,0.00098782-0.0028011i,0.0041857-0.0018027i,0.0007572+0.0010258i,0.0021214-0.0079055i,0.0026768+4.6539e-05i,-0.00046763+0.006659i,0.0036002+0.0020035i,0.0037133-0.0029549i,-0.0035135-0.010538i,-0.0032337-0.0032885i,6.8181e-05-0.007731i,0.00033287+0.0030295i,-0.0010391-0.010187i,-0.044067+0.0018977i,-0.030475+0.0080962i,-0.0093299-0.0097474i,-0.0042591-0.011909i,-0.0033885+0.027841i,-0.0084981+0.012239i,-0.0095616+0.0038603i
0.0016999+0.0101i,0.017511+0.035563i,0.015904+0.0084545i,0.01282+0.012406i,0.01149+0.0013613i,0.017349+0.005104i,0.00084355+0.026494i,0.0045176+0.027672i,0.0043784+0.0021972i,0.00070863+0.0011194i,0.0023239+0.00049279i,0.0044724+0.0023998i,0.0024624-0.0016683i,0.0035193+0.0018935i,0.004228+0.0035964i,0.0031011+0.0082549i,0.009025+0.0060327i,0.0013192+0.00059175i,-0.00096191-0.0024956i,-0.001537-0.00042066i,-0.0022205+0.00038479i,-0.0015033-0.0024141i,-0.0013856-0.0015414i,-0.0061362+0.0075348i,-0.0009349-9.6122e-05i,-0.00060512+0.00032196i,-0.00099869+0.00081272i,-0.00018112-0.00025332i,-0.00010524+0.00082441i,-0.00054212-0.00065968i,0.0014747+0.00078526i,-0.00058692-0.00040971i,-0.00042895+0.00026579i,-0.00016695-0.00010189i,0.00183+0.00049826i,-0.0092454-0.0070353i,0.00033129+0.00097376i,0.00015709-0.00012448i,-0.00038326-0.00059847i,0.0027548-0.002288i,-0.0011097-0.00052385i,-0.00046342+0.00060099i,0.00080119+0.0022555i,0.0034881+0.00094278i,-0.001843+0.0058004i,-0.04328-0.023664i,-0.014961+0.03416i,-0.04935+0.024715i,-0.070709+0.044141i,-0.039675+0.015841i,-0.023715+0.034689i,-0.021703+0.026589i,-0.050889-0.015084i,-0.033803-0.026859i,-0.015327+0.033199i,-0.0034231+0.0072564i,0.012421-0.0017816i,0.0010975-0.01011i,-0.0047632+0.0011549i,-0.011161+0.018797i,0.0020282-0.0016928i,0.0056074+0.0024757i,0.0020388-0.00049511i,0.009761-0.0054774i,0.0049014+0.0060477i,0.0011234+0.001482i,-0.0079061-0.0049359i,0.0041231+0.0056465i,0.0011627+0.0050326i,0.0035454+0.011398i,-0.00074836+0.0010844i,0.0045835-0.0045058i,0.0081549-0.0038033i,0.0016224-0.0017927i,-0.024959-0.011501i,0.0028262-0.0085878i,-0.00033917-0.0017669i,0.0041577-0.001061i,0.0017458+0.00077267i,0.0024735-0.0088348i,0.0021051-0.0014176i,0.001998+0.0050224i,0.0034021+0.0009672i,0.003426-0.0024485i,-0.0069966-0.0064537i,-0.0045962-0.0024229i,-0.0034511-0.0062708i,0.00016157+0.0020015i,-0.0045378-0.00696i,-0.040675+0.0066277i,-0.024485+0.010397i,-0.0093924-0.0087072i,-0.0080337-0.011142i,0.0014231+0.024808i,-0.0061814+0.013179i,-0.0086754+0.0038295i
0.0028233+0.0089129i,0.023057+0.032246i,0.016611+0.0067546i,0.013289+0.0091072i,0.0095642-0.00069121i,0.017481+0.0016756i,0.0052304+0.024217i,0.0075713+0.026775i,0.0042839+0.00027277i,0.00092253+0.00092571i,0.0027242+0.00058421i,0.0059724+0.00058751i,0.0016675-0.0017694i,0.0029032+0.00087313i,0.0048586+0.0027092i,0.0057757+0.0064471i,0.010172+0.0024738i,0.0016955-9.0818e-05i,-0.0016534-0.0022469i,-0.0014477+0.00049056i,-0.0014217+0.00097928i,-0.0019989-0.0016994i,-0.0015316-0.0011435i,-0.003224+0.0090071i,-0.00089337+0.00026646i,-0.00037773+0.00071043i,-0.00074253+0.0013152i,-0.00089077-4.5838e-06i,1.1871e-05+0.0006988i,-0.00063709-0.00050451i,0.0015509+0.00011813i,-0.00022798-0.00042959i,-0.00047295+0.00015874i,-0.00023679-1.8976e-06i,0.0015464-0.0003005i,-0.011758-0.0038972i,0.00044874+0.00088784i,-0.0001764-9.0107e-05i,-0.00097387-0.00036273i,0.0020901-0.0025258i,-0.00083758-0.00040042i,-0.00024033+0.00045044i,0.00081211+0.0014248i,0.0037342+0.00038897i,-0.00044403+0.0045856i,-0.046171-0.020144i,-0.010917+0.032409i,-0.041466+0.03361i,-0.055713+0.054851i,-0.038492+0.021591i,-0.01701+0.033035i,-0.018254+0.025469i,-0.051723-0.0099867i,-0.034762-0.021117i,-0.0065747+0.034378i,-0.0016601+0.0066214i,0.0051514-0.0038764i,-0.003025-0.010763i,-0.0032242+0.0045078i,-0.0043842+0.019199i,-2.0664e-05-0.0021351i,0.0048088-0.0011127i,0.0017878-0.00020801i,0.0070501-0.0087413i,0.0078513+0.0032951i,0.0026339+0.0018978i,-0.0083811-0.001079i,0.0062887+0.0059916i,0.0036544+0.0056522i,0.0087655+0.0088477i,-0.00030031+0.001581i,0.0037268-0.0052413i,0.0053169-0.007665i,0.00061144-0.0006206i,-0.028691-0.0018055i,0.00055164-0.008316i,-0.00041656-0.00049936i,0.004584-0.0010974i,0.0021374+0.0001366i,0.00097008-0.011365i,0.0004648-0.001788i,0.003573+0.0037949i,0.0035985-0.00017411i,0.0044826-0.0032219i,-0.008326-0.0034554i,-0.0060552+4.9523e-05i,-0.0064753-0.0039099i,0.00030181+0.000695i,-0.0057468-0.00407i,-0.036889+0.0099464i,-0.022269+0.011654i,-0.0088086-0.010296i,-0.010923-0.0093369i,0.0019154+0.022162i,-0.005729+0.013139i,-0.0070426+0.0040772i
0.0040356+0.0079438i,0.028849+0.027541i,0.01848+0.0044593i,0.013314+0.0065043i,0.0082734-0.0011949i,0.017127-0.001461i,0.0087068+0.020861i,0.011539+0.025361i,0.0034726-0.001522i,0.00090802+0.00062212i,0.0030438-0.00017493i,0.005572-0.0022419i,0.001097-0.0016152i,0.0027+0.00037902i,0.0054476+0.0015078i,0.0067632+0.0038756i,0.0096558-0.0010777i,0.0011539-0.00085036i,-0.0024378-0.0015841i,-0.00075187+0.00094493i,-0.00049268+0.00092968i,-0.0020211-0.0012499i,-0.0017226-0.00073012i,-8.3464e-06+0.0088734i,-0.00075288+0.00047196i,-5.675e-05+0.00073253i,-8.5596e-05+0.0015694i,-0.0009646+0.00069692i,0.0002285+0.00034068i,-0.00067019-0.00039729i,0.0012967-0.00048519i,-0.00062686-0.00050738i,-0.0005541+0.00042375i,-0.00033593+8.0444e-05i,0.0010354-0.00075346i,-0.012381+0.00026157i,0.00050375+0.00067823i,-5.2192e-05+2.3058e-05i,-0.0012866+0.00021957i,0.0014017-0.0027293i,-0.00094399-0.00036496i,-2.0517e-05+0.00030465i,0.00048596+0.0010905i,0.0038098-0.00020418i,-4.9813e-05+0.00343i,-0.051053-0.013052i,-0.0069113+0.030579i,-0.030633+0.038844i,-0.041173+0.061541i,-0.036003+0.029823i,-0.010854+0.029688i,-0.012392+0.024002i,-0.051862-0.0035626i,-0.03353-0.015219i,0.000963+0.033394i,-0.0010701+0.005854i,0.00032452-0.0041612i,-0.0079955-0.0099368i,0.00065148+0.0053447i,6.082e-05+0.018025i,-0.0025414-0.0012878i,0.0029214-0.0042814i,0.0026836+0.0015536i,0.0022764-0.010715i,0.0088729-0.0012096i,0.0039107+0.0012669i,-0.0083905+0.0033106i,0.0098739+0.0049392i,0.0072014+0.0040656i,0.01237+0.0034979i,0.00068235+0.0020958i,0.0023423-0.0063124i,-0.0005803-0.0086645i,0.0016283+0.00077399i,-0.028644+0.009138i,-0.0014971-0.0079287i,0.00035259+0.00068476i,0.0053633-0.0042296i,0.0026398-3.1332e-05i,-0.0038416-0.012902i,-0.00067278-0.0011516i,0.0044397+0.0019335i,0.003352-0.00070221i,0.0037285-0.0047487i,-0.0085135+0.0010041i,-0.0055655+0.003317i,-0.00798-0.00048936i,-0.001039-0.0007348i,-0.006006-0.0019438i,-0.03433+0.012464i,-0.020396+0.016265i,-0.011328-0.01424i,-0.010635-0.0071002i,0.0035111+0.02138i,-0.0059393+0.015648i,-0.0046771+0.0022625i
0.0051467+0.0065503i,0.033366+0.021269i,0.019786+0.00025244i,0.013325+0.0042528i,0.0079339-0.0014703i,0.016569-0.0043221i,0.010914+0.017332i,0.015105+0.022785i,0.002041-0.002654i,0.00077916+0.00061178i,0.0027729-0.0009333i,0.0035949-0.0038077i,0.00067017-0.0014401i,0.0023307-2.5826e-05i,0.0054903+7.7532e-05i,0.0064171+0.001891i,0.0081067-0.0036248i,0.00064706-0.00104i,-0.0026063-0.00063513i,-8.1382e-05+0.0009443i,0.00028273+0.00042166i,-0.001991-0.00089236i,-0.0016435-0.00031729i,0.0027367+0.0083627i,-0.00050109+0.00052732i,0.00013561+0.00072724i,0.00054163+0.0014002i,-0.00053638+0.0011504i,8.6104e-05-7.6898e-05i,-0.00087822-0.00030993i,0.00088823-0.00085236i,-0.0010219-8.9589e-05i,-0.00025906+0.00070923i,-0.00029974+0.00030577i,0.00049117-0.0011322i,-0.011303+0.0038386i,0.00058481+0.00041498i,-0.00015973-0.00013837i,-0.0011051+0.00092541i,0.00061377-0.0030041i,-0.00097369-1.5432e-05i,1.3409e-05-5.6469e-05i,0.00038045+0.0011903i,0.003982-0.00095026i,9.9427e-05+0.0028236i,-0.053051-0.0020683i,-0.0047829+0.02891i,-0.021569+0.039956i,-0.024957+0.06611i,-0.029023+0.038774i,-0.0072416+0.02487i,-0.0087704+0.018963i,-0.048935+0.0026634i,-0.030406-0.0096147i,0.0092685+0.03072i,-0.0007534+0.0059303i,-0.0047526-0.0021391i,-0.011718-0.0064867i,0.0033673+0.0031478i,0.0041486+0.016789i,-0.0053482+0.0010902i,-0.00082502-0.0063107i,0.0050019+0.00046735i,-0.00277-0.0096675i,0.0065639-0.0047739i,0.0049901-0.00041818i,-0.0068114+0.0069406i,0.012641+0.00017922i,0.0086531-0.00056623i,0.011896-0.0043115i,0.0021951+0.0017511i,6.0407e-05-0.0067283i,-0.0041725-0.0052679i,0.003117-0.00047485i,-0.023386+0.021806i,-0.0034394-0.0065586i,0.0018719+0.00082734i,0.0024441-0.0063462i,0.0031372-0.00076519i,-0.0094184-0.010596i,-0.00026296+0.00058629i,0.00458-0.00013026i,0.0025942-0.0015818i,0.0024573-0.0054656i,-0.0063176+0.004617i,-0.00308+0.0054022i,-0.0077607+0.0036977i,-0.0032183-0.00036631i,-0.0056772-0.00051351i,-0.030342+0.016813i,-0.012173+0.019547i,-0.017741-0.014919i,-0.0098441-0.0071112i,0.0046907+0.020745i,-0.0031249+0.018875i,-0.0047916-0.0014022i
