-0.022786-0.039626i,-0.010081-0.048832i,-0.017276-0.045644i,-0.030762-0.035951i,-0.029609-0.017521i,-0.051072-0.028722i,-0.059943-0.026031i,-0.045352-0.039273i,-0.029411-0.037251i,0.0075304+0.011941i,-0.0058975+0.01596i,-0.0048928+0.014814i,0.0097091+0.022067i,-6.4872e-05+0.0051616i,0.0035127+0.0031502i,0.0068357+0.018148i,0.027805+0.040191i,-0.002551-0.001069i,-0.0040804-0.0064581i,0.008382+0.0010516i,-4.722e-05-0.000836i,-0.00082515+0.0015146i,0.00021643-0.00027688i,-0.030856-0.002293i,-0.00131-0.0057637i,0.0018343+0.0047928i,0.0038217-0.00021577i,-0.00049443+0.0005819i,0.00064857-0.00053001i,-0.00060632-0.002756i,-0.0011836-0.0065593i,-0.0043366-0.0044173i,-0.0021848-0.005033i,0.00229-0.00082952i,0.0023789-0.0029218i,0.0026109+0.026913i,0.0016911-0.0031081i,0.0026324+0.00060083i,0.0056548+0.0013058i,-0.010412-0.0035369i,-0.0032321+0.00075795i,0.0068882+0.00085525i,0.0053585+0.00012122i,-0.0041579+0.0052712i,0.0019739-0.0085744i,-0.012935+0.019221i,0.036226-0.091304i,0.012869-0.071058i,-0.015612-0.060189i,-0.017241-0.055655i,0.038028-0.047859i,0.01664-0.063591i,0.034801-0.055787i,0.031812-0.059292i,0.015715-0.01391i,0.0043478+0.016788i,0.016275-0.026279i,-0.011664+0.0066205i,-0.00045843+0.0060258i,-0.0057617-0.00076001i,-0.0027867-0.028276i,-0.024362+0.031291i,0.0099925-0.011517i,-0.013387-0.0031087i,8.1747e-05-0.004906i,-0.0013235-0.015944i,-0.0075309+0.0048598i,0.005158+0.0060747i,-0.0083783+0.031094i,0.0060305+0.0055682i,-0.0051154-0.0010907i,-0.0030041-0.00035363i,-0.011985-0.0071396i,-0.00083583-0.0043678i,-0.030058+0.0064679i,0.0012854-0.010729i,-0.0091785-0.0020124i,-0.0069576-0.0026899i,0.0068965+0.0028926i,-0.0079839+0.001308i,0.00015659+0.00047959i,0.0060913+0.010991i,0.0036449+0.0014122i,-0.0097996-0.0095314i,0.0032342+0.008277i,-0.02147+0.0060643i,0.0088565+0.00017576i,-0.029346-0.0037472i,-0.042453+0.0028417i,0.019996-0.097389i,-0.0021864-0.013686i,-0.053132-0.021859i,-0.022874+0.0010706i,0.018637+0.010197i,-0.024548+0.012962i,-0.01896-0.012724i
-0.032053+0.01861i,-0.05307+0.018451i,-0.03243+0.046976i,-0.031846+0.025168i,-0.028825+0.040045i,0.0051287+0.047616i,-0.0034317+0.024539i,-0.016951+0.039659i,-0.013416+0.022356i,-0.0027501-0.0050249i,-0.0042064-0.0033373i,-0.0015757-0.0037939i,-0.0038635-0.0010393i,-0.0066947-0.0048006i,-0.0020877+0.004328i,-0.0032957-0.0017114i,-0.011548-0.0035278i,-0.002124-0.0015863i,0.0027942-0.0018536i,0.0020301-0.00072783i,0.0025457-0.003543i,0.0024124-0.0039323i,0.0012436-0.0025808i,-0.0095094-0.0084088i,-0.0022518+0.00067621i,-0.0041143+0.0013441i,-0.0016371-0.00022247i,-0.003297-0.0012155i,-0.001135-0.001636i,0.0011626-0.0018252i,-0.0020619+0.0067205i,0.0015725-4.6589e-05i,0.0030193+0.00042673i,0.0010627+0.0016513i,-0.0014639+0.0034319i,-0.0009547-0.0063827i,-0.0013929+0.0011342i,0.00015232-0.00010539i,-5.2815e-05+0.0039372i,0.0080985+0.0051132i,0.0015526-0.0027839i,0.0011666-0.0038574i,-0.0035095+0.0010011i,0.00065153+0.002369i,-0.031117-0.0077572i,0.010575-0.078923i,-0.093778-0.030078i,-0.053503-0.035362i,-0.076485-0.048692i,-0.058649-0.0049533i,-0.093994+0.019868i,-0.059478+0.012332i,-0.04928-0.026086i,-0.031495-0.057919i,-0.024855-0.028942i,0.0024806+0.0055329i,-0.018083+0.010445i,0.0090467+0.0031508i,0.011435+0.0040822i,0.00076638-0.0071179i,0.008156+0.00049506i,-0.0074709-0.004121i,0.0034304+0.014393i,-0.0015847+0.009847i,0.00066311+0.0015904i,0.0058561+0.0036054i,0.0019661-0.00076633i,-0.00091836+0.014967i,0.00086287+0.011426i,0.0038216-0.0051131i,0.010557-0.0068414i,0.0022821+0.0023089i,-0.0087423-0.0072913i,-0.0020495-0.0027924i,0.018568-0.026105i,0.0060073+0.0037229i,0.0032081+0.0046205i,-0.0031972+0.0019187i,0.0018773-0.0037085i,0.021433+0.003063i,0.002358-0.0024339i,-0.00072077-0.010468i,-0.00013335-0.0030142i,0.013277+0.0025524i,0.0038869+0.00032706i,0.0051269-0.0073358i,0.0034842+0.0075993i,0.0038081-0.00032079i,0.026311+0.0063422i,-0.080129-0.037506i,-0.0044775+0.018521i,0.0076144-0.0028772i,-0.0013042+0.0029975i,-0.035946+0.012134i,-0.006981+0.0063482i,-0.017241+0.013084i
-0.027285+0.022421i,-0.049309+0.023464i,-0.021003+0.044971i,-0.027459+0.029143i,-0.022315+0.041656i,0.014011+0.044857i,-8.9147e-05+0.024254i,-0.009266+0.041008i,-0.0086581+0.019348i,-0.0043521-0.0031513i,-0.0044647-0.00072678i,-0.0027858-0.0042507i,-0.0047163-0.00037328i,-0.0069747-0.0019438i,-0.00081261+0.00526i,-0.0056511+0.00054716i,-0.013349+0.0020816i,-0.0022793-9.8953e-05i,0.0029876-0.0023669i,0.0019681-0.0016624i,0.0015904-0.0039348i,0.0016457-0.0040829i,0.00082712-0.0026096i,-0.010792-0.0050671i,-0.0013707+0.00098831i,-0.0036546+0.0025729i,-0.0013153+0.00022173i,-0.0032493-5.8623e-05i,-0.0018362-0.0013084i,0.00062469-0.001817i,0.00085425+0.0072228i,0.0012442-0.00047976i,0.0026952-0.00092572i,0.00096428+0.0014287i,-0.0014819+0.0031263i,-0.0011626-0.0057882i,-0.00078656+0.0010324i,-0.0006861-0.00035384i,0.00029059+0.0042831i,0.0080736+0.00061849i,0.00060185-0.0030457i,-0.0010602-0.0041833i,-0.0037067+0.0018519i,0.0015474+0.0024365i,-0.032053-0.0075759i,-0.01347-0.089562i,-0.090638-0.011627i,-0.062157-0.033221i,-0.088035-0.037175i,-0.057741+0.0052956i,-0.084042+0.037201i,-0.055329+0.0245i,-0.042424-0.025232i,-0.039491-0.053481i,-0.032781-0.018174i,0.0042605+0.002417i,-0.01185+0.019181i,0.0091014-0.00042359i,0.012307-0.0025186i,-0.0050335-0.010781i,0.003874+0.00018029i,-0.0090812+0.0017514i,0.0088672+0.011722i,0.0012127+0.011663i,0.00084581+0.0015065i,0.0075139+0.0034213i,0.0027271+0.0003491i,0.0054403+0.011306i,0.0055732+0.0067138i,-0.0015858-0.0072416i,0.0033837-0.0081376i,0.0032906+0.0027122i,-0.011121+0.00015979i,-0.0024317-0.00030313i,0.0066694-0.027546i,0.0069588+0.0030095i,0.0069253+0.0027528i,-0.00079884+0.0022712i,-0.00046731-0.0011471i,0.018903-0.0066337i,0.00054589-0.0034677i,-0.0060446-0.0080387i,-0.0031683-0.0014481i,0.010963-0.0021591i,0.0038319+0.0012833i,0.0018894-0.0051206i,0.0052524+0.006526i,0.0026663-0.00039706i,0.025689-0.002922i,-0.085559-0.027512i,0.0029973+0.0074201i,0.0059259-0.0055303i,0.00024531+0.00080262i,-0.029445+0.022594i,-0.0050941+0.0069054i,-0.013023+0.016436i
-0.021705+0.024871i,-0.046528+0.028872i,-0.014465+0.040443i,-0.023034+0.031527i,-0.014669+0.04381i,0.021929+0.039939i,0.0035907+0.023936i,-0.0013219+0.040456i,-0.0078519+0.016918i,-0.0050813-0.00071525i,-0.0033702+0.0011771i,-0.0062516-0.0034735i,-0.00496+0.0016659i,-0.0071071+0.00014802i,0.0011785+0.0057224i,-0.00624+0.0042809i,-0.011913+0.0082714i,-0.00090792+0.0010286i,0.0029682-0.0039538i,0.0016809-0.0028383i,6.8232e-05-0.0045373i,0.0006019-0.0047737i,0.00046671-0.0028146i,-0.011458-0.0022007i,-0.0010548+0.0012989i,-0.0022475+0.0039253i,-0.0011988+0.00029708i,-0.002654+0.0013076i,-0.0020948-0.00079219i,-0.00038312-0.0025335i,0.0038126+0.0058875i,0.00078198-0.00066368i,0.0021053-0.0015949i,0.0016015+0.00080542i,-0.00029955+0.0040677i,-0.0010847-0.005749i,-0.0010651+0.00073875i,-0.0010556-3.9702e-05i,0.0031913+0.002876i,0.0062629-0.0019554i,-0.00013899-0.0028095i,-0.0014901-0.0023935i,-0.0039416+0.0029456i,0.0018591+0.00091119i,-0.035246-0.005207i,-0.042247-0.088513i,-0.080721+0.0023704i,-0.071622-0.025843i,-0.095432-0.021803i,-0.053+0.013739i,-0.069094+0.049225i,-0.041054+0.034393i,-0.04632-0.025883i,-0.046408-0.048495i,-0.033956-0.0064151i,0.0043413-0.00086411i,-0.0024097+0.021444i,0.008115-0.0032865i,0.0077657-0.007655i,-0.014929-0.0087828i,0.0025093-0.00017814i,-0.0050265+0.0062801i,0.011723+0.0063392i,0.0050992+0.011894i,9.576e-05+0.0019199i,0.007858-0.00091128i,0.0045783-0.0014659i,0.0072908+0.006511i,0.0052228+0.0022256i,-0.0066277-0.003942i,0.00066604-0.0064447i,0.0055541+0.0016204i,-0.0068102+0.0092922i,-0.00072725+0.001409i,-0.0025595-0.024657i,0.0087589+5.2431e-06i,0.0068444-0.00084068i,-0.00027285+0.0021766i,0.00077131+0.00050803i,0.0126-0.011803i,-0.0023071-0.00059236i,-0.0089702-0.0042997i,-0.0034497+0.0021028i,0.0065796-0.004647i,0.0069613-0.0006007i,0.0024444-0.004922i,0.0086689+0.0035357i,0.0043562-0.0016727i,0.022317-0.010814i,-0.089837-0.013405i,0.00020944-0.0023596i,0.0061474-0.0079484i,0.000159-0.0021042i,-0.019448+0.026452i,-0.0056206+0.0029155i,-0.0084209+0.013326i
-0.016133+0.024869i,-0.042411+0.03543i,-0.011272+0.03708i,-0.017916+0.034813i,-0.00606+0.042893i,0.028256+0.03356i,0.0080428+0.023063i,0.0057904+0.037765i,-0.0077551+0.017192i,-0.004688+0.0014571i,-0.0025247+0.0013556i,-0.008193+0.00052658i,-0.0046269+0.0033348i,-0.0072756+0.0027448i,0.0029412+0.0050606i,-0.0045355+0.0080922i,-0.0071535+0.013071i,0.00016159+0.00058045i,0.001294-0.0048718i,5.0524e-05-0.0040767i,-0.0015305-0.0041711i,-0.00065066-0.0046306i,-0.00013332-0.0033563i,-0.011611+0.0013634i,-0.00043859+0.00096688i,2.9762e-05+0.0035214i,-0.0011872+0.00044419i,-0.0015646+0.0017425i,-0.0023507+0.0001144i,-0.0018796-0.0018538i,0.0053753+0.0036951i,0.00037871-0.00063522i,0.0011335-0.0023018i,0.0016819+5.5452e-05i,0.0019703+0.0035935i,-0.0021584-0.0072822i,-0.00082947+0.001291i,-0.0012292+0.0004195i,0.0029007-0.00046389i,0.0043902-0.0030201i,-0.00070025-0.0027376i,-0.00092379-0.001966i,-0.0031358+0.0045562i,-0.00044489-0.000615i,-0.038352-0.00080881i,-0.067233-0.071637i,-0.070641+0.0080863i,-0.07897-0.014302i,-0.098863-0.0048547i,-0.046993+0.019238i,-0.055166+0.055177i,-0.026507+0.033845i,-0.048678-0.019875i,-0.052595-0.041153i,-0.032208+0.0018364i,0.0024302-0.0034252i,0.0061495+0.019398i,0.0067016-0.0058442i,0.0022066-0.0088606i,-0.02075+0.00055618i,-0.00031077+0.00075901i,-0.00088923+0.0058151i,0.010889+0.00022414i,0.0098568+0.010947i,0.00074158+0.0029232i,0.0046695-0.0024548i,0.0040836-0.004971i,0.0063329+0.0021009i,0.002543+0.00046432i,-0.0073722+0.00014965i,-0.0015605-0.0052082i,0.0058928-0.00056491i,0.0026911+0.010406i,0.00020954+0.00047779i,-0.0076071-0.0195i,0.0080351-0.0030304i,0.0062144-0.0030334i,0.0012512+0.0031343i,0.0016265+0.00016074i,0.0073171-0.012726i,-0.00037753+0.0015785i,-0.010117+0.00054941i,-0.0010896+0.0040282i,0.0038707-0.0039863i,0.0064816-0.0040542i,-0.00028487-0.0051317i,0.0079959-0.0014132i,0.003191-0.0045543i,0.017606-0.01743i,-0.087171+0.0030284i,-0.0075768-0.0058245i,0.0042768-0.013078i,-0.0012304-0.0043264i,-0.012702+0.026084i,-0.0093239+0.0032101i,-0.0077378+0.011876i
-0.012384+0.024216i,-0.037311+0.040871i,-0.010094+0.035953i,-0.011269+0.036817i,0.0010419+0.03998i,0.032603+0.026454i,0.012651+0.020684i,0.0116+0.034301i,-0.0059296+0.018711i,-0.0031784+0.0030204i,-0.0026171+0.0020283i,-0.0073372+0.0041817i,-0.0038048+0.0048327i,-0.0056711+0.0055836i,0.0044698+0.0040081i,-0.0010744+0.010225i,-0.0011199+0.014661i,0.00047154+0.00012292i,6.7162e-05-0.0047059i,-0.0019111-0.0037378i,-0.0028834-0.0033293i,-0.0019081-0.0040827i,-0.0014174-0.0033236i,-0.0096054+0.0043821i,-0.0007223+0.00050804i,0.00035592+0.0019843i,-0.0011833+0.00053289i,-0.00084285+0.0017405i,-0.002068+0.0010956i,-0.0020703-0.00044829i,0.0057124+0.0012427i,0.00016266-0.00069046i,-7.7145e-05-0.0021767i,0.0012976-0.0005265i,0.0027074+0.0020811i,-0.0048963-0.0075611i,-0.00047535+0.0014845i,-0.0011238+0.0012768i,0.00088438-0.00128i,0.0027659-0.0028835i,-0.001383-0.0024544i,-0.00086506-0.0019721i,-0.0013353+0.0054591i,-0.0027585+0.0016877i,-0.039607+0.0060204i,-0.076238-0.048418i,-0.064774+0.0098484i,-0.083392-0.00042902i,-0.09912+0.012913i,-0.042532+0.022035i,-0.041463+0.058455i,-0.017078+0.030562i,-0.049542-0.014744i,-0.056364-0.033988i,-0.029174+0.0094916i,0.00059892-0.004708i,0.014648+0.01374i,0.0045376-0.0075222i,-0.0028024-0.007335i,-0.019687+0.010123i,-0.00048317+0.0030167i,0.0013576+0.0064713i,0.0060416-0.0020029i,0.01421+0.0074951i,0.0017261+0.0031351i,0.0026845-0.0016146i,0.0018342-0.0073042i,0.0034367+0.0013568i,0.00047411+0.001703i,-0.0069422+0.005218i,-0.0030998-0.0024775i,0.0051277-0.0024957i,0.0075969+0.0059301i,0.00023925+0.00035026i,-0.010295-0.017122i,0.0061561-0.0058047i,0.0045007-0.0050488i,0.0042492+0.002674i,0.0020873-6.1336e-05i,0.0038927-0.012245i,0.0011826+0.0012505i,-0.0077772+0.0064451i,0.0014504+0.0040076i,0.0031728-0.0029311i,0.0041948-0.008502i,-0.00070864-0.0036546i,0.0046922-0.0044875i,0.00030794-0.006083i,0.0089546-0.023919i,-0.079617+0.013897i,-0.01546-0.0017556i,-0.00028157-0.015929i,-0.0027066-0.00648i,-0.0082747+0.025513i,-0.01202+0.0063223i,-0.0067525+0.012337i
-0.009636+0.023975i,-0.031455+0.046003i,-0.008632+0.037776i,-0.0046406+0.036195i,0.0056326+0.035944i,0.03569+0.019452i,0.016886+0.016733i,0.016308+0.030382i,-0.0032643+0.018869i,-0.0017993+0.0029375i,-0.0029409+0.0034599i,-0.0053769+0.0067513i,-0.0022674+0.0063975i,-0.0031919+0.0067266i,0.0052206+0.0024228i,0.0026215+0.010502i,0.005094+0.013402i,0.00081112+2.609e-05i,-0.0014648-0.0047069i,-0.0031775-0.0025789i,-0.0032734-0.0018796i,-0.002716-0.0033212i,-0.002255-0.002592i,-0.0077475+0.0054964i,-0.0011352+0.00086535i,-5.0355e-05+0.0016664i,-0.0013901+0.00080744i,-0.00017328+0.0014807i,-0.0012895+0.0016461i,-0.0017392+0.00033433i,0.0054882-0.00079696i,-0.00011376-0.00051948i,-0.00075186-0.0016686i,0.00082484-0.00094786i,0.0026756+0.0013789i,-0.0076543-0.0063383i,-0.00035163+0.0013835i,-0.00034174+0.0018325i,2.5255e-06-0.0012259i,0.0019902-0.0023028i,-0.001907-0.0016897i,-0.0013369-0.0017614i,0.0006729+0.0053817i,-0.0022626+0.0046359i,-0.038955+0.013834i,-0.074973-0.03145i,-0.062175+0.012325i,-0.083308+0.016451i,-0.093486+0.032903i,-0.040856+0.025085i,-0.029675+0.058201i,-0.009502+0.026496i,-0.048319-0.0085611i,-0.060255-0.025777i,-0.02448+0.014387i,-0.0027326-0.0048505i,0.017534+0.0017805i,0.0023696-0.0093214i,-0.0059526-0.0035573i,-0.013761+0.017591i,0.00068816+0.0034765i,0.0060359+0.0051929i,0.0045614-6.212e-05i,0.017476+0.00043063i,0.0028519+0.0033156i,0.0022357-0.0010252i,-0.002718-0.0087818i,0.0024196+0.0027367i,0.00095984+0.0036508i,-0.0020788+0.0088371i,-0.0017963-0.0001224i,0.0036773-0.0034551i,0.0087971+0.0010838i,0.00097887-9.7599e-05i,-0.015421-0.015809i,0.0033863-0.0069135i,0.0014488-0.0059449i,0.0045036+0.00012316i,0.0020177-0.00010262i,0.0019858-0.010832i,0.0022494+0.00011938i,-0.00228+0.0093043i,0.0032+0.0021842i,0.0030961-0.0034663i,-0.0018263-0.0098769i,-0.00091057-0.0043849i,0.0023506-0.0040883i,-0.0018545-0.0066325i,-0.0028581-0.023088i,-0.074788+0.021199i,-0.013514+0.0088353i,-0.00586-0.016239i,-0.0059215-0.0075329i,-0.0049752+0.025092i,-0.011179+0.010705i,-0.0028468+0.012036i
-0.0065191+0.023986i,-0.024213+0.050831i,-0.0047253+0.0406i,0.00031411+0.034667i,0.0081517+0.033355i,0.037656+0.012129i,0.019862+0.012028i,0.020085+0.026329i,-0.00070224+0.019425i,-0.0014083+0.0032297i,-0.0017897+0.0056475i,-0.0023192+0.0086985i,-0.00013629+0.0072209i,-0.00086595+0.0067122i,0.0053433+0.00093436i,0.006012+0.0094019i,0.0095358+0.010007i,0.0010904-0.00022136i,-0.0028362-0.0038947i,-0.0037433-0.0010037i,-0.0031532-0.00068172i,-0.003556-0.0025069i,-0.0027752-0.0017621i,-0.0068672+0.0070275i,-0.0010075+0.0014747i,-5.0135e-05+0.0021623i,-0.0012516+0.001613i,-8.5993e-05+0.00096584i,-0.00067825+0.0016721i,-0.0013662+0.00068005i,0.0045079-0.0026442i,0.00012064-0.00020717i,-0.00090774-0.0012168i,0.00040524-0.0011109i,0.0030368+4.3685e-05i,-0.0098836-0.0041959i,2.4114e-05+0.0015071i,0.00040712+0.0015876i,-0.00074359-0.0011998i,0.0018408-0.00211i,-0.0019751-0.00096626i,-0.0013733-0.0011141i,0.002059+0.0042543i,-0.00077702+0.0059787i,-0.035057+0.020597i,-0.074218-0.024153i,-0.061127+0.016734i,-0.076927+0.031709i,-0.082458+0.050135i,-0.037935+0.031043i,-0.019602+0.057709i,-0.0051931+0.02151i,-0.046834-0.0043871i,-0.062192-0.016812i,-0.020251+0.018099i,-0.0041848-0.0048363i,0.011091-0.0083508i,-0.0009311-0.010896i,-0.0063688-0.00020946i,-0.0060534+0.019573i,0.00078192+0.0031363i,0.0086646-3.9735e-05i,0.0055796-0.0003816i,0.015558-0.0056936i,0.0051637+0.002553i,0.0022297+0.00031826i,-0.007415-0.0042416i,0.0033236+0.0038979i,0.0024942+0.0047313i,0.0028388+0.0086457i,-0.0010207+1.1819e-05i,0.0025201-0.0039989i,0.0081161-0.004568i,8.1506e-05-0.00046181i,-0.021242-0.010144i,0.0011266-0.0068505i,-0.00081703-0.0042919i,0.0054059-1.7704e-05i,0.0017934-0.00046298i,0.00087207-0.011666i,0.0018561-0.0013047i,0.0018584+0.0069284i,0.0031889+0.0010099i,0.0030085-0.0034452i,-0.0053872-0.0062666i,-0.0035438-0.0049747i,0.00052943-0.0043419i,-0.0044768-0.0063931i,-0.0096693-0.017894i,-0.068929+0.029451i,-0.0080207+0.0079713i,-0.006346-0.015317i,-0.0083329-0.0065149i,-0.00056132+0.023398i,-0.0098954+0.012583i,-0.0015789+0.0095688i
-0.0036102+0.023435i,-0.015722+0.054231i,0.0014339+0.043221i,0.0046898+0.03342i,0.01063+0.031952i,0.038055+0.0049352i,0.021784+0.0068222i,0.023471+0.022347i,0.0025676+0.019493i,-0.00076003+0.003604i,0.0010773+0.006729i,0.0012851+0.0086076i,0.0020411+0.0071698i,0.00065789+0.0064834i,0.0052361-0.00030902i,0.0087739+0.0069222i,0.01172+0.0057622i,0.0014944-0.0012104i,-0.0035957-0.002895i,-0.0032823+0.00081211i,-0.0025339+0.00035083i,-0.0040382-0.001007i,-0.0029931-0.00093106i,-0.0039892+0.008731i,-0.0005963+0.0022075i,0.00086956+0.0024324i,-0.00050768+0.0021526i,-0.00049583+0.0010391i,-0.00022286+0.0017462i,-0.00099735+0.00096054i,0.002795-0.0037945i,0.00043869-0.00063872i,-0.0013791-0.00090837i,-0.00015551-0.0011427i,0.0022054-0.0012015i,-0.011223-0.0010035i,0.00045913+0.0014524i,0.00090569+0.001354i,-0.0018081-0.00076628i,0.0018776-0.0021951i,-0.0017303-0.00043141i,-0.0012905-0.00098437i,0.0028066+0.0029965i,0.0012851+0.0070461i,-0.030486+0.024681i,-0.079299-0.01747i,-0.059579+0.022305i,-0.068435+0.04378i,-0.06685+0.061547i,-0.033709+0.035999i,-0.0096334+0.055649i,-0.0022833+0.018432i,-0.045487+7.6041e-05i,-0.062532-0.0073023i,-0.016025+0.021509i,-0.0059444-0.0037335i,0.0033052-0.0098151i,-0.0048258-0.010976i,-0.0052065+0.0036126i,0.00075334+0.017816i,0.00063592+0.0027007i,0.0066641-0.0057906i,0.0047931-0.001529i,0.011163-0.011185i,0.0064847+0.00035321i,0.0034966+0.00068096i,-0.0079037-0.00070651i,0.0048999+0.0044349i,0.004972+0.0049589i,0.0072586+0.0061923i,-0.00079919+0.00093023i,0.0018478-0.0042072i,0.00439-0.008072i,-0.0001378+0.0007761i,-0.024024-0.0020903i,-0.00044342-0.0065399i,-0.0017727-0.0025293i,0.0062263-0.0016172i,0.0016507-0.00088557i,-0.0017315-0.013229i,0.00066749-0.0016054i,0.0043955+0.0058969i,0.0033921-6.4897e-05i,0.0035072-0.0040905i,-0.0072973-0.0035527i,-0.0063248-0.0021206i,-0.00234-0.003475i,-0.0063943-0.0052949i,-0.013725-0.012205i,-0.062118+0.035826i,-0.0077424+0.006583i,-0.0075092-0.017996i,-0.009702-0.0048898i,0.00068169+0.022523i,-0.0096076+0.014087i,-0.00062856+0.0084217i
-0.0005424+0.023287i,-0.0060612+0.055915i,0.0097028+0.043715i,0.0089207+0.032046i,0.014337+0.031721i,0.037446-0.0017773i,0.02221+0.0011063i,0.026752+0.017679i,0.0062696+0.018438i,-0.000194+0.0038637i,0.0034813+0.0053641i,0.0037153+0.006634i,0.0042063+0.0064987i,0.0024372+0.006115i,0.0048551-0.0015791i,0.0099367+0.0035805i,0.012332+0.0013702i,0.00043076-0.0022186i,-0.0044895-0.0014814i,-0.0018598+0.0016547i,-0.0015181+0.00053127i,-0.0036218+0.00019063i,-0.0030251+1.4326e-05i,-0.00080646+0.0089243i,0.00034386+0.0025198i,0.0017272+0.0019309i,0.00041525+0.0020313i,-0.00023167+0.0016449i,0.00050108+0.0014706i,-0.00061082+0.0010049i,0.0010056-0.0041418i,-3.5016e-05-0.00089623i,-0.0015546-0.00026075i,-0.00072045-0.00098343i,0.0012436-0.0018161i,-0.010887+0.0027946i,0.00080063+0.0012926i,0.0013733+0.00089119i,-0.0022915+0.00033645i,0.0014795-0.0026217i,-0.0015902-0.00021876i,-0.0014421-0.001048i,0.0028166+0.0018934i,0.0036459+0.0070574i,-0.026257+0.028545i,-0.087393-0.0042885i,-0.055439+0.028165i,-0.057159+0.052395i,-0.051726+0.068752i,-0.028623+0.042328i,-9.7594e-05+0.051601i,0.0028882+0.014851i,-0.043564+0.0049823i,-0.060573+0.0030694i,-0.011194+0.024401i,-0.0078236-0.0025515i,-0.0026872-0.0094731i,-0.0090759-0.009449i,-0.0014946+0.0050729i,0.0045354+0.014131i,-0.00029578+0.0027956i,0.0031803-0.0094774i,0.0050913-0.0004809i,0.0043704-0.013516i,0.0064466-0.0029087i,0.0046962-0.00017754i,-0.0078975+0.0036125i,0.0076565+0.0038163i,0.0080061+0.0026784i,0.0093534+0.0016779i,0.00040779+0.0017602i,0.00095444-0.0043311i,-0.0011584-0.008379i,0.0011854+0.002049i,-0.02404+0.0070124i,-0.0020403-0.0062056i,-0.0014794-0.00067899i,0.005883-0.0051169i,0.0015876-0.00073815i,-0.0072752-0.013546i,-7.8215e-06-0.0010255i,0.0065038+0.0029826i,0.003326-0.00061791i,0.002258-0.0050725i,-0.0076187+0.00086363i,-0.0062292+0.0019361i,-0.0039806-0.0015491i,-0.0083049-0.0042293i,-0.014746-0.0062903i,-0.056549+0.040916i,-0.0075169+0.0092615i,-0.012108-0.021578i,-0.0082803-0.0038256i,0.0039713+0.022385i,-0.0091102+0.017494i,0.0013166+0.0064794i
0.0029628+0.022464i,0.003537+0.055389i,0.017805+0.040961i,0.013142+0.030163i,0.01935+0.030635i,0.036066-0.0080445i,0.021072-0.0042493i,0.028883+0.012324i,0.0094557+0.016443i,0.00035033+0.0043779i,0.0042265+0.0039264i,0.004434+0.0047896i,0.0058488+0.0048592i,0.0039227+0.0051014i,0.0040507-0.002638i,0.0095161+0.00054944i,0.011292-0.0022245i,-0.00053724-0.0020994i,-0.0042834+0.00017398i,-0.00066519+0.0016012i,-0.00084717+0.00017873i,-0.003121+0.00076746i,-0.0024482+0.00079276i,0.00186+0.0084181i,0.0014183+0.0020917i,0.0022575+0.0013305i,0.0010512+0.001721i,0.00053384+0.001738i,0.0008672+0.00083432i,-0.00047962+0.001132i,-0.0006505-0.0037072i,-0.00057076-0.00084302i,-0.001446+0.00029824i,-0.0011682-0.00051293i,0.00036169-0.0019887i,-0.0092589+0.0057715i,0.0010804+0.0009272i,0.0015457+0.00019239i,-0.0020488+0.0014387i,0.00095867-0.003311i,-0.0015373+0.00011663i,-0.0018119-0.0011217i,0.0026084+0.0011882i,0.0057427+0.006059i,-0.021503+0.032033i,-0.089166+0.016271i,-0.052633+0.032079i,-0.046463+0.057376i,-0.034741+0.073629i,-0.020119+0.048494i,0.006755+0.045347i,0.0056351+0.0074485i,-0.039517+0.0088388i,-0.054836+0.013691i,-0.0043856+0.025554i,-0.0093828+0.000218i,-0.0087277-0.0061562i,-0.011958-0.0061429i,0.0014304+0.0035068i,0.0057468+0.011155i,-0.0020065+0.0040324i,-0.0012519-0.012159i,0.0069441-0.0025654i,-0.0018462-0.012152i,0.0044283-0.0050838i,0.0051784-0.0024477i,-0.0062435+0.0069714i,0.0099306+0.00018431i,0.0087467-0.0020558i,0.0082532-0.0039034i,0.0024216+0.0010931i,-2.9134e-05-0.0044123i,-0.00431-0.0048425i,0.0031081+0.0011868i,-0.019713+0.016882i,-0.0036864-0.0048829i,-7.9742e-05+0.00050971i,0.0022905-0.0066494i,0.0017136-0.00076782i,-0.012991-0.0097463i,0.0004187-0.00019862i,0.0066962-0.00057987i,0.0030228-0.0016546i,0.0010614-0.0052668i,-0.0055079+0.0049134i,-0.0042617+0.0048898i,-0.0042967+0.0013616i,-0.010799-0.0022708i,-0.013881-0.0023263i,-0.05044+0.048576i,-0.0015869+0.011331i,-0.019676-0.021317i,-0.0074127-0.0048934i,0.006673+0.021056i,-0.0056962+0.021142i,0.0020573+0.0028975i
