-0.024272-0.039038i,-0.012383-0.048844i,-0.017913-0.044291i,-0.030543-0.034924i,-0.030468-0.015748i,-0.050134-0.026745i,-0.057281-0.02567i,-0.04533-0.037005i,-0.029038-0.036644i,0.0076673+0.01269i,-0.0048136+0.015135i,-0.0043564+0.014164i,0.0099777+0.021541i,0.00083796+0.0043654i,0.0032563+0.0031815i,0.0059473+0.01792i,0.026337+0.038016i,-0.0021775-0.00050046i,-0.0040604-0.0062802i,0.0078787+0.0016304i,-0.00018034-0.00091088i,-0.00091327+0.0012831i,3.2193e-05-0.00031726i,-0.030103-0.002988i,-0.0013576-0.0054585i,0.0018936+0.0044251i,0.0038196-0.00017765i,-0.00045934+0.00047575i,0.00048777-0.0004653i,-0.00038838-0.0025035i,-0.0014959-0.0058909i,-0.0046046-0.0040195i,-0.0019283-0.0046947i,0.0020187-0.00083722i,0.0021071-0.0029131i,0.0029202+0.025444i,0.0017782-0.0027908i,0.0028991+0.00061628i,0.006174+0.001142i,-0.0099233-0.0041275i,-0.0032067+0.00056334i,0.0066853+0.0013019i,0.0057786-1.2917e-05i,-0.0040301+0.0056774i,0.0005574-0.0084457i,-0.011444+0.017959i,0.03599-0.090498i,0.01152-0.070098i,-0.016247-0.059582i,-0.016709-0.055184i,0.038238-0.04578i,0.017344-0.062098i,0.034134-0.055086i,0.029678-0.059667i,0.016814-0.013895i,0.0049034+0.016547i,0.016675-0.025779i,-0.011255+0.0059311i,-0.00046947+0.0057431i,-0.0050491-0.0015784i,-0.0020156-0.02955i,-0.024009+0.031372i,0.010935-0.011369i,-0.013279-0.0026268i,-4.5636e-05-0.0048149i,-0.0011449-0.015947i,-0.0068431+0.0047311i,0.005295+0.0066844i,-0.0090779+0.030687i,0.0050396+0.0060303i,-0.0050537-0.00061629i,-0.00321-0.00085266i,-0.012601-0.0073919i,-0.0012827-0.0048108i,-0.030455+0.0066418i,0.00016158-0.010172i,-0.0097033-0.0021279i,-0.0065816-0.0029595i,0.0068143+0.002491i,-0.0075703+0.0011529i,-0.00017489+0.00034382i,0.0058267+0.010752i,0.0042783+0.0017086i,-0.0097073-0.0096601i,0.003159+0.008077i,-0.021571+0.0063254i,0.0076086+0.00037552i,-0.029084-0.0043546i,-0.042321+0.0026543i,0.019201-0.097089i,-0.00031051-0.012384i,-0.052445-0.021868i,-0.022398-0.0012752i,0.017912+0.011196i,-0.024974+0.013558i,-0.018503-0.01341i
-0.0299+0.019528i,-0.051075+0.020118i,-0.030745+0.045715i,-0.029967+0.024846i,-0.026486+0.039403i,0.0063988+0.04549i,-0.002166+0.023004i,-0.015116+0.038577i,-0.012861+0.022324i,-0.0034816-0.005411i,-0.0042619-0.0027421i,-0.0018325-0.0032387i,-0.0037269-0.00044744i,-0.0068064-0.0040533i,-0.0016579+0.0042099i,-0.0030692-0.0010443i,-0.011145-0.0034613i,-0.0017932-0.00069423i,0.002922-0.0015383i,0.002119-0.00062993i,0.0024064-0.0034606i,0.0023656-0.0039706i,0.0015536-0.0024626i,-0.0091271-0.0080946i,-0.0017778+0.00046336i,-0.0038764+0.0012801i,-0.0017872-0.00017123i,-0.0032535-0.0011196i,-0.0011829-0.0016252i,0.001269-0.001798i,-0.0015217+0.006249i,0.001419+0.00035173i,0.0027321-4.1717e-05i,0.001286+0.0015214i,-0.0013112+0.0034098i,-0.00083365-0.0063217i,-0.0012751+0.0011013i,0.0004024-5.1115e-05i,0.00015858+0.0038789i,0.0073616+0.0049867i,0.0014707-0.0028302i,0.0011926-0.0037492i,-0.0037061+0.00091383i,0.00094501+0.0026872i,-0.030852-0.0051009i,0.011358-0.07822i,-0.093111-0.028635i,-0.052244-0.035664i,-0.075648-0.050304i,-0.057701-0.0056774i,-0.093783+0.01941i,-0.059276+0.010797i,-0.049739-0.024273i,-0.03152-0.056346i,-0.026026-0.028888i,0.0032841+0.0051672i,-0.018222+0.010149i,0.0093477+0.0037164i,0.010879+0.00437i,-0.00029246-0.0067322i,0.0080693+0.0015712i,-0.0082738-0.0039698i,0.0033493+0.014507i,-0.0011092+0.0091853i,0.00093313+0.0013272i,0.0056721+0.0032578i,0.0018756-0.00043129i,-0.00048576+0.014856i,0.00048343+0.011708i,0.0031005-0.0044223i,0.010542-0.0069359i,0.0023389+0.0022391i,-0.0078419-0.0069118i,-0.0022443-0.003136i,0.018176-0.026262i,0.0066203+0.0040055i,0.0034263+0.0045827i,-0.0031748+0.0027265i,0.0021718-0.0033244i,0.021342+0.0020657i,0.0024399-0.0028739i,-0.00057195-0.0093661i,0.00049785-0.0027762i,0.012641+0.0037032i,0.0047386+0.00038484i,0.0045617-0.006569i,0.0029798+0.0084502i,0.0047069-0.00086632i,0.024349+0.0047091i,-0.080348-0.036005i,-0.0051239+0.018209i,0.0068419-0.0036059i,-0.0037801+0.0029545i,-0.035707+0.011889i,-0.0073001+0.006834i,-0.017355+0.012864i
-0.025176+0.023027i,-0.047363+0.025099i,-0.02005+0.044113i,-0.025947+0.028572i,-0.02014+0.040553i,0.014887+0.042503i,0.00087643+0.022583i,-0.0074827+0.039335i,-0.0079821+0.01945i,-0.0049757-0.0031904i,-0.0043978-0.00036857i,-0.002708-0.0034762i,-0.0043757-9.2027e-05i,-0.0068108-0.0012651i,-0.00053711+0.005036i,-0.0049834+0.00093905i,-0.012987+0.0016664i,-0.0015574+0.00039545i,0.0031328-0.0022985i,0.0021506-0.0015608i,0.0014626-0.0038215i,0.0014932-0.0039213i,0.0010359-0.0027049i,-0.010154-0.0049537i,-0.001066+0.00071497i,-0.0035399+0.0024754i,-0.0013836+0.00044652i,-0.0032677-3.0757e-05i,-0.0018349-0.0013647i,0.00044409-0.0018335i,0.0011276+0.0064407i,0.0011888-8.0558e-06i,0.0022779-0.0011265i,0.0011497+0.0011546i,-0.0012041+0.0028595i,-0.0011208-0.0055038i,-0.00071485+0.00089227i,-0.00042525-0.00027064i,0.00044801+0.0042952i,0.0075043+0.00094435i,0.00054863-0.0030038i,-0.00089737-0.0039975i,-0.0037182+0.0018257i,0.0017574+0.0024059i,-0.031508-0.005536i,-0.012734-0.088902i,-0.0899-0.010024i,-0.061269-0.033508i,-0.088151-0.038491i,-0.057199+0.0045411i,-0.083394+0.037111i,-0.055073+0.02371i,-0.041259-0.022472i,-0.038855-0.051888i,-0.033726-0.017585i,0.004311+0.0020269i,-0.012162+0.018709i,0.0090693-0.00049509i,0.012058-0.0017911i,-0.0057385-0.0098704i,0.0039458+0.0012444i,-0.008334+0.0027284i,0.0088681+0.011623i,0.0011273+0.011108i,0.0010715+0.0010445i,0.0074029+0.0034277i,0.0026456+0.00046055i,0.005629+0.011178i,0.0053171+0.0069897i,-0.0017713-0.0060915i,0.0035241-0.0079273i,0.0033565+0.0028182i,-0.010705-0.00033549i,-0.0029326-0.00012203i,0.006476-0.027534i,0.0075984+0.0028122i,0.0071998+0.0027763i,-0.00027491+0.0027138i,-0.00040418-0.001149i,0.018472-0.0072955i,0.0002369-0.0035522i,-0.0052607-0.0076173i,-0.0026334-0.0020173i,0.011063-0.0011301i,0.0046361+0.00046015i,0.0019061-0.0046549i,0.0056402+0.0073059i,0.0031773-0.0014774i,0.023617-0.0028409i,-0.085182-0.026435i,0.0027355+0.0071373i,0.0052302-0.0065022i,-0.0021051+0.0020161i,-0.029603+0.022295i,-0.0049912+0.0078899i,-0.013398+0.015652i
-0.019879+0.02497i,-0.044197+0.030233i,-0.013217+0.040073i,-0.021457+0.030965i,-0.012905+0.042276i,0.022175+0.037371i,0.0042561+0.022128i,-0.00017141+0.038412i,-0.0072895+0.016896i,-0.0057648-0.00078838i,-0.0032579+0.0013848i,-0.0058498-0.0029609i,-0.0046864+0.0016997i,-0.006756+0.0006995i,0.0013081+0.0055018i,-0.0055884+0.0042435i,-0.011816+0.0077143i,-0.00015672+0.0011613i,0.0030415-0.0039629i,0.0018597-0.0027947i,0.00012123-0.004343i,0.00061248-0.0045694i,0.00046814-0.0028933i,-0.011138-0.002317i,-0.0010511+0.00090841i,-0.0022738+0.0039536i,-0.0010282+0.00032125i,-0.0026463+0.00157i,-0.0022179-0.00083225i,-0.00047527-0.0024743i,0.0035525+0.0051119i,0.00085014-0.00024305i,0.0016713-0.001525i,0.001425+0.00064347i,-0.00021173+0.003782i,-0.0010464-0.0053837i,-0.0010242+0.00058272i,-0.00078088-0.00017424i,0.003432+0.0029994i,0.0058574-0.0013808i,-0.00018988-0.0027227i,-0.001177-0.0024194i,-0.003686+0.0027413i,0.0021926+0.0010641i,-0.034201-0.0035119i,-0.041869-0.087626i,-0.07963+0.0033772i,-0.070805-0.026103i,-0.095481-0.022768i,-0.052609+0.013062i,-0.067969+0.048938i,-0.04041+0.034152i,-0.042935-0.025148i,-0.045067-0.048292i,-0.034663-0.0053297i,0.0042514-0.0011698i,-0.0028434+0.021049i,0.0080879-0.0030853i,0.0081231-0.0072729i,-0.014822-0.0075696i,0.0031867+0.00012631i,-0.004158+0.0061928i,0.011692+0.0060603i,0.0046139+0.011926i,3.3264e-05+0.0015533i,0.0079544-0.00092918i,0.0045998-0.0012499i,0.0074156+0.0061703i,0.0051502+0.0022918i,-0.0064439-0.0026097i,0.00084843-0.006233i,0.0053837+0.0017931i,-0.0069134+0.0088796i,-0.0011444+0.0014456i,-0.0025098-0.024705i,0.0090697-0.00052314i,0.0070475-0.00064309i,0.00041316+0.0019687i,0.00073493+0.0008465i,0.012089-0.012219i,-0.0024308-0.00060139i,-0.0083463-0.0039626i,-0.0036433+0.0013427i,0.0073539-0.0038268i,0.0069725-0.0011191i,0.0029017-0.004598i,0.0094082+0.0043929i,0.0041222-0.0025041i,0.020473-0.0099036i,-0.088736-0.012643i,-0.00099547-0.0031595i,0.0045893-0.0088987i,-0.00060929-3.4901e-05i,-0.020133+0.026648i,-0.003923+0.0030976i,-0.0081989+0.013061i
-0.014629+0.024863i,-0.039737+0.03653i,-0.0098722+0.036683i,-0.016422+0.033826i,-0.0046028+0.04122i,0.028008+0.031088i,0.0083412+0.021159i,0.0064177+0.035933i,-0.0070539+0.017021i,-0.0052922+0.001626i,-0.0024507+0.001538i,-0.0077114+0.00083316i,-0.0042158+0.0033966i,-0.0066778+0.0030899i,0.0030613+0.0048183i,-0.0040177+0.0076686i,-0.0072457+0.012453i,0.00073167+0.00042797i,0.0013468-0.0048692i,0.00027652-0.003988i,-0.0013806-0.0040124i,-0.00059805-0.0046578i,-0.00012897-0.0032533i,-0.011177+0.0012921i,-0.00048627+0.00065113i,6.1427e-05+0.0034834i,-0.0010663+0.00026813i,-0.0013565+0.0019624i,-0.0024243+0.00017922i,-0.001845-0.0017587i,0.0048078+0.0031004i,0.00053614-0.00030161i,0.00079148-0.0019259i,0.0013604+6.1756e-05i,0.001752+0.0033896i,-0.0019394-0.0066705i,-0.0009259+0.0011742i,-0.0011567+0.00030832i,0.0033513-0.00053257i,0.0042431-0.002394i,-0.0007504-0.0025555i,-0.00088909-0.0023322i,-0.0032174+0.0041537i,2.5601e-06-0.0010258i,-0.036948+0.00078782i,-0.066702-0.071533i,-0.069381+0.0086342i,-0.078271-0.014433i,-0.099406-0.0058142i,-0.046775+0.018594i,-0.053608+0.054511i,-0.025608+0.033371i,-0.046753-0.02066i,-0.052084-0.041064i,-0.032161+0.0030317i,0.0022297-0.0036581i,0.0052578+0.019609i,0.0067588-0.0058062i,0.0024192-0.0087523i,-0.019747+0.0016744i,-1.3204e-05+0.00084304i,-0.00018736+0.0056563i,0.010589+0.00038558i,0.0094476+0.01125i,0.00046256+0.0028135i,0.0046569-0.0024744i,0.0041617-0.0049244i,0.0063225+0.001517i,0.0026052+0.0005652i,-0.0063416+0.00068412i,-0.0012914-0.005091i,0.0058393-0.00018072i,0.0025545+0.010297i,-4.4441e-05+0.00096354i,-0.0077269-0.019533i,0.0078123-0.0033145i,0.0062063-0.0030147i,0.0015366+0.002867i,0.0018168+0.00012288i,0.0066426-0.012738i,-0.00043663+0.0018364i,-0.0094873+0.00049586i,-0.001518+0.003783i,0.0046966-0.0037872i,0.006213-0.0048583i,0.00077458-0.0052597i,0.009474-0.0011153i,0.0026444-0.0053243i,0.016256-0.016122i,-0.085893+0.00211i,-0.0084612-0.0061541i,0.0026606-0.013188i,-0.00021213-0.0032048i,-0.01299+0.026811i,-0.0083171+0.0016879i,-0.0080951+0.011362i
-0.010902+0.024189i,-0.034468+0.041641i,-0.0084872+0.035144i,-0.010206+0.035462i,0.0022394+0.038216i,0.031948+0.024086i,0.012737+0.01879i,0.012054+0.032649i,-0.0054831+0.018622i,-0.0037241+0.0033344i,-0.0025231+0.0022641i,-0.0069043+0.0044554i,-0.0032303+0.0047208i,-0.0051262+0.0056508i,0.0044412+0.0037165i,-0.00081193+0.0096486i,-0.0014657+0.014328i,0.00082103-0.00021126i,0.0001112-0.0047212i,-0.0016629-0.0038065i,-0.002749-0.0032983i,-0.0019713-0.0041427i,-0.0013308-0.0033155i,-0.0092175+0.0038665i,-0.00088803+0.00016998i,0.00033778+0.0019646i,-0.0011341+0.00039856i,-0.00060822+0.0018309i,-0.0020283+0.0011741i,-0.001943-0.00032511i,0.0050473+0.0010395i,0.0003594-0.00053918i,-0.00019798-0.0018464i,0.0010294-0.00040503i,0.00236+0.0019857i,-0.0042688-0.0070948i,-0.00058197+0.0015866i,-0.001062+0.0011687i,0.0011611-0.0014798i,0.0028924-0.0022899i,-0.0012974-0.0022852i,-0.0011974-0.0021493i,-0.0013786+0.0051961i,-0.0026739+0.0010425i,-0.037952+0.0074622i,-0.076302-0.048189i,-0.063712+0.0096483i,-0.082711-0.00057666i,-0.099747+0.013042i,-0.042313+0.021466i,-0.03987+0.057196i,-0.015939+0.029822i,-0.048025-0.015746i,-0.055851-0.033783i,-0.028856+0.010824i,-7.0861e-05-0.0048278i,0.014125+0.014664i,0.0047088-0.0073872i,-0.0025646-0.0072712i,-0.018229+0.010214i,-0.00041744+0.0031965i,0.002217+0.0056364i,0.0063916-0.0014035i,0.014165+0.0075902i,0.0016293+0.0032054i,0.0027963-0.0015671i,0.0017072-0.0072327i,0.0029014+0.0007067i,0.00069387+0.0015776i,-0.0061267+0.0047956i,-0.0028796-0.0026348i,0.0052403-0.0024084i,0.0073565+0.0056797i,0.00041454+0.00087411i,-0.010198-0.017295i,0.0059185-0.0056446i,0.0043947-0.0049595i,0.0044864+0.0022685i,0.0018692-0.00042388i,0.0033258-0.011881i,0.0015752+0.0016537i,-0.0074889+0.00573i,0.0010552+0.0040329i,0.0037594-0.0033865i,0.0030589-0.0085365i,9.4468e-05-0.0045475i,0.0061476-0.0049135i,-0.00070883-0.0062798i,0.0085091-0.021621i,-0.079517+0.012201i,-0.016733-0.0020641i,-0.0018514-0.015675i,-0.0015914-0.0068237i,-0.0075399+0.025797i,-0.012257+0.0049824i,-0.006954+0.012058i
-0.0081095+0.02368i,-0.02837+0.046531i,-0.0071649+0.036464i,-0.0039671+0.035074i,0.0066142+0.034032i,0.034626+0.017297i,0.016705+0.015006i,0.016683+0.028737i,-0.0027274+0.01901i,-0.0022401+0.0035337i,-0.0026318+0.0036137i,-0.0048767+0.0069366i,-0.0018475+0.0060912i,-0.0026955+0.0066502i,0.0051021+0.0022352i,0.0026475+0.0098632i,0.0045459+0.013385i,0.00086239-0.00024998i,-0.001325-0.004818i,-0.0029923-0.0028464i,-0.0031791-0.0018069i,-0.0027277-0.0032789i,-0.0022247-0.0026067i,-0.0078212+0.0047665i,-0.0015129+0.00074374i,8.5377e-06+0.0017622i,-0.0013572+0.00076668i,-6.0913e-06+0.0013714i,-0.0012299+0.0017239i,-0.0015644+0.00039062i,0.0047996-0.0007713i,0.00014801-0.00066902i,-0.00075242-0.0014112i,0.00062615-0.00088899i,0.0024679+0.0014874i,-0.0068026-0.0063391i,-0.00031966+0.0015027i,-0.00030142+0.0016896i,5.6878e-05-0.0014032i,0.0023944-0.0019892i,-0.0017457-0.0015734i,-0.0017991-0.0018445i,0.00057612+0.0051164i,-0.0025589+0.0043516i,-0.036733+0.015107i,-0.074215-0.030922i,-0.061439+0.012105i,-0.082514+0.016312i,-0.093275+0.033309i,-0.040592+0.024333i,-0.028341+0.056231i,-0.0082473+0.025325i,-0.047359-0.0097932i,-0.059993-0.026454i,-0.023538+0.015374i,-0.0035854-0.0045227i,0.017475+0.0027264i,0.002817-0.0090931i,-0.0058089-0.0035586i,-0.012538+0.016802i,0.0010681+0.0036915i,0.006241+0.0034953i,0.0051778+0.00020788i,0.017285+0.00039266i,0.0027468+0.0034094i,0.0021606-0.00088933i,-0.0028538-0.0088717i,0.0013328+0.0027005i,0.00091401+0.0034234i,-0.0016883+0.0083223i,-0.0019573-7.4423e-05i,0.0037375-0.0032433i,0.0083159+0.0011052i,0.0016075+5.9159e-05i,-0.015644-0.016038i,0.0030865-0.0068392i,0.0014818-0.0059517i,0.0041918-0.00027093i,0.001609-0.00015297i,0.0018411-0.010223i,0.0021894+0.00035536i,-0.0029414+0.008714i,0.002656+0.0023126i,0.0025832-0.0039281i,-0.0022325-0.0093825i,-0.00085083-0.0053942i,0.0026368-0.0054294i,-0.0025045-0.0059133i,-0.0013597-0.021909i,-0.075313+0.020674i,-0.015343+0.0096047i,-0.0062781-0.016136i,-0.0051627-0.0080503i,-0.0042172+0.024723i,-0.012146+0.010689i,-0.0030894+0.011674i
-0.005262+0.023388i,-0.021005+0.050894i,-0.0032651+0.038928i,0.00093389+0.033515i,0.008824+0.031307i,0.036171+0.010295i,0.019372+0.010381i,0.020382+0.024626i,0.00017044+0.019393i,-0.0016389+0.0038201i,-0.0014256+0.0055782i,-0.0019001+0.00857i,3.7576e-05+0.0068168i,-0.00042272+0.0065567i,0.0052355+0.00075494i,0.0057421+0.0088292i,0.0091224+0.010064i,0.0011506-0.00027716i,-0.002755-0.0041384i,-0.0036715-0.001309i,-0.003012-0.00068538i,-0.0034479-0.0025414i,-0.002754-0.0016946i,-0.0072218+0.0067165i,-0.0013746+0.0015924i,0.00017265+0.0021372i,-0.001133+0.0014693i,-0.0001271+0.00093517i,-0.00058154+0.001689i,-0.0011926+0.00073413i,0.0039092-0.0023055i,0.0001038-0.00038521i,-0.000804-0.0012135i,0.00021246-0.0010058i,0.0029714+0.00012906i,-0.0090374-0.0046808i,0.00022545+0.0016232i,0.00043935+0.0014498i,-0.00083983-0.0012512i,0.0021596-0.002088i,-0.0018677-0.00086299i,-0.0019421-0.0010968i,0.0019558+0.0040712i,-0.0011109+0.005917i,-0.032458+0.021369i,-0.072943-0.024283i,-0.060137+0.016536i,-0.076001+0.031122i,-0.081705+0.050034i,-0.037791+0.030091i,-0.018823+0.055397i,-0.0040902+0.019743i,-0.046025-0.005323i,-0.06251-0.016984i,-0.019425+0.018458i,-0.0045133-0.0041604i,0.011496-0.0076622i,-0.00060681-0.010746i,-0.006454-3.2681e-05i,-0.0055619+0.018362i,0.0012639+0.0028483i,0.0075283-0.0016775i,0.0063489-0.00023335i,0.015264-0.0055803i,0.0048683+0.002848i,0.0022217+0.00060141i,-0.0076531-0.0041124i,0.0025941+0.0044409i,0.0023105+0.004681i,0.0026899+0.0078499i,-0.0013103+0.00019867i,0.0026084-0.0038853i,0.0080514-0.0040962i,0.00053713-0.0010077i,-0.02154-0.010296i,0.00077868-0.0065705i,-0.00095413-0.0043803i,0.0046767+4.7768e-05i,0.0016346-0.00041822i,0.001087-0.011126i,0.0019199-0.00098061i,0.0012467+0.0071587i,0.0031179+0.0015054i,0.0020019-0.0030574i,-0.005936-0.0060556i,-0.0039955-0.0054878i,-1.2428e-05-0.0049775i,-0.0044038-0.005751i,-0.0083251-0.018009i,-0.069482+0.029409i,-0.0089538+0.0091419i,-0.0072107-0.015079i,-0.0077287-0.0075785i,0.00015971+0.0225i,-0.010694+0.013116i,-0.0017312+0.0096297i
-0.0024487+0.022996i,-0.012503+0.053973i,0.0025726+0.041152i,0.0052526+0.032078i,0.011024+0.02979i,0.036255+0.0035237i,0.020974+0.0052951i,0.023621+0.020373i,0.003807+0.019034i,-0.00076537+0.0042834i,0.0012858+0.0063928i,0.0015781+0.0083179i,0.0021105+0.0067626i,0.00103+0.0062928i,0.0050463-0.00046649i,0.0082897+0.0065404i,0.011646+0.0060042i,0.0013949-0.0012177i,-0.0038221-0.0029518i,-0.0033586+0.00051224i,-0.002516+0.00019437i,-0.0039065-0.0010183i,-0.0028752-0.00083011i,-0.0042372+0.0086492i,-0.00073777+0.0023298i,0.0010196+0.0022313i,-0.00053719+0.0019871i,-0.00051484+0.00097437i,-6.0767e-05+0.001697i,-0.00079984+0.0010425i,0.0023465-0.0033251i,0.00037832-0.00066358i,-0.001381-0.0010401i,-0.00018136-0.0010461i,0.002235-0.0010865i,-0.010637-0.0017022i,0.00064282+0.0014845i,0.00081811+0.0012097i,-0.0016688-0.00074204i,0.0019524-0.0023173i,-0.0016071-0.0004256i,-0.0017124-0.00071119i,0.0024555+0.0027088i,0.00093194+0.006877i,-0.028045+0.025087i,-0.078317-0.017973i,-0.058672+0.022185i,-0.067606+0.042875i,-0.066246+0.061422i,-0.033764+0.035037i,-0.0093952+0.053226i,-0.001811+0.016028i,-0.045177-0.001352i,-0.062575-0.0065117i,-0.015167+0.021658i,-0.0058479-0.0030375i,0.0033305-0.0093756i,-0.0044997-0.010838i,-0.0050732+0.0039627i,0.00027743+0.016802i,0.00065657+0.0022699i,0.0053488-0.0061814i,0.005633-0.0016737i,0.011147-0.011061i,0.0065015+0.0007598i,0.0034844+0.00090244i,-0.0081855-0.00039571i,0.0046555+0.0053021i,0.0046721+0.0051141i,0.0064129+0.0056488i,-0.00082299+0.0011842i,0.0020753-0.0041389i,0.0049426-0.007882i,-0.00038292+0.00038902i,-0.024534-0.001922i,-0.00059349-0.0060802i,-0.0018493-0.0025038i,0.0054577-0.00078171i,0.0017374-0.00066349i,-0.0013241-0.013047i,0.00073696-0.0014067i,0.004103+0.0061663i,0.0035771+0.00023024i,0.0027629-0.003394i,-0.0075263-0.0031283i,-0.0071255-0.002238i,-0.0031936-0.0036021i,-0.0059246-0.0049591i,-0.012538-0.01283i,-0.062994+0.03588i,-0.0071278+0.0073163i,-0.0077077-0.01742i,-0.0099807-0.0065563i,0.00093594+0.020843i,-0.0097568+0.014994i,-0.00034688+0.0082597i
0.00075113+0.022681i,-0.0026759+0.055068i,0.010417+0.041531i,0.0090554+0.030485i,0.014449+0.029413i,0.03548-0.0027734i,0.021091-0.0002483i,0.026436+0.015564i,0.0073108+0.017397i,0.00016279+0.0045306i,0.0036247+0.0052222i,0.0037719+0.0062606i,0.0040345+0.0061436i,0.0027641+0.0058467i,0.0046673-0.0015893i,0.0092632+0.0034167i,0.012181+0.0015424i,0.00040526-0.0020691i,-0.0046273-0.0013531i,-0.0021405+0.0015481i,-0.0016213+0.00049163i,-0.0034085+0.0001101i,-0.0028303+3.329e-07i,-0.00097047+0.0088098i,0.00024283+0.0025475i,0.0017498+0.0016155i,0.00032405+0.0020691i,-0.00029559+0.0015142i,0.00062613+0.0013237i,-0.00037111+0.00098862i,0.00077622-0.0035076i,-8.4758e-05-0.0010019i,-0.0017403-0.00029737i,-0.00063426-0.00091838i,0.0013396-0.0017034i,-0.010583+0.0019549i,0.00097904+0.0012588i,0.001244+0.00079016i,-0.0022485+0.00016765i,0.0015733-0.0026719i,-0.0015461-0.00024553i,-0.0015611-0.00047944i,0.0023305+0.0018581i,0.0032093+0.0069598i,-0.023886+0.028498i,-0.08669-0.0048276i,-0.054595+0.027707i,-0.056432+0.051357i,-0.050818+0.068762i,-0.028803+0.041337i,-0.00031465+0.049181i,0.0027083+0.012324i,-0.044053+0.0039927i,-0.059595+0.003742i,-0.010419+0.024585i,-0.0073353-0.0019726i,-0.0020433-0.0089024i,-0.0085414-0.0094546i,-0.001264+0.0053989i,0.0031081+0.013641i,-0.00058287+0.0023832i,0.0021463-0.0088936i,0.0055779-0.0013648i,0.0044733-0.013572i,0.0067304-0.0026096i,0.0047946-0.00017141i,-0.0080384+0.0037392i,0.0079792+0.0045658i,0.0079854+0.002811i,0.0085104+0.0018441i,0.00048041+0.0019124i,0.0011575-0.0044562i,-0.00089666-0.0087852i,0.00086358+0.0019821i,-0.024145+0.0072588i,-0.0019053-0.0057952i,-0.0013537-0.00044007i,0.0058195-0.0042544i,0.0018218-0.00075934i,-0.0070169-0.013322i,-0.00022581-0.0011763i,0.0061047+0.0034298i,0.0035599-0.00040464i,0.0022696-0.004557i,-0.0073167+0.0011974i,-0.0071158+0.0022299i,-0.0048324-0.0012629i,-0.0080265-0.0041222i,-0.0145-0.0077915i,-0.057872+0.041891i,-0.0070932+0.0094264i,-0.011983-0.021516i,-0.0098142-0.0045762i,0.0032278+0.020842i,-0.0088774+0.018092i,0.0014577+0.006051i
0.0041618+0.021469i,0.0067909+0.053759i,0.018133+0.038843i,0.013131+0.028677i,0.019049+0.028175i,0.033965-0.0086219i,0.019688-0.0053963i,0.028101+0.010234i,0.009977+0.014934i,0.0009712+0.0047507i,0.0044274+0.0036712i,0.0043878+0.0044406i,0.0055938+0.0046435i,0.0041945+0.0046394i,0.0039061-0.0026193i,0.0088021+0.00065265i,0.011039-0.00211i,-0.00050539-0.0019001i,-0.0043485+0.0003187i,-0.000918+0.0017154i,-0.00088634+0.00021058i,-0.0028855+0.00069084i,-0.002358+0.0006927i,0.0016611+0.0084579i,0.0013202+0.0021217i,0.0021032+0.00097841i,0.0010952+0.001712i,0.00035992+0.0016131i,0.00089723+0.00066826i,-0.00024719+0.00093356i,-0.00062602-0.0030397i,-0.0007189-0.00089868i,-0.0015433+0.00040579i,-0.0010302-0.00055666i,0.00061027-0.0019648i,-0.0093318+0.0050126i,0.0012294+0.00076279i,0.0014577+0.00015318i,-0.002052+0.0013608i,0.00098759-0.0033441i,-0.001519+8.0103e-05i,-0.0015934-0.00068566i,0.002028+0.0014245i,0.0053107+0.0061602i,-0.019164+0.031319i,-0.08877+0.015491i,-0.052013+0.031735i,-0.045894+0.056068i,-0.033913+0.073268i,-0.020513+0.047555i,0.0059826+0.043038i,0.0049257+0.0047555i,-0.040258+0.0087169i,-0.053711+0.013811i,-0.0033477+0.025279i,-0.0087514+0.00042793i,-0.0077024-0.0062667i,-0.011569-0.0064251i,0.0017082+0.0036831i,0.0043589+0.011975i,-0.0025571+0.0039427i,-0.0017137-0.011085i,0.0063959-0.0035012i,-0.0018936-0.012072i,0.0046317-0.0049466i,0.0052429-0.0023767i,-0.0062026+0.007116i,0.010634+0.00077698i,0.008586-0.0022422i,0.0081048-0.0035825i,0.0025477+0.0013058i,2.0318e-05-0.0045428i,-0.004549-0.0049693i,0.0029748+0.00095708i,-0.019931+0.017389i,-0.0035156-0.0048318i,0.00015203+0.00047235i,0.0027046-0.0062715i,0.0020174-0.00087562i,-0.012629-0.009531i,-0.0001948-1.2874e-05i,0.006615-9.5051e-05i,0.0031421-0.0013843i,0.001053-0.0048062i,-0.0048355+0.0046892i,-0.0045203+0.0053569i,-0.0049225+0.0023306i,-0.010418-0.0021458i,-0.014474-0.0040265i,-0.050847+0.050138i,-0.00074257+0.011456i,-0.019364-0.021355i,-0.0090564-0.0045541i,0.0050752+0.020282i,-0.0056262+0.02151i,0.0017358+0.0023439i
