-0.026138-0.019356i,-0.032528-0.033203i,-0.022306-0.020068i,-0.032393-0.020754i,-0.02411+0.0038722i,-0.028817-0.018044i,-0.055484-0.047721i,-0.041128-0.044764i,-0.029452-0.023803i,0.0055094+0.0061011i,-0.0030985+0.0066225i,-0.010915+0.011212i,0.0040126+0.0069316i,-0.0035868-0.0027479i,0.0030444+0.0016999i,0.0015722+0.028181i,0.025431+0.031717i,-0.00044155-2.3631e-05i,-0.0028334-0.0028853i,0.0076572+0.0038574i,0.0019828+0.00056102i,-6.6956e-05+0.002553i,-0.00051981+0.00016111i,-0.03171-0.0014143i,-0.0031059-0.0048287i,4.0503e-05+0.0025008i,0.0037231-0.0008825i,0.00098181-0.00028533i,-0.00062185-0.00043398i,-0.00068872-0.002072i,-0.0020476-0.00064628i,-0.0041457-0.0038549i,-0.0029518-0.0051809i,0.0004777-0.0012604i,0.00083158-0.0031402i,-0.0014989+0.025626i,0.0019984-0.0030268i,0.0023015-0.0040409i,0.0043251-0.0023571i,-0.0052827-0.0020486i,0.0010666+0.0015251i,0.010577-0.00020934i,-0.00025882+0.00048275i,-0.0037268+0.0020858i,-0.0083287-0.00068574i,-0.019346+0.020888i,-0.0081029-0.087491i,-0.0025402-0.061488i,-0.020955-0.054073i,-0.011662-0.045846i,0.053036-0.027693i,0.023745-0.067509i,0.040726-0.055002i,0.018237-0.038276i,0.026815-0.019275i,0.012124+0.01197i,0.025381-0.028629i,-0.011483-0.00067937i,-0.0014629-0.00072352i,-0.0086474-0.0016161i,-0.0050789-0.029754i,-0.020503+0.026562i,0.0075159-0.0095449i,-0.010695-0.003312i,-0.0028603-0.0019841i,-0.00047112-0.014738i,-0.008292+0.0051797i,0.0062446+0.010771i,-0.010017+0.030422i,0.0061205+0.0076186i,-0.0034331-0.0015208i,-0.0023595-0.0014834i,-0.01286-0.0057269i,0.00062199-0.0045468i,-0.03294+0.0028747i,0.0032518-0.0085124i,-0.007392-0.0020224i,-0.0054882-0.0031015i,0.0070287+0.0018222i,-0.010426+0.00065594i,0.0023311-0.00013881i,0.0059324+0.0077869i,0.0055852+0.0010357i,-0.0077149-0.010487i,0.0027178+0.0080724i,-0.019105+0.0077879i,0.0035074+0.005329i,-0.021724-0.0095098i,-0.028083-0.0041358i,0.0091997-0.063089i,0.018628-0.014882i,-0.05041-0.028565i,-0.02139+0.0016288i,0.01866+0.010455i,-0.026765+0.011896i,-0.013129-0.0073143i
-0.0096207+0.013222i,-0.022272+0.041922i,0.0012377+0.041085i,-0.010443+0.025201i,-0.00028561+0.02138i,0.0015623+0.023469i,-0.026504+0.014775i,-0.026817+0.032927i,0.0011101+0.017324i,-0.0015019-0.0015095i,-0.00094099+0.0017054i,0.0041282+0.0037797i,0.0033033+0.0050046i,-0.0031214+0.0017649i,-0.0030571+0.0036497i,0.00046405-0.0075632i,-0.0079846-0.00094491i,-0.0020014+9.8379e-05i,0.00032034-0.001431i,-0.00099037-0.00049398i,0.00071025-0.0032093i,0.001235-0.0027089i,0.0011097-0.001549i,-0.0093715-0.0092751i,-0.00025806-0.00040542i,-0.0014881+0.00033945i,-0.0024786+0.00019822i,-0.0028574-0.00017955i,-0.00099167-0.00082306i,0.0010559-0.00052822i,-0.0017248+0.00036812i,0.0014349+0.00020655i,0.0018551-0.00084066i,0.00060011+0.0005544i,-0.0005433+0.0018926i,-0.00069793-0.0071885i,-0.0012938+0.00099136i,0.0018424-3.139e-06i,0.00055543+0.0022982i,0.004586+0.0057739i,0.00095226-0.001403i,-0.0018319-0.0010695i,-0.0017576-0.0025006i,0.0037497+0.0048104i,-0.0081406+0.0065144i,0.019794-0.058115i,-0.074851+0.015169i,-0.028024-0.018504i,-0.061301-0.047803i,-0.053233-0.016725i,-0.087009+0.0035708i,-0.074251+0.0017789i,-0.045462-0.034989i,-0.0094375-0.045593i,-0.038851-0.025747i,-0.0061028+0.00054961i,-0.031519+0.010288i,0.0075986+0.011661i,0.0096985+0.0074573i,0.00079962-0.0077415i,0.011063+0.0032201i,-0.011682-0.0033861i,0.0028315+0.012162i,0.0021345+0.006683i,1.8676e-05-0.001431i,0.0054741+0.0018729i,0.0039131+0.00068906i,-0.0041835+0.01881i,-0.00048877+0.0096845i,0.00016993-0.0039468i,0.008292-0.0057774i,0.0012537+0.0040963i,-0.0083218-0.0069232i,-0.0023203-0.00093246i,0.021121-0.030535i,0.0050117+0.0086473i,0.0019621+0.002958i,-0.0017779+0.0041791i,0.0026153-0.003808i,0.019347+0.003149i,0.00092321-0.0022909i,-0.003026-0.0061707i,-0.00034088-0.0018119i,0.011213+0.0049784i,0.0051251-0.0010274i,0.0030665-0.0077571i,0.0043858+0.0049396i,-0.0044166+0.003024i,0.013546+0.0056739i,-0.042355-0.037083i,-0.01268+0.0054949i,-0.0024472-0.0014624i,-0.00037044+0.002074i,-0.040777+0.011496i,-0.0068889+0.0090835i,-0.013012+0.0036815i
-0.0070921+0.013548i,-0.015163+0.042679i,0.010395+0.034909i,-0.0054725+0.025961i,0.0026848+0.019027i,0.0059784+0.022198i,-0.025416+0.019498i,-0.019439+0.035123i,0.0046977+0.011283i,-0.0018824-0.00054165i,-0.00018292+0.0028726i,0.0047742+0.001352i,0.004182+0.0031677i,-0.0016194+0.0029874i,-0.0022782+0.0046784i,-0.0041757-0.0055496i,-0.0088188+0.0032589i,-0.0017325+0.00086572i,0.00096868-0.00095693i,-0.00049441-5.9557e-05i,-0.00012701-0.0031089i,0.00098767-0.0021677i,0.00084919-0.0015292i,-0.011469-0.0061462i,-2.4559e-06-0.00024368i,-0.0014054+0.000743i,-0.0017285+0.0010666i,-0.0024167+0.00068138i,-0.0012859-0.0006313i,0.0011042-0.00073497i,-0.0014698+0.0012828i,0.00098812-0.00013964i,0.0010539-0.0014851i,0.00017462+0.00048704i,-0.0010591+0.0014934i,-0.00084331-0.0056564i,-0.00077035+0.001063i,0.00084641-0.00045499i,0.00050526+0.002424i,0.0056193+0.0029667i,0.0005163-0.0018903i,-0.0026066-0.0007549i,-0.0032651-0.0013923i,0.00487+0.0038786i,-0.0062764+0.0044668i,0.0014202-0.067593i,-0.065606+0.029552i,-0.035136-0.021174i,-0.074057-0.038917i,-0.053344-0.0054752i,-0.07836+0.021559i,-0.071822+0.016806i,-0.040357-0.033915i,-0.014991-0.04358i,-0.045316-0.011002i,-0.0069675+0.00046577i,-0.024973+0.022961i,0.010141+0.0059081i,0.011861+0.0013365i,-0.0046625-0.01181i,0.0074465+0.0022268i,-0.011317+0.0029783i,0.0076027+0.01003i,0.0040983+0.0074799i,-0.00068836-0.00097814i,0.0063122+0.0021796i,0.005045+0.00060897i,0.0043781+0.015659i,0.0040653+0.006045i,-0.0036699-0.0050612i,0.0022545-0.0068945i,0.0029589+0.0047772i,-0.010573+0.00028118i,-0.0021201+0.0016186i,0.0068916-0.031355i,0.0081287+0.0073717i,0.0042917+0.0021242i,0.0018643+0.0030858i,-0.00056816-0.0016923i,0.01748-0.0058362i,-0.00062916-0.0025818i,-0.0061003-0.0041205i,-0.0028663-0.00071399i,0.010185+0.00040892i,0.0040594-0.0006197i,9.1117e-06-0.0060433i,0.0062187+0.0036183i,-0.0045405+0.00447i,0.01314+0.00091773i,-0.048831-0.030986i,-0.0068811-0.0049969i,-0.0030466-0.0022895i,0.00071722+0.00041595i,-0.033908+0.023331i,-0.0046456+0.010245i,-0.010426+0.005628i
-0.004346+0.013138i,-0.0086531+0.043352i,0.015475+0.027263i,-0.00064521+0.024727i,0.0063325+0.017814i,0.0099729+0.019708i,-0.022091+0.024419i,-0.012592+0.034972i,0.0034101+0.0066184i,-0.0020316+0.00064455i,0.0016648+0.0033482i,0.0023387-0.00013999i,0.0043992+0.0018475i,-0.00069399+0.0031051i,-0.00093735+0.0055901i,-0.0071522-0.0010537i,-0.007098+0.0075236i,-0.00086821+0.0014243i,0.0016135-0.0019041i,0.00014253-0.00033625i,-0.0010556-0.0030126i,0.00091052-0.0028289i,0.00071174-0.0017082i,-0.013186-0.0028458i,-0.00011159-0.00019145i,-0.0009091+0.0013797i,-0.00082089+0.00078259i,-0.001565+0.0016119i,-0.0013256-0.00055971i,0.00068916-0.0014098i,-0.0006606+0.0017139i,0.00065164-0.00037348i,0.00028499-0.0014116i,0.00043286+0.00031445i,-0.00061569+0.0024756i,-0.00012626-0.0056408i,-0.00069817+0.00084241i,0.0003598-0.00064081i,0.0022581+0.0013711i,0.0052452+0.00082611i,-0.00014263-0.0019471i,-0.0017995+0.00042955i,-0.0040985+0.00016444i,0.005572+0.0021514i,-0.0061788+0.0031031i,-0.020794-0.068116i,-0.051705+0.038764i,-0.044133-0.018036i,-0.082126-0.023915i,-0.048874+0.0031629i,-0.063327+0.033079i,-0.058853+0.029814i,-0.044628-0.035334i,-0.020136-0.04223i,-0.044691+0.0043363i,-0.0070409+0.0018305i,-0.012786+0.028997i,0.01064+0.0012074i,0.0084801-0.004863i,-0.015012-0.01038i,0.0070593+0.00047011i,-0.008069+0.006886i,0.01053+0.0047208i,0.0063547+0.0064267i,-0.0027464+0.00044666i,0.0067669-0.0014008i,0.0064599-0.001823i,0.0076868+0.0098173i,0.0043011+0.0021951i,-0.0082593-0.0018299i,-0.00017903-0.0049378i,0.0057412+0.0037975i,-0.0062786+0.0088476i,0.00019531+0.0030486i,-0.0033438-0.027561i,0.01174+0.0034219i,0.0041952+3.7551e-05i,0.0021018+0.0010915i,0.00047485+0.00019172i,0.01146-0.010859i,-0.0027633+0.00040938i,-0.0071736-0.00068047i,-0.0032638+0.0025856i,0.0070873-0.0022884i,0.0066079-0.0019658i,-0.00018781-0.0054198i,0.0090012+0.00072397i,-0.0017554+0.0054021i,0.011326-0.003225i,-0.05345-0.020458i,-0.013028-0.013581i,-0.0021386-0.0032965i,0.0016966-0.0014734i,-0.023458+0.028955i,-0.002782+0.0057026i,-0.0071525+0.0017948i
-0.0021453+0.011805i,-0.0013757+0.043759i,0.017595+0.020001i,0.0040866+0.023484i,0.010488+0.014358i,0.013352+0.016289i,-0.016893+0.028218i,-0.0073286+0.033247i,0.0020333+0.0054347i,-0.0013938+0.0018073i,0.0028975+0.0020836i,0.0011393+0.0014945i,0.0042155+0.00068015i,-0.00050712+0.0036229i,0.00055517+0.0057637i,-0.0065972+0.0044482i,-0.0028452+0.010451i,-3.1474e-05+0.0012334i,0.00069616-0.0024599i,-6.7788e-05-0.00096922i,-0.0018707-0.0023301i,0.00025715-0.0030848i,0.00040973-0.0021748i,-0.013307+0.0018656i,-3.6402e-05-0.00025685i,4.8894e-05+0.00098212i,-0.00071346+0.00030992i,-0.00038412+0.0016038i,-0.0015543+6.0932e-05i,-0.00012994-0.0013894i,9.2828e-05+0.001631i,0.00037412-0.00051375i,-0.00057148-0.0010981i,0.00044134+0.00011696i,0.0008567+0.0023015i,-0.00075897-0.0073882i,-0.00026989+0.0011412i,-0.0003368-0.00054771i,0.0017455-0.00074458i,0.0046258-0.00062817i,-0.00059084-0.0018099i,-0.0010582+0.00029437i,-0.0038864+0.0020327i,0.0045651-0.00015531i,-0.0068518+0.0031483i,-0.039967-0.056634i,-0.037992+0.041078i,-0.050961-0.010096i,-0.086142-0.0081042i,-0.042818+0.0084882i,-0.050011+0.037073i,-0.045062+0.032627i,-0.049475-0.029428i,-0.025011-0.038169i,-0.039542+0.015856i,-0.0071717+0.0031979i,-0.0010134+0.029217i,0.0095024-0.0034297i,0.0029942-0.0066824i,-0.021278-0.00088663i,0.0043986-0.00020359i,-0.0041801+0.0082529i,0.0094211-0.0014742i,0.0085126+0.0049549i,-0.0027191+0.0031029i,0.0036576-0.0026231i,0.0056501-0.0060798i,0.0073924+0.003913i,0.0018666+0.00021982i,-0.0082445+0.0021548i,-0.0016757-0.00362i,0.0069569+0.0014219i,0.0028161+0.0099982i,0.0017338+0.0019313i,-0.009255-0.021866i,0.011751-0.0010677i,0.003709-0.001383i,0.0027062+0.0015595i,0.0009695-0.0001027i,0.0059794-0.011089i,-0.00016074+0.0028436i,-0.0066457+0.0025853i,-0.00077947+0.0043392i,0.0049752-0.0020915i,0.0065541-0.006106i,-0.0022166-0.0047775i,0.0080311-0.0046715i,-0.00042623+0.0042323i,0.0091965-0.0072084i,-0.051874-0.00817i,-0.022937-0.01432i,-0.0029969-0.0068778i,0.0023991-0.0052215i,-0.015252+0.029553i,-0.0065229+0.0039506i,-0.0097128-0.00035673i
-0.0010392+0.010623i,0.0054485+0.042176i,0.017042+0.014412i,0.0086967+0.020648i,0.012843+0.0096759i,0.015379+0.012428i,-0.010571+0.02992i,-0.0031464+0.031779i,0.0021028+0.0052697i,2.9035e-05+0.0023214i,0.0030562+0.0010846i,0.0019588+0.0024606i,0.0038998-0.00031606i,0.00097316+0.0044787i,0.0021357+0.005549i,-0.0034195+0.0077528i,0.0016983+0.010736i,0.00039044+0.0010195i,0.00028609-0.0023281i,-0.00063648-0.0010853i,-0.0025658-0.0016247i,-0.00055184-0.0029543i,-0.00045606-0.0023651i,-0.010678+0.0054834i,-0.00028078-0.00069305i,1.4989e-05+0.00019332i,-0.0008305+0.00035096i,0.00019005+0.001056i,-0.0013093+0.00082113i,-0.00025483-0.00089552i,0.00052819+0.0014102i,0.0002773-0.00086518i,-0.0010065-0.00039648i,0.00028098-3.6357e-05i,0.0010759+0.0014512i,-0.0030935-0.0084397i,1.4938e-05+0.0010768i,-0.0004833+0.0001595i,0.00048209-0.0010454i,0.0037871-0.0011522i,-0.0010041-0.0016796i,-0.00081659+0.00035282i,-0.0024957+0.003481i,0.0029604+0.00039547i,-0.0066355+0.0044334i,-0.047411-0.03961i,-0.027771+0.039057i,-0.055176+0.0001476i,-0.087284+0.0090476i,-0.038475+0.0095423i,-0.038454+0.038105i,-0.035091+0.032378i,-0.050926-0.023709i,-0.027444-0.034613i,-0.032+0.025899i,-0.0065421+0.0047343i,0.011668+0.024728i,0.0069845-0.0062132i,-0.0016618-0.0055052i,-0.020786+0.0084237i,0.0034415+0.0002623i,-0.00014631+0.0094484i,0.0041011-0.0035368i,0.010151+0.0022586i,-0.001285+0.005075i,0.0015757-0.0016011i,0.0027419-0.0090656i,0.0040349+0.0023384i,-0.00019613+0.0012103i,-0.0077702+0.007005i,-0.002842-0.0014194i,0.0069529-0.0012204i,0.0070186+0.0052669i,0.002274+0.0010581i,-0.012282-0.019239i,0.0099814-0.0053467i,0.0026106-0.0024388i,0.0049951+0.00039308i,0.0012169-0.00022133i,0.0030872-0.009783i,0.0021353+0.0020038i,-0.0041167+0.0056584i,0.0018687+0.0040794i,0.0045872-0.0019549i,0.0032698-0.010549i,-0.0026322-0.0032398i,0.0039479-0.0078689i,-0.00064004+0.0031946i,0.0043672-0.010657i,-0.045982-0.0020056i,-0.032902-0.006181i,-0.0057271-0.008957i,0.00058161-0.0098074i,-0.0085804+0.029321i,-0.009994+0.0065007i,-0.011083+0.0014618i
-3.5837e-05+0.009867i,0.011648+0.039953i,0.016272+0.011552i,0.011837+0.01667i,0.012912+0.004943i,0.016717+0.0089423i,-0.0040189+0.029338i,0.00044913+0.030502i,0.002606+0.0038854i,0.00084374+0.0016204i,0.0026663+0.00028428i,0.0029769+0.0025499i,0.0033586-0.001148i,0.0026927+0.0037845i,0.0033876+0.0047613i,0.00021351+0.0088673i,0.0060849+0.0089495i,0.00077346+0.00079908i,-0.00037666-0.0025664i,-0.0011986-0.00091675i,-0.0026069-0.00047319i,-0.00098993-0.0027276i,-0.0010978-0.0019693i,-0.0083949+0.0067282i,-0.00083751-0.00052208i,-0.00028984+1.3672e-05i,-0.00092851+0.0004462i,0.00042153+0.00037216i,-0.00054894+0.0011656i,-0.00032604-0.00079408i,0.0010604+0.0012376i,-0.00020868-0.0010748i,-0.00094025+0.00013932i,4.4413e-06-0.00015012i,0.0011941+0.0015128i,-0.0060428-0.0082569i,6.207e-05+0.00079277i,-1.6753e-05+0.00035502i,-0.00017127-0.00081577i,0.003252-0.0015194i,-0.0013131-0.0010435i,-0.00076086+0.00036057i,-0.00060216+0.0037961i,0.0030326+0.0012314i,-0.0054516+0.005907i,-0.045885-0.027403i,-0.020551+0.036881i,-0.05552+0.013339i,-0.08223+0.029319i,-0.039148+0.010285i,-0.029544+0.036406i,-0.026683+0.031058i,-0.050691-0.017552i,-0.030826-0.031843i,-0.022813+0.030448i,-0.0061815+0.0065346i,0.018322+0.011099i,0.0045469-0.0085473i,-0.0047408-0.0020516i,-0.015542+0.016334i,0.0036023-0.00059306i,0.0048565+0.0069547i,0.0013053-0.0012569i,0.011272-0.0020001i,0.00072527+0.0064286i,0.00090724-0.00055455i,-0.0030202-0.010728i,0.0023592+0.0041275i,-0.00024636+0.0033327i,-0.0020743+0.011524i,-0.0017474+0.00060992i,0.0057697-0.0029788i,0.0077072+0.0011252i,0.0031761-0.00045894i,-0.018189-0.017961i,0.0062762-0.0076941i,0.00080902-0.0028713i,0.0041005-0.0018399i,0.0010672+0.00060272i,0.0020139-0.0081833i,0.0030617+0.00040314i,-0.00073904+0.0066069i,0.0030757+0.0018196i,0.0037559-0.0031018i,-0.0029359-0.010527i,-0.0029011-0.0032133i,2.4118e-05-0.0075592i,-9.4297e-05+0.0026984i,-0.001864-0.01034i,-0.04328+0.0019076i,-0.030411+0.0085945i,-0.0089856-0.0090956i,-0.0037523-0.011789i,-0.0037525+0.027811i,-0.0090809+0.01193i,-0.0086596+0.0026403i
0.0010226+0.0091003i,0.017619+0.037384i,0.016599+0.0092742i,0.013432+0.012403i,0.011493+0.0016588i,0.017615+0.0053838i,0.0014286+0.027477i,0.0038777+0.02955i,0.0029858+0.0031009i,0.00094278+0.0012324i,0.0022475+0.00040154i,0.0045051+0.0023443i,0.002499-0.0016707i,0.0036064+0.0019976i,0.004196+0.003777i,0.0035121+0.0084496i,0.0089369+0.0057042i,0.0011444+0.00054084i,-0.0011219-0.00252i,-0.0015577-0.00037066i,-0.0021195+0.00030663i,-0.0016316-0.00253i,-0.0014688-0.0014937i,-0.0069117+0.0086743i,-0.0010769-0.00017438i,-0.00058916+0.00028622i,-0.0010181+0.00083032i,-6.6559e-05-0.00013941i,-0.00017496+0.00091434i,-0.00058289-0.00075987i,0.0015328+0.000701i,-0.0003391-0.000577i,-0.00046059+0.00022368i,-7.1159e-05-5.7223e-05i,0.0017967+0.00069834i,-0.0090082-0.0070657i,0.00024175+0.00082085i,7.0946e-05-0.00013718i,-0.0006314-0.00058383i,0.0027449-0.0020494i,-0.0011803-0.00043078i,-0.00041296+0.00052741i,0.00067569+0.0028389i,0.003629+0.00084364i,-0.0033401+0.0063348i,-0.044302-0.022756i,-0.015393+0.035324i,-0.049652+0.025467i,-0.070482+0.045995i,-0.039441+0.015952i,-0.022921+0.035194i,-0.021168+0.02821i,-0.050049-0.013449i,-0.033546-0.026987i,-0.014745+0.033173i,-0.0036046+0.0072639i,0.013102-0.001619i,0.00066217-0.010632i,-0.0049587+0.0010868i,-0.0087745+0.01902i,0.0021593-0.0019973i,0.0064556+0.0024073i,0.002034-0.0003073i,0.0094535-0.0054189i,0.0048038+0.0063099i,0.0010332+0.001225i,-0.0084352-0.0051306i,0.0038008+0.0057328i,0.0012839+0.0047769i,0.0037195+0.010942i,-0.00091795+0.00097719i,0.0045739-0.0044297i,0.0076588-0.0040512i,0.0016456-0.0017948i,-0.024952-0.011529i,0.0030692-0.0081983i,-0.00042489-0.0017905i,0.0042082-0.00099705i,0.00175+0.00047316i,0.0023478-0.0093712i,0.0024431-0.0012332i,0.002098+0.005156i,0.0028966+0.0010805i,0.0032722-0.0024884i,-0.0063558-0.0067401i,-0.0045255-0.0025424i,-0.003556-0.0062504i,-2.7476e-06+0.0017412i,-0.0054745-0.0071049i,-0.039893+0.0067052i,-0.02405+0.010379i,-0.0087156-0.0086965i,-0.0074536-0.011137i,0.0013002+0.024946i,-0.0067496+0.01342i,-0.0084812+0.0021977i
0.0019004+0.0082237i,0.023437+0.034037i,0.017507+0.0072964i,0.013808+0.0089253i,0.0095858-0.00034706i,0.017778+0.0019215i,0.0060236+0.024647i,0.0076811+0.028423i,0.0036421+0.0016714i,0.0011154+0.0010366i,0.0026036+0.00060499i,0.0059396+0.00047924i,0.0016799-0.0017381i,0.0030455+0.00084586i,0.0048771+0.002914i,0.0062826+0.0060519i,0.010111+0.0024852i,0.0015265-0.00010762i,-0.0019024-0.0022659i,-0.0014565+0.00055763i,-0.0014865+0.00086019i,-0.0021295-0.0016737i,-0.0015804-0.0010713i,-0.0031606+0.010264i,-0.0010586+0.00022737i,-0.00038246+0.00071119i,-0.00086647+0.0013537i,-0.00084124+3.1481e-05i,3.3816e-05+0.00083235i,-0.00073905-0.00055464i,0.0015497+2.2908e-05i,-0.00010304-0.00068322i,-0.00055604+0.00021665i,-0.00018446-3.9858e-05i,0.001481-0.00012688i,-0.011585-0.0041189i,0.0003309+0.00074625i,-0.00022289-0.00015172i,-0.0010843-0.00025302i,0.0022106-0.0023785i,-0.00081559-0.00031366i,-0.00027597+0.00037332i,0.00092701+0.0019278i,0.0038757+0.00036024i,-0.001572+0.0053886i,-0.046835-0.019156i,-0.011179+0.033589i,-0.041754+0.034674i,-0.055087+0.056228i,-0.038321+0.021549i,-0.016302+0.033142i,-0.017025+0.026624i,-0.050501-0.0098634i,-0.034602-0.021167i,-0.0059507+0.033968i,-0.001836+0.0066728i,0.0056272-0.004063i,-0.0036915-0.010662i,-0.0032894+0.0044311i,-0.0025173+0.018243i,-0.00024116-0.0024417i,0.0055473-0.001934i,0.0015432-0.00011222i,0.0065495-0.0084819i,0.00788+0.0035582i,0.0024337+0.0017718i,-0.0088865-0.0008999i,0.0060648+0.0062254i,0.003643+0.0054226i,0.0088529+0.0083233i,-0.00037522+0.001564i,0.0037533-0.0054564i,0.0046652-0.0077765i,0.00054827-0.00069849i,-0.028769-0.0019909i,0.00093687-0.0080678i,-0.00047467-0.00053105i,0.0049483-0.001213i,0.002038-3.0892e-05i,0.00077535-0.01179i,0.0007802-0.0015765i,0.0037105+0.0038777i,0.0033783+2.847e-05i,0.0045278-0.0032491i,-0.007752-0.00384i,-0.0061413+4.6631e-05i,-0.0066476-0.0038308i,-0.00015949+0.00081753i,-0.0066757-0.0040438i,-0.036433+0.0097916i,-0.021641+0.011339i,-0.0085566-0.01068i,-0.010293-0.0098228i,0.0019702+0.022315i,-0.0058165+0.013516i,-0.0077305+0.0026261i
0.0028751+0.0075094i,0.02958+0.02937i,0.019301+0.0046871i,0.01368+0.0061572i,0.008372-0.00080217i,0.01743-0.0012962i,0.0092939+0.02084i,0.012019+0.026556i,0.0035698-0.0002672i,0.0012069+0.00065079i,0.0030491-0.0001029i,0.0054602-0.002301i,0.0011413-0.0015452i,0.0027663+0.00040187i,0.0055474+0.0016936i,0.00691+0.0031365i,0.0098145-0.0010129i,0.0010156-0.00089264i,-0.0027861-0.0015703i,-0.00073499+0.0010294i,-0.00057935+0.00082153i,-0.0020278-0.0011057i,-0.0017299-0.00065971i,0.00052753+0.0096758i,-0.00082327+0.00048982i,-4.6666e-05+0.0007678i,-0.00026187+0.0016991i,-0.00095916+0.00071261i,0.00036014+0.00042884i,-0.00080029-0.00040777i,0.0012648-0.00050928i,-0.00064569-0.00078426i,-0.00052423+0.0005045i,-0.00031708+6.8818e-05i,0.00099871-0.00049183i,-0.012361+9.0633e-05i,0.0003195+0.00063775i,-0.00017916-6.5776e-06i,-0.0012073+0.00031338i,0.0015638-0.0026733i,-0.0008904-0.00036769i,-0.0001321+0.00028862i,0.00074356+0.0014295i,0.0039794-0.00036103i,-0.00094071+0.0043646i,-0.051795-0.012168i,-0.0073276+0.031795i,-0.030703+0.040091i,-0.040064+0.062612i,-0.036064+0.029565i,-0.010286+0.029461i,-0.010955+0.024365i,-0.050855-0.0047148i,-0.033554-0.015192i,0.0011891+0.033029i,-0.0013179+0.0059481i,0.00075195-0.0045776i,-0.0082001-0.0094794i,0.00065302+0.0052817i,0.0007079+0.016081i,-0.0030673-0.0014686i,0.0029786-0.0051285i,0.0023669+0.0016328i,0.0021074-0.010269i,0.009071-0.00095118i,0.0037181+0.0011799i,-0.0086076+0.0035945i,0.0097481+0.0053949i,0.007305+0.0039835i,0.012028+0.0031002i,0.00064884+0.0021085i,0.0021439-0.0062888i,-0.00078896-0.0086675i,0.0013702+0.0007565i,-0.028849+0.0089854i,-0.0011975-0.0078226i,0.00025643+0.00071444i,0.0053851-0.0045846i,0.0025208-0.00031941i,-0.0041786-0.013348i,-0.00024766-0.0009021i,0.0046857+0.0019887i,0.0032053-0.00054231i,0.0041115-0.0048291i,-0.0081488+0.0006151i,-0.0056008+0.0034031i,-0.0078758-0.00040506i,-0.0013288-0.00048317i,-0.0065805-0.0015604i,-0.033701+0.012355i,-0.020212+0.015677i,-0.010991-0.014467i,-0.010683-0.0076274i,0.0040881+0.021758i,-0.005724+0.015781i,-0.0061733+0.0015208i
0.0039302+0.0063931i,0.034443+0.022914i,0.020577+0.0003822i,0.013408+0.0039045i,0.0081181-0.0010578i,0.01681-0.0042211i,0.011092+0.017152i,0.015655+0.02352i,0.0025426-0.001858i,0.0010577+0.00050838i,0.0028326-0.00089112i,0.0034367-0.0038021i,0.00076369-0.0014373i,0.002459+1.3558e-05i,0.0056745+0.00021474i,0.0060197+0.001348i,0.0083647-0.0037061i,0.00054768-0.0010441i,-0.002924-0.0005247i,-3.3627e-05+0.00097953i,0.00020627+0.00046161i,-0.0019275-0.00090502i,-0.0016212-0.00028693i,0.0032846+0.0087434i,-0.00059728+0.00057513i,0.0001783+0.00073457i,0.0004274+0.0014144i,-0.00052921+0.0011361i,0.0002338-8.3316e-05i,-0.0010039-0.00016928i,0.00088127-0.0008391i,-0.0011062-0.00032902i,-0.00018397+0.00076942i,-0.00033094+0.00030885i,0.00068934-0.00076375i,-0.011475+0.0037138i,0.00041368+0.00041132i,-0.00020338-0.00011738i,-0.0011508+0.0009758i,0.00085015-0.0031035i,-0.00095182-4.4255e-05i,-0.00019783-0.00013134i,0.00068947+0.0013462i,0.0040491-0.0011177i,-0.00049723+0.0038023i,-0.053789-0.00074997i,-0.005025+0.030229i,-0.021048+0.04097i,-0.023556+0.06647i,-0.029294+0.038522i,-0.0071141+0.024355i,-0.0076024+0.018571i,-0.049181+0.00043589i,-0.030554-0.009613i,0.0094877+0.030205i,-0.00090699+0.0060619i,-0.0047529-0.0030243i,-0.011727-0.0060164i,0.0033272+0.0030639i,0.0032074+0.015171i,-0.0060044+0.0012405i,-0.00080882-0.0070939i,0.0048252+0.00034491i,-0.0028114-0.0092328i,0.0069139-0.004538i,0.0048444-0.0005622i,-0.0070254+0.0070457i,0.012738+0.00079691i,0.008698-0.00079561i,0.011721-0.0041265i,0.002203+0.0018184i,6.1533e-05-0.0064635i,-0.0042299-0.00534i,0.0030949-0.00023403i,-0.023628+0.021423i,-0.0033228-0.0065343i,0.0017757+0.0010176i,0.0024157-0.0062268i,0.0027268-0.00059218i,-0.0099647-0.01097i,0.00011861+0.00066227i,0.0047515-0.00011268i,0.0028522-0.0014833i,0.0028081-0.0056175i,-0.0063023+0.0042295i,-0.0032151+0.0054913i,-0.0076561+0.0039859i,-0.0034307-7.3246e-05i,-0.0060325-0.00011272i,-0.029919+0.016737i,-0.012155+0.019099i,-0.017329-0.015311i,-0.010189-0.0072921i,0.0052051+0.020718i,-0.0029534+0.01887i,-0.0061038-0.0013216i
