-0.023886-0.038727i,-0.011991-0.04891i,-0.017735-0.044605i,-0.031231-0.03533i,-0.030052-0.016719i,-0.050482-0.027463i,-0.056579-0.026924i,-0.043746-0.036984i,-0.029647-0.036488i,0.0076691+0.01287i,-0.0046556+0.015263i,-0.0046331+0.014105i,0.010034+0.021281i,0.00054866+0.0043176i,0.0035209+0.0030686i,0.0064422+0.01847i,0.025657+0.038458i,-0.0027313-0.00067777i,-0.0042555-0.0058563i,0.0079291+0.0015538i,-0.00031285-0.00060197i,-0.0010439+0.0014076i,0.0001265-0.00017038i,-0.029943-0.0038183i,-0.0013858-0.0055553i,0.0018619+0.0047389i,0.0036676-4.164e-05i,-0.00055746+0.00039577i,0.000455-0.00060827i,-0.00022377-0.0026464i,-0.0016317-0.0063505i,-0.0044288-0.0040622i,-0.0016823-0.0048604i,0.0022382-0.00081215i,0.0024235-0.002877i,0.0026696+0.02564i,0.0017979-0.0027848i,0.0028922+0.00074919i,0.0060011+0.0011027i,-0.010036-0.0039055i,-0.0032778+0.0007222i,0.006527+0.0015425i,0.0050186-0.00017221i,-0.0036823+0.005492i,0.0011483-0.0087827i,-0.011689+0.017163i,0.035841-0.090787i,0.012039-0.069732i,-0.015827-0.06009i,-0.01636-0.055529i,0.039632-0.046074i,0.017176-0.062513i,0.033682-0.05545i,0.030411-0.060049i,0.015634-0.01361i,0.0044786+0.016357i,0.016483-0.026309i,-0.011226+0.0058982i,-0.0001855+0.0055669i,-0.005087-0.0014403i,-0.002624-0.029289i,-0.023756+0.032227i,0.01012-0.011189i,-0.012924-0.0028053i,0.00010029-0.0049593i,-0.0010547-0.016062i,-0.0074808+0.0043554i,0.004735+0.0059707i,-0.0090437+0.031375i,0.0050652+0.0057026i,-0.0051271-0.00066474i,-0.0031104-0.00065094i,-0.012684-0.0076546i,-0.00099318-0.0043087i,-0.02988+0.0067546i,-0.00026542-0.0097406i,-0.0095185-0.0018365i,-0.0069718-0.0025549i,0.0070685+0.0027686i,-0.0083536+0.0019706i,-0.00026637+0.00064012i,0.0057062+0.010849i,0.0043144+0.0013527i,-0.0097334-0.010208i,0.0031658+0.0081087i,-0.021442+0.006292i,0.0083671+0.0005033i,-0.02895-0.0036758i,-0.041912+0.0020684i,0.020051-0.096304i,-0.0016486-0.012445i,-0.053108-0.022195i,-0.024629+0.00025511i,0.017707+0.011274i,-0.024963+0.013065i,-0.018977-0.013148i
-0.031472+0.019316i,-0.051823+0.019835i,-0.031047+0.045721i,-0.030044+0.024857i,-0.027014+0.039558i,0.0059672+0.046282i,-0.0016727+0.023442i,-0.014875+0.039321i,-0.013696+0.021924i,-0.003549-0.0048248i,-0.0041584-0.0029387i,-0.0020609-0.0031531i,-0.0038495-0.00046086i,-0.0067775-0.0041293i,-0.0018222+0.0042432i,-0.0021874-0.0011472i,-0.011133-0.0034233i,-0.0018057-0.00071786i,0.0032037-0.0014866i,0.0019912-0.00051065i,0.0026547-0.0036725i,0.0025492-0.0040393i,0.0013212-0.0025378i,-0.0092761-0.0079135i,-0.0016965+0.00025538i,-0.0040637+0.0011912i,-0.0017076-0.00015986i,-0.0032883-0.0010236i,-0.001175-0.0015924i,0.0012802-0.0020335i,-0.0012766+0.0061968i,0.001409+0.00013389i,0.0028887+0.00022236i,0.0011324+0.0014567i,-0.0014756+0.003191i,-0.00094884-0.0061374i,-0.0014924+0.00097471i,0.00020639+2.1238e-05i,-0.00028973+0.0038246i,0.0071236+0.0052309i,0.001457-0.0029796i,0.0013239-0.0039063i,-0.0035891+0.00078381i,0.00093545+0.0025757i,-0.031712-0.0059913i,0.011119-0.078106i,-0.093242-0.029437i,-0.051997-0.035658i,-0.075761-0.050042i,-0.05827-0.0061609i,-0.093191+0.019353i,-0.058868+0.011516i,-0.049688-0.023733i,-0.033004-0.056712i,-0.025245-0.029646i,0.0029403+0.0050417i,-0.018319+0.011099i,0.009583+0.0031495i,0.011358+0.0040051i,0.0011964-0.0060226i,0.0087402+0.0014833i,-0.0078584-0.0027511i,0.0024193+0.014922i,-0.0010132+0.0090545i,0.00064471+0.0015801i,0.005953+0.0031814i,0.0020463-0.0011018i,-0.0005256+0.01536i,0.00082521+0.011528i,0.003715-0.0052045i,0.010506-0.0070667i,0.0024489+0.0023804i,-0.0078675-0.0074186i,-0.0018399-0.0024581i,0.018665-0.026488i,0.0062075+0.0034408i,0.0031746+0.0043272i,-0.0033269+0.0025628i,0.0023749-0.0037598i,0.021641+0.0020401i,0.0023334-0.0029017i,-0.00089963-0.0096641i,0.00051909-0.00267i,0.013139+0.0030924i,0.0045781+0.00044324i,0.0045443-0.0065839i,0.0032184+0.008166i,0.004273-0.0001732i,0.024766+0.0046469i,-0.080765-0.036964i,-0.0057702+0.018775i,0.0065457-0.0034182i,-0.0027382+0.0048686i,-0.035773+0.01214i,-0.0071751+0.0064935i,-0.016595+0.013314i
-0.026981+0.02302i,-0.048034+0.024911i,-0.020145+0.044155i,-0.026202+0.028577i,-0.020643+0.04079i,0.014552+0.043442i,0.0013006+0.022694i,-0.007131+0.039981i,-0.009075+0.0195i,-0.0050655-0.0027214i,-0.0043074-0.00079506i,-0.0028092-0.0033329i,-0.0044366-3.373e-05i,-0.0068506-0.0013881i,-0.00060612+0.0051464i,-0.0044749+0.00045975i,-0.013146+0.0015392i,-0.0015592+0.00043615i,0.0031771-0.0021291i,0.0020252-0.0014352i,0.0013219-0.0039922i,0.0016204-0.0040057i,0.00087588-0.0025925i,-0.010306-0.0047512i,-0.0011354+0.00056021i,-0.0036758+0.0024811i,-0.0012362+0.00039176i,-0.0032868+4.944e-05i,-0.0017658-0.0013776i,0.00055899-0.0020841i,0.0014665+0.006319i,0.0010396-0.00015847i,0.0025118-0.0010445i,0.0010574+0.0011668i,-0.0013878+0.0029556i,-0.0011364-0.0055028i,-0.00095943+0.00088037i,-0.00045864-0.00019019i,0.00011712+0.0042486i,0.007605+0.0013164i,0.00049133-0.0032478i,-0.00077599-0.0041755i,-0.003879+0.0017027i,0.0015618+0.0022831i,-0.032554-0.0054819i,-0.012484-0.088947i,-0.090185-0.010679i,-0.061521-0.03394i,-0.088286-0.038715i,-0.057636+0.0039965i,-0.083067+0.036403i,-0.054458+0.02394i,-0.040724-0.022813i,-0.039894-0.051862i,-0.033208-0.018769i,0.0041255+0.0022292i,-0.011781+0.019554i,0.0089888-0.00082063i,0.01198-0.0022286i,-0.0040115-0.01028i,0.0046404+0.00061369i,-0.0078098+0.0031502i,0.0085227+0.012634i,0.0010783+0.01142i,0.00085786+0.0011569i,0.0071633+0.0032446i,0.0025906-0.00023779i,0.0057442+0.011499i,0.0057662+0.0068817i,-0.0016357-0.0074036i,0.0034521-0.0080635i,0.0032189+0.002711i,-0.010995-0.00046294i,-0.0022636-7.6184e-05i,0.0067505-0.027866i,0.0071113+0.0024167i,0.0068302+0.0027517i,-0.00035046+0.0028092i,-0.00046466-0.0012474i,0.018666-0.0076614i,7.6697e-05-0.0035392i,-0.005393-0.0077373i,-0.0027618-0.0021814i,0.010981-0.0020655i,0.0045765+0.00049032i,0.001863-0.0045846i,0.0056064+0.0070763i,0.0029266-0.00045692i,0.023915-0.0028255i,-0.085462-0.026958i,0.0024076+0.0083775i,0.0052174-0.0055685i,0.0001117+0.0029376i,-0.028836+0.022227i,-0.0054309+0.0072786i,-0.013145+0.015803i
-0.021579+0.02541i,-0.04494+0.030249i,-0.013674+0.040098i,-0.021842+0.030859i,-0.013322+0.042579i,0.022125+0.038437i,0.0045115+0.022031i,0.00054445+0.038883i,-0.0079971+0.017548i,-0.0056088-0.00033166i,-0.0034969+0.0010044i,-0.0060627-0.0027887i,-0.0045682+0.0018994i,-0.0069461+0.00053774i,0.0013131+0.0056806i,-0.005344+0.003556i,-0.012017+0.0075118i,-0.00037985+0.001146i,0.0031151-0.0037456i,0.0018462-0.0025952i,1.4023e-05-0.0043235i,0.0006344-0.0046985i,0.00043127-0.0027204i,-0.010966-0.0021194i,-0.00097919+0.00077826i,-0.002323+0.0039714i,-0.00094295+0.00031679i,-0.0027328+0.0015228i,-0.0021565-0.0007778i,-0.00065636-0.0027161i,0.0038492+0.0049158i,0.0007535-0.00036572i,0.001682-0.0016798i,0.0015001+0.00052414i,-0.0002388+0.0038829i,-0.0011726-0.00555i,-0.0011241+0.0006257i,-0.0007678-5.9433e-05i,0.003602+0.0028853i,0.0063053-0.0013601i,-0.00040353-0.0029224i,-0.0011265-0.0026497i,-0.0040146+0.0029064i,0.0019853+0.0010246i,-0.035163-0.0027342i,-0.041777-0.087845i,-0.079888+0.0029596i,-0.071341-0.025884i,-0.095565-0.022812i,-0.053408+0.012657i,-0.068112+0.047949i,-0.039815+0.033792i,-0.043347-0.025629i,-0.046139-0.047986i,-0.035034-0.0061913i,0.004668-0.00080349i,-0.002284+0.021476i,0.007868-0.0034109i,0.0077112-0.0074492i,-0.013593-0.0090202i,0.0032812-0.00045689i,-0.0034969+0.0063544i,0.011885+0.0066764i,0.0046846+0.011984i,-0.00020803+0.0016099i,0.0076769-0.00074426i,0.003985-0.0018484i,0.0076074+0.0060202i,0.0053182+0.0020633i,-0.0070594-0.0035968i,0.0007852-0.0062057i,0.0052826+0.0018625i,-0.0074183+0.0089296i,-0.00081977+0.0011217i,-0.0027606-0.025219i,0.008766-0.00062668i,0.0067665-0.00075475i,0.00054379+0.0021202i,0.00083642+0.00030389i,0.01189-0.01256i,-0.0027912-0.00059682i,-0.008477-0.0040649i,-0.0039392+0.001358i,0.0069311-0.0043376i,0.0074052-0.0017351i,0.0026367-0.0046063i,0.0090055+0.0042905i,0.0048623-0.0019022i,0.020943-0.0096479i,-0.088918-0.013202i,0.00026629-0.0013468i,0.0059261-0.0083173i,0.0019243-0.00081637i,-0.019522+0.025997i,-0.0052618+0.0030497i,-0.0080896+0.012878i
-0.016219+0.025765i,-0.040312+0.036483i,-0.010289+0.036933i,-0.017076+0.033948i,-0.0049873+0.041543i,0.02826+0.032062i,0.0083608+0.021096i,0.0070826+0.03584i,-0.0072631+0.017878i,-0.0050904+0.0019398i,-0.0024101+0.0013628i,-0.0077482+0.0011087i,-0.0039879+0.0033321i,-0.00698+0.0030322i,0.0030793+0.0049641i,-0.0042088+0.0070196i,-0.0075749+0.012491i,0.00065024+0.00055803i,0.00145-0.0047608i,0.00028739-0.0038603i,-0.0014726-0.0039869i,-0.00063497-0.0047221i,-0.00013165-0.0031412i,-0.011118+0.0010952i,-0.00058362+0.00056688i,-3.5004e-05+0.0035585i,-0.0009532+0.00029625i,-0.0013516+0.0018924i,-0.0023439+0.00014236i,-0.0021602-0.0018583i,0.0050337+0.0027703i,0.00035419-0.00038164i,0.00073568-0.0019626i,0.0014168-1.5657e-05i,0.0016833+0.0034301i,-0.0019874-0.0069946i,-0.0010041+0.0011643i,-0.0011045+0.000358i,0.0032957-0.00090722i,0.0047387-0.0026736i,-0.00092833-0.0026346i,-0.00097888-0.0024134i,-0.0030526+0.0044298i,-0.00032683-0.00089317i,-0.037424+0.0016032i,-0.066884-0.071333i,-0.069741+0.0080887i,-0.078076-0.013983i,-0.099171-0.006127i,-0.047433+0.018733i,-0.054297+0.053639i,-0.025275+0.032865i,-0.046817-0.020835i,-0.052399-0.040839i,-0.032538+0.0024743i,0.0028131-0.0037181i,0.0055629+0.019474i,0.0064172-0.0057845i,0.0023152-0.0087285i,-0.019853-0.0003182i,-0.00018557+0.00031298i,0.00041151+0.0053323i,0.010752+0.00057961i,0.0093542+0.011263i,0.00025372+0.0031892i,0.0045386-0.0023221i,0.0034321-0.0049113i,0.0061317+0.0014539i,0.00245+0.00034565i,-0.0075247+0.00013849i,-0.0013989-0.0048772i,0.005853-0.00017018i,0.0026499+0.010507i,0.00028902+0.00075671i,-0.0082903-0.019867i,0.0076058-0.0036536i,0.0060739-0.0029798i,0.0015218+0.0026786i,0.0012233+0.00010324i,0.0061012-0.012962i,-0.00027907+0.0019024i,-0.0097677+0.00057026i,-0.0015651+0.0039214i,0.0044752-0.0039122i,0.0059294-0.0055361i,0.00075601-0.0052215i,0.0093687-0.0011517i,0.0034121-0.0056951i,0.016669-0.015941i,-0.086325+0.0016042i,-0.0067537-0.0056038i,0.003845-0.013441i,0.0010597-0.0054259i,-0.013089+0.026068i,-0.0094374+0.0028749i,-0.0080082+0.011734i
-0.012307+0.025557i,-0.035014+0.041623i,-0.0087963+0.03563i,-0.010624+0.035907i,0.0018329+0.038652i,0.032287+0.024969i,0.012433+0.018868i,0.01246+0.032163i,-0.0052835+0.019252i,-0.0034341+0.003731i,-0.0024318+0.0017523i,-0.0067742+0.0044835i,-0.0032136+0.0046754i,-0.0052994+0.0057624i,0.0045138+0.0038146i,-0.0013593+0.009259i,-0.001557+0.014471i,0.00079678-4.8419e-05i,4.1721e-05-0.0047569i,-0.0016886-0.0035911i,-0.0028313-0.0033301i,-0.0020257-0.0042064i,-0.0013678-0.0032199i,-0.009247+0.0037082i,-0.00099641+0.00013159i,0.00037391+0.0020619i,-0.00098179+0.00042228i,-0.00061478+0.0017719i,-0.0019962+0.0011602i,-0.0022395-0.00039765i,0.0051493+0.00061604i,0.00026025-0.0004883i,-0.0001181-0.0017938i,0.0010709-0.00046238i,0.0024395+0.0021004i,-0.0045643-0.0074429i,-0.00068642+0.0016455i,-0.00099173+0.0011981i,0.0010574-0.001624i,0.0033095-0.0028663i,-0.0014573-0.0023369i,-0.0012182-0.0023286i,-0.0012256+0.0051338i,-0.002777+0.00137i,-0.038175+0.0082555i,-0.07638-0.047671i,-0.064318+0.0092623i,-0.082344-0.00089222i,-0.099827+0.012378i,-0.04273+0.021471i,-0.040948+0.056713i,-0.016133+0.029039i,-0.048316-0.016676i,-0.05633-0.033735i,-0.029643+0.010581i,-2.8149e-05-0.0050095i,0.014418+0.01435i,0.0044529-0.0071472i,-0.0027664-0.0072501i,-0.019828+0.008712i,-0.00095964+0.0028525i,0.003054+0.0049011i,0.006649-0.0014027i,0.014032+0.0077198i,0.0018876+0.0035095i,0.0025487-0.0012389i,0.0014613-0.0067936i,0.0028308+0.0011644i,0.0003304+0.0014503i,-0.0071704+0.0047974i,-0.0029139-0.0023833i,0.0052066-0.0024722i,0.0073815+0.006003i,0.00062224+0.00013302i,-0.011107-0.017289i,0.0054137-0.005904i,0.0043017-0.0049388i,0.0042066+0.0020677i,0.0016442+0.00010978i,0.0027382-0.0118i,0.0016547+0.0014191i,-0.0073245+0.0062691i,0.0015355+0.0038025i,0.0036917-0.0036616i,0.0028916-0.0091024i,0.00015547-0.0044723i,0.005594-0.0047441i,-0.00028769-0.0070131i,0.0089398-0.021599i,-0.080572+0.011633i,-0.015233-0.0023425i,-0.0011164-0.01635i,-0.0020588-0.0088702i,-0.0080433+0.025441i,-0.012272+0.00582i,-0.0069063+0.012386i
-0.0090527+0.025355i,-0.028939+0.046421i,-0.0071907+0.037065i,-0.0041664+0.035313i,0.0062914+0.034534i,0.035076+0.018091i,0.016359+0.01525i,0.016708+0.028168i,-0.0022912+0.019276i,-0.0018457+0.0038773i,-0.0030399+0.0031345i,-0.0047304+0.0068729i,-0.0018305+0.0061697i,-0.0027476+0.006763i,0.0052577+0.0022666i,0.0020231+0.0099159i,0.0047151+0.013577i,0.0010309-0.00024821i,-0.0015765-0.0047266i,-0.0028935-0.0025186i,-0.0033463-0.0018205i,-0.0028683-0.0033495i,-0.0022507-0.002517i,-0.0079486+0.004748i,-0.0017553+0.00076733i,0.00011886+0.001745i,-0.0012306+0.00064484i,-6.551e-05+0.0014341i,-0.0012058+0.0017317i,-0.001857+0.00045837i,0.0046606-0.0012023i,-1.598e-05-0.00058654i,-0.00067007-0.0013525i,0.00063557-0.000844i,0.0025129+0.0014511i,-0.0072588-0.0063982i,-0.00033931+0.0015738i,-0.00016755+0.0016767i,-3.3897e-05-0.0014961i,0.0022721-0.0027389i,-0.0019361-0.0015945i,-0.0019316-0.001917i,0.00056265+0.0049512i,-0.0022214+0.0047287i,-0.036679+0.015514i,-0.07437-0.030604i,-0.061372+0.011906i,-0.082615+0.016122i,-0.093721+0.033019i,-0.041194+0.024417i,-0.029683+0.056213i,-0.0091527+0.02464i,-0.048557-0.010692i,-0.060209-0.026387i,-0.02467+0.015386i,-0.0036373-0.0047088i,0.017541+0.0019589i,0.0029826-0.0090181i,-0.0059918-0.0034168i,-0.014887+0.016722i,0.00028697+0.003713i,0.0061728+0.0025723i,0.0049652-0.00011922i,0.01741+0.00075902i,0.003045+0.0032938i,0.0021434-0.00053714i,-0.0030308-0.0084398i,0.0016544+0.0031026i,0.00063773+0.0035297i,-0.0026989+0.0088325i,-0.0018936+3.6311e-05i,0.0035045-0.0034237i,0.0090461+0.001412i,0.0011156-0.00059174i,-0.016458-0.01576i,0.0025934-0.0066616i,0.0013645-0.0058334i,0.0040997-0.00042719i,0.0019663+0.00026026i,0.00138-0.010183i,0.0021068+0.00023871i,-0.0025313+0.0084648i,0.0027832+0.0016464i,0.0024877-0.0038196i,-0.0025752-0.0099538i,-0.00089708-0.0057453i,0.0023246-0.0047237i,-0.0024241-0.006596i,-0.0013272-0.021886i,-0.076982+0.020181i,-0.014262+0.0080613i,-0.0060411-0.016803i,-0.0066326-0.009105i,-0.0047102+0.024836i,-0.011483+0.010594i,-0.0028508+0.012142i
-0.0056644+0.025401i,-0.021805+0.050817i,-0.0032042+0.039246i,0.00081756+0.033636i,0.008646+0.031927i,0.036716+0.010965i,0.019158+0.010817i,0.019919+0.024203i,0.00049507+0.019214i,-0.00099538+0.0039738i,-0.0019098+0.0056684i,-0.0019038+0.0084787i,0.00012338+0.0068209i,-0.00057244+0.0066254i,0.0052954+0.00077212i,0.0052961+0.0090857i,0.0095359+0.010304i,0.0010402-0.00057847i,-0.0029425-0.0039282i,-0.0033896-0.0010565i,-0.0029645-0.0005742i,-0.0035911-0.0025273i,-0.0027039-0.0016424i,-0.0072486+0.0066793i,-0.0015641+0.0016984i,0.00015351+0.0020598i,-0.0010695+0.0014153i,-0.00012065+0.0010195i,-0.0005443+0.0017399i,-0.001372+0.00084328i,0.0034995-0.0025921i,9.6506e-05-0.00027826i,-0.00087626-0.0011195i,0.00020872-0.0009864i,0.0028+0.00017938i,-0.009412-0.0043953i,0.00017936+0.0016587i,0.00051876+0.0013794i,-0.00079548-0.0011319i,0.0016995-0.0026754i,-0.0020297-0.0008197i,-0.0019902-0.001122i,0.0017596+0.0039261i,-0.00034207+0.0059178i,-0.032659+0.021581i,-0.073846-0.02341i,-0.060241+0.015763i,-0.075827+0.031071i,-0.081813+0.050101i,-0.038526+0.030482i,-0.020088+0.055818i,-0.0053976+0.019611i,-0.04807-0.005431i,-0.062696-0.017274i,-0.02048+0.019202i,-0.0044408-0.0043555i,0.011128-0.0082413i,-0.00020752-0.010862i,-0.0063976+3.8733e-05i,-0.0074216+0.019702i,0.00087497+0.0034211i,0.0070181-0.001785i,0.0059424-0.00043567i,0.015234-0.0053706i,0.0049408+0.0026911i,0.0023937+0.00079964i,-0.0073833-0.0037129i,0.0031812+0.0046566i,0.0021099+0.0046741i,0.0026491+0.0089249i,-0.0012589+0.00024403i,0.0025894-0.0037792i,0.0088419-0.0044653i,-0.00026719-0.0010756i,-0.022262-0.010011i,0.00046279-0.006076i,-0.00086933-0.0042504i,0.0044914+5.3762e-05i,0.0019228-0.00049142i,0.00056186-0.011i,0.0018164-0.0010839i,0.00085953+0.0067282i,0.0030458+0.0012232i,0.0021882-0.0029768i,-0.0061852-0.0058648i,-0.0041866-0.0057883i,-0.00027333-0.0045165i,-0.0043066-0.0059046i,-0.0079112-0.017852i,-0.071666+0.029222i,-0.0090764+0.0072722i,-0.0072992-0.015679i,-0.0095381-0.007077i,-0.00046824+0.023219i,-0.010024+0.01261i,-0.0010812+0.010049i
-0.0023785+0.0249i,-0.01347+0.054009i,0.002517+0.041516i,0.0050212+0.032555i,0.011011+0.030538i,0.036914+0.0040246i,0.020899+0.0058751i,0.02283+0.020434i,0.0034121+0.018758i,-0.00016603+0.004081i,0.0010771+0.0068482i,0.0015416+0.00831i,0.0019942+0.0066493i,0.00088985+0.0063553i,0.0051306-0.00046244i,0.0079817+0.0069723i,0.01199+0.0058324i,0.0011705-0.0015902i,-0.003746-0.0029716i,-0.0030898+0.00051407i,-0.0023574+0.00019096i,-0.0040146-0.001042i,-0.0028195-0.00092942i,-0.0043791+0.0085183i,-0.0010102+0.002586i,0.00098428+0.0021754i,-0.00048039+0.0019632i,-0.00041081+0.0010579i,-9.2768e-05+0.0016793i,-0.00081273+0.0011109i,0.0019141-0.0033468i,0.00049627-0.00067166i,-0.0013495-0.00086416i,-0.00025387-0.00094122i,0.0022738-0.0010841i,-0.010794-0.001288i,0.00060051+0.0015221i,0.0009243+0.0011307i,-0.0017689-0.00077757i,0.0014674-0.0024498i,-0.0016885-0.00027329i,-0.0018835-0.0006295i,0.0024187+0.0028705i,0.0015453+0.0064986i,-0.02842+0.025028i,-0.078636-0.016383i,-0.059463+0.021499i,-0.067726+0.042501i,-0.066216+0.061155i,-0.034161+0.035666i,-0.010393+0.054033i,-0.0030296+0.016692i,-0.047205+1.179e-05i,-0.062997-0.0068926i,-0.015671+0.022148i,-0.0058438-0.0034125i,0.0033416-0.0096374i,-0.0042823-0.011123i,-0.0051322+0.0038329i,-0.00048618+0.018741i,0.00059809+0.0029608i,0.0051037-0.0057775i,0.0049189-0.0017448i,0.011385-0.010671i,0.0064862+0.00078831i,0.0036915+0.0009301i,-0.0075678-3.0646e-05i,0.0053534+0.0050728i,0.0045473+0.0051574i,0.0072502+0.0063081i,-0.00079525+0.001028i,0.0021809-0.004166i,0.0052301-0.0084956i,-0.00083627+0.00069536i,-0.02505-0.0013754i,-0.00076445-0.0056559i,-0.0017916-0.0024621i,0.0052539-0.00052652i,0.0016313-0.00077152i,-0.0016672-0.012658i,0.00079686-0.0015866i,0.0035963+0.006067i,0.0037921+0.00010063i,0.0033346-0.0034364i,-0.007812-0.0028578i,-0.0072189-0.0023916i,-0.0027446-0.0033818i,-0.005938-0.0053144i,-0.012059-0.013271i,-0.065108+0.036263i,-0.0086385+0.0058178i,-0.0081149-0.017653i,-0.011081-0.0045268i,0.00073975+0.022221i,-0.009666+0.014095i,-9.7445e-05+0.0084859i
0.0010669+0.024436i,-0.0037277+0.055548i,0.010369+0.041772i,0.0093525+0.030857i,0.014624+0.030106i,0.036157-0.0024273i,0.021257+0.00041629i,0.025826+0.016173i,0.0065092+0.017533i,0.00054521+0.003996i,0.003495+0.0054087i,0.0037556+0.006271i,0.0038152+0.0063165i,0.0026083+0.0059635i,0.004734-0.0016503i,0.0092909+0.003929i,0.012407+0.0011584i,-9.026e-05-0.0022948i,-0.0045761-0.0014164i,-0.0019389+0.0014135i,-0.0015197+0.00047384i,-0.0036598+0.0001863i,-0.0028822-0.00011163i,-0.0011439+0.0088069i,0.00011274+0.0029534i,0.0016715+0.0015917i,0.00037133+0.0020519i,-0.000245+0.0015258i,0.00051389+0.0013566i,-0.00034848+0.0010755i,0.00033615-0.0033267i,1.0916e-05-0.001078i,-0.0016321-0.00021266i,-0.0006942-0.00078752i,0.0014707-0.0018565i,-0.010619+0.0024521i,0.00091065+0.0013121i,0.0013463+0.0007154i,-0.0022761+0.00034463i,0.001059-0.002729i,-0.0015443-4.5159e-05i,-0.001722-0.00032406i,0.0023234+0.0019549i,0.0037219+0.0063423i,-0.02457+0.028944i,-0.086402-0.0033233i,-0.055315+0.027471i,-0.056742+0.051119i,-0.051121+0.068582i,-0.028944+0.041775i,-0.001018+0.050102i,0.0019014+0.013352i,-0.045025+0.0062501i,-0.060574+0.0034796i,-0.010773+0.024833i,-0.0075206-0.0021483i,-0.0021778-0.0091522i,-0.008657-0.0097327i,-0.0011613+0.0052877i,0.0038813+0.015562i,-0.00015277+0.0030019i,0.0022022-0.0083189i,0.0051295-0.0010727i,0.0048138-0.013609i,0.0068945-0.002716i,0.0047978-4.3432e-05i,-0.0073838+0.0039503i,0.0083636+0.0039924i,0.0078181+0.0029399i,0.0091529+0.0020057i,0.00057111+0.0016298i,0.0012481-0.0045349i,-0.0012621-0.0089374i,0.00070036+0.0022597i,-0.024422+0.007979i,-0.00198-0.0051896i,-0.0013215-0.00052324i,0.0059948-0.0041259i,0.0017525-0.00074066i,-0.0069435-0.012807i,-0.0003477-0.001292i,0.0058489+0.003493i,0.0036508-0.00035672i,0.0026712-0.0048467i,-0.0070553+0.0015845i,-0.0071257+0.0022736i,-0.0046663-0.001503i,-0.0083257-0.0041951i,-0.014166-0.0083122i,-0.059635+0.042655i,-0.0089197+0.0088541i,-0.012417-0.021578i,-0.0090766-0.002378i,0.0039866+0.022077i,-0.0089002+0.017514i,0.0017681+0.0060779i
0.0047643+0.023144i,0.0059743+0.054698i,0.017952+0.038955i,0.013277+0.028834i,0.019297+0.028814i,0.034745-0.0084145i,0.020023-0.004726i,0.027826+0.011166i,0.0093136+0.015815i,0.0011566+0.0040949i,0.0042969+0.0039656i,0.0043515+0.0043891i,0.0056069+0.0048909i,0.0040466+0.0047906i,0.0039313-0.0026642i,0.0091173+0.0010633i,0.011051-0.0023746i,-0.0010156-0.001917i,-0.0043574+0.00028105i,-0.0007966+0.0014074i,-0.00080482+0.00029178i,-0.0030377+0.00083423i,-0.0024065+0.00061457i,0.0015119+0.0084273i,0.0013342+0.0024234i,0.0020402+0.0010891i,0.0011185+0.001727i,0.00050849+0.0016823i,0.00077016+0.00073873i,-0.00014481+0.0010812i,-0.0010153-0.0026248i,-0.00063744-0.00099183i,-0.0015118+0.00043194i,-0.0010522-0.00044286i,0.00046118-0.0021909i,-0.0090641+0.005467i,0.0011507+0.00084412i,0.0014618+3.2616e-05i,-0.0020576+0.0015991i,0.00047916-0.0030709i,-0.0014453+0.00028968i,-0.0016465-0.00046263i,0.0021521+0.0015042i,0.0057568+0.0053881i,-0.01977+0.032364i,-0.088245+0.016801i,-0.052596+0.031673i,-0.046347+0.056068i,-0.034152+0.073081i,-0.020805+0.048028i,0.0056116+0.043946i,0.0046261+0.0062652i,-0.039697+0.010951i,-0.05469+0.013879i,-0.0036974+0.0256i,-0.0086329+0.00048973i,-0.007637-0.0061855i,-0.011769-0.0063885i,0.0018905+0.0036159i,0.0061349+0.012852i,-0.0017838+0.0041404i,-0.0014659-0.01058i,0.0061983-0.0033181i,-0.001898-0.012064i,0.0046998-0.0051322i,0.005332-0.0024683i,-0.0058642+0.0068172i,0.010455-5.1267e-05i,0.0083515-0.0019319i,0.0084379-0.003272i,0.0023341+0.0010009i,3.7672e-05-0.0046859i,-0.00463-0.0050727i,0.0028667+0.0013765i,-0.019543+0.018014i,-0.0032236-0.0041809i,0.00019819+0.00047392i,0.0027504-0.0062896i,0.0018263-0.00074495i,-0.012403-0.0093506i,-0.00030826+4.2968e-05i,0.0064071-9.3399e-05i,0.003109-0.0011939i,0.001159-0.0049841i,-0.0046963+0.0048316i,-0.0045546+0.0053021i,-0.004649+0.002083i,-0.01061-0.0018426i,-0.014573-0.0043807i,-0.05238+0.050969i,-0.0025439+0.011837i,-0.019833-0.020908i,-0.0072661-0.0033314i,0.006209+0.020881i,-0.0057689+0.021138i,0.0020828+0.0023381i
