-0.024001-0.037592i,-0.012458-0.049964i,-0.018505-0.044544i,-0.031261-0.035712i,-0.029945-0.01606i,-0.050634-0.027243i,-0.057492-0.025438i,-0.044539-0.037459i,-0.031224-0.034673i,0.0083924+0.011403i,-0.0063817+0.015632i,-0.0045402+0.014028i,0.010113+0.021154i,0.00055788+0.0044547i,0.0033314+0.0034007i,0.0066748+0.017156i,0.019552+0.038479i,-0.0024842-0.0017214i,-0.0049204-0.0057073i,0.0073108+0.0021833i,-0.00010249-0.00090011i,-0.0012465+0.0010679i,3.2262e-05-0.00047627i,-0.029092-0.003089i,-0.0018801-0.006191i,0.0015042+0.0046105i,0.0031985-0.00010946i,-0.0002473+0.000674i,0.00066671-0.00036964i,-0.00067649-0.0027781i,-0.0016007-0.0057807i,-0.0047809-0.0045307i,-0.0022975-0.0045952i,0.0024594-0.00047412i,0.0017918-0.0030593i,-0.00042617+0.025929i,0.0014909-0.0030748i,0.0026301+0.00082323i,0.0055227+0.00097184i,-0.01089-0.0022706i,-0.0037289+0.00019637i,0.0055966-0.00076582i,0.0063127-0.00016913i,-0.0031116+0.0046286i,0.0019662-0.0093883i,-0.012013+0.017479i,0.035535-0.091135i,0.012115-0.070167i,-0.015909-0.059645i,-0.01635-0.055411i,0.039327-0.046375i,0.017185-0.062347i,0.034139-0.055799i,0.030692-0.059564i,0.01523-0.01371i,0.0046275+0.016544i,0.016161-0.026507i,-0.011233+0.0057336i,-0.00063524+0.0052657i,-0.0052071-0.0012204i,-0.0026093-0.029004i,-0.024506+0.030553i,0.010468-0.011447i,-0.012727-0.0016523i,2.0725e-05-0.0050773i,-0.001241-0.016185i,-0.0075742+0.0045647i,0.0049774+0.0062227i,-0.008082+0.030193i,0.0052989+0.0060342i,-0.0051932-0.00060867i,-0.003099-0.0004075i,-0.012286-0.0076087i,-0.00074943-0.0042863i,-0.028541+0.0064907i,3.6631e-05-0.010015i,-0.0095503-0.0015279i,-0.0062147-0.0023537i,0.0073141+0.0032377i,-0.007725+0.0013827i,-0.00022368+0.00079494i,0.006524+0.010316i,0.004132+0.0016345i,-0.0098092-0.0092742i,0.0032183+0.00817i,-0.019776+0.005835i,0.0084886+0.00075432i,-0.02899-0.0037139i,-0.041786+0.002026i,0.018225-0.096657i,-0.0020819-0.012113i,-0.053454-0.02193i,-0.023532-0.00023499i,0.017795+0.010827i,-0.025333+0.012959i,-0.018881-0.013236i
-0.032006+0.018153i,-0.051161+0.021054i,-0.031677+0.045874i,-0.030023+0.024798i,-0.027397+0.039559i,0.0059114+0.046046i,-0.0022864+0.023149i,-0.015312+0.038846i,-0.013034+0.022082i,-0.0037745-0.0040043i,-0.0043716-0.0029898i,-0.0018049-0.003211i,-0.0039112-0.00078204i,-0.0067291-0.0041634i,-0.0019732+0.0039443i,-0.0028595-0.0016633i,-0.0086823-0.0052149i,-0.0014254-0.00091998i,0.0027394-0.0012812i,0.002152-0.00080836i,0.0026477-0.0034966i,0.0024685-0.0039086i,0.0013595-0.002462i,-0.0086368-0.0084032i,-0.0018708+0.00064358i,-0.0039283+0.001197i,-0.0018374-0.00023513i,-0.0033124-0.0011141i,-0.0011828-0.0014891i,0.0013492-0.0018194i,-0.0023331+0.0061838i,0.0016791-4.7435e-06i,0.002581+0.00011912i,0.0012102+0.0016377i,-0.0011534+0.0030439i,-0.00077328-0.0064484i,-0.0015511-0.00083972i,0.0001331-0.00030914i,-0.00029187+0.0035488i,0.007137+0.0044726i,0.001134-0.0030846i,0.0019638-0.0052778i,-0.0029203+0.0028082i,-0.00038903+0.0027044i,-0.033518-0.0046844i,0.010751-0.078654i,-0.093373-0.029688i,-0.05161-0.035813i,-0.075958-0.049501i,-0.058629-0.005496i,-0.093248+0.018721i,-0.058493+0.011097i,-0.048614-0.024565i,-0.030996-0.056915i,-0.026826-0.0296i,0.0028376+0.0047077i,-0.018332+0.01141i,0.0091518+0.0033914i,0.010806+0.0043709i,0.00062275-0.0073041i,0.0082359+0.00040062i,-0.0076697-0.004159i,0.0024279+0.01439i,-0.0010455+0.0088343i,0.00063534+0.0015169i,0.0053463+0.0041173i,0.0018036-0.00084259i,-0.00049841+0.015018i,0.00025988+0.012296i,0.0032469-0.0056462i,0.010131-0.006859i,0.0024199+0.0025584i,-0.0077016-0.0064905i,-0.0021178-0.0027749i,0.020158-0.030398i,0.0057677+0.0037679i,0.003328+0.0041911i,-0.0033733+0.0024153i,0.0021385-0.0037156i,0.02292+0.0008067i,0.0018208-0.0023777i,2.1017e-05-0.0089018i,0.00064203-0.0025576i,0.013405+0.0041162i,0.0042512+0.00012541i,0.0042801-0.0064961i,0.0030051+0.0089085i,0.0040029-0.00039355i,0.025102+0.004853i,-0.080648-0.037185i,-0.0046817+0.018404i,0.0071438-0.0029923i,-0.0023923+0.0041423i,-0.03489+0.012296i,-0.0074688+0.0066458i,-0.017621+0.012677i
-0.027757+0.022302i,-0.047156+0.025936i,-0.020556+0.044394i,-0.026108+0.028459i,-0.020915+0.04095i,0.014467+0.043237i,0.00074146+0.022697i,-0.0075959+0.039816i,-0.0085246+0.019274i,-0.0051271-0.001836i,-0.0044776-0.0005998i,-0.0027983-0.00347i,-0.0045979-0.00017501i,-0.0068005-0.0014161i,-0.0007924+0.0050028i,-0.0051209+0.00046593i,-0.012105-0.0013999i,-0.0013045+0.00023564i,0.0030401-0.0017998i,0.0020601-0.0017694i,0.0014958-0.0039462i,0.0015612-0.0041137i,0.00095697-0.0025026i,-0.010275-0.0054334i,-0.0012639+0.00097277i,-0.0033901+0.0023187i,-0.0013305+0.0004637i,-0.0034811-4.5102e-05i,-0.0016409-0.0010594i,0.00078748-0.0018929i,-9.837e-05+0.007393i,0.0011689-0.00044032i,0.0022212-0.00087902i,0.0009839+0.0012575i,-0.0010676+0.0026988i,-0.0011103-0.0058582i,-0.00059068+0.00050103i,-0.00077952-0.00038964i,6.6996e-05+0.0039155i,0.0072721+0.00070382i,0.0001513-0.0032184i,-0.00059447-0.0061424i,-0.0024197+0.0032892i,0.00033783+0.0029021i,-0.033845-0.003824i,-0.013496-0.089078i,-0.090061-0.010928i,-0.060886-0.034015i,-0.087972-0.03806i,-0.057537+0.0047849i,-0.083561+0.036193i,-0.054608+0.023173i,-0.040895-0.024204i,-0.038146-0.052273i,-0.035499-0.019018i,0.0039001+0.0017723i,-0.011442+0.019606i,0.0091505-0.00026743i,0.011933-0.0019603i,-0.0052309-0.011695i,0.0036493-1.113e-05i,-0.0081133+0.0012497i,0.007809+0.012051i,0.0014745+0.011122i,0.00089667+0.0012674i,0.0080611+0.003899i,0.0023439+0.00017837i,0.0056511+0.011073i,0.006147+0.0072754i,-0.0022801-0.0073182i,0.003309-0.0076305i,0.0034482+0.0029999i,-0.010587+0.00092319i,-0.0027502-0.00024535i,0.0066833-0.030202i,0.0068979+0.003139i,0.0069824+0.0018461i,-0.0006106+0.0026129i,-0.00022529-0.001149i,0.018193-0.008846i,1.819e-05-0.0031707i,-0.005034-0.0070399i,-0.0025716-0.001873i,0.012277-0.0011211i,0.0039605+0.00042297i,0.0019599-0.0046332i,0.0060189+0.0073604i,0.0030957-0.00090594i,0.024212-0.003247i,-0.085848-0.02773i,0.0029902+0.0087655i,0.0058627-0.005276i,-0.00013934+0.0021271i,-0.027828+0.022277i,-0.0057234+0.0076463i,-0.013264+0.014765i
-0.022413+0.024931i,-0.043792+0.030622i,-0.013831+0.040542i,-0.021844+0.030808i,-0.013386+0.042792i,0.022005+0.038246i,0.0041423+0.022286i,-8.8621e-05+0.038747i,-0.0076536+0.017088i,-0.005405+0.00058489i,-0.0033383+0.0011756i,-0.0058819-0.0027996i,-0.0048391+0.0018095i,-0.006941+0.00055463i,0.0011587+0.0054664i,-0.0058523+0.0038838i,-0.012829+0.0047982i,-6.3683e-06+0.00088293i,0.003114-0.0033871i,0.0017656-0.0029456i,0.00010621-0.0043849i,0.00042653-0.0046814i,0.0005986-0.0027522i,-0.011225-0.0024536i,-0.0010103+0.001239i,-0.0022336+0.0036402i,-0.00092018+0.00044453i,-0.0028136+0.0015783i,-0.0019836-0.00061308i,-0.0002807-0.0025959i,0.00341+0.0068241i,0.00073346-0.00056706i,0.0014918-0.0014211i,0.0014319+0.00084665i,-2.8847e-05+0.0034687i,-0.0013099-0.0058206i,-0.0007861+0.00041456i,-0.0011497-5.8821e-05i,0.0030989+0.0028445i,0.0057238-0.0016697i,-0.00065224-0.0028061i,0.00024472-0.0040928i,-0.0023622+0.004147i,0.0011864+0.0019211i,-0.03607-0.0010742i,-0.04254-0.087202i,-0.080171+0.0026482i,-0.070536-0.026555i,-0.095029-0.022327i,-0.052886+0.013244i,-0.068321+0.048282i,-0.040465+0.03315i,-0.044326-0.026019i,-0.04466-0.048766i,-0.037648-0.0079436i,0.0040952-0.00124i,-0.0021963+0.021091i,0.0083255-0.0032393i,0.0078691-0.0073112i,-0.015354-0.0094466i,0.0024751-0.00040215i,-0.0047414+0.0053258i,0.011141+0.0070924i,0.0034897+0.011562i,-2.1249e-06+0.0018276i,0.0084904-0.00080748i,0.004026-0.0013863i,0.0073453+0.0059018i,0.0054674+0.0022893i,-0.007361-0.0033895i,0.00070066-0.0059904i,0.0055829+0.0018777i,-0.0053038+0.010323i,-0.0011587+0.001326i,-0.0008411-0.026745i,0.0087907+5.7979e-05i,0.0067133-0.0012894i,-2.1696e-05+0.0022262i,0.0010004+0.00022838i,0.011507-0.012837i,-0.0023801-0.00033405i,-0.0083582-0.0040549i,-0.0034335+0.0016566i,0.0077404-0.0042585i,0.0065443-0.0013598i,0.0023946-0.0046473i,0.0096263+0.0039884i,0.0046735-0.0025753i,0.021104-0.010331i,-0.089822-0.013559i,0.0009298-0.0016726i,0.0054489-0.0090794i,0.00071368-0.0015894i,-0.017957+0.025132i,-0.0054879+0.0033512i,-0.0047403+0.013623i
-0.016862+0.02541i,-0.039347+0.036364i,-0.01011+0.037261i,-0.016988+0.033849i,-0.0049429+0.041752i,0.028107+0.031871i,0.0083455+0.021416i,0.0062396+0.036056i,-0.007164+0.01743i,-0.0044473+0.0025768i,-0.0025534+0.0013613i,-0.0076191+0.00082537i,-0.0043514+0.0034445i,-0.0069179+0.0030578i,0.0028701+0.0048574i,-0.0044607+0.007673i,-0.0094282+0.010764i,0.00085742+6.4693e-05i,0.0015717-0.0044913i,0.00014489-0.004105i,-0.0014336-0.0041822i,-0.00074721-0.0046006i,-5.0225e-05-0.0032912i,-0.011193+0.0010491i,-0.00042577+0.00098971i,0.0001553+0.0033337i,-0.0009455+0.00028451i,-0.0015102+0.0018906i,-0.0022378+0.0003809i,-0.0017515-0.0020202i,0.0051686+0.0045876i,0.0003249-0.00054098i,0.00079179-0.0016726i,0.0015741+0.00021847i,0.001742+0.0029262i,-0.0022306-0.0076402i,-0.0006668+0.00089714i,-0.0013297+0.00058932i,0.0029204-4.8941e-05i,0.004038-0.0025114i,-0.0011114-0.0024875i,0.00048519-0.0017706i,-0.0073266+0.0018829i,-0.0004238-0.00033286i,-0.038127+0.0037452i,-0.06666-0.071077i,-0.070044+0.0082481i,-0.078396-0.015191i,-0.098863-0.0056998i,-0.046794+0.018643i,-0.054112+0.054165i,-0.026042+0.032695i,-0.048028-0.020651i,-0.05094-0.04165i,-0.034356+0.0021606i,0.0022149-0.0036553i,0.0058291+0.019293i,0.0068449-0.0058671i,0.0023945-0.0086994i,-0.021809+0.00288i,-0.00050948+0.00073177i,-0.00072652+0.0052322i,0.010657+0.0015189i,0.0091647+0.011627i,0.00049462+0.0031186i,0.0048225-0.002335i,0.0040056-0.004907i,0.0060221+0.0017619i,0.002646+0.00036034i,-0.0074669+0.0006646i,-0.0012021-0.0048263i,0.006024-0.00030879i,0.0050034+0.0089222i,-4.3217e-05+0.00086693i,-0.0057351-0.019347i,0.0080336-0.0030786i,0.0062817-0.0029922i,0.0014453+0.0034615i,0.0014756-6.4038e-05i,0.0058168-0.012798i,1.8684e-05+0.0018993i,-0.0099447+0.00083924i,-0.0012302+0.0034705i,0.0046114-0.0041601i,0.0059523-0.0046297i,0.00031971-0.0048941i,0.0093144-0.0017126i,0.0029719-0.005844i,0.016816-0.016368i,-0.087197+0.0017535i,-0.0069009-0.0060637i,0.003591-0.013363i,-0.00058066-0.0051745i,-0.013332+0.025459i,-0.0086608+0.0031178i,-0.0074597+0.011551i
-0.013021+0.025187i,-0.034358+0.041224i,-0.0085755+0.035692i,-0.010708+0.035721i,0.0019337+0.038791i,0.032136+0.024786i,0.012604+0.019038i,0.011893+0.032951i,-0.005249+0.018843i,-0.0028038+0.0038846i,-0.0027138+0.0021387i,-0.006845+0.0042428i,-0.0034558+0.0048161i,-0.0052681+0.0057796i,0.0043739+0.0037832i,-0.0011706+0.0098112i,-0.0038965+0.01368i,0.0008386-0.00060793i,0.00033438-0.0044298i,-0.0018248-0.0037888i,-0.0029734-0.0033867i,-0.0020295-0.0040933i,-0.001368-0.0033615i,-0.0089938+0.0037819i,-0.00087645+0.00051521i,0.00038268+0.001835i,-0.0010572+0.00033974i,-0.00073732+0.0017416i,-0.0017036+0.0014766i,-0.0019477-0.00068839i,0.0063302+0.0018988i,0.00032311-0.00053391i,4.1537e-05-0.0014893i,0.0013214-0.00038271i,0.0022213+0.0015415i,-0.0051477-0.0079389i,-0.00040613+0.0012617i,-0.001046+0.001682i,0.0013773-0.0010314i,0.0027619-0.0023942i,-0.0016502-0.0021329i,8.5128e-05-0.001795i,-0.0014592+0.0047926i,-0.0027936+0.0011749i,-0.038113+0.010854i,-0.076174-0.047737i,-0.064098+0.0096362i,-0.083168-0.0010005i,-0.099203+0.012644i,-0.0425+0.021217i,-0.040479+0.057039i,-0.016762+0.029494i,-0.049055-0.015199i,-0.054789-0.034861i,-0.02977+0.011311i,-2.5037e-05-0.0046522i,0.01481+0.013758i,0.0048791-0.007505i,-0.0027434-0.0072444i,-0.020164+0.010798i,-0.00068802+0.0033044i,0.0018292+0.0050396i,0.0069678-0.0011177i,0.01396+0.0077967i,0.0017836+0.0034877i,0.0027909-0.0013027i,0.0014489-0.0074767i,0.0031246+0.0014731i,0.00032723+0.0015102i,-0.0065796+0.0053454i,-0.0027913-0.0025693i,0.0051179-0.0025011i,0.0089009+0.0022447i,0.00025984+0.00065294i,-0.0085959-0.017073i,0.0061012-0.0055939i,0.0045981-0.0048979i,0.0050358+0.0026191i,0.0018008-0.00026015i,0.0026566-0.011929i,0.0017496+0.001395i,-0.0077606+0.0059608i,0.0014677+0.0033864i,0.0039469-0.0035134i,0.0031737-0.0085993i,4.5127e-06-0.004258i,0.005509-0.0048319i,-0.00073597-0.0070016i,0.0093485-0.021958i,-0.08091+0.011974i,-0.015293-0.0025482i,-0.0012144-0.01614i,-0.0028544-0.0077588i,-0.0086273+0.025524i,-0.011802+0.0056813i,-0.0066488+0.012211i
-0.0099239+0.025076i,-0.028575+0.046029i,-0.0071594+0.036999i,-0.0043523+0.035205i,0.0063937+0.03459i,0.034959+0.018016i,0.016525+0.0153i,0.016683+0.028971i,-0.0026225+0.018999i,-0.0014401+0.003788i,-0.0029261+0.0036277i,-0.0049636+0.0066889i,-0.0019781+0.0062596i,-0.0027893+0.0067125i,0.0051017+0.0022717i,0.0023747+0.010149i,0.0021086+0.013717i,0.00081636-0.00061594i,-0.0010909-0.0044279i,-0.0030955-0.0026927i,-0.0034219-0.0018018i,-0.0027836-0.0032827i,-0.0023127-0.0026011i,-0.0074105+0.0046465i,-0.0012124+0.0011823i,9.4127e-06+0.0016373i,-0.0013091+0.00074302i,-8.2635e-05+0.0014103i,-0.00077358+0.0018176i,-0.0015973+6.5232e-05i,0.0060946-0.00071962i,0.00011069-0.00063181i,-0.0005791-0.0010927i,0.00087448-0.00086483i,0.0022172+0.0010386i,-0.0081596-0.0065183i,-0.00019482+0.0012199i,-0.00014063+0.0020084i,0.00029404-0.0012745i,0.0019898-0.0020792i,-0.0020664-0.0014078i,-0.00067308-0.0022286i,0.00070029+0.0048246i,-0.0029148+0.0038893i,-0.035602+0.018245i,-0.074364-0.030577i,-0.061367+0.011854i,-0.082879+0.016397i,-0.093481+0.033101i,-0.040936+0.024119i,-0.028868+0.05629i,-0.009221+0.025347i,-0.048215-0.0089459i,-0.058817-0.027896i,-0.024196+0.016288i,-0.0032211-0.0044122i,0.017751+0.0015737i,0.0030796-0.009429i,-0.0060086-0.003413i,-0.014079+0.018673i,0.00083419+0.0038379i,0.0049701+0.0036282i,0.0051506-0.00010691i,0.017033+0.00057348i,0.0029127+0.0035839i,0.0023026-0.00074411i,-0.0030928-0.0083446i,0.0017943+0.003153i,0.0006041+0.0036974i,-0.0018003+0.0090713i,-0.001802-0.00016628i,0.0034985-0.0033921i,0.0095769-0.0010495i,0.0010787-0.0001625i,-0.013758-0.016232i,0.0034769-0.006702i,0.0016432-0.0057023i,0.0048475-0.00046744i,0.0017745+6.3789e-05i,0.0011019-0.010209i,0.0022953+4.9991e-05i,-0.0034683+0.0084177i,0.0025473+0.0015077i,0.0029452-0.0039013i,-0.0019904-0.0092249i,-0.0012788-0.0053424i,0.0027099-0.0049029i,-0.0028051-0.0069254i,-0.001164-0.022466i,-0.077187+0.020522i,-0.013597+0.0079427i,-0.0061988-0.017203i,-0.0063955-0.0081953i,-0.0051104+0.024611i,-0.0113+0.01081i,-0.0021532+0.011987i
-0.0066278+0.025311i,-0.021421+0.050321i,-0.0033041+0.039412i,0.00057923+0.033683i,0.0086944+0.031872i,0.036576+0.010893i,0.019332+0.010734i,0.020146+0.024799i,-3.4454e-06+0.019412i,-0.00073037+0.0038761i,-0.0016196+0.0057947i,-0.0020632+0.0084336i,-6.8476e-06+0.0069676i,-0.0006332+0.006592i,0.0052173+0.00075804i,0.0056433+0.0091273i,0.0068073+0.011428i,0.00078628-0.00069238i,-0.002334-0.0038883i,-0.0036212-0.0010545i,-0.0030639-0.00061519i,-0.0034812-0.0024386i,-0.0027691-0.0016759i,-0.0067034+0.0060835i,-0.00083297+0.0016101i,7.8402e-05+0.0020687i,-0.001013+0.0015003i,-6.8498e-05+0.00091909i,-0.00014685+0.0016205i,-0.0012703+0.00035347i,0.005043-0.0039739i,0.00018605-0.00033576i,-0.00064701-0.00094174i,0.00042851-0.0010898i,0.0024267-3.7017e-05i,-0.010146-0.004295i,0.00012797+0.0013635i,0.00063481+0.0017157i,-0.00062019-0.0011945i,0.0017642-0.0020534i,-0.0021569-0.00057462i,-0.0013813-0.0017554i,0.0020728+0.0037087i,-0.0019669+0.0053424i,-0.030572+0.023904i,-0.073452-0.023069i,-0.060502+0.015975i,-0.07595+0.031377i,-0.081592+0.050161i,-0.038369+0.030008i,-0.019361+0.055566i,-0.0048486+0.020383i,-0.04654-0.0041122i,-0.061733-0.019442i,-0.019047+0.01959i,-0.0040674-0.0043778i,0.011084-0.0086368i,-0.00029791-0.011179i,-0.0064849-2.8929e-06i,-0.0056934+0.020585i,0.0013186+0.003279i,0.006707-0.00016342i,0.0060852-0.00041143i,0.014912-0.0051331i,0.0051228+0.0029525i,0.0023553+0.00050851i,-0.0072688-0.0038424i,0.0032278+0.0045289i,0.0019495+0.0050097i,0.0036557+0.0082745i,-0.0011575+9.4557e-05i,0.002405-0.0038864i,0.012691-0.0061176i,-0.00013842-0.0006344i,-0.019986-0.011338i,0.0013835-0.0065959i,-0.00073478-0.0042323i,0.0051003-0.00015607i,0.0018234-0.00035862i,0.00023351-0.010952i,0.0019727-0.001237i,0.00048177+0.007379i,0.0025852+0.0011998i,0.0024287-0.0032623i,-0.0056082-0.0054531i,-0.0045642-0.0050695i,0.00022266-0.0048515i,-0.0053685-0.0062064i,-0.0080279-0.018649i,-0.071696+0.029631i,-0.0086971+0.0069315i,-0.0073777-0.015908i,-0.0088731-0.0067535i,-0.00098268+0.022885i,-0.0099282+0.012983i,-0.00052187+0.0094189i
-0.0032435+0.025127i,-0.013118+0.053352i,0.0026411+0.041683i,0.0048161+0.032516i,0.010961+0.030379i,0.036782+0.0039771i,0.021035+0.0057015i,0.023372+0.020831i,0.0032229+0.019281i,0.00014489+0.0041566i,0.0011627+0.0067303i,0.0013652+0.0083692i,0.0020936+0.0068818i,0.0007963+0.0063711i,0.0050808-0.0004863i,0.0083418+0.0067791i,0.0098003+0.0084906i,0.00097953-0.0015922i,-0.0032264-0.0031599i,-0.0032016+0.00067998i,-0.0025737+0.00021057i,-0.0038547-0.0010258i,-0.002946-0.00084231i,-0.0043854+0.0078109i,-0.00033585+0.0021743i,0.00094775+0.002177i,-0.00041025+0.0019731i,-0.00045733+0.00097125i,0.00019768+0.0015039i,-0.00099817+0.00068372i,0.0029851-0.0045027i,0.00049965-0.00072449i,-0.0011461-0.0008682i,-0.00017231-0.0011424i,0.0018526-0.0009621i,-0.011351-0.00088807i,0.0004884+0.0013146i,0.0011181+0.0013348i,-0.0017249-0.00080352i,0.0017226-0.0020662i,-0.0018091-7.3725e-05i,-0.0015738-0.0010611i,0.0027246+0.0024454i,-0.00062056+0.0065314i,-0.025498+0.026715i,-0.078204-0.016352i,-0.059501+0.021742i,-0.067622+0.042836i,-0.065872+0.061102i,-0.034325+0.035125i,-0.0097444+0.053638i,-0.0021613+0.017003i,-0.044961+9.24e-05i,-0.062608-0.0091588i,-0.014627+0.022342i,-0.0055266-0.0034732i,0.003198-0.010117i,-0.0045055-0.011248i,-0.005197+0.003917i,0.0017608+0.018529i,0.0007744+0.002612i,0.0058832-0.0044222i,0.0052748-0.0015484i,0.011177-0.010531i,0.0067286+0.00064331i,0.0035671+0.00070443i,-0.0076987-0.00044595i,0.0051925+0.0049876i,0.0045036+0.0057911i,0.0083733+0.0057315i,-0.00078744+0.00098772i,0.0020798-0.0041443i,0.0059613-0.0061269i,-0.00038887+0.00099762i,-0.022589-0.0030174i,-0.00018857-0.0064065i,-0.0017089-0.002455i,0.0052636-0.0011549i,0.0016966-0.00061516i,-0.0024401-0.012461i,0.00083673-0.0016851i,0.0036837+0.0065713i,0.0033569+0.00038022i,0.0033385-0.0034241i,-0.0071758-0.0024887i,-0.0072802-0.0017503i,-0.0026488-0.0037394i,-0.0071466-0.0047319i,-0.012311-0.013897i,-0.064916+0.036821i,-0.0086103+0.0055279i,-0.0080506-0.01813i,-0.010101-0.0046953i,0.00036844+0.022158i,-0.009253+0.014669i,0.00019967+0.0077725i
0.00037061+0.024964i,-0.0036624+0.054724i,0.010548+0.04189i,0.0089902+0.03108i,0.014407+0.03011i,0.036035-0.002477i,0.021291+0.00025225i,0.026629+0.016212i,0.0066631+0.017948i,0.00090215+0.0041166i,0.0036192+0.0053414i,0.0036834+0.0064179i,0.0040612+0.0061988i,0.0026203+0.0059651i,0.0046522-0.0017151i,0.0095292+0.0035691i,0.012203+0.0049627i,-0.00014957-0.0022348i,-0.0042619-0.001888i,-0.0018761+0.0016375i,-0.0016476+0.00050822i,-0.0034201+9.1729e-05i,-0.0030071+2.7242e-05i,-0.0013622+0.0082315i,0.00049889+0.0022185i,0.0017002+0.0015936i,0.00045099+0.0020686i,-0.00021753+0.0015333i,0.00066427+0.001094i,-0.00059819+0.00078563i,0.0010147-0.0047509i,-2.0097e-05-0.0010832i,-0.0015482-0.00031107i,-0.00070128-0.00096304i,0.0010834-0.0015143i,-0.010646+0.0028793i,0.0007838+0.0011393i,0.0015042+0.0008185i,-0.0022269+0.00016216i,0.0014959-0.0025672i,-0.0015+0.00018099i,-0.0014754-0.00068455i,0.0024924+0.0014283i,0.0015624+0.0074109i,-0.021104+0.029611i,-0.086128-0.0032151i,-0.055349+0.027615i,-0.056377+0.051286i,-0.050989+0.068124i,-0.029358+0.041653i,-0.00028546+0.04933i,0.0028843+0.01346i,-0.042659+0.0049592i,-0.060629+0.0011689i,-0.010186+0.02431i,-0.0072216-0.002436i,-0.0025983-0.0095708i,-0.0088819-0.0094995i,-0.001248+0.0053259i,0.005086+0.013834i,-0.0002922+0.0028125i,0.0035157-0.007767i,0.0055963-0.0011065i,0.0045378-0.013115i,0.0069925-0.0028028i,0.0045515-0.00028315i,-0.0079869+0.0037423i,0.008172+0.004278i,0.0079402+0.0035831i,0.010279+0.00097488i,0.00050979+0.0017138i,0.0012155-0.0044596i,-0.0010978-0.0082281i,0.0011238+0.0022456i,-0.022001+0.0062888i,-0.0019999-0.0059756i,-0.0013595-0.00061112i,0.0050553-0.0038291i,0.00176-0.00064733i,-0.0074684-0.012048i,-0.00010075-0.0013282i,0.0061712+0.0037995i,0.0035529-0.00016089i,0.002759-0.0043346i,-0.0069451+0.0018289i,-0.0071351+0.0026033i,-0.0046182-0.0018796i,-0.0091102-0.0033635i,-0.014534-0.0086222i,-0.059332+0.043003i,-0.0087307+0.0087214i,-0.012798-0.022191i,-0.0080764-0.0031603i,0.0037823+0.021768i,-0.0087673+0.018238i,0.0015412+0.0059767i
0.0044079+0.023778i,0.0056096+0.053857i,0.018309+0.038992i,0.013154+0.029145i,0.019131+0.028985i,0.034648-0.0084895i,0.020007-0.0048871i,0.028539+0.010676i,0.0096004+0.015973i,0.001579+0.00411i,0.0044242+0.0038641i,0.0043285+0.00452i,0.0057235+0.0047039i,0.0040147+0.0047783i,0.003791-0.0026671i,0.0091193+0.000643i,0.012833+0.00082242i,-0.0011445-0.0017459i,-0.0042675-0.00033588i,-0.00073625+0.0015793i,-0.00090719+0.00029554i,-0.0028424+0.0006784i,-0.0024988+0.00078226i,0.0011031+0.0079754i,0.0013746+0.0016776i,0.0021074+0.001035i,0.0011541+0.0016992i,0.00051782+0.0016834i,0.00077169+0.00054357i,-0.00045228+0.00084743i,-0.00090229-0.0041596i,-0.00075313-0.00093575i,-0.0014827+0.00036905i,-0.0010935-0.0005219i,0.00037577-0.0015943i,-0.008991+0.0059417i,0.0010395+0.00071158i,0.0016289+0.00017708i,-0.002031+0.0013655i,0.0010721-0.0030991i,-0.0012339+0.00039722i,-0.0015612-0.00076686i,0.0022043+0.00091175i,0.004186+0.0074748i,-0.016244+0.031895i,-0.087778+0.016967i,-0.052724+0.031583i,-0.045887+0.055914i,-0.034321+0.072904i,-0.020792+0.048063i,0.0066992+0.043191i,0.005393+0.0059065i,-0.038532+0.0087051i,-0.055472+0.011641i,-0.003619+0.025234i,-0.0088344+0.00019166i,-0.0081921-0.006253i,-0.012066-0.0060467i,0.0017142+0.0036087i,0.0057907+0.011295i,-0.0020575+0.0042057i,-2.2912e-06-0.010579i,0.0068063-0.0031961i,-0.001707-0.011649i,0.004749-0.0051982i,0.0050562-0.0024195i,-0.006193+0.0071519i,0.010398+0.00048698i,0.0087578-0.0011491i,0.0085336-0.0048164i,0.0024301+0.0012415i,0.00017457-0.0044806i,-0.004467-0.0048958i,0.003127+0.0011659i,-0.016638+0.011854i,-0.0034885-0.0059789i,9.4904e-05+0.00048778i,0.0023665-0.0054188i,0.0017319-0.00070522i,-0.012122-0.0079926i,2.5039e-05-0.0002803i,0.0069678+6.3526e-05i,0.0031388-0.0011426i,0.0016361-0.0044988i,-0.0044051+0.0052254i,-0.0047468+0.0058573i,-0.0048304+0.0016321i,-0.01077-0.0010074i,-0.014912-0.0047138i,-0.051919+0.051535i,-0.0025191+0.011728i,-0.020039-0.021435i,-0.0070053-0.0047894i,0.0062138+0.020891i,-0.0051665+0.021684i,0.0022613+0.0025194i
