-0.025287-0.0047053i,-0.021215-0.0073494i,-0.012701-0.013182i,-0.034976-0.0078766i,-0.026888+0.0011196i,-0.036013-0.0028846i,-0.068323-0.036376i,-0.033392-0.015375i,-0.022943+0.0030533i,0.0063073+0.0065056i,-0.0052721+0.0075096i,-0.0081021+0.018188i,0.006181+0.0082035i,-0.00090653+0.0031968i,0.0044995+0.0034984i,0.0055517+0.025206i,0.023255+0.020268i,0.0014125-0.00052338i,0.0010054-0.0044241i,0.0090656+9.4474e-05i,0.0054051-0.00024667i,0.0025867+0.0013302i,0.0016227-0.00089285i,-0.024422+0.00011173i,-0.0047624-0.003902i,-0.00026443+0.0033855i,0.0052593-0.0041688i,-0.0015303-0.00038463i,-0.00010652+0.0011106i,-0.0018426-0.0014259i,-0.0036384-0.00023923i,-0.0067981-0.0083305i,-0.0050774-0.0073278i,-0.00044042+0.00033782i,7.1462e-05-0.0018702i,0.00056902+0.021943i,0.0027204-0.0039597i,0.00088759-0.0041573i,0.0032032-0.0018697i,-0.0031409-0.0024739i,0.0010246-2.0786e-05i,0.0081132-0.0020523i,0.0031656-0.0022626i,0.0002066+0.0029274i,-0.013595+0.015892i,-0.026012+0.053288i,-0.0062758-0.037267i,-0.015001-0.018726i,-0.040183-0.016316i,-0.027551-0.012491i,0.035349-0.011423i,0.0056114-0.030131i,0.012439-0.038383i,-0.008136-0.029485i,0.02479-0.023492i,0.013188+0.0070336i,0.028503-0.036006i,-0.0015679-0.0043132i,0.0057474-0.0094307i,-0.00066357-0.0062766i,-0.00014573-0.034822i,-0.013039+0.028669i,0.0084516-0.011535i,-0.0085653-0.0043368i,-0.0021758-0.0019228i,-0.00020196-0.01592i,-0.0079229+0.0060227i,0.003967+0.0067291i,-0.00073792+0.028345i,0.0026887+0.0012801i,-0.0071028-0.0042967i,-0.00377-0.0059122i,-0.014362-0.0097474i,-0.0020635-0.0057895i,-0.034235+0.0063541i,-0.0052125-0.0085209i,-0.012939-0.001248i,-0.01055-0.0056671i,0.0017919-0.0012676i,-0.013752+0.0021869i,-0.0017054-0.00044187i,0.0054392+0.0056383i,0.0033407-0.0051618i,-0.014692-0.014027i,0.0070702+0.0077446i,-0.016239+0.005096i,0.004868+0.00013647i,-0.019237-0.0028165i,-0.016045-0.0047445i,-0.0153-0.036088i,0.020699-0.01019i,-0.03912-0.02374i,-0.0093055+0.0058733i,0.017889+0.014727i,-0.022459+0.01722i,-0.0044177-0.004004i
0.0043318+0.014547i,-0.0027685+0.015429i,-0.0024131+0.026221i,0.0018384+0.025217i,-3.6702e-05+0.02911i,0.011101+0.02249i,-0.0097098+0.0266i,-0.0058056+0.022274i,0.011524+0.005027i,0.0022564-0.0050301i,0.0021642-0.00016793i,0.0057708-0.0026461i,0.00070916-0.0014895i,0.00031411-0.0034755i,0.00016465-0.0017609i,0.0059102-0.0063586i,-0.0035554-0.0047273i,-0.0011367+0.0021847i,0.00027112+6.9631e-05i,-0.00027185+0.0020621i,-0.0027396+7.6927e-05i,1.9925e-05+0.00035591i,0.0014307+0.00042551i,-0.0084623-0.0039127i,-0.00071312-0.0008956i,-0.0025423+0.00046811i,-0.0041585+0.0002536i,-0.0018902+0.00039706i,-0.0020024+0.00067782i,-0.00039632-0.00035926i,-0.0032448+0.00038534i,0.0013878-0.0022198i,0.00055679-0.0028357i,-0.00040283-0.0010756i,-0.0017628+0.00066526i,-0.00083966-0.004303i,-0.0020456+0.0011993i,0.0017208-0.00028914i,-0.00034755+0.0023188i,0.0026597+0.0060928i,0.00028309+0.00080533i,-0.0013156+0.0003051i,-0.0013756-0.0014421i,0.0029451+0.004153i,0.01448+0.0071297i,0.044152-0.05309i,-0.026499+0.0052983i,0.018559-0.027295i,-0.022419-0.033186i,-0.011806+0.0028721i,-0.032915+0.033551i,-0.019247+0.0050668i,-0.016111+0.0086509i,-0.0019101-0.017052i,-0.040934-0.02098i,-0.0083352+0.0019218i,-0.028496+0.011412i,0.0026202+0.014389i,0.0011792+0.0049059i,-0.003659-0.0049841i,-8.6369e-05+0.0018428i,-0.01392-0.0047176i,0.0054526+0.012773i,-0.0014483+0.0076796i,-0.0021039+0.0038443i,0.00072912+0.0059946i,0.0024018+0.0028078i,-0.001502+0.018703i,0.0044539+0.015005i,0.0049095-0.005415i,0.01148-0.0050926i,0.0086084+0.0029224i,-0.0042125-0.0064238i,-0.00039836-0.0020211i,0.018548-0.03213i,0.0091827+0.0038465i,0.0077122-0.0017481i,0.0022894-0.00050458i,0.0060445-0.0093619i,0.022034-0.00021014i,0.0062258-0.0036469i,0.0015357-0.0071834i,0.0050678-0.003628i,0.017534+0.0029331i,0.0070925+0.0026649i,0.0041677-0.0032856i,0.0097518+0.0092849i,-0.0014661+0.0054406i,0.0088619+0.010209i,-0.014012-0.013921i,-0.0091781+0.0018803i,-0.0087495-0.013895i,-0.0077657-0.0046458i,-0.039812+0.0069073i,-0.0059844+0.0037492i,-0.011728+0.00046461i
0.0069309+0.013312i,-0.00087524+0.012969i,0.0039769+0.021813i,0.0055579+0.022729i,0.0041219+0.027243i,0.014298+0.020155i,-0.006076+0.027465i,-0.0013484+0.02236i,0.011356+0.0011267i,0.00051273-0.0052198i,0.0023802+0.00027174i,0.0045839-0.0050035i,0.00014981-0.0022052i,0.00041141-0.0031295i,-0.00049539-0.0016113i,0.0023009-0.0060919i,-0.0057992-0.0024231i,-0.00018114+0.0023426i,0.0011808-0.00011152i,0.00098968+0.0017736i,-0.0019397+0.0017117i,0.00060031+0.00070161i,0.0016943-0.00022814i,-0.0080475-0.0012777i,-0.0007324-0.00059806i,-0.00221+0.0013961i,-0.0032797+0.0020278i,-0.0013347+0.00090567i,-0.0014918+0.0011406i,-0.00015664-5.6669e-05i,-0.0027228+0.0017865i,-0.00011819-0.0019233i,-0.001152-0.0025961i,-0.0015243-0.00094194i,-0.0022754+0.0011221i,-5.4783e-05-0.0035757i,-0.0011654+0.0018027i,0.00084195-0.00098725i,0.00014859+0.0024896i,0.0041596+0.0038719i,0.00071311+0.00069185i,-0.0014344+0.00065563i,-0.0018337-0.0011054i,0.0041155+0.0031965i,0.015338+0.0027631i,0.024371-0.062968i,-0.020667+0.013193i,0.0079536-0.035119i,-0.034061-0.025497i,-0.0092155+0.0061382i,-0.021671+0.039488i,-0.015613+0.01055i,-0.0052323+0.0034446i,-0.0039538-0.015581i,-0.045589-0.0054021i,-0.0081693+0.0024914i,-0.023437+0.023413i,0.0061082+0.010095i,0.0016167+0.003085i,-0.00873-0.0070309i,-0.0026235+0.0047096i,-0.013955+0.003478i,0.010898+0.0090024i,0.00085491+0.0096354i,-0.00042857+0.0042579i,0.0031156+0.0066852i,0.0040244+0.0027772i,0.0062247+0.014903i,0.0090706+0.0081435i,-0.0016626-0.0078493i,0.005679-0.0066307i,0.0078921+0.0011959i,-0.0071446+0.00012115i,-0.00050375+0.0005546i,0.0044131-0.032165i,0.01082+0.0013237i,0.0077838-0.0047227i,0.0040397-0.0021682i,0.00093249-0.0066534i,0.020595-0.0096942i,0.0032263-0.0052012i,-0.002153-0.0060439i,0.0011011-0.0032678i,0.015162-0.0034845i,0.0076253+0.0013732i,0.0032218-0.002268i,0.012513+0.0053647i,4.2549e-05+0.0058898i,0.010675+0.0058381i,-0.019527-0.011524i,-0.0047573-0.012249i,-0.007674-0.011701i,-0.0076244-0.0032868i,-0.033686+0.020399i,-0.0040385+0.0046211i,-0.0098285+0.0026435i
0.01008+0.011578i,0.00011778+0.011314i,0.006984+0.01638i,0.0084191+0.020214i,0.008904+0.025624i,0.017386+0.017205i,-0.0016352+0.027993i,0.0030839+0.021225i,0.0097604-0.001651i,-0.0010488-0.0046133i,0.0033261-2.716e-05i,0.0009808-0.0057639i,-0.00057836-0.0022721i,-0.0002996-0.0032055i,-0.00095514-0.0013315i,-0.00087386-0.0041199i,-0.0063276+0.00063638i,0.00089481+0.002183i,0.001382-0.00133i,0.0021982+0.00062509i,-0.00058937+0.002158i,0.0014489+0.00024007i,0.0016116-0.00095847i,-0.0078132+0.00012475i,-0.00073368-0.00016773i,-0.0010865+0.0024289i,-0.0015946+0.0026587i,-0.00054048+0.0013067i,-0.00082458+0.0014146i,-0.0001689-0.0001988i,-0.0016953+0.0025899i,-0.00096188-0.0013523i,-0.0022393-0.0013869i,-0.0021335-7.1482e-05i,-0.0017705+0.0022572i,0.00068167-0.0042109i,-0.00064662+0.0016358i,1.0703e-05-0.0012625i,0.0016836+0.0020006i,0.0043767+0.0020195i,0.0010223+0.00044668i,-0.00055482+0.0013776i,-0.0022545-0.00077283i,0.0045606+0.0012216i,0.014831-0.0010005i,0.0028208-0.063021i,-0.010492+0.016774i,-0.0042185-0.036968i,-0.037502-0.016437i,-0.0039098+0.0072025i,-0.0074277+0.040153i,-0.004633+0.011728i,-0.0043699-0.0040283i,-0.005469-0.014829i,-0.042455+0.0092079i,-0.0074954+0.0042606i,-0.011114+0.030291i,0.0070787+0.006076i,-0.00033085+0.00083472i,-0.016873-0.0033242i,-0.0016144+0.0061803i,-0.0091822+0.008136i,0.012048+0.0025102i,0.0045076+0.0095829i,-0.0011426+0.0047081i,0.0045568+0.0048381i,0.0054448+0.00034058i,0.0082785+0.0086864i,0.0081521+0.0025864i,-0.0068039-0.0030948i,0.0034503-0.0058339i,0.0091141-0.00026205i,-0.0027272+0.0075544i,0.001969+0.0018358i,-0.0054826-0.027474i,0.01174-0.003811i,0.0050061-0.0071918i,0.0024563-0.0041405i,0.00049187-0.0046189i,0.012909-0.016571i,3.7757e-05-0.0023705i,-0.004378-0.0035572i,-7.3123e-05-0.00014888i,0.010266-0.0073238i,0.010208-0.0021267i,0.0039275-0.0035707i,0.014812-0.0005185i,0.0035721+0.005086i,0.010616+0.002062i,-0.022481-0.0041818i,-0.015041-0.019885i,-0.0065417-0.013814i,-0.0061703-0.0037985i,-0.023063+0.026273i,-0.0042018+0.00016342i,-0.0076717-0.00098886i
0.012915+0.0081436i,0.0018511+0.010595i,0.0076924+0.011374i,0.01098+0.018034i,0.013312+0.021995i,0.020015+0.013386i,0.0038255+0.027553i,0.0071462+0.018862i,0.0081159-0.0028377i,-0.0022008-0.0036121i,0.0036593-0.0017277i,-0.0014821-0.0038915i,-0.0014436-0.0021992i,-0.0013605-0.0025366i,-0.0015308-0.00099374i,-0.0017465-0.000997i,-0.0048979+0.0035051i,0.0016477+0.0014119i,0.00077885-0.0015999i,0.0020614-0.0010446i,0.00042645+0.0019149i,0.0019302-0.00060933i,0.0012018-0.0016474i,-0.0076281+0.0020917i,-0.00042405-0.0001021i,0.00061997+0.001783i,-0.00018236+0.0023097i,0.00027891+0.0010226i,4.2456e-05+0.0016648i,-0.00019015+8.6086e-05i,-0.0006112+0.0027646i,-0.0017239-0.00074027i,-0.0029153-7.4177e-05i,-0.0020304+0.0011323i,-0.00067915+0.002675i,0.00031573-0.0062183i,0.00028159+0.0017894i,-0.00076922-0.0009315i,0.0020709+0.00056296i,0.0042533+0.00064285i,0.0014113-0.00013816i,0.00037155+0.001005i,-0.0025393-0.00016102i,0.0031393-0.001483i,0.013679-0.0040555i,-0.014424-0.052313i,-0.0014379+0.01407i,-0.014878-0.03386i,-0.041043-0.0074739i,0.0010123+0.0048986i,0.0041614+0.035281i,0.0030344+0.0044343i,-0.0050703-0.0055498i,-0.0055753-0.012332i,-0.035317+0.018986i,-0.0065057+0.0056488i,0.00099598+0.029321i,0.0073989+0.0028344i,-0.0036574+0.0018964i,-0.02011+0.0065222i,-0.0013219+0.0085855i,-0.0044596+0.0084572i,0.0090073-0.0034417i,0.0077658+0.0080946i,4.8078e-05+0.006929i,0.0043389+0.0044911i,0.0055267-0.0031593i,0.0070256+0.0036469i,0.0050612-4.6551e-05i,-0.0052678+0.0011529i,0.0016238-0.0055193i,0.0087342-0.0029199i,0.0057912+0.0077966i,0.0034116+0.00028405i,-0.010434-0.021517i,0.008592-0.0074311i,0.0021846-0.0081501i,0.0015518-0.0034283i,-0.00028942-0.004772i,0.0050925-0.017665i,0.0022231-0.0011799i,-0.0047828-0.00052471i,0.0022268+0.0013283i,0.0064248-0.0073686i,0.0085812-0.0069624i,0.0019601-0.0044021i,0.011635-0.0079239i,0.0043671+0.0016097i,0.01021-0.0022639i,-0.018179+0.0038153i,-0.026367-0.017528i,-0.010552-0.017917i,-0.006612-0.0055774i,-0.014388+0.026918i,-0.0089534-0.0001875i,-0.011039-0.00018954i
0.014037+0.0043348i,0.0026038+0.0086618i,0.0063791+0.0079005i,0.013515+0.015381i,0.016343+0.017711i,0.021493+0.0091317i,0.0092163+0.025323i,0.010219+0.015779i,0.0072048-0.0034473i,-0.0025245-0.0025478i,0.0024757-0.0028877i,-0.0021614-0.0020844i,-0.0021868-0.0018324i,-0.0014951-0.0017118i,-0.0018176-0.00030838i,-0.00085082+0.0011156i,-0.0025604+0.0052272i,0.0017919+0.00055565i,0.00052377-0.0016376i,0.0011186-0.0019373i,0.00087037+0.0013455i,0.0016366-0.0014506i,0.00039058-0.0019667i,-0.0057775+0.0037454i,-0.00052019-0.00041461i,0.00089127+0.00031668i,0.0008842+0.0014305i,0.00066076+0.00055995i,0.00093836+0.0012863i,0.00030002+0.00014316i,0.00021705+0.0026341i,-0.0019034-0.00016994i,-0.0026692+0.0015918i,-0.0014403+0.0020658i,0.00012548+0.0027017i,-0.0017974-0.0079421i,0.00080657+0.0012556i,-0.00091615-5.746e-05i,0.0016956-0.000306i,0.0036432-0.00019923i,0.0012352-0.00090728i,0.00056531+0.00048766i,-0.0024181+0.00044878i,0.00083896-0.00093503i,0.012226-0.0062211i,-0.018817-0.038231i,0.0033268+0.0089373i,-0.023591-0.027303i,-0.042151+0.0040253i,0.003357+0.00010974i,0.012525+0.027956i,0.005061-0.00282i,-0.0048221-0.0072693i,-0.0043869-0.012657i,-0.028014+0.02634i,-0.0047005+0.0066858i,0.012213+0.024068i,0.0065314+4.8376e-05i,-0.0047958+0.0055137i,-0.017271+0.014843i,0.0016925+0.010043i,-0.00033244+0.0095683i,0.0032791-0.0044139i,0.010436+0.0054674i,0.0029307+0.0077367i,0.0053452+0.0044565i,0.0041604-0.0056136i,0.0042543+0.0035177i,0.0023859+0.00084926i,-0.0043214+0.0029786i,0.00028857-0.0043716i,0.0072313-0.0054031i,0.0095841+0.0024945i,0.0034168-0.0016856i,-0.013639-0.019023i,0.0048786-0.0092966i,-0.0011009-0.0080465i,0.0023888-0.0031302i,-0.0017613-0.0035956i,-0.00020128-0.015752i,0.0027857-0.00313i,-0.0028031+0.0020404i,0.0046331+0.00012029i,0.0048222-0.0077526i,0.0037979-0.011132i,0.0014102-0.0043266i,0.0051689-0.011297i,0.003342+0.00026677i,0.0061557-0.0067009i,-0.011378+0.0052751i,-0.036132-0.007946i,-0.016467-0.018108i,-0.0080232-0.0069043i,-0.0087865+0.026064i,-0.012505+0.0035255i,-0.010842+0.0036733i
0.014198+0.00077633i,0.0028247+0.0079148i,0.004934+0.0065679i,0.015553+0.012246i,0.017824+0.013253i,0.022438+0.0050827i,0.014156+0.021447i,0.012257+0.012338i,0.0068322-0.004377i,-0.0029088-0.0022741i,0.00066166-0.0032738i,-0.0022528-0.00049887i,-0.0029975-0.001117i,-0.0015092-0.001423i,-0.0019047+0.00032403i,0.00059595+0.002051i,0.00037252+0.0055927i,0.0016944-2.455e-05i,-5.9039e-05-0.0017895i,1.8918e-05-0.0021698i,0.0014963+0.0010255i,0.0011823-0.0020992i,-0.00025065-0.001798i,-0.0046439+0.003907i,-0.00081834-0.00025213i,0.00018498-0.00046409i,0.0011599+0.00027248i,0.00095192-3.2048e-05i,0.0014728+0.00043441i,0.00046821-0.00036117i,0.0010742+0.0024153i,-0.001969+0.00043904i,-0.0015406+0.0026699i,-0.00043506+0.0024277i,0.00080258+0.0025408i,-0.0048895-0.0083799i,0.0009396+0.00042719i,-0.00049086+0.00028357i,0.0013243-0.00090107i,0.0030728-0.00050485i,0.00072253-0.0010213i,0.00057894+0.00024853i,-0.0020968+0.00077333i,0.00031959+0.00063785i,0.010866-0.0075552i,-0.016918-0.031658i,0.0053606+0.0046279i,-0.027955-0.016896i,-0.036539+0.017374i,0.00060795-0.0042563i,0.016656+0.020027i,0.0049585-0.0087782i,-0.0050235-0.0079937i,-0.0060898-0.012795i,-0.019646+0.03048i,-0.0037315+0.0076277i,0.017928+0.011795i,0.0056433-0.0023435i,-0.0030267+0.0088818i,-0.010214+0.021103i,0.0048208+0.0087659i,0.0046346+0.0067812i,0.001192-0.0021779i,0.012479+0.0011328i,0.005735+0.0072593i,0.006371+0.0034697i,-0.00054358-0.0080763i,0.0043269+0.0050821i,0.0027136+0.0027927i,-0.0019341+0.0061008i,0.00048423-0.0036374i,0.0055008-0.0065849i,0.0099952-0.0029236i,0.0027963-0.0034546i,-0.019524-0.016533i,0.0010562-0.0096239i,-0.0043802-0.00662i,0.0011966-0.0044745i,-0.0020556-0.0018875i,-0.0029529-0.012612i,0.0013137-0.0047008i,-0.0003711+0.0024392i,0.0046884-0.0037245i,0.0020179-0.008863i,-0.0032922-0.011059i,0.00043705-0.0053953i,-0.00013712-0.0098719i,0.0029435-0.0014111i,0.00070542-0.0064793i,-0.0075979+0.004455i,-0.033568+0.008534i,-0.022597-0.015116i,-0.010192-0.0068268i,-0.004999+0.02574i,-0.011327+0.0092439i,-0.0064466+0.0047205i
0.013566-0.0025855i,0.0035708+0.0077313i,0.0041701+0.00628i,0.016894+0.0086266i,0.018385+0.0095097i,0.022816+0.00061006i,0.017694+0.016384i,0.013305+0.0089275i,0.0063771-0.0053757i,-0.0035928-0.0014075i,-0.00081314-0.0024663i,-0.0012026+0.00088051i,-0.003474-5.215e-05i,-0.0020422-0.001543i,-0.0018618+0.00096415i,0.0017627+0.0021756i,0.002653+0.0045412i,0.001444-0.00037984i,-0.00043084-0.0015961i,-0.00084182-0.0016905i,0.0019311+0.00031792i,0.00041489-0.0025598i,-0.0006969-0.0014611i,-0.0041382+0.00491i,-0.00090647-0.00019858i,-0.00056269-0.00044138i,0.00099389-0.00054423i,0.00073158-0.00087297i,0.001413-0.00065298i,0.00012032-0.00089257i,0.0018731+0.0018183i,-0.0014617+0.0014213i,0.0002353+0.0027058i,0.00058385+0.0022469i,0.0015153+0.0018976i,-0.0082479-0.0074736i,0.00086524-0.00012721i,-0.00033145+5.1744e-05i,0.00076496-0.0014543i,0.0027601-0.0008036i,0.0003544-0.0010738i,0.00086773-5.5622e-05i,-0.0019506+0.00087869i,0.00078987+0.0010938i,0.010116-0.0093771i,-0.017506-0.030944i,0.0063725+0.0011747i,-0.025657-0.0078428i,-0.025438+0.026766i,-0.0017207-0.0044482i,0.019297+0.013597i,0.0022165-0.013658i,-0.0051306-0.0088434i,-0.0066054-0.010999i,-0.01112+0.033237i,-0.0010483+0.0075486i,0.012715+0.00039719i,0.0033636-0.0047593i,0.00018675+0.010372i,-0.0021849+0.022292i,0.0062649+0.0064812i,0.005946+0.0024129i,0.0015154-0.00084698i,0.012096-0.0030623i,0.0098025+0.0050412i,0.0072734+0.0030326i,-0.0050509-0.0037614i,0.0064962+0.0052616i,0.0044599+0.0034951i,0.0018359+0.0063505i,-0.00019703-0.0038105i,0.0035399-0.0078257i,0.0080248-0.0094334i,-0.00020476-0.0039286i,-0.025314-0.0094633i,-0.0020067-0.0087327i,-0.0061337-0.0032988i,0.0008282-0.0024607i,-0.0020241-0.0013691i,-0.0045531-0.012017i,-0.00099933-0.005541i,0.00073174+0.00094025i,0.0019754-0.0049421i,-0.00041761-0.007931i,-0.0067769-0.0068212i,-0.0022715-0.0057281i,-0.0040421-0.007941i,0.0011584-0.0023855i,-0.0016255-0.0040649i,-0.0042718+0.003912i,-0.025614+0.01103i,-0.023218-0.010666i,-0.01194-0.0059511i,0.00026372+0.02375i,-0.0089898+0.01162i,-0.00473+0.0032311i
0.012183-0.0055086i,0.0050548+0.0077059i,0.004244+0.006658i,0.017307+0.0051338i,0.018349+0.0062718i,0.021986-0.0037425i,0.020033+0.010859i,0.013758+0.0059456i,0.0057039-0.0067207i,-0.0038584-0.00034014i,-0.0011372-0.001135i,0.00011519+0.00071288i,-0.0035847+0.0012577i,-0.0031135-0.00070605i,-0.0014738+0.0016778i,0.0029171+0.0013951i,0.0040206+0.0029132i,0.0013512-0.00061478i,-0.00073102-0.0013204i,-0.0010975-0.00082756i,0.0020141-0.00052415i,-0.00044452-0.0023585i,-0.00090697-0.001064i,-0.0021818+0.005885i,-0.001234-1.0282e-05i,-0.00083412-0.00015484i,0.00030229-0.0013218i,-3.1035e-05-0.0014032i,0.0007388-0.0015699i,-0.00045124-0.001023i,0.0021797+0.0010067i,-0.00036564+0.0013246i,0.0010088+0.0018412i,0.0012685+0.0017166i,0.0017731+0.0011134i,-0.011162-0.0047355i,0.00047124-0.00068616i,-0.00053075+0.00014481i,-0.00011703-0.0018849i,0.0026812-0.00094522i,0.00012004-0.0010642i,0.00089222-0.00042764i,-0.0019293+0.0010072i,0.0011968+0.0012702i,0.0085828-0.011725i,-0.02226-0.029562i,0.0057724-0.0025574i,-0.023173-0.0017522i,-0.013107+0.029271i,-0.0041511-0.0043905i,0.021082+0.0065453i,-0.00070697-0.01557i,-0.005848-0.0092494i,-0.0059654-0.0088591i,-0.0015374+0.033371i,0.0010691+0.0065129i,0.0068604-0.00088083i,0.00029038-0.005538i,0.004701+0.010904i,0.0050108+0.019689i,0.0066687+0.0037971i,0.0047554-0.0010429i,0.0010809-0.00012426i,0.0094812-0.0076077i,0.01209+0.00076234i,0.0086299+0.0015395i,-0.0049109-0.00019279i,0.0086878+0.0041979i,0.0066251+0.0032378i,0.0057406+0.0044279i,-0.00098932-0.0033248i,0.0018619-0.0088925i,0.0023052-0.012588i,-0.001494-0.0018621i,-0.027754+0.00018492i,-0.0040348-0.0073671i,-0.0060757+0.00014207i,0.0013381-0.0019857i,-0.0023454-0.00066817i,-0.0074737-0.011492i,-0.0035293-0.0047691i,0.0013044+0.00042176i,-8.7422e-07-0.0051117i,-0.0012449-0.0071869i,-0.0083306-0.0035937i,-0.0047741-0.0036188i,-0.0067687-0.0050158i,0.00017979-0.0028088i,-0.0018266-0.0024884i,-0.0016758+0.0029561i,-0.02367+0.012693i,-0.022631-0.0084364i,-0.013524-0.0043009i,0.0024728+0.02231i,-0.0075662+0.012113i,-0.0036758+0.002091i
0.010446-0.0077449i,0.0072676+0.006703i,0.0057446+0.0067841i,0.017145+0.001874i,0.018488+0.0036337i,0.020348-0.0075745i,0.020682+0.0045389i,0.013835+0.0031919i,0.0045329-0.0079586i,-0.003961+0.00060405i,-0.0008672-0.00052916i,0.0003436-0.00025979i,-0.0030454+0.0026263i,-0.0031471+0.00065174i,-0.0008178+0.0020915i,0.0030516+6.8833e-05i,0.0044361+0.0010187i,0.0010204-0.0009936i,-0.0010817-0.00077388i,-0.000755-0.00035592i,0.0019446-0.0014156i,-0.00089766-0.0019329i,-0.00087751-0.00075656i,-9.3163e-06+0.0057222i,-0.0014735+0.00038762i,-0.001132+0.00017696i,-0.00091518-0.0015308i,-0.00094725-0.0013167i,-0.00034197-0.0020412i,-0.0010353-0.0008659i,0.0022239+0.00024222i,-0.00025881+0.0012427i,0.0012496+0.0012326i,0.0016634+0.00099954i,0.001739+0.00048056i,-0.012424-0.00081929i,-0.00038283-0.00094601i,-0.00041262+0.00031489i,-0.0012025-0.0018448i,0.0026427-0.0013116i,-0.00016238-0.00097267i,0.00082309-0.00069311i,-0.0019104+0.0013478i,0.0016701+0.0012267i,0.0058991-0.013087i,-0.027985-0.023272i,0.0043765-0.0055918i,-0.017079+0.0035854i,-0.002064+0.02927i,-0.0058074-0.0014476i,0.021161-0.0012714i,-0.0010177-0.018235i,-0.0055662-0.0085743i,-0.0036569-0.0064056i,0.0065336+0.030624i,0.0019333+0.0044631i,0.0037515-0.0015037i,-0.0032335-0.0050885i,0.0098225+0.0079595i,0.0092425+0.015468i,0.0050972+0.0017362i,0.0031387-0.0039717i,0.0026093+0.0025632i,0.004795-0.010026i,0.012005-0.0055123i,0.0092613-0.0010568i,-0.0045372+0.002593i,0.011353+0.0021058i,0.0091027+0.00064778i,0.0072611+9.9091e-05i,-0.0014223-0.0027554i,-0.0010381-0.0091398i,-0.0048083-0.011867i,-0.00069039-0.00020887i,-0.026513+0.010563i,-0.0056848-0.006336i,-0.0042239+0.0028022i,0.0017942-0.0044553i,-0.0018898+0.00080778i,-0.01159-0.0090052i,-0.0056283-0.002013i,0.0012536-0.00096055i,-0.001951-0.0041283i,-0.002941-0.0068504i,-0.0085895+0.001085i,-0.0051524-0.00054273i,-0.0082373-0.0016509i,-0.001567-0.0035774i,-0.0016987-0.0021435i,0.00019738+0.0016899i,-0.022586+0.018916i,-0.023106-0.008699i,-0.012618-0.0021923i,0.0064072+0.02126i,-0.0066583+0.014334i,-0.0023302-0.00039931i
0.0086842-0.0093783i,0.009199+0.0047985i,0.0074564+0.0053647i,0.016363-0.0012784i,0.018452+0.00090602i,0.018255-0.010644i,0.019165-0.0010451i,0.01351+0.00053677i,0.0031937-0.0088566i,-0.0040071+0.001796i,-0.00090654-0.0002117i,-0.00032869-0.00057884i,-0.0020489+0.0034706i,-0.0026302+0.0017201i,-0.0002337+0.0022181i,0.0021249-0.00067532i,0.0039941-0.00052233i,0.00067809-0.0010474i,-0.00079085-0.00020837i,-0.00036117-0.00025293i,0.001683-0.0021844i,-0.0010214-0.0016885i,-0.00073946-0.00060795i,0.0016848+0.0051378i,-0.0014432+0.00077556i,-0.0012732+0.0007821i,-0.0020578-0.00096849i,-0.0015477-0.00082392i,-0.0015539-0.0018997i,-0.00163-0.00042134i,0.0020215-0.00036922i,8.4076e-05+0.0014667i,0.0014425+0.00064941i,0.0018047+0.00023892i,0.0015434-4.3549e-06i,-0.012119+0.0031775i,-0.001088-0.00063223i,-0.0004785+0.00010938i,-0.0022593-0.0011126i,0.0024155-0.0020057i,-0.0002388-0.00076991i,0.00075135-0.0010928i,-0.0017799+0.0018183i,0.0021195+0.00089798i,0.0035696-0.013432i,-0.028362-0.014221i,0.0010718-0.0072855i,-0.01097+0.0036785i,0.0086412+0.026415i,-0.0045308+0.0027848i,0.018008-0.0080749i,-0.0040305-0.023203i,-0.0037508-0.0090555i,0.0010201-0.0050998i,0.014237+0.025442i,0.0018704+0.0031925i,0.00074115-0.00098262i,-0.0052869-0.0025219i,0.011825+0.0021801i,0.012015+0.01186i,0.0027627+0.0019718i,-0.00019601-0.0068701i,0.0063981+0.00097503i,-0.00022387-0.009518i,0.0079088-0.0098882i,0.008708-0.0041954i,-0.003925+0.00459i,0.012594-0.0030841i,0.0088505-0.0043781i,0.0059466-0.0041704i,-0.0017968-0.0023495i,-0.0038915-0.0083481i,-0.0092801-0.0067498i,0.0006555-0.00044441i,-0.020129+0.021166i,-0.0074933-0.0045864i,-0.0016052+0.0038075i,-0.0011629-0.005381i,-0.00067512+0.0011826i,-0.014697-0.0043236i,-0.0047257+0.001236i,5.2835e-05-0.0018988i,-0.0037809-0.0025974i,-0.0046249-0.0052325i,-0.0056746+0.0043945i,-0.003892+0.0014865i,-0.0080867+0.0029783i,-0.0044816-0.0029904i,-0.0023305-0.0019753i,0.0034765+0.0010999i,-0.012057+0.024915i,-0.027092-0.0068993i,-0.01112-0.0023799i,0.0088178+0.018778i,-0.0035798+0.0166i,-0.0032411-0.0039692i
