-0.033205-0.037626i,-0.021481-0.020494i,-0.013147-0.035735i,-0.030292-0.019724i,-0.021933+0.00040253i,-0.013697-0.0057209i,-0.055958-0.058378i,-0.047535-0.017052i,-0.039921-0.015384i,0.012333+0.011475i,-0.0075811+0.0049034i,-0.018945+0.019116i,0.002431+0.011061i,-0.0057283-0.0019417i,0.00012064+0.0013817i,-0.0016783+0.030792i,0.027501+0.023625i,0.0022327-0.0023228i,-0.0023669-0.0070047i,0.0069768+0.0019733i,0.0027945+0.0010345i,0.0007353+0.0047402i,-0.00030812+0.00020912i,-0.034577-0.0099841i,0.00041385-0.0078173i,0.0016108+0.0023311i,0.0068417+0.0011695i,0.0018169+0.00053502i,0.0010912-0.00036995i,-0.00053594-0.0026001i,0.0012553-0.0025547i,-0.0013213-0.0063261i,-0.00099789-0.0051107i,0.0029329-0.00072778i,0.0043853-0.002799i,0.00034205+0.029545i,0.0041797-0.0036434i,0.0029293-0.0016824i,0.0076264-0.0017608i,-0.0074056-0.0027113i,-0.00025275+0.0007797i,0.008104+6.193e-05i,0.0046442-0.0024093i,-0.0013006+0.0081827i,-0.017503-0.0075143i,-0.018431+0.015924i,-0.0039225-0.061584i,-0.0051665-0.027262i,-0.027176-0.031994i,-0.011487-0.026429i,0.055105-0.020959i,0.016537-0.043199i,0.022922-0.048422i,0.0044733-0.054174i,0.026631-0.021743i,0.0082832+0.0056965i,0.025859-0.034009i,-0.007311-0.0067084i,0.0037397-0.0051479i,-0.0049016-0.0072795i,-0.0012316-0.033108i,-0.017829+0.029984i,0.0088513-0.011765i,-0.0094275-0.0044394i,-0.0043384-0.0010867i,0.00091148-0.013176i,-0.011467+0.0043685i,0.002559+0.010234i,-0.0049534+0.026374i,0.0052661+0.00275i,-0.0056692-0.0019028i,-0.0020906-0.0021095i,-0.012631-0.0083907i,-0.00062248-0.0039979i,-0.028321+0.011421i,0.00078489-0.010886i,-0.008566-0.00056727i,-0.0069772-0.0025548i,0.0048927+0.0012347i,-0.0082309-0.00016855i,0.0022481+0.00036489i,0.0039667+0.0071908i,0.0043976+0.00049234i,-0.0075724-0.011192i,0.0030309+0.0093941i,-0.015359+0.0049457i,0.0070412-8.8316e-05i,-0.021996-0.00075094i,-0.017469+0.0064236i,-0.0059221-0.065615i,0.0077374-0.013423i,-0.049939-0.022409i,-0.021475+0.0010804i,0.01703+0.010868i,-0.023163+0.015465i,-0.018767-0.0041131i
-0.036639+0.031913i,-0.016853+0.019341i,-0.01972+0.041903i,-0.026425+0.013832i,-0.0039793+0.021272i,-0.00065564+0.007745i,-0.029972+0.017355i,-0.0032954+0.029624i,0.0082131+0.019241i,-0.0054856-0.0055838i,0.0025533+0.0035085i,0.0074765-0.00063147i,0.0056141+0.00037131i,-0.00028085+0.0033543i,0.00060907+0.0020399i,0.006496-0.0049625i,-0.0060148-0.00071099i,-0.0028964+0.00030514i,0.0037208-0.00090205i,-3.0676e-05-0.0008788i,0.002822-0.0051513i,0.0015651-0.0027574i,0.0014365-0.0024577i,-0.0093005-0.010589i,-0.0014417+0.003188i,-0.0015036+0.00023283i,-0.0041511-0.0012061i,-0.0027661-7.1876e-05i,-0.0018642-0.0019321i,6.9407e-06-0.00049806i,-0.00023035+0.0038829i,0.00056978+0.0010753i,0.0015087+0.00081485i,-0.00050293+0.00067071i,-0.0025049+0.0028862i,-0.0011297-0.0071052i,-0.0022107+0.0011033i,0.00088727-0.00039947i,-0.0014715+0.0023733i,0.0041298+0.0033971i,-0.00045909-0.0015972i,0.00014969-0.0029081i,-0.0035628-0.00025166i,0.0037147+0.0006278i,-0.016062+0.026045i,0.0067206-0.036598i,-0.052923+0.0049169i,0.0070798-0.032061i,-0.031842-0.048684i,-0.029067-0.019186i,-0.061947+0.022246i,-0.038083+0.00099326i,-0.033548-0.0062773i,-0.028478-0.022299i,-0.038028-0.021361i,-0.0053904+0.0030227i,-0.027666+0.00957i,0.0077154+0.018437i,0.0023626+0.0083491i,-0.0028227-0.0050881i,0.0021517+0.0012289i,-0.014492-0.0019922i,0.0056546+0.011295i,-0.00063563+0.0054688i,-0.002187-0.001436i,0.0014298+0.0018922i,0.0036635-0.00094005i,-0.0034808+0.017851i,0.0034301+0.014636i,0.0037063-0.00030175i,0.0099274-0.006862i,0.0040612+0.0030234i,-0.0090885-0.0068306i,-0.00084294-0.0031621i,0.02024-0.039626i,0.0078136+0.010028i,0.0056595+0.0022928i,-0.0025855+0.0027886i,0.0035628-0.0059834i,0.02016+0.0073725i,0.0029796+0.0028531i,0.0002567-0.0061496i,0.00078836-0.0029512i,0.015818+0.0077193i,0.0048672+0.0011654i,0.0027571-0.0044858i,0.0042646+0.0080859i,-0.00050541+0.0010689i,0.0089916+0.0025569i,-0.044808-0.011241i,-0.0069813+0.010567i,-0.0024157-0.0046405i,-0.006522+0.00588i,-0.034818+0.012494i,-0.0057925+0.00757i,-0.0087261+0.01369i
-0.031135+0.036336i,-0.013657+0.019401i,-0.0095585+0.037404i,-0.023616+0.016789i,-0.0013154+0.019237i,0.00075821+0.0076285i,-0.028765+0.02239i,0.0025403+0.028438i,0.010534+0.013754i,-0.0065556-0.0029857i,0.0036913+0.0039384i,0.0065513-0.0031303i,0.0049184-0.0017234i,0.0016161+0.003926i,0.00088798+0.0020352i,0.0020256-0.0044975i,-0.0072271+0.0027152i,-0.0024109+0.00125i,0.0043325-0.0018105i,0.0002338-0.00091596i,0.001063-0.0054199i,0.0012163-0.0024896i,0.00079022-0.002517i,-0.011283-0.007342i,0.00030767+0.0026513i,-0.0015204+0.00075433i,-0.0035853+0.00031921i,-0.0020785+0.00056316i,-0.0023852-0.00045159i,0.00018028-0.00043143i,0.00041839+0.0033302i,0.00028522+0.00093519i,0.0013815-8.484e-05i,-0.0006771+0.00088709i,-0.0022502+0.0031097i,-0.0010539-0.0059854i,-0.001732+0.001882i,-3.0523e-05-0.0010552i,-0.00076117+0.0025688i,0.0040466+0.00098411i,-0.00067569-0.00135i,-0.001336-0.0031376i,-0.0036415+0.00093009i,0.0039741-0.00022576i,-0.011259+0.025469i,-0.0065731-0.041848i,-0.046502+0.015321i,-0.0022868-0.039199i,-0.045648-0.043009i,-0.029533-0.012568i,-0.05034+0.033537i,-0.035255+0.0098711i,-0.024497-0.0087421i,-0.030685-0.017747i,-0.042552-0.0077679i,-0.0044667+0.0029599i,-0.023352+0.020951i,0.012169+0.012552i,0.0052323+0.0048032i,-0.007969-0.0084619i,-0.0010489+0.0033868i,-0.011299+0.0045437i,0.010389+0.0080259i,0.00068279+0.0073673i,-0.001975+3.1651e-05i,0.0020496+0.00303i,0.0039003-0.0013405i,0.0051855+0.014653i,0.0084929+0.0083115i,-0.00081789-0.0034426i,0.003389-0.0081725i,0.0046863+0.0024091i,-0.012339+0.0017975i,-0.0022545-0.00091769i,0.0044587-0.040939i,0.011883+0.0078204i,0.0076693-0.00054498i,0.00072191+0.002615i,-0.00027891-0.0034194i,0.020984-0.0021088i,0.0030259+0.0010516i,-0.0029714-0.0048686i,-0.00295-0.0013766i,0.012625+0.0029609i,0.004934+0.0012619i,0.00099027-0.0034912i,0.0065032+0.0057927i,-0.00042289+0.0022683i,0.0089022-0.00030836i,-0.047943-0.0065228i,-0.00040123-0.0039569i,-0.0014085-0.0039321i,-0.0043496+0.0055256i,-0.028256+0.023482i,-0.0033108+0.0083248i,-0.0054008+0.011926i
-0.024647+0.03986i,-0.011388+0.019891i,-0.0048659+0.030959i,-0.020758+0.01955i,0.002166+0.01822i,0.0023159+0.0070367i,-0.025019+0.028057i,0.0079296+0.025746i,0.010042+0.0096823i,-0.0066575-0.00037669i,0.0058331+0.0036199i,0.0025677-0.0039532i,0.0036481-0.0028617i,0.0024167+0.0034125i,0.0013262+0.0019329i,-0.0013902-0.0017431i,-0.0060266+0.006706i,-0.0012639+0.0016903i,0.0041826-0.0039945i,0.00049731-0.0015256i,-0.00053999-0.0050608i,0.0012632-0.003015i,0.0003077-0.0025571i,-0.012881-0.0038994i,0.0010722+0.0019397i,-0.00090749+0.0014113i,-0.0026635+0.00090662i,-0.0010242+0.0011483i,-0.0022366-0.00052154i,-8.7516e-05-0.00077769i,0.0013824+0.0029087i,0.00036388+0.0011024i,0.0010304-0.00048099i,-0.00039672+0.00091618i,-0.00080606+0.004013i,-0.00047346-0.0058936i,-0.0017318+0.0022748i,-0.00086981-0.00091995i,0.00072743+0.0020433i,0.0033644-0.00024534i,-0.00075691-0.0010501i,-0.0014759-0.0016531i,-0.0034512+0.0019509i,0.0036825-0.0018252i,-0.0080525+0.025124i,-0.022727-0.039838i,-0.036803+0.021741i,-0.01394-0.040753i,-0.054027-0.033438i,-0.026254-0.0073322i,-0.034136+0.039548i,-0.023581+0.015226i,-0.026947-0.012387i,-0.031412-0.013648i,-0.041865+0.0066524i,-0.0036779+0.0031397i,-0.011949+0.028737i,0.013372+0.0054251i,0.0035516+8.7319e-05i,-0.01721-0.0051793i,-0.00049986+0.0049384i,-0.0064708+0.0070285i,0.011665+0.0020833i,0.003795+0.0075422i,-0.0031462+0.0017299i,0.00229+0.0015445i,0.0038433-0.0031605i,0.0078679+0.0080535i,0.0081457+0.0030005i,-0.0047782-1.4042e-05i,0.00017836-0.0062486i,0.0062876+0.0014613i,-0.0070258+0.0093195i,-0.00061632+0.00131i,-0.0075528-0.029895i,0.015436+0.001456i,0.006101-0.0028197i,0.0015689+0.0013518i,-8.4579e-05-0.0012922i,0.016427-0.00946i,0.0014245+0.0027842i,-0.0053202-0.0026157i,-0.0031754+0.0026126i,0.010475-0.0016108i,0.0087146-0.00088422i,0.00058485-0.0033861i,0.0090667+0.0027657i,0.0030382+0.0019741i,0.0080919-0.0030818i,-0.050608+0.0027808i,-0.010336-0.012664i,0.00064378-0.0073072i,-0.0028252+0.0034925i,-0.018539+0.026729i,-0.0035195+0.00345i,-0.0020642+0.0093414i
-0.017552+0.041913i,-0.0082527+0.021032i,-0.0038882+0.026019i,-0.016562+0.022287i,0.0053085+0.015241i,0.0038169+0.0054903i,-0.018547+0.032635i,0.011963+0.021682i,0.0097742+0.0080597i,-0.0059116+0.0020687i,0.0073621+0.0020574i,0.00043172-0.0013457i,0.0021881-0.003328i,0.0022736+0.0034749i,0.0020235+0.0015723i,-0.001727+0.002324i,-0.002398+0.0094496i,-0.00052708+0.0013937i,0.0023537-0.0051011i,-0.00021169-0.0022105i,-0.0015305-0.004175i,0.0008313-0.0033026i,-0.00026037-0.0027653i,-0.013758+0.0014533i,0.0016766+0.0010149i,3.5636e-05+0.000842i,-0.0025912+0.00049486i,0.00013779+0.00055664i,-0.0023346+0.00018297i,-0.0004805-0.00048952i,0.0021048+0.0021035i,0.00082657+0.0011394i,0.00036111-0.00071247i,-0.00017939+0.00090476i,0.00096852+0.0031662i,-0.0010017-0.0077602i,-0.00078398+0.0030053i,-0.0011794-0.00017861i,0.0010884+9.5701e-05i,0.0027598-0.00063392i,-0.00096494-0.00080542i,-0.00087828-0.0015975i,-0.0026729+0.0029595i,0.00171-0.0039754i,-0.0050063+0.025426i,-0.035489-0.027838i,-0.027424+0.022363i,-0.025024-0.03738i,-0.062258-0.022549i,-0.021433-0.005644i,-0.020241+0.038653i,-0.013517+0.011162i,-0.028242-0.0094178i,-0.031777-0.0084428i,-0.035908+0.017842i,-0.0032657+0.003366i,2.135e-05+0.028195i,0.016266+0.0027773i,-0.0012019-0.0007703i,-0.022324+0.005452i,-0.00050145+0.0064675i,-0.0021735+0.0062753i,0.0085651-0.0037973i,0.0064749+0.0067973i,-0.0025067+0.0043644i,0.00032605+0.0019267i,0.0030224-0.0055236i,0.0059068+0.0022816i,0.0058539+0.00059857i,-0.0031558+0.003222i,-0.0014484-0.0045253i,0.0063101-0.00078456i,0.00071766+0.010173i,0.00044537+0.00077812i,-0.01224-0.023862i,0.01345-0.0046432i,0.0042347-0.0043609i,0.0026479+0.0024687i,-2.5484e-05-0.0012008i,0.01085-0.012243i,0.0048825+0.0036996i,-0.0056688+0.0004362i,-0.00053694+0.0043426i,0.008275-0.0021595i,0.0073158-0.0061513i,-0.00082685-0.0028685i,0.0088422-0.0026177i,0.0029199-0.0010228i,0.0068562-0.0061819i,-0.046198+0.01428i,-0.019639-0.010909i,-0.0027406-0.011713i,-0.0023209+0.0013042i,-0.011773+0.02748i,-0.0072525+0.0032499i,-0.0027967+0.0083599i
-0.011686+0.04273i,-0.0053513+0.020681i,-0.0048918+0.024017i,-0.011975+0.02363i,0.0069706+0.011903i,0.004046+0.0036556i,-0.011043+0.034429i,0.014621+0.017145i,0.010512+0.0067121i,-0.0040275+0.0037457i,0.006521-0.0027869i,0.00096175+0.00061333i,0.0012756-0.0033146i,0.0037065+0.0037963i,0.0022749+0.0011681i,0.00012228+0.0050755i,0.0018757+0.0099521i,-0.00018165+0.0010709i,0.00097768-0.0055292i,-0.0011927-0.00214i,-0.0026471-0.0035147i,0.00014133-0.0033789i,-0.0011819-0.0026072i,-0.0093561+0.0050546i,0.00041453-0.0037784i,-0.00013699+3.158e-05i,-0.0011198+0.0005769i,0.00030344-0.00063043i,-0.001737+0.0018418i,-0.00024448-0.00021903i,0.0024257+0.00063048i,0.001488-4.5187e-05i,-0.00019138-0.00059443i,-0.00023614+0.00088012i,0.001368+0.0022089i,-0.003721-0.0092344i,8.1873e-05+0.0029465i,0.0013623+0.001189i,9.869e-05-0.00025916i,0.0022782-0.00071081i,-0.00085708-0.0004319i,-0.001257-0.0022468i,-0.0011211+0.0033257i,-0.00072898-0.0029592i,-0.00060688+0.026219i,-0.036025-0.012411i,-0.021234+0.020435i,-0.034509-0.030705i,-0.067739-0.0063533i,-0.018509-0.0081488i,-0.0086615+0.033831i,-0.0090178+0.0059166i,-0.027962-0.0077019i,-0.030193-0.0050386i,-0.029232+0.025645i,-0.0024776+0.0033736i,0.011726+0.023289i,0.01281-0.0029125i,-0.0045586+0.0018527i,-0.019983+0.014907i,0.0018232+0.0076829i,0.0011643+0.007314i,0.0028986-0.0043035i,0.0084837+0.0046409i,-0.00048694+0.0061775i,0.00034584+0.0040075i,0.0014138-0.0069268i,0.0018182+0.0023996i,0.0032123+0.0010789i,-0.0021897+0.0048836i,-0.0024994-0.0022288i,0.0055241-0.0027009i,0.0051004+0.0058166i,0.00079515+0.0002286i,-0.015384-0.022642i,0.0096257-0.0083705i,0.002191-0.0053685i,0.008114+0.00059852i,-0.00023093-0.00057929i,0.0067379-0.01292i,0.0072339+0.00078419i,-0.0040023+0.0034819i,0.0023304+0.0039493i,0.0073753-0.0032695i,0.0030224-0.0096242i,-0.00081603-0.0020668i,0.0040494-0.0063978i,0.00086221-0.0015911i,0.0032625-0.0093216i,-0.03799+0.019141i,-0.027327-0.0026617i,-0.0062995-0.013906i,-0.0031674-0.00099676i,-0.0060537+0.02592i,-0.0099675+0.0059733i,-0.001629+0.0093181i
-0.0056475+0.04375i,-0.0031248+0.020665i,-0.0051139+0.025036i,-0.0075605+0.023817i,0.0069636+0.0088834i,0.0040726+0.002515i,-0.0029995+0.033804i,0.015828+0.012911i,0.011525+0.0041996i,-0.0023678+0.0037584i,0.0041169-0.002633i,0.0021412+0.0014586i,0.00025983-0.0032488i,0.0053188+0.0024088i,0.0022364+0.00065328i,0.0029038+0.006044i,0.005971+0.0085891i,7.7582e-05+0.0010189i,-0.00097591-0.0056694i,-0.001898-0.0015708i,-0.0029156-0.0020586i,-0.0003604-0.0035344i,-0.0018335-0.0020162i,-0.007219+0.0040704i,-0.00088728-0.00078472i,-0.00070163-2.75e-05i,-0.0011701+0.0010241i,-0.00020967-0.0016203i,-0.00036326+0.0010115i,-0.00018071-0.00041694i,0.0022809-0.00046868i,0.0013856-0.0012646i,-0.00043198-0.00028015i,-0.00013396+0.00079773i,0.0014663+0.0017542i,-0.0070641-0.0087919i,0.00062379+0.0024483i,-0.0019586+0.001818i,-0.00058687+0.00098752i,0.0021192-0.00040387i,-0.00067104-7.793e-05i,-0.0021581-0.0015605i,0.00011603+0.0028213i,-0.001676-0.0013308i,0.0040302+0.026392i,-0.029751-0.0045079i,-0.017315+0.018968i,-0.039852-0.019904i,-0.063687+0.01313i,-0.02215-0.01148i,-0.0010624+0.02686i,-0.0065194+0.0014661i,-0.027084-0.005063i,-0.029864-0.002229i,-0.021453+0.030038i,-0.0027539+0.0035643i,0.018578+0.010514i,0.010596-0.007535i,-0.0053733+0.0059118i,-0.012834+0.022286i,0.0044277+0.0062989i,0.0040251+0.0053568i,0.00075262-0.0017004i,0.0099019+0.00084144i,0.0018826+0.0072909i,0.001712+0.0049363i,-0.0036929-0.0093641i,0.0012625+0.0056447i,0.002991+0.0025004i,0.0011262+0.0078058i,-0.0016302-0.00051852i,0.0041998-0.0037024i,0.0084389+0.0018253i,0.0011527-0.00083665i,-0.023435-0.020334i,0.0051651-0.010087i,-0.00033077-0.0054607i,0.0044347+0.0011016i,0.00020352+0.00063931i,0.0046781-0.012045i,0.0069125-0.0023347i,-0.0010629+0.0048129i,0.0036918+0.0017541i,0.0055529-0.0050145i,-0.0038098-0.010061i,-0.00087543-0.0022578i,-4.1988e-05-0.0049603i,0.00016338-0.0026098i,-0.0015483-0.0090634i,-0.032742+0.022297i,-0.024089+0.010848i,-0.010564-0.013883i,-0.0053511-0.0014313i,-0.0031898+0.025529i,-0.0086117+0.01051i,0.0019119+0.0080883i
0.00089225+0.044022i,-0.00033499+0.021127i,-0.0033954+0.027164i,-0.0040797+0.022832i,0.0059611+0.0072287i,0.0041687+0.0014243i,0.0039826+0.030948i,0.01628+0.0093228i,0.012161+0.0018656i,-0.0015829+0.0036918i,0.0028895-0.0020636i,0.0042446+0.001637i,-0.00088038-0.0028139i,0.0057023-0.0002322i,0.0020024+0.00028784i,0.0054319+0.0054985i,0.0087357+0.0057194i,0.00026011+0.0010516i,-0.0024588-0.0049224i,-0.0022602-0.00069773i,-0.0024965-0.00086834i,-0.0013032-0.0035233i,-0.0021681-0.0013712i,-0.0077324+0.0051204i,-0.0011436-0.00015986i,-0.001106+0.00044124i,-0.00093148+0.0014022i,-0.0016186-0.0019615i,-0.00051552+0.00061154i,-0.00042703-0.00062435i,0.0020474-0.0011544i,0.00016223-0.0012376i,-0.00017559-0.00017551i,1.4549e-05+0.000667i,0.0018938+0.00078113i,-0.01074-0.0071404i,0.0012037+0.0021185i,-0.0012288+0.0017833i,-0.00065402+0.0016823i,0.0022817-0.00011997i,-0.00047055+5.0107e-05i,-0.0017913-0.00019764i,0.00091732+0.001968i,-0.0017143-0.00050322i,0.009364+0.024419i,-0.026132-0.0034317i,-0.014355+0.017899i,-0.0397-0.0098829i,-0.053167+0.027893i,-0.025977-0.0090176i,0.0026253+0.020241i,-0.0068763-0.0027928i,-0.025323-0.0033466i,-0.028619+0.0020503i,-0.013237+0.03316i,-0.0017506+0.0037457i,0.013109-0.0015652i,0.0059048-0.011164i,-0.0037584+0.0091091i,-0.003983+0.024524i,0.0056155+0.0035527i,0.0048622+0.0014401i,0.0012846-0.00065332i,0.0090855-0.0024061i,0.0062541+0.0065759i,0.0034822+0.0057326i,-0.0081934-0.0037631i,0.0040143+0.0071404i,0.004105+0.0031598i,0.0058472+0.0065395i,-0.0011836+3.2027e-05i,0.0032354-0.0043978i,0.0091887-0.0045347i,-0.00069355-0.0010925i,-0.031514-0.010767i,0.0014718-0.009976i,-0.0021475-0.0038692i,0.0045173+0.00014803i,0.00075348+0.00066619i,0.003084-0.014154i,0.0056432-0.0045254i,0.001053+0.0035947i,0.003843+0.00060575i,0.0043027-0.0057219i,-0.0074556-0.0055702i,-0.0020813-0.0023442i,-9.2903e-05-0.0047037i,-0.0014835-0.0030591i,-0.0043288-0.0069652i,-0.026115+0.024795i,-0.01719+0.010908i,-0.011978-0.012395i,-0.0067923-0.00090504i,0.00084762+0.023706i,-0.0072415+0.012243i,0.0025248+0.0052895i
0.0074735+0.043145i,0.0030745+0.021311i,0.00032247+0.029698i,-0.00087949+0.022308i,0.0050287+0.0068403i,0.0037962+0.00056403i,0.0096008+0.026776i,0.016334+0.0063907i,0.012516-0.0012147i,-0.00089626+0.0041486i,0.0028224-0.0015738i,0.0060172-0.00045639i,-0.0017406-0.0019018i,0.0039551-0.0015653i,0.0019109+0.00015383i,0.007526+0.0035545i,0.0099633+0.0023579i,0.0007412+0.00072234i,-0.0036489-0.0041569i,-0.0020071+0.00038741i,-0.0017811-0.00025939i,-0.0021847-0.002674i,-0.0023842-0.00075964i,-0.0065611+0.0077455i,-0.0013653+0.00048599i,-0.00091497+0.0011056i,-0.00064252+0.0016652i,-0.0030228-0.00099017i,-0.00053237+0.00061014i,-0.00074055-0.00053477i,0.0013939-0.0018671i,0.00068069-0.0020442i,-0.00035669-0.00024935i,-9.5013e-06+0.00047977i,0.0016298-8.6655e-05i,-0.013486-0.0036384i,0.0016163+0.0015225i,-0.00049763+0.0020132i,-0.0008951+0.0017794i,-0.00075267+0.0040774i,8.4635e-05+0.00017149i,-0.0010889+6.0687e-05i,0.0011326+0.0013127i,-0.0015616+0.00023374i,0.013431+0.020719i,-0.026486-0.0025727i,-0.012487+0.016552i,-0.038884-0.0017596i,-0.039367+0.035185i,-0.029684-0.0058507i,0.0060033+0.014582i,-0.0079998-0.0044814i,-0.024148-0.00252i,-0.026349+0.0066546i,-0.004745+0.033435i,-0.00065595+0.0035948i,0.0061397-0.0034317i,0.00062491-0.01264i,0.00011833+0.012171i,0.0035721+0.021584i,0.0048237+0.0014173i,0.0036955-0.0017691i,0.00061503+5.5351e-05i,0.0070567-0.0057007i,0.0093267+0.003188i,0.0061421+0.0052497i,-0.0080721+0.00036227i,0.0070396+0.0070939i,0.0059575+0.0030699i,0.0090275+0.0039658i,-0.00079274+0.00079927i,0.0027295-0.0051079i,0.0049086-0.009117i,-0.00098346+0.00092007i,-0.034521+0.001334i,-0.0010895-0.0095069i,-0.0028215-0.0022583i,0.0070219-0.0023638i,0.00072866+0.00029315i,-0.0013814-0.016478i,0.0030197-0.0062452i,0.0023952+0.0029953i,0.0040475-0.00061117i,0.0038138-0.0066734i,-0.008819-0.0028787i,-0.0034523-0.0007017i,-0.0063451-0.0026143i,-0.0026387-0.0028935i,-0.0056863-0.0046261i,-0.020775+0.024598i,-0.016618+0.011071i,-0.012571-0.012917i,-0.0079215+0.00076357i,0.0024622+0.022756i,-0.0059604+0.013181i,0.0028385+0.0036917i
0.014442+0.041422i,0.0072694+0.020429i,0.0066613+0.030597i,0.0020392+0.021545i,0.0054021+0.0074333i,0.0035519+0.00018496i,0.013338+0.021389i,0.016555+0.0034783i,0.011709-0.0044448i,0.00031223+0.0041173i,0.0028791-0.0020905i,0.0054758-0.0037679i,-0.0019726-0.00083968i,0.0030925-0.0017908i,0.0019385-5.1264e-05i,0.0079609+0.00071282i,0.01034-0.00084826i,0.00058846+0.0001552i,-0.0049238-0.0029153i,-0.0011112+0.00085408i,-0.0010361-0.00032195i,-0.0022561-0.0019068i,-0.0023883-1.8547e-05i,-0.0032884+0.0092118i,-0.0010927+0.0010737i,-0.00042907+0.0013752i,5.3266e-05+0.0018499i,-0.0033394+0.00071994i,-0.00046787+0.00051146i,-0.00094618-0.00037654i,0.00039511-0.0021088i,-0.00090951-0.0023437i,-0.00059238-9.2727e-05i,-4.0547e-05+0.00038556i,0.0010591-0.00057685i,-0.014369+0.0012454i,0.0016717+0.00095241i,0.00039181+0.00182i,-0.00093503+0.0023346i,-0.00021272-0.00061099i,0.001175-6.7518e-06i,-0.00041343+0.00015063i,0.00091283+0.00086701i,-0.0013755+0.0008068i,0.015936+0.017487i,-0.028569+0.0015027i,-0.011044+0.015774i,-0.033804+0.0066707i,-0.026864+0.038894i,-0.032807+0.00056734i,0.0075044+0.0076088i,-0.0063625-0.0066364i,-0.0233-0.00020438i,-0.022153+0.01109i,0.0038768+0.034178i,-0.00016015+0.0025938i,0.0022789-0.0031803i,-0.0050712-0.012075i,0.0064936+0.011645i,0.0082081+0.016727i,0.0029184+0.00048208i,0.0020228-0.0039703i,0.0020867+0.0027165i,0.0034511-0.0076196i,0.010158-0.0023601i,0.0084974+0.0032487i,-0.007405+0.0041619i,0.011042+0.0057171i,0.0085653+0.00052402i,0.010494-0.0017676i,9.4824e-05+0.00136i,0.0013244-0.0057478i,-0.00030726-0.0094757i,0.0008574+0.0023521i,-0.031972+0.014369i,-0.003447-0.0090329i,-0.0024799-0.0003182i,0.004611-0.0072591i,0.0011635+0.00082433i,-0.0076227-0.015223i,8.2118e-05-0.0061202i,0.0036133+0.0017052i,0.0037138-0.00094772i,0.002283-0.0081688i,-0.008757+0.0018323i,-0.0031335+0.001639i,-0.0037082-0.00099449i,-0.004062-0.0026191i,-0.0059058-0.0025733i,-0.01776+0.025132i,-0.016145+0.016146i,-0.015349-0.015539i,-0.0057003+0.0025262i,0.0064991+0.022737i,-0.0051291+0.0151i,0.0036725+0.001137i
0.021014+0.03813i,0.011152+0.018326i,0.01332+0.028219i,0.0049662+0.020156i,0.0067347+0.0075708i,0.0038184-8.5589e-05i,0.015192+0.016086i,0.016198+0.00074054i,0.010199-0.0070091i,0.00098842+0.0039139i,0.0022591-0.0026361i,0.0030011-0.0054234i,-0.0019354-1.0467e-05i,0.0020912-0.0019103i,0.0019198-0.00031392i,0.006894-0.0015046i,0.0091331-0.0045507i,0.00032268+5.8163e-05i,-0.0053823-0.0011368i,-0.00059969+0.00069705i,-0.00050008-0.00069004i,-0.0022934-0.0015373i,-0.0020118+0.00055149i,0.00028936+0.0094533i,-0.00069888+0.0012211i,-1.3671e-05+0.0013844i,0.00074602+0.0014229i,-0.0026646+0.0019443i,-0.00056466+0.00038481i,-0.0012693-5.2355e-05i,-0.0006142-0.0019554i,-0.0025104-0.001622i,-0.00039216+0.00011646i,0.00010408+0.00034398i,0.00045701-0.00081032i,-0.012689+0.0055519i,0.0017172+0.00036051i,0.00076469+0.0013357i,9.1043e-05+0.0033021i,0.00010571-0.0010237i,-0.00086294-0.00049006i,0.00065884-0.00083929i,0.00081234+0.00094215i,-0.0010308+0.0012906i,0.017949+0.014686i,-0.027687+0.008628i,-0.010852+0.015207i,-0.027198+0.010164i,-0.014083+0.039833i,-0.032159+0.0081947i,0.0060051+0.0010538i,-0.0069175-0.012096i,-0.019968+0.001438i,-0.015687+0.014991i,0.014206+0.0277i,-0.00047533+0.0027114i,-0.0014658-0.0019248i,-0.0096946-0.0085684i,0.010717+0.0069131i,0.0098233+0.013201i,7.9029e-06+0.0015892i,-0.00058295-0.0063356i,0.0054184+0.0010138i,-0.00054744-0.0070293i,0.0070691-0.0062741i,0.0096935-0.00013941i,-0.005879+0.0069012i,0.014068+0.00039045i,0.0083714-0.0050618i,0.0087594-0.0066672i,0.0014059+0.0012419i,-0.00042555-0.0059346i,-0.004173-0.005917i,0.0029135+0.0013594i,-0.021752+0.029358i,-0.0066705-0.0082888i,-0.0012259+0.00078373i,0.00062794-0.0081967i,0.0019877+0.00060634i,-0.012948-0.011104i,-0.0010156-0.0042046i,0.0037951-0.00057674i,0.0032555-0.0015435i,-0.00036979-0.0085096i,-0.00553+0.0057553i,-0.0014721+0.0031075i,-0.0047659+0.0015808i,-0.0061083-0.0017018i,-0.0055963-0.0014642i,-0.012604+0.028439i,-0.008072+0.020731i,-0.018923-0.014396i,-0.0033689+0.00061632i,0.0099004+0.020594i,-0.0028359+0.01747i,0.0024735-0.0022868i
