-0.026732-0.043768i,-0.020484-0.023072i,-0.012039-0.038181i,-0.029573-0.021442i,-0.024397-0.0019276i,-0.013442-0.0039903i,-0.052349-0.054297i,-0.047338-0.017324i,-0.037376-0.012952i,0.01121+0.014193i,-0.0088827+0.0052554i,-0.020203+0.019536i,0.0013985+0.012159i,-0.004255-0.002116i,0.00088472+0.0010272i,-8.2226e-05+0.029059i,0.024229+0.024636i,0.0026444-0.0021996i,-0.0021331-0.0073079i,0.0082477+0.0028293i,0.0025173+0.00093871i,1.6023e-05+0.0032699i,-0.00050073+6.5719e-05i,-0.033836-0.0093455i,0.00050338-0.0081267i,0.001658+0.0023608i,0.0063952+0.00054843i,0.0021424+0.00059849i,0.0012291-0.00028684i,-0.00038634-0.0027144i,0.0015247-0.0021103i,-0.0019957-0.0061395i,-0.00068563-0.004672i,0.0032694-0.000461i,0.0050897-0.0028026i,0.0018796+0.029519i,0.0042636-0.003577i,0.0032102-0.0017269i,0.0085239-0.00075114i,-0.007234-0.0026344i,-0.00040796+0.00071269i,0.010241+0.00086814i,0.0050934-0.0018151i,-0.0029072+0.0086571i,-0.0163-0.0092147i,-0.018247+0.016607i,0.0015154-0.062772i,-0.003758-0.02716i,-0.025457-0.034427i,-0.0099283-0.02685i,0.052936-0.023117i,0.017203-0.043751i,0.02608-0.046579i,0.0085764-0.053501i,0.028252-0.019028i,0.0088626+0.0065476i,0.027669-0.032634i,-0.0081722-0.0062515i,0.0028603-0.0041531i,-0.0048792-0.0069604i,-0.00092331-0.033351i,-0.020252+0.029287i,0.0097154-0.011936i,-0.0092224-0.0040122i,-0.0041311-0.0017667i,0.00081621-0.013006i,-0.011158+0.0041464i,0.0023686+0.010606i,-0.0061674+0.026482i,0.0050843+0.0029218i,-0.0055825-0.002i,-0.0018591-0.0021511i,-0.013156-0.0086612i,-0.00019957-0.0044629i,-0.035349+5.1237e-05i,0.0019437-0.010999i,-0.0088491-0.00050366i,-0.0072886-0.0024987i,0.00497+0.0012319i,-0.0084357-0.00066052i,0.0020988+0.00013888i,0.0039841+0.0080052i,0.0043158+0.00057013i,-0.0070708-0.012875i,0.0028511+0.0097895i,-0.016184+0.0047287i,0.006937+0.0003748i,-0.022671-0.0021234i,-0.018763+0.0061164i,-0.0048134-0.067795i,0.008398-0.012035i,-0.046985-0.02561i,-0.020404-0.0015324i,0.016502+0.012891i,-0.024452+0.014326i,-0.020261-0.00581i
-0.046266+0.02751i,-0.020291+0.019444i,-0.022528+0.042166i,-0.028143+0.01357i,-0.0047197+0.023172i,-0.00018202+0.0082549i,-0.029482+0.022671i,-0.0025259+0.029328i,0.0056249+0.018821i,-0.0059713-0.0071829i,0.0033027+0.0037894i,0.0081191-0.00011636i,0.0053359+0.00028386i,-0.00091273+0.0022434i,-2.9145e-06+0.0019605i,0.0054062-0.0047334i,-0.0063237-0.00064912i,-0.0029891-6.2095e-05i,0.0041797-0.0014673i,-0.00013888-0.0011668i,0.002174-0.0047676i,0.0012527-0.0028096i,0.0016866-0.0025745i,-0.0087609-0.010286i,-0.0010995+0.0029226i,-0.0017438+0.00023793i,-0.0038311-0.0012728i,-0.0028542+0.00035834i,-0.0014086-0.0019263i,-0.0001407-0.00028905i,-0.0012831+0.0039491i,0.00069327+0.0013165i,0.0014999+0.0012209i,-0.0006999+0.00083112i,-0.0030372+0.0032359i,-0.0015231-0.0069231i,-0.0028133+0.00081627i,0.00097185-0.00059099i,-0.0020939+0.0032607i,0.0036672+0.0035216i,-0.00023854-0.0016456i,-0.0002179-0.0031409i,-0.0043305-0.00025669i,0.0043626+0.0016497i,-0.020175+0.023098i,0.0080764-0.040583i,-0.056773+0.00028104i,0.009237-0.032536i,-0.03145-0.051169i,-0.02909-0.021035i,-0.064207+0.020403i,-0.039507+0.00069175i,-0.034064-0.0093484i,-0.025408-0.025372i,-0.040168-0.027735i,-0.0054567+0.0029437i,-0.029507+0.0087151i,0.0064906+0.019306i,0.0027547+0.0083979i,-0.0038001-0.0052375i,0.0022122+0.0018718i,-0.012848-0.0060274i,0.005985+0.012327i,-0.00090493+0.0060935i,-0.0019909-0.0015758i,0.001314+0.00263i,0.0038342-0.00055209i,-0.0048173+0.018073i,0.002454+0.01535i,0.003513+0.00037809i,0.0098531-0.0065699i,0.0042412+0.0032639i,-0.0091072-0.008053i,-0.00088362-0.003031i,0.030479-0.035851i,0.0081401+0.010806i,0.0055104+0.0020892i,-0.0028854+0.0025996i,0.0038549-0.0054817i,0.02111+0.010291i,0.0029479+0.0028778i,0.00056874-0.0071744i,0.0014889-0.0029389i,0.014712+0.0084157i,0.0048793+0.0017755i,0.0029638-0.0053417i,0.0031709+0.0094803i,2.2369e-07+0.0012563i,0.0098179+0.0036883i,-0.045404-0.016747i,-0.0064266+0.012445i,-0.0025046-0.0040863i,-0.0076481+0.0041977i,-0.03979+0.010257i,-0.0060805+0.0073517i,-0.012069+0.013718i
-0.041011+0.033968i,-0.016878+0.019774i,-0.011974+0.03795i,-0.02542+0.016987i,-0.0017066+0.021243i,0.0012863+0.0081467i,-0.026601+0.02739i,0.0031725+0.02819i,0.0083405+0.013902i,-0.0076081-0.0039125i,0.0045283+0.0040726i,0.0071881-0.0028298i,0.0047861-0.0019048i,0.00086276+0.0029058i,0.00033276+0.0021488i,0.001605-0.0042284i,-0.0072894+0.0026617i,-0.0024563+0.00095604i,0.0044572-0.0023825i,8.7723e-05-0.0010819i,0.00065479-0.0048065i,0.00099348-0.0024109i,0.00099592-0.0027416i,-0.010614-0.0068383i,0.00037953+0.0024679i,-0.0017199+0.00070051i,-0.0034378+0.0003987i,-0.0018886+0.00091519i,-0.0017114-0.00014091i,0.00017386-0.00015795i,-2.4474e-06+0.0042858i,0.00052102+0.0013307i,0.0015673+4.5137e-05i,-0.0008747+0.0010858i,-0.0026481+0.0035829i,-0.0016478-0.0058185i,-0.0025062+0.0015085i,-9.5979e-05-0.0011923i,-0.0013041+0.0037832i,0.0039231+0.0010895i,-0.00048791-0.0013965i,-0.0018014-0.0032781i,-0.0044104+0.0011705i,0.0049735+0.0006628i,-0.016142+0.022574i,-0.0063217-0.046382i,-0.050515+0.0116i,0.00018147-0.04066i,-0.045787-0.04532i,-0.030109-0.014423i,-0.052438+0.032429i,-0.036198+0.0097042i,-0.024275-0.011285i,-0.028401-0.021614i,-0.046833-0.012371i,-0.0047216+0.0028371i,-0.025383+0.021489i,0.011268+0.013609i,0.0055243+0.0046475i,-0.0087594-0.0071175i,-0.0010552+0.0039512i,-0.012826+0.0039415i,0.010715+0.0083891i,0.00041748+0.0084118i,-0.00194-2.6646e-05i,0.0024452+0.0037423i,0.0039711-0.0010759i,0.0041154+0.015332i,0.0086708+0.009728i,-0.00015653-0.0027699i,0.0031961-0.0078643i,0.0048271+0.0028228i,-0.011967-0.00040386i,-0.0026112-0.00089358i,0.011124-0.041127i,0.012055+0.0081681i,0.0076843-0.00022575i,0.00081731+0.0028841i,-0.00024204-0.0034896i,0.023243-0.00023031i,0.0030611+0.0015045i,-0.0030832-0.0053435i,-0.0024819-0.0018747i,0.01315+0.0021998i,0.0049354+0.0017411i,0.00095125-0.0038282i,0.0062471+0.0082439i,5.2039e-05+0.0018087i,0.01028-0.0002568i,-0.048162-0.012508i,-0.00032425-0.0025983i,-0.0015712-0.003849i,-0.0063459+0.0048135i,-0.033328+0.023241i,-0.0039152+0.0084024i,-0.0054966+0.016953i
-0.034558+0.039133i,-0.014466+0.020314i,-0.0071788+0.031614i,-0.022352+0.020243i,0.0020134+0.020495i,0.0029815+0.0074616i,-0.021655+0.032266i,0.0081584+0.025448i,0.0084513+0.010053i,-0.0081293-0.0007058i,0.0066681+0.0034247i,0.0028782-0.0039032i,0.0035919-0.0030612i,0.0016556+0.0026157i,0.00086608+0.0023052i,-0.0014588-0.0016922i,-0.0061366+0.0067325i,-0.0011707+0.0015404i,0.0042934-0.0045029i,0.00034426-0.0015551i,-0.00072069-0.0044373i,0.0010825-0.0027853i,0.00042835-0.0028055i,-0.012084-0.0037806i,0.00099835+0.0018601i,-0.0010907+0.0015049i,-0.0023136+0.00078697i,-0.00082839+0.0012748i,-0.0018717-0.00080904i,6.268e-05-0.0006284i,0.0016413+0.0038258i,0.00068673+0.0015369i,0.001126-0.00034444i,-0.00050589+0.0010933i,-0.00095497+0.0046261i,-0.0012326-0.0058155i,-0.0023398+0.0020225i,-0.001003-0.0011303i,0.0014542+0.0029488i,0.003209-0.00019762i,-0.00073747-0.001157i,-0.0015038-0.0014661i,-0.0039889+0.0021364i,0.0047669-0.0015911i,-0.013607+0.022671i,-0.023569-0.044394i,-0.040752+0.018766i,-0.012038-0.043182i,-0.054549-0.036189i,-0.027003-0.0087248i,-0.036573+0.038211i,-0.025093+0.015262i,-0.025364-0.01555i,-0.030121-0.018039i,-0.046582+0.0042073i,-0.0038346+0.0030758i,-0.013716+0.02995i,0.013184+0.0067961i,0.0036954-0.00038907i,-0.017669-0.0040829i,-0.00024528+0.0052952i,-0.0069798+0.0074803i,0.011789+0.0023117i,0.00351+0.0087373i,-0.0034947+0.0016591i,0.0028008+0.0016658i,0.0039375-0.0027605i,0.0073605+0.0088827i,0.0085564+0.0038925i,-0.0046756+0.00021726i,0.00030218-0.0060176i,0.0066386+0.0016893i,-0.0076232+0.0089437i,-0.00084762+0.00135i,-0.0053138-0.034448i,0.01607+0.0020171i,0.0059167-0.003607i,0.00087658+0.0017742i,-0.0001615-0.0011871i,0.018765-0.0087293i,0.0016181+0.0030064i,-0.0050501-0.0024329i,-0.0035236+0.0021212i,0.010729-0.0021714i,0.0084544-0.00043239i,0.00097807-0.0036505i,0.010071+0.0047443i,0.002719+0.002294i,0.0090243-0.0037086i,-0.051475-0.0034516i,-0.010502-0.011529i,0.00082314-0.0066459i,-0.0050668+0.0041226i,-0.021754+0.028293i,-0.0031056+0.0034856i,-0.0022833+0.011006i
-0.027262+0.042851i,-0.011515+0.021824i,-0.0060476+0.026909i,-0.018019+0.023057i,0.0055599+0.017513i,0.0046137+0.0059249i,-0.014613+0.035775i,0.012057+0.021645i,0.0082248+0.0083334i,-0.0073138+0.0023733i,0.008046+0.00042065i,0.00062047-0.0013445i,0.0023105-0.0036807i,0.0016071+0.0025808i,0.0012678+0.0020532i,-0.0017024+0.0021112i,-0.0022573+0.0095858i,-0.00027647+0.001106i,0.0023497-0.0056138i,-0.00037477-0.0021665i,-0.0016004-0.0035724i,0.00073759-0.0030968i,-0.00024747-0.0030683i,-0.012542+0.00075738i,0.0015127+0.00078048i,-4.082e-06+0.00097425i,-0.0018334+0.00037573i,0.00031351+0.00056644i,-0.00221+4.0798e-05i,-0.00025232-0.00036925i,0.0029902+0.0025338i,0.0012591+0.0012697i,0.00069205-0.00071054i,-0.00017811+0.0010348i,0.0012486+0.0039551i,-0.0019615-0.0076025i,-0.0013419+0.0029614i,-0.0014951-0.00040225i,0.0016783+0.00018938i,0.0026335-0.00076533i,-0.00075534-0.00075787i,-0.000724-0.0014842i,-0.0033077+0.0032519i,0.0022026-0.004385i,-0.010974+0.023948i,-0.037342-0.031723i,-0.03107+0.020258i,-0.023194-0.040338i,-0.063052-0.025353i,-0.022496-0.0067078i,-0.023156+0.037231i,-0.015065+0.011737i,-0.027044-0.013095i,-0.031398-0.012624i,-0.038992+0.017282i,-0.0034987+0.0032388i,-0.0011153+0.029992i,0.015485+0.0010348i,-0.001003-0.0012746i,-0.021846+0.0057294i,6.6766e-05+0.0070378i,-0.003594+0.0068217i,0.0091583-0.0037189i,0.006713+0.0072965i,-0.0027671+0.0043811i,0.0007022+0.0020121i,0.0030019-0.0054738i,0.0062384+0.00276i,0.0058213+0.00083775i,-0.0033407+0.0033855i,-0.0014132-0.0043949i,0.0066974-0.00041072i,0.0011817+0.011447i,0.00028658+0.00065911i,-0.011257-0.028045i,0.014127-0.004408i,0.0040114-0.0045481i,0.0026685+0.0031061i,0.00037998-0.0012738i,0.012621-0.012189i,0.0049354+0.003758i,-0.0055909+0.00055349i,-0.0010317+0.0046062i,0.0086341-0.0028078i,0.0078364-0.0060011i,-0.00066105-0.0032116i,0.0099661-0.0016931i,0.0035448-0.00079866i,0.0075597-0.0072365i,-0.048109+0.0085515i,-0.020252-0.010541i,-0.0012665-0.012134i,-0.0034881+0.0027758i,-0.014073+0.028224i,-0.0074181+0.0028307i,-0.003108+0.0094738i
-0.020246+0.045206i,-0.0088227+0.022126i,-0.0069117+0.024946i,-0.013315+0.024597i,0.0075998+0.014227i,0.0050596+0.0040776i,-0.0068223+0.036888i,0.01475+0.0176i,0.0089686+0.0070291i,-0.005053+0.0045409i,0.0066443-0.0011651i,0.0010286+0.00072244i,0.0011172-0.0038576i,0.0027455+0.0029446i,0.0017144+0.0016625i,7.9615e-05+0.0044761i,0.0022849+0.010002i,-0.00011882+0.00067574i,0.00086952-0.0058937i,-0.0012943-0.002001i,-0.0024934-0.0029418i,4.706e-05-0.0032594i,-0.0012703-0.0029486i,-0.0093149+0.0045444i,0.0020352-0.0017991i,-0.00012837+5.792e-05i,-0.00091074+0.00062715i,0.00035251-0.0005773i,-0.00054636+0.0020568i,1.4402e-05-0.00012776i,0.0033501+0.00075795i,0.0020338+0.00019436i,-7.6914e-05-0.00069619i,-0.00021781+0.0010193i,0.0018106+0.0028479i,-0.0046273-0.0085164i,-0.000406+0.0030382i,-0.00073063+0.0012469i,7.999e-05-0.00050382i,0.0018643-0.00090183i,-0.00057596-0.0005951i,-0.00097583-0.0021861i,-0.0019633+0.003831i,-0.00078969-0.0033518i,-0.0070296+0.025601i,-0.038431-0.015709i,-0.024377+0.018426i,-0.033444-0.034442i,-0.069667-0.0094239i,-0.019725-0.0088866i,-0.012402+0.033119i,-0.010522+0.0068923i,-0.027013-0.011658i,-0.030601-0.0088511i,-0.031085+0.025697i,-0.0029543+0.0032924i,0.011793+0.025608i,0.013097-0.0030541i,-0.0045244+0.0011873i,-0.019581+0.01487i,0.002688+0.0080594i,-0.0015415+0.0082345i,0.0029756-0.004367i,0.0086167+0.0047661i,-0.0013977+0.0063862i,0.00067685+0.0040346i,0.0015472-0.0066967i,0.0021913+0.0026085i,0.0031441+0.0010314i,-0.0024737+0.0048834i,-0.0023319-0.0022485i,0.0059265-0.0025616i,0.0067448+0.0083784i,0.00052074+4.2336e-05i,-0.015002-0.025334i,0.010438-0.008437i,0.0019904-0.005406i,0.0066315+0.0016248i,-6.2521e-05-0.00060908i,0.0084618-0.012936i,0.0075556+0.00097609i,-0.0037739+0.0036496i,0.0018303+0.0043125i,0.0080189-0.0043053i,0.0035475-0.010392i,-0.00071106-0.0022955i,0.006258-0.0058977i,0.0013469-0.0021731i,0.0035872-0.010322i,-0.040257+0.013702i,-0.028185-0.0027078i,-0.0059414-0.014398i,-0.0030143+0.00030368i,-0.0081157+0.027526i,-0.010529+0.0056585i,-0.0017553+0.0098498i
-0.013204+0.046888i,-0.0063289+0.022978i,-0.0072359+0.026266i,-0.0085344+0.024614i,0.0082018+0.011017i,0.0052244+0.0028452i,0.0011312+0.035539i,0.016434+0.013542i,0.010039+0.0049257i,-0.0028919+0.004827i,0.0049053-0.0025831i,0.0020739+0.0017744i,-3.0763e-05-0.003858i,0.0040348+0.0018213i,0.0018889+0.0011887i,0.0025924+0.005311i,0.0065287+0.0081877i,5.8827e-05+0.00056997i,-0.0011452-0.0059329i,-0.0019563-0.0014797i,-0.0027313-0.0016426i,-0.00056896-0.0034033i,-0.0020012-0.0022964i,-0.006588+0.0041757i,-0.00064275-0.0009883i,-0.00079786-0.00013513i,-0.00099725+0.00088632i,-0.00014988-0.0015119i,-0.0007173+0.00070359i,0.00012975-0.00043432i,0.0030717-0.00058834i,0.0020179-0.0012982i,-0.00036092-0.00031418i,-5.226e-05+0.00095101i,0.0020744+0.0022374i,-0.0074149-0.0079569i,0.0002468+0.0026598i,-0.0017089+0.0020411i,-0.00085338+0.00045427i,0.0016221-0.00046841i,-0.00047316-0.00025359i,-0.0017793-0.001732i,-0.00066326+0.00367i,-0.0019929-0.0012525i,-0.0026968+0.026805i,-0.032781-0.0069504i,-0.020721+0.016862i,-0.040108-0.023817i,-0.066259+0.010541i,-0.023392-0.011661i,-0.0066349+0.026809i,-0.0077295+0.0027568i,-0.026916-0.0089491i,-0.030852-0.0055553i,-0.022676+0.028615i,-0.0033109+0.0038028i,0.018947+0.012146i,0.010337-0.0074844i,-0.0055993+0.0052917i,-0.012296+0.022205i,0.0052649+0.0065207i,0.0035062+0.006795i,0.00036553-0.0014847i,0.010304+0.00088977i,0.001447+0.0079169i,0.0019864+0.0049406i,-0.0033958-0.0093725i,0.0014496+0.0054306i,0.0032022+0.0025286i,0.0006248+0.0078827i,-0.0014786-0.00057856i,0.0045378-0.0034602i,0.0094216+0.0017007i,0.0011276-0.00081664i,-0.02352-0.023552i,0.0061564-0.01036i,-0.00032516-0.0054229i,0.0054995-0.00042353i,-3.9814e-06+0.00063869i,0.0061293-0.012676i,0.0074578-0.0023909i,-0.0010091+0.004801i,0.0035713+0.0022298i,0.0063294-0.0058093i,-0.0032039-0.010379i,-0.0010396-0.0025329i,0.0028302-0.0052989i,0.00068834-0.0028707i,-0.0016843-0.010155i,-0.035579+0.016562i,-0.026248+0.010929i,-0.010778-0.013672i,-0.0043625-0.0012386i,-0.0042866+0.02657i,-0.0097818+0.010589i,0.0018417+0.008719i
-0.0060214+0.047693i,-0.0031928+0.023963i,-0.0054404+0.02882i,-0.005124+0.02339i,0.0077969+0.0089267i,0.0053644+0.0015897i,0.0079691+0.032257i,0.017183+0.0098004i,0.010705+0.0029694i,-0.0014677+0.0049063i,0.0033354-0.002262i,0.0041341+0.0022716i,-0.0012056-0.0033681i,0.0043071-0.00036281i,0.00186+0.00081511i,0.0047672+0.0047494i,0.009107+0.0050493i,0.00018286+0.00064945i,-0.0025853-0.005124i,-0.0022553-0.00054936i,-0.0023958-0.00053415i,-0.0015184-0.0033439i,-0.002414-0.0015977i,-0.0067974+0.0044873i,-0.0012194-0.00041751i,-0.001322+0.0003968i,-0.00084516+0.0010887i,-0.0015459-0.0018697i,-0.00078472+0.00064685i,-0.00019702-0.00075688i,0.0025871-0.0014914i,0.00040823-0.0013107i,-2.5288e-05-0.0002198i,0.00021553+0.0008174i,0.0026667+0.00098088i,-0.010733-0.0063657i,0.00093967+0.0023937i,-0.0010221+0.0018799i,-0.0011493+0.0010924i,0.0019602-0.00029964i,-0.00028272-6.3783e-05i,-0.0016555-0.00032075i,0.00035806+0.0030536i,-0.0019832-0.00010883i,0.0027649+0.026443i,-0.029141-0.0051799i,-0.01776+0.016435i,-0.041016-0.013279i,-0.056356+0.025849i,-0.026997-0.0089875i,-0.0024575+0.023279i,-0.0074802-0.0015311i,-0.025826-0.0071062i,-0.030006-0.0005594i,-0.015414+0.032643i,-0.0021259+0.0038707i,0.013973-0.00099166i,0.0057737-0.010878i,-0.0039501+0.0087515i,-0.0037722+0.023196i,0.0059241+0.0039741i,0.0051109+0.0022705i,0.0014461+6.4731e-05i,0.0096029-0.0024066i,0.0063376+0.0069967i,0.0036971+0.0060257i,-0.0082341-0.0039781i,0.0038933+0.0069087i,0.004505+0.0030144i,0.0049881+0.006715i,-0.001198-0.00010394i,0.0035019-0.0043876i,0.009239-0.0047754i,-0.00075201-0.001249i,-0.032405-0.014377i,0.0024609-0.010556i,-0.0022325-0.0039856i,0.0054351-1.6679e-05i,0.00075664+0.00080151i,0.004553-0.015548i,0.0060052-0.0053045i,0.0014083+0.0037861i,0.0037497+0.0012814i,0.005173-0.0066808i,-0.0069165-0.0061152i,-0.0024576-0.0024288i,-0.00073403-0.0065993i,-0.0012082-0.0034919i,-0.0047109-0.0075393i,-0.030099+0.019043i,-0.019383+0.01163i,-0.011331-0.012135i,-0.0056483-0.0015176i,0.00019909+0.02505i,-0.0081733+0.01252i,0.0024348+0.0059638i
0.00112+0.047491i,0.0008819+0.024735i,-0.0012705+0.031757i,-0.0024279+0.02293i,0.0071922+0.0078748i,0.0050637+0.00058988i,0.013453+0.027933i,0.017663+0.0065478i,0.011179+0.00054068i,-0.00029133+0.0047619i,0.0032182-0.0016606i,0.0062263+0.00034289i,-0.0021492-0.0024274i,0.0026899-0.0014707i,0.0019531+0.00065371i,0.0064687+0.0029497i,0.0096252+0.001841i,0.00055324+0.00034423i,-0.0038251-0.0041243i,-0.0018946+0.00050901i,-0.001758+4.6595e-05i,-0.0023084-0.002453i,-0.0026966-0.00088394i,-0.0057973+0.0067625i,-0.0015671+0.00025756i,-0.0011671+0.0011587i,-0.0006144+0.0014939i,-0.0028684-0.00092126i,-0.00077156+0.00068107i,-0.00055898-0.00071902i,0.0017526-0.0023801i,0.00091638-0.0024568i,-0.00023484-0.00033693i,0.00025668+0.00067223i,0.0022141-0.00025771i,-0.012928-0.0026483i,0.0014978+0.0019094i,-0.00057085+0.0019809i,-0.0014403+0.0013713i,-0.00018354-0.0010668i,0.00020146-2.9213e-05i,-0.00089991-6.0119e-06i,0.00077179+0.0022127i,-0.0016113+0.00096785i,0.0073592+0.024446i,-0.029665-0.0042214i,-0.015759+0.015314i,-0.040856-0.0041813i,-0.043132+0.034425i,-0.030315-0.0054152i,0.002229+0.01819i,-0.0082371-0.0033261i,-0.025556-0.0058276i,-0.027485+0.0047326i,-0.0067437+0.035242i,-0.0011166+0.0037521i,0.0066548-0.003074i,0.00071903-0.012238i,2.9355e-05+0.011793i,0.0038488+0.020564i,0.0050179+0.0018295i,0.0042335-0.0012219i,0.001119+0.00036857i,0.0075747-0.0059684i,0.0096609+0.003641i,0.0062695+0.0054444i,-0.0082236+0.00024559i,0.0065911+0.0073867i,0.0061313+0.0027592i,0.0088442+0.0040993i,-0.00076495+0.0006351i,0.0029395-0.0052543i,0.0058934-0.0076925i,-0.0010802+0.00097553i,-0.036539-0.001773i,-0.00057248-0.0099819i,-0.0029853-0.0021156i,0.0065211-0.0011552i,0.0011302+0.0004914i,-0.00042708-0.018354i,0.0031199-0.0067802i,0.0029543+0.0030915i,0.0042227+9.9028e-06i,0.0044548-0.0076627i,-0.0087022-0.0030805i,-0.0038933-0.00046006i,-0.0044877-0.0040339i,-0.0024642-0.0029977i,-0.00606-0.0050683i,-0.025457+0.019876i,-0.017483+0.011709i,-0.012304-0.013624i,-0.0071668-0.00079941i,0.0022406+0.024371i,-0.0067421+0.013353i,0.0026386+0.0044334i
0.0086453+0.046522i,0.0060055+0.024276i,0.0053196+0.032772i,0.00051272+0.022697i,0.0075645+0.0078986i,0.004856+2.4872e-05i,0.017426+0.02248i,0.018037+0.0031884i,0.010906-0.0020705i,0.00079364+0.0045619i,0.0033441-0.0021672i,0.0059771-0.0028832i,-0.0026164-0.001193i,0.0019244-0.0015006i,0.0020952+0.00038196i,0.0067948+0.00051844i,0.0092763-0.00086987i,0.00017266-0.00011011i,-0.0051152-0.002461i,-0.00098112+0.00088639i,-0.00098121-6.0387e-06i,-0.002349-0.0016561i,-0.002674-3.6983e-05i,-0.0030973+0.0082488i,-0.0014369+0.00087138i,-0.00067749+0.0015875i,5.9806e-05+0.0015749i,-0.003245+0.00052909i,-0.00060799+0.0005905i,-0.00084027-0.00062411i,0.00058975-0.0027385i,-0.00036471-0.0030721i,-0.00052899-0.00012868i,0.00024201+0.00059046i,0.0014646-0.0009352i,-0.01322+0.0018892i,0.0017184+0.0012404i,0.00014771+0.0020283i,-0.001374+0.0018388i,0.00095366-0.00083284i,0.0011806+0.00073074i,-0.00015146+3.6222e-05i,0.00079607+0.0016533i,-0.00094411+0.0016562i,0.010518+0.022396i,-0.032386+0.00015186i,-0.014542+0.014602i,-0.036028+0.0048294i,-0.03021+0.03932i,-0.032466+0.0020593i,0.0048474+0.011438i,-0.0063698-0.0055149i,-0.024981-0.0032606i,-0.023261+0.0094991i,0.0019072+0.035356i,-0.00055218+0.0029077i,0.0027349-0.0033339i,-0.0051328-0.012034i,0.0061639+0.011295i,0.0078393+0.015844i,0.002374+0.00041512i,0.0030021-0.0043509i,0.0022203+0.0029427i,0.0034368-0.0077844i,0.01094-0.0020175i,0.0085899+0.0034013i,-0.0077678+0.0041579i,0.011016+0.0065719i,0.0084383+0.00040079i,0.011459-0.00080274i,0.00010504+0.0011548i,0.001622-0.0060057i,0.00016299-0.0088124i,0.00074685+0.0026332i,-0.035438+0.012451i,-0.0026448-0.0089753i,-0.0026594-0.00016671i,0.0062452-0.0058216i,0.0015439+0.00078905i,-0.0073615-0.017799i,0.00022871-0.0064367i,0.004355+0.0014222i,0.004108-0.00083953i,0.0025958-0.0091729i,-0.0091514+0.0023422i,-0.0033008+0.0018719i,-0.0046324-0.0012248i,-0.0037846-0.0028745i,-0.0062232-0.0027798i,-0.023259+0.020786i,-0.016681+0.016283i,-0.015455-0.01614i,-0.0061083+0.00074283i,0.0066143+0.024128i,-0.0063287+0.015319i,0.0037427+0.0016933i
0.016011+0.043983i,0.010758+0.02213i,0.012086+0.030538i,0.0038343+0.021782i,0.0087728+0.007499i,0.0050675-0.00042274i,0.019642+0.017051i,0.017723-0.00014598i,0.01021-0.0043342i,0.0016105+0.0042668i,0.0029394-0.0027318i,0.0037595-0.0046483i,-0.0026691-0.00014191i,0.0011514-0.0014163i,0.0021581+5.0834e-05i,0.0057169-0.0013078i,0.0083203-0.0033274i,-0.0001022-0.00013442i,-0.0052117-0.00032024i,-0.00058125+0.00063952i,-0.00032647-0.00040681i,-0.0023326-0.0012806i,-0.0022707+0.00063528i,-0.00015353+0.0085265i,-0.0011144+0.0011162i,-0.00013696+0.0017527i,0.00065841+0.0011836i,-0.0026142+0.0019993i,-0.00063757+0.00038144i,-0.0012961-0.00035252i,-0.00059602-0.0024962i,-0.0018825-0.0023692i,-0.00042888+0.00012134i,0.00037216+0.00048276i,0.00063591-0.0012404i,-0.01153+0.0056004i,0.0018342+0.00058424i,0.00057501+0.0015394i,-0.00052236+0.0028473i,0.00091584-0.0011651i,-0.00031056-0.0006311i,-0.00078987+2.1471e-05i,0.00067062+0.0014881i,-0.00021444+0.0019283i,0.013635+0.020751i,-0.031936+0.0078602i,-0.014836+0.014299i,-0.029436+0.0089236i,-0.017013+0.040879i,-0.030038+0.011588i,0.0037231+0.0045418i,-0.0066717-0.010917i,-0.021934-0.00094839i,-0.016724+0.01375i,0.012127+0.030992i,-0.00046638+0.003053i,-0.0017079-0.0024205i,-0.0098969-0.0088745i,0.010421+0.0068952i,0.0092571+0.01274i,-0.00096892+0.0015294i,-1.2541e-05-0.0076035i,0.0058606+0.0016757i,-0.00062496-0.0070063i,0.0080358-0.0063074i,0.0098682-0.00025755i,-0.0064853+0.0070363i,0.014881+0.00082998i,0.0085201-0.0048765i,0.0099844-0.0067706i,0.0013234+0.0011499i,-0.00027751-0.0064748i,-0.0039383-0.0055579i,0.0029956+0.0016446i,-0.027905+0.026697i,-0.0048127-0.0080113i,-0.0013433+0.00097485i,0.0017548-0.0073114i,0.0024898+0.00055688i,-0.014191-0.014022i,-0.0013245-0.0047391i,0.0043302-0.001018i,0.0035392-0.0015894i,-0.0004826-0.0094165i,-0.0057732+0.0065106i,-0.0017549+0.0033808i,-0.0051784+0.0020215i,-0.0060267-0.0021158i,-0.0060723-0.0017278i,-0.018832+0.025221i,-0.0083504+0.020651i,-0.021926-0.016396i,-0.0041193-9.2385e-05i,0.0097373+0.021671i,-0.0037605+0.018438i,0.002853-0.001922i
